context: Howwonderful itwould be, to be like Hakim... response:	Sometimes, I'm jealous of him.
context: Honestly. It's fortunate that I remembered.\Let's see, there's the coke...\Oh yes, and candles need to be brought out.\Do we still have some?\Ah, right away, ma'am.\It's all right, I'll set the table. You just concentrate on dinner.\Do the best you can, dear.\Yes, ma'am. response:	How is dinner coming along?
context: Let's see, there's the coke...\Oh yes, and candles need to be brought out.\Do we still have some?\Ah, right away, ma'am.\It's all right, I'll set the table. You just concentrate on dinner.\Do the best you can, dear.\Yes, ma'am.\How is dinner coming along? response:	The bread is nearly ready.
context: Oh yes, and candles need to be brought out.\Do we still have some?\Ah, right away, ma'am.\It's all right, I'll set the table. You just concentrate on dinner.\Do the best you can, dear.\Yes, ma'am.\How is dinner coming along?\The bread is nearly ready. response:	Well done.
context: Do we still have some?\Ah, right away, ma'am.\It's all right, I'll set the table. You just concentrate on dinner.\Do the best you can, dear.\Yes, ma'am.\How is dinner coming along?\The bread is nearly ready.\Well done. response:	It seems a shame to open this, but I guess it's all right.
context: Ah, right away, ma'am.\It's all right, I'll set the table. You just concentrate on dinner.\Do the best you can, dear.\Yes, ma'am.\How is dinner coming along?\The bread is nearly ready.\Well done.\It seems a shame to open this, but I guess it's all right. response:	The candles are ready.
context: It's all right, I'll set the table. You just concentrate on dinner.\Do the best you can, dear.\Yes, ma'am.\How is dinner coming along?\The bread is nearly ready.\Well done.\It seems a shame to open this, but I guess it's all right.\The candles are ready. response:	The table is set.
context: Do the best you can, dear.\Yes, ma'am.\How is dinner coming along?\The bread is nearly ready.\Well done.\It seems a shame to open this, but I guess it's all right.\The candles are ready.\The table is set. response:	We have plenty of coke.
context: Yes, ma'am.\How is dinner coming along?\The bread is nearly ready.\Well done.\It seems a shame to open this, but I guess it's all right.\The candles are ready.\The table is set.\We have plenty of coke. response:	Emma! Can you come here, please?
context: How is dinner coming along?\The bread is nearly ready.\Well done.\It seems a shame to open this, but I guess it's all right.\The candles are ready.\The table is set.\We have plenty of coke.\Emma! Can you come here, please? response:	Yes, ma'am!
context: The bread is nearly ready.\Well done.\It seems a shame to open this, but I guess it's all right.\The candles are ready.\The table is set.\We have plenty of coke.\Emma! Can you come here, please?\Yes, ma'am! response:	What is it, ma'am?
context: Well done.\It seems a shame to open this, but I guess it's all right.\The candles are ready.\The table is set.\We have plenty of coke.\Emma! Can you come here, please?\Yes, ma'am!\What is it, ma'am? response:	The rain soaked through, and the wallpaper has...
context: It seems a shame to open this, but I guess it's all right.\The candles are ready.\The table is set.\We have plenty of coke.\Emma! Can you come here, please?\Yes, ma'am!\What is it, ma'am?\The rain soaked through, and the wallpaper has... response:	These walls are old...
context: The candles are ready.\The table is set.\We have plenty of coke.\Emma! Can you come here, please?\Yes, ma'am!\What is it, ma'am?\The rain soaked through, and the wallpaper has...\These walls are old... response:	By the way, what about your work, mate?
context: The table is set.\We have plenty of coke.\Emma! Can you come here, please?\Yes, ma'am!\What is it, ma'am?\The rain soaked through, and the wallpaper has...\These walls are old...\By the way, what about your work, mate? response:	It's not a problem.
context: We have plenty of coke.\Emma! Can you come here, please?\Yes, ma'am!\What is it, ma'am?\The rain soaked through, and the wallpaper has...\These walls are old...\By the way, what about your work, mate?\It's not a problem. response:	No one at work even knows that I'm here.
context: Emma! Can you come here, please?\Yes, ma'am!\What is it, ma'am?\The rain soaked through, and the wallpaper has...\These walls are old...\By the way, what about your work, mate?\It's not a problem.\No one at work even knows that I'm here. response:	What?! What?!
context: Yes, ma'am!\What is it, ma'am?\The rain soaked through, and the wallpaper has...\These walls are old...\By the way, what about your work, mate?\It's not a problem.\No one at work even knows that I'm here.\What?! What?! response:	You two all right? Your faces are pale...
context: What is it, ma'am?\The rain soaked through, and the wallpaper has...\These walls are old...\By the way, what about your work, mate?\It's not a problem.\No one at work even knows that I'm here.\What?! What?!\You two all right? Your faces are pale... response:	Excuse me...
context: The rain soaked through, and the wallpaper has...\These walls are old...\By the way, what about your work, mate?\It's not a problem.\No one at work even knows that I'm here.\What?! What?!\You two all right? Your faces are pale...\Excuse me... response:	Could you hurry, please? My guests will be here soon.
context: These walls are old...\By the way, what about your work, mate?\It's not a problem.\No one at work even knows that I'm here.\What?! What?!\You two all right? Your faces are pale...\Excuse me...\Could you hurry, please? My guests will be here soon. response:	It's not my fault that it rained!
context: By the way, what about your work, mate?\It's not a problem.\No one at work even knows that I'm here.\What?! What?!\You two all right? Your faces are pale...\Excuse me...\Could you hurry, please? My guests will be here soon.\It's not my fault that it rained! response:	There we go!
context: It's not a problem.\No one at work even knows that I'm here.\What?! What?!\You two all right? Your faces are pale...\Excuse me...\Could you hurry, please? My guests will be here soon.\It's not my fault that it rained!\There we go! response:	Thank you for your help.
context: No one at work even knows that I'm here.\What?! What?!\You two all right? Your faces are pale...\Excuse me...\Could you hurry, please? My guests will be here soon.\It's not my fault that it rained!\There we go!\Thank you for your help. response:	Unfortunately, that stain is permanent. The paper'll have to be changed.
context: What?! What?!\You two all right? Your faces are pale...\Excuse me...\Could you hurry, please? My guests will be here soon.\It's not my fault that it rained!\There we go!\Thank you for your help.\Unfortunately, that stain is permanent. The paper'll have to be changed. response:	I see. You'll take care of it then, won't you?
context: You two all right? Your faces are pale...\Excuse me...\Could you hurry, please? My guests will be here soon.\It's not my fault that it rained!\There we go!\Thank you for your help.\Unfortunately, that stain is permanent. The paper'll have to be changed.\I see. You'll take care of it then, won't you? response:	You know, this house really has seen better days.
context: Excuse me...\Could you hurry, please? My guests will be here soon.\It's not my fault that it rained!\There we go!\Thank you for your help.\Unfortunately, that stain is permanent. The paper'll have to be changed.\I see. You'll take care of it then, won't you?\You know, this house really has seen better days. response:	Just like its owner.
context: Could you hurry, please? My guests will be here soon.\It's not my fault that it rained!\There we go!\Thank you for your help.\Unfortunately, that stain is permanent. The paper'll have to be changed.\I see. You'll take care of it then, won't you?\You know, this house really has seen better days.\Just like its owner. response:	It can't be helped. We're so old, the both of us.
context: It's not my fault that it rained!\There we go!\Thank you for your help.\Unfortunately, that stain is permanent. The paper'll have to be changed.\I see. You'll take care of it then, won't you?\You know, this house really has seen better days.\Just like its owner.\It can't be helped. We're so old, the both of us. response:	I'll have to check my schedule.
context: There we go!\Thank you for your help.\Unfortunately, that stain is permanent. The paper'll have to be changed.\I see. You'll take care of it then, won't you?\You know, this house really has seen better days.\Just like its owner.\It can't be helped. We're so old, the both of us.\I'll have to check my schedule. response:	Next time I'm free, I'll stop by.
context: Thank you for your help.\Unfortunately, that stain is permanent. The paper'll have to be changed.\I see. You'll take care of it then, won't you?\You know, this house really has seen better days.\Just like its owner.\It can't be helped. We're so old, the both of us.\I'll have to check my schedule.\Next time I'm free, I'll stop by. response:	As I understand it, you're always free during the day.
context: Unfortunately, that stain is permanent. The paper'll have to be changed.\I see. You'll take care of it then, won't you?\You know, this house really has seen better days.\Just like its owner.\It can't be helped. We're so old, the both of us.\I'll have to check my schedule.\Next time I'm free, I'll stop by.\As I understand it, you're always free during the day. response:	Looks like your guests are here.
context: I see. You'll take care of it then, won't you?\You know, this house really has seen better days.\Just like its owner.\It can't be helped. We're so old, the both of us.\I'll have to check my schedule.\Next time I'm free, I'll stop by.\As I understand it, you're always free during the day.\Looks like your guests are here. response:	I'll use the back door.
context: You know, this house really has seen better days.\Just like its owner.\It can't be helped. We're so old, the both of us.\I'll have to check my schedule.\Next time I'm free, I'll stop by.\As I understand it, you're always free during the day.\Looks like your guests are here.\I'll use the back door. response:	Al, wait a moment.
context: Just like its owner.\It can't be helped. We're so old, the both of us.\I'll have to check my schedule.\Next time I'm free, I'll stop by.\As I understand it, you're always free during the day.\Looks like your guests are here.\I'll use the back door.\Al, wait a moment. response:	Emma, bring something to drink.
context: It can't be helped. We're so old, the both of us.\I'll have to check my schedule.\Next time I'm free, I'll stop by.\As I understand it, you're always free during the day.\Looks like your guests are here.\I'll use the back door.\Al, wait a moment.\Emma, bring something to drink. response:	This way.
context: I'll have to check my schedule.\Next time I'm free, I'll stop by.\As I understand it, you're always free during the day.\Looks like your guests are here.\I'll use the back door.\Al, wait a moment.\Emma, bring something to drink.\This way. response:	Eh, the kitchen is fine with me.
context: Next time I'm free, I'll stop by.\As I understand it, you're always free during the day.\Looks like your guests are here.\I'll use the back door.\Al, wait a moment.\Emma, bring something to drink.\This way.\Eh, the kitchen is fine with me. response:	Old Kelly isn't very good with people.
context: As I understand it, you're always free during the day.\Looks like your guests are here.\I'll use the back door.\Al, wait a moment.\Emma, bring something to drink.\This way.\Eh, the kitchen is fine with me.\Old Kelly isn't very good with people. response:	It must be hard on you, too.
context: Looks like your guests are here.\I'll use the back door.\Al, wait a moment.\Emma, bring something to drink.\This way.\Eh, the kitchen is fine with me.\Old Kelly isn't very good with people.\It must be hard on you, too. response:	The mistress has always been good to me.
context: I'll use the back door.\Al, wait a moment.\Emma, bring something to drink.\This way.\Eh, the kitchen is fine with me.\Old Kelly isn't very good with people.\It must be hard on you, too.\The mistress has always been good to me. response:	Say...
context: Al, wait a moment.\Emma, bring something to drink.\This way.\Eh, the kitchen is fine with me.\Old Kelly isn't very good with people.\It must be hard on you, too.\The mistress has always been good to me.\Say... response:	Did she say that the Knoxes were coming tonight?
context: Emma, bring something to drink.\This way.\Eh, the kitchen is fine with me.\Old Kelly isn't very good with people.\It must be hard on you, too.\The mistress has always been good to me.\Say...\Did she say that the Knoxes were coming tonight? response:	Yes.
context: This way.\Eh, the kitchen is fine with me.\Old Kelly isn't very good with people.\It must be hard on you, too.\The mistress has always been good to me.\Say...\Did she say that the Knoxes were coming tonight?\Yes. response:	Don't you have anything else?
context: Eh, the kitchen is fine with me.\Old Kelly isn't very good with people.\It must be hard on you, too.\The mistress has always been good to me.\Say...\Did she say that the Knoxes were coming tonight?\Yes.\Don't you have anything else? response:	This stuff's too good for them.
context: Old Kelly isn't very good with people.\It must be hard on you, too.\The mistress has always been good to me.\Say...\Did she say that the Knoxes were coming tonight?\Yes.\Don't you have anything else?\This stuff's too good for them. response:	What?
context: It must be hard on you, too.\The mistress has always been good to me.\Say...\Did she say that the Knoxes were coming tonight?\Yes.\Don't you have anything else?\This stuff's too good for them.\What? response:	Nothing... It's just that my mistress said the same thing.
context: The mistress has always been good to me.\Say...\Did she say that the Knoxes were coming tonight?\Yes.\Don't you have anything else?\This stuff's too good for them.\What?\Nothing... It's just that my mistress said the same thing. response:	Ah!
context: Say...\Did she say that the Knoxes were coming tonight?\Yes.\Don't you have anything else?\This stuff's too good for them.\What?\Nothing... It's just that my mistress said the same thing.\Ah! response:	Um...
context: Did she say that the Knoxes were coming tonight?\Yes.\Don't you have anything else?\This stuff's too good for them.\What?\Nothing... It's just that my mistress said the same thing.\Ah!\Um... response:	Yes?
context: Yes.\Don't you have anything else?\This stuff's too good for them.\What?\Nothing... It's just that my mistress said the same thing.\Ah!\Um...\Yes? response:	Have you known the mistress for a long time?
context: Don't you have anything else?\This stuff's too good for them.\What?\Nothing... It's just that my mistress said the same thing.\Ah!\Um...\Yes?\Have you known the mistress for a long time? response:	Yeah. Her late husband Doug and I were good friends.
context: This stuff's too good for them.\What?\Nothing... It's just that my mistress said the same thing.\Ah!\Um...\Yes?\Have you known the mistress for a long time?\Yeah. Her late husband Doug and I were good friends. response:	That's why Kelly occasionally asks me to help out.
context: What?\Nothing... It's just that my mistress said the same thing.\Ah!\Um...\Yes?\Have you known the mistress for a long time?\Yeah. Her late husband Doug and I were good friends.\That's why Kelly occasionally asks me to help out. response:	You knew the master?
context: Nothing... It's just that my mistress said the same thing.\Ah!\Um...\Yes?\Have you known the mistress for a long time?\Yeah. Her late husband Doug and I were good friends.\That's why Kelly occasionally asks me to help out.\You knew the master? response:	We lived near each other.
context: Ah!\Um...\Yes?\Have you known the mistress for a long time?\Yeah. Her late husband Doug and I were good friends.\That's why Kelly occasionally asks me to help out.\You knew the master?\We lived near each other. response:	When we were young, we used to pinch apples together in Covent Garden.
context: Um...\Yes?\Have you known the mistress for a long time?\Yeah. Her late husband Doug and I were good friends.\That's why Kelly occasionally asks me to help out.\You knew the master?\We lived near each other.\When we were young, we used to pinch apples together in Covent Garden. response:	Hasn't Kelly ever told you about her past?
context: Yes?\Have you known the mistress for a long time?\Yeah. Her late husband Doug and I were good friends.\That's why Kelly occasionally asks me to help out.\You knew the master?\We lived near each other.\When we were young, we used to pinch apples together in Covent Garden.\Hasn't Kelly ever told you about her past? response:	Yes... But only that her husband died.
context: Have you known the mistress for a long time?\Yeah. Her late husband Doug and I were good friends.\That's why Kelly occasionally asks me to help out.\You knew the master?\We lived near each other.\When we were young, we used to pinch apples together in Covent Garden.\Hasn't Kelly ever told you about her past?\Yes... But only that her husband died. response:	Oh?
context: Yeah. Her late husband Doug and I were good friends.\That's why Kelly occasionally asks me to help out.\You knew the master?\We lived near each other.\When we were young, we used to pinch apples together in Covent Garden.\Hasn't Kelly ever told you about her past?\Yes... But only that her husband died.\Oh? response:	Were you friends with my mistress too?
context: That's why Kelly occasionally asks me to help out.\You knew the master?\We lived near each other.\When we were young, we used to pinch apples together in Covent Garden.\Hasn't Kelly ever told you about her past?\Yes... But only that her husband died.\Oh?\Were you friends with my mistress too? response:	Eh?
context: You knew the master?\We lived near each other.\When we were young, we used to pinch apples together in Covent Garden.\Hasn't Kelly ever told you about her past?\Yes... But only that her husband died.\Oh?\Were you friends with my mistress too?\Eh? response:	Oh, no, I mean... I just wondered where the mistress and her husband had met...
context: We lived near each other.\When we were young, we used to pinch apples together in Covent Garden.\Hasn't Kelly ever told you about her past?\Yes... But only that her husband died.\Oh?\Were you friends with my mistress too?\Eh?\Oh, no, I mean... I just wondered where the mistress and her husband had met... response:	Nowhere, it was an arranged marriage.
context: When we were young, we used to pinch apples together in Covent Garden.\Hasn't Kelly ever told you about her past?\Yes... But only that her husband died.\Oh?\Were you friends with my mistress too?\Eh?\Oh, no, I mean... I just wondered where the mistress and her husband had met...\Nowhere, it was an arranged marriage. response:	I think they married after meeting three times.
context: Hasn't Kelly ever told you about her past?\Yes... But only that her husband died.\Oh?\Were you friends with my mistress too?\Eh?\Oh, no, I mean... I just wondered where the mistress and her husband had met...\Nowhere, it was an arranged marriage.\I think they married after meeting three times. response:	Oh, really?
context: Yes... But only that her husband died.\Oh?\Were you friends with my mistress too?\Eh?\Oh, no, I mean... I just wondered where the mistress and her husband had met...\Nowhere, it was an arranged marriage.\I think they married after meeting three times.\Oh, really? response:	It's a common thing.
context: Oh?\Were you friends with my mistress too?\Eh?\Oh, no, I mean... I just wondered where the mistress and her husband had met...\Nowhere, it was an arranged marriage.\I think they married after meeting three times.\Oh, really?\It's a common thing. response:	Kelly is a stern woman.
context: Were you friends with my mistress too?\Eh?\Oh, no, I mean... I just wondered where the mistress and her husband had met...\Nowhere, it was an arranged marriage.\I think they married after meeting three times.\Oh, really?\It's a common thing.\Kelly is a stern woman. response:	But even so, when it came to her husband, she-
context: Eh?\Oh, no, I mean... I just wondered where the mistress and her husband had met...\Nowhere, it was an arranged marriage.\I think they married after meeting three times.\Oh, really?\It's a common thing.\Kelly is a stern woman.\But even so, when it came to her husband, she- response:	Are you talking about me?
context: Oh, no, I mean... I just wondered where the mistress and her husband had met...\Nowhere, it was an arranged marriage.\I think they married after meeting three times.\Oh, really?\It's a common thing.\Kelly is a stern woman.\But even so, when it came to her husband, she-\Are you talking about me? response:	Well then, guess it's time to go!
context: Nowhere, it was an arranged marriage.\I think they married after meeting three times.\Oh, really?\It's a common thing.\Kelly is a stern woman.\But even so, when it came to her husband, she-\Are you talking about me?\Well then, guess it's time to go! response:	Wait a moment! Well then, guess it's time to go!
context: I think they married after meeting three times.\Oh, really?\It's a common thing.\Kelly is a stern woman.\But even so, when it came to her husband, she-\Are you talking about me?\Well then, guess it's time to go!\Wait a moment! Well then, guess it's time to go! response:	Wait a moment!
context: Oh, really?\It's a common thing.\Kelly is a stern woman.\But even so, when it came to her husband, she-\Are you talking about me?\Well then, guess it's time to go!\Wait a moment! Well then, guess it's time to go!\Wait a moment! response:	You're in luck. It seems the Knoxes aren't coming.
context: It's a common thing.\Kelly is a stern woman.\But even so, when it came to her husband, she-\Are you talking about me?\Well then, guess it's time to go!\Wait a moment! Well then, guess it's time to go!\Wait a moment!\You're in luck. It seems the Knoxes aren't coming. response:	What?
context: Kelly is a stern woman.\But even so, when it came to her husband, she-\Are you talking about me?\Well then, guess it's time to go!\Wait a moment! Well then, guess it's time to go!\Wait a moment!\You're in luck. It seems the Knoxes aren't coming.\What? response:	Emma, it would be a shame to let your hard work go to waste...
context: But even so, when it came to her husband, she-\Are you talking about me?\Well then, guess it's time to go!\Wait a moment! Well then, guess it's time to go!\Wait a moment!\You're in luck. It seems the Knoxes aren't coming.\What?\Emma, it would be a shame to let your hard work go to waste... response:	Eh?...so let's enjoy this meal together, all three of us.
context: Are you talking about me?\Well then, guess it's time to go!\Wait a moment! Well then, guess it's time to go!\Wait a moment!\You're in luck. It seems the Knoxes aren't coming.\What?\Emma, it would be a shame to let your hard work go to waste...\Eh?...so let's enjoy this meal together, all three of us. response:	Eh?
context: Well then, guess it's time to go!\Wait a moment! Well then, guess it's time to go!\Wait a moment!\You're in luck. It seems the Knoxes aren't coming.\What?\Emma, it would be a shame to let your hard work go to waste...\Eh?...so let's enjoy this meal together, all three of us.\Eh? response:	What's wrong, William?
context: Wait a moment! Well then, guess it's time to go!\Wait a moment!\You're in luck. It seems the Knoxes aren't coming.\What?\Emma, it would be a shame to let your hard work go to waste...\Eh?...so let's enjoy this meal together, all three of us.\Eh?\What's wrong, William? response:	You're certainly off form today. You've done nothing but miss.
context: Wait a moment!\You're in luck. It seems the Knoxes aren't coming.\What?\Emma, it would be a shame to let your hard work go to waste...\Eh?...so let's enjoy this meal together, all three of us.\Eh?\What's wrong, William?\You're certainly off form today. You've done nothing but miss. response:	Hm? Yeah...
context: You're in luck. It seems the Knoxes aren't coming.\What?\Emma, it would be a shame to let your hard work go to waste...\Eh?...so let's enjoy this meal together, all three of us.\Eh?\What's wrong, William?\You're certainly off form today. You've done nothing but miss.\Hm? Yeah... response:	On the other hand, your lndian friend can't do anything wrong.
context: What?\Emma, it would be a shame to let your hard work go to waste...\Eh?...so let's enjoy this meal together, all three of us.\Eh?\What's wrong, William?\You're certainly off form today. You've done nothing but miss.\Hm? Yeah...\On the other hand, your lndian friend can't do anything wrong. response:	So it would seem.
context: Emma, it would be a shame to let your hard work go to waste...\Eh?...so let's enjoy this meal together, all three of us.\Eh?\What's wrong, William?\You're certainly off form today. You've done nothing but miss.\Hm? Yeah...\On the other hand, your lndian friend can't do anything wrong.\So it would seem. response:	It's as though he doesn't have a care in the world.
context: Eh?...so let's enjoy this meal together, all three of us.\Eh?\What's wrong, William?\You're certainly off form today. You've done nothing but miss.\Hm? Yeah...\On the other hand, your lndian friend can't do anything wrong.\So it would seem.\It's as though he doesn't have a care in the world. response:	I wouldn't say that.
context: Eh?\What's wrong, William?\You're certainly off form today. You've done nothing but miss.\Hm? Yeah...\On the other hand, your lndian friend can't do anything wrong.\So it would seem.\It's as though he doesn't have a care in the world.\I wouldn't say that. response:	Bravo!
context: What's wrong, William?\You're certainly off form today. You've done nothing but miss.\Hm? Yeah...\On the other hand, your lndian friend can't do anything wrong.\So it would seem.\It's as though he doesn't have a care in the world.\I wouldn't say that.\Bravo! response:	To Emma!
context: You're certainly off form today. You've done nothing but miss.\Hm? Yeah...\On the other hand, your lndian friend can't do anything wrong.\So it would seem.\It's as though he doesn't have a care in the world.\I wouldn't say that.\Bravo!\To Emma! response:	Wha-?
context: Hm? Yeah...\On the other hand, your lndian friend can't do anything wrong.\So it would seem.\It's as though he doesn't have a care in the world.\I wouldn't say that.\Bravo!\To Emma!\Wha-? response:	To Emma!
context: On the other hand, your lndian friend can't do anything wrong.\So it would seem.\It's as though he doesn't have a care in the world.\I wouldn't say that.\Bravo!\To Emma!\Wha-?\To Emma! response:	To Mr. and Mrs. Knox!
context: So it would seem.\It's as though he doesn't have a care in the world.\I wouldn't say that.\Bravo!\To Emma!\Wha-?\To Emma!\To Mr. and Mrs. Knox! response:	Al, you're not as strong with alcohol as you used to be.
context: It's as though he doesn't have a care in the world.\I wouldn't say that.\Bravo!\To Emma!\Wha-?\To Emma!\To Mr. and Mrs. Knox!\Al, you're not as strong with alcohol as you used to be. response:	I've always been weak where ladies and fine wine are concerned!
context: I wouldn't say that.\Bravo!\To Emma!\Wha-?\To Emma!\To Mr. and Mrs. Knox!\Al, you're not as strong with alcohol as you used to be.\I've always been weak where ladies and fine wine are concerned! response:	Would you like another roll?
