context: Listen up, everyone. response:	I'm putting Chihaya in the number three position.
context: Bring home the win!\Victory for Mizusawa!\Yeah!\But...\1. Yuube (Third-year) Class A 2. Hayasaka (Second-year) Class B 3. Ousaka (Third-year) Class A 4. Nanase (Third-year) Class B 5. Tanimura (Third-year) Class B\Akashi Girls might change up their order.\I didn't mention this...\I didn't mention this... response:	But...
context: Victory for Mizusawa!\Yeah!\But...\1. Yuube (Third-year) Class A 2. Hayasaka (Second-year) Class B 3. Ousaka (Third-year) Class A 4. Nanase (Third-year) Class B 5. Tanimura (Third-year) Class B\Akashi Girls might change up their order.\I didn't mention this...\I didn't mention this...\But... response:	They probably went with the same order every match
context: Yeah!\But...\1. Yuube (Third-year) Class A 2. Hayasaka (Second-year) Class B 3. Ousaka (Third-year) Class A 4. Nanase (Third-year) Class B 5. Tanimura (Third-year) Class B\Akashi Girls might change up their order.\I didn't mention this...\I didn't mention this...\But...\They probably went with the same order every match response:	as preparation for the strong teams they'll face from here on.
context: But...\1. Yuube (Third-year) Class A 2. Hayasaka (Second-year) Class B 3. Ousaka (Third-year) Class A 4. Nanase (Third-year) Class B 5. Tanimura (Third-year) Class B\Akashi Girls might change up their order.\I didn't mention this...\I didn't mention this...\But...\They probably went with the same order every match\as preparation for the strong teams they'll face from here on. response:	They'll switch it up once they face a strong team.
context: 1. Yuube (Third-year) Class A 2. Hayasaka (Second-year) Class B 3. Ousaka (Third-year) Class A 4. Nanase (Third-year) Class B 5. Tanimura (Third-year) Class B\Akashi Girls might change up their order.\I didn't mention this...\I didn't mention this...\But...\They probably went with the same order every match\as preparation for the strong teams they'll face from here on.\They'll switch it up once they face a strong team. response:	So the question is whether Akashi thinks we're good enough.
context: Akashi Girls might change up their order.\I didn't mention this...\I didn't mention this...\But...\They probably went with the same order every match\as preparation for the strong teams they'll face from here on.\They'll switch it up once they face a strong team.\So the question is whether Akashi thinks we're good enough. response:	I will begin reading the order for
context: I didn't mention this...\I didn't mention this...\But...\They probably went with the same order every match\as preparation for the strong teams they'll face from here on.\They'll switch it up once they face a strong team.\So the question is whether Akashi thinks we're good enough.\I will begin reading the order for response:	Mizusawa High School versus First Akashi Girls' High School.
context: I didn't mention this...\But...\They probably went with the same order every match\as preparation for the strong teams they'll face from here on.\They'll switch it up once they face a strong team.\So the question is whether Akashi thinks we're good enough.\I will begin reading the order for\Mizusawa High School versus First Akashi Girls' High School. response:	Mizusawa High School, Nishida-kun.
context: But...\They probably went with the same order every match\as preparation for the strong teams they'll face from here on.\They'll switch it up once they face a strong team.\So the question is whether Akashi thinks we're good enough.\I will begin reading the order for\Mizusawa High School versus First Akashi Girls' High School.\Mizusawa High School, Nishida-kun. response:	First Akashi Girls', Yuube-san.
context: They probably went with the same order every match\as preparation for the strong teams they'll face from here on.\They'll switch it up once they face a strong team.\So the question is whether Akashi thinks we're good enough.\I will begin reading the order for\Mizusawa High School versus First Akashi Girls' High School.\Mizusawa High School, Nishida-kun.\First Akashi Girls', Yuube-san. response:	Good, all according to plan!
context: as preparation for the strong teams they'll face from here on.\They'll switch it up once they face a strong team.\So the question is whether Akashi thinks we're good enough.\I will begin reading the order for\Mizusawa High School versus First Akashi Girls' High School.\Mizusawa High School, Nishida-kun.\First Akashi Girls', Yuube-san.\Good, all according to plan! response:	Mizusawa High School, Oe-san.
context: They'll switch it up once they face a strong team.\So the question is whether Akashi thinks we're good enough.\I will begin reading the order for\Mizusawa High School versus First Akashi Girls' High School.\Mizusawa High School, Nishida-kun.\First Akashi Girls', Yuube-san.\Good, all according to plan!\Mizusawa High School, Oe-san. response:	First Akashi Girls', Hayasaka-san.
context: So the question is whether Akashi thinks we're good enough.\I will begin reading the order for\Mizusawa High School versus First Akashi Girls' High School.\Mizusawa High School, Nishida-kun.\First Akashi Girls', Yuube-san.\Good, all according to plan!\Mizusawa High School, Oe-san.\First Akashi Girls', Hayasaka-san. response:	All according to plan!
context: I will begin reading the order for\Mizusawa High School versus First Akashi Girls' High School.\Mizusawa High School, Nishida-kun.\First Akashi Girls', Yuube-san.\Good, all according to plan!\Mizusawa High School, Oe-san.\First Akashi Girls', Hayasaka-san.\All according to plan! response:	Mizusawa High School, Ayase-san.
context: Mizusawa High School versus First Akashi Girls' High School.\Mizusawa High School, Nishida-kun.\First Akashi Girls', Yuube-san.\Good, all according to plan!\Mizusawa High School, Oe-san.\First Akashi Girls', Hayasaka-san.\All according to plan!\Mizusawa High School, Ayase-san. response:	First Akashi Girls', Ousaka-san.
context: Mizusawa High School, Nishida-kun.\First Akashi Girls', Yuube-san.\Good, all according to plan!\Mizusawa High School, Oe-san.\First Akashi Girls', Hayasaka-san.\All according to plan!\Mizusawa High School, Ayase-san.\First Akashi Girls', Ousaka-san. response:	All according to plan!
context: First Akashi Girls', Yuube-san.\Good, all according to plan!\Mizusawa High School, Oe-san.\First Akashi Girls', Hayasaka-san.\All according to plan!\Mizusawa High School, Ayase-san.\First Akashi Girls', Ousaka-san.\All according to plan! response:	Mizusawa High School, Mashima-kun.
context: Good, all according to plan!\Mizusawa High School, Oe-san.\First Akashi Girls', Hayasaka-san.\All according to plan!\Mizusawa High School, Ayase-san.\First Akashi Girls', Ousaka-san.\All according to plan!\Mizusawa High School, Mashima-kun. response:	First Akashi Girls', Nanase-san.
context: Mizusawa High School, Oe-san.\First Akashi Girls', Hayasaka-san.\All according to plan!\Mizusawa High School, Ayase-san.\First Akashi Girls', Ousaka-san.\All according to plan!\Mizusawa High School, Mashima-kun.\First Akashi Girls', Nanase-san. response:	Mizusawa High School, Komano-kun.
context: First Akashi Girls', Hayasaka-san.\All according to plan!\Mizusawa High School, Ayase-san.\First Akashi Girls', Ousaka-san.\All according to plan!\Mizusawa High School, Mashima-kun.\First Akashi Girls', Nanase-san.\Mizusawa High School, Komano-kun. response:	First Akashi Girls', Tanimura-san.
context: All according to plan!\Mizusawa High School, Ayase-san.\First Akashi Girls', Ousaka-san.\All according to plan!\Mizusawa High School, Mashima-kun.\First Akashi Girls', Nanase-san.\Mizusawa High School, Komano-kun.\First Akashi Girls', Tanimura-san. response:	It's so exactly according to our plan,
context: Mizusawa High School, Ayase-san.\First Akashi Girls', Ousaka-san.\All according to plan!\Mizusawa High School, Mashima-kun.\First Akashi Girls', Nanase-san.\Mizusawa High School, Komano-kun.\First Akashi Girls', Tanimura-san.\It's so exactly according to our plan, response:	it's kind of sad...
context: First Akashi Girls', Ousaka-san.\All according to plan!\Mizusawa High School, Mashima-kun.\First Akashi Girls', Nanase-san.\Mizusawa High School, Komano-kun.\First Akashi Girls', Tanimura-san.\It's so exactly according to our plan,\it's kind of sad... response:	Are they looking ahead to the finals?
context: All according to plan!\Mizusawa High School, Mashima-kun.\First Akashi Girls', Nanase-san.\Mizusawa High School, Komano-kun.\First Akashi Girls', Tanimura-san.\It's so exactly according to our plan,\it's kind of sad...\Are they looking ahead to the finals? response:	They don't respect us?
context: Mizusawa High School, Mashima-kun.\First Akashi Girls', Nanase-san.\Mizusawa High School, Komano-kun.\First Akashi Girls', Tanimura-san.\It's so exactly according to our plan,\it's kind of sad...\Are they looking ahead to the finals?\They don't respect us? response:	Or perhaps...
context: First Akashi Girls', Nanase-san.\Mizusawa High School, Komano-kun.\First Akashi Girls', Tanimura-san.\It's so exactly according to our plan,\it's kind of sad...\Are they looking ahead to the finals?\They don't respect us?\Or perhaps... response:	they have absolute faith that their ace will win?
context: Mizusawa High School, Komano-kun.\First Akashi Girls', Tanimura-san.\It's so exactly according to our plan,\it's kind of sad...\Are they looking ahead to the finals?\They don't respect us?\Or perhaps...\they have absolute faith that their ace will win? response:	Chihaya Furu
context: First Akashi Girls', Tanimura-san.\It's so exactly according to our plan,\it's kind of sad...\Are they looking ahead to the finals?\They don't respect us?\Or perhaps...\they have absolute faith that their ace will win?\Chihaya Furu response:	The only sign of summer
context: It's so exactly according to our plan,\it's kind of sad...\Are they looking ahead to the finals?\They don't respect us?\Or perhaps...\they have absolute faith that their ace will win?\Chihaya Furu\The only sign of summer response:	Verse 12
context: it's kind of sad...\Are they looking ahead to the finals?\They don't respect us?\Or perhaps...\they have absolute faith that their ace will win?\Chihaya Furu\The only sign of summer\Verse 12 response:	Hold on, Megumu.
context: Are they looking ahead to the finals?\They don't respect us?\Or perhaps...\they have absolute faith that their ace will win?\Chihaya Furu\The only sign of summer\Verse 12\Hold on, Megumu. response:	We're not playing Fujisaki.
context: They don't respect us?\Or perhaps...\they have absolute faith that their ace will win?\Chihaya Furu\The only sign of summer\Verse 12\Hold on, Megumu.\We're not playing Fujisaki. response:	Over here.
context: Or perhaps...\they have absolute faith that their ace will win?\Chihaya Furu\The only sign of summer\Verse 12\Hold on, Megumu.\We're not playing Fujisaki.\Over here. response:	What?
context: they have absolute faith that their ace will win?\Chihaya Furu\The only sign of summer\Verse 12\Hold on, Megumu.\We're not playing Fujisaki.\Over here.\What? response:	Oh, sorry about that.
context: Chihaya Furu\The only sign of summer\Verse 12\Hold on, Megumu.\We're not playing Fujisaki.\Over here.\What?\Oh, sorry about that. response:	Swoon!
context: The only sign of summer\Verse 12\Hold on, Megumu.\We're not playing Fujisaki.\Over here.\What?\Oh, sorry about that.\Swoon! response:	Oh, this is still the semifinal.
context: Verse 12\Hold on, Megumu.\We're not playing Fujisaki.\Over here.\What?\Oh, sorry about that.\Swoon!\Oh, this is still the semifinal. response:	Megumu, how could you screw that up
context: Hold on, Megumu.\We're not playing Fujisaki.\Over here.\What?\Oh, sorry about that.\Swoon!\Oh, this is still the semifinal.\Megumu, how could you screw that up response:	after they read the order?
context: We're not playing Fujisaki.\Over here.\What?\Oh, sorry about that.\Swoon!\Oh, this is still the semifinal.\Megumu, how could you screw that up\after they read the order? response:	What? But...
context: Over here.\What?\Oh, sorry about that.\Swoon!\Oh, this is still the semifinal.\Megumu, how could you screw that up\after they read the order?\What? But... response:	They should just let us play the final now.
context: What?\Oh, sorry about that.\Swoon!\Oh, this is still the semifinal.\Megumu, how could you screw that up\after they read the order?\What? But...\They should just let us play the final now. response:	Swoon! Swoon! Swoon!
context: Oh, sorry about that.\Swoon!\Oh, this is still the semifinal.\Megumu, how could you screw that up\after they read the order?\What? But...\They should just let us play the final now.\Swoon! Swoon! Swoon! response:	She really is ordinary and sharp-tongued, yet popular!
context: Swoon!\Oh, this is still the semifinal.\Megumu, how could you screw that up\after they read the order?\What? But...\They should just let us play the final now.\Swoon! Swoon! Swoon!\She really is ordinary and sharp-tongued, yet popular! response:	Megumu-tan is our bitter and sweet idol...
context: Oh, this is still the semifinal.\Megumu, how could you screw that up\after they read the order?\What? But...\They should just let us play the final now.\Swoon! Swoon! Swoon!\She really is ordinary and sharp-tongued, yet popular!\Megumu-tan is our bitter and sweet idol... response:	We first met her early last summer,
context: Megumu, how could you screw that up\after they read the order?\What? But...\They should just let us play the final now.\Swoon! Swoon! Swoon!\She really is ordinary and sharp-tongued, yet popular!\Megumu-tan is our bitter and sweet idol...\We first met her early last summer, response:	during the brilliant First Akashi Girls' cultural festival.
context: after they read the order?\What? But...\They should just let us play the final now.\Swoon! Swoon! Swoon!\She really is ordinary and sharp-tongued, yet popular!\Megumu-tan is our bitter and sweet idol...\We first met her early last summer,\during the brilliant First Akashi Girls' cultural festival. response:	Wait, we're going to cut to your flashback now?!
context: What? But...\They should just let us play the final now.\Swoon! Swoon! Swoon!\She really is ordinary and sharp-tongued, yet popular!\Megumu-tan is our bitter and sweet idol...\We first met her early last summer,\during the brilliant First Akashi Girls' cultural festival.\Wait, we're going to cut to your flashback now?! response:	We belong to the photography club at the neighboring boys' school...
context: They should just let us play the final now.\Swoon! Swoon! Swoon!\She really is ordinary and sharp-tongued, yet popular!\Megumu-tan is our bitter and sweet idol...\We first met her early last summer,\during the brilliant First Akashi Girls' cultural festival.\Wait, we're going to cut to your flashback now?!\We belong to the photography club at the neighboring boys' school... response:	What's this? Taking pictures without permission?
context: Swoon! Swoon! Swoon!\She really is ordinary and sharp-tongued, yet popular!\Megumu-tan is our bitter and sweet idol...\We first met her early last summer,\during the brilliant First Akashi Girls' cultural festival.\Wait, we're going to cut to your flashback now?!\We belong to the photography club at the neighboring boys' school...\What's this? Taking pictures without permission? response:	Get lost!
context: She really is ordinary and sharp-tongued, yet popular!\Megumu-tan is our bitter and sweet idol...\We first met her early last summer,\during the brilliant First Akashi Girls' cultural festival.\Wait, we're going to cut to your flashback now?!\We belong to the photography club at the neighboring boys' school...\What's this? Taking pictures without permission?\Get lost! response:	Teacher, there are perverts here!
context: Megumu-tan is our bitter and sweet idol...\We first met her early last summer,\during the brilliant First Akashi Girls' cultural festival.\Wait, we're going to cut to your flashback now?!\We belong to the photography club at the neighboring boys' school...\What's this? Taking pictures without permission?\Get lost!\Teacher, there are perverts here! response:	Our intentions were pure,
context: We first met her early last summer,\during the brilliant First Akashi Girls' cultural festival.\Wait, we're going to cut to your flashback now?!\We belong to the photography club at the neighboring boys' school...\What's this? Taking pictures without permission?\Get lost!\Teacher, there are perverts here!\Our intentions were pure, response:	yet they called us perverts for taking a few pictures.
context: during the brilliant First Akashi Girls' cultural festival.\Wait, we're going to cut to your flashback now?!\We belong to the photography club at the neighboring boys' school...\What's this? Taking pictures without permission?\Get lost!\Teacher, there are perverts here!\Our intentions were pure,\yet they called us perverts for taking a few pictures. response:	That was when...
context: Wait, we're going to cut to your flashback now?!\We belong to the photography club at the neighboring boys' school...\What's this? Taking pictures without permission?\Get lost!\Teacher, there are perverts here!\Our intentions were pure,\yet they called us perverts for taking a few pictures.\That was when... response:	That's mean.
context: We belong to the photography club at the neighboring boys' school...\What's this? Taking pictures without permission?\Get lost!\Teacher, there are perverts here!\Our intentions were pure,\yet they called us perverts for taking a few pictures.\That was when...\That's mean. response:	Would you like to take pictures of the demonstration our club's doing?
context: What's this? Taking pictures without permission?\Get lost!\Teacher, there are perverts here!\Our intentions were pure,\yet they called us perverts for taking a few pictures.\That was when...\That's mean.\Would you like to take pictures of the demonstration our club's doing? response:	I'm from the competitive karuta club.
context: Get lost!\Teacher, there are perverts here!\Our intentions were pure,\yet they called us perverts for taking a few pictures.\That was when...\That's mean.\Would you like to take pictures of the demonstration our club's doing?\I'm from the competitive karuta club. response:	Megumu-tan was so kind and lovely that day.
context: Teacher, there are perverts here!\Our intentions were pure,\yet they called us perverts for taking a few pictures.\That was when...\That's mean.\Would you like to take pictures of the demonstration our club's doing?\I'm from the competitive karuta club.\Megumu-tan was so kind and lovely that day. response:	Hey, hey.
context: Our intentions were pure,\yet they called us perverts for taking a few pictures.\That was when...\That's mean.\Would you like to take pictures of the demonstration our club's doing?\I'm from the competitive karuta club.\Megumu-tan was so kind and lovely that day.\Hey, hey. response:	How did the pictures turn out?
context: yet they called us perverts for taking a few pictures.\That was when...\That's mean.\Would you like to take pictures of the demonstration our club's doing?\I'm from the competitive karuta club.\Megumu-tan was so kind and lovely that day.\Hey, hey.\How did the pictures turn out? response:	Let me see.
context: That was when...\That's mean.\Would you like to take pictures of the demonstration our club's doing?\I'm from the competitive karuta club.\Megumu-tan was so kind and lovely that day.\Hey, hey.\How did the pictures turn out?\Let me see. response:	Oh...
context: That's mean.\Would you like to take pictures of the demonstration our club's doing?\I'm from the competitive karuta club.\Megumu-tan was so kind and lovely that day.\Hey, hey.\How did the pictures turn out?\Let me see.\Oh... response:	Wow, very nice.
context: Would you like to take pictures of the demonstration our club's doing?\I'm from the competitive karuta club.\Megumu-tan was so kind and lovely that day.\Hey, hey.\How did the pictures turn out?\Let me see.\Oh...\Wow, very nice. response:	Delete all pictures?
context: I'm from the competitive karuta club.\Megumu-tan was so kind and lovely that day.\Hey, hey.\How did the pictures turn out?\Let me see.\Oh...\Wow, very nice.\Delete all pictures? response:	Deleting...
context: Megumu-tan was so kind and lovely that day.\Hey, hey.\How did the pictures turn out?\Let me see.\Oh...\Wow, very nice.\Delete all pictures?\Deleting... response:	No data
context: Hey, hey.\How did the pictures turn out?\Let me see.\Oh...\Wow, very nice.\Delete all pictures?\Deleting...\No data response:	Feel free to come take more pictures.
context: How did the pictures turn out?\Let me see.\Oh...\Wow, very nice.\Delete all pictures?\Deleting...\No data\Feel free to come take more pictures. response:	I'll delete them when you're done.
context: Let me see.\Oh...\Wow, very nice.\Delete all pictures?\Deleting...\No data\Feel free to come take more pictures.\I'll delete them when you're done. response:	Swoon!
context: Oh...\Wow, very nice.\Delete all pictures?\Deleting...\No data\Feel free to come take more pictures.\I'll delete them when you're done.\Swoon! response:	Ever since, we've been taking pictures for Megumu-tan to delete.
context: Wow, very nice.\Delete all pictures?\Deleting...\No data\Feel free to come take more pictures.\I'll delete them when you're done.\Swoon!\Ever since, we've been taking pictures for Megumu-tan to delete. response:	What?!
context: Delete all pictures?\Deleting...\No data\Feel free to come take more pictures.\I'll delete them when you're done.\Swoon!\Ever since, we've been taking pictures for Megumu-tan to delete.\What?! response:	What is it, Mori?
context: Deleting...\No data\Feel free to come take more pictures.\I'll delete them when you're done.\Swoon!\Ever since, we've been taking pictures for Megumu-tan to delete.\What?!\What is it, Mori? response:	That picture!
context: No data\Feel free to come take more pictures.\I'll delete them when you're done.\Swoon!\Ever since, we've been taking pictures for Megumu-tan to delete.\What?!\What is it, Mori?\That picture! response:	It's from Megumu-tan's tournament last year!
context: Feel free to come take more pictures.\I'll delete them when you're done.\Swoon!\Ever since, we've been taking pictures for Megumu-tan to delete.\What?!\What is it, Mori?\That picture!\It's from Megumu-tan's tournament last year! response:	You were able to salvage it?!
context: I'll delete them when you're done.\Swoon!\Ever since, we've been taking pictures for Megumu-tan to delete.\What?!\What is it, Mori?\That picture!\It's from Megumu-tan's tournament last year!\You were able to salvage it?! response:	Bastard!
context: Swoon!\Ever since, we've been taking pictures for Megumu-tan to delete.\What?!\What is it, Mori?\That picture!\It's from Megumu-tan's tournament last year!\You were able to salvage it?!\Bastard! response:	You've betrayed Megumu-tan!
context: Ever since, we've been taking pictures for Megumu-tan to delete.\What?!\What is it, Mori?\That picture!\It's from Megumu-tan's tournament last year!\You were able to salvage it?!\Bastard!\You've betrayed Megumu-tan! response:	We can't allow the chronicle of Megumu-tan, the next Queen,
context: What?!\What is it, Mori?\That picture!\It's from Megumu-tan's tournament last year!\You were able to salvage it?!\Bastard!\You've betrayed Megumu-tan!\We can't allow the chronicle of Megumu-tan, the next Queen, response:	to be completely erased.
context: What is it, Mori?\That picture!\It's from Megumu-tan's tournament last year!\You were able to salvage it?!\Bastard!\You've betrayed Megumu-tan!\We can't allow the chronicle of Megumu-tan, the next Queen,\to be completely erased. response:	Anyway, haven't you noticed?
context: That picture!\It's from Megumu-tan's tournament last year!\You were able to salvage it?!\Bastard!\You've betrayed Megumu-tan!\We can't allow the chronicle of Megumu-tan, the next Queen,\to be completely erased.\Anyway, haven't you noticed? response:	Megumu-tan has changed...
context: It's from Megumu-tan's tournament last year!\You were able to salvage it?!\Bastard!\You've betrayed Megumu-tan!\We can't allow the chronicle of Megumu-tan, the next Queen,\to be completely erased.\Anyway, haven't you noticed?\Megumu-tan has changed... response:	Is that Ousaka Megumu?
context: You were able to salvage it?!\Bastard!\You've betrayed Megumu-tan!\We can't allow the chronicle of Megumu-tan, the next Queen,\to be completely erased.\Anyway, haven't you noticed?\Megumu-tan has changed...\Is that Ousaka Megumu? response:	Which one?
context: Bastard!\You've betrayed Megumu-tan!\We can't allow the chronicle of Megumu-tan, the next Queen,\to be completely erased.\Anyway, haven't you noticed?\Megumu-tan has changed...\Is that Ousaka Megumu?\Which one? response:	If she was the West representative, she must be strong.
context: You've betrayed Megumu-tan!\We can't allow the chronicle of Megumu-tan, the next Queen,\to be completely erased.\Anyway, haven't you noticed?\Megumu-tan has changed...\Is that Ousaka Megumu?\Which one?\If she was the West representative, she must be strong. response:	She lost to a veteran in the challenger final,
context: We can't allow the chronicle of Megumu-tan, the next Queen,\to be completely erased.\Anyway, haven't you noticed?\Megumu-tan has changed...\Is that Ousaka Megumu?\Which one?\If she was the West representative, she must be strong.\She lost to a veteran in the challenger final, response:	but she may be the one who faces Wakamiya Shinobu
context: to be completely erased.\Anyway, haven't you noticed?\Megumu-tan has changed...\Is that Ousaka Megumu?\Which one?\If she was the West representative, she must be strong.\She lost to a veteran in the challenger final,\but she may be the one who faces Wakamiya Shinobu response:	in the Queen match this year.
context: Anyway, haven't you noticed?\Megumu-tan has changed...\Is that Ousaka Megumu?\Which one?\If she was the West representative, she must be strong.\She lost to a veteran in the challenger final,\but she may be the one who faces Wakamiya Shinobu\in the Queen match this year. response:	Is she really that strong?
context: Megumu-tan has changed...\Is that Ousaka Megumu?\Which one?\If she was the West representative, she must be strong.\She lost to a veteran in the challenger final,\but she may be the one who faces Wakamiya Shinobu\in the Queen match this year.\Is she really that strong? response:	That's amazing.
context: Is that Ousaka Megumu?\Which one?\If she was the West representative, she must be strong.\She lost to a veteran in the challenger final,\but she may be the one who faces Wakamiya Shinobu\in the Queen match this year.\Is she really that strong?\That's amazing. response:	The one in glasses?
context: Which one?\If she was the West representative, she must be strong.\She lost to a veteran in the challenger final,\but she may be the one who faces Wakamiya Shinobu\in the Queen match this year.\Is she really that strong?\That's amazing.\The one in glasses? response:	Which one is she?!
context: If she was the West representative, she must be strong.\She lost to a veteran in the challenger final,\but she may be the one who faces Wakamiya Shinobu\in the Queen match this year.\Is she really that strong?\That's amazing.\The one in glasses?\Which one is she?! response:	There. The one putting on a headband.
context: She lost to a veteran in the challenger final,\but she may be the one who faces Wakamiya Shinobu\in the Queen match this year.\Is she really that strong?\That's amazing.\The one in glasses?\Which one is she?!\There. The one putting on a headband. response:	She must be fast, then.
context: but she may be the one who faces Wakamiya Shinobu\in the Queen match this year.\Is she really that strong?\That's amazing.\The one in glasses?\Which one is she?!\There. The one putting on a headband.\She must be fast, then. response:	I doubt she'll lose to anyone in her age group.
context: in the Queen match this year.\Is she really that strong?\That's amazing.\The one in glasses?\Which one is she?!\There. The one putting on a headband.\She must be fast, then.\I doubt she'll lose to anyone in her age group. response:	Sounds like she's strong.
context: Is she really that strong?\That's amazing.\The one in glasses?\Which one is she?!\There. The one putting on a headband.\She must be fast, then.\I doubt she'll lose to anyone in her age group.\Sounds like she's strong. response:	Oh, but her opponent's really pretty.
context: That's amazing.\The one in glasses?\Which one is she?!\There. The one putting on a headband.\She must be fast, then.\I doubt she'll lose to anyone in her age group.\Sounds like she's strong.\Oh, but her opponent's really pretty. response:	When I watched Ousaka-san last fall,
context: The one in glasses?\Which one is she?!\There. The one putting on a headband.\She must be fast, then.\I doubt she'll lose to anyone in her age group.\Sounds like she's strong.\Oh, but her opponent's really pretty.\When I watched Ousaka-san last fall, response:	she was more focused on adapting to her opponent than being fast.
context: Which one is she?!\There. The one putting on a headband.\She must be fast, then.\I doubt she'll lose to anyone in her age group.\Sounds like she's strong.\Oh, but her opponent's really pretty.\When I watched Ousaka-san last fall,\she was more focused on adapting to her opponent than being fast. response:	I need to be careful and accurate.
context: There. The one putting on a headband.\She must be fast, then.\I doubt she'll lose to anyone in her age group.\Sounds like she's strong.\Oh, but her opponent's really pretty.\When I watched Ousaka-san last fall,\she was more focused on adapting to her opponent than being fast.\I need to be careful and accurate. response:	Everybody helped to give me this chance.
context: She must be fast, then.\I doubt she'll lose to anyone in her age group.\Sounds like she's strong.\Oh, but her opponent's really pretty.\When I watched Ousaka-san last fall,\she was more focused on adapting to her opponent than being fast.\I need to be careful and accurate.\Everybody helped to give me this chance. response:	Oh, that's right.
context: I doubt she'll lose to anyone in her age group.\Sounds like she's strong.\Oh, but her opponent's really pretty.\When I watched Ousaka-san last fall,\she was more focused on adapting to her opponent than being fast.\I need to be careful and accurate.\Everybody helped to give me this chance.\Oh, that's right. response:	No matter how hard I worked, I couldn't have made it here alone.
context: Sounds like she's strong.\Oh, but her opponent's really pretty.\When I watched Ousaka-san last fall,\she was more focused on adapting to her opponent than being fast.\I need to be careful and accurate.\Everybody helped to give me this chance.\Oh, that's right.\No matter how hard I worked, I couldn't have made it here alone. response:	This
context: Oh, but her opponent's really pretty.\When I watched Ousaka-san last fall,\she was more focused on adapting to her opponent than being fast.\I need to be careful and accurate.\Everybody helped to give me this chance.\Oh, that's right.\No matter how hard I worked, I couldn't have made it here alone.\This response:	Omi Jingu tatami is for five.
context: When I watched Ousaka-san last fall,\she was more focused on adapting to her opponent than being fast.\I need to be careful and accurate.\Everybody helped to give me this chance.\Oh, that's right.\No matter how hard I worked, I couldn't have made it here alone.\This\Omi Jingu tatami is for five. response:	They should just let us play the final now.
context: she was more focused on adapting to her opponent than being fast.\I need to be careful and accurate.\Everybody helped to give me this chance.\Oh, that's right.\No matter how hard I worked, I couldn't have made it here alone.\This\Omi Jingu tatami is for five.\They should just let us play the final now. response:	You shouldn't say such a thing.
context: I need to be careful and accurate.\Everybody helped to give me this chance.\Oh, that's right.\No matter how hard I worked, I couldn't have made it here alone.\This\Omi Jingu tatami is for five.\They should just let us play the final now.\You shouldn't say such a thing. response:	We will begin now.
