context: An asteroid named VR-1 is approaching Earth. response:	It is approximately two kilometers in diameter.
context: We will not allow for such conspiracy!\We want the U.S. and Japanese government to disclose the truth, immediately!\That is the demand from us, the Qmay Group!\Showdown! What is the Qmay Group?!\Nonsense. VR-1 colliding with Earth? Impossible.\It's their doomsday philosophies that are the threat.\Qmay Group members believe in the end of the world.\No, they may be trying to make it happen themselves, response:	in order to carry out the vision
context: We want the U.S. and Japanese government to disclose the truth, immediately!\That is the demand from us, the Qmay Group!\Showdown! What is the Qmay Group?!\Nonsense. VR-1 colliding with Earth? Impossible.\It's their doomsday philosophies that are the threat.\Qmay Group members believe in the end of the world.\No, they may be trying to make it happen themselves,\in order to carry out the vision response:	of their recently-deceased leader, Tsubouchi Qmei.
context: That is the demand from us, the Qmay Group!\Showdown! What is the Qmay Group?!\Nonsense. VR-1 colliding with Earth? Impossible.\It's their doomsday philosophies that are the threat.\Qmay Group members believe in the end of the world.\No, they may be trying to make it happen themselves,\in order to carry out the vision\of their recently-deceased leader, Tsubouchi Qmei. response:	What's going on?
context: Showdown! What is the Qmay Group?!\Nonsense. VR-1 colliding with Earth? Impossible.\It's their doomsday philosophies that are the threat.\Qmay Group members believe in the end of the world.\No, they may be trying to make it happen themselves,\in order to carry out the vision\of their recently-deceased leader, Tsubouchi Qmei.\What's going on? response:	The Qmay Group says the asteroid is going to hit, and I...
context: Nonsense. VR-1 colliding with Earth? Impossible.\It's their doomsday philosophies that are the threat.\Qmay Group members believe in the end of the world.\No, they may be trying to make it happen themselves,\in order to carry out the vision\of their recently-deceased leader, Tsubouchi Qmei.\What's going on?\The Qmay Group says the asteroid is going to hit, and I... response:	So the governments and specialists are lying?
context: It's their doomsday philosophies that are the threat.\Qmay Group members believe in the end of the world.\No, they may be trying to make it happen themselves,\in order to carry out the vision\of their recently-deceased leader, Tsubouchi Qmei.\What's going on?\The Qmay Group says the asteroid is going to hit, and I...\So the governments and specialists are lying? response:	But isn't it the Qmay Group that wants to end humanity?
context: Qmay Group members believe in the end of the world.\No, they may be trying to make it happen themselves,\in order to carry out the vision\of their recently-deceased leader, Tsubouchi Qmei.\What's going on?\The Qmay Group says the asteroid is going to hit, and I...\So the governments and specialists are lying?\But isn't it the Qmay Group that wants to end humanity? response:	Also, he said their leader Tsubouchi Qmei died.
context: No, they may be trying to make it happen themselves,\in order to carry out the vision\of their recently-deceased leader, Tsubouchi Qmei.\What's going on?\The Qmay Group says the asteroid is going to hit, and I...\So the governments and specialists are lying?\But isn't it the Qmay Group that wants to end humanity?\Also, he said their leader Tsubouchi Qmei died. response:	Could it be that the person possessing my body is...
context: in order to carry out the vision\of their recently-deceased leader, Tsubouchi Qmei.\What's going on?\The Qmay Group says the asteroid is going to hit, and I...\So the governments and specialists are lying?\But isn't it the Qmay Group that wants to end humanity?\Also, he said their leader Tsubouchi Qmei died.\Could it be that the person possessing my body is... response:	Punch Line
context: of their recently-deceased leader, Tsubouchi Qmei.\What's going on?\The Qmay Group says the asteroid is going to hit, and I...\So the governments and specialists are lying?\But isn't it the Qmay Group that wants to end humanity?\Also, he said their leader Tsubouchi Qmei died.\Could it be that the person possessing my body is...\Punch Line response:	What's she watching?
context: What's going on?\The Qmay Group says the asteroid is going to hit, and I...\So the governments and specialists are lying?\But isn't it the Qmay Group that wants to end humanity?\Also, he said their leader Tsubouchi Qmei died.\Could it be that the person possessing my body is...\Punch Line\What's she watching? response:	Ito-chan, are you there?
context: The Qmay Group says the asteroid is going to hit, and I...\So the governments and specialists are lying?\But isn't it the Qmay Group that wants to end humanity?\Also, he said their leader Tsubouchi Qmei died.\Could it be that the person possessing my body is...\Punch Line\What's she watching?\Ito-chan, are you there? response:	Can you open the door for me, please?
context: So the governments and specialists are lying?\But isn't it the Qmay Group that wants to end humanity?\Also, he said their leader Tsubouchi Qmei died.\Could it be that the person possessing my body is...\Punch Line\What's she watching?\Ito-chan, are you there?\Can you open the door for me, please? response:	Wh-What is that?
context: But isn't it the Qmay Group that wants to end humanity?\Also, he said their leader Tsubouchi Qmei died.\Could it be that the person possessing my body is...\Punch Line\What's she watching?\Ito-chan, are you there?\Can you open the door for me, please?\Wh-What is that? response:	Isn't it obvious?
context: Also, he said their leader Tsubouchi Qmei died.\Could it be that the person possessing my body is...\Punch Line\What's she watching?\Ito-chan, are you there?\Can you open the door for me, please?\Wh-What is that?\Isn't it obvious? response:	It's Yakushimaru Ritsuko.
context: Could it be that the person possessing my body is...\Punch Line\What's she watching?\Ito-chan, are you there?\Can you open the door for me, please?\Wh-What is that?\Isn't it obvious?\It's Yakushimaru Ritsuko. response:	Oh, I mean, a Christmas tree.
context: Punch Line\What's she watching?\Ito-chan, are you there?\Can you open the door for me, please?\Wh-What is that?\Isn't it obvious?\It's Yakushimaru Ritsuko.\Oh, I mean, a Christmas tree. response:	How do you make that mistake?
context: What's she watching?\Ito-chan, are you there?\Can you open the door for me, please?\Wh-What is that?\Isn't it obvious?\It's Yakushimaru Ritsuko.\Oh, I mean, a Christmas tree.\How do you make that mistake? response:	Let's see... Right here should be fine.
context: Ito-chan, are you there?\Can you open the door for me, please?\Wh-What is that?\Isn't it obvious?\It's Yakushimaru Ritsuko.\Oh, I mean, a Christmas tree.\How do you make that mistake?\Let's see... Right here should be fine. response:	There we go.
context: Can you open the door for me, please?\Wh-What is that?\Isn't it obvious?\It's Yakushimaru Ritsuko.\Oh, I mean, a Christmas tree.\How do you make that mistake?\Let's see... Right here should be fine.\There we go. response:	Huh?
context: Wh-What is that?\Isn't it obvious?\It's Yakushimaru Ritsuko.\Oh, I mean, a Christmas tree.\How do you make that mistake?\Let's see... Right here should be fine.\There we go.\Huh? response:	Well, I was thinking we should have a party.
context: Isn't it obvious?\It's Yakushimaru Ritsuko.\Oh, I mean, a Christmas tree.\How do you make that mistake?\Let's see... Right here should be fine.\There we go.\Huh?\Well, I was thinking we should have a party. response:	A Christmas party.
context: It's Yakushimaru Ritsuko.\Oh, I mean, a Christmas tree.\How do you make that mistake?\Let's see... Right here should be fine.\There we go.\Huh?\Well, I was thinking we should have a party.\A Christmas party. response:	Don't tell me you want to do it here...
context: Oh, I mean, a Christmas tree.\How do you make that mistake?\Let's see... Right here should be fine.\There we go.\Huh?\Well, I was thinking we should have a party.\A Christmas party.\Don't tell me you want to do it here... response:	Let's do it!
context: How do you make that mistake?\Let's see... Right here should be fine.\There we go.\Huh?\Well, I was thinking we should have a party.\A Christmas party.\Don't tell me you want to do it here...\Let's do it! response:	Let's party!
context: Let's see... Right here should be fine.\There we go.\Huh?\Well, I was thinking we should have a party.\A Christmas party.\Don't tell me you want to do it here...\Let's do it!\Let's party! response:	Jingle bells, jingle bells, here come the Martians!
context: There we go.\Huh?\Well, I was thinking we should have a party.\A Christmas party.\Don't tell me you want to do it here...\Let's do it!\Let's party!\Jingle bells, jingle bells, here come the Martians! response:	They aren't coming.
context: Huh?\Well, I was thinking we should have a party.\A Christmas party.\Don't tell me you want to do it here...\Let's do it!\Let's party!\Jingle bells, jingle bells, here come the Martians!\They aren't coming. response:	All right, switch on!
context: Well, I was thinking we should have a party.\A Christmas party.\Don't tell me you want to do it here...\Let's do it!\Let's party!\Jingle bells, jingle bells, here come the Martians!\They aren't coming.\All right, switch on! response:	Hey! No, Muhi, you can't do that.
context: A Christmas party.\Don't tell me you want to do it here...\Let's do it!\Let's party!\Jingle bells, jingle bells, here come the Martians!\They aren't coming.\All right, switch on!\Hey! No, Muhi, you can't do that. response:	You scared me.
context: Don't tell me you want to do it here...\Let's do it!\Let's party!\Jingle bells, jingle bells, here come the Martians!\They aren't coming.\All right, switch on!\Hey! No, Muhi, you can't do that.\You scared me. response:	Hey, there's something I've been wondering.
context: Let's do it!\Let's party!\Jingle bells, jingle bells, here come the Martians!\They aren't coming.\All right, switch on!\Hey! No, Muhi, you can't do that.\You scared me.\Hey, there's something I've been wondering. response:	Can I ask?
context: Let's party!\Jingle bells, jingle bells, here come the Martians!\They aren't coming.\All right, switch on!\Hey! No, Muhi, you can't do that.\You scared me.\Hey, there's something I've been wondering.\Can I ask? response:	It's about this.
context: Jingle bells, jingle bells, here come the Martians!\They aren't coming.\All right, switch on!\Hey! No, Muhi, you can't do that.\You scared me.\Hey, there's something I've been wondering.\Can I ask?\It's about this. response:	Rabura! Stop the bus!
context: They aren't coming.\All right, switch on!\Hey! No, Muhi, you can't do that.\You scared me.\Hey, there's something I've been wondering.\Can I ask?\It's about this.\Rabura! Stop the bus! response:	How do you know my
context: All right, switch on!\Hey! No, Muhi, you can't do that.\You scared me.\Hey, there's something I've been wondering.\Can I ask?\It's about this.\Rabura! Stop the bus!\How do you know my response:	Just do it!
context: Hey! No, Muhi, you can't do that.\You scared me.\Hey, there's something I've been wondering.\Can I ask?\It's about this.\Rabura! Stop the bus!\How do you know my\Just do it! response:	I wouldn't have believed it, but...
context: You scared me.\Hey, there's something I've been wondering.\Can I ask?\It's about this.\Rabura! Stop the bus!\How do you know my\Just do it!\I wouldn't have believed it, but... response:	Is Strange Juice...
context: Hey, there's something I've been wondering.\Can I ask?\It's about this.\Rabura! Stop the bus!\How do you know my\Just do it!\I wouldn't have believed it, but...\Is Strange Juice... response:	Meika-emon, I'm in trouble!
context: Can I ask?\It's about this.\Rabura! Stop the bus!\How do you know my\Just do it!\I wouldn't have believed it, but...\Is Strange Juice...\Meika-emon, I'm in trouble! response:	They're here.
context: It's about this.\Rabura! Stop the bus!\How do you know my\Just do it!\I wouldn't have believed it, but...\Is Strange Juice...\Meika-emon, I'm in trouble!\They're here. response:	The Martians!
context: Rabura! Stop the bus!\How do you know my\Just do it!\I wouldn't have believed it, but...\Is Strange Juice...\Meika-emon, I'm in trouble!\They're here.\The Martians! response:	03
context: How do you know my\Just do it!\I wouldn't have believed it, but...\Is Strange Juice...\Meika-emon, I'm in trouble!\They're here.\The Martians!\03 response:	Martians Attack!
context: Just do it!\I wouldn't have believed it, but...\Is Strange Juice...\Meika-emon, I'm in trouble!\They're here.\The Martians!\03\Martians Attack! response:	Ito, I'm coming in.
context: I wouldn't have believed it, but...\Is Strange Juice...\Meika-emon, I'm in trouble!\They're here.\The Martians!\03\Martians Attack!\Ito, I'm coming in. response:	What the heck? She's not even here.
context: Is Strange Juice...\Meika-emon, I'm in trouble!\They're here.\The Martians!\03\Martians Attack!\Ito, I'm coming in.\What the heck? She's not even here. response:	I brought all this stuff because she wanted to have a party.
context: Meika-emon, I'm in trouble!\They're here.\The Martians!\03\Martians Attack!\Ito, I'm coming in.\What the heck? She's not even here.\I brought all this stuff because she wanted to have a party. response:	Fine, then.
context: They're here.\The Martians!\03\Martians Attack!\Ito, I'm coming in.\What the heck? She's not even here.\I brought all this stuff because she wanted to have a party.\Fine, then. response:	Hey, so you're Ito-kun.
context: The Martians!\03\Martians Attack!\Ito, I'm coming in.\What the heck? She's not even here.\I brought all this stuff because she wanted to have a party.\Fine, then.\Hey, so you're Ito-kun. response:	I've heard a lot about you.
context: 03\Martians Attack!\Ito, I'm coming in.\What the heck? She's not even here.\I brought all this stuff because she wanted to have a party.\Fine, then.\Hey, so you're Ito-kun.\I've heard a lot about you. response:	Um, where's Mikatan?
context: Martians Attack!\Ito, I'm coming in.\What the heck? She's not even here.\I brought all this stuff because she wanted to have a party.\Fine, then.\Hey, so you're Ito-kun.\I've heard a lot about you.\Um, where's Mikatan? response:	I was told to come here.
context: Ito, I'm coming in.\What the heck? She's not even here.\I brought all this stuff because she wanted to have a party.\Fine, then.\Hey, so you're Ito-kun.\I've heard a lot about you.\Um, where's Mikatan?\I was told to come here. response:	Gee, I wonder where she went.
context: What the heck? She's not even here.\I brought all this stuff because she wanted to have a party.\Fine, then.\Hey, so you're Ito-kun.\I've heard a lot about you.\Um, where's Mikatan?\I was told to come here.\Gee, I wonder where she went. response:	Wasn't there something you wanted to ask me, though?
context: I brought all this stuff because she wanted to have a party.\Fine, then.\Hey, so you're Ito-kun.\I've heard a lot about you.\Um, where's Mikatan?\I was told to come here.\Gee, I wonder where she went.\Wasn't there something you wanted to ask me, though? response:	Um, it's about you and Mikatan.
context: Fine, then.\Hey, so you're Ito-kun.\I've heard a lot about you.\Um, where's Mikatan?\I was told to come here.\Gee, I wonder where she went.\Wasn't there something you wanted to ask me, though?\Um, it's about you and Mikatan. response:	Is it true that you're friends?
context: Hey, so you're Ito-kun.\I've heard a lot about you.\Um, where's Mikatan?\I was told to come here.\Gee, I wonder where she went.\Wasn't there something you wanted to ask me, though?\Um, it's about you and Mikatan.\Is it true that you're friends? response:	Indeed, Narugino-kun and I go way back.
context: I've heard a lot about you.\Um, where's Mikatan?\I was told to come here.\Gee, I wonder where she went.\Wasn't there something you wanted to ask me, though?\Um, it's about you and Mikatan.\Is it true that you're friends?\Indeed, Narugino-kun and I go way back. response:	You might as well say we're best friends.
context: Um, where's Mikatan?\I was told to come here.\Gee, I wonder where she went.\Wasn't there something you wanted to ask me, though?\Um, it's about you and Mikatan.\Is it true that you're friends?\Indeed, Narugino-kun and I go way back.\You might as well say we're best friends. response:	Then you knew Rabura because...
context: I was told to come here.\Gee, I wonder where she went.\Wasn't there something you wanted to ask me, though?\Um, it's about you and Mikatan.\Is it true that you're friends?\Indeed, Narugino-kun and I go way back.\You might as well say we're best friends.\Then you knew Rabura because... response:	I've known about her for a while.
context: Gee, I wonder where she went.\Wasn't there something you wanted to ask me, though?\Um, it's about you and Mikatan.\Is it true that you're friends?\Indeed, Narugino-kun and I go way back.\You might as well say we're best friends.\Then you knew Rabura because...\I've known about her for a while. response:	She showed me pictures on her phone, too.
context: Wasn't there something you wanted to ask me, though?\Um, it's about you and Mikatan.\Is it true that you're friends?\Indeed, Narugino-kun and I go way back.\You might as well say we're best friends.\Then you knew Rabura because...\I've known about her for a while.\She showed me pictures on her phone, too. response:	That's such a blatant lie.
context: Um, it's about you and Mikatan.\Is it true that you're friends?\Indeed, Narugino-kun and I go way back.\You might as well say we're best friends.\Then you knew Rabura because...\I've known about her for a while.\She showed me pictures on her phone, too.\That's such a blatant lie. response:	But that still doesn't...
context: Is it true that you're friends?\Indeed, Narugino-kun and I go way back.\You might as well say we're best friends.\Then you knew Rabura because...\I've known about her for a while.\She showed me pictures on her phone, too.\That's such a blatant lie.\But that still doesn't... response:	I thought you might say that.
context: Indeed, Narugino-kun and I go way back.\You might as well say we're best friends.\Then you knew Rabura because...\I've known about her for a while.\She showed me pictures on her phone, too.\That's such a blatant lie.\But that still doesn't...\I thought you might say that. response:	Wait here.
context: You might as well say we're best friends.\Then you knew Rabura because...\I've known about her for a while.\She showed me pictures on her phone, too.\That's such a blatant lie.\But that still doesn't...\I thought you might say that.\Wait here. response:	I'll show you proof.
context: Then you knew Rabura because...\I've known about her for a while.\She showed me pictures on her phone, too.\That's such a blatant lie.\But that still doesn't...\I thought you might say that.\Wait here.\I'll show you proof. response:	Oh, before that, do you mind if I use your bathroom?
context: I've known about her for a while.\She showed me pictures on her phone, too.\That's such a blatant lie.\But that still doesn't...\I thought you might say that.\Wait here.\I'll show you proof.\Oh, before that, do you mind if I use your bathroom? response:	Hey, aren't you going to close the door?
context: She showed me pictures on her phone, too.\That's such a blatant lie.\But that still doesn't...\I thought you might say that.\Wait here.\I'll show you proof.\Oh, before that, do you mind if I use your bathroom?\Hey, aren't you going to close the door? response:	I like to live on the wild side.
context: That's such a blatant lie.\But that still doesn't...\I thought you might say that.\Wait here.\I'll show you proof.\Oh, before that, do you mind if I use your bathroom?\Hey, aren't you going to close the door?\I like to live on the wild side. response:	I want to be that way even when I'm in the bathroom.
context: But that still doesn't...\I thought you might say that.\Wait here.\I'll show you proof.\Oh, before that, do you mind if I use your bathroom?\Hey, aren't you going to close the door?\I like to live on the wild side.\I want to be that way even when I'm in the bathroom. response:	Wh-What the heck does that mean?
context: I thought you might say that.\Wait here.\I'll show you proof.\Oh, before that, do you mind if I use your bathroom?\Hey, aren't you going to close the door?\I like to live on the wild side.\I want to be that way even when I'm in the bathroom.\Wh-What the heck does that mean? response:	That's suspicious.
context: Wait here.\I'll show you proof.\Oh, before that, do you mind if I use your bathroom?\Hey, aren't you going to close the door?\I like to live on the wild side.\I want to be that way even when I'm in the bathroom.\Wh-What the heck does that mean?\That's suspicious. response:	What exactly is she doing?
context: I'll show you proof.\Oh, before that, do you mind if I use your bathroom?\Hey, aren't you going to close the door?\I like to live on the wild side.\I want to be that way even when I'm in the bathroom.\Wh-What the heck does that mean?\That's suspicious.\What exactly is she doing? response:	Heave ho, heave ho...
context: Oh, before that, do you mind if I use your bathroom?\Hey, aren't you going to close the door?\I like to live on the wild side.\I want to be that way even when I'm in the bathroom.\Wh-What the heck does that mean?\That's suspicious.\What exactly is she doing?\Heave ho, heave ho... response:	No way! How could I be a Martian?
context: Hey, aren't you going to close the door?\I like to live on the wild side.\I want to be that way even when I'm in the bathroom.\Wh-What the heck does that mean?\That's suspicious.\What exactly is she doing?\Heave ho, heave ho...\No way! How could I be a Martian? response:	This is a battle uniform with super high-tech camouflage technology!
context: I like to live on the wild side.\I want to be that way even when I'm in the bathroom.\Wh-What the heck does that mean?\That's suspicious.\What exactly is she doing?\Heave ho, heave ho...\No way! How could I be a Martian?\This is a battle uniform with super high-tech camouflage technology! response:	I call it the Tou-maker!
context: I want to be that way even when I'm in the bathroom.\Wh-What the heck does that mean?\That's suspicious.\What exactly is she doing?\Heave ho, heave ho...\No way! How could I be a Martian?\This is a battle uniform with super high-tech camouflage technology!\I call it the Tou-maker! response:	I-I see.
context: Wh-What the heck does that mean?\That's suspicious.\What exactly is she doing?\Heave ho, heave ho...\No way! How could I be a Martian?\This is a battle uniform with super high-tech camouflage technology!\I call it the Tou-maker!\I-I see. response:	She's going to use this to try to confuse Ito.
context: That's suspicious.\What exactly is she doing?\Heave ho, heave ho...\No way! How could I be a Martian?\This is a battle uniform with super high-tech camouflage technology!\I call it the Tou-maker!\I-I see.\She's going to use this to try to confuse Ito. response:	All set.
context: What exactly is she doing?\Heave ho, heave ho...\No way! How could I be a Martian?\This is a battle uniform with super high-tech camouflage technology!\I call it the Tou-maker!\I-I see.\She's going to use this to try to confuse Ito.\All set. response:	Now I just have to be careful not to make noise.
context: Heave ho, heave ho...\No way! How could I be a Martian?\This is a battle uniform with super high-tech camouflage technology!\I call it the Tou-maker!\I-I see.\She's going to use this to try to confuse Ito.\All set.\Now I just have to be careful not to make noise. response:	What was that?
context: No way! How could I be a Martian?\This is a battle uniform with super high-tech camouflage technology!\I call it the Tou-maker!\I-I see.\She's going to use this to try to confuse Ito.\All set.\Now I just have to be careful not to make noise.\What was that? response:	Ow... I rolled off the bed.
context: This is a battle uniform with super high-tech camouflage technology!\I call it the Tou-maker!\I-I see.\She's going to use this to try to confuse Ito.\All set.\Now I just have to be careful not to make noise.\What was that?\Ow... I rolled off the bed. response:	What? How...
context: I call it the Tou-maker!\I-I see.\She's going to use this to try to confuse Ito.\All set.\Now I just have to be careful not to make noise.\What was that?\Ow... I rolled off the bed.\What? How... response:	Oh, I get it.
context: I-I see.\She's going to use this to try to confuse Ito.\All set.\Now I just have to be careful not to make noise.\What was that?\Ow... I rolled off the bed.\What? How...\Oh, I get it. response:	There must be a secret passage or something in the bathroom.
context: She's going to use this to try to confuse Ito.\All set.\Now I just have to be careful not to make noise.\What was that?\Ow... I rolled off the bed.\What? How...\Oh, I get it.\There must be a secret passage or something in the bathroom. response:	No, no!
context: All set.\Now I just have to be careful not to make noise.\What was that?\Ow... I rolled off the bed.\What? How...\Oh, I get it.\There must be a secret passage or something in the bathroom.\No, no! response:	There's no such thing!
context: Now I just have to be careful not to make noise.\What was that?\Ow... I rolled off the bed.\What? How...\Oh, I get it.\There must be a secret passage or something in the bathroom.\No, no!\There's no such thing! response:	Let me look inside, then.
context: What was that?\Ow... I rolled off the bed.\What? How...\Oh, I get it.\There must be a secret passage or something in the bathroom.\No, no!\There's no such thing!\Let me look inside, then. response:	No way.
context: Ow... I rolled off the bed.\What? How...\Oh, I get it.\There must be a secret passage or something in the bathroom.\No, no!\There's no such thing!\Let me look inside, then.\No way. response:	Strange Juice is doing her business in there.
context: What? How...\Oh, I get it.\There must be a secret passage or something in the bathroom.\No, no!\There's no such thing!\Let me look inside, then.\No way.\Strange Juice is doing her business in there. response:	Who cares? She has the door wide open.
context: Oh, I get it.\There must be a secret passage or something in the bathroom.\No, no!\There's no such thing!\Let me look inside, then.\No way.\Strange Juice is doing her business in there.\Who cares? She has the door wide open. response:	You can't.
context: There must be a secret passage or something in the bathroom.\No, no!\There's no such thing!\Let me look inside, then.\No way.\Strange Juice is doing her business in there.\Who cares? She has the door wide open.\You can't. response:	Absolutely not.
