context: I'll plunge this world into darkness! response:	That's as far as you go, Devil Count!
context: Kick Justice Man's butt!\Justice Punch!\Dang it! He lost again!\When will there be a monster that can defeat Justice Man?\Huh?\Heroes don't lose to anyone?\But why?\Justice always prevails? response:	But that's not fair!
context: Justice Punch!\Dang it! He lost again!\When will there be a monster that can defeat Justice Man?\Huh?\Heroes don't lose to anyone?\But why?\Justice always prevails?\But that's not fair! response:	Monsters have ambitions, too!
context: Dang it! He lost again!\When will there be a monster that can defeat Justice Man?\Huh?\Heroes don't lose to anyone?\But why?\Justice always prevails?\But that's not fair!\Monsters have ambitions, too! response:	Monsters are working hard, too...
context: When will there be a monster that can defeat Justice Man?\Huh?\Heroes don't lose to anyone?\But why?\Justice always prevails?\But that's not fair!\Monsters have ambitions, too!\Monsters are working hard, too... response:	And yet, they always just die in the end...
context: Huh?\Heroes don't lose to anyone?\But why?\Justice always prevails?\But that's not fair!\Monsters have ambitions, too!\Monsters are working hard, too...\And yet, they always just die in the end... response:	But I want to support them... What about my feelings?
context: Heroes don't lose to anyone?\But why?\Justice always prevails?\But that's not fair!\Monsters have ambitions, too!\Monsters are working hard, too...\And yet, they always just die in the end...\But I want to support them... What about my feelings? response:	Monsters are so much cooler...
context: But why?\Justice always prevails?\But that's not fair!\Monsters have ambitions, too!\Monsters are working hard, too...\And yet, they always just die in the end...\But I want to support them... What about my feelings?\Monsters are so much cooler... response:	That the popular guys win and the unpopular guys lose is a tragedy.
context: Justice always prevails?\But that's not fair!\Monsters have ambitions, too!\Monsters are working hard, too...\And yet, they always just die in the end...\But I want to support them... What about my feelings?\Monsters are so much cooler...\That the popular guys win and the unpopular guys lose is a tragedy. response:	In that case... I won't lose to anyone.
context: But that's not fair!\Monsters have ambitions, too!\Monsters are working hard, too...\And yet, they always just die in the end...\But I want to support them... What about my feelings?\Monsters are so much cooler...\That the popular guys win and the unpopular guys lose is a tragedy.\In that case... I won't lose to anyone. response:	I'll become the ultimate monster.
context: Monsters have ambitions, too!\Monsters are working hard, too...\And yet, they always just die in the end...\But I want to support them... What about my feelings?\Monsters are so much cooler...\That the popular guys win and the unpopular guys lose is a tragedy.\In that case... I won't lose to anyone.\I'll become the ultimate monster. response:	We pay top prices
context: Monsters are working hard, too...\And yet, they always just die in the end...\But I want to support them... What about my feelings?\Monsters are so much cooler...\That the popular guys win and the unpopular guys lose is a tragedy.\In that case... I won't lose to anyone.\I'll become the ultimate monster.\We pay top prices response:	We'll buy your brand-name items
context: And yet, they always just die in the end...\But I want to support them... What about my feelings?\Monsters are so much cooler...\That the popular guys win and the unpopular guys lose is a tragedy.\In that case... I won't lose to anyone.\I'll become the ultimate monster.\We pay top prices\We'll buy your brand-name items response:	Sell
context: But I want to support them... What about my feelings?\Monsters are so much cooler...\That the popular guys win and the unpopular guys lose is a tragedy.\In that case... I won't lose to anyone.\I'll become the ultimate monster.\We pay top prices\We'll buy your brand-name items\Sell response:	What am I doing here?
context: Monsters are so much cooler...\That the popular guys win and the unpopular guys lose is a tragedy.\In that case... I won't lose to anyone.\I'll become the ultimate monster.\We pay top prices\We'll buy your brand-name items\Sell\What am I doing here? response:	I don't really remember what happened last night.
context: That the popular guys win and the unpopular guys lose is a tragedy.\In that case... I won't lose to anyone.\I'll become the ultimate monster.\We pay top prices\We'll buy your brand-name items\Sell\What am I doing here?\I don't really remember what happened last night. response:	Regarding Director Zeimeet's assault by a thug last night...
context: In that case... I won't lose to anyone.\I'll become the ultimate monster.\We pay top prices\We'll buy your brand-name items\Sell\What am I doing here?\I don't really remember what happened last night.\Regarding Director Zeimeet's assault by a thug last night... response:	We're certain that Garo the hero hunter was behind it.
context: I'll become the ultimate monster.\We pay top prices\We'll buy your brand-name items\Sell\What am I doing here?\I don't really remember what happened last night.\Regarding Director Zeimeet's assault by a thug last night...\We're certain that Garo the hero hunter was behind it. response:	So that means he's not only going after heroes.
context: We pay top prices\We'll buy your brand-name items\Sell\What am I doing here?\I don't really remember what happened last night.\Regarding Director Zeimeet's assault by a thug last night...\We're certain that Garo the hero hunter was behind it.\So that means he's not only going after heroes. response:	He's going after the Association itself.
context: We'll buy your brand-name items\Sell\What am I doing here?\I don't really remember what happened last night.\Regarding Director Zeimeet's assault by a thug last night...\We're certain that Garo the hero hunter was behind it.\So that means he's not only going after heroes.\He's going after the Association itself. response:	He's strong enough to defeat Tank-Top Master.
context: Sell\What am I doing here?\I don't really remember what happened last night.\Regarding Director Zeimeet's assault by a thug last night...\We're certain that Garo the hero hunter was behind it.\So that means he's not only going after heroes.\He's going after the Association itself.\He's strong enough to defeat Tank-Top Master. response:	Regular guards won't be enough.
context: What am I doing here?\I don't really remember what happened last night.\Regarding Director Zeimeet's assault by a thug last night...\We're certain that Garo the hero hunter was behind it.\So that means he's not only going after heroes.\He's going after the Association itself.\He's strong enough to defeat Tank-Top Master.\Regular guards won't be enough. response:	Metal Bat
context: I don't really remember what happened last night.\Regarding Director Zeimeet's assault by a thug last night...\We're certain that Garo the hero hunter was behind it.\So that means he's not only going after heroes.\He's going after the Association itself.\He's strong enough to defeat Tank-Top Master.\Regular guards won't be enough.\Metal Bat response:	Let's issue an alert.
context: Regarding Director Zeimeet's assault by a thug last night...\We're certain that Garo the hero hunter was behind it.\So that means he's not only going after heroes.\He's going after the Association itself.\He's strong enough to defeat Tank-Top Master.\Regular guards won't be enough.\Metal Bat\Let's issue an alert. response:	Executives should avoid going outside unnecessarily
context: We're certain that Garo the hero hunter was behind it.\So that means he's not only going after heroes.\He's going after the Association itself.\He's strong enough to defeat Tank-Top Master.\Regular guards won't be enough.\Metal Bat\Let's issue an alert.\Executives should avoid going outside unnecessarily response:	and, if they must go anywhere, have Class S heroes accompany them.
context: So that means he's not only going after heroes.\He's going after the Association itself.\He's strong enough to defeat Tank-Top Master.\Regular guards won't be enough.\Metal Bat\Let's issue an alert.\Executives should avoid going outside unnecessarily\and, if they must go anywhere, have Class S heroes accompany them. response:	Are you sure?
context: He's going after the Association itself.\He's strong enough to defeat Tank-Top Master.\Regular guards won't be enough.\Metal Bat\Let's issue an alert.\Executives should avoid going outside unnecessarily\and, if they must go anywhere, have Class S heroes accompany them.\Are you sure? response:	The Class S heroes have been rather busy dealing with monsters lately.
context: He's strong enough to defeat Tank-Top Master.\Regular guards won't be enough.\Metal Bat\Let's issue an alert.\Executives should avoid going outside unnecessarily\and, if they must go anywhere, have Class S heroes accompany them.\Are you sure?\The Class S heroes have been rather busy dealing with monsters lately. response:	But the safety of executives close to our sponsors is more important.
context: Regular guards won't be enough.\Metal Bat\Let's issue an alert.\Executives should avoid going outside unnecessarily\and, if they must go anywhere, have Class S heroes accompany them.\Are you sure?\The Class S heroes have been rather busy dealing with monsters lately.\But the safety of executives close to our sponsors is more important. response:	Bodyguard for an executive?
context: Metal Bat\Let's issue an alert.\Executives should avoid going outside unnecessarily\and, if they must go anywhere, have Class S heroes accompany them.\Are you sure?\The Class S heroes have been rather busy dealing with monsters lately.\But the safety of executives close to our sponsors is more important.\Bodyguard for an executive? response:	I decline. Why?
context: Let's issue an alert.\Executives should avoid going outside unnecessarily\and, if they must go anywhere, have Class S heroes accompany them.\Are you sure?\The Class S heroes have been rather busy dealing with monsters lately.\But the safety of executives close to our sponsors is more important.\Bodyguard for an executive?\I decline. Why? response:	Because I'm in the middle of a battle right now.
context: Executives should avoid going outside unnecessarily\and, if they must go anywhere, have Class S heroes accompany them.\Are you sure?\The Class S heroes have been rather busy dealing with monsters lately.\But the safety of executives close to our sponsors is more important.\Bodyguard for an executive?\I decline. Why?\Because I'm in the middle of a battle right now. response:	I just defeated them, but I'm now heading to the stage with the secret boss.
context: and, if they must go anywhere, have Class S heroes accompany them.\Are you sure?\The Class S heroes have been rather busy dealing with monsters lately.\But the safety of executives close to our sponsors is more important.\Bodyguard for an executive?\I decline. Why?\Because I'm in the middle of a battle right now.\I just defeated them, but I'm now heading to the stage with the secret boss. response:	Mouse Sushi
context: Are you sure?\The Class S heroes have been rather busy dealing with monsters lately.\But the safety of executives close to our sponsors is more important.\Bodyguard for an executive?\I decline. Why?\Because I'm in the middle of a battle right now.\I just defeated them, but I'm now heading to the stage with the secret boss.\Mouse Sushi response:	Call someone else.
context: The Class S heroes have been rather busy dealing with monsters lately.\But the safety of executives close to our sponsors is more important.\Bodyguard for an executive?\I decline. Why?\Because I'm in the middle of a battle right now.\I just defeated them, but I'm now heading to the stage with the secret boss.\Mouse Sushi\Call someone else. response:	Thanks for being my bodyguard today, Metal Bat.
context: But the safety of executives close to our sponsors is more important.\Bodyguard for an executive?\I decline. Why?\Because I'm in the middle of a battle right now.\I just defeated them, but I'm now heading to the stage with the secret boss.\Mouse Sushi\Call someone else.\Thanks for being my bodyguard today, Metal Bat. response:	Class S Rank 15 Metal Bat
context: Bodyguard for an executive?\I decline. Why?\Because I'm in the middle of a battle right now.\I just defeated them, but I'm now heading to the stage with the secret boss.\Mouse Sushi\Call someone else.\Thanks for being my bodyguard today, Metal Bat.\Class S Rank 15 Metal Bat response:	I came here because I was told that there was an important mission...
context: I decline. Why?\Because I'm in the middle of a battle right now.\I just defeated them, but I'm now heading to the stage with the secret boss.\Mouse Sushi\Call someone else.\Thanks for being my bodyguard today, Metal Bat.\Class S Rank 15 Metal Bat\I came here because I was told that there was an important mission... response:	Apparently executives from the Hero Association are also being targeted right now,
context: Because I'm in the middle of a battle right now.\I just defeated them, but I'm now heading to the stage with the secret boss.\Mouse Sushi\Call someone else.\Thanks for being my bodyguard today, Metal Bat.\Class S Rank 15 Metal Bat\I came here because I was told that there was an important mission...\Apparently executives from the Hero Association are also being targeted right now, response:	but my son insisted on trying some commoner food today.
context: I just defeated them, but I'm now heading to the stage with the secret boss.\Mouse Sushi\Call someone else.\Thanks for being my bodyguard today, Metal Bat.\Class S Rank 15 Metal Bat\I came here because I was told that there was an important mission...\Apparently executives from the Hero Association are also being targeted right now,\but my son insisted on trying some commoner food today. response:	Wow, look, Papa!
context: Mouse Sushi\Call someone else.\Thanks for being my bodyguard today, Metal Bat.\Class S Rank 15 Metal Bat\I came here because I was told that there was an important mission...\Apparently executives from the Hero Association are also being targeted right now,\but my son insisted on trying some commoner food today.\Wow, look, Papa! response:	Pudding Pudding
context: Call someone else.\Thanks for being my bodyguard today, Metal Bat.\Class S Rank 15 Metal Bat\I came here because I was told that there was an important mission...\Apparently executives from the Hero Association are also being targeted right now,\but my son insisted on trying some commoner food today.\Wow, look, Papa!\Pudding Pudding response:	There's even pudding on this thing!
context: Thanks for being my bodyguard today, Metal Bat.\Class S Rank 15 Metal Bat\I came here because I was told that there was an important mission...\Apparently executives from the Hero Association are also being targeted right now,\but my son insisted on trying some commoner food today.\Wow, look, Papa!\Pudding Pudding\There's even pudding on this thing! response:	I was wondering how vile sushi must be if it's under 10,000 yen,
context: Class S Rank 15 Metal Bat\I came here because I was told that there was an important mission...\Apparently executives from the Hero Association are also being targeted right now,\but my son insisted on trying some commoner food today.\Wow, look, Papa!\Pudding Pudding\There's even pudding on this thing!\I was wondering how vile sushi must be if it's under 10,000 yen, response:	but it seems this can actually be quite fun.
context: I came here because I was told that there was an important mission...\Apparently executives from the Hero Association are also being targeted right now,\but my son insisted on trying some commoner food today.\Wow, look, Papa!\Pudding Pudding\There's even pudding on this thing!\I was wondering how vile sushi must be if it's under 10,000 yen,\but it seems this can actually be quite fun. response:	The hell is this? Literally hell?
context: Apparently executives from the Hero Association are also being targeted right now,\but my son insisted on trying some commoner food today.\Wow, look, Papa!\Pudding Pudding\There's even pudding on this thing!\I was wondering how vile sushi must be if it's under 10,000 yen,\but it seems this can actually be quite fun.\The hell is this? Literally hell? response:	Hey! Don't put back a plate you ate from!
context: but my son insisted on trying some commoner food today.\Wow, look, Papa!\Pudding Pudding\There's even pudding on this thing!\I was wondering how vile sushi must be if it's under 10,000 yen,\but it seems this can actually be quite fun.\The hell is this? Literally hell?\Hey! Don't put back a plate you ate from! response:	Why?
context: Wow, look, Papa!\Pudding Pudding\There's even pudding on this thing!\I was wondering how vile sushi must be if it's under 10,000 yen,\but it seems this can actually be quite fun.\The hell is this? Literally hell?\Hey! Don't put back a plate you ate from!\Why? response:	They need it when they tally up your total.
context: Pudding Pudding\There's even pudding on this thing!\I was wondering how vile sushi must be if it's under 10,000 yen,\but it seems this can actually be quite fun.\The hell is this? Literally hell?\Hey! Don't put back a plate you ate from!\Why?\They need it when they tally up your total. response:	But returning the plates is proper etiquette.
context: There's even pudding on this thing!\I was wondering how vile sushi must be if it's under 10,000 yen,\but it seems this can actually be quite fun.\The hell is this? Literally hell?\Hey! Don't put back a plate you ate from!\Why?\They need it when they tally up your total.\But returning the plates is proper etiquette. response:	I just told you not to return the plates!
context: I was wondering how vile sushi must be if it's under 10,000 yen,\but it seems this can actually be quite fun.\The hell is this? Literally hell?\Hey! Don't put back a plate you ate from!\Why?\They need it when they tally up your total.\But returning the plates is proper etiquette.\I just told you not to return the plates! response:	The color of this urchin is awful.
context: but it seems this can actually be quite fun.\The hell is this? Literally hell?\Hey! Don't put back a plate you ate from!\Why?\They need it when they tally up your total.\But returning the plates is proper etiquette.\I just told you not to return the plates!\The color of this urchin is awful. response:	Don't they have any caviar?
context: The hell is this? Literally hell?\Hey! Don't put back a plate you ate from!\Why?\They need it when they tally up your total.\But returning the plates is proper etiquette.\I just told you not to return the plates!\The color of this urchin is awful.\Don't they have any caviar? response:	What's medium fatty tuna?
context: Hey! Don't put back a plate you ate from!\Why?\They need it when they tally up your total.\But returning the plates is proper etiquette.\I just told you not to return the plates!\The color of this urchin is awful.\Don't they have any caviar?\What's medium fatty tuna? response:	Fatty Tuna Medium Fatty Tuna
context: Why?\They need it when they tally up your total.\But returning the plates is proper etiquette.\I just told you not to return the plates!\The color of this urchin is awful.\Don't they have any caviar?\What's medium fatty tuna?\Fatty Tuna Medium Fatty Tuna response:	You can actually eat part of a tuna that's not fatty tuna?
context: They need it when they tally up your total.\But returning the plates is proper etiquette.\I just told you not to return the plates!\The color of this urchin is awful.\Don't they have any caviar?\What's medium fatty tuna?\Fatty Tuna Medium Fatty Tuna\You can actually eat part of a tuna that's not fatty tuna? response:	Stop putting it back!
context: But returning the plates is proper etiquette.\I just told you not to return the plates!\The color of this urchin is awful.\Don't they have any caviar?\What's medium fatty tuna?\Fatty Tuna Medium Fatty Tuna\You can actually eat part of a tuna that's not fatty tuna?\Stop putting it back! response:	Next time they try to put a plate back, I'll kill them!
context: I just told you not to return the plates!\The color of this urchin is awful.\Don't they have any caviar?\What's medium fatty tuna?\Fatty Tuna Medium Fatty Tuna\You can actually eat part of a tuna that's not fatty tuna?\Stop putting it back!\Next time they try to put a plate back, I'll kill them! response:	Gah!
context: The color of this urchin is awful.\Don't they have any caviar?\What's medium fatty tuna?\Fatty Tuna Medium Fatty Tuna\You can actually eat part of a tuna that's not fatty tuna?\Stop putting it back!\Next time they try to put a plate back, I'll kill them!\Gah! response:	Did you get a phone call?
context: Don't they have any caviar?\What's medium fatty tuna?\Fatty Tuna Medium Fatty Tuna\You can actually eat part of a tuna that's not fatty tuna?\Stop putting it back!\Next time they try to put a plate back, I'll kill them!\Gah!\Did you get a phone call? response:	It's my little sister!
context: What's medium fatty tuna?\Fatty Tuna Medium Fatty Tuna\You can actually eat part of a tuna that's not fatty tuna?\Stop putting it back!\Next time they try to put a plate back, I'll kill them!\Gah!\Did you get a phone call?\It's my little sister! response:	I need to step out. Stay right here!
context: Fatty Tuna Medium Fatty Tuna\You can actually eat part of a tuna that's not fatty tuna?\Stop putting it back!\Next time they try to put a plate back, I'll kill them!\Gah!\Did you get a phone call?\It's my little sister!\I need to step out. Stay right here! response:	Lavatory
context: You can actually eat part of a tuna that's not fatty tuna?\Stop putting it back!\Next time they try to put a plate back, I'll kill them!\Gah!\Did you get a phone call?\It's my little sister!\I need to step out. Stay right here!\Lavatory response:	Women
context: Stop putting it back!\Next time they try to put a plate back, I'll kill them!\Gah!\Did you get a phone call?\It's my little sister!\I need to step out. Stay right here!\Lavatory\Women response:	Men
context: Next time they try to put a plate back, I'll kill them!\Gah!\Did you get a phone call?\It's my little sister!\I need to step out. Stay right here!\Lavatory\Women\Men response:	I can't help it! I suddenly got a really important mission.
context: Gah!\Did you get a phone call?\It's my little sister!\I need to step out. Stay right here!\Lavatory\Women\Men\I can't help it! I suddenly got a really important mission. response:	I promise I'll take you shopping some other time.
context: Did you get a phone call?\It's my little sister!\I need to step out. Stay right here!\Lavatory\Women\Men\I can't help it! I suddenly got a really important mission.\I promise I'll take you shopping some other time. response:	Huh? Where am I right now?
context: It's my little sister!\I need to step out. Stay right here!\Lavatory\Women\Men\I can't help it! I suddenly got a really important mission.\I promise I'll take you shopping some other time.\Huh? Where am I right now? response:	Mouse Sushi.
context: I need to step out. Stay right here!\Lavatory\Women\Men\I can't help it! I suddenly got a really important mission.\I promise I'll take you shopping some other time.\Huh? Where am I right now?\Mouse Sushi. response:	You've got it all wrong!
context: Lavatory\Women\Men\I can't help it! I suddenly got a really important mission.\I promise I'll take you shopping some other time.\Huh? Where am I right now?\Mouse Sushi.\You've got it all wrong! response:	This is seriously a mission!
context: Women\Men\I can't help it! I suddenly got a really important mission.\I promise I'll take you shopping some other time.\Huh? Where am I right now?\Mouse Sushi.\You've got it all wrong!\This is seriously a mission! response:	Hey, come on. Don't cry.
context: Men\I can't help it! I suddenly got a really important mission.\I promise I'll take you shopping some other time.\Huh? Where am I right now?\Mouse Sushi.\You've got it all wrong!\This is seriously a mission!\Hey, come on. Don't cry. response:	I'll explain everything later.
context: I can't help it! I suddenly got a really important mission.\I promise I'll take you shopping some other time.\Huh? Where am I right now?\Mouse Sushi.\You've got it all wrong!\This is seriously a mission!\Hey, come on. Don't cry.\I'll explain everything later. response:	I-I'm hanging up now. Later.
context: I promise I'll take you shopping some other time.\Huh? Where am I right now?\Mouse Sushi.\You've got it all wrong!\This is seriously a mission!\Hey, come on. Don't cry.\I'll explain everything later.\I-I'm hanging up now. Later. response:	I'm the one who wants to cry.
context: Huh? Where am I right now?\Mouse Sushi.\You've got it all wrong!\This is seriously a mission!\Hey, come on. Don't cry.\I'll explain everything later.\I-I'm hanging up now. Later.\I'm the one who wants to cry. response:	I'm never taking requests from executives ever again.
context: Mouse Sushi.\You've got it all wrong!\This is seriously a mission!\Hey, come on. Don't cry.\I'll explain everything later.\I-I'm hanging up now. Later.\I'm the one who wants to cry.\I'm never taking requests from executives ever again. response:	Shit! Is that Garo?
context: You've got it all wrong!\This is seriously a mission!\Hey, come on. Don't cry.\I'll explain everything later.\I-I'm hanging up now. Later.\I'm the one who wants to cry.\I'm never taking requests from executives ever again.\Shit! Is that Garo? response:	Papa!
context: This is seriously a mission!\Hey, come on. Don't cry.\I'll explain everything later.\I-I'm hanging up now. Later.\I'm the one who wants to cry.\I'm never taking requests from executives ever again.\Shit! Is that Garo?\Papa! response:	Apparently not.
context: Hey, come on. Don't cry.\I'll explain everything later.\I-I'm hanging up now. Later.\I'm the one who wants to cry.\I'm never taking requests from executives ever again.\Shit! Is that Garo?\Papa!\Apparently not. response:	Save him! That monster's got my son!
context: I'll explain everything later.\I-I'm hanging up now. Later.\I'm the one who wants to cry.\I'm never taking requests from executives ever again.\Shit! Is that Garo?\Papa!\Apparently not.\Save him! That monster's got my son! response:	He's definitely an executive from the Hero Association.
context: I-I'm hanging up now. Later.\I'm the one who wants to cry.\I'm never taking requests from executives ever again.\Shit! Is that Garo?\Papa!\Apparently not.\Save him! That monster's got my son!\He's definitely an executive from the Hero Association. response:	How nice of him to bring his kid. Let's take him.
context: I'm the one who wants to cry.\I'm never taking requests from executives ever again.\Shit! Is that Garo?\Papa!\Apparently not.\Save him! That monster's got my son!\He's definitely an executive from the Hero Association.\How nice of him to bring his kid. Let's take him. response:	Hang on, damn it.
context: I'm never taking requests from executives ever again.\Shit! Is that Garo?\Papa!\Apparently not.\Save him! That monster's got my son!\He's definitely an executive from the Hero Association.\How nice of him to bring his kid. Let's take him.\Hang on, damn it. response:	I'm not letting you set foot outside this place.
context: Shit! Is that Garo?\Papa!\Apparently not.\Save him! That monster's got my son!\He's definitely an executive from the Hero Association.\How nice of him to bring his kid. Let's take him.\Hang on, damn it.\I'm not letting you set foot outside this place. response:	You haven't paid yet.
context: Papa!\Apparently not.\Save him! That monster's got my son!\He's definitely an executive from the Hero Association.\How nice of him to bring his kid. Let's take him.\Hang on, damn it.\I'm not letting you set foot outside this place.\You haven't paid yet. response:	Charanko said he entered on a whim.
context: Apparently not.\Save him! That monster's got my son!\He's definitely an executive from the Hero Association.\How nice of him to bring his kid. Let's take him.\Hang on, damn it.\I'm not letting you set foot outside this place.\You haven't paid yet.\Charanko said he entered on a whim. response:	Entrants Reception Entrance
context: Save him! That monster's got my son!\He's definitely an executive from the Hero Association.\How nice of him to bring his kid. Let's take him.\Hang on, damn it.\I'm not letting you set foot outside this place.\You haven't paid yet.\Charanko said he entered on a whim.\Entrants Reception Entrance response:	What a moron. But...
context: He's definitely an executive from the Hero Association.\How nice of him to bring his kid. Let's take him.\Hang on, damn it.\I'm not letting you set foot outside this place.\You haven't paid yet.\Charanko said he entered on a whim.\Entrants Reception Entrance\What a moron. But... response:	I wouldn't be surprised if someone strong was actually here.
context: How nice of him to bring his kid. Let's take him.\Hang on, damn it.\I'm not letting you set foot outside this place.\You haven't paid yet.\Charanko said he entered on a whim.\Entrants Reception Entrance\What a moron. But...\I wouldn't be surprised if someone strong was actually here. response:	Reception
context: Hang on, damn it.\I'm not letting you set foot outside this place.\You haven't paid yet.\Charanko said he entered on a whim.\Entrants Reception Entrance\What a moron. But...\I wouldn't be surprised if someone strong was actually here.\Reception response:	May I have your name, sir?
context: I'm not letting you set foot outside this place.\You haven't paid yet.\Charanko said he entered on a whim.\Entrants Reception Entrance\What a moron. But...\I wouldn't be surprised if someone strong was actually here.\Reception\May I have your name, sir? response:	Uh... Charanko.
context: You haven't paid yet.\Charanko said he entered on a whim.\Entrants Reception Entrance\What a moron. But...\I wouldn't be surprised if someone strong was actually here.\Reception\May I have your name, sir?\Uh... Charanko. response:	Please write down your fighting style.
context: Charanko said he entered on a whim.\Entrants Reception Entrance\What a moron. But...\I wouldn't be surprised if someone strong was actually here.\Reception\May I have your name, sir?\Uh... Charanko.\Please write down your fighting style. response:	Fighting style?
context: Entrants Reception Entrance\What a moron. But...\I wouldn't be surprised if someone strong was actually here.\Reception\May I have your name, sir?\Uh... Charanko.\Please write down your fighting style.\Fighting style? response:	I think it was, uh...
context: What a moron. But...\I wouldn't be surprised if someone strong was actually here.\Reception\May I have your name, sir?\Uh... Charanko.\Please write down your fighting style.\Fighting style?\I think it was, uh... response:	Charanko (Fist of Water Polo, Carbonation) Green Room
context: I wouldn't be surprised if someone strong was actually here.\Reception\May I have your name, sir?\Uh... Charanko.\Please write down your fighting style.\Fighting style?\I think it was, uh...\Charanko (Fist of Water Polo, Carbonation) Green Room response:	So this is the lineup for this tournament...
context: Reception\May I have your name, sir?\Uh... Charanko.\Please write down your fighting style.\Fighting style?\I think it was, uh...\Charanko (Fist of Water Polo, Carbonation) Green Room\So this is the lineup for this tournament... response:	Zakkos Charanko Bakuzan
context: May I have your name, sir?\Uh... Charanko.\Please write down your fighting style.\Fighting style?\I think it was, uh...\Charanko (Fist of Water Polo, Carbonation) Green Room\So this is the lineup for this tournament...\Zakkos Charanko Bakuzan response:	It's seeded. I wonder if this Bakuzan guy is strong, then.
context: Uh... Charanko.\Please write down your fighting style.\Fighting style?\I think it was, uh...\Charanko (Fist of Water Polo, Carbonation) Green Room\So this is the lineup for this tournament...\Zakkos Charanko Bakuzan\It's seeded. I wonder if this Bakuzan guy is strong, then. response:	Or if we go the other way, I guess this Suiryu guy is the seed.
context: Please write down your fighting style.\Fighting style?\I think it was, uh...\Charanko (Fist of Water Polo, Carbonation) Green Room\So this is the lineup for this tournament...\Zakkos Charanko Bakuzan\It's seeded. I wonder if this Bakuzan guy is strong, then.\Or if we go the other way, I guess this Suiryu guy is the seed. response:	Suiryu Max Ring-Ring Benpats Snek
context: Fighting style?\I think it was, uh...\Charanko (Fist of Water Polo, Carbonation) Green Room\So this is the lineup for this tournament...\Zakkos Charanko Bakuzan\It's seeded. I wonder if this Bakuzan guy is strong, then.\Or if we go the other way, I guess this Suiryu guy is the seed.\Suiryu Max Ring-Ring Benpats Snek response:	Hey, you're Charanko, right?
context: I think it was, uh...\Charanko (Fist of Water Polo, Carbonation) Green Room\So this is the lineup for this tournament...\Zakkos Charanko Bakuzan\It's seeded. I wonder if this Bakuzan guy is strong, then.\Or if we go the other way, I guess this Suiryu guy is the seed.\Suiryu Max Ring-Ring Benpats Snek\Hey, you're Charanko, right? response:	Shit. Does he actually know Charanko?
context: Charanko (Fist of Water Polo, Carbonation) Green Room\So this is the lineup for this tournament...\Zakkos Charanko Bakuzan\It's seeded. I wonder if this Bakuzan guy is strong, then.\Or if we go the other way, I guess this Suiryu guy is the seed.\Suiryu Max Ring-Ring Benpats Snek\Hey, you're Charanko, right?\Shit. Does he actually know Charanko? response:	Hey, come on, now. Did you forget the face of your senpai?
