context: Sakura Hall response:	Let's Make a Game! Pitch
context: He's a weapon designed to protect Earth from the Nyangoro space invaders.\After they beat their first Nyangoro invader,\they study it, cultivate its cells...\and warp space-time to create a hybrid robot!\However, it can only be piloted by someone...\who has experienced the worst life has to offer!\What a ridiculous plot.\Nekoko, the heroine, has a boyfriend, Nekosuke, response:	who gets killed by the enemy commander, Ein the Hunchback!
context: After they beat their first Nyangoro invader,\they study it, cultivate its cells...\and warp space-time to create a hybrid robot!\However, it can only be piloted by someone...\who has experienced the worst life has to offer!\What a ridiculous plot.\Nekoko, the heroine, has a boyfriend, Nekosuke,\who gets killed by the enemy commander, Ein the Hunchback! response:	Nekoko decides to cast aside...
context: they study it, cultivate its cells...\and warp space-time to create a hybrid robot!\However, it can only be piloted by someone...\who has experienced the worst life has to offer!\What a ridiculous plot.\Nekoko, the heroine, has a boyfriend, Nekosuke,\who gets killed by the enemy commander, Ein the Hunchback!\Nekoko decides to cast aside... response:	her sadness and pilot Nyapollon!
context: and warp space-time to create a hybrid robot!\However, it can only be piloted by someone...\who has experienced the worst life has to offer!\What a ridiculous plot.\Nekoko, the heroine, has a boyfriend, Nekosuke,\who gets killed by the enemy commander, Ein the Hunchback!\Nekoko decides to cast aside...\her sadness and pilot Nyapollon! response:	But Ein the Hunchback is so powerful...
context: However, it can only be piloted by someone...\who has experienced the worst life has to offer!\What a ridiculous plot.\Nekoko, the heroine, has a boyfriend, Nekosuke,\who gets killed by the enemy commander, Ein the Hunchback!\Nekoko decides to cast aside...\her sadness and pilot Nyapollon!\But Ein the Hunchback is so powerful... response:	that 60 of the human race is...
context: who has experienced the worst life has to offer!\What a ridiculous plot.\Nekoko, the heroine, has a boyfriend, Nekosuke,\who gets killed by the enemy commander, Ein the Hunchback!\Nekoko decides to cast aside...\her sadness and pilot Nyapollon!\But Ein the Hunchback is so powerful...\that 60 of the human race is... response:	Um, how long does this story go on for?
context: What a ridiculous plot.\Nekoko, the heroine, has a boyfriend, Nekosuke,\who gets killed by the enemy commander, Ein the Hunchback!\Nekoko decides to cast aside...\her sadness and pilot Nyapollon!\But Ein the Hunchback is so powerful...\that 60 of the human race is...\Um, how long does this story go on for? response:	already dead by the start of the series.
context: Nekoko, the heroine, has a boyfriend, Nekosuke,\who gets killed by the enemy commander, Ein the Hunchback!\Nekoko decides to cast aside...\her sadness and pilot Nyapollon!\But Ein the Hunchback is so powerful...\that 60 of the human race is...\Um, how long does this story go on for?\already dead by the start of the series. response:	52 episodes altogether!
context: who gets killed by the enemy commander, Ein the Hunchback!\Nekoko decides to cast aside...\her sadness and pilot Nyapollon!\But Ein the Hunchback is so powerful...\that 60 of the human race is...\Um, how long does this story go on for?\already dead by the start of the series.\52 episodes altogether! response:	I could probably summarize it in three days.
context: Nekoko decides to cast aside...\her sadness and pilot Nyapollon!\But Ein the Hunchback is so powerful...\that 60 of the human race is...\Um, how long does this story go on for?\already dead by the start of the series.\52 episodes altogether!\I could probably summarize it in three days. response:	How about you stop now!
context: her sadness and pilot Nyapollon!\But Ein the Hunchback is so powerful...\that 60 of the human race is...\Um, how long does this story go on for?\already dead by the start of the series.\52 episodes altogether!\I could probably summarize it in three days.\How about you stop now! response:	I woke up early for once.
context: But Ein the Hunchback is so powerful...\that 60 of the human race is...\Um, how long does this story go on for?\already dead by the start of the series.\52 episodes altogether!\I could probably summarize it in three days.\How about you stop now!\I woke up early for once. response:	I don't want to be late on the first day of second semester...
context: that 60 of the human race is...\Um, how long does this story go on for?\already dead by the start of the series.\52 episodes altogether!\I could probably summarize it in three days.\How about you stop now!\I woke up early for once.\I don't want to be late on the first day of second semester... response:	That clock's stopped.
context: Um, how long does this story go on for?\already dead by the start of the series.\52 episodes altogether!\I could probably summarize it in three days.\How about you stop now!\I woke up early for once.\I don't want to be late on the first day of second semester...\That clock's stopped. response:	Huh?
context: already dead by the start of the series.\52 episodes altogether!\I could probably summarize it in three days.\How about you stop now!\I woke up early for once.\I don't want to be late on the first day of second semester...\That clock's stopped.\Huh? response:	Because I removed the batteries!
context: 52 episodes altogether!\I could probably summarize it in three days.\How about you stop now!\I woke up early for once.\I don't want to be late on the first day of second semester...\That clock's stopped.\Huh?\Because I removed the batteries! response:	Don't do stupid pranks like that!
context: I could probably summarize it in three days.\How about you stop now!\I woke up early for once.\I don't want to be late on the first day of second semester...\That clock's stopped.\Huh?\Because I removed the batteries!\Don't do stupid pranks like that! response:	And don't just carry on drawing in silence over there!
context: How about you stop now!\I woke up early for once.\I don't want to be late on the first day of second semester...\That clock's stopped.\Huh?\Because I removed the batteries!\Don't do stupid pranks like that!\And don't just carry on drawing in silence over there! response:	Suimei University of the Arts Cultural Festival
context: I woke up early for once.\I don't want to be late on the first day of second semester...\That clock's stopped.\Huh?\Because I removed the batteries!\Don't do stupid pranks like that!\And don't just carry on drawing in silence over there!\Suimei University of the Arts Cultural Festival response:	I just made it.
context: I don't want to be late on the first day of second semester...\That clock's stopped.\Huh?\Because I removed the batteries!\Don't do stupid pranks like that!\And don't just carry on drawing in silence over there!\Suimei University of the Arts Cultural Festival\I just made it. response:	You should've said something to me before you left.
context: That clock's stopped.\Huh?\Because I removed the batteries!\Don't do stupid pranks like that!\And don't just carry on drawing in silence over there!\Suimei University of the Arts Cultural Festival\I just made it.\You should've said something to me before you left. response:	Sorry. I'll start doing that as of tomorrow.
context: Huh?\Because I removed the batteries!\Don't do stupid pranks like that!\And don't just carry on drawing in silence over there!\Suimei University of the Arts Cultural Festival\I just made it.\You should've said something to me before you left.\Sorry. I'll start doing that as of tomorrow. response:	Hey, did you hear?
context: Because I removed the batteries!\Don't do stupid pranks like that!\And don't just carry on drawing in silence over there!\Suimei University of the Arts Cultural Festival\I just made it.\You should've said something to me before you left.\Sorry. I'll start doing that as of tomorrow.\Hey, did you hear? response:	Aoyama-san moved into Sakura Hall...
context: Don't do stupid pranks like that!\And don't just carry on drawing in silence over there!\Suimei University of the Arts Cultural Festival\I just made it.\You should've said something to me before you left.\Sorry. I'll start doing that as of tomorrow.\Hey, did you hear?\Aoyama-san moved into Sakura Hall... response:	so she could be with Kanda.
context: And don't just carry on drawing in silence over there!\Suimei University of the Arts Cultural Festival\I just made it.\You should've said something to me before you left.\Sorry. I'll start doing that as of tomorrow.\Hey, did you hear?\Aoyama-san moved into Sakura Hall...\so she could be with Kanda. response:	I heard that Kanda basically ordered her...
context: Suimei University of the Arts Cultural Festival\I just made it.\You should've said something to me before you left.\Sorry. I'll start doing that as of tomorrow.\Hey, did you hear?\Aoyama-san moved into Sakura Hall...\so she could be with Kanda.\I heard that Kanda basically ordered her... response:	to go and move in with him.
context: I just made it.\You should've said something to me before you left.\Sorry. I'll start doing that as of tomorrow.\Hey, did you hear?\Aoyama-san moved into Sakura Hall...\so she could be with Kanda.\I heard that Kanda basically ordered her...\to go and move in with him. response:	I heard that they share the same room.
context: You should've said something to me before you left.\Sorry. I'll start doing that as of tomorrow.\Hey, did you hear?\Aoyama-san moved into Sakura Hall...\so she could be with Kanda.\I heard that Kanda basically ordered her...\to go and move in with him.\I heard that they share the same room. response:	Nanami's so forward!
context: Sorry. I'll start doing that as of tomorrow.\Hey, did you hear?\Aoyama-san moved into Sakura Hall...\so she could be with Kanda.\I heard that Kanda basically ordered her...\to go and move in with him.\I heard that they share the same room.\Nanami's so forward! response:	This is strictly confidential,
context: Hey, did you hear?\Aoyama-san moved into Sakura Hall...\so she could be with Kanda.\I heard that Kanda basically ordered her...\to go and move in with him.\I heard that they share the same room.\Nanami's so forward!\This is strictly confidential, response:	but I heard that she's already pregnant.
context: Aoyama-san moved into Sakura Hall...\so she could be with Kanda.\I heard that Kanda basically ordered her...\to go and move in with him.\I heard that they share the same room.\Nanami's so forward!\This is strictly confidential,\but I heard that she's already pregnant. response:	I'm not pregnant!
context: so she could be with Kanda.\I heard that Kanda basically ordered her...\to go and move in with him.\I heard that they share the same room.\Nanami's so forward!\This is strictly confidential,\but I heard that she's already pregnant.\I'm not pregnant! response:	What's this? You're not denying the rest of it?
context: I heard that Kanda basically ordered her...\to go and move in with him.\I heard that they share the same room.\Nanami's so forward!\This is strictly confidential,\but I heard that she's already pregnant.\I'm not pregnant!\What's this? You're not denying the rest of it? response:	You really did move into Sakura Hall, didn't you?
context: to go and move in with him.\I heard that they share the same room.\Nanami's so forward!\This is strictly confidential,\but I heard that she's already pregnant.\I'm not pregnant!\What's this? You're not denying the rest of it?\You really did move into Sakura Hall, didn't you? response:	I did, but we have different rooms!
context: I heard that they share the same room.\Nanami's so forward!\This is strictly confidential,\but I heard that she's already pregnant.\I'm not pregnant!\What's this? You're not denying the rest of it?\You really did move into Sakura Hall, didn't you?\I did, but we have different rooms! response:	Kanda-kun, don't just keep quiet! Tell them!
context: Nanami's so forward!\This is strictly confidential,\but I heard that she's already pregnant.\I'm not pregnant!\What's this? You're not denying the rest of it?\You really did move into Sakura Hall, didn't you?\I did, but we have different rooms!\Kanda-kun, don't just keep quiet! Tell them! response:	I can't believe I've been caught up in this...
context: This is strictly confidential,\but I heard that she's already pregnant.\I'm not pregnant!\What's this? You're not denying the rest of it?\You really did move into Sakura Hall, didn't you?\I did, but we have different rooms!\Kanda-kun, don't just keep quiet! Tell them!\I can't believe I've been caught up in this... response:	Save me, darling.
context: but I heard that she's already pregnant.\I'm not pregnant!\What's this? You're not denying the rest of it?\You really did move into Sakura Hall, didn't you?\I did, but we have different rooms!\Kanda-kun, don't just keep quiet! Tell them!\I can't believe I've been caught up in this...\Save me, darling. response:	You can do it, husband!
context: I'm not pregnant!\What's this? You're not denying the rest of it?\You really did move into Sakura Hall, didn't you?\I did, but we have different rooms!\Kanda-kun, don't just keep quiet! Tell them!\I can't believe I've been caught up in this...\Save me, darling.\You can do it, husband! response:	Stop it!
context: What's this? You're not denying the rest of it?\You really did move into Sakura Hall, didn't you?\I did, but we have different rooms!\Kanda-kun, don't just keep quiet! Tell them!\I can't believe I've been caught up in this...\Save me, darling.\You can do it, husband!\Stop it! response:	Quit bothering Nanami!
context: You really did move into Sakura Hall, didn't you?\I did, but we have different rooms!\Kanda-kun, don't just keep quiet! Tell them!\I can't believe I've been caught up in this...\Save me, darling.\You can do it, husband!\Stop it!\Quit bothering Nanami! response:	Miyahara?
context: I did, but we have different rooms!\Kanda-kun, don't just keep quiet! Tell them!\I can't believe I've been caught up in this...\Save me, darling.\You can do it, husband!\Stop it!\Quit bothering Nanami!\Miyahara? response:	Miyahara-kun?
context: Kanda-kun, don't just keep quiet! Tell them!\I can't believe I've been caught up in this...\Save me, darling.\You can do it, husband!\Stop it!\Quit bothering Nanami!\Miyahara?\Miyahara-kun? response:	I-I mean, quit bothering Nanami and Sorata.
context: I can't believe I've been caught up in this...\Save me, darling.\You can do it, husband!\Stop it!\Quit bothering Nanami!\Miyahara?\Miyahara-kun?\I-I mean, quit bothering Nanami and Sorata. response:	Sorata's not an immoral guy.
context: Save me, darling.\You can do it, husband!\Stop it!\Quit bothering Nanami!\Miyahara?\Miyahara-kun?\I-I mean, quit bothering Nanami and Sorata.\Sorata's not an immoral guy. response:	Isn't that right?
context: You can do it, husband!\Stop it!\Quit bothering Nanami!\Miyahara?\Miyahara-kun?\I-I mean, quit bothering Nanami and Sorata.\Sorata's not an immoral guy.\Isn't that right? response:	But they really do live under the same roof, right?
context: Stop it!\Quit bothering Nanami!\Miyahara?\Miyahara-kun?\I-I mean, quit bothering Nanami and Sorata.\Sorata's not an immoral guy.\Isn't that right?\But they really do live under the same roof, right? response:	Miyahara, why are you getting so huffy about it?
context: Quit bothering Nanami!\Miyahara?\Miyahara-kun?\I-I mean, quit bothering Nanami and Sorata.\Sorata's not an immoral guy.\Isn't that right?\But they really do live under the same roof, right?\Miyahara, why are you getting so huffy about it? response:	Well, because I... you know...
context: Miyahara?\Miyahara-kun?\I-I mean, quit bothering Nanami and Sorata.\Sorata's not an immoral guy.\Isn't that right?\But they really do live under the same roof, right?\Miyahara, why are you getting so huffy about it?\Well, because I... you know... response:	Sorata's my friend,
context: Miyahara-kun?\I-I mean, quit bothering Nanami and Sorata.\Sorata's not an immoral guy.\Isn't that right?\But they really do live under the same roof, right?\Miyahara, why are you getting so huffy about it?\Well, because I... you know...\Sorata's my friend, response:	so I can't just ignore any weird rumors about him...
context: I-I mean, quit bothering Nanami and Sorata.\Sorata's not an immoral guy.\Isn't that right?\But they really do live under the same roof, right?\Miyahara, why are you getting so huffy about it?\Well, because I... you know...\Sorata's my friend,\so I can't just ignore any weird rumors about him... response:	I shared a room with Sorata...
context: Sorata's not an immoral guy.\Isn't that right?\But they really do live under the same roof, right?\Miyahara, why are you getting so huffy about it?\Well, because I... you know...\Sorata's my friend,\so I can't just ignore any weird rumors about him...\I shared a room with Sorata... response:	in the regular dorms in our first year.
context: Isn't that right?\But they really do live under the same roof, right?\Miyahara, why are you getting so huffy about it?\Well, because I... you know...\Sorata's my friend,\so I can't just ignore any weird rumors about him...\I shared a room with Sorata...\in the regular dorms in our first year. response:	Of course you're gonna share a roof...
context: But they really do live under the same roof, right?\Miyahara, why are you getting so huffy about it?\Well, because I... you know...\Sorata's my friend,\so I can't just ignore any weird rumors about him...\I shared a room with Sorata...\in the regular dorms in our first year.\Of course you're gonna share a roof... response:	By the way, why are you blushing, Miyahara?
context: Miyahara, why are you getting so huffy about it?\Well, because I... you know...\Sorata's my friend,\so I can't just ignore any weird rumors about him...\I shared a room with Sorata...\in the regular dorms in our first year.\Of course you're gonna share a roof...\By the way, why are you blushing, Miyahara? response:	with someone if you live in dorms.
context: Well, because I... you know...\Sorata's my friend,\so I can't just ignore any weird rumors about him...\I shared a room with Sorata...\in the regular dorms in our first year.\Of course you're gonna share a roof...\By the way, why are you blushing, Miyahara?\with someone if you live in dorms. response:	Huh?
context: Sorata's my friend,\so I can't just ignore any weird rumors about him...\I shared a room with Sorata...\in the regular dorms in our first year.\Of course you're gonna share a roof...\By the way, why are you blushing, Miyahara?\with someone if you live in dorms.\Huh? response:	I've got it! You're the one dating Kanda-kun!
context: so I can't just ignore any weird rumors about him...\I shared a room with Sorata...\in the regular dorms in our first year.\Of course you're gonna share a roof...\By the way, why are you blushing, Miyahara?\with someone if you live in dorms.\Huh?\I've got it! You're the one dating Kanda-kun! response:	What?!
context: I shared a room with Sorata...\in the regular dorms in our first year.\Of course you're gonna share a roof...\By the way, why are you blushing, Miyahara?\with someone if you live in dorms.\Huh?\I've got it! You're the one dating Kanda-kun!\What?! response:	I see!
context: in the regular dorms in our first year.\Of course you're gonna share a roof...\By the way, why are you blushing, Miyahara?\with someone if you live in dorms.\Huh?\I've got it! You're the one dating Kanda-kun!\What?!\I see! response:	You don't want Nanami to take your beloved Kanda-kun away!
context: Of course you're gonna share a roof...\By the way, why are you blushing, Miyahara?\with someone if you live in dorms.\Huh?\I've got it! You're the one dating Kanda-kun!\What?!\I see!\You don't want Nanami to take your beloved Kanda-kun away! response:	Miyahara-kun, how gallant!
context: By the way, why are you blushing, Miyahara?\with someone if you live in dorms.\Huh?\I've got it! You're the one dating Kanda-kun!\What?!\I see!\You don't want Nanami to take your beloved Kanda-kun away!\Miyahara-kun, how gallant! response:	I support your relationship!
context: with someone if you live in dorms.\Huh?\I've got it! You're the one dating Kanda-kun!\What?!\I see!\You don't want Nanami to take your beloved Kanda-kun away!\Miyahara-kun, how gallant!\I support your relationship! response:	Oh, I see...
context: Huh?\I've got it! You're the one dating Kanda-kun!\What?!\I see!\You don't want Nanami to take your beloved Kanda-kun away!\Miyahara-kun, how gallant!\I support your relationship!\Oh, I see... response:	Kanda-kun and Miyahara-kun are an item.
context: I've got it! You're the one dating Kanda-kun!\What?!\I see!\You don't want Nanami to take your beloved Kanda-kun away!\Miyahara-kun, how gallant!\I support your relationship!\Oh, I see...\Kanda-kun and Miyahara-kun are an item. response:	They do make a good couple.
context: What?!\I see!\You don't want Nanami to take your beloved Kanda-kun away!\Miyahara-kun, how gallant!\I support your relationship!\Oh, I see...\Kanda-kun and Miyahara-kun are an item.\They do make a good couple. response:	So they're both gay!
context: I see!\You don't want Nanami to take your beloved Kanda-kun away!\Miyahara-kun, how gallant!\I support your relationship!\Oh, I see...\Kanda-kun and Miyahara-kun are an item.\They do make a good couple.\So they're both gay! response:	Miyahara...
context: You don't want Nanami to take your beloved Kanda-kun away!\Miyahara-kun, how gallant!\I support your relationship!\Oh, I see...\Kanda-kun and Miyahara-kun are an item.\They do make a good couple.\So they're both gay!\Miyahara... response:	How did it come to this?!
context: Miyahara-kun, how gallant!\I support your relationship!\Oh, I see...\Kanda-kun and Miyahara-kun are an item.\They do make a good couple.\So they're both gay!\Miyahara...\How did it come to this?! response:	K-Kanda-kun! Don't worry!
context: I support your relationship!\Oh, I see...\Kanda-kun and Miyahara-kun are an item.\They do make a good couple.\So they're both gay!\Miyahara...\How did it come to this?!\K-Kanda-kun! Don't worry! response:	You can love whoever you want!
context: Oh, I see...\Kanda-kun and Miyahara-kun are an item.\They do make a good couple.\So they're both gay!\Miyahara...\How did it come to this?!\K-Kanda-kun! Don't worry!\You can love whoever you want! response:	Whoever you choose to love, we'll still be friends!
context: Kanda-kun and Miyahara-kun are an item.\They do make a good couple.\So they're both gay!\Miyahara...\How did it come to this?!\K-Kanda-kun! Don't worry!\You can love whoever you want!\Whoever you choose to love, we'll still be friends! response:	Don't get carried away with the crowd!
context: They do make a good couple.\So they're both gay!\Miyahara...\How did it come to this?!\K-Kanda-kun! Don't worry!\You can love whoever you want!\Whoever you choose to love, we'll still be friends!\Don't get carried away with the crowd! response:	of second semester because of weird rumors going around about me.
context: So they're both gay!\Miyahara...\How did it come to this?!\K-Kanda-kun! Don't worry!\You can love whoever you want!\Whoever you choose to love, we'll still be friends!\Don't get carried away with the crowd!\of second semester because of weird rumors going around about me. response:	It's all because of the way the residents of Sakura Hall...
context: Miyahara...\How did it come to this?!\K-Kanda-kun! Don't worry!\You can love whoever you want!\Whoever you choose to love, we'll still be friends!\Don't get carried away with the crowd!\of second semester because of weird rumors going around about me.\It's all because of the way the residents of Sakura Hall... response:	conduct themselves on a daily basis.
context: How did it come to this?!\K-Kanda-kun! Don't worry!\You can love whoever you want!\Whoever you choose to love, we'll still be friends!\Don't get carried away with the crowd!\of second semester because of weird rumors going around about me.\It's all because of the way the residents of Sakura Hall...\conduct themselves on a daily basis. response:	From now on, let's follow the rules...
context: K-Kanda-kun! Don't worry!\You can love whoever you want!\Whoever you choose to love, we'll still be friends!\Don't get carried away with the crowd!\of second semester because of weird rumors going around about me.\It's all because of the way the residents of Sakura Hall...\conduct themselves on a daily basis.\From now on, let's follow the rules... response:	and lead pure and proper high school lives.
context: You can love whoever you want!\Whoever you choose to love, we'll still be friends!\Don't get carried away with the crowd!\of second semester because of weird rumors going around about me.\It's all because of the way the residents of Sakura Hall...\conduct themselves on a daily basis.\From now on, let's follow the rules...\and lead pure and proper high school lives. response:	All right?
context: Whoever you choose to love, we'll still be friends!\Don't get carried away with the crowd!\of second semester because of weird rumors going around about me.\It's all because of the way the residents of Sakura Hall...\conduct themselves on a daily basis.\From now on, let's follow the rules...\and lead pure and proper high school lives.\All right? response:	Okay, okay.
context: Don't get carried away with the crowd!\of second semester because of weird rumors going around about me.\It's all because of the way the residents of Sakura Hall...\conduct themselves on a daily basis.\From now on, let's follow the rules...\and lead pure and proper high school lives.\All right?\Okay, okay. response:	Only say it once!
context: of second semester because of weird rumors going around about me.\It's all because of the way the residents of Sakura Hall...\conduct themselves on a daily basis.\From now on, let's follow the rules...\and lead pure and proper high school lives.\All right?\Okay, okay.\Only say it once! response:	Okaaay.
context: It's all because of the way the residents of Sakura Hall...\conduct themselves on a daily basis.\From now on, let's follow the rules...\and lead pure and proper high school lives.\All right?\Okay, okay.\Only say it once!\Okaaay. response:	Don't draw it out!
context: conduct themselves on a daily basis.\From now on, let's follow the rules...\and lead pure and proper high school lives.\All right?\Okay, okay.\Only say it once!\Okaaay.\Don't draw it out! response:	I'm so glad you're here, Aoyama.
context: From now on, let's follow the rules...\and lead pure and proper high school lives.\All right?\Okay, okay.\Only say it once!\Okaaay.\Don't draw it out!\I'm so glad you're here, Aoyama. response:	Thanks for the food.
context: and lead pure and proper high school lives.\All right?\Okay, okay.\Only say it once!\Okaaay.\Don't draw it out!\I'm so glad you're here, Aoyama.\Thanks for the food. response:	I had terrible things happen to me, too.
context: All right?\Okay, okay.\Only say it once!\Okaaay.\Don't draw it out!\I'm so glad you're here, Aoyama.\Thanks for the food.\I had terrible things happen to me, too. response:	On top of that, I almost got hit by a hearse on the way home.
context: Okay, okay.\Only say it once!\Okaaay.\Don't draw it out!\I'm so glad you're here, Aoyama.\Thanks for the food.\I had terrible things happen to me, too.\On top of that, I almost got hit by a hearse on the way home. response:	When I tried to get out of the way, I stepped in the gutter.
context: Only say it once!\Okaaay.\Don't draw it out!\I'm so glad you're here, Aoyama.\Thanks for the food.\I had terrible things happen to me, too.\On top of that, I almost got hit by a hearse on the way home.\When I tried to get out of the way, I stepped in the gutter. response:	I even got clawed by a black cat that just happened to be there.
context: Okaaay.\Don't draw it out!\I'm so glad you're here, Aoyama.\Thanks for the food.\I had terrible things happen to me, too.\On top of that, I almost got hit by a hearse on the way home.\When I tried to get out of the way, I stepped in the gutter.\I even got clawed by a black cat that just happened to be there. response:	Talk about an unlucky first day.
context: Don't draw it out!\I'm so glad you're here, Aoyama.\Thanks for the food.\I had terrible things happen to me, too.\On top of that, I almost got hit by a hearse on the way home.\When I tried to get out of the way, I stepped in the gutter.\I even got clawed by a black cat that just happened to be there.\Talk about an unlucky first day. response:	All I can do is pray nothing else bad happens...
context: I'm so glad you're here, Aoyama.\Thanks for the food.\I had terrible things happen to me, too.\On top of that, I almost got hit by a hearse on the way home.\When I tried to get out of the way, I stepped in the gutter.\I even got clawed by a black cat that just happened to be there.\Talk about an unlucky first day.\All I can do is pray nothing else bad happens... response:	Don't involve us in your misfortune.
context: Thanks for the food.\I had terrible things happen to me, too.\On top of that, I almost got hit by a hearse on the way home.\When I tried to get out of the way, I stepped in the gutter.\I even got clawed by a black cat that just happened to be there.\Talk about an unlucky first day.\All I can do is pray nothing else bad happens...\Don't involve us in your misfortune. response:	Kouhai-kun, settle down!
context: I had terrible things happen to me, too.\On top of that, I almost got hit by a hearse on the way home.\When I tried to get out of the way, I stepped in the gutter.\I even got clawed by a black cat that just happened to be there.\Talk about an unlucky first day.\All I can do is pray nothing else bad happens...\Don't involve us in your misfortune.\Kouhai-kun, settle down! response:	S-Sorry.
context: On top of that, I almost got hit by a hearse on the way home.\When I tried to get out of the way, I stepped in the gutter.\I even got clawed by a black cat that just happened to be there.\Talk about an unlucky first day.\All I can do is pray nothing else bad happens...\Don't involve us in your misfortune.\Kouhai-kun, settle down!\S-Sorry. response:	This weather really does seem foreboding.
context: When I tried to get out of the way, I stepped in the gutter.\I even got clawed by a black cat that just happened to be there.\Talk about an unlucky first day.\All I can do is pray nothing else bad happens...\Don't involve us in your misfortune.\Kouhai-kun, settle down!\S-Sorry.\This weather really does seem foreboding. response:	Must be a fall storm.
context: I even got clawed by a black cat that just happened to be there.\Talk about an unlucky first day.\All I can do is pray nothing else bad happens...\Don't involve us in your misfortune.\Kouhai-kun, settle down!\S-Sorry.\This weather really does seem foreboding.\Must be a fall storm. response:	Okay, okay.
context: Talk about an unlucky first day.\All I can do is pray nothing else bad happens...\Don't involve us in your misfortune.\Kouhai-kun, settle down!\S-Sorry.\This weather really does seem foreboding.\Must be a fall storm.\Okay, okay. response:	Only say it once!
context: All I can do is pray nothing else bad happens...\Don't involve us in your misfortune.\Kouhai-kun, settle down!\S-Sorry.\This weather really does seem foreboding.\Must be a fall storm.\Okay, okay.\Only say it once! response:	Good evening. I apologize for dropping in so suddenly.
context: Don't involve us in your misfortune.\Kouhai-kun, settle down!\S-Sorry.\This weather really does seem foreboding.\Must be a fall storm.\Okay, okay.\Only say it once!\Good evening. I apologize for dropping in so suddenly. response:	A-A foreigner?!
context: Kouhai-kun, settle down!\S-Sorry.\This weather really does seem foreboding.\Must be a fall storm.\Okay, okay.\Only say it once!\Good evening. I apologize for dropping in so suddenly.\A-A foreigner?! response:	Are you dazzled by my beauty?
