context: The first semester's finally over... response:	Okumura!
context: Umm, what's Shima doing...?\He can't stand bugs. He's always been like that.\It's so hot...\This is so heavy...\This forest is really peaceful during the day, but in the night it'll be swarming with minor demons.\We must set up our camp before that.\Let's hurry.\What the hell? Doesn't this heat get to him at all? response:	Come on, keep walking.
context: He can't stand bugs. He's always been like that.\It's so hot...\This is so heavy...\This forest is really peaceful during the day, but in the night it'll be swarming with minor demons.\We must set up our camp before that.\Let's hurry.\What the hell? Doesn't this heat get to him at all?\Come on, keep walking. response:	Huh? Professor, where's your backpack?
context: It's so hot...\This is so heavy...\This forest is really peaceful during the day, but in the night it'll be swarming with minor demons.\We must set up our camp before that.\Let's hurry.\What the hell? Doesn't this heat get to him at all?\Come on, keep walking.\Huh? Professor, where's your backpack? response:	Over there.
context: This is so heavy...\This forest is really peaceful during the day, but in the night it'll be swarming with minor demons.\We must set up our camp before that.\Let's hurry.\What the hell? Doesn't this heat get to him at all?\Come on, keep walking.\Huh? Professor, where's your backpack?\Over there. response:	This is so nice and cold! I'll have a gulp.
context: This forest is really peaceful during the day, but in the night it'll be swarming with minor demons.\We must set up our camp before that.\Let's hurry.\What the hell? Doesn't this heat get to him at all?\Come on, keep walking.\Huh? Professor, where's your backpack?\Over there.\This is so nice and cold! I'll have a gulp. response:	Okumura has some demonic strength.
context: We must set up our camp before that.\Let's hurry.\What the hell? Doesn't this heat get to him at all?\Come on, keep walking.\Huh? Professor, where's your backpack?\Over there.\This is so nice and cold! I'll have a gulp.\Okumura has some demonic strength. response:	This'll be our campsite. Now, you boys will help me set up the tents,
context: Let's hurry.\What the hell? Doesn't this heat get to him at all?\Come on, keep walking.\Huh? Professor, where's your backpack?\Over there.\This is so nice and cold! I'll have a gulp.\Okumura has some demonic strength.\This'll be our campsite. Now, you boys will help me set up the tents, response:	and the girls will set up the magic circle and prepare dinner with professor Kirigakure.
context: What the hell? Doesn't this heat get to him at all?\Come on, keep walking.\Huh? Professor, where's your backpack?\Over there.\This is so nice and cold! I'll have a gulp.\Okumura has some demonic strength.\This'll be our campsite. Now, you boys will help me set up the tents,\and the girls will set up the magic circle and prepare dinner with professor Kirigakure. response:	Let's begin!
context: Come on, keep walking.\Huh? Professor, where's your backpack?\Over there.\This is so nice and cold! I'll have a gulp.\Okumura has some demonic strength.\This'll be our campsite. Now, you boys will help me set up the tents,\and the girls will set up the magic circle and prepare dinner with professor Kirigakure.\Let's begin! response:	He took it off after all.
context: Huh? Professor, where's your backpack?\Over there.\This is so nice and cold! I'll have a gulp.\Okumura has some demonic strength.\This'll be our campsite. Now, you boys will help me set up the tents,\and the girls will set up the magic circle and prepare dinner with professor Kirigakure.\Let's begin!\He took it off after all. response:	I was starting to think he's not even human.
context: Over there.\This is so nice and cold! I'll have a gulp.\Okumura has some demonic strength.\This'll be our campsite. Now, you boys will help me set up the tents,\and the girls will set up the magic circle and prepare dinner with professor Kirigakure.\Let's begin!\He took it off after all.\I was starting to think he's not even human. response:	This is turning more and more into a picnic!
context: This is so nice and cold! I'll have a gulp.\Okumura has some demonic strength.\This'll be our campsite. Now, you boys will help me set up the tents,\and the girls will set up the magic circle and prepare dinner with professor Kirigakure.\Let's begin!\He took it off after all.\I was starting to think he's not even human.\This is turning more and more into a picnic! response:	It's a camp, for God's sake.
context: Okumura has some demonic strength.\This'll be our campsite. Now, you boys will help me set up the tents,\and the girls will set up the magic circle and prepare dinner with professor Kirigakure.\Let's begin!\He took it off after all.\I was starting to think he's not even human.\This is turning more and more into a picnic!\It's a camp, for God's sake. response:	If you beat it like that, it'll...
context: This'll be our campsite. Now, you boys will help me set up the tents,\and the girls will set up the magic circle and prepare dinner with professor Kirigakure.\Let's begin!\He took it off after all.\I was starting to think he's not even human.\This is turning more and more into a picnic!\It's a camp, for God's sake.\If you beat it like that, it'll... response:	Just what I was saying!
context: and the girls will set up the magic circle and prepare dinner with professor Kirigakure.\Let's begin!\He took it off after all.\I was starting to think he's not even human.\This is turning more and more into a picnic!\It's a camp, for God's sake.\If you beat it like that, it'll...\Just what I was saying! response:	This is so much fun...
context: Let's begin!\He took it off after all.\I was starting to think he's not even human.\This is turning more and more into a picnic!\It's a camp, for God's sake.\If you beat it like that, it'll...\Just what I was saying!\This is so much fun... response:	What is? It's just sweltering hot...
context: He took it off after all.\I was starting to think he's not even human.\This is turning more and more into a picnic!\It's a camp, for God's sake.\If you beat it like that, it'll...\Just what I was saying!\This is so much fun...\What is? It's just sweltering hot... response:	The guys are so strange...
context: I was starting to think he's not even human.\This is turning more and more into a picnic!\It's a camp, for God's sake.\If you beat it like that, it'll...\Just what I was saying!\This is so much fun...\What is? It's just sweltering hot...\The guys are so strange... response:	You're the only strange one here.
context: This is turning more and more into a picnic!\It's a camp, for God's sake.\If you beat it like that, it'll...\Just what I was saying!\This is so much fun...\What is? It's just sweltering hot...\The guys are so strange...\You're the only strange one here. response:	I hate you.
context: It's a camp, for God's sake.\If you beat it like that, it'll...\Just what I was saying!\This is so much fun...\What is? It's just sweltering hot...\The guys are so strange...\You're the only strange one here.\I hate you. response:	Please teach me how to put on the uniform!
context: If you beat it like that, it'll...\Just what I was saying!\This is so much fun...\What is? It's just sweltering hot...\The guys are so strange...\You're the only strange one here.\I hate you.\Please teach me how to put on the uniform! response:	Usually you don't go talking to someone who told you she hates you.
context: Just what I was saying!\This is so much fun...\What is? It's just sweltering hot...\The guys are so strange...\You're the only strange one here.\I hate you.\Please teach me how to put on the uniform!\Usually you don't go talking to someone who told you she hates you. response:	What?
context: This is so much fun...\What is? It's just sweltering hot...\The guys are so strange...\You're the only strange one here.\I hate you.\Please teach me how to put on the uniform!\Usually you don't go talking to someone who told you she hates you.\What? response:	Nothing! Hurry and finish your part!
context: What is? It's just sweltering hot...\The guys are so strange...\You're the only strange one here.\I hate you.\Please teach me how to put on the uniform!\Usually you don't go talking to someone who told you she hates you.\What?\Nothing! Hurry and finish your part! response:	Sure!
context: The guys are so strange...\You're the only strange one here.\I hate you.\Please teach me how to put on the uniform!\Usually you don't go talking to someone who told you she hates you.\What?\Nothing! Hurry and finish your part!\Sure! response:	They're all so weird.
context: You're the only strange one here.\I hate you.\Please teach me how to put on the uniform!\Usually you don't go talking to someone who told you she hates you.\What?\Nothing! Hurry and finish your part!\Sure!\They're all so weird. response:	Are you done yet?
context: I hate you.\Please teach me how to put on the uniform!\Usually you don't go talking to someone who told you she hates you.\What?\Nothing! Hurry and finish your part!\Sure!\They're all so weird.\Are you done yet? response:	Her too...
context: Please teach me how to put on the uniform!\Usually you don't go talking to someone who told you she hates you.\What?\Nothing! Hurry and finish your part!\Sure!\They're all so weird.\Are you done yet?\Her too... response:	Just a little more!
context: Usually you don't go talking to someone who told you she hates you.\What?\Nothing! Hurry and finish your part!\Sure!\They're all so weird.\Are you done yet?\Her too...\Just a little more! response:	Ouch!
context: What?\Nothing! Hurry and finish your part!\Sure!\They're all so weird.\Are you done yet?\Her too...\Just a little more!\Ouch! response:	I can't watch this any longer! Give it to me!
context: Nothing! Hurry and finish your part!\Sure!\They're all so weird.\Are you done yet?\Her too...\Just a little more!\Ouch!\I can't watch this any longer! Give it to me! response:	Let's eat!
context: Sure!\They're all so weird.\Are you done yet?\Her too...\Just a little more!\Ouch!\I can't watch this any longer! Give it to me!\Let's eat! response:	This is great! What the hell?
context: They're all so weird.\Are you done yet?\Her too...\Just a little more!\Ouch!\I can't watch this any longer! Give it to me!\Let's eat!\This is great! What the hell? response:	His wife will have no chance...
context: Are you done yet?\Her too...\Just a little more!\Ouch!\I can't watch this any longer! Give it to me!\Let's eat!\This is great! What the hell?\His wife will have no chance... response:	Okumura, you're so good at cooking!
context: Her too...\Just a little more!\Ouch!\I can't watch this any longer! Give it to me!\Let's eat!\This is great! What the hell?\His wife will have no chance...\Okumura, you're so good at cooking! response:	So tasty!
context: Just a little more!\Ouch!\I can't watch this any longer! Give it to me!\Let's eat!\This is great! What the hell?\His wife will have no chance...\Okumura, you're so good at cooking!\So tasty! response:	Well...
context: Ouch!\I can't watch this any longer! Give it to me!\Let's eat!\This is great! What the hell?\His wife will have no chance...\Okumura, you're so good at cooking!\So tasty!\Well... response:	This is his only productive ability.
context: I can't watch this any longer! Give it to me!\Let's eat!\This is great! What the hell?\His wife will have no chance...\Okumura, you're so good at cooking!\So tasty!\Well...\This is his only productive ability. response:	Shut up, moley four-eyes.
context: Let's eat!\This is great! What the hell?\His wife will have no chance...\Okumura, you're so good at cooking!\So tasty!\Well...\This is his only productive ability.\Shut up, moley four-eyes. response:	I could eat so many helpings of this.
context: This is great! What the hell?\His wife will have no chance...\Okumura, you're so good at cooking!\So tasty!\Well...\This is his only productive ability.\Shut up, moley four-eyes.\I could eat so many helpings of this. response:	You eat a lot, don't you, Moriyama?
context: His wife will have no chance...\Okumura, you're so good at cooking!\So tasty!\Well...\This is his only productive ability.\Shut up, moley four-eyes.\I could eat so many helpings of this.\You eat a lot, don't you, Moriyama? response:	I haven't felt like this before...
context: Okumura, you're so good at cooking!\So tasty!\Well...\This is his only productive ability.\Shut up, moley four-eyes.\I could eat so many helpings of this.\You eat a lot, don't you, Moriyama?\I haven't felt like this before... response:	Use your strength for someone else... For some gentler purpose.
context: So tasty!\Well...\This is his only productive ability.\Shut up, moley four-eyes.\I could eat so many helpings of this.\You eat a lot, don't you, Moriyama?\I haven't felt like this before...\Use your strength for someone else... For some gentler purpose. response:	Rin, where are you going? Rin!
context: Well...\This is his only productive ability.\Shut up, moley four-eyes.\I could eat so many helpings of this.\You eat a lot, don't you, Moriyama?\I haven't felt like this before...\Use your strength for someone else... For some gentler purpose.\Rin, where are you going? Rin! response:	I see...
context: This is his only productive ability.\Shut up, moley four-eyes.\I could eat so many helpings of this.\You eat a lot, don't you, Moriyama?\I haven't felt like this before...\Use your strength for someone else... For some gentler purpose.\Rin, where are you going? Rin!\I see... response:	I was always skipping school, so I never took part in events like this.
context: Shut up, moley four-eyes.\I could eat so many helpings of this.\You eat a lot, don't you, Moriyama?\I haven't felt like this before...\Use your strength for someone else... For some gentler purpose.\Rin, where are you going? Rin!\I see...\I was always skipping school, so I never took part in events like this. response:	Hey Okumura, what do you wanna drink?
context: I could eat so many helpings of this.\You eat a lot, don't you, Moriyama?\I haven't felt like this before...\Use your strength for someone else... For some gentler purpose.\Rin, where are you going? Rin!\I see...\I was always skipping school, so I never took part in events like this.\Hey Okumura, what do you wanna drink? response:	Is this what it's like to have friends?
context: You eat a lot, don't you, Moriyama?\I haven't felt like this before...\Use your strength for someone else... For some gentler purpose.\Rin, where are you going? Rin!\I see...\I was always skipping school, so I never took part in events like this.\Hey Okumura, what do you wanna drink?\Is this what it's like to have friends? response:	I'll come and choose myself.
context: I haven't felt like this before...\Use your strength for someone else... For some gentler purpose.\Rin, where are you going? Rin!\I see...\I was always skipping school, so I never took part in events like this.\Hey Okumura, what do you wanna drink?\Is this what it's like to have friends?\I'll come and choose myself. response:	Shiemi?
context: Use your strength for someone else... For some gentler purpose.\Rin, where are you going? Rin!\I see...\I was always skipping school, so I never took part in events like this.\Hey Okumura, what do you wanna drink?\Is this what it's like to have friends?\I'll come and choose myself.\Shiemi? response:	I was worried because Rin was acting so weird lately.
context: Rin, where are you going? Rin!\I see...\I was always skipping school, so I never took part in events like this.\Hey Okumura, what do you wanna drink?\Is this what it's like to have friends?\I'll come and choose myself.\Shiemi?\I was worried because Rin was acting so weird lately. response:	But he seems to be having fun. It makes me glad.
context: I see...\I was always skipping school, so I never took part in events like this.\Hey Okumura, what do you wanna drink?\Is this what it's like to have friends?\I'll come and choose myself.\Shiemi?\I was worried because Rin was acting so weird lately.\But he seems to be having fun. It makes me glad. response:	You're really paying attention to him.
context: I was always skipping school, so I never took part in events like this.\Hey Okumura, what do you wanna drink?\Is this what it's like to have friends?\I'll come and choose myself.\Shiemi?\I was worried because Rin was acting so weird lately.\But he seems to be having fun. It makes me glad.\You're really paying attention to him. response:	No, nevermind.
context: Hey Okumura, what do you wanna drink?\Is this what it's like to have friends?\I'll come and choose myself.\Shiemi?\I was worried because Rin was acting so weird lately.\But he seems to be having fun. It makes me glad.\You're really paying attention to him.\No, nevermind. response:	Now let me explain you the details of the training.
context: Is this what it's like to have friends?\I'll come and choose myself.\Shiemi?\I was worried because Rin was acting so weird lately.\But he seems to be having fun. It makes me glad.\You're really paying attention to him.\No, nevermind.\Now let me explain you the details of the training. response:	Woohoo, a test of courage!
context: I'll come and choose myself.\Shiemi?\I was worried because Rin was acting so weird lately.\But he seems to be having fun. It makes me glad.\You're really paying attention to him.\No, nevermind.\Now let me explain you the details of the training.\Woohoo, a test of courage! response:	Shura, you're on duty.
context: Shiemi?\I was worried because Rin was acting so weird lately.\But he seems to be having fun. It makes me glad.\You're really paying attention to him.\No, nevermind.\Now let me explain you the details of the training.\Woohoo, a test of courage!\Shura, you're on duty. response:	Wait a sec, that chick said she's 18! She's still a minor!
context: I was worried because Rin was acting so weird lately.\But he seems to be having fun. It makes me glad.\You're really paying attention to him.\No, nevermind.\Now let me explain you the details of the training.\Woohoo, a test of courage!\Shura, you're on duty.\Wait a sec, that chick said she's 18! She's still a minor! response:	18? What are you saying?
context: But he seems to be having fun. It makes me glad.\You're really paying attention to him.\No, nevermind.\Now let me explain you the details of the training.\Woohoo, a test of courage!\Shura, you're on duty.\Wait a sec, that chick said she's 18! She's still a minor!\18? What are you saying? response:	This year she's turning twenty-si -
context: You're really paying attention to him.\No, nevermind.\Now let me explain you the details of the training.\Woohoo, a test of courage!\Shura, you're on duty.\Wait a sec, that chick said she's 18! She's still a minor!\18? What are you saying?\This year she's turning twenty-si - response:	Whoops. My hand slipped.
context: No, nevermind.\Now let me explain you the details of the training.\Woohoo, a test of courage!\Shura, you're on duty.\Wait a sec, that chick said she's 18! She's still a minor!\18? What are you saying?\This year she's turning twenty-si -\Whoops. My hand slipped. response:	Do your goddamn work.
context: Now let me explain you the details of the training.\Woohoo, a test of courage!\Shura, you're on duty.\Wait a sec, that chick said she's 18! She's still a minor!\18? What are you saying?\This year she's turning twenty-si -\Whoops. My hand slipped.\Do your goddamn work. response:	Look, he's mad now! Woohoo!
context: Woohoo, a test of courage!\Shura, you're on duty.\Wait a sec, that chick said she's 18! She's still a minor!\18? What are you saying?\This year she's turning twenty-si -\Whoops. My hand slipped.\Do your goddamn work.\Look, he's mad now! Woohoo! response:	Now let me explain. You are to light the lanterns hidden in the forest around us.
context: Shura, you're on duty.\Wait a sec, that chick said she's 18! She's still a minor!\18? What are you saying?\This year she's turning twenty-si -\Whoops. My hand slipped.\Do your goddamn work.\Look, he's mad now! Woohoo!\Now let me explain. You are to light the lanterns hidden in the forest around us. response:	They're within 500 meter radius around the camp.
context: Wait a sec, that chick said she's 18! She's still a minor!\18? What are you saying?\This year she's turning twenty-si -\Whoops. My hand slipped.\Do your goddamn work.\Look, he's mad now! Woohoo!\Now let me explain. You are to light the lanterns hidden in the forest around us.\They're within 500 meter radius around the camp. response:	Those who can bring back a lit lantern without the fire going out during the next three days
context: 18? What are you saying?\This year she's turning twenty-si -\Whoops. My hand slipped.\Do your goddamn work.\Look, he's mad now! Woohoo!\Now let me explain. You are to light the lanterns hidden in the forest around us.\They're within 500 meter radius around the camp.\Those who can bring back a lit lantern without the fire going out during the next three days response:	will receive the permission to take part in missions.
context: This year she's turning twenty-si -\Whoops. My hand slipped.\Do your goddamn work.\Look, he's mad now! Woohoo!\Now let me explain. You are to light the lanterns hidden in the forest around us.\They're within 500 meter radius around the camp.\Those who can bring back a lit lantern without the fire going out during the next three days\will receive the permission to take part in missions. response:	However, there are only three lanterns.
context: Whoops. My hand slipped.\Do your goddamn work.\Look, he's mad now! Woohoo!\Now let me explain. You are to light the lanterns hidden in the forest around us.\They're within 500 meter radius around the camp.\Those who can bring back a lit lantern without the fire going out during the next three days\will receive the permission to take part in missions.\However, there are only three lanterns. response:	Which means that there are only three permissions.
context: Do your goddamn work.\Look, he's mad now! Woohoo!\Now let me explain. You are to light the lanterns hidden in the forest around us.\They're within 500 meter radius around the camp.\Those who can bring back a lit lantern without the fire going out during the next three days\will receive the permission to take part in missions.\However, there are only three lanterns.\Which means that there are only three permissions. response:	That's...
context: Look, he's mad now! Woohoo!\Now let me explain. You are to light the lanterns hidden in the forest around us.\They're within 500 meter radius around the camp.\Those who can bring back a lit lantern without the fire going out during the next three days\will receive the permission to take part in missions.\However, there are only three lanterns.\Which means that there are only three permissions.\That's... response:	Next, the contents of your shoulder bags.
context: Now let me explain. You are to light the lanterns hidden in the forest around us.\They're within 500 meter radius around the camp.\Those who can bring back a lit lantern without the fire going out during the next three days\will receive the permission to take part in missions.\However, there are only three lanterns.\Which means that there are only three permissions.\That's...\Next, the contents of your shoulder bags. response:	Three days' worth of water, food and other necessities.
context: They're within 500 meter radius around the camp.\Those who can bring back a lit lantern without the fire going out during the next three days\will receive the permission to take part in missions.\However, there are only three lanterns.\Which means that there are only three permissions.\That's...\Next, the contents of your shoulder bags.\Three days' worth of water, food and other necessities. response:	There's also a compass, matches, demon-repelling fireworks and a flashlight.
context: Those who can bring back a lit lantern without the fire going out during the next three days\will receive the permission to take part in missions.\However, there are only three lanterns.\Which means that there are only three permissions.\That's...\Next, the contents of your shoulder bags.\Three days' worth of water, food and other necessities.\There's also a compass, matches, demon-repelling fireworks and a flashlight. response:	The best way to succeed is to use your own abilities to the fullest.
context: will receive the permission to take part in missions.\However, there are only three lanterns.\Which means that there are only three permissions.\That's...\Next, the contents of your shoulder bags.\Three days' worth of water, food and other necessities.\There's also a compass, matches, demon-repelling fireworks and a flashlight.\The best way to succeed is to use your own abilities to the fullest. response:	So we just have to find the lanterns, light them and come back, right?
context: However, there are only three lanterns.\Which means that there are only three permissions.\That's...\Next, the contents of your shoulder bags.\Three days' worth of water, food and other necessities.\There's also a compass, matches, demon-repelling fireworks and a flashlight.\The best way to succeed is to use your own abilities to the fullest.\So we just have to find the lanterns, light them and come back, right? response:	Isn't that too simple?
context: Which means that there are only three permissions.\That's...\Next, the contents of your shoulder bags.\Three days' worth of water, food and other necessities.\There's also a compass, matches, demon-repelling fireworks and a flashlight.\The best way to succeed is to use your own abilities to the fullest.\So we just have to find the lanterns, light them and come back, right?\Isn't that too simple? response:	Don't you get it?
context: That's...\Next, the contents of your shoulder bags.\Three days' worth of water, food and other necessities.\There's also a compass, matches, demon-repelling fireworks and a flashlight.\The best way to succeed is to use your own abilities to the fullest.\So we just have to find the lanterns, light them and come back, right?\Isn't that too simple?\Don't you get it? response:	This ain't gonna be as easy as the Esquire exam.
context: Next, the contents of your shoulder bags.\Three days' worth of water, food and other necessities.\There's also a compass, matches, demon-repelling fireworks and a flashlight.\The best way to succeed is to use your own abilities to the fullest.\So we just have to find the lanterns, light them and come back, right?\Isn't that too simple?\Don't you get it?\This ain't gonna be as easy as the Esquire exam. response:	We're in a dark forest. You'll be found out right away.
context: Three days' worth of water, food and other necessities.\There's also a compass, matches, demon-repelling fireworks and a flashlight.\The best way to succeed is to use your own abilities to the fullest.\So we just have to find the lanterns, light them and come back, right?\Isn't that too simple?\Don't you get it?\This ain't gonna be as easy as the Esquire exam.\We're in a dark forest. You'll be found out right away. response:	Huh?
context: There's also a compass, matches, demon-repelling fireworks and a flashlight.\The best way to succeed is to use your own abilities to the fullest.\So we just have to find the lanterns, light them and come back, right?\Isn't that too simple?\Don't you get it?\This ain't gonna be as easy as the Esquire exam.\We're in a dark forest. You'll be found out right away.\Huh? response:	I'm telling you not to use your flames.
context: The best way to succeed is to use your own abilities to the fullest.\So we just have to find the lanterns, light them and come back, right?\Isn't that too simple?\Don't you get it?\This ain't gonna be as easy as the Esquire exam.\We're in a dark forest. You'll be found out right away.\Huh?\I'm telling you not to use your flames. response:	Don't forget that I'm still a High Inspector.
context: So we just have to find the lanterns, light them and come back, right?\Isn't that too simple?\Don't you get it?\This ain't gonna be as easy as the Esquire exam.\We're in a dark forest. You'll be found out right away.\Huh?\I'm telling you not to use your flames.\Don't forget that I'm still a High Inspector. response:	If someone finds out that you possess Satan's power, I will have to report it to the higher-ups.
context: Isn't that too simple?\Don't you get it?\This ain't gonna be as easy as the Esquire exam.\We're in a dark forest. You'll be found out right away.\Huh?\I'm telling you not to use your flames.\Don't forget that I'm still a High Inspector.\If someone finds out that you possess Satan's power, I will have to report it to the higher-ups. response:	Then Arch Knights and the Paladin and who knows what other things worse than demons will come to hunt you down.
