context: Do you know what it means to dis Sabertooth? response:	I'm going to teach you with her body!
context: Lucy!\Are you okay?!\Hang in there!\How could you do this to her, you witch?!\Get the Celestial Spirit Wizard to the infirmary immediately!\No! I'll give her emergency treatment first!\I'll help you!\Lucy, hang in there! response:	What are you staring at?
context: Are you okay?!\Hang in there!\How could you do this to her, you witch?!\Get the Celestial Spirit Wizard to the infirmary immediately!\No! I'll give her emergency treatment first!\I'll help you!\Lucy, hang in there!\What are you staring at? response:	Lucy-san!
context: Hang in there!\How could you do this to her, you witch?!\Get the Celestial Spirit Wizard to the infirmary immediately!\No! I'll give her emergency treatment first!\I'll help you!\Lucy, hang in there!\What are you staring at?\Lucy-san! response:	She's terribly wounded, but if we do it together...
context: How could you do this to her, you witch?!\Get the Celestial Spirit Wizard to the infirmary immediately!\No! I'll give her emergency treatment first!\I'll help you!\Lucy, hang in there!\What are you staring at?\Lucy-san!\She's terribly wounded, but if we do it together... response:	I asked you, what are you looking at?
context: Get the Celestial Spirit Wizard to the infirmary immediately!\No! I'll give her emergency treatment first!\I'll help you!\Lucy, hang in there!\What are you staring at?\Lucy-san!\She's terribly wounded, but if we do it together...\I asked you, what are you looking at? response:	I acted within the rules of the competition.
context: No! I'll give her emergency treatment first!\I'll help you!\Lucy, hang in there!\What are you staring at?\Lucy-san!\She's terribly wounded, but if we do it together...\I asked you, what are you looking at?\I acted within the rules of the competition. response:	Rules, you say?
context: I'll help you!\Lucy, hang in there!\What are you staring at?\Lucy-san!\She's terribly wounded, but if we do it together...\I asked you, what are you looking at?\I acted within the rules of the competition.\Rules, you say? response:	You mean torturing an opponent who's already lost?
context: Lucy, hang in there!\What are you staring at?\Lucy-san!\She's terribly wounded, but if we do it together...\I asked you, what are you looking at?\I acted within the rules of the competition.\Rules, you say?\You mean torturing an opponent who's already lost? response:	The crowd ate it up, didn't they?
context: What are you staring at?\Lucy-san!\She's terribly wounded, but if we do it together...\I asked you, what are you looking at?\I acted within the rules of the competition.\Rules, you say?\You mean torturing an opponent who's already lost?\The crowd ate it up, didn't they? response:	Lucy should be grateful.
context: Lucy-san!\She's terribly wounded, but if we do it together...\I asked you, what are you looking at?\I acted within the rules of the competition.\Rules, you say?\You mean torturing an opponent who's already lost?\The crowd ate it up, didn't they?\Lucy should be grateful. response:	I let her be in second place.
context: She's terribly wounded, but if we do it together...\I asked you, what are you looking at?\I acted within the rules of the competition.\Rules, you say?\You mean torturing an opponent who's already lost?\The crowd ate it up, didn't they?\Lucy should be grateful.\I let her be in second place. response:	Even though the girl is a useless piece of garbage...
context: I asked you, what are you looking at?\I acted within the rules of the competition.\Rules, you say?\You mean torturing an opponent who's already lost?\The crowd ate it up, didn't they?\Lucy should be grateful.\I let her be in second place.\Even though the girl is a useless piece of garbage... response:	What?!
context: I acted within the rules of the competition.\Rules, you say?\You mean torturing an opponent who's already lost?\The crowd ate it up, didn't they?\Lucy should be grateful.\I let her be in second place.\Even though the girl is a useless piece of garbage...\What?! response:	Uh-oh! What's this?!
context: Rules, you say?\You mean torturing an opponent who's already lost?\The crowd ate it up, didn't they?\Lucy should be grateful.\I let her be in second place.\Even though the girl is a useless piece of garbage...\What?!\Uh-oh! What's this?! response:	Are both teams about to rumble?!
context: You mean torturing an opponent who's already lost?\The crowd ate it up, didn't they?\Lucy should be grateful.\I let her be in second place.\Even though the girl is a useless piece of garbage...\What?!\Uh-oh! What's this?!\Are both teams about to rumble?! response:	They're gonna start somethin' here?!
context: The crowd ate it up, didn't they?\Lucy should be grateful.\I let her be in second place.\Even though the girl is a useless piece of garbage...\What?!\Uh-oh! What's this?!\Are both teams about to rumble?!\They're gonna start somethin' here?! response:	Sabertooth versus Fairy Tail!
context: Lucy should be grateful.\I let her be in second place.\Even though the girl is a useless piece of garbage...\What?!\Uh-oh! What's this?!\Are both teams about to rumble?!\They're gonna start somethin' here?!\Sabertooth versus Fairy Tail! response:	We need to keep things calm here.
context: I let her be in second place.\Even though the girl is a useless piece of garbage...\What?!\Uh-oh! What's this?!\Are both teams about to rumble?!\They're gonna start somethin' here?!\Sabertooth versus Fairy Tail!\We need to keep things calm here. response:	But the crowd loves it!
context: Even though the girl is a useless piece of garbage...\What?!\Uh-oh! What's this?!\Are both teams about to rumble?!\They're gonna start somethin' here?!\Sabertooth versus Fairy Tail!\We need to keep things calm here.\But the crowd loves it! response:	Thank you very much!
context: What?!\Uh-oh! What's this?!\Are both teams about to rumble?!\They're gonna start somethin' here?!\Sabertooth versus Fairy Tail!\We need to keep things calm here.\But the crowd loves it!\Thank you very much! response:	This is one of those unavoidable fate things, y'know?
context: Uh-oh! What's this?!\Are both teams about to rumble?!\They're gonna start somethin' here?!\Sabertooth versus Fairy Tail!\We need to keep things calm here.\But the crowd loves it!\Thank you very much!\This is one of those unavoidable fate things, y'know? response:	Fro thinks so, too...
context: Are both teams about to rumble?!\They're gonna start somethin' here?!\Sabertooth versus Fairy Tail!\We need to keep things calm here.\But the crowd loves it!\Thank you very much!\This is one of those unavoidable fate things, y'know?\Fro thinks so, too... response:	This isn't an official match.
context: They're gonna start somethin' here?!\Sabertooth versus Fairy Tail!\We need to keep things calm here.\But the crowd loves it!\Thank you very much!\This is one of those unavoidable fate things, y'know?\Fro thinks so, too...\This isn't an official match. response:	If they really do this, we'll go out there, too.
context: Sabertooth versus Fairy Tail!\We need to keep things calm here.\But the crowd loves it!\Thank you very much!\This is one of those unavoidable fate things, y'know?\Fro thinks so, too...\This isn't an official match.\If they really do this, we'll go out there, too. response:	Aye, sir!
context: We need to keep things calm here.\But the crowd loves it!\Thank you very much!\This is one of those unavoidable fate things, y'know?\Fro thinks so, too...\This isn't an official match.\If they really do this, we'll go out there, too.\Aye, sir! response:	Calm down, for crying out loud!
context: But the crowd loves it!\Thank you very much!\This is one of those unavoidable fate things, y'know?\Fro thinks so, too...\This isn't an official match.\If they really do this, we'll go out there, too.\Aye, sir!\Calm down, for crying out loud! response:	Wild...
context: Thank you very much!\This is one of those unavoidable fate things, y'know?\Fro thinks so, too...\This isn't an official match.\If they really do this, we'll go out there, too.\Aye, sir!\Calm down, for crying out loud!\Wild... response:	Things are getting pretty lively around here-kabo...
context: This is one of those unavoidable fate things, y'know?\Fro thinks so, too...\This isn't an official match.\If they really do this, we'll go out there, too.\Aye, sir!\Calm down, for crying out loud!\Wild...\Things are getting pretty lively around here-kabo... response:	What should we do?
context: Fro thinks so, too...\This isn't an official match.\If they really do this, we'll go out there, too.\Aye, sir!\Calm down, for crying out loud!\Wild...\Things are getting pretty lively around here-kabo...\What should we do? response:	Lucy...
context: This isn't an official match.\If they really do this, we'll go out there, too.\Aye, sir!\Calm down, for crying out loud!\Wild...\Things are getting pretty lively around here-kabo...\What should we do?\Lucy... response:	Men...
context: If they really do this, we'll go out there, too.\Aye, sir!\Calm down, for crying out loud!\Wild...\Things are getting pretty lively around here-kabo...\What should we do?\Lucy...\Men... response:	Fight! Fight! Fight! Fight!
context: Aye, sir!\Calm down, for crying out loud!\Wild...\Things are getting pretty lively around here-kabo...\What should we do?\Lucy...\Men...\Fight! Fight! Fight! Fight! response:	I don't care if you're the strongest or number one in Fiore,
context: Calm down, for crying out loud!\Wild...\Things are getting pretty lively around here-kabo...\What should we do?\Lucy...\Men...\Fight! Fight! Fight! Fight!\I don't care if you're the strongest or number one in Fiore, response:	I'll just tell you one thing.
context: Wild...\Things are getting pretty lively around here-kabo...\What should we do?\Lucy...\Men...\Fight! Fight! Fight! Fight!\I don't care if you're the strongest or number one in Fiore,\I'll just tell you one thing. response:	You people...
context: Things are getting pretty lively around here-kabo...\What should we do?\Lucy...\Men...\Fight! Fight! Fight! Fight!\I don't care if you're the strongest or number one in Fiore,\I'll just tell you one thing.\You people... response:	The Perfume I Dedicate to You!
context: What should we do?\Lucy...\Men...\Fight! Fight! Fight! Fight!\I don't care if you're the strongest or number one in Fiore,\I'll just tell you one thing.\You people...\The Perfume I Dedicate to You! response:	Lucy, are you alright?
context: Lucy...\Men...\Fight! Fight! Fight! Fight!\I don't care if you're the strongest or number one in Fiore,\I'll just tell you one thing.\You people...\The Perfume I Dedicate to You!\Lucy, are you alright? response:	Is Lucy okay?!
context: Men...\Fight! Fight! Fight! Fight!\I don't care if you're the strongest or number one in Fiore,\I'll just tell you one thing.\You people...\The Perfume I Dedicate to You!\Lucy, are you alright?\Is Lucy okay?! response:	Lucy!
context: Fight! Fight! Fight! Fight!\I don't care if you're the strongest or number one in Fiore,\I'll just tell you one thing.\You people...\The Perfume I Dedicate to You!\Lucy, are you alright?\Is Lucy okay?!\Lucy! response:	You guys...
context: I don't care if you're the strongest or number one in Fiore,\I'll just tell you one thing.\You people...\The Perfume I Dedicate to You!\Lucy, are you alright?\Is Lucy okay?!\Lucy!\You guys... response:	Even though we're on different teams, we're all in the same guild.
context: I'll just tell you one thing.\You people...\The Perfume I Dedicate to You!\Lucy, are you alright?\Is Lucy okay?!\Lucy!\You guys...\Even though we're on different teams, we're all in the same guild. response:	Laxus!
context: You people...\The Perfume I Dedicate to You!\Lucy, are you alright?\Is Lucy okay?!\Lucy!\You guys...\Even though we're on different teams, we're all in the same guild.\Laxus! response:	So, how is she?
context: The Perfume I Dedicate to You!\Lucy, are you alright?\Is Lucy okay?!\Lucy!\You guys...\Even though we're on different teams, we're all in the same guild.\Laxus!\So, how is she? response:	Thanks to Wendy, her life isn't in danger.
context: Lucy, are you alright?\Is Lucy okay?!\Lucy!\You guys...\Even though we're on different teams, we're all in the same guild.\Laxus!\So, how is she?\Thanks to Wendy, her life isn't in danger. response:	No, it was because of Cheria's emergency treatment.
context: Is Lucy okay?!\Lucy!\You guys...\Even though we're on different teams, we're all in the same guild.\Laxus!\So, how is she?\Thanks to Wendy, her life isn't in danger.\No, it was because of Cheria's emergency treatment. response:	Thank goodness...
context: Lucy!\You guys...\Even though we're on different teams, we're all in the same guild.\Laxus!\So, how is she?\Thanks to Wendy, her life isn't in danger.\No, it was because of Cheria's emergency treatment.\Thank goodness... response:	And it looks like her major wounds are gone, so I'm relieved.
context: You guys...\Even though we're on different teams, we're all in the same guild.\Laxus!\So, how is she?\Thanks to Wendy, her life isn't in danger.\No, it was because of Cheria's emergency treatment.\Thank goodness...\And it looks like her major wounds are gone, so I'm relieved. response:	Those bastards...
context: Even though we're on different teams, we're all in the same guild.\Laxus!\So, how is she?\Thanks to Wendy, her life isn't in danger.\No, it was because of Cheria's emergency treatment.\Thank goodness...\And it looks like her major wounds are gone, so I'm relieved.\Those bastards... response:	I know what you wanna say...
context: Laxus!\So, how is she?\Thanks to Wendy, her life isn't in danger.\No, it was because of Cheria's emergency treatment.\Thank goodness...\And it looks like her major wounds are gone, so I'm relieved.\Those bastards...\I know what you wanna say... response:	Lucy...
context: So, how is she?\Thanks to Wendy, her life isn't in danger.\No, it was because of Cheria's emergency treatment.\Thank goodness...\And it looks like her major wounds are gone, so I'm relieved.\Those bastards...\I know what you wanna say...\Lucy... response:	Everyone... I'm sorry.
context: Thanks to Wendy, her life isn't in danger.\No, it was because of Cheria's emergency treatment.\Thank goodness...\And it looks like her major wounds are gone, so I'm relieved.\Those bastards...\I know what you wanna say...\Lucy...\Everyone... I'm sorry. response:	Why are you apologizin'?
context: No, it was because of Cheria's emergency treatment.\Thank goodness...\And it looks like her major wounds are gone, so I'm relieved.\Those bastards...\I know what you wanna say...\Lucy...\Everyone... I'm sorry.\Why are you apologizin'? response:	I blew it again...
context: Thank goodness...\And it looks like her major wounds are gone, so I'm relieved.\Those bastards...\I know what you wanna say...\Lucy...\Everyone... I'm sorry.\Why are you apologizin'?\I blew it again... response:	What are you talking about?! We took second place thanks to you, Lucy!
context: And it looks like her major wounds are gone, so I'm relieved.\Those bastards...\I know what you wanna say...\Lucy...\Everyone... I'm sorry.\Why are you apologizin'?\I blew it again...\What are you talking about?! We took second place thanks to you, Lucy! response:	We got eight points!
context: Those bastards...\I know what you wanna say...\Lucy...\Everyone... I'm sorry.\Why are you apologizin'?\I blew it again...\What are you talking about?! We took second place thanks to you, Lucy!\We got eight points! response:	Yeah. You did very well.
context: I know what you wanna say...\Lucy...\Everyone... I'm sorry.\Why are you apologizin'?\I blew it again...\What are you talking about?! We took second place thanks to you, Lucy!\We got eight points!\Yeah. You did very well. response:	My keys...
context: Lucy...\Everyone... I'm sorry.\Why are you apologizin'?\I blew it again...\What are you talking about?! We took second place thanks to you, Lucy!\We got eight points!\Yeah. You did very well.\My keys... response:	Here they are.
context: Everyone... I'm sorry.\Why are you apologizin'?\I blew it again...\What are you talking about?! We took second place thanks to you, Lucy!\We got eight points!\Yeah. You did very well.\My keys...\Here they are. response:	Thank goodness! Thank you!
context: Why are you apologizin'?\I blew it again...\What are you talking about?! We took second place thanks to you, Lucy!\We got eight points!\Yeah. You did very well.\My keys...\Here they are.\Thank goodness! Thank you! response:	Looks like she fell asleep...
context: I blew it again...\What are you talking about?! We took second place thanks to you, Lucy!\We got eight points!\Yeah. You did very well.\My keys...\Here they are.\Thank goodness! Thank you!\Looks like she fell asleep... response:	It's like they've got us all feeling down...
context: What are you talking about?! We took second place thanks to you, Lucy!\We got eight points!\Yeah. You did very well.\My keys...\Here they are.\Thank goodness! Thank you!\Looks like she fell asleep...\It's like they've got us all feeling down... response:	Sabertooth...
context: We got eight points!\Yeah. You did very well.\My keys...\Here they are.\Thank goodness! Thank you!\Looks like she fell asleep...\It's like they've got us all feeling down...\Sabertooth... response:	I don't like'em...
context: Yeah. You did very well.\My keys...\Here they are.\Thank goodness! Thank you!\Looks like she fell asleep...\It's like they've got us all feeling down...\Sabertooth...\I don't like'em... response:	Master!
context: My keys...\Here they are.\Thank goodness! Thank you!\Looks like she fell asleep...\It's like they've got us all feeling down...\Sabertooth...\I don't like'em...\Master! response:	A team, B team... You're all here?
context: Here they are.\Thank goodness! Thank you!\Looks like she fell asleep...\It's like they've got us all feeling down...\Sabertooth...\I don't like'em...\Master!\A team, B team... You're all here? response:	Good.
context: Thank goodness! Thank you!\Looks like she fell asleep...\It's like they've got us all feeling down...\Sabertooth...\I don't like'em...\Master!\A team, B team... You're all here?\Good. response:	I'm not sure if this is good news or bad news.
context: Looks like she fell asleep...\It's like they've got us all feeling down...\Sabertooth...\I don't like'em...\Master!\A team, B team... You're all here?\Good.\I'm not sure if this is good news or bad news. response:	The administrators told me that teams A and B must combine.
context: It's like they've got us all feeling down...\Sabertooth...\I don't like'em...\Master!\A team, B team... You're all here?\Good.\I'm not sure if this is good news or bad news.\The administrators told me that teams A and B must combine. response:	What?!
context: Sabertooth...\I don't like'em...\Master!\A team, B team... You're all here?\Good.\I'm not sure if this is good news or bad news.\The administrators told me that teams A and B must combine.\What?! response:	Teams A and B have to unite?
context: I don't like'em...\Master!\A team, B team... You're all here?\Good.\I'm not sure if this is good news or bad news.\The administrators told me that teams A and B must combine.\What?!\Teams A and B have to unite? response:	Why?
context: Master!\A team, B team... You're all here?\Good.\I'm not sure if this is good news or bad news.\The administrators told me that teams A and B must combine.\What?!\Teams A and B have to unite?\Why? response:	The disqualification of Raven Tail brings the number of teams down to seven,
context: A team, B team... You're all here?\Good.\I'm not sure if this is good news or bad news.\The administrators told me that teams A and B must combine.\What?!\Teams A and B have to unite?\Why?\The disqualification of Raven Tail brings the number of teams down to seven, response:	and having an odd number doesn't work when it comes to matching up for the battle part.
context: Good.\I'm not sure if this is good news or bad news.\The administrators told me that teams A and B must combine.\What?!\Teams A and B have to unite?\Why?\The disqualification of Raven Tail brings the number of teams down to seven,\and having an odd number doesn't work when it comes to matching up for the battle part. response:	Therefore, both of our teams must become one
context: I'm not sure if this is good news or bad news.\The administrators told me that teams A and B must combine.\What?!\Teams A and B have to unite?\Why?\The disqualification of Raven Tail brings the number of teams down to seven,\and having an odd number doesn't work when it comes to matching up for the battle part.\Therefore, both of our teams must become one response:	and we have to choose the five members again.
context: The administrators told me that teams A and B must combine.\What?!\Teams A and B have to unite?\Why?\The disqualification of Raven Tail brings the number of teams down to seven,\and having an odd number doesn't work when it comes to matching up for the battle part.\Therefore, both of our teams must become one\and we have to choose the five members again. response:	Choose five members?
context: What?!\Teams A and B have to unite?\Why?\The disqualification of Raven Tail brings the number of teams down to seven,\and having an odd number doesn't work when it comes to matching up for the battle part.\Therefore, both of our teams must become one\and we have to choose the five members again.\Choose five members? response:	What about our points?
context: Teams A and B have to unite?\Why?\The disqualification of Raven Tail brings the number of teams down to seven,\and having an odd number doesn't work when it comes to matching up for the battle part.\Therefore, both of our teams must become one\and we have to choose the five members again.\Choose five members?\What about our points? response:	Apparently, the lower score will carry over.
context: Why?\The disqualification of Raven Tail brings the number of teams down to seven,\and having an odd number doesn't work when it comes to matching up for the battle part.\Therefore, both of our teams must become one\and we have to choose the five members again.\Choose five members?\What about our points?\Apparently, the lower score will carry over. response:	In other words, A team's 35 points...
context: The disqualification of Raven Tail brings the number of teams down to seven,\and having an odd number doesn't work when it comes to matching up for the battle part.\Therefore, both of our teams must become one\and we have to choose the five members again.\Choose five members?\What about our points?\Apparently, the lower score will carry over.\In other words, A team's 35 points... response:	How cruel!
context: and having an odd number doesn't work when it comes to matching up for the battle part.\Therefore, both of our teams must become one\and we have to choose the five members again.\Choose five members?\What about our points?\Apparently, the lower score will carry over.\In other words, A team's 35 points...\How cruel! response:	But if that's the administration's decision, there's nothing we can do about it.
context: Therefore, both of our teams must become one\and we have to choose the five members again.\Choose five members?\What about our points?\Apparently, the lower score will carry over.\In other words, A team's 35 points...\How cruel!\But if that's the administration's decision, there's nothing we can do about it. response:	Well, looking at the bright side, we'll be able to put together an even stronger team.
context: and we have to choose the five members again.\Choose five members?\What about our points?\Apparently, the lower score will carry over.\In other words, A team's 35 points...\How cruel!\But if that's the administration's decision, there's nothing we can do about it.\Well, looking at the bright side, we'll be able to put together an even stronger team. response:	But even if we decide on five people here,
context: Choose five members?\What about our points?\Apparently, the lower score will carry over.\In other words, A team's 35 points...\How cruel!\But if that's the administration's decision, there's nothing we can do about it.\Well, looking at the bright side, we'll be able to put together an even stronger team.\But even if we decide on five people here, response:	the remaining events will all just be tag-team battles, right?
context: What about our points?\Apparently, the lower score will carry over.\In other words, A team's 35 points...\How cruel!\But if that's the administration's decision, there's nothing we can do about it.\Well, looking at the bright side, we'll be able to put together an even stronger team.\But even if we decide on five people here,\the remaining events will all just be tag-team battles, right? response:	No. I'm sure that between tomorrow's break and the final day,
context: Apparently, the lower score will carry over.\In other words, A team's 35 points...\How cruel!\But if that's the administration's decision, there's nothing we can do about it.\Well, looking at the bright side, we'll be able to put together an even stronger team.\But even if we decide on five people here,\the remaining events will all just be tag-team battles, right?\No. I'm sure that between tomorrow's break and the final day, response:	there will be a battle involving all five members.
context: In other words, A team's 35 points...\How cruel!\But if that's the administration's decision, there's nothing we can do about it.\Well, looking at the bright side, we'll be able to put together an even stronger team.\But even if we decide on five people here,\the remaining events will all just be tag-team battles, right?\No. I'm sure that between tomorrow's break and the final day,\there will be a battle involving all five members. response:	So you should choose carefully.
context: How cruel!\But if that's the administration's decision, there's nothing we can do about it.\Well, looking at the bright side, we'll be able to put together an even stronger team.\But even if we decide on five people here,\the remaining events will all just be tag-team battles, right?\No. I'm sure that between tomorrow's break and the final day,\there will be a battle involving all five members.\So you should choose carefully. response:	I'm definitely gonna get revenge for Lucy!
context: But if that's the administration's decision, there's nothing we can do about it.\Well, looking at the bright side, we'll be able to put together an even stronger team.\But even if we decide on five people here,\the remaining events will all just be tag-team battles, right?\No. I'm sure that between tomorrow's break and the final day,\there will be a battle involving all five members.\So you should choose carefully.\I'm definitely gonna get revenge for Lucy! response:	I ain't gonna let'em get away with laughin' at one of our own!
context: Well, looking at the bright side, we'll be able to put together an even stronger team.\But even if we decide on five people here,\the remaining events will all just be tag-team battles, right?\No. I'm sure that between tomorrow's break and the final day,\there will be a battle involving all five members.\So you should choose carefully.\I'm definitely gonna get revenge for Lucy!\I ain't gonna let'em get away with laughin' at one of our own! response:	The Fairy Tail team has finished its reorganization,
context: But even if we decide on five people here,\the remaining events will all just be tag-team battles, right?\No. I'm sure that between tomorrow's break and the final day,\there will be a battle involving all five members.\So you should choose carefully.\I'm definitely gonna get revenge for Lucy!\I ain't gonna let'em get away with laughin' at one of our own!\The Fairy Tail team has finished its reorganization, response:	and we're about to begin the battle part of day four!
context: the remaining events will all just be tag-team battles, right?\No. I'm sure that between tomorrow's break and the final day,\there will be a battle involving all five members.\So you should choose carefully.\I'm definitely gonna get revenge for Lucy!\I ain't gonna let'em get away with laughin' at one of our own!\The Fairy Tail team has finished its reorganization,\and we're about to begin the battle part of day four! response:	Continuing with commentary, we have with us former Council member Yajima-san.
context: No. I'm sure that between tomorrow's break and the final day,\there will be a battle involving all five members.\So you should choose carefully.\I'm definitely gonna get revenge for Lucy!\I ain't gonna let'em get away with laughin' at one of our own!\The Fairy Tail team has finished its reorganization,\and we're about to begin the battle part of day four!\Continuing with commentary, we have with us former Council member Yajima-san. response:	Thank you.
context: there will be a battle involving all five members.\So you should choose carefully.\I'm definitely gonna get revenge for Lucy!\I ain't gonna let'em get away with laughin' at one of our own!\The Fairy Tail team has finished its reorganization,\and we're about to begin the battle part of day four!\Continuing with commentary, we have with us former Council member Yajima-san.\Thank you. response:	And our special guest today is Rabian-san, leader of the Scheherazade Theatrical Troupe.
context: So you should choose carefully.\I'm definitely gonna get revenge for Lucy!\I ain't gonna let'em get away with laughin' at one of our own!\The Fairy Tail team has finished its reorganization,\and we're about to begin the battle part of day four!\Continuing with commentary, we have with us former Council member Yajima-san.\Thank you.\And our special guest today is Rabian-san, leader of the Scheherazade Theatrical Troupe. response:	The Grand Magic Games X791
context: I'm definitely gonna get revenge for Lucy!\I ain't gonna let'em get away with laughin' at one of our own!\The Fairy Tail team has finished its reorganization,\and we're about to begin the battle part of day four!\Continuing with commentary, we have with us former Council member Yajima-san.\Thank you.\And our special guest today is Rabian-san, leader of the Scheherazade Theatrical Troupe.\The Grand Magic Games X791 response:	It's an honor. Thank you very much.
context: I ain't gonna let'em get away with laughin' at one of our own!\The Fairy Tail team has finished its reorganization,\and we're about to begin the battle part of day four!\Continuing with commentary, we have with us former Council member Yajima-san.\Thank you.\And our special guest today is Rabian-san, leader of the Scheherazade Theatrical Troupe.\The Grand Magic Games X791\It's an honor. Thank you very much. response:	The battle part for the fourth day are tag-team matches, right?
context: The Fairy Tail team has finished its reorganization,\and we're about to begin the battle part of day four!\Continuing with commentary, we have with us former Council member Yajima-san.\Thank you.\And our special guest today is Rabian-san, leader of the Scheherazade Theatrical Troupe.\The Grand Magic Games X791\It's an honor. Thank you very much.\The battle part for the fourth day are tag-team matches, right? response:	Two against two? I can't wait!
context: and we're about to begin the battle part of day four!\Continuing with commentary, we have with us former Council member Yajima-san.\Thank you.\And our special guest today is Rabian-san, leader of the Scheherazade Theatrical Troupe.\The Grand Magic Games X791\It's an honor. Thank you very much.\The battle part for the fourth day are tag-team matches, right?\Two against two? I can't wait! response:	Thank you very much!
context: Continuing with commentary, we have with us former Council member Yajima-san.\Thank you.\And our special guest today is Rabian-san, leader of the Scheherazade Theatrical Troupe.\The Grand Magic Games X791\It's an honor. Thank you very much.\The battle part for the fourth day are tag-team matches, right?\Two against two? I can't wait!\Thank you very much! response:	Alright, I will now announce the match-ups for the battles!
context: Thank you.\And our special guest today is Rabian-san, leader of the Scheherazade Theatrical Troupe.\The Grand Magic Games X791\It's an honor. Thank you very much.\The battle part for the fourth day are tag-team matches, right?\Two against two? I can't wait!\Thank you very much!\Alright, I will now announce the match-ups for the battles! response:	Everyone, please direct your eyes to Lacrima-Vision!
context: And our special guest today is Rabian-san, leader of the Scheherazade Theatrical Troupe.\The Grand Magic Games X791\It's an honor. Thank you very much.\The battle part for the fourth day are tag-team matches, right?\Two against two? I can't wait!\Thank you very much!\Alright, I will now announce the match-ups for the battles!\Everyone, please direct your eyes to Lacrima-Vision! response:	The first match is Blue Pegasus versus Quatro Puppy!
context: The Grand Magic Games X791\It's an honor. Thank you very much.\The battle part for the fourth day are tag-team matches, right?\Two against two? I can't wait!\Thank you very much!\Alright, I will now announce the match-ups for the battles!\Everyone, please direct your eyes to Lacrima-Vision!\The first match is Blue Pegasus versus Quatro Puppy! response:	The second match is Mermaid Heel versus Lamia Scale!
context: It's an honor. Thank you very much.\The battle part for the fourth day are tag-team matches, right?\Two against two? I can't wait!\Thank you very much!\Alright, I will now announce the match-ups for the battles!\Everyone, please direct your eyes to Lacrima-Vision!\The first match is Blue Pegasus versus Quatro Puppy!\The second match is Mermaid Heel versus Lamia Scale! response:	The third match is Sabertooth versus Fairy Tail!
