context: No, that's not true. response:	Yeah, I know it's not.
context: Die, die, die, die!\Don't leave any of your recessive genes behind.\You damned sex addict.\Huh?\Is that Building Builder?\No way.\Women are so brainless.\Really? But he looks so much like him. response:	Look at his lips; see how they're so puffy?
context: Don't leave any of your recessive genes behind.\You damned sex addict.\Huh?\Is that Building Builder?\No way.\Women are so brainless.\Really? But he looks so much like him.\Look at his lips; see how they're so puffy? response:	If that's the only criteria, then even the old guy from Abacus Tutor looks like Building Builder.
context: You damned sex addict.\Huh?\Is that Building Builder?\No way.\Women are so brainless.\Really? But he looks so much like him.\Look at his lips; see how they're so puffy?\If that's the only criteria, then even the old guy from Abacus Tutor looks like Building Builder. response:	Yeah, but Jintan...
context: Huh?\Is that Building Builder?\No way.\Women are so brainless.\Really? But he looks so much like him.\Look at his lips; see how they're so puffy?\If that's the only criteria, then even the old guy from Abacus Tutor looks like Building Builder.\Yeah, but Jintan... response:	Huh? Jintan?
context: Is that Building Builder?\No way.\Women are so brainless.\Really? But he looks so much like him.\Look at his lips; see how they're so puffy?\If that's the only criteria, then even the old guy from Abacus Tutor looks like Building Builder.\Yeah, but Jintan...\Huh? Jintan? response:	Jintan?
context: No way.\Women are so brainless.\Really? But he looks so much like him.\Look at his lips; see how they're so puffy?\If that's the only criteria, then even the old guy from Abacus Tutor looks like Building Builder.\Yeah, but Jintan...\Huh? Jintan?\Jintan? response:	Summer's beast is fierce indeed.
context: Women are so brainless.\Really? But he looks so much like him.\Look at his lips; see how they're so puffy?\If that's the only criteria, then even the old guy from Abacus Tutor looks like Building Builder.\Yeah, but Jintan...\Huh? Jintan?\Jintan?\Summer's beast is fierce indeed. response:	Hey, no fair! I want salty ramen, too!
context: Really? But he looks so much like him.\Look at his lips; see how they're so puffy?\If that's the only criteria, then even the old guy from Abacus Tutor looks like Building Builder.\Yeah, but Jintan...\Huh? Jintan?\Jintan?\Summer's beast is fierce indeed.\Hey, no fair! I want salty ramen, too! response:	Ooh, an egg!
context: Look at his lips; see how they're so puffy?\If that's the only criteria, then even the old guy from Abacus Tutor looks like Building Builder.\Yeah, but Jintan...\Huh? Jintan?\Jintan?\Summer's beast is fierce indeed.\Hey, no fair! I want salty ramen, too!\Ooh, an egg! response:	I want egg soup, egg soup!
context: If that's the only criteria, then even the old guy from Abacus Tutor looks like Building Builder.\Yeah, but Jintan...\Huh? Jintan?\Jintan?\Summer's beast is fierce indeed.\Hey, no fair! I want salty ramen, too!\Ooh, an egg!\I want egg soup, egg soup! response:	Hey.
context: Yeah, but Jintan...\Huh? Jintan?\Jintan?\Summer's beast is fierce indeed.\Hey, no fair! I want salty ramen, too!\Ooh, an egg!\I want egg soup, egg soup!\Hey. response:	The egg.
context: Huh? Jintan?\Jintan?\Summer's beast is fierce indeed.\Hey, no fair! I want salty ramen, too!\Ooh, an egg!\I want egg soup, egg soup!\Hey.\The egg. response:	It's gonna be lumpy.
context: Jintan?\Summer's beast is fierce indeed.\Hey, no fair! I want salty ramen, too!\Ooh, an egg!\I want egg soup, egg soup!\Hey.\The egg.\It's gonna be lumpy. response:	Stir the egg, stir it, stir it!
context: Summer's beast is fierce indeed.\Hey, no fair! I want salty ramen, too!\Ooh, an egg!\I want egg soup, egg soup!\Hey.\The egg.\It's gonna be lumpy.\Stir the egg, stir it, stir it! response:	What's that? Ramen?
context: Hey, no fair! I want salty ramen, too!\Ooh, an egg!\I want egg soup, egg soup!\Hey.\The egg.\It's gonna be lumpy.\Stir the egg, stir it, stir it!\What's that? Ramen? response:	That looks good. Make some for me, too.
context: Ooh, an egg!\I want egg soup, egg soup!\Hey.\The egg.\It's gonna be lumpy.\Stir the egg, stir it, stir it!\What's that? Ramen?\That looks good. Make some for me, too. response:	Oh, it's your dad.
context: I want egg soup, egg soup!\Hey.\The egg.\It's gonna be lumpy.\Stir the egg, stir it, stir it!\What's that? Ramen?\That looks good. Make some for me, too.\Oh, it's your dad. response:	Thanks for having me over.
context: Hey.\The egg.\It's gonna be lumpy.\Stir the egg, stir it, stir it!\What's that? Ramen?\That looks good. Make some for me, too.\Oh, it's your dad.\Thanks for having me over. response:	Jinta?
context: The egg.\It's gonna be lumpy.\Stir the egg, stir it, stir it!\What's that? Ramen?\That looks good. Make some for me, too.\Oh, it's your dad.\Thanks for having me over.\Jinta? response:	Yeah, fine.
context: It's gonna be lumpy.\Stir the egg, stir it, stir it!\What's that? Ramen?\That looks good. Make some for me, too.\Oh, it's your dad.\Thanks for having me over.\Jinta?\Yeah, fine. response:	Awesome! How cute.
context: Stir the egg, stir it, stir it!\What's that? Ramen?\That looks good. Make some for me, too.\Oh, it's your dad.\Thanks for having me over.\Jinta?\Yeah, fine.\Awesome! How cute. response:	Why are you making it for your dad but not for me?
context: What's that? Ramen?\That looks good. Make some for me, too.\Oh, it's your dad.\Thanks for having me over.\Jinta?\Yeah, fine.\Awesome! How cute.\Why are you making it for your dad but not for me? response:	How about you quit that habit of calling everything cute?
context: That looks good. Make some for me, too.\Oh, it's your dad.\Thanks for having me over.\Jinta?\Yeah, fine.\Awesome! How cute.\Why are you making it for your dad but not for me?\How about you quit that habit of calling everything cute? response:	Wow, your dad just said the way I talk is cute! What part is cute, exactly?
context: Oh, it's your dad.\Thanks for having me over.\Jinta?\Yeah, fine.\Awesome! How cute.\Why are you making it for your dad but not for me?\How about you quit that habit of calling everything cute?\Wow, your dad just said the way I talk is cute! What part is cute, exactly? response:	What? But it's such a great word. You can use it in any situation.
context: Thanks for having me over.\Jinta?\Yeah, fine.\Awesome! How cute.\Why are you making it for your dad but not for me?\How about you quit that habit of calling everything cute?\Wow, your dad just said the way I talk is cute! What part is cute, exactly?\What? But it's such a great word. You can use it in any situation. response:	Except normally you wouldn't.
context: Jinta?\Yeah, fine.\Awesome! How cute.\Why are you making it for your dad but not for me?\How about you quit that habit of calling everything cute?\Wow, your dad just said the way I talk is cute! What part is cute, exactly?\What? But it's such a great word. You can use it in any situation.\Except normally you wouldn't. response:	Do you want an egg in it?
context: Yeah, fine.\Awesome! How cute.\Why are you making it for your dad but not for me?\How about you quit that habit of calling everything cute?\Wow, your dad just said the way I talk is cute! What part is cute, exactly?\What? But it's such a great word. You can use it in any situation.\Except normally you wouldn't.\Do you want an egg in it? response:	Throw one in,
context: Awesome! How cute.\Why are you making it for your dad but not for me?\How about you quit that habit of calling everything cute?\Wow, your dad just said the way I talk is cute! What part is cute, exactly?\What? But it's such a great word. You can use it in any situation.\Except normally you wouldn't.\Do you want an egg in it?\Throw one in, response:	but don't break it apart.
context: Why are you making it for your dad but not for me?\How about you quit that habit of calling everything cute?\Wow, your dad just said the way I talk is cute! What part is cute, exactly?\What? But it's such a great word. You can use it in any situation.\Except normally you wouldn't.\Do you want an egg in it?\Throw one in,\but don't break it apart. response:	OK.
context: How about you quit that habit of calling everything cute?\Wow, your dad just said the way I talk is cute! What part is cute, exactly?\What? But it's such a great word. You can use it in any situation.\Except normally you wouldn't.\Do you want an egg in it?\Throw one in,\but don't break it apart.\OK. response:	Ah! Even your dad likes it that way!
context: Wow, your dad just said the way I talk is cute! What part is cute, exactly?\What? But it's such a great word. You can use it in any situation.\Except normally you wouldn't.\Do you want an egg in it?\Throw one in,\but don't break it apart.\OK.\Ah! Even your dad likes it that way! response:	Favorites, favorites, old people's flavors!
context: What? But it's such a great word. You can use it in any situation.\Except normally you wouldn't.\Do you want an egg in it?\Throw one in,\but don't break it apart.\OK.\Ah! Even your dad likes it that way!\Favorites, favorites, old people's flavors! response:	So that's how it is.
context: Except normally you wouldn't.\Do you want an egg in it?\Throw one in,\but don't break it apart.\OK.\Ah! Even your dad likes it that way!\Favorites, favorites, old people's flavors!\So that's how it is. response:	Time for some TV.
context: Do you want an egg in it?\Throw one in,\but don't break it apart.\OK.\Ah! Even your dad likes it that way!\Favorites, favorites, old people's flavors!\So that's how it is.\Time for some TV. response:	Hey everyone, today...
context: Throw one in,\but don't break it apart.\OK.\Ah! Even your dad likes it that way!\Favorites, favorites, old people's flavors!\So that's how it is.\Time for some TV.\Hey everyone, today... response:	Oh, a cat. How cute.
context: but don't break it apart.\OK.\Ah! Even your dad likes it that way!\Favorites, favorites, old people's flavors!\So that's how it is.\Time for some TV.\Hey everyone, today...\Oh, a cat. How cute. response:	My dad's acting completely normal.
context: OK.\Ah! Even your dad likes it that way!\Favorites, favorites, old people's flavors!\So that's how it is.\Time for some TV.\Hey everyone, today...\Oh, a cat. How cute.\My dad's acting completely normal. response:	So that must mean...
context: Ah! Even your dad likes it that way!\Favorites, favorites, old people's flavors!\So that's how it is.\Time for some TV.\Hey everyone, today...\Oh, a cat. How cute.\My dad's acting completely normal.\So that must mean... response:	Hey, Jintan!
context: Favorites, favorites, old people's flavors!\So that's how it is.\Time for some TV.\Hey everyone, today...\Oh, a cat. How cute.\My dad's acting completely normal.\So that must mean...\Hey, Jintan! response:	Here you go.
context: So that's how it is.\Time for some TV.\Hey everyone, today...\Oh, a cat. How cute.\My dad's acting completely normal.\So that must mean...\Hey, Jintan!\Here you go. response:	Yay!
context: Time for some TV.\Hey everyone, today...\Oh, a cat. How cute.\My dad's acting completely normal.\So that must mean...\Hey, Jintan!\Here you go.\Yay! response:	Let's dig in.
context: Hey everyone, today...\Oh, a cat. How cute.\My dad's acting completely normal.\So that must mean...\Hey, Jintan!\Here you go.\Yay!\Let's dig in. response:	Pepper, pepper, and more pepper.
context: Oh, a cat. How cute.\My dad's acting completely normal.\So that must mean...\Hey, Jintan!\Here you go.\Yay!\Let's dig in.\Pepper, pepper, and more pepper. response:	More pepper... there!
context: My dad's acting completely normal.\So that must mean...\Hey, Jintan!\Here you go.\Yay!\Let's dig in.\Pepper, pepper, and more pepper.\More pepper... there! response:	I'm going to eat too.
context: So that must mean...\Hey, Jintan!\Here you go.\Yay!\Let's dig in.\Pepper, pepper, and more pepper.\More pepper... there!\I'm going to eat too. response:	Jinta?
context: Hey, Jintan!\Here you go.\Yay!\Let's dig in.\Pepper, pepper, and more pepper.\More pepper... there!\I'm going to eat too.\Jinta? response:	Uh, oh, it's no-
context: Here you go.\Yay!\Let's dig in.\Pepper, pepper, and more pepper.\More pepper... there!\I'm going to eat too.\Jinta?\Uh, oh, it's no- response:	Chopsticks. Where are the chopsticks?
context: Yay!\Let's dig in.\Pepper, pepper, and more pepper.\More pepper... there!\I'm going to eat too.\Jinta?\Uh, oh, it's no-\Chopsticks. Where are the chopsticks? response:	The chopsticks!
context: Let's dig in.\Pepper, pepper, and more pepper.\More pepper... there!\I'm going to eat too.\Jinta?\Uh, oh, it's no-\Chopsticks. Where are the chopsticks?\The chopsticks! response:	Uh-oh.
context: Pepper, pepper, and more pepper.\More pepper... there!\I'm going to eat too.\Jinta?\Uh, oh, it's no-\Chopsticks. Where are the chopsticks?\The chopsticks!\Uh-oh. response:	What? What's wrong with you? Did you get a heatstroke from sitting in the house?
context: More pepper... there!\I'm going to eat too.\Jinta?\Uh, oh, it's no-\Chopsticks. Where are the chopsticks?\The chopsticks!\Uh-oh.\What? What's wrong with you? Did you get a heatstroke from sitting in the house? response:	That's cute, but that's also serious!
context: I'm going to eat too.\Jinta?\Uh, oh, it's no-\Chopsticks. Where are the chopsticks?\The chopsticks!\Uh-oh.\What? What's wrong with you? Did you get a heatstroke from sitting in the house?\That's cute, but that's also serious! response:	Jintan?
context: Jinta?\Uh, oh, it's no-\Chopsticks. Where are the chopsticks?\The chopsticks!\Uh-oh.\What? What's wrong with you? Did you get a heatstroke from sitting in the house?\That's cute, but that's also serious!\Jintan? response:	That summer back then...
context: Uh, oh, it's no-\Chopsticks. Where are the chopsticks?\The chopsticks!\Uh-oh.\What? What's wrong with you? Did you get a heatstroke from sitting in the house?\That's cute, but that's also serious!\Jintan?\That summer back then... response:	Be careful, Jintan.
context: Chopsticks. Where are the chopsticks?\The chopsticks!\Uh-oh.\What? What's wrong with you? Did you get a heatstroke from sitting in the house?\That's cute, but that's also serious!\Jintan?\That summer back then...\Be careful, Jintan. response:	I'm fine.
context: The chopsticks!\Uh-oh.\What? What's wrong with you? Did you get a heatstroke from sitting in the house?\That's cute, but that's also serious!\Jintan?\That summer back then...\Be careful, Jintan.\I'm fine. response:	Wow! Jintan's is the biggest one for sure.
context: Uh-oh.\What? What's wrong with you? Did you get a heatstroke from sitting in the house?\That's cute, but that's also serious!\Jintan?\That summer back then...\Be careful, Jintan.\I'm fine.\Wow! Jintan's is the biggest one for sure. response:	That's right.
context: What? What's wrong with you? Did you get a heatstroke from sitting in the house?\That's cute, but that's also serious!\Jintan?\That summer back then...\Be careful, Jintan.\I'm fine.\Wow! Jintan's is the biggest one for sure.\That's right. response:	Yeah, it's really huge.
context: That's cute, but that's also serious!\Jintan?\That summer back then...\Be careful, Jintan.\I'm fine.\Wow! Jintan's is the biggest one for sure.\That's right.\Yeah, it's really huge. response:	Jintan's so cool.
context: Jintan?\That summer back then...\Be careful, Jintan.\I'm fine.\Wow! Jintan's is the biggest one for sure.\That's right.\Yeah, it's really huge.\Jintan's so cool. response:	Who I was back then...
context: That summer back then...\Be careful, Jintan.\I'm fine.\Wow! Jintan's is the biggest one for sure.\That's right.\Yeah, it's really huge.\Jintan's so cool.\Who I was back then... response:	Jintan.
context: Be careful, Jintan.\I'm fine.\Wow! Jintan's is the biggest one for sure.\That's right.\Yeah, it's really huge.\Jintan's so cool.\Who I was back then...\Jintan. response:	Huh?
context: I'm fine.\Wow! Jintan's is the biggest one for sure.\That's right.\Yeah, it's really huge.\Jintan's so cool.\Who I was back then...\Jintan.\Huh? response:	What's up, Menma?
context: Wow! Jintan's is the biggest one for sure.\That's right.\Yeah, it's really huge.\Jintan's so cool.\Who I was back then...\Jintan.\Huh?\What's up, Menma? response:	Actually...
context: That's right.\Yeah, it's really huge.\Jintan's so cool.\Who I was back then...\Jintan.\Huh?\What's up, Menma?\Actually... response:	I have a wish.
context: Yeah, it's really huge.\Jintan's so cool.\Who I was back then...\Jintan.\Huh?\What's up, Menma?\Actually...\I have a wish. response:	-OP-
context: Jintan's so cool.\Who I was back then...\Jintan.\Huh?\What's up, Menma?\Actually...\I have a wish.\-OP- response:	What happened?
context: Who I was back then...\Jintan.\Huh?\What's up, Menma?\Actually...\I have a wish.\-OP-\What happened? response:	I'm sick. Without a doubt.
context: Jintan.\Huh?\What's up, Menma?\Actually...\I have a wish.\-OP-\What happened?\I'm sick. Without a doubt. response:	All of the stress and trauma I've accumulated until now have become corporeal due to the summer heat...
context: Huh?\What's up, Menma?\Actually...\I have a wish.\-OP-\What happened?\I'm sick. Without a doubt.\All of the stress and trauma I've accumulated until now have become corporeal due to the summer heat... response:	Even my pubescent sexual urges have been thrown into the mix.
context: What's up, Menma?\Actually...\I have a wish.\-OP-\What happened?\I'm sick. Without a doubt.\All of the stress and trauma I've accumulated until now have become corporeal due to the summer heat...\Even my pubescent sexual urges have been thrown into the mix. response:	Good morning.
context: Actually...\I have a wish.\-OP-\What happened?\I'm sick. Without a doubt.\All of the stress and trauma I've accumulated until now have become corporeal due to the summer heat...\Even my pubescent sexual urges have been thrown into the mix.\Good morning. response:	Jintan.
context: I have a wish.\-OP-\What happened?\I'm sick. Without a doubt.\All of the stress and trauma I've accumulated until now have become corporeal due to the summer heat...\Even my pubescent sexual urges have been thrown into the mix.\Good morning.\Jintan. response:	For now...
context: -OP-\What happened?\I'm sick. Without a doubt.\All of the stress and trauma I've accumulated until now have become corporeal due to the summer heat...\Even my pubescent sexual urges have been thrown into the mix.\Good morning.\Jintan.\For now... response:	Let's say that you're here as the embodiment of my stress.
context: What happened?\I'm sick. Without a doubt.\All of the stress and trauma I've accumulated until now have become corporeal due to the summer heat...\Even my pubescent sexual urges have been thrown into the mix.\Good morning.\Jintan.\For now...\Let's say that you're here as the embodiment of my stress. response:	But...
context: I'm sick. Without a doubt.\All of the stress and trauma I've accumulated until now have become corporeal due to the summer heat...\Even my pubescent sexual urges have been thrown into the mix.\Good morning.\Jintan.\For now...\Let's say that you're here as the embodiment of my stress.\But... response:	Why did you appear now?
context: All of the stress and trauma I've accumulated until now have become corporeal due to the summer heat...\Even my pubescent sexual urges have been thrown into the mix.\Good morning.\Jintan.\For now...\Let's say that you're here as the embodiment of my stress.\But...\Why did you appear now? response:	And on top of that,
context: Even my pubescent sexual urges have been thrown into the mix.\Good morning.\Jintan.\For now...\Let's say that you're here as the embodiment of my stress.\But...\Why did you appear now?\And on top of that, response:	why did you appear as a mature version of yourself?
context: Good morning.\Jintan.\For now...\Let's say that you're here as the embodiment of my stress.\But...\Why did you appear now?\And on top of that,\why did you appear as a mature version of yourself? response:	Ummm... let me think...
context: Jintan.\For now...\Let's say that you're here as the embodiment of my stress.\But...\Why did you appear now?\And on top of that,\why did you appear as a mature version of yourself?\Ummm... let me think... response:	I have no idea!
context: For now...\Let's say that you're here as the embodiment of my stress.\But...\Why did you appear now?\And on top of that,\why did you appear as a mature version of yourself?\Ummm... let me think...\I have no idea! response:	I can't believe you...
context: Let's say that you're here as the embodiment of my stress.\But...\Why did you appear now?\And on top of that,\why did you appear as a mature version of yourself?\Ummm... let me think...\I have no idea!\I can't believe you... response:	But.
context: But...\Why did you appear now?\And on top of that,\why did you appear as a mature version of yourself?\Ummm... let me think...\I have no idea!\I can't believe you...\But. response:	I think I want to have my wish come true. That's it!
context: Why did you appear now?\And on top of that,\why did you appear as a mature version of yourself?\Ummm... let me think...\I have no idea!\I can't believe you...\But.\I think I want to have my wish come true. That's it! response:	Your wish? What are you talking about?
context: And on top of that,\why did you appear as a mature version of yourself?\Ummm... let me think...\I have no idea!\I can't believe you...\But.\I think I want to have my wish come true. That's it!\Your wish? What are you talking about? response:	Actually...
context: why did you appear as a mature version of yourself?\Ummm... let me think...\I have no idea!\I can't believe you...\But.\I think I want to have my wish come true. That's it!\Your wish? What are you talking about?\Actually... response:	I have no idea!
context: Ummm... let me think...\I have no idea!\I can't believe you...\But.\I think I want to have my wish come true. That's it!\Your wish? What are you talking about?\Actually...\I have no idea! response:	How can you get a wish fulfilled when you don't even know what it is?!
context: I have no idea!\I can't believe you...\But.\I think I want to have my wish come true. That's it!\Your wish? What are you talking about?\Actually...\I have no idea!\How can you get a wish fulfilled when you don't even know what it is?! response:	But I really do get that feeling that's the reason.
context: I can't believe you...\But.\I think I want to have my wish come true. That's it!\Your wish? What are you talking about?\Actually...\I have no idea!\How can you get a wish fulfilled when you don't even know what it is?!\But I really do get that feeling that's the reason. response:	What could it be?
context: But.\I think I want to have my wish come true. That's it!\Your wish? What are you talking about?\Actually...\I have no idea!\How can you get a wish fulfilled when you don't even know what it is?!\But I really do get that feeling that's the reason.\What could it be? response:	How would I know?
context: I think I want to have my wish come true. That's it!\Your wish? What are you talking about?\Actually...\I have no idea!\How can you get a wish fulfilled when you don't even know what it is?!\But I really do get that feeling that's the reason.\What could it be?\How would I know? response:	Eewww, you spat on me!
context: Your wish? What are you talking about?\Actually...\I have no idea!\How can you get a wish fulfilled when you don't even know what it is?!\But I really do get that feeling that's the reason.\What could it be?\How would I know?\Eewww, you spat on me! response:	Barrier!
context: Actually...\I have no idea!\How can you get a wish fulfilled when you don't even know what it is?!\But I really do get that feeling that's the reason.\What could it be?\How would I know?\Eewww, you spat on me!\Barrier! response:	She is the summer beast.
context: I have no idea!\How can you get a wish fulfilled when you don't even know what it is?!\But I really do get that feeling that's the reason.\What could it be?\How would I know?\Eewww, you spat on me!\Barrier!\She is the summer beast. response:	She is my stress.
context: How can you get a wish fulfilled when you don't even know what it is?!\But I really do get that feeling that's the reason.\What could it be?\How would I know?\Eewww, you spat on me!\Barrier!\She is the summer beast.\She is my stress. response:	She is my trauma.
context: But I really do get that feeling that's the reason.\What could it be?\How would I know?\Eewww, you spat on me!\Barrier!\She is the summer beast.\She is my stress.\She is my trauma. response:	For now, just try to remember what your wish was.
context: What could it be?\How would I know?\Eewww, you spat on me!\Barrier!\She is the summer beast.\She is my stress.\She is my trauma.\For now, just try to remember what your wish was. response:	Oh yeah, about that! It was a wish that could only come true if everyone was together.
context: How would I know?\Eewww, you spat on me!\Barrier!\She is the summer beast.\She is my stress.\She is my trauma.\For now, just try to remember what your wish was.\Oh yeah, about that! It was a wish that could only come true if everyone was together. response:	Everyone? You mean...
context: Eewww, you spat on me!\Barrier!\She is the summer beast.\She is my stress.\She is my trauma.\For now, just try to remember what your wish was.\Oh yeah, about that! It was a wish that could only come true if everyone was together.\Everyone? You mean... response:	Coming!
context: Barrier!\She is the summer beast.\She is my stress.\She is my trauma.\For now, just try to remember what your wish was.\Oh yeah, about that! It was a wish that could only come true if everyone was together.\Everyone? You mean...\Coming! response:	Wait! I told you to wait.
context: She is the summer beast.\She is my stress.\She is my trauma.\For now, just try to remember what your wish was.\Oh yeah, about that! It was a wish that could only come true if everyone was together.\Everyone? You mean...\Coming!\Wait! I told you to wait. response:	But someone's at the door.
context: She is my stress.\She is my trauma.\For now, just try to remember what your wish was.\Oh yeah, about that! It was a wish that could only come true if everyone was together.\Everyone? You mean...\Coming!\Wait! I told you to wait.\But someone's at the door. response:	What would happen if you opened the door?
context: She is my trauma.\For now, just try to remember what your wish was.\Oh yeah, about that! It was a wish that could only come true if everyone was together.\Everyone? You mean...\Coming!\Wait! I told you to wait.\But someone's at the door.\What would happen if you opened the door? response:	Just be quiet and wait...
context: For now, just try to remember what your wish was.\Oh yeah, about that! It was a wish that could only come true if everyone was together.\Everyone? You mean...\Coming!\Wait! I told you to wait.\But someone's at the door.\What would happen if you opened the door?\Just be quiet and wait... response:	What are you doing?
context: Oh yeah, about that! It was a wish that could only come true if everyone was together.\Everyone? You mean...\Coming!\Wait! I told you to wait.\But someone's at the door.\What would happen if you opened the door?\Just be quiet and wait...\What are you doing? response:	Wow, it's Anaru!
context: Everyone? You mean...\Coming!\Wait! I told you to wait.\But someone's at the door.\What would happen if you opened the door?\Just be quiet and wait...\What are you doing?\Wow, it's Anaru! response:	Hey, calm down!
context: Coming!\Wait! I told you to wait.\But someone's at the door.\What would happen if you opened the door?\Just be quiet and wait...\What are you doing?\Wow, it's Anaru!\Hey, calm down! response:	Calm down? I'm not exactly worked up.
context: Wait! I told you to wait.\But someone's at the door.\What would happen if you opened the door?\Just be quiet and wait...\What are you doing?\Wow, it's Anaru!\Hey, calm down!\Calm down? I'm not exactly worked up. response:	Oh, yeah.
context: But someone's at the door.\What would happen if you opened the door?\Just be quiet and wait...\What are you doing?\Wow, it's Anaru!\Hey, calm down!\Calm down? I'm not exactly worked up.\Oh, yeah. response:	I feel like there's a weight on my neck.
context: What would happen if you opened the door?\Just be quiet and wait...\What are you doing?\Wow, it's Anaru!\Hey, calm down!\Calm down? I'm not exactly worked up.\Oh, yeah.\I feel like there's a weight on my neck. response:	Anaru, you can't see me?
context: Just be quiet and wait...\What are you doing?\Wow, it's Anaru!\Hey, calm down!\Calm down? I'm not exactly worked up.\Oh, yeah.\I feel like there's a weight on my neck.\Anaru, you can't see me? response:	So what's up?
context: What are you doing?\Wow, it's Anaru!\Hey, calm down!\Calm down? I'm not exactly worked up.\Oh, yeah.\I feel like there's a weight on my neck.\Anaru, you can't see me?\So what's up? response:	Here.
context: Wow, it's Anaru!\Hey, calm down!\Calm down? I'm not exactly worked up.\Oh, yeah.\I feel like there's a weight on my neck.\Anaru, you can't see me?\So what's up?\Here. response:	The teacher asked me to bring you your homework for summer break.
context: Hey, calm down!\Calm down? I'm not exactly worked up.\Oh, yeah.\I feel like there's a weight on my neck.\Anaru, you can't see me?\So what's up?\Here.\The teacher asked me to bring you your homework for summer break. response:	Now? There are only two days of summer break left you know.
context: Calm down? I'm not exactly worked up.\Oh, yeah.\I feel like there's a weight on my neck.\Anaru, you can't see me?\So what's up?\Here.\The teacher asked me to bring you your homework for summer break.\Now? There are only two days of summer break left you know. response:	Unlike you, I have a lot going on.
context: Oh, yeah.\I feel like there's a weight on my neck.\Anaru, you can't see me?\So what's up?\Here.\The teacher asked me to bring you your homework for summer break.\Now? There are only two days of summer break left you know.\Unlike you, I have a lot going on. response:	Then you should have tossed this away somewhere.
context: I feel like there's a weight on my neck.\Anaru, you can't see me?\So what's up?\Here.\The teacher asked me to bring you your homework for summer break.\Now? There are only two days of summer break left you know.\Unlike you, I have a lot going on.\Then you should have tossed this away somewhere. response:	Besides, I don't feel like going to that school for retards any more.
context: Anaru, you can't see me?\So what's up?\Here.\The teacher asked me to bring you your homework for summer break.\Now? There are only two days of summer break left you know.\Unlike you, I have a lot going on.\Then you should have tossed this away somewhere.\Besides, I don't feel like going to that school for retards any more. response:	I don't care whether you come to school or not.
context: So what's up?\Here.\The teacher asked me to bring you your homework for summer break.\Now? There are only two days of summer break left you know.\Unlike you, I have a lot going on.\Then you should have tossed this away somewhere.\Besides, I don't feel like going to that school for retards any more.\I don't care whether you come to school or not. response:	But you should be ashamed of yourself.
context: Here.\The teacher asked me to bring you your homework for summer break.\Now? There are only two days of summer break left you know.\Unlike you, I have a lot going on.\Then you should have tossed this away somewhere.\Besides, I don't feel like going to that school for retards any more.\I don't care whether you come to school or not.\But you should be ashamed of yourself. response:	Bye.
context: The teacher asked me to bring you your homework for summer break.\Now? There are only two days of summer break left you know.\Unlike you, I have a lot going on.\Then you should have tossed this away somewhere.\Besides, I don't feel like going to that school for retards any more.\I don't care whether you come to school or not.\But you should be ashamed of yourself.\Bye. response:	Ana...
context: Now? There are only two days of summer break left you know.\Unlike you, I have a lot going on.\Then you should have tossed this away somewhere.\Besides, I don't feel like going to that school for retards any more.\I don't care whether you come to school or not.\But you should be ashamed of yourself.\Bye.\Ana... response:	Jinta, you big dummy!
context: Unlike you, I have a lot going on.\Then you should have tossed this away somewhere.\Besides, I don't feel like going to that school for retards any more.\I don't care whether you come to school or not.\But you should be ashamed of yourself.\Bye.\Ana...\Jinta, you big dummy! response:	Why didn't you ask her?
