context: There she is now. response:	I wonder what's wrong. Hina? That's you, right?
context: It started a vicious circle.\The girl's name was Chiho.\She and Hina were classmates since elementary school\and always gotten along well.\Chiho was a really cute, kind, and quiet girl who always smiled.\The third year began, and entrance exams were looming.\When everyone was in the grip of a nameless anxiety,\they said she was flirting with boys, response:	or acting like a goody-goody in front of the teacher.
context: The girl's name was Chiho.\She and Hina were classmates since elementary school\and always gotten along well.\Chiho was a really cute, kind, and quiet girl who always smiled.\The third year began, and entrance exams were looming.\When everyone was in the grip of a nameless anxiety,\they said she was flirting with boys,\or acting like a goody-goody in front of the teacher. response:	For vague reasons like these,
context: She and Hina were classmates since elementary school\and always gotten along well.\Chiho was a really cute, kind, and quiet girl who always smiled.\The third year began, and entrance exams were looming.\When everyone was in the grip of a nameless anxiety,\they said she was flirting with boys,\or acting like a goody-goody in front of the teacher.\For vague reasons like these, response:	they began to ostracize her from their group.
context: and always gotten along well.\Chiho was a really cute, kind, and quiet girl who always smiled.\The third year began, and entrance exams were looming.\When everyone was in the grip of a nameless anxiety,\they said she was flirting with boys,\or acting like a goody-goody in front of the teacher.\For vague reasons like these,\they began to ostracize her from their group. response:	Chiho recoiled and in response, the girls in the group shunned her even more.
context: Chiho was a really cute, kind, and quiet girl who always smiled.\The third year began, and entrance exams were looming.\When everyone was in the grip of a nameless anxiety,\they said she was flirting with boys,\or acting like a goody-goody in front of the teacher.\For vague reasons like these,\they began to ostracize her from their group.\Chiho recoiled and in response, the girls in the group shunned her even more. response:	Everyone else was afraid of that group and just looked on from a distance,
context: The third year began, and entrance exams were looming.\When everyone was in the grip of a nameless anxiety,\they said she was flirting with boys,\or acting like a goody-goody in front of the teacher.\For vague reasons like these,\they began to ostracize her from their group.\Chiho recoiled and in response, the girls in the group shunned her even more.\Everyone else was afraid of that group and just looked on from a distance, response:	but of course, Hina couldn't do something like that.
context: When everyone was in the grip of a nameless anxiety,\they said she was flirting with boys,\or acting like a goody-goody in front of the teacher.\For vague reasons like these,\they began to ostracize her from their group.\Chiho recoiled and in response, the girls in the group shunned her even more.\Everyone else was afraid of that group and just looked on from a distance,\but of course, Hina couldn't do something like that. response:	She was too fond of this girl who she was friends with since elementary school.
context: they said she was flirting with boys,\or acting like a goody-goody in front of the teacher.\For vague reasons like these,\they began to ostracize her from their group.\Chiho recoiled and in response, the girls in the group shunned her even more.\Everyone else was afraid of that group and just looked on from a distance,\but of course, Hina couldn't do something like that.\She was too fond of this girl who she was friends with since elementary school. response:	Why are you cleaning all by yourself?
context: or acting like a goody-goody in front of the teacher.\For vague reasons like these,\they began to ostracize her from their group.\Chiho recoiled and in response, the girls in the group shunned her even more.\Everyone else was afraid of that group and just looked on from a distance,\but of course, Hina couldn't do something like that.\She was too fond of this girl who she was friends with since elementary school.\Why are you cleaning all by yourself? response:	Where are the others?
context: For vague reasons like these,\they began to ostracize her from their group.\Chiho recoiled and in response, the girls in the group shunned her even more.\Everyone else was afraid of that group and just looked on from a distance,\but of course, Hina couldn't do something like that.\She was too fond of this girl who she was friends with since elementary school.\Why are you cleaning all by yourself?\Where are the others? response:	Um, they said they had things to do...
context: they began to ostracize her from their group.\Chiho recoiled and in response, the girls in the group shunned her even more.\Everyone else was afraid of that group and just looked on from a distance,\but of course, Hina couldn't do something like that.\She was too fond of this girl who she was friends with since elementary school.\Why are you cleaning all by yourself?\Where are the others?\Um, they said they had things to do... response:	These are the pajamas we have to do for home economics.
context: Chiho recoiled and in response, the girls in the group shunned her even more.\Everyone else was afraid of that group and just looked on from a distance,\but of course, Hina couldn't do something like that.\She was too fond of this girl who she was friends with since elementary school.\Why are you cleaning all by yourself?\Where are the others?\Um, they said they had things to do...\These are the pajamas we have to do for home economics. response:	Why are you bringing home everyone else's, Chiho?
context: Everyone else was afraid of that group and just looked on from a distance,\but of course, Hina couldn't do something like that.\She was too fond of this girl who she was friends with since elementary school.\Why are you cleaning all by yourself?\Where are the others?\Um, they said they had things to do...\These are the pajamas we have to do for home economics.\Why are you bringing home everyone else's, Chiho? response:	For six people?
context: but of course, Hina couldn't do something like that.\She was too fond of this girl who she was friends with since elementary school.\Why are you cleaning all by yourself?\Where are the others?\Um, they said they had things to do...\These are the pajamas we have to do for home economics.\Why are you bringing home everyone else's, Chiho?\For six people? response:	I-It's not what you think. I volunteered to do it.
context: She was too fond of this girl who she was friends with since elementary school.\Why are you cleaning all by yourself?\Where are the others?\Um, they said they had things to do...\These are the pajamas we have to do for home economics.\Why are you bringing home everyone else's, Chiho?\For six people?\I-It's not what you think. I volunteered to do it. response:	Let's talk to the teacher about this.
context: Why are you cleaning all by yourself?\Where are the others?\Um, they said they had things to do...\These are the pajamas we have to do for home economics.\Why are you bringing home everyone else's, Chiho?\For six people?\I-It's not what you think. I volunteered to do it.\Let's talk to the teacher about this. response:	It can't go on like this.
context: Where are the others?\Um, they said they had things to do...\These are the pajamas we have to do for home economics.\Why are you bringing home everyone else's, Chiho?\For six people?\I-It's not what you think. I volunteered to do it.\Let's talk to the teacher about this.\It can't go on like this. response:	No, don't tell the teacher!
context: Um, they said they had things to do...\These are the pajamas we have to do for home economics.\Why are you bringing home everyone else's, Chiho?\For six people?\I-It's not what you think. I volunteered to do it.\Let's talk to the teacher about this.\It can't go on like this.\No, don't tell the teacher! response:	If everyone found out, they would bully me even more!
context: These are the pajamas we have to do for home economics.\Why are you bringing home everyone else's, Chiho?\For six people?\I-It's not what you think. I volunteered to do it.\Let's talk to the teacher about this.\It can't go on like this.\No, don't tell the teacher!\If everyone found out, they would bully me even more! response:	Hina, please! Don't tell anyone.
context: Why are you bringing home everyone else's, Chiho?\For six people?\I-It's not what you think. I volunteered to do it.\Let's talk to the teacher about this.\It can't go on like this.\No, don't tell the teacher!\If everyone found out, they would bully me even more!\Hina, please! Don't tell anyone. response:	But little by little, the situation escalated.
context: For six people?\I-It's not what you think. I volunteered to do it.\Let's talk to the teacher about this.\It can't go on like this.\No, don't tell the teacher!\If everyone found out, they would bully me even more!\Hina, please! Don't tell anyone.\But little by little, the situation escalated. response:	One shoe is missing...
context: I-It's not what you think. I volunteered to do it.\Let's talk to the teacher about this.\It can't go on like this.\No, don't tell the teacher!\If everyone found out, they would bully me even more!\Hina, please! Don't tell anyone.\But little by little, the situation escalated.\One shoe is missing... response:	My bag too...
context: Let's talk to the teacher about this.\It can't go on like this.\No, don't tell the teacher!\If everyone found out, they would bully me even more!\Hina, please! Don't tell anyone.\But little by little, the situation escalated.\One shoe is missing...\My bag too... response:	The other shoe was dropped in the toilet.
context: It can't go on like this.\No, don't tell the teacher!\If everyone found out, they would bully me even more!\Hina, please! Don't tell anyone.\But little by little, the situation escalated.\One shoe is missing...\My bag too...\The other shoe was dropped in the toilet. response:	Chiho had a lot of absences from school after that.
context: No, don't tell the teacher!\If everyone found out, they would bully me even more!\Hina, please! Don't tell anyone.\But little by little, the situation escalated.\One shoe is missing...\My bag too...\The other shoe was dropped in the toilet.\Chiho had a lot of absences from school after that. response:	I think you're misreading it, Ms. Kawamoto.
context: If everyone found out, they would bully me even more!\Hina, please! Don't tell anyone.\But little by little, the situation escalated.\One shoe is missing...\My bag too...\The other shoe was dropped in the toilet.\Chiho had a lot of absences from school after that.\I think you're misreading it, Ms. Kawamoto. response:	The girls in that group are just playing harmless pranks.
context: Hina, please! Don't tell anyone.\But little by little, the situation escalated.\One shoe is missing...\My bag too...\The other shoe was dropped in the toilet.\Chiho had a lot of absences from school after that.\I think you're misreading it, Ms. Kawamoto.\The girls in that group are just playing harmless pranks. response:	You shouldn't turn every situation into a bad one.
context: But little by little, the situation escalated.\One shoe is missing...\My bag too...\The other shoe was dropped in the toilet.\Chiho had a lot of absences from school after that.\I think you're misreading it, Ms. Kawamoto.\The girls in that group are just playing harmless pranks.\You shouldn't turn every situation into a bad one. response:	I thought you were a more positive girl, Ms. Kawamoto.
context: One shoe is missing...\My bag too...\The other shoe was dropped in the toilet.\Chiho had a lot of absences from school after that.\I think you're misreading it, Ms. Kawamoto.\The girls in that group are just playing harmless pranks.\You shouldn't turn every situation into a bad one.\I thought you were a more positive girl, Ms. Kawamoto. response:	Her teacher, too.
context: My bag too...\The other shoe was dropped in the toilet.\Chiho had a lot of absences from school after that.\I think you're misreading it, Ms. Kawamoto.\The girls in that group are just playing harmless pranks.\You shouldn't turn every situation into a bad one.\I thought you were a more positive girl, Ms. Kawamoto.\Her teacher, too. response:	Hina, you shouldn't get involved with Sakura.
context: The other shoe was dropped in the toilet.\Chiho had a lot of absences from school after that.\I think you're misreading it, Ms. Kawamoto.\The girls in that group are just playing harmless pranks.\You shouldn't turn every situation into a bad one.\I thought you were a more positive girl, Ms. Kawamoto.\Her teacher, too.\Hina, you shouldn't get involved with Sakura. response:	They might target you next.
context: Chiho had a lot of absences from school after that.\I think you're misreading it, Ms. Kawamoto.\The girls in that group are just playing harmless pranks.\You shouldn't turn every situation into a bad one.\I thought you were a more positive girl, Ms. Kawamoto.\Her teacher, too.\Hina, you shouldn't get involved with Sakura.\They might target you next. response:	And her classmates, too.
context: I think you're misreading it, Ms. Kawamoto.\The girls in that group are just playing harmless pranks.\You shouldn't turn every situation into a bad one.\I thought you were a more positive girl, Ms. Kawamoto.\Her teacher, too.\Hina, you shouldn't get involved with Sakura.\They might target you next.\And her classmates, too. response:	- Huh? - Us?
context: The girls in that group are just playing harmless pranks.\You shouldn't turn every situation into a bad one.\I thought you were a more positive girl, Ms. Kawamoto.\Her teacher, too.\Hina, you shouldn't get involved with Sakura.\They might target you next.\And her classmates, too.\- Huh? - Us? response:	Sorry.
context: You shouldn't turn every situation into a bad one.\I thought you were a more positive girl, Ms. Kawamoto.\Her teacher, too.\Hina, you shouldn't get involved with Sakura.\They might target you next.\And her classmates, too.\- Huh? - Us?\Sorry. response:	I've had my hands full preparing for entrance exams this year.
context: I thought you were a more positive girl, Ms. Kawamoto.\Her teacher, too.\Hina, you shouldn't get involved with Sakura.\They might target you next.\And her classmates, too.\- Huh? - Us?\Sorry.\I've had my hands full preparing for entrance exams this year. response:	They all pretended that they didn't see anything.
context: Her teacher, too.\Hina, you shouldn't get involved with Sakura.\They might target you next.\And her classmates, too.\- Huh? - Us?\Sorry.\I've had my hands full preparing for entrance exams this year.\They all pretended that they didn't see anything. response:	And then, finally...
context: Hina, you shouldn't get involved with Sakura.\They might target you next.\And her classmates, too.\- Huh? - Us?\Sorry.\I've had my hands full preparing for entrance exams this year.\They all pretended that they didn't see anything.\And then, finally... response:	This is sudden, but Ms. Sakura is moving to another school due to family circumstances.
context: They might target you next.\And her classmates, too.\- Huh? - Us?\Sorry.\I've had my hands full preparing for entrance exams this year.\They all pretended that they didn't see anything.\And then, finally...\This is sudden, but Ms. Sakura is moving to another school due to family circumstances. response:	Chiho!
context: And her classmates, too.\- Huh? - Us?\Sorry.\I've had my hands full preparing for entrance exams this year.\They all pretended that they didn't see anything.\And then, finally...\This is sudden, but Ms. Sakura is moving to another school due to family circumstances.\Chiho! response:	Hina!
context: - Huh? - Us?\Sorry.\I've had my hands full preparing for entrance exams this year.\They all pretended that they didn't see anything.\And then, finally...\This is sudden, but Ms. Sakura is moving to another school due to family circumstances.\Chiho!\Hina! response:	She'd stopped going to school,
context: Sorry.\I've had my hands full preparing for entrance exams this year.\They all pretended that they didn't see anything.\And then, finally...\This is sudden, but Ms. Sakura is moving to another school due to family circumstances.\Chiho!\Hina!\She'd stopped going to school, response:	so her mother decided they would move to Iwate, where Chiho's father was working.
context: I've had my hands full preparing for entrance exams this year.\They all pretended that they didn't see anything.\And then, finally...\This is sudden, but Ms. Sakura is moving to another school due to family circumstances.\Chiho!\Hina!\She'd stopped going to school,\so her mother decided they would move to Iwate, where Chiho's father was working. response:	I'm sorry, Hina.
context: They all pretended that they didn't see anything.\And then, finally...\This is sudden, but Ms. Sakura is moving to another school due to family circumstances.\Chiho!\Hina!\She'd stopped going to school,\so her mother decided they would move to Iwate, where Chiho's father was working.\I'm sorry, Hina. response:	I'm sorry. I'm sorry.
context: And then, finally...\This is sudden, but Ms. Sakura is moving to another school due to family circumstances.\Chiho!\Hina!\She'd stopped going to school,\so her mother decided they would move to Iwate, where Chiho's father was working.\I'm sorry, Hina.\I'm sorry. I'm sorry. response:	After everything you've done for me...
context: This is sudden, but Ms. Sakura is moving to another school due to family circumstances.\Chiho!\Hina!\She'd stopped going to school,\so her mother decided they would move to Iwate, where Chiho's father was working.\I'm sorry, Hina.\I'm sorry. I'm sorry.\After everything you've done for me... response:	Huh?
context: Chiho!\Hina!\She'd stopped going to school,\so her mother decided they would move to Iwate, where Chiho's father was working.\I'm sorry, Hina.\I'm sorry. I'm sorry.\After everything you've done for me...\Huh? response:	B Group is short one person. Where's Sakura?
context: Hina!\She'd stopped going to school,\so her mother decided they would move to Iwate, where Chiho's father was working.\I'm sorry, Hina.\I'm sorry. I'm sorry.\After everything you've done for me...\Huh?\B Group is short one person. Where's Sakura? response:	Teacher, Sakura changed schools.
context: She'd stopped going to school,\so her mother decided they would move to Iwate, where Chiho's father was working.\I'm sorry, Hina.\I'm sorry. I'm sorry.\After everything you've done for me...\Huh?\B Group is short one person. Where's Sakura?\Teacher, Sakura changed schools. response:	What? This late in the year? And so suddenly.
context: so her mother decided they would move to Iwate, where Chiho's father was working.\I'm sorry, Hina.\I'm sorry. I'm sorry.\After everything you've done for me...\Huh?\B Group is short one person. Where's Sakura?\Teacher, Sakura changed schools.\What? This late in the year? And so suddenly. response:	I know. I hear they suddenly decided to move.
context: I'm sorry, Hina.\I'm sorry. I'm sorry.\After everything you've done for me...\Huh?\B Group is short one person. Where's Sakura?\Teacher, Sakura changed schools.\What? This late in the year? And so suddenly.\I know. I hear they suddenly decided to move. response:	I mean, really, who would go that far?
context: I'm sorry. I'm sorry.\After everything you've done for me...\Huh?\B Group is short one person. Where's Sakura?\Teacher, Sakura changed schools.\What? This late in the year? And so suddenly.\I know. I hear they suddenly decided to move.\I mean, really, who would go that far? response:	I'm sorry. Hina, I'm sorry.
context: After everything you've done for me...\Huh?\B Group is short one person. Where's Sakura?\Teacher, Sakura changed schools.\What? This late in the year? And so suddenly.\I know. I hear they suddenly decided to move.\I mean, really, who would go that far?\I'm sorry. Hina, I'm sorry. response:	Kawamoto! Knock it off, Kawamoto!
context: Huh?\B Group is short one person. Where's Sakura?\Teacher, Sakura changed schools.\What? This late in the year? And so suddenly.\I know. I hear they suddenly decided to move.\I mean, really, who would go that far?\I'm sorry. Hina, I'm sorry.\Kawamoto! Knock it off, Kawamoto! response:	And so...
context: B Group is short one person. Where's Sakura?\Teacher, Sakura changed schools.\What? This late in the year? And so suddenly.\I know. I hear they suddenly decided to move.\I mean, really, who would go that far?\I'm sorry. Hina, I'm sorry.\Kawamoto! Knock it off, Kawamoto!\And so... response:	they next set their sights...
context: Teacher, Sakura changed schools.\What? This late in the year? And so suddenly.\I know. I hear they suddenly decided to move.\I mean, really, who would go that far?\I'm sorry. Hina, I'm sorry.\Kawamoto! Knock it off, Kawamoto!\And so...\they next set their sights... response:	on Hina.
context: What? This late in the year? And so suddenly.\I know. I hear they suddenly decided to move.\I mean, really, who would go that far?\I'm sorry. Hina, I'm sorry.\Kawamoto! Knock it off, Kawamoto!\And so...\they next set their sights...\on Hina. response:	Hina.
context: I know. I hear they suddenly decided to move.\I mean, really, who would go that far?\I'm sorry. Hina, I'm sorry.\Kawamoto! Knock it off, Kawamoto!\And so...\they next set their sights...\on Hina.\Hina. response:	Sis, what should I have done?
context: I mean, really, who would go that far?\I'm sorry. Hina, I'm sorry.\Kawamoto! Knock it off, Kawamoto!\And so...\they next set their sights...\on Hina.\Hina.\Sis, what should I have done? response:	Chiho was crying. She said she was afraid to switch to another school.
context: I'm sorry. Hina, I'm sorry.\Kawamoto! Knock it off, Kawamoto!\And so...\they next set their sights...\on Hina.\Hina.\Sis, what should I have done?\Chiho was crying. She said she was afraid to switch to another school. response:	She said, What if I get bullied over there too? She was terrified!
context: Kawamoto! Knock it off, Kawamoto!\And so...\they next set their sights...\on Hina.\Hina.\Sis, what should I have done?\Chiho was crying. She said she was afraid to switch to another school.\She said, What if I get bullied over there too? She was terrified! response:	Sis, I couldn't...
context: And so...\they next set their sights...\on Hina.\Hina.\Sis, what should I have done?\Chiho was crying. She said she was afraid to switch to another school.\She said, What if I get bullied over there too? She was terrified!\Sis, I couldn't... response:	do anything to help Chiho!
context: they next set their sights...\on Hina.\Hina.\Sis, what should I have done?\Chiho was crying. She said she was afraid to switch to another school.\She said, What if I get bullied over there too? She was terrified!\Sis, I couldn't...\do anything to help Chiho! response:	Not one thing!
context: on Hina.\Hina.\Sis, what should I have done?\Chiho was crying. She said she was afraid to switch to another school.\She said, What if I get bullied over there too? She was terrified!\Sis, I couldn't...\do anything to help Chiho!\Not one thing! response:	Sorry, Momo.
context: Hina.\Sis, what should I have done?\Chiho was crying. She said she was afraid to switch to another school.\She said, What if I get bullied over there too? She was terrified!\Sis, I couldn't...\do anything to help Chiho!\Not one thing!\Sorry, Momo. response:	I-I'm fine.
context: Sis, what should I have done?\Chiho was crying. She said she was afraid to switch to another school.\She said, What if I get bullied over there too? She was terrified!\Sis, I couldn't...\do anything to help Chiho!\Not one thing!\Sorry, Momo.\I-I'm fine. response:	Sorry! I-I'm going for a run!
context: Chiho was crying. She said she was afraid to switch to another school.\She said, What if I get bullied over there too? She was terrified!\Sis, I couldn't...\do anything to help Chiho!\Not one thing!\Sorry, Momo.\I-I'm fine.\Sorry! I-I'm going for a run! response:	No, Hina! Don't go outside! It's dark!
context: She said, What if I get bullied over there too? She was terrified!\Sis, I couldn't...\do anything to help Chiho!\Not one thing!\Sorry, Momo.\I-I'm fine.\Sorry! I-I'm going for a run!\No, Hina! Don't go outside! It's dark! response:	- Don't go! - I'll...
context: Sis, I couldn't...\do anything to help Chiho!\Not one thing!\Sorry, Momo.\I-I'm fine.\Sorry! I-I'm going for a run!\No, Hina! Don't go outside! It's dark!\- Don't go! - I'll... response:	Hina!
context: do anything to help Chiho!\Not one thing!\Sorry, Momo.\I-I'm fine.\Sorry! I-I'm going for a run!\No, Hina! Don't go outside! It's dark!\- Don't go! - I'll...\Hina! response:	Hina!
context: Not one thing!\Sorry, Momo.\I-I'm fine.\Sorry! I-I'm going for a run!\No, Hina! Don't go outside! It's dark!\- Don't go! - I'll...\Hina!\Hina! response:	Why did this happen?
context: Sorry, Momo.\I-I'm fine.\Sorry! I-I'm going for a run!\No, Hina! Don't go outside! It's dark!\- Don't go! - I'll...\Hina!\Hina!\Why did this happen? response:	School was so fun to go to every day until the second year.
context: I-I'm fine.\Sorry! I-I'm going for a run!\No, Hina! Don't go outside! It's dark!\- Don't go! - I'll...\Hina!\Hina!\Why did this happen?\School was so fun to go to every day until the second year. response:	Chiho was so stressed with everything, so why did everyone...
context: Sorry! I-I'm going for a run!\No, Hina! Don't go outside! It's dark!\- Don't go! - I'll...\Hina!\Hina!\Why did this happen?\School was so fun to go to every day until the second year.\Chiho was so stressed with everything, so why did everyone... response:	pretend they didn't see anything or like, If you protect her, they'll target you next.
context: No, Hina! Don't go outside! It's dark!\- Don't go! - I'll...\Hina!\Hina!\Why did this happen?\School was so fun to go to every day until the second year.\Chiho was so stressed with everything, so why did everyone...\pretend they didn't see anything or like, If you protect her, they'll target you next. response:	Why?
context: - Don't go! - I'll...\Hina!\Hina!\Why did this happen?\School was so fun to go to every day until the second year.\Chiho was so stressed with everything, so why did everyone...\pretend they didn't see anything or like, If you protect her, they'll target you next.\Why? response:	But things turned out the way they said it would.
context: Hina!\Hina!\Why did this happen?\School was so fun to go to every day until the second year.\Chiho was so stressed with everything, so why did everyone...\pretend they didn't see anything or like, If you protect her, they'll target you next.\Why?\But things turned out the way they said it would. response:	From tomorrow, I'll be alone.
context: Hina!\Why did this happen?\School was so fun to go to every day until the second year.\Chiho was so stressed with everything, so why did everyone...\pretend they didn't see anything or like, If you protect her, they'll target you next.\Why?\But things turned out the way they said it would.\From tomorrow, I'll be alone. response:	I'll be all alone...
context: Why did this happen?\School was so fun to go to every day until the second year.\Chiho was so stressed with everything, so why did everyone...\pretend they didn't see anything or like, If you protect her, they'll target you next.\Why?\But things turned out the way they said it would.\From tomorrow, I'll be alone.\I'll be all alone... response:	I'm so scared!
context: School was so fun to go to every day until the second year.\Chiho was so stressed with everything, so why did everyone...\pretend they didn't see anything or like, If you protect her, they'll target you next.\Why?\But things turned out the way they said it would.\From tomorrow, I'll be alone.\I'll be all alone...\I'm so scared! response:	The truth is, I've been scared this whole time.
context: Chiho was so stressed with everything, so why did everyone...\pretend they didn't see anything or like, If you protect her, they'll target you next.\Why?\But things turned out the way they said it would.\From tomorrow, I'll be alone.\I'll be all alone...\I'm so scared!\The truth is, I've been scared this whole time. response:	But... But...
context: pretend they didn't see anything or like, If you protect her, they'll target you next.\Why?\But things turned out the way they said it would.\From tomorrow, I'll be alone.\I'll be all alone...\I'm so scared!\The truth is, I've been scared this whole time.\But... But... response:	I don't regret anything at all! I can't!
context: Why?\But things turned out the way they said it would.\From tomorrow, I'll be alone.\I'll be all alone...\I'm so scared!\The truth is, I've been scared this whole time.\But... But...\I don't regret anything at all! I can't! response:	Because...
context: But things turned out the way they said it would.\From tomorrow, I'll be alone.\I'll be all alone...\I'm so scared!\The truth is, I've been scared this whole time.\But... But...\I don't regret anything at all! I can't!\Because... response:	At that moment, as I saw her declare that through sobs,
context: From tomorrow, I'll be alone.\I'll be all alone...\I'm so scared!\The truth is, I've been scared this whole time.\But... But...\I don't regret anything at all! I can't!\Because...\At that moment, as I saw her declare that through sobs, response:	it felt like I was struck by lightning.
context: I'll be all alone...\I'm so scared!\The truth is, I've been scared this whole time.\But... But...\I don't regret anything at all! I can't!\Because...\At that moment, as I saw her declare that through sobs,\it felt like I was struck by lightning. response:	It's strange.
context: I'm so scared!\The truth is, I've been scared this whole time.\But... But...\I don't regret anything at all! I can't!\Because...\At that moment, as I saw her declare that through sobs,\it felt like I was struck by lightning.\It's strange. response:	Even after...
context: The truth is, I've been scared this whole time.\But... But...\I don't regret anything at all! I can't!\Because...\At that moment, as I saw her declare that through sobs,\it felt like I was struck by lightning.\It's strange.\Even after... response:	so much time has passed,
context: But... But...\I don't regret anything at all! I can't!\Because...\At that moment, as I saw her declare that through sobs,\it felt like I was struck by lightning.\It's strange.\Even after...\so much time has passed, response:	something can save you,
context: I don't regret anything at all! I can't!\Because...\At that moment, as I saw her declare that through sobs,\it felt like I was struck by lightning.\It's strange.\Even after...\so much time has passed,\something can save you, response:	coming in like a storm from a completely different direction.
context: Because...\At that moment, as I saw her declare that through sobs,\it felt like I was struck by lightning.\It's strange.\Even after...\so much time has passed,\something can save you,\coming in like a storm from a completely different direction. response:	Hina...
context: At that moment, as I saw her declare that through sobs,\it felt like I was struck by lightning.\It's strange.\Even after...\so much time has passed,\something can save you,\coming in like a storm from a completely different direction.\Hina... response:	Thank you.
context: it felt like I was struck by lightning.\It's strange.\Even after...\so much time has passed,\something can save you,\coming in like a storm from a completely different direction.\Hina...\Thank you. response:	You are...
context: It's strange.\Even after...\so much time has passed,\something can save you,\coming in like a storm from a completely different direction.\Hina...\Thank you.\You are... response:	my lifesaver.
context: Even after...\so much time has passed,\something can save you,\coming in like a storm from a completely different direction.\Hina...\Thank you.\You are...\my lifesaver. response:	I promise.
context: so much time has passed,\something can save you,\coming in like a storm from a completely different direction.\Hina...\Thank you.\You are...\my lifesaver.\I promise. response:	I'll stay with you.
context: something can save you,\coming in like a storm from a completely different direction.\Hina...\Thank you.\You are...\my lifesaver.\I promise.\I'll stay with you. response:	Rei...
context: coming in like a storm from a completely different direction.\Hina...\Thank you.\You are...\my lifesaver.\I promise.\I'll stay with you.\Rei... response:	Even if it takes the rest of my life, I will pay you back.
context: Hina...\Thank you.\You are...\my lifesaver.\I promise.\I'll stay with you.\Rei...\Even if it takes the rest of my life, I will pay you back. response:	Ladybug Bush (Part 2)
