context: now response:	Ruka-chan Still up?
context: Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up response:	Mizuhara
context: You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara response:	Mizuhara
context: I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\Mizuhara response:	I'll charge you for an extension
context: Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\Mizuhara\I'll charge you for an extension response:	Numa
context: When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\Mizuhara\I'll charge you for an extension\Numa response:	Who does that girl think she is? A romcom heroine?
context: Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine? response:	Numa
context: When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa response:	And that stupid virgin's pissing hme off, too!
context: If you don't hurry up\Mizuhara\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too! response:	Numa
context: Mizuhara\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa response:	Not like they'll last more than three months, anyway
context: Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway response:	It's not real
context: I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real response:	Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes
context: Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes response:	She's no girlfriend.
context: Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\She's no girlfriend. response:	She's a client!
context: Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\She's no girlfriend.\She's a client! response:	Tap
context: And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\She's no girlfriend.\She's a client!\Tap response:	Sending
context: Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\She's no girlfriend.\She's a client!\Tap\Sending response:	The terms: two phone calls per day, no leaving her on read,
context: Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\She's no girlfriend.\She's a client!\Tap\Sending\The terms: two phone calls per day, no leaving her on read, response:	and always like her tweets!
context: It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\She's no girlfriend.\She's a client!\Tap\Sending\The terms: two phone calls per day, no leaving her on read,\and always like her tweets! response:	Gah!!
context: Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\She's no girlfriend.\She's a client!\Tap\Sending\The terms: two phone calls per day, no leaving her on read,\and always like her tweets!\Gah!! response:	This gives me no bragging rights,
context: She's no girlfriend.\She's a client!\Tap\Sending\The terms: two phone calls per day, no leaving her on read,\and always like her tweets!\Gah!!\This gives me no bragging rights, response:	plus it comes with the fear of having my fake relationship with Mizuhara exposed!
context: She's a client!\Tap\Sending\The terms: two phone calls per day, no leaving her on read,\and always like her tweets!\Gah!!\This gives me no bragging rights,\plus it comes with the fear of having my fake relationship with Mizuhara exposed! response:	Did I make a deal with the devil?!
context: Tap\Sending\The terms: two phone calls per day, no leaving her on read,\and always like her tweets!\Gah!!\This gives me no bragging rights,\plus it comes with the fear of having my fake relationship with Mizuhara exposed!\Did I make a deal with the devil?! response:	No girlfriend could be this scary!
context: Sending\The terms: two phone calls per day, no leaving her on read,\and always like her tweets!\Gah!!\This gives me no bragging rights,\plus it comes with the fear of having my fake relationship with Mizuhara exposed!\Did I make a deal with the devil?!\No girlfriend could be this scary! response:	And after all that talk about how important love is,
context: The terms: two phone calls per day, no leaving her on read,\and always like her tweets!\Gah!!\This gives me no bragging rights,\plus it comes with the fear of having my fake relationship with Mizuhara exposed!\Did I make a deal with the devil?!\No girlfriend could be this scary!\And after all that talk about how important love is, response:	how could Mizuhara tell me to go out with her?!
context: and always like her tweets!\Gah!!\This gives me no bragging rights,\plus it comes with the fear of having my fake relationship with Mizuhara exposed!\Did I make a deal with the devil?!\No girlfriend could be this scary!\And after all that talk about how important love is,\how could Mizuhara tell me to go out with her?! response:	I guess I was just a client in her eyes after all.
context: Gah!!\This gives me no bragging rights,\plus it comes with the fear of having my fake relationship with Mizuhara exposed!\Did I make a deal with the devil?!\No girlfriend could be this scary!\And after all that talk about how important love is,\how could Mizuhara tell me to go out with her?!\I guess I was just a client in her eyes after all. response:	M-Mizuhara?
context: This gives me no bragging rights,\plus it comes with the fear of having my fake relationship with Mizuhara exposed!\Did I make a deal with the devil?!\No girlfriend could be this scary!\And after all that talk about how important love is,\how could Mizuhara tell me to go out with her?!\I guess I was just a client in her eyes after all.\M-Mizuhara? response:	What the hell is wrong with me?
context: plus it comes with the fear of having my fake relationship with Mizuhara exposed!\Did I make a deal with the devil?!\No girlfriend could be this scary!\And after all that talk about how important love is,\how could Mizuhara tell me to go out with her?!\I guess I was just a client in her eyes after all.\M-Mizuhara?\What the hell is wrong with me? response:	I need to find some way to distance myself from Ruka-chan.
context: Did I make a deal with the devil?!\No girlfriend could be this scary!\And after all that talk about how important love is,\how could Mizuhara tell me to go out with her?!\I guess I was just a client in her eyes after all.\M-Mizuhara?\What the hell is wrong with me?\I need to find some way to distance myself from Ruka-chan. response:	Lab and Seminar Wing
context: No girlfriend could be this scary!\And after all that talk about how important love is,\how could Mizuhara tell me to go out with her?!\I guess I was just a client in her eyes after all.\M-Mizuhara?\What the hell is wrong with me?\I need to find some way to distance myself from Ruka-chan.\Lab and Seminar Wing response:	College Wing 2
context: And after all that talk about how important love is,\how could Mizuhara tell me to go out with her?!\I guess I was just a client in her eyes after all.\M-Mizuhara?\What the hell is wrong with me?\I need to find some way to distance myself from Ruka-chan.\Lab and Seminar Wing\College Wing 2 response:	Auditorium Cafeteria
context: how could Mizuhara tell me to go out with her?!\I guess I was just a client in her eyes after all.\M-Mizuhara?\What the hell is wrong with me?\I need to find some way to distance myself from Ruka-chan.\Lab and Seminar Wing\College Wing 2\Auditorium Cafeteria response:	Right now, my college life is on a one-way trip to nowhere.
context: I guess I was just a client in her eyes after all.\M-Mizuhara?\What the hell is wrong with me?\I need to find some way to distance myself from Ruka-chan.\Lab and Seminar Wing\College Wing 2\Auditorium Cafeteria\Right now, my college life is on a one-way trip to nowhere. response:	Did you see the season premiere of Terrace House?
context: M-Mizuhara?\What the hell is wrong with me?\I need to find some way to distance myself from Ruka-chan.\Lab and Seminar Wing\College Wing 2\Auditorium Cafeteria\Right now, my college life is on a one-way trip to nowhere.\Did you see the season premiere of Terrace House? response:	It made me wonder just how many Japanese really want to be a model.
context: What the hell is wrong with me?\I need to find some way to distance myself from Ruka-chan.\Lab and Seminar Wing\College Wing 2\Auditorium Cafeteria\Right now, my college life is on a one-way trip to nowhere.\Did you see the season premiere of Terrace House?\It made me wonder just how many Japanese really want to be a model. response:	Zoom
context: I need to find some way to distance myself from Ruka-chan.\Lab and Seminar Wing\College Wing 2\Auditorium Cafeteria\Right now, my college life is on a one-way trip to nowhere.\Did you see the season premiere of Terrace House?\It made me wonder just how many Japanese really want to be a model.\Zoom response:	Surprise!
context: Lab and Seminar Wing\College Wing 2\Auditorium Cafeteria\Right now, my college life is on a one-way trip to nowhere.\Did you see the season premiere of Terrace House?\It made me wonder just how many Japanese really want to be a model.\Zoom\Surprise! response:	Wha...
context: College Wing 2\Auditorium Cafeteria\Right now, my college life is on a one-way trip to nowhere.\Did you see the season premiere of Terrace House?\It made me wonder just how many Japanese really want to be a model.\Zoom\Surprise!\Wha... response:	Ruka-chan?!
context: Auditorium Cafeteria\Right now, my college life is on a one-way trip to nowhere.\Did you see the season premiere of Terrace House?\It made me wonder just how many Japanese really want to be a model.\Zoom\Surprise!\Wha...\Ruka-chan?! response:	Wh-What are you doing here?
context: Right now, my college life is on a one-way trip to nowhere.\Did you see the season premiere of Terrace House?\It made me wonder just how many Japanese really want to be a model.\Zoom\Surprise!\Wha...\Ruka-chan?!\Wh-What are you doing here? response:	Well, you wouldn't contact me, so I decided to take matters into my own hands.
context: Did you see the season premiere of Terrace House?\It made me wonder just how many Japanese really want to be a model.\Zoom\Surprise!\Wha...\Ruka-chan?!\Wh-What are you doing here?\Well, you wouldn't contact me, so I decided to take matters into my own hands. response:	Man, if Kuri happened to see this...
context: It made me wonder just how many Japanese really want to be a model.\Zoom\Surprise!\Wha...\Ruka-chan?!\Wh-What are you doing here?\Well, you wouldn't contact me, so I decided to take matters into my own hands.\Man, if Kuri happened to see this... response:	Kazuya-kun?
context: Zoom\Surprise!\Wha...\Ruka-chan?!\Wh-What are you doing here?\Well, you wouldn't contact me, so I decided to take matters into my own hands.\Man, if Kuri happened to see this...\Kazuya-kun? response:	C-Come with me a sec.
context: Surprise!\Wha...\Ruka-chan?!\Wh-What are you doing here?\Well, you wouldn't contact me, so I decided to take matters into my own hands.\Man, if Kuri happened to see this...\Kazuya-kun?\C-Come with me a sec. response:	P-Please! Let's try not to let Kuribayashi find out!
context: Wha...\Ruka-chan?!\Wh-What are you doing here?\Well, you wouldn't contact me, so I decided to take matters into my own hands.\Man, if Kuri happened to see this...\Kazuya-kun?\C-Come with me a sec.\P-Please! Let's try not to let Kuribayashi find out! response:	Huh? Did I mess something up?
context: Ruka-chan?!\Wh-What are you doing here?\Well, you wouldn't contact me, so I decided to take matters into my own hands.\Man, if Kuri happened to see this...\Kazuya-kun?\C-Come with me a sec.\P-Please! Let's try not to let Kuribayashi find out!\Huh? Did I mess something up? response:	Surely you understand that showing up on campus is bad news!
context: Wh-What are you doing here?\Well, you wouldn't contact me, so I decided to take matters into my own hands.\Man, if Kuri happened to see this...\Kazuya-kun?\C-Come with me a sec.\P-Please! Let's try not to let Kuribayashi find out!\Huh? Did I mess something up?\Surely you understand that showing up on campus is bad news! response:	But I don't think we can keep this hidden forever.
context: Well, you wouldn't contact me, so I decided to take matters into my own hands.\Man, if Kuri happened to see this...\Kazuya-kun?\C-Come with me a sec.\P-Please! Let's try not to let Kuribayashi find out!\Huh? Did I mess something up?\Surely you understand that showing up on campus is bad news!\But I don't think we can keep this hidden forever. response:	Besides, I was just a rental girlfriend.
context: Man, if Kuri happened to see this...\Kazuya-kun?\C-Come with me a sec.\P-Please! Let's try not to let Kuribayashi find out!\Huh? Did I mess something up?\Surely you understand that showing up on campus is bad news!\But I don't think we can keep this hidden forever.\Besides, I was just a rental girlfriend. response:	Who knows if he even liked me for real?
context: Kazuya-kun?\C-Come with me a sec.\P-Please! Let's try not to let Kuribayashi find out!\Huh? Did I mess something up?\Surely you understand that showing up on campus is bad news!\But I don't think we can keep this hidden forever.\Besides, I was just a rental girlfriend.\Who knows if he even liked me for real? response:	Th-That's not the issue.
context: C-Come with me a sec.\P-Please! Let's try not to let Kuribayashi find out!\Huh? Did I mess something up?\Surely you understand that showing up on campus is bad news!\But I don't think we can keep this hidden forever.\Besides, I was just a rental girlfriend.\Who knows if he even liked me for real?\Th-That's not the issue. response:	But okay, I understand.
context: P-Please! Let's try not to let Kuribayashi find out!\Huh? Did I mess something up?\Surely you understand that showing up on campus is bad news!\But I don't think we can keep this hidden forever.\Besides, I was just a rental girlfriend.\Who knows if he even liked me for real?\Th-That's not the issue.\But okay, I understand. response:	I'm the one who said I was okay with a trial.
context: Huh? Did I mess something up?\Surely you understand that showing up on campus is bad news!\But I don't think we can keep this hidden forever.\Besides, I was just a rental girlfriend.\Who knows if he even liked me for real?\Th-That's not the issue.\But okay, I understand.\I'm the one who said I was okay with a trial. response:	It's not like I want to put you on the spot, so I'll stay away.
context: Surely you understand that showing up on campus is bad news!\But I don't think we can keep this hidden forever.\Besides, I was just a rental girlfriend.\Who knows if he even liked me for real?\Th-That's not the issue.\But okay, I understand.\I'm the one who said I was okay with a trial.\It's not like I want to put you on the spot, so I'll stay away. response:	Th-Thank you!
context: But I don't think we can keep this hidden forever.\Besides, I was just a rental girlfriend.\Who knows if he even liked me for real?\Th-That's not the issue.\But okay, I understand.\I'm the one who said I was okay with a trial.\It's not like I want to put you on the spot, so I'll stay away.\Th-Thank you! response:	All that aside...
context: Besides, I was just a rental girlfriend.\Who knows if he even liked me for real?\Th-That's not the issue.\But okay, I understand.\I'm the one who said I was okay with a trial.\It's not like I want to put you on the spot, so I'll stay away.\Th-Thank you!\All that aside... response:	Wanna go catch a movie this Saturday?
context: Who knows if he even liked me for real?\Th-That's not the issue.\But okay, I understand.\I'm the one who said I was okay with a trial.\It's not like I want to put you on the spot, so I'll stay away.\Th-Thank you!\All that aside...\Wanna go catch a movie this Saturday? response:	Love Clouds! It's a romance flick!
context: Th-That's not the issue.\But okay, I understand.\I'm the one who said I was okay with a trial.\It's not like I want to put you on the spot, so I'll stay away.\Th-Thank you!\All that aside...\Wanna go catch a movie this Saturday?\Love Clouds! It's a romance flick! response:	A-A movie?
context: But okay, I understand.\I'm the one who said I was okay with a trial.\It's not like I want to put you on the spot, so I'll stay away.\Th-Thank you!\All that aside...\Wanna go catch a movie this Saturday?\Love Clouds! It's a romance flick!\A-A movie? response:	Squeeze
context: I'm the one who said I was okay with a trial.\It's not like I want to put you on the spot, so I'll stay away.\Th-Thank you!\All that aside...\Wanna go catch a movie this Saturday?\Love Clouds! It's a romance flick!\A-A movie?\Squeeze response:	Christmas is coming up, too. All couples grow closer in winter!
context: It's not like I want to put you on the spot, so I'll stay away.\Th-Thank you!\All that aside...\Wanna go catch a movie this Saturday?\Love Clouds! It's a romance flick!\A-A movie?\Squeeze\Christmas is coming up, too. All couples grow closer in winter! response:	It's the season for us!
context: Th-Thank you!\All that aside...\Wanna go catch a movie this Saturday?\Love Clouds! It's a romance flick!\A-A movie?\Squeeze\Christmas is coming up, too. All couples grow closer in winter!\It's the season for us! response:	I-I guess I could do a movie.
context: All that aside...\Wanna go catch a movie this Saturday?\Love Clouds! It's a romance flick!\A-A movie?\Squeeze\Christmas is coming up, too. All couples grow closer in winter!\It's the season for us!\I-I guess I could do a movie. response:	Really?!
context: Wanna go catch a movie this Saturday?\Love Clouds! It's a romance flick!\A-A movie?\Squeeze\Christmas is coming up, too. All couples grow closer in winter!\It's the season for us!\I-I guess I could do a movie.\Really?! response:	At least there'll be an armrest between us.
context: Love Clouds! It's a romance flick!\A-A movie?\Squeeze\Christmas is coming up, too. All couples grow closer in winter!\It's the season for us!\I-I guess I could do a movie.\Really?!\At least there'll be an armrest between us. response:	Yay!
context: A-A movie?\Squeeze\Christmas is coming up, too. All couples grow closer in winter!\It's the season for us!\I-I guess I could do a movie.\Really?!\At least there'll be an armrest between us.\Yay! response:	Hey, could you stop clinging to me?
context: Squeeze\Christmas is coming up, too. All couples grow closer in winter!\It's the season for us!\I-I guess I could do a movie.\Really?!\At least there'll be an armrest between us.\Yay!\Hey, could you stop clinging to me? response:	Please, I know you love it.
context: Christmas is coming up, too. All couples grow closer in winter!\It's the season for us!\I-I guess I could do a movie.\Really?!\At least there'll be an armrest between us.\Yay!\Hey, could you stop clinging to me?\Please, I know you love it. response:	Rub Rub
context: It's the season for us!\I-I guess I could do a movie.\Really?!\At least there'll be an armrest between us.\Yay!\Hey, could you stop clinging to me?\Please, I know you love it.\Rub Rub response:	What's the matter, Chizuru?
context: I-I guess I could do a movie.\Really?!\At least there'll be an armrest between us.\Yay!\Hey, could you stop clinging to me?\Please, I know you love it.\Rub Rub\What's the matter, Chizuru? response:	You're spacing out.
context: Really?!\At least there'll be an armrest between us.\Yay!\Hey, could you stop clinging to me?\Please, I know you love it.\Rub Rub\What's the matter, Chizuru?\You're spacing out. response:	Huh? Sorry, where were we?
context: At least there'll be an armrest between us.\Yay!\Hey, could you stop clinging to me?\Please, I know you love it.\Rub Rub\What's the matter, Chizuru?\You're spacing out.\Huh? Sorry, where were we? response:	We're thinking of having a pajama party for Christmas, the three of us.
context: Yay!\Hey, could you stop clinging to me?\Please, I know you love it.\Rub Rub\What's the matter, Chizuru?\You're spacing out.\Huh? Sorry, where were we?\We're thinking of having a pajama party for Christmas, the three of us. response:	Oh, sorry. I have plans over Christmas.
context: Hey, could you stop clinging to me?\Please, I know you love it.\Rub Rub\What's the matter, Chizuru?\You're spacing out.\Huh? Sorry, where were we?\We're thinking of having a pajama party for Christmas, the three of us.\Oh, sorry. I have plans over Christmas. response:	What?!
context: Please, I know you love it.\Rub Rub\What's the matter, Chizuru?\You're spacing out.\Huh? Sorry, where were we?\We're thinking of having a pajama party for Christmas, the three of us.\Oh, sorry. I have plans over Christmas.\What?! response:	No way! With a boy?!
context: Rub Rub\What's the matter, Chizuru?\You're spacing out.\Huh? Sorry, where were we?\We're thinking of having a pajama party for Christmas, the three of us.\Oh, sorry. I have plans over Christmas.\What?!\No way! With a boy?! response:	Wow! What's he like?! C'mon, tell us!
context: What's the matter, Chizuru?\You're spacing out.\Huh? Sorry, where were we?\We're thinking of having a pajama party for Christmas, the three of us.\Oh, sorry. I have plans over Christmas.\What?!\No way! With a boy?!\Wow! What's he like?! C'mon, tell us! response:	I-It's not like that!
context: You're spacing out.\Huh? Sorry, where were we?\We're thinking of having a pajama party for Christmas, the three of us.\Oh, sorry. I have plans over Christmas.\What?!\No way! With a boy?!\Wow! What's he like?! C'mon, tell us!\I-It's not like that! response:	Okay, okay. We won't pry.
context: Huh? Sorry, where were we?\We're thinking of having a pajama party for Christmas, the three of us.\Oh, sorry. I have plans over Christmas.\What?!\No way! With a boy?!\Wow! What's he like?! C'mon, tell us!\I-It's not like that!\Okay, okay. We won't pry. response:	We're used to you being secretive.
context: We're thinking of having a pajama party for Christmas, the three of us.\Oh, sorry. I have plans over Christmas.\What?!\No way! With a boy?!\Wow! What's he like?! C'mon, tell us!\I-It's not like that!\Okay, okay. We won't pry.\We're used to you being secretive. response:	But do let us know if you have good news!
context: Oh, sorry. I have plans over Christmas.\What?!\No way! With a boy?!\Wow! What's he like?! C'mon, tell us!\I-It's not like that!\Okay, okay. We won't pry.\We're used to you being secretive.\But do let us know if you have good news! response:	Jeez, you two!
context: What?!\No way! With a boy?!\Wow! What's he like?! C'mon, tell us!\I-It's not like that!\Okay, okay. We won't pry.\We're used to you being secretive.\But do let us know if you have good news!\Jeez, you two! response:	That should do it.
context: No way! With a boy?!\Wow! What's he like?! C'mon, tell us!\I-It's not like that!\Okay, okay. We won't pry.\We're used to you being secretive.\But do let us know if you have good news!\Jeez, you two!\That should do it. response:	What's the plan for Christmas? I'd like to go see some night lights!
context: Wow! What's he like?! C'mon, tell us!\I-It's not like that!\Okay, okay. We won't pry.\We're used to you being secretive.\But do let us know if you have good news!\Jeez, you two!\That should do it.\What's the plan for Christmas? I'd like to go see some night lights! response:	I'm going on a trip with family over Christmas. Really sorry.
context: I-It's not like that!\Okay, okay. We won't pry.\We're used to you being secretive.\But do let us know if you have good news!\Jeez, you two!\That should do it.\What's the plan for Christmas? I'd like to go see some night lights!\I'm going on a trip with family over Christmas. Really sorry. response:	What? I don't believe you!!
context: Okay, okay. We won't pry.\We're used to you being secretive.\But do let us know if you have good news!\Jeez, you two!\That should do it.\What's the plan for Christmas? I'd like to go see some night lights!\I'm going on a trip with family over Christmas. Really sorry.\What? I don't believe you!! response:	This can't go on all the way to Christmas, or she'll really get the wrong idea!
context: We're used to you being secretive.\But do let us know if you have good news!\Jeez, you two!\That should do it.\What's the plan for Christmas? I'd like to go see some night lights!\I'm going on a trip with family over Christmas. Really sorry.\What? I don't believe you!!\This can't go on all the way to Christmas, or she'll really get the wrong idea! response:	What? I don't believe you!!
context: But do let us know if you have good news!\Jeez, you two!\That should do it.\What's the plan for Christmas? I'd like to go see some night lights!\I'm going on a trip with family over Christmas. Really sorry.\What? I don't believe you!!\This can't go on all the way to Christmas, or she'll really get the wrong idea!\What? I don't believe you!! response:	I'm breaking up with you.
