context: Let's follow him. response:	Zelada?
context: My dear Leahyah...\Like I promised, I've come to save you.\When I was a child, lost in the forest, you saved me and showed me the way home.\Remember what we promised then?\That we'd always be friends.\That's why I came. I came, like I said I would.\I didn't let you die alone.\So Leahyah, don't be scared. Let's stay together. response:	Leahyah? No! Don't do it!
context: Like I promised, I've come to save you.\When I was a child, lost in the forest, you saved me and showed me the way home.\Remember what we promised then?\That we'd always be friends.\That's why I came. I came, like I said I would.\I didn't let you die alone.\So Leahyah, don't be scared. Let's stay together.\Leahyah? No! Don't do it! response:	Stop! Leahyah!
context: When I was a child, lost in the forest, you saved me and showed me the way home.\Remember what we promised then?\That we'd always be friends.\That's why I came. I came, like I said I would.\I didn't let you die alone.\So Leahyah, don't be scared. Let's stay together.\Leahyah? No! Don't do it!\Stop! Leahyah! response:	Leahyah!
context: Remember what we promised then?\That we'd always be friends.\That's why I came. I came, like I said I would.\I didn't let you die alone.\So Leahyah, don't be scared. Let's stay together.\Leahyah? No! Don't do it!\Stop! Leahyah!\Leahyah! response:	Peaceful color...
context: That we'd always be friends.\That's why I came. I came, like I said I would.\I didn't let you die alone.\So Leahyah, don't be scared. Let's stay together.\Leahyah? No! Don't do it!\Stop! Leahyah!\Leahyah!\Peaceful color... response:	Powerless color.
context: That's why I came. I came, like I said I would.\I didn't let you die alone.\So Leahyah, don't be scared. Let's stay together.\Leahyah? No! Don't do it!\Stop! Leahyah!\Leahyah!\Peaceful color...\Powerless color. response:	I beg you to give them more time.
context: I didn't let you die alone.\So Leahyah, don't be scared. Let's stay together.\Leahyah? No! Don't do it!\Stop! Leahyah!\Leahyah!\Peaceful color...\Powerless color.\I beg you to give them more time. response:	Rarest of colors.
context: So Leahyah, don't be scared. Let's stay together.\Leahyah? No! Don't do it!\Stop! Leahyah!\Leahyah!\Peaceful color...\Powerless color.\I beg you to give them more time.\Rarest of colors. response:	I'm alive?
context: Leahyah? No! Don't do it!\Stop! Leahyah!\Leahyah!\Peaceful color...\Powerless color.\I beg you to give them more time.\Rarest of colors.\I'm alive? response:	What is this?
context: Stop! Leahyah!\Leahyah!\Peaceful color...\Powerless color.\I beg you to give them more time.\Rarest of colors.\I'm alive?\What is this? response:	I used a healing spell.
context: Leahyah!\Peaceful color...\Powerless color.\I beg you to give them more time.\Rarest of colors.\I'm alive?\What is this?\I used a healing spell. response:	I needed an elixir to heal the damage the poison did.
context: Peaceful color...\Powerless color.\I beg you to give them more time.\Rarest of colors.\I'm alive?\What is this?\I used a healing spell.\I needed an elixir to heal the damage the poison did. response:	An elixir with powerful latena.
context: Powerless color.\I beg you to give them more time.\Rarest of colors.\I'm alive?\What is this?\I used a healing spell.\I needed an elixir to heal the damage the poison did.\An elixir with powerful latena. response:	An elixir?
context: I beg you to give them more time.\Rarest of colors.\I'm alive?\What is this?\I used a healing spell.\I needed an elixir to heal the damage the poison did.\An elixir with powerful latena.\An elixir? response:	I used her body to make it.
context: Rarest of colors.\I'm alive?\What is this?\I used a healing spell.\I needed an elixir to heal the damage the poison did.\An elixir with powerful latena.\An elixir?\I used her body to make it. response:	That fairy died?
context: I'm alive?\What is this?\I used a healing spell.\I needed an elixir to heal the damage the poison did.\An elixir with powerful latena.\An elixir?\I used her body to make it.\That fairy died? response:	Yes.
context: What is this?\I used a healing spell.\I needed an elixir to heal the damage the poison did.\An elixir with powerful latena.\An elixir?\I used her body to make it.\That fairy died?\Yes. response:	The catalyst for the psychic bomb was a living fairy.
context: I used a healing spell.\I needed an elixir to heal the damage the poison did.\An elixir with powerful latena.\An elixir?\I used her body to make it.\That fairy died?\Yes.\The catalyst for the psychic bomb was a living fairy. response:	She knew that, it seems.
context: I needed an elixir to heal the damage the poison did.\An elixir with powerful latena.\An elixir?\I used her body to make it.\That fairy died?\Yes.\The catalyst for the psychic bomb was a living fairy.\She knew that, it seems. response:	And she sacrificed her life to save me.
context: An elixir with powerful latena.\An elixir?\I used her body to make it.\That fairy died?\Yes.\The catalyst for the psychic bomb was a living fairy.\She knew that, it seems.\And she sacrificed her life to save me. response:	Kei Matoba, thank you for everything.
context: An elixir?\I used her body to make it.\That fairy died?\Yes.\The catalyst for the psychic bomb was a living fairy.\She knew that, it seems.\And she sacrificed her life to save me.\Kei Matoba, thank you for everything. response:	Um, well... You too.
context: I used her body to make it.\That fairy died?\Yes.\The catalyst for the psychic bomb was a living fairy.\She knew that, it seems.\And she sacrificed her life to save me.\Kei Matoba, thank you for everything.\Um, well... You too. response:	I may be returning home in shame instead of dying with honor,
context: That fairy died?\Yes.\The catalyst for the psychic bomb was a living fairy.\She knew that, it seems.\And she sacrificed her life to save me.\Kei Matoba, thank you for everything.\Um, well... You too.\I may be returning home in shame instead of dying with honor, response:	but I learned that there are some good warriors on Earth.
context: Yes.\The catalyst for the psychic bomb was a living fairy.\She knew that, it seems.\And she sacrificed her life to save me.\Kei Matoba, thank you for everything.\Um, well... You too.\I may be returning home in shame instead of dying with honor,\but I learned that there are some good warriors on Earth. response:	Oh, you forgot something.
context: The catalyst for the psychic bomb was a living fairy.\She knew that, it seems.\And she sacrificed her life to save me.\Kei Matoba, thank you for everything.\Um, well... You too.\I may be returning home in shame instead of dying with honor,\but I learned that there are some good warriors on Earth.\Oh, you forgot something. response:	That's...
context: She knew that, it seems.\And she sacrificed her life to save me.\Kei Matoba, thank you for everything.\Um, well... You too.\I may be returning home in shame instead of dying with honor,\but I learned that there are some good warriors on Earth.\Oh, you forgot something.\That's... response:	I got it back from O'Neill.
context: And she sacrificed her life to save me.\Kei Matoba, thank you for everything.\Um, well... You too.\I may be returning home in shame instead of dying with honor,\but I learned that there are some good warriors on Earth.\Oh, you forgot something.\That's...\I got it back from O'Neill. response:	It's expensive, right? Too expensive to give to a tour guide.
context: Kei Matoba, thank you for everything.\Um, well... You too.\I may be returning home in shame instead of dying with honor,\but I learned that there are some good warriors on Earth.\Oh, you forgot something.\That's...\I got it back from O'Neill.\It's expensive, right? Too expensive to give to a tour guide. response:	But...
context: Um, well... You too.\I may be returning home in shame instead of dying with honor,\but I learned that there are some good warriors on Earth.\Oh, you forgot something.\That's...\I got it back from O'Neill.\It's expensive, right? Too expensive to give to a tour guide.\But... response:	Just take it.
context: I may be returning home in shame instead of dying with honor,\but I learned that there are some good warriors on Earth.\Oh, you forgot something.\That's...\I got it back from O'Neill.\It's expensive, right? Too expensive to give to a tour guide.\But...\Just take it. response:	Bye.
context: but I learned that there are some good warriors on Earth.\Oh, you forgot something.\That's...\I got it back from O'Neill.\It's expensive, right? Too expensive to give to a tour guide.\But...\Just take it.\Bye. response:	Farewell, gallant doreany soldier!
context: Oh, you forgot something.\That's...\I got it back from O'Neill.\It's expensive, right? Too expensive to give to a tour guide.\But...\Just take it.\Bye.\Farewell, gallant doreany soldier! response:	Kuroi, I'm home.
context: That's...\I got it back from O'Neill.\It's expensive, right? Too expensive to give to a tour guide.\But...\Just take it.\Bye.\Farewell, gallant doreany soldier!\Kuroi, I'm home. response:	Amazing! Two three pointers in a row!
context: I got it back from O'Neill.\It's expensive, right? Too expensive to give to a tour guide.\But...\Just take it.\Bye.\Farewell, gallant doreany soldier!\Kuroi, I'm home.\Amazing! Two three pointers in a row! response:	What is this?
context: It's expensive, right? Too expensive to give to a tour guide.\But...\Just take it.\Bye.\Farewell, gallant doreany soldier!\Kuroi, I'm home.\Amazing! Two three pointers in a row!\What is this? response:	A sports show.
context: But...\Just take it.\Bye.\Farewell, gallant doreany soldier!\Kuroi, I'm home.\Amazing! Two three pointers in a row!\What is this?\A sports show. response:	No idea what the rules are.
context: Just take it.\Bye.\Farewell, gallant doreany soldier!\Kuroi, I'm home.\Amazing! Two three pointers in a row!\What is this?\A sports show.\No idea what the rules are. response:	No, you! You!
context: Bye.\Farewell, gallant doreany soldier!\Kuroi, I'm home.\Amazing! Two three pointers in a row!\What is this?\A sports show.\No idea what the rules are.\No, you! You! response:	What are you doing here?
context: Farewell, gallant doreany soldier!\Kuroi, I'm home.\Amazing! Two three pointers in a row!\What is this?\A sports show.\No idea what the rules are.\No, you! You!\What are you doing here? response:	Oh, that?
context: Kuroi, I'm home.\Amazing! Two three pointers in a row!\What is this?\A sports show.\No idea what the rules are.\No, you! You!\What are you doing here?\Oh, that? response:	I changed my mind.
context: Amazing! Two three pointers in a row!\What is this?\A sports show.\No idea what the rules are.\No, you! You!\What are you doing here?\Oh, that?\I changed my mind. response:	We're not sure that Zelada's really dead.
context: What is this?\A sports show.\No idea what the rules are.\No, you! You!\What are you doing here?\Oh, that?\I changed my mind.\We're not sure that Zelada's really dead. response:	And this city is filled with villains.
context: A sports show.\No idea what the rules are.\No, you! You!\What are you doing here?\Oh, that?\I changed my mind.\We're not sure that Zelada's really dead.\And this city is filled with villains. response:	I figured there's more I can do.
context: No idea what the rules are.\No, you! You!\What are you doing here?\Oh, that?\I changed my mind.\We're not sure that Zelada's really dead.\And this city is filled with villains.\I figured there's more I can do. response:	What?
context: No, you! You!\What are you doing here?\Oh, that?\I changed my mind.\We're not sure that Zelada's really dead.\And this city is filled with villains.\I figured there's more I can do.\What? response:	You're being treated as a detective?
context: What are you doing here?\Oh, that?\I changed my mind.\We're not sure that Zelada's really dead.\And this city is filled with villains.\I figured there's more I can do.\What?\You're being treated as a detective? response:	And working in my department?
context: Oh, that?\I changed my mind.\We're not sure that Zelada's really dead.\And this city is filled with villains.\I figured there's more I can do.\What?\You're being treated as a detective?\And working in my department? response:	Yup.
context: I changed my mind.\We're not sure that Zelada's really dead.\And this city is filled with villains.\I figured there's more I can do.\What?\You're being treated as a detective?\And working in my department?\Yup. response:	So I'll be staying here for a while.
context: We're not sure that Zelada's really dead.\And this city is filled with villains.\I figured there's more I can do.\What?\You're being treated as a detective?\And working in my department?\Yup.\So I'll be staying here for a while. response:	Any questions, partner?
context: And this city is filled with villains.\I figured there's more I can do.\What?\You're being treated as a detective?\And working in my department?\Yup.\So I'll be staying here for a while.\Any questions, partner? response:	Part... ner?
context: I figured there's more I can do.\What?\You're being treated as a detective?\And working in my department?\Yup.\So I'll be staying here for a while.\Any questions, partner?\Part... ner? response:	Tomorrow's gonna be an early morning. Time for bed.
context: What?\You're being treated as a detective?\And working in my department?\Yup.\So I'll be staying here for a while.\Any questions, partner?\Part... ner?\Tomorrow's gonna be an early morning. Time for bed. response:	Got it.
context: You're being treated as a detective?\And working in my department?\Yup.\So I'll be staying here for a while.\Any questions, partner?\Part... ner?\Tomorrow's gonna be an early morning. Time for bed.\Got it. response:	Goodnight, Kei.
context: And working in my department?\Yup.\So I'll be staying here for a while.\Any questions, partner?\Part... ner?\Tomorrow's gonna be an early morning. Time for bed.\Got it.\Goodnight, Kei. response:	Night, Tilarna.
context: Yup.\So I'll be staying here for a while.\Any questions, partner?\Part... ner?\Tomorrow's gonna be an early morning. Time for bed.\Got it.\Goodnight, Kei.\Night, Tilarna. response:	This is the police! Open up!
context: So I'll be staying here for a while.\Any questions, partner?\Part... ner?\Tomorrow's gonna be an early morning. Time for bed.\Got it.\Goodnight, Kei.\Night, Tilarna.\This is the police! Open up! response:	Shit! It's the cops!
context: Any questions, partner?\Part... ner?\Tomorrow's gonna be an early morning. Time for bed.\Got it.\Goodnight, Kei.\Night, Tilarna.\This is the police! Open up!\Shit! It's the cops! response:	Who tipped them off?!
context: Part... ner?\Tomorrow's gonna be an early morning. Time for bed.\Got it.\Goodnight, Kei.\Night, Tilarna.\This is the police! Open up!\Shit! It's the cops!\Who tipped them off?! response:	Go! Go! Go!
context: Tomorrow's gonna be an early morning. Time for bed.\Got it.\Goodnight, Kei.\Night, Tilarna.\This is the police! Open up!\Shit! It's the cops!\Who tipped them off?!\Go! Go! Go! response:	Make the slightest move and you're dead.
context: Got it.\Goodnight, Kei.\Night, Tilarna.\This is the police! Open up!\Shit! It's the cops!\Who tipped them off?!\Go! Go! Go!\Make the slightest move and you're dead. response:	Got it.
context: Goodnight, Kei.\Night, Tilarna.\This is the police! Open up!\Shit! It's the cops!\Who tipped them off?!\Go! Go! Go!\Make the slightest move and you're dead.\Got it. response:	Matoba! Exedilica! Get over here!
context: Night, Tilarna.\This is the police! Open up!\Shit! It's the cops!\Who tipped them off?!\Go! Go! Go!\Make the slightest move and you're dead.\Got it.\Matoba! Exedilica! Get over here! response:	Now!
context: This is the police! Open up!\Shit! It's the cops!\Who tipped them off?!\Go! Go! Go!\Make the slightest move and you're dead.\Got it.\Matoba! Exedilica! Get over here!\Now! response:	Chief Zimmer, is there a problem-
context: Shit! It's the cops!\Who tipped them off?!\Go! Go! Go!\Make the slightest move and you're dead.\Got it.\Matoba! Exedilica! Get over here!\Now!\Chief Zimmer, is there a problem- response:	Matoba, they tell me you chopped off one of the gang member's arms.
context: Who tipped them off?!\Go! Go! Go!\Make the slightest move and you're dead.\Got it.\Matoba! Exedilica! Get over here!\Now!\Chief Zimmer, is there a problem-\Matoba, they tell me you chopped off one of the gang member's arms. response:	It wasn't me! It was her-
context: Go! Go! Go!\Make the slightest move and you're dead.\Got it.\Matoba! Exedilica! Get over here!\Now!\Chief Zimmer, is there a problem-\Matoba, they tell me you chopped off one of the gang member's arms.\It wasn't me! It was her- response:	Quiet! I don't care who it was.
context: Make the slightest move and you're dead.\Got it.\Matoba! Exedilica! Get over here!\Now!\Chief Zimmer, is there a problem-\Matoba, they tell me you chopped off one of the gang member's arms.\It wasn't me! It was her-\Quiet! I don't care who it was. response:	You two are a pair.
context: Got it.\Matoba! Exedilica! Get over here!\Now!\Chief Zimmer, is there a problem-\Matoba, they tell me you chopped off one of the gang member's arms.\It wasn't me! It was her-\Quiet! I don't care who it was.\You two are a pair. response:	If that alien there rapes a 100-year-old man...
context: Matoba! Exedilica! Get over here!\Now!\Chief Zimmer, is there a problem-\Matoba, they tell me you chopped off one of the gang member's arms.\It wasn't me! It was her-\Quiet! I don't care who it was.\You two are a pair.\If that alien there rapes a 100-year-old man... response:	I'd be calling you a pervert for the rest of your life!
context: Now!\Chief Zimmer, is there a problem-\Matoba, they tell me you chopped off one of the gang member's arms.\It wasn't me! It was her-\Quiet! I don't care who it was.\You two are a pair.\If that alien there rapes a 100-year-old man...\I'd be calling you a pervert for the rest of your life! response:	-That's not- -Don't worry.
context: Chief Zimmer, is there a problem-\Matoba, they tell me you chopped off one of the gang member's arms.\It wasn't me! It was her-\Quiet! I don't care who it was.\You two are a pair.\If that alien there rapes a 100-year-old man...\I'd be calling you a pervert for the rest of your life!\-That's not- -Don't worry. response:	I'm a fair boss.
context: Matoba, they tell me you chopped off one of the gang member's arms.\It wasn't me! It was her-\Quiet! I don't care who it was.\You two are a pair.\If that alien there rapes a 100-year-old man...\I'd be calling you a pervert for the rest of your life!\-That's not- -Don't worry.\I'm a fair boss. response:	So if your shit spills out of the toilet bowl,
context: It wasn't me! It was her-\Quiet! I don't care who it was.\You two are a pair.\If that alien there rapes a 100-year-old man...\I'd be calling you a pervert for the rest of your life!\-That's not- -Don't worry.\I'm a fair boss.\So if your shit spills out of the toilet bowl, response:	I'll make the alien there clean it up with her tongue!
context: Quiet! I don't care who it was.\You two are a pair.\If that alien there rapes a 100-year-old man...\I'd be calling you a pervert for the rest of your life!\-That's not- -Don't worry.\I'm a fair boss.\So if your shit spills out of the toilet bowl,\I'll make the alien there clean it up with her tongue! response:	We clear?
