context: Blooming wildflower response:	I beg you, please tell me
context: With your leaves unable to speak\How do you convey love?\Summer's sun clouded over, the wind streamed by\The two overlapped\I shall sing the proof that you lived\For the sake of those who have no names\I'm in charge of key animation for the Guilty Crown: Lost Christmas PC game. Chuo Higashiguchi\Danger response:	Danger
context: How do you convey love?\Summer's sun clouded over, the wind streamed by\The two overlapped\I shall sing the proof that you lived\For the sake of those who have no names\I'm in charge of key animation for the Guilty Crown: Lost Christmas PC game. Chuo Higashiguchi\Danger\Danger response:	Was a biological Weapon Used!?
context: Summer's sun clouded over, the wind streamed by\The two overlapped\I shall sing the proof that you lived\For the sake of those who have no names\I'm in charge of key animation for the Guilty Crown: Lost Christmas PC game. Chuo Higashiguchi\Danger\Danger\Was a biological Weapon Used!? response:	Anarchy Reigns
context: The two overlapped\I shall sing the proof that you lived\For the sake of those who have no names\I'm in charge of key animation for the Guilty Crown: Lost Christmas PC game. Chuo Higashiguchi\Danger\Danger\Was a biological Weapon Used!?\Anarchy Reigns response:	I'm in charge of key animation for the Guilty Crown: Lost Christmas PC game. Chuo Higashiguchi
context: I shall sing the proof that you lived\For the sake of those who have no names\I'm in charge of key animation for the Guilty Crown: Lost Christmas PC game. Chuo Higashiguchi\Danger\Danger\Was a biological Weapon Used!?\Anarchy Reigns\I'm in charge of key animation for the Guilty Crown: Lost Christmas PC game. Chuo Higashiguchi response:	Have you secured the key?
context: For the sake of those who have no names\I'm in charge of key animation for the Guilty Crown: Lost Christmas PC game. Chuo Higashiguchi\Danger\Danger\Was a biological Weapon Used!?\Anarchy Reigns\I'm in charge of key animation for the Guilty Crown: Lost Christmas PC game. Chuo Higashiguchi\Have you secured the key? response:	Yeah.
context: I'm in charge of key animation for the Guilty Crown: Lost Christmas PC game. Chuo Higashiguchi\Danger\Danger\Was a biological Weapon Used!?\Anarchy Reigns\I'm in charge of key animation for the Guilty Crown: Lost Christmas PC game. Chuo Higashiguchi\Have you secured the key?\Yeah. response:	Good work. I'll guide you out.
context: Danger\Danger\Was a biological Weapon Used!?\Anarchy Reigns\I'm in charge of key animation for the Guilty Crown: Lost Christmas PC game. Chuo Higashiguchi\Have you secured the key?\Yeah.\Good work. I'll guide you out. response:	We'll meet up in thirty seconds.
context: Danger\Was a biological Weapon Used!?\Anarchy Reigns\I'm in charge of key animation for the Guilty Crown: Lost Christmas PC game. Chuo Higashiguchi\Have you secured the key?\Yeah.\Good work. I'll guide you out.\We'll meet up in thirty seconds. response:	Please, Funell. Get this to Gai.
context: Was a biological Weapon Used!?\Anarchy Reigns\I'm in charge of key animation for the Guilty Crown: Lost Christmas PC game. Chuo Higashiguchi\Have you secured the key?\Yeah.\Good work. I'll guide you out.\We'll meet up in thirty seconds.\Please, Funell. Get this to Gai. response:	I'll cover you
context: Anarchy Reigns\I'm in charge of key animation for the Guilty Crown: Lost Christmas PC game. Chuo Higashiguchi\Have you secured the key?\Yeah.\Good work. I'll guide you out.\We'll meet up in thirty seconds.\Please, Funell. Get this to Gai.\I'll cover you response:	Now get that to Gai, quick!
context: I'm in charge of key animation for the Guilty Crown: Lost Christmas PC game. Chuo Higashiguchi\Have you secured the key?\Yeah.\Good work. I'll guide you out.\We'll meet up in thirty seconds.\Please, Funell. Get this to Gai.\I'll cover you\Now get that to Gai, quick! response:	Funell...
context: Have you secured the key?\Yeah.\Good work. I'll guide you out.\We'll meet up in thirty seconds.\Please, Funell. Get this to Gai.\I'll cover you\Now get that to Gai, quick!\Funell... response:	Oh, crap!
context: Yeah.\Good work. I'll guide you out.\We'll meet up in thirty seconds.\Please, Funell. Get this to Gai.\I'll cover you\Now get that to Gai, quick!\Funell...\Oh, crap! response:	Morning, Shu!
context: Good work. I'll guide you out.\We'll meet up in thirty seconds.\Please, Funell. Get this to Gai.\I'll cover you\Now get that to Gai, quick!\Funell...\Oh, crap!\Morning, Shu! response:	What's the huge yawn for?
context: We'll meet up in thirty seconds.\Please, Funell. Get this to Gai.\I'll cover you\Now get that to Gai, quick!\Funell...\Oh, crap!\Morning, Shu!\What's the huge yawn for? response:	Well...
context: Please, Funell. Get this to Gai.\I'll cover you\Now get that to Gai, quick!\Funell...\Oh, crap!\Morning, Shu!\What's the huge yawn for?\Well... response:	Were you surfing the net or something?
context: I'll cover you\Now get that to Gai, quick!\Funell...\Oh, crap!\Morning, Shu!\What's the huge yawn for?\Well...\Were you surfing the net or something? response:	Or playing a game?
context: Now get that to Gai, quick!\Funell...\Oh, crap!\Morning, Shu!\What's the huge yawn for?\Well...\Were you surfing the net or something?\Or playing a game? response:	Reading?
context: Funell...\Oh, crap!\Morning, Shu!\What's the huge yawn for?\Well...\Were you surfing the net or something?\Or playing a game?\Reading? response:	Something like that, I guess...
context: Oh, crap!\Morning, Shu!\What's the huge yawn for?\Well...\Were you surfing the net or something?\Or playing a game?\Reading?\Something like that, I guess... response:	Huh. Fine, then.
context: Morning, Shu!\What's the huge yawn for?\Well...\Were you surfing the net or something?\Or playing a game?\Reading?\Something like that, I guess...\Huh. Fine, then. response:	Lots of them out today, huh?
context: What's the huge yawn for?\Well...\Were you surfing the net or something?\Or playing a game?\Reading?\Something like that, I guess...\Huh. Fine, then.\Lots of them out today, huh? response:	Didn't you see the news?
context: Well...\Were you surfing the net or something?\Or playing a game?\Reading?\Something like that, I guess...\Huh. Fine, then.\Lots of them out today, huh?\Didn't you see the news? response:	Apparently there was some terrorist attack or something yesterday.
context: Were you surfing the net or something?\Or playing a game?\Reading?\Something like that, I guess...\Huh. Fine, then.\Lots of them out today, huh?\Didn't you see the news?\Apparently there was some terrorist attack or something yesterday. response:	In Odaiba... no, I guess it's called Ward 24 now.
context: Or playing a game?\Reading?\Something like that, I guess...\Huh. Fine, then.\Lots of them out today, huh?\Didn't you see the news?\Apparently there was some terrorist attack or something yesterday.\In Odaiba... no, I guess it's called Ward 24 now. response:	Hey, Shu!
context: Reading?\Something like that, I guess...\Huh. Fine, then.\Lots of them out today, huh?\Didn't you see the news?\Apparently there was some terrorist attack or something yesterday.\In Odaiba... no, I guess it's called Ward 24 now.\Hey, Shu! response:	Oh, sorry, I'm not done with that video for the competition yet.
context: Something like that, I guess...\Huh. Fine, then.\Lots of them out today, huh?\Didn't you see the news?\Apparently there was some terrorist attack or something yesterday.\In Odaiba... no, I guess it's called Ward 24 now.\Hey, Shu!\Oh, sorry, I'm not done with that video for the competition yet. response:	I didn't come to harp on you about it...
context: Huh. Fine, then.\Lots of them out today, huh?\Didn't you see the news?\Apparently there was some terrorist attack or something yesterday.\In Odaiba... no, I guess it's called Ward 24 now.\Hey, Shu!\Oh, sorry, I'm not done with that video for the competition yet.\I didn't come to harp on you about it... response:	What did you want, then?
context: Lots of them out today, huh?\Didn't you see the news?\Apparently there was some terrorist attack or something yesterday.\In Odaiba... no, I guess it's called Ward 24 now.\Hey, Shu!\Oh, sorry, I'm not done with that video for the competition yet.\I didn't come to harp on you about it...\What did you want, then? response:	I'll get it done by the deadline, don't worry.
context: Didn't you see the news?\Apparently there was some terrorist attack or something yesterday.\In Odaiba... no, I guess it's called Ward 24 now.\Hey, Shu!\Oh, sorry, I'm not done with that video for the competition yet.\I didn't come to harp on you about it...\What did you want, then?\I'll get it done by the deadline, don't worry. response:	Now look, Shu, I
context: Apparently there was some terrorist attack or something yesterday.\In Odaiba... no, I guess it's called Ward 24 now.\Hey, Shu!\Oh, sorry, I'm not done with that video for the competition yet.\I didn't come to harp on you about it...\What did you want, then?\I'll get it done by the deadline, don't worry.\Now look, Shu, I response:	Let it go, Souta.
context: In Odaiba... no, I guess it's called Ward 24 now.\Hey, Shu!\Oh, sorry, I'm not done with that video for the competition yet.\I didn't come to harp on you about it...\What did you want, then?\I'll get it done by the deadline, don't worry.\Now look, Shu, I\Let it go, Souta. response:	He says he can do it, after all.
context: Hey, Shu!\Oh, sorry, I'm not done with that video for the competition yet.\I didn't come to harp on you about it...\What did you want, then?\I'll get it done by the deadline, don't worry.\Now look, Shu, I\Let it go, Souta.\He says he can do it, after all. response:	Okay, we're counting on you!
context: Oh, sorry, I'm not done with that video for the competition yet.\I didn't come to harp on you about it...\What did you want, then?\I'll get it done by the deadline, don't worry.\Now look, Shu, I\Let it go, Souta.\He says he can do it, after all.\Okay, we're counting on you! response:	I feel bad for Souta.
context: I didn't come to harp on you about it...\What did you want, then?\I'll get it done by the deadline, don't worry.\Now look, Shu, I\Let it go, Souta.\He says he can do it, after all.\Okay, we're counting on you!\I feel bad for Souta. response:	Why? I think I'm trying hard to be socially perceptive here.
context: What did you want, then?\I'll get it done by the deadline, don't worry.\Now look, Shu, I\Let it go, Souta.\He says he can do it, after all.\Okay, we're counting on you!\I feel bad for Souta.\Why? I think I'm trying hard to be socially perceptive here. response:	You're not succeeding.
context: I'll get it done by the deadline, don't worry.\Now look, Shu, I\Let it go, Souta.\He says he can do it, after all.\Okay, we're counting on you!\I feel bad for Souta.\Why? I think I'm trying hard to be socially perceptive here.\You're not succeeding. response:	Oh...
context: Now look, Shu, I\Let it go, Souta.\He says he can do it, after all.\Okay, we're counting on you!\I feel bad for Souta.\Why? I think I'm trying hard to be socially perceptive here.\You're not succeeding.\Oh... response:	You're way too dense.
context: Let it go, Souta.\He says he can do it, after all.\Okay, we're counting on you!\I feel bad for Souta.\Why? I think I'm trying hard to be socially perceptive here.\You're not succeeding.\Oh...\You're way too dense. response:	Rise!
context: He says he can do it, after all.\Okay, we're counting on you!\I feel bad for Souta.\Why? I think I'm trying hard to be socially perceptive here.\You're not succeeding.\Oh...\You're way too dense.\Rise! response:	I'm dense?
context: Okay, we're counting on you!\I feel bad for Souta.\Why? I think I'm trying hard to be socially perceptive here.\You're not succeeding.\Oh...\You're way too dense.\Rise!\I'm dense? response:	Maybe it's true that my mind works out of step with everyone else's.
context: I feel bad for Souta.\Why? I think I'm trying hard to be socially perceptive here.\You're not succeeding.\Oh...\You're way too dense.\Rise!\I'm dense?\Maybe it's true that my mind works out of step with everyone else's. response:	It's just that I don't know what to say to other people.
context: Why? I think I'm trying hard to be socially perceptive here.\You're not succeeding.\Oh...\You're way too dense.\Rise!\I'm dense?\Maybe it's true that my mind works out of step with everyone else's.\It's just that I don't know what to say to other people. response:	So I hide my nervousness and go along with what they say.
context: You're not succeeding.\Oh...\You're way too dense.\Rise!\I'm dense?\Maybe it's true that my mind works out of step with everyone else's.\It's just that I don't know what to say to other people.\So I hide my nervousness and go along with what they say. response:	that's how I've made the quasi-friendships in my life.
context: Oh...\You're way too dense.\Rise!\I'm dense?\Maybe it's true that my mind works out of step with everyone else's.\It's just that I don't know what to say to other people.\So I hide my nervousness and go along with what they say.\that's how I've made the quasi-friendships in my life. response:	Right now, Japan operates as a quasi-independent nation.
context: You're way too dense.\Rise!\I'm dense?\Maybe it's true that my mind works out of step with everyone else's.\It's just that I don't know what to say to other people.\So I hide my nervousness and go along with what they say.\that's how I've made the quasi-friendships in my life.\Right now, Japan operates as a quasi-independent nation. response:	That's what my mom says.
context: Rise!\I'm dense?\Maybe it's true that my mind works out of step with everyone else's.\It's just that I don't know what to say to other people.\So I hide my nervousness and go along with what they say.\that's how I've made the quasi-friendships in my life.\Right now, Japan operates as a quasi-independent nation.\That's what my mom says. response:	Ten years ago, the Apocalypse Virus pandemic wreaked havoc on this country,
context: I'm dense?\Maybe it's true that my mind works out of step with everyone else's.\It's just that I don't know what to say to other people.\So I hide my nervousness and go along with what they say.\that's how I've made the quasi-friendships in my life.\Right now, Japan operates as a quasi-independent nation.\That's what my mom says.\Ten years ago, the Apocalypse Virus pandemic wreaked havoc on this country, response:	and we relied on an unbelievable amount of help from many other countries.
context: Maybe it's true that my mind works out of step with everyone else's.\It's just that I don't know what to say to other people.\So I hide my nervousness and go along with what they say.\that's how I've made the quasi-friendships in my life.\Right now, Japan operates as a quasi-independent nation.\That's what my mom says.\Ten years ago, the Apocalypse Virus pandemic wreaked havoc on this country,\and we relied on an unbelievable amount of help from many other countries. response:	And we're still dependent on them even now.
context: It's just that I don't know what to say to other people.\So I hide my nervousness and go along with what they say.\that's how I've made the quasi-friendships in my life.\Right now, Japan operates as a quasi-independent nation.\That's what my mom says.\Ten years ago, the Apocalypse Virus pandemic wreaked havoc on this country,\and we relied on an unbelievable amount of help from many other countries.\And we're still dependent on them even now. response:	Japan's foundations are just barely holding together.
context: So I hide my nervousness and go along with what they say.\that's how I've made the quasi-friendships in my life.\Right now, Japan operates as a quasi-independent nation.\That's what my mom says.\Ten years ago, the Apocalypse Virus pandemic wreaked havoc on this country,\and we relied on an unbelievable amount of help from many other countries.\And we're still dependent on them even now.\Japan's foundations are just barely holding together. response:	We hear it every day...
context: that's how I've made the quasi-friendships in my life.\Right now, Japan operates as a quasi-independent nation.\That's what my mom says.\Ten years ago, the Apocalypse Virus pandemic wreaked havoc on this country,\and we relied on an unbelievable amount of help from many other countries.\And we're still dependent on them even now.\Japan's foundations are just barely holding together.\We hear it every day... response:	We can't leave this to you.
context: Right now, Japan operates as a quasi-independent nation.\That's what my mom says.\Ten years ago, the Apocalypse Virus pandemic wreaked havoc on this country,\and we relied on an unbelievable amount of help from many other countries.\And we're still dependent on them even now.\Japan's foundations are just barely holding together.\We hear it every day...\We can't leave this to you. response:	You don't have the power to protect the people who are important to you.
context: That's what my mom says.\Ten years ago, the Apocalypse Virus pandemic wreaked havoc on this country,\and we relied on an unbelievable amount of help from many other countries.\And we're still dependent on them even now.\Japan's foundations are just barely holding together.\We hear it every day...\We can't leave this to you.\You don't have the power to protect the people who are important to you. response:	But... should we really just accept that?
context: Ten years ago, the Apocalypse Virus pandemic wreaked havoc on this country,\and we relied on an unbelievable amount of help from many other countries.\And we're still dependent on them even now.\Japan's foundations are just barely holding together.\We hear it every day...\We can't leave this to you.\You don't have the power to protect the people who are important to you.\But... should we really just accept that? response:	Isn't there something more that I can do?
context: and we relied on an unbelievable amount of help from many other countries.\And we're still dependent on them even now.\Japan's foundations are just barely holding together.\We hear it every day...\We can't leave this to you.\You don't have the power to protect the people who are important to you.\But... should we really just accept that?\Isn't there something more that I can do? response:	Blooming wildflower...
context: And we're still dependent on them even now.\Japan's foundations are just barely holding together.\We hear it every day...\We can't leave this to you.\You don't have the power to protect the people who are important to you.\But... should we really just accept that?\Isn't there something more that I can do?\Blooming wildflower... response:	I beg you, please tell me,
context: Japan's foundations are just barely holding together.\We hear it every day...\We can't leave this to you.\You don't have the power to protect the people who are important to you.\But... should we really just accept that?\Isn't there something more that I can do?\Blooming wildflower...\I beg you, please tell me, response:	Why do people fight and hurt each other?
context: We hear it every day...\We can't leave this to you.\You don't have the power to protect the people who are important to you.\But... should we really just accept that?\Isn't there something more that I can do?\Blooming wildflower...\I beg you, please tell me,\Why do people fight and hurt each other? response:	Valiantly blooming flower...
context: We can't leave this to you.\You don't have the power to protect the people who are important to you.\But... should we really just accept that?\Isn't there something more that I can do?\Blooming wildflower...\I beg you, please tell me,\Why do people fight and hurt each other?\Valiantly blooming flower... response:	Wha
context: You don't have the power to protect the people who are important to you.\But... should we really just accept that?\Isn't there something more that I can do?\Blooming wildflower...\I beg you, please tell me,\Why do people fight and hurt each other?\Valiantly blooming flower...\Wha response:	Um, you've got the wrong idea!
context: But... should we really just accept that?\Isn't there something more that I can do?\Blooming wildflower...\I beg you, please tell me,\Why do people fight and hurt each other?\Valiantly blooming flower...\Wha\Um, you've got the wrong idea! response:	I totally didn't want to
context: Isn't there something more that I can do?\Blooming wildflower...\I beg you, please tell me,\Why do people fight and hurt each other?\Valiantly blooming flower...\Wha\Um, you've got the wrong idea!\I totally didn't want to response:	Hey, are you
context: Blooming wildflower...\I beg you, please tell me,\Why do people fight and hurt each other?\Valiantly blooming flower...\Wha\Um, you've got the wrong idea!\I totally didn't want to\Hey, are you response:	It... it's not done yet!
context: I beg you, please tell me,\Why do people fight and hurt each other?\Valiantly blooming flower...\Wha\Um, you've got the wrong idea!\I totally didn't want to\Hey, are you\It... it's not done yet! response:	It's a view of my hometown, and
context: Why do people fight and hurt each other?\Valiantly blooming flower...\Wha\Um, you've got the wrong idea!\I totally didn't want to\Hey, are you\It... it's not done yet!\It's a view of my hometown, and response:	It's pretty.
context: Valiantly blooming flower...\Wha\Um, you've got the wrong idea!\I totally didn't want to\Hey, are you\It... it's not done yet!\It's a view of my hometown, and\It's pretty. response:	Huh?
context: Wha\Um, you've got the wrong idea!\I totally didn't want to\Hey, are you\It... it's not done yet!\It's a view of my hometown, and\It's pretty.\Huh? response:	Um, would you like a rice ball?
context: Um, you've got the wrong idea!\I totally didn't want to\Hey, are you\It... it's not done yet!\It's a view of my hometown, and\It's pretty.\Huh?\Um, would you like a rice ball? response:	London Bridge is falling down, falling down, falling down.
context: I totally didn't want to\Hey, are you\It... it's not done yet!\It's a view of my hometown, and\It's pretty.\Huh?\Um, would you like a rice ball?\London Bridge is falling down, falling down, falling down. response:	Um, you're Inori, aren't you?
context: Hey, are you\It... it's not done yet!\It's a view of my hometown, and\It's pretty.\Huh?\Um, would you like a rice ball?\London Bridge is falling down, falling down, falling down.\Um, you're Inori, aren't you? response:	London Bridge is falling down, my fair lady.
context: It... it's not done yet!\It's a view of my hometown, and\It's pretty.\Huh?\Um, would you like a rice ball?\London Bridge is falling down, falling down, falling down.\Um, you're Inori, aren't you?\London Bridge is falling down, my fair lady. response:	The Egoist singer?
context: It's a view of my hometown, and\It's pretty.\Huh?\Um, would you like a rice ball?\London Bridge is falling down, falling down, falling down.\Um, you're Inori, aren't you?\London Bridge is falling down, my fair lady.\The Egoist singer? response:	London Bridge is falling down, falling down, falling down.
context: It's pretty.\Huh?\Um, would you like a rice ball?\London Bridge is falling down, falling down, falling down.\Um, you're Inori, aren't you?\London Bridge is falling down, my fair lady.\The Egoist singer?\London Bridge is falling down, falling down, falling down. response:	So, what are you doing here?
context: Huh?\Um, would you like a rice ball?\London Bridge is falling down, falling down, falling down.\Um, you're Inori, aren't you?\London Bridge is falling down, my fair lady.\The Egoist singer?\London Bridge is falling down, falling down, falling down.\So, what are you doing here? response:	No, more importantly, why are you so hurt?
context: Um, would you like a rice ball?\London Bridge is falling down, falling down, falling down.\Um, you're Inori, aren't you?\London Bridge is falling down, my fair lady.\The Egoist singer?\London Bridge is falling down, falling down, falling down.\So, what are you doing here?\No, more importantly, why are you so hurt? response:	We have to get this to Gai.
context: London Bridge is falling down, falling down, falling down.\Um, you're Inori, aren't you?\London Bridge is falling down, my fair lady.\The Egoist singer?\London Bridge is falling down, falling down, falling down.\So, what are you doing here?\No, more importantly, why are you so hurt?\We have to get this to Gai. response:	Take this.
context: Um, you're Inori, aren't you?\London Bridge is falling down, my fair lady.\The Egoist singer?\London Bridge is falling down, falling down, falling down.\So, what are you doing here?\No, more importantly, why are you so hurt?\We have to get this to Gai.\Take this. response:	Take this, um...
context: London Bridge is falling down, my fair lady.\The Egoist singer?\London Bridge is falling down, falling down, falling down.\So, what are you doing here?\No, more importantly, why are you so hurt?\We have to get this to Gai.\Take this.\Take this, um... response:	Shu! Ouma Shu!
context: The Egoist singer?\London Bridge is falling down, falling down, falling down.\So, what are you doing here?\No, more importantly, why are you so hurt?\We have to get this to Gai.\Take this.\Take this, um...\Shu! Ouma Shu! response:	You might be able to do it if you try.
context: London Bridge is falling down, falling down, falling down.\So, what are you doing here?\No, more importantly, why are you so hurt?\We have to get this to Gai.\Take this.\Take this, um...\Shu! Ouma Shu!\You might be able to do it if you try. response:	But you'll never be able to if you don't.
context: So, what are you doing here?\No, more importantly, why are you so hurt?\We have to get this to Gai.\Take this.\Take this, um...\Shu! Ouma Shu!\You might be able to do it if you try.\But you'll never be able to if you don't. response:	Ouma Shu... are you a coward?
context: No, more importantly, why are you so hurt?\We have to get this to Gai.\Take this.\Take this, um...\Shu! Ouma Shu!\You might be able to do it if you try.\But you'll never be able to if you don't.\Ouma Shu... are you a coward? response:	Huh?
context: We have to get this to Gai.\Take this.\Take this, um...\Shu! Ouma Shu!\You might be able to do it if you try.\But you'll never be able to if you don't.\Ouma Shu... are you a coward?\Huh? response:	What was that?
context: Take this.\Take this, um...\Shu! Ouma Shu!\You might be able to do it if you try.\But you'll never be able to if you don't.\Ouma Shu... are you a coward?\Huh?\What was that? response:	Funell.
context: Take this, um...\Shu! Ouma Shu!\You might be able to do it if you try.\But you'll never be able to if you don't.\Ouma Shu... are you a coward?\Huh?\What was that?\Funell. response:	Inori!
context: Shu! Ouma Shu!\You might be able to do it if you try.\But you'll never be able to if you don't.\Ouma Shu... are you a coward?\Huh?\What was that?\Funell.\Inori! response:	Woah there.
context: You might be able to do it if you try.\But you'll never be able to if you don't.\Ouma Shu... are you a coward?\Huh?\What was that?\Funell.\Inori!\Woah there. response:	You a student?
context: But you'll never be able to if you don't.\Ouma Shu... are you a coward?\Huh?\What was that?\Funell.\Inori!\Woah there.\You a student? response:	Y-Yes, Sir!
context: Ouma Shu... are you a coward?\Huh?\What was that?\Funell.\Inori!\Woah there.\You a student?\Y-Yes, Sir! response:	Um, that girl is hurt. Please don't treat her
context: Huh?\What was that?\Funell.\Inori!\Woah there.\You a student?\Y-Yes, Sir!\Um, that girl is hurt. Please don't treat her response:	This woman is a criminal.
context: What was that?\Funell.\Inori!\Woah there.\You a student?\Y-Yes, Sir!\Um, that girl is hurt. Please don't treat her\This woman is a criminal. response:	If you defend her, we'll purge you too, as her accomplice.
context: Funell.\Inori!\Woah there.\You a student?\Y-Yes, Sir!\Um, that girl is hurt. Please don't treat her\This woman is a criminal.\If you defend her, we'll purge you too, as her accomplice. response:	What does the data check show?
context: Inori!\Woah there.\You a student?\Y-Yes, Sir!\Um, that girl is hurt. Please don't treat her\This woman is a criminal.\If you defend her, we'll purge you too, as her accomplice.\What does the data check show? response:	She's definitely a member of the Funeral Parlor in Rappongi.
context: Woah there.\You a student?\Y-Yes, Sir!\Um, that girl is hurt. Please don't treat her\This woman is a criminal.\If you defend her, we'll purge you too, as her accomplice.\What does the data check show?\She's definitely a member of the Funeral Parlor in Rappongi. response:	Little terrorist scum!
context: You a student?\Y-Yes, Sir!\Um, that girl is hurt. Please don't treat her\This woman is a criminal.\If you defend her, we'll purge you too, as her accomplice.\What does the data check show?\She's definitely a member of the Funeral Parlor in Rappongi.\Little terrorist scum! response:	Bring her in.
context: Y-Yes, Sir!\Um, that girl is hurt. Please don't treat her\This woman is a criminal.\If you defend her, we'll purge you too, as her accomplice.\What does the data check show?\She's definitely a member of the Funeral Parlor in Rappongi.\Little terrorist scum!\Bring her in. response:	Yes, Sir!
context: Um, that girl is hurt. Please don't treat her\This woman is a criminal.\If you defend her, we'll purge you too, as her accomplice.\What does the data check show?\She's definitely a member of the Funeral Parlor in Rappongi.\Little terrorist scum!\Bring her in.\Yes, Sir! response:	Should I really just accept this?
context: This woman is a criminal.\If you defend her, we'll purge you too, as her accomplice.\What does the data check show?\She's definitely a member of the Funeral Parlor in Rappongi.\Little terrorist scum!\Bring her in.\Yes, Sir!\Should I really just accept this? response:	Should I really just accept this?
context: If you defend her, we'll purge you too, as her accomplice.\What does the data check show?\She's definitely a member of the Funeral Parlor in Rappongi.\Little terrorist scum!\Bring her in.\Yes, Sir!\Should I really just accept this?\Should I really just accept this? response:	I felt... a little relieved, because I wasn't in danger anymore.
context: What does the data check show?\She's definitely a member of the Funeral Parlor in Rappongi.\Little terrorist scum!\Bring her in.\Yes, Sir!\Should I really just accept this?\Should I really just accept this?\I felt... a little relieved, because I wasn't in danger anymore. response:	That's how pathetic I am.
context: She's definitely a member of the Funeral Parlor in Rappongi.\Little terrorist scum!\Bring her in.\Yes, Sir!\Should I really just accept this?\Should I really just accept this?\I felt... a little relieved, because I wasn't in danger anymore.\That's how pathetic I am. response:	When you get right down to it, she was way out of my league.
context: Little terrorist scum!\Bring her in.\Yes, Sir!\Should I really just accept this?\Should I really just accept this?\I felt... a little relieved, because I wasn't in danger anymore.\That's how pathetic I am.\When you get right down to it, she was way out of my league. response:	Take this.
context: Bring her in.\Yes, Sir!\Should I really just accept this?\Should I really just accept this?\I felt... a little relieved, because I wasn't in danger anymore.\That's how pathetic I am.\When you get right down to it, she was way out of my league.\Take this. response:	I wanted to take it.
context: Yes, Sir!\Should I really just accept this?\Should I really just accept this?\I felt... a little relieved, because I wasn't in danger anymore.\That's how pathetic I am.\When you get right down to it, she was way out of my league.\Take this.\I wanted to take it. response:	I wanted to get close to her, and touch her hand!
context: Should I really just accept this?\Should I really just accept this?\I felt... a little relieved, because I wasn't in danger anymore.\That's how pathetic I am.\When you get right down to it, she was way out of my league.\Take this.\I wanted to take it.\I wanted to get close to her, and touch her hand! response:	Forget about it, Shu. Rest a while, and you'll be fine.
