context: So, you are the Black King and his subjects. response:	You said you would destroy the humans. You boasted so boldly.
context: We shall tear you into rags to match your robe.\Stop!\Will you follow us, or will you die with them?\You may no longer stand on the fence, Bronze.\Respond to me, Bronze!\Cease! Stop! Stop it!\All right, the alliance...\I will join your alliance. response:	You have now become one who is scorned rather than one who is feared.
context: Stop!\Will you follow us, or will you die with them?\You may no longer stand on the fence, Bronze.\Respond to me, Bronze!\Cease! Stop! Stop it!\All right, the alliance...\I will join your alliance.\You have now become one who is scorned rather than one who is feared. response:	Hence, you have the right to join my alliance.
context: Will you follow us, or will you die with them?\You may no longer stand on the fence, Bronze.\Respond to me, Bronze!\Cease! Stop! Stop it!\All right, the alliance...\I will join your alliance.\You have now become one who is scorned rather than one who is feared.\Hence, you have the right to join my alliance. response:	Such dreadful power.
context: You may no longer stand on the fence, Bronze.\Respond to me, Bronze!\Cease! Stop! Stop it!\All right, the alliance...\I will join your alliance.\You have now become one who is scorned rather than one who is feared.\Hence, you have the right to join my alliance.\Such dreadful power. response:	That is high praise coming from a quiet man like you, Hijikata.
context: Respond to me, Bronze!\Cease! Stop! Stop it!\All right, the alliance...\I will join your alliance.\You have now become one who is scorned rather than one who is feared.\Hence, you have the right to join my alliance.\Such dreadful power.\That is high praise coming from a quiet man like you, Hijikata. response:	The power of our Black Lord is the replication of life.
context: Cease! Stop! Stop it!\All right, the alliance...\I will join your alliance.\You have now become one who is scorned rather than one who is feared.\Hence, you have the right to join my alliance.\Such dreadful power.\That is high praise coming from a quiet man like you, Hijikata.\The power of our Black Lord is the replication of life. response:	His healing power is one derivation of it.
context: All right, the alliance...\I will join your alliance.\You have now become one who is scorned rather than one who is feared.\Hence, you have the right to join my alliance.\Such dreadful power.\That is high praise coming from a quiet man like you, Hijikata.\The power of our Black Lord is the replication of life.\His healing power is one derivation of it. response:	However, uncontrolled reproduction could result in cancerous growth, leading to death.
context: I will join your alliance.\You have now become one who is scorned rather than one who is feared.\Hence, you have the right to join my alliance.\Such dreadful power.\That is high praise coming from a quiet man like you, Hijikata.\The power of our Black Lord is the replication of life.\His healing power is one derivation of it.\However, uncontrolled reproduction could result in cancerous growth, leading to death. response:	-B-Black Lord! -Black Lord!
context: You have now become one who is scorned rather than one who is feared.\Hence, you have the right to join my alliance.\Such dreadful power.\That is high praise coming from a quiet man like you, Hijikata.\The power of our Black Lord is the replication of life.\His healing power is one derivation of it.\However, uncontrolled reproduction could result in cancerous growth, leading to death.\-B-Black Lord! -Black Lord! response:	Black Lord!
context: Hence, you have the right to join my alliance.\Such dreadful power.\That is high praise coming from a quiet man like you, Hijikata.\The power of our Black Lord is the replication of life.\His healing power is one derivation of it.\However, uncontrolled reproduction could result in cancerous growth, leading to death.\-B-Black Lord! -Black Lord!\Black Lord! response:	You don't need to prostrate yourselves before me.
context: Such dreadful power.\That is high praise coming from a quiet man like you, Hijikata.\The power of our Black Lord is the replication of life.\His healing power is one derivation of it.\However, uncontrolled reproduction could result in cancerous growth, leading to death.\-B-Black Lord! -Black Lord!\Black Lord!\You don't need to prostrate yourselves before me. response:	Allow me some room to make use of my power.
context: That is high praise coming from a quiet man like you, Hijikata.\The power of our Black Lord is the replication of life.\His healing power is one derivation of it.\However, uncontrolled reproduction could result in cancerous growth, leading to death.\-B-Black Lord! -Black Lord!\Black Lord!\You don't need to prostrate yourselves before me.\Allow me some room to make use of my power. response:	He can replicate anything that is animate ad infinitum...
context: The power of our Black Lord is the replication of life.\His healing power is one derivation of it.\However, uncontrolled reproduction could result in cancerous growth, leading to death.\-B-Black Lord! -Black Lord!\Black Lord!\You don't need to prostrate yourselves before me.\Allow me some room to make use of my power.\He can replicate anything that is animate ad infinitum... response:	To those who stand against the Black King,
context: His healing power is one derivation of it.\However, uncontrolled reproduction could result in cancerous growth, leading to death.\-B-Black Lord! -Black Lord!\Black Lord!\You don't need to prostrate yourselves before me.\Allow me some room to make use of my power.\He can replicate anything that is animate ad infinitum...\To those who stand against the Black King, response:	recognizing him as the commander of the opposing force,
context: However, uncontrolled reproduction could result in cancerous growth, leading to death.\-B-Black Lord! -Black Lord!\Black Lord!\You don't need to prostrate yourselves before me.\Allow me some room to make use of my power.\He can replicate anything that is animate ad infinitum...\To those who stand against the Black King,\recognizing him as the commander of the opposing force, response:	his power must be nothing short of a nightmare.
context: -B-Black Lord! -Black Lord!\Black Lord!\You don't need to prostrate yourselves before me.\Allow me some room to make use of my power.\He can replicate anything that is animate ad infinitum...\To those who stand against the Black King,\recognizing him as the commander of the opposing force,\his power must be nothing short of a nightmare. response:	He can instantly cure those who are injured.
context: Black Lord!\You don't need to prostrate yourselves before me.\Allow me some room to make use of my power.\He can replicate anything that is animate ad infinitum...\To those who stand against the Black King,\recognizing him as the commander of the opposing force,\his power must be nothing short of a nightmare.\He can instantly cure those who are injured. response:	Even those who would be beyond recovery or facing death under normal circumstances
context: You don't need to prostrate yourselves before me.\Allow me some room to make use of my power.\He can replicate anything that is animate ad infinitum...\To those who stand against the Black King,\recognizing him as the commander of the opposing force,\his power must be nothing short of a nightmare.\He can instantly cure those who are injured.\Even those who would be beyond recovery or facing death under normal circumstances response:	could return to the front lines in no time.
context: Allow me some room to make use of my power.\He can replicate anything that is animate ad infinitum...\To those who stand against the Black King,\recognizing him as the commander of the opposing force,\his power must be nothing short of a nightmare.\He can instantly cure those who are injured.\Even those who would be beyond recovery or facing death under normal circumstances\could return to the front lines in no time. response:	He can create food and firewood infinitely.
context: He can replicate anything that is animate ad infinitum...\To those who stand against the Black King,\recognizing him as the commander of the opposing force,\his power must be nothing short of a nightmare.\He can instantly cure those who are injured.\Even those who would be beyond recovery or facing death under normal circumstances\could return to the front lines in no time.\He can create food and firewood infinitely. response:	The concept of logistics falls apart.
context: To those who stand against the Black King,\recognizing him as the commander of the opposing force,\his power must be nothing short of a nightmare.\He can instantly cure those who are injured.\Even those who would be beyond recovery or facing death under normal circumstances\could return to the front lines in no time.\He can create food and firewood infinitely.\The concept of logistics falls apart. response:	Then, why does he have them cultivate the earth?!
context: recognizing him as the commander of the opposing force,\his power must be nothing short of a nightmare.\He can instantly cure those who are injured.\Even those who would be beyond recovery or facing death under normal circumstances\could return to the front lines in no time.\He can create food and firewood infinitely.\The concept of logistics falls apart.\Then, why does he have them cultivate the earth?! response:	Why can't he just create food himself?!
context: his power must be nothing short of a nightmare.\He can instantly cure those who are injured.\Even those who would be beyond recovery or facing death under normal circumstances\could return to the front lines in no time.\He can create food and firewood infinitely.\The concept of logistics falls apart.\Then, why does he have them cultivate the earth?!\Why can't he just create food himself?! response:	That's because...
context: He can instantly cure those who are injured.\Even those who would be beyond recovery or facing death under normal circumstances\could return to the front lines in no time.\He can create food and firewood infinitely.\The concept of logistics falls apart.\Then, why does he have them cultivate the earth?!\Why can't he just create food himself?!\That's because... response:	Our Black Lord...
context: Even those who would be beyond recovery or facing death under normal circumstances\could return to the front lines in no time.\He can create food and firewood infinitely.\The concept of logistics falls apart.\Then, why does he have them cultivate the earth?!\Why can't he just create food himself?!\That's because...\Our Black Lord... response:	Rasputin, is it completed?
context: could return to the front lines in no time.\He can create food and firewood infinitely.\The concept of logistics falls apart.\Then, why does he have them cultivate the earth?!\Why can't he just create food himself?!\That's because...\Our Black Lord...\Rasputin, is it completed? response:	I was a professional, so...
context: He can create food and firewood infinitely.\The concept of logistics falls apart.\Then, why does he have them cultivate the earth?!\Why can't he just create food himself?!\That's because...\Our Black Lord...\Rasputin, is it completed?\I was a professional, so... response:	The system is extremely simple, but the simplicity should work better for them.
context: The concept of logistics falls apart.\Then, why does he have them cultivate the earth?!\Why can't he just create food himself?!\That's because...\Our Black Lord...\Rasputin, is it completed?\I was a professional, so...\The system is extremely simple, but the simplicity should work better for them. response:	I chose an eye for our symbol.
context: Then, why does he have them cultivate the earth?!\Why can't he just create food himself?!\That's because...\Our Black Lord...\Rasputin, is it completed?\I was a professional, so...\The system is extremely simple, but the simplicity should work better for them.\I chose an eye for our symbol. response:	Starting with the concept of fire worship, and mixing in other ideas
context: Why can't he just create food himself?!\That's because...\Our Black Lord...\Rasputin, is it completed?\I was a professional, so...\The system is extremely simple, but the simplicity should work better for them.\I chose an eye for our symbol.\Starting with the concept of fire worship, and mixing in other ideas response:	from Varuna, Egyptian and Celtic mythos.
context: That's because...\Our Black Lord...\Rasputin, is it completed?\I was a professional, so...\The system is extremely simple, but the simplicity should work better for them.\I chose an eye for our symbol.\Starting with the concept of fire worship, and mixing in other ideas\from Varuna, Egyptian and Celtic mythos. response:	I combined the best parts of these ideas to compose this system.
context: Our Black Lord...\Rasputin, is it completed?\I was a professional, so...\The system is extremely simple, but the simplicity should work better for them.\I chose an eye for our symbol.\Starting with the concept of fire worship, and mixing in other ideas\from Varuna, Egyptian and Celtic mythos.\I combined the best parts of these ideas to compose this system. response:	Also, these were...
context: Rasputin, is it completed?\I was a professional, so...\The system is extremely simple, but the simplicity should work better for them.\I chose an eye for our symbol.\Starting with the concept of fire worship, and mixing in other ideas\from Varuna, Egyptian and Celtic mythos.\I combined the best parts of these ideas to compose this system.\Also, these were... response:	Even so, it may take a long time to make them understand.
context: I was a professional, so...\The system is extremely simple, but the simplicity should work better for them.\I chose an eye for our symbol.\Starting with the concept of fire worship, and mixing in other ideas\from Varuna, Egyptian and Celtic mythos.\I combined the best parts of these ideas to compose this system.\Also, these were...\Even so, it may take a long time to make them understand. response:	What do you have planned?
context: The system is extremely simple, but the simplicity should work better for them.\I chose an eye for our symbol.\Starting with the concept of fire worship, and mixing in other ideas\from Varuna, Egyptian and Celtic mythos.\I combined the best parts of these ideas to compose this system.\Also, these were...\Even so, it may take a long time to make them understand.\What do you have planned? response:	We are a multi-racial community.
context: I chose an eye for our symbol.\Starting with the concept of fire worship, and mixing in other ideas\from Varuna, Egyptian and Celtic mythos.\I combined the best parts of these ideas to compose this system.\Also, these were...\Even so, it may take a long time to make them understand.\What do you have planned?\We are a multi-racial community. response:	Kobolds. Goblins. And we will become even more diverse in the future.
context: Starting with the concept of fire worship, and mixing in other ideas\from Varuna, Egyptian and Celtic mythos.\I combined the best parts of these ideas to compose this system.\Also, these were...\Even so, it may take a long time to make them understand.\What do you have planned?\We are a multi-racial community.\Kobolds. Goblins. And we will become even more diverse in the future. response:	We need to unite these races.
context: from Varuna, Egyptian and Celtic mythos.\I combined the best parts of these ideas to compose this system.\Also, these were...\Even so, it may take a long time to make them understand.\What do you have planned?\We are a multi-racial community.\Kobolds. Goblins. And we will become even more diverse in the future.\We need to unite these races. response:	We will create our own writing system, unify their religions, and educate them.
context: I combined the best parts of these ideas to compose this system.\Also, these were...\Even so, it may take a long time to make them understand.\What do you have planned?\We are a multi-racial community.\Kobolds. Goblins. And we will become even more diverse in the future.\We need to unite these races.\We will create our own writing system, unify their religions, and educate them. response:	Primitive agriculture, a new writing system, unified religion...
context: Also, these were...\Even so, it may take a long time to make them understand.\What do you have planned?\We are a multi-racial community.\Kobolds. Goblins. And we will become even more diverse in the future.\We need to unite these races.\We will create our own writing system, unify their religions, and educate them.\Primitive agriculture, a new writing system, unified religion... response:	They, who have been teased by being called monsters,
context: Even so, it may take a long time to make them understand.\What do you have planned?\We are a multi-racial community.\Kobolds. Goblins. And we will become even more diverse in the future.\We need to unite these races.\We will create our own writing system, unify their religions, and educate them.\Primitive agriculture, a new writing system, unified religion...\They, who have been teased by being called monsters, response:	will take the place of humans and forge their own civilization in this world.
context: What do you have planned?\We are a multi-racial community.\Kobolds. Goblins. And we will become even more diverse in the future.\We need to unite these races.\We will create our own writing system, unify their religions, and educate them.\Primitive agriculture, a new writing system, unified religion...\They, who have been teased by being called monsters,\will take the place of humans and forge their own civilization in this world. response:	Act 10 Baba Yatu
context: We are a multi-racial community.\Kobolds. Goblins. And we will become even more diverse in the future.\We need to unite these races.\We will create our own writing system, unify their religions, and educate them.\Primitive agriculture, a new writing system, unified religion...\They, who have been teased by being called monsters,\will take the place of humans and forge their own civilization in this world.\Act 10 Baba Yatu response:	We gather all the soil collected from villages, store it in the former administrative office first...
context: Kobolds. Goblins. And we will become even more diverse in the future.\We need to unite these races.\We will create our own writing system, unify their religions, and educate them.\Primitive agriculture, a new writing system, unified religion...\They, who have been teased by being called monsters,\will take the place of humans and forge their own civilization in this world.\Act 10 Baba Yatu\We gather all the soil collected from villages, store it in the former administrative office first... response:	Why am I doing this?
context: We need to unite these races.\We will create our own writing system, unify their religions, and educate them.\Primitive agriculture, a new writing system, unified religion...\They, who have been teased by being called monsters,\will take the place of humans and forge their own civilization in this world.\Act 10 Baba Yatu\We gather all the soil collected from villages, store it in the former administrative office first...\Why am I doing this? response:	Oh my God!
context: We will create our own writing system, unify their religions, and educate them.\Primitive agriculture, a new writing system, unified religion...\They, who have been teased by being called monsters,\will take the place of humans and forge their own civilization in this world.\Act 10 Baba Yatu\We gather all the soil collected from villages, store it in the former administrative office first...\Why am I doing this?\Oh my God! response:	Oh my God! Cherry Boy!
context: Primitive agriculture, a new writing system, unified religion...\They, who have been teased by being called monsters,\will take the place of humans and forge their own civilization in this world.\Act 10 Baba Yatu\We gather all the soil collected from villages, store it in the former administrative office first...\Why am I doing this?\Oh my God!\Oh my God! Cherry Boy! response:	-Oh my God! -Well, it's true, but...
context: They, who have been teased by being called monsters,\will take the place of humans and forge their own civilization in this world.\Act 10 Baba Yatu\We gather all the soil collected from villages, store it in the former administrative office first...\Why am I doing this?\Oh my God!\Oh my God! Cherry Boy!\-Oh my God! -Well, it's true, but... response:	Don't call me that, idiot!
context: will take the place of humans and forge their own civilization in this world.\Act 10 Baba Yatu\We gather all the soil collected from villages, store it in the former administrative office first...\Why am I doing this?\Oh my God!\Oh my God! Cherry Boy!\-Oh my God! -Well, it's true, but...\Don't call me that, idiot! response:	A strange carriage is approaching here.
context: Act 10 Baba Yatu\We gather all the soil collected from villages, store it in the former administrative office first...\Why am I doing this?\Oh my God!\Oh my God! Cherry Boy!\-Oh my God! -Well, it's true, but...\Don't call me that, idiot!\A strange carriage is approaching here. response:	A strange... carriage?
context: We gather all the soil collected from villages, store it in the former administrative office first...\Why am I doing this?\Oh my God!\Oh my God! Cherry Boy!\-Oh my God! -Well, it's true, but...\Don't call me that, idiot!\A strange carriage is approaching here.\A strange... carriage? response:	That is Count Saint-Germi...
context: Why am I doing this?\Oh my God!\Oh my God! Cherry Boy!\-Oh my God! -Well, it's true, but...\Don't call me that, idiot!\A strange carriage is approaching here.\A strange... carriage?\That is Count Saint-Germi... response:	Elven boys, go hide now!
context: Oh my God!\Oh my God! Cherry Boy!\-Oh my God! -Well, it's true, but...\Don't call me that, idiot!\A strange carriage is approaching here.\A strange... carriage?\That is Count Saint-Germi...\Elven boys, go hide now! response:	You Elven girls, no need to hide.
context: Oh my God! Cherry Boy!\-Oh my God! -Well, it's true, but...\Don't call me that, idiot!\A strange carriage is approaching here.\A strange... carriage?\That is Count Saint-Germi...\Elven boys, go hide now!\You Elven girls, no need to hide. response:	What is going on?!
context: -Oh my God! -Well, it's true, but...\Don't call me that, idiot!\A strange carriage is approaching here.\A strange... carriage?\That is Count Saint-Germi...\Elven boys, go hide now!\You Elven girls, no need to hide.\What is going on?! response:	Stop!
context: Don't call me that, idiot!\A strange carriage is approaching here.\A strange... carriage?\That is Count Saint-Germi...\Elven boys, go hide now!\You Elven girls, no need to hide.\What is going on?!\Stop! response:	Hm?
context: A strange carriage is approaching here.\A strange... carriage?\That is Count Saint-Germi...\Elven boys, go hide now!\You Elven girls, no need to hide.\What is going on?!\Stop!\Hm? response:	Stop!
context: A strange... carriage?\That is Count Saint-Germi...\Elven boys, go hide now!\You Elven girls, no need to hide.\What is going on?!\Stop!\Hm?\Stop! response:	Wh-Wh-Who are you?!
context: That is Count Saint-Germi...\Elven boys, go hide now!\You Elven girls, no need to hide.\What is going on?!\Stop!\Hm?\Stop!\Wh-Wh-Who are you?! response:	This place looks incredibly dull.
context: Elven boys, go hide now!\You Elven girls, no need to hide.\What is going on?!\Stop!\Hm?\Stop!\Wh-Wh-Who are you?!\This place looks incredibly dull. response:	It certainly does.
context: You Elven girls, no need to hide.\What is going on?!\Stop!\Hm?\Stop!\Wh-Wh-Who are you?!\This place looks incredibly dull.\It certainly does. response:	This really isn't what I was expecting.
context: What is going on?!\Stop!\Hm?\Stop!\Wh-Wh-Who are you?!\This place looks incredibly dull.\It certainly does.\This really isn't what I was expecting. response:	I imagined some place more twinkling and glittering...
context: Stop!\Hm?\Stop!\Wh-Wh-Who are you?!\This place looks incredibly dull.\It certainly does.\This really isn't what I was expecting.\I imagined some place more twinkling and glittering... response:	Brilliant sunlight filtering through the leaves of trees.
context: Hm?\Stop!\Wh-Wh-Who are you?!\This place looks incredibly dull.\It certainly does.\This really isn't what I was expecting.\I imagined some place more twinkling and glittering...\Brilliant sunlight filtering through the leaves of trees. response:	A forest where a hidden, holy spring is gushing.
context: Stop!\Wh-Wh-Who are you?!\This place looks incredibly dull.\It certainly does.\This really isn't what I was expecting.\I imagined some place more twinkling and glittering...\Brilliant sunlight filtering through the leaves of trees.\A forest where a hidden, holy spring is gushing. response:	There, the naked Elven boys playing with the spirits of dead,
context: Wh-Wh-Who are you?!\This place looks incredibly dull.\It certainly does.\This really isn't what I was expecting.\I imagined some place more twinkling and glittering...\Brilliant sunlight filtering through the leaves of trees.\A forest where a hidden, holy spring is gushing.\There, the naked Elven boys playing with the spirits of dead, response:	frolicking and laughing.
context: This place looks incredibly dull.\It certainly does.\This really isn't what I was expecting.\I imagined some place more twinkling and glittering...\Brilliant sunlight filtering through the leaves of trees.\A forest where a hidden, holy spring is gushing.\There, the naked Elven boys playing with the spirits of dead,\frolicking and laughing. response:	Shut your mouths!
context: It certainly does.\This really isn't what I was expecting.\I imagined some place more twinkling and glittering...\Brilliant sunlight filtering through the leaves of trees.\A forest where a hidden, holy spring is gushing.\There, the naked Elven boys playing with the spirits of dead,\frolicking and laughing.\Shut your mouths! response:	Dreamy Dreamy
context: This really isn't what I was expecting.\I imagined some place more twinkling and glittering...\Brilliant sunlight filtering through the leaves of trees.\A forest where a hidden, holy spring is gushing.\There, the naked Elven boys playing with the spirits of dead,\frolicking and laughing.\Shut your mouths!\Dreamy Dreamy response:	Count Saint-Germi...
context: I imagined some place more twinkling and glittering...\Brilliant sunlight filtering through the leaves of trees.\A forest where a hidden, holy spring is gushing.\There, the naked Elven boys playing with the spirits of dead,\frolicking and laughing.\Shut your mouths!\Dreamy Dreamy\Count Saint-Germi... response:	Why did you personally come to a place like this?
context: Brilliant sunlight filtering through the leaves of trees.\A forest where a hidden, holy spring is gushing.\There, the naked Elven boys playing with the spirits of dead,\frolicking and laughing.\Shut your mouths!\Dreamy Dreamy\Count Saint-Germi...\Why did you personally come to a place like this? response:	Who on earth are you? A Drifter?
context: A forest where a hidden, holy spring is gushing.\There, the naked Elven boys playing with the spirits of dead,\frolicking and laughing.\Shut your mouths!\Dreamy Dreamy\Count Saint-Germi...\Why did you personally come to a place like this?\Who on earth are you? A Drifter? response:	No... my lord.
context: There, the naked Elven boys playing with the spirits of dead,\frolicking and laughing.\Shut your mouths!\Dreamy Dreamy\Count Saint-Germi...\Why did you personally come to a place like this?\Who on earth are you? A Drifter?\No... my lord. response:	I am Mills, the former tax accountant of the Elven colonies.
context: frolicking and laughing.\Shut your mouths!\Dreamy Dreamy\Count Saint-Germi...\Why did you personally come to a place like this?\Who on earth are you? A Drifter?\No... my lord.\I am Mills, the former tax accountant of the Elven colonies. response:	Now, the Elves have locked me up and...
context: Shut your mouths!\Dreamy Dreamy\Count Saint-Germi...\Why did you personally come to a place like this?\Who on earth are you? A Drifter?\No... my lord.\I am Mills, the former tax accountant of the Elven colonies.\Now, the Elves have locked me up and... response:	Hmm, you look like a virgin.
context: Dreamy Dreamy\Count Saint-Germi...\Why did you personally come to a place like this?\Who on earth are you? A Drifter?\No... my lord.\I am Mills, the former tax accountant of the Elven colonies.\Now, the Elves have locked me up and...\Hmm, you look like a virgin. response:	I came to see the Drifters.
context: Count Saint-Germi...\Why did you personally come to a place like this?\Who on earth are you? A Drifter?\No... my lord.\I am Mills, the former tax accountant of the Elven colonies.\Now, the Elves have locked me up and...\Hmm, you look like a virgin.\I came to see the Drifters. response:	They must be here, right?! Bring them here... Bring the Drifters!
context: Why did you personally come to a place like this?\Who on earth are you? A Drifter?\No... my lord.\I am Mills, the former tax accountant of the Elven colonies.\Now, the Elves have locked me up and...\Hmm, you look like a virgin.\I came to see the Drifters.\They must be here, right?! Bring them here... Bring the Drifters! response:	That's right. That's right. Bring them to us!
context: Who on earth are you? A Drifter?\No... my lord.\I am Mills, the former tax accountant of the Elven colonies.\Now, the Elves have locked me up and...\Hmm, you look like a virgin.\I came to see the Drifters.\They must be here, right?! Bring them here... Bring the Drifters!\That's right. That's right. Bring them to us! response:	Why are only a few Elven boys here?! You must be hiding them.
context: No... my lord.\I am Mills, the former tax accountant of the Elven colonies.\Now, the Elves have locked me up and...\Hmm, you look like a virgin.\I came to see the Drifters.\They must be here, right?! Bring them here... Bring the Drifters!\That's right. That's right. Bring them to us!\Why are only a few Elven boys here?! You must be hiding them. response:	Bring them out!
context: I am Mills, the former tax accountant of the Elven colonies.\Now, the Elves have locked me up and...\Hmm, you look like a virgin.\I came to see the Drifters.\They must be here, right?! Bring them here... Bring the Drifters!\That's right. That's right. Bring them to us!\Why are only a few Elven boys here?! You must be hiding them.\Bring them out! response:	Well... actually... they are not here at this moment.
context: Now, the Elves have locked me up and...\Hmm, you look like a virgin.\I came to see the Drifters.\They must be here, right?! Bring them here... Bring the Drifters!\That's right. That's right. Bring them to us!\Why are only a few Elven boys here?! You must be hiding them.\Bring them out!\Well... actually... they are not here at this moment. response:	Huh?
context: Hmm, you look like a virgin.\I came to see the Drifters.\They must be here, right?! Bring them here... Bring the Drifters!\That's right. That's right. Bring them to us!\Why are only a few Elven boys here?! You must be hiding them.\Bring them out!\Well... actually... they are not here at this moment.\Huh? response:	What do you mean by that?! Where are they?!
context: I came to see the Drifters.\They must be here, right?! Bring them here... Bring the Drifters!\That's right. That's right. Bring them to us!\Why are only a few Elven boys here?! You must be hiding them.\Bring them out!\Well... actually... they are not here at this moment.\Huh?\What do you mean by that?! Where are they?! response:	You must confess. Or else, I will eat you alive!
context: They must be here, right?! Bring them here... Bring the Drifters!\That's right. That's right. Bring them to us!\Why are only a few Elven boys here?! You must be hiding them.\Bring them out!\Well... actually... they are not here at this moment.\Huh?\What do you mean by that?! Where are they?!\You must confess. Or else, I will eat you alive! response:	I'm sorry. I'm sowwy.
context: That's right. That's right. Bring them to us!\Why are only a few Elven boys here?! You must be hiding them.\Bring them out!\Well... actually... they are not here at this moment.\Huh?\What do you mean by that?! Where are they?!\You must confess. Or else, I will eat you alive!\I'm sorry. I'm sowwy. response:	Th-They told me they were going to
context: Why are only a few Elven boys here?! You must be hiding them.\Bring them out!\Well... actually... they are not here at this moment.\Huh?\What do you mean by that?! Where are they?!\You must confess. Or else, I will eat you alive!\I'm sorry. I'm sowwy.\Th-They told me they were going to response:	free the Dwarves and took the Elven men with them...
