context: The Old Year response:	After all my matches were over for the year,
context: I stayed in the apartment for days.\Delirious with fever, I had the same dream over and over again.\The one I've had repeatedly, ever since I was a kid.\The dream where I'm going up a long, long escalator.\It's not scary or anything.\I just go up and up and when I reach the top...\Who is that?\Who's there? response:	So noisy.
context: Delirious with fever, I had the same dream over and over again.\The one I've had repeatedly, ever since I was a kid.\The dream where I'm going up a long, long escalator.\It's not scary or anything.\I just go up and up and when I reach the top...\Who is that?\Who's there?\So noisy. response:	Please stop.
context: The one I've had repeatedly, ever since I was a kid.\The dream where I'm going up a long, long escalator.\It's not scary or anything.\I just go up and up and when I reach the top...\Who is that?\Who's there?\So noisy.\Please stop. response:	I can't. I can't get up.
context: The dream where I'm going up a long, long escalator.\It's not scary or anything.\I just go up and up and when I reach the top...\Who is that?\Who's there?\So noisy.\Please stop.\I can't. I can't get up. response:	Rei!
context: It's not scary or anything.\I just go up and up and when I reach the top...\Who is that?\Who's there?\So noisy.\Please stop.\I can't. I can't get up.\Rei! response:	Rei!
context: I just go up and up and when I reach the top...\Who is that?\Who's there?\So noisy.\Please stop.\I can't. I can't get up.\Rei!\Rei! response:	M-Momo. What?
context: Who is that?\Who's there?\So noisy.\Please stop.\I can't. I can't get up.\Rei!\Rei!\M-Momo. What? response:	Rei!
context: Who's there?\So noisy.\Please stop.\I can't. I can't get up.\Rei!\Rei!\M-Momo. What?\Rei! response:	Rei-chan
context: So noisy.\Please stop.\I can't. I can't get up.\Rei!\Rei!\M-Momo. What?\Rei!\Rei-chan response:	Why?
context: Please stop.\I can't. I can't get up.\Rei!\Rei!\M-Momo. What?\Rei!\Rei-chan\Why? response:	Darn it, I knew you had a cold!
context: I can't. I can't get up.\Rei!\Rei!\M-Momo. What?\Rei!\Rei-chan\Why?\Darn it, I knew you had a cold! response:	- Okay, charge! - Roger!
context: Rei!\Rei!\M-Momo. What?\Rei!\Rei-chan\Why?\Darn it, I knew you had a cold!\- Okay, charge! - Roger! response:	Yay! Rei's place!
context: Rei!\M-Momo. What?\Rei!\Rei-chan\Why?\Darn it, I knew you had a cold!\- Okay, charge! - Roger!\Yay! Rei's place! response:	- Hina, secure the pillow! - Gotcha!
context: M-Momo. What?\Rei!\Rei-chan\Why?\Darn it, I knew you had a cold!\- Okay, charge! - Roger!\Yay! Rei's place!\- Hina, secure the pillow! - Gotcha! response:	Uh, Um...
context: Rei!\Rei-chan\Why?\Darn it, I knew you had a cold!\- Okay, charge! - Roger!\Yay! Rei's place!\- Hina, secure the pillow! - Gotcha!\Uh, Um... response:	Fluff
context: Rei-chan\Why?\Darn it, I knew you had a cold!\- Okay, charge! - Roger!\Yay! Rei's place!\- Hina, secure the pillow! - Gotcha!\Uh, Um...\Fluff response:	Rei, get your phone, wallet, and keys.
context: Why?\Darn it, I knew you had a cold!\- Okay, charge! - Roger!\Yay! Rei's place!\- Hina, secure the pillow! - Gotcha!\Uh, Um...\Fluff\Rei, get your phone, wallet, and keys. response:	You can stay in your pajamas, but put a coat on.
context: Darn it, I knew you had a cold!\- Okay, charge! - Roger!\Yay! Rei's place!\- Hina, secure the pillow! - Gotcha!\Uh, Um...\Fluff\Rei, get your phone, wallet, and keys.\You can stay in your pajamas, but put a coat on. response:	Here, wrap this scarf around you.
context: - Okay, charge! - Roger!\Yay! Rei's place!\- Hina, secure the pillow! - Gotcha!\Uh, Um...\Fluff\Rei, get your phone, wallet, and keys.\You can stay in your pajamas, but put a coat on.\Here, wrap this scarf around you. response:	There's a taxi waiting downstairs.
context: Yay! Rei's place!\- Hina, secure the pillow! - Gotcha!\Uh, Um...\Fluff\Rei, get your phone, wallet, and keys.\You can stay in your pajamas, but put a coat on.\Here, wrap this scarf around you.\There's a taxi waiting downstairs. response:	A taxi? Why? Where are we going?
context: - Hina, secure the pillow! - Gotcha!\Uh, Um...\Fluff\Rei, get your phone, wallet, and keys.\You can stay in your pajamas, but put a coat on.\Here, wrap this scarf around you.\There's a taxi waiting downstairs.\A taxi? Why? Where are we going? response:	Where, you ask?
context: Uh, Um...\Fluff\Rei, get your phone, wallet, and keys.\You can stay in your pajamas, but put a coat on.\Here, wrap this scarf around you.\There's a taxi waiting downstairs.\A taxi? Why? Where are we going?\Where, you ask? response:	Gleam
context: Fluff\Rei, get your phone, wallet, and keys.\You can stay in your pajamas, but put a coat on.\Here, wrap this scarf around you.\There's a taxi waiting downstairs.\A taxi? Why? Where are we going?\Where, you ask?\Gleam response:	To the doctor, of course!
context: Rei, get your phone, wallet, and keys.\You can stay in your pajamas, but put a coat on.\Here, wrap this scarf around you.\There's a taxi waiting downstairs.\A taxi? Why? Where are we going?\Where, you ask?\Gleam\To the doctor, of course! response:	And if you have the flu, you'll be quarantined and taken care of here,
context: You can stay in your pajamas, but put a coat on.\Here, wrap this scarf around you.\There's a taxi waiting downstairs.\A taxi? Why? Where are we going?\Where, you ask?\Gleam\To the doctor, of course!\And if you have the flu, you'll be quarantined and taken care of here, response:	If it's just a cold...
context: Here, wrap this scarf around you.\There's a taxi waiting downstairs.\A taxi? Why? Where are we going?\Where, you ask?\Gleam\To the doctor, of course!\And if you have the flu, you'll be quarantined and taken care of here,\If it's just a cold... response:	Comfy
context: There's a taxi waiting downstairs.\A taxi? Why? Where are we going?\Where, you ask?\Gleam\To the doctor, of course!\And if you have the flu, you'll be quarantined and taken care of here,\If it's just a cold...\Comfy response:	Here you are.
context: A taxi? Why? Where are we going?\Where, you ask?\Gleam\To the doctor, of course!\And if you have the flu, you'll be quarantined and taken care of here,\If it's just a cold...\Comfy\Here you are. response:	Fluff Fluff
context: Where, you ask?\Gleam\To the doctor, of course!\And if you have the flu, you'll be quarantined and taken care of here,\If it's just a cold...\Comfy\Here you are.\Fluff Fluff response:	Good thing it wasn't the flu.
context: Gleam\To the doctor, of course!\And if you have the flu, you'll be quarantined and taken care of here,\If it's just a cold...\Comfy\Here you are.\Fluff Fluff\Good thing it wasn't the flu. response:	We have to be careful, with an elderly person and a toddler in the house.
context: To the doctor, of course!\And if you have the flu, you'll be quarantined and taken care of here,\If it's just a cold...\Comfy\Here you are.\Fluff Fluff\Good thing it wasn't the flu.\We have to be careful, with an elderly person and a toddler in the house. response:	It's egg porridge. Eat up.
context: And if you have the flu, you'll be quarantined and taken care of here,\If it's just a cold...\Comfy\Here you are.\Fluff Fluff\Good thing it wasn't the flu.\We have to be careful, with an elderly person and a toddler in the house.\It's egg porridge. Eat up. response:	I saw your kitchen. You haven't been eating for a while, huh?
context: If it's just a cold...\Comfy\Here you are.\Fluff Fluff\Good thing it wasn't the flu.\We have to be careful, with an elderly person and a toddler in the house.\It's egg porridge. Eat up.\I saw your kitchen. You haven't been eating for a while, huh? response:	Are you okay with pickled plums? I'm going to mix it in.
context: Comfy\Here you are.\Fluff Fluff\Good thing it wasn't the flu.\We have to be careful, with an elderly person and a toddler in the house.\It's egg porridge. Eat up.\I saw your kitchen. You haven't been eating for a while, huh?\Are you okay with pickled plums? I'm going to mix it in. response:	It's refreshing when you have a bad taste in your mouth from a fever.
context: Here you are.\Fluff Fluff\Good thing it wasn't the flu.\We have to be careful, with an elderly person and a toddler in the house.\It's egg porridge. Eat up.\I saw your kitchen. You haven't been eating for a while, huh?\Are you okay with pickled plums? I'm going to mix it in.\It's refreshing when you have a bad taste in your mouth from a fever. response:	Here, Rei. Stretch out your neck.
context: Fluff Fluff\Good thing it wasn't the flu.\We have to be careful, with an elderly person and a toddler in the house.\It's egg porridge. Eat up.\I saw your kitchen. You haven't been eating for a while, huh?\Are you okay with pickled plums? I'm going to mix it in.\It's refreshing when you have a bad taste in your mouth from a fever.\Here, Rei. Stretch out your neck. response:	This towel goes around your neck, and we'll change it when you sweat.
context: Good thing it wasn't the flu.\We have to be careful, with an elderly person and a toddler in the house.\It's egg porridge. Eat up.\I saw your kitchen. You haven't been eating for a while, huh?\Are you okay with pickled plums? I'm going to mix it in.\It's refreshing when you have a bad taste in your mouth from a fever.\Here, Rei. Stretch out your neck.\This towel goes around your neck, and we'll change it when you sweat. response:	Eating porridge makes you sweat.
context: We have to be careful, with an elderly person and a toddler in the house.\It's egg porridge. Eat up.\I saw your kitchen. You haven't been eating for a while, huh?\Are you okay with pickled plums? I'm going to mix it in.\It's refreshing when you have a bad taste in your mouth from a fever.\Here, Rei. Stretch out your neck.\This towel goes around your neck, and we'll change it when you sweat.\Eating porridge makes you sweat. response:	You have to sweat a lot to make your fever go down.
context: It's egg porridge. Eat up.\I saw your kitchen. You haven't been eating for a while, huh?\Are you okay with pickled plums? I'm going to mix it in.\It's refreshing when you have a bad taste in your mouth from a fever.\Here, Rei. Stretch out your neck.\This towel goes around your neck, and we'll change it when you sweat.\Eating porridge makes you sweat.\You have to sweat a lot to make your fever go down. response:	We've got plenty of towels, so we'll change them again and again.
context: I saw your kitchen. You haven't been eating for a while, huh?\Are you okay with pickled plums? I'm going to mix it in.\It's refreshing when you have a bad taste in your mouth from a fever.\Here, Rei. Stretch out your neck.\This towel goes around your neck, and we'll change it when you sweat.\Eating porridge makes you sweat.\You have to sweat a lot to make your fever go down.\We've got plenty of towels, so we'll change them again and again. response:	And then, pardon me.
context: Are you okay with pickled plums? I'm going to mix it in.\It's refreshing when you have a bad taste in your mouth from a fever.\Here, Rei. Stretch out your neck.\This towel goes around your neck, and we'll change it when you sweat.\Eating porridge makes you sweat.\You have to sweat a lot to make your fever go down.\We've got plenty of towels, so we'll change them again and again.\And then, pardon me. response:	Just wiping the sweat off your forehead.
context: It's refreshing when you have a bad taste in your mouth from a fever.\Here, Rei. Stretch out your neck.\This towel goes around your neck, and we'll change it when you sweat.\Eating porridge makes you sweat.\You have to sweat a lot to make your fever go down.\We've got plenty of towels, so we'll change them again and again.\And then, pardon me.\Just wiping the sweat off your forehead. response:	Momo, if you would!
context: Here, Rei. Stretch out your neck.\This towel goes around your neck, and we'll change it when you sweat.\Eating porridge makes you sweat.\You have to sweat a lot to make your fever go down.\We've got plenty of towels, so we'll change them again and again.\And then, pardon me.\Just wiping the sweat off your forehead.\Momo, if you would! response:	Slap!
context: This towel goes around your neck, and we'll change it when you sweat.\Eating porridge makes you sweat.\You have to sweat a lot to make your fever go down.\We've got plenty of towels, so we'll change them again and again.\And then, pardon me.\Just wiping the sweat off your forehead.\Momo, if you would!\Slap! response:	Even fluffier than before, now full fluffy
context: Eating porridge makes you sweat.\You have to sweat a lot to make your fever go down.\We've got plenty of towels, so we'll change them again and again.\And then, pardon me.\Just wiping the sweat off your forehead.\Momo, if you would!\Slap!\Even fluffier than before, now full fluffy response:	Th-Thank you for the meal.
context: You have to sweat a lot to make your fever go down.\We've got plenty of towels, so we'll change them again and again.\And then, pardon me.\Just wiping the sweat off your forehead.\Momo, if you would!\Slap!\Even fluffier than before, now full fluffy\Th-Thank you for the meal. response:	Momo wants to thank the meal too!
context: We've got plenty of towels, so we'll change them again and again.\And then, pardon me.\Just wiping the sweat off your forehead.\Momo, if you would!\Slap!\Even fluffier than before, now full fluffy\Th-Thank you for the meal.\Momo wants to thank the meal too! response:	Sorry, this is for Rei.
context: And then, pardon me.\Just wiping the sweat off your forehead.\Momo, if you would!\Slap!\Even fluffier than before, now full fluffy\Th-Thank you for the meal.\Momo wants to thank the meal too!\Sorry, this is for Rei. response:	All right, you ate quite a bit. Good job!
context: Just wiping the sweat off your forehead.\Momo, if you would!\Slap!\Even fluffier than before, now full fluffy\Th-Thank you for the meal.\Momo wants to thank the meal too!\Sorry, this is for Rei.\All right, you ate quite a bit. Good job! response:	Let's have some tea and then you can go lie down.
context: Momo, if you would!\Slap!\Even fluffier than before, now full fluffy\Th-Thank you for the meal.\Momo wants to thank the meal too!\Sorry, this is for Rei.\All right, you ate quite a bit. Good job!\Let's have some tea and then you can go lie down. response:	Internal Medicine
context: Slap!\Even fluffier than before, now full fluffy\Th-Thank you for the meal.\Momo wants to thank the meal too!\Sorry, this is for Rei.\All right, you ate quite a bit. Good job!\Let's have some tea and then you can go lie down.\Internal Medicine response:	But first...
context: Even fluffier than before, now full fluffy\Th-Thank you for the meal.\Momo wants to thank the meal too!\Sorry, this is for Rei.\All right, you ate quite a bit. Good job!\Let's have some tea and then you can go lie down.\Internal Medicine\But first... response:	But, I'm living on my own now. So I think it's okay.
context: Th-Thank you for the meal.\Momo wants to thank the meal too!\Sorry, this is for Rei.\All right, you ate quite a bit. Good job!\Let's have some tea and then you can go lie down.\Internal Medicine\But first...\But, I'm living on my own now. So I think it's okay. response:	- Tangerines, huh? - I'm not a fan of citrus...
context: Momo wants to thank the meal too!\Sorry, this is for Rei.\All right, you ate quite a bit. Good job!\Let's have some tea and then you can go lie down.\Internal Medicine\But first...\But, I'm living on my own now. So I think it's okay.\- Tangerines, huh? - I'm not a fan of citrus... response:	Tangerines, tangerines...
context: Sorry, this is for Rei.\All right, you ate quite a bit. Good job!\Let's have some tea and then you can go lie down.\Internal Medicine\But first...\But, I'm living on my own now. So I think it's okay.\- Tangerines, huh? - I'm not a fan of citrus...\Tangerines, tangerines... response:	Hmm!
context: All right, you ate quite a bit. Good job!\Let's have some tea and then you can go lie down.\Internal Medicine\But first...\But, I'm living on my own now. So I think it's okay.\- Tangerines, huh? - I'm not a fan of citrus...\Tangerines, tangerines...\Hmm! response:	On your own, huh?
context: Let's have some tea and then you can go lie down.\Internal Medicine\But first...\But, I'm living on my own now. So I think it's okay.\- Tangerines, huh? - I'm not a fan of citrus...\Tangerines, tangerines...\Hmm!\On your own, huh? response:	Let me see your phone, please.
context: Internal Medicine\But first...\But, I'm living on my own now. So I think it's okay.\- Tangerines, huh? - I'm not a fan of citrus...\Tangerines, tangerines...\Hmm!\On your own, huh?\Let me see your phone, please. response:	Your phone's been dead for about three days, right?
context: But first...\But, I'm living on my own now. So I think it's okay.\- Tangerines, huh? - I'm not a fan of citrus...\Tangerines, tangerines...\Hmm!\On your own, huh?\Let me see your phone, please.\Your phone's been dead for about three days, right? response:	Charging
context: But, I'm living on my own now. So I think it's okay.\- Tangerines, huh? - I'm not a fan of citrus...\Tangerines, tangerines...\Hmm!\On your own, huh?\Let me see your phone, please.\Your phone's been dead for about three days, right?\Charging response:	Call Log Kouda Dad Missed Call Kouda Dad Missed Call Kouda Dad Missed Call Kawamoto Missed Call Kouda Dad Missed Call Kouda Dad Missed Call
context: - Tangerines, huh? - I'm not a fan of citrus...\Tangerines, tangerines...\Hmm!\On your own, huh?\Let me see your phone, please.\Your phone's been dead for about three days, right?\Charging\Call Log Kouda Dad Missed Call Kouda Dad Missed Call Kouda Dad Missed Call Kawamoto Missed Call Kouda Dad Missed Call Kouda Dad Missed Call response:	You don't say I'm on my own when you have people worried about you so much.
context: Tangerines, tangerines...\Hmm!\On your own, huh?\Let me see your phone, please.\Your phone's been dead for about three days, right?\Charging\Call Log Kouda Dad Missed Call Kouda Dad Missed Call Kouda Dad Missed Call Kawamoto Missed Call Kouda Dad Missed Call Kouda Dad Missed Call\You don't say I'm on my own when you have people worried about you so much. response:	Right?
context: Hmm!\On your own, huh?\Let me see your phone, please.\Your phone's been dead for about three days, right?\Charging\Call Log Kouda Dad Missed Call Kouda Dad Missed Call Kouda Dad Missed Call Kawamoto Missed Call Kouda Dad Missed Call Kouda Dad Missed Call\You don't say I'm on my own when you have people worried about you so much.\Right? response:	Yes.
context: On your own, huh?\Let me see your phone, please.\Your phone's been dead for about three days, right?\Charging\Call Log Kouda Dad Missed Call Kouda Dad Missed Call Kouda Dad Missed Call Kawamoto Missed Call Kouda Dad Missed Call Kouda Dad Missed Call\You don't say I'm on my own when you have people worried about you so much.\Right?\Yes. response:	Hello? Um...
context: Let me see your phone, please.\Your phone's been dead for about three days, right?\Charging\Call Log Kouda Dad Missed Call Kouda Dad Missed Call Kouda Dad Missed Call Kawamoto Missed Call Kouda Dad Missed Call Kouda Dad Missed Call\You don't say I'm on my own when you have people worried about you so much.\Right?\Yes.\Hello? Um... response:	Dad. It's Rei.
context: Your phone's been dead for about three days, right?\Charging\Call Log Kouda Dad Missed Call Kouda Dad Missed Call Kouda Dad Missed Call Kawamoto Missed Call Kouda Dad Missed Call Kouda Dad Missed Call\You don't say I'm on my own when you have people worried about you so much.\Right?\Yes.\Hello? Um...\Dad. It's Rei. response:	Rei? It's really you?
context: Charging\Call Log Kouda Dad Missed Call Kouda Dad Missed Call Kouda Dad Missed Call Kawamoto Missed Call Kouda Dad Missed Call Kouda Dad Missed Call\You don't say I'm on my own when you have people worried about you so much.\Right?\Yes.\Hello? Um...\Dad. It's Rei.\Rei? It's really you? response:	Are you all right?
context: Call Log Kouda Dad Missed Call Kouda Dad Missed Call Kouda Dad Missed Call Kawamoto Missed Call Kouda Dad Missed Call Kouda Dad Missed Call\You don't say I'm on my own when you have people worried about you so much.\Right?\Yes.\Hello? Um...\Dad. It's Rei.\Rei? It's really you?\Are you all right? response:	What's wrong? You have a cold?
context: You don't say I'm on my own when you have people worried about you so much.\Right?\Yes.\Hello? Um...\Dad. It's Rei.\Rei? It's really you?\Are you all right?\What's wrong? You have a cold? response:	You weren't picking up your phone, so I was about to go over there.
context: Right?\Yes.\Hello? Um...\Dad. It's Rei.\Rei? It's really you?\Are you all right?\What's wrong? You have a cold?\You weren't picking up your phone, so I was about to go over there. response:	Are you sure you're okay?
context: Yes.\Hello? Um...\Dad. It's Rei.\Rei? It's really you?\Are you all right?\What's wrong? You have a cold?\You weren't picking up your phone, so I was about to go over there.\Are you sure you're okay? response:	The moment I heard my father's voice on the phone,
context: Hello? Um...\Dad. It's Rei.\Rei? It's really you?\Are you all right?\What's wrong? You have a cold?\You weren't picking up your phone, so I was about to go over there.\Are you sure you're okay?\The moment I heard my father's voice on the phone, response:	I realized how thoughtless I had been.
context: Dad. It's Rei.\Rei? It's really you?\Are you all right?\What's wrong? You have a cold?\You weren't picking up your phone, so I was about to go over there.\Are you sure you're okay?\The moment I heard my father's voice on the phone,\I realized how thoughtless I had been. response:	From his voice, I could tell that he was really worried about me.
context: Rei? It's really you?\Are you all right?\What's wrong? You have a cold?\You weren't picking up your phone, so I was about to go over there.\Are you sure you're okay?\The moment I heard my father's voice on the phone,\I realized how thoughtless I had been.\From his voice, I could tell that he was really worried about me. response:	I'm an idiot.
context: Are you all right?\What's wrong? You have a cold?\You weren't picking up your phone, so I was about to go over there.\Are you sure you're okay?\The moment I heard my father's voice on the phone,\I realized how thoughtless I had been.\From his voice, I could tell that he was really worried about me.\I'm an idiot. response:	My thoughts kept spinning around in my head,
context: What's wrong? You have a cold?\You weren't picking up your phone, so I was about to go over there.\Are you sure you're okay?\The moment I heard my father's voice on the phone,\I realized how thoughtless I had been.\From his voice, I could tell that he was really worried about me.\I'm an idiot.\My thoughts kept spinning around in my head, response:	but in the end, I had just been thinking about myself.
context: You weren't picking up your phone, so I was about to go over there.\Are you sure you're okay?\The moment I heard my father's voice on the phone,\I realized how thoughtless I had been.\From his voice, I could tell that he was really worried about me.\I'm an idiot.\My thoughts kept spinning around in my head,\but in the end, I had just been thinking about myself. response:	Kiriyama, how do you feel?
context: Are you sure you're okay?\The moment I heard my father's voice on the phone,\I realized how thoughtless I had been.\From his voice, I could tell that he was really worried about me.\I'm an idiot.\My thoughts kept spinning around in my head,\but in the end, I had just been thinking about myself.\Kiriyama, how do you feel? response:	Can you get up? Let's eat something and take some medicine again.
context: The moment I heard my father's voice on the phone,\I realized how thoughtless I had been.\From his voice, I could tell that he was really worried about me.\I'm an idiot.\My thoughts kept spinning around in my head,\but in the end, I had just been thinking about myself.\Kiriyama, how do you feel?\Can you get up? Let's eat something and take some medicine again. response:	I knew it.
context: I realized how thoughtless I had been.\From his voice, I could tell that he was really worried about me.\I'm an idiot.\My thoughts kept spinning around in my head,\but in the end, I had just been thinking about myself.\Kiriyama, how do you feel?\Can you get up? Let's eat something and take some medicine again.\I knew it. response:	Tell me when Aiko's on.
context: From his voice, I could tell that he was really worried about me.\I'm an idiot.\My thoughts kept spinning around in my head,\but in the end, I had just been thinking about myself.\Kiriyama, how do you feel?\Can you get up? Let's eat something and take some medicine again.\I knew it.\Tell me when Aiko's on. response:	Tell me when Sayuri Ishikawa is on.
context: I'm an idiot.\My thoughts kept spinning around in my head,\but in the end, I had just been thinking about myself.\Kiriyama, how do you feel?\Can you get up? Let's eat something and take some medicine again.\I knew it.\Tell me when Aiko's on.\Tell me when Sayuri Ishikawa is on. response:	Please wake me up...
context: My thoughts kept spinning around in my head,\but in the end, I had just been thinking about myself.\Kiriyama, how do you feel?\Can you get up? Let's eat something and take some medicine again.\I knew it.\Tell me when Aiko's on.\Tell me when Sayuri Ishikawa is on.\Please wake me up... response:	I knew this would happen.
context: but in the end, I had just been thinking about myself.\Kiriyama, how do you feel?\Can you get up? Let's eat something and take some medicine again.\I knew it.\Tell me when Aiko's on.\Tell me when Sayuri Ishikawa is on.\Please wake me up...\I knew this would happen. response:	It used to be even worse.
context: Kiriyama, how do you feel?\Can you get up? Let's eat something and take some medicine again.\I knew it.\Tell me when Aiko's on.\Tell me when Sayuri Ishikawa is on.\Please wake me up...\I knew this would happen.\It used to be even worse. response:	ZZZ
context: Can you get up? Let's eat something and take some medicine again.\I knew it.\Tell me when Aiko's on.\Tell me when Sayuri Ishikawa is on.\Please wake me up...\I knew this would happen.\It used to be even worse.\ZZZ response:	We had three more people then, so it was pretty packed.
context: I knew it.\Tell me when Aiko's on.\Tell me when Sayuri Ishikawa is on.\Please wake me up...\I knew this would happen.\It used to be even worse.\ZZZ\We had three more people then, so it was pretty packed. response:	Snore Snore
context: Tell me when Aiko's on.\Tell me when Sayuri Ishikawa is on.\Please wake me up...\I knew this would happen.\It used to be even worse.\ZZZ\We had three more people then, so it was pretty packed.\Snore Snore response:	Honestly, it's like we were running out of oxygen.
context: Tell me when Sayuri Ishikawa is on.\Please wake me up...\I knew this would happen.\It used to be even worse.\ZZZ\We had three more people then, so it was pretty packed.\Snore Snore\Honestly, it's like we were running out of oxygen. response:	Three people...
context: Please wake me up...\I knew this would happen.\It used to be even worse.\ZZZ\We had three more people then, so it was pretty packed.\Snore Snore\Honestly, it's like we were running out of oxygen.\Three people... response:	Oh, that's right.
context: I knew this would happen.\It used to be even worse.\ZZZ\We had three more people then, so it was pretty packed.\Snore Snore\Honestly, it's like we were running out of oxygen.\Three people...\Oh, that's right. response:	Their father.
context: It used to be even worse.\ZZZ\We had three more people then, so it was pretty packed.\Snore Snore\Honestly, it's like we were running out of oxygen.\Three people...\Oh, that's right.\Their father. response:	Every year, we looked at those sleeping faces and complained,
context: ZZZ\We had three more people then, so it was pretty packed.\Snore Snore\Honestly, it's like we were running out of oxygen.\Three people...\Oh, that's right.\Their father.\Every year, we looked at those sleeping faces and complained, response:	while Mom, Grandma, and I would be cleaning things up.
context: We had three more people then, so it was pretty packed.\Snore Snore\Honestly, it's like we were running out of oxygen.\Three people...\Oh, that's right.\Their father.\Every year, we looked at those sleeping faces and complained,\while Mom, Grandma, and I would be cleaning things up. response:	That's how we saw the old year go, and the new year come in.
