context: Signs response:	Ending Romaji
context: Today, I tried eating an orange\but it was so sour I cried.\I couldn't leave it behind like I have been,\so I ate it all.\I love it.\It's Sour.\I feel like crying.\I love it... I love it. response:	Takasu
context: but it was so sour I cried.\I couldn't leave it behind like I have been,\so I ate it all.\I love it.\It's Sour.\I feel like crying.\I love it... I love it.\Takasu response:	1 NEW
context: I couldn't leave it behind like I have been,\so I ate it all.\I love it.\It's Sour.\I feel like crying.\I love it... I love it.\Takasu\1 NEW response:	MESSAGE
context: so I ate it all.\I love it.\It's Sour.\I feel like crying.\I love it... I love it.\Takasu\1 NEW\MESSAGE response:	Taiga
context: I love it.\It's Sour.\I feel like crying.\I love it... I love it.\Takasu\1 NEW\MESSAGE\Taiga response:	You never
context: It's Sour.\I feel like crying.\I love it... I love it.\Takasu\1 NEW\MESSAGE\Taiga\You never response:	told me that you
context: I feel like crying.\I love it... I love it.\Takasu\1 NEW\MESSAGE\Taiga\You never\told me that you response:	love me.
context: I love it... I love it.\Takasu\1 NEW\MESSAGE\Taiga\You never\told me that you\love me. response:	Stupid.
context: Takasu\1 NEW\MESSAGE\Taiga\You never\told me that you\love me.\Stupid. response:	Oohashi
context: 1 NEW\MESSAGE\Taiga\You never\told me that you\love me.\Stupid.\Oohashi response:	High School
context: MESSAGE\Taiga\You never\told me that you\love me.\Stupid.\Oohashi\High School response:	78th Graduation Ceremony
context: Taiga\You never\told me that you\love me.\Stupid.\Oohashi\High School\78th Graduation Ceremony response:	Ryuu-chan...
context: You never\told me that you\love me.\Stupid.\Oohashi\High School\78th Graduation Ceremony\Ryuu-chan... response:	Ryuu-chan...
context: told me that you\love me.\Stupid.\Oohashi\High School\78th Graduation Ceremony\Ryuu-chan...\Ryuu-chan... response:	Ryuu-chan!
context: love me.\Stupid.\Oohashi\High School\78th Graduation Ceremony\Ryuu-chan...\Ryuu-chan...\Ryuu-chan! response:	Ryuu-chan!
context: Stupid.\Oohashi\High School\78th Graduation Ceremony\Ryuu-chan...\Ryuu-chan...\Ryuu-chan!\Ryuu-chan! response:	Y-Yo.
context: Oohashi\High School\78th Graduation Ceremony\Ryuu-chan...\Ryuu-chan...\Ryuu-chan!\Ryuu-chan!\Y-Yo. response:	W-Why?
context: High School\78th Graduation Ceremony\Ryuu-chan...\Ryuu-chan...\Ryuu-chan!\Ryuu-chan!\Y-Yo.\W-Why? response:	Ryuu-chan, you're all right?
context: 78th Graduation Ceremony\Ryuu-chan...\Ryuu-chan...\Ryuu-chan!\Ryuu-chan!\Y-Yo.\W-Why?\Ryuu-chan, you're all right? response:	A-Aren't you...
context: Ryuu-chan...\Ryuu-chan...\Ryuu-chan!\Ryuu-chan!\Y-Yo.\W-Why?\Ryuu-chan, you're all right?\A-Aren't you... response:	I-In... Help...
context: Ryuu-chan...\Ryuu-chan!\Ryuu-chan!\Y-Yo.\W-Why?\Ryuu-chan, you're all right?\A-Aren't you...\I-In... Help... response:	Yasuko...
context: Ryuu-chan!\Ryuu-chan!\Y-Yo.\W-Why?\Ryuu-chan, you're all right?\A-Aren't you...\I-In... Help...\Yasuko... response:	You've raised Ryuuji-kun well.
context: Ryuu-chan!\Y-Yo.\W-Why?\Ryuu-chan, you're all right?\A-Aren't you...\I-In... Help...\Yasuko...\You've raised Ryuuji-kun well. response:	Yeah, I-I have...
context: Y-Yo.\W-Why?\Ryuu-chan, you're all right?\A-Aren't you...\I-In... Help...\Yasuko...\You've raised Ryuuji-kun well.\Yeah, I-I have... response:	The reason why my life was in danger...
context: W-Why?\Ryuu-chan, you're all right?\A-Aren't you...\I-In... Help...\Yasuko...\You've raised Ryuuji-kun well.\Yeah, I-I have...\The reason why my life was in danger... response:	L-Listen, Ya-chan!
context: Ryuu-chan, you're all right?\A-Aren't you...\I-In... Help...\Yasuko...\You've raised Ryuuji-kun well.\Yeah, I-I have...\The reason why my life was in danger...\L-Listen, Ya-chan! response:	Ryuuji is...
context: A-Aren't you...\I-In... Help...\Yasuko...\You've raised Ryuuji-kun well.\Yeah, I-I have...\The reason why my life was in danger...\L-Listen, Ya-chan!\Ryuuji is... response:	After falling for the fake voicemail that Taiga left,
context: I-In... Help...\Yasuko...\You've raised Ryuuji-kun well.\Yeah, I-I have...\The reason why my life was in danger...\L-Listen, Ya-chan!\Ryuuji is...\After falling for the fake voicemail that Taiga left, response:	Yasuko cried a lot and Grandpa scolded her.
context: Yasuko...\You've raised Ryuuji-kun well.\Yeah, I-I have...\The reason why my life was in danger...\L-Listen, Ya-chan!\Ryuuji is...\After falling for the fake voicemail that Taiga left,\Yasuko cried a lot and Grandpa scolded her. response:	Somehow...
context: You've raised Ryuuji-kun well.\Yeah, I-I have...\The reason why my life was in danger...\L-Listen, Ya-chan!\Ryuuji is...\After falling for the fake voicemail that Taiga left,\Yasuko cried a lot and Grandpa scolded her.\Somehow... response:	Somehow, it's like Ya-chan is a child right now.
context: Yeah, I-I have...\The reason why my life was in danger...\L-Listen, Ya-chan!\Ryuuji is...\After falling for the fake voicemail that Taiga left,\Yasuko cried a lot and Grandpa scolded her.\Somehow...\Somehow, it's like Ya-chan is a child right now. response:	Families are amazing.
context: The reason why my life was in danger...\L-Listen, Ya-chan!\Ryuuji is...\After falling for the fake voicemail that Taiga left,\Yasuko cried a lot and Grandpa scolded her.\Somehow...\Somehow, it's like Ya-chan is a child right now.\Families are amazing. response:	Even though they haven't seen each other in about ten years,
context: L-Listen, Ya-chan!\Ryuuji is...\After falling for the fake voicemail that Taiga left,\Yasuko cried a lot and Grandpa scolded her.\Somehow...\Somehow, it's like Ya-chan is a child right now.\Families are amazing.\Even though they haven't seen each other in about ten years, response:	they're still...
context: Ryuuji is...\After falling for the fake voicemail that Taiga left,\Yasuko cried a lot and Grandpa scolded her.\Somehow...\Somehow, it's like Ya-chan is a child right now.\Families are amazing.\Even though they haven't seen each other in about ten years,\they're still... response:	Mum, thanks!
context: After falling for the fake voicemail that Taiga left,\Yasuko cried a lot and Grandpa scolded her.\Somehow...\Somehow, it's like Ya-chan is a child right now.\Families are amazing.\Even though they haven't seen each other in about ten years,\they're still...\Mum, thanks! response:	It's all because of you spoiling Yasuko -
context: Yasuko cried a lot and Grandpa scolded her.\Somehow...\Somehow, it's like Ya-chan is a child right now.\Families are amazing.\Even though they haven't seen each other in about ten years,\they're still...\Mum, thanks!\It's all because of you spoiling Yasuko - response:	Come on, there's nothing wrong with it.
context: Somehow...\Somehow, it's like Ya-chan is a child right now.\Families are amazing.\Even though they haven't seen each other in about ten years,\they're still...\Mum, thanks!\It's all because of you spoiling Yasuko -\Come on, there's nothing wrong with it. response:	No, but you...
context: Somehow, it's like Ya-chan is a child right now.\Families are amazing.\Even though they haven't seen each other in about ten years,\they're still...\Mum, thanks!\It's all because of you spoiling Yasuko -\Come on, there's nothing wrong with it.\No, but you... response:	Yasuko must be tired.
context: Families are amazing.\Even though they haven't seen each other in about ten years,\they're still...\Mum, thanks!\It's all because of you spoiling Yasuko -\Come on, there's nothing wrong with it.\No, but you...\Yasuko must be tired. response:	We're a family, right?
context: Even though they haven't seen each other in about ten years,\they're still...\Mum, thanks!\It's all because of you spoiling Yasuko -\Come on, there's nothing wrong with it.\No, but you...\Yasuko must be tired.\We're a family, right? response:	Family...
context: they're still...\Mum, thanks!\It's all because of you spoiling Yasuko -\Come on, there's nothing wrong with it.\No, but you...\Yasuko must be tired.\We're a family, right?\Family... response:	Ryuuji-kun, hurry up and take your bath before the water gets cold.
context: Mum, thanks!\It's all because of you spoiling Yasuko -\Come on, there's nothing wrong with it.\No, but you...\Yasuko must be tired.\We're a family, right?\Family...\Ryuuji-kun, hurry up and take your bath before the water gets cold. response:	Okay.
context: It's all because of you spoiling Yasuko -\Come on, there's nothing wrong with it.\No, but you...\Yasuko must be tired.\We're a family, right?\Family...\Ryuuji-kun, hurry up and take your bath before the water gets cold.\Okay. response:	So you weren't married...
context: Come on, there's nothing wrong with it.\No, but you...\Yasuko must be tired.\We're a family, right?\Family...\Ryuuji-kun, hurry up and take your bath before the water gets cold.\Okay.\So you weren't married... response:	You found out?
context: No, but you...\Yasuko must be tired.\We're a family, right?\Family...\Ryuuji-kun, hurry up and take your bath before the water gets cold.\Okay.\So you weren't married...\You found out? response:	Yeah.
context: Yasuko must be tired.\We're a family, right?\Family...\Ryuuji-kun, hurry up and take your bath before the water gets cold.\Okay.\So you weren't married...\You found out?\Yeah. response:	Your dad ran away with another woman while I was pregnant.
context: We're a family, right?\Family...\Ryuuji-kun, hurry up and take your bath before the water gets cold.\Okay.\So you weren't married...\You found out?\Yeah.\Your dad ran away with another woman while I was pregnant. response:	Even though everyone told me to get an abortion,
context: Family...\Ryuuji-kun, hurry up and take your bath before the water gets cold.\Okay.\So you weren't married...\You found out?\Yeah.\Your dad ran away with another woman while I was pregnant.\Even though everyone told me to get an abortion, response:	I really wanted to protect you.
context: Ryuuji-kun, hurry up and take your bath before the water gets cold.\Okay.\So you weren't married...\You found out?\Yeah.\Your dad ran away with another woman while I was pregnant.\Even though everyone told me to get an abortion,\I really wanted to protect you. response:	In the end, I couldn't protect you, and things broke.
context: Okay.\So you weren't married...\You found out?\Yeah.\Your dad ran away with another woman while I was pregnant.\Even though everyone told me to get an abortion,\I really wanted to protect you.\In the end, I couldn't protect you, and things broke. response:	Nothing broke.
context: So you weren't married...\You found out?\Yeah.\Your dad ran away with another woman while I was pregnant.\Even though everyone told me to get an abortion,\I really wanted to protect you.\In the end, I couldn't protect you, and things broke.\Nothing broke. response:	Didn't Grandma say you raised me well?
context: You found out?\Yeah.\Your dad ran away with another woman while I was pregnant.\Even though everyone told me to get an abortion,\I really wanted to protect you.\In the end, I couldn't protect you, and things broke.\Nothing broke.\Didn't Grandma say you raised me well? response:	See, I'm a lot taller than you.
context: Yeah.\Your dad ran away with another woman while I was pregnant.\Even though everyone told me to get an abortion,\I really wanted to protect you.\In the end, I couldn't protect you, and things broke.\Nothing broke.\Didn't Grandma say you raised me well?\See, I'm a lot taller than you. response:	Be proud.
context: Your dad ran away with another woman while I was pregnant.\Even though everyone told me to get an abortion,\I really wanted to protect you.\In the end, I couldn't protect you, and things broke.\Nothing broke.\Didn't Grandma say you raised me well?\See, I'm a lot taller than you.\Be proud. response:	Yeah, you've grown.
context: Even though everyone told me to get an abortion,\I really wanted to protect you.\In the end, I couldn't protect you, and things broke.\Nothing broke.\Didn't Grandma say you raised me well?\See, I'm a lot taller than you.\Be proud.\Yeah, you've grown. response:	Your back was really big when you were running...
context: I really wanted to protect you.\In the end, I couldn't protect you, and things broke.\Nothing broke.\Didn't Grandma say you raised me well?\See, I'm a lot taller than you.\Be proud.\Yeah, you've grown.\Your back was really big when you were running... response:	So big that I didn't recognise you.
context: In the end, I couldn't protect you, and things broke.\Nothing broke.\Didn't Grandma say you raised me well?\See, I'm a lot taller than you.\Be proud.\Yeah, you've grown.\Your back was really big when you were running...\So big that I didn't recognise you. response:	I was really scared,
context: Nothing broke.\Didn't Grandma say you raised me well?\See, I'm a lot taller than you.\Be proud.\Yeah, you've grown.\Your back was really big when you were running...\So big that I didn't recognise you.\I was really scared, response:	but I was also a little happy.
context: Didn't Grandma say you raised me well?\See, I'm a lot taller than you.\Be proud.\Yeah, you've grown.\Your back was really big when you were running...\So big that I didn't recognise you.\I was really scared,\but I was also a little happy. response:	But I was so afraid that you'd leave and never come back...
context: See, I'm a lot taller than you.\Be proud.\Yeah, you've grown.\Your back was really big when you were running...\So big that I didn't recognise you.\I was really scared,\but I was also a little happy.\But I was so afraid that you'd leave and never come back... response:	So you left by yourself?
context: Be proud.\Yeah, you've grown.\Your back was really big when you were running...\So big that I didn't recognise you.\I was really scared,\but I was also a little happy.\But I was so afraid that you'd leave and never come back...\So you left by yourself? response:	Idiot.
context: Yeah, you've grown.\Your back was really big when you were running...\So big that I didn't recognise you.\I was really scared,\but I was also a little happy.\But I was so afraid that you'd leave and never come back...\So you left by yourself?\Idiot. response:	I'm the last person who should say this,
context: Your back was really big when you were running...\So big that I didn't recognise you.\I was really scared,\but I was also a little happy.\But I was so afraid that you'd leave and never come back...\So you left by yourself?\Idiot.\I'm the last person who should say this, response:	but running away won't get you anywhere.
context: So big that I didn't recognise you.\I was really scared,\but I was also a little happy.\But I was so afraid that you'd leave and never come back...\So you left by yourself?\Idiot.\I'm the last person who should say this,\but running away won't get you anywhere. response:	Ryuu-chan...
context: I was really scared,\but I was also a little happy.\But I was so afraid that you'd leave and never come back...\So you left by yourself?\Idiot.\I'm the last person who should say this,\but running away won't get you anywhere.\Ryuu-chan... response:	I will become an adult.
context: but I was also a little happy.\But I was so afraid that you'd leave and never come back...\So you left by yourself?\Idiot.\I'm the last person who should say this,\but running away won't get you anywhere.\Ryuu-chan...\I will become an adult. response:	I'll do it right in front of you, not in some place far away.
context: But I was so afraid that you'd leave and never come back...\So you left by yourself?\Idiot.\I'm the last person who should say this,\but running away won't get you anywhere.\Ryuu-chan...\I will become an adult.\I'll do it right in front of you, not in some place far away. response:	That's why you have to look at me... always.
context: So you left by yourself?\Idiot.\I'm the last person who should say this,\but running away won't get you anywhere.\Ryuu-chan...\I will become an adult.\I'll do it right in front of you, not in some place far away.\That's why you have to look at me... always. response:	Come on, stop crying!
context: Idiot.\I'm the last person who should say this,\but running away won't get you anywhere.\Ryuu-chan...\I will become an adult.\I'll do it right in front of you, not in some place far away.\That's why you have to look at me... always.\Come on, stop crying! response:	But...
context: I'm the last person who should say this,\but running away won't get you anywhere.\Ryuu-chan...\I will become an adult.\I'll do it right in front of you, not in some place far away.\That's why you have to look at me... always.\Come on, stop crying!\But... response:	W-What is this?
context: but running away won't get you anywhere.\Ryuu-chan...\I will become an adult.\I'll do it right in front of you, not in some place far away.\That's why you have to look at me... always.\Come on, stop crying!\But...\W-What is this? response:	Grandma said there's nothing wrong with sleeping in the same room, since we're going to get married.
context: Ryuu-chan...\I will become an adult.\I'll do it right in front of you, not in some place far away.\That's why you have to look at me... always.\Come on, stop crying!\But...\W-What is this?\Grandma said there's nothing wrong with sleeping in the same room, since we're going to get married. response:	Now I understand how Yasuko became the way she is now...
context: I will become an adult.\I'll do it right in front of you, not in some place far away.\That's why you have to look at me... always.\Come on, stop crying!\But...\W-What is this?\Grandma said there's nothing wrong with sleeping in the same room, since we're going to get married.\Now I understand how Yasuko became the way she is now... response:	Ya-chan is laughing!
context: I'll do it right in front of you, not in some place far away.\That's why you have to look at me... always.\Come on, stop crying!\But...\W-What is this?\Grandma said there's nothing wrong with sleeping in the same room, since we're going to get married.\Now I understand how Yasuko became the way she is now...\Ya-chan is laughing! response:	Yeah, she is.
context: That's why you have to look at me... always.\Come on, stop crying!\But...\W-What is this?\Grandma said there's nothing wrong with sleeping in the same room, since we're going to get married.\Now I understand how Yasuko became the way she is now...\Ya-chan is laughing!\Yeah, she is. response:	Hey, turn off the lights.
context: Come on, stop crying!\But...\W-What is this?\Grandma said there's nothing wrong with sleeping in the same room, since we're going to get married.\Now I understand how Yasuko became the way she is now...\Ya-chan is laughing!\Yeah, she is.\Hey, turn off the lights. response:	Huh? Why?
context: But...\W-What is this?\Grandma said there's nothing wrong with sleeping in the same room, since we're going to get married.\Now I understand how Yasuko became the way she is now...\Ya-chan is laughing!\Yeah, she is.\Hey, turn off the lights.\Huh? Why? response:	Just do it.
context: W-What is this?\Grandma said there's nothing wrong with sleeping in the same room, since we're going to get married.\Now I understand how Yasuko became the way she is now...\Ya-chan is laughing!\Yeah, she is.\Hey, turn off the lights.\Huh? Why?\Just do it. response:	What are you doing?
context: Grandma said there's nothing wrong with sleeping in the same room, since we're going to get married.\Now I understand how Yasuko became the way she is now...\Ya-chan is laughing!\Yeah, she is.\Hey, turn off the lights.\Huh? Why?\Just do it.\What are you doing? response:	The stars are amazing.
context: Now I understand how Yasuko became the way she is now...\Ya-chan is laughing!\Yeah, she is.\Hey, turn off the lights.\Huh? Why?\Just do it.\What are you doing?\The stars are amazing. response:	To be honest, I'm kind of worried.
context: Ya-chan is laughing!\Yeah, she is.\Hey, turn off the lights.\Huh? Why?\Just do it.\What are you doing?\The stars are amazing.\To be honest, I'm kind of worried. response:	I don't think running away and getting married will work out,
context: Yeah, she is.\Hey, turn off the lights.\Huh? Why?\Just do it.\What are you doing?\The stars are amazing.\To be honest, I'm kind of worried.\I don't think running away and getting married will work out, response:	but I still want to have this dream.
context: Hey, turn off the lights.\Huh? Why?\Just do it.\What are you doing?\The stars are amazing.\To be honest, I'm kind of worried.\I don't think running away and getting married will work out,\but I still want to have this dream. response:	I feel like if I don't do something here, things will break again.
context: Huh? Why?\Just do it.\What are you doing?\The stars are amazing.\To be honest, I'm kind of worried.\I don't think running away and getting married will work out,\but I still want to have this dream.\I feel like if I don't do something here, things will break again. response:	Sheesh, you and Yasuko...
context: Just do it.\What are you doing?\The stars are amazing.\To be honest, I'm kind of worried.\I don't think running away and getting married will work out,\but I still want to have this dream.\I feel like if I don't do something here, things will break again.\Sheesh, you and Yasuko... response:	Nothing broke, right?
context: What are you doing?\The stars are amazing.\To be honest, I'm kind of worried.\I don't think running away and getting married will work out,\but I still want to have this dream.\I feel like if I don't do something here, things will break again.\Sheesh, you and Yasuko...\Nothing broke, right? response:	Also, it's okay for us to start here.
context: The stars are amazing.\To be honest, I'm kind of worried.\I don't think running away and getting married will work out,\but I still want to have this dream.\I feel like if I don't do something here, things will break again.\Sheesh, you and Yasuko...\Nothing broke, right?\Also, it's okay for us to start here. response:	We don't need to run away to get married. Let's do it with everyone's approval.
context: To be honest, I'm kind of worried.\I don't think running away and getting married will work out,\but I still want to have this dream.\I feel like if I don't do something here, things will break again.\Sheesh, you and Yasuko...\Nothing broke, right?\Also, it's okay for us to start here.\We don't need to run away to get married. Let's do it with everyone's approval. response:	Wouldn't it be best to receive everyone's blessing?
context: I don't think running away and getting married will work out,\but I still want to have this dream.\I feel like if I don't do something here, things will break again.\Sheesh, you and Yasuko...\Nothing broke, right?\Also, it's okay for us to start here.\We don't need to run away to get married. Let's do it with everyone's approval.\Wouldn't it be best to receive everyone's blessing? response:	Who do you mean by everyone?
context: but I still want to have this dream.\I feel like if I don't do something here, things will break again.\Sheesh, you and Yasuko...\Nothing broke, right?\Also, it's okay for us to start here.\We don't need to run away to get married. Let's do it with everyone's approval.\Wouldn't it be best to receive everyone's blessing?\Who do you mean by everyone? response:	Grandpa, Grandma, and your parents.
context: I feel like if I don't do something here, things will break again.\Sheesh, you and Yasuko...\Nothing broke, right?\Also, it's okay for us to start here.\We don't need to run away to get married. Let's do it with everyone's approval.\Wouldn't it be best to receive everyone's blessing?\Who do you mean by everyone?\Grandpa, Grandma, and your parents. response:	That will take a long time...
context: Sheesh, you and Yasuko...\Nothing broke, right?\Also, it's okay for us to start here.\We don't need to run away to get married. Let's do it with everyone's approval.\Wouldn't it be best to receive everyone's blessing?\Who do you mean by everyone?\Grandpa, Grandma, and your parents.\That will take a long time... response:	It doesn't matter.
context: Nothing broke, right?\Also, it's okay for us to start here.\We don't need to run away to get married. Let's do it with everyone's approval.\Wouldn't it be best to receive everyone's blessing?\Who do you mean by everyone?\Grandpa, Grandma, and your parents.\That will take a long time...\It doesn't matter. response:	Since we'll be happy anyway,
context: Also, it's okay for us to start here.\We don't need to run away to get married. Let's do it with everyone's approval.\Wouldn't it be best to receive everyone's blessing?\Who do you mean by everyone?\Grandpa, Grandma, and your parents.\That will take a long time...\It doesn't matter.\Since we'll be happy anyway, response:	why not share our happiness with everyone else?
context: We don't need to run away to get married. Let's do it with everyone's approval.\Wouldn't it be best to receive everyone's blessing?\Who do you mean by everyone?\Grandpa, Grandma, and your parents.\That will take a long time...\It doesn't matter.\Since we'll be happy anyway,\why not share our happiness with everyone else? response:	Okay,
context: Wouldn't it be best to receive everyone's blessing?\Who do you mean by everyone?\Grandpa, Grandma, and your parents.\That will take a long time...\It doesn't matter.\Since we'll be happy anyway,\why not share our happiness with everyone else?\Okay, response:	but before that, let's have a little rehearsal.
context: Who do you mean by everyone?\Grandpa, Grandma, and your parents.\That will take a long time...\It doesn't matter.\Since we'll be happy anyway,\why not share our happiness with everyone else?\Okay,\but before that, let's have a little rehearsal. response:	Look,
context: Grandpa, Grandma, and your parents.\That will take a long time...\It doesn't matter.\Since we'll be happy anyway,\why not share our happiness with everyone else?\Okay,\but before that, let's have a little rehearsal.\Look, response:	a veil.
context: That will take a long time...\It doesn't matter.\Since we'll be happy anyway,\why not share our happiness with everyone else?\Okay,\but before that, let's have a little rehearsal.\Look,\a veil. response:	Taiga...
context: It doesn't matter.\Since we'll be happy anyway,\why not share our happiness with everyone else?\Okay,\but before that, let's have a little rehearsal.\Look,\a veil.\Taiga... response:	Um... I, Takasu Ryuuji, will...
context: Since we'll be happy anyway,\why not share our happiness with everyone else?\Okay,\but before that, let's have a little rehearsal.\Look,\a veil.\Taiga...\Um... I, Takasu Ryuuji, will... response:	Uh, what should I say?
context: why not share our happiness with everyone else?\Okay,\but before that, let's have a little rehearsal.\Look,\a veil.\Taiga...\Um... I, Takasu Ryuuji, will...\Uh, what should I say? response:	It doesn't matter, just say something.
context: Okay,\but before that, let's have a little rehearsal.\Look,\a veil.\Taiga...\Um... I, Takasu Ryuuji, will...\Uh, what should I say?\It doesn't matter, just say something. response:	H-How can it not matter?
context: but before that, let's have a little rehearsal.\Look,\a veil.\Taiga...\Um... I, Takasu Ryuuji, will...\Uh, what should I say?\It doesn't matter, just say something.\H-How can it not matter? response:	Uh... will marry Aisaka Taiga -
