context: One, two... response:	This is pretty fun.
context: Why did you burn the rice?\Can you blame us? We've never done this before!\We'll do it ourselves, then.\Go keep an eye on the curry.\Yo, dude.\Don't act like you can't hear me.\I'm not letting you pretend you've forgotten about me.\Of course I haven't. response:	I remember your name, too.
context: Can you blame us? We've never done this before!\We'll do it ourselves, then.\Go keep an eye on the curry.\Yo, dude.\Don't act like you can't hear me.\I'm not letting you pretend you've forgotten about me.\Of course I haven't.\I remember your name, too. response:	Maeda!
context: We'll do it ourselves, then.\Go keep an eye on the curry.\Yo, dude.\Don't act like you can't hear me.\I'm not letting you pretend you've forgotten about me.\Of course I haven't.\I remember your name, too.\Maeda! response:	It's Maeda!
context: Go keep an eye on the curry.\Yo, dude.\Don't act like you can't hear me.\I'm not letting you pretend you've forgotten about me.\Of course I haven't.\I remember your name, too.\Maeda!\It's Maeda! response:	You and Nakano-san are doing good, right?
context: Yo, dude.\Don't act like you can't hear me.\I'm not letting you pretend you've forgotten about me.\Of course I haven't.\I remember your name, too.\Maeda!\It's Maeda!\You and Nakano-san are doing good, right? response:	S-Sure.
context: Don't act like you can't hear me.\I'm not letting you pretend you've forgotten about me.\Of course I haven't.\I remember your name, too.\Maeda!\It's Maeda!\You and Nakano-san are doing good, right?\S-Sure. response:	You're lucky you have a partner for the folk dance.
context: I'm not letting you pretend you've forgotten about me.\Of course I haven't.\I remember your name, too.\Maeda!\It's Maeda!\You and Nakano-san are doing good, right?\S-Sure.\You're lucky you have a partner for the folk dance. response:	I couldn't find anyone.
context: Of course I haven't.\I remember your name, too.\Maeda!\It's Maeda!\You and Nakano-san are doing good, right?\S-Sure.\You're lucky you have a partner for the folk dance.\I couldn't find anyone. response:	So tell me...
context: I remember your name, too.\Maeda!\It's Maeda!\You and Nakano-san are doing good, right?\S-Sure.\You're lucky you have a partner for the folk dance.\I couldn't find anyone.\So tell me... response:	How can I get a girlfriend?
context: Maeda!\It's Maeda!\You and Nakano-san are doing good, right?\S-Sure.\You're lucky you have a partner for the folk dance.\I couldn't find anyone.\So tell me...\How can I get a girlfriend? response:	Hey, are you listening to me?
context: It's Maeda!\You and Nakano-san are doing good, right?\S-Sure.\You're lucky you have a partner for the folk dance.\I couldn't find anyone.\So tell me...\How can I get a girlfriend?\Hey, are you listening to me? response:	I can't wait for the rice to cook.
context: You and Nakano-san are doing good, right?\S-Sure.\You're lucky you have a partner for the folk dance.\I couldn't find anyone.\So tell me...\How can I get a girlfriend?\Hey, are you listening to me?\I can't wait for the rice to cook. response:	Uesugi-san.
context: S-Sure.\You're lucky you have a partner for the folk dance.\I couldn't find anyone.\So tell me...\How can I get a girlfriend?\Hey, are you listening to me?\I can't wait for the rice to cook.\Uesugi-san. response:	I'm going to move all this test of courage stuff.
context: You're lucky you have a partner for the folk dance.\I couldn't find anyone.\So tell me...\How can I get a girlfriend?\Hey, are you listening to me?\I can't wait for the rice to cook.\Uesugi-san.\I'm going to move all this test of courage stuff. response:	Yotsuba.
context: I couldn't find anyone.\So tell me...\How can I get a girlfriend?\Hey, are you listening to me?\I can't wait for the rice to cook.\Uesugi-san.\I'm going to move all this test of courage stuff.\Yotsuba. response:	Weren't you in charge of the campfire?
context: So tell me...\How can I get a girlfriend?\Hey, are you listening to me?\I can't wait for the rice to cook.\Uesugi-san.\I'm going to move all this test of courage stuff.\Yotsuba.\Weren't you in charge of the campfire? response:	Yes.
context: How can I get a girlfriend?\Hey, are you listening to me?\I can't wait for the rice to cook.\Uesugi-san.\I'm going to move all this test of courage stuff.\Yotsuba.\Weren't you in charge of the campfire?\Yes. response:	But I thought you might want some help.
context: Hey, are you listening to me?\I can't wait for the rice to cook.\Uesugi-san.\I'm going to move all this test of courage stuff.\Yotsuba.\Weren't you in charge of the campfire?\Yes.\But I thought you might want some help. response:	You're here on this camping trip when you usually only camp out in front of textbooks.
context: I can't wait for the rice to cook.\Uesugi-san.\I'm going to move all this test of courage stuff.\Yotsuba.\Weren't you in charge of the campfire?\Yes.\But I thought you might want some help.\You're here on this camping trip when you usually only camp out in front of textbooks. response:	I'd like to support you as much as I can.
context: Uesugi-san.\I'm going to move all this test of courage stuff.\Yotsuba.\Weren't you in charge of the campfire?\Yes.\But I thought you might want some help.\You're here on this camping trip when you usually only camp out in front of textbooks.\I'd like to support you as much as I can. response:	All right, Maeda, keep an eye on my group's dinner.
context: I'm going to move all this test of courage stuff.\Yotsuba.\Weren't you in charge of the campfire?\Yes.\But I thought you might want some help.\You're here on this camping trip when you usually only camp out in front of textbooks.\I'd like to support you as much as I can.\All right, Maeda, keep an eye on my group's dinner. response:	Don't go giving me orders!
context: Yotsuba.\Weren't you in charge of the campfire?\Yes.\But I thought you might want some help.\You're here on this camping trip when you usually only camp out in front of textbooks.\I'd like to support you as much as I can.\All right, Maeda, keep an eye on my group's dinner.\Don't go giving me orders! response:	And aren't you going to hear me out?
context: Weren't you in charge of the campfire?\Yes.\But I thought you might want some help.\You're here on this camping trip when you usually only camp out in front of textbooks.\I'd like to support you as much as I can.\All right, Maeda, keep an eye on my group's dinner.\Don't go giving me orders!\And aren't you going to hear me out? response:	The test of courage is optional.
context: Yes.\But I thought you might want some help.\You're here on this camping trip when you usually only camp out in front of textbooks.\I'd like to support you as much as I can.\All right, Maeda, keep an eye on my group's dinner.\Don't go giving me orders!\And aren't you going to hear me out?\The test of courage is optional. response:	Go invite a girl from class.
context: But I thought you might want some help.\You're here on this camping trip when you usually only camp out in front of textbooks.\I'd like to support you as much as I can.\All right, Maeda, keep an eye on my group's dinner.\Don't go giving me orders!\And aren't you going to hear me out?\The test of courage is optional.\Go invite a girl from class. response:	Just try not to freak out, because we're going to go all out.
context: You're here on this camping trip when you usually only camp out in front of textbooks.\I'd like to support you as much as I can.\All right, Maeda, keep an eye on my group's dinner.\Don't go giving me orders!\And aren't you going to hear me out?\The test of courage is optional.\Go invite a girl from class.\Just try not to freak out, because we're going to go all out. response:	Like this.
context: I'd like to support you as much as I can.\All right, Maeda, keep an eye on my group's dinner.\Don't go giving me orders!\And aren't you going to hear me out?\The test of courage is optional.\Go invite a girl from class.\Just try not to freak out, because we're going to go all out.\Like this. response:	The Quintessential Quintuplets
context: All right, Maeda, keep an eye on my group's dinner.\Don't go giving me orders!\And aren't you going to hear me out?\The test of courage is optional.\Go invite a girl from class.\Just try not to freak out, because we're going to go all out.\Like this.\The Quintessential Quintuplets response:	The Quintessential Quintuplets
context: Don't go giving me orders!\And aren't you going to hear me out?\The test of courage is optional.\Go invite a girl from class.\Just try not to freak out, because we're going to go all out.\Like this.\The Quintessential Quintuplets\The Quintessential Quintuplets response:	The Quint es sen tial Quin tup lets
context: And aren't you going to hear me out?\The test of courage is optional.\Go invite a girl from class.\Just try not to freak out, because we're going to go all out.\Like this.\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets response:	The Quintessential Quintuplets
context: The test of courage is optional.\Go invite a girl from class.\Just try not to freak out, because we're going to go all out.\Like this.\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets response:	Come on, there hasn't been a single ghost.
context: Go invite a girl from class.\Just try not to freak out, because we're going to go all out.\Like this.\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Come on, there hasn't been a single ghost. response:	What're the people in charge doing?
context: Just try not to freak out, because we're going to go all out.\Like this.\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Come on, there hasn't been a single ghost.\What're the people in charge doing? response:	Damn it!
context: Like this.\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Come on, there hasn't been a single ghost.\What're the people in charge doing?\Damn it! response:	I was hoping the suspension bridge effect would do me a solid,
context: The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Come on, there hasn't been a single ghost.\What're the people in charge doing?\Damn it!\I was hoping the suspension bridge effect would do me a solid, response:	but this isn't scaring her at all!
context: The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Come on, there hasn't been a single ghost.\What're the people in charge doing?\Damn it!\I was hoping the suspension bridge effect would do me a solid,\but this isn't scaring her at all! response:	That bastard!
context: The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Come on, there hasn't been a single ghost.\What're the people in charge doing?\Damn it!\I was hoping the suspension bridge effect would do me a solid,\but this isn't scaring her at all!\That bastard! response:	He's got a really scary look on his face!
context: The Quintessential Quintuplets\Come on, there hasn't been a single ghost.\What're the people in charge doing?\Damn it!\I was hoping the suspension bridge effect would do me a solid,\but this isn't scaring her at all!\That bastard!\He's got a really scary look on his face! response:	Oh, gosh. My heart's racing now.
context: Come on, there hasn't been a single ghost.\What're the people in charge doing?\Damn it!\I was hoping the suspension bridge effect would do me a solid,\but this isn't scaring her at all!\That bastard!\He's got a really scary look on his face!\Oh, gosh. My heart's racing now. response:	Be the suspension bridge you want to see!?
context: What're the people in charge doing?\Damn it!\I was hoping the suspension bridge effect would do me a solid,\but this isn't scaring her at all!\That bastard!\He's got a really scary look on his face!\Oh, gosh. My heart's racing now.\Be the suspension bridge you want to see!? response:	We're doing great.
context: Damn it!\I was hoping the suspension bridge effect would do me a solid,\but this isn't scaring her at all!\That bastard!\He's got a really scary look on his face!\Oh, gosh. My heart's racing now.\Be the suspension bridge you want to see!?\We're doing great. response:	I'm so happy to see life in your dead eyes for once.
context: I was hoping the suspension bridge effect would do me a solid,\but this isn't scaring her at all!\That bastard!\He's got a really scary look on his face!\Oh, gosh. My heart's racing now.\Be the suspension bridge you want to see!?\We're doing great.\I'm so happy to see life in your dead eyes for once. response:	Yeah?
context: but this isn't scaring her at all!\That bastard!\He's got a really scary look on his face!\Oh, gosh. My heart's racing now.\Be the suspension bridge you want to see!?\We're doing great.\I'm so happy to see life in your dead eyes for once.\Yeah? response:	I'm glad I've come back to life.
context: That bastard!\He's got a really scary look on his face!\Oh, gosh. My heart's racing now.\Be the suspension bridge you want to see!?\We're doing great.\I'm so happy to see life in your dead eyes for once.\Yeah?\I'm glad I've come back to life. response:	I was afraid you might not come.
context: He's got a really scary look on his face!\Oh, gosh. My heart's racing now.\Be the suspension bridge you want to see!?\We're doing great.\I'm so happy to see life in your dead eyes for once.\Yeah?\I'm glad I've come back to life.\I was afraid you might not come. response:	Let's make sure we aren't left with any regrets after school camp.
context: Oh, gosh. My heart's racing now.\Be the suspension bridge you want to see!?\We're doing great.\I'm so happy to see life in your dead eyes for once.\Yeah?\I'm glad I've come back to life.\I was afraid you might not come.\Let's make sure we aren't left with any regrets after school camp. response:	The next group's coming.
context: Be the suspension bridge you want to see!?\We're doing great.\I'm so happy to see life in your dead eyes for once.\Yeah?\I'm glad I've come back to life.\I was afraid you might not come.\Let's make sure we aren't left with any regrets after school camp.\The next group's coming. response:	Get them!
context: We're doing great.\I'm so happy to see life in your dead eyes for once.\Yeah?\I'm glad I've come back to life.\I was afraid you might not come.\Let's make sure we aren't left with any regrets after school camp.\The next group's coming.\Get them! response:	We're going to eat you!
context: I'm so happy to see life in your dead eyes for once.\Yeah?\I'm glad I've come back to life.\I was afraid you might not come.\Let's make sure we aren't left with any regrets after school camp.\The next group's coming.\Get them!\We're going to eat you! response:	Futaro.
context: Yeah?\I'm glad I've come back to life.\I was afraid you might not come.\Let's make sure we aren't left with any regrets after school camp.\The next group's coming.\Get them!\We're going to eat you!\Futaro. response:	Yotsuba's here, too.
context: I'm glad I've come back to life.\I was afraid you might not come.\Let's make sure we aren't left with any regrets after school camp.\The next group's coming.\Get them!\We're going to eat you!\Futaro.\Yotsuba's here, too. response:	Oh, it's you guys.
context: I was afraid you might not come.\Let's make sure we aren't left with any regrets after school camp.\The next group's coming.\Get them!\We're going to eat you!\Futaro.\Yotsuba's here, too.\Oh, it's you guys. response:	You already know the gimmick. I shouldn't have bothered.
context: Let's make sure we aren't left with any regrets after school camp.\The next group's coming.\Get them!\We're going to eat you!\Futaro.\Yotsuba's here, too.\Oh, it's you guys.\You already know the gimmick. I shouldn't have bothered. response:	Whoa, you scared me!
context: The next group's coming.\Get them!\We're going to eat you!\Futaro.\Yotsuba's here, too.\Oh, it's you guys.\You already know the gimmick. I shouldn't have bothered.\Whoa, you scared me! response:	Yeah, right.
context: Get them!\We're going to eat you!\Futaro.\Yotsuba's here, too.\Oh, it's you guys.\You already know the gimmick. I shouldn't have bothered.\Whoa, you scared me!\Yeah, right. response:	You did.
context: We're going to eat you!\Futaro.\Yotsuba's here, too.\Oh, it's you guys.\You already know the gimmick. I shouldn't have bothered.\Whoa, you scared me!\Yeah, right.\You did. response:	Hey, you're blond.
context: Futaro.\Yotsuba's here, too.\Oh, it's you guys.\You already know the gimmick. I shouldn't have bothered.\Whoa, you scared me!\Yeah, right.\You did.\Hey, you're blond. response:	What did you do? Did you dye it?
context: Yotsuba's here, too.\Oh, it's you guys.\You already know the gimmick. I shouldn't have bothered.\Whoa, you scared me!\Yeah, right.\You did.\Hey, you're blond.\What did you do? Did you dye it? response:	It's a wig.
context: Oh, it's you guys.\You already know the gimmick. I shouldn't have bothered.\Whoa, you scared me!\Yeah, right.\You did.\Hey, you're blond.\What did you do? Did you dye it?\It's a wig. response:	Anyway, there's a dangerous cliff ahead.
context: You already know the gimmick. I shouldn't have bothered.\Whoa, you scared me!\Yeah, right.\You did.\Hey, you're blond.\What did you do? Did you dye it?\It's a wig.\Anyway, there's a dangerous cliff ahead. response:	Follow the signs...
context: Whoa, you scared me!\Yeah, right.\You did.\Hey, you're blond.\What did you do? Did you dye it?\It's a wig.\Anyway, there's a dangerous cliff ahead.\Follow the signs... response:	Miku, are you listening?
context: Yeah, right.\You did.\Hey, you're blond.\What did you do? Did you dye it?\It's a wig.\Anyway, there's a dangerous cliff ahead.\Follow the signs...\Miku, are you listening? response:	Wh-What?
context: You did.\Hey, you're blond.\What did you do? Did you dye it?\It's a wig.\Anyway, there's a dangerous cliff ahead.\Follow the signs...\Miku, are you listening?\Wh-What? response:	There's a dangerous cliff ahead.
context: Hey, you're blond.\What did you do? Did you dye it?\It's a wig.\Anyway, there's a dangerous cliff ahead.\Follow the signs...\Miku, are you listening?\Wh-What?\There's a dangerous cliff ahead. response:	Be sure to follow the signs.
context: What did you do? Did you dye it?\It's a wig.\Anyway, there's a dangerous cliff ahead.\Follow the signs...\Miku, are you listening?\Wh-What?\There's a dangerous cliff ahead.\Be sure to follow the signs. response:	I know.
context: It's a wig.\Anyway, there's a dangerous cliff ahead.\Follow the signs...\Miku, are you listening?\Wh-What?\There's a dangerous cliff ahead.\Be sure to follow the signs.\I know. response:	Let's go, Ichika.
context: Anyway, there's a dangerous cliff ahead.\Follow the signs...\Miku, are you listening?\Wh-What?\There's a dangerous cliff ahead.\Be sure to follow the signs.\I know.\Let's go, Ichika. response:	What's wrong? She was rather cold.
context: Follow the signs...\Miku, are you listening?\Wh-What?\There's a dangerous cliff ahead.\Be sure to follow the signs.\I know.\Let's go, Ichika.\What's wrong? She was rather cold. response:	Was she?
context: Miku, are you listening?\Wh-What?\There's a dangerous cliff ahead.\Be sure to follow the signs.\I know.\Let's go, Ichika.\What's wrong? She was rather cold.\Was she? response:	That aside, Uesugi-san,
context: Wh-What?\There's a dangerous cliff ahead.\Be sure to follow the signs.\I know.\Let's go, Ichika.\What's wrong? She was rather cold.\Was she?\That aside, Uesugi-san, response:	I sense doubt in the way you're scaring people.
context: There's a dangerous cliff ahead.\Be sure to follow the signs.\I know.\Let's go, Ichika.\What's wrong? She was rather cold.\Was she?\That aside, Uesugi-san,\I sense doubt in the way you're scaring people. response:	You need to make a more elaborate entrance.
context: Be sure to follow the signs.\I know.\Let's go, Ichika.\What's wrong? She was rather cold.\Was she?\That aside, Uesugi-san,\I sense doubt in the way you're scaring people.\You need to make a more elaborate entrance. response:	My classmates told me this forest is haunted.
context: I know.\Let's go, Ichika.\What's wrong? She was rather cold.\Was she?\That aside, Uesugi-san,\I sense doubt in the way you're scaring people.\You need to make a more elaborate entrance.\My classmates told me this forest is haunted. response:	That's obviously false information.
context: Let's go, Ichika.\What's wrong? She was rather cold.\Was she?\That aside, Uesugi-san,\I sense doubt in the way you're scaring people.\You need to make a more elaborate entrance.\My classmates told me this forest is haunted.\That's obviously false information. response:	Same thing with the campfire legend.
context: What's wrong? She was rather cold.\Was she?\That aside, Uesugi-san,\I sense doubt in the way you're scaring people.\You need to make a more elaborate entrance.\My classmates told me this forest is haunted.\That's obviously false information.\Same thing with the campfire legend. response:	They have, like, zero credibility.
context: Was she?\That aside, Uesugi-san,\I sense doubt in the way you're scaring people.\You need to make a more elaborate entrance.\My classmates told me this forest is haunted.\That's obviously false information.\Same thing with the campfire legend.\They have, like, zero credibility. response:	Who freaks out over such a cheap toy?
context: That aside, Uesugi-san,\I sense doubt in the way you're scaring people.\You need to make a more elaborate entrance.\My classmates told me this forest is haunted.\That's obviously false information.\Same thing with the campfire legend.\They have, like, zero credibility.\Who freaks out over such a cheap toy? response:	I thought this school camp would be more fun.
context: I sense doubt in the way you're scaring people.\You need to make a more elaborate entrance.\My classmates told me this forest is haunted.\That's obviously false information.\Same thing with the campfire legend.\They have, like, zero credibility.\Who freaks out over such a cheap toy?\I thought this school camp would be more fun. response:	Instead, we had to share a room with him right off the bat.
context: You need to make a more elaborate entrance.\My classmates told me this forest is haunted.\That's obviously false information.\Same thing with the campfire legend.\They have, like, zero credibility.\Who freaks out over such a cheap toy?\I thought this school camp would be more fun.\Instead, we had to share a room with him right off the bat. response:	Good thing nothing happened, I guess.
context: My classmates told me this forest is haunted.\That's obviously false information.\Same thing with the campfire legend.\They have, like, zero credibility.\Who freaks out over such a cheap toy?\I thought this school camp would be more fun.\Instead, we had to share a room with him right off the bat.\Good thing nothing happened, I guess. response:	So that wasn't you, was it?
context: That's obviously false information.\Same thing with the campfire legend.\They have, like, zero credibility.\Who freaks out over such a cheap toy?\I thought this school camp would be more fun.\Instead, we had to share a room with him right off the bat.\Good thing nothing happened, I guess.\So that wasn't you, was it? response:	What wasn't?
context: Same thing with the campfire legend.\They have, like, zero credibility.\Who freaks out over such a cheap toy?\I thought this school camp would be more fun.\Instead, we had to share a room with him right off the bat.\Good thing nothing happened, I guess.\So that wasn't you, was it?\What wasn't? response:	Go study!
context: They have, like, zero credibility.\Who freaks out over such a cheap toy?\I thought this school camp would be more fun.\Instead, we had to share a room with him right off the bat.\Good thing nothing happened, I guess.\So that wasn't you, was it?\What wasn't?\Go study! response:	I can't take it anymore!
context: Who freaks out over such a cheap toy?\I thought this school camp would be more fun.\Instead, we had to share a room with him right off the bat.\Good thing nothing happened, I guess.\So that wasn't you, was it?\What wasn't?\Go study!\I can't take it anymore! response:	Wait up, Itsuki!
context: I thought this school camp would be more fun.\Instead, we had to share a room with him right off the bat.\Good thing nothing happened, I guess.\So that wasn't you, was it?\What wasn't?\Go study!\I can't take it anymore!\Wait up, Itsuki! response:	Oh, dear.
context: Instead, we had to share a room with him right off the bat.\Good thing nothing happened, I guess.\So that wasn't you, was it?\What wasn't?\Go study!\I can't take it anymore!\Wait up, Itsuki!\Oh, dear. response:	We overdid it.
context: Good thing nothing happened, I guess.\So that wasn't you, was it?\What wasn't?\Go study!\I can't take it anymore!\Wait up, Itsuki!\Oh, dear.\We overdid it. response:	Huh?
context: So that wasn't you, was it?\What wasn't?\Go study!\I can't take it anymore!\Wait up, Itsuki!\Oh, dear.\We overdid it.\Huh? response:	Which way did they go?
context: What wasn't?\Go study!\I can't take it anymore!\Wait up, Itsuki!\Oh, dear.\We overdid it.\Huh?\Which way did they go? response:	You finally got to see Futaro-kun.
context: Go study!\I can't take it anymore!\Wait up, Itsuki!\Oh, dear.\We overdid it.\Huh?\Which way did they go?\You finally got to see Futaro-kun. response:	You should have stayed a little longer.
context: I can't take it anymore!\Wait up, Itsuki!\Oh, dear.\We overdid it.\Huh?\Which way did they go?\You finally got to see Futaro-kun.\You should have stayed a little longer. response:	I think I'm weird.
context: Wait up, Itsuki!\Oh, dear.\We overdid it.\Huh?\Which way did they go?\You finally got to see Futaro-kun.\You should have stayed a little longer.\I think I'm weird. response:	Futaro is tutoring all five of us.
context: Oh, dear.\We overdid it.\Huh?\Which way did they go?\You finally got to see Futaro-kun.\You should have stayed a little longer.\I think I'm weird.\Futaro is tutoring all five of us. response:	What do you think of Futaro, Ichika?
context: We overdid it.\Huh?\Which way did they go?\You finally got to see Futaro-kun.\You should have stayed a little longer.\I think I'm weird.\Futaro is tutoring all five of us.\What do you think of Futaro, Ichika? response:	Itsuki!
context: Huh?\Which way did they go?\You finally got to see Futaro-kun.\You should have stayed a little longer.\I think I'm weird.\Futaro is tutoring all five of us.\What do you think of Futaro, Ichika?\Itsuki! response:	Where did you go?
context: Which way did they go?\You finally got to see Futaro-kun.\You should have stayed a little longer.\I think I'm weird.\Futaro is tutoring all five of us.\What do you think of Futaro, Ichika?\Itsuki!\Where did you go? response:	Is this even the right way?
context: You finally got to see Futaro-kun.\You should have stayed a little longer.\I think I'm weird.\Futaro is tutoring all five of us.\What do you think of Futaro, Ichika?\Itsuki!\Where did you go?\Is this even the right way? response:	No way!
context: You should have stayed a little longer.\I think I'm weird.\Futaro is tutoring all five of us.\What do you think of Futaro, Ichika?\Itsuki!\Where did you go?\Is this even the right way?\No way! response:	Why is this happening?
context: I think I'm weird.\Futaro is tutoring all five of us.\What do you think of Futaro, Ichika?\Itsuki!\Where did you go?\Is this even the right way?\No way!\Why is this happening? response:	School camp's supposed to be fun,
context: Futaro is tutoring all five of us.\What do you think of Futaro, Ichika?\Itsuki!\Where did you go?\Is this even the right way?\No way!\Why is this happening?\School camp's supposed to be fun, response:	so why am I out here all alone?
context: What do you think of Futaro, Ichika?\Itsuki!\Where did you go?\Is this even the right way?\No way!\Why is this happening?\School camp's supposed to be fun,\so why am I out here all alone? response:	No!
context: Itsuki!\Where did you go?\Is this even the right way?\No way!\Why is this happening?\School camp's supposed to be fun,\so why am I out here all alone?\No! response:	Ow...
context: Where did you go?\Is this even the right way?\No way!\Why is this happening?\School camp's supposed to be fun,\so why am I out here all alone?\No!\Ow... response:	This sucks!
context: Is this even the right way?\No way!\Why is this happening?\School camp's supposed to be fun,\so why am I out here all alone?\No!\Ow...\This sucks! response:	Are you all right?
context: No way!\Why is this happening?\School camp's supposed to be fun,\so why am I out here all alone?\No!\Ow...\This sucks!\Are you all right? response:	I found you, Nino.
context: Why is this happening?\School camp's supposed to be fun,\so why am I out here all alone?\No!\Ow...\This sucks!\Are you all right?\I found you, Nino. response:	No way.
context: School camp's supposed to be fun,\so why am I out here all alone?\No!\Ow...\This sucks!\Are you all right?\I found you, Nino.\No way. response:	You're...
context: so why am I out here all alone?\No!\Ow...\This sucks!\Are you all right?\I found you, Nino.\No way.\You're... response:	The photo...
context: No!\Ow...\This sucks!\Are you all right?\I found you, Nino.\No way.\You're...\The photo... response:	It's the face from the photo!
context: Ow...\This sucks!\Are you all right?\I found you, Nino.\No way.\You're...\The photo...\It's the face from the photo! response:	What are you talking about?
context: This sucks!\Are you all right?\I found you, Nino.\No way.\You're...\The photo...\It's the face from the photo!\What are you talking about? response:	Come on, let's go.
context: Are you all right?\I found you, Nino.\No way.\You're...\The photo...\It's the face from the photo!\What are you talking about?\Come on, let's go. response:	Come with me.
context: I found you, Nino.\No way.\You're...\The photo...\It's the face from the photo!\What are you talking about?\Come on, let's go.\Come with me. response:	But I'm not...
context: No way.\You're...\The photo...\It's the face from the photo!\What are you talking about?\Come on, let's go.\Come with me.\But I'm not... response:	S-Sorry!
context: You're...\The photo...\It's the face from the photo!\What are you talking about?\Come on, let's go.\Come with me.\But I'm not...\S-Sorry! response:	Shit, she's going to kill me.
context: The photo...\It's the face from the photo!\What are you talking about?\Come on, let's go.\Come with me.\But I'm not...\S-Sorry!\Shit, she's going to kill me. response:	What?
context: It's the face from the photo!\What are you talking about?\Come on, let's go.\Come with me.\But I'm not...\S-Sorry!\Shit, she's going to kill me.\What? response:	I'm really sorry.
