context: One-inch Princess? response:	Really? Does she really exist?
context: Hey, wait a minute. Why do you have to do that?\You know, my feelings can get hurt too.\Why are you crying?\Leave me alone!\No way. It's Horikiri Chiyomi. Chiyomi.\Right. We don't have a person named Horikiri-san or Chiyomi-san here.\This address...\That means... Onii-chan (big bro) and Onee-chan (big sis) are... response:	Timing and Subtitles brought to you by The Little Lover Team @Viki
context: You know, my feelings can get hurt too.\Why are you crying?\Leave me alone!\No way. It's Horikiri Chiyomi. Chiyomi.\Right. We don't have a person named Horikiri-san or Chiyomi-san here.\This address...\That means... Onii-chan (big bro) and Onee-chan (big sis) are...\Timing and Subtitles brought to you by The Little Lover Team @Viki response:	That's clothes for One-inch Princess.
context: Why are you crying?\Leave me alone!\No way. It's Horikiri Chiyomi. Chiyomi.\Right. We don't have a person named Horikiri-san or Chiyomi-san here.\This address...\That means... Onii-chan (big bro) and Onee-chan (big sis) are...\Timing and Subtitles brought to you by The Little Lover Team @Viki\That's clothes for One-inch Princess. response:	One-inch Princess?
context: Leave me alone!\No way. It's Horikiri Chiyomi. Chiyomi.\Right. We don't have a person named Horikiri-san or Chiyomi-san here.\This address...\That means... Onii-chan (big bro) and Onee-chan (big sis) are...\Timing and Subtitles brought to you by The Little Lover Team @Viki\That's clothes for One-inch Princess.\One-inch Princess? response:	You know, a legendary princess around here who is like a dwarf.
context: No way. It's Horikiri Chiyomi. Chiyomi.\Right. We don't have a person named Horikiri-san or Chiyomi-san here.\This address...\That means... Onii-chan (big bro) and Onee-chan (big sis) are...\Timing and Subtitles brought to you by The Little Lover Team @Viki\That's clothes for One-inch Princess.\One-inch Princess?\You know, a legendary princess around here who is like a dwarf. response:	She said she saw her yesterday.
context: Right. We don't have a person named Horikiri-san or Chiyomi-san here.\This address...\That means... Onii-chan (big bro) and Onee-chan (big sis) are...\Timing and Subtitles brought to you by The Little Lover Team @Viki\That's clothes for One-inch Princess.\One-inch Princess?\You know, a legendary princess around here who is like a dwarf.\She said she saw her yesterday. response:	A princess like a dwarf?
context: This address...\That means... Onii-chan (big bro) and Onee-chan (big sis) are...\Timing and Subtitles brought to you by The Little Lover Team @Viki\That's clothes for One-inch Princess.\One-inch Princess?\You know, a legendary princess around here who is like a dwarf.\She said she saw her yesterday.\A princess like a dwarf? response:	Yesterday, she almost started a fire if Shunichi were not here.
context: That means... Onii-chan (big bro) and Onee-chan (big sis) are...\Timing and Subtitles brought to you by The Little Lover Team @Viki\That's clothes for One-inch Princess.\One-inch Princess?\You know, a legendary princess around here who is like a dwarf.\She said she saw her yesterday.\A princess like a dwarf?\Yesterday, she almost started a fire if Shunichi were not here. response:	She did?
context: Timing and Subtitles brought to you by The Little Lover Team @Viki\That's clothes for One-inch Princess.\One-inch Princess?\You know, a legendary princess around here who is like a dwarf.\She said she saw her yesterday.\A princess like a dwarf?\Yesterday, she almost started a fire if Shunichi were not here.\She did? response:	Grandma. You left a pot on the stove unattended.
context: That's clothes for One-inch Princess.\One-inch Princess?\You know, a legendary princess around here who is like a dwarf.\She said she saw her yesterday.\A princess like a dwarf?\Yesterday, she almost started a fire if Shunichi were not here.\She did?\Grandma. You left a pot on the stove unattended. response:	Eh?
context: One-inch Princess?\You know, a legendary princess around here who is like a dwarf.\She said she saw her yesterday.\A princess like a dwarf?\Yesterday, she almost started a fire if Shunichi were not here.\She did?\Grandma. You left a pot on the stove unattended.\Eh? response:	Oh, it's you, Noboru.
context: You know, a legendary princess around here who is like a dwarf.\She said she saw her yesterday.\A princess like a dwarf?\Yesterday, she almost started a fire if Shunichi were not here.\She did?\Grandma. You left a pot on the stove unattended.\Eh?\Oh, it's you, Noboru. response:	What?
context: She said she saw her yesterday.\A princess like a dwarf?\Yesterday, she almost started a fire if Shunichi were not here.\She did?\Grandma. You left a pot on the stove unattended.\Eh?\Oh, it's you, Noboru.\What? response:	I'm glad she got better, but...
context: A princess like a dwarf?\Yesterday, she almost started a fire if Shunichi were not here.\She did?\Grandma. You left a pot on the stove unattended.\Eh?\Oh, it's you, Noboru.\What?\I'm glad she got better, but... response:	I see...
context: Yesterday, she almost started a fire if Shunichi were not here.\She did?\Grandma. You left a pot on the stove unattended.\Eh?\Oh, it's you, Noboru.\What?\I'm glad she got better, but...\I see... response:	Then, I will come visit here when you are not home as often as possible.
context: She did?\Grandma. You left a pot on the stove unattended.\Eh?\Oh, it's you, Noboru.\What?\I'm glad she got better, but...\I see...\Then, I will come visit here when you are not home as often as possible. response:	Sorry, Ricchan. I know you're going through tough time because of Chiyomi-chan.
context: Grandma. You left a pot on the stove unattended.\Eh?\Oh, it's you, Noboru.\What?\I'm glad she got better, but...\I see...\Then, I will come visit here when you are not home as often as possible.\Sorry, Ricchan. I know you're going through tough time because of Chiyomi-chan. response:	Don't worry. It will help me get my mind off of that, you know.
context: Eh?\Oh, it's you, Noboru.\What?\I'm glad she got better, but...\I see...\Then, I will come visit here when you are not home as often as possible.\Sorry, Ricchan. I know you're going through tough time because of Chiyomi-chan.\Don't worry. It will help me get my mind off of that, you know. response:	Well then, I'll get going.
context: Oh, it's you, Noboru.\What?\I'm glad she got better, but...\I see...\Then, I will come visit here when you are not home as often as possible.\Sorry, Ricchan. I know you're going through tough time because of Chiyomi-chan.\Don't worry. It will help me get my mind off of that, you know.\Well then, I'll get going. response:	-Thanks. - Sure.
context: What?\I'm glad she got better, but...\I see...\Then, I will come visit here when you are not home as often as possible.\Sorry, Ricchan. I know you're going through tough time because of Chiyomi-chan.\Don't worry. It will help me get my mind off of that, you know.\Well then, I'll get going.\-Thanks. - Sure. response:	Obachan (auntie), I'll come visit again.
context: I'm glad she got better, but...\I see...\Then, I will come visit here when you are not home as often as possible.\Sorry, Ricchan. I know you're going through tough time because of Chiyomi-chan.\Don't worry. It will help me get my mind off of that, you know.\Well then, I'll get going.\-Thanks. - Sure.\Obachan (auntie), I'll come visit again. response:	Okay, see you.
context: I see...\Then, I will come visit here when you are not home as often as possible.\Sorry, Ricchan. I know you're going through tough time because of Chiyomi-chan.\Don't worry. It will help me get my mind off of that, you know.\Well then, I'll get going.\-Thanks. - Sure.\Obachan (auntie), I'll come visit again.\Okay, see you. response:	I'm sorry, Mom.
context: Then, I will come visit here when you are not home as often as possible.\Sorry, Ricchan. I know you're going through tough time because of Chiyomi-chan.\Don't worry. It will help me get my mind off of that, you know.\Well then, I'll get going.\-Thanks. - Sure.\Obachan (auntie), I'll come visit again.\Okay, see you.\I'm sorry, Mom. response:	My Little Lover - Minami Kun No Koibito
context: Sorry, Ricchan. I know you're going through tough time because of Chiyomi-chan.\Don't worry. It will help me get my mind off of that, you know.\Well then, I'll get going.\-Thanks. - Sure.\Obachan (auntie), I'll come visit again.\Okay, see you.\I'm sorry, Mom.\My Little Lover - Minami Kun No Koibito response:	N I am not good at talking in similitudesN
context: Don't worry. It will help me get my mind off of that, you know.\Well then, I'll get going.\-Thanks. - Sure.\Obachan (auntie), I'll come visit again.\Okay, see you.\I'm sorry, Mom.\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN response:	N So I can't do a good job telling a taleN
context: Well then, I'll get going.\-Thanks. - Sure.\Obachan (auntie), I'll come visit again.\Okay, see you.\I'm sorry, Mom.\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN\N So I can't do a good job telling a taleN response:	N But, I will tell you an amazing story N
context: -Thanks. - Sure.\Obachan (auntie), I'll come visit again.\Okay, see you.\I'm sorry, Mom.\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN\N So I can't do a good job telling a taleN\N But, I will tell you an amazing story N response:	N that will fit in a pocket N
context: Obachan (auntie), I'll come visit again.\Okay, see you.\I'm sorry, Mom.\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN\N So I can't do a good job telling a taleN\N But, I will tell you an amazing story N\N that will fit in a pocket N response:	N God played a trick N
context: Okay, see you.\I'm sorry, Mom.\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN\N So I can't do a good job telling a taleN\N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N response:	N And a dramatic time began N
context: I'm sorry, Mom.\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN\N So I can't do a good job telling a taleN\N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N response:	N The shape of happiness you and I imagined N
context: My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN\N So I can't do a good job telling a taleN\N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N response:	N doesn't have a name N
context: N I am not good at talking in similitudesN\N So I can't do a good job telling a taleN\N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N response:	N it's okay N
context: N So I can't do a good job telling a taleN\N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N it's okay N response:	N I will write words that won't be erased like a magic N
context: N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N it's okay N\N I will write words that won't be erased like a magic N response:	N and turn the page N
context: N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N response:	N It is like a sequel to the fairy tale N
context: N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N response:	N We can smile forever N
context: N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N\N We can smile forever N response:	N To a place over the rainbow N
context: N The shape of happiness you and I imagined N\N doesn't have a name N\N it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N\N We can smile forever N\N To a place over the rainbow N response:	N Let's imagine N
context: N doesn't have a name N\N it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N\N We can smile forever N\N To a place over the rainbow N\N Let's imagine N response:	N a story with a happy ending N
context: N it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N\N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N response:	- What? You're going to stay at home? - Right.
context: N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N\N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\- What? You're going to stay at home? - Right. response:	Grandma saw you, didn't she?
context: N and turn the page N\N It is like a sequel to the fairy tale N\N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\- What? You're going to stay at home? - Right.\Grandma saw you, didn't she? response:	She will want to see you again and look for you.
context: N It is like a sequel to the fairy tale N\N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\- What? You're going to stay at home? - Right.\Grandma saw you, didn't she?\She will want to see you again and look for you. response:	She'll look for One-inch Princess. Not me.
context: N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\- What? You're going to stay at home? - Right.\Grandma saw you, didn't she?\She will want to see you again and look for you.\She'll look for One-inch Princess. Not me. response:	She is losing her mind now, so it might be okay...
context: N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\- What? You're going to stay at home? - Right.\Grandma saw you, didn't she?\She will want to see you again and look for you.\She'll look for One-inch Princess. Not me.\She is losing her mind now, so it might be okay... response:	No, it won't be okay. Not at all.
context: N Let's imagine N\N a story with a happy ending N\- What? You're going to stay at home? - Right.\Grandma saw you, didn't she?\She will want to see you again and look for you.\She'll look for One-inch Princess. Not me.\She is losing her mind now, so it might be okay...\No, it won't be okay. Not at all. response:	Please! I am worried about Grandma.
context: N a story with a happy ending N\- What? You're going to stay at home? - Right.\Grandma saw you, didn't she?\She will want to see you again and look for you.\She'll look for One-inch Princess. Not me.\She is losing her mind now, so it might be okay...\No, it won't be okay. Not at all.\Please! I am worried about Grandma. response:	I will contact you as soon as something happens.
context: - What? You're going to stay at home? - Right.\Grandma saw you, didn't she?\She will want to see you again and look for you.\She'll look for One-inch Princess. Not me.\She is losing her mind now, so it might be okay...\No, it won't be okay. Not at all.\Please! I am worried about Grandma.\I will contact you as soon as something happens. response:	Pheromone Nomura is absent again.
context: Grandma saw you, didn't she?\She will want to see you again and look for you.\She'll look for One-inch Princess. Not me.\She is losing her mind now, so it might be okay...\No, it won't be okay. Not at all.\Please! I am worried about Grandma.\I will contact you as soon as something happens.\Pheromone Nomura is absent again. response:	It sucks!
context: She will want to see you again and look for you.\She'll look for One-inch Princess. Not me.\She is losing her mind now, so it might be okay...\No, it won't be okay. Not at all.\Please! I am worried about Grandma.\I will contact you as soon as something happens.\Pheromone Nomura is absent again.\It sucks! response:	It's meaningless to come to school if I can't smell her.
context: She'll look for One-inch Princess. Not me.\She is losing her mind now, so it might be okay...\No, it won't be okay. Not at all.\Please! I am worried about Grandma.\I will contact you as soon as something happens.\Pheromone Nomura is absent again.\It sucks!\It's meaningless to come to school if I can't smell her. response:	Oh, yeah? Good for you.
context: She is losing her mind now, so it might be okay...\No, it won't be okay. Not at all.\Please! I am worried about Grandma.\I will contact you as soon as something happens.\Pheromone Nomura is absent again.\It sucks!\It's meaningless to come to school if I can't smell her.\Oh, yeah? Good for you. response:	I finally received an e-mail from Horikiri-shi a while ago.
context: No, it won't be okay. Not at all.\Please! I am worried about Grandma.\I will contact you as soon as something happens.\Pheromone Nomura is absent again.\It sucks!\It's meaningless to come to school if I can't smell her.\Oh, yeah? Good for you.\I finally received an e-mail from Horikiri-shi a while ago. response:	What did she say?
context: Please! I am worried about Grandma.\I will contact you as soon as something happens.\Pheromone Nomura is absent again.\It sucks!\It's meaningless to come to school if I can't smell her.\Oh, yeah? Good for you.\I finally received an e-mail from Horikiri-shi a while ago.\What did she say? response:	She only wrote about the workshop.
context: I will contact you as soon as something happens.\Pheromone Nomura is absent again.\It sucks!\It's meaningless to come to school if I can't smell her.\Oh, yeah? Good for you.\I finally received an e-mail from Horikiri-shi a while ago.\What did she say?\She only wrote about the workshop. response:	She said it's been hard but fun. I'm relieved she's doing well.
context: Pheromone Nomura is absent again.\It sucks!\It's meaningless to come to school if I can't smell her.\Oh, yeah? Good for you.\I finally received an e-mail from Horikiri-shi a while ago.\What did she say?\She only wrote about the workshop.\She said it's been hard but fun. I'm relieved she's doing well. response:	Well, I don't mean to be gready but wanted to receive a video.
context: It sucks!\It's meaningless to come to school if I can't smell her.\Oh, yeah? Good for you.\I finally received an e-mail from Horikiri-shi a while ago.\What did she say?\She only wrote about the workshop.\She said it's been hard but fun. I'm relieved she's doing well.\Well, I don't mean to be gready but wanted to receive a video. response:	You know, about the workshop...
context: It's meaningless to come to school if I can't smell her.\Oh, yeah? Good for you.\I finally received an e-mail from Horikiri-shi a while ago.\What did she say?\She only wrote about the workshop.\She said it's been hard but fun. I'm relieved she's doing well.\Well, I don't mean to be gready but wanted to receive a video.\You know, about the workshop... response:	Yeah?
context: Oh, yeah? Good for you.\I finally received an e-mail from Horikiri-shi a while ago.\What did she say?\She only wrote about the workshop.\She said it's been hard but fun. I'm relieved she's doing well.\Well, I don't mean to be gready but wanted to receive a video.\You know, about the workshop...\Yeah? response:	Actually, it seems she has not been attending the workshop.
context: I finally received an e-mail from Horikiri-shi a while ago.\What did she say?\She only wrote about the workshop.\She said it's been hard but fun. I'm relieved she's doing well.\Well, I don't mean to be gready but wanted to receive a video.\You know, about the workshop...\Yeah?\Actually, it seems she has not been attending the workshop. response:	What?
context: What did she say?\She only wrote about the workshop.\She said it's been hard but fun. I'm relieved she's doing well.\Well, I don't mean to be gready but wanted to receive a video.\You know, about the workshop...\Yeah?\Actually, it seems she has not been attending the workshop.\What? response:	Takagi-kun.
context: She only wrote about the workshop.\She said it's been hard but fun. I'm relieved she's doing well.\Well, I don't mean to be gready but wanted to receive a video.\You know, about the workshop...\Yeah?\Actually, it seems she has not been attending the workshop.\What?\Takagi-kun. response:	Sensei.
context: She said it's been hard but fun. I'm relieved she's doing well.\Well, I don't mean to be gready but wanted to receive a video.\You know, about the workshop...\Yeah?\Actually, it seems she has not been attending the workshop.\What?\Takagi-kun.\Sensei. response:	Oh, so you have known that Moon Bunny Michaela was Horikiri-san.
context: Well, I don't mean to be gready but wanted to receive a video.\You know, about the workshop...\Yeah?\Actually, it seems she has not been attending the workshop.\What?\Takagi-kun.\Sensei.\Oh, so you have known that Moon Bunny Michaela was Horikiri-san. response:	Yes.
context: You know, about the workshop...\Yeah?\Actually, it seems she has not been attending the workshop.\What?\Takagi-kun.\Sensei.\Oh, so you have known that Moon Bunny Michaela was Horikiri-san.\Yes. response:	She must have based Chobiko in a Pocket on this.
context: Yeah?\Actually, it seems she has not been attending the workshop.\What?\Takagi-kun.\Sensei.\Oh, so you have known that Moon Bunny Michaela was Horikiri-san.\Yes.\She must have based Chobiko in a Pocket on this. response:	The setting of the stories are similar.
context: Actually, it seems she has not been attending the workshop.\What?\Takagi-kun.\Sensei.\Oh, so you have known that Moon Bunny Michaela was Horikiri-san.\Yes.\She must have based Chobiko in a Pocket on this.\The setting of the stories are similar. response:	I wonder why Horikiri-san started writing a new story though.
context: What?\Takagi-kun.\Sensei.\Oh, so you have known that Moon Bunny Michaela was Horikiri-san.\Yes.\She must have based Chobiko in a Pocket on this.\The setting of the stories are similar.\I wonder why Horikiri-san started writing a new story though. response:	Blue Fairy was getting into a really interesting part of the story.
context: Takagi-kun.\Sensei.\Oh, so you have known that Moon Bunny Michaela was Horikiri-san.\Yes.\She must have based Chobiko in a Pocket on this.\The setting of the stories are similar.\I wonder why Horikiri-san started writing a new story though.\Blue Fairy was getting into a really interesting part of the story. response:	Perhaps, something happened to her state of mind, I think.
context: Sensei.\Oh, so you have known that Moon Bunny Michaela was Horikiri-san.\Yes.\She must have based Chobiko in a Pocket on this.\The setting of the stories are similar.\I wonder why Horikiri-san started writing a new story though.\Blue Fairy was getting into a really interesting part of the story.\Perhaps, something happened to her state of mind, I think. response:	Something happened to her state of mind...?
context: Oh, so you have known that Moon Bunny Michaela was Horikiri-san.\Yes.\She must have based Chobiko in a Pocket on this.\The setting of the stories are similar.\I wonder why Horikiri-san started writing a new story though.\Blue Fairy was getting into a really interesting part of the story.\Perhaps, something happened to her state of mind, I think.\Something happened to her state of mind...? response:	When I wrote what's been collecting inside me, it happend...
context: Yes.\She must have based Chobiko in a Pocket on this.\The setting of the stories are similar.\I wonder why Horikiri-san started writing a new story though.\Blue Fairy was getting into a really interesting part of the story.\Perhaps, something happened to her state of mind, I think.\Something happened to her state of mind...?\When I wrote what's been collecting inside me, it happend... response:	I guess that is a mental scenary that is inside your heart.
context: She must have based Chobiko in a Pocket on this.\The setting of the stories are similar.\I wonder why Horikiri-san started writing a new story though.\Blue Fairy was getting into a really interesting part of the story.\Perhaps, something happened to her state of mind, I think.\Something happened to her state of mind...?\When I wrote what's been collecting inside me, it happend...\I guess that is a mental scenary that is inside your heart. response:	Chobiko in a Pocket...
context: The setting of the stories are similar.\I wonder why Horikiri-san started writing a new story though.\Blue Fairy was getting into a really interesting part of the story.\Perhaps, something happened to her state of mind, I think.\Something happened to her state of mind...?\When I wrote what's been collecting inside me, it happend...\I guess that is a mental scenary that is inside your heart.\Chobiko in a Pocket... response:	That must be the mental scenary in her mind right now.
context: I wonder why Horikiri-san started writing a new story though.\Blue Fairy was getting into a really interesting part of the story.\Perhaps, something happened to her state of mind, I think.\Something happened to her state of mind...?\When I wrote what's been collecting inside me, it happend...\I guess that is a mental scenary that is inside your heart.\Chobiko in a Pocket...\That must be the mental scenary in her mind right now. response:	Could it be that she became Chobiko?
context: Blue Fairy was getting into a really interesting part of the story.\Perhaps, something happened to her state of mind, I think.\Something happened to her state of mind...?\When I wrote what's been collecting inside me, it happend...\I guess that is a mental scenary that is inside your heart.\Chobiko in a Pocket...\That must be the mental scenary in her mind right now.\Could it be that she became Chobiko? response:	Eh?
context: Perhaps, something happened to her state of mind, I think.\Something happened to her state of mind...?\When I wrote what's been collecting inside me, it happend...\I guess that is a mental scenary that is inside your heart.\Chobiko in a Pocket...\That must be the mental scenary in her mind right now.\Could it be that she became Chobiko?\Eh? response:	I'm kidding.
context: Something happened to her state of mind...?\When I wrote what's been collecting inside me, it happend...\I guess that is a mental scenary that is inside your heart.\Chobiko in a Pocket...\That must be the mental scenary in her mind right now.\Could it be that she became Chobiko?\Eh?\I'm kidding. response:	Oh, but it could be...
context: When I wrote what's been collecting inside me, it happend...\I guess that is a mental scenary that is inside your heart.\Chobiko in a Pocket...\That must be the mental scenary in her mind right now.\Could it be that she became Chobiko?\Eh?\I'm kidding.\Oh, but it could be... response:	What?
context: I guess that is a mental scenary that is inside your heart.\Chobiko in a Pocket...\That must be the mental scenary in her mind right now.\Could it be that she became Chobiko?\Eh?\I'm kidding.\Oh, but it could be...\What? response:	Horikiri-shi might be having impossible love.
context: Chobiko in a Pocket...\That must be the mental scenary in her mind right now.\Could it be that she became Chobiko?\Eh?\I'm kidding.\Oh, but it could be...\What?\Horikiri-shi might be having impossible love. response:	What makes you say so?
context: That must be the mental scenary in her mind right now.\Could it be that she became Chobiko?\Eh?\I'm kidding.\Oh, but it could be...\What?\Horikiri-shi might be having impossible love.\What makes you say so? response:	Chobiko loves the big guy who she can't possibly be together with.
context: Could it be that she became Chobiko?\Eh?\I'm kidding.\Oh, but it could be...\What?\Horikiri-shi might be having impossible love.\What makes you say so?\Chobiko loves the big guy who she can't possibly be together with. response:	The gap in the height of them might represent the alienation she feels for him from not being able to be with him.
context: Eh?\I'm kidding.\Oh, but it could be...\What?\Horikiri-shi might be having impossible love.\What makes you say so?\Chobiko loves the big guy who she can't possibly be together with.\The gap in the height of them might represent the alienation she feels for him from not being able to be with him. response:	I see...
context: I'm kidding.\Oh, but it could be...\What?\Horikiri-shi might be having impossible love.\What makes you say so?\Chobiko loves the big guy who she can't possibly be together with.\The gap in the height of them might represent the alienation she feels for him from not being able to be with him.\I see... response:	If that's the case, who is the big guy?
context: Oh, but it could be...\What?\Horikiri-shi might be having impossible love.\What makes you say so?\Chobiko loves the big guy who she can't possibly be together with.\The gap in the height of them might represent the alienation she feels for him from not being able to be with him.\I see...\If that's the case, who is the big guy? response:	Could the big guy be...?
context: What?\Horikiri-shi might be having impossible love.\What makes you say so?\Chobiko loves the big guy who she can't possibly be together with.\The gap in the height of them might represent the alienation she feels for him from not being able to be with him.\I see...\If that's the case, who is the big guy?\Could the big guy be...? response:	Okay, I'm going.
context: Horikiri-shi might be having impossible love.\What makes you say so?\Chobiko loves the big guy who she can't possibly be together with.\The gap in the height of them might represent the alienation she feels for him from not being able to be with him.\I see...\If that's the case, who is the big guy?\Could the big guy be...?\Okay, I'm going. response:	I'm borrowing this first. I'll give it to you when I'm done.
