context: He is perfect. response:	He worked hard to stay that way.
context: That summer was hot.\After our first date ended in failure...\We made up for it by going on a lot of dates.\Even though it was unavoidable, I still regret it.\That we weren't really able to be alone together since we started going out...\So you could say we felt it was now or never.\We may be a bit early.\Then why don't we go this way for a bit? response:	It was fun being with Miyazawa.
context: After our first date ended in failure...\We made up for it by going on a lot of dates.\Even though it was unavoidable, I still regret it.\That we weren't really able to be alone together since we started going out...\So you could say we felt it was now or never.\We may be a bit early.\Then why don't we go this way for a bit?\It was fun being with Miyazawa. response:	Since we had led lives of total hard work and self control until then...
context: We made up for it by going on a lot of dates.\Even though it was unavoidable, I still regret it.\That we weren't really able to be alone together since we started going out...\So you could say we felt it was now or never.\We may be a bit early.\Then why don't we go this way for a bit?\It was fun being with Miyazawa.\Since we had led lives of total hard work and self control until then... response:	Miyazawa is Weird.
context: Even though it was unavoidable, I still regret it.\That we weren't really able to be alone together since we started going out...\So you could say we felt it was now or never.\We may be a bit early.\Then why don't we go this way for a bit?\It was fun being with Miyazawa.\Since we had led lives of total hard work and self control until then...\Miyazawa is Weird. response:	*Stare.*
context: That we weren't really able to be alone together since we started going out...\So you could say we felt it was now or never.\We may be a bit early.\Then why don't we go this way for a bit?\It was fun being with Miyazawa.\Since we had led lives of total hard work and self control until then...\Miyazawa is Weird.\*Stare.* response:	What is it?
context: So you could say we felt it was now or never.\We may be a bit early.\Then why don't we go this way for a bit?\It was fun being with Miyazawa.\Since we had led lives of total hard work and self control until then...\Miyazawa is Weird.\*Stare.*\What is it? response:	Oh, nothing.
context: We may be a bit early.\Then why don't we go this way for a bit?\It was fun being with Miyazawa.\Since we had led lives of total hard work and self control until then...\Miyazawa is Weird.\*Stare.*\What is it?\Oh, nothing. response:	Weren't you glaring at me just now?
context: Then why don't we go this way for a bit?\It was fun being with Miyazawa.\Since we had led lives of total hard work and self control until then...\Miyazawa is Weird.\*Stare.*\What is it?\Oh, nothing.\Weren't you glaring at me just now? response:	I bet she's caught up in some mysterious train of thought again.
context: It was fun being with Miyazawa.\Since we had led lives of total hard work and self control until then...\Miyazawa is Weird.\*Stare.*\What is it?\Oh, nothing.\Weren't you glaring at me just now?\I bet she's caught up in some mysterious train of thought again. response:	I don't think I'll ever figure out her thought patterns as long as I live.
context: Since we had led lives of total hard work and self control until then...\Miyazawa is Weird.\*Stare.*\What is it?\Oh, nothing.\Weren't you glaring at me just now?\I bet she's caught up in some mysterious train of thought again.\I don't think I'll ever figure out her thought patterns as long as I live. response:	Sure, I like her, and I think she's cute...
context: Miyazawa is Weird.\*Stare.*\What is it?\Oh, nothing.\Weren't you glaring at me just now?\I bet she's caught up in some mysterious train of thought again.\I don't think I'll ever figure out her thought patterns as long as I live.\Sure, I like her, and I think she's cute... response:	But I've really gone and fallen for a weird person.
context: *Stare.*\What is it?\Oh, nothing.\Weren't you glaring at me just now?\I bet she's caught up in some mysterious train of thought again.\I don't think I'll ever figure out her thought patterns as long as I live.\Sure, I like her, and I think she's cute...\But I've really gone and fallen for a weird person. response:	She's really selfish,
context: What is it?\Oh, nothing.\Weren't you glaring at me just now?\I bet she's caught up in some mysterious train of thought again.\I don't think I'll ever figure out her thought patterns as long as I live.\Sure, I like her, and I think she's cute...\But I've really gone and fallen for a weird person.\She's really selfish, response:	her disposition's rotten to the core...
context: Oh, nothing.\Weren't you glaring at me just now?\I bet she's caught up in some mysterious train of thought again.\I don't think I'll ever figure out her thought patterns as long as I live.\Sure, I like her, and I think she's cute...\But I've really gone and fallen for a weird person.\She's really selfish,\her disposition's rotten to the core... response:	she's emotional,
context: Weren't you glaring at me just now?\I bet she's caught up in some mysterious train of thought again.\I don't think I'll ever figure out her thought patterns as long as I live.\Sure, I like her, and I think she's cute...\But I've really gone and fallen for a weird person.\She's really selfish,\her disposition's rotten to the core...\she's emotional, response:	she's scary when she gets mad...
context: I bet she's caught up in some mysterious train of thought again.\I don't think I'll ever figure out her thought patterns as long as I live.\Sure, I like her, and I think she's cute...\But I've really gone and fallen for a weird person.\She's really selfish,\her disposition's rotten to the core...\she's emotional,\she's scary when she gets mad... response:	It's also interesting how she seriously agonizes on
context: I don't think I'll ever figure out her thought patterns as long as I live.\Sure, I like her, and I think she's cute...\But I've really gone and fallen for a weird person.\She's really selfish,\her disposition's rotten to the core...\she's emotional,\she's scary when she gets mad...\It's also interesting how she seriously agonizes on response:	and off about how weird she is.
context: Sure, I like her, and I think she's cute...\But I've really gone and fallen for a weird person.\She's really selfish,\her disposition's rotten to the core...\she's emotional,\she's scary when she gets mad...\It's also interesting how she seriously agonizes on\and off about how weird she is. response:	Now that we've got more time together,
context: But I've really gone and fallen for a weird person.\She's really selfish,\her disposition's rotten to the core...\she's emotional,\she's scary when she gets mad...\It's also interesting how she seriously agonizes on\and off about how weird she is.\Now that we've got more time together, response:	I never get bored gazing at her unique world. *Sorry for serving English tea.* *It's ok.*
context: She's really selfish,\her disposition's rotten to the core...\she's emotional,\she's scary when she gets mad...\It's also interesting how she seriously agonizes on\and off about how weird she is.\Now that we've got more time together,\I never get bored gazing at her unique world. *Sorry for serving English tea.* *It's ok.* response:	*Glug glug.* It's ok, I like tea.
context: her disposition's rotten to the core...\she's emotional,\she's scary when she gets mad...\It's also interesting how she seriously agonizes on\and off about how weird she is.\Now that we've got more time together,\I never get bored gazing at her unique world. *Sorry for serving English tea.* *It's ok.*\*Glug glug.* It's ok, I like tea. response:	I bet Miyazawa doesn't know that I've got a complex towards her.
context: she's emotional,\she's scary when she gets mad...\It's also interesting how she seriously agonizes on\and off about how weird she is.\Now that we've got more time together,\I never get bored gazing at her unique world. *Sorry for serving English tea.* *It's ok.*\*Glug glug.* It's ok, I like tea.\I bet Miyazawa doesn't know that I've got a complex towards her. response:	It's not fair that our grades are the same
context: she's scary when she gets mad...\It's also interesting how she seriously agonizes on\and off about how weird she is.\Now that we've got more time together,\I never get bored gazing at her unique world. *Sorry for serving English tea.* *It's ok.*\*Glug glug.* It's ok, I like tea.\I bet Miyazawa doesn't know that I've got a complex towards her.\It's not fair that our grades are the same response:	and yet she's the one with all the individuality.
context: It's also interesting how she seriously agonizes on\and off about how weird she is.\Now that we've got more time together,\I never get bored gazing at her unique world. *Sorry for serving English tea.* *It's ok.*\*Glug glug.* It's ok, I like tea.\I bet Miyazawa doesn't know that I've got a complex towards her.\It's not fair that our grades are the same\and yet she's the one with all the individuality. response:	When I look at Miyazawa,
context: and off about how weird she is.\Now that we've got more time together,\I never get bored gazing at her unique world. *Sorry for serving English tea.* *It's ok.*\*Glug glug.* It's ok, I like tea.\I bet Miyazawa doesn't know that I've got a complex towards her.\It's not fair that our grades are the same\and yet she's the one with all the individuality.\When I look at Miyazawa, response:	I feel like I'm the most constricted, nondescript person in the world.
context: Now that we've got more time together,\I never get bored gazing at her unique world. *Sorry for serving English tea.* *It's ok.*\*Glug glug.* It's ok, I like tea.\I bet Miyazawa doesn't know that I've got a complex towards her.\It's not fair that our grades are the same\and yet she's the one with all the individuality.\When I look at Miyazawa,\I feel like I'm the most constricted, nondescript person in the world. response:	I guess the only value I really have is just being smart after all.
context: I never get bored gazing at her unique world. *Sorry for serving English tea.* *It's ok.*\*Glug glug.* It's ok, I like tea.\I bet Miyazawa doesn't know that I've got a complex towards her.\It's not fair that our grades are the same\and yet she's the one with all the individuality.\When I look at Miyazawa,\I feel like I'm the most constricted, nondescript person in the world.\I guess the only value I really have is just being smart after all. response:	I thought I'd be able to
context: *Glug glug.* It's ok, I like tea.\I bet Miyazawa doesn't know that I've got a complex towards her.\It's not fair that our grades are the same\and yet she's the one with all the individuality.\When I look at Miyazawa,\I feel like I'm the most constricted, nondescript person in the world.\I guess the only value I really have is just being smart after all.\I thought I'd be able to response:	be happy if I were perfect...
context: I bet Miyazawa doesn't know that I've got a complex towards her.\It's not fair that our grades are the same\and yet she's the one with all the individuality.\When I look at Miyazawa,\I feel like I'm the most constricted, nondescript person in the world.\I guess the only value I really have is just being smart after all.\I thought I'd be able to\be happy if I were perfect... response:	Yo, Miyazawa.
context: It's not fair that our grades are the same\and yet she's the one with all the individuality.\When I look at Miyazawa,\I feel like I'm the most constricted, nondescript person in the world.\I guess the only value I really have is just being smart after all.\I thought I'd be able to\be happy if I were perfect...\Yo, Miyazawa. response:	Yo, Asaba. Hallo.
context: and yet she's the one with all the individuality.\When I look at Miyazawa,\I feel like I'm the most constricted, nondescript person in the world.\I guess the only value I really have is just being smart after all.\I thought I'd be able to\be happy if I were perfect...\Yo, Miyazawa.\Yo, Asaba. Hallo. response:	Hallo.
context: When I look at Miyazawa,\I feel like I'm the most constricted, nondescript person in the world.\I guess the only value I really have is just being smart after all.\I thought I'd be able to\be happy if I were perfect...\Yo, Miyazawa.\Yo, Asaba. Hallo.\Hallo. response:	You're getting more tanned every day.
context: I feel like I'm the most constricted, nondescript person in the world.\I guess the only value I really have is just being smart after all.\I thought I'd be able to\be happy if I were perfect...\Yo, Miyazawa.\Yo, Asaba. Hallo.\Hallo.\You're getting more tanned every day. response:	I've been body boarding.
context: I guess the only value I really have is just being smart after all.\I thought I'd be able to\be happy if I were perfect...\Yo, Miyazawa.\Yo, Asaba. Hallo.\Hallo.\You're getting more tanned every day.\I've been body boarding. response:	Body boarding...?
context: I thought I'd be able to\be happy if I were perfect...\Yo, Miyazawa.\Yo, Asaba. Hallo.\Hallo.\You're getting more tanned every day.\I've been body boarding.\Body boarding...? response:	Not another fad...
context: be happy if I were perfect...\Yo, Miyazawa.\Yo, Asaba. Hallo.\Hallo.\You're getting more tanned every day.\I've been body boarding.\Body boarding...?\Not another fad... response:	Are you trying to pick up girls on the beach this time?
context: Yo, Miyazawa.\Yo, Asaba. Hallo.\Hallo.\You're getting more tanned every day.\I've been body boarding.\Body boarding...?\Not another fad...\Are you trying to pick up girls on the beach this time? response:	Swimsuit girls are awesome!
context: Yo, Asaba. Hallo.\Hallo.\You're getting more tanned every day.\I've been body boarding.\Body boarding...?\Not another fad...\Are you trying to pick up girls on the beach this time?\Swimsuit girls are awesome! response:	The ocean is a paradise for men!
context: Hallo.\You're getting more tanned every day.\I've been body boarding.\Body boarding...?\Not another fad...\Are you trying to pick up girls on the beach this time?\Swimsuit girls are awesome!\The ocean is a paradise for men! response:	I see...
context: You're getting more tanned every day.\I've been body boarding.\Body boarding...?\Not another fad...\Are you trying to pick up girls on the beach this time?\Swimsuit girls are awesome!\The ocean is a paradise for men!\I see... response:	How about you?
context: I've been body boarding.\Body boarding...?\Not another fad...\Are you trying to pick up girls on the beach this time?\Swimsuit girls are awesome!\The ocean is a paradise for men!\I see...\How about you? response:	You went on a date with Arima yesterday, right?
context: Body boarding...?\Not another fad...\Are you trying to pick up girls on the beach this time?\Swimsuit girls are awesome!\The ocean is a paradise for men!\I see...\How about you?\You went on a date with Arima yesterday, right? response:	How'd it go?
context: Not another fad...\Are you trying to pick up girls on the beach this time?\Swimsuit girls are awesome!\The ocean is a paradise for men!\I see...\How about you?\You went on a date with Arima yesterday, right?\How'd it go? response:	Heh heh heh! YOU know...
context: Are you trying to pick up girls on the beach this time?\Swimsuit girls are awesome!\The ocean is a paradise for men!\I see...\How about you?\You went on a date with Arima yesterday, right?\How'd it go?\Heh heh heh! YOU know... response:	Miyazawa, couldn't you respond a bit more like a girl your age?
context: Swimsuit girls are awesome!\The ocean is a paradise for men!\I see...\How about you?\You went on a date with Arima yesterday, right?\How'd it go?\Heh heh heh! YOU know...\Miyazawa, couldn't you respond a bit more like a girl your age? response:	We went to the Shinagawa Aquarium...
context: The ocean is a paradise for men!\I see...\How about you?\You went on a date with Arima yesterday, right?\How'd it go?\Heh heh heh! YOU know...\Miyazawa, couldn't you respond a bit more like a girl your age?\We went to the Shinagawa Aquarium... response:	Really?
context: I see...\How about you?\You went on a date with Arima yesterday, right?\How'd it go?\Heh heh heh! YOU know...\Miyazawa, couldn't you respond a bit more like a girl your age?\We went to the Shinagawa Aquarium...\Really? response:	During summer vacation we're going to
context: How about you?\You went on a date with Arima yesterday, right?\How'd it go?\Heh heh heh! YOU know...\Miyazawa, couldn't you respond a bit more like a girl your age?\We went to the Shinagawa Aquarium...\Really?\During summer vacation we're going to response:	Edo River or Sumida River to see the fireworks.
context: You went on a date with Arima yesterday, right?\How'd it go?\Heh heh heh! YOU know...\Miyazawa, couldn't you respond a bit more like a girl your age?\We went to the Shinagawa Aquarium...\Really?\During summer vacation we're going to\Edo River or Sumida River to see the fireworks. response:	We're going to Disneyland, too.
context: How'd it go?\Heh heh heh! YOU know...\Miyazawa, couldn't you respond a bit more like a girl your age?\We went to the Shinagawa Aquarium...\Really?\During summer vacation we're going to\Edo River or Sumida River to see the fireworks.\We're going to Disneyland, too. response:	Take me with you.
context: Heh heh heh! YOU know...\Miyazawa, couldn't you respond a bit more like a girl your age?\We went to the Shinagawa Aquarium...\Really?\During summer vacation we're going to\Edo River or Sumida River to see the fireworks.\We're going to Disneyland, too.\Take me with you. response:	No way!
context: Miyazawa, couldn't you respond a bit more like a girl your age?\We went to the Shinagawa Aquarium...\Really?\During summer vacation we're going to\Edo River or Sumida River to see the fireworks.\We're going to Disneyland, too.\Take me with you.\No way! response:	Yo, Arima.
context: We went to the Shinagawa Aquarium...\Really?\During summer vacation we're going to\Edo River or Sumida River to see the fireworks.\We're going to Disneyland, too.\Take me with you.\No way!\Yo, Arima. response:	Hideaki.
context: Really?\During summer vacation we're going to\Edo River or Sumida River to see the fireworks.\We're going to Disneyland, too.\Take me with you.\No way!\Yo, Arima.\Hideaki. response:	I just saw Miyazawa.
context: During summer vacation we're going to\Edo River or Sumida River to see the fireworks.\We're going to Disneyland, too.\Take me with you.\No way!\Yo, Arima.\Hideaki.\I just saw Miyazawa. response:	You're getting more tanned every day.
context: Edo River or Sumida River to see the fireworks.\We're going to Disneyland, too.\Take me with you.\No way!\Yo, Arima.\Hideaki.\I just saw Miyazawa.\You're getting more tanned every day. response:	I've been
context: We're going to Disneyland, too.\Take me with you.\No way!\Yo, Arima.\Hideaki.\I just saw Miyazawa.\You're getting more tanned every day.\I've been response:	body boarding.
context: Take me with you.\No way!\Yo, Arima.\Hideaki.\I just saw Miyazawa.\You're getting more tanned every day.\I've been\body boarding. response:	Finals are coming soon. Make sure to study.
context: No way!\Yo, Arima.\Hideaki.\I just saw Miyazawa.\You're getting more tanned every day.\I've been\body boarding.\Finals are coming soon. Make sure to study. response:	Come on. You're the one
context: Yo, Arima.\Hideaki.\I just saw Miyazawa.\You're getting more tanned every day.\I've been\body boarding.\Finals are coming soon. Make sure to study.\Come on. You're the one response:	going on all those dates.
context: Hideaki.\I just saw Miyazawa.\You're getting more tanned every day.\I've been\body boarding.\Finals are coming soon. Make sure to study.\Come on. You're the one\going on all those dates. response:	Sounds like fun.
context: I just saw Miyazawa.\You're getting more tanned every day.\I've been\body boarding.\Finals are coming soon. Make sure to study.\Come on. You're the one\going on all those dates.\Sounds like fun. response:	I'm studying, so it's okay.
context: You're getting more tanned every day.\I've been\body boarding.\Finals are coming soon. Make sure to study.\Come on. You're the one\going on all those dates.\Sounds like fun.\I'm studying, so it's okay. response:	Miyazawa seemed really happy.
context: I've been\body boarding.\Finals are coming soon. Make sure to study.\Come on. You're the one\going on all those dates.\Sounds like fun.\I'm studying, so it's okay.\Miyazawa seemed really happy. response:	Yeah.
context: body boarding.\Finals are coming soon. Make sure to study.\Come on. You're the one\going on all those dates.\Sounds like fun.\I'm studying, so it's okay.\Miyazawa seemed really happy.\Yeah. response:	She gets to go on a date with Arima! Lucky her!
context: Finals are coming soon. Make sure to study.\Come on. You're the one\going on all those dates.\Sounds like fun.\I'm studying, so it's okay.\Miyazawa seemed really happy.\Yeah.\She gets to go on a date with Arima! Lucky her! response:	I wanna go on one, too!
context: Come on. You're the one\going on all those dates.\Sounds like fun.\I'm studying, so it's okay.\Miyazawa seemed really happy.\Yeah.\She gets to go on a date with Arima! Lucky her!\I wanna go on one, too! response:	What're you talking about?
context: going on all those dates.\Sounds like fun.\I'm studying, so it's okay.\Miyazawa seemed really happy.\Yeah.\She gets to go on a date with Arima! Lucky her!\I wanna go on one, too!\What're you talking about? response:	It's not that fun being with me.
context: Sounds like fun.\I'm studying, so it's okay.\Miyazawa seemed really happy.\Yeah.\She gets to go on a date with Arima! Lucky her!\I wanna go on one, too!\What're you talking about?\It's not that fun being with me. response:	Three months have passed since I met Miyazawa.
context: I'm studying, so it's okay.\Miyazawa seemed really happy.\Yeah.\She gets to go on a date with Arima! Lucky her!\I wanna go on one, too!\What're you talking about?\It's not that fun being with me.\Three months have passed since I met Miyazawa. response:	The first month was a one-sided love...
context: Miyazawa seemed really happy.\Yeah.\She gets to go on a date with Arima! Lucky her!\I wanna go on one, too!\What're you talking about?\It's not that fun being with me.\Three months have passed since I met Miyazawa.\The first month was a one-sided love... response:	I should've been able to change, being with Miyazawa.
context: Yeah.\She gets to go on a date with Arima! Lucky her!\I wanna go on one, too!\What're you talking about?\It's not that fun being with me.\Three months have passed since I met Miyazawa.\The first month was a one-sided love...\I should've been able to change, being with Miyazawa. response:	But I haven't really changed much, after all.
context: She gets to go on a date with Arima! Lucky her!\I wanna go on one, too!\What're you talking about?\It's not that fun being with me.\Three months have passed since I met Miyazawa.\The first month was a one-sided love...\I should've been able to change, being with Miyazawa.\But I haven't really changed much, after all. response:	I keep suppressing my feelings.
context: I wanna go on one, too!\What're you talking about?\It's not that fun being with me.\Three months have passed since I met Miyazawa.\The first month was a one-sided love...\I should've been able to change, being with Miyazawa.\But I haven't really changed much, after all.\I keep suppressing my feelings. response:	Reason always comes before my emotions.
context: What're you talking about?\It's not that fun being with me.\Three months have passed since I met Miyazawa.\The first month was a one-sided love...\I should've been able to change, being with Miyazawa.\But I haven't really changed much, after all.\I keep suppressing my feelings.\Reason always comes before my emotions. response:	Sure, I'm human,
context: It's not that fun being with me.\Three months have passed since I met Miyazawa.\The first month was a one-sided love...\I should've been able to change, being with Miyazawa.\But I haven't really changed much, after all.\I keep suppressing my feelings.\Reason always comes before my emotions.\Sure, I'm human, response:	so occasionally I get emotional, but...
