context: I always wanted to try that! response:	No manners at all...
context: and as a result, Module 77 has found itself in an almost anticiimactic peace.\We're establishing a set of rules, and are getting by.\Admittedly...\Things with Shoko are exactly the way they used to be.\Disappointingly enough...\It's so hot...\It's hot, all right...\But that's not the reason... response:	Hey! Let's use this to load up the supplies!
context: We're establishing a set of rules, and are getting by.\Admittedly...\Things with Shoko are exactly the way they used to be.\Disappointingly enough...\It's so hot...\It's hot, all right...\But that's not the reason...\Hey! Let's use this to load up the supplies! response:	You don't have a license.
context: Admittedly...\Things with Shoko are exactly the way they used to be.\Disappointingly enough...\It's so hot...\It's hot, all right...\But that's not the reason...\Hey! Let's use this to load up the supplies!\You don't have a license. response:	What's the problem?
context: Things with Shoko are exactly the way they used to be.\Disappointingly enough...\It's so hot...\It's hot, all right...\But that's not the reason...\Hey! Let's use this to load up the supplies!\You don't have a license.\What's the problem? response:	You guys make the laws, and you're also the police.
context: Disappointingly enough...\It's so hot...\It's hot, all right...\But that's not the reason...\Hey! Let's use this to load up the supplies!\You don't have a license.\What's the problem?\You guys make the laws, and you're also the police. response:	I always wanted to try driving one of these!
context: It's so hot...\It's hot, all right...\But that's not the reason...\Hey! Let's use this to load up the supplies!\You don't have a license.\What's the problem?\You guys make the laws, and you're also the police.\I always wanted to try driving one of these! response:	Otamaya!
context: It's hot, all right...\But that's not the reason...\Hey! Let's use this to load up the supplies!\You don't have a license.\What's the problem?\You guys make the laws, and you're also the police.\I always wanted to try driving one of these!\Otamaya! response:	What's the big idea?
context: But that's not the reason...\Hey! Let's use this to load up the supplies!\You don't have a license.\What's the problem?\You guys make the laws, and you're also the police.\I always wanted to try driving one of these!\Otamaya!\What's the big idea? response:	You're paying for that!
context: Hey! Let's use this to load up the supplies!\You don't have a license.\What's the problem?\You guys make the laws, and you're also the police.\I always wanted to try driving one of these!\Otamaya!\What's the big idea?\You're paying for that! response:	Shoko?
context: You don't have a license.\What's the problem?\You guys make the laws, and you're also the police.\I always wanted to try driving one of these!\Otamaya!\What's the big idea?\You're paying for that!\Shoko? response:	That feels great!
context: What's the problem?\You guys make the laws, and you're also the police.\I always wanted to try driving one of these!\Otamaya!\What's the big idea?\You're paying for that!\Shoko?\That feels great! response:	It's so cold!
context: You guys make the laws, and you're also the police.\I always wanted to try driving one of these!\Otamaya!\What's the big idea?\You're paying for that!\Shoko?\That feels great!\It's so cold! response:	Yay!
context: I always wanted to try driving one of these!\Otamaya!\What's the big idea?\You're paying for that!\Shoko?\That feels great!\It's so cold!\Yay! response:	Me, too!
context: Otamaya!\What's the big idea?\You're paying for that!\Shoko?\That feels great!\It's so cold!\Yay!\Me, too! response:	State of progress is 63.
context: What's the big idea?\You're paying for that!\Shoko?\That feels great!\It's so cold!\Yay!\Me, too!\State of progress is 63. response:	The evacuation team is slightly behind schedule.
context: You're paying for that!\Shoko?\That feels great!\It's so cold!\Yay!\Me, too!\State of progress is 63.\The evacuation team is slightly behind schedule. response:	Ma'am, what do we do about that?
context: Shoko?\That feels great!\It's so cold!\Yay!\Me, too!\State of progress is 63.\The evacuation team is slightly behind schedule.\Ma'am, what do we do about that? response:	Well, what if they went Oo! and then Vroom vroom vroom!?
context: That feels great!\It's so cold!\Yay!\Me, too!\State of progress is 63.\The evacuation team is slightly behind schedule.\Ma'am, what do we do about that?\Well, what if they went Oo! and then Vroom vroom vroom!? response:	The retrieval team is ahead of schedule.
context: It's so cold!\Yay!\Me, too!\State of progress is 63.\The evacuation team is slightly behind schedule.\Ma'am, what do we do about that?\Well, what if they went Oo! and then Vroom vroom vroom!?\The retrieval team is ahead of schedule. response:	What if we assigned some of them to the evacuation team?
context: Yay!\Me, too!\State of progress is 63.\The evacuation team is slightly behind schedule.\Ma'am, what do we do about that?\Well, what if they went Oo! and then Vroom vroom vroom!?\The retrieval team is ahead of schedule.\What if we assigned some of them to the evacuation team? response:	That's the Student Council President for you!
context: Me, too!\State of progress is 63.\The evacuation team is slightly behind schedule.\Ma'am, what do we do about that?\Well, what if they went Oo! and then Vroom vroom vroom!?\The retrieval team is ahead of schedule.\What if we assigned some of them to the evacuation team?\That's the Student Council President for you! response:	It was nothing.
context: State of progress is 63.\The evacuation team is slightly behind schedule.\Ma'am, what do we do about that?\Well, what if they went Oo! and then Vroom vroom vroom!?\The retrieval team is ahead of schedule.\What if we assigned some of them to the evacuation team?\That's the Student Council President for you!\It was nothing. response:	Still, it's so hot...
context: The evacuation team is slightly behind schedule.\Ma'am, what do we do about that?\Well, what if they went Oo! and then Vroom vroom vroom!?\The retrieval team is ahead of schedule.\What if we assigned some of them to the evacuation team?\That's the Student Council President for you!\It was nothing.\Still, it's so hot... response:	Is it because we're farther away from the artificial sun?
context: Ma'am, what do we do about that?\Well, what if they went Oo! and then Vroom vroom vroom!?\The retrieval team is ahead of schedule.\What if we assigned some of them to the evacuation team?\That's the Student Council President for you!\It was nothing.\Still, it's so hot...\Is it because we're farther away from the artificial sun? response:	The system is working hard to make sure we don't get too cold.
context: Well, what if they went Oo! and then Vroom vroom vroom!?\The retrieval team is ahead of schedule.\What if we assigned some of them to the evacuation team?\That's the Student Council President for you!\It was nothing.\Still, it's so hot...\Is it because we're farther away from the artificial sun?\The system is working hard to make sure we don't get too cold. response:	Keep the temperature at 28C at all times!!
context: The retrieval team is ahead of schedule.\What if we assigned some of them to the evacuation team?\That's the Student Council President for you!\It was nothing.\Still, it's so hot...\Is it because we're farther away from the artificial sun?\The system is working hard to make sure we don't get too cold.\Keep the temperature at 28C at all times!! response:	You're officially recognizing them, sir?
context: What if we assigned some of them to the evacuation team?\That's the Student Council President for you!\It was nothing.\Still, it's so hot...\Is it because we're farther away from the artificial sun?\The system is working hard to make sure we don't get too cold.\Keep the temperature at 28C at all times!!\You're officially recognizing them, sir? response:	You can't give in to their childish threats!
context: That's the Student Council President for you!\It was nothing.\Still, it's so hot...\Is it because we're farther away from the artificial sun?\The system is working hard to make sure we don't get too cold.\Keep the temperature at 28C at all times!!\You're officially recognizing them, sir?\You can't give in to their childish threats! response:	ARUS, Office of the President
context: It was nothing.\Still, it's so hot...\Is it because we're farther away from the artificial sun?\The system is working hard to make sure we don't get too cold.\Keep the temperature at 28C at all times!!\You're officially recognizing them, sir?\You can't give in to their childish threats!\ARUS, Office of the President response:	Perhaps, but support for them among ARUS citizens is growing.
context: Still, it's so hot...\Is it because we're farther away from the artificial sun?\The system is working hard to make sure we don't get too cold.\Keep the temperature at 28C at all times!!\You're officially recognizing them, sir?\You can't give in to their childish threats!\ARUS, Office of the President\Perhaps, but support for them among ARUS citizens is growing. response:	Thinking ahead to the next election, it would be a good idea to side with them.
context: Is it because we're farther away from the artificial sun?\The system is working hard to make sure we don't get too cold.\Keep the temperature at 28C at all times!!\You're officially recognizing them, sir?\You can't give in to their childish threats!\ARUS, Office of the President\Perhaps, but support for them among ARUS citizens is growing.\Thinking ahead to the next election, it would be a good idea to side with them. response:	These are children we're dealing with.
context: The system is working hard to make sure we don't get too cold.\Keep the temperature at 28C at all times!!\You're officially recognizing them, sir?\You can't give in to their childish threats!\ARUS, Office of the President\Perhaps, but support for them among ARUS citizens is growing.\Thinking ahead to the next election, it would be a good idea to side with them.\These are children we're dealing with. response:	We just need to humor them.
context: Keep the temperature at 28C at all times!!\You're officially recognizing them, sir?\You can't give in to their childish threats!\ARUS, Office of the President\Perhaps, but support for them among ARUS citizens is growing.\Thinking ahead to the next election, it would be a good idea to side with them.\These are children we're dealing with.\We just need to humor them. response:	Keep your priorities straight.
context: You're officially recognizing them, sir?\You can't give in to their childish threats!\ARUS, Office of the President\Perhaps, but support for them among ARUS citizens is growing.\Thinking ahead to the next election, it would be a good idea to side with them.\These are children we're dealing with.\We just need to humor them.\Keep your priorities straight. response:	The real threat to our country is
context: You can't give in to their childish threats!\ARUS, Office of the President\Perhaps, but support for them among ARUS citizens is growing.\Thinking ahead to the next election, it would be a good idea to side with them.\These are children we're dealing with.\We just need to humor them.\Keep your priorities straight.\The real threat to our country is response:	Dorssia Military Pact Federation Capital
context: ARUS, Office of the President\Perhaps, but support for them among ARUS citizens is growing.\Thinking ahead to the next election, it would be a good idea to side with them.\These are children we're dealing with.\We just need to humor them.\Keep your priorities straight.\The real threat to our country is\Dorssia Military Pact Federation Capital response:	Gentlemen!
context: Perhaps, but support for them among ARUS citizens is growing.\Thinking ahead to the next election, it would be a good idea to side with them.\These are children we're dealing with.\We just need to humor them.\Keep your priorities straight.\The real threat to our country is\Dorssia Military Pact Federation Capital\Gentlemen! response:	What is the state?
context: Thinking ahead to the next election, it would be a good idea to side with them.\These are children we're dealing with.\We just need to humor them.\Keep your priorities straight.\The real threat to our country is\Dorssia Military Pact Federation Capital\Gentlemen!\What is the state? response:	What one thing above all else does every citizen require and desire?
context: These are children we're dealing with.\We just need to humor them.\Keep your priorities straight.\The real threat to our country is\Dorssia Military Pact Federation Capital\Gentlemen!\What is the state?\What one thing above all else does every citizen require and desire? response:	The answer is - life!
context: We just need to humor them.\Keep your priorities straight.\The real threat to our country is\Dorssia Military Pact Federation Capital\Gentlemen!\What is the state?\What one thing above all else does every citizen require and desire?\The answer is - life! response:	There can be no freedom or equality without life!
context: Keep your priorities straight.\The real threat to our country is\Dorssia Military Pact Federation Capital\Gentlemen!\What is the state?\What one thing above all else does every citizen require and desire?\The answer is - life!\There can be no freedom or equality without life! response:	No matter how just the cause or sound the reasoning, without power, they fall on deaf ears!
context: The real threat to our country is\Dorssia Military Pact Federation Capital\Gentlemen!\What is the state?\What one thing above all else does every citizen require and desire?\The answer is - life!\There can be no freedom or equality without life!\No matter how just the cause or sound the reasoning, without power, they fall on deaf ears! response:	The state is power!
context: Dorssia Military Pact Federation Capital\Gentlemen!\What is the state?\What one thing above all else does every citizen require and desire?\The answer is - life!\There can be no freedom or equality without life!\No matter how just the cause or sound the reasoning, without power, they fall on deaf ears!\The state is power! response:	We must not forget the tragedy of Red Thursday!
context: Gentlemen!\What is the state?\What one thing above all else does every citizen require and desire?\The answer is - life!\There can be no freedom or equality without life!\No matter how just the cause or sound the reasoning, without power, they fall on deaf ears!\The state is power!\We must not forget the tragedy of Red Thursday! response:	We will change the future, and on the blood of our lost comrades,
context: What is the state?\What one thing above all else does every citizen require and desire?\The answer is - life!\There can be no freedom or equality without life!\No matter how just the cause or sound the reasoning, without power, they fall on deaf ears!\The state is power!\We must not forget the tragedy of Red Thursday!\We will change the future, and on the blood of our lost comrades, response:	we will win absolute, undisputed victory for Dorssia!
context: What one thing above all else does every citizen require and desire?\The answer is - life!\There can be no freedom or equality without life!\No matter how just the cause or sound the reasoning, without power, they fall on deaf ears!\The state is power!\We must not forget the tragedy of Red Thursday!\We will change the future, and on the blood of our lost comrades,\we will win absolute, undisputed victory for Dorssia! response:	Blitzendegen!
context: The answer is - life!\There can be no freedom or equality without life!\No matter how just the cause or sound the reasoning, without power, they fall on deaf ears!\The state is power!\We must not forget the tragedy of Red Thursday!\We will change the future, and on the blood of our lost comrades,\we will win absolute, undisputed victory for Dorssia!\Blitzendegen! response:	This is beyond JIOR... no, far beyond the technological level of humanity.
context: There can be no freedom or equality without life!\No matter how just the cause or sound the reasoning, without power, they fall on deaf ears!\The state is power!\We must not forget the tragedy of Red Thursday!\We will change the future, and on the blood of our lost comrades,\we will win absolute, undisputed victory for Dorssia!\Blitzendegen!\This is beyond JIOR... no, far beyond the technological level of humanity. response:	Professor Tokishima... what demon did you make a deal with?
context: No matter how just the cause or sound the reasoning, without power, they fall on deaf ears!\The state is power!\We must not forget the tragedy of Red Thursday!\We will change the future, and on the blood of our lost comrades,\we will win absolute, undisputed victory for Dorssia!\Blitzendegen!\This is beyond JIOR... no, far beyond the technological level of humanity.\Professor Tokishima... what demon did you make a deal with? response:	Professor! Professor Kibukawa!
context: The state is power!\We must not forget the tragedy of Red Thursday!\We will change the future, and on the blood of our lost comrades,\we will win absolute, undisputed victory for Dorssia!\Blitzendegen!\This is beyond JIOR... no, far beyond the technological level of humanity.\Professor Tokishima... what demon did you make a deal with?\Professor! Professor Kibukawa! response:	You're still recuperating, and yet what are you doing here?
context: We must not forget the tragedy of Red Thursday!\We will change the future, and on the blood of our lost comrades,\we will win absolute, undisputed victory for Dorssia!\Blitzendegen!\This is beyond JIOR... no, far beyond the technological level of humanity.\Professor Tokishima... what demon did you make a deal with?\Professor! Professor Kibukawa!\You're still recuperating, and yet what are you doing here? response:	Starting today, I'm going to stay in here.
context: We will change the future, and on the blood of our lost comrades,\we will win absolute, undisputed victory for Dorssia!\Blitzendegen!\This is beyond JIOR... no, far beyond the technological level of humanity.\Professor Tokishima... what demon did you make a deal with?\Professor! Professor Kibukawa!\You're still recuperating, and yet what are you doing here?\Starting today, I'm going to stay in here. response:	I'm going to figure out what this thing is.
context: we will win absolute, undisputed victory for Dorssia!\Blitzendegen!\This is beyond JIOR... no, far beyond the technological level of humanity.\Professor Tokishima... what demon did you make a deal with?\Professor! Professor Kibukawa!\You're still recuperating, and yet what are you doing here?\Starting today, I'm going to stay in here.\I'm going to figure out what this thing is. response:	It gets my physics teacher blood boiling.
context: Blitzendegen!\This is beyond JIOR... no, far beyond the technological level of humanity.\Professor Tokishima... what demon did you make a deal with?\Professor! Professor Kibukawa!\You're still recuperating, and yet what are you doing here?\Starting today, I'm going to stay in here.\I'm going to figure out what this thing is.\It gets my physics teacher blood boiling. response:	You can't! You're the oldest person here, not to mention a proper teacher!
context: This is beyond JIOR... no, far beyond the technological level of humanity.\Professor Tokishima... what demon did you make a deal with?\Professor! Professor Kibukawa!\You're still recuperating, and yet what are you doing here?\Starting today, I'm going to stay in here.\I'm going to figure out what this thing is.\It gets my physics teacher blood boiling.\You can't! You're the oldest person here, not to mention a proper teacher! response:	So you have to keep everyone in line!
context: Professor Tokishima... what demon did you make a deal with?\Professor! Professor Kibukawa!\You're still recuperating, and yet what are you doing here?\Starting today, I'm going to stay in here.\I'm going to figure out what this thing is.\It gets my physics teacher blood boiling.\You can't! You're the oldest person here, not to mention a proper teacher!\So you have to keep everyone in line! response:	I'm just not cut out for that stuff.
context: Professor! Professor Kibukawa!\You're still recuperating, and yet what are you doing here?\Starting today, I'm going to stay in here.\I'm going to figure out what this thing is.\It gets my physics teacher blood boiling.\You can't! You're the oldest person here, not to mention a proper teacher!\So you have to keep everyone in line!\I'm just not cut out for that stuff. response:	I'll leave that to you, Nanami.
context: You're still recuperating, and yet what are you doing here?\Starting today, I'm going to stay in here.\I'm going to figure out what this thing is.\It gets my physics teacher blood boiling.\You can't! You're the oldest person here, not to mention a proper teacher!\So you have to keep everyone in line!\I'm just not cut out for that stuff.\I'll leave that to you, Nanami. response:	That's so irresponsible!
context: Starting today, I'm going to stay in here.\I'm going to figure out what this thing is.\It gets my physics teacher blood boiling.\You can't! You're the oldest person here, not to mention a proper teacher!\So you have to keep everyone in line!\I'm just not cut out for that stuff.\I'll leave that to you, Nanami.\That's so irresponsible! response:	Hey!
context: I'm going to figure out what this thing is.\It gets my physics teacher blood boiling.\You can't! You're the oldest person here, not to mention a proper teacher!\So you have to keep everyone in line!\I'm just not cut out for that stuff.\I'll leave that to you, Nanami.\That's so irresponsible!\Hey! response:	Sheesh!
context: It gets my physics teacher blood boiling.\You can't! You're the oldest person here, not to mention a proper teacher!\So you have to keep everyone in line!\I'm just not cut out for that stuff.\I'll leave that to you, Nanami.\That's so irresponsible!\Hey!\Sheesh! response:	This is
context: You can't! You're the oldest person here, not to mention a proper teacher!\So you have to keep everyone in line!\I'm just not cut out for that stuff.\I'll leave that to you, Nanami.\That's so irresponsible!\Hey!\Sheesh!\This is response:	I created a page for people to make donations.
context: So you have to keep everyone in line!\I'm just not cut out for that stuff.\I'll leave that to you, Nanami.\That's so irresponsible!\Hey!\Sheesh!\This is\I created a page for people to make donations. response:	Money again, huh?
context: I'm just not cut out for that stuff.\I'll leave that to you, Nanami.\That's so irresponsible!\Hey!\Sheesh!\This is\I created a page for people to make donations.\Money again, huh? response:	Money is important, right?
context: I'll leave that to you, Nanami.\That's so irresponsible!\Hey!\Sheesh!\This is\I created a page for people to make donations.\Money again, huh?\Money is important, right? response:	It lets you buy food and medicine, and even hire mercenaries.
context: That's so irresponsible!\Hey!\Sheesh!\This is\I created a page for people to make donations.\Money again, huh?\Money is important, right?\It lets you buy food and medicine, and even hire mercenaries. response:	How much have we collected?
context: Hey!\Sheesh!\This is\I created a page for people to make donations.\Money again, huh?\Money is important, right?\It lets you buy food and medicine, and even hire mercenaries.\How much have we collected? response:	You were expecting to make more, weren't you?
context: Sheesh!\This is\I created a page for people to make donations.\Money again, huh?\Money is important, right?\It lets you buy food and medicine, and even hire mercenaries.\How much have we collected?\You were expecting to make more, weren't you? response:	If each one of your friends had donated just 1 yen, we'd have 700 million yen!
context: This is\I created a page for people to make donations.\Money again, huh?\Money is important, right?\It lets you buy food and medicine, and even hire mercenaries.\How much have we collected?\You were expecting to make more, weren't you?\If each one of your friends had donated just 1 yen, we'd have 700 million yen! response:	And yet... And yet...
context: I created a page for people to make donations.\Money again, huh?\Money is important, right?\It lets you buy food and medicine, and even hire mercenaries.\How much have we collected?\You were expecting to make more, weren't you?\If each one of your friends had donated just 1 yen, we'd have 700 million yen!\And yet... And yet... response:	What the?
context: Money again, huh?\Money is important, right?\It lets you buy food and medicine, and even hire mercenaries.\How much have we collected?\You were expecting to make more, weren't you?\If each one of your friends had donated just 1 yen, we'd have 700 million yen!\And yet... And yet...\What the? response:	Don't panic! Call an electrician!
context: Money is important, right?\It lets you buy food and medicine, and even hire mercenaries.\How much have we collected?\You were expecting to make more, weren't you?\If each one of your friends had donated just 1 yen, we'd have 700 million yen!\And yet... And yet...\What the?\Don't panic! Call an electrician! response:	We don't have them.
context: It lets you buy food and medicine, and even hire mercenaries.\How much have we collected?\You were expecting to make more, weren't you?\If each one of your friends had donated just 1 yen, we'd have 700 million yen!\And yet... And yet...\What the?\Don't panic! Call an electrician!\We don't have them. response:	Snow...?
context: How much have we collected?\You were expecting to make more, weren't you?\If each one of your friends had donated just 1 yen, we'd have 700 million yen!\And yet... And yet...\What the?\Don't panic! Call an electrician!\We don't have them.\Snow...? response:	It's probably a malfunction in the environmental regulation system.
context: You were expecting to make more, weren't you?\If each one of your friends had donated just 1 yen, we'd have 700 million yen!\And yet... And yet...\What the?\Don't panic! Call an electrician!\We don't have them.\Snow...?\It's probably a malfunction in the environmental regulation system. response:	The pulse coils' charged current could be causing a magnetic field resonance with other systems,
context: If each one of your friends had donated just 1 yen, we'd have 700 million yen!\And yet... And yet...\What the?\Don't panic! Call an electrician!\We don't have them.\Snow...?\It's probably a malfunction in the environmental regulation system.\The pulse coils' charged current could be causing a magnetic field resonance with other systems, response:	which would throw the central air temperature system out of whack.
context: And yet... And yet...\What the?\Don't panic! Call an electrician!\We don't have them.\Snow...?\It's probably a malfunction in the environmental regulation system.\The pulse coils' charged current could be causing a magnetic field resonance with other systems,\which would throw the central air temperature system out of whack. response:	I think it's trying to set the entire Module into winter mode.
context: What the?\Don't panic! Call an electrician!\We don't have them.\Snow...?\It's probably a malfunction in the environmental regulation system.\The pulse coils' charged current could be causing a magnetic field resonance with other systems,\which would throw the central air temperature system out of whack.\I think it's trying to set the entire Module into winter mode. response:	Uh...
context: Don't panic! Call an electrician!\We don't have them.\Snow...?\It's probably a malfunction in the environmental regulation system.\The pulse coils' charged current could be causing a magnetic field resonance with other systems,\which would throw the central air temperature system out of whack.\I think it's trying to set the entire Module into winter mode.\Uh... response:	In other words, it's interfering with the magnetic field distribution, and
context: We don't have them.\Snow...?\It's probably a malfunction in the environmental regulation system.\The pulse coils' charged current could be causing a magnetic field resonance with other systems,\which would throw the central air temperature system out of whack.\I think it's trying to set the entire Module into winter mode.\Uh...\In other words, it's interfering with the magnetic field distribution, and response:	Oh, you're talking about triangular wave interference?
context: Snow...?\It's probably a malfunction in the environmental regulation system.\The pulse coils' charged current could be causing a magnetic field resonance with other systems,\which would throw the central air temperature system out of whack.\I think it's trying to set the entire Module into winter mode.\Uh...\In other words, it's interfering with the magnetic field distribution, and\Oh, you're talking about triangular wave interference? response:	You know what that is?
context: It's probably a malfunction in the environmental regulation system.\The pulse coils' charged current could be causing a magnetic field resonance with other systems,\which would throw the central air temperature system out of whack.\I think it's trying to set the entire Module into winter mode.\Uh...\In other words, it's interfering with the magnetic field distribution, and\Oh, you're talking about triangular wave interference?\You know what that is? response:	I love machines.
context: The pulse coils' charged current could be causing a magnetic field resonance with other systems,\which would throw the central air temperature system out of whack.\I think it's trying to set the entire Module into winter mode.\Uh...\In other words, it's interfering with the magnetic field distribution, and\Oh, you're talking about triangular wave interference?\You know what that is?\I love machines. response:	Wow, otaku are amazing!
context: which would throw the central air temperature system out of whack.\I think it's trying to set the entire Module into winter mode.\Uh...\In other words, it's interfering with the magnetic field distribution, and\Oh, you're talking about triangular wave interference?\You know what that is?\I love machines.\Wow, otaku are amazing! response:	All professionals are otaku at heart.
context: I think it's trying to set the entire Module into winter mode.\Uh...\In other words, it's interfering with the magnetic field distribution, and\Oh, you're talking about triangular wave interference?\You know what that is?\I love machines.\Wow, otaku are amazing!\All professionals are otaku at heart. response:	Then come with me!
context: Uh...\In other words, it's interfering with the magnetic field distribution, and\Oh, you're talking about triangular wave interference?\You know what that is?\I love machines.\Wow, otaku are amazing!\All professionals are otaku at heart.\Then come with me! response:	Wait, I wasn't volunteering!
context: In other words, it's interfering with the magnetic field distribution, and\Oh, you're talking about triangular wave interference?\You know what that is?\I love machines.\Wow, otaku are amazing!\All professionals are otaku at heart.\Then come with me!\Wait, I wasn't volunteering! response:	You're gonna fix it!
context: Oh, you're talking about triangular wave interference?\You know what that is?\I love machines.\Wow, otaku are amazing!\All professionals are otaku at heart.\Then come with me!\Wait, I wasn't volunteering!\You're gonna fix it! response:	We're all counting on you!
context: You know what that is?\I love machines.\Wow, otaku are amazing!\All professionals are otaku at heart.\Then come with me!\Wait, I wasn't volunteering!\You're gonna fix it!\We're all counting on you! response:	You can do it!
context: I love machines.\Wow, otaku are amazing!\All professionals are otaku at heart.\Then come with me!\Wait, I wasn't volunteering!\You're gonna fix it!\We're all counting on you!\You can do it! response:	Otamaya!
context: Wow, otaku are amazing!\All professionals are otaku at heart.\Then come with me!\Wait, I wasn't volunteering!\You're gonna fix it!\We're all counting on you!\You can do it!\Otamaya! response:	Good luck!
context: All professionals are otaku at heart.\Then come with me!\Wait, I wasn't volunteering!\You're gonna fix it!\We're all counting on you!\You can do it!\Otamaya!\Good luck! response:	It's all up to you!
context: Then come with me!\Wait, I wasn't volunteering!\You're gonna fix it!\We're all counting on you!\You can do it!\Otamaya!\Good luck!\It's all up to you! response:	We're all watching!
context: Wait, I wasn't volunteering!\You're gonna fix it!\We're all counting on you!\You can do it!\Otamaya!\Good luck!\It's all up to you!\We're all watching! response:	Keep climbing, damn it!
context: You're gonna fix it!\We're all counting on you!\You can do it!\Otamaya!\Good luck!\It's all up to you!\We're all watching!\Keep climbing, damn it! response:	B-but we're so high up!
context: We're all counting on you!\You can do it!\Otamaya!\Good luck!\It's all up to you!\We're all watching!\Keep climbing, damn it!\B-but we're so high up! response:	You are the only person who knows this stuff!
context: You can do it!\Otamaya!\Good luck!\It's all up to you!\We're all watching!\Keep climbing, damn it!\B-but we're so high up!\You are the only person who knows this stuff! response:	Show some backbone! Aren't you a man?!
context: Otamaya!\Good luck!\It's all up to you!\We're all watching!\Keep climbing, damn it!\B-but we're so high up!\You are the only person who knows this stuff!\Show some backbone! Aren't you a man?! response:	Stop it, stop it!
context: Good luck!\It's all up to you!\We're all watching!\Keep climbing, damn it!\B-but we're so high up!\You are the only person who knows this stuff!\Show some backbone! Aren't you a man?!\Stop it, stop it! response:	I wonder if the boys will be okay?
context: It's all up to you!\We're all watching!\Keep climbing, damn it!\B-but we're so high up!\You are the only person who knows this stuff!\Show some backbone! Aren't you a man?!\Stop it, stop it!\I wonder if the boys will be okay? response:	Is it me, or has it gotten colder?
context: We're all watching!\Keep climbing, damn it!\B-but we're so high up!\You are the only person who knows this stuff!\Show some backbone! Aren't you a man?!\Stop it, stop it!\I wonder if the boys will be okay?\Is it me, or has it gotten colder? response:	It's gonna get worse.
context: Keep climbing, damn it!\B-but we're so high up!\You are the only person who knows this stuff!\Show some backbone! Aren't you a man?!\Stop it, stop it!\I wonder if the boys will be okay?\Is it me, or has it gotten colder?\It's gonna get worse. response:	Yeah, it's absolute zero outside.
context: B-but we're so high up!\You are the only person who knows this stuff!\Show some backbone! Aren't you a man?!\Stop it, stop it!\I wonder if the boys will be okay?\Is it me, or has it gotten colder?\It's gonna get worse.\Yeah, it's absolute zero outside. response:	Really?
