context: Okay. See you later, Goddess! response:	Okay. You know...
context: Bell's attacking us!\Bell-sama's in a hurry.\I said they're Al-mi'raj!\About the Little Rookie...\As we thought, other adventurers are not very fond him.\Some say he only managed to beat the minotaur alone\because he got lucky with his magic,\or that he just defeated the Loki Familia's leftovers. response:	The Blessing of the Gods doesn't let you level up just like that.
context: Bell-sama's in a hurry.\I said they're Al-mi'raj!\About the Little Rookie...\As we thought, other adventurers are not very fond him.\Some say he only managed to beat the minotaur alone\because he got lucky with his magic,\or that he just defeated the Loki Familia's leftovers.\The Blessing of the Gods doesn't let you level up just like that. response:	Some people also claim he's lying about how long it took.
context: I said they're Al-mi'raj!\About the Little Rookie...\As we thought, other adventurers are not very fond him.\Some say he only managed to beat the minotaur alone\because he got lucky with his magic,\or that he just defeated the Loki Familia's leftovers.\The Blessing of the Gods doesn't let you level up just like that.\Some people also claim he's lying about how long it took. response:	That nobody could beat the Sword Princess's record.
context: About the Little Rookie...\As we thought, other adventurers are not very fond him.\Some say he only managed to beat the minotaur alone\because he got lucky with his magic,\or that he just defeated the Loki Familia's leftovers.\The Blessing of the Gods doesn't let you level up just like that.\Some people also claim he's lying about how long it took.\That nobody could beat the Sword Princess's record. response:	Everyone's so hard on him.
context: As we thought, other adventurers are not very fond him.\Some say he only managed to beat the minotaur alone\because he got lucky with his magic,\or that he just defeated the Loki Familia's leftovers.\The Blessing of the Gods doesn't let you level up just like that.\Some people also claim he's lying about how long it took.\That nobody could beat the Sword Princess's record.\Everyone's so hard on him. response:	But the more I hear, the more interesting he gets.
context: Some say he only managed to beat the minotaur alone\because he got lucky with his magic,\or that he just defeated the Loki Familia's leftovers.\The Blessing of the Gods doesn't let you level up just like that.\Some people also claim he's lying about how long it took.\That nobody could beat the Sword Princess's record.\Everyone's so hard on him.\But the more I hear, the more interesting he gets. response:	I can't wait to meet him.
context: because he got lucky with his magic,\or that he just defeated the Loki Familia's leftovers.\The Blessing of the Gods doesn't let you level up just like that.\Some people also claim he's lying about how long it took.\That nobody could beat the Sword Princess's record.\Everyone's so hard on him.\But the more I hear, the more interesting he gets.\I can't wait to meet him. response:	What are you planning, Hermes-sama?
context: or that he just defeated the Loki Familia's leftovers.\The Blessing of the Gods doesn't let you level up just like that.\Some people also claim he's lying about how long it took.\That nobody could beat the Sword Princess's record.\Everyone's so hard on him.\But the more I hear, the more interesting he gets.\I can't wait to meet him.\What are you planning, Hermes-sama? response:	You seem to have taken quite an interest in this.
context: The Blessing of the Gods doesn't let you level up just like that.\Some people also claim he's lying about how long it took.\That nobody could beat the Sword Princess's record.\Everyone's so hard on him.\But the more I hear, the more interesting he gets.\I can't wait to meet him.\What are you planning, Hermes-sama?\You seem to have taken quite an interest in this. response:	What? Asfi, are you jealous?
context: Some people also claim he's lying about how long it took.\That nobody could beat the Sword Princess's record.\Everyone's so hard on him.\But the more I hear, the more interesting he gets.\I can't wait to meet him.\What are you planning, Hermes-sama?\You seem to have taken quite an interest in this.\What? Asfi, are you jealous? response:	Of course not!
context: That nobody could beat the Sword Princess's record.\Everyone's so hard on him.\But the more I hear, the more interesting he gets.\I can't wait to meet him.\What are you planning, Hermes-sama?\You seem to have taken quite an interest in this.\What? Asfi, are you jealous?\Of course not! response:	I just don't want us to get caught up in trouble.
context: Everyone's so hard on him.\But the more I hear, the more interesting he gets.\I can't wait to meet him.\What are you planning, Hermes-sama?\You seem to have taken quite an interest in this.\What? Asfi, are you jealous?\Of course not!\I just don't want us to get caught up in trouble. response:	Think about what I have to
context: But the more I hear, the more interesting he gets.\I can't wait to meet him.\What are you planning, Hermes-sama?\You seem to have taken quite an interest in this.\What? Asfi, are you jealous?\Of course not!\I just don't want us to get caught up in trouble.\Think about what I have to response:	All of our members are grateful to you.
context: I can't wait to meet him.\What are you planning, Hermes-sama?\You seem to have taken quite an interest in this.\What? Asfi, are you jealous?\Of course not!\I just don't want us to get caught up in trouble.\Think about what I have to\All of our members are grateful to you. response:	Their leader makes their job easy, they say.
context: What are you planning, Hermes-sama?\You seem to have taken quite an interest in this.\What? Asfi, are you jealous?\Of course not!\I just don't want us to get caught up in trouble.\Think about what I have to\All of our members are grateful to you.\Their leader makes their job easy, they say. response:	And you have a god relying on you, too. That's my girl.
context: You seem to have taken quite an interest in this.\What? Asfi, are you jealous?\Of course not!\I just don't want us to get caught up in trouble.\Think about what I have to\All of our members are grateful to you.\Their leader makes their job easy, they say.\And you have a god relying on you, too. That's my girl. response:	I can't take this...
context: What? Asfi, are you jealous?\Of course not!\I just don't want us to get caught up in trouble.\Think about what I have to\All of our members are grateful to you.\Their leader makes their job easy, they say.\And you have a god relying on you, too. That's my girl.\I can't take this... response:	Hermes-sama?
context: Of course not!\I just don't want us to get caught up in trouble.\Think about what I have to\All of our members are grateful to you.\Their leader makes their job easy, they say.\And you have a god relying on you, too. That's my girl.\I can't take this...\Hermes-sama? response:	Chloe-chan! Syr-chan!
context: I just don't want us to get caught up in trouble.\Think about what I have to\All of our members are grateful to you.\Their leader makes their job easy, they say.\And you have a god relying on you, too. That's my girl.\I can't take this...\Hermes-sama?\Chloe-chan! Syr-chan! response:	Mikoto! Hurry!
context: Think about what I have to\All of our members are grateful to you.\Their leader makes their job easy, they say.\And you have a god relying on you, too. That's my girl.\I can't take this...\Hermes-sama?\Chloe-chan! Syr-chan!\Mikoto! Hurry! response:	Don't fall behind!
context: All of our members are grateful to you.\Their leader makes their job easy, they say.\And you have a god relying on you, too. That's my girl.\I can't take this...\Hermes-sama?\Chloe-chan! Syr-chan!\Mikoto! Hurry!\Don't fall behind! response:	Right!
context: Their leader makes their job easy, they say.\And you have a god relying on you, too. That's my girl.\I can't take this...\Hermes-sama?\Chloe-chan! Syr-chan!\Mikoto! Hurry!\Don't fall behind!\Right! response:	Sorry to make you do all the work.
context: And you have a god relying on you, too. That's my girl.\I can't take this...\Hermes-sama?\Chloe-chan! Syr-chan!\Mikoto! Hurry!\Don't fall behind!\Right!\Sorry to make you do all the work. response:	Please don't say that, Ouka-dono.
context: I can't take this...\Hermes-sama?\Chloe-chan! Syr-chan!\Mikoto! Hurry!\Don't fall behind!\Right!\Sorry to make you do all the work.\Please don't say that, Ouka-dono. response:	We're a party.
context: Hermes-sama?\Chloe-chan! Syr-chan!\Mikoto! Hurry!\Don't fall behind!\Right!\Sorry to make you do all the work.\Please don't say that, Ouka-dono.\We're a party. response:	Oh, no!
context: Chloe-chan! Syr-chan!\Mikoto! Hurry!\Don't fall behind!\Right!\Sorry to make you do all the work.\Please don't say that, Ouka-dono.\We're a party.\Oh, no! response:	Hellhounds are after us, too!
context: Mikoto! Hurry!\Don't fall behind!\Right!\Sorry to make you do all the work.\Please don't say that, Ouka-dono.\We're a party.\Oh, no!\Hellhounds are after us, too! response:	There's a room up ahead!
context: Don't fall behind!\Right!\Sorry to make you do all the work.\Please don't say that, Ouka-dono.\We're a party.\Oh, no!\Hellhounds are after us, too!\There's a room up ahead! response:	We'll escape there!
context: Right!\Sorry to make you do all the work.\Please don't say that, Ouka-dono.\We're a party.\Oh, no!\Hellhounds are after us, too!\There's a room up ahead!\We'll escape there! response:	Damn it! We don't even have time to breathe!
context: Sorry to make you do all the work.\Please don't say that, Ouka-dono.\We're a party.\Oh, no!\Hellhounds are after us, too!\There's a room up ahead!\We'll escape there!\Damn it! We don't even have time to breathe! response:	Or even time to talk, too!
context: Please don't say that, Ouka-dono.\We're a party.\Oh, no!\Hellhounds are after us, too!\There's a room up ahead!\We'll escape there!\Damn it! We don't even have time to breathe!\Or even time to talk, too! response:	The middle floor monsters are much stronger and more
context: We're a party.\Oh, no!\Hellhounds are after us, too!\There's a room up ahead!\We'll escape there!\Damn it! We don't even have time to breathe!\Or even time to talk, too!\The middle floor monsters are much stronger and more response:	numerous than we've ever seen.
context: Oh, no!\Hellhounds are after us, too!\There's a room up ahead!\We'll escape there!\Damn it! We don't even have time to breathe!\Or even time to talk, too!\The middle floor monsters are much stronger and more\numerous than we've ever seen. response:	Ouka-dono!
context: Hellhounds are after us, too!\There's a room up ahead!\We'll escape there!\Damn it! We don't even have time to breathe!\Or even time to talk, too!\The middle floor monsters are much stronger and more\numerous than we've ever seen.\Ouka-dono! response:	The Hellhounds will be here soon!
context: There's a room up ahead!\We'll escape there!\Damn it! We don't even have time to breathe!\Or even time to talk, too!\The middle floor monsters are much stronger and more\numerous than we've ever seen.\Ouka-dono!\The Hellhounds will be here soon! response:	We need to get back to the upper floors!
context: We'll escape there!\Damn it! We don't even have time to breathe!\Or even time to talk, too!\The middle floor monsters are much stronger and more\numerous than we've ever seen.\Ouka-dono!\The Hellhounds will be here soon!\We need to get back to the upper floors! response:	We'll run through them, Mikoto.
context: Damn it! We don't even have time to breathe!\Or even time to talk, too!\The middle floor monsters are much stronger and more\numerous than we've ever seen.\Ouka-dono!\The Hellhounds will be here soon!\We need to get back to the upper floors!\We'll run through them, Mikoto. response:	Ouka-dono! But then...
context: Or even time to talk, too!\The middle floor monsters are much stronger and more\numerous than we've ever seen.\Ouka-dono!\The Hellhounds will be here soon!\We need to get back to the upper floors!\We'll run through them, Mikoto.\Ouka-dono! But then... response:	I value your lives more than those of strangers
context: The middle floor monsters are much stronger and more\numerous than we've ever seen.\Ouka-dono!\The Hellhounds will be here soon!\We need to get back to the upper floors!\We'll run through them, Mikoto.\Ouka-dono! But then...\I value your lives more than those of strangers response:	who I've never met before.
context: numerous than we've ever seen.\Ouka-dono!\The Hellhounds will be here soon!\We need to get back to the upper floors!\We'll run through them, Mikoto.\Ouka-dono! But then...\I value your lives more than those of strangers\who I've never met before. response:	If you don't like it, you can bitch me out later!
context: Ouka-dono!\The Hellhounds will be here soon!\We need to get back to the upper floors!\We'll run through them, Mikoto.\Ouka-dono! But then...\I value your lives more than those of strangers\who I've never met before.\If you don't like it, you can bitch me out later! response:	Oh, no! The monsters chasing them will attack us instead!
context: The Hellhounds will be here soon!\We need to get back to the upper floors!\We'll run through them, Mikoto.\Ouka-dono! But then...\I value your lives more than those of strangers\who I've never met before.\If you don't like it, you can bitch me out later!\Oh, no! The monsters chasing them will attack us instead! response:	It's a pass parade!
context: We need to get back to the upper floors!\We'll run through them, Mikoto.\Ouka-dono! But then...\I value your lives more than those of strangers\who I've never met before.\If you don't like it, you can bitch me out later!\Oh, no! The monsters chasing them will attack us instead!\It's a pass parade! response:	You're kidding me...
context: We'll run through them, Mikoto.\Ouka-dono! But then...\I value your lives more than those of strangers\who I've never met before.\If you don't like it, you can bitch me out later!\Oh, no! The monsters chasing them will attack us instead!\It's a pass parade!\You're kidding me... response:	We're retreating. Hurry to the corridor!
context: Ouka-dono! But then...\I value your lives more than those of strangers\who I've never met before.\If you don't like it, you can bitch me out later!\Oh, no! The monsters chasing them will attack us instead!\It's a pass parade!\You're kidding me...\We're retreating. Hurry to the corridor! response:	Lili, go on ahead.
context: I value your lives more than those of strangers\who I've never met before.\If you don't like it, you can bitch me out later!\Oh, no! The monsters chasing them will attack us instead!\It's a pass parade!\You're kidding me...\We're retreating. Hurry to the corridor!\Lili, go on ahead. response:	Bell-sama!
context: who I've never met before.\If you don't like it, you can bitch me out later!\Oh, no! The monsters chasing them will attack us instead!\It's a pass parade!\You're kidding me...\We're retreating. Hurry to the corridor!\Lili, go on ahead.\Bell-sama! response:	Firebolt!
context: If you don't like it, you can bitch me out later!\Oh, no! The monsters chasing them will attack us instead!\It's a pass parade!\You're kidding me...\We're retreating. Hurry to the corridor!\Lili, go on ahead.\Bell-sama!\Firebolt! response:	Oh, no!
context: Oh, no! The monsters chasing them will attack us instead!\It's a pass parade!\You're kidding me...\We're retreating. Hurry to the corridor!\Lili, go on ahead.\Bell-sama!\Firebolt!\Oh, no! response:	Don't mess with me!
context: It's a pass parade!\You're kidding me...\We're retreating. Hurry to the corridor!\Lili, go on ahead.\Bell-sama!\Firebolt!\Oh, no!\Don't mess with me! response:	Lili, are you okay?
context: You're kidding me...\We're retreating. Hurry to the corridor!\Lili, go on ahead.\Bell-sama!\Firebolt!\Oh, no!\Don't mess with me!\Lili, are you okay? response:	Yeah...
context: We're retreating. Hurry to the corridor!\Lili, go on ahead.\Bell-sama!\Firebolt!\Oh, no!\Don't mess with me!\Lili, are you okay?\Yeah... response:	You safe, too, Welf?
context: Lili, go on ahead.\Bell-sama!\Firebolt!\Oh, no!\Don't mess with me!\Lili, are you okay?\Yeah...\You safe, too, Welf? response:	Yeah, somehow.
context: Bell-sama!\Firebolt!\Oh, no!\Don't mess with me!\Lili, are you okay?\Yeah...\You safe, too, Welf?\Yeah, somehow. response:	There are more coming.
context: Firebolt!\Oh, no!\Don't mess with me!\Lili, are you okay?\Yeah...\You safe, too, Welf?\Yeah, somehow.\There are more coming. response:	That's not all.
context: Oh, no!\Don't mess with me!\Lili, are you okay?\Yeah...\You safe, too, Welf?\Yeah, somehow.\There are more coming.\That's not all. response:	From both sides...?
context: Don't mess with me!\Lili, are you okay?\Yeah...\You safe, too, Welf?\Yeah, somehow.\There are more coming.\That's not all.\From both sides...? response:	Why are monsters so quick to attack on the middle floors?
context: Lili, are you okay?\Yeah...\You safe, too, Welf?\Yeah, somehow.\There are more coming.\That's not all.\From both sides...?\Why are monsters so quick to attack on the middle floors? response:	Because it's the middle floors, I guess.
context: Yeah...\You safe, too, Welf?\Yeah, somehow.\There are more coming.\That's not all.\From both sides...?\Why are monsters so quick to attack on the middle floors?\Because it's the middle floors, I guess. response:	Cranel-san,
context: You safe, too, Welf?\Yeah, somehow.\There are more coming.\That's not all.\From both sides...?\Why are monsters so quick to attack on the middle floors?\Because it's the middle floors, I guess.\Cranel-san, response:	the dungeon is a cunning thing.
context: Yeah, somehow.\There are more coming.\That's not all.\From both sides...?\Why are monsters so quick to attack on the middle floors?\Because it's the middle floors, I guess.\Cranel-san,\the dungeon is a cunning thing. response:	Each incident that happens there may be small in and of itself,
context: There are more coming.\That's not all.\From both sides...?\Why are monsters so quick to attack on the middle floors?\Because it's the middle floors, I guess.\Cranel-san,\the dungeon is a cunning thing.\Each incident that happens there may be small in and of itself, response:	but as they add up, they become a death of a thousand cuts.
context: That's not all.\From both sides...?\Why are monsters so quick to attack on the middle floors?\Because it's the middle floors, I guess.\Cranel-san,\the dungeon is a cunning thing.\Each incident that happens there may be small in and of itself,\but as they add up, they become a death of a thousand cuts. response:	And...
context: From both sides...?\Why are monsters so quick to attack on the middle floors?\Because it's the middle floors, I guess.\Cranel-san,\the dungeon is a cunning thing.\Each incident that happens there may be small in and of itself,\but as they add up, they become a death of a thousand cuts.\And... response:	Tripping you when you can barely stand
context: Why are monsters so quick to attack on the middle floors?\Because it's the middle floors, I guess.\Cranel-san,\the dungeon is a cunning thing.\Each incident that happens there may be small in and of itself,\but as they add up, they become a death of a thousand cuts.\And...\Tripping you when you can barely stand response:	is easier than falling off a log.
context: Because it's the middle floors, I guess.\Cranel-san,\the dungeon is a cunning thing.\Each incident that happens there may be small in and of itself,\but as they add up, they become a death of a thousand cuts.\And...\Tripping you when you can barely stand\is easier than falling off a log. response:	You can't regroup quickly.
context: Cranel-san,\the dungeon is a cunning thing.\Each incident that happens there may be small in and of itself,\but as they add up, they become a death of a thousand cuts.\And...\Tripping you when you can barely stand\is easier than falling off a log.\You can't regroup quickly. response:	When its prey is gasping for breath,
context: the dungeon is a cunning thing.\Each incident that happens there may be small in and of itself,\but as they add up, they become a death of a thousand cuts.\And...\Tripping you when you can barely stand\is easier than falling off a log.\You can't regroup quickly.\When its prey is gasping for breath, response:	moaning in pain,
context: Each incident that happens there may be small in and of itself,\but as they add up, they become a death of a thousand cuts.\And...\Tripping you when you can barely stand\is easier than falling off a log.\You can't regroup quickly.\When its prey is gasping for breath,\moaning in pain, response:	and thoroughly weakened...
context: but as they add up, they become a death of a thousand cuts.\And...\Tripping you when you can barely stand\is easier than falling off a log.\You can't regroup quickly.\When its prey is gasping for breath,\moaning in pain,\and thoroughly weakened... response:	That is when the dungeon bares its fangs.
context: And...\Tripping you when you can barely stand\is easier than falling off a log.\You can't regroup quickly.\When its prey is gasping for breath,\moaning in pain,\and thoroughly weakened...\That is when the dungeon bares its fangs. response:	No way...
context: Tripping you when you can barely stand\is easier than falling off a log.\You can't regroup quickly.\When its prey is gasping for breath,\moaning in pain,\and thoroughly weakened...\That is when the dungeon bares its fangs.\No way... response:	Monsters?
context: is easier than falling off a log.\You can't regroup quickly.\When its prey is gasping for breath,\moaning in pain,\and thoroughly weakened...\That is when the dungeon bares its fangs.\No way...\Monsters? response:	No...
