context: It's me. response:	I see. Good work.
context: I won't know until I try!\I'm an idiot who doesn't know how the world works,\but I believe she'll never be happy if she stays here.\Definitely.\You don't understand anything at all.\Did Kenji do this to you?\Yes.\Did he run away with the doll? response:	Probably.
context: I'm an idiot who doesn't know how the world works,\but I believe she'll never be happy if she stays here.\Definitely.\You don't understand anything at all.\Did Kenji do this to you?\Yes.\Did he run away with the doll?\Probably. response:	That punk... He did this at the worst possible moment.
context: but I believe she'll never be happy if she stays here.\Definitely.\You don't understand anything at all.\Did Kenji do this to you?\Yes.\Did he run away with the doll?\Probably.\That punk... He did this at the worst possible moment. response:	What are you going to do?
context: Definitely.\You don't understand anything at all.\Did Kenji do this to you?\Yes.\Did he run away with the doll?\Probably.\That punk... He did this at the worst possible moment.\What are you going to do? response:	Ask the customer to wait a little longer.
context: You don't understand anything at all.\Did Kenji do this to you?\Yes.\Did he run away with the doll?\Probably.\That punk... He did this at the worst possible moment.\What are you going to do?\Ask the customer to wait a little longer. response:	Tell him I'll think about giving him a discount depending on how things turn out.
context: Did Kenji do this to you?\Yes.\Did he run away with the doll?\Probably.\That punk... He did this at the worst possible moment.\What are you going to do?\Ask the customer to wait a little longer.\Tell him I'll think about giving him a discount depending on how things turn out. response:	But...
context: Yes.\Did he run away with the doll?\Probably.\That punk... He did this at the worst possible moment.\What are you going to do?\Ask the customer to wait a little longer.\Tell him I'll think about giving him a discount depending on how things turn out.\But... response:	Why do you think I had the old man killed?
context: Did he run away with the doll?\Probably.\That punk... He did this at the worst possible moment.\What are you going to do?\Ask the customer to wait a little longer.\Tell him I'll think about giving him a discount depending on how things turn out.\But...\Why do you think I had the old man killed? response:	I'm more concerned about how many officials I can extort before the turmoil subsides.
context: Probably.\That punk... He did this at the worst possible moment.\What are you going to do?\Ask the customer to wait a little longer.\Tell him I'll think about giving him a discount depending on how things turn out.\But...\Why do you think I had the old man killed?\I'm more concerned about how many officials I can extort before the turmoil subsides. response:	I need the money.
context: That punk... He did this at the worst possible moment.\What are you going to do?\Ask the customer to wait a little longer.\Tell him I'll think about giving him a discount depending on how things turn out.\But...\Why do you think I had the old man killed?\I'm more concerned about how many officials I can extort before the turmoil subsides.\I need the money. response:	If you understand what I'm saying, leave!
context: What are you going to do?\Ask the customer to wait a little longer.\Tell him I'll think about giving him a discount depending on how things turn out.\But...\Why do you think I had the old man killed?\I'm more concerned about how many officials I can extort before the turmoil subsides.\I need the money.\If you understand what I'm saying, leave! response:	Sir!
context: Ask the customer to wait a little longer.\Tell him I'll think about giving him a discount depending on how things turn out.\But...\Why do you think I had the old man killed?\I'm more concerned about how many officials I can extort before the turmoil subsides.\I need the money.\If you understand what I'm saying, leave!\Sir! response:	Listen, you guys. Find them at once!
context: Tell him I'll think about giving him a discount depending on how things turn out.\But...\Why do you think I had the old man killed?\I'm more concerned about how many officials I can extort before the turmoil subsides.\I need the money.\If you understand what I'm saying, leave!\Sir!\Listen, you guys. Find them at once! response:	Don't lay a finger on the girl.
context: But...\Why do you think I had the old man killed?\I'm more concerned about how many officials I can extort before the turmoil subsides.\I need the money.\If you understand what I'm saying, leave!\Sir!\Listen, you guys. Find them at once!\Don't lay a finger on the girl. response:	Kill the guy if you have to.
context: Why do you think I had the old man killed?\I'm more concerned about how many officials I can extort before the turmoil subsides.\I need the money.\If you understand what I'm saying, leave!\Sir!\Listen, you guys. Find them at once!\Don't lay a finger on the girl.\Kill the guy if you have to. response:	Roger!
context: I'm more concerned about how many officials I can extort before the turmoil subsides.\I need the money.\If you understand what I'm saying, leave!\Sir!\Listen, you guys. Find them at once!\Don't lay a finger on the girl.\Kill the guy if you have to.\Roger! response:	Oh, doesn't that sweater look cute?
context: I need the money.\If you understand what I'm saying, leave!\Sir!\Listen, you guys. Find them at once!\Don't lay a finger on the girl.\Kill the guy if you have to.\Roger!\Oh, doesn't that sweater look cute? response:	Hey, aren't you done shopping?
context: If you understand what I'm saying, leave!\Sir!\Listen, you guys. Find them at once!\Don't lay a finger on the girl.\Kill the guy if you have to.\Roger!\Oh, doesn't that sweater look cute?\Hey, aren't you done shopping? response:	Geez.
context: Sir!\Listen, you guys. Find them at once!\Don't lay a finger on the girl.\Kill the guy if you have to.\Roger!\Oh, doesn't that sweater look cute?\Hey, aren't you done shopping?\Geez. response:	BK201?
context: Listen, you guys. Find them at once!\Don't lay a finger on the girl.\Kill the guy if you have to.\Roger!\Oh, doesn't that sweater look cute?\Hey, aren't you done shopping?\Geez.\BK201? response:	Don't move.
context: Don't lay a finger on the girl.\Kill the guy if you have to.\Roger!\Oh, doesn't that sweater look cute?\Hey, aren't you done shopping?\Geez.\BK201?\Don't move. response:	Slowly turn this way.
context: Kill the guy if you have to.\Roger!\Oh, doesn't that sweater look cute?\Hey, aren't you done shopping?\Geez.\BK201?\Don't move.\Slowly turn this way. response:	Li-kun?
context: Roger!\Oh, doesn't that sweater look cute?\Hey, aren't you done shopping?\Geez.\BK201?\Don't move.\Slowly turn this way.\Li-kun? response:	Oh, Kirihara-san.
context: Oh, doesn't that sweater look cute?\Hey, aren't you done shopping?\Geez.\BK201?\Don't move.\Slowly turn this way.\Li-kun?\Oh, Kirihara-san. response:	It's been a while.
context: Hey, aren't you done shopping?\Geez.\BK201?\Don't move.\Slowly turn this way.\Li-kun?\Oh, Kirihara-san.\It's been a while. response:	It really has.
context: Geez.\BK201?\Don't move.\Slowly turn this way.\Li-kun?\Oh, Kirihara-san.\It's been a while.\It really has. response:	How have you been?
context: BK201?\Don't move.\Slowly turn this way.\Li-kun?\Oh, Kirihara-san.\It's been a while.\It really has.\How have you been? response:	Um... This is...
context: Don't move.\Slowly turn this way.\Li-kun?\Oh, Kirihara-san.\It's been a while.\It really has.\How have you been?\Um... This is... response:	Who's he?
context: Slowly turn this way.\Li-kun?\Oh, Kirihara-san.\It's been a while.\It really has.\How have you been?\Um... This is...\Who's he? response:	Um... How should I explain this?
context: Li-kun?\Oh, Kirihara-san.\It's been a while.\It really has.\How have you been?\Um... This is...\Who's he?\Um... How should I explain this? response:	Good question.
context: Oh, Kirihara-san.\It's been a while.\It really has.\How have you been?\Um... This is...\Who's he?\Um... How should I explain this?\Good question. response:	It's okay. Say no more.
context: It's been a while.\It really has.\How have you been?\Um... This is...\Who's he?\Um... How should I explain this?\Good question.\It's okay. Say no more. response:	Hey, don't misunderstand.
context: It really has.\How have you been?\Um... This is...\Who's he?\Um... How should I explain this?\Good question.\It's okay. Say no more.\Hey, don't misunderstand. response:	I'd understand if he was buying clothes as a present for his girlfriend, but underwear and a wig?
context: How have you been?\Um... This is...\Who's he?\Um... How should I explain this?\Good question.\It's okay. Say no more.\Hey, don't misunderstand.\I'd understand if he was buying clothes as a present for his girlfriend, but underwear and a wig? response:	Are you jealous?
context: Um... This is...\Who's he?\Um... How should I explain this?\Good question.\It's okay. Say no more.\Hey, don't misunderstand.\I'd understand if he was buying clothes as a present for his girlfriend, but underwear and a wig?\Are you jealous? response:	I told you...
context: Who's he?\Um... How should I explain this?\Good question.\It's okay. Say no more.\Hey, don't misunderstand.\I'd understand if he was buying clothes as a present for his girlfriend, but underwear and a wig?\Are you jealous?\I told you... response:	Yeah, yeah.
context: Um... How should I explain this?\Good question.\It's okay. Say no more.\Hey, don't misunderstand.\I'd understand if he was buying clothes as a present for his girlfriend, but underwear and a wig?\Are you jealous?\I told you...\Yeah, yeah. response:	Why do you think it's a present?
context: Good question.\It's okay. Say no more.\Hey, don't misunderstand.\I'd understand if he was buying clothes as a present for his girlfriend, but underwear and a wig?\Are you jealous?\I told you...\Yeah, yeah.\Why do you think it's a present? response:	Thank you for helping me with the decision.
context: It's okay. Say no more.\Hey, don't misunderstand.\I'd understand if he was buying clothes as a present for his girlfriend, but underwear and a wig?\Are you jealous?\I told you...\Yeah, yeah.\Why do you think it's a present?\Thank you for helping me with the decision. response:	Li-kun, those things weren't for you, were they?
context: Hey, don't misunderstand.\I'd understand if he was buying clothes as a present for his girlfriend, but underwear and a wig?\Are you jealous?\I told you...\Yeah, yeah.\Why do you think it's a present?\Thank you for helping me with the decision.\Li-kun, those things weren't for you, were they? response:	Idiot.
context: I'd understand if he was buying clothes as a present for his girlfriend, but underwear and a wig?\Are you jealous?\I told you...\Yeah, yeah.\Why do you think it's a present?\Thank you for helping me with the decision.\Li-kun, those things weren't for you, were they?\Idiot. response:	N-No way!
context: Are you jealous?\I told you...\Yeah, yeah.\Why do you think it's a present?\Thank you for helping me with the decision.\Li-kun, those things weren't for you, were they?\Idiot.\N-No way! response:	A friend asked me for a favor.
context: I told you...\Yeah, yeah.\Why do you think it's a present?\Thank you for helping me with the decision.\Li-kun, those things weren't for you, were they?\Idiot.\N-No way!\A friend asked me for a favor. response:	He asked me to find a present for his girlfriend
context: Yeah, yeah.\Why do you think it's a present?\Thank you for helping me with the decision.\Li-kun, those things weren't for you, were they?\Idiot.\N-No way!\A friend asked me for a favor.\He asked me to find a present for his girlfriend response:	since he didn't have any time.
context: Why do you think it's a present?\Thank you for helping me with the decision.\Li-kun, those things weren't for you, were they?\Idiot.\N-No way!\A friend asked me for a favor.\He asked me to find a present for his girlfriend\since he didn't have any time. response:	Oh, I see.
context: Thank you for helping me with the decision.\Li-kun, those things weren't for you, were they?\Idiot.\N-No way!\A friend asked me for a favor.\He asked me to find a present for his girlfriend\since he didn't have any time.\Oh, I see. response:	O-Of course.
context: Li-kun, those things weren't for you, were they?\Idiot.\N-No way!\A friend asked me for a favor.\He asked me to find a present for his girlfriend\since he didn't have any time.\Oh, I see.\O-Of course. response:	Please excuse me.
context: Idiot.\N-No way!\A friend asked me for a favor.\He asked me to find a present for his girlfriend\since he didn't have any time.\Oh, I see.\O-Of course.\Please excuse me. response:	Aren't you glad it wasn't a present for his girlfriend?
context: N-No way!\A friend asked me for a favor.\He asked me to find a present for his girlfriend\since he didn't have any time.\Oh, I see.\O-Of course.\Please excuse me.\Aren't you glad it wasn't a present for his girlfriend? response:	That's enough.
context: A friend asked me for a favor.\He asked me to find a present for his girlfriend\since he didn't have any time.\Oh, I see.\O-Of course.\Please excuse me.\Aren't you glad it wasn't a present for his girlfriend?\That's enough. response:	Really? The way you were looking at him didn't seem normal.
context: He asked me to find a present for his girlfriend\since he didn't have any time.\Oh, I see.\O-Of course.\Please excuse me.\Aren't you glad it wasn't a present for his girlfriend?\That's enough.\Really? The way you were looking at him didn't seem normal. response:	That's because...
context: since he didn't have any time.\Oh, I see.\O-Of course.\Please excuse me.\Aren't you glad it wasn't a present for his girlfriend?\That's enough.\Really? The way you were looking at him didn't seem normal.\That's because... response:	Li-san, you're back!
context: Oh, I see.\O-Of course.\Please excuse me.\Aren't you glad it wasn't a present for his girlfriend?\That's enough.\Really? The way you were looking at him didn't seem normal.\That's because...\Li-san, you're back! response:	I do live here.
context: O-Of course.\Please excuse me.\Aren't you glad it wasn't a present for his girlfriend?\That's enough.\Really? The way you were looking at him didn't seem normal.\That's because...\Li-san, you're back!\I do live here. response:	What is this?
context: Please excuse me.\Aren't you glad it wasn't a present for his girlfriend?\That's enough.\Really? The way you were looking at him didn't seem normal.\That's because...\Li-san, you're back!\I do live here.\What is this? response:	A change of clothes.
context: Aren't you glad it wasn't a present for his girlfriend?\That's enough.\Really? The way you were looking at him didn't seem normal.\That's because...\Li-san, you're back!\I do live here.\What is this?\A change of clothes. response:	There's no way she'd get very far in that outfit.
context: That's enough.\Really? The way you were looking at him didn't seem normal.\That's because...\Li-san, you're back!\I do live here.\What is this?\A change of clothes.\There's no way she'd get very far in that outfit. response:	Li-san...
context: Really? The way you were looking at him didn't seem normal.\That's because...\Li-san, you're back!\I do live here.\What is this?\A change of clothes.\There's no way she'd get very far in that outfit.\Li-san... response:	Thank you very much.
context: That's because...\Li-san, you're back!\I do live here.\What is this?\A change of clothes.\There's no way she'd get very far in that outfit.\Li-san...\Thank you very much. response:	Why are you here?
context: Li-san, you're back!\I do live here.\What is this?\A change of clothes.\There's no way she'd get very far in that outfit.\Li-san...\Thank you very much.\Why are you here? response:	Is she your girlfriend, Li-san?
context: I do live here.\What is this?\A change of clothes.\There's no way she'd get very far in that outfit.\Li-san...\Thank you very much.\Why are you here?\Is she your girlfriend, Li-san? response:	She came into the room without saying a word.
context: What is this?\A change of clothes.\There's no way she'd get very far in that outfit.\Li-san...\Thank you very much.\Why are you here?\Is she your girlfriend, Li-san?\She came into the room without saying a word. response:	Were you monitoring me?
context: A change of clothes.\There's no way she'd get very far in that outfit.\Li-san...\Thank you very much.\Why are you here?\Is she your girlfriend, Li-san?\She came into the room without saying a word.\Were you monitoring me? response:	Huang's instructions?
context: There's no way she'd get very far in that outfit.\Li-san...\Thank you very much.\Why are you here?\Is she your girlfriend, Li-san?\She came into the room without saying a word.\Were you monitoring me?\Huang's instructions? response:	Why?
context: Li-san...\Thank you very much.\Why are you here?\Is she your girlfriend, Li-san?\She came into the room without saying a word.\Were you monitoring me?\Huang's instructions?\Why? response:	Hei, you seemed a little different today.
context: Thank you very much.\Why are you here?\Is she your girlfriend, Li-san?\She came into the room without saying a word.\Were you monitoring me?\Huang's instructions?\Why?\Hei, you seemed a little different today. response:	Is something wrong?
context: Why are you here?\Is she your girlfriend, Li-san?\She came into the room without saying a word.\Were you monitoring me?\Huang's instructions?\Why?\Hei, you seemed a little different today.\Is something wrong? response:	No.
context: Is she your girlfriend, Li-san?\She came into the room without saying a word.\Were you monitoring me?\Huang's instructions?\Why?\Hei, you seemed a little different today.\Is something wrong?\No. response:	Help her change.
context: She came into the room without saying a word.\Were you monitoring me?\Huang's instructions?\Why?\Hei, you seemed a little different today.\Is something wrong?\No.\Help her change. response:	Are you okay with that person?
context: Were you monitoring me?\Huang's instructions?\Why?\Hei, you seemed a little different today.\Is something wrong?\No.\Help her change.\Are you okay with that person? response:	I apologize for the trouble I'm causing you.
context: Huang's instructions?\Why?\Hei, you seemed a little different today.\Is something wrong?\No.\Help her change.\Are you okay with that person?\I apologize for the trouble I'm causing you. response:	Are you serious about this?
context: Why?\Hei, you seemed a little different today.\Is something wrong?\No.\Help her change.\Are you okay with that person?\I apologize for the trouble I'm causing you.\Are you serious about this? response:	Of course.
context: Hei, you seemed a little different today.\Is something wrong?\No.\Help her change.\Are you okay with that person?\I apologize for the trouble I'm causing you.\Are you serious about this?\Of course. response:	Always on the run, living in fear of pursuers who might come at any moment...
context: Is something wrong?\No.\Help her change.\Are you okay with that person?\I apologize for the trouble I'm causing you.\Are you serious about this?\Of course.\Always on the run, living in fear of pursuers who might come at any moment... response:	You're going to have to run for the rest of your life.
context: No.\Help her change.\Are you okay with that person?\I apologize for the trouble I'm causing you.\Are you serious about this?\Of course.\Always on the run, living in fear of pursuers who might come at any moment...\You're going to have to run for the rest of your life. response:	I'm aware of that.
context: Help her change.\Are you okay with that person?\I apologize for the trouble I'm causing you.\Are you serious about this?\Of course.\Always on the run, living in fear of pursuers who might come at any moment...\You're going to have to run for the rest of your life.\I'm aware of that. response:	What about money?
context: Are you okay with that person?\I apologize for the trouble I'm causing you.\Are you serious about this?\Of course.\Always on the run, living in fear of pursuers who might come at any moment...\You're going to have to run for the rest of your life.\I'm aware of that.\What about money? response:	Housing?
context: I apologize for the trouble I'm causing you.\Are you serious about this?\Of course.\Always on the run, living in fear of pursuers who might come at any moment...\You're going to have to run for the rest of your life.\I'm aware of that.\What about money?\Housing? response:	Even if you're lucky enough to find a job, how are you going to take care of her?
context: Are you serious about this?\Of course.\Always on the run, living in fear of pursuers who might come at any moment...\You're going to have to run for the rest of your life.\I'm aware of that.\What about money?\Housing?\Even if you're lucky enough to find a job, how are you going to take care of her? response:	She's not even toilet trained.
context: Of course.\Always on the run, living in fear of pursuers who might come at any moment...\You're going to have to run for the rest of your life.\I'm aware of that.\What about money?\Housing?\Even if you're lucky enough to find a job, how are you going to take care of her?\She's not even toilet trained. response:	I'll find a way.
context: Always on the run, living in fear of pursuers who might come at any moment...\You're going to have to run for the rest of your life.\I'm aware of that.\What about money?\Housing?\Even if you're lucky enough to find a job, how are you going to take care of her?\She's not even toilet trained.\I'll find a way. response:	Why her?
context: You're going to have to run for the rest of your life.\I'm aware of that.\What about money?\Housing?\Even if you're lucky enough to find a job, how are you going to take care of her?\She's not even toilet trained.\I'll find a way.\Why her? response:	She doesn't understand your words or your reasoning.
context: I'm aware of that.\What about money?\Housing?\Even if you're lucky enough to find a job, how are you going to take care of her?\She's not even toilet trained.\I'll find a way.\Why her?\She doesn't understand your words or your reasoning. response:	Why are you so concerned about her?
context: What about money?\Housing?\Even if you're lucky enough to find a job, how are you going to take care of her?\She's not even toilet trained.\I'll find a way.\Why her?\She doesn't understand your words or your reasoning.\Why are you so concerned about her? response:	Hi!
context: Housing?\Even if you're lucky enough to find a job, how are you going to take care of her?\She's not even toilet trained.\I'll find a way.\Why her?\She doesn't understand your words or your reasoning.\Why are you so concerned about her?\Hi! response:	Oh, you're here again.
context: Even if you're lucky enough to find a job, how are you going to take care of her?\She's not even toilet trained.\I'll find a way.\Why her?\She doesn't understand your words or your reasoning.\Why are you so concerned about her?\Hi!\Oh, you're here again. response:	You're dressed up, aren't you?
context: She's not even toilet trained.\I'll find a way.\Why her?\She doesn't understand your words or your reasoning.\Why are you so concerned about her?\Hi!\Oh, you're here again.\You're dressed up, aren't you? response:	I'm off to work, after all.
context: I'll find a way.\Why her?\She doesn't understand your words or your reasoning.\Why are you so concerned about her?\Hi!\Oh, you're here again.\You're dressed up, aren't you?\I'm off to work, after all. response:	I don't sit around and drink all day, you know.
context: Why her?\She doesn't understand your words or your reasoning.\Why are you so concerned about her?\Hi!\Oh, you're here again.\You're dressed up, aren't you?\I'm off to work, after all.\I don't sit around and drink all day, you know. response:	Have a good day.
context: She doesn't understand your words or your reasoning.\Why are you so concerned about her?\Hi!\Oh, you're here again.\You're dressed up, aren't you?\I'm off to work, after all.\I don't sit around and drink all day, you know.\Have a good day. response:	Li-san, do you know why Eileen came to Japan?
context: Why are you so concerned about her?\Hi!\Oh, you're here again.\You're dressed up, aren't you?\I'm off to work, after all.\I don't sit around and drink all day, you know.\Have a good day.\Li-san, do you know why Eileen came to Japan? response:	She's here to earn money for her brother and sister back in her homeland.
context: Hi!\Oh, you're here again.\You're dressed up, aren't you?\I'm off to work, after all.\I don't sit around and drink all day, you know.\Have a good day.\Li-san, do you know why Eileen came to Japan?\She's here to earn money for her brother and sister back in her homeland. response:	She wasn't able to get a decent education, which is why she doesn't want her siblings to be in the same situation.
context: Oh, you're here again.\You're dressed up, aren't you?\I'm off to work, after all.\I don't sit around and drink all day, you know.\Have a good day.\Li-san, do you know why Eileen came to Japan?\She's here to earn money for her brother and sister back in her homeland.\She wasn't able to get a decent education, which is why she doesn't want her siblings to be in the same situation. response:	That's because they're related by blood.
context: You're dressed up, aren't you?\I'm off to work, after all.\I don't sit around and drink all day, you know.\Have a good day.\Li-san, do you know why Eileen came to Japan?\She's here to earn money for her brother and sister back in her homeland.\She wasn't able to get a decent education, which is why she doesn't want her siblings to be in the same situation.\That's because they're related by blood. response:	What difference does that make? I was abandoned by my parents.
context: I'm off to work, after all.\I don't sit around and drink all day, you know.\Have a good day.\Li-san, do you know why Eileen came to Japan?\She's here to earn money for her brother and sister back in her homeland.\She wasn't able to get a decent education, which is why she doesn't want her siblings to be in the same situation.\That's because they're related by blood.\What difference does that make? I was abandoned by my parents. response:	Eileen isn't the only one.
context: I don't sit around and drink all day, you know.\Have a good day.\Li-san, do you know why Eileen came to Japan?\She's here to earn money for her brother and sister back in her homeland.\She wasn't able to get a decent education, which is why she doesn't want her siblings to be in the same situation.\That's because they're related by blood.\What difference does that make? I was abandoned by my parents.\Eileen isn't the only one. response:	Louis, Joshua, and Babo... Everyone has a reason for living.
context: Have a good day.\Li-san, do you know why Eileen came to Japan?\She's here to earn money for her brother and sister back in her homeland.\She wasn't able to get a decent education, which is why she doesn't want her siblings to be in the same situation.\That's because they're related by blood.\What difference does that make? I was abandoned by my parents.\Eileen isn't the only one.\Louis, Joshua, and Babo... Everyone has a reason for living. response:	Li-san, don't you have it as well?
context: Li-san, do you know why Eileen came to Japan?\She's here to earn money for her brother and sister back in her homeland.\She wasn't able to get a decent education, which is why she doesn't want her siblings to be in the same situation.\That's because they're related by blood.\What difference does that make? I was abandoned by my parents.\Eileen isn't the only one.\Louis, Joshua, and Babo... Everyone has a reason for living.\Li-san, don't you have it as well? response:	Something you want to protect from the bottom of your heart...
context: She's here to earn money for her brother and sister back in her homeland.\She wasn't able to get a decent education, which is why she doesn't want her siblings to be in the same situation.\That's because they're related by blood.\What difference does that make? I was abandoned by my parents.\Eileen isn't the only one.\Louis, Joshua, and Babo... Everyone has a reason for living.\Li-san, don't you have it as well?\Something you want to protect from the bottom of your heart... response:	Sorry, I said a little too much.
context: She wasn't able to get a decent education, which is why she doesn't want her siblings to be in the same situation.\That's because they're related by blood.\What difference does that make? I was abandoned by my parents.\Eileen isn't the only one.\Louis, Joshua, and Babo... Everyone has a reason for living.\Li-san, don't you have it as well?\Something you want to protect from the bottom of your heart...\Sorry, I said a little too much. response:	You can't help being lovestruck, though.
context: That's because they're related by blood.\What difference does that make? I was abandoned by my parents.\Eileen isn't the only one.\Louis, Joshua, and Babo... Everyone has a reason for living.\Li-san, don't you have it as well?\Something you want to protect from the bottom of your heart...\Sorry, I said a little too much.\You can't help being lovestruck, though. response:	I'll take you to the station.
context: What difference does that make? I was abandoned by my parents.\Eileen isn't the only one.\Louis, Joshua, and Babo... Everyone has a reason for living.\Li-san, don't you have it as well?\Something you want to protect from the bottom of your heart...\Sorry, I said a little too much.\You can't help being lovestruck, though.\I'll take you to the station. response:	I'll take you to Shinjuku Station.
context: Eileen isn't the only one.\Louis, Joshua, and Babo... Everyone has a reason for living.\Li-san, don't you have it as well?\Something you want to protect from the bottom of your heart...\Sorry, I said a little too much.\You can't help being lovestruck, though.\I'll take you to the station.\I'll take you to Shinjuku Station. response:	Li-san...
context: Louis, Joshua, and Babo... Everyone has a reason for living.\Li-san, don't you have it as well?\Something you want to protect from the bottom of your heart...\Sorry, I said a little too much.\You can't help being lovestruck, though.\I'll take you to the station.\I'll take you to Shinjuku Station.\Li-san... response:	Tickets to the first express out of here!
context: Li-san, don't you have it as well?\Something you want to protect from the bottom of your heart...\Sorry, I said a little too much.\You can't help being lovestruck, though.\I'll take you to the station.\I'll take you to Shinjuku Station.\Li-san...\Tickets to the first express out of here! response:	Any destination is fine!
context: Something you want to protect from the bottom of your heart...\Sorry, I said a little too much.\You can't help being lovestruck, though.\I'll take you to the station.\I'll take you to Shinjuku Station.\Li-san...\Tickets to the first express out of here!\Any destination is fine! response:	I need two tickets now!
