context: Bye, Arata. response:	Let me know when you're done watching your friends play.
context: going to watch the team tournament?\Team tournament?\That's for players who don't love karuta.\That's why you aren't playing in it, right?\It's strange.\Why do I keep getting matched against her in the first round?\In fourth and fifth grade, too.\Arata, Shinobu-chan will surely be a future Queen. response:	Go beat her again.
context: Team tournament?\That's for players who don't love karuta.\That's why you aren't playing in it, right?\It's strange.\Why do I keep getting matched against her in the first round?\In fourth and fifth grade, too.\Arata, Shinobu-chan will surely be a future Queen.\Go beat her again. response:	You should have started a karuta club.
context: That's for players who don't love karuta.\That's why you aren't playing in it, right?\It's strange.\Why do I keep getting matched against her in the first round?\In fourth and fifth grade, too.\Arata, Shinobu-chan will surely be a future Queen.\Go beat her again.\You should have started a karuta club. response:	Team tournament?
context: That's why you aren't playing in it, right?\It's strange.\Why do I keep getting matched against her in the first round?\In fourth and fifth grade, too.\Arata, Shinobu-chan will surely be a future Queen.\Go beat her again.\You should have started a karuta club.\Team tournament? response:	That's for players who don't love karuta.
context: It's strange.\Why do I keep getting matched against her in the first round?\In fourth and fifth grade, too.\Arata, Shinobu-chan will surely be a future Queen.\Go beat her again.\You should have started a karuta club.\Team tournament?\That's for players who don't love karuta. response:	Chihaya Furu
context: Why do I keep getting matched against her in the first round?\In fourth and fifth grade, too.\Arata, Shinobu-chan will surely be a future Queen.\Go beat her again.\You should have started a karuta club.\Team tournament?\That's for players who don't love karuta.\Chihaya Furu response:	Verse 9
context: In fourth and fifth grade, too.\Arata, Shinobu-chan will surely be a future Queen.\Go beat her again.\You should have started a karuta club.\Team tournament?\That's for players who don't love karuta.\Chihaya Furu\Verse 9 response:	My Only Thought
context: Arata, Shinobu-chan will surely be a future Queen.\Go beat her again.\You should have started a karuta club.\Team tournament?\That's for players who don't love karuta.\Chihaya Furu\Verse 9\My Only Thought response:	We won our first match.
context: Go beat her again.\You should have started a karuta club.\Team tournament?\That's for players who don't love karuta.\Chihaya Furu\Verse 9\My Only Thought\We won our first match. response:	How did it go
context: You should have started a karuta club.\Team tournament?\That's for players who don't love karuta.\Chihaya Furu\Verse 9\My Only Thought\We won our first match.\How did it go response:	on your side?
context: Team tournament?\That's for players who don't love karuta.\Chihaya Furu\Verse 9\My Only Thought\We won our first match.\How did it go\on your side? response:	How does Fujisaki look this year?
context: That's for players who don't love karuta.\Chihaya Furu\Verse 9\My Only Thought\We won our first match.\How did it go\on your side?\How does Fujisaki look this year? response:	What's wrong?
context: Chihaya Furu\Verse 9\My Only Thought\We won our first match.\How did it go\on your side?\How does Fujisaki look this year?\What's wrong? response:	Mashima...
context: Verse 9\My Only Thought\We won our first match.\How did it go\on your side?\How does Fujisaki look this year?\What's wrong?\Mashima... response:	Five of their eight registered members are Class A?
context: My Only Thought\We won our first match.\How did it go\on your side?\How does Fujisaki look this year?\What's wrong?\Mashima...\Five of their eight registered members are Class A? response:	And they sent out all five of them in the first round.
context: We won our first match.\How did it go\on your side?\How does Fujisaki look this year?\What's wrong?\Mashima...\Five of their eight registered members are Class A?\And they sent out all five of them in the first round. response:	Five Class A members...
context: How did it go\on your side?\How does Fujisaki look this year?\What's wrong?\Mashima...\Five of their eight registered members are Class A?\And they sent out all five of them in the first round.\Five Class A members... response:	I'll be watching their second match, as well.
context: on your side?\How does Fujisaki look this year?\What's wrong?\Mashima...\Five of their eight registered members are Class A?\And they sent out all five of them in the first round.\Five Class A members...\I'll be watching their second match, as well. response:	Hey, what should we do for lunch?
context: How does Fujisaki look this year?\What's wrong?\Mashima...\Five of their eight registered members are Class A?\And they sent out all five of them in the first round.\Five Class A members...\I'll be watching their second match, as well.\Hey, what should we do for lunch? response:	How about the soba place inside the temple?
context: What's wrong?\Mashima...\Five of their eight registered members are Class A?\And they sent out all five of them in the first round.\Five Class A members...\I'll be watching their second match, as well.\Hey, what should we do for lunch?\How about the soba place inside the temple? response:	Sorry.
context: Mashima...\Five of their eight registered members are Class A?\And they sent out all five of them in the first round.\Five Class A members...\I'll be watching their second match, as well.\Hey, what should we do for lunch?\How about the soba place inside the temple?\Sorry. response:	What's wrong, Komano?
context: Five of their eight registered members are Class A?\And they sent out all five of them in the first round.\Five Class A members...\I'll be watching their second match, as well.\Hey, what should we do for lunch?\How about the soba place inside the temple?\Sorry.\What's wrong, Komano? response:	Who's that? A scout?
context: And they sent out all five of them in the first round.\Five Class A members...\I'll be watching their second match, as well.\Hey, what should we do for lunch?\How about the soba place inside the temple?\Sorry.\What's wrong, Komano?\Who's that? A scout? response:	He was taking a bunch of notes during the match.
context: Five Class A members...\I'll be watching their second match, as well.\Hey, what should we do for lunch?\How about the soba place inside the temple?\Sorry.\What's wrong, Komano?\Who's that? A scout?\He was taking a bunch of notes during the match. response:	Hey, if you're spying on us, then write this down.
context: I'll be watching their second match, as well.\Hey, what should we do for lunch?\How about the soba place inside the temple?\Sorry.\What's wrong, Komano?\Who's that? A scout?\He was taking a bunch of notes during the match.\Hey, if you're spying on us, then write this down. response:	In Fujisaki, the girls are scarier than the guys.
context: Hey, what should we do for lunch?\How about the soba place inside the temple?\Sorry.\What's wrong, Komano?\Who's that? A scout?\He was taking a bunch of notes during the match.\Hey, if you're spying on us, then write this down.\In Fujisaki, the girls are scarier than the guys. response:	Wait...
context: How about the soba place inside the temple?\Sorry.\What's wrong, Komano?\Who's that? A scout?\He was taking a bunch of notes during the match.\Hey, if you're spying on us, then write this down.\In Fujisaki, the girls are scarier than the guys.\Wait... response:	Aren't you a guy?
context: Sorry.\What's wrong, Komano?\Who's that? A scout?\He was taking a bunch of notes during the match.\Hey, if you're spying on us, then write this down.\In Fujisaki, the girls are scarier than the guys.\Wait...\Aren't you a guy? response:	Flat
context: What's wrong, Komano?\Who's that? A scout?\He was taking a bunch of notes during the match.\Hey, if you're spying on us, then write this down.\In Fujisaki, the girls are scarier than the guys.\Wait...\Aren't you a guy?\Flat response:	But the truly scariest of all are the beautiful, right?
context: Who's that? A scout?\He was taking a bunch of notes during the match.\Hey, if you're spying on us, then write this down.\In Fujisaki, the girls are scarier than the guys.\Wait...\Aren't you a guy?\Flat\But the truly scariest of all are the beautiful, right? response:	There it is!
context: He was taking a bunch of notes during the match.\Hey, if you're spying on us, then write this down.\In Fujisaki, the girls are scarier than the guys.\Wait...\Aren't you a guy?\Flat\But the truly scariest of all are the beautiful, right?\There it is! response:	Makoto-senpai's trick of holding matches on his eyelashes!
context: Hey, if you're spying on us, then write this down.\In Fujisaki, the girls are scarier than the guys.\Wait...\Aren't you a guy?\Flat\But the truly scariest of all are the beautiful, right?\There it is!\Makoto-senpai's trick of holding matches on his eyelashes! response:	Wow! He's got three of them today!
context: In Fujisaki, the girls are scarier than the guys.\Wait...\Aren't you a guy?\Flat\But the truly scariest of all are the beautiful, right?\There it is!\Makoto-senpai's trick of holding matches on his eyelashes!\Wow! He's got three of them today! response:	That's a good sign, senpai!
context: Wait...\Aren't you a guy?\Flat\But the truly scariest of all are the beautiful, right?\There it is!\Makoto-senpai's trick of holding matches on his eyelashes!\Wow! He's got three of them today!\That's a good sign, senpai! response:	Wonderful!
context: Aren't you a guy?\Flat\But the truly scariest of all are the beautiful, right?\There it is!\Makoto-senpai's trick of holding matches on his eyelashes!\Wow! He's got three of them today!\That's a good sign, senpai!\Wonderful! response:	I-I've known this for a while,
context: Flat\But the truly scariest of all are the beautiful, right?\There it is!\Makoto-senpai's trick of holding matches on his eyelashes!\Wow! He's got three of them today!\That's a good sign, senpai!\Wonderful!\I-I've known this for a while, response:	Go, go, Fujisaki!
context: But the truly scariest of all are the beautiful, right?\There it is!\Makoto-senpai's trick of holding matches on his eyelashes!\Wow! He's got three of them today!\That's a good sign, senpai!\Wonderful!\I-I've known this for a while,\Go, go, Fujisaki! response:	but the best karuta players
context: There it is!\Makoto-senpai's trick of holding matches on his eyelashes!\Wow! He's got three of them today!\That's a good sign, senpai!\Wonderful!\I-I've known this for a while,\Go, go, Fujisaki!\but the best karuta players response:	are all weirdos!
context: Makoto-senpai's trick of holding matches on his eyelashes!\Wow! He's got three of them today!\That's a good sign, senpai!\Wonderful!\I-I've known this for a while,\Go, go, Fujisaki!\but the best karuta players\are all weirdos! response:	Stop that, Chihaya-chan.
context: Wow! He's got three of them today!\That's a good sign, senpai!\Wonderful!\I-I've known this for a while,\Go, go, Fujisaki!\but the best karuta players\are all weirdos!\Stop that, Chihaya-chan. response:	Huh?
context: That's a good sign, senpai!\Wonderful!\I-I've known this for a while,\Go, go, Fujisaki!\but the best karuta players\are all weirdos!\Stop that, Chihaya-chan.\Huh? response:	A girl shouldn't gulp water standing up like that.
context: Wonderful!\I-I've known this for a while,\Go, go, Fujisaki!\but the best karuta players\are all weirdos!\Stop that, Chihaya-chan.\Huh?\A girl shouldn't gulp water standing up like that. response:	I'm trying to fire myself up.
context: I-I've known this for a while,\Go, go, Fujisaki!\but the best karuta players\are all weirdos!\Stop that, Chihaya-chan.\Huh?\A girl shouldn't gulp water standing up like that.\I'm trying to fire myself up. response:	Is something wrong, Prez?
context: Go, go, Fujisaki!\but the best karuta players\are all weirdos!\Stop that, Chihaya-chan.\Huh?\A girl shouldn't gulp water standing up like that.\I'm trying to fire myself up.\Is something wrong, Prez? response:	No, it's nothing.
context: but the best karuta players\are all weirdos!\Stop that, Chihaya-chan.\Huh?\A girl shouldn't gulp water standing up like that.\I'm trying to fire myself up.\Is something wrong, Prez?\No, it's nothing. response:	You people like to talk a lot.
context: are all weirdos!\Stop that, Chihaya-chan.\Huh?\A girl shouldn't gulp water standing up like that.\I'm trying to fire myself up.\Is something wrong, Prez?\No, it's nothing.\You people like to talk a lot. response:	Hokuo will be breezing through the group stages.
context: Stop that, Chihaya-chan.\Huh?\A girl shouldn't gulp water standing up like that.\I'm trying to fire myself up.\Is something wrong, Prez?\No, it's nothing.\You people like to talk a lot.\Hokuo will be breezing through the group stages. response:	How's it looking for Mizusawa, number two in Tokyo?
context: Huh?\A girl shouldn't gulp water standing up like that.\I'm trying to fire myself up.\Is something wrong, Prez?\No, it's nothing.\You people like to talk a lot.\Hokuo will be breezing through the group stages.\How's it looking for Mizusawa, number two in Tokyo? response:	Try not to drop out too early.
context: A girl shouldn't gulp water standing up like that.\I'm trying to fire myself up.\Is something wrong, Prez?\No, it's nothing.\You people like to talk a lot.\Hokuo will be breezing through the group stages.\How's it looking for Mizusawa, number two in Tokyo?\Try not to drop out too early. response:	We won't!
context: I'm trying to fire myself up.\Is something wrong, Prez?\No, it's nothing.\You people like to talk a lot.\Hokuo will be breezing through the group stages.\How's it looking for Mizusawa, number two in Tokyo?\Try not to drop out too early.\We won't! response:	We'll be waiting for you in the final!
context: Is something wrong, Prez?\No, it's nothing.\You people like to talk a lot.\Hokuo will be breezing through the group stages.\How's it looking for Mizusawa, number two in Tokyo?\Try not to drop out too early.\We won't!\We'll be waiting for you in the final! response:	That's fine!
context: No, it's nothing.\You people like to talk a lot.\Hokuo will be breezing through the group stages.\How's it looking for Mizusawa, number two in Tokyo?\Try not to drop out too early.\We won't!\We'll be waiting for you in the final!\That's fine! response:	We'll get you back for Tokyo!
context: You people like to talk a lot.\Hokuo will be breezing through the group stages.\How's it looking for Mizusawa, number two in Tokyo?\Try not to drop out too early.\We won't!\We'll be waiting for you in the final!\That's fine!\We'll get you back for Tokyo! response:	We'll take you down!
context: Hokuo will be breezing through the group stages.\How's it looking for Mizusawa, number two in Tokyo?\Try not to drop out too early.\We won't!\We'll be waiting for you in the final!\That's fine!\We'll get you back for Tokyo!\We'll take you down! response:	Arata.
context: How's it looking for Mizusawa, number two in Tokyo?\Try not to drop out too early.\We won't!\We'll be waiting for you in the final!\That's fine!\We'll get you back for Tokyo!\We'll take you down!\Arata. response:	Oh, Murao-san.
context: Try not to drop out too early.\We won't!\We'll be waiting for you in the final!\That's fine!\We'll get you back for Tokyo!\We'll take you down!\Arata.\Oh, Murao-san. response:	What is it, Chihaya?
context: We won't!\We'll be waiting for you in the final!\That's fine!\We'll get you back for Tokyo!\We'll take you down!\Arata.\Oh, Murao-san.\What is it, Chihaya? response:	Did you hear Arata's voice?
context: We'll be waiting for you in the final!\That's fine!\We'll get you back for Tokyo!\We'll take you down!\Arata.\Oh, Murao-san.\What is it, Chihaya?\Did you hear Arata's voice? response:	Huh?
context: That's fine!\We'll get you back for Tokyo!\We'll take you down!\Arata.\Oh, Murao-san.\What is it, Chihaya?\Did you hear Arata's voice?\Huh? response:	What are you talking about?
context: We'll get you back for Tokyo!\We'll take you down!\Arata.\Oh, Murao-san.\What is it, Chihaya?\Did you hear Arata's voice?\Huh?\What are you talking about? response:	He said that he was only playing in the individual tournament.
context: We'll take you down!\Arata.\Oh, Murao-san.\What is it, Chihaya?\Did you hear Arata's voice?\Huh?\What are you talking about?\He said that he was only playing in the individual tournament. response:	Yeah, but he might be here.
context: Arata.\Oh, Murao-san.\What is it, Chihaya?\Did you hear Arata's voice?\Huh?\What are you talking about?\He said that he was only playing in the individual tournament.\Yeah, but he might be here. response:	I just heard him...
context: Oh, Murao-san.\What is it, Chihaya?\Did you hear Arata's voice?\Huh?\What are you talking about?\He said that he was only playing in the individual tournament.\Yeah, but he might be here.\I just heard him... response:	Chihaya!
context: What is it, Chihaya?\Did you hear Arata's voice?\Huh?\What are you talking about?\He said that he was only playing in the individual tournament.\Yeah, but he might be here.\I just heard him...\Chihaya! response:	Whether he's here or not, our second match is coming up.
context: Did you hear Arata's voice?\Huh?\What are you talking about?\He said that he was only playing in the individual tournament.\Yeah, but he might be here.\I just heard him...\Chihaya!\Whether he's here or not, our second match is coming up. response:	Focus on the tournament.
context: Huh?\What are you talking about?\He said that he was only playing in the individual tournament.\Yeah, but he might be here.\I just heard him...\Chihaya!\Whether he's here or not, our second match is coming up.\Focus on the tournament. response:	S-Sorry.
context: What are you talking about?\He said that he was only playing in the individual tournament.\Yeah, but he might be here.\I just heard him...\Chihaya!\Whether he's here or not, our second match is coming up.\Focus on the tournament.\S-Sorry. response:	Yamaguchi Mioka, our second opponent,
context: He said that he was only playing in the individual tournament.\Yeah, but he might be here.\I just heard him...\Chihaya!\Whether he's here or not, our second match is coming up.\Focus on the tournament.\S-Sorry.\Yamaguchi Mioka, our second opponent, response:	Fujisaki has five Class A players.
context: Yeah, but he might be here.\I just heard him...\Chihaya!\Whether he's here or not, our second match is coming up.\Focus on the tournament.\S-Sorry.\Yamaguchi Mioka, our second opponent,\Fujisaki has five Class A players. response:	is fielding a bunch of boys without much experience.
context: I just heard him...\Chihaya!\Whether he's here or not, our second match is coming up.\Focus on the tournament.\S-Sorry.\Yamaguchi Mioka, our second opponent,\Fujisaki has five Class A players.\is fielding a bunch of boys without much experience. response:	How do we deal with that?
context: Chihaya!\Whether he's here or not, our second match is coming up.\Focus on the tournament.\S-Sorry.\Yamaguchi Mioka, our second opponent,\Fujisaki has five Class A players.\is fielding a bunch of boys without much experience.\How do we deal with that? response:	Then there's Hokuo and First Akashi Girls'...
context: Whether he's here or not, our second match is coming up.\Focus on the tournament.\S-Sorry.\Yamaguchi Mioka, our second opponent,\Fujisaki has five Class A players.\is fielding a bunch of boys without much experience.\How do we deal with that?\Then there's Hokuo and First Akashi Girls'... response:	There are many strong schools at Nationals.
context: Focus on the tournament.\S-Sorry.\Yamaguchi Mioka, our second opponent,\Fujisaki has five Class A players.\is fielding a bunch of boys without much experience.\How do we deal with that?\Then there's Hokuo and First Akashi Girls'...\There are many strong schools at Nationals. response:	We don't have time to think about Arata.
context: S-Sorry.\Yamaguchi Mioka, our second opponent,\Fujisaki has five Class A players.\is fielding a bunch of boys without much experience.\How do we deal with that?\Then there's Hokuo and First Akashi Girls'...\There are many strong schools at Nationals.\We don't have time to think about Arata. response:	But what if...
context: Yamaguchi Mioka, our second opponent,\Fujisaki has five Class A players.\is fielding a bunch of boys without much experience.\How do we deal with that?\Then there's Hokuo and First Akashi Girls'...\There are many strong schools at Nationals.\We don't have time to think about Arata.\But what if... response:	What if Arata comes to watch us?
context: Fujisaki has five Class A players.\is fielding a bunch of boys without much experience.\How do we deal with that?\Then there's Hokuo and First Akashi Girls'...\There are many strong schools at Nationals.\We don't have time to think about Arata.\But what if...\What if Arata comes to watch us? response:	Wh-What's this about, Arata?
context: is fielding a bunch of boys without much experience.\How do we deal with that?\Then there's Hokuo and First Akashi Girls'...\There are many strong schools at Nationals.\We don't have time to think about Arata.\But what if...\What if Arata comes to watch us?\Wh-What's this about, Arata? response:	Why are we hiding?
context: How do we deal with that?\Then there's Hokuo and First Akashi Girls'...\There are many strong schools at Nationals.\We don't have time to think about Arata.\But what if...\What if Arata comes to watch us?\Wh-What's this about, Arata?\Why are we hiding? response:	S-Sorry. Come this way.
context: Then there's Hokuo and First Akashi Girls'...\There are many strong schools at Nationals.\We don't have time to think about Arata.\But what if...\What if Arata comes to watch us?\Wh-What's this about, Arata?\Why are we hiding?\S-Sorry. Come this way. response:	Murao-san, you're on the tournament committee this year?
context: There are many strong schools at Nationals.\We don't have time to think about Arata.\But what if...\What if Arata comes to watch us?\Wh-What's this about, Arata?\Why are we hiding?\S-Sorry. Come this way.\Murao-san, you're on the tournament committee this year? response:	Yeah, and there are other Nagumo society members helping out.
context: We don't have time to think about Arata.\But what if...\What if Arata comes to watch us?\Wh-What's this about, Arata?\Why are we hiding?\S-Sorry. Come this way.\Murao-san, you're on the tournament committee this year?\Yeah, and there are other Nagumo society members helping out. response:	I had to wake up at five.
context: But what if...\What if Arata comes to watch us?\Wh-What's this about, Arata?\Why are we hiding?\S-Sorry. Come this way.\Murao-san, you're on the tournament committee this year?\Yeah, and there are other Nagumo society members helping out.\I had to wake up at five. response:	Sounds like hard work.
context: What if Arata comes to watch us?\Wh-What's this about, Arata?\Why are we hiding?\S-Sorry. Come this way.\Murao-san, you're on the tournament committee this year?\Yeah, and there are other Nagumo society members helping out.\I had to wake up at five.\Sounds like hard work. response:	I don't mind.
context: Wh-What's this about, Arata?\Why are we hiding?\S-Sorry. Come this way.\Murao-san, you're on the tournament committee this year?\Yeah, and there are other Nagumo society members helping out.\I had to wake up at five.\Sounds like hard work.\I don't mind. response:	There were other people doing this work when I was a student.
context: Why are we hiding?\S-Sorry. Come this way.\Murao-san, you're on the tournament committee this year?\Yeah, and there are other Nagumo society members helping out.\I had to wake up at five.\Sounds like hard work.\I don't mind.\There were other people doing this work when I was a student. response:	This is my way of paying them back.
context: S-Sorry. Come this way.\Murao-san, you're on the tournament committee this year?\Yeah, and there are other Nagumo society members helping out.\I had to wake up at five.\Sounds like hard work.\I don't mind.\There were other people doing this work when I was a student.\This is my way of paying them back. response:	We should keep the tradition going.
context: Murao-san, you're on the tournament committee this year?\Yeah, and there are other Nagumo society members helping out.\I had to wake up at five.\Sounds like hard work.\I don't mind.\There were other people doing this work when I was a student.\This is my way of paying them back.\We should keep the tradition going. response:	What about you, Arata?
context: Yeah, and there are other Nagumo society members helping out.\I had to wake up at five.\Sounds like hard work.\I don't mind.\There were other people doing this work when I was a student.\This is my way of paying them back.\We should keep the tradition going.\What about you, Arata? response:	You're only registered for the individual tournament, right?
