context: They say that the more you fight, the closer you are. response:	But fighting is nothing but a clash of egos.
context: I think it's probably impossible to live your life without getting hurt,\but I also think an effort should be made not to hurt others.\I just felt so strongly about that.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow response:	And it's over, it's like sand now
context: but I also think an effort should be made not to hurt others.\I just felt so strongly about that.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now response:	I sigh every night
context: I just felt so strongly about that.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night response:	I scream like a child and cried
context: Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried response:	It hangs there quietly, my sorrow
context: Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow response:	Please, please God, forgive my sins
context: Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins response:	I don't need to hide no more
context: An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more response:	Flowing toward the turquoise light
context: Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light response:	Just keep going on
context: And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on response:	You've got the chance now
context: I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now response:	You've got the power
context: I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power response:	Know you gotta be so true to yourself
context: It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself response:	I show you my life now
context: Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now response:	I show you my love now
context: I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now response:	I show you my everything yeah yeah
context: Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah response:	You'd better change now You'd better catch now
context: Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now response:	Don't ever change so be yourself
context: You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself response:	I'll show you my strength now
context: You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now response:	I'll show you my love now
context: Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now response:	I'll show you my everything yeah yeah
context: I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah response:	Baby don't be afraid
context: I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid response:	Yeah, yeah Yeah, yeah
context: I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah response:	Yeah, yeah, keep going on
context: You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on response:	Yeah, yeah Yeah, yeah
context: Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah response:	Yeah, yeah, keep going on
context: I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on response:	FROM: HACHI DATE: 09/11 SUBJECT: GOOD MORNING
context: I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\FROM: HACHI DATE: 09/11 SUBJECT: GOOD MORNING response:	THANKS FOR CALLING ME LAST NIGHT. I WAS REALLY HAPPY TO HEAR FROM YOU, SO I'M SORRY FOR HANGING UP ON YOU SO ABRUPTLY. I THOUGHT LONG AND HARD AFTER THAT, AND REALIZED THERE'S SOMETHING I MUST TALK TO YOU ABOUT. THERE ARE ALSO SOME THINGS I WISH TO ASK YOU. IF YOU HAVE
context: I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\FROM: HACHI DATE: 09/11 SUBJECT: GOOD MORNING\THANKS FOR CALLING ME LAST NIGHT. I WAS REALLY HAPPY TO HEAR FROM YOU, SO I'M SORRY FOR HANGING UP ON YOU SO ABRUPTLY. I THOUGHT LONG AND HARD AFTER THAT, AND REALIZED THERE'S SOMETHING I MUST TALK TO YOU ABOUT. THERE ARE ALSO SOME THINGS I WISH TO ASK YOU. IF YOU HAVE response:	Good morning, Reira. Did you sleep well?
context: Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\FROM: HACHI DATE: 09/11 SUBJECT: GOOD MORNING\THANKS FOR CALLING ME LAST NIGHT. I WAS REALLY HAPPY TO HEAR FROM YOU, SO I'M SORRY FOR HANGING UP ON YOU SO ABRUPTLY. I THOUGHT LONG AND HARD AFTER THAT, AND REALIZED THERE'S SOMETHING I MUST TALK TO YOU ABOUT. THERE ARE ALSO SOME THINGS I WISH TO ASK YOU. IF YOU HAVE\Good morning, Reira. Did you sleep well? response:	Yes. My head is clear, perhaps because I didn't take any medication.
context: Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\FROM: HACHI DATE: 09/11 SUBJECT: GOOD MORNING\THANKS FOR CALLING ME LAST NIGHT. I WAS REALLY HAPPY TO HEAR FROM YOU, SO I'M SORRY FOR HANGING UP ON YOU SO ABRUPTLY. I THOUGHT LONG AND HARD AFTER THAT, AND REALIZED THERE'S SOMETHING I MUST TALK TO YOU ABOUT. THERE ARE ALSO SOME THINGS I WISH TO ASK YOU. IF YOU HAVE\Good morning, Reira. Did you sleep well?\Yes. My head is clear, perhaps because I didn't take any medication. response:	Is that so? That's good, since you have to talk to a lot of people today.
context: Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\FROM: HACHI DATE: 09/11 SUBJECT: GOOD MORNING\THANKS FOR CALLING ME LAST NIGHT. I WAS REALLY HAPPY TO HEAR FROM YOU, SO I'M SORRY FOR HANGING UP ON YOU SO ABRUPTLY. I THOUGHT LONG AND HARD AFTER THAT, AND REALIZED THERE'S SOMETHING I MUST TALK TO YOU ABOUT. THERE ARE ALSO SOME THINGS I WISH TO ASK YOU. IF YOU HAVE\Good morning, Reira. Did you sleep well?\Yes. My head is clear, perhaps because I didn't take any medication.\Is that so? That's good, since you have to talk to a lot of people today. response:	A lot?
context: Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\FROM: HACHI DATE: 09/11 SUBJECT: GOOD MORNING\THANKS FOR CALLING ME LAST NIGHT. I WAS REALLY HAPPY TO HEAR FROM YOU, SO I'M SORRY FOR HANGING UP ON YOU SO ABRUPTLY. I THOUGHT LONG AND HARD AFTER THAT, AND REALIZED THERE'S SOMETHING I MUST TALK TO YOU ABOUT. THERE ARE ALSO SOME THINGS I WISH TO ASK YOU. IF YOU HAVE\Good morning, Reira. Did you sleep well?\Yes. My head is clear, perhaps because I didn't take any medication.\Is that so? That's good, since you have to talk to a lot of people today.\A lot? response:	Yes. In the morning,
context: Yeah, yeah, keep going on\FROM: HACHI DATE: 09/11 SUBJECT: GOOD MORNING\THANKS FOR CALLING ME LAST NIGHT. I WAS REALLY HAPPY TO HEAR FROM YOU, SO I'M SORRY FOR HANGING UP ON YOU SO ABRUPTLY. I THOUGHT LONG AND HARD AFTER THAT, AND REALIZED THERE'S SOMETHING I MUST TALK TO YOU ABOUT. THERE ARE ALSO SOME THINGS I WISH TO ASK YOU. IF YOU HAVE\Good morning, Reira. Did you sleep well?\Yes. My head is clear, perhaps because I didn't take any medication.\Is that so? That's good, since you have to talk to a lot of people today.\A lot?\Yes. In the morning, response:	you have an interview with a women's magazine here in this hotel.
context: FROM: HACHI DATE: 09/11 SUBJECT: GOOD MORNING\THANKS FOR CALLING ME LAST NIGHT. I WAS REALLY HAPPY TO HEAR FROM YOU, SO I'M SORRY FOR HANGING UP ON YOU SO ABRUPTLY. I THOUGHT LONG AND HARD AFTER THAT, AND REALIZED THERE'S SOMETHING I MUST TALK TO YOU ABOUT. THERE ARE ALSO SOME THINGS I WISH TO ASK YOU. IF YOU HAVE\Good morning, Reira. Did you sleep well?\Yes. My head is clear, perhaps because I didn't take any medication.\Is that so? That's good, since you have to talk to a lot of people today.\A lot?\Yes. In the morning,\you have an interview with a women's magazine here in this hotel. response:	In the afternoon, we change locations
context: THANKS FOR CALLING ME LAST NIGHT. I WAS REALLY HAPPY TO HEAR FROM YOU, SO I'M SORRY FOR HANGING UP ON YOU SO ABRUPTLY. I THOUGHT LONG AND HARD AFTER THAT, AND REALIZED THERE'S SOMETHING I MUST TALK TO YOU ABOUT. THERE ARE ALSO SOME THINGS I WISH TO ASK YOU. IF YOU HAVE\Good morning, Reira. Did you sleep well?\Yes. My head is clear, perhaps because I didn't take any medication.\Is that so? That's good, since you have to talk to a lot of people today.\A lot?\Yes. In the morning,\you have an interview with a women's magazine here in this hotel.\In the afternoon, we change locations response:	and all band members will give interviews
context: Good morning, Reira. Did you sleep well?\Yes. My head is clear, perhaps because I didn't take any medication.\Is that so? That's good, since you have to talk to a lot of people today.\A lot?\Yes. In the morning,\you have an interview with a women's magazine here in this hotel.\In the afternoon, we change locations\and all band members will give interviews response:	to three music magazines and two information magazines.
context: Yes. My head is clear, perhaps because I didn't take any medication.\Is that so? That's good, since you have to talk to a lot of people today.\A lot?\Yes. In the morning,\you have an interview with a women's magazine here in this hotel.\In the afternoon, we change locations\and all band members will give interviews\to three music magazines and two information magazines. response:	In the evening, you have two radio show recordings.
context: Is that so? That's good, since you have to talk to a lot of people today.\A lot?\Yes. In the morning,\you have an interview with a women's magazine here in this hotel.\In the afternoon, we change locations\and all band members will give interviews\to three music magazines and two information magazines.\In the evening, you have two radio show recordings. response:	I'm so sorry for scheduling all this for one day.
context: A lot?\Yes. In the morning,\you have an interview with a women's magazine here in this hotel.\In the afternoon, we change locations\and all band members will give interviews\to three music magazines and two information magazines.\In the evening, you have two radio show recordings.\I'm so sorry for scheduling all this for one day. response:	No, the recording got delayed all because of me.
context: Yes. In the morning,\you have an interview with a women's magazine here in this hotel.\In the afternoon, we change locations\and all band members will give interviews\to three music magazines and two information magazines.\In the evening, you have two radio show recordings.\I'm so sorry for scheduling all this for one day.\No, the recording got delayed all because of me. response:	I'm really sorry.
context: you have an interview with a women's magazine here in this hotel.\In the afternoon, we change locations\and all band members will give interviews\to three music magazines and two information magazines.\In the evening, you have two radio show recordings.\I'm so sorry for scheduling all this for one day.\No, the recording got delayed all because of me.\I'm really sorry. response:	It's okay.
context: In the afternoon, we change locations\and all band members will give interviews\to three music magazines and two information magazines.\In the evening, you have two radio show recordings.\I'm so sorry for scheduling all this for one day.\No, the recording got delayed all because of me.\I'm really sorry.\It's okay. response:	Can I take a shower? Do we still have time?
context: and all band members will give interviews\to three music magazines and two information magazines.\In the evening, you have two radio show recordings.\I'm so sorry for scheduling all this for one day.\No, the recording got delayed all because of me.\I'm really sorry.\It's okay.\Can I take a shower? Do we still have time? response:	Yes. The hair and make-up people are scheduled to be here in thirty minutes.
context: to three music magazines and two information magazines.\In the evening, you have two radio show recordings.\I'm so sorry for scheduling all this for one day.\No, the recording got delayed all because of me.\I'm really sorry.\It's okay.\Can I take a shower? Do we still have time?\Yes. The hair and make-up people are scheduled to be here in thirty minutes. response:	What do you wish to do about breakfast?
context: In the evening, you have two radio show recordings.\I'm so sorry for scheduling all this for one day.\No, the recording got delayed all because of me.\I'm really sorry.\It's okay.\Can I take a shower? Do we still have time?\Yes. The hair and make-up people are scheduled to be here in thirty minutes.\What do you wish to do about breakfast? response:	Just order something from room service.
context: I'm so sorry for scheduling all this for one day.\No, the recording got delayed all because of me.\I'm really sorry.\It's okay.\Can I take a shower? Do we still have time?\Yes. The hair and make-up people are scheduled to be here in thirty minutes.\What do you wish to do about breakfast?\Just order something from room service. response:	Yes.
context: No, the recording got delayed all because of me.\I'm really sorry.\It's okay.\Can I take a shower? Do we still have time?\Yes. The hair and make-up people are scheduled to be here in thirty minutes.\What do you wish to do about breakfast?\Just order something from room service.\Yes. response:	You forgot it on purpose, didn't you?
context: I'm really sorry.\It's okay.\Can I take a shower? Do we still have time?\Yes. The hair and make-up people are scheduled to be here in thirty minutes.\What do you wish to do about breakfast?\Just order something from room service.\Yes.\You forgot it on purpose, didn't you? response:	I had a day off from work that day,
context: It's okay.\Can I take a shower? Do we still have time?\Yes. The hair and make-up people are scheduled to be here in thirty minutes.\What do you wish to do about breakfast?\Just order something from room service.\Yes.\You forgot it on purpose, didn't you?\I had a day off from work that day, response:	so I spent the day sleeping peacefully in Ren's arms for the first time in days.
context: Can I take a shower? Do we still have time?\Yes. The hair and make-up people are scheduled to be here in thirty minutes.\What do you wish to do about breakfast?\Just order something from room service.\Yes.\You forgot it on purpose, didn't you?\I had a day off from work that day,\so I spent the day sleeping peacefully in Ren's arms for the first time in days. response:	I woke up feeling that my troubles had disappeared.
context: Yes. The hair and make-up people are scheduled to be here in thirty minutes.\What do you wish to do about breakfast?\Just order something from room service.\Yes.\You forgot it on purpose, didn't you?\I had a day off from work that day,\so I spent the day sleeping peacefully in Ren's arms for the first time in days.\I woke up feeling that my troubles had disappeared. response:	Damn, I left my umbrella at Ren's place.
context: What do you wish to do about breakfast?\Just order something from room service.\Yes.\You forgot it on purpose, didn't you?\I had a day off from work that day,\so I spent the day sleeping peacefully in Ren's arms for the first time in days.\I woke up feeling that my troubles had disappeared.\Damn, I left my umbrella at Ren's place. response:	Tell him that I won't be seeing him for a while.
context: Just order something from room service.\Yes.\You forgot it on purpose, didn't you?\I had a day off from work that day,\so I spent the day sleeping peacefully in Ren's arms for the first time in days.\I woke up feeling that my troubles had disappeared.\Damn, I left my umbrella at Ren's place.\Tell him that I won't be seeing him for a while. response:	Knowing Nobu, he probably never told him.
context: Yes.\You forgot it on purpose, didn't you?\I had a day off from work that day,\so I spent the day sleeping peacefully in Ren's arms for the first time in days.\I woke up feeling that my troubles had disappeared.\Damn, I left my umbrella at Ren's place.\Tell him that I won't be seeing him for a while.\Knowing Nobu, he probably never told him. response:	That guy's really useless.
context: You forgot it on purpose, didn't you?\I had a day off from work that day,\so I spent the day sleeping peacefully in Ren's arms for the first time in days.\I woke up feeling that my troubles had disappeared.\Damn, I left my umbrella at Ren's place.\Tell him that I won't be seeing him for a while.\Knowing Nobu, he probably never told him.\That guy's really useless. response:	Is your pride that important to you?
context: I had a day off from work that day,\so I spent the day sleeping peacefully in Ren's arms for the first time in days.\I woke up feeling that my troubles had disappeared.\Damn, I left my umbrella at Ren's place.\Tell him that I won't be seeing him for a while.\Knowing Nobu, he probably never told him.\That guy's really useless.\Is your pride that important to you? response:	Here, here.
context: so I spent the day sleeping peacefully in Ren's arms for the first time in days.\I woke up feeling that my troubles had disappeared.\Damn, I left my umbrella at Ren's place.\Tell him that I won't be seeing him for a while.\Knowing Nobu, he probably never told him.\That guy's really useless.\Is your pride that important to you?\Here, here. response:	I doubt I'll be able to erase the complicated feelings I have
context: I woke up feeling that my troubles had disappeared.\Damn, I left my umbrella at Ren's place.\Tell him that I won't be seeing him for a while.\Knowing Nobu, he probably never told him.\That guy's really useless.\Is your pride that important to you?\Here, here.\I doubt I'll be able to erase the complicated feelings I have response:	towards Trapnest's Ren unless I make it big with my singing career.
context: Damn, I left my umbrella at Ren's place.\Tell him that I won't be seeing him for a while.\Knowing Nobu, he probably never told him.\That guy's really useless.\Is your pride that important to you?\Here, here.\I doubt I'll be able to erase the complicated feelings I have\towards Trapnest's Ren unless I make it big with my singing career. response:	But the reason I always end up letting things like this happen when we meet
context: Tell him that I won't be seeing him for a while.\Knowing Nobu, he probably never told him.\That guy's really useless.\Is your pride that important to you?\Here, here.\I doubt I'll be able to erase the complicated feelings I have\towards Trapnest's Ren unless I make it big with my singing career.\But the reason I always end up letting things like this happen when we meet response:	is because I love him.
context: Knowing Nobu, he probably never told him.\That guy's really useless.\Is your pride that important to you?\Here, here.\I doubt I'll be able to erase the complicated feelings I have\towards Trapnest's Ren unless I make it big with my singing career.\But the reason I always end up letting things like this happen when we meet\is because I love him. response:	It's as simple as that.
context: That guy's really useless.\Is your pride that important to you?\Here, here.\I doubt I'll be able to erase the complicated feelings I have\towards Trapnest's Ren unless I make it big with my singing career.\But the reason I always end up letting things like this happen when we meet\is because I love him.\It's as simple as that. response:	The strawberry glasses weren't in the kitchen cupboard.
context: Is your pride that important to you?\Here, here.\I doubt I'll be able to erase the complicated feelings I have\towards Trapnest's Ren unless I make it big with my singing career.\But the reason I always end up letting things like this happen when we meet\is because I love him.\It's as simple as that.\The strawberry glasses weren't in the kitchen cupboard. response:	I couldn't imagine Hachi taking my glass too,
context: Here, here.\I doubt I'll be able to erase the complicated feelings I have\towards Trapnest's Ren unless I make it big with my singing career.\But the reason I always end up letting things like this happen when we meet\is because I love him.\It's as simple as that.\The strawberry glasses weren't in the kitchen cupboard.\I couldn't imagine Hachi taking my glass too, response:	so I figured the glass must've broken after all,
context: I doubt I'll be able to erase the complicated feelings I have\towards Trapnest's Ren unless I make it big with my singing career.\But the reason I always end up letting things like this happen when we meet\is because I love him.\It's as simple as that.\The strawberry glasses weren't in the kitchen cupboard.\I couldn't imagine Hachi taking my glass too,\so I figured the glass must've broken after all, response:	which made me feel uneasy.
context: towards Trapnest's Ren unless I make it big with my singing career.\But the reason I always end up letting things like this happen when we meet\is because I love him.\It's as simple as that.\The strawberry glasses weren't in the kitchen cupboard.\I couldn't imagine Hachi taking my glass too,\so I figured the glass must've broken after all,\which made me feel uneasy. response:	Actually, both glasses were broken.
context: But the reason I always end up letting things like this happen when we meet\is because I love him.\It's as simple as that.\The strawberry glasses weren't in the kitchen cupboard.\I couldn't imagine Hachi taking my glass too,\so I figured the glass must've broken after all,\which made me feel uneasy.\Actually, both glasses were broken. response:	Huh?
context: is because I love him.\It's as simple as that.\The strawberry glasses weren't in the kitchen cupboard.\I couldn't imagine Hachi taking my glass too,\so I figured the glass must've broken after all,\which made me feel uneasy.\Actually, both glasses were broken.\Huh? response:	Takumi told me.
context: It's as simple as that.\The strawberry glasses weren't in the kitchen cupboard.\I couldn't imagine Hachi taking my glass too,\so I figured the glass must've broken after all,\which made me feel uneasy.\Actually, both glasses were broken.\Huh?\Takumi told me. response:	He said, Your woman is terribly brutal. You've gotta discipline her.
context: The strawberry glasses weren't in the kitchen cupboard.\I couldn't imagine Hachi taking my glass too,\so I figured the glass must've broken after all,\which made me feel uneasy.\Actually, both glasses were broken.\Huh?\Takumi told me.\He said, Your woman is terribly brutal. You've gotta discipline her. response:	Discipline me?
context: I couldn't imagine Hachi taking my glass too,\so I figured the glass must've broken after all,\which made me feel uneasy.\Actually, both glasses were broken.\Huh?\Takumi told me.\He said, Your woman is terribly brutal. You've gotta discipline her.\Discipline me? response:	When Hachiko saw them broken, she was so shocked she started crying.
context: so I figured the glass must've broken after all,\which made me feel uneasy.\Actually, both glasses were broken.\Huh?\Takumi told me.\He said, Your woman is terribly brutal. You've gotta discipline her.\Discipline me?\When Hachiko saw them broken, she was so shocked she started crying. response:	Takumi apparently had a tough time trying to calm her down.
context: which made me feel uneasy.\Actually, both glasses were broken.\Huh?\Takumi told me.\He said, Your woman is terribly brutal. You've gotta discipline her.\Discipline me?\When Hachiko saw them broken, she was so shocked she started crying.\Takumi apparently had a tough time trying to calm her down. response:	Given the situation, it's normal to think that you broke them out of anger.
context: Actually, both glasses were broken.\Huh?\Takumi told me.\He said, Your woman is terribly brutal. You've gotta discipline her.\Discipline me?\When Hachiko saw them broken, she was so shocked she started crying.\Takumi apparently had a tough time trying to calm her down.\Given the situation, it's normal to think that you broke them out of anger. response:	In reality, it's not likely that both would break by accident.
context: Huh?\Takumi told me.\He said, Your woman is terribly brutal. You've gotta discipline her.\Discipline me?\When Hachiko saw them broken, she was so shocked she started crying.\Takumi apparently had a tough time trying to calm her down.\Given the situation, it's normal to think that you broke them out of anger.\In reality, it's not likely that both would break by accident. response:	It's natural that Hachi would wanna move out without saying anything.
context: Takumi told me.\He said, Your woman is terribly brutal. You've gotta discipline her.\Discipline me?\When Hachiko saw them broken, she was so shocked she started crying.\Takumi apparently had a tough time trying to calm her down.\Given the situation, it's normal to think that you broke them out of anger.\In reality, it's not likely that both would break by accident.\It's natural that Hachi would wanna move out without saying anything. response:	All the more if those glasses were precious to her.
context: He said, Your woman is terribly brutal. You've gotta discipline her.\Discipline me?\When Hachiko saw them broken, she was so shocked she started crying.\Takumi apparently had a tough time trying to calm her down.\Given the situation, it's normal to think that you broke them out of anger.\In reality, it's not likely that both would break by accident.\It's natural that Hachi would wanna move out without saying anything.\All the more if those glasses were precious to her. response:	It's more than enough to give her the message
context: Discipline me?\When Hachiko saw them broken, she was so shocked she started crying.\Takumi apparently had a tough time trying to calm her down.\Given the situation, it's normal to think that you broke them out of anger.\In reality, it's not likely that both would break by accident.\It's natural that Hachi would wanna move out without saying anything.\All the more if those glasses were precious to her.\It's more than enough to give her the message response:	that you're ending your relationship.
context: When Hachiko saw them broken, she was so shocked she started crying.\Takumi apparently had a tough time trying to calm her down.\Given the situation, it's normal to think that you broke them out of anger.\In reality, it's not likely that both would break by accident.\It's natural that Hachi would wanna move out without saying anything.\All the more if those glasses were precious to her.\It's more than enough to give her the message\that you're ending your relationship. response:	What am I gonna do? That wasn't my intention at all.
context: Takumi apparently had a tough time trying to calm her down.\Given the situation, it's normal to think that you broke them out of anger.\In reality, it's not likely that both would break by accident.\It's natural that Hachi would wanna move out without saying anything.\All the more if those glasses were precious to her.\It's more than enough to give her the message\that you're ending your relationship.\What am I gonna do? That wasn't my intention at all. response:	Then what was your intention?
context: Given the situation, it's normal to think that you broke them out of anger.\In reality, it's not likely that both would break by accident.\It's natural that Hachi would wanna move out without saying anything.\All the more if those glasses were precious to her.\It's more than enough to give her the message\that you're ending your relationship.\What am I gonna do? That wasn't my intention at all.\Then what was your intention? response:	I don't know.
context: In reality, it's not likely that both would break by accident.\It's natural that Hachi would wanna move out without saying anything.\All the more if those glasses were precious to her.\It's more than enough to give her the message\that you're ending your relationship.\What am I gonna do? That wasn't my intention at all.\Then what was your intention?\I don't know. response:	You really don't remember?
context: It's natural that Hachi would wanna move out without saying anything.\All the more if those glasses were precious to her.\It's more than enough to give her the message\that you're ending your relationship.\What am I gonna do? That wasn't my intention at all.\Then what was your intention?\I don't know.\You really don't remember? response:	And you don't remember sinking your phone in the water.
context: All the more if those glasses were precious to her.\It's more than enough to give her the message\that you're ending your relationship.\What am I gonna do? That wasn't my intention at all.\Then what was your intention?\I don't know.\You really don't remember?\And you don't remember sinking your phone in the water. response:	Sorry. After you went to the trouble of getting that phone for me.
context: It's more than enough to give her the message\that you're ending your relationship.\What am I gonna do? That wasn't my intention at all.\Then what was your intention?\I don't know.\You really don't remember?\And you don't remember sinking your phone in the water.\Sorry. After you went to the trouble of getting that phone for me. response:	Something was wrong with me.
context: that you're ending your relationship.\What am I gonna do? That wasn't my intention at all.\Then what was your intention?\I don't know.\You really don't remember?\And you don't remember sinking your phone in the water.\Sorry. After you went to the trouble of getting that phone for me.\Something was wrong with me. response:	It's all right.
