context: One Strike. response:	One strike...
context: Are you sure you aren't the one who has forgotten?\It is my sacred duty to pass judgment on sinners.\Guild Operative Nathaniel H.\They will atone for their sins with their lives.\Ability: The Scarlet Letter\Or do you wish for atonement as well?\Guild Apprentice Margaret M.\You aren't even worthy of polishing my shoes. response:	Ability: Gone with the Wind
context: It is my sacred duty to pass judgment on sinners.\Guild Operative Nathaniel H.\They will atone for their sins with their lives.\Ability: The Scarlet Letter\Or do you wish for atonement as well?\Guild Apprentice Margaret M.\You aren't even worthy of polishing my shoes.\Ability: Gone with the Wind response:	Um... Excuse me
context: Guild Operative Nathaniel H.\They will atone for their sins with their lives.\Ability: The Scarlet Letter\Or do you wish for atonement as well?\Guild Apprentice Margaret M.\You aren't even worthy of polishing my shoes.\Ability: Gone with the Wind\Um... Excuse me response:	Th-This letter was found among the cargo.
context: They will atone for their sins with their lives.\Ability: The Scarlet Letter\Or do you wish for atonement as well?\Guild Apprentice Margaret M.\You aren't even worthy of polishing my shoes.\Ability: Gone with the Wind\Um... Excuse me\Th-This letter was found among the cargo. response:	Dear Guild
context: Ability: The Scarlet Letter\Or do you wish for atonement as well?\Guild Apprentice Margaret M.\You aren't even worthy of polishing my shoes.\Ability: Gone with the Wind\Um... Excuse me\Th-This letter was found among the cargo.\Dear Guild response:	A letter?
context: Or do you wish for atonement as well?\Guild Apprentice Margaret M.\You aren't even worthy of polishing my shoes.\Ability: Gone with the Wind\Um... Excuse me\Th-This letter was found among the cargo.\Dear Guild\A letter? response:	Dear Sir and Madam...
context: Guild Apprentice Margaret M.\You aren't even worthy of polishing my shoes.\Ability: Gone with the Wind\Um... Excuse me\Th-This letter was found among the cargo.\Dear Guild\A letter?\Dear Sir and Madam... response:	I hope this letter finds you in the best of health.
context: You aren't even worthy of polishing my shoes.\Ability: Gone with the Wind\Um... Excuse me\Th-This letter was found among the cargo.\Dear Guild\A letter?\Dear Sir and Madam...\I hope this letter finds you in the best of health. response:	Rintarou, you jerk! Idiot!
context: Ability: Gone with the Wind\Um... Excuse me\Th-This letter was found among the cargo.\Dear Guild\A letter?\Dear Sir and Madam...\I hope this letter finds you in the best of health.\Rintarou, you jerk! Idiot! response:	I write regarding the recent military conflict.
context: Um... Excuse me\Th-This letter was found among the cargo.\Dear Guild\A letter?\Dear Sir and Madam...\I hope this letter finds you in the best of health.\Rintarou, you jerk! Idiot!\I write regarding the recent military conflict. response:	While it may sound presumptuous,
context: Th-This letter was found among the cargo.\Dear Guild\A letter?\Dear Sir and Madam...\I hope this letter finds you in the best of health.\Rintarou, you jerk! Idiot!\I write regarding the recent military conflict.\While it may sound presumptuous, response:	I wish to inform you of the Guild assets that we will next obliterate.
context: Dear Guild\A letter?\Dear Sir and Madam...\I hope this letter finds you in the best of health.\Rintarou, you jerk! Idiot!\I write regarding the recent military conflict.\While it may sound presumptuous,\I wish to inform you of the Guild assets that we will next obliterate. response:	Give me back my crayon!
context: A letter?\Dear Sir and Madam...\I hope this letter finds you in the best of health.\Rintarou, you jerk! Idiot!\I write regarding the recent military conflict.\While it may sound presumptuous,\I wish to inform you of the Guild assets that we will next obliterate.\Give me back my crayon! response:	These are the guild assets that we will next obliterate...
context: Dear Sir and Madam...\I hope this letter finds you in the best of health.\Rintarou, you jerk! Idiot!\I write regarding the recent military conflict.\While it may sound presumptuous,\I wish to inform you of the Guild assets that we will next obliterate.\Give me back my crayon!\These are the guild assets that we will next obliterate... response:	First, your luxury liner, the Zelda.
context: I hope this letter finds you in the best of health.\Rintarou, you jerk! Idiot!\I write regarding the recent military conflict.\While it may sound presumptuous,\I wish to inform you of the Guild assets that we will next obliterate.\Give me back my crayon!\These are the guild assets that we will next obliterate...\First, your luxury liner, the Zelda. response:	Second, the life of Mr. Nathaniel.
context: Rintarou, you jerk! Idiot!\I write regarding the recent military conflict.\While it may sound presumptuous,\I wish to inform you of the Guild assets that we will next obliterate.\Give me back my crayon!\These are the guild assets that we will next obliterate...\First, your luxury liner, the Zelda.\Second, the life of Mr. Nathaniel. response:	Third, the life of Ms. Margaret.
context: I write regarding the recent military conflict.\While it may sound presumptuous,\I wish to inform you of the Guild assets that we will next obliterate.\Give me back my crayon!\These are the guild assets that we will next obliterate...\First, your luxury liner, the Zelda.\Second, the life of Mr. Nathaniel.\Third, the life of Ms. Margaret. response:	What?
context: While it may sound presumptuous,\I wish to inform you of the Guild assets that we will next obliterate.\Give me back my crayon!\These are the guild assets that we will next obliterate...\First, your luxury liner, the Zelda.\Second, the life of Mr. Nathaniel.\Third, the life of Ms. Margaret.\What? response:	Sincerely, Mori Ougai, Boss of the Port Mafia.
context: I wish to inform you of the Guild assets that we will next obliterate.\Give me back my crayon!\These are the guild assets that we will next obliterate...\First, your luxury liner, the Zelda.\Second, the life of Mr. Nathaniel.\Third, the life of Ms. Margaret.\What?\Sincerely, Mori Ougai, Boss of the Port Mafia. response:	Obliterate us and the ship?
context: Give me back my crayon!\These are the guild assets that we will next obliterate...\First, your luxury liner, the Zelda.\Second, the life of Mr. Nathaniel.\Third, the life of Ms. Margaret.\What?\Sincerely, Mori Ougai, Boss of the Port Mafia.\Obliterate us and the ship? response:	Unthinkable.
context: These are the guild assets that we will next obliterate...\First, your luxury liner, the Zelda.\Second, the life of Mr. Nathaniel.\Third, the life of Ms. Margaret.\What?\Sincerely, Mori Ougai, Boss of the Port Mafia.\Obliterate us and the ship?\Unthinkable. response:	We'll depart once all cargo is on board.
context: First, your luxury liner, the Zelda.\Second, the life of Mr. Nathaniel.\Third, the life of Ms. Margaret.\What?\Sincerely, Mori Ougai, Boss of the Port Mafia.\Obliterate us and the ship?\Unthinkable.\We'll depart once all cargo is on board. response:	How long?
context: Second, the life of Mr. Nathaniel.\Third, the life of Ms. Margaret.\What?\Sincerely, Mori Ougai, Boss of the Port Mafia.\Obliterate us and the ship?\Unthinkable.\We'll depart once all cargo is on board.\How long? response:	About two more hours, I believe...
context: Third, the life of Ms. Margaret.\What?\Sincerely, Mori Ougai, Boss of the Port Mafia.\Obliterate us and the ship?\Unthinkable.\We'll depart once all cargo is on board.\How long?\About two more hours, I believe... response:	Get it done in thirty minutes.
context: What?\Sincerely, Mori Ougai, Boss of the Port Mafia.\Obliterate us and the ship?\Unthinkable.\We'll depart once all cargo is on board.\How long?\About two more hours, I believe...\Get it done in thirty minutes. response:	Thirty minutes?!
context: Sincerely, Mori Ougai, Boss of the Port Mafia.\Obliterate us and the ship?\Unthinkable.\We'll depart once all cargo is on board.\How long?\About two more hours, I believe...\Get it done in thirty minutes.\Thirty minutes?! response:	You can have the freight helicopter unload
context: Obliterate us and the ship?\Unthinkable.\We'll depart once all cargo is on board.\How long?\About two more hours, I believe...\Get it done in thirty minutes.\Thirty minutes?!\You can have the freight helicopter unload response:	on the deck helipad while the regular loading is going on.
context: Unthinkable.\We'll depart once all cargo is on board.\How long?\About two more hours, I believe...\Get it done in thirty minutes.\Thirty minutes?!\You can have the freight helicopter unload\on the deck helipad while the regular loading is going on. response:	And strengthen security around the ship.
context: We'll depart once all cargo is on board.\How long?\About two more hours, I believe...\Get it done in thirty minutes.\Thirty minutes?!\You can have the freight helicopter unload\on the deck helipad while the regular loading is going on.\And strengthen security around the ship. response:	Are you serious?
context: How long?\About two more hours, I believe...\Get it done in thirty minutes.\Thirty minutes?!\You can have the freight helicopter unload\on the deck helipad while the regular loading is going on.\And strengthen security around the ship.\Are you serious? response:	This silly threat letter is just a prank.
context: About two more hours, I believe...\Get it done in thirty minutes.\Thirty minutes?!\You can have the freight helicopter unload\on the deck helipad while the regular loading is going on.\And strengthen security around the ship.\Are you serious?\This silly threat letter is just a prank. response:	Are you sure?
context: Get it done in thirty minutes.\Thirty minutes?!\You can have the freight helicopter unload\on the deck helipad while the regular loading is going on.\And strengthen security around the ship.\Are you serious?\This silly threat letter is just a prank.\Are you sure? response:	Given that our Guild has no base on land,
context: Thirty minutes?!\You can have the freight helicopter unload\on the deck helipad while the regular loading is going on.\And strengthen security around the ship.\Are you serious?\This silly threat letter is just a prank.\Are you sure?\Given that our Guild has no base on land, response:	this ship is essentially our front-line base.
context: You can have the freight helicopter unload\on the deck helipad while the regular loading is going on.\And strengthen security around the ship.\Are you serious?\This silly threat letter is just a prank.\Are you sure?\Given that our Guild has no base on land,\this ship is essentially our front-line base. response:	So what?
context: on the deck helipad while the regular loading is going on.\And strengthen security around the ship.\Are you serious?\This silly threat letter is just a prank.\Are you sure?\Given that our Guild has no base on land,\this ship is essentially our front-line base.\So what? response:	This moment, as we're replenishing supplies, is when we're most vulnerable.
context: And strengthen security around the ship.\Are you serious?\This silly threat letter is just a prank.\Are you sure?\Given that our Guild has no base on land,\this ship is essentially our front-line base.\So what?\This moment, as we're replenishing supplies, is when we're most vulnerable. response:	Our enemy, this supernatural organization, may not be a threat to our lives
context: Are you serious?\This silly threat letter is just a prank.\Are you sure?\Given that our Guild has no base on land,\this ship is essentially our front-line base.\So what?\This moment, as we're replenishing supplies, is when we're most vulnerable.\Our enemy, this supernatural organization, may not be a threat to our lives response:	but should they launch a surprise attack, they could sink this ship.
context: This silly threat letter is just a prank.\Are you sure?\Given that our Guild has no base on land,\this ship is essentially our front-line base.\So what?\This moment, as we're replenishing supplies, is when we're most vulnerable.\Our enemy, this supernatural organization, may not be a threat to our lives\but should they launch a surprise attack, they could sink this ship. response:	Mr. Nathaniel.
context: Are you sure?\Given that our Guild has no base on land,\this ship is essentially our front-line base.\So what?\This moment, as we're replenishing supplies, is when we're most vulnerable.\Our enemy, this supernatural organization, may not be a threat to our lives\but should they launch a surprise attack, they could sink this ship.\Mr. Nathaniel. response:	Episode Eighteen
context: Given that our Guild has no base on land,\this ship is essentially our front-line base.\So what?\This moment, as we're replenishing supplies, is when we're most vulnerable.\Our enemy, this supernatural organization, may not be a threat to our lives\but should they launch a surprise attack, they could sink this ship.\Mr. Nathaniel.\Episode Eighteen response:	We've found a suspicious man.
context: this ship is essentially our front-line base.\So what?\This moment, as we're replenishing supplies, is when we're most vulnerable.\Our enemy, this supernatural organization, may not be a threat to our lives\but should they launch a surprise attack, they could sink this ship.\Mr. Nathaniel.\Episode Eighteen\We've found a suspicious man. response:	He was found on the pier.
context: So what?\This moment, as we're replenishing supplies, is when we're most vulnerable.\Our enemy, this supernatural organization, may not be a threat to our lives\but should they launch a surprise attack, they could sink this ship.\Mr. Nathaniel.\Episode Eighteen\We've found a suspicious man.\He was found on the pier. response:	He tried to escape, so we restrained him.
context: This moment, as we're replenishing supplies, is when we're most vulnerable.\Our enemy, this supernatural organization, may not be a threat to our lives\but should they launch a surprise attack, they could sink this ship.\Mr. Nathaniel.\Episode Eighteen\We've found a suspicious man.\He was found on the pier.\He tried to escape, so we restrained him. response:	He was carrying this.
context: Our enemy, this supernatural organization, may not be a threat to our lives\but should they launch a surprise attack, they could sink this ship.\Mr. Nathaniel.\Episode Eighteen\We've found a suspicious man.\He was found on the pier.\He tried to escape, so we restrained him.\He was carrying this. response:	He's just a thug from some island nation.
context: but should they launch a surprise attack, they could sink this ship.\Mr. Nathaniel.\Episode Eighteen\We've found a suspicious man.\He was found on the pier.\He tried to escape, so we restrained him.\He was carrying this.\He's just a thug from some island nation. response:	I saw your face pictured in a report,
context: Mr. Nathaniel.\Episode Eighteen\We've found a suspicious man.\He was found on the pier.\He tried to escape, so we restrained him.\He was carrying this.\He's just a thug from some island nation.\I saw your face pictured in a report, response:	Port Mafia Bomber.
context: Episode Eighteen\We've found a suspicious man.\He was found on the pier.\He tried to escape, so we restrained him.\He was carrying this.\He's just a thug from some island nation.\I saw your face pictured in a report,\Port Mafia Bomber. response:	Oh, who am I? Where am I?
context: We've found a suspicious man.\He was found on the pier.\He tried to escape, so we restrained him.\He was carrying this.\He's just a thug from some island nation.\I saw your face pictured in a report,\Port Mafia Bomber.\Oh, who am I? Where am I? response:	I hear you once attempted to bomb a train, but were stopped by the Detective Agency.
context: He was found on the pier.\He tried to escape, so we restrained him.\He was carrying this.\He's just a thug from some island nation.\I saw your face pictured in a report,\Port Mafia Bomber.\Oh, who am I? Where am I?\I hear you once attempted to bomb a train, but were stopped by the Detective Agency. response:	That was an experiment!
context: He tried to escape, so we restrained him.\He was carrying this.\He's just a thug from some island nation.\I saw your face pictured in a report,\Port Mafia Bomber.\Oh, who am I? Where am I?\I hear you once attempted to bomb a train, but were stopped by the Detective Agency.\That was an experiment! response:	Every failure is a valuable sample!
context: He was carrying this.\He's just a thug from some island nation.\I saw your face pictured in a report,\Port Mafia Bomber.\Oh, who am I? Where am I?\I hear you once attempted to bomb a train, but were stopped by the Detective Agency.\That was an experiment!\Every failure is a valuable sample! response:	Shall I make a mummy out of him?
context: He's just a thug from some island nation.\I saw your face pictured in a report,\Port Mafia Bomber.\Oh, who am I? Where am I?\I hear you once attempted to bomb a train, but were stopped by the Detective Agency.\That was an experiment!\Every failure is a valuable sample!\Shall I make a mummy out of him? response:	No, I already have a good idea of the enemy's hand.
context: I saw your face pictured in a report,\Port Mafia Bomber.\Oh, who am I? Where am I?\I hear you once attempted to bomb a train, but were stopped by the Detective Agency.\That was an experiment!\Every failure is a valuable sample!\Shall I make a mummy out of him?\No, I already have a good idea of the enemy's hand. response:	He was, no doubt, in charge of planting a bomb.
context: Port Mafia Bomber.\Oh, who am I? Where am I?\I hear you once attempted to bomb a train, but were stopped by the Detective Agency.\That was an experiment!\Every failure is a valuable sample!\Shall I make a mummy out of him?\No, I already have a good idea of the enemy's hand.\He was, no doubt, in charge of planting a bomb. response:	What a shoddy organization.
context: Oh, who am I? Where am I?\I hear you once attempted to bomb a train, but were stopped by the Detective Agency.\That was an experiment!\Every failure is a valuable sample!\Shall I make a mummy out of him?\No, I already have a good idea of the enemy's hand.\He was, no doubt, in charge of planting a bomb.\What a shoddy organization. response:	His blood...
context: I hear you once attempted to bomb a train, but were stopped by the Detective Agency.\That was an experiment!\Every failure is a valuable sample!\Shall I make a mummy out of him?\No, I already have a good idea of the enemy's hand.\He was, no doubt, in charge of planting a bomb.\What a shoddy organization.\His blood... response:	The Scarlet Letter is the Word of God...
context: That was an experiment!\Every failure is a valuable sample!\Shall I make a mummy out of him?\No, I already have a good idea of the enemy's hand.\He was, no doubt, in charge of planting a bomb.\What a shoddy organization.\His blood...\The Scarlet Letter is the Word of God... response:	A judgment ability that penalizes the immoral and leaves on them a mark that never fades.
context: Every failure is a valuable sample!\Shall I make a mummy out of him?\No, I already have a good idea of the enemy's hand.\He was, no doubt, in charge of planting a bomb.\What a shoddy organization.\His blood...\The Scarlet Letter is the Word of God...\A judgment ability that penalizes the immoral and leaves on them a mark that never fades. response:	W-Wait!
context: Shall I make a mummy out of him?\No, I already have a good idea of the enemy's hand.\He was, no doubt, in charge of planting a bomb.\What a shoddy organization.\His blood...\The Scarlet Letter is the Word of God...\A judgment ability that penalizes the immoral and leaves on them a mark that never fades.\W-Wait! response:	O-Okay, I get it! I surrender! I'll tell you everything!
context: No, I already have a good idea of the enemy's hand.\He was, no doubt, in charge of planting a bomb.\What a shoddy organization.\His blood...\The Scarlet Letter is the Word of God...\A judgment ability that penalizes the immoral and leaves on them a mark that never fades.\W-Wait!\O-Okay, I get it! I surrender! I'll tell you everything! response:	The truth is, I'm an ambassador representing the commander-in-chief of the universe...
context: He was, no doubt, in charge of planting a bomb.\What a shoddy organization.\His blood...\The Scarlet Letter is the Word of God...\A judgment ability that penalizes the immoral and leaves on them a mark that never fades.\W-Wait!\O-Okay, I get it! I surrender! I'll tell you everything!\The truth is, I'm an ambassador representing the commander-in-chief of the universe... response:	If you hurt me, you'll be in real trouble!
context: What a shoddy organization.\His blood...\The Scarlet Letter is the Word of God...\A judgment ability that penalizes the immoral and leaves on them a mark that never fades.\W-Wait!\O-Okay, I get it! I surrender! I'll tell you everything!\The truth is, I'm an ambassador representing the commander-in-chief of the universe...\If you hurt me, you'll be in real trouble! response:	Oh, give me a break.
context: His blood...\The Scarlet Letter is the Word of God...\A judgment ability that penalizes the immoral and leaves on them a mark that never fades.\W-Wait!\O-Okay, I get it! I surrender! I'll tell you everything!\The truth is, I'm an ambassador representing the commander-in-chief of the universe...\If you hurt me, you'll be in real trouble!\Oh, give me a break. response:	It appears that
context: The Scarlet Letter is the Word of God...\A judgment ability that penalizes the immoral and leaves on them a mark that never fades.\W-Wait!\O-Okay, I get it! I surrender! I'll tell you everything!\The truth is, I'm an ambassador representing the commander-in-chief of the universe...\If you hurt me, you'll be in real trouble!\Oh, give me a break.\It appears that response:	you refuse to repent and atone for your sins.
context: A judgment ability that penalizes the immoral and leaves on them a mark that never fades.\W-Wait!\O-Okay, I get it! I surrender! I'll tell you everything!\The truth is, I'm an ambassador representing the commander-in-chief of the universe...\If you hurt me, you'll be in real trouble!\Oh, give me a break.\It appears that\you refuse to repent and atone for your sins. response:	These lemon-shaped bombs are your ability.
context: W-Wait!\O-Okay, I get it! I surrender! I'll tell you everything!\The truth is, I'm an ambassador representing the commander-in-chief of the universe...\If you hurt me, you'll be in real trouble!\Oh, give me a break.\It appears that\you refuse to repent and atone for your sins.\These lemon-shaped bombs are your ability. response:	How truly foolish.
context: O-Okay, I get it! I surrender! I'll tell you everything!\The truth is, I'm an ambassador representing the commander-in-chief of the universe...\If you hurt me, you'll be in real trouble!\Oh, give me a break.\It appears that\you refuse to repent and atone for your sins.\These lemon-shaped bombs are your ability.\How truly foolish. response:	Even a common man can make bombs.
context: The truth is, I'm an ambassador representing the commander-in-chief of the universe...\If you hurt me, you'll be in real trouble!\Oh, give me a break.\It appears that\you refuse to repent and atone for your sins.\These lemon-shaped bombs are your ability.\How truly foolish.\Even a common man can make bombs. response:	You thought you could sink this ship with an ability like this?
context: If you hurt me, you'll be in real trouble!\Oh, give me a break.\It appears that\you refuse to repent and atone for your sins.\These lemon-shaped bombs are your ability.\How truly foolish.\Even a common man can make bombs.\You thought you could sink this ship with an ability like this? response:	You've obviously underestimated the Guild.
context: Oh, give me a break.\It appears that\you refuse to repent and atone for your sins.\These lemon-shaped bombs are your ability.\How truly foolish.\Even a common man can make bombs.\You thought you could sink this ship with an ability like this?\You've obviously underestimated the Guild. response:	May God's grace be with you.
context: It appears that\you refuse to repent and atone for your sins.\These lemon-shaped bombs are your ability.\How truly foolish.\Even a common man can make bombs.\You thought you could sink this ship with an ability like this?\You've obviously underestimated the Guild.\May God's grace be with you. response:	We will now unload the supplies onto the ship.
context: you refuse to repent and atone for your sins.\These lemon-shaped bombs are your ability.\How truly foolish.\Even a common man can make bombs.\You thought you could sink this ship with an ability like this?\You've obviously underestimated the Guild.\May God's grace be with you.\We will now unload the supplies onto the ship. response:	God... God, eh?
context: These lemon-shaped bombs are your ability.\How truly foolish.\Even a common man can make bombs.\You thought you could sink this ship with an ability like this?\You've obviously underestimated the Guild.\May God's grace be with you.\We will now unload the supplies onto the ship.\God... God, eh? response:	Are you saying you can hear the voice of God?
context: How truly foolish.\Even a common man can make bombs.\You thought you could sink this ship with an ability like this?\You've obviously underestimated the Guild.\May God's grace be with you.\We will now unload the supplies onto the ship.\God... God, eh?\Are you saying you can hear the voice of God? response:	Science is the only language that allows us to understand this universe God created.
context: Even a common man can make bombs.\You thought you could sink this ship with an ability like this?\You've obviously underestimated the Guild.\May God's grace be with you.\We will now unload the supplies onto the ship.\God... God, eh?\Are you saying you can hear the voice of God?\Science is the only language that allows us to understand this universe God created. response:	The explosion didn't affect him?
context: You thought you could sink this ship with an ability like this?\You've obviously underestimated the Guild.\May God's grace be with you.\We will now unload the supplies onto the ship.\God... God, eh?\Are you saying you can hear the voice of God?\Science is the only language that allows us to understand this universe God created.\The explosion didn't affect him? response:	I have bad news for you.
context: You've obviously underestimated the Guild.\May God's grace be with you.\We will now unload the supplies onto the ship.\God... God, eh?\Are you saying you can hear the voice of God?\Science is the only language that allows us to understand this universe God created.\The explosion didn't affect him?\I have bad news for you. response:	It's the job of you clergymen to believe,
context: May God's grace be with you.\We will now unload the supplies onto the ship.\God... God, eh?\Are you saying you can hear the voice of God?\Science is the only language that allows us to understand this universe God created.\The explosion didn't affect him?\I have bad news for you.\It's the job of you clergymen to believe, response:	but the very foundation of science is to question everything.
context: We will now unload the supplies onto the ship.\God... God, eh?\Are you saying you can hear the voice of God?\Science is the only language that allows us to understand this universe God created.\The explosion didn't affect him?\I have bad news for you.\It's the job of you clergymen to believe,\but the very foundation of science is to question everything. response:	You should have questioned this bomb-making ability a bit more.
context: God... God, eh?\Are you saying you can hear the voice of God?\Science is the only language that allows us to understand this universe God created.\The explosion didn't affect him?\I have bad news for you.\It's the job of you clergymen to believe,\but the very foundation of science is to question everything.\You should have questioned this bomb-making ability a bit more. response:	It is true that I made these bombs on my own time.
context: Are you saying you can hear the voice of God?\Science is the only language that allows us to understand this universe God created.\The explosion didn't affect him?\I have bad news for you.\It's the job of you clergymen to believe,\but the very foundation of science is to question everything.\You should have questioned this bomb-making ability a bit more.\It is true that I made these bombs on my own time. response:	And my true gift is the ability to take no damage from lemon-shaped bombs!
context: Science is the only language that allows us to understand this universe God created.\The explosion didn't affect him?\I have bad news for you.\It's the job of you clergymen to believe,\but the very foundation of science is to question everything.\You should have questioned this bomb-making ability a bit more.\It is true that I made these bombs on my own time.\And my true gift is the ability to take no damage from lemon-shaped bombs! response:	Lemons! That beautiful spindle shape is the ultimate geometry,
context: The explosion didn't affect him?\I have bad news for you.\It's the job of you clergymen to believe,\but the very foundation of science is to question everything.\You should have questioned this bomb-making ability a bit more.\It is true that I made these bombs on my own time.\And my true gift is the ability to take no damage from lemon-shaped bombs!\Lemons! That beautiful spindle shape is the ultimate geometry, response:	as well as the destroyer of this tedious world!
context: I have bad news for you.\It's the job of you clergymen to believe,\but the very foundation of science is to question everything.\You should have questioned this bomb-making ability a bit more.\It is true that I made these bombs on my own time.\And my true gift is the ability to take no damage from lemon-shaped bombs!\Lemons! That beautiful spindle shape is the ultimate geometry,\as well as the destroyer of this tedious world! response:	On that note, here's a present for you from
