context: Thanks for gathering here today. response:	I mean, this is our home...
context: Sixtyno.\Make that fifty. That's good enough.\We don't really owe you this,\but you need to be taught not to underestimate us.\I'm done grading.\Amazing.\You all scored a 100!\Combined, that is. response:	Don't tell me you girls were...
context: Make that fifty. That's good enough.\We don't really owe you this,\but you need to be taught not to underestimate us.\I'm done grading.\Amazing.\You all scored a 100!\Combined, that is.\Don't tell me you girls were... response:	Run for it!
context: We don't really owe you this,\but you need to be taught not to underestimate us.\I'm done grading.\Amazing.\You all scored a 100!\Combined, that is.\Don't tell me you girls were...\Run for it! response:	These girls...
context: but you need to be taught not to underestimate us.\I'm done grading.\Amazing.\You all scored a 100!\Combined, that is.\Don't tell me you girls were...\Run for it!\These girls... response:	All five of them are potential flunkers!
context: I'm done grading.\Amazing.\You all scored a 100!\Combined, that is.\Don't tell me you girls were...\Run for it!\These girls...\All five of them are potential flunkers! response:	The Quintessential Quintuplets
context: Amazing.\You all scored a 100!\Combined, that is.\Don't tell me you girls were...\Run for it!\These girls...\All five of them are potential flunkers!\The Quintessential Quintuplets response:	The Quintessential Quintuplets
context: You all scored a 100!\Combined, that is.\Don't tell me you girls were...\Run for it!\These girls...\All five of them are potential flunkers!\The Quintessential Quintuplets\The Quintessential Quintuplets response:	The Quint es sen tial Quin tup lets
context: Combined, that is.\Don't tell me you girls were...\Run for it!\These girls...\All five of them are potential flunkers!\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets response:	The Quintessential Quintuplets
context: Don't tell me you girls were...\Run for it!\These girls...\All five of them are potential flunkers!\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets response:	Damn it...
context: Run for it!\These girls...\All five of them are potential flunkers!\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Damn it... response:	I never would have thought...
context: These girls...\All five of them are potential flunkers!\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Damn it...\I never would have thought... response:	balancing tutoring and my own studies...
context: All five of them are potential flunkers!\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Damn it...\I never would have thought...\balancing tutoring and my own studies... response:	would be so hard.
context: The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Damn it...\I never would have thought...\balancing tutoring and my own studies...\would be so hard. response:	Barely made it.
context: The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Damn it...\I never would have thought...\balancing tutoring and my own studies...\would be so hard.\Barely made it. response:	I've never even seen an import like this.
context: The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Damn it...\I never would have thought...\balancing tutoring and my own studies...\would be so hard.\Barely made it.\I've never even seen an import like this. response:	It must be worth at least a million.
context: The Quintessential Quintuplets\Damn it...\I never would have thought...\balancing tutoring and my own studies...\would be so hard.\Barely made it.\I've never even seen an import like this.\It must be worth at least a million. response:	Wh-What?
context: Damn it...\I never would have thought...\balancing tutoring and my own studies...\would be so hard.\Barely made it.\I've never even seen an import like this.\It must be worth at least a million.\Wh-What? response:	Stop staring. It's rude.
context: I never would have thought...\balancing tutoring and my own studies...\would be so hard.\Barely made it.\I've never even seen an import like this.\It must be worth at least a million.\Wh-What?\Stop staring. It's rude. response:	Good morning!
context: balancing tutoring and my own studies...\would be so hard.\Barely made it.\I've never even seen an import like this.\It must be worth at least a million.\Wh-What?\Stop staring. It's rude.\Good morning! response:	You again?
context: would be so hard.\Barely made it.\I've never even seen an import like this.\It must be worth at least a million.\Wh-What?\Stop staring. It's rude.\Good morning!\You again? response:	Hey, Futaro-kun.
context: Barely made it.\I've never even seen an import like this.\It must be worth at least a million.\Wh-What?\Stop staring. It's rude.\Good morning!\You again?\Hey, Futaro-kun. response:	Running again?!
context: I've never even seen an import like this.\It must be worth at least a million.\Wh-What?\Stop staring. It's rude.\Good morning!\You again?\Hey, Futaro-kun.\Running again?! response:	Look carefully.
context: It must be worth at least a million.\Wh-What?\Stop staring. It's rude.\Good morning!\You again?\Hey, Futaro-kun.\Running again?!\Look carefully. response:	I don't have anything on me.
context: Wh-What?\Stop staring. It's rude.\Good morning!\You again?\Hey, Futaro-kun.\Running again?!\Look carefully.\I don't have anything on me. response:	Perfectly
context: Stop staring. It's rude.\Good morning!\You again?\Hey, Futaro-kun.\Running again?!\Look carefully.\I don't have anything on me.\Perfectly response:	Safe
context: Good morning!\You again?\Hey, Futaro-kun.\Running again?!\Look carefully.\I don't have anything on me.\Perfectly\Safe response:	I'm harmless.
context: You again?\Hey, Futaro-kun.\Running again?!\Look carefully.\I don't have anything on me.\Perfectly\Safe\I'm harmless. response:	You aren't fooling us!
context: Hey, Futaro-kun.\Running again?!\Look carefully.\I don't have anything on me.\Perfectly\Safe\I'm harmless.\You aren't fooling us! response:	He might try to teach us stuff once we've let down our guard.
context: Running again?!\Look carefully.\I don't have anything on me.\Perfectly\Safe\I'm harmless.\You aren't fooling us!\He might try to teach us stuff once we've let down our guard. response:	What do you think I am?
context: Look carefully.\I don't have anything on me.\Perfectly\Safe\I'm harmless.\You aren't fooling us!\He might try to teach us stuff once we've let down our guard.\What do you think I am? response:	I'll admit to our inadequacies.
context: I don't have anything on me.\Perfectly\Safe\I'm harmless.\You aren't fooling us!\He might try to teach us stuff once we've let down our guard.\What do you think I am?\I'll admit to our inadequacies. response:	But we'll solve our problems by ourselves.
context: Perfectly\Safe\I'm harmless.\You aren't fooling us!\He might try to teach us stuff once we've let down our guard.\What do you think I am?\I'll admit to our inadequacies.\But we'll solve our problems by ourselves. response:	We can study alone.
context: Safe\I'm harmless.\You aren't fooling us!\He might try to teach us stuff once we've let down our guard.\What do you think I am?\I'll admit to our inadequacies.\But we'll solve our problems by ourselves.\We can study alone. response:	Exactly.
context: I'm harmless.\You aren't fooling us!\He might try to teach us stuff once we've let down our guard.\What do you think I am?\I'll admit to our inadequacies.\But we'll solve our problems by ourselves.\We can study alone.\Exactly. response:	I see.
context: You aren't fooling us!\He might try to teach us stuff once we've let down our guard.\What do you think I am?\I'll admit to our inadequacies.\But we'll solve our problems by ourselves.\We can study alone.\Exactly.\I see. response:	Then I assume you've reviewed the test.
context: He might try to teach us stuff once we've let down our guard.\What do you think I am?\I'll admit to our inadequacies.\But we'll solve our problems by ourselves.\We can study alone.\Exactly.\I see.\Then I assume you've reviewed the test. response:	Question 1: Name the warlord defeated by Mori Motonari at the Battle of Itsukushima.
context: What do you think I am?\I'll admit to our inadequacies.\But we'll solve our problems by ourselves.\We can study alone.\Exactly.\I see.\Then I assume you've reviewed the test.\Question 1: Name the warlord defeated by Mori Motonari at the Battle of Itsukushima. response:	Shake
context: I'll admit to our inadequacies.\But we'll solve our problems by ourselves.\We can study alone.\Exactly.\I see.\Then I assume you've reviewed the test.\Question 1: Name the warlord defeated by Mori Motonari at the Battle of Itsukushima.\Shake response:	Shake
context: But we'll solve our problems by ourselves.\We can study alone.\Exactly.\I see.\Then I assume you've reviewed the test.\Question 1: Name the warlord defeated by Mori Motonari at the Battle of Itsukushima.\Shake\Shake response:	Speechless
context: We can study alone.\Exactly.\I see.\Then I assume you've reviewed the test.\Question 1: Name the warlord defeated by Mori Motonari at the Battle of Itsukushima.\Shake\Shake\Speechless response:	Speechless?
context: Exactly.\I see.\Then I assume you've reviewed the test.\Question 1: Name the warlord defeated by Mori Motonari at the Battle of Itsukushima.\Shake\Shake\Speechless\Speechless? response:	What I've realized is that these five girls utterly detest studying.
context: I see.\Then I assume you've reviewed the test.\Question 1: Name the warlord defeated by Mori Motonari at the Battle of Itsukushima.\Shake\Shake\Speechless\Speechless?\What I've realized is that these five girls utterly detest studying. response:	And...
context: Then I assume you've reviewed the test.\Question 1: Name the warlord defeated by Mori Motonari at the Battle of Itsukushima.\Shake\Shake\Speechless\Speechless?\What I've realized is that these five girls utterly detest studying.\And... response:	They also hate me.
context: Question 1: Name the warlord defeated by Mori Motonari at the Battle of Itsukushima.\Shake\Shake\Speechless\Speechless?\What I've realized is that these five girls utterly detest studying.\And...\They also hate me. response:	Distance between their hearts
context: Shake\Shake\Speechless\Speechless?\What I've realized is that these five girls utterly detest studying.\And...\They also hate me.\Distance between their hearts response:	Distance between their hearts
context: Shake\Speechless\Speechless?\What I've realized is that these five girls utterly detest studying.\And...\They also hate me.\Distance between their hearts\Distance between their hearts response:	Distance between their hearts
context: Speechless\Speechless?\What I've realized is that these five girls utterly detest studying.\And...\They also hate me.\Distance between their hearts\Distance between their hearts\Distance between their hearts response:	Operation Quintuplet Graduation
context: Speechless?\What I've realized is that these five girls utterly detest studying.\And...\They also hate me.\Distance between their hearts\Distance between their hearts\Distance between their hearts\Operation Quintuplet Graduation response:	Uesugi Futaro
context: What I've realized is that these five girls utterly detest studying.\And...\They also hate me.\Distance between their hearts\Distance between their hearts\Distance between their hearts\Operation Quintuplet Graduation\Uesugi Futaro response:	I'm just going to have to win the trust of each of them.
context: And...\They also hate me.\Distance between their hearts\Distance between their hearts\Distance between their hearts\Operation Quintuplet Graduation\Uesugi Futaro\I'm just going to have to win the trust of each of them. response:	Huh?
context: They also hate me.\Distance between their hearts\Distance between their hearts\Distance between their hearts\Operation Quintuplet Graduation\Uesugi Futaro\I'm just going to have to win the trust of each of them.\Huh? response:	Wait, Miku...
context: Distance between their hearts\Distance between their hearts\Distance between their hearts\Operation Quintuplet Graduation\Uesugi Futaro\I'm just going to have to win the trust of each of them.\Huh?\Wait, Miku... response:	She got that question right.
context: Distance between their hearts\Distance between their hearts\Operation Quintuplet Graduation\Uesugi Futaro\I'm just going to have to win the trust of each of them.\Huh?\Wait, Miku...\She got that question right. response:	Then why...
context: Distance between their hearts\Operation Quintuplet Graduation\Uesugi Futaro\I'm just going to have to win the trust of each of them.\Huh?\Wait, Miku...\She got that question right.\Then why... response:	Miku?
context: Operation Quintuplet Graduation\Uesugi Futaro\I'm just going to have to win the trust of each of them.\Huh?\Wait, Miku...\She got that question right.\Then why...\Miku? response:	Here's your barbecue beef com
context: Uesugi Futaro\I'm just going to have to win the trust of each of them.\Huh?\Wait, Miku...\She got that question right.\Then why...\Miku?\Here's your barbecue beef com response:	Hey, Miku.
context: I'm just going to have to win the trust of each of them.\Huh?\Wait, Miku...\She got that question right.\Then why...\Miku?\Here's your barbecue beef com\Hey, Miku. response:	Having lunch right now?
context: Huh?\Wait, Miku...\She got that question right.\Then why...\Miku?\Here's your barbecue beef com\Hey, Miku.\Having lunch right now? response:	Let's see, a 350 yen sandwich, and... Huh?
context: Wait, Miku...\She got that question right.\Then why...\Miku?\Here's your barbecue beef com\Hey, Miku.\Having lunch right now?\Let's see, a 350 yen sandwich, and... Huh? response:	What's that drink?
context: She got that question right.\Then why...\Miku?\Here's your barbecue beef com\Hey, Miku.\Having lunch right now?\Let's see, a 350 yen sandwich, and... Huh?\What's that drink? response:	Matcha Soda
context: Then why...\Miku?\Here's your barbecue beef com\Hey, Miku.\Having lunch right now?\Let's see, a 350 yen sandwich, and... Huh?\What's that drink?\Matcha Soda response:	Matcha soda.
context: Miku?\Here's your barbecue beef com\Hey, Miku.\Having lunch right now?\Let's see, a 350 yen sandwich, and... Huh?\What's that drink?\Matcha Soda\Matcha soda. response:	Matcha?
context: Here's your barbecue beef com\Hey, Miku.\Having lunch right now?\Let's see, a 350 yen sandwich, and... Huh?\What's that drink?\Matcha Soda\Matcha soda.\Matcha? response:	I'm actually kind of curious what that'd taste like.
context: Hey, Miku.\Having lunch right now?\Let's see, a 350 yen sandwich, and... Huh?\What's that drink?\Matcha Soda\Matcha soda.\Matcha?\I'm actually kind of curious what that'd taste like. response:	You're mean. I'm not letting you have any.
context: Having lunch right now?\Let's see, a 350 yen sandwich, and... Huh?\What's that drink?\Matcha Soda\Matcha soda.\Matcha?\I'm actually kind of curious what that'd taste like.\You're mean. I'm not letting you have any. response:	Can I ask you something?
context: Let's see, a 350 yen sandwich, and... Huh?\What's that drink?\Matcha Soda\Matcha soda.\Matcha?\I'm actually kind of curious what that'd taste like.\You're mean. I'm not letting you have any.\Can I ask you something? response:	About that question this morning...
context: What's that drink?\Matcha Soda\Matcha soda.\Matcha?\I'm actually kind of curious what that'd taste like.\You're mean. I'm not letting you have any.\Can I ask you something?\About that question this morning... response:	Uesugi-san!
context: Matcha Soda\Matcha soda.\Matcha?\I'm actually kind of curious what that'd taste like.\You're mean. I'm not letting you have any.\Can I ask you something?\About that question this morning...\Uesugi-san! response:	Yotsuba!
context: Matcha soda.\Matcha?\I'm actually kind of curious what that'd taste like.\You're mean. I'm not letting you have any.\Can I ask you something?\About that question this morning...\Uesugi-san!\Yotsuba! response:	Sorry for running away this morning.
context: Matcha?\I'm actually kind of curious what that'd taste like.\You're mean. I'm not letting you have any.\Can I ask you something?\About that question this morning...\Uesugi-san!\Yotsuba!\Sorry for running away this morning. response:	So, Miku...
context: I'm actually kind of curious what that'd taste like.\You're mean. I'm not letting you have any.\Can I ask you something?\About that question this morning...\Uesugi-san!\Yotsuba!\Sorry for running away this morning.\So, Miku... response:	Take a look at this!
context: You're mean. I'm not letting you have any.\Can I ask you something?\About that question this morning...\Uesugi-san!\Yotsuba!\Sorry for running away this morning.\So, Miku...\Take a look at this! response:	My English homework.
context: Can I ask you something?\About that question this morning...\Uesugi-san!\Yotsuba!\Sorry for running away this morning.\So, Miku...\Take a look at this!\My English homework. response:	I got all of the questions wrong.
context: About that question this morning...\Uesugi-san!\Yotsuba!\Sorry for running away this morning.\So, Miku...\Take a look at this!\My English homework.\I got all of the questions wrong. response:	Come on, you shouldn't get between them.
context: Uesugi-san!\Yotsuba!\Sorry for running away this morning.\So, Miku...\Take a look at this!\My English homework.\I got all of the questions wrong.\Come on, you shouldn't get between them. response:	Huh? Between them?
context: Yotsuba!\Sorry for running away this morning.\So, Miku...\Take a look at this!\My English homework.\I got all of the questions wrong.\Come on, you shouldn't get between them.\Huh? Between them? response:	You should have him help you study too, Ichika.
context: Sorry for running away this morning.\So, Miku...\Take a look at this!\My English homework.\I got all of the questions wrong.\Come on, you shouldn't get between them.\Huh? Between them?\You should have him help you study too, Ichika. response:	I think I'll pass.
context: So, Miku...\Take a look at this!\My English homework.\I got all of the questions wrong.\Come on, you shouldn't get between them.\Huh? Between them?\You should have him help you study too, Ichika.\I think I'll pass. response:	You know, with us being stupid and all.
context: Take a look at this!\My English homework.\I got all of the questions wrong.\Come on, you shouldn't get between them.\Huh? Between them?\You should have him help you study too, Ichika.\I think I'll pass.\You know, with us being stupid and all. response:	That doesn't mean you get to not study.
context: My English homework.\I got all of the questions wrong.\Come on, you shouldn't get between them.\Huh? Between them?\You should have him help you study too, Ichika.\I think I'll pass.\You know, with us being stupid and all.\That doesn't mean you get to not study. response:	Besides, is it really a good idea to spend all your high school years studying?
context: I got all of the questions wrong.\Come on, you shouldn't get between them.\Huh? Between them?\You should have him help you study too, Ichika.\I think I'll pass.\You know, with us being stupid and all.\That doesn't mean you get to not study.\Besides, is it really a good idea to spend all your high school years studying? response:	We ought to be enjoying our youth more.
context: Come on, you shouldn't get between them.\Huh? Between them?\You should have him help you study too, Ichika.\I think I'll pass.\You know, with us being stupid and all.\That doesn't mean you get to not study.\Besides, is it really a good idea to spend all your high school years studying?\We ought to be enjoying our youth more. response:	Falling in love and stuff.
context: Huh? Between them?\You should have him help you study too, Ichika.\I think I'll pass.\You know, with us being stupid and all.\That doesn't mean you get to not study.\Besides, is it really a good idea to spend all your high school years studying?\We ought to be enjoying our youth more.\Falling in love and stuff. response:	Love...
context: You should have him help you study too, Ichika.\I think I'll pass.\You know, with us being stupid and all.\That doesn't mean you get to not study.\Besides, is it really a good idea to spend all your high school years studying?\We ought to be enjoying our youth more.\Falling in love and stuff.\Love... response:	That is the most foolish act of all, furthest removed from scholastic endeavors.
context: I think I'll pass.\You know, with us being stupid and all.\That doesn't mean you get to not study.\Besides, is it really a good idea to spend all your high school years studying?\We ought to be enjoying our youth more.\Falling in love and stuff.\Love...\That is the most foolish act of all, furthest removed from scholastic endeavors. response:	Love
context: You know, with us being stupid and all.\That doesn't mean you get to not study.\Besides, is it really a good idea to spend all your high school years studying?\We ought to be enjoying our youth more.\Falling in love and stuff.\Love...\That is the most foolish act of all, furthest removed from scholastic endeavors.\Love response:	Go ahead and fall in love if you'd like.
context: That doesn't mean you get to not study.\Besides, is it really a good idea to spend all your high school years studying?\We ought to be enjoying our youth more.\Falling in love and stuff.\Love...\That is the most foolish act of all, furthest removed from scholastic endeavors.\Love\Go ahead and fall in love if you'd like. response:	But if you do, you will peak in school.
context: Besides, is it really a good idea to spend all your high school years studying?\We ought to be enjoying our youth more.\Falling in love and stuff.\Love...\That is the most foolish act of all, furthest removed from scholastic endeavors.\Love\Go ahead and fall in love if you'd like.\But if you do, you will peak in school. response:	Oh boy. He's too far gone.
context: We ought to be enjoying our youth more.\Falling in love and stuff.\Love...\That is the most foolish act of all, furthest removed from scholastic endeavors.\Love\Go ahead and fall in love if you'd like.\But if you do, you will peak in school.\Oh boy. He's too far gone. response:	I don't have anyone to go out with, even if I wanted to.
context: Falling in love and stuff.\Love...\That is the most foolish act of all, furthest removed from scholastic endeavors.\Love\Go ahead and fall in love if you'd like.\But if you do, you will peak in school.\Oh boy. He's too far gone.\I don't have anyone to go out with, even if I wanted to. response:	How about you, Miku?
context: Love...\That is the most foolish act of all, furthest removed from scholastic endeavors.\Love\Go ahead and fall in love if you'd like.\But if you do, you will peak in school.\Oh boy. He's too far gone.\I don't have anyone to go out with, even if I wanted to.\How about you, Miku? response:	Are there any guys you like?
context: That is the most foolish act of all, furthest removed from scholastic endeavors.\Love\Go ahead and fall in love if you'd like.\But if you do, you will peak in school.\Oh boy. He's too far gone.\I don't have anyone to go out with, even if I wanted to.\How about you, Miku?\Are there any guys you like? response:	N-No.
context: Love\Go ahead and fall in love if you'd like.\But if you do, you will peak in school.\Oh boy. He's too far gone.\I don't have anyone to go out with, even if I wanted to.\How about you, Miku?\Are there any guys you like?\N-No. response:	What's gotten into her?
context: Go ahead and fall in love if you'd like.\But if you do, you will peak in school.\Oh boy. He's too far gone.\I don't have anyone to go out with, even if I wanted to.\How about you, Miku?\Are there any guys you like?\N-No.\What's gotten into her? response:	That face...
context: But if you do, you will peak in school.\Oh boy. He's too far gone.\I don't have anyone to go out with, even if I wanted to.\How about you, Miku?\Are there any guys you like?\N-No.\What's gotten into her?\That face... response:	As her sister, I can tell.
context: Oh boy. He's too far gone.\I don't have anyone to go out with, even if I wanted to.\How about you, Miku?\Are there any guys you like?\N-No.\What's gotten into her?\That face...\As her sister, I can tell. response:	There's no mistake!
context: I don't have anyone to go out with, even if I wanted to.\How about you, Miku?\Are there any guys you like?\N-No.\What's gotten into her?\That face...\As her sister, I can tell.\There's no mistake! response:	Miku's in love.
context: How about you, Miku?\Are there any guys you like?\N-No.\What's gotten into her?\That face...\As her sister, I can tell.\There's no mistake!\Miku's in love. response:	Miku's in love?
context: Are there any guys you like?\N-No.\What's gotten into her?\That face...\As her sister, I can tell.\There's no mistake!\Miku's in love.\Miku's in love? response:	I need those girls to study.
context: N-No.\What's gotten into her?\That face...\As her sister, I can tell.\There's no mistake!\Miku's in love.\Miku's in love?\I need those girls to study. response:	To Futaro
context: What's gotten into her?\That face...\As her sister, I can tell.\There's no mistake!\Miku's in love.\Miku's in love?\I need those girls to study.\To Futaro response:	Miku
context: That face...\As her sister, I can tell.\There's no mistake!\Miku's in love.\Miku's in love?\I need those girls to study.\To Futaro\Miku response:	To Futaro
context: As her sister, I can tell.\There's no mistake!\Miku's in love.\Miku's in love?\I need those girls to study.\To Futaro\Miku\To Futaro response:	Miku
context: There's no mistake!\Miku's in love.\Miku's in love?\I need those girls to study.\To Futaro\Miku\To Futaro\Miku response:	What the...?
context: Miku's in love.\Miku's in love?\I need those girls to study.\To Futaro\Miku\To Futaro\Miku\What the...? response:	It's from Miku.
context: Miku's in love?\I need those girls to study.\To Futaro\Miku\To Futaro\Miku\What the...?\It's from Miku. response:	Come to the rooftop after school.
context: I need those girls to study.\To Futaro\Miku\To Futaro\Miku\What the...?\It's from Miku.\Come to the rooftop after school. response:	There's something I want to tell you.
context: To Futaro\Miku\To Futaro\Miku\What the...?\It's from Miku.\Come to the rooftop after school.\There's something I want to tell you. response:	I just can't hold it in any longer.
context: Miku\To Futaro\Miku\What the...?\It's from Miku.\Come to the rooftop after school.\There's something I want to tell you.\I just can't hold it in any longer. response:	Me?!
context: To Futaro\Miku\What the...?\It's from Miku.\Come to the rooftop after school.\There's something I want to tell you.\I just can't hold it in any longer.\Me?! response:	Wait, a love letter?
context: Miku\What the...?\It's from Miku.\Come to the rooftop after school.\There's something I want to tell you.\I just can't hold it in any longer.\Me?!\Wait, a love letter? response:	Miku likes me?
context: What the...?\It's from Miku.\Come to the rooftop after school.\There's something I want to tell you.\I just can't hold it in any longer.\Me?!\Wait, a love letter?\Miku likes me? response:	But we only met three days ago!
context: It's from Miku.\Come to the rooftop after school.\There's something I want to tell you.\I just can't hold it in any longer.\Me?!\Wait, a love letter?\Miku likes me?\But we only met three days ago! response:	What are you grinning about?
context: Come to the rooftop after school.\There's something I want to tell you.\I just can't hold it in any longer.\Me?!\Wait, a love letter?\Miku likes me?\But we only met three days ago!\What are you grinning about? response:	That's so creepy.
context: There's something I want to tell you.\I just can't hold it in any longer.\Me?!\Wait, a love letter?\Miku likes me?\But we only met three days ago!\What are you grinning about?\That's so creepy. response:	I'm not!
context: I just can't hold it in any longer.\Me?!\Wait, a love letter?\Miku likes me?\But we only met three days ago!\What are you grinning about?\That's so creepy.\I'm not! response:	I'm not grinning!
context: Me?!\Wait, a love letter?\Miku likes me?\But we only met three days ago!\What are you grinning about?\That's so creepy.\I'm not!\I'm not grinning! response:	This is a prank.
context: Wait, a love letter?\Miku likes me?\But we only met three days ago!\What are you grinning about?\That's so creepy.\I'm not!\I'm not grinning!\This is a prank. response:	Stay cool, Uesugi Futaro.
context: Miku likes me?\But we only met three days ago!\What are you grinning about?\That's so creepy.\I'm not!\I'm not grinning!\This is a prank.\Stay cool, Uesugi Futaro. response:	I have zero reason to play along with this crap.
context: But we only met three days ago!\What are you grinning about?\That's so creepy.\I'm not!\I'm not grinning!\This is a prank.\Stay cool, Uesugi Futaro.\I have zero reason to play along with this crap. response:	See?!
context: What are you grinning about?\That's so creepy.\I'm not!\I'm not grinning!\This is a prank.\Stay cool, Uesugi Futaro.\I have zero reason to play along with this crap.\See?! response:	I fell for a cheap prank.
context: That's so creepy.\I'm not!\I'm not grinning!\This is a prank.\Stay cool, Uesugi Futaro.\I have zero reason to play along with this crap.\See?!\I fell for a cheap prank. response:	Not that it'd be okay if she actually...
context: I'm not!\I'm not grinning!\This is a prank.\Stay cool, Uesugi Futaro.\I have zero reason to play along with this crap.\See?!\I fell for a cheap prank.\Not that it'd be okay if she actually... response:	Thank goodness.
context: I'm not grinning!\This is a prank.\Stay cool, Uesugi Futaro.\I have zero reason to play along with this crap.\See?!\I fell for a cheap prank.\Not that it'd be okay if she actually...\Thank goodness. response:	You read my letter.
