context: Let's go! response:	How dare you burn down our village!
context: If that's the case...\The next battle will be grueling.\Yes.\Damn that Theo Cornaro!\The Forest of Eternal Darkness is Demon territory.\It's not a suitable station for a military force.\Theo Cornaro only has two choices available to him.\One is to return his troops to Bulltava. response:	And the other?
context: The next battle will be grueling.\Yes.\Damn that Theo Cornaro!\The Forest of Eternal Darkness is Demon territory.\It's not a suitable station for a military force.\Theo Cornaro only has two choices available to him.\One is to return his troops to Bulltava.\And the other? response:	To emerge from the Forest of Eternal Darkness, and attack this castle.
context: Yes.\Damn that Theo Cornaro!\The Forest of Eternal Darkness is Demon territory.\It's not a suitable station for a military force.\Theo Cornaro only has two choices available to him.\One is to return his troops to Bulltava.\And the other?\To emerge from the Forest of Eternal Darkness, and attack this castle. response:	If he does that, he'll be playing right into my hands.
context: Damn that Theo Cornaro!\The Forest of Eternal Darkness is Demon territory.\It's not a suitable station for a military force.\Theo Cornaro only has two choices available to him.\One is to return his troops to Bulltava.\And the other?\To emerge from the Forest of Eternal Darkness, and attack this castle.\If he does that, he'll be playing right into my hands. response:	This time I'll obliterate him!
context: The Forest of Eternal Darkness is Demon territory.\It's not a suitable station for a military force.\Theo Cornaro only has two choices available to him.\One is to return his troops to Bulltava.\And the other?\To emerge from the Forest of Eternal Darkness, and attack this castle.\If he does that, he'll be playing right into my hands.\This time I'll obliterate him! response:	What would you think of sending troops to Regalia?
context: It's not a suitable station for a military force.\Theo Cornaro only has two choices available to him.\One is to return his troops to Bulltava.\And the other?\To emerge from the Forest of Eternal Darkness, and attack this castle.\If he does that, he'll be playing right into my hands.\This time I'll obliterate him!\What would you think of sending troops to Regalia? response:	To the south? Why?
context: Theo Cornaro only has two choices available to him.\One is to return his troops to Bulltava.\And the other?\To emerge from the Forest of Eternal Darkness, and attack this castle.\If he does that, he'll be playing right into my hands.\This time I'll obliterate him!\What would you think of sending troops to Regalia?\To the south? Why? response:	To show the Altirk Treaty Lords that our forces are still powerful,
context: One is to return his troops to Bulltava.\And the other?\To emerge from the Forest of Eternal Darkness, and attack this castle.\If he does that, he'll be playing right into my hands.\This time I'll obliterate him!\What would you think of sending troops to Regalia?\To the south? Why?\To show the Altirk Treaty Lords that our forces are still powerful, response:	and to ward off an assault from the south.
context: And the other?\To emerge from the Forest of Eternal Darkness, and attack this castle.\If he does that, he'll be playing right into my hands.\This time I'll obliterate him!\What would you think of sending troops to Regalia?\To the south? Why?\To show the Altirk Treaty Lords that our forces are still powerful,\and to ward off an assault from the south. response:	At the same time, we will attempt to draw out Theo Cornaro.
context: To emerge from the Forest of Eternal Darkness, and attack this castle.\If he does that, he'll be playing right into my hands.\This time I'll obliterate him!\What would you think of sending troops to Regalia?\To the south? Why?\To show the Altirk Treaty Lords that our forces are still powerful,\and to ward off an assault from the south.\At the same time, we will attempt to draw out Theo Cornaro. response:	I see. So as soon as Theo comes sauntering out, we'll rush back and vanquish him, eh?
context: If he does that, he'll be playing right into my hands.\This time I'll obliterate him!\What would you think of sending troops to Regalia?\To the south? Why?\To show the Altirk Treaty Lords that our forces are still powerful,\and to ward off an assault from the south.\At the same time, we will attempt to draw out Theo Cornaro.\I see. So as soon as Theo comes sauntering out, we'll rush back and vanquish him, eh? response:	Exactly.
context: This time I'll obliterate him!\What would you think of sending troops to Regalia?\To the south? Why?\To show the Altirk Treaty Lords that our forces are still powerful,\and to ward off an assault from the south.\At the same time, we will attempt to draw out Theo Cornaro.\I see. So as soon as Theo comes sauntering out, we'll rush back and vanquish him, eh?\Exactly. response:	Sounds good. Start your preparations at once.
context: What would you think of sending troops to Regalia?\To the south? Why?\To show the Altirk Treaty Lords that our forces are still powerful,\and to ward off an assault from the south.\At the same time, we will attempt to draw out Theo Cornaro.\I see. So as soon as Theo comes sauntering out, we'll rush back and vanquish him, eh?\Exactly.\Sounds good. Start your preparations at once. response:	Yes, sir!
context: To the south? Why?\To show the Altirk Treaty Lords that our forces are still powerful,\and to ward off an assault from the south.\At the same time, we will attempt to draw out Theo Cornaro.\I see. So as soon as Theo comes sauntering out, we'll rush back and vanquish him, eh?\Exactly.\Sounds good. Start your preparations at once.\Yes, sir! response:	We were outmaneuvered in the Forest of Eternal Darkness.
context: To show the Altirk Treaty Lords that our forces are still powerful,\and to ward off an assault from the south.\At the same time, we will attempt to draw out Theo Cornaro.\I see. So as soon as Theo comes sauntering out, we'll rush back and vanquish him, eh?\Exactly.\Sounds good. Start your preparations at once.\Yes, sir!\We were outmaneuvered in the Forest of Eternal Darkness. response:	Siluca Meletes. That won't happen this time!
context: and to ward off an assault from the south.\At the same time, we will attempt to draw out Theo Cornaro.\I see. So as soon as Theo comes sauntering out, we'll rush back and vanquish him, eh?\Exactly.\Sounds good. Start your preparations at once.\Yes, sir!\We were outmaneuvered in the Forest of Eternal Darkness.\Siluca Meletes. That won't happen this time! response:	What did you say?
context: At the same time, we will attempt to draw out Theo Cornaro.\I see. So as soon as Theo comes sauntering out, we'll rush back and vanquish him, eh?\Exactly.\Sounds good. Start your preparations at once.\Yes, sir!\We were outmaneuvered in the Forest of Eternal Darkness.\Siluca Meletes. That won't happen this time!\What did you say? response:	Understood. Thanks.
context: I see. So as soon as Theo comes sauntering out, we'll rush back and vanquish him, eh?\Exactly.\Sounds good. Start your preparations at once.\Yes, sir!\We were outmaneuvered in the Forest of Eternal Darkness.\Siluca Meletes. That won't happen this time!\What did you say?\Understood. Thanks. response:	Sir Theo, Milza has invaded Regalia with 7,000 men in tow.
context: Exactly.\Sounds good. Start your preparations at once.\Yes, sir!\We were outmaneuvered in the Forest of Eternal Darkness.\Siluca Meletes. That won't happen this time!\What did you say?\Understood. Thanks.\Sir Theo, Milza has invaded Regalia with 7,000 men in tow. response:	Does that mean he's ignoring us?
context: Sounds good. Start your preparations at once.\Yes, sir!\We were outmaneuvered in the Forest of Eternal Darkness.\Siluca Meletes. That won't happen this time!\What did you say?\Understood. Thanks.\Sir Theo, Milza has invaded Regalia with 7,000 men in tow.\Does that mean he's ignoring us? response:	Milza is probably trying to lure you out.
context: Yes, sir!\We were outmaneuvered in the Forest of Eternal Darkness.\Siluca Meletes. That won't happen this time!\What did you say?\Understood. Thanks.\Sir Theo, Milza has invaded Regalia with 7,000 men in tow.\Does that mean he's ignoring us?\Milza is probably trying to lure you out. response:	I see. So he wants to crush us on the ground once we emerge from the forest.
context: We were outmaneuvered in the Forest of Eternal Darkness.\Siluca Meletes. That won't happen this time!\What did you say?\Understood. Thanks.\Sir Theo, Milza has invaded Regalia with 7,000 men in tow.\Does that mean he's ignoring us?\Milza is probably trying to lure you out.\I see. So he wants to crush us on the ground once we emerge from the forest. response:	But right now, I think we should go along with his scheme.
context: Siluca Meletes. That won't happen this time!\What did you say?\Understood. Thanks.\Sir Theo, Milza has invaded Regalia with 7,000 men in tow.\Does that mean he's ignoring us?\Milza is probably trying to lure you out.\I see. So he wants to crush us on the ground once we emerge from the forest.\But right now, I think we should go along with his scheme. response:	Now that morale is high after our victory in the Forest of Eternal Darkness, we can't let this go.
context: What did you say?\Understood. Thanks.\Sir Theo, Milza has invaded Regalia with 7,000 men in tow.\Does that mean he's ignoring us?\Milza is probably trying to lure you out.\I see. So he wants to crush us on the ground once we emerge from the forest.\But right now, I think we should go along with his scheme.\Now that morale is high after our victory in the Forest of Eternal Darkness, we can't let this go. response:	We must seek aid from the citizens of Altirk.
context: Understood. Thanks.\Sir Theo, Milza has invaded Regalia with 7,000 men in tow.\Does that mean he's ignoring us?\Milza is probably trying to lure you out.\I see. So he wants to crush us on the ground once we emerge from the forest.\But right now, I think we should go along with his scheme.\Now that morale is high after our victory in the Forest of Eternal Darkness, we can't let this go.\We must seek aid from the citizens of Altirk. response:	So I'll have to command a volunteer army again?
context: Sir Theo, Milza has invaded Regalia with 7,000 men in tow.\Does that mean he's ignoring us?\Milza is probably trying to lure you out.\I see. So he wants to crush us on the ground once we emerge from the forest.\But right now, I think we should go along with his scheme.\Now that morale is high after our victory in the Forest of Eternal Darkness, we can't let this go.\We must seek aid from the citizens of Altirk.\So I'll have to command a volunteer army again? response:	Milza will curse me when we meet.
context: Does that mean he's ignoring us?\Milza is probably trying to lure you out.\I see. So he wants to crush us on the ground once we emerge from the forest.\But right now, I think we should go along with his scheme.\Now that morale is high after our victory in the Forest of Eternal Darkness, we can't let this go.\We must seek aid from the citizens of Altirk.\So I'll have to command a volunteer army again?\Milza will curse me when we meet. response:	When I liberated Sistina, I called on the people to rise up.
context: Milza is probably trying to lure you out.\I see. So he wants to crush us on the ground once we emerge from the forest.\But right now, I think we should go along with his scheme.\Now that morale is high after our victory in the Forest of Eternal Darkness, we can't let this go.\We must seek aid from the citizens of Altirk.\So I'll have to command a volunteer army again?\Milza will curse me when we meet.\When I liberated Sistina, I called on the people to rise up. response:	I may have put an end to the Rossini's reign, but many people lost their lives in that battle.
context: I see. So he wants to crush us on the ground once we emerge from the forest.\But right now, I think we should go along with his scheme.\Now that morale is high after our victory in the Forest of Eternal Darkness, we can't let this go.\We must seek aid from the citizens of Altirk.\So I'll have to command a volunteer army again?\Milza will curse me when we meet.\When I liberated Sistina, I called on the people to rise up.\I may have put an end to the Rossini's reign, but many people lost their lives in that battle. response:	Sir Theo, I believe that you can hear the people's silent voices.
context: But right now, I think we should go along with his scheme.\Now that morale is high after our victory in the Forest of Eternal Darkness, we can't let this go.\We must seek aid from the citizens of Altirk.\So I'll have to command a volunteer army again?\Milza will curse me when we meet.\When I liberated Sistina, I called on the people to rise up.\I may have put an end to the Rossini's reign, but many people lost their lives in that battle.\Sir Theo, I believe that you can hear the people's silent voices. response:	And it's you who puts them into words.
context: Now that morale is high after our victory in the Forest of Eternal Darkness, we can't let this go.\We must seek aid from the citizens of Altirk.\So I'll have to command a volunteer army again?\Milza will curse me when we meet.\When I liberated Sistina, I called on the people to rise up.\I may have put an end to the Rossini's reign, but many people lost their lives in that battle.\Sir Theo, I believe that you can hear the people's silent voices.\And it's you who puts them into words. response:	I suppose.
context: We must seek aid from the citizens of Altirk.\So I'll have to command a volunteer army again?\Milza will curse me when we meet.\When I liberated Sistina, I called on the people to rise up.\I may have put an end to the Rossini's reign, but many people lost their lives in that battle.\Sir Theo, I believe that you can hear the people's silent voices.\And it's you who puts them into words.\I suppose. response:	Let's head to Castle Unicorn in full force!
context: So I'll have to command a volunteer army again?\Milza will curse me when we meet.\When I liberated Sistina, I called on the people to rise up.\I may have put an end to the Rossini's reign, but many people lost their lives in that battle.\Sir Theo, I believe that you can hear the people's silent voices.\And it's you who puts them into words.\I suppose.\Let's head to Castle Unicorn in full force! response:	The citizens of Altirk haven't accepted Dartania's rule. There's no question.
context: Milza will curse me when we meet.\When I liberated Sistina, I called on the people to rise up.\I may have put an end to the Rossini's reign, but many people lost their lives in that battle.\Sir Theo, I believe that you can hear the people's silent voices.\And it's you who puts them into words.\I suppose.\Let's head to Castle Unicorn in full force!\The citizens of Altirk haven't accepted Dartania's rule. There's no question. response:	Right. Though I do feel that attacking Castle Unicorn would be reckless.
context: When I liberated Sistina, I called on the people to rise up.\I may have put an end to the Rossini's reign, but many people lost their lives in that battle.\Sir Theo, I believe that you can hear the people's silent voices.\And it's you who puts them into words.\I suppose.\Let's head to Castle Unicorn in full force!\The citizens of Altirk haven't accepted Dartania's rule. There's no question.\Right. Though I do feel that attacking Castle Unicorn would be reckless. response:	If you feel that way, then come join us in Altirk right now.
context: I may have put an end to the Rossini's reign, but many people lost their lives in that battle.\Sir Theo, I believe that you can hear the people's silent voices.\And it's you who puts them into words.\I suppose.\Let's head to Castle Unicorn in full force!\The citizens of Altirk haven't accepted Dartania's rule. There's no question.\Right. Though I do feel that attacking Castle Unicorn would be reckless.\If you feel that way, then come join us in Altirk right now. response:	That can't happen just yet.
context: Sir Theo, I believe that you can hear the people's silent voices.\And it's you who puts them into words.\I suppose.\Let's head to Castle Unicorn in full force!\The citizens of Altirk haven't accepted Dartania's rule. There's no question.\Right. Though I do feel that attacking Castle Unicorn would be reckless.\If you feel that way, then come join us in Altirk right now.\That can't happen just yet. response:	Couldn't you just not emerge from the Forest of Eternal Darkness?
context: And it's you who puts them into words.\I suppose.\Let's head to Castle Unicorn in full force!\The citizens of Altirk haven't accepted Dartania's rule. There's no question.\Right. Though I do feel that attacking Castle Unicorn would be reckless.\If you feel that way, then come join us in Altirk right now.\That can't happen just yet.\Couldn't you just not emerge from the Forest of Eternal Darkness? response:	If Sir Theo does nothing while Dartania attacks Regalia,
context: I suppose.\Let's head to Castle Unicorn in full force!\The citizens of Altirk haven't accepted Dartania's rule. There's no question.\Right. Though I do feel that attacking Castle Unicorn would be reckless.\If you feel that way, then come join us in Altirk right now.\That can't happen just yet.\Couldn't you just not emerge from the Forest of Eternal Darkness?\If Sir Theo does nothing while Dartania attacks Regalia, response:	the citizens of Altirk will be disheartened, and they won't rise up for us.
context: Let's head to Castle Unicorn in full force!\The citizens of Altirk haven't accepted Dartania's rule. There's no question.\Right. Though I do feel that attacking Castle Unicorn would be reckless.\If you feel that way, then come join us in Altirk right now.\That can't happen just yet.\Couldn't you just not emerge from the Forest of Eternal Darkness?\If Sir Theo does nothing while Dartania attacks Regalia,\the citizens of Altirk will be disheartened, and they won't rise up for us. response:	You're right.
context: The citizens of Altirk haven't accepted Dartania's rule. There's no question.\Right. Though I do feel that attacking Castle Unicorn would be reckless.\If you feel that way, then come join us in Altirk right now.\That can't happen just yet.\Couldn't you just not emerge from the Forest of Eternal Darkness?\If Sir Theo does nothing while Dartania attacks Regalia,\the citizens of Altirk will be disheartened, and they won't rise up for us.\You're right. response:	Our only window of opportunity to attack Castle Unicorn is now, while Milza is away.
context: Right. Though I do feel that attacking Castle Unicorn would be reckless.\If you feel that way, then come join us in Altirk right now.\That can't happen just yet.\Couldn't you just not emerge from the Forest of Eternal Darkness?\If Sir Theo does nothing while Dartania attacks Regalia,\the citizens of Altirk will be disheartened, and they won't rise up for us.\You're right.\Our only window of opportunity to attack Castle Unicorn is now, while Milza is away. response:	If Milza returns before our forces can assemble, it'll become a painful battle for us.
context: If you feel that way, then come join us in Altirk right now.\That can't happen just yet.\Couldn't you just not emerge from the Forest of Eternal Darkness?\If Sir Theo does nothing while Dartania attacks Regalia,\the citizens of Altirk will be disheartened, and they won't rise up for us.\You're right.\Our only window of opportunity to attack Castle Unicorn is now, while Milza is away.\If Milza returns before our forces can assemble, it'll become a painful battle for us. response:	In other words, we just need to buy you some time?
context: That can't happen just yet.\Couldn't you just not emerge from the Forest of Eternal Darkness?\If Sir Theo does nothing while Dartania attacks Regalia,\the citizens of Altirk will be disheartened, and they won't rise up for us.\You're right.\Our only window of opportunity to attack Castle Unicorn is now, while Milza is away.\If Milza returns before our forces can assemble, it'll become a painful battle for us.\In other words, we just need to buy you some time? response:	That's exactly right.
context: Couldn't you just not emerge from the Forest of Eternal Darkness?\If Sir Theo does nothing while Dartania attacks Regalia,\the citizens of Altirk will be disheartened, and they won't rise up for us.\You're right.\Our only window of opportunity to attack Castle Unicorn is now, while Milza is away.\If Milza returns before our forces can assemble, it'll become a painful battle for us.\In other words, we just need to buy you some time?\That's exactly right. response:	Very well. Then I'll have Sir Selge buy you that time.
context: If Sir Theo does nothing while Dartania attacks Regalia,\the citizens of Altirk will be disheartened, and they won't rise up for us.\You're right.\Our only window of opportunity to attack Castle Unicorn is now, while Milza is away.\If Milza returns before our forces can assemble, it'll become a painful battle for us.\In other words, we just need to buy you some time?\That's exactly right.\Very well. Then I'll have Sir Selge buy you that time. response:	I have a strategy in mind.
context: the citizens of Altirk will be disheartened, and they won't rise up for us.\You're right.\Our only window of opportunity to attack Castle Unicorn is now, while Milza is away.\If Milza returns before our forces can assemble, it'll become a painful battle for us.\In other words, we just need to buy you some time?\That's exactly right.\Very well. Then I'll have Sir Selge buy you that time.\I have a strategy in mind. response:	Allow me to report, sir!
context: You're right.\Our only window of opportunity to attack Castle Unicorn is now, while Milza is away.\If Milza returns before our forces can assemble, it'll become a painful battle for us.\In other words, we just need to buy you some time?\That's exactly right.\Very well. Then I'll have Sir Selge buy you that time.\I have a strategy in mind.\Allow me to report, sir! response:	A white flag has been hoisted over the Regalian castle.
context: Our only window of opportunity to attack Castle Unicorn is now, while Milza is away.\If Milza returns before our forces can assemble, it'll become a painful battle for us.\In other words, we just need to buy you some time?\That's exactly right.\Very well. Then I'll have Sir Selge buy you that time.\I have a strategy in mind.\Allow me to report, sir!\A white flag has been hoisted over the Regalian castle. response:	What's going on?
