context: The Third Plate response:	Eighteen
context: Please enjoy.\Food Wars\The Third Plate\Totsuki Train Arc\For Whom\The bear dish prepared by the master of fragrance, Hayama Akira\chicken-fried bear.\Hayama, where's mine?! response:	Hurry up, and let me try it!
context: Food Wars\The Third Plate\Totsuki Train Arc\For Whom\The bear dish prepared by the master of fragrance, Hayama Akira\chicken-fried bear.\Hayama, where's mine?!\Hurry up, and let me try it! response:	Shut up.
context: The Third Plate\Totsuki Train Arc\For Whom\The bear dish prepared by the master of fragrance, Hayama Akira\chicken-fried bear.\Hayama, where's mine?!\Hurry up, and let me try it!\Shut up. response:	Here.
context: Totsuki Train Arc\For Whom\The bear dish prepared by the master of fragrance, Hayama Akira\chicken-fried bear.\Hayama, where's mine?!\Hurry up, and let me try it!\Shut up.\Here. response:	After you've tasted it and accept defeat, leave the academy.
context: For Whom\The bear dish prepared by the master of fragrance, Hayama Akira\chicken-fried bear.\Hayama, where's mine?!\Hurry up, and let me try it!\Shut up.\Here.\After you've tasted it and accept defeat, leave the academy. response:	You're really acting like you have no time for me, huh?
context: The bear dish prepared by the master of fragrance, Hayama Akira\chicken-fried bear.\Hayama, where's mine?!\Hurry up, and let me try it!\Shut up.\Here.\After you've tasted it and accept defeat, leave the academy.\You're really acting like you have no time for me, huh? response:	I've always felt that way.
context: chicken-fried bear.\Hayama, where's mine?!\Hurry up, and let me try it!\Shut up.\Here.\After you've tasted it and accept defeat, leave the academy.\You're really acting like you have no time for me, huh?\I've always felt that way. response:	We're no longer on equal footing. Get that through your thick skull.
context: Hayama, where's mine?!\Hurry up, and let me try it!\Shut up.\Here.\After you've tasted it and accept defeat, leave the academy.\You're really acting like you have no time for me, huh?\I've always felt that way.\We're no longer on equal footing. Get that through your thick skull. response:	He's really confident.
context: Hurry up, and let me try it!\Shut up.\Here.\After you've tasted it and accept defeat, leave the academy.\You're really acting like you have no time for me, huh?\I've always felt that way.\We're no longer on equal footing. Get that through your thick skull.\He's really confident. response:	He must've had to walk the same tightrope
context: Shut up.\Here.\After you've tasted it and accept defeat, leave the academy.\You're really acting like you have no time for me, huh?\I've always felt that way.\We're no longer on equal footing. Get that through your thick skull.\He's really confident.\He must've had to walk the same tightrope response:	of smelliness and umami, and yet...
context: Here.\After you've tasted it and accept defeat, leave the academy.\You're really acting like you have no time for me, huh?\I've always felt that way.\We're no longer on equal footing. Get that through your thick skull.\He's really confident.\He must've had to walk the same tightrope\of smelliness and umami, and yet... response:	Yeah.
context: After you've tasted it and accept defeat, leave the academy.\You're really acting like you have no time for me, huh?\I've always felt that way.\We're no longer on equal footing. Get that through your thick skull.\He's really confident.\He must've had to walk the same tightrope\of smelliness and umami, and yet...\Yeah. response:	The first test is whether he succeeded in his wager
context: You're really acting like you have no time for me, huh?\I've always felt that way.\We're no longer on equal footing. Get that through your thick skull.\He's really confident.\He must've had to walk the same tightrope\of smelliness and umami, and yet...\Yeah.\The first test is whether he succeeded in his wager response:	to remove the smelliness...
context: I've always felt that way.\We're no longer on equal footing. Get that through your thick skull.\He's really confident.\He must've had to walk the same tightrope\of smelliness and umami, and yet...\Yeah.\The first test is whether he succeeded in his wager\to remove the smelliness... response:	But there isn't much to doubt there.
context: We're no longer on equal footing. Get that through your thick skull.\He's really confident.\He must've had to walk the same tightrope\of smelliness and umami, and yet...\Yeah.\The first test is whether he succeeded in his wager\to remove the smelliness...\But there isn't much to doubt there. response:	On to the tasting.
context: He's really confident.\He must've had to walk the same tightrope\of smelliness and umami, and yet...\Yeah.\The first test is whether he succeeded in his wager\to remove the smelliness...\But there isn't much to doubt there.\On to the tasting. response:	Hot, hot, hot!
context: He must've had to walk the same tightrope\of smelliness and umami, and yet...\Yeah.\The first test is whether he succeeded in his wager\to remove the smelliness...\But there isn't much to doubt there.\On to the tasting.\Hot, hot, hot! response:	The light batter is shining so brightly, it's almost blinding.
context: of smelliness and umami, and yet...\Yeah.\The first test is whether he succeeded in his wager\to remove the smelliness...\But there isn't much to doubt there.\On to the tasting.\Hot, hot, hot!\The light batter is shining so brightly, it's almost blinding. response:	Hayama's skills are the real deal.
context: Yeah.\The first test is whether he succeeded in his wager\to remove the smelliness...\But there isn't much to doubt there.\On to the tasting.\Hot, hot, hot!\The light batter is shining so brightly, it's almost blinding.\Hayama's skills are the real deal. response:	N-No way. What is this?
context: The first test is whether he succeeded in his wager\to remove the smelliness...\But there isn't much to doubt there.\On to the tasting.\Hot, hot, hot!\The light batter is shining so brightly, it's almost blinding.\Hayama's skills are the real deal.\N-No way. What is this? response:	Just bringing it close to your mouth
context: to remove the smelliness...\But there isn't much to doubt there.\On to the tasting.\Hot, hot, hot!\The light batter is shining so brightly, it's almost blinding.\Hayama's skills are the real deal.\N-No way. What is this?\Just bringing it close to your mouth response:	is enough to make the spices sing!
context: But there isn't much to doubt there.\On to the tasting.\Hot, hot, hot!\The light batter is shining so brightly, it's almost blinding.\Hayama's skills are the real deal.\N-No way. What is this?\Just bringing it close to your mouth\is enough to make the spices sing! response:	Now, if I may!
context: On to the tasting.\Hot, hot, hot!\The light batter is shining so brightly, it's almost blinding.\Hayama's skills are the real deal.\N-No way. What is this?\Just bringing it close to your mouth\is enough to make the spices sing!\Now, if I may! response:	So good!
context: Hot, hot, hot!\The light batter is shining so brightly, it's almost blinding.\Hayama's skills are the real deal.\N-No way. What is this?\Just bringing it close to your mouth\is enough to make the spices sing!\Now, if I may!\So good! response:	No, Berta!
context: The light batter is shining so brightly, it's almost blinding.\Hayama's skills are the real deal.\N-No way. What is this?\Just bringing it close to your mouth\is enough to make the spices sing!\Now, if I may!\So good!\No, Berta! response:	Keep it together!
context: Hayama's skills are the real deal.\N-No way. What is this?\Just bringing it close to your mouth\is enough to make the spices sing!\Now, if I may!\So good!\No, Berta!\Keep it together! response:	Yeah, Cilla!
context: N-No way. What is this?\Just bringing it close to your mouth\is enough to make the spices sing!\Now, if I may!\So good!\No, Berta!\Keep it together!\Yeah, Cilla! response:	We have to stay calm and analyze this.
context: Just bringing it close to your mouth\is enough to make the spices sing!\Now, if I may!\So good!\No, Berta!\Keep it together!\Yeah, Cilla!\We have to stay calm and analyze this. response:	This pungent spiciness is the piperine from black pepper!
context: is enough to make the spices sing!\Now, if I may!\So good!\No, Berta!\Keep it together!\Yeah, Cilla!\We have to stay calm and analyze this.\This pungent spiciness is the piperine from black pepper! response:	Its synergy with pyrazine, an aromatic compound resulting from heating paprika,
context: Now, if I may!\So good!\No, Berta!\Keep it together!\Yeah, Cilla!\We have to stay calm and analyze this.\This pungent spiciness is the piperine from black pepper!\Its synergy with pyrazine, an aromatic compound resulting from heating paprika, response:	has formed the foundation of the dish's flavor profile.
context: So good!\No, Berta!\Keep it together!\Yeah, Cilla!\We have to stay calm and analyze this.\This pungent spiciness is the piperine from black pepper!\Its synergy with pyrazine, an aromatic compound resulting from heating paprika,\has formed the foundation of the dish's flavor profile. response:	Thyme is countering bear meat's gaminess.
context: No, Berta!\Keep it together!\Yeah, Cilla!\We have to stay calm and analyze this.\This pungent spiciness is the piperine from black pepper!\Its synergy with pyrazine, an aromatic compound resulting from heating paprika,\has formed the foundation of the dish's flavor profile.\Thyme is countering bear meat's gaminess. response:	Thymol, that sharp and astringent compound, is at work here.
context: Keep it together!\Yeah, Cilla!\We have to stay calm and analyze this.\This pungent spiciness is the piperine from black pepper!\Its synergy with pyrazine, an aromatic compound resulting from heating paprika,\has formed the foundation of the dish's flavor profile.\Thyme is countering bear meat's gaminess.\Thymol, that sharp and astringent compound, is at work here. response:	Oh, and cayenne and oregano's... um...
context: Yeah, Cilla!\We have to stay calm and analyze this.\This pungent spiciness is the piperine from black pepper!\Its synergy with pyrazine, an aromatic compound resulting from heating paprika,\has formed the foundation of the dish's flavor profile.\Thyme is countering bear meat's gaminess.\Thymol, that sharp and astringent compound, is at work here.\Oh, and cayenne and oregano's... um... response:	I can't stand this anymore!
context: We have to stay calm and analyze this.\This pungent spiciness is the piperine from black pepper!\Its synergy with pyrazine, an aromatic compound resulting from heating paprika,\has formed the foundation of the dish's flavor profile.\Thyme is countering bear meat's gaminess.\Thymol, that sharp and astringent compound, is at work here.\Oh, and cayenne and oregano's... um...\I can't stand this anymore! response:	I'm losing all sense of reason!
context: This pungent spiciness is the piperine from black pepper!\Its synergy with pyrazine, an aromatic compound resulting from heating paprika,\has formed the foundation of the dish's flavor profile.\Thyme is countering bear meat's gaminess.\Thymol, that sharp and astringent compound, is at work here.\Oh, and cayenne and oregano's... um...\I can't stand this anymore!\I'm losing all sense of reason! response:	How exquisite!
context: Its synergy with pyrazine, an aromatic compound resulting from heating paprika,\has formed the foundation of the dish's flavor profile.\Thyme is countering bear meat's gaminess.\Thymol, that sharp and astringent compound, is at work here.\Oh, and cayenne and oregano's... um...\I can't stand this anymore!\I'm losing all sense of reason!\How exquisite! response:	The bear meat's smelliness has been converted into a powerful umami in its entirety!
context: has formed the foundation of the dish's flavor profile.\Thyme is countering bear meat's gaminess.\Thymol, that sharp and astringent compound, is at work here.\Oh, and cayenne and oregano's... um...\I can't stand this anymore!\I'm losing all sense of reason!\How exquisite!\The bear meat's smelliness has been converted into a powerful umami in its entirety! response:	The complex buildup of umami and the layers of flavor...
context: Thyme is countering bear meat's gaminess.\Thymol, that sharp and astringent compound, is at work here.\Oh, and cayenne and oregano's... um...\I can't stand this anymore!\I'm losing all sense of reason!\How exquisite!\The bear meat's smelliness has been converted into a powerful umami in its entirety!\The complex buildup of umami and the layers of flavor... response:	This clearly surpasses Yukihira Soma's creation!
context: Thymol, that sharp and astringent compound, is at work here.\Oh, and cayenne and oregano's... um...\I can't stand this anymore!\I'm losing all sense of reason!\How exquisite!\The bear meat's smelliness has been converted into a powerful umami in its entirety!\The complex buildup of umami and the layers of flavor...\This clearly surpasses Yukihira Soma's creation! response:	In addition to the obvious Cajun spice mix,
context: Oh, and cayenne and oregano's... um...\I can't stand this anymore!\I'm losing all sense of reason!\How exquisite!\The bear meat's smelliness has been converted into a powerful umami in its entirety!\The complex buildup of umami and the layers of flavor...\This clearly surpasses Yukihira Soma's creation!\In addition to the obvious Cajun spice mix, response:	I've added to the marinade juniper berries that have been crushed with
context: I can't stand this anymore!\I'm losing all sense of reason!\How exquisite!\The bear meat's smelliness has been converted into a powerful umami in its entirety!\The complex buildup of umami and the layers of flavor...\This clearly surpasses Yukihira Soma's creation!\In addition to the obvious Cajun spice mix,\I've added to the marinade juniper berries that have been crushed with response:	a mortar and pestle to heighten their fragrance.
context: I'm losing all sense of reason!\How exquisite!\The bear meat's smelliness has been converted into a powerful umami in its entirety!\The complex buildup of umami and the layers of flavor...\This clearly surpasses Yukihira Soma's creation!\In addition to the obvious Cajun spice mix,\I've added to the marinade juniper berries that have been crushed with\a mortar and pestle to heighten their fragrance. response:	The more you chew,
context: How exquisite!\The bear meat's smelliness has been converted into a powerful umami in its entirety!\The complex buildup of umami and the layers of flavor...\This clearly surpasses Yukihira Soma's creation!\In addition to the obvious Cajun spice mix,\I've added to the marinade juniper berries that have been crushed with\a mortar and pestle to heighten their fragrance.\The more you chew, response:	the more the exquisite and even sweet umami of the bear
context: The bear meat's smelliness has been converted into a powerful umami in its entirety!\The complex buildup of umami and the layers of flavor...\This clearly surpasses Yukihira Soma's creation!\In addition to the obvious Cajun spice mix,\I've added to the marinade juniper berries that have been crushed with\a mortar and pestle to heighten their fragrance.\The more you chew,\the more the exquisite and even sweet umami of the bear response:	should spread like a torrent through your mouth.
context: The complex buildup of umami and the layers of flavor...\This clearly surpasses Yukihira Soma's creation!\In addition to the obvious Cajun spice mix,\I've added to the marinade juniper berries that have been crushed with\a mortar and pestle to heighten their fragrance.\The more you chew,\the more the exquisite and even sweet umami of the bear\should spread like a torrent through your mouth. response:	Yukihira-dono even chose smellier parts of the bear
context: This clearly surpasses Yukihira Soma's creation!\In addition to the obvious Cajun spice mix,\I've added to the marinade juniper berries that have been crushed with\a mortar and pestle to heighten their fragrance.\The more you chew,\the more the exquisite and even sweet umami of the bear\should spread like a torrent through your mouth.\Yukihira-dono even chose smellier parts of the bear response:	and used schisandra berries to enhance the bear's flavors
context: In addition to the obvious Cajun spice mix,\I've added to the marinade juniper berries that have been crushed with\a mortar and pestle to heighten their fragrance.\The more you chew,\the more the exquisite and even sweet umami of the bear\should spread like a torrent through your mouth.\Yukihira-dono even chose smellier parts of the bear\and used schisandra berries to enhance the bear's flavors response:	And that wasn't enough?
context: I've added to the marinade juniper berries that have been crushed with\a mortar and pestle to heighten their fragrance.\The more you chew,\the more the exquisite and even sweet umami of the bear\should spread like a torrent through your mouth.\Yukihira-dono even chose smellier parts of the bear\and used schisandra berries to enhance the bear's flavors\And that wasn't enough? response:	It must mean that Hayama's spice use
context: a mortar and pestle to heighten their fragrance.\The more you chew,\the more the exquisite and even sweet umami of the bear\should spread like a torrent through your mouth.\Yukihira-dono even chose smellier parts of the bear\and used schisandra berries to enhance the bear's flavors\And that wasn't enough?\It must mean that Hayama's spice use response:	skills are that much higher.
context: The more you chew,\the more the exquisite and even sweet umami of the bear\should spread like a torrent through your mouth.\Yukihira-dono even chose smellier parts of the bear\and used schisandra berries to enhance the bear's flavors\And that wasn't enough?\It must mean that Hayama's spice use\skills are that much higher. response:	Even humans are said to be able to tell apart
context: the more the exquisite and even sweet umami of the bear\should spread like a torrent through your mouth.\Yukihira-dono even chose smellier parts of the bear\and used schisandra berries to enhance the bear's flavors\And that wasn't enough?\It must mean that Hayama's spice use\skills are that much higher.\Even humans are said to be able to tell apart response:	several thousand to nearly ten thousand odors.
context: should spread like a torrent through your mouth.\Yukihira-dono even chose smellier parts of the bear\and used schisandra berries to enhance the bear's flavors\And that wasn't enough?\It must mean that Hayama's spice use\skills are that much higher.\Even humans are said to be able to tell apart\several thousand to nearly ten thousand odors. response:	I simply used that ability in this dish.
context: Yukihira-dono even chose smellier parts of the bear\and used schisandra berries to enhance the bear's flavors\And that wasn't enough?\It must mean that Hayama's spice use\skills are that much higher.\Even humans are said to be able to tell apart\several thousand to nearly ten thousand odors.\I simply used that ability in this dish. response:	Yeah, right.
context: and used schisandra berries to enhance the bear's flavors\And that wasn't enough?\It must mean that Hayama's spice use\skills are that much higher.\Even humans are said to be able to tell apart\several thousand to nearly ten thousand odors.\I simply used that ability in this dish.\Yeah, right. response:	As if anyone could've made that dish
context: And that wasn't enough?\It must mean that Hayama's spice use\skills are that much higher.\Even humans are said to be able to tell apart\several thousand to nearly ten thousand odors.\I simply used that ability in this dish.\Yeah, right.\As if anyone could've made that dish response:	without Hayama's superhuman sensitivity and sense of smell...
context: It must mean that Hayama's spice use\skills are that much higher.\Even humans are said to be able to tell apart\several thousand to nearly ten thousand odors.\I simply used that ability in this dish.\Yeah, right.\As if anyone could've made that dish\without Hayama's superhuman sensitivity and sense of smell... response:	Now, for the finishing blow.
context: skills are that much higher.\Even humans are said to be able to tell apart\several thousand to nearly ten thousand odors.\I simply used that ability in this dish.\Yeah, right.\As if anyone could've made that dish\without Hayama's superhuman sensitivity and sense of smell...\Now, for the finishing blow. response:	Wow, I wouldn't have thought to use a blow torch to sear
context: Even humans are said to be able to tell apart\several thousand to nearly ten thousand odors.\I simply used that ability in this dish.\Yeah, right.\As if anyone could've made that dish\without Hayama's superhuman sensitivity and sense of smell...\Now, for the finishing blow.\Wow, I wouldn't have thought to use a blow torch to sear response:	the fish to bring out the oils and fragrance...
context: several thousand to nearly ten thousand odors.\I simply used that ability in this dish.\Yeah, right.\As if anyone could've made that dish\without Hayama's superhuman sensitivity and sense of smell...\Now, for the finishing blow.\Wow, I wouldn't have thought to use a blow torch to sear\the fish to bring out the oils and fragrance... response:	How'd you come up with that?
context: I simply used that ability in this dish.\Yeah, right.\As if anyone could've made that dish\without Hayama's superhuman sensitivity and sense of smell...\Now, for the finishing blow.\Wow, I wouldn't have thought to use a blow torch to sear\the fish to bring out the oils and fragrance...\How'd you come up with that? response:	C'mon, tell us.
context: Yeah, right.\As if anyone could've made that dish\without Hayama's superhuman sensitivity and sense of smell...\Now, for the finishing blow.\Wow, I wouldn't have thought to use a blow torch to sear\the fish to bring out the oils and fragrance...\How'd you come up with that?\C'mon, tell us. response:	Well, I won't take a back seat next time now that I know your tricks.
context: As if anyone could've made that dish\without Hayama's superhuman sensitivity and sense of smell...\Now, for the finishing blow.\Wow, I wouldn't have thought to use a blow torch to sear\the fish to bring out the oils and fragrance...\How'd you come up with that?\C'mon, tell us.\Well, I won't take a back seat next time now that I know your tricks. response:	Don't think you're better than anyone else.
context: without Hayama's superhuman sensitivity and sense of smell...\Now, for the finishing blow.\Wow, I wouldn't have thought to use a blow torch to sear\the fish to bring out the oils and fragrance...\How'd you come up with that?\C'mon, tell us.\Well, I won't take a back seat next time now that I know your tricks.\Don't think you're better than anyone else. response:	Did you guys come here to pick a fight?
context: Now, for the finishing blow.\Wow, I wouldn't have thought to use a blow torch to sear\the fish to bring out the oils and fragrance...\How'd you come up with that?\C'mon, tell us.\Well, I won't take a back seat next time now that I know your tricks.\Don't think you're better than anyone else.\Did you guys come here to pick a fight? response:	Man...
context: Wow, I wouldn't have thought to use a blow torch to sear\the fish to bring out the oils and fragrance...\How'd you come up with that?\C'mon, tell us.\Well, I won't take a back seat next time now that I know your tricks.\Don't think you're better than anyone else.\Did you guys come here to pick a fight?\Man... response:	Sorry, Yukihira.
context: the fish to bring out the oils and fragrance...\How'd you come up with that?\C'mon, tell us.\Well, I won't take a back seat next time now that I know your tricks.\Don't think you're better than anyone else.\Did you guys come here to pick a fight?\Man...\Sorry, Yukihira. response:	But I have something I want to protect,
context: How'd you come up with that?\C'mon, tell us.\Well, I won't take a back seat next time now that I know your tricks.\Don't think you're better than anyone else.\Did you guys come here to pick a fight?\Man...\Sorry, Yukihira.\But I have something I want to protect, response:	even if it means defeating you guys!
context: C'mon, tell us.\Well, I won't take a back seat next time now that I know your tricks.\Don't think you're better than anyone else.\Did you guys come here to pick a fight?\Man...\Sorry, Yukihira.\But I have something I want to protect,\even if it means defeating you guys! response:	He couldn't surpass Hayama.
context: Well, I won't take a back seat next time now that I know your tricks.\Don't think you're better than anyone else.\Did you guys come here to pick a fight?\Man...\Sorry, Yukihira.\But I have something I want to protect,\even if it means defeating you guys!\He couldn't surpass Hayama. response:	That means that, with this match...
context: Don't think you're better than anyone else.\Did you guys come here to pick a fight?\Man...\Sorry, Yukihira.\But I have something I want to protect,\even if it means defeating you guys!\He couldn't surpass Hayama.\That means that, with this match... response:	It is too early to judge.
context: Did you guys come here to pick a fight?\Man...\Sorry, Yukihira.\But I have something I want to protect,\even if it means defeating you guys!\He couldn't surpass Hayama.\That means that, with this match...\It is too early to judge. response:	We have merely tasted the fried meat by itself.
context: Man...\Sorry, Yukihira.\But I have something I want to protect,\even if it means defeating you guys!\He couldn't surpass Hayama.\That means that, with this match...\It is too early to judge.\We have merely tasted the fried meat by itself. response:	We have yet to taste it with the sauce.
context: Sorry, Yukihira.\But I have something I want to protect,\even if it means defeating you guys!\He couldn't surpass Hayama.\That means that, with this match...\It is too early to judge.\We have merely tasted the fried meat by itself.\We have yet to taste it with the sauce. response:	Oops, that was close.
context: But I have something I want to protect,\even if it means defeating you guys!\He couldn't surpass Hayama.\That means that, with this match...\It is too early to judge.\We have merely tasted the fried meat by itself.\We have yet to taste it with the sauce.\Oops, that was close. response:	I was about to finish the whole thing.
context: even if it means defeating you guys!\He couldn't surpass Hayama.\That means that, with this match...\It is too early to judge.\We have merely tasted the fried meat by itself.\We have yet to taste it with the sauce.\Oops, that was close.\I was about to finish the whole thing. response:	Okay, I'll dip Hayama-san's fried bear into the gravy.
context: He couldn't surpass Hayama.\That means that, with this match...\It is too early to judge.\We have merely tasted the fried meat by itself.\We have yet to taste it with the sauce.\Oops, that was close.\I was about to finish the whole thing.\Okay, I'll dip Hayama-san's fried bear into the gravy. response:	A sauce made from deglazed bear fond, with a generous dose
context: That means that, with this match...\It is too early to judge.\We have merely tasted the fried meat by itself.\We have yet to taste it with the sauce.\Oops, that was close.\I was about to finish the whole thing.\Okay, I'll dip Hayama-san's fried bear into the gravy.\A sauce made from deglazed bear fond, with a generous dose response:	of the juniper berry's fragrance...
context: It is too early to judge.\We have merely tasted the fried meat by itself.\We have yet to taste it with the sauce.\Oops, that was close.\I was about to finish the whole thing.\Okay, I'll dip Hayama-san's fried bear into the gravy.\A sauce made from deglazed bear fond, with a generous dose\of the juniper berry's fragrance... response:	There it is!
context: We have merely tasted the fried meat by itself.\We have yet to taste it with the sauce.\Oops, that was close.\I was about to finish the whole thing.\Okay, I'll dip Hayama-san's fried bear into the gravy.\A sauce made from deglazed bear fond, with a generous dose\of the juniper berry's fragrance...\There it is! response:	An offshoot of the chest-baring ability that the Nakiri clan
context: We have yet to taste it with the sauce.\Oops, that was close.\I was about to finish the whole thing.\Okay, I'll dip Hayama-san's fried bear into the gravy.\A sauce made from deglazed bear fond, with a generous dose\of the juniper berry's fragrance...\There it is!\An offshoot of the chest-baring ability that the Nakiri clan response:	has passed down for generations!
