context: Where... response:	The infirmary.
context: Me?\I see...\How do I put it...\What?\I'm just guessing, but maybe Yuri got over her troubles.\Really, Yuri?\Eh?\Well... that's... response:	Alright, I'll make her talk with my hypno
context: I see...\How do I put it...\What?\I'm just guessing, but maybe Yuri got over her troubles.\Really, Yuri?\Eh?\Well... that's...\Alright, I'll make her talk with my hypno response:	Stop that!!
context: How do I put it...\What?\I'm just guessing, but maybe Yuri got over her troubles.\Really, Yuri?\Eh?\Well... that's...\Alright, I'll make her talk with my hypno\Stop that!! response:	The fact that she got so angry must mean we're right on.
context: What?\I'm just guessing, but maybe Yuri got over her troubles.\Really, Yuri?\Eh?\Well... that's...\Alright, I'll make her talk with my hypno\Stop that!!\The fact that she got so angry must mean we're right on. response:	No, that's not it!
context: I'm just guessing, but maybe Yuri got over her troubles.\Really, Yuri?\Eh?\Well... that's...\Alright, I'll make her talk with my hypno\Stop that!!\The fact that she got so angry must mean we're right on.\No, that's not it! response:	I'm the leader!
context: Really, Yuri?\Eh?\Well... that's...\Alright, I'll make her talk with my hypno\Stop that!!\The fact that she got so angry must mean we're right on.\No, that's not it!\I'm the leader! response:	It'd be a joke if my problems could be solved so easily!
context: Eh?\Well... that's...\Alright, I'll make her talk with my hypno\Stop that!!\The fact that she got so angry must mean we're right on.\No, that's not it!\I'm the leader!\It'd be a joke if my problems could be solved so easily! response:	Then, my hypnotism will
context: Well... that's...\Alright, I'll make her talk with my hypno\Stop that!!\The fact that she got so angry must mean we're right on.\No, that's not it!\I'm the leader!\It'd be a joke if my problems could be solved so easily!\Then, my hypnotism will response:	So I got over them!
context: Alright, I'll make her talk with my hypno\Stop that!!\The fact that she got so angry must mean we're right on.\No, that's not it!\I'm the leader!\It'd be a joke if my problems could be solved so easily!\Then, my hypnotism will\So I got over them! response:	Something wrong with that?!
context: Stop that!!\The fact that she got so angry must mean we're right on.\No, that's not it!\I'm the leader!\It'd be a joke if my problems could be solved so easily!\Then, my hypnotism will\So I got over them!\Something wrong with that?! response:	Ah, she admitted it...
context: The fact that she got so angry must mean we're right on.\No, that's not it!\I'm the leader!\It'd be a joke if my problems could be solved so easily!\Then, my hypnotism will\So I got over them!\Something wrong with that?!\Ah, she admitted it... response:	You're such a bully, Kanade - chan...
context: No, that's not it!\I'm the leader!\It'd be a joke if my problems could be solved so easily!\Then, my hypnotism will\So I got over them!\Something wrong with that?!\Ah, she admitted it...\You're such a bully, Kanade - chan... response:	You're just not honest with yourself.
context: I'm the leader!\It'd be a joke if my problems could be solved so easily!\Then, my hypnotism will\So I got over them!\Something wrong with that?!\Ah, she admitted it...\You're such a bully, Kanade - chan...\You're just not honest with yourself. response:	You can talk...
context: It'd be a joke if my problems could be solved so easily!\Then, my hypnotism will\So I got over them!\Something wrong with that?!\Ah, she admitted it...\You're such a bully, Kanade - chan...\You're just not honest with yourself.\You can talk... response:	But I'm kind of happy.
context: Then, my hypnotism will\So I got over them!\Something wrong with that?!\Ah, she admitted it...\You're such a bully, Kanade - chan...\You're just not honest with yourself.\You can talk...\But I'm kind of happy. response:	What about?
context: So I got over them!\Something wrong with that?!\Ah, she admitted it...\You're such a bully, Kanade - chan...\You're just not honest with yourself.\You can talk...\But I'm kind of happy.\What about? response:	That you called me Yuri.
context: Something wrong with that?!\Ah, she admitted it...\You're such a bully, Kanade - chan...\You're just not honest with yourself.\You can talk...\But I'm kind of happy.\What about?\That you called me Yuri. response:	Why?
context: Ah, she admitted it...\You're such a bully, Kanade - chan...\You're just not honest with yourself.\You can talk...\But I'm kind of happy.\What about?\That you called me Yuri.\Why? response:	Doesn't that make us friends?
context: You're such a bully, Kanade - chan...\You're just not honest with yourself.\You can talk...\But I'm kind of happy.\What about?\That you called me Yuri.\Why?\Doesn't that make us friends? response:	Friends...
context: You're just not honest with yourself.\You can talk...\But I'm kind of happy.\What about?\That you called me Yuri.\Why?\Doesn't that make us friends?\Friends... response:	You're right.
context: You can talk...\But I'm kind of happy.\What about?\That you called me Yuri.\Why?\Doesn't that make us friends?\Friends...\You're right. response:	Then I guess our preparations didn't go to waste!
context: But I'm kind of happy.\What about?\That you called me Yuri.\Why?\Doesn't that make us friends?\Friends...\You're right.\Then I guess our preparations didn't go to waste! response:	Yeah.
context: What about?\That you called me Yuri.\Why?\Doesn't that make us friends?\Friends...\You're right.\Then I guess our preparations didn't go to waste!\Yeah. response:	Preparations?
context: That you called me Yuri.\Why?\Doesn't that make us friends?\Friends...\You're right.\Then I guess our preparations didn't go to waste!\Yeah.\Preparations? response:	Is something happening?
context: Why?\Doesn't that make us friends?\Friends...\You're right.\Then I guess our preparations didn't go to waste!\Yeah.\Preparations?\Is something happening? response:	Kanade said there was something she wanted to do before the end.
context: Doesn't that make us friends?\Friends...\You're right.\Then I guess our preparations didn't go to waste!\Yeah.\Preparations?\Is something happening?\Kanade said there was something she wanted to do before the end. response:	She said she hasn't done it before.
context: Friends...\You're right.\Then I guess our preparations didn't go to waste!\Yeah.\Preparations?\Is something happening?\Kanade said there was something she wanted to do before the end.\She said she hasn't done it before. response:	What?
context: You're right.\Then I guess our preparations didn't go to waste!\Yeah.\Preparations?\Is something happening?\Kanade said there was something she wanted to do before the end.\She said she hasn't done it before.\What? response:	Where's everyone else?
context: Then I guess our preparations didn't go to waste!\Yeah.\Preparations?\Is something happening?\Kanade said there was something she wanted to do before the end.\She said she hasn't done it before.\What?\Where's everyone else? response:	They all left.
context: Yeah.\Preparations?\Is something happening?\Kanade said there was something she wanted to do before the end.\She said she hasn't done it before.\What?\Where's everyone else?\They all left. response:	I see, that's good.
context: Preparations?\Is something happening?\Kanade said there was something she wanted to do before the end.\She said she hasn't done it before.\What?\Where's everyone else?\They all left.\I see, that's good. response:	Thanks to everyone helping out.
context: Is something happening?\Kanade said there was something she wanted to do before the end.\She said she hasn't done it before.\What?\Where's everyone else?\They all left.\I see, that's good.\Thanks to everyone helping out. response:	We definitely had a tough time though.
context: Kanade said there was something she wanted to do before the end.\She said she hasn't done it before.\What?\Where's everyone else?\They all left.\I see, that's good.\Thanks to everyone helping out.\We definitely had a tough time though. response:	It was but light work for God.
context: She said she hasn't done it before.\What?\Where's everyone else?\They all left.\I see, that's good.\Thanks to everyone helping out.\We definitely had a tough time though.\It was but light work for God. response:	But I've realized that at the end of the day, everyone had fun living here.
context: What?\Where's everyone else?\They all left.\I see, that's good.\Thanks to everyone helping out.\We definitely had a tough time though.\It was but light work for God.\But I've realized that at the end of the day, everyone had fun living here. response:	I think that's thanks to you, Yurippe.
context: Where's everyone else?\They all left.\I see, that's good.\Thanks to everyone helping out.\We definitely had a tough time though.\It was but light work for God.\But I've realized that at the end of the day, everyone had fun living here.\I think that's thanks to you, Yurippe. response:	Really?
context: They all left.\I see, that's good.\Thanks to everyone helping out.\We definitely had a tough time though.\It was but light work for God.\But I've realized that at the end of the day, everyone had fun living here.\I think that's thanks to you, Yurippe.\Really? response:	Oh, and Takamatsu managed to leave too!
context: I see, that's good.\Thanks to everyone helping out.\We definitely had a tough time though.\It was but light work for God.\But I've realized that at the end of the day, everyone had fun living here.\I think that's thanks to you, Yurippe.\Really?\Oh, and Takamatsu managed to leave too! response:	He somehow regained his senses even after becoming an NPC.
context: Thanks to everyone helping out.\We definitely had a tough time though.\It was but light work for God.\But I've realized that at the end of the day, everyone had fun living here.\I think that's thanks to you, Yurippe.\Really?\Oh, and Takamatsu managed to leave too!\He somehow regained his senses even after becoming an NPC. response:	Oh, really?
context: We definitely had a tough time though.\It was but light work for God.\But I've realized that at the end of the day, everyone had fun living here.\I think that's thanks to you, Yurippe.\Really?\Oh, and Takamatsu managed to leave too!\He somehow regained his senses even after becoming an NPC.\Oh, really? response:	You don't seem surprised.
context: It was but light work for God.\But I've realized that at the end of the day, everyone had fun living here.\I think that's thanks to you, Yurippe.\Really?\Oh, and Takamatsu managed to leave too!\He somehow regained his senses even after becoming an NPC.\Oh, really?\You don't seem surprised. response:	Didn't you say there was no way to return once you became an NPC?
context: But I've realized that at the end of the day, everyone had fun living here.\I think that's thanks to you, Yurippe.\Really?\Oh, and Takamatsu managed to leave too!\He somehow regained his senses even after becoming an NPC.\Oh, really?\You don't seem surprised.\Didn't you say there was no way to return once you became an NPC? response:	It would seem that it was set up so that strong enough feelings could bring you back.
context: I think that's thanks to you, Yurippe.\Really?\Oh, and Takamatsu managed to leave too!\He somehow regained his senses even after becoming an NPC.\Oh, really?\You don't seem surprised.\Didn't you say there was no way to return once you became an NPC?\It would seem that it was set up so that strong enough feelings could bring you back. response:	What's that song again?
context: Really?\Oh, and Takamatsu managed to leave too!\He somehow regained his senses even after becoming an NPC.\Oh, really?\You don't seem surprised.\Didn't you say there was no way to return once you became an NPC?\It would seem that it was set up so that strong enough feelings could bring you back.\What's that song again? response:	You were humming it earlier when we were working too.
context: Oh, and Takamatsu managed to leave too!\He somehow regained his senses even after becoming an NPC.\Oh, really?\You don't seem surprised.\Didn't you say there was no way to return once you became an NPC?\It would seem that it was set up so that strong enough feelings could bring you back.\What's that song again?\You were humming it earlier when we were working too. response:	What was it...
context: He somehow regained his senses even after becoming an NPC.\Oh, really?\You don't seem surprised.\Didn't you say there was no way to return once you became an NPC?\It would seem that it was set up so that strong enough feelings could bring you back.\What's that song again?\You were humming it earlier when we were working too.\What was it... response:	You know, it's that one...
context: Oh, really?\You don't seem surprised.\Didn't you say there was no way to return once you became an NPC?\It would seem that it was set up so that strong enough feelings could bring you back.\What's that song again?\You were humming it earlier when we were working too.\What was it...\You know, it's that one... response:	The last song Iwasawa sang.
context: You don't seem surprised.\Didn't you say there was no way to return once you became an NPC?\It would seem that it was set up so that strong enough feelings could bring you back.\What's that song again?\You were humming it earlier when we were working too.\What was it...\You know, it's that one...\The last song Iwasawa sang. response:	My Song.
context: Didn't you say there was no way to return once you became an NPC?\It would seem that it was set up so that strong enough feelings could bring you back.\What's that song again?\You were humming it earlier when we were working too.\What was it...\You know, it's that one...\The last song Iwasawa sang.\My Song. response:	Oh yeah, that one.
context: It would seem that it was set up so that strong enough feelings could bring you back.\What's that song again?\You were humming it earlier when we were working too.\What was it...\You know, it's that one...\The last song Iwasawa sang.\My Song.\Oh yeah, that one. response:	The one that was broadcast over the entire school?
context: What's that song again?\You were humming it earlier when we were working too.\What was it...\You know, it's that one...\The last song Iwasawa sang.\My Song.\Oh yeah, that one.\The one that was broadcast over the entire school? response:	Honestly...
context: You were humming it earlier when we were working too.\What was it...\You know, it's that one...\The last song Iwasawa sang.\My Song.\Oh yeah, that one.\The one that was broadcast over the entire school?\Honestly... response:	It's a good song, isn't it?
context: What was it...\You know, it's that one...\The last song Iwasawa sang.\My Song.\Oh yeah, that one.\The one that was broadcast over the entire school?\Honestly...\It's a good song, isn't it? response:	Yeah!
context: You know, it's that one...\The last song Iwasawa sang.\My Song.\Oh yeah, that one.\The one that was broadcast over the entire school?\Honestly...\It's a good song, isn't it?\Yeah! response:	The gymnasium?
context: The last song Iwasawa sang.\My Song.\Oh yeah, that one.\The one that was broadcast over the entire school?\Honestly...\It's a good song, isn't it?\Yeah!\The gymnasium? response:	Yeah.
context: My Song.\Oh yeah, that one.\The one that was broadcast over the entire school?\Honestly...\It's a good song, isn't it?\Yeah!\The gymnasium?\Yeah. response:	We made it together, and the letters were written by Kanade.
context: Oh yeah, that one.\The one that was broadcast over the entire school?\Honestly...\It's a good song, isn't it?\Yeah!\The gymnasium?\Yeah.\We made it together, and the letters were written by Kanade. response:	I see...
context: The one that was broadcast over the entire school?\Honestly...\It's a good song, isn't it?\Yeah!\The gymnasium?\Yeah.\We made it together, and the letters were written by Kanade.\I see... response:	So Kanade - chan hasn't graduated before?
context: Honestly...\It's a good song, isn't it?\Yeah!\The gymnasium?\Yeah.\We made it together, and the letters were written by Kanade.\I see...\So Kanade - chan hasn't graduated before? response:	I was thinking it might be interesting.
context: It's a good song, isn't it?\Yeah!\The gymnasium?\Yeah.\We made it together, and the letters were written by Kanade.\I see...\So Kanade - chan hasn't graduated before?\I was thinking it might be interesting. response:	It's totally not.
context: Yeah!\The gymnasium?\Yeah.\We made it together, and the letters were written by Kanade.\I see...\So Kanade - chan hasn't graduated before?\I was thinking it might be interesting.\It's totally not. response:	You looked like you enjoyed writing the banner though.
context: The gymnasium?\Yeah.\We made it together, and the letters were written by Kanade.\I see...\So Kanade - chan hasn't graduated before?\I was thinking it might be interesting.\It's totally not.\You looked like you enjoyed writing the banner though. response:	Most of the girls cry.
context: Yeah.\We made it together, and the letters were written by Kanade.\I see...\So Kanade - chan hasn't graduated before?\I was thinking it might be interesting.\It's totally not.\You looked like you enjoyed writing the banner though.\Most of the girls cry. response:	This is why girls are just so...
context: We made it together, and the letters were written by Kanade.\I see...\So Kanade - chan hasn't graduated before?\I was thinking it might be interesting.\It's totally not.\You looked like you enjoyed writing the banner though.\Most of the girls cry.\This is why girls are just so... response:	How about we start then?
context: I see...\So Kanade - chan hasn't graduated before?\I was thinking it might be interesting.\It's totally not.\You looked like you enjoyed writing the banner though.\Most of the girls cry.\This is why girls are just so...\How about we start then? response:	Right now?
context: So Kanade - chan hasn't graduated before?\I was thinking it might be interesting.\It's totally not.\You looked like you enjoyed writing the banner though.\Most of the girls cry.\This is why girls are just so...\How about we start then?\Right now? response:	Why else did you change into uniform?
context: I was thinking it might be interesting.\It's totally not.\You looked like you enjoyed writing the banner though.\Most of the girls cry.\This is why girls are just so...\How about we start then?\Right now?\Why else did you change into uniform? response:	Well, I thought maybe I'll really vanish, and...
context: It's totally not.\You looked like you enjoyed writing the banner though.\Most of the girls cry.\This is why girls are just so...\How about we start then?\Right now?\Why else did you change into uniform?\Well, I thought maybe I'll really vanish, and... response:	I'm not sure I'm prepared...
context: You looked like you enjoyed writing the banner though.\Most of the girls cry.\This is why girls are just so...\How about we start then?\Right now?\Why else did you change into uniform?\Well, I thought maybe I'll really vanish, and...\I'm not sure I'm prepared... response:	What, and you called yourself a leader?
context: Most of the girls cry.\This is why girls are just so...\How about we start then?\Right now?\Why else did you change into uniform?\Well, I thought maybe I'll really vanish, and...\I'm not sure I'm prepared...\What, and you called yourself a leader? response:	What's your problem?!
context: This is why girls are just so...\How about we start then?\Right now?\Why else did you change into uniform?\Well, I thought maybe I'll really vanish, and...\I'm not sure I'm prepared...\What, and you called yourself a leader?\What's your problem?! response:	You actually seem to be a lot less leader - like after everyone vanished.
context: How about we start then?\Right now?\Why else did you change into uniform?\Well, I thought maybe I'll really vanish, and...\I'm not sure I'm prepared...\What, and you called yourself a leader?\What's your problem?!\You actually seem to be a lot less leader - like after everyone vanished. response:	R - Really?
context: Right now?\Why else did you change into uniform?\Well, I thought maybe I'll really vanish, and...\I'm not sure I'm prepared...\What, and you called yourself a leader?\What's your problem?!\You actually seem to be a lot less leader - like after everyone vanished.\R - Really? response:	There's definitely something different about her...
context: Why else did you change into uniform?\Well, I thought maybe I'll really vanish, and...\I'm not sure I'm prepared...\What, and you called yourself a leader?\What's your problem?!\You actually seem to be a lot less leader - like after everyone vanished.\R - Really?\There's definitely something different about her... response:	How?
context: Well, I thought maybe I'll really vanish, and...\I'm not sure I'm prepared...\What, and you called yourself a leader?\What's your problem?!\You actually seem to be a lot less leader - like after everyone vanished.\R - Really?\There's definitely something different about her...\How? response:	I wonder...
context: I'm not sure I'm prepared...\What, and you called yourself a leader?\What's your problem?!\You actually seem to be a lot less leader - like after everyone vanished.\R - Really?\There's definitely something different about her...\How?\I wonder... response:	Kind of more girl - like?
context: What, and you called yourself a leader?\What's your problem?!\You actually seem to be a lot less leader - like after everyone vanished.\R - Really?\There's definitely something different about her...\How?\I wonder...\Kind of more girl - like? response:	Should I be happy about that?
context: What's your problem?!\You actually seem to be a lot less leader - like after everyone vanished.\R - Really?\There's definitely something different about her...\How?\I wonder...\Kind of more girl - like?\Should I be happy about that? response:	Or angry?
context: You actually seem to be a lot less leader - like after everyone vanished.\R - Really?\There's definitely something different about her...\How?\I wonder...\Kind of more girl - like?\Should I be happy about that?\Or angry? response:	After the fighting finished, you really became quite the innocent little girl.
context: R - Really?\There's definitely something different about her...\How?\I wonder...\Kind of more girl - like?\Should I be happy about that?\Or angry?\After the fighting finished, you really became quite the innocent little girl. response:	You have quite a cute side, Yurippe!
context: There's definitely something different about her...\How?\I wonder...\Kind of more girl - like?\Should I be happy about that?\Or angry?\After the fighting finished, you really became quite the innocent little girl.\You have quite a cute side, Yurippe! response:	Yuri's quite funny, isn't she?
context: How?\I wonder...\Kind of more girl - like?\Should I be happy about that?\Or angry?\After the fighting finished, you really became quite the innocent little girl.\You have quite a cute side, Yurippe!\Yuri's quite funny, isn't she? response:	Alright, let's start!
context: I wonder...\Kind of more girl - like?\Should I be happy about that?\Or angry?\After the fighting finished, you really became quite the innocent little girl.\You have quite a cute side, Yurippe!\Yuri's quite funny, isn't she?\Alright, let's start! response:	We hereby begin!
context: Kind of more girl - like?\Should I be happy about that?\Or angry?\After the fighting finished, you really became quite the innocent little girl.\You have quite a cute side, Yurippe!\Yuri's quite funny, isn't she?\Alright, let's start!\We hereby begin! response:	The Graduation Ceremony for those who fought in the Afterlife Battlefront will be held now!
context: Should I be happy about that?\Or angry?\After the fighting finished, you really became quite the innocent little girl.\You have quite a cute side, Yurippe!\Yuri's quite funny, isn't she?\Alright, let's start!\We hereby begin!\The Graduation Ceremony for those who fought in the Afterlife Battlefront will be held now! response:	We'll start with the chorus of our battle anthem.
context: Or angry?\After the fighting finished, you really became quite the innocent little girl.\You have quite a cute side, Yurippe!\Yuri's quite funny, isn't she?\Alright, let's start!\We hereby begin!\The Graduation Ceremony for those who fought in the Afterlife Battlefront will be held now!\We'll start with the chorus of our battle anthem. response:	Battle anthem? What's that?
context: After the fighting finished, you really became quite the innocent little girl.\You have quite a cute side, Yurippe!\Yuri's quite funny, isn't she?\Alright, let's start!\We hereby begin!\The Graduation Ceremony for those who fought in the Afterlife Battlefront will be held now!\We'll start with the chorus of our battle anthem.\Battle anthem? What's that? response:	The Afterlife Battlefront's anthem.
context: You have quite a cute side, Yurippe!\Yuri's quite funny, isn't she?\Alright, let's start!\We hereby begin!\The Graduation Ceremony for those who fought in the Afterlife Battlefront will be held now!\We'll start with the chorus of our battle anthem.\Battle anthem? What's that?\The Afterlife Battlefront's anthem. response:	It's like a replacement for a school anthem.
context: Yuri's quite funny, isn't she?\Alright, let's start!\We hereby begin!\The Graduation Ceremony for those who fought in the Afterlife Battlefront will be held now!\We'll start with the chorus of our battle anthem.\Battle anthem? What's that?\The Afterlife Battlefront's anthem.\It's like a replacement for a school anthem. response:	I don't remember having anyone compose something like that!
context: Alright, let's start!\We hereby begin!\The Graduation Ceremony for those who fought in the Afterlife Battlefront will be held now!\We'll start with the chorus of our battle anthem.\Battle anthem? What's that?\The Afterlife Battlefront's anthem.\It's like a replacement for a school anthem.\I don't remember having anyone compose something like that! response:	This is also Kanade's work.
context: We hereby begin!\The Graduation Ceremony for those who fought in the Afterlife Battlefront will be held now!\We'll start with the chorus of our battle anthem.\Battle anthem? What's that?\The Afterlife Battlefront's anthem.\It's like a replacement for a school anthem.\I don't remember having anyone compose something like that!\This is also Kanade's work. response:	You made it?
context: The Graduation Ceremony for those who fought in the Afterlife Battlefront will be held now!\We'll start with the chorus of our battle anthem.\Battle anthem? What's that?\The Afterlife Battlefront's anthem.\It's like a replacement for a school anthem.\I don't remember having anyone compose something like that!\This is also Kanade's work.\You made it? response:	Wait, you aren't even a Battlefront member to start with!
context: We'll start with the chorus of our battle anthem.\Battle anthem? What's that?\The Afterlife Battlefront's anthem.\It's like a replacement for a school anthem.\I don't remember having anyone compose something like that!\This is also Kanade's work.\You made it?\Wait, you aren't even a Battlefront member to start with! response:	It's fine!
context: Battle anthem? What's that?\The Afterlife Battlefront's anthem.\It's like a replacement for a school anthem.\I don't remember having anyone compose something like that!\This is also Kanade's work.\You made it?\Wait, you aren't even a Battlefront member to start with!\It's fine! response:	Here are the lyrics.
context: The Afterlife Battlefront's anthem.\It's like a replacement for a school anthem.\I don't remember having anyone compose something like that!\This is also Kanade's work.\You made it?\Wait, you aren't even a Battlefront member to start with!\It's fine!\Here are the lyrics. response:	What about the melody?
context: It's like a replacement for a school anthem.\I don't remember having anyone compose something like that!\This is also Kanade's work.\You made it?\Wait, you aren't even a Battlefront member to start with!\It's fine!\Here are the lyrics.\What about the melody? response:	All school anthems sound pretty much the same.
context: I don't remember having anyone compose something like that!\This is also Kanade's work.\You made it?\Wait, you aren't even a Battlefront member to start with!\It's fine!\Here are the lyrics.\What about the melody?\All school anthems sound pretty much the same. response:	It'll be fine if we just sing whatever.
context: This is also Kanade's work.\You made it?\Wait, you aren't even a Battlefront member to start with!\It's fine!\Here are the lyrics.\What about the melody?\All school anthems sound pretty much the same.\It'll be fine if we just sing whatever. response:	Alright...
context: You made it?\Wait, you aren't even a Battlefront member to start with!\It's fine!\Here are the lyrics.\What about the melody?\All school anthems sound pretty much the same.\It'll be fine if we just sing whatever.\Alright... response:	One, two!
context: Wait, you aren't even a Battlefront member to start with!\It's fine!\Here are the lyrics.\What about the melody?\All school anthems sound pretty much the same.\It'll be fine if we just sing whatever.\Alright...\One, two! response:	From the dead world in the sky
context: It's fine!\Here are the lyrics.\What about the melody?\All school anthems sound pretty much the same.\It'll be fine if we just sing whatever.\Alright...\One, two!\From the dead world in the sky response:	We bring you a familiar number
context: Here are the lyrics.\What about the melody?\All school anthems sound pretty much the same.\It'll be fine if we just sing whatever.\Alright...\One, two!\From the dead world in the sky\We bring you a familiar number response:	Eat some before you die
context: What about the melody?\All school anthems sound pretty much the same.\It'll be fine if we just sing whatever.\Alright...\One, two!\From the dead world in the sky\We bring you a familiar number\Eat some before you die response:	Mapo tofu!
context: All school anthems sound pretty much the same.\It'll be fine if we just sing whatever.\Alright...\One, two!\From the dead world in the sky\We bring you a familiar number\Eat some before you die\Mapo tofu! response:	Oh, mapo tofu!
context: It'll be fine if we just sing whatever.\Alright...\One, two!\From the dead world in the sky\We bring you a familiar number\Eat some before you die\Mapo tofu!\Oh, mapo tofu! response:	Mapo tofu!
context: Alright...\One, two!\From the dead world in the sky\We bring you a familiar number\Eat some before you die\Mapo tofu!\Oh, mapo tofu!\Mapo tofu! response:	What the hell is this song?!
context: One, two!\From the dead world in the sky\We bring you a familiar number\Eat some before you die\Mapo tofu!\Oh, mapo tofu!\Mapo tofu!\What the hell is this song?! response:	Someone should have checked it!
context: From the dead world in the sky\We bring you a familiar number\Eat some before you die\Mapo tofu!\Oh, mapo tofu!\Mapo tofu!\What the hell is this song?!\Someone should have checked it! response:	I actually sang this!!
context: We bring you a familiar number\Eat some before you die\Mapo tofu!\Oh, mapo tofu!\Mapo tofu!\What the hell is this song?!\Someone should have checked it!\I actually sang this!! response:	Well, Kanade did her best to write it seriously.
context: Eat some before you die\Mapo tofu!\Oh, mapo tofu!\Mapo tofu!\What the hell is this song?!\Someone should have checked it!\I actually sang this!!\Well, Kanade did her best to write it seriously. response:	We shouldn't complain.
context: Mapo tofu!\Oh, mapo tofu!\Mapo tofu!\What the hell is this song?!\Someone should have checked it!\I actually sang this!!\Well, Kanade did her best to write it seriously.\We shouldn't complain. response:	Right?
context: Oh, mapo tofu!\Mapo tofu!\What the hell is this song?!\Someone should have checked it!\I actually sang this!!\Well, Kanade did her best to write it seriously.\We shouldn't complain.\Right? response:	Seriously? She put a familiar number right here...
context: Mapo tofu!\What the hell is this song?!\Someone should have checked it!\I actually sang this!!\Well, Kanade did her best to write it seriously.\We shouldn't complain.\Right?\Seriously? She put a familiar number right here... response:	But, how should I put it...
context: What the hell is this song?!\Someone should have checked it!\I actually sang this!!\Well, Kanade did her best to write it seriously.\We shouldn't complain.\Right?\Seriously? She put a familiar number right here...\But, how should I put it... response:	I get the feeling Kanade put a lot of effort into it.
context: Someone should have checked it!\I actually sang this!!\Well, Kanade did her best to write it seriously.\We shouldn't complain.\Right?\Seriously? She put a familiar number right here...\But, how should I put it...\I get the feeling Kanade put a lot of effort into it. response:	What part?
context: I actually sang this!!\Well, Kanade did her best to write it seriously.\We shouldn't complain.\Right?\Seriously? She put a familiar number right here...\But, how should I put it...\I get the feeling Kanade put a lot of effort into it.\What part? response:	From the start till the end.
