context: Anime is being targeted now. response:	The shadow of evil is closing in
context: Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Protect the Children's Dreams! Friendship Linked By Anime\Sailor V!\Sailor V\Sailor V A great theatrical anime masterpiece!\Sailor V Sailor V!\Big opening coming soon! response:	Sailor V is so lucky. She's getting turned into an anime.
context: But anyway, I just have to do my best!\Protect the Children's Dreams! Friendship Linked By Anime\Sailor V!\Sailor V\Sailor V A great theatrical anime masterpiece!\Sailor V Sailor V!\Big opening coming soon!\Sailor V is so lucky. She's getting turned into an anime. response:	I wish someone would make an anime about me.
context: Protect the Children's Dreams! Friendship Linked By Anime\Sailor V!\Sailor V\Sailor V A great theatrical anime masterpiece!\Sailor V Sailor V!\Big opening coming soon!\Sailor V is so lucky. She's getting turned into an anime.\I wish someone would make an anime about me. response:	If there's someone willing to make such a silly anime,
context: Sailor V!\Sailor V\Sailor V A great theatrical anime masterpiece!\Sailor V Sailor V!\Big opening coming soon!\Sailor V is so lucky. She's getting turned into an anime.\I wish someone would make an anime about me.\If there's someone willing to make such a silly anime, response:	I'd have to see it to believe it.
context: Sailor V\Sailor V A great theatrical anime masterpiece!\Sailor V Sailor V!\Big opening coming soon!\Sailor V is so lucky. She's getting turned into an anime.\I wish someone would make an anime about me.\If there's someone willing to make such a silly anime,\I'd have to see it to believe it. response:	I'm so depressed.
context: Sailor V A great theatrical anime masterpiece!\Sailor V Sailor V!\Big opening coming soon!\Sailor V is so lucky. She's getting turned into an anime.\I wish someone would make an anime about me.\If there's someone willing to make such a silly anime,\I'd have to see it to believe it.\I'm so depressed. response:	Did you understand what Director Asatou said?
context: Sailor V Sailor V!\Big opening coming soon!\Sailor V is so lucky. She's getting turned into an anime.\I wish someone would make an anime about me.\If there's someone willing to make such a silly anime,\I'd have to see it to believe it.\I'm so depressed.\Did you understand what Director Asatou said? response:	Not at word! Because he talks in such abstract terms!
context: Big opening coming soon!\Sailor V is so lucky. She's getting turned into an anime.\I wish someone would make an anime about me.\If there's someone willing to make such a silly anime,\I'd have to see it to believe it.\I'm so depressed.\Did you understand what Director Asatou said?\Not at word! Because he talks in such abstract terms! response:	It's a little different from what I had in my mind.
context: Sailor V is so lucky. She's getting turned into an anime.\I wish someone would make an anime about me.\If there's someone willing to make such a silly anime,\I'd have to see it to believe it.\I'm so depressed.\Did you understand what Director Asatou said?\Not at word! Because he talks in such abstract terms!\It's a little different from what I had in my mind. response:	How is it different?
context: I wish someone would make an anime about me.\If there's someone willing to make such a silly anime,\I'd have to see it to believe it.\I'm so depressed.\Did you understand what Director Asatou said?\Not at word! Because he talks in such abstract terms!\It's a little different from what I had in my mind.\How is it different? response:	Well, I don't really know how to say it, but...
context: If there's someone willing to make such a silly anime,\I'd have to see it to believe it.\I'm so depressed.\Did you understand what Director Asatou said?\Not at word! Because he talks in such abstract terms!\It's a little different from what I had in my mind.\How is it different?\Well, I don't really know how to say it, but... response:	For example, this posture of Sailor V's...
context: I'd have to see it to believe it.\I'm so depressed.\Did you understand what Director Asatou said?\Not at word! Because he talks in such abstract terms!\It's a little different from what I had in my mind.\How is it different?\Well, I don't really know how to say it, but...\For example, this posture of Sailor V's... response:	I just don't feel the love.
context: I'm so depressed.\Did you understand what Director Asatou said?\Not at word! Because he talks in such abstract terms!\It's a little different from what I had in my mind.\How is it different?\Well, I don't really know how to say it, but...\For example, this posture of Sailor V's...\I just don't feel the love. response:	And the line of this leg is lacking a certain passion.
context: Did you understand what Director Asatou said?\Not at word! Because he talks in such abstract terms!\It's a little different from what I had in my mind.\How is it different?\Well, I don't really know how to say it, but...\For example, this posture of Sailor V's...\I just don't feel the love.\And the line of this leg is lacking a certain passion. response:	Are you basically saying we should make her look more sexy?
context: Not at word! Because he talks in such abstract terms!\It's a little different from what I had in my mind.\How is it different?\Well, I don't really know how to say it, but...\For example, this posture of Sailor V's...\I just don't feel the love.\And the line of this leg is lacking a certain passion.\Are you basically saying we should make her look more sexy? response:	Don't be ridiculous! I'm a father!
context: It's a little different from what I had in my mind.\How is it different?\Well, I don't really know how to say it, but...\For example, this posture of Sailor V's...\I just don't feel the love.\And the line of this leg is lacking a certain passion.\Are you basically saying we should make her look more sexy?\Don't be ridiculous! I'm a father! response:	I would never say such an indecent thing!
context: How is it different?\Well, I don't really know how to say it, but...\For example, this posture of Sailor V's...\I just don't feel the love.\And the line of this leg is lacking a certain passion.\Are you basically saying we should make her look more sexy?\Don't be ridiculous! I'm a father!\I would never say such an indecent thing! response:	I just have no talent.
context: Well, I don't really know how to say it, but...\For example, this posture of Sailor V's...\I just don't feel the love.\And the line of this leg is lacking a certain passion.\Are you basically saying we should make her look more sexy?\Don't be ridiculous! I'm a father!\I would never say such an indecent thing!\I just have no talent. response:	Maybe I should quit the anime industry.
context: For example, this posture of Sailor V's...\I just don't feel the love.\And the line of this leg is lacking a certain passion.\Are you basically saying we should make her look more sexy?\Don't be ridiculous! I'm a father!\I would never say such an indecent thing!\I just have no talent.\Maybe I should quit the anime industry. response:	What are you saying, Hiromi?!
context: I just don't feel the love.\And the line of this leg is lacking a certain passion.\Are you basically saying we should make her look more sexy?\Don't be ridiculous! I'm a father!\I would never say such an indecent thing!\I just have no talent.\Maybe I should quit the anime industry.\What are you saying, Hiromi?! response:	I was only kidding! I won't give up so easily!
context: And the line of this leg is lacking a certain passion.\Are you basically saying we should make her look more sexy?\Don't be ridiculous! I'm a father!\I would never say such an indecent thing!\I just have no talent.\Maybe I should quit the anime industry.\What are you saying, Hiromi?!\I was only kidding! I won't give up so easily! response:	Good! That's the Hiromi I know!
context: Are you basically saying we should make her look more sexy?\Don't be ridiculous! I'm a father!\I would never say such an indecent thing!\I just have no talent.\Maybe I should quit the anime industry.\What are you saying, Hiromi?!\I was only kidding! I won't give up so easily!\Good! That's the Hiromi I know! response:	All right, let's sprint to the studio!
context: Don't be ridiculous! I'm a father!\I would never say such an indecent thing!\I just have no talent.\Maybe I should quit the anime industry.\What are you saying, Hiromi?!\I was only kidding! I won't give up so easily!\Good! That's the Hiromi I know!\All right, let's sprint to the studio! response:	Hey! Oh, wait. Wait!
context: I would never say such an indecent thing!\I just have no talent.\Maybe I should quit the anime industry.\What are you saying, Hiromi?!\I was only kidding! I won't give up so easily!\Good! That's the Hiromi I know!\All right, let's sprint to the studio!\Hey! Oh, wait. Wait! response:	Oh, wait. Wait!
context: I just have no talent.\Maybe I should quit the anime industry.\What are you saying, Hiromi?!\I was only kidding! I won't give up so easily!\Good! That's the Hiromi I know!\All right, let's sprint to the studio!\Hey! Oh, wait. Wait!\Oh, wait. Wait! response:	Juban Bookstore Oh, wait. Wait!
context: Maybe I should quit the anime industry.\What are you saying, Hiromi?!\I was only kidding! I won't give up so easily!\Good! That's the Hiromi I know!\All right, let's sprint to the studio!\Hey! Oh, wait. Wait!\Oh, wait. Wait!\Juban Bookstore Oh, wait. Wait! response:	Kazuko!
context: What are you saying, Hiromi?!\I was only kidding! I won't give up so easily!\Good! That's the Hiromi I know!\All right, let's sprint to the studio!\Hey! Oh, wait. Wait!\Oh, wait. Wait!\Juban Bookstore Oh, wait. Wait!\Kazuko! response:	Excuse me!
context: I was only kidding! I won't give up so easily!\Good! That's the Hiromi I know!\All right, let's sprint to the studio!\Hey! Oh, wait. Wait!\Oh, wait. Wait!\Juban Bookstore Oh, wait. Wait!\Kazuko!\Excuse me! response:	What shall I do now?
context: Good! That's the Hiromi I know!\All right, let's sprint to the studio!\Hey! Oh, wait. Wait!\Oh, wait. Wait!\Juban Bookstore Oh, wait. Wait!\Kazuko!\Excuse me!\What shall I do now? response:	Studio Dive 170 X-XO Asabu Juban, OX Ward, Tokyo
context: All right, let's sprint to the studio!\Hey! Oh, wait. Wait!\Oh, wait. Wait!\Juban Bookstore Oh, wait. Wait!\Kazuko!\Excuse me!\What shall I do now?\Studio Dive 170 X-XO Asabu Juban, OX Ward, Tokyo response:	Studio Dive 170 X-XO Asabu Juban, OX Ward, Tokyo Studio Dive? Oh, it has the address.
context: Hey! Oh, wait. Wait!\Oh, wait. Wait!\Juban Bookstore Oh, wait. Wait!\Kazuko!\Excuse me!\What shall I do now?\Studio Dive 170 X-XO Asabu Juban, OX Ward, Tokyo\Studio Dive 170 X-XO Asabu Juban, OX Ward, Tokyo Studio Dive? Oh, it has the address. response:	Studio Dive? Oh, it has the address.
context: Oh, wait. Wait!\Juban Bookstore Oh, wait. Wait!\Kazuko!\Excuse me!\What shall I do now?\Studio Dive 170 X-XO Asabu Juban, OX Ward, Tokyo\Studio Dive 170 X-XO Asabu Juban, OX Ward, Tokyo Studio Dive? Oh, it has the address.\Studio Dive? Oh, it has the address. response:	What shall I do? I have to go to cram school now.
context: Juban Bookstore Oh, wait. Wait!\Kazuko!\Excuse me!\What shall I do now?\Studio Dive 170 X-XO Asabu Juban, OX Ward, Tokyo\Studio Dive 170 X-XO Asabu Juban, OX Ward, Tokyo Studio Dive? Oh, it has the address.\Studio Dive? Oh, it has the address.\What shall I do? I have to go to cram school now. response:	I guess I'll return this later.
context: Kazuko!\Excuse me!\What shall I do now?\Studio Dive 170 X-XO Asabu Juban, OX Ward, Tokyo\Studio Dive 170 X-XO Asabu Juban, OX Ward, Tokyo Studio Dive? Oh, it has the address.\Studio Dive? Oh, it has the address.\What shall I do? I have to go to cram school now.\I guess I'll return this later. response:	The stars know everything.
context: Excuse me!\What shall I do now?\Studio Dive 170 X-XO Asabu Juban, OX Ward, Tokyo\Studio Dive 170 X-XO Asabu Juban, OX Ward, Tokyo Studio Dive? Oh, it has the address.\Studio Dive? Oh, it has the address.\What shall I do? I have to go to cram school now.\I guess I'll return this later.\The stars know everything. response:	Tying a dream together in light and shadow,
context: What shall I do now?\Studio Dive 170 X-XO Asabu Juban, OX Ward, Tokyo\Studio Dive 170 X-XO Asabu Juban, OX Ward, Tokyo Studio Dive? Oh, it has the address.\Studio Dive? Oh, it has the address.\What shall I do? I have to go to cram school now.\I guess I'll return this later.\The stars know everything.\Tying a dream together in light and shadow, response:	time is spun and remains in the eye.
context: Studio Dive 170 X-XO Asabu Juban, OX Ward, Tokyo\Studio Dive 170 X-XO Asabu Juban, OX Ward, Tokyo Studio Dive? Oh, it has the address.\Studio Dive? Oh, it has the address.\What shall I do? I have to go to cram school now.\I guess I'll return this later.\The stars know everything.\Tying a dream together in light and shadow,\time is spun and remains in the eye. response:	The next provider of energy that the Twins,
context: Studio Dive 170 X-XO Asabu Juban, OX Ward, Tokyo Studio Dive? Oh, it has the address.\Studio Dive? Oh, it has the address.\What shall I do? I have to go to cram school now.\I guess I'll return this later.\The stars know everything.\Tying a dream together in light and shadow,\time is spun and remains in the eye.\The next provider of energy that the Twins, response:	the constellation of Gemini, points to is her.
context: Studio Dive? Oh, it has the address.\What shall I do? I have to go to cram school now.\I guess I'll return this later.\The stars know everything.\Tying a dream together in light and shadow,\time is spun and remains in the eye.\The next provider of energy that the Twins,\the constellation of Gemini, points to is her. response:	Castor and Pollux.
context: What shall I do? I have to go to cram school now.\I guess I'll return this later.\The stars know everything.\Tying a dream together in light and shadow,\time is spun and remains in the eye.\The next provider of energy that the Twins,\the constellation of Gemini, points to is her.\Castor and Pollux. response:	It seems the time has come for me to use my strongest monsters.
context: I guess I'll return this later.\The stars know everything.\Tying a dream together in light and shadow,\time is spun and remains in the eye.\The next provider of energy that the Twins,\the constellation of Gemini, points to is her.\Castor and Pollux.\It seems the time has come for me to use my strongest monsters. response:	Seven Mart
context: The stars know everything.\Tying a dream together in light and shadow,\time is spun and remains in the eye.\The next provider of energy that the Twins,\the constellation of Gemini, points to is her.\Castor and Pollux.\It seems the time has come for me to use my strongest monsters.\Seven Mart response:	Let's see, for Hiromi... Oh, right! She likes fried noodles.
context: Tying a dream together in light and shadow,\time is spun and remains in the eye.\The next provider of energy that the Twins,\the constellation of Gemini, points to is her.\Castor and Pollux.\It seems the time has come for me to use my strongest monsters.\Seven Mart\Let's see, for Hiromi... Oh, right! She likes fried noodles. response:	It should be around here...
context: time is spun and remains in the eye.\The next provider of energy that the Twins,\the constellation of Gemini, points to is her.\Castor and Pollux.\It seems the time has come for me to use my strongest monsters.\Seven Mart\Let's see, for Hiromi... Oh, right! She likes fried noodles.\It should be around here... response:	Masato Sanjoin... That was Nephrite!
context: The next provider of energy that the Twins,\the constellation of Gemini, points to is her.\Castor and Pollux.\It seems the time has come for me to use my strongest monsters.\Seven Mart\Let's see, for Hiromi... Oh, right! She likes fried noodles.\It should be around here...\Masato Sanjoin... That was Nephrite! response:	It's no good.
context: the constellation of Gemini, points to is her.\Castor and Pollux.\It seems the time has come for me to use my strongest monsters.\Seven Mart\Let's see, for Hiromi... Oh, right! She likes fried noodles.\It should be around here...\Masato Sanjoin... That was Nephrite!\It's no good. response:	I can't depict Sailor V's love and passion at all!
context: Castor and Pollux.\It seems the time has come for me to use my strongest monsters.\Seven Mart\Let's see, for Hiromi... Oh, right! She likes fried noodles.\It should be around here...\Masato Sanjoin... That was Nephrite!\It's no good.\I can't depict Sailor V's love and passion at all! response:	Oh, darn it!
context: It seems the time has come for me to use my strongest monsters.\Seven Mart\Let's see, for Hiromi... Oh, right! She likes fried noodles.\It should be around here...\Masato Sanjoin... That was Nephrite!\It's no good.\I can't depict Sailor V's love and passion at all!\Oh, darn it! response:	Kazuko's drawn so much already.
context: Seven Mart\Let's see, for Hiromi... Oh, right! She likes fried noodles.\It should be around here...\Masato Sanjoin... That was Nephrite!\It's no good.\I can't depict Sailor V's love and passion at all!\Oh, darn it!\Kazuko's drawn so much already. response:	Sailor V!
context: Let's see, for Hiromi... Oh, right! She likes fried noodles.\It should be around here...\Masato Sanjoin... That was Nephrite!\It's no good.\I can't depict Sailor V's love and passion at all!\Oh, darn it!\Kazuko's drawn so much already.\Sailor V! response:	I didn't know Kazuko was this good! It's amazing!
context: It should be around here...\Masato Sanjoin... That was Nephrite!\It's no good.\I can't depict Sailor V's love and passion at all!\Oh, darn it!\Kazuko's drawn so much already.\Sailor V!\I didn't know Kazuko was this good! It's amazing! response:	Sailor V is so lively,
context: Masato Sanjoin... That was Nephrite!\It's no good.\I can't depict Sailor V's love and passion at all!\Oh, darn it!\Kazuko's drawn so much already.\Sailor V!\I didn't know Kazuko was this good! It's amazing!\Sailor V is so lively, response:	and her love and passion are depicted perfectly!
context: It's no good.\I can't depict Sailor V's love and passion at all!\Oh, darn it!\Kazuko's drawn so much already.\Sailor V!\I didn't know Kazuko was this good! It's amazing!\Sailor V is so lively,\and her love and passion are depicted perfectly! response:	I have to try harder!
context: I can't depict Sailor V's love and passion at all!\Oh, darn it!\Kazuko's drawn so much already.\Sailor V!\I didn't know Kazuko was this good! It's amazing!\Sailor V is so lively,\and her love and passion are depicted perfectly!\I have to try harder! response:	I guess I'll have to use this again.
context: Oh, darn it!\Kazuko's drawn so much already.\Sailor V!\I didn't know Kazuko was this good! It's amazing!\Sailor V is so lively,\and her love and passion are depicted perfectly!\I have to try harder!\I guess I'll have to use this again. response:	Mommy, please buy this for me!
context: Kazuko's drawn so much already.\Sailor V!\I didn't know Kazuko was this good! It's amazing!\Sailor V is so lively,\and her love and passion are depicted perfectly!\I have to try harder!\I guess I'll have to use this again.\Mommy, please buy this for me! response:	Thank you for coming to the XX Department Store.
context: Sailor V!\I didn't know Kazuko was this good! It's amazing!\Sailor V is so lively,\and her love and passion are depicted perfectly!\I have to try harder!\I guess I'll have to use this again.\Mommy, please buy this for me!\Thank you for coming to the XX Department Store. response:	Wow, pencils for pro animators.
context: I didn't know Kazuko was this good! It's amazing!\Sailor V is so lively,\and her love and passion are depicted perfectly!\I have to try harder!\I guess I'll have to use this again.\Mommy, please buy this for me!\Thank you for coming to the XX Department Store.\Wow, pencils for pro animators. response:	It's a limited item.
context: Sailor V is so lively,\and her love and passion are depicted perfectly!\I have to try harder!\I guess I'll have to use this again.\Mommy, please buy this for me!\Thank you for coming to the XX Department Store.\Wow, pencils for pro animators.\It's a limited item. response:	We'll also be pro animators starting this spring.
context: and her love and passion are depicted perfectly!\I have to try harder!\I guess I'll have to use this again.\Mommy, please buy this for me!\Thank you for coming to the XX Department Store.\Wow, pencils for pro animators.\It's a limited item.\We'll also be pro animators starting this spring. response:	Wouldn't it be nice to draw main characters with pencils like these?
context: I have to try harder!\I guess I'll have to use this again.\Mommy, please buy this for me!\Thank you for coming to the XX Department Store.\Wow, pencils for pro animators.\It's a limited item.\We'll also be pro animators starting this spring.\Wouldn't it be nice to draw main characters with pencils like these? response:	Maybe we should buy these!
context: I guess I'll have to use this again.\Mommy, please buy this for me!\Thank you for coming to the XX Department Store.\Wow, pencils for pro animators.\It's a limited item.\We'll also be pro animators starting this spring.\Wouldn't it be nice to draw main characters with pencils like these?\Maybe we should buy these! response:	What?!
context: Mommy, please buy this for me!\Thank you for coming to the XX Department Store.\Wow, pencils for pro animators.\It's a limited item.\We'll also be pro animators starting this spring.\Wouldn't it be nice to draw main characters with pencils like these?\Maybe we should buy these!\What?! response:	But, these are incredibly expensive!
context: Thank you for coming to the XX Department Store.\Wow, pencils for pro animators.\It's a limited item.\We'll also be pro animators starting this spring.\Wouldn't it be nice to draw main characters with pencils like these?\Maybe we should buy these!\What?!\But, these are incredibly expensive! response:	That's why we'll buy one together! Excuse me!
context: Wow, pencils for pro animators.\It's a limited item.\We'll also be pro animators starting this spring.\Wouldn't it be nice to draw main characters with pencils like these?\Maybe we should buy these!\What?!\But, these are incredibly expensive!\That's why we'll buy one together! Excuse me! response:	And like this, we'll divide them into matching pencil boxes.
context: It's a limited item.\We'll also be pro animators starting this spring.\Wouldn't it be nice to draw main characters with pencils like these?\Maybe we should buy these!\What?!\But, these are incredibly expensive!\That's why we'll buy one together! Excuse me!\And like this, we'll divide them into matching pencil boxes. response:	Here!
context: We'll also be pro animators starting this spring.\Wouldn't it be nice to draw main characters with pencils like these?\Maybe we should buy these!\What?!\But, these are incredibly expensive!\That's why we'll buy one together! Excuse me!\And like this, we'll divide them into matching pencil boxes.\Here! response:	See? This way, we can both have half of them.
context: Wouldn't it be nice to draw main characters with pencils like these?\Maybe we should buy these!\What?!\But, these are incredibly expensive!\That's why we'll buy one together! Excuse me!\And like this, we'll divide them into matching pencil boxes.\Here!\See? This way, we can both have half of them. response:	But these pencils are to commemorate us becoming pros this spring,
context: Maybe we should buy these!\What?!\But, these are incredibly expensive!\That's why we'll buy one together! Excuse me!\And like this, we'll divide them into matching pencil boxes.\Here!\See? This way, we can both have half of them.\But these pencils are to commemorate us becoming pros this spring, response:	so we'll only use them for special occasions.
context: What?!\But, these are incredibly expensive!\That's why we'll buy one together! Excuse me!\And like this, we'll divide them into matching pencil boxes.\Here!\See? This way, we can both have half of them.\But these pencils are to commemorate us becoming pros this spring,\so we'll only use them for special occasions. response:	Yes.
context: But, these are incredibly expensive!\That's why we'll buy one together! Excuse me!\And like this, we'll divide them into matching pencil boxes.\Here!\See? This way, we can both have half of them.\But these pencils are to commemorate us becoming pros this spring,\so we'll only use them for special occasions.\Yes. response:	Only when we draw the finest anime
context: That's why we'll buy one together! Excuse me!\And like this, we'll divide them into matching pencil boxes.\Here!\See? This way, we can both have half of them.\But these pencils are to commemorate us becoming pros this spring,\so we'll only use them for special occasions.\Yes.\Only when we draw the finest anime response:	that will never disappoint the dreams of children!
context: And like this, we'll divide them into matching pencil boxes.\Here!\See? This way, we can both have half of them.\But these pencils are to commemorate us becoming pros this spring,\so we'll only use them for special occasions.\Yes.\Only when we draw the finest anime\that will never disappoint the dreams of children! response:	That's right!
context: Here!\See? This way, we can both have half of them.\But these pencils are to commemorate us becoming pros this spring,\so we'll only use them for special occasions.\Yes.\Only when we draw the finest anime\that will never disappoint the dreams of children!\That's right! response:	We have to get each other's permission to untie that ribbon!
