context: The news was not of some severe situation response:	that would cause people to frown, or at all serious in nature.
context: That bass player was so cool.\Never mind Nana, what's his name?\The bassist? I wanna know the name of the guitarist.\What is it? What's the band's name?\Try making your own flowers bloom.\Boss, I don't understand what you're saying.\- Hello, this is Gaia Records. - We're terribly sorry.\- The release date for their debut single - We will make an official announcement response:	- hasn't been determined yet. - once the details have been worked out.
context: Never mind Nana, what's his name?\The bassist? I wanna know the name of the guitarist.\What is it? What's the band's name?\Try making your own flowers bloom.\Boss, I don't understand what you're saying.\- Hello, this is Gaia Records. - We're terribly sorry.\- The release date for their debut single - We will make an official announcement\- hasn't been determined yet. - once the details have been worked out. response:	We have no choice but to do it, Mr. Kawano.
context: The bassist? I wanna know the name of the guitarist.\What is it? What's the band's name?\Try making your own flowers bloom.\Boss, I don't understand what you're saying.\- Hello, this is Gaia Records. - We're terribly sorry.\- The release date for their debut single - We will make an official announcement\- hasn't been determined yet. - once the details have been worked out.\We have no choice but to do it, Mr. Kawano. response:	In response to all the calls,
context: What is it? What's the band's name?\Try making your own flowers bloom.\Boss, I don't understand what you're saying.\- Hello, this is Gaia Records. - We're terribly sorry.\- The release date for their debut single - We will make an official announcement\- hasn't been determined yet. - once the details have been worked out.\We have no choice but to do it, Mr. Kawano.\In response to all the calls, response:	every department is set on going ahead with this now.
context: Try making your own flowers bloom.\Boss, I don't understand what you're saying.\- Hello, this is Gaia Records. - We're terribly sorry.\- The release date for their debut single - We will make an official announcement\- hasn't been determined yet. - once the details have been worked out.\We have no choice but to do it, Mr. Kawano.\In response to all the calls,\every department is set on going ahead with this now. response:	This is no joke.
context: Boss, I don't understand what you're saying.\- Hello, this is Gaia Records. - We're terribly sorry.\- The release date for their debut single - We will make an official announcement\- hasn't been determined yet. - once the details have been worked out.\We have no choice but to do it, Mr. Kawano.\In response to all the calls,\every department is set on going ahead with this now.\This is no joke. response:	If we promote them because of this now, it would be nothing but a set up.
context: - Hello, this is Gaia Records. - We're terribly sorry.\- The release date for their debut single - We will make an official announcement\- hasn't been determined yet. - once the details have been worked out.\We have no choice but to do it, Mr. Kawano.\In response to all the calls,\every department is set on going ahead with this now.\This is no joke.\If we promote them because of this now, it would be nothing but a set up. response:	REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART
context: - The release date for their debut single - We will make an official announcement\- hasn't been determined yet. - once the details have been worked out.\We have no choice but to do it, Mr. Kawano.\In response to all the calls,\every department is set on going ahead with this now.\This is no joke.\If we promote them because of this now, it would be nothing but a set up.\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART response:	REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART When this magazine goes on sale tomorrow,
context: - hasn't been determined yet. - once the details have been worked out.\We have no choice but to do it, Mr. Kawano.\In response to all the calls,\every department is set on going ahead with this now.\This is no joke.\If we promote them because of this now, it would be nothing but a set up.\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART When this magazine goes on sale tomorrow, response:	REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART Nana will be under more fire.
context: We have no choice but to do it, Mr. Kawano.\In response to all the calls,\every department is set on going ahead with this now.\This is no joke.\If we promote them because of this now, it would be nothing but a set up.\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART When this magazine goes on sale tomorrow,\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART Nana will be under more fire. response:	REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART
context: In response to all the calls,\every department is set on going ahead with this now.\This is no joke.\If we promote them because of this now, it would be nothing but a set up.\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART When this magazine goes on sale tomorrow,\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART Nana will be under more fire.\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART response:	Talented musicians getting their careers destroyed by relentless slander
context: every department is set on going ahead with this now.\This is no joke.\If we promote them because of this now, it would be nothing but a set up.\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART When this magazine goes on sale tomorrow,\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART Nana will be under more fire.\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART\Talented musicians getting their careers destroyed by relentless slander response:	and record companies who care only about profit.
context: This is no joke.\If we promote them because of this now, it would be nothing but a set up.\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART When this magazine goes on sale tomorrow,\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART Nana will be under more fire.\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART\Talented musicians getting their careers destroyed by relentless slander\and record companies who care only about profit. response:	You've seen it before, haven't you, Matsuo?
context: If we promote them because of this now, it would be nothing but a set up.\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART When this magazine goes on sale tomorrow,\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART Nana will be under more fire.\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART\Talented musicians getting their careers destroyed by relentless slander\and record companies who care only about profit.\You've seen it before, haven't you, Matsuo? response:	But all your efforts to this point would be wasted
context: REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART When this magazine goes on sale tomorrow,\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART Nana will be under more fire.\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART\Talented musicians getting their careers destroyed by relentless slander\and record companies who care only about profit.\You've seen it before, haven't you, Matsuo?\But all your efforts to this point would be wasted response:	if they replaced you with another manager.
context: REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART When this magazine goes on sale tomorrow,\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART Nana will be under more fire.\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART\Talented musicians getting their careers destroyed by relentless slander\and record companies who care only about profit.\You've seen it before, haven't you, Matsuo?\But all your efforts to this point would be wasted\if they replaced you with another manager. response:	I say don't go against it and just do as the agency says.
context: REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART Nana will be under more fire.\REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART\Talented musicians getting their careers destroyed by relentless slander\and record companies who care only about profit.\You've seen it before, haven't you, Matsuo?\But all your efforts to this point would be wasted\if they replaced you with another manager.\I say don't go against it and just do as the agency says. response:	That proper way of thinking will only be shunned by our superiors.
context: REN HONJO THE DARK PAST OF THE BEAUTIFUL WOMAN WHO STOLE THE ROCK-N-ROLL HERO'S HEART\Talented musicians getting their careers destroyed by relentless slander\and record companies who care only about profit.\You've seen it before, haven't you, Matsuo?\But all your efforts to this point would be wasted\if they replaced you with another manager.\I say don't go against it and just do as the agency says.\That proper way of thinking will only be shunned by our superiors. response:	The fact that you weren't informed of this incident ahead of time
context: Talented musicians getting their careers destroyed by relentless slander\and record companies who care only about profit.\You've seen it before, haven't you, Matsuo?\But all your efforts to this point would be wasted\if they replaced you with another manager.\I say don't go against it and just do as the agency says.\That proper way of thinking will only be shunned by our superiors.\The fact that you weren't informed of this incident ahead of time response:	is proof of that.
context: and record companies who care only about profit.\You've seen it before, haven't you, Matsuo?\But all your efforts to this point would be wasted\if they replaced you with another manager.\I say don't go against it and just do as the agency says.\That proper way of thinking will only be shunned by our superiors.\The fact that you weren't informed of this incident ahead of time\is proof of that. response:	Anyone in this industry can easily figure out
context: You've seen it before, haven't you, Matsuo?\But all your efforts to this point would be wasted\if they replaced you with another manager.\I say don't go against it and just do as the agency says.\That proper way of thinking will only be shunned by our superiors.\The fact that you weren't informed of this incident ahead of time\is proof of that.\Anyone in this industry can easily figure out response:	that our agency was involved with that broadcast.
context: But all your efforts to this point would be wasted\if they replaced you with another manager.\I say don't go against it and just do as the agency says.\That proper way of thinking will only be shunned by our superiors.\The fact that you weren't informed of this incident ahead of time\is proof of that.\Anyone in this industry can easily figure out\that our agency was involved with that broadcast. response:	And the media grabbed onto this scoop knowing that fact.
context: if they replaced you with another manager.\I say don't go against it and just do as the agency says.\That proper way of thinking will only be shunned by our superiors.\The fact that you weren't informed of this incident ahead of time\is proof of that.\Anyone in this industry can easily figure out\that our agency was involved with that broadcast.\And the media grabbed onto this scoop knowing that fact. response:	The party has already started. There's no turning back now.
context: I say don't go against it and just do as the agency says.\That proper way of thinking will only be shunned by our superiors.\The fact that you weren't informed of this incident ahead of time\is proof of that.\Anyone in this industry can easily figure out\that our agency was involved with that broadcast.\And the media grabbed onto this scoop knowing that fact.\The party has already started. There's no turning back now. response:	He's taking me lightly, that raccoon man!
context: That proper way of thinking will only be shunned by our superiors.\The fact that you weren't informed of this incident ahead of time\is proof of that.\Anyone in this industry can easily figure out\that our agency was involved with that broadcast.\And the media grabbed onto this scoop knowing that fact.\The party has already started. There's no turning back now.\He's taking me lightly, that raccoon man! response:	Such a cheap hotel?!
context: The fact that you weren't informed of this incident ahead of time\is proof of that.\Anyone in this industry can easily figure out\that our agency was involved with that broadcast.\And the media grabbed onto this scoop knowing that fact.\The party has already started. There's no turning back now.\He's taking me lightly, that raccoon man!\Such a cheap hotel?! response:	He should have gotten a suite or a deluxe room!
context: is proof of that.\Anyone in this industry can easily figure out\that our agency was involved with that broadcast.\And the media grabbed onto this scoop knowing that fact.\The party has already started. There's no turning back now.\He's taking me lightly, that raccoon man!\Such a cheap hotel?!\He should have gotten a suite or a deluxe room! response:	I totally agree. This is too rude.
context: Anyone in this industry can easily figure out\that our agency was involved with that broadcast.\And the media grabbed onto this scoop knowing that fact.\The party has already started. There's no turning back now.\He's taking me lightly, that raccoon man!\Such a cheap hotel?!\He should have gotten a suite or a deluxe room!\I totally agree. This is too rude. response:	You think so? I think we're fortunate they decided to protect us.
context: that our agency was involved with that broadcast.\And the media grabbed onto this scoop knowing that fact.\The party has already started. There's no turning back now.\He's taking me lightly, that raccoon man!\Such a cheap hotel?!\He should have gotten a suite or a deluxe room!\I totally agree. This is too rude.\You think so? I think we're fortunate they decided to protect us. response:	But they could've at least put us in a hotel with room service.
context: And the media grabbed onto this scoop knowing that fact.\The party has already started. There's no turning back now.\He's taking me lightly, that raccoon man!\Such a cheap hotel?!\He should have gotten a suite or a deluxe room!\I totally agree. This is too rude.\You think so? I think we're fortunate they decided to protect us.\But they could've at least put us in a hotel with room service. response:	I'm hungry.
context: The party has already started. There's no turning back now.\He's taking me lightly, that raccoon man!\Such a cheap hotel?!\He should have gotten a suite or a deluxe room!\I totally agree. This is too rude.\You think so? I think we're fortunate they decided to protect us.\But they could've at least put us in a hotel with room service.\I'm hungry. response:	Want me to go and buy something?
context: He's taking me lightly, that raccoon man!\Such a cheap hotel?!\He should have gotten a suite or a deluxe room!\I totally agree. This is too rude.\You think so? I think we're fortunate they decided to protect us.\But they could've at least put us in a hotel with room service.\I'm hungry.\Want me to go and buy something? response:	Sushi!
context: Such a cheap hotel?!\He should have gotten a suite or a deluxe room!\I totally agree. This is too rude.\You think so? I think we're fortunate they decided to protect us.\But they could've at least put us in a hotel with room service.\I'm hungry.\Want me to go and buy something?\Sushi! response:	Got it!
context: He should have gotten a suite or a deluxe room!\I totally agree. This is too rude.\You think so? I think we're fortunate they decided to protect us.\But they could've at least put us in a hotel with room service.\I'm hungry.\Want me to go and buy something?\Sushi!\Got it! response:	I'm going then!
context: I totally agree. This is too rude.\You think so? I think we're fortunate they decided to protect us.\But they could've at least put us in a hotel with room service.\I'm hungry.\Want me to go and buy something?\Sushi!\Got it!\I'm going then! response:	Misato?
context: You think so? I think we're fortunate they decided to protect us.\But they could've at least put us in a hotel with room service.\I'm hungry.\Want me to go and buy something?\Sushi!\Got it!\I'm going then!\Misato? response:	What are you doing here?
context: But they could've at least put us in a hotel with room service.\I'm hungry.\Want me to go and buy something?\Sushi!\Got it!\I'm going then!\Misato?\What are you doing here? response:	She saw the TV show this morning and got worried,
context: I'm hungry.\Want me to go and buy something?\Sushi!\Got it!\I'm going then!\Misato?\What are you doing here?\She saw the TV show this morning and got worried, response:	so she rushed over here.
context: Want me to go and buy something?\Sushi!\Got it!\I'm going then!\Misato?\What are you doing here?\She saw the TV show this morning and got worried,\so she rushed over here. response:	What a girl.
context: Sushi!\Got it!\I'm going then!\Misato?\What are you doing here?\She saw the TV show this morning and got worried,\so she rushed over here.\What a girl. response:	But I'm relieved to see that you're looking well, Nana.
context: Got it!\I'm going then!\Misato?\What are you doing here?\She saw the TV show this morning and got worried,\so she rushed over here.\What a girl.\But I'm relieved to see that you're looking well, Nana. response:	How did you know we were in this hotel?
context: I'm going then!\Misato?\What are you doing here?\She saw the TV show this morning and got worried,\so she rushed over here.\What a girl.\But I'm relieved to see that you're looking well, Nana.\How did you know we were in this hotel? response:	Shin emailed me to let me know.
context: Misato?\What are you doing here?\She saw the TV show this morning and got worried,\so she rushed over here.\What a girl.\But I'm relieved to see that you're looking well, Nana.\How did you know we were in this hotel?\Shin emailed me to let me know. response:	How thoughtful of you.
