context: Saitama National University. response:	I'm in the science department, enjoying my campus lifestyle.
context: (Natural Science)\(Social Science)\(Human Science)\All of the information in the world, and aims to mathematically analyze it.\Information\(Natural Science)\(Social Science)\(Human Science) response:	Information
context: (Social Science)\(Human Science)\All of the information in the world, and aims to mathematically analyze it.\Information\(Natural Science)\(Social Science)\(Human Science)\Information response:	So, we use computers for things like calculations and programming.
context: (Human Science)\All of the information in the world, and aims to mathematically analyze it.\Information\(Natural Science)\(Social Science)\(Human Science)\Information\So, we use computers for things like calculations and programming. response:	In InfoSci, you're done with lecture halls in three years.
context: All of the information in the world, and aims to mathematically analyze it.\Information\(Natural Science)\(Social Science)\(Human Science)\Information\So, we use computers for things like calculations and programming.\In InfoSci, you're done with lecture halls in three years. response:	Starting in your fourth year, everyone gets attached to a research group,
context: Information\(Natural Science)\(Social Science)\(Human Science)\Information\So, we use computers for things like calculations and programming.\In InfoSci, you're done with lecture halls in three years.\Starting in your fourth year, everyone gets attached to a research group, response:	where you help with research and work on writing your thesis.
context: (Natural Science)\(Social Science)\(Human Science)\Information\So, we use computers for things like calculations and programming.\In InfoSci, you're done with lecture halls in three years.\Starting in your fourth year, everyone gets attached to a research group,\where you help with research and work on writing your thesis. response:	And here...
context: (Social Science)\(Human Science)\Information\So, we use computers for things like calculations and programming.\In InfoSci, you're done with lecture halls in three years.\Starting in your fourth year, everyone gets attached to a research group,\where you help with research and work on writing your thesis.\And here... response:	Ikeda's Research Lab
context: (Human Science)\Information\So, we use computers for things like calculations and programming.\In InfoSci, you're done with lecture halls in three years.\Starting in your fourth year, everyone gets attached to a research group,\where you help with research and work on writing your thesis.\And here...\Ikeda's Research Lab response:	in Ikeda's research lab, students overflowing with wisdom,
context: Information\So, we use computers for things like calculations and programming.\In InfoSci, you're done with lecture halls in three years.\Starting in your fourth year, everyone gets attached to a research group,\where you help with research and work on writing your thesis.\And here...\Ikeda's Research Lab\in Ikeda's research lab, students overflowing with wisdom, response:	Kanade
context: So, we use computers for things like calculations and programming.\In InfoSci, you're done with lecture halls in three years.\Starting in your fourth year, everyone gets attached to a research group,\where you help with research and work on writing your thesis.\And here...\Ikeda's Research Lab\in Ikeda's research lab, students overflowing with wisdom,\Kanade response:	Himuro
context: In InfoSci, you're done with lecture halls in three years.\Starting in your fourth year, everyone gets attached to a research group,\where you help with research and work on writing your thesis.\And here...\Ikeda's Research Lab\in Ikeda's research lab, students overflowing with wisdom,\Kanade\Himuro response:	Yukimura
context: Starting in your fourth year, everyone gets attached to a research group,\where you help with research and work on writing your thesis.\And here...\Ikeda's Research Lab\in Ikeda's research lab, students overflowing with wisdom,\Kanade\Himuro\Yukimura response:	Ibarada
context: where you help with research and work on writing your thesis.\And here...\Ikeda's Research Lab\in Ikeda's research lab, students overflowing with wisdom,\Kanade\Himuro\Yukimura\Ibarada response:	In Room
context: And here...\Ikeda's Research Lab\in Ikeda's research lab, students overflowing with wisdom,\Kanade\Himuro\Yukimura\Ibarada\In Room response:	4th Dimension
context: Ikeda's Research Lab\in Ikeda's research lab, students overflowing with wisdom,\Kanade\Himuro\Yukimura\Ibarada\In Room\4th Dimension response:	Gone Home
context: in Ikeda's research lab, students overflowing with wisdom,\Kanade\Himuro\Yukimura\Ibarada\In Room\4th Dimension\Gone Home response:	strive daily in their research.
context: Kanade\Himuro\Yukimura\Ibarada\In Room\4th Dimension\Gone Home\strive daily in their research. response:	Kanade
context: Himuro\Yukimura\Ibarada\In Room\4th Dimension\Gone Home\strive daily in their research.\Kanade response:	Himuro
context: Yukimura\Ibarada\In Room\4th Dimension\Gone Home\strive daily in their research.\Kanade\Himuro response:	Yukimura
context: Ibarada\In Room\4th Dimension\Gone Home\strive daily in their research.\Kanade\Himuro\Yukimura response:	Good morning!
context: In Room\4th Dimension\Gone Home\strive daily in their research.\Kanade\Himuro\Yukimura\Good morning! response:	Huh?
context: 4th Dimension\Gone Home\strive daily in their research.\Kanade\Himuro\Yukimura\Good morning!\Huh? response:	She's so not doing research...
context: Gone Home\strive daily in their research.\Kanade\Himuro\Yukimura\Good morning!\Huh?\She's so not doing research... response:	Science Fell in Love, So I Tried to Prove It
context: strive daily in their research.\Kanade\Himuro\Yukimura\Good morning!\Huh?\She's so not doing research...\Science Fell in Love, So I Tried to Prove It response:	Saitama University 2nd year graduate student Ibarada Ena Height: 142 cm Weight:? Blood type: AB Hobbies: Gaming, manga, novels, subcultures in general Favorite foods: Japanese sweets Favorite phrase: Wearing black showcases a woman's beauty Idol: Umehara Daigo Future goals: To live on an annuity
context: Kanade\Himuro\Yukimura\Good morning!\Huh?\She's so not doing research...\Science Fell in Love, So I Tried to Prove It\Saitama University 2nd year graduate student Ibarada Ena Height: 142 cm Weight:? Blood type: AB Hobbies: Gaming, manga, novels, subcultures in general Favorite foods: Japanese sweets Favorite phrase: Wearing black showcases a woman's beauty Idol: Umehara Daigo Future goals: To live on an annuity response:	Proof 2 Science-types Fell in Love, So They Tried Experiments.
context: Himuro\Yukimura\Good morning!\Huh?\She's so not doing research...\Science Fell in Love, So I Tried to Prove It\Saitama University 2nd year graduate student Ibarada Ena Height: 142 cm Weight:? Blood type: AB Hobbies: Gaming, manga, novels, subcultures in general Favorite foods: Japanese sweets Favorite phrase: Wearing black showcases a woman's beauty Idol: Umehara Daigo Future goals: To live on an annuity\Proof 2 Science-types Fell in Love, So They Tried Experiments. response:	Ibarada-senpai,
context: Yukimura\Good morning!\Huh?\She's so not doing research...\Science Fell in Love, So I Tried to Prove It\Saitama University 2nd year graduate student Ibarada Ena Height: 142 cm Weight:? Blood type: AB Hobbies: Gaming, manga, novels, subcultures in general Favorite foods: Japanese sweets Favorite phrase: Wearing black showcases a woman's beauty Idol: Umehara Daigo Future goals: To live on an annuity\Proof 2 Science-types Fell in Love, So They Tried Experiments.\Ibarada-senpai, response:	were you up all night gaming again?
context: Good morning!\Huh?\She's so not doing research...\Science Fell in Love, So I Tried to Prove It\Saitama University 2nd year graduate student Ibarada Ena Height: 142 cm Weight:? Blood type: AB Hobbies: Gaming, manga, novels, subcultures in general Favorite foods: Japanese sweets Favorite phrase: Wearing black showcases a woman's beauty Idol: Umehara Daigo Future goals: To live on an annuity\Proof 2 Science-types Fell in Love, So They Tried Experiments.\Ibarada-senpai,\were you up all night gaming again? response:	Yeah.
context: Huh?\She's so not doing research...\Science Fell in Love, So I Tried to Prove It\Saitama University 2nd year graduate student Ibarada Ena Height: 142 cm Weight:? Blood type: AB Hobbies: Gaming, manga, novels, subcultures in general Favorite foods: Japanese sweets Favorite phrase: Wearing black showcases a woman's beauty Idol: Umehara Daigo Future goals: To live on an annuity\Proof 2 Science-types Fell in Love, So They Tried Experiments.\Ibarada-senpai,\were you up all night gaming again?\Yeah. response:	The limited event only goes until today, and I fell asleep.
context: She's so not doing research...\Science Fell in Love, So I Tried to Prove It\Saitama University 2nd year graduate student Ibarada Ena Height: 142 cm Weight:? Blood type: AB Hobbies: Gaming, manga, novels, subcultures in general Favorite foods: Japanese sweets Favorite phrase: Wearing black showcases a woman's beauty Idol: Umehara Daigo Future goals: To live on an annuity\Proof 2 Science-types Fell in Love, So They Tried Experiments.\Ibarada-senpai,\were you up all night gaming again?\Yeah.\The limited event only goes until today, and I fell asleep. response:	You've gotta make up for stuff like that.
context: Science Fell in Love, So I Tried to Prove It\Saitama University 2nd year graduate student Ibarada Ena Height: 142 cm Weight:? Blood type: AB Hobbies: Gaming, manga, novels, subcultures in general Favorite foods: Japanese sweets Favorite phrase: Wearing black showcases a woman's beauty Idol: Umehara Daigo Future goals: To live on an annuity\Proof 2 Science-types Fell in Love, So They Tried Experiments.\Ibarada-senpai,\were you up all night gaming again?\Yeah.\The limited event only goes until today, and I fell asleep.\You've gotta make up for stuff like that. response:	I've gotta pull some gachas, too.
context: Saitama University 2nd year graduate student Ibarada Ena Height: 142 cm Weight:? Blood type: AB Hobbies: Gaming, manga, novels, subcultures in general Favorite foods: Japanese sweets Favorite phrase: Wearing black showcases a woman's beauty Idol: Umehara Daigo Future goals: To live on an annuity\Proof 2 Science-types Fell in Love, So They Tried Experiments.\Ibarada-senpai,\were you up all night gaming again?\Yeah.\The limited event only goes until today, and I fell asleep.\You've gotta make up for stuff like that.\I've gotta pull some gachas, too. response:	You could, at least, narrow it down to playing just one.
context: Proof 2 Science-types Fell in Love, So They Tried Experiments.\Ibarada-senpai,\were you up all night gaming again?\Yeah.\The limited event only goes until today, and I fell asleep.\You've gotta make up for stuff like that.\I've gotta pull some gachas, too.\You could, at least, narrow it down to playing just one. response:	In the Ikeda lab, you can come when you want and go home when you want.
context: Ibarada-senpai,\were you up all night gaming again?\Yeah.\The limited event only goes until today, and I fell asleep.\You've gotta make up for stuff like that.\I've gotta pull some gachas, too.\You could, at least, narrow it down to playing just one.\In the Ikeda lab, you can come when you want and go home when you want. response:	You can eat whatever food and snacks you want, too.
context: were you up all night gaming again?\Yeah.\The limited event only goes until today, and I fell asleep.\You've gotta make up for stuff like that.\I've gotta pull some gachas, too.\You could, at least, narrow it down to playing just one.\In the Ikeda lab, you can come when you want and go home when you want.\You can eat whatever food and snacks you want, too. response:	Still, it is a shared living space.
context: Yeah.\The limited event only goes until today, and I fell asleep.\You've gotta make up for stuff like that.\I've gotta pull some gachas, too.\You could, at least, narrow it down to playing just one.\In the Ikeda lab, you can come when you want and go home when you want.\You can eat whatever food and snacks you want, too.\Still, it is a shared living space. response:	A certain degree of moderation should be observed.
context: The limited event only goes until today, and I fell asleep.\You've gotta make up for stuff like that.\I've gotta pull some gachas, too.\You could, at least, narrow it down to playing just one.\In the Ikeda lab, you can come when you want and go home when you want.\You can eat whatever food and snacks you want, too.\Still, it is a shared living space.\A certain degree of moderation should be observed. response:	Okay.
context: You've gotta make up for stuff like that.\I've gotta pull some gachas, too.\You could, at least, narrow it down to playing just one.\In the Ikeda lab, you can come when you want and go home when you want.\You can eat whatever food and snacks you want, too.\Still, it is a shared living space.\A certain degree of moderation should be observed.\Okay. response:	This place is a research lab.
context: I've gotta pull some gachas, too.\You could, at least, narrow it down to playing just one.\In the Ikeda lab, you can come when you want and go home when you want.\You can eat whatever food and snacks you want, too.\Still, it is a shared living space.\A certain degree of moderation should be observed.\Okay.\This place is a research lab. response:	It's our duty to take all the various problems in the world,
context: You could, at least, narrow it down to playing just one.\In the Ikeda lab, you can come when you want and go home when you want.\You can eat whatever food and snacks you want, too.\Still, it is a shared living space.\A certain degree of moderation should be observed.\Okay.\This place is a research lab.\It's our duty to take all the various problems in the world, response:	conduct a mathematical analysis,
context: In the Ikeda lab, you can come when you want and go home when you want.\You can eat whatever food and snacks you want, too.\Still, it is a shared living space.\A certain degree of moderation should be observed.\Okay.\This place is a research lab.\It's our duty to take all the various problems in the world,\conduct a mathematical analysis, response:	and explain them. That's why we spend every day researching.
context: You can eat whatever food and snacks you want, too.\Still, it is a shared living space.\A certain degree of moderation should be observed.\Okay.\This place is a research lab.\It's our duty to take all the various problems in the world,\conduct a mathematical analysis,\and explain them. That's why we spend every day researching. response:	Now...
context: Still, it is a shared living space.\A certain degree of moderation should be observed.\Okay.\This place is a research lab.\It's our duty to take all the various problems in the world,\conduct a mathematical analysis,\and explain them. That's why we spend every day researching.\Now... response:	I, Yukimura Shinya, will begin my heart-rate monitoring experiment!
context: A certain degree of moderation should be observed.\Okay.\This place is a research lab.\It's our duty to take all the various problems in the world,\conduct a mathematical analysis,\and explain them. That's why we spend every day researching.\Now...\I, Yukimura Shinya, will begin my heart-rate monitoring experiment! response:	Yukimura-kun.
context: Okay.\This place is a research lab.\It's our duty to take all the various problems in the world,\conduct a mathematical analysis,\and explain them. That's why we spend every day researching.\Now...\I, Yukimura Shinya, will begin my heart-rate monitoring experiment!\Yukimura-kun. response:	You're too far away.
context: This place is a research lab.\It's our duty to take all the various problems in the world,\conduct a mathematical analysis,\and explain them. That's why we spend every day researching.\Now...\I, Yukimura Shinya, will begin my heart-rate monitoring experiment!\Yukimura-kun.\You're too far away. response:	Could it be that you are embarrassed to have your heart rate increased?
context: It's our duty to take all the various problems in the world,\conduct a mathematical analysis,\and explain them. That's why we spend every day researching.\Now...\I, Yukimura Shinya, will begin my heart-rate monitoring experiment!\Yukimura-kun.\You're too far away.\Could it be that you are embarrassed to have your heart rate increased? response:	Of course not.
context: conduct a mathematical analysis,\and explain them. That's why we spend every day researching.\Now...\I, Yukimura Shinya, will begin my heart-rate monitoring experiment!\Yukimura-kun.\You're too far away.\Could it be that you are embarrassed to have your heart rate increased?\Of course not. response:	This is in the pursuit of accurate data.
context: and explain them. That's why we spend every day researching.\Now...\I, Yukimura Shinya, will begin my heart-rate monitoring experiment!\Yukimura-kun.\You're too far away.\Could it be that you are embarrassed to have your heart rate increased?\Of course not.\This is in the pursuit of accurate data. response:	Really?
context: Now...\I, Yukimura Shinya, will begin my heart-rate monitoring experiment!\Yukimura-kun.\You're too far away.\Could it be that you are embarrassed to have your heart rate increased?\Of course not.\This is in the pursuit of accurate data.\Really? response:	Then why are you running away?
context: I, Yukimura Shinya, will begin my heart-rate monitoring experiment!\Yukimura-kun.\You're too far away.\Could it be that you are embarrassed to have your heart rate increased?\Of course not.\This is in the pursuit of accurate data.\Really?\Then why are you running away? response:	Any given thing requires a certain amount of mental preparation.
context: Yukimura-kun.\You're too far away.\Could it be that you are embarrassed to have your heart rate increased?\Of course not.\This is in the pursuit of accurate data.\Really?\Then why are you running away?\Any given thing requires a certain amount of mental preparation. response:	Kanade-chan, catch him!
context: You're too far away.\Could it be that you are embarrassed to have your heart rate increased?\Of course not.\This is in the pursuit of accurate data.\Really?\Then why are you running away?\Any given thing requires a certain amount of mental preparation.\Kanade-chan, catch him! response:	Huh? What?
context: Could it be that you are embarrassed to have your heart rate increased?\Of course not.\This is in the pursuit of accurate data.\Really?\Then why are you running away?\Any given thing requires a certain amount of mental preparation.\Kanade-chan, catch him!\Huh? What? response:	Yukimura-senpai?
context: Of course not.\This is in the pursuit of accurate data.\Really?\Then why are you running away?\Any given thing requires a certain amount of mental preparation.\Kanade-chan, catch him!\Huh? What?\Yukimura-senpai? response:	I-I'm so sorry! It was a reflex! I didn't mean to!
context: This is in the pursuit of accurate data.\Really?\Then why are you running away?\Any given thing requires a certain amount of mental preparation.\Kanade-chan, catch him!\Huh? What?\Yukimura-senpai?\I-I'm so sorry! It was a reflex! I didn't mean to! response:	Are you okay?!
context: Really?\Then why are you running away?\Any given thing requires a certain amount of mental preparation.\Kanade-chan, catch him!\Huh? What?\Yukimura-senpai?\I-I'm so sorry! It was a reflex! I didn't mean to!\Are you okay?! response:	Yukimura-senpai!
context: Then why are you running away?\Any given thing requires a certain amount of mental preparation.\Kanade-chan, catch him!\Huh? What?\Yukimura-senpai?\I-I'm so sorry! It was a reflex! I didn't mean to!\Are you okay?!\Yukimura-senpai! response:	Please, wake up!
context: Any given thing requires a certain amount of mental preparation.\Kanade-chan, catch him!\Huh? What?\Yukimura-senpai?\I-I'm so sorry! It was a reflex! I didn't mean to!\Are you okay?!\Yukimura-senpai!\Please, wake up! response:	Does Kanade-chan have a black belt in something?
context: Kanade-chan, catch him!\Huh? What?\Yukimura-senpai?\I-I'm so sorry! It was a reflex! I didn't mean to!\Are you okay?!\Yukimura-senpai!\Please, wake up!\Does Kanade-chan have a black belt in something? response:	H-H-Hey!
context: Huh? What?\Yukimura-senpai?\I-I'm so sorry! It was a reflex! I didn't mean to!\Are you okay?!\Yukimura-senpai!\Please, wake up!\Does Kanade-chan have a black belt in something?\H-H-Hey! response:	What's the meaning of this?
context: Yukimura-senpai?\I-I'm so sorry! It was a reflex! I didn't mean to!\Are you okay?!\Yukimura-senpai!\Please, wake up!\Does Kanade-chan have a black belt in something?\H-H-Hey!\What's the meaning of this? response:	Why is it necessary to tie me up?
context: I-I'm so sorry! It was a reflex! I didn't mean to!\Are you okay?!\Yukimura-senpai!\Please, wake up!\Does Kanade-chan have a black belt in something?\H-H-Hey!\What's the meaning of this?\Why is it necessary to tie me up? response:	Himuro-senpai asked me to...
context: Are you okay?!\Yukimura-senpai!\Please, wake up!\Does Kanade-chan have a black belt in something?\H-H-Hey!\What's the meaning of this?\Why is it necessary to tie me up?\Himuro-senpai asked me to... response:	I'm sorry.
context: Yukimura-senpai!\Please, wake up!\Does Kanade-chan have a black belt in something?\H-H-Hey!\What's the meaning of this?\Why is it necessary to tie me up?\Himuro-senpai asked me to...\I'm sorry. response:	Yukimura-kun, you ran away. We have no choice.
context: Please, wake up!\Does Kanade-chan have a black belt in something?\H-H-Hey!\What's the meaning of this?\Why is it necessary to tie me up?\Himuro-senpai asked me to...\I'm sorry.\Yukimura-kun, you ran away. We have no choice. response:	I was not running away!
context: Does Kanade-chan have a black belt in something?\H-H-Hey!\What's the meaning of this?\Why is it necessary to tie me up?\Himuro-senpai asked me to...\I'm sorry.\Yukimura-kun, you ran away. We have no choice.\I was not running away! response:	It was mental preparation to ensure that conditions were as close to normal as possible!
context: H-H-Hey!\What's the meaning of this?\Why is it necessary to tie me up?\Himuro-senpai asked me to...\I'm sorry.\Yukimura-kun, you ran away. We have no choice.\I was not running away!\It was mental preparation to ensure that conditions were as close to normal as possible! response:	Hey! Are you listening, Himuro?
context: What's the meaning of this?\Why is it necessary to tie me up?\Himuro-senpai asked me to...\I'm sorry.\Yukimura-kun, you ran away. We have no choice.\I was not running away!\It was mental preparation to ensure that conditions were as close to normal as possible!\Hey! Are you listening, Himuro? response:	Let's see...
context: Why is it necessary to tie me up?\Himuro-senpai asked me to...\I'm sorry.\Yukimura-kun, you ran away. We have no choice.\I was not running away!\It was mental preparation to ensure that conditions were as close to normal as possible!\Hey! Are you listening, Himuro?\Let's see... response:	In order to make a man's heart race...
context: Himuro-senpai asked me to...\I'm sorry.\Yukimura-kun, you ran away. We have no choice.\I was not running away!\It was mental preparation to ensure that conditions were as close to normal as possible!\Hey! Are you listening, Himuro?\Let's see...\In order to make a man's heart race... response:	I see.
context: I'm sorry.\Yukimura-kun, you ran away. We have no choice.\I was not running away!\It was mental preparation to ensure that conditions were as close to normal as possible!\Hey! Are you listening, Himuro?\Let's see...\In order to make a man's heart race...\I see. response:	Something like this, I wonder.
context: Yukimura-kun, you ran away. We have no choice.\I was not running away!\It was mental preparation to ensure that conditions were as close to normal as possible!\Hey! Are you listening, Himuro?\Let's see...\In order to make a man's heart race...\I see.\Something like this, I wonder. response:	7 Ways to Make a Man's Heart Race
context: I was not running away!\It was mental preparation to ensure that conditions were as close to normal as possible!\Hey! Are you listening, Himuro?\Let's see...\In order to make a man's heart race...\I see.\Something like this, I wonder.\7 Ways to Make a Man's Heart Race response:	Stare into his eyes. Get close.
context: It was mental preparation to ensure that conditions were as close to normal as possible!\Hey! Are you listening, Himuro?\Let's see...\In order to make a man's heart race...\I see.\Something like this, I wonder.\7 Ways to Make a Man's Heart Race\Stare into his eyes. Get close. response:	Physical Contact
context: Hey! Are you listening, Himuro?\Let's see...\In order to make a man's heart race...\I see.\Something like this, I wonder.\7 Ways to Make a Man's Heart Race\Stare into his eyes. Get close.\Physical Contact response:	Interesting. It's not just touching,
context: Let's see...\In order to make a man's heart race...\I see.\Something like this, I wonder.\7 Ways to Make a Man's Heart Race\Stare into his eyes. Get close.\Physical Contact\Interesting. It's not just touching, response:	but having him touch you seems to be effective, as well.
context: In order to make a man's heart race...\I see.\Something like this, I wonder.\7 Ways to Make a Man's Heart Race\Stare into his eyes. Get close.\Physical Contact\Interesting. It's not just touching,\but having him touch you seems to be effective, as well. response:	In that case, Yukimura-kun,
context: I see.\Something like this, I wonder.\7 Ways to Make a Man's Heart Race\Stare into his eyes. Get close.\Physical Contact\Interesting. It's not just touching,\but having him touch you seems to be effective, as well.\In that case, Yukimura-kun, response:	you have permission to touch me.
context: Something like this, I wonder.\7 Ways to Make a Man's Heart Race\Stare into his eyes. Get close.\Physical Contact\Interesting. It's not just touching,\but having him touch you seems to be effective, as well.\In that case, Yukimura-kun,\you have permission to touch me. response:	Where?
context: 7 Ways to Make a Man's Heart Race\Stare into his eyes. Get close.\Physical Contact\Interesting. It's not just touching,\but having him touch you seems to be effective, as well.\In that case, Yukimura-kun,\you have permission to touch me.\Where? response:	My head?
context: Stare into his eyes. Get close.\Physical Contact\Interesting. It's not just touching,\but having him touch you seems to be effective, as well.\In that case, Yukimura-kun,\you have permission to touch me.\Where?\My head? response:	I wonder if it'd be okay to go home now...
context: Physical Contact\Interesting. It's not just touching,\but having him touch you seems to be effective, as well.\In that case, Yukimura-kun,\you have permission to touch me.\Where?\My head?\I wonder if it'd be okay to go home now... response:	Experiment 1
context: Interesting. It's not just touching,\but having him touch you seems to be effective, as well.\In that case, Yukimura-kun,\you have permission to touch me.\Where?\My head?\I wonder if it'd be okay to go home now...\Experiment 1 response:	Point-blank range,
context: but having him touch you seems to be effective, as well.\In that case, Yukimura-kun,\you have permission to touch me.\Where?\My head?\I wonder if it'd be okay to go home now...\Experiment 1\Point-blank range, response:	patting Himuro's head.
context: In that case, Yukimura-kun,\you have permission to touch me.\Where?\My head?\I wonder if it'd be okay to go home now...\Experiment 1\Point-blank range,\patting Himuro's head. response:	How about it, Yukimura-kun?
context: you have permission to touch me.\Where?\My head?\I wonder if it'd be okay to go home now...\Experiment 1\Point-blank range,\patting Himuro's head.\How about it, Yukimura-kun? response:	Are you experiencing any sensation of an increased heart rate?
context: Where?\My head?\I wonder if it'd be okay to go home now...\Experiment 1\Point-blank range,\patting Himuro's head.\How about it, Yukimura-kun?\Are you experiencing any sensation of an increased heart rate? response:	I don't know, myself.
context: My head?\I wonder if it'd be okay to go home now...\Experiment 1\Point-blank range,\patting Himuro's head.\How about it, Yukimura-kun?\Are you experiencing any sensation of an increased heart rate?\I don't know, myself. response:	What principle is allowing her hair to move?
context: I wonder if it'd be okay to go home now...\Experiment 1\Point-blank range,\patting Himuro's head.\How about it, Yukimura-kun?\Are you experiencing any sensation of an increased heart rate?\I don't know, myself.\What principle is allowing her hair to move? response:	That should do it.
