context: Operation: Ares response:	Did you call for me?
context: Besides, up-to-date information is highly valuable.\This is going to be an infiltration operation.\Infiltration?\Where is the target?\After the Battle of Ceres,\we found an enemy craft that crash landed on Mars.\Team Rabbits is to infiltrate the ship and retrieve any data you can.\We've never undergone training for this! response:	Sounds cool, like spy stuff!
context: This is going to be an infiltration operation.\Infiltration?\Where is the target?\After the Battle of Ceres,\we found an enemy craft that crash landed on Mars.\Team Rabbits is to infiltrate the ship and retrieve any data you can.\We've never undergone training for this!\Sounds cool, like spy stuff! response:	Silence! Izuru Hitachi!
context: Infiltration?\Where is the target?\After the Battle of Ceres,\we found an enemy craft that crash landed on Mars.\Team Rabbits is to infiltrate the ship and retrieve any data you can.\We've never undergone training for this!\Sounds cool, like spy stuff!\Silence! Izuru Hitachi! response:	Ma'am!
context: Where is the target?\After the Battle of Ceres,\we found an enemy craft that crash landed on Mars.\Team Rabbits is to infiltrate the ship and retrieve any data you can.\We've never undergone training for this!\Sounds cool, like spy stuff!\Silence! Izuru Hitachi!\Ma'am! response:	Toshikazu Asagi!
context: After the Battle of Ceres,\we found an enemy craft that crash landed on Mars.\Team Rabbits is to infiltrate the ship and retrieve any data you can.\We've never undergone training for this!\Sounds cool, like spy stuff!\Silence! Izuru Hitachi!\Ma'am!\Toshikazu Asagi! response:	Ma'am!
context: we found an enemy craft that crash landed on Mars.\Team Rabbits is to infiltrate the ship and retrieve any data you can.\We've never undergone training for this!\Sounds cool, like spy stuff!\Silence! Izuru Hitachi!\Ma'am!\Toshikazu Asagi!\Ma'am! response:	You will use your core units in this mission.
context: Team Rabbits is to infiltrate the ship and retrieve any data you can.\We've never undergone training for this!\Sounds cool, like spy stuff!\Silence! Izuru Hitachi!\Ma'am!\Toshikazu Asagi!\Ma'am!\You will use your core units in this mission. response:	You will infiltrate the enemy ship while the other three offer support.
context: We've never undergone training for this!\Sounds cool, like spy stuff!\Silence! Izuru Hitachi!\Ma'am!\Toshikazu Asagi!\Ma'am!\You will use your core units in this mission.\You will infiltrate the enemy ship while the other three offer support. response:	Roger!
context: Sounds cool, like spy stuff!\Silence! Izuru Hitachi!\Ma'am!\Toshikazu Asagi!\Ma'am!\You will use your core units in this mission.\You will infiltrate the enemy ship while the other three offer support.\Roger! response:	Do you have blueprints for the inside of the enemy ship?
context: Silence! Izuru Hitachi!\Ma'am!\Toshikazu Asagi!\Ma'am!\You will use your core units in this mission.\You will infiltrate the enemy ship while the other three offer support.\Roger!\Do you have blueprints for the inside of the enemy ship? response:	Allow me to explain.
context: Ma'am!\Toshikazu Asagi!\Ma'am!\You will use your core units in this mission.\You will infiltrate the enemy ship while the other three offer support.\Roger!\Do you have blueprints for the inside of the enemy ship?\Allow me to explain. response:	Master Daneel!
context: Toshikazu Asagi!\Ma'am!\You will use your core units in this mission.\You will infiltrate the enemy ship while the other three offer support.\Roger!\Do you have blueprints for the inside of the enemy ship?\Allow me to explain.\Master Daneel! response:	Your target is in the Valles Marineris on Mars.
context: Ma'am!\You will use your core units in this mission.\You will infiltrate the enemy ship while the other three offer support.\Roger!\Do you have blueprints for the inside of the enemy ship?\Allow me to explain.\Master Daneel!\Your target is in the Valles Marineris on Mars. response:	It was found hanging on the edge of the precipice.
context: You will use your core units in this mission.\You will infiltrate the enemy ship while the other three offer support.\Roger!\Do you have blueprints for the inside of the enemy ship?\Allow me to explain.\Master Daneel!\Your target is in the Valles Marineris on Mars.\It was found hanging on the edge of the precipice. response:	The Marimari what...?
context: You will infiltrate the enemy ship while the other three offer support.\Roger!\Do you have blueprints for the inside of the enemy ship?\Allow me to explain.\Master Daneel!\Your target is in the Valles Marineris on Mars.\It was found hanging on the edge of the precipice.\The Marimari what...? response:	The Marineris!
context: Roger!\Do you have blueprints for the inside of the enemy ship?\Allow me to explain.\Master Daneel!\Your target is in the Valles Marineris on Mars.\It was found hanging on the edge of the precipice.\The Marimari what...?\The Marineris! response:	It's 4,000km long and 7km deep.
context: Do you have blueprints for the inside of the enemy ship?\Allow me to explain.\Master Daneel!\Your target is in the Valles Marineris on Mars.\It was found hanging on the edge of the precipice.\The Marimari what...?\The Marineris!\It's 4,000km long and 7km deep. response:	It's a massive ravine that cuts from East to West
context: Allow me to explain.\Master Daneel!\Your target is in the Valles Marineris on Mars.\It was found hanging on the edge of the precipice.\The Marimari what...?\The Marineris!\It's 4,000km long and 7km deep.\It's a massive ravine that cuts from East to West response:	along the center of Mars.
context: Master Daneel!\Your target is in the Valles Marineris on Mars.\It was found hanging on the edge of the precipice.\The Marimari what...?\The Marineris!\It's 4,000km long and 7km deep.\It's a massive ravine that cuts from East to West\along the center of Mars. response:	Thank you for the explanation.
context: Your target is in the Valles Marineris on Mars.\It was found hanging on the edge of the precipice.\The Marimari what...?\The Marineris!\It's 4,000km long and 7km deep.\It's a massive ravine that cuts from East to West\along the center of Mars.\Thank you for the explanation. response:	As things stand, we expect the target to plummet into the ravine
context: It was found hanging on the edge of the precipice.\The Marimari what...?\The Marineris!\It's 4,000km long and 7km deep.\It's a massive ravine that cuts from East to West\along the center of Mars.\Thank you for the explanation.\As things stand, we expect the target to plummet into the ravine response:	or collapse under its own weight due to the gravity.
context: The Marimari what...?\The Marineris!\It's 4,000km long and 7km deep.\It's a massive ravine that cuts from East to West\along the center of Mars.\Thank you for the explanation.\As things stand, we expect the target to plummet into the ravine\or collapse under its own weight due to the gravity. response:	At best, we believe to have 36 hours remaining.
context: The Marineris!\It's 4,000km long and 7km deep.\It's a massive ravine that cuts from East to West\along the center of Mars.\Thank you for the explanation.\As things stand, we expect the target to plummet into the ravine\or collapse under its own weight due to the gravity.\At best, we believe to have 36 hours remaining. response:	That's plenty of time!
context: It's 4,000km long and 7km deep.\It's a massive ravine that cuts from East to West\along the center of Mars.\Thank you for the explanation.\As things stand, we expect the target to plummet into the ravine\or collapse under its own weight due to the gravity.\At best, we believe to have 36 hours remaining.\That's plenty of time! response:	Even if we left for Mars immediately,
context: It's a massive ravine that cuts from East to West\along the center of Mars.\Thank you for the explanation.\As things stand, we expect the target to plummet into the ravine\or collapse under its own weight due to the gravity.\At best, we believe to have 36 hours remaining.\That's plenty of time!\Even if we left for Mars immediately, response:	carrying out the mission is going to take some time.
context: along the center of Mars.\Thank you for the explanation.\As things stand, we expect the target to plummet into the ravine\or collapse under its own weight due to the gravity.\At best, we believe to have 36 hours remaining.\That's plenty of time!\Even if we left for Mars immediately,\carrying out the mission is going to take some time. response:	Precisely.
context: Thank you for the explanation.\As things stand, we expect the target to plummet into the ravine\or collapse under its own weight due to the gravity.\At best, we believe to have 36 hours remaining.\That's plenty of time!\Even if we left for Mars immediately,\carrying out the mission is going to take some time.\Precisely. response:	The target may also deteriorate
context: As things stand, we expect the target to plummet into the ravine\or collapse under its own weight due to the gravity.\At best, we believe to have 36 hours remaining.\That's plenty of time!\Even if we left for Mars immediately,\carrying out the mission is going to take some time.\Precisely.\The target may also deteriorate response:	quicker than anticipated due to unforeseen circumstances.
context: or collapse under its own weight due to the gravity.\At best, we believe to have 36 hours remaining.\That's plenty of time!\Even if we left for Mars immediately,\carrying out the mission is going to take some time.\Precisely.\The target may also deteriorate\quicker than anticipated due to unforeseen circumstances. response:	Enemy interference is also a possibility.
context: At best, we believe to have 36 hours remaining.\That's plenty of time!\Even if we left for Mars immediately,\carrying out the mission is going to take some time.\Precisely.\The target may also deteriorate\quicker than anticipated due to unforeseen circumstances.\Enemy interference is also a possibility. response:	As such, I want this mission over within 24 hours.
context: That's plenty of time!\Even if we left for Mars immediately,\carrying out the mission is going to take some time.\Precisely.\The target may also deteriorate\quicker than anticipated due to unforeseen circumstances.\Enemy interference is also a possibility.\As such, I want this mission over within 24 hours. response:	That doesn't give us much time.
context: Even if we left for Mars immediately,\carrying out the mission is going to take some time.\Precisely.\The target may also deteriorate\quicker than anticipated due to unforeseen circumstances.\Enemy interference is also a possibility.\As such, I want this mission over within 24 hours.\That doesn't give us much time. response:	You have twelve hours to prepare and get there.
context: carrying out the mission is going to take some time.\Precisely.\The target may also deteriorate\quicker than anticipated due to unforeseen circumstances.\Enemy interference is also a possibility.\As such, I want this mission over within 24 hours.\That doesn't give us much time.\You have twelve hours to prepare and get there. response:	After which you have six hours to break in and pull out.
context: Precisely.\The target may also deteriorate\quicker than anticipated due to unforeseen circumstances.\Enemy interference is also a possibility.\As such, I want this mission over within 24 hours.\That doesn't give us much time.\You have twelve hours to prepare and get there.\After which you have six hours to break in and pull out. response:	Ma'am!
context: The target may also deteriorate\quicker than anticipated due to unforeseen circumstances.\Enemy interference is also a possibility.\As such, I want this mission over within 24 hours.\That doesn't give us much time.\You have twelve hours to prepare and get there.\After which you have six hours to break in and pull out.\Ma'am! response:	I have transferred blueprints of the enemy ship to each of your units.
context: quicker than anticipated due to unforeseen circumstances.\Enemy interference is also a possibility.\As such, I want this mission over within 24 hours.\That doesn't give us much time.\You have twelve hours to prepare and get there.\After which you have six hours to break in and pull out.\Ma'am!\I have transferred blueprints of the enemy ship to each of your units. response:	I shall also accompany you.
context: Enemy interference is also a possibility.\As such, I want this mission over within 24 hours.\That doesn't give us much time.\You have twelve hours to prepare and get there.\After which you have six hours to break in and pull out.\Ma'am!\I have transferred blueprints of the enemy ship to each of your units.\I shall also accompany you. response:	Henceforth, this mission will be referred to as Operation: Ares!
context: As such, I want this mission over within 24 hours.\That doesn't give us much time.\You have twelve hours to prepare and get there.\After which you have six hours to break in and pull out.\Ma'am!\I have transferred blueprints of the enemy ship to each of your units.\I shall also accompany you.\Henceforth, this mission will be referred to as Operation: Ares! response:	The operation begins at 1800 hours.
context: That doesn't give us much time.\You have twelve hours to prepare and get there.\After which you have six hours to break in and pull out.\Ma'am!\I have transferred blueprints of the enemy ship to each of your units.\I shall also accompany you.\Henceforth, this mission will be referred to as Operation: Ares!\The operation begins at 1800 hours. response:	You are free to spend the next six hours resting.
context: You have twelve hours to prepare and get there.\After which you have six hours to break in and pull out.\Ma'am!\I have transferred blueprints of the enemy ship to each of your units.\I shall also accompany you.\Henceforth, this mission will be referred to as Operation: Ares!\The operation begins at 1800 hours.\You are free to spend the next six hours resting. response:	Roger!
context: After which you have six hours to break in and pull out.\Ma'am!\I have transferred blueprints of the enemy ship to each of your units.\I shall also accompany you.\Henceforth, this mission will be referred to as Operation: Ares!\The operation begins at 1800 hours.\You are free to spend the next six hours resting.\Roger! response:	Where did these guts come from?
context: Ma'am!\I have transferred blueprints of the enemy ship to each of your units.\I shall also accompany you.\Henceforth, this mission will be referred to as Operation: Ares!\The operation begins at 1800 hours.\You are free to spend the next six hours resting.\Roger!\Where did these guts come from? response:	Space squid, probably.
context: I have transferred blueprints of the enemy ship to each of your units.\I shall also accompany you.\Henceforth, this mission will be referred to as Operation: Ares!\The operation begins at 1800 hours.\You are free to spend the next six hours resting.\Roger!\Where did these guts come from?\Space squid, probably. response:	For reals?!
context: I shall also accompany you.\Henceforth, this mission will be referred to as Operation: Ares!\The operation begins at 1800 hours.\You are free to spend the next six hours resting.\Roger!\Where did these guts come from?\Space squid, probably.\For reals?! response:	They're caught in the Star Rose.
context: Henceforth, this mission will be referred to as Operation: Ares!\The operation begins at 1800 hours.\You are free to spend the next six hours resting.\Roger!\Where did these guts come from?\Space squid, probably.\For reals?!\They're caught in the Star Rose. response:	Didn't you know?
context: The operation begins at 1800 hours.\You are free to spend the next six hours resting.\Roger!\Where did these guts come from?\Space squid, probably.\For reals?!\They're caught in the Star Rose.\Didn't you know? response:	The outer walls are dual layered with water in the middle
context: You are free to spend the next six hours resting.\Roger!\Where did these guts come from?\Space squid, probably.\For reals?!\They're caught in the Star Rose.\Didn't you know?\The outer walls are dual layered with water in the middle response:	to protect us from hazardous cosmic rays.
context: Roger!\Where did these guts come from?\Space squid, probably.\For reals?!\They're caught in the Star Rose.\Didn't you know?\The outer walls are dual layered with water in the middle\to protect us from hazardous cosmic rays. response:	We raise consumable fish along with other forms of sea life.
context: Where did these guts come from?\Space squid, probably.\For reals?!\They're caught in the Star Rose.\Didn't you know?\The outer walls are dual layered with water in the middle\to protect us from hazardous cosmic rays.\We raise consumable fish along with other forms of sea life. response:	Wow! I never knew!
context: Space squid, probably.\For reals?!\They're caught in the Star Rose.\Didn't you know?\The outer walls are dual layered with water in the middle\to protect us from hazardous cosmic rays.\We raise consumable fish along with other forms of sea life.\Wow! I never knew! response:	Is that where the boiled mackerel I had for breakfast came from?
context: For reals?!\They're caught in the Star Rose.\Didn't you know?\The outer walls are dual layered with water in the middle\to protect us from hazardous cosmic rays.\We raise consumable fish along with other forms of sea life.\Wow! I never knew!\Is that where the boiled mackerel I had for breakfast came from? response:	We catch them up here.
context: They're caught in the Star Rose.\Didn't you know?\The outer walls are dual layered with water in the middle\to protect us from hazardous cosmic rays.\We raise consumable fish along with other forms of sea life.\Wow! I never knew!\Is that where the boiled mackerel I had for breakfast came from?\We catch them up here. response:	Missy!
context: Didn't you know?\The outer walls are dual layered with water in the middle\to protect us from hazardous cosmic rays.\We raise consumable fish along with other forms of sea life.\Wow! I never knew!\Is that where the boiled mackerel I had for breakfast came from?\We catch them up here.\Missy! response:	We also farm other fish like tuna and yellowtail.
context: The outer walls are dual layered with water in the middle\to protect us from hazardous cosmic rays.\We raise consumable fish along with other forms of sea life.\Wow! I never knew!\Is that where the boiled mackerel I had for breakfast came from?\We catch them up here.\Missy!\We also farm other fish like tuna and yellowtail. response:	Did you come to see me?!
context: to protect us from hazardous cosmic rays.\We raise consumable fish along with other forms of sea life.\Wow! I never knew!\Is that where the boiled mackerel I had for breakfast came from?\We catch them up here.\Missy!\We also farm other fish like tuna and yellowtail.\Did you come to see me?! response:	No, I wouldn't say-
context: We raise consumable fish along with other forms of sea life.\Wow! I never knew!\Is that where the boiled mackerel I had for breakfast came from?\We catch them up here.\Missy!\We also farm other fish like tuna and yellowtail.\Did you come to see me?!\No, I wouldn't say- response:	Right, right! We came to see you, Kitty.
context: Wow! I never knew!\Is that where the boiled mackerel I had for breakfast came from?\We catch them up here.\Missy!\We also farm other fish like tuna and yellowtail.\Did you come to see me?!\No, I wouldn't say-\Right, right! We came to see you, Kitty. response:	This contains data regarding the anticipated weather
context: Is that where the boiled mackerel I had for breakfast came from?\We catch them up here.\Missy!\We also farm other fish like tuna and yellowtail.\Did you come to see me?!\No, I wouldn't say-\Right, right! We came to see you, Kitty.\This contains data regarding the anticipated weather response:	on Mars in 48 hours.
context: We catch them up here.\Missy!\We also farm other fish like tuna and yellowtail.\Did you come to see me?!\No, I wouldn't say-\Right, right! We came to see you, Kitty.\This contains data regarding the anticipated weather\on Mars in 48 hours. response:	There is a strong ferric oxide storm, which will limit
context: Missy!\We also farm other fish like tuna and yellowtail.\Did you come to see me?!\No, I wouldn't say-\Right, right! We came to see you, Kitty.\This contains data regarding the anticipated weather\on Mars in 48 hours.\There is a strong ferric oxide storm, which will limit response:	your AHSMB unit's maneuverability.
context: We also farm other fish like tuna and yellowtail.\Did you come to see me?!\No, I wouldn't say-\Right, right! We came to see you, Kitty.\This contains data regarding the anticipated weather\on Mars in 48 hours.\There is a strong ferric oxide storm, which will limit\your AHSMB unit's maneuverability. response:	Although I'm sure this will be a piece of cake for you, Kitty.
context: Did you come to see me?!\No, I wouldn't say-\Right, right! We came to see you, Kitty.\This contains data regarding the anticipated weather\on Mars in 48 hours.\There is a strong ferric oxide storm, which will limit\your AHSMB unit's maneuverability.\Although I'm sure this will be a piece of cake for you, Kitty. response:	Let's celebrate when you get back safe and sound.
context: No, I wouldn't say-\Right, right! We came to see you, Kitty.\This contains data regarding the anticipated weather\on Mars in 48 hours.\There is a strong ferric oxide storm, which will limit\your AHSMB unit's maneuverability.\Although I'm sure this will be a piece of cake for you, Kitty.\Let's celebrate when you get back safe and sound. response:	Mew!
context: Right, right! We came to see you, Kitty.\This contains data regarding the anticipated weather\on Mars in 48 hours.\There is a strong ferric oxide storm, which will limit\your AHSMB unit's maneuverability.\Although I'm sure this will be a piece of cake for you, Kitty.\Let's celebrate when you get back safe and sound.\Mew! response:	He's got Tamaki eating from the palm of his hand...
context: This contains data regarding the anticipated weather\on Mars in 48 hours.\There is a strong ferric oxide storm, which will limit\your AHSMB unit's maneuverability.\Although I'm sure this will be a piece of cake for you, Kitty.\Let's celebrate when you get back safe and sound.\Mew!\He's got Tamaki eating from the palm of his hand... response:	He's motivating her by dangling a carrot in front of her nose...
context: on Mars in 48 hours.\There is a strong ferric oxide storm, which will limit\your AHSMB unit's maneuverability.\Although I'm sure this will be a piece of cake for you, Kitty.\Let's celebrate when you get back safe and sound.\Mew!\He's got Tamaki eating from the palm of his hand...\He's motivating her by dangling a carrot in front of her nose... response:	Increasing backup engine's output.
context: There is a strong ferric oxide storm, which will limit\your AHSMB unit's maneuverability.\Although I'm sure this will be a piece of cake for you, Kitty.\Let's celebrate when you get back safe and sound.\Mew!\He's got Tamaki eating from the palm of his hand...\He's motivating her by dangling a carrot in front of her nose...\Increasing backup engine's output. response:	Disconnect all equipment.
context: your AHSMB unit's maneuverability.\Although I'm sure this will be a piece of cake for you, Kitty.\Let's celebrate when you get back safe and sound.\Mew!\He's got Tamaki eating from the palm of his hand...\He's motivating her by dangling a carrot in front of her nose...\Increasing backup engine's output.\Disconnect all equipment. response:	AUP activated. Disconnect all equipment.
context: Although I'm sure this will be a piece of cake for you, Kitty.\Let's celebrate when you get back safe and sound.\Mew!\He's got Tamaki eating from the palm of his hand...\He's motivating her by dangling a carrot in front of her nose...\Increasing backup engine's output.\Disconnect all equipment.\AUP activated. Disconnect all equipment. response:	Start all engines!
context: Let's celebrate when you get back safe and sound.\Mew!\He's got Tamaki eating from the palm of his hand...\He's motivating her by dangling a carrot in front of her nose...\Increasing backup engine's output.\Disconnect all equipment.\AUP activated. Disconnect all equipment.\Start all engines! response:	External power has been established.
context: Mew!\He's got Tamaki eating from the palm of his hand...\He's motivating her by dangling a carrot in front of her nose...\Increasing backup engine's output.\Disconnect all equipment.\AUP activated. Disconnect all equipment.\Start all engines!\External power has been established. response:	Internal pressure increasing. Turbines activated.
context: He's got Tamaki eating from the palm of his hand...\He's motivating her by dangling a carrot in front of her nose...\Increasing backup engine's output.\Disconnect all equipment.\AUP activated. Disconnect all equipment.\Start all engines!\External power has been established.\Internal pressure increasing. Turbines activated. response:	Main engine, military!
context: He's motivating her by dangling a carrot in front of her nose...\Increasing backup engine's output.\Disconnect all equipment.\AUP activated. Disconnect all equipment.\Start all engines!\External power has been established.\Internal pressure increasing. Turbines activated.\Main engine, military! response:	Blast off!
context: Increasing backup engine's output.\Disconnect all equipment.\AUP activated. Disconnect all equipment.\Start all engines!\External power has been established.\Internal pressure increasing. Turbines activated.\Main engine, military!\Blast off! response:	Is it all ready to go?
context: Disconnect all equipment.\AUP activated. Disconnect all equipment.\Start all engines!\External power has been established.\Internal pressure increasing. Turbines activated.\Main engine, military!\Blast off!\Is it all ready to go? response:	Hey, did you hear me?
context: AUP activated. Disconnect all equipment.\Start all engines!\External power has been established.\Internal pressure increasing. Turbines activated.\Main engine, military!\Blast off!\Is it all ready to go?\Hey, did you hear me? response:	Yeah, save it for later.
context: Start all engines!\External power has been established.\Internal pressure increasing. Turbines activated.\Main engine, military!\Blast off!\Is it all ready to go?\Hey, did you hear me?\Yeah, save it for later. response:	We're checking our records.
context: External power has been established.\Internal pressure increasing. Turbines activated.\Main engine, military!\Blast off!\Is it all ready to go?\Hey, did you hear me?\Yeah, save it for later.\We're checking our records. response:	Go get a clue!
context: Internal pressure increasing. Turbines activated.\Main engine, military!\Blast off!\Is it all ready to go?\Hey, did you hear me?\Yeah, save it for later.\We're checking our records.\Go get a clue! response:	Jeez! You've totally ruined my good mood.
context: Main engine, military!\Blast off!\Is it all ready to go?\Hey, did you hear me?\Yeah, save it for later.\We're checking our records.\Go get a clue!\Jeez! You've totally ruined my good mood. response:	Why did my pit crew have to be them of all people?
context: Blast off!\Is it all ready to go?\Hey, did you hear me?\Yeah, save it for later.\We're checking our records.\Go get a clue!\Jeez! You've totally ruined my good mood.\Why did my pit crew have to be them of all people? response:	3D girls bite.
context: Is it all ready to go?\Hey, did you hear me?\Yeah, save it for later.\We're checking our records.\Go get a clue!\Jeez! You've totally ruined my good mood.\Why did my pit crew have to be them of all people?\3D girls bite. response:	Uh-huh...
context: Hey, did you hear me?\Yeah, save it for later.\We're checking our records.\Go get a clue!\Jeez! You've totally ruined my good mood.\Why did my pit crew have to be them of all people?\3D girls bite.\Uh-huh... response:	Izuru Hitachi has risen to Harmonic Level 6...
context: Yeah, save it for later.\We're checking our records.\Go get a clue!\Jeez! You've totally ruined my good mood.\Why did my pit crew have to be them of all people?\3D girls bite.\Uh-huh...\Izuru Hitachi has risen to Harmonic Level 6... response:	That is too sharp of an increase...
context: We're checking our records.\Go get a clue!\Jeez! You've totally ruined my good mood.\Why did my pit crew have to be them of all people?\3D girls bite.\Uh-huh...\Izuru Hitachi has risen to Harmonic Level 6...\That is too sharp of an increase... response:	My! Tamaki's is also increasing.
context: Go get a clue!\Jeez! You've totally ruined my good mood.\Why did my pit crew have to be them of all people?\3D girls bite.\Uh-huh...\Izuru Hitachi has risen to Harmonic Level 6...\That is too sharp of an increase...\My! Tamaki's is also increasing. response:	It looks like this fluctuates dramatically based on their mental state.
context: Jeez! You've totally ruined my good mood.\Why did my pit crew have to be them of all people?\3D girls bite.\Uh-huh...\Izuru Hitachi has risen to Harmonic Level 6...\That is too sharp of an increase...\My! Tamaki's is also increasing.\It looks like this fluctuates dramatically based on their mental state. response:	Commence the operation!
context: Why did my pit crew have to be them of all people?\3D girls bite.\Uh-huh...\Izuru Hitachi has risen to Harmonic Level 6...\That is too sharp of an increase...\My! Tamaki's is also increasing.\It looks like this fluctuates dramatically based on their mental state.\Commence the operation! response:	Huh? It feels like I'm getting pulled down.
context: 3D girls bite.\Uh-huh...\Izuru Hitachi has risen to Harmonic Level 6...\That is too sharp of an increase...\My! Tamaki's is also increasing.\It looks like this fluctuates dramatically based on their mental state.\Commence the operation!\Huh? It feels like I'm getting pulled down. response:	We're dropping faster than I had expected.
context: Uh-huh...\Izuru Hitachi has risen to Harmonic Level 6...\That is too sharp of an increase...\My! Tamaki's is also increasing.\It looks like this fluctuates dramatically based on their mental state.\Commence the operation!\Huh? It feels like I'm getting pulled down.\We're dropping faster than I had expected. response:	The surface gravity on Mars is 3.71 m/s2.
context: Izuru Hitachi has risen to Harmonic Level 6...\That is too sharp of an increase...\My! Tamaki's is also increasing.\It looks like this fluctuates dramatically based on their mental state.\Commence the operation!\Huh? It feels like I'm getting pulled down.\We're dropping faster than I had expected.\The surface gravity on Mars is 3.71 m/s2. response:	It's a little over a third of Earth's gravity, so be careful!
context: That is too sharp of an increase...\My! Tamaki's is also increasing.\It looks like this fluctuates dramatically based on their mental state.\Commence the operation!\Huh? It feels like I'm getting pulled down.\We're dropping faster than I had expected.\The surface gravity on Mars is 3.71 m/s2.\It's a little over a third of Earth's gravity, so be careful! response:	Plus we've got some nasty winds!
context: My! Tamaki's is also increasing.\It looks like this fluctuates dramatically based on their mental state.\Commence the operation!\Huh? It feels like I'm getting pulled down.\We're dropping faster than I had expected.\The surface gravity on Mars is 3.71 m/s2.\It's a little over a third of Earth's gravity, so be careful!\Plus we've got some nasty winds! response:	This doesn't bug me at all!
context: It looks like this fluctuates dramatically based on their mental state.\Commence the operation!\Huh? It feels like I'm getting pulled down.\We're dropping faster than I had expected.\The surface gravity on Mars is 3.71 m/s2.\It's a little over a third of Earth's gravity, so be careful!\Plus we've got some nasty winds!\This doesn't bug me at all! response:	Then you're the only one who isn't having issues!
context: Commence the operation!\Huh? It feels like I'm getting pulled down.\We're dropping faster than I had expected.\The surface gravity on Mars is 3.71 m/s2.\It's a little over a third of Earth's gravity, so be careful!\Plus we've got some nasty winds!\This doesn't bug me at all!\Then you're the only one who isn't having issues! response:	Found it!
context: Huh? It feels like I'm getting pulled down.\We're dropping faster than I had expected.\The surface gravity on Mars is 3.71 m/s2.\It's a little over a third of Earth's gravity, so be careful!\Plus we've got some nasty winds!\This doesn't bug me at all!\Then you're the only one who isn't having issues!\Found it! response:	Tamaki, scout it out.
context: We're dropping faster than I had expected.\The surface gravity on Mars is 3.71 m/s2.\It's a little over a third of Earth's gravity, so be careful!\Plus we've got some nasty winds!\This doesn't bug me at all!\Then you're the only one who isn't having issues!\Found it!\Tamaki, scout it out. response:	Roger!
context: The surface gravity on Mars is 3.71 m/s2.\It's a little over a third of Earth's gravity, so be careful!\Plus we've got some nasty winds!\This doesn't bug me at all!\Then you're the only one who isn't having issues!\Found it!\Tamaki, scout it out.\Roger! response:	Some bogeys came out!
context: It's a little over a third of Earth's gravity, so be careful!\Plus we've got some nasty winds!\This doesn't bug me at all!\Then you're the only one who isn't having issues!\Found it!\Tamaki, scout it out.\Roger!\Some bogeys came out! response:	They fell down all on their own.
context: Plus we've got some nasty winds!\This doesn't bug me at all!\Then you're the only one who isn't having issues!\Found it!\Tamaki, scout it out.\Roger!\Some bogeys came out!\They fell down all on their own. response:	I've identified enemy fighters around the capital ship!
context: This doesn't bug me at all!\Then you're the only one who isn't having issues!\Found it!\Tamaki, scout it out.\Roger!\Some bogeys came out!\They fell down all on their own.\I've identified enemy fighters around the capital ship! response:	I can't see them through this storm!
context: Then you're the only one who isn't having issues!\Found it!\Tamaki, scout it out.\Roger!\Some bogeys came out!\They fell down all on their own.\I've identified enemy fighters around the capital ship!\I can't see them through this storm! response:	Kei, what is the situation around the target?
