context: Haikyu!! response:	Episode 25: The Third Day
context: Push it, push it, push it! Push it, push it, Seijoh!\Shiratorizawa!\I'm going to crush you today. You'd better be prepared, Ushikawa-chan.\Stop calling me that, Oikawa.\Aoba Johsai Shiratorizawa\So hungry!\Let's go to the cafeteria.\Hinata, let's go eat. response:	By the way, I heard it was a close match yesterday.
context: Shiratorizawa!\I'm going to crush you today. You'd better be prepared, Ushikawa-chan.\Stop calling me that, Oikawa.\Aoba Johsai Shiratorizawa\So hungry!\Let's go to the cafeteria.\Hinata, let's go eat.\By the way, I heard it was a close match yesterday. response:	We lost last week in our third game, too.
context: I'm going to crush you today. You'd better be prepared, Ushikawa-chan.\Stop calling me that, Oikawa.\Aoba Johsai Shiratorizawa\So hungry!\Let's go to the cafeteria.\Hinata, let's go eat.\By the way, I heard it was a close match yesterday.\We lost last week in our third game, too. response:	So the team that beat us ended up in nationals...
context: Stop calling me that, Oikawa.\Aoba Johsai Shiratorizawa\So hungry!\Let's go to the cafeteria.\Hinata, let's go eat.\By the way, I heard it was a close match yesterday.\We lost last week in our third game, too.\So the team that beat us ended up in nationals... response:	What's wrong? You're not gonna eat?
context: Aoba Johsai Shiratorizawa\So hungry!\Let's go to the cafeteria.\Hinata, let's go eat.\By the way, I heard it was a close match yesterday.\We lost last week in our third game, too.\So the team that beat us ended up in nationals...\What's wrong? You're not gonna eat? response:	Bathroom.
context: So hungry!\Let's go to the cafeteria.\Hinata, let's go eat.\By the way, I heard it was a close match yesterday.\We lost last week in our third game, too.\So the team that beat us ended up in nationals...\What's wrong? You're not gonna eat?\Bathroom. response:	The first day that Hinata and Kageyama came to the volleyball club,
context: Let's go to the cafeteria.\Hinata, let's go eat.\By the way, I heard it was a close match yesterday.\We lost last week in our third game, too.\So the team that beat us ended up in nationals...\What's wrong? You're not gonna eat?\Bathroom.\The first day that Hinata and Kageyama came to the volleyball club, response:	Daichi-san said we'd be going to the spring tournament.
context: Hinata, let's go eat.\By the way, I heard it was a close match yesterday.\We lost last week in our third game, too.\So the team that beat us ended up in nationals...\What's wrong? You're not gonna eat?\Bathroom.\The first day that Hinata and Kageyama came to the volleyball club,\Daichi-san said we'd be going to the spring tournament. response:	The spring tournament...
context: By the way, I heard it was a close match yesterday.\We lost last week in our third game, too.\So the team that beat us ended up in nationals...\What's wrong? You're not gonna eat?\Bathroom.\The first day that Hinata and Kageyama came to the volleyball club,\Daichi-san said we'd be going to the spring tournament.\The spring tournament... response:	Aren't the first-round preliminaries in August?
context: We lost last week in our third game, too.\So the team that beat us ended up in nationals...\What's wrong? You're not gonna eat?\Bathroom.\The first day that Hinata and Kageyama came to the volleyball club,\Daichi-san said we'd be going to the spring tournament.\The spring tournament...\Aren't the first-round preliminaries in August? response:	We said we were going once more.
context: So the team that beat us ended up in nationals...\What's wrong? You're not gonna eat?\Bathroom.\The first day that Hinata and Kageyama came to the volleyball club,\Daichi-san said we'd be going to the spring tournament.\The spring tournament...\Aren't the first-round preliminaries in August?\We said we were going once more. response:	We can't keep thinking about a match we lost.
context: What's wrong? You're not gonna eat?\Bathroom.\The first day that Hinata and Kageyama came to the volleyball club,\Daichi-san said we'd be going to the spring tournament.\The spring tournament...\Aren't the first-round preliminaries in August?\We said we were going once more.\We can't keep thinking about a match we lost. response:	I think it's best that we back out here.
context: Bathroom.\The first day that Hinata and Kageyama came to the volleyball club,\Daichi-san said we'd be going to the spring tournament.\The spring tournament...\Aren't the first-round preliminaries in August?\We said we were going once more.\We can't keep thinking about a match we lost.\I think it's best that we back out here. response:	Huh?
context: The first day that Hinata and Kageyama came to the volleyball club,\Daichi-san said we'd be going to the spring tournament.\The spring tournament...\Aren't the first-round preliminaries in August?\We said we were going once more.\We can't keep thinking about a match we lost.\I think it's best that we back out here.\Huh? response:	I wanted all of us third-years to be able to compete in the spring tournament,
context: Daichi-san said we'd be going to the spring tournament.\The spring tournament...\Aren't the first-round preliminaries in August?\We said we were going once more.\We can't keep thinking about a match we lost.\I think it's best that we back out here.\Huh?\I wanted all of us third-years to be able to compete in the spring tournament, response:	so I wanted us to hang in there until then and go to Tokyo to fight.
context: The spring tournament...\Aren't the first-round preliminaries in August?\We said we were going once more.\We can't keep thinking about a match we lost.\I think it's best that we back out here.\Huh?\I wanted all of us third-years to be able to compete in the spring tournament,\so I wanted us to hang in there until then and go to Tokyo to fight. response:	But...
context: Aren't the first-round preliminaries in August?\We said we were going once more.\We can't keep thinking about a match we lost.\I think it's best that we back out here.\Huh?\I wanted all of us third-years to be able to compete in the spring tournament,\so I wanted us to hang in there until then and go to Tokyo to fight.\But... response:	After watching the first and second-years,
context: We said we were going once more.\We can't keep thinking about a match we lost.\I think it's best that we back out here.\Huh?\I wanted all of us third-years to be able to compete in the spring tournament,\so I wanted us to hang in there until then and go to Tokyo to fight.\But...\After watching the first and second-years, response:	I think it might be better to hand the club over to them.
context: We can't keep thinking about a match we lost.\I think it's best that we back out here.\Huh?\I wanted all of us third-years to be able to compete in the spring tournament,\so I wanted us to hang in there until then and go to Tokyo to fight.\But...\After watching the first and second-years,\I think it might be better to hand the club over to them. response:	Their futures are so full of promise,
context: I think it's best that we back out here.\Huh?\I wanted all of us third-years to be able to compete in the spring tournament,\so I wanted us to hang in there until then and go to Tokyo to fight.\But...\After watching the first and second-years,\I think it might be better to hand the club over to them.\Their futures are so full of promise, response:	that it might be better to let them start as the mainstays of a new team.
context: Huh?\I wanted all of us third-years to be able to compete in the spring tournament,\so I wanted us to hang in there until then and go to Tokyo to fight.\But...\After watching the first and second-years,\I think it might be better to hand the club over to them.\Their futures are so full of promise,\that it might be better to let them start as the mainstays of a new team. response:	That way, the team will
context: I wanted all of us third-years to be able to compete in the spring tournament,\so I wanted us to hang in there until then and go to Tokyo to fight.\But...\After watching the first and second-years,\I think it might be better to hand the club over to them.\Their futures are so full of promise,\that it might be better to let them start as the mainstays of a new team.\That way, the team will response:	Daichi,
context: so I wanted us to hang in there until then and go to Tokyo to fight.\But...\After watching the first and second-years,\I think it might be better to hand the club over to them.\Their futures are so full of promise,\that it might be better to let them start as the mainstays of a new team.\That way, the team will\Daichi, response:	do you really mean that?
context: But...\After watching the first and second-years,\I think it might be better to hand the club over to them.\Their futures are so full of promise,\that it might be better to let them start as the mainstays of a new team.\That way, the team will\Daichi,\do you really mean that? response:	It's true that, as captain, you're responsible for thinking about the team.
context: After watching the first and second-years,\I think it might be better to hand the club over to them.\Their futures are so full of promise,\that it might be better to let them start as the mainstays of a new team.\That way, the team will\Daichi,\do you really mean that?\It's true that, as captain, you're responsible for thinking about the team. response:	But I don't think you need to completely remove yourself.
context: I think it might be better to hand the club over to them.\Their futures are so full of promise,\that it might be better to let them start as the mainstays of a new team.\That way, the team will\Daichi,\do you really mean that?\It's true that, as captain, you're responsible for thinking about the team.\But I don't think you need to completely remove yourself. response:	If you've already made your decision, I won't object,
context: Their futures are so full of promise,\that it might be better to let them start as the mainstays of a new team.\That way, the team will\Daichi,\do you really mean that?\It's true that, as captain, you're responsible for thinking about the team.\But I don't think you need to completely remove yourself.\If you've already made your decision, I won't object, response:	but if that's not the case,
context: that it might be better to let them start as the mainstays of a new team.\That way, the team will\Daichi,\do you really mean that?\It's true that, as captain, you're responsible for thinking about the team.\But I don't think you need to completely remove yourself.\If you've already made your decision, I won't object,\but if that's not the case, response:	then at least see things through to the end.
context: That way, the team will\Daichi,\do you really mean that?\It's true that, as captain, you're responsible for thinking about the team.\But I don't think you need to completely remove yourself.\If you've already made your decision, I won't object,\but if that's not the case,\then at least see things through to the end. response:	As I already said, I'm staying.
context: Daichi,\do you really mean that?\It's true that, as captain, you're responsible for thinking about the team.\But I don't think you need to completely remove yourself.\If you've already made your decision, I won't object,\but if that's not the case,\then at least see things through to the end.\As I already said, I'm staying. response:	If the first and second-years asked me to leave,
context: do you really mean that?\It's true that, as captain, you're responsible for thinking about the team.\But I don't think you need to completely remove yourself.\If you've already made your decision, I won't object,\but if that's not the case,\then at least see things through to the end.\As I already said, I'm staying.\If the first and second-years asked me to leave, response:	then I'll think about it.
context: It's true that, as captain, you're responsible for thinking about the team.\But I don't think you need to completely remove yourself.\If you've already made your decision, I won't object,\but if that's not the case,\then at least see things through to the end.\As I already said, I'm staying.\If the first and second-years asked me to leave,\then I'll think about it. response:	And I'm staying even if you and Asahi leave.
context: But I don't think you need to completely remove yourself.\If you've already made your decision, I won't object,\but if that's not the case,\then at least see things through to the end.\As I already said, I'm staying.\If the first and second-years asked me to leave,\then I'll think about it.\And I'm staying even if you and Asahi leave. response:	I already said I'd stay yesterday!
context: If you've already made your decision, I won't object,\but if that's not the case,\then at least see things through to the end.\As I already said, I'm staying.\If the first and second-years asked me to leave,\then I'll think about it.\And I'm staying even if you and Asahi leave.\I already said I'd stay yesterday! response:	I'm not planning on going to college.
context: but if that's not the case,\then at least see things through to the end.\As I already said, I'm staying.\If the first and second-years asked me to leave,\then I'll think about it.\And I'm staying even if you and Asahi leave.\I already said I'd stay yesterday!\I'm not planning on going to college. response:	If the first and second-years asked me to leave,
context: then at least see things through to the end.\As I already said, I'm staying.\If the first and second-years asked me to leave,\then I'll think about it.\And I'm staying even if you and Asahi leave.\I already said I'd stay yesterday!\I'm not planning on going to college.\If the first and second-years asked me to leave, response:	I'd feel really bad.
context: As I already said, I'm staying.\If the first and second-years asked me to leave,\then I'll think about it.\And I'm staying even if you and Asahi leave.\I already said I'd stay yesterday!\I'm not planning on going to college.\If the first and second-years asked me to leave,\I'd feel really bad. response:	Of course
context: If the first and second-years asked me to leave,\then I'll think about it.\And I'm staying even if you and Asahi leave.\I already said I'd stay yesterday!\I'm not planning on going to college.\If the first and second-years asked me to leave,\I'd feel really bad.\Of course response:	I want to keep playing!
context: then I'll think about it.\And I'm staying even if you and Asahi leave.\I already said I'd stay yesterday!\I'm not planning on going to college.\If the first and second-years asked me to leave,\I'd feel really bad.\Of course\I want to keep playing! response:	I want to keep playing volleyball with you guys!
context: And I'm staying even if you and Asahi leave.\I already said I'd stay yesterday!\I'm not planning on going to college.\If the first and second-years asked me to leave,\I'd feel really bad.\Of course\I want to keep playing!\I want to keep playing volleyball with you guys! response:	Takeda-sensei,
context: I already said I'd stay yesterday!\I'm not planning on going to college.\If the first and second-years asked me to leave,\I'd feel really bad.\Of course\I want to keep playing!\I want to keep playing volleyball with you guys!\Takeda-sensei, response:	may I talk to you for a moment, in regard to to the volleyball club?
context: I'm not planning on going to college.\If the first and second-years asked me to leave,\I'd feel really bad.\Of course\I want to keep playing!\I want to keep playing volleyball with you guys!\Takeda-sensei,\may I talk to you for a moment, in regard to to the volleyball club? response:	Yes?
context: If the first and second-years asked me to leave,\I'd feel really bad.\Of course\I want to keep playing!\I want to keep playing volleyball with you guys!\Takeda-sensei,\may I talk to you for a moment, in regard to to the volleyball club?\Yes? response:	Karasuno High School Volleyball Club
context: I'd feel really bad.\Of course\I want to keep playing!\I want to keep playing volleyball with you guys!\Takeda-sensei,\may I talk to you for a moment, in regard to to the volleyball club?\Yes?\Karasuno High School Volleyball Club response:	You got to be in the game.
context: Of course\I want to keep playing!\I want to keep playing volleyball with you guys!\Takeda-sensei,\may I talk to you for a moment, in regard to to the volleyball club?\Yes?\Karasuno High School Volleyball Club\You got to be in the game. response:	How was it?
context: I want to keep playing!\I want to keep playing volleyball with you guys!\Takeda-sensei,\may I talk to you for a moment, in regard to to the volleyball club?\Yes?\Karasuno High School Volleyball Club\You got to be in the game.\How was it? response:	Was it fun, Tadashi?
context: I want to keep playing volleyball with you guys!\Takeda-sensei,\may I talk to you for a moment, in regard to to the volleyball club?\Yes?\Karasuno High School Volleyball Club\You got to be in the game.\How was it?\Was it fun, Tadashi? response:	No...
context: Takeda-sensei,\may I talk to you for a moment, in regard to to the volleyball club?\Yes?\Karasuno High School Volleyball Club\You got to be in the game.\How was it?\Was it fun, Tadashi?\No... response:	No!
context: may I talk to you for a moment, in regard to to the volleyball club?\Yes?\Karasuno High School Volleyball Club\You got to be in the game.\How was it?\Was it fun, Tadashi?\No...\No! response:	I can imagine.
context: Yes?\Karasuno High School Volleyball Club\You got to be in the game.\How was it?\Was it fun, Tadashi?\No...\No!\I can imagine. response:	Your body won't move right.
context: Karasuno High School Volleyball Club\You got to be in the game.\How was it?\Was it fun, Tadashi?\No...\No!\I can imagine.\Your body won't move right. response:	The ball won't fly.
context: You got to be in the game.\How was it?\Was it fun, Tadashi?\No...\No!\I can imagine.\Your body won't move right.\The ball won't fly. response:	Of course that's not fun.
context: How was it?\Was it fun, Tadashi?\No...\No!\I can imagine.\Your body won't move right.\The ball won't fly.\Of course that's not fun. response:	Up until junior high, I thought it was fun just to play with everyone.
context: Was it fun, Tadashi?\No...\No!\I can imagine.\Your body won't move right.\The ball won't fly.\Of course that's not fun.\Up until junior high, I thought it was fun just to play with everyone. response:	That was what volleyball was to me.
context: No...\No!\I can imagine.\Your body won't move right.\The ball won't fly.\Of course that's not fun.\Up until junior high, I thought it was fun just to play with everyone.\That was what volleyball was to me. response:	But that's not it...
context: No!\I can imagine.\Your body won't move right.\The ball won't fly.\Of course that's not fun.\Up until junior high, I thought it was fun just to play with everyone.\That was what volleyball was to me.\But that's not it... response:	That's not it...
context: I can imagine.\Your body won't move right.\The ball won't fly.\Of course that's not fun.\Up until junior high, I thought it was fun just to play with everyone.\That was what volleyball was to me.\But that's not it...\That's not it... response:	I want to be like the others, and...
context: Your body won't move right.\The ball won't fly.\Of course that's not fun.\Up until junior high, I thought it was fun just to play with everyone.\That was what volleyball was to me.\But that's not it...\That's not it...\I want to be like the others, and... response:	I want to be able to make my body move right!
context: The ball won't fly.\Of course that's not fun.\Up until junior high, I thought it was fun just to play with everyone.\That was what volleyball was to me.\But that's not it...\That's not it...\I want to be like the others, and...\I want to be able to make my body move right! response:	I want to control the ball!
context: Of course that's not fun.\Up until junior high, I thought it was fun just to play with everyone.\That was what volleyball was to me.\But that's not it...\That's not it...\I want to be like the others, and...\I want to be able to make my body move right!\I want to control the ball! response:	I want to play on the same level as the other, better players!
context: Up until junior high, I thought it was fun just to play with everyone.\That was what volleyball was to me.\But that's not it...\That's not it...\I want to be like the others, and...\I want to be able to make my body move right!\I want to control the ball!\I want to play on the same level as the other, better players! response:	To enjoy competitive activities, you need to be good.
context: That was what volleyball was to me.\But that's not it...\That's not it...\I want to be like the others, and...\I want to be able to make my body move right!\I want to control the ball!\I want to play on the same level as the other, better players!\To enjoy competitive activities, you need to be good. response:	Coach Ukai...
context: But that's not it...\That's not it...\I want to be like the others, and...\I want to be able to make my body move right!\I want to control the ball!\I want to play on the same level as the other, better players!\To enjoy competitive activities, you need to be good.\Coach Ukai... response:	I mean, his grandfather.
context: That's not it...\I want to be like the others, and...\I want to be able to make my body move right!\I want to control the ball!\I want to play on the same level as the other, better players!\To enjoy competitive activities, you need to be good.\Coach Ukai...\I mean, his grandfather. response:	He used to say that to me all the time.
context: I want to be like the others, and...\I want to be able to make my body move right!\I want to control the ball!\I want to play on the same level as the other, better players!\To enjoy competitive activities, you need to be good.\Coach Ukai...\I mean, his grandfather.\He used to say that to me all the time. response:	Of course, I wasn't the ace, or even a starting member.
context: I want to be able to make my body move right!\I want to control the ball!\I want to play on the same level as the other, better players!\To enjoy competitive activities, you need to be good.\Coach Ukai...\I mean, his grandfather.\He used to say that to me all the time.\Of course, I wasn't the ace, or even a starting member. response:	Practices were tough, and I thought about quitting.
context: I want to control the ball!\I want to play on the same level as the other, better players!\To enjoy competitive activities, you need to be good.\Coach Ukai...\I mean, his grandfather.\He used to say that to me all the time.\Of course, I wasn't the ace, or even a starting member.\Practices were tough, and I thought about quitting. response:	But...
context: I want to play on the same level as the other, better players!\To enjoy competitive activities, you need to be good.\Coach Ukai...\I mean, his grandfather.\He used to say that to me all the time.\Of course, I wasn't the ace, or even a starting member.\Practices were tough, and I thought about quitting.\But... response:	The first time I managed a service ace at a match, I thought,
context: To enjoy competitive activities, you need to be good.\Coach Ukai...\I mean, his grandfather.\He used to say that to me all the time.\Of course, I wasn't the ace, or even a starting member.\Practices were tough, and I thought about quitting.\But...\The first time I managed a service ace at a match, I thought, response:	Man... How many hours did I practice just for this one shot?
context: Coach Ukai...\I mean, his grandfather.\He used to say that to me all the time.\Of course, I wasn't the ace, or even a starting member.\Practices were tough, and I thought about quitting.\But...\The first time I managed a service ace at a match, I thought,\Man... How many hours did I practice just for this one shot? response:	If I can savor this one shot, this one moment, again,
context: I mean, his grandfather.\He used to say that to me all the time.\Of course, I wasn't the ace, or even a starting member.\Practices were tough, and I thought about quitting.\But...\The first time I managed a service ace at a match, I thought,\Man... How many hours did I practice just for this one shot?\If I can savor this one shot, this one moment, again, response:	I can survive those tough practices.
context: He used to say that to me all the time.\Of course, I wasn't the ace, or even a starting member.\Practices were tough, and I thought about quitting.\But...\The first time I managed a service ace at a match, I thought,\Man... How many hours did I practice just for this one shot?\If I can savor this one shot, this one moment, again,\I can survive those tough practices. response:	All right. Let's do this.
context: Of course, I wasn't the ace, or even a starting member.\Practices were tough, and I thought about quitting.\But...\The first time I managed a service ace at a match, I thought,\Man... How many hours did I practice just for this one shot?\If I can savor this one shot, this one moment, again,\I can survive those tough practices.\All right. Let's do this. response:	There isn't enough time before the next match.
context: Practices were tough, and I thought about quitting.\But...\The first time I managed a service ace at a match, I thought,\Man... How many hours did I practice just for this one shot?\If I can savor this one shot, this one moment, again,\I can survive those tough practices.\All right. Let's do this.\There isn't enough time before the next match. response:	Tsukki, let's eat!
context: But...\The first time I managed a service ace at a match, I thought,\Man... How many hours did I practice just for this one shot?\If I can savor this one shot, this one moment, again,\I can survive those tough practices.\All right. Let's do this.\There isn't enough time before the next match.\Tsukki, let's eat! response:	Shut up, Yamaguchi.
context: The first time I managed a service ace at a match, I thought,\Man... How many hours did I practice just for this one shot?\If I can savor this one shot, this one moment, again,\I can survive those tough practices.\All right. Let's do this.\There isn't enough time before the next match.\Tsukki, let's eat!\Shut up, Yamaguchi. response:	I'm sorry, Tsukki! Tsukki!
context: Man... How many hours did I practice just for this one shot?\If I can savor this one shot, this one moment, again,\I can survive those tough practices.\All right. Let's do this.\There isn't enough time before the next match.\Tsukki, let's eat!\Shut up, Yamaguchi.\I'm sorry, Tsukki! Tsukki! response:	Faculty Room
context: If I can savor this one shot, this one moment, again,\I can survive those tough practices.\All right. Let's do this.\There isn't enough time before the next match.\Tsukki, let's eat!\Shut up, Yamaguchi.\I'm sorry, Tsukki! Tsukki!\Faculty Room response:	Sugawara and Sawamura are both on track to move on to higher education,
context: I can survive those tough practices.\All right. Let's do this.\There isn't enough time before the next match.\Tsukki, let's eat!\Shut up, Yamaguchi.\I'm sorry, Tsukki! Tsukki!\Faculty Room\Sugawara and Sawamura are both on track to move on to higher education, response:	but they've said that they intend to continue club activities even after the Inter-High.
context: All right. Let's do this.\There isn't enough time before the next match.\Tsukki, let's eat!\Shut up, Yamaguchi.\I'm sorry, Tsukki! Tsukki!\Faculty Room\Sugawara and Sawamura are both on track to move on to higher education,\but they've said that they intend to continue club activities even after the Inter-High. response:	Especially Sugawara...
context: There isn't enough time before the next match.\Tsukki, let's eat!\Shut up, Yamaguchi.\I'm sorry, Tsukki! Tsukki!\Faculty Room\Sugawara and Sawamura are both on track to move on to higher education,\but they've said that they intend to continue club activities even after the Inter-High.\Especially Sugawara... response:	Pardon me...
context: Tsukki, let's eat!\Shut up, Yamaguchi.\I'm sorry, Tsukki! Tsukki!\Faculty Room\Sugawara and Sawamura are both on track to move on to higher education,\but they've said that they intend to continue club activities even after the Inter-High.\Especially Sugawara...\Pardon me... response:	Sugawara.
context: Shut up, Yamaguchi.\I'm sorry, Tsukki! Tsukki!\Faculty Room\Sugawara and Sawamura are both on track to move on to higher education,\but they've said that they intend to continue club activities even after the Inter-High.\Especially Sugawara...\Pardon me...\Sugawara. response:	I understand how you feel,
context: I'm sorry, Tsukki! Tsukki!\Faculty Room\Sugawara and Sawamura are both on track to move on to higher education,\but they've said that they intend to continue club activities even after the Inter-High.\Especially Sugawara...\Pardon me...\Sugawara.\I understand how you feel, response:	but you should concentrate on your studies.
context: Faculty Room\Sugawara and Sawamura are both on track to move on to higher education,\but they've said that they intend to continue club activities even after the Inter-High.\Especially Sugawara...\Pardon me...\Sugawara.\I understand how you feel,\but you should concentrate on your studies. response:	To be honest, I don't see any merit in continuing your club activities.
context: Sugawara and Sawamura are both on track to move on to higher education,\but they've said that they intend to continue club activities even after the Inter-High.\Especially Sugawara...\Pardon me...\Sugawara.\I understand how you feel,\but you should concentrate on your studies.\To be honest, I don't see any merit in continuing your club activities. response:	Sensei, I'm not playing volleyball for merit.
context: but they've said that they intend to continue club activities even after the Inter-High.\Especially Sugawara...\Pardon me...\Sugawara.\I understand how you feel,\but you should concentrate on your studies.\To be honest, I don't see any merit in continuing your club activities.\Sensei, I'm not playing volleyball for merit. response:	Sugawara doesn't play regularly in matches, does he?
context: Especially Sugawara...\Pardon me...\Sugawara.\I understand how you feel,\but you should concentrate on your studies.\To be honest, I don't see any merit in continuing your club activities.\Sensei, I'm not playing volleyball for merit.\Sugawara doesn't play regularly in matches, does he? response:	R-Right...
context: Pardon me...\Sugawara.\I understand how you feel,\but you should concentrate on your studies.\To be honest, I don't see any merit in continuing your club activities.\Sensei, I'm not playing volleyball for merit.\Sugawara doesn't play regularly in matches, does he?\R-Right... response:	His chances of becoming a professional athlete are low, as well.
context: Sugawara.\I understand how you feel,\but you should concentrate on your studies.\To be honest, I don't see any merit in continuing your club activities.\Sensei, I'm not playing volleyball for merit.\Sugawara doesn't play regularly in matches, does he?\R-Right...\His chances of becoming a professional athlete are low, as well. response:	Their grades are good, but I don't know if they'll be able to keep that up.
context: I understand how you feel,\but you should concentrate on your studies.\To be honest, I don't see any merit in continuing your club activities.\Sensei, I'm not playing volleyball for merit.\Sugawara doesn't play regularly in matches, does he?\R-Right...\His chances of becoming a professional athlete are low, as well.\Their grades are good, but I don't know if they'll be able to keep that up. response:	Could you talk to the third-years?
context: but you should concentrate on your studies.\To be honest, I don't see any merit in continuing your club activities.\Sensei, I'm not playing volleyball for merit.\Sugawara doesn't play regularly in matches, does he?\R-Right...\His chances of becoming a professional athlete are low, as well.\Their grades are good, but I don't know if they'll be able to keep that up.\Could you talk to the third-years? response:	Not about what they're doing right now, but with regard to their futures.
context: To be honest, I don't see any merit in continuing your club activities.\Sensei, I'm not playing volleyball for merit.\Sugawara doesn't play regularly in matches, does he?\R-Right...\His chances of becoming a professional athlete are low, as well.\Their grades are good, but I don't know if they'll be able to keep that up.\Could you talk to the third-years?\Not about what they're doing right now, but with regard to their futures. response:	Words from adults shouldn't be excuses for them.
context: Sensei, I'm not playing volleyball for merit.\Sugawara doesn't play regularly in matches, does he?\R-Right...\His chances of becoming a professional athlete are low, as well.\Their grades are good, but I don't know if they'll be able to keep that up.\Could you talk to the third-years?\Not about what they're doing right now, but with regard to their futures.\Words from adults shouldn't be excuses for them. response:	Those guys...
context: Sugawara doesn't play regularly in matches, does he?\R-Right...\His chances of becoming a professional athlete are low, as well.\Their grades are good, but I don't know if they'll be able to keep that up.\Could you talk to the third-years?\Not about what they're doing right now, but with regard to their futures.\Words from adults shouldn't be excuses for them.\Those guys... response:	What's up?
context: R-Right...\His chances of becoming a professional athlete are low, as well.\Their grades are good, but I don't know if they'll be able to keep that up.\Could you talk to the third-years?\Not about what they're doing right now, but with regard to their futures.\Words from adults shouldn't be excuses for them.\Those guys...\What's up? response:	I'm sure
context: His chances of becoming a professional athlete are low, as well.\Their grades are good, but I don't know if they'll be able to keep that up.\Could you talk to the third-years?\Not about what they're doing right now, but with regard to their futures.\Words from adults shouldn't be excuses for them.\Those guys...\What's up?\I'm sure response:	they're pretty bummed.
context: Their grades are good, but I don't know if they'll be able to keep that up.\Could you talk to the third-years?\Not about what they're doing right now, but with regard to their futures.\Words from adults shouldn't be excuses for them.\Those guys...\What's up?\I'm sure\they're pretty bummed. response:	I canceled our morning and after-school practices today,
context: Could you talk to the third-years?\Not about what they're doing right now, but with regard to their futures.\Words from adults shouldn't be excuses for them.\Those guys...\What's up?\I'm sure\they're pretty bummed.\I canceled our morning and after-school practices today, response:	considering everything that happened yesterday.
context: Not about what they're doing right now, but with regard to their futures.\Words from adults shouldn't be excuses for them.\Those guys...\What's up?\I'm sure\they're pretty bummed.\I canceled our morning and after-school practices today,\considering everything that happened yesterday. response:	Aoba Johsai was strong, weren't they?
context: Words from adults shouldn't be excuses for them.\Those guys...\What's up?\I'm sure\they're pretty bummed.\I canceled our morning and after-school practices today,\considering everything that happened yesterday.\Aoba Johsai was strong, weren't they? response:	They were strong...
context: Those guys...\What's up?\I'm sure\they're pretty bummed.\I canceled our morning and after-school practices today,\considering everything that happened yesterday.\Aoba Johsai was strong, weren't they?\They were strong... response:	Ridiculously strong.
