context: My family was rich. response:	I was sickly since birth...
context: Everyone's talking about how tall and cool you are.\I wonder if it's true that people from Okinawa all all good looking.\My height? Well, I play basketball, so...\Playing basketball in Okinawa that sounds so cool!\Besides, I'm not from Okinawa.\Oh yeah, you used to live around here, right?\Until seventh grade.\I have a picture. Want to see? response:	Yeah, yeah!
context: I wonder if it's true that people from Okinawa all all good looking.\My height? Well, I play basketball, so...\Playing basketball in Okinawa that sounds so cool!\Besides, I'm not from Okinawa.\Oh yeah, you used to live around here, right?\Until seventh grade.\I have a picture. Want to see?\Yeah, yeah! response:	Which one?
context: My height? Well, I play basketball, so...\Playing basketball in Okinawa that sounds so cool!\Besides, I'm not from Okinawa.\Oh yeah, you used to live around here, right?\Until seventh grade.\I have a picture. Want to see?\Yeah, yeah!\Which one? response:	This one.
context: Playing basketball in Okinawa that sounds so cool!\Besides, I'm not from Okinawa.\Oh yeah, you used to live around here, right?\Until seventh grade.\I have a picture. Want to see?\Yeah, yeah!\Which one?\This one. response:	Yeah Right!
context: Besides, I'm not from Okinawa.\Oh yeah, you used to live around here, right?\Until seventh grade.\I have a picture. Want to see?\Yeah, yeah!\Which one?\This one.\Yeah Right! response:	Nice Shot!
context: Oh yeah, you used to live around here, right?\Until seventh grade.\I have a picture. Want to see?\Yeah, yeah!\Which one?\This one.\Yeah Right!\Nice Shot! response:	And this is what she made us follow her around for?
context: Until seventh grade.\I have a picture. Want to see?\Yeah, yeah!\Which one?\This one.\Yeah Right!\Nice Shot!\And this is what she made us follow her around for? response:	But Tsubaki really gets into anything that has to do with sports.
context: I have a picture. Want to see?\Yeah, yeah!\Which one?\This one.\Yeah Right!\Nice Shot!\And this is what she made us follow her around for?\But Tsubaki really gets into anything that has to do with sports. response:	Just look at her expression.
context: Yeah, yeah!\Which one?\This one.\Yeah Right!\Nice Shot!\And this is what she made us follow her around for?\But Tsubaki really gets into anything that has to do with sports.\Just look at her expression. response:	Doesn't she seem like a totally different person from this morning?
context: Which one?\This one.\Yeah Right!\Nice Shot!\And this is what she made us follow her around for?\But Tsubaki really gets into anything that has to do with sports.\Just look at her expression.\Doesn't she seem like a totally different person from this morning? response:	Well, I guess it'sbetter than smacking people
context: This one.\Yeah Right!\Nice Shot!\And this is what she made us follow her around for?\But Tsubaki really gets into anything that has to do with sports.\Just look at her expression.\Doesn't she seem like a totally different person from this morning?\Well, I guess it'sbetter than smacking people response:	who annoy her without a care of what people think of her.
context: Yeah Right!\Nice Shot!\And this is what she made us follow her around for?\But Tsubaki really gets into anything that has to do with sports.\Just look at her expression.\Doesn't she seem like a totally different person from this morning?\Well, I guess it'sbetter than smacking people\who annoy her without a care of what people think of her. response:	You listen
context: Nice Shot!\And this is what she made us follow her around for?\But Tsubaki really gets into anything that has to do with sports.\Just look at her expression.\Doesn't she seem like a totally different person from this morning?\Well, I guess it'sbetter than smacking people\who annoy her without a care of what people think of her.\You listen response:	Okay, keep your eyes glued to this one!
context: And this is what she made us follow her around for?\But Tsubaki really gets into anything that has to do with sports.\Just look at her expression.\Doesn't she seem like a totally different person from this morning?\Well, I guess it'sbetter than smacking people\who annoy her without a care of what people think of her.\You listen\Okay, keep your eyes glued to this one! response:	Tsubaki said she's going to sink a dunk shot today no matter what.
context: But Tsubaki really gets into anything that has to do with sports.\Just look at her expression.\Doesn't she seem like a totally different person from this morning?\Well, I guess it'sbetter than smacking people\who annoy her without a care of what people think of her.\You listen\Okay, keep your eyes glued to this one!\Tsubaki said she's going to sink a dunk shot today no matter what. response:	Why would someone on the volleyball team want to sink a dunk shot?
context: Just look at her expression.\Doesn't she seem like a totally different person from this morning?\Well, I guess it'sbetter than smacking people\who annoy her without a care of what people think of her.\You listen\Okay, keep your eyes glued to this one!\Tsubaki said she's going to sink a dunk shot today no matter what.\Why would someone on the volleyball team want to sink a dunk shot? response:	Well, it's Tsubaki... Ooh, so close!
context: Doesn't she seem like a totally different person from this morning?\Well, I guess it'sbetter than smacking people\who annoy her without a care of what people think of her.\You listen\Okay, keep your eyes glued to this one!\Tsubaki said she's going to sink a dunk shot today no matter what.\Why would someone on the volleyball team want to sink a dunk shot?\Well, it's Tsubaki... Ooh, so close! response:	I want to go back to the classroom already.
context: Well, I guess it'sbetter than smacking people\who annoy her without a care of what people think of her.\You listen\Okay, keep your eyes glued to this one!\Tsubaki said she's going to sink a dunk shot today no matter what.\Why would someone on the volleyball team want to sink a dunk shot?\Well, it's Tsubaki... Ooh, so close!\I want to go back to the classroom already. response:	Argh, next time for sure.
context: who annoy her without a care of what people think of her.\You listen\Okay, keep your eyes glued to this one!\Tsubaki said she's going to sink a dunk shot today no matter what.\Why would someone on the volleyball team want to sink a dunk shot?\Well, it's Tsubaki... Ooh, so close!\I want to go back to the classroom already.\Argh, next time for sure. response:	Just give it up.
context: You listen\Okay, keep your eyes glued to this one!\Tsubaki said she's going to sink a dunk shot today no matter what.\Why would someone on the volleyball team want to sink a dunk shot?\Well, it's Tsubaki... Ooh, so close!\I want to go back to the classroom already.\Argh, next time for sure.\Just give it up. response:	Don't blame me if you get hurt.
context: Okay, keep your eyes glued to this one!\Tsubaki said she's going to sink a dunk shot today no matter what.\Why would someone on the volleyball team want to sink a dunk shot?\Well, it's Tsubaki... Ooh, so close!\I want to go back to the classroom already.\Argh, next time for sure.\Just give it up.\Don't blame me if you get hurt. response:	At some point I got used to being made fun of.
context: Tsubaki said she's going to sink a dunk shot today no matter what.\Why would someone on the volleyball team want to sink a dunk shot?\Well, it's Tsubaki... Ooh, so close!\I want to go back to the classroom already.\Argh, next time for sure.\Just give it up.\Don't blame me if you get hurt.\At some point I got used to being made fun of. response:	So? C'mon, tell us.
context: Why would someone on the volleyball team want to sink a dunk shot?\Well, it's Tsubaki... Ooh, so close!\I want to go back to the classroom already.\Argh, next time for sure.\Just give it up.\Don't blame me if you get hurt.\At some point I got used to being made fun of.\So? C'mon, tell us. response:	Once you accept the fact that you're worthless anyway...
context: Well, it's Tsubaki... Ooh, so close!\I want to go back to the classroom already.\Argh, next time for sure.\Just give it up.\Don't blame me if you get hurt.\At some point I got used to being made fun of.\So? C'mon, tell us.\Once you accept the fact that you're worthless anyway... response:	Moron, moron!
context: I want to go back to the classroom already.\Argh, next time for sure.\Just give it up.\Don't blame me if you get hurt.\At some point I got used to being made fun of.\So? C'mon, tell us.\Once you accept the fact that you're worthless anyway...\Moron, moron! response:	Give back my sneakers!
context: Argh, next time for sure.\Just give it up.\Don't blame me if you get hurt.\At some point I got used to being made fun of.\So? C'mon, tell us.\Once you accept the fact that you're worthless anyway...\Moron, moron!\Give back my sneakers! response:	Stupid, they're too good for you!
context: Just give it up.\Don't blame me if you get hurt.\At some point I got used to being made fun of.\So? C'mon, tell us.\Once you accept the fact that you're worthless anyway...\Moron, moron!\Give back my sneakers!\Stupid, they're too good for you! response:	Quit bullying around!!
context: Don't blame me if you get hurt.\At some point I got used to being made fun of.\So? C'mon, tell us.\Once you accept the fact that you're worthless anyway...\Moron, moron!\Give back my sneakers!\Stupid, they're too good for you!\Quit bullying around!! response:	Thank you.
context: At some point I got used to being made fun of.\So? C'mon, tell us.\Once you accept the fact that you're worthless anyway...\Moron, moron!\Give back my sneakers!\Stupid, they're too good for you!\Quit bullying around!!\Thank you. response:	You saved me
context: So? C'mon, tell us.\Once you accept the fact that you're worthless anyway...\Moron, moron!\Give back my sneakers!\Stupid, they're too good for you!\Quit bullying around!!\Thank you.\You saved me response:	Don't you let them make you cry either!! (Text:They both annoy her)
context: Once you accept the fact that you're worthless anyway...\Moron, moron!\Give back my sneakers!\Stupid, they're too good for you!\Quit bullying around!!\Thank you.\You saved me\Don't you let them make you cry either!! (Text:They both annoy her) response:	She knew judo, karate, aikido, and boxing...
context: Moron, moron!\Give back my sneakers!\Stupid, they're too good for you!\Quit bullying around!!\Thank you.\You saved me\Don't you let them make you cry either!! (Text:They both annoy her)\She knew judo, karate, aikido, and boxing... response:	She terrified every guy in school.
context: Give back my sneakers!\Stupid, they're too good for you!\Quit bullying around!!\Thank you.\You saved me\Don't you let them make you cry either!! (Text:They both annoy her)\She knew judo, karate, aikido, and boxing...\She terrified every guy in school. response:	That was Sakura Tsubaki. (Text:But she was nice to girls)
context: Stupid, they're too good for you!\Quit bullying around!!\Thank you.\You saved me\Don't you let them make you cry either!! (Text:They both annoy her)\She knew judo, karate, aikido, and boxing...\She terrified every guy in school.\That was Sakura Tsubaki. (Text:But she was nice to girls) response:	After that, she fixated on me for some reason.
context: Quit bullying around!!\Thank you.\You saved me\Don't you let them make you cry either!! (Text:They both annoy her)\She knew judo, karate, aikido, and boxing...\She terrified every guy in school.\That was Sakura Tsubaki. (Text:But she was nice to girls)\After that, she fixated on me for some reason. response:	What?
context: Thank you.\You saved me\Don't you let them make you cry either!! (Text:They both annoy her)\She knew judo, karate, aikido, and boxing...\She terrified every guy in school.\That was Sakura Tsubaki. (Text:But she was nice to girls)\After that, she fixated on me for some reason.\What? response:	Just come with me.
context: You saved me\Don't you let them make you cry either!! (Text:They both annoy her)\She knew judo, karate, aikido, and boxing...\She terrified every guy in school.\That was Sakura Tsubaki. (Text:But she was nice to girls)\After that, she fixated on me for some reason.\What?\Just come with me. response:	This, and this, and this...
context: Don't you let them make you cry either!! (Text:They both annoy her)\She knew judo, karate, aikido, and boxing...\She terrified every guy in school.\That was Sakura Tsubaki. (Text:But she was nice to girls)\After that, she fixated on me for some reason.\What?\Just come with me.\This, and this, and this... response:	And this, and this, and this...
context: She knew judo, karate, aikido, and boxing...\She terrified every guy in school.\That was Sakura Tsubaki. (Text:But she was nice to girls)\After that, she fixated on me for some reason.\What?\Just come with me.\This, and this, and this...\And this, and this, and this... response:	This'll be all, ma'am.
context: She terrified every guy in school.\That was Sakura Tsubaki. (Text:But she was nice to girls)\After that, she fixated on me for some reason.\What?\Just come with me.\This, and this, and this...\And this, and this, and this...\This'll be all, ma'am. response:	That'll be 280 yen.
context: That was Sakura Tsubaki. (Text:But she was nice to girls)\After that, she fixated on me for some reason.\What?\Just come with me.\This, and this, and this...\And this, and this, and this...\This'll be all, ma'am.\That'll be 280 yen. response:	280 yen.
context: After that, she fixated on me for some reason.\What?\Just come with me.\This, and this, and this...\And this, and this, and this...\This'll be all, ma'am.\That'll be 280 yen.\280 yen. response:	What?!
context: What?\Just come with me.\This, and this, and this...\And this, and this, and this...\This'll be all, ma'am.\That'll be 280 yen.\280 yen.\What?! response:	What, I can't use a credit card?
context: Just come with me.\This, and this, and this...\And this, and this, and this...\This'll be all, ma'am.\That'll be 280 yen.\280 yen.\What?!\What, I can't use a credit card? response:	Ok, here. (Text:10,000 Yen)
context: This, and this, and this...\And this, and this, and this...\This'll be all, ma'am.\That'll be 280 yen.\280 yen.\What?!\What, I can't use a credit card?\Ok, here. (Text:10,000 Yen) response:	This was just for today, okay? Don't do it any more.
context: And this, and this, and this...\This'll be all, ma'am.\That'll be 280 yen.\280 yen.\What?!\What, I can't use a credit card?\Ok, here. (Text:10,000 Yen)\This was just for today, okay? Don't do it any more. response:	Oh, fine.
context: This'll be all, ma'am.\That'll be 280 yen.\280 yen.\What?!\What, I can't use a credit card?\Ok, here. (Text:10,000 Yen)\This was just for today, okay? Don't do it any more.\Oh, fine. response:	Here, have half.
context: That'll be 280 yen.\280 yen.\What?!\What, I can't use a credit card?\Ok, here. (Text:10,000 Yen)\This was just for today, okay? Don't do it any more.\Oh, fine.\Here, have half. response:	I don't want anything with all those...
context: 280 yen.\What?!\What, I can't use a credit card?\Ok, here. (Text:10,000 Yen)\This was just for today, okay? Don't do it any more.\Oh, fine.\Here, have half.\I don't want anything with all those... response:	I only eat the candy mommy buys me from Ginza.
context: What?!\What, I can't use a credit card?\Ok, here. (Text:10,000 Yen)\This was just for today, okay? Don't do it any more.\Oh, fine.\Here, have half.\I don't want anything with all those...\I only eat the candy mommy buys me from Ginza. response:	And another time...
context: What, I can't use a credit card?\Ok, here. (Text:10,000 Yen)\This was just for today, okay? Don't do it any more.\Oh, fine.\Here, have half.\I don't want anything with all those...\I only eat the candy mommy buys me from Ginza.\And another time... response:	Pedal.
context: Ok, here. (Text:10,000 Yen)\This was just for today, okay? Don't do it any more.\Oh, fine.\Here, have half.\I don't want anything with all those...\I only eat the candy mommy buys me from Ginza.\And another time...\Pedal. response:	You can't even ride a bike?! What a loser!!
context: This was just for today, okay? Don't do it any more.\Oh, fine.\Here, have half.\I don't want anything with all those...\I only eat the candy mommy buys me from Ginza.\And another time...\Pedal.\You can't even ride a bike?! What a loser!! response:	Sh...Shut up,
context: Oh, fine.\Here, have half.\I don't want anything with all those...\I only eat the candy mommy buys me from Ginza.\And another time...\Pedal.\You can't even ride a bike?! What a loser!!\Sh...Shut up, response:	I just always get a ride in daddy's car.
context: Here, have half.\I don't want anything with all those...\I only eat the candy mommy buys me from Ginza.\And another time...\Pedal.\You can't even ride a bike?! What a loser!!\Sh...Shut up,\I just always get a ride in daddy's car. response:	You'll be fine. I'll support you back here. (Text:Riding double is dangerous!)
context: I don't want anything with all those...\I only eat the candy mommy buys me from Ginza.\And another time...\Pedal.\You can't even ride a bike?! What a loser!!\Sh...Shut up,\I just always get a ride in daddy's car.\You'll be fine. I'll support you back here. (Text:Riding double is dangerous!) response:	Really?
context: I only eat the candy mommy buys me from Ginza.\And another time...\Pedal.\You can't even ride a bike?! What a loser!!\Sh...Shut up,\I just always get a ride in daddy's car.\You'll be fine. I'll support you back here. (Text:Riding double is dangerous!)\Really? response:	Yeah, sure.
context: And another time...\Pedal.\You can't even ride a bike?! What a loser!!\Sh...Shut up,\I just always get a ride in daddy's car.\You'll be fine. I'll support you back here. (Text:Riding double is dangerous!)\Really?\Yeah, sure. response:	There was no end to Sakura's abuse of me.
context: Pedal.\You can't even ride a bike?! What a loser!!\Sh...Shut up,\I just always get a ride in daddy's car.\You'll be fine. I'll support you back here. (Text:Riding double is dangerous!)\Really?\Yeah, sure.\There was no end to Sakura's abuse of me. response:	Do it.
context: You can't even ride a bike?! What a loser!!\Sh...Shut up,\I just always get a ride in daddy's car.\You'll be fine. I'll support you back here. (Text:Riding double is dangerous!)\Really?\Yeah, sure.\There was no end to Sakura's abuse of me.\Do it. response:	She made me do her homework,
context: Sh...Shut up,\I just always get a ride in daddy's car.\You'll be fine. I'll support you back here. (Text:Riding double is dangerous!)\Really?\Yeah, sure.\There was no end to Sakura's abuse of me.\Do it.\She made me do her homework, response:	and then hit me.
context: I just always get a ride in daddy's car.\You'll be fine. I'll support you back here. (Text:Riding double is dangerous!)\Really?\Yeah, sure.\There was no end to Sakura's abuse of me.\Do it.\She made me do her homework,\and then hit me. response:	What the hell? This is wrong!
context: You'll be fine. I'll support you back here. (Text:Riding double is dangerous!)\Really?\Yeah, sure.\There was no end to Sakura's abuse of me.\Do it.\She made me do her homework,\and then hit me.\What the hell? This is wrong! response:	I don't make stupid mistakes like this!
context: Really?\Yeah, sure.\There was no end to Sakura's abuse of me.\Do it.\She made me do her homework,\and then hit me.\What the hell? This is wrong!\I don't make stupid mistakes like this! response:	I always do what you tell me to,
context: Yeah, sure.\There was no end to Sakura's abuse of me.\Do it.\She made me do her homework,\and then hit me.\What the hell? This is wrong!\I don't make stupid mistakes like this!\I always do what you tell me to, response:	so I want you to help me when I need it.
context: There was no end to Sakura's abuse of me.\Do it.\She made me do her homework,\and then hit me.\What the hell? This is wrong!\I don't make stupid mistakes like this!\I always do what you tell me to,\so I want you to help me when I need it. response:	Of course, I wouldn't make you do it for free. Here.
context: Do it.\She made me do her homework,\and then hit me.\What the hell? This is wrong!\I don't make stupid mistakes like this!\I always do what you tell me to,\so I want you to help me when I need it.\Of course, I wouldn't make you do it for free. Here. response:	Sure.
context: She made me do her homework,\and then hit me.\What the hell? This is wrong!\I don't make stupid mistakes like this!\I always do what you tell me to,\so I want you to help me when I need it.\Of course, I wouldn't make you do it for free. Here.\Sure. response:	Stupid meatball!
context: and then hit me.\What the hell? This is wrong!\I don't make stupid mistakes like this!\I always do what you tell me to,\so I want you to help me when I need it.\Of course, I wouldn't make you do it for free. Here.\Sure.\Stupid meatball! response:	I have Sakura on my side!
context: What the hell? This is wrong!\I don't make stupid mistakes like this!\I always do what you tell me to,\so I want you to help me when I need it.\Of course, I wouldn't make you do it for free. Here.\Sure.\Stupid meatball!\I have Sakura on my side! response:	Okay Sakura, beat them up!
context: I don't make stupid mistakes like this!\I always do what you tell me to,\so I want you to help me when I need it.\Of course, I wouldn't make you do it for free. Here.\Sure.\Stupid meatball!\I have Sakura on my side!\Okay Sakura, beat them up! response:	Oh, sorry.
context: I always do what you tell me to,\so I want you to help me when I need it.\Of course, I wouldn't make you do it for free. Here.\Sure.\Stupid meatball!\I have Sakura on my side!\Okay Sakura, beat them up!\Oh, sorry. response:	It's time for a TV show I wanted to watch.
context: so I want you to help me when I need it.\Of course, I wouldn't make you do it for free. Here.\Sure.\Stupid meatball!\I have Sakura on my side!\Okay Sakura, beat them up!\Oh, sorry.\It's time for a TV show I wanted to watch. response:	Ask me when nothing's on TV.
context: Of course, I wouldn't make you do it for free. Here.\Sure.\Stupid meatball!\I have Sakura on my side!\Okay Sakura, beat them up!\Oh, sorry.\It's time for a TV show I wanted to watch.\Ask me when nothing's on TV. response:	Why do you keep hanging around me anyway?
context: Sure.\Stupid meatball!\I have Sakura on my side!\Okay Sakura, beat them up!\Oh, sorry.\It's time for a TV show I wanted to watch.\Ask me when nothing's on TV.\Why do you keep hanging around me anyway? response:	Don't tell me you like me.
context: Stupid meatball!\I have Sakura on my side!\Okay Sakura, beat them up!\Oh, sorry.\It's time for a TV show I wanted to watch.\Ask me when nothing's on TV.\Why do you keep hanging around me anyway?\Don't tell me you like me. response:	Oh please.
context: I have Sakura on my side!\Okay Sakura, beat them up!\Oh, sorry.\It's time for a TV show I wanted to watch.\Ask me when nothing's on TV.\Why do you keep hanging around me anyway?\Don't tell me you like me.\Oh please. response:	Barbarian girls like you aren't my type.
context: Okay Sakura, beat them up!\Oh, sorry.\It's time for a TV show I wanted to watch.\Ask me when nothing's on TV.\Why do you keep hanging around me anyway?\Don't tell me you like me.\Oh please.\Barbarian girls like you aren't my type. response:	I have this urge to hit you.
context: Oh, sorry.\It's time for a TV show I wanted to watch.\Ask me when nothing's on TV.\Why do you keep hanging around me anyway?\Don't tell me you like me.\Oh please.\Barbarian girls like you aren't my type.\I have this urge to hit you. response:	You should stop and think why you get beat up for once.
context: It's time for a TV show I wanted to watch.\Ask me when nothing's on TV.\Why do you keep hanging around me anyway?\Don't tell me you like me.\Oh please.\Barbarian girls like you aren't my type.\I have this urge to hit you.\You should stop and think why you get beat up for once. response:	It was like I was stuck with the plague...all the way until seventh grade.
context: Ask me when nothing's on TV.\Why do you keep hanging around me anyway?\Don't tell me you like me.\Oh please.\Barbarian girls like you aren't my type.\I have this urge to hit you.\You should stop and think why you get beat up for once.\It was like I was stuck with the plague...all the way until seventh grade. response:	Damn you Sakura... (Text:But I can't do anything)
context: Why do you keep hanging around me anyway?\Don't tell me you like me.\Oh please.\Barbarian girls like you aren't my type.\I have this urge to hit you.\You should stop and think why you get beat up for once.\It was like I was stuck with the plague...all the way until seventh grade.\Damn you Sakura... (Text:But I can't do anything) response:	Therefore...
context: Don't tell me you like me.\Oh please.\Barbarian girls like you aren't my type.\I have this urge to hit you.\You should stop and think why you get beat up for once.\It was like I was stuck with the plague...all the way until seventh grade.\Damn you Sakura... (Text:But I can't do anything)\Therefore... response:	I was overjoyed when I heard we were moving. *Yahoo!*
context: Oh please.\Barbarian girls like you aren't my type.\I have this urge to hit you.\You should stop and think why you get beat up for once.\It was like I was stuck with the plague...all the way until seventh grade.\Damn you Sakura... (Text:But I can't do anything)\Therefore...\I was overjoyed when I heard we were moving. *Yahoo!* response:	I'll finally be free from this humiliating life!
context: Barbarian girls like you aren't my type.\I have this urge to hit you.\You should stop and think why you get beat up for once.\It was like I was stuck with the plague...all the way until seventh grade.\Damn you Sakura... (Text:But I can't do anything)\Therefore...\I was overjoyed when I heard we were moving. *Yahoo!*\I'll finally be free from this humiliating life! response:	Farewell, to the old me who was forced to be who I wasn't!
context: I have this urge to hit you.\You should stop and think why you get beat up for once.\It was like I was stuck with the plague...all the way until seventh grade.\Damn you Sakura... (Text:But I can't do anything)\Therefore...\I was overjoyed when I heard we were moving. *Yahoo!*\I'll finally be free from this humiliating life!\Farewell, to the old me who was forced to be who I wasn't! response:	But... I wanted to find out one last thing.
context: You should stop and think why you get beat up for once.\It was like I was stuck with the plague...all the way until seventh grade.\Damn you Sakura... (Text:But I can't do anything)\Therefore...\I was overjoyed when I heard we were moving. *Yahoo!*\I'll finally be free from this humiliating life!\Farewell, to the old me who was forced to be who I wasn't!\But... I wanted to find out one last thing. response:	Sakura, why do you keep pestering me?
context: It was like I was stuck with the plague...all the way until seventh grade.\Damn you Sakura... (Text:But I can't do anything)\Therefore...\I was overjoyed when I heard we were moving. *Yahoo!*\I'll finally be free from this humiliating life!\Farewell, to the old me who was forced to be who I wasn't!\But... I wanted to find out one last thing.\Sakura, why do you keep pestering me? response:	Oh, the teacher asked me to look after you back in elementary school.
context: Damn you Sakura... (Text:But I can't do anything)\Therefore...\I was overjoyed when I heard we were moving. *Yahoo!*\I'll finally be free from this humiliating life!\Farewell, to the old me who was forced to be who I wasn't!\But... I wanted to find out one last thing.\Sakura, why do you keep pestering me?\Oh, the teacher asked me to look after you back in elementary school. response:	With me around, you wouldn't get beat up that much.
context: Therefore...\I was overjoyed when I heard we were moving. *Yahoo!*\I'll finally be free from this humiliating life!\Farewell, to the old me who was forced to be who I wasn't!\But... I wanted to find out one last thing.\Sakura, why do you keep pestering me?\Oh, the teacher asked me to look after you back in elementary school.\With me around, you wouldn't get beat up that much. response:	And it's rather my policy not to beat people up.
context: I was overjoyed when I heard we were moving. *Yahoo!*\I'll finally be free from this humiliating life!\Farewell, to the old me who was forced to be who I wasn't!\But... I wanted to find out one last thing.\Sakura, why do you keep pestering me?\Oh, the teacher asked me to look after you back in elementary school.\With me around, you wouldn't get beat up that much.\And it's rather my policy not to beat people up. response:	Well, good luck at your new school.
context: I'll finally be free from this humiliating life!\Farewell, to the old me who was forced to be who I wasn't!\But... I wanted to find out one last thing.\Sakura, why do you keep pestering me?\Oh, the teacher asked me to look after you back in elementary school.\With me around, you wouldn't get beat up that much.\And it's rather my policy not to beat people up.\Well, good luck at your new school. response:	Take care.
context: Farewell, to the old me who was forced to be who I wasn't!\But... I wanted to find out one last thing.\Sakura, why do you keep pestering me?\Oh, the teacher asked me to look after you back in elementary school.\With me around, you wouldn't get beat up that much.\And it's rather my policy not to beat people up.\Well, good luck at your new school.\Take care. response:	She was asked, that was all. She thoght nothing of me.
context: But... I wanted to find out one last thing.\Sakura, why do you keep pestering me?\Oh, the teacher asked me to look after you back in elementary school.\With me around, you wouldn't get beat up that much.\And it's rather my policy not to beat people up.\Well, good luck at your new school.\Take care.\She was asked, that was all. She thoght nothing of me. response:	For the first time in my life, I realized my pride was deeply hurt.
context: Sakura, why do you keep pestering me?\Oh, the teacher asked me to look after you back in elementary school.\With me around, you wouldn't get beat up that much.\And it's rather my policy not to beat people up.\Well, good luck at your new school.\Take care.\She was asked, that was all. She thoght nothing of me.\For the first time in my life, I realized my pride was deeply hurt. response:	That to her, I was a meaningless existence.
context: Oh, the teacher asked me to look after you back in elementary school.\With me around, you wouldn't get beat up that much.\And it's rather my policy not to beat people up.\Well, good luck at your new school.\Take care.\She was asked, that was all. She thoght nothing of me.\For the first time in my life, I realized my pride was deeply hurt.\That to her, I was a meaningless existence. response:	But it was obvious, if you think about it. I was such a failure.
context: With me around, you wouldn't get beat up that much.\And it's rather my policy not to beat people up.\Well, good luck at your new school.\Take care.\She was asked, that was all. She thoght nothing of me.\For the first time in my life, I realized my pride was deeply hurt.\That to her, I was a meaningless existence.\But it was obvious, if you think about it. I was such a failure. response:	I knew I'd only be away for a short while.
context: And it's rather my policy not to beat people up.\Well, good luck at your new school.\Take care.\She was asked, that was all. She thoght nothing of me.\For the first time in my life, I realized my pride was deeply hurt.\That to her, I was a meaningless existence.\But it was obvious, if you think about it. I was such a failure.\I knew I'd only be away for a short while. response:	I will change.
context: Well, good luck at your new school.\Take care.\She was asked, that was all. She thoght nothing of me.\For the first time in my life, I realized my pride was deeply hurt.\That to her, I was a meaningless existence.\But it was obvious, if you think about it. I was such a failure.\I knew I'd only be away for a short while.\I will change. response:	I will change so much that there'll be no way she can ignore me the next time we meet.
context: Take care.\She was asked, that was all. She thoght nothing of me.\For the first time in my life, I realized my pride was deeply hurt.\That to her, I was a meaningless existence.\But it was obvious, if you think about it. I was such a failure.\I knew I'd only be away for a short while.\I will change.\I will change so much that there'll be no way she can ignore me the next time we meet. response:	I'm not going to let it end like this.
