context: Long ago, there was a warrior. response:	In order to protect his friend, the warrior took his friend's life.
context: It realized that in order to protect the peace, it had no choice but to kill the one who wielded it.\Thus it took its master's life.\The warrior and the sword had no choice but to do as they did, but was that really what they ought to have done?\Uncertain of the answer even now, they wander aimlessly.\Where are you, Mytho?\There's nowhere else left to look...\Her again.\The Warrior's Fountain response:	Persistent girl.
context: Thus it took its master's life.\The warrior and the sword had no choice but to do as they did, but was that really what they ought to have done?\Uncertain of the answer even now, they wander aimlessly.\Where are you, Mytho?\There's nowhere else left to look...\Her again.\The Warrior's Fountain\Persistent girl. response:	Fakir.
context: The warrior and the sword had no choice but to do as they did, but was that really what they ought to have done?\Uncertain of the answer even now, they wander aimlessly.\Where are you, Mytho?\There's nowhere else left to look...\Her again.\The Warrior's Fountain\Persistent girl.\Fakir. response:	You're awake.
context: Uncertain of the answer even now, they wander aimlessly.\Where are you, Mytho?\There's nowhere else left to look...\Her again.\The Warrior's Fountain\Persistent girl.\Fakir.\You're awake. response:	Where's Tutu?
context: Where are you, Mytho?\There's nowhere else left to look...\Her again.\The Warrior's Fountain\Persistent girl.\Fakir.\You're awake.\Where's Tutu? response:	Don't worry, Tutu isn't around anymore.
context: There's nowhere else left to look...\Her again.\The Warrior's Fountain\Persistent girl.\Fakir.\You're awake.\Where's Tutu?\Don't worry, Tutu isn't around anymore. response:	What happened?
context: Her again.\The Warrior's Fountain\Persistent girl.\Fakir.\You're awake.\Where's Tutu?\Don't worry, Tutu isn't around anymore.\What happened? response:	Tutu...helped me and...
context: The Warrior's Fountain\Persistent girl.\Fakir.\You're awake.\Where's Tutu?\Don't worry, Tutu isn't around anymore.\What happened?\Tutu...helped me and... response:	tried to restore a piece of my heart.
context: Persistent girl.\Fakir.\You're awake.\Where's Tutu?\Don't worry, Tutu isn't around anymore.\What happened?\Tutu...helped me and...\tried to restore a piece of my heart. response:	Mytho, you...
context: Fakir.\You're awake.\Where's Tutu?\Don't worry, Tutu isn't around anymore.\What happened?\Tutu...helped me and...\tried to restore a piece of my heart.\Mytho, you... response:	Then, Kraehe...
context: You're awake.\Where's Tutu?\Don't worry, Tutu isn't around anymore.\What happened?\Tutu...helped me and...\tried to restore a piece of my heart.\Mytho, you...\Then, Kraehe... response:	Kraehe?
context: Where's Tutu?\Don't worry, Tutu isn't around anymore.\What happened?\Tutu...helped me and...\tried to restore a piece of my heart.\Mytho, you...\Then, Kraehe...\Kraehe? response:	Yes, Kraehe, dressed like a black bird took my heart shard and...
context: Don't worry, Tutu isn't around anymore.\What happened?\Tutu...helped me and...\tried to restore a piece of my heart.\Mytho, you...\Then, Kraehe...\Kraehe?\Yes, Kraehe, dressed like a black bird took my heart shard and... response:	Tell me, Fakir, don't I...
context: What happened?\Tutu...helped me and...\tried to restore a piece of my heart.\Mytho, you...\Then, Kraehe...\Kraehe?\Yes, Kraehe, dressed like a black bird took my heart shard and...\Tell me, Fakir, don't I... response:	Don't I need to regain my heart?
context: Tutu...helped me and...\tried to restore a piece of my heart.\Mytho, you...\Then, Kraehe...\Kraehe?\Yes, Kraehe, dressed like a black bird took my heart shard and...\Tell me, Fakir, don't I...\Don't I need to regain my heart? response:	Forget about it.
context: tried to restore a piece of my heart.\Mytho, you...\Then, Kraehe...\Kraehe?\Yes, Kraehe, dressed like a black bird took my heart shard and...\Tell me, Fakir, don't I...\Don't I need to regain my heart?\Forget about it. response:	But...
context: Mytho, you...\Then, Kraehe...\Kraehe?\Yes, Kraehe, dressed like a black bird took my heart shard and...\Tell me, Fakir, don't I...\Don't I need to regain my heart?\Forget about it.\But... response:	Listen to me. I brought you back here, because I thought it would be safer with people around.
context: Then, Kraehe...\Kraehe?\Yes, Kraehe, dressed like a black bird took my heart shard and...\Tell me, Fakir, don't I...\Don't I need to regain my heart?\Forget about it.\But...\Listen to me. I brought you back here, because I thought it would be safer with people around. response:	Put your worries to rest and sleep.
context: Kraehe?\Yes, Kraehe, dressed like a black bird took my heart shard and...\Tell me, Fakir, don't I...\Don't I need to regain my heart?\Forget about it.\But...\Listen to me. I brought you back here, because I thought it would be safer with people around.\Put your worries to rest and sleep. response:	What... is this?
context: Yes, Kraehe, dressed like a black bird took my heart shard and...\Tell me, Fakir, don't I...\Don't I need to regain my heart?\Forget about it.\But...\Listen to me. I brought you back here, because I thought it would be safer with people around.\Put your worries to rest and sleep.\What... is this? response:	Why?
context: Tell me, Fakir, don't I...\Don't I need to regain my heart?\Forget about it.\But...\Listen to me. I brought you back here, because I thought it would be safer with people around.\Put your worries to rest and sleep.\What... is this?\Why? response:	Who's there?!
context: Don't I need to regain my heart?\Forget about it.\But...\Listen to me. I brought you back here, because I thought it would be safer with people around.\Put your worries to rest and sleep.\What... is this?\Why?\Who's there?! response:	Why did you bring me with you?
context: Forget about it.\But...\Listen to me. I brought you back here, because I thought it would be safer with people around.\Put your worries to rest and sleep.\What... is this?\Why?\Who's there?!\Why did you bring me with you? response:	You're Mytho's...
context: But...\Listen to me. I brought you back here, because I thought it would be safer with people around.\Put your worries to rest and sleep.\What... is this?\Why?\Who's there?!\Why did you bring me with you?\You're Mytho's... response:	Why? What do you mean that I brought you with me?
context: Listen to me. I brought you back here, because I thought it would be safer with people around.\Put your worries to rest and sleep.\What... is this?\Why?\Who's there?!\Why did you bring me with you?\You're Mytho's...\Why? What do you mean that I brought you with me? response:	You want to know a lot of things, don't you?
context: Put your worries to rest and sleep.\What... is this?\Why?\Who's there?!\Why did you bring me with you?\You're Mytho's...\Why? What do you mean that I brought you with me?\You want to know a lot of things, don't you? response:	I understand how you feel, because I'm the desire for knowledge.
context: What... is this?\Why?\Who's there?!\Why did you bring me with you?\You're Mytho's...\Why? What do you mean that I brought you with me?\You want to know a lot of things, don't you?\I understand how you feel, because I'm the desire for knowledge. response:	Desire for knowledge?
context: Why?\Who's there?!\Why did you bring me with you?\You're Mytho's...\Why? What do you mean that I brought you with me?\You want to know a lot of things, don't you?\I understand how you feel, because I'm the desire for knowledge.\Desire for knowledge? response:	You don't remember how you brought me here?
context: Who's there?!\Why did you bring me with you?\You're Mytho's...\Why? What do you mean that I brought you with me?\You want to know a lot of things, don't you?\I understand how you feel, because I'm the desire for knowledge.\Desire for knowledge?\You don't remember how you brought me here? response:	I did? You're lying.
context: Why did you bring me with you?\You're Mytho's...\Why? What do you mean that I brought you with me?\You want to know a lot of things, don't you?\I understand how you feel, because I'm the desire for knowledge.\Desire for knowledge?\You don't remember how you brought me here?\I did? You're lying. response:	Why do you don black feathers?
context: You're Mytho's...\Why? What do you mean that I brought you with me?\You want to know a lot of things, don't you?\I understand how you feel, because I'm the desire for knowledge.\Desire for knowledge?\You don't remember how you brought me here?\I did? You're lying.\Why do you don black feathers? response:	No!
context: Why? What do you mean that I brought you with me?\You want to know a lot of things, don't you?\I understand how you feel, because I'm the desire for knowledge.\Desire for knowledge?\You don't remember how you brought me here?\I did? You're lying.\Why do you don black feathers?\No! response:	Do you have a special power dwelling within you?
context: You want to know a lot of things, don't you?\I understand how you feel, because I'm the desire for knowledge.\Desire for knowledge?\You don't remember how you brought me here?\I did? You're lying.\Why do you don black feathers?\No!\Do you have a special power dwelling within you? response:	Come on, tell me, which is the real you?
context: I understand how you feel, because I'm the desire for knowledge.\Desire for knowledge?\You don't remember how you brought me here?\I did? You're lying.\Why do you don black feathers?\No!\Do you have a special power dwelling within you?\Come on, tell me, which is the real you? response:	Stop...
context: Desire for knowledge?\You don't remember how you brought me here?\I did? You're lying.\Why do you don black feathers?\No!\Do you have a special power dwelling within you?\Come on, tell me, which is the real you?\Stop... response:	Who are you really?
context: You don't remember how you brought me here?\I did? You're lying.\Why do you don black feathers?\No!\Do you have a special power dwelling within you?\Come on, tell me, which is the real you?\Stop...\Who are you really? response:	Stop!
context: I did? You're lying.\Why do you don black feathers?\No!\Do you have a special power dwelling within you?\Come on, tell me, which is the real you?\Stop...\Who are you really?\Stop! response:	I saw you!
context: Why do you don black feathers?\No!\Do you have a special power dwelling within you?\Come on, tell me, which is the real you?\Stop...\Who are you really?\Stop!\I saw you! response:	What?
context: No!\Do you have a special power dwelling within you?\Come on, tell me, which is the real you?\Stop...\Who are you really?\Stop!\I saw you!\What? response:	I most certainly saw you!
context: Do you have a special power dwelling within you?\Come on, tell me, which is the real you?\Stop...\Who are you really?\Stop!\I saw you!\What?\I most certainly saw you! response:	Confessing your love at the window?! Ahiru, you're so bold!
context: Come on, tell me, which is the real you?\Stop...\Who are you really?\Stop!\I saw you!\What?\I most certainly saw you!\Confessing your love at the window?! Ahiru, you're so bold! response:	It was like a reverse Romeo and Juliet!
context: Stop...\Who are you really?\Stop!\I saw you!\What?\I most certainly saw you!\Confessing your love at the window?! Ahiru, you're so bold!\It was like a reverse Romeo and Juliet! response:	Though, it's horribly different since it's one-sided.
context: Who are you really?\Stop!\I saw you!\What?\I most certainly saw you!\Confessing your love at the window?! Ahiru, you're so bold!\It was like a reverse Romeo and Juliet!\Though, it's horribly different since it's one-sided. response:	That's not what I was doing. Mytho's disappeared and...
context: Stop!\I saw you!\What?\I most certainly saw you!\Confessing your love at the window?! Ahiru, you're so bold!\It was like a reverse Romeo and Juliet!\Though, it's horribly different since it's one-sided.\That's not what I was doing. Mytho's disappeared and... response:	Right! I forgot about that!
context: I saw you!\What?\I most certainly saw you!\Confessing your love at the window?! Ahiru, you're so bold!\It was like a reverse Romeo and Juliet!\Though, it's horribly different since it's one-sided.\That's not what I was doing. Mytho's disappeared and...\Right! I forgot about that! response:	He hasn't been to class in a long time now, has he?
context: What?\I most certainly saw you!\Confessing your love at the window?! Ahiru, you're so bold!\It was like a reverse Romeo and Juliet!\Though, it's horribly different since it's one-sided.\That's not what I was doing. Mytho's disappeared and...\Right! I forgot about that!\He hasn't been to class in a long time now, has he? response:	That's why you couldn't contain yourself and resolved to confess, right?
context: I most certainly saw you!\Confessing your love at the window?! Ahiru, you're so bold!\It was like a reverse Romeo and Juliet!\Though, it's horribly different since it's one-sided.\That's not what I was doing. Mytho's disappeared and...\Right! I forgot about that!\He hasn't been to class in a long time now, has he?\That's why you couldn't contain yourself and resolved to confess, right? response:	That's not it.
context: Confessing your love at the window?! Ahiru, you're so bold!\It was like a reverse Romeo and Juliet!\Though, it's horribly different since it's one-sided.\That's not what I was doing. Mytho's disappeared and...\Right! I forgot about that!\He hasn't been to class in a long time now, has he?\That's why you couldn't contain yourself and resolved to confess, right?\That's not it. response:	Take this chance to attack, attack, attack all the way!
context: It was like a reverse Romeo and Juliet!\Though, it's horribly different since it's one-sided.\That's not what I was doing. Mytho's disappeared and...\Right! I forgot about that!\He hasn't been to class in a long time now, has he?\That's why you couldn't contain yourself and resolved to confess, right?\That's not it.\Take this chance to attack, attack, attack all the way! response:	Um... No...
context: Though, it's horribly different since it's one-sided.\That's not what I was doing. Mytho's disappeared and...\Right! I forgot about that!\He hasn't been to class in a long time now, has he?\That's why you couldn't contain yourself and resolved to confess, right?\That's not it.\Take this chance to attack, attack, attack all the way!\Um... No... response:	Though, you have no hope, since Mytho-sama has Rue-chan.
context: That's not what I was doing. Mytho's disappeared and...\Right! I forgot about that!\He hasn't been to class in a long time now, has he?\That's why you couldn't contain yourself and resolved to confess, right?\That's not it.\Take this chance to attack, attack, attack all the way!\Um... No...\Though, you have no hope, since Mytho-sama has Rue-chan. response:	I'm telling you, that's not it!
context: Right! I forgot about that!\He hasn't been to class in a long time now, has he?\That's why you couldn't contain yourself and resolved to confess, right?\That's not it.\Take this chance to attack, attack, attack all the way!\Um... No...\Though, you have no hope, since Mytho-sama has Rue-chan.\I'm telling you, that's not it! response:	Go for it and take your losses!
context: He hasn't been to class in a long time now, has he?\That's why you couldn't contain yourself and resolved to confess, right?\That's not it.\Take this chance to attack, attack, attack all the way!\Um... No...\Though, you have no hope, since Mytho-sama has Rue-chan.\I'm telling you, that's not it!\Go for it and take your losses! response:	Lose and be crushed!
context: That's why you couldn't contain yourself and resolved to confess, right?\That's not it.\Take this chance to attack, attack, attack all the way!\Um... No...\Though, you have no hope, since Mytho-sama has Rue-chan.\I'm telling you, that's not it!\Go for it and take your losses!\Lose and be crushed! response:	I was just...
context: That's not it.\Take this chance to attack, attack, attack all the way!\Um... No...\Though, you have no hope, since Mytho-sama has Rue-chan.\I'm telling you, that's not it!\Go for it and take your losses!\Lose and be crushed!\I was just... response:	He might show up to school today.
context: Take this chance to attack, attack, attack all the way!\Um... No...\Though, you have no hope, since Mytho-sama has Rue-chan.\I'm telling you, that's not it!\Go for it and take your losses!\Lose and be crushed!\I was just...\He might show up to school today. response:	What? You think so?
context: Um... No...\Though, you have no hope, since Mytho-sama has Rue-chan.\I'm telling you, that's not it!\Go for it and take your losses!\Lose and be crushed!\I was just...\He might show up to school today.\What? You think so? response:	You're hopeful, aren't you? You're so cute!
context: Though, you have no hope, since Mytho-sama has Rue-chan.\I'm telling you, that's not it!\Go for it and take your losses!\Lose and be crushed!\I was just...\He might show up to school today.\What? You think so?\You're hopeful, aren't you? You're so cute! response:	I wonder if Mytho will come?
context: I'm telling you, that's not it!\Go for it and take your losses!\Lose and be crushed!\I was just...\He might show up to school today.\What? You think so?\You're hopeful, aren't you? You're so cute!\I wonder if Mytho will come? response:	If he does, you have to say it properly and clearly, okay?
context: Go for it and take your losses!\Lose and be crushed!\I was just...\He might show up to school today.\What? You think so?\You're hopeful, aren't you? You're so cute!\I wonder if Mytho will come?\If he does, you have to say it properly and clearly, okay? response:	Huh? Say what?
context: Lose and be crushed!\I was just...\He might show up to school today.\What? You think so?\You're hopeful, aren't you? You're so cute!\I wonder if Mytho will come?\If he does, you have to say it properly and clearly, okay?\Huh? Say what? response:	Of course, what else?!
context: I was just...\He might show up to school today.\What? You think so?\You're hopeful, aren't you? You're so cute!\I wonder if Mytho will come?\If he does, you have to say it properly and clearly, okay?\Huh? Say what?\Of course, what else?! response:	What?
context: He might show up to school today.\What? You think so?\You're hopeful, aren't you? You're so cute!\I wonder if Mytho will come?\If he does, you have to say it properly and clearly, okay?\Huh? Say what?\Of course, what else?!\What? response:	That you love him!
context: What? You think so?\You're hopeful, aren't you? You're so cute!\I wonder if Mytho will come?\If he does, you have to say it properly and clearly, okay?\Huh? Say what?\Of course, what else?!\What?\That you love him! response:	What?! I can't say that to him! Because...
context: You're hopeful, aren't you? You're so cute!\I wonder if Mytho will come?\If he does, you have to say it properly and clearly, okay?\Huh? Say what?\Of course, what else?!\What?\That you love him!\What?! I can't say that to him! Because... response:	Because if I said that, I'd disappear...
context: I wonder if Mytho will come?\If he does, you have to say it properly and clearly, okay?\Huh? Say what?\Of course, what else?!\What?\That you love him!\What?! I can't say that to him! Because...\Because if I said that, I'd disappear... response:	You coward!
context: If he does, you have to say it properly and clearly, okay?\Huh? Say what?\Of course, what else?!\What?\That you love him!\What?! I can't say that to him! Because...\Because if I said that, I'd disappear...\You coward! response:	Oh? Where are you going?
context: Huh? Say what?\Of course, what else?!\What?\That you love him!\What?! I can't say that to him! Because...\Because if I said that, I'd disappear...\You coward!\Oh? Where are you going? response:	It's your fault.
context: Of course, what else?!\What?\That you love him!\What?! I can't say that to him! Because...\Because if I said that, I'd disappear...\You coward!\Oh? Where are you going?\It's your fault. response:	No way!
context: What?\That you love him!\What?! I can't say that to him! Because...\Because if I said that, I'd disappear...\You coward!\Oh? Where are you going?\It's your fault.\No way! response:	Ahiru.
context: That you love him!\What?! I can't say that to him! Because...\Because if I said that, I'd disappear...\You coward!\Oh? Where are you going?\It's your fault.\No way!\Ahiru. response:	What are you doing?
context: What?! I can't say that to him! Because...\Because if I said that, I'd disappear...\You coward!\Oh? Where are you going?\It's your fault.\No way!\Ahiru.\What are you doing? response:	Mytho...
context: Because if I said that, I'd disappear...\You coward!\Oh? Where are you going?\It's your fault.\No way!\Ahiru.\What are you doing?\Mytho... response:	You're okay...
context: You coward!\Oh? Where are you going?\It's your fault.\No way!\Ahiru.\What are you doing?\Mytho...\You're okay... response:	I'm so glad!
context: Oh? Where are you going?\It's your fault.\No way!\Ahiru.\What are you doing?\Mytho...\You're okay...\I'm so glad! response:	I'm sorry! I'm sorry!
context: It's your fault.\No way!\Ahiru.\What are you doing?\Mytho...\You're okay...\I'm so glad!\I'm sorry! I'm sorry! response:	I looked all over town, but I couldn't find you, so I was wondering what had happened to you.
context: No way!\Ahiru.\What are you doing?\Mytho...\You're okay...\I'm so glad!\I'm sorry! I'm sorry!\I looked all over town, but I couldn't find you, so I was wondering what had happened to you. response:	But I was so relieved to see you were okay and...
context: Ahiru.\What are you doing?\Mytho...\You're okay...\I'm so glad!\I'm sorry! I'm sorry!\I looked all over town, but I couldn't find you, so I was wondering what had happened to you.\But I was so relieved to see you were okay and... response:	But I'm really glad you're okay.
context: What are you doing?\Mytho...\You're okay...\I'm so glad!\I'm sorry! I'm sorry!\I looked all over town, but I couldn't find you, so I was wondering what had happened to you.\But I was so relieved to see you were okay and...\But I'm really glad you're okay. response:	You were looking for me?
context: Mytho...\You're okay...\I'm so glad!\I'm sorry! I'm sorry!\I looked all over town, but I couldn't find you, so I was wondering what had happened to you.\But I was so relieved to see you were okay and...\But I'm really glad you're okay.\You were looking for me? response:	Yeah. Oh!
context: You're okay...\I'm so glad!\I'm sorry! I'm sorry!\I looked all over town, but I couldn't find you, so I was wondering what had happened to you.\But I was so relieved to see you were okay and...\But I'm really glad you're okay.\You were looking for me?\Yeah. Oh! response:	That's right, he doesn't know that I'm Tutu, so...
context: I'm so glad!\I'm sorry! I'm sorry!\I looked all over town, but I couldn't find you, so I was wondering what had happened to you.\But I was so relieved to see you were okay and...\But I'm really glad you're okay.\You were looking for me?\Yeah. Oh!\That's right, he doesn't know that I'm Tutu, so... response:	Tutu...
context: I'm sorry! I'm sorry!\I looked all over town, but I couldn't find you, so I was wondering what had happened to you.\But I was so relieved to see you were okay and...\But I'm really glad you're okay.\You were looking for me?\Yeah. Oh!\That's right, he doesn't know that I'm Tutu, so...\Tutu... response:	Huh? Uh...
context: I looked all over town, but I couldn't find you, so I was wondering what had happened to you.\But I was so relieved to see you were okay and...\But I'm really glad you're okay.\You were looking for me?\Yeah. Oh!\That's right, he doesn't know that I'm Tutu, so...\Tutu...\Huh? Uh... response:	Do you know about Tutu?
context: But I was so relieved to see you were okay and...\But I'm really glad you're okay.\You were looking for me?\Yeah. Oh!\That's right, he doesn't know that I'm Tutu, so...\Tutu...\Huh? Uh...\Do you know about Tutu? response:	Uh, um, well...
context: But I'm really glad you're okay.\You were looking for me?\Yeah. Oh!\That's right, he doesn't know that I'm Tutu, so...\Tutu...\Huh? Uh...\Do you know about Tutu?\Uh, um, well... response:	What are you doing?
context: You were looking for me?\Yeah. Oh!\That's right, he doesn't know that I'm Tutu, so...\Tutu...\Huh? Uh...\Do you know about Tutu?\Uh, um, well...\What are you doing? response:	Huh?
context: Yeah. Oh!\That's right, he doesn't know that I'm Tutu, so...\Tutu...\Huh? Uh...\Do you know about Tutu?\Uh, um, well...\What are you doing?\Huh? response:	Fakir...
context: That's right, he doesn't know that I'm Tutu, so...\Tutu...\Huh? Uh...\Do you know about Tutu?\Uh, um, well...\What are you doing?\Huh?\Fakir... response:	Mytho, you go ahead. I'll be right there.
context: Tutu...\Huh? Uh...\Do you know about Tutu?\Uh, um, well...\What are you doing?\Huh?\Fakir...\Mytho, you go ahead. I'll be right there. response:	Okay.
context: Huh? Uh...\Do you know about Tutu?\Uh, um, well...\What are you doing?\Huh?\Fakir...\Mytho, you go ahead. I'll be right there.\Okay. response:	You.
context: Do you know about Tutu?\Uh, um, well...\What are you doing?\Huh?\Fakir...\Mytho, you go ahead. I'll be right there.\Okay.\You. response:	Uh, yes.
context: Uh, um, well...\What are you doing?\Huh?\Fakir...\Mytho, you go ahead. I'll be right there.\Okay.\You.\Uh, yes. response:	You're such an eyesore.
context: What are you doing?\Huh?\Fakir...\Mytho, you go ahead. I'll be right there.\Okay.\You.\Uh, yes.\You're such an eyesore. response:	Listen carefully. Never come near Mytho again.
context: Huh?\Fakir...\Mytho, you go ahead. I'll be right there.\Okay.\You.\Uh, yes.\You're such an eyesore.\Listen carefully. Never come near Mytho again. response:	If you go near him again, I'll make sure you pay for it.
context: Fakir...\Mytho, you go ahead. I'll be right there.\Okay.\You.\Uh, yes.\You're such an eyesore.\Listen carefully. Never come near Mytho again.\If you go near him again, I'll make sure you pay for it. response:	Huh? So what happened in the end? Did she fail?
context: Mytho, you go ahead. I'll be right there.\Okay.\You.\Uh, yes.\You're such an eyesore.\Listen carefully. Never come near Mytho again.\If you go near him again, I'll make sure you pay for it.\Huh? So what happened in the end? Did she fail? response:	She got turned down in a somewhat subdued manner, didn't she?
context: Okay.\You.\Uh, yes.\You're such an eyesore.\Listen carefully. Never come near Mytho again.\If you go near him again, I'll make sure you pay for it.\Huh? So what happened in the end? Did she fail?\She got turned down in a somewhat subdued manner, didn't she? response:	We'll just have to get her to do a revenge match.
context: You.\Uh, yes.\You're such an eyesore.\Listen carefully. Never come near Mytho again.\If you go near him again, I'll make sure you pay for it.\Huh? So what happened in the end? Did she fail?\She got turned down in a somewhat subdued manner, didn't she?\We'll just have to get her to do a revenge match. response:	Last night...
context: Uh, yes.\You're such an eyesore.\Listen carefully. Never come near Mytho again.\If you go near him again, I'll make sure you pay for it.\Huh? So what happened in the end? Did she fail?\She got turned down in a somewhat subdued manner, didn't she?\We'll just have to get her to do a revenge match.\Last night... response:	I saw Tutu return a piece of Mytho's heart to him.
context: You're such an eyesore.\Listen carefully. Never come near Mytho again.\If you go near him again, I'll make sure you pay for it.\Huh? So what happened in the end? Did she fail?\She got turned down in a somewhat subdued manner, didn't she?\We'll just have to get her to do a revenge match.\Last night...\I saw Tutu return a piece of Mytho's heart to him. response:	Mytho also wished for its return...
context: Listen carefully. Never come near Mytho again.\If you go near him again, I'll make sure you pay for it.\Huh? So what happened in the end? Did she fail?\She got turned down in a somewhat subdued manner, didn't she?\We'll just have to get her to do a revenge match.\Last night...\I saw Tutu return a piece of Mytho's heart to him.\Mytho also wished for its return... response:	Then, I saw that, and after that...
context: If you go near him again, I'll make sure you pay for it.\Huh? So what happened in the end? Did she fail?\She got turned down in a somewhat subdued manner, didn't she?\We'll just have to get her to do a revenge match.\Last night...\I saw Tutu return a piece of Mytho's heart to him.\Mytho also wished for its return...\Then, I saw that, and after that... response:	What in the world...
context: Huh? So what happened in the end? Did she fail?\She got turned down in a somewhat subdued manner, didn't she?\We'll just have to get her to do a revenge match.\Last night...\I saw Tutu return a piece of Mytho's heart to him.\Mytho also wished for its return...\Then, I saw that, and after that...\What in the world... response:	Who am I?
context: She got turned down in a somewhat subdued manner, didn't she?\We'll just have to get her to do a revenge match.\Last night...\I saw Tutu return a piece of Mytho's heart to him.\Mytho also wished for its return...\Then, I saw that, and after that...\What in the world...\Who am I? response:	I ended up skipping the morning classes...
context: We'll just have to get her to do a revenge match.\Last night...\I saw Tutu return a piece of Mytho's heart to him.\Mytho also wished for its return...\Then, I saw that, and after that...\What in the world...\Who am I?\I ended up skipping the morning classes... response:	The look in Fakir's eyes that time was scary.
context: Last night...\I saw Tutu return a piece of Mytho's heart to him.\Mytho also wished for its return...\Then, I saw that, and after that...\What in the world...\Who am I?\I ended up skipping the morning classes...\The look in Fakir's eyes that time was scary. response:	Mytho shouldn't be with someone like that.
context: I saw Tutu return a piece of Mytho's heart to him.\Mytho also wished for its return...\Then, I saw that, and after that...\What in the world...\Who am I?\I ended up skipping the morning classes...\The look in Fakir's eyes that time was scary.\Mytho shouldn't be with someone like that. response:	But what should I do?
context: Mytho also wished for its return...\Then, I saw that, and after that...\What in the world...\Who am I?\I ended up skipping the morning classes...\The look in Fakir's eyes that time was scary.\Mytho shouldn't be with someone like that.\But what should I do? response:	Hello, Edel-san.
context: Then, I saw that, and after that...\What in the world...\Who am I?\I ended up skipping the morning classes...\The look in Fakir's eyes that time was scary.\Mytho shouldn't be with someone like that.\But what should I do?\Hello, Edel-san. response:	Hello.
context: What in the world...\Who am I?\I ended up skipping the morning classes...\The look in Fakir's eyes that time was scary.\Mytho shouldn't be with someone like that.\But what should I do?\Hello, Edel-san.\Hello. response:	You see, Edel-san, I want to save Mytho from Fakir.
context: Who am I?\I ended up skipping the morning classes...\The look in Fakir's eyes that time was scary.\Mytho shouldn't be with someone like that.\But what should I do?\Hello, Edel-san.\Hello.\You see, Edel-san, I want to save Mytho from Fakir. response:	But Fakir told me not to go near him.
context: I ended up skipping the morning classes...\The look in Fakir's eyes that time was scary.\Mytho shouldn't be with someone like that.\But what should I do?\Hello, Edel-san.\Hello.\You see, Edel-san, I want to save Mytho from Fakir.\But Fakir told me not to go near him. response:	So... or rather... but, but um...
context: The look in Fakir's eyes that time was scary.\Mytho shouldn't be with someone like that.\But what should I do?\Hello, Edel-san.\Hello.\You see, Edel-san, I want to save Mytho from Fakir.\But Fakir told me not to go near him.\So... or rather... but, but um... response:	The name of this gem is Courage.
context: Mytho shouldn't be with someone like that.\But what should I do?\Hello, Edel-san.\Hello.\You see, Edel-san, I want to save Mytho from Fakir.\But Fakir told me not to go near him.\So... or rather... but, but um...\The name of this gem is Courage. response:	It is a single gem made of two.
