context: Atsushi-kun... response:	Risa, after thinking about it,
context: This is straining my heartstrings!\Huh?\The way Otani gets me so worked up every day...\Grant me happiness this year!\Happiness!\You sure are funny.\What exactly is funny about me?!\I was paying you a compliment. response:	No. You were definitely making fun of me.
context: Huh?\The way Otani gets me so worked up every day...\Grant me happiness this year!\Happiness!\You sure are funny.\What exactly is funny about me?!\I was paying you a compliment.\No. You were definitely making fun of me. response:	Noisy, aren't you.
context: The way Otani gets me so worked up every day...\Grant me happiness this year!\Happiness!\You sure are funny.\What exactly is funny about me?!\I was paying you a compliment.\No. You were definitely making fun of me.\Noisy, aren't you. response:	That grin of yours is pissing me off.
context: Grant me happiness this year!\Happiness!\You sure are funny.\What exactly is funny about me?!\I was paying you a compliment.\No. You were definitely making fun of me.\Noisy, aren't you.\That grin of yours is pissing me off. response:	Owww, oww, oww, oww!
context: Happiness!\You sure are funny.\What exactly is funny about me?!\I was paying you a compliment.\No. You were definitely making fun of me.\Noisy, aren't you.\That grin of yours is pissing me off.\Owww, oww, oww, oww! response:	Let go!
context: You sure are funny.\What exactly is funny about me?!\I was paying you a compliment.\No. You were definitely making fun of me.\Noisy, aren't you.\That grin of yours is pissing me off.\Owww, oww, oww, oww!\Let go! response:	Just pretend we don't know them.
context: What exactly is funny about me?!\I was paying you a compliment.\No. You were definitely making fun of me.\Noisy, aren't you.\That grin of yours is pissing me off.\Owww, oww, oww, oww!\Let go!\Just pretend we don't know them. response:	Suzuki-kun...
context: I was paying you a compliment.\No. You were definitely making fun of me.\Noisy, aren't you.\That grin of yours is pissing me off.\Owww, oww, oww, oww!\Let go!\Just pretend we don't know them.\Suzuki-kun... response:	See what you've done? People are laughing at us again.
context: No. You were definitely making fun of me.\Noisy, aren't you.\That grin of yours is pissing me off.\Owww, oww, oww, oww!\Let go!\Just pretend we don't know them.\Suzuki-kun...\See what you've done? People are laughing at us again. response:	Well, I am just a comedienne.
context: Noisy, aren't you.\That grin of yours is pissing me off.\Owww, oww, oww, oww!\Let go!\Just pretend we don't know them.\Suzuki-kun...\See what you've done? People are laughing at us again.\Well, I am just a comedienne. response:	So, should we go our separate ways from here?
context: That grin of yours is pissing me off.\Owww, oww, oww, oww!\Let go!\Just pretend we don't know them.\Suzuki-kun...\See what you've done? People are laughing at us again.\Well, I am just a comedienne.\So, should we go our separate ways from here? response:	Sure thing.
context: Owww, oww, oww, oww!\Let go!\Just pretend we don't know them.\Suzuki-kun...\See what you've done? People are laughing at us again.\Well, I am just a comedienne.\So, should we go our separate ways from here?\Sure thing. response:	Risa, a moment.
context: Let go!\Just pretend we don't know them.\Suzuki-kun...\See what you've done? People are laughing at us again.\Well, I am just a comedienne.\So, should we go our separate ways from here?\Sure thing.\Risa, a moment. response:	Listen up. You need to do your best from now on.
context: Just pretend we don't know them.\Suzuki-kun...\See what you've done? People are laughing at us again.\Well, I am just a comedienne.\So, should we go our separate ways from here?\Sure thing.\Risa, a moment.\Listen up. You need to do your best from now on. response:	With what?
context: Suzuki-kun...\See what you've done? People are laughing at us again.\Well, I am just a comedienne.\So, should we go our separate ways from here?\Sure thing.\Risa, a moment.\Listen up. You need to do your best from now on.\With what? response:	That chest you didn't reveal over Christmas, reveal it now!
context: See what you've done? People are laughing at us again.\Well, I am just a comedienne.\So, should we go our separate ways from here?\Sure thing.\Risa, a moment.\Listen up. You need to do your best from now on.\With what?\That chest you didn't reveal over Christmas, reveal it now! response:	For a girl, you sure say some shameless things.
context: Well, I am just a comedienne.\So, should we go our separate ways from here?\Sure thing.\Risa, a moment.\Listen up. You need to do your best from now on.\With what?\That chest you didn't reveal over Christmas, reveal it now!\For a girl, you sure say some shameless things. response:	Huh? What's with this lack of motivation?!
context: So, should we go our separate ways from here?\Sure thing.\Risa, a moment.\Listen up. You need to do your best from now on.\With what?\That chest you didn't reveal over Christmas, reveal it now!\For a girl, you sure say some shameless things.\Huh? What's with this lack of motivation?! response:	A maiden's heart is fickle.
context: Sure thing.\Risa, a moment.\Listen up. You need to do your best from now on.\With what?\That chest you didn't reveal over Christmas, reveal it now!\For a girl, you sure say some shameless things.\Huh? What's with this lack of motivation?!\A maiden's heart is fickle. response:	This is a rare opportunity. Why not keep it at it until morning?
context: Risa, a moment.\Listen up. You need to do your best from now on.\With what?\That chest you didn't reveal over Christmas, reveal it now!\For a girl, you sure say some shameless things.\Huh? What's with this lack of motivation?!\A maiden's heart is fickle.\This is a rare opportunity. Why not keep it at it until morning? response:	Until morning? There you go saying shameless things again.
context: Listen up. You need to do your best from now on.\With what?\That chest you didn't reveal over Christmas, reveal it now!\For a girl, you sure say some shameless things.\Huh? What's with this lack of motivation?!\A maiden's heart is fickle.\This is a rare opportunity. Why not keep it at it until morning?\Until morning? There you go saying shameless things again. response:	Nobu-chan, let's get going.
context: With what?\That chest you didn't reveal over Christmas, reveal it now!\For a girl, you sure say some shameless things.\Huh? What's with this lack of motivation?!\A maiden's heart is fickle.\This is a rare opportunity. Why not keep it at it until morning?\Until morning? There you go saying shameless things again.\Nobu-chan, let's get going. response:	I'll be right there!
context: That chest you didn't reveal over Christmas, reveal it now!\For a girl, you sure say some shameless things.\Huh? What's with this lack of motivation?!\A maiden's heart is fickle.\This is a rare opportunity. Why not keep it at it until morning?\Until morning? There you go saying shameless things again.\Nobu-chan, let's get going.\I'll be right there! response:	Listen. Do your best, okay?
context: For a girl, you sure say some shameless things.\Huh? What's with this lack of motivation?!\A maiden's heart is fickle.\This is a rare opportunity. Why not keep it at it until morning?\Until morning? There you go saying shameless things again.\Nobu-chan, let's get going.\I'll be right there!\Listen. Do your best, okay? response:	See ya.
context: Huh? What's with this lack of motivation?!\A maiden's heart is fickle.\This is a rare opportunity. Why not keep it at it until morning?\Until morning? There you go saying shameless things again.\Nobu-chan, let's get going.\I'll be right there!\Listen. Do your best, okay?\See ya. response:	Otani-kun, you'd better walk Risa home properly.
context: A maiden's heart is fickle.\This is a rare opportunity. Why not keep it at it until morning?\Until morning? There you go saying shameless things again.\Nobu-chan, let's get going.\I'll be right there!\Listen. Do your best, okay?\See ya.\Otani-kun, you'd better walk Risa home properly. response:	Bye bye.
context: This is a rare opportunity. Why not keep it at it until morning?\Until morning? There you go saying shameless things again.\Nobu-chan, let's get going.\I'll be right there!\Listen. Do your best, okay?\See ya.\Otani-kun, you'd better walk Risa home properly.\Bye bye. response:	See you later.
context: Until morning? There you go saying shameless things again.\Nobu-chan, let's get going.\I'll be right there!\Listen. Do your best, okay?\See ya.\Otani-kun, you'd better walk Risa home properly.\Bye bye.\See you later. response:	What did Nobu-chan say to you just now?
context: Nobu-chan, let's get going.\I'll be right there!\Listen. Do your best, okay?\See ya.\Otani-kun, you'd better walk Risa home properly.\Bye bye.\See you later.\What did Nobu-chan say to you just now? response:	Nothing...
context: I'll be right there!\Listen. Do your best, okay?\See ya.\Otani-kun, you'd better walk Risa home properly.\Bye bye.\See you later.\What did Nobu-chan say to you just now?\Nothing... response:	Oh... I see.
context: Listen. Do your best, okay?\See ya.\Otani-kun, you'd better walk Risa home properly.\Bye bye.\See you later.\What did Nobu-chan say to you just now?\Nothing...\Oh... I see. response:	So, what should we do now? Are you tired?
context: See ya.\Otani-kun, you'd better walk Risa home properly.\Bye bye.\See you later.\What did Nobu-chan say to you just now?\Nothing...\Oh... I see.\So, what should we do now? Are you tired? response:	Huh? not really.
context: Otani-kun, you'd better walk Risa home properly.\Bye bye.\See you later.\What did Nobu-chan say to you just now?\Nothing...\Oh... I see.\So, what should we do now? Are you tired?\Huh? not really. response:	Then let's think of something to do until morning.
context: Bye bye.\See you later.\What did Nobu-chan say to you just now?\Nothing...\Oh... I see.\So, what should we do now? Are you tired?\Huh? not really.\Then let's think of something to do until morning. response:	Wha-What do you mean by that?
context: See you later.\What did Nobu-chan say to you just now?\Nothing...\Oh... I see.\So, what should we do now? Are you tired?\Huh? not really.\Then let's think of something to do until morning.\Wha-What do you mean by that? response:	Video game arcades and karaokes places are open so let's just stay out all night.
context: What did Nobu-chan say to you just now?\Nothing...\Oh... I see.\So, what should we do now? Are you tired?\Huh? not really.\Then let's think of something to do until morning.\Wha-What do you mean by that?\Video game arcades and karaokes places are open so let's just stay out all night. response:	It is New Years, after all.
context: Nothing...\Oh... I see.\So, what should we do now? Are you tired?\Huh? not really.\Then let's think of something to do until morning.\Wha-What do you mean by that?\Video game arcades and karaokes places are open so let's just stay out all night.\It is New Years, after all. response:	Ah. So that's what you meant.
context: Oh... I see.\So, what should we do now? Are you tired?\Huh? not really.\Then let's think of something to do until morning.\Wha-What do you mean by that?\Video game arcades and karaokes places are open so let's just stay out all night.\It is New Years, after all.\Ah. So that's what you meant. response:	What was that?
context: So, what should we do now? Are you tired?\Huh? not really.\Then let's think of something to do until morning.\Wha-What do you mean by that?\Video game arcades and karaokes places are open so let's just stay out all night.\It is New Years, after all.\Ah. So that's what you meant.\What was that? response:	Nothing at all.
context: Huh? not really.\Then let's think of something to do until morning.\Wha-What do you mean by that?\Video game arcades and karaokes places are open so let's just stay out all night.\It is New Years, after all.\Ah. So that's what you meant.\What was that?\Nothing at all. response:	I hear the karaoke place by the train station has heaps of Umibouzu songs.
context: Then let's think of something to do until morning.\Wha-What do you mean by that?\Video game arcades and karaokes places are open so let's just stay out all night.\It is New Years, after all.\Ah. So that's what you meant.\What was that?\Nothing at all.\I hear the karaoke place by the train station has heaps of Umibouzu songs. response:	Seriously? Let's go!
context: Wha-What do you mean by that?\Video game arcades and karaokes places are open so let's just stay out all night.\It is New Years, after all.\Ah. So that's what you meant.\What was that?\Nothing at all.\I hear the karaoke place by the train station has heaps of Umibouzu songs.\Seriously? Let's go! response:	Right! Let's go for all-night karaoke!
context: Video game arcades and karaokes places are open so let's just stay out all night.\It is New Years, after all.\Ah. So that's what you meant.\What was that?\Nothing at all.\I hear the karaoke place by the train station has heaps of Umibouzu songs.\Seriously? Let's go!\Right! Let's go for all-night karaoke! response:	Yeah!
context: It is New Years, after all.\Ah. So that's what you meant.\What was that?\Nothing at all.\I hear the karaoke place by the train station has heaps of Umibouzu songs.\Seriously? Let's go!\Right! Let's go for all-night karaoke!\Yeah! response:	Hokkaido is cold but there's no point in worrying about that.
context: Ah. So that's what you meant.\What was that?\Nothing at all.\I hear the karaoke place by the train station has heaps of Umibouzu songs.\Seriously? Let's go!\Right! Let's go for all-night karaoke!\Yeah!\Hokkaido is cold but there's no point in worrying about that. response:	I could call you but we use the same cellphone.
context: What was that?\Nothing at all.\I hear the karaoke place by the train station has heaps of Umibouzu songs.\Seriously? Let's go!\Right! Let's go for all-night karaoke!\Yeah!\Hokkaido is cold but there's no point in worrying about that.\I could call you but we use the same cellphone. response:	Family discount plants are pretty awesome.
context: Nothing at all.\I hear the karaoke place by the train station has heaps of Umibouzu songs.\Seriously? Let's go!\Right! Let's go for all-night karaoke!\Yeah!\Hokkaido is cold but there's no point in worrying about that.\I could call you but we use the same cellphone.\Family discount plants are pretty awesome. response:	Even if tears of anger come,
context: I hear the karaoke place by the train station has heaps of Umibouzu songs.\Seriously? Let's go!\Right! Let's go for all-night karaoke!\Yeah!\Hokkaido is cold but there's no point in worrying about that.\I could call you but we use the same cellphone.\Family discount plants are pretty awesome.\Even if tears of anger come, response:	I'm not interested riding around in a fancy boat
context: Seriously? Let's go!\Right! Let's go for all-night karaoke!\Yeah!\Hokkaido is cold but there's no point in worrying about that.\I could call you but we use the same cellphone.\Family discount plants are pretty awesome.\Even if tears of anger come,\I'm not interested riding around in a fancy boat response:	or taking an expensive looking dog for a walk.
context: Right! Let's go for all-night karaoke!\Yeah!\Hokkaido is cold but there's no point in worrying about that.\I could call you but we use the same cellphone.\Family discount plants are pretty awesome.\Even if tears of anger come,\I'm not interested riding around in a fancy boat\or taking an expensive looking dog for a walk. response:	You're not pale enough to need to use a parasol!
context: Yeah!\Hokkaido is cold but there's no point in worrying about that.\I could call you but we use the same cellphone.\Family discount plants are pretty awesome.\Even if tears of anger come,\I'm not interested riding around in a fancy boat\or taking an expensive looking dog for a walk.\You're not pale enough to need to use a parasol! response:	Man, you don't have what it takes to do this!
context: Hokkaido is cold but there's no point in worrying about that.\I could call you but we use the same cellphone.\Family discount plants are pretty awesome.\Even if tears of anger come,\I'm not interested riding around in a fancy boat\or taking an expensive looking dog for a walk.\You're not pale enough to need to use a parasol!\Man, you don't have what it takes to do this! response:	I can't believe the first thing I'm hearing from you this semester is this stupidity!
context: I could call you but we use the same cellphone.\Family discount plants are pretty awesome.\Even if tears of anger come,\I'm not interested riding around in a fancy boat\or taking an expensive looking dog for a walk.\You're not pale enough to need to use a parasol!\Man, you don't have what it takes to do this!\I can't believe the first thing I'm hearing from you this semester is this stupidity! response:	You spent all night getting worked up singing karaoke?
context: Family discount plants are pretty awesome.\Even if tears of anger come,\I'm not interested riding around in a fancy boat\or taking an expensive looking dog for a walk.\You're not pale enough to need to use a parasol!\Man, you don't have what it takes to do this!\I can't believe the first thing I'm hearing from you this semester is this stupidity!\You spent all night getting worked up singing karaoke? response:	What the heck?!
context: Even if tears of anger come,\I'm not interested riding around in a fancy boat\or taking an expensive looking dog for a walk.\You're not pale enough to need to use a parasol!\Man, you don't have what it takes to do this!\I can't believe the first thing I'm hearing from you this semester is this stupidity!\You spent all night getting worked up singing karaoke?\What the heck?! response:	But...
context: I'm not interested riding around in a fancy boat\or taking an expensive looking dog for a walk.\You're not pale enough to need to use a parasol!\Man, you don't have what it takes to do this!\I can't believe the first thing I'm hearing from you this semester is this stupidity!\You spent all night getting worked up singing karaoke?\What the heck?!\But... response:	Don't tell me you're still concerned about that Kanzaki-san?
context: or taking an expensive looking dog for a walk.\You're not pale enough to need to use a parasol!\Man, you don't have what it takes to do this!\I can't believe the first thing I'm hearing from you this semester is this stupidity!\You spent all night getting worked up singing karaoke?\What the heck?!\But...\Don't tell me you're still concerned about that Kanzaki-san? response:	Of course I am.
context: You're not pale enough to need to use a parasol!\Man, you don't have what it takes to do this!\I can't believe the first thing I'm hearing from you this semester is this stupidity!\You spent all night getting worked up singing karaoke?\What the heck?!\But...\Don't tell me you're still concerned about that Kanzaki-san?\Of course I am. response:	Kanzaki-san is super cute.
context: Man, you don't have what it takes to do this!\I can't believe the first thing I'm hearing from you this semester is this stupidity!\You spent all night getting worked up singing karaoke?\What the heck?!\But...\Don't tell me you're still concerned about that Kanzaki-san?\Of course I am.\Kanzaki-san is super cute. response:	I don't think it's even possible for Otani to like a girl like me...
context: I can't believe the first thing I'm hearing from you this semester is this stupidity!\You spent all night getting worked up singing karaoke?\What the heck?!\But...\Don't tell me you're still concerned about that Kanzaki-san?\Of course I am.\Kanzaki-san is super cute.\I don't think it's even possible for Otani to like a girl like me... response:	That's not true.
context: You spent all night getting worked up singing karaoke?\What the heck?!\But...\Don't tell me you're still concerned about that Kanzaki-san?\Of course I am.\Kanzaki-san is super cute.\I don't think it's even possible for Otani to like a girl like me...\That's not true. response:	But I've been rejected once already.
context: What the heck?!\But...\Don't tell me you're still concerned about that Kanzaki-san?\Of course I am.\Kanzaki-san is super cute.\I don't think it's even possible for Otani to like a girl like me...\That's not true.\But I've been rejected once already. response:	But you decided to keep trying anyway, didn't you?
context: But...\Don't tell me you're still concerned about that Kanzaki-san?\Of course I am.\Kanzaki-san is super cute.\I don't think it's even possible for Otani to like a girl like me...\That's not true.\But I've been rejected once already.\But you decided to keep trying anyway, didn't you? response:	An ex is just an ex, after all.
context: Don't tell me you're still concerned about that Kanzaki-san?\Of course I am.\Kanzaki-san is super cute.\I don't think it's even possible for Otani to like a girl like me...\That's not true.\But I've been rejected once already.\But you decided to keep trying anyway, didn't you?\An ex is just an ex, after all. response:	You have your good points too.
context: Of course I am.\Kanzaki-san is super cute.\I don't think it's even possible for Otani to like a girl like me...\That's not true.\But I've been rejected once already.\But you decided to keep trying anyway, didn't you?\An ex is just an ex, after all.\You have your good points too. response:	Like what?
context: Kanzaki-san is super cute.\I don't think it's even possible for Otani to like a girl like me...\That's not true.\But I've been rejected once already.\But you decided to keep trying anyway, didn't you?\An ex is just an ex, after all.\You have your good points too.\Like what? response:	Can't you think of any at all?!
context: I don't think it's even possible for Otani to like a girl like me...\That's not true.\But I've been rejected once already.\But you decided to keep trying anyway, didn't you?\An ex is just an ex, after all.\You have your good points too.\Like what?\Can't you think of any at all?! response:	You're funny! You're very funny!
context: That's not true.\But I've been rejected once already.\But you decided to keep trying anyway, didn't you?\An ex is just an ex, after all.\You have your good points too.\Like what?\Can't you think of any at all?!\You're funny! You're very funny! response:	Funny?
context: But I've been rejected once already.\But you decided to keep trying anyway, didn't you?\An ex is just an ex, after all.\You have your good points too.\Like what?\Can't you think of any at all?!\You're funny! You're very funny!\Funny? response:	I mean, Otani-kun is always saying so, right?
context: But you decided to keep trying anyway, didn't you?\An ex is just an ex, after all.\You have your good points too.\Like what?\Can't you think of any at all?!\You're funny! You're very funny!\Funny?\I mean, Otani-kun is always saying so, right? response:	Why not use your comedic skills to win his love?
context: An ex is just an ex, after all.\You have your good points too.\Like what?\Can't you think of any at all?!\You're funny! You're very funny!\Funny?\I mean, Otani-kun is always saying so, right?\Why not use your comedic skills to win his love? response:	That's right. I am funny.
context: You have your good points too.\Like what?\Can't you think of any at all?!\You're funny! You're very funny!\Funny?\I mean, Otani-kun is always saying so, right?\Why not use your comedic skills to win his love?\That's right. I am funny. response:	Comedy... for love!
context: Like what?\Can't you think of any at all?!\You're funny! You're very funny!\Funny?\I mean, Otani-kun is always saying so, right?\Why not use your comedic skills to win his love?\That's right. I am funny.\Comedy... for love! response:	Good morning.
context: Can't you think of any at all?!\You're funny! You're very funny!\Funny?\I mean, Otani-kun is always saying so, right?\Why not use your comedic skills to win his love?\That's right. I am funny.\Comedy... for love!\Good morning. response:	Otani-kun!
context: You're funny! You're very funny!\Funny?\I mean, Otani-kun is always saying so, right?\Why not use your comedic skills to win his love?\That's right. I am funny.\Comedy... for love!\Good morning.\Otani-kun! response:	What the heck?!
context: Funny?\I mean, Otani-kun is always saying so, right?\Why not use your comedic skills to win his love?\That's right. I am funny.\Comedy... for love!\Good morning.\Otani-kun!\What the heck?! response:	How am I supposed to react to that?!
context: I mean, Otani-kun is always saying so, right?\Why not use your comedic skills to win his love?\That's right. I am funny.\Comedy... for love!\Good morning.\Otani-kun!\What the heck?!\How am I supposed to react to that?! response:	Come on, I'm just trying to tug at your heart strings...
context: Why not use your comedic skills to win his love?\That's right. I am funny.\Comedy... for love!\Good morning.\Otani-kun!\What the heck?!\How am I supposed to react to that?!\Come on, I'm just trying to tug at your heart strings... response:	Risa is so simple.
context: That's right. I am funny.\Comedy... for love!\Good morning.\Otani-kun!\What the heck?!\How am I supposed to react to that?!\Come on, I'm just trying to tug at your heart strings...\Risa is so simple. response:	She sure is energetic, so early in the semester.
context: Comedy... for love!\Good morning.\Otani-kun!\What the heck?!\How am I supposed to react to that?!\Come on, I'm just trying to tug at your heart strings...\Risa is so simple.\She sure is energetic, so early in the semester. response:	Say, how are things on Otani-kun's end?
context: Good morning.\Otani-kun!\What the heck?!\How am I supposed to react to that?!\Come on, I'm just trying to tug at your heart strings...\Risa is so simple.\She sure is energetic, so early in the semester.\Say, how are things on Otani-kun's end? response:	Huh?
context: Otani-kun!\What the heck?!\How am I supposed to react to that?!\Come on, I'm just trying to tug at your heart strings...\Risa is so simple.\She sure is energetic, so early in the semester.\Say, how are things on Otani-kun's end?\Huh? response:	Has he said anything about Risa?
context: What the heck?!\How am I supposed to react to that?!\Come on, I'm just trying to tug at your heart strings...\Risa is so simple.\She sure is energetic, so early in the semester.\Say, how are things on Otani-kun's end?\Huh?\Has he said anything about Risa? response:	No, not really.
context: How am I supposed to react to that?!\Come on, I'm just trying to tug at your heart strings...\Risa is so simple.\She sure is energetic, so early in the semester.\Say, how are things on Otani-kun's end?\Huh?\Has he said anything about Risa?\No, not really. response:	Ah!
context: Come on, I'm just trying to tug at your heart strings...\Risa is so simple.\She sure is energetic, so early in the semester.\Say, how are things on Otani-kun's end?\Huh?\Has he said anything about Risa?\No, not really.\Ah! response:	No, not really.
context: Risa is so simple.\She sure is energetic, so early in the semester.\Say, how are things on Otani-kun's end?\Huh?\Has he said anything about Risa?\No, not really.\Ah!\No, not really. response:	Darling, what was that ah! just now?
context: She sure is energetic, so early in the semester.\Say, how are things on Otani-kun's end?\Huh?\Has he said anything about Risa?\No, not really.\Ah!\No, not really.\Darling, what was that ah! just now? response:	Third-year students should remember that entrance exams are just around the corner.
context: Say, how are things on Otani-kun's end?\Huh?\Has he said anything about Risa?\No, not really.\Ah!\No, not really.\Darling, what was that ah! just now?\Third-year students should remember that entrance exams are just around the corner. response:	I'm completely stumped.
context: Huh?\Has he said anything about Risa?\No, not really.\Ah!\No, not really.\Darling, what was that ah! just now?\Third-year students should remember that entrance exams are just around the corner.\I'm completely stumped. response:	How can I get more of a romantic mood going?
context: Has he said anything about Risa?\No, not really.\Ah!\No, not really.\Darling, what was that ah! just now?\Third-year students should remember that entrance exams are just around the corner.\I'm completely stumped.\How can I get more of a romantic mood going? response:	What exactly would that be like between us, anyway?
context: No, not really.\Ah!\No, not really.\Darling, what was that ah! just now?\Third-year students should remember that entrance exams are just around the corner.\I'm completely stumped.\How can I get more of a romantic mood going?\What exactly would that be like between us, anyway? response:	Dummy.
context: Ah!\No, not really.\Darling, what was that ah! just now?\Third-year students should remember that entrance exams are just around the corner.\I'm completely stumped.\How can I get more of a romantic mood going?\What exactly would that be like between us, anyway?\Dummy. response:	Don't!
context: No, not really.\Darling, what was that ah! just now?\Third-year students should remember that entrance exams are just around the corner.\I'm completely stumped.\How can I get more of a romantic mood going?\What exactly would that be like between us, anyway?\Dummy.\Don't! response:	Ugh, that's disgusting.
context: Darling, what was that ah! just now?\Third-year students should remember that entrance exams are just around the corner.\I'm completely stumped.\How can I get more of a romantic mood going?\What exactly would that be like between us, anyway?\Dummy.\Don't!\Ugh, that's disgusting. response:	Like hell!
context: Third-year students should remember that entrance exams are just around the corner.\I'm completely stumped.\How can I get more of a romantic mood going?\What exactly would that be like between us, anyway?\Dummy.\Don't!\Ugh, that's disgusting.\Like hell! response:	I recall something that happened back when I was a student...
context: I'm completely stumped.\How can I get more of a romantic mood going?\What exactly would that be like between us, anyway?\Dummy.\Don't!\Ugh, that's disgusting.\Like hell!\I recall something that happened back when I was a student... response:	SSSh! Keep your voice down!
context: How can I get more of a romantic mood going?\What exactly would that be like between us, anyway?\Dummy.\Don't!\Ugh, that's disgusting.\Like hell!\I recall something that happened back when I was a student...\SSSh! Keep your voice down! response:	But you're saying Kanzaki-san and her giant boyfriend broke up!
