context: Hey, Dororo. response:	Long time no see.
context: As if to stroke with wet fingertips\I'd like to touch you one day\16 The story of Shiranui\Almost there.\Itachi.\Get to sleep. I got a job for you tomorrow.\You're going to fill in the other half of this.\The place you're headed for, is it...? response:	Yeah, the place old man Hibukuro hid the money.
context: I'd like to touch you one day\16 The story of Shiranui\Almost there.\Itachi.\Get to sleep. I got a job for you tomorrow.\You're going to fill in the other half of this.\The place you're headed for, is it...?\Yeah, the place old man Hibukuro hid the money. response:	What are you so surprised about?
context: 16 The story of Shiranui\Almost there.\Itachi.\Get to sleep. I got a job for you tomorrow.\You're going to fill in the other half of this.\The place you're headed for, is it...?\Yeah, the place old man Hibukuro hid the money.\What are you so surprised about? response:	I had an idea of what was going on even when I was under him.
context: Almost there.\Itachi.\Get to sleep. I got a job for you tomorrow.\You're going to fill in the other half of this.\The place you're headed for, is it...?\Yeah, the place old man Hibukuro hid the money.\What are you so surprised about?\I had an idea of what was going on even when I was under him. response:	The goods we stole from the samurai went missing now and then.
context: Itachi.\Get to sleep. I got a job for you tomorrow.\You're going to fill in the other half of this.\The place you're headed for, is it...?\Yeah, the place old man Hibukuro hid the money.\What are you so surprised about?\I had an idea of what was going on even when I was under him.\The goods we stole from the samurai went missing now and then. response:	All good stuff worth money.
context: Get to sleep. I got a job for you tomorrow.\You're going to fill in the other half of this.\The place you're headed for, is it...?\Yeah, the place old man Hibukuro hid the money.\What are you so surprised about?\I had an idea of what was going on even when I was under him.\The goods we stole from the samurai went missing now and then.\All good stuff worth money. response:	And I thought.
context: You're going to fill in the other half of this.\The place you're headed for, is it...?\Yeah, the place old man Hibukuro hid the money.\What are you so surprised about?\I had an idea of what was going on even when I was under him.\The goods we stole from the samurai went missing now and then.\All good stuff worth money.\And I thought. response:	That may be the thief was actually Boss.
context: The place you're headed for, is it...?\Yeah, the place old man Hibukuro hid the money.\What are you so surprised about?\I had an idea of what was going on even when I was under him.\The goods we stole from the samurai went missing now and then.\All good stuff worth money.\And I thought.\That may be the thief was actually Boss. response:	I kept my eye on him, waiting for him to slip up.
context: Yeah, the place old man Hibukuro hid the money.\What are you so surprised about?\I had an idea of what was going on even when I was under him.\The goods we stole from the samurai went missing now and then.\All good stuff worth money.\And I thought.\That may be the thief was actually Boss.\I kept my eye on him, waiting for him to slip up. response:	But you gotta hand it to him. That man never slips up.
context: What are you so surprised about?\I had an idea of what was going on even when I was under him.\The goods we stole from the samurai went missing now and then.\All good stuff worth money.\And I thought.\That may be the thief was actually Boss.\I kept my eye on him, waiting for him to slip up.\But you gotta hand it to him. That man never slips up. response:	After a while, I gave up.
context: I had an idea of what was going on even when I was under him.\The goods we stole from the samurai went missing now and then.\All good stuff worth money.\And I thought.\That may be the thief was actually Boss.\I kept my eye on him, waiting for him to slip up.\But you gotta hand it to him. That man never slips up.\After a while, I gave up. response:	I figured I was being paranoid and stopped thinking about it.
context: The goods we stole from the samurai went missing now and then.\All good stuff worth money.\And I thought.\That may be the thief was actually Boss.\I kept my eye on him, waiting for him to slip up.\But you gotta hand it to him. That man never slips up.\After a while, I gave up.\I figured I was being paranoid and stopped thinking about it. response:	Then why...?
context: All good stuff worth money.\And I thought.\That may be the thief was actually Boss.\I kept my eye on him, waiting for him to slip up.\But you gotta hand it to him. That man never slips up.\After a while, I gave up.\I figured I was being paranoid and stopped thinking about it.\Then why...? response:	I became desperate for money.
context: And I thought.\That may be the thief was actually Boss.\I kept my eye on him, waiting for him to slip up.\But you gotta hand it to him. That man never slips up.\After a while, I gave up.\I figured I was being paranoid and stopped thinking about it.\Then why...?\I became desperate for money. response:	That's when I remembered it. I decided to just give it a shot.
context: That may be the thief was actually Boss.\I kept my eye on him, waiting for him to slip up.\But you gotta hand it to him. That man never slips up.\After a while, I gave up.\I figured I was being paranoid and stopped thinking about it.\Then why...?\I became desperate for money.\That's when I remembered it. I decided to just give it a shot. response:	But Boss was long dead by then.
context: I kept my eye on him, waiting for him to slip up.\But you gotta hand it to him. That man never slips up.\After a while, I gave up.\I figured I was being paranoid and stopped thinking about it.\Then why...?\I became desperate for money.\That's when I remembered it. I decided to just give it a shot.\But Boss was long dead by then. response:	You two were the only ones who'd know.
context: But you gotta hand it to him. That man never slips up.\After a while, I gave up.\I figured I was being paranoid and stopped thinking about it.\Then why...?\I became desperate for money.\That's when I remembered it. I decided to just give it a shot.\But Boss was long dead by then.\You two were the only ones who'd know. response:	I was heading for that temple where we last met.
context: After a while, I gave up.\I figured I was being paranoid and stopped thinking about it.\Then why...?\I became desperate for money.\That's when I remembered it. I decided to just give it a shot.\But Boss was long dead by then.\You two were the only ones who'd know.\I was heading for that temple where we last met. response:	No...
context: I figured I was being paranoid and stopped thinking about it.\Then why...?\I became desperate for money.\That's when I remembered it. I decided to just give it a shot.\But Boss was long dead by then.\You two were the only ones who'd know.\I was heading for that temple where we last met.\No... response:	Yeah, I dug her grave up.
context: Then why...?\I became desperate for money.\That's when I remembered it. I decided to just give it a shot.\But Boss was long dead by then.\You two were the only ones who'd know.\I was heading for that temple where we last met.\No...\Yeah, I dug her grave up. response:	And I turned her over and saw this on her back.
context: I became desperate for money.\That's when I remembered it. I decided to just give it a shot.\But Boss was long dead by then.\You two were the only ones who'd know.\I was heading for that temple where we last met.\No...\Yeah, I dug her grave up.\And I turned her over and saw this on her back. response:	How could you...
context: That's when I remembered it. I decided to just give it a shot.\But Boss was long dead by then.\You two were the only ones who'd know.\I was heading for that temple where we last met.\No...\Yeah, I dug her grave up.\And I turned her over and saw this on her back.\How could you... response:	That's my mama...
context: But Boss was long dead by then.\You two were the only ones who'd know.\I was heading for that temple where we last met.\No...\Yeah, I dug her grave up.\And I turned her over and saw this on her back.\How could you...\That's my mama... response:	You dirty bastard!
context: You two were the only ones who'd know.\I was heading for that temple where we last met.\No...\Yeah, I dug her grave up.\And I turned her over and saw this on her back.\How could you...\That's my mama...\You dirty bastard! response:	Dammit...
context: I was heading for that temple where we last met.\No...\Yeah, I dug her grave up.\And I turned her over and saw this on her back.\How could you...\That's my mama...\You dirty bastard!\Dammit... response:	The dead can't use it anyway.
context: No...\Yeah, I dug her grave up.\And I turned her over and saw this on her back.\How could you...\That's my mama...\You dirty bastard!\Dammit...\The dead can't use it anyway. response:	Feelings won't get you any money.
context: Yeah, I dug her grave up.\And I turned her over and saw this on her back.\How could you...\That's my mama...\You dirty bastard!\Dammit...\The dead can't use it anyway.\Feelings won't get you any money. response:	See that cape, Dororo?
context: And I turned her over and saw this on her back.\How could you...\That's my mama...\You dirty bastard!\Dammit...\The dead can't use it anyway.\Feelings won't get you any money.\See that cape, Dororo? response:	That's Hakkotsu Cape.
context: How could you...\That's my mama...\You dirty bastard!\Dammit...\The dead can't use it anyway.\Feelings won't get you any money.\See that cape, Dororo?\That's Hakkotsu Cape. response:	It's where your papa hid the money.
context: That's my mama...\You dirty bastard!\Dammit...\The dead can't use it anyway.\Feelings won't get you any money.\See that cape, Dororo?\That's Hakkotsu Cape.\It's where your papa hid the money. response:	Now it's time for you to do your part.
context: You dirty bastard!\Dammit...\The dead can't use it anyway.\Feelings won't get you any money.\See that cape, Dororo?\That's Hakkotsu Cape.\It's where your papa hid the money.\Now it's time for you to do your part. response:	I'll give you a cut if you help out.
context: Dammit...\The dead can't use it anyway.\Feelings won't get you any money.\See that cape, Dororo?\That's Hakkotsu Cape.\It's where your papa hid the money.\Now it's time for you to do your part.\I'll give you a cut if you help out. response:	Don't you want some money?
context: The dead can't use it anyway.\Feelings won't get you any money.\See that cape, Dororo?\That's Hakkotsu Cape.\It's where your papa hid the money.\Now it's time for you to do your part.\I'll give you a cut if you help out.\Don't you want some money? response:	You could eat all you want then.
context: Feelings won't get you any money.\See that cape, Dororo?\That's Hakkotsu Cape.\It's where your papa hid the money.\Now it's time for you to do your part.\I'll give you a cut if you help out.\Don't you want some money?\You could eat all you want then. response:	Don't need it.
context: See that cape, Dororo?\That's Hakkotsu Cape.\It's where your papa hid the money.\Now it's time for you to do your part.\I'll give you a cut if you help out.\Don't you want some money?\You could eat all you want then.\Don't need it. response:	Your belly sure does.
context: That's Hakkotsu Cape.\It's where your papa hid the money.\Now it's time for you to do your part.\I'll give you a cut if you help out.\Don't you want some money?\You could eat all you want then.\Don't need it.\Your belly sure does. response:	That wasn't me, that was the horse!
context: It's where your papa hid the money.\Now it's time for you to do your part.\I'll give you a cut if you help out.\Don't you want some money?\You could eat all you want then.\Don't need it.\Your belly sure does.\That wasn't me, that was the horse! response:	Stop laughing.
context: Now it's time for you to do your part.\I'll give you a cut if you help out.\Don't you want some money?\You could eat all you want then.\Don't need it.\Your belly sure does.\That wasn't me, that was the horse!\Stop laughing. response:	Boss, how do we get there?
context: I'll give you a cut if you help out.\Don't you want some money?\You could eat all you want then.\Don't need it.\Your belly sure does.\That wasn't me, that was the horse!\Stop laughing.\Boss, how do we get there? response:	We can't get there by land.
context: Don't you want some money?\You could eat all you want then.\Don't need it.\Your belly sure does.\That wasn't me, that was the horse!\Stop laughing.\Boss, how do we get there?\We can't get there by land. response:	We'll need a boat to cross over.
context: You could eat all you want then.\Don't need it.\Your belly sure does.\That wasn't me, that was the horse!\Stop laughing.\Boss, how do we get there?\We can't get there by land.\We'll need a boat to cross over. response:	Whoa...
context: Don't need it.\Your belly sure does.\That wasn't me, that was the horse!\Stop laughing.\Boss, how do we get there?\We can't get there by land.\We'll need a boat to cross over.\Whoa... response:	Must've been raided by brigands.
context: Your belly sure does.\That wasn't me, that was the horse!\Stop laughing.\Boss, how do we get there?\We can't get there by land.\We'll need a boat to cross over.\Whoa...\Must've been raided by brigands. response:	Boss!
context: That wasn't me, that was the horse!\Stop laughing.\Boss, how do we get there?\We can't get there by land.\We'll need a boat to cross over.\Whoa...\Must've been raided by brigands.\Boss! response:	The boats...
context: Stop laughing.\Boss, how do we get there?\We can't get there by land.\We'll need a boat to cross over.\Whoa...\Must've been raided by brigands.\Boss!\The boats... response:	They've all been wrecked. Darn ruthless.
context: Boss, how do we get there?\We can't get there by land.\We'll need a boat to cross over.\Whoa...\Must've been raided by brigands.\Boss!\The boats...\They've all been wrecked. Darn ruthless. response:	What do we do now?
context: We can't get there by land.\We'll need a boat to cross over.\Whoa...\Must've been raided by brigands.\Boss!\The boats...\They've all been wrecked. Darn ruthless.\What do we do now? response:	Want some boats?
context: We'll need a boat to cross over.\Whoa...\Must've been raided by brigands.\Boss!\The boats...\They've all been wrecked. Darn ruthless.\What do we do now?\Want some boats? response:	I got some. Where you going?
context: Whoa...\Must've been raided by brigands.\Boss!\The boats...\They've all been wrecked. Darn ruthless.\What do we do now?\Want some boats?\I got some. Where you going? response:	That cape.
context: Must've been raided by brigands.\Boss!\The boats...\They've all been wrecked. Darn ruthless.\What do we do now?\Want some boats?\I got some. Where you going?\That cape. response:	Sure. But it's gonna cost you.
context: Boss!\The boats...\They've all been wrecked. Darn ruthless.\What do we do now?\Want some boats?\I got some. Where you going?\That cape.\Sure. But it's gonna cost you. response:	Just you? Where are the rest of the villagers?
context: The boats...\They've all been wrecked. Darn ruthless.\What do we do now?\Want some boats?\I got some. Where you going?\That cape.\Sure. But it's gonna cost you.\Just you? Where are the rest of the villagers? response:	All dead. The brigands got them.
context: They've all been wrecked. Darn ruthless.\What do we do now?\Want some boats?\I got some. Where you going?\That cape.\Sure. But it's gonna cost you.\Just you? Where are the rest of the villagers?\All dead. The brigands got them. response:	Something's not right about him. We better not.
context: What do we do now?\Want some boats?\I got some. Where you going?\That cape.\Sure. But it's gonna cost you.\Just you? Where are the rest of the villagers?\All dead. The brigands got them.\Something's not right about him. We better not. response:	I'll pay when we get there.
context: Want some boats?\I got some. Where you going?\That cape.\Sure. But it's gonna cost you.\Just you? Where are the rest of the villagers?\All dead. The brigands got them.\Something's not right about him. We better not.\I'll pay when we get there. response:	Sure thing. Come on.
context: I got some. Where you going?\That cape.\Sure. But it's gonna cost you.\Just you? Where are the rest of the villagers?\All dead. The brigands got them.\Something's not right about him. We better not.\I'll pay when we get there.\Sure thing. Come on. response:	Itachi!
context: That cape.\Sure. But it's gonna cost you.\Just you? Where are the rest of the villagers?\All dead. The brigands got them.\Something's not right about him. We better not.\I'll pay when we get there.\Sure thing. Come on.\Itachi! response:	There ain't no other boats.
context: Sure. But it's gonna cost you.\Just you? Where are the rest of the villagers?\All dead. The brigands got them.\Something's not right about him. We better not.\I'll pay when we get there.\Sure thing. Come on.\Itachi!\There ain't no other boats. response:	If he tries anything funny, I'll just kill him.
context: Just you? Where are the rest of the villagers?\All dead. The brigands got them.\Something's not right about him. We better not.\I'll pay when we get there.\Sure thing. Come on.\Itachi!\There ain't no other boats.\If he tries anything funny, I'll just kill him. response:	Get on in.
context: All dead. The brigands got them.\Something's not right about him. We better not.\I'll pay when we get there.\Sure thing. Come on.\Itachi!\There ain't no other boats.\If he tries anything funny, I'll just kill him.\Get on in. response:	There.
context: Something's not right about him. We better not.\I'll pay when we get there.\Sure thing. Come on.\Itachi!\There ain't no other boats.\If he tries anything funny, I'll just kill him.\Get on in.\There. response:	Where are the oarsmen?
context: I'll pay when we get there.\Sure thing. Come on.\Itachi!\There ain't no other boats.\If he tries anything funny, I'll just kill him.\Get on in.\There.\Where are the oarsmen? response:	Who said we needed any oars?
context: Sure thing. Come on.\Itachi!\There ain't no other boats.\If he tries anything funny, I'll just kill him.\Get on in.\There.\Where are the oarsmen?\Who said we needed any oars? response:	What's going on?
context: Itachi!\There ain't no other boats.\If he tries anything funny, I'll just kill him.\Get on in.\There.\Where are the oarsmen?\Who said we needed any oars?\What's going on? response:	What's that?
context: There ain't no other boats.\If he tries anything funny, I'll just kill him.\Get on in.\There.\Where are the oarsmen?\Who said we needed any oars?\What's going on?\What's that? response:	Sharks! They're pulling the boat.
context: If he tries anything funny, I'll just kill him.\Get on in.\There.\Where are the oarsmen?\Who said we needed any oars?\What's going on?\What's that?\Sharks! They're pulling the boat. response:	Jiromaru and Saburomaru.
context: Get on in.\There.\Where are the oarsmen?\Who said we needed any oars?\What's going on?\What's that?\Sharks! They're pulling the boat.\Jiromaru and Saburomaru. response:	You named them?
context: There.\Where are the oarsmen?\Who said we needed any oars?\What's going on?\What's that?\Sharks! They're pulling the boat.\Jiromaru and Saburomaru.\You named them? response:	Yeah, they're my family.
context: Where are the oarsmen?\Who said we needed any oars?\What's going on?\What's that?\Sharks! They're pulling the boat.\Jiromaru and Saburomaru.\You named them?\Yeah, they're my family. response:	Sharks are your family?
context: Who said we needed any oars?\What's going on?\What's that?\Sharks! They're pulling the boat.\Jiromaru and Saburomaru.\You named them?\Yeah, they're my family.\Sharks are your family? response:	That's right. See how powerful they are?
context: What's going on?\What's that?\Sharks! They're pulling the boat.\Jiromaru and Saburomaru.\You named them?\Yeah, they're my family.\Sharks are your family?\That's right. See how powerful they are? response:	Crazy guy.
context: What's that?\Sharks! They're pulling the boat.\Jiromaru and Saburomaru.\You named them?\Yeah, they're my family.\Sharks are your family?\That's right. See how powerful they are?\Crazy guy. response:	Curious about my arm?
context: Sharks! They're pulling the boat.\Jiromaru and Saburomaru.\You named them?\Yeah, they're my family.\Sharks are your family?\That's right. See how powerful they are?\Crazy guy.\Curious about my arm? response:	Uh, yeah.
context: Jiromaru and Saburomaru.\You named them?\Yeah, they're my family.\Sharks are your family?\That's right. See how powerful they are?\Crazy guy.\Curious about my arm?\Uh, yeah. response:	I fed it to Jiromaru and Saburomaru.
context: You named them?\Yeah, they're my family.\Sharks are your family?\That's right. See how powerful they are?\Crazy guy.\Curious about my arm?\Uh, yeah.\I fed it to Jiromaru and Saburomaru. response:	The poor things were so hungry.
context: Yeah, they're my family.\Sharks are your family?\That's right. See how powerful they are?\Crazy guy.\Curious about my arm?\Uh, yeah.\I fed it to Jiromaru and Saburomaru.\The poor things were so hungry. response:	He fed them his own arm? He really is crazy.
context: Sharks are your family?\That's right. See how powerful they are?\Crazy guy.\Curious about my arm?\Uh, yeah.\I fed it to Jiromaru and Saburomaru.\The poor things were so hungry.\He fed them his own arm? He really is crazy. response:	I don't regret it.
context: That's right. See how powerful they are?\Crazy guy.\Curious about my arm?\Uh, yeah.\I fed it to Jiromaru and Saburomaru.\The poor things were so hungry.\He fed them his own arm? He really is crazy.\I don't regret it. response:	These two mean the world to me.
context: Crazy guy.\Curious about my arm?\Uh, yeah.\I fed it to Jiromaru and Saburomaru.\The poor things were so hungry.\He fed them his own arm? He really is crazy.\I don't regret it.\These two mean the world to me. response:	But now they've got a taste for human flesh.
context: Curious about my arm?\Uh, yeah.\I fed it to Jiromaru and Saburomaru.\The poor things were so hungry.\He fed them his own arm? He really is crazy.\I don't regret it.\These two mean the world to me.\But now they've got a taste for human flesh. response:	They won't eat anything else.
context: Uh, yeah.\I fed it to Jiromaru and Saburomaru.\The poor things were so hungry.\He fed them his own arm? He really is crazy.\I don't regret it.\These two mean the world to me.\But now they've got a taste for human flesh.\They won't eat anything else. response:	I fed them dead bodies at first.
context: I fed it to Jiromaru and Saburomaru.\The poor things were so hungry.\He fed them his own arm? He really is crazy.\I don't regret it.\These two mean the world to me.\But now they've got a taste for human flesh.\They won't eat anything else.\I fed them dead bodies at first. response:	But I wanted to give them something fresh, so I snatched and fed them women and kids.
context: The poor things were so hungry.\He fed them his own arm? He really is crazy.\I don't regret it.\These two mean the world to me.\But now they've got a taste for human flesh.\They won't eat anything else.\I fed them dead bodies at first.\But I wanted to give them something fresh, so I snatched and fed them women and kids. response:	They grew bigger the more they ate.
context: He fed them his own arm? He really is crazy.\I don't regret it.\These two mean the world to me.\But now they've got a taste for human flesh.\They won't eat anything else.\I fed them dead bodies at first.\But I wanted to give them something fresh, so I snatched and fed them women and kids.\They grew bigger the more they ate. response:	They can devour a whole village now.
context: I don't regret it.\These two mean the world to me.\But now they've got a taste for human flesh.\They won't eat anything else.\I fed them dead bodies at first.\But I wanted to give them something fresh, so I snatched and fed them women and kids.\They grew bigger the more they ate.\They can devour a whole village now. response:	A whole village? You mean...
context: These two mean the world to me.\But now they've got a taste for human flesh.\They won't eat anything else.\I fed them dead bodies at first.\But I wanted to give them something fresh, so I snatched and fed them women and kids.\They grew bigger the more they ate.\They can devour a whole village now.\A whole village? You mean... response:	Yeah, there were no brigands.
context: But now they've got a taste for human flesh.\They won't eat anything else.\I fed them dead bodies at first.\But I wanted to give them something fresh, so I snatched and fed them women and kids.\They grew bigger the more they ate.\They can devour a whole village now.\A whole village? You mean...\Yeah, there were no brigands. response:	I fed them all to my babies.
context: They won't eat anything else.\I fed them dead bodies at first.\But I wanted to give them something fresh, so I snatched and fed them women and kids.\They grew bigger the more they ate.\They can devour a whole village now.\A whole village? You mean...\Yeah, there were no brigands.\I fed them all to my babies. response:	No...
context: I fed them dead bodies at first.\But I wanted to give them something fresh, so I snatched and fed them women and kids.\They grew bigger the more they ate.\They can devour a whole village now.\A whole village? You mean...\Yeah, there were no brigands.\I fed them all to my babies.\No... response:	We're getting further away.
context: But I wanted to give them something fresh, so I snatched and fed them women and kids.\They grew bigger the more they ate.\They can devour a whole village now.\A whole village? You mean...\Yeah, there were no brigands.\I fed them all to my babies.\No...\We're getting further away. response:	So now you notice.
context: They grew bigger the more they ate.\They can devour a whole village now.\A whole village? You mean...\Yeah, there were no brigands.\I fed them all to my babies.\No...\We're getting further away.\So now you notice. response:	You fool.
context: They can devour a whole village now.\A whole village? You mean...\Yeah, there were no brigands.\I fed them all to my babies.\No...\We're getting further away.\So now you notice.\You fool. response:	Turn the boat around, now.
context: A whole village? You mean...\Yeah, there were no brigands.\I fed them all to my babies.\No...\We're getting further away.\So now you notice.\You fool.\Turn the boat around, now. response:	Jiromaru, Saburomaru. You two hungry?
