context: In the year 850... response:	The Colossal Titan reappeared and breached the wall.
context: Armin...\I won't leave you here.\B-But...\Carrying someone,\while leaping through a Titan-filled area\Let's go!\No...\Stop it. response:	If you don't, I'm going to...
context: I won't leave you here.\B-But...\Carrying someone,\while leaping through a Titan-filled area\Let's go!\No...\Stop it.\If you don't, I'm going to... response:	I'm going to cause another friend to die!
context: B-But...\Carrying someone,\while leaping through a Titan-filled area\Let's go!\No...\Stop it.\If you don't, I'm going to...\I'm going to cause another friend to die! response:	Wait!
context: Carrying someone,\while leaping through a Titan-filled area\Let's go!\No...\Stop it.\If you don't, I'm going to...\I'm going to cause another friend to die!\Wait! response:	Listen to me...
context: while leaping through a Titan-filled area\Let's go!\No...\Stop it.\If you don't, I'm going to...\I'm going to cause another friend to die!\Wait!\Listen to me... response:	I have a plan!
context: Let's go!\No...\Stop it.\If you don't, I'm going to...\I'm going to cause another friend to die!\Wait!\Listen to me...\I have a plan! response:	A plan?
context: No...\Stop it.\If you don't, I'm going to...\I'm going to cause another friend to die!\Wait!\Listen to me...\I have a plan!\A plan? response:	You two will have to execute it,
context: Stop it.\If you don't, I'm going to...\I'm going to cause another friend to die!\Wait!\Listen to me...\I have a plan!\A plan?\You two will have to execute it, response:	so you decide...
context: If you don't, I'm going to...\I'm going to cause another friend to die!\Wait!\Listen to me...\I have a plan!\A plan?\You two will have to execute it,\so you decide... response:	I know it's crazy,
context: I'm going to cause another friend to die!\Wait!\Listen to me...\I have a plan!\A plan?\You two will have to execute it,\so you decide...\I know it's crazy, response:	but could we use that Titan?
context: Wait!\Listen to me...\I have a plan!\A plan?\You two will have to execute it,\so you decide...\I know it's crazy,\but could we use that Titan? response:	That Titan?
context: Listen to me...\I have a plan!\A plan?\You two will have to execute it,\so you decide...\I know it's crazy,\but could we use that Titan?\That Titan? response:	It attacks other Titans...
context: I have a plan!\A plan?\You two will have to execute it,\so you decide...\I know it's crazy,\but could we use that Titan?\That Titan?\It attacks other Titans... response:	It isn't interested in us.
context: A plan?\You two will have to execute it,\so you decide...\I know it's crazy,\but could we use that Titan?\That Titan?\It attacks other Titans...\It isn't interested in us. response:	Could we lead it to the supply area somehow?
context: You two will have to execute it,\so you decide...\I know it's crazy,\but could we use that Titan?\That Titan?\It attacks other Titans...\It isn't interested in us.\Could we lead it to the supply area somehow? response:	If it defeats the other Titans, everyone might be saved!
context: so you decide...\I know it's crazy,\but could we use that Titan?\That Titan?\It attacks other Titans...\It isn't interested in us.\Could we lead it to the supply area somehow?\If it defeats the other Titans, everyone might be saved! response:	Lead it?!
context: I know it's crazy,\but could we use that Titan?\That Titan?\It attacks other Titans...\It isn't interested in us.\Could we lead it to the supply area somehow?\If it defeats the other Titans, everyone might be saved!\Lead it?! response:	How would we do that?
context: but could we use that Titan?\That Titan?\It attacks other Titans...\It isn't interested in us.\Could we lead it to the supply area somehow?\If it defeats the other Titans, everyone might be saved!\Lead it?!\How would we do that? response:	I think it's fighting instinctively.
context: That Titan?\It attacks other Titans...\It isn't interested in us.\Could we lead it to the supply area somehow?\If it defeats the other Titans, everyone might be saved!\Lead it?!\How would we do that?\I think it's fighting instinctively. response:	The two of you will defeat the Titans near it.
context: It attacks other Titans...\It isn't interested in us.\Could we lead it to the supply area somehow?\If it defeats the other Titans, everyone might be saved!\Lead it?!\How would we do that?\I think it's fighting instinctively.\The two of you will defeat the Titans near it. response:	That should make it move to find more.
context: It isn't interested in us.\Could we lead it to the supply area somehow?\If it defeats the other Titans, everyone might be saved!\Lead it?!\How would we do that?\I think it's fighting instinctively.\The two of you will defeat the Titans near it.\That should make it move to find more. response:	It should head toward HQ.
context: Could we lead it to the supply area somehow?\If it defeats the other Titans, everyone might be saved!\Lead it?!\How would we do that?\I think it's fighting instinctively.\The two of you will defeat the Titans near it.\That should make it move to find more.\It should head toward HQ. response:	We can't do something that dangerous on a hunch!
context: If it defeats the other Titans, everyone might be saved!\Lead it?!\How would we do that?\I think it's fighting instinctively.\The two of you will defeat the Titans near it.\That should make it move to find more.\It should head toward HQ.\We can't do something that dangerous on a hunch! response:	But if it works, we might be able to destroy all the Titans around HQ.
context: Lead it?!\How would we do that?\I think it's fighting instinctively.\The two of you will defeat the Titans near it.\That should make it move to find more.\It should head toward HQ.\We can't do something that dangerous on a hunch!\But if it works, we might be able to destroy all the Titans around HQ. response:	It's worth a try.
context: How would we do that?\I think it's fighting instinctively.\The two of you will defeat the Titans near it.\That should make it move to find more.\It should head toward HQ.\We can't do something that dangerous on a hunch!\But if it works, we might be able to destroy all the Titans around HQ.\It's worth a try. response:	Huh?
context: I think it's fighting instinctively.\The two of you will defeat the Titans near it.\That should make it move to find more.\It should head toward HQ.\We can't do something that dangerous on a hunch!\But if it works, we might be able to destroy all the Titans around HQ.\It's worth a try.\Huh? response:	Are you serious?
context: The two of you will defeat the Titans near it.\That should make it move to find more.\It should head toward HQ.\We can't do something that dangerous on a hunch!\But if it works, we might be able to destroy all the Titans around HQ.\It's worth a try.\Huh?\Are you serious? response:	Better to try something than to simply wait for death.
context: That should make it move to find more.\It should head toward HQ.\We can't do something that dangerous on a hunch!\But if it works, we might be able to destroy all the Titans around HQ.\It's worth a try.\Huh?\Are you serious?\Better to try something than to simply wait for death. response:	Let's go with Armin's plan.
context: It should head toward HQ.\We can't do something that dangerous on a hunch!\But if it works, we might be able to destroy all the Titans around HQ.\It's worth a try.\Huh?\Are you serious?\Better to try something than to simply wait for death.\Let's go with Armin's plan. response:	Fight the Titans with another Titan?
context: We can't do something that dangerous on a hunch!\But if it works, we might be able to destroy all the Titans around HQ.\It's worth a try.\Huh?\Are you serious?\Better to try something than to simply wait for death.\Let's go with Armin's plan.\Fight the Titans with another Titan? response:	Yes, that's right.
context: But if it works, we might be able to destroy all the Titans around HQ.\It's worth a try.\Huh?\Are you serious?\Better to try something than to simply wait for death.\Let's go with Armin's plan.\Fight the Titans with another Titan?\Yes, that's right. response:	If we fail, they'll laugh at us...
context: It's worth a try.\Huh?\Are you serious?\Better to try something than to simply wait for death.\Let's go with Armin's plan.\Fight the Titans with another Titan?\Yes, that's right.\If we fail, they'll laugh at us... response:	But if we succeed, everyone will survive.
context: Huh?\Are you serious?\Better to try something than to simply wait for death.\Let's go with Armin's plan.\Fight the Titans with another Titan?\Yes, that's right.\If we fail, they'll laugh at us...\But if we succeed, everyone will survive. response:	Let's prepare ourselves.
context: Are you serious?\Better to try something than to simply wait for death.\Let's go with Armin's plan.\Fight the Titans with another Titan?\Yes, that's right.\If we fail, they'll laugh at us...\But if we succeed, everyone will survive.\Let's prepare ourselves. response:	Fine... Fine!
context: Better to try something than to simply wait for death.\Let's go with Armin's plan.\Fight the Titans with another Titan?\Yes, that's right.\If we fail, they'll laugh at us...\But if we succeed, everyone will survive.\Let's prepare ourselves.\Fine... Fine! response:	Do I have the right?
context: Let's go with Armin's plan.\Fight the Titans with another Titan?\Yes, that's right.\If we fail, they'll laugh at us...\But if we succeed, everyone will survive.\Let's prepare ourselves.\Fine... Fine!\Do I have the right? response:	The right to be in a position of responsibility?
context: Fight the Titans with another Titan?\Yes, that's right.\If we fail, they'll laugh at us...\But if we succeed, everyone will survive.\Let's prepare ourselves.\Fine... Fine!\Do I have the right?\The right to be in a position of responsibility? response:	No.
context: Yes, that's right.\If we fail, they'll laugh at us...\But if we succeed, everyone will survive.\Let's prepare ourselves.\Fine... Fine!\Do I have the right?\The right to be in a position of responsibility?\No. response:	I have it wrong.
context: If we fail, they'll laugh at us...\But if we succeed, everyone will survive.\Let's prepare ourselves.\Fine... Fine!\Do I have the right?\The right to be in a position of responsibility?\No.\I have it wrong. response:	This is the time.
context: But if we succeed, everyone will survive.\Let's prepare ourselves.\Fine... Fine!\Do I have the right?\The right to be in a position of responsibility?\No.\I have it wrong.\This is the time. response:	Now, with all those Titans concentrated there.
context: Let's prepare ourselves.\Fine... Fine!\Do I have the right?\The right to be in a position of responsibility?\No.\I have it wrong.\This is the time.\Now, with all those Titans concentrated there. response:	This is our chance!
context: Fine... Fine!\Do I have the right?\The right to be in a position of responsibility?\No.\I have it wrong.\This is the time.\Now, with all those Titans concentrated there.\This is our chance! response:	Now!
context: Do I have the right?\The right to be in a position of responsibility?\No.\I have it wrong.\This is the time.\Now, with all those Titans concentrated there.\This is our chance!\Now! response:	We run into HQ right now!
context: The right to be in a position of responsibility?\No.\I have it wrong.\This is the time.\Now, with all those Titans concentrated there.\This is our chance!\Now!\We run into HQ right now! response:	It's our only chance...
context: No.\I have it wrong.\This is the time.\Now, with all those Titans concentrated there.\This is our chance!\Now!\We run into HQ right now!\It's our only chance... response:	Once we're out of gas, it's over.
context: I have it wrong.\This is the time.\Now, with all those Titans concentrated there.\This is our chance!\Now!\We run into HQ right now!\It's our only chance...\Once we're out of gas, it's over. response:	Full speed ahead!
context: This is the time.\Now, with all those Titans concentrated there.\This is our chance!\Now!\We run into HQ right now!\It's our only chance...\Once we're out of gas, it's over.\Full speed ahead! response:	Jean!
context: Now, with all those Titans concentrated there.\This is our chance!\Now!\We run into HQ right now!\It's our only chance...\Once we're out of gas, it's over.\Full speed ahead!\Jean! response:	Thank you.
context: This is our chance!\Now!\We run into HQ right now!\It's our only chance...\Once we're out of gas, it's over.\Full speed ahead!\Jean!\Thank you. response:	Thanks to you, we made it out safely.
context: Now!\We run into HQ right now!\It's our only chance...\Once we're out of gas, it's over.\Full speed ahead!\Jean!\Thank you.\Thanks to you, we made it out safely. response:	Huh?
context: We run into HQ right now!\It's our only chance...\Once we're out of gas, it's over.\Full speed ahead!\Jean!\Thank you.\Thanks to you, we made it out safely.\Huh? response:	It's thanks to you.
context: It's our only chance...\Once we're out of gas, it's over.\Full speed ahead!\Jean!\Thank you.\Thanks to you, we made it out safely.\Huh?\It's thanks to you. response:	I told you you're cut out for leadership!
context: Once we're out of gas, it's over.\Full speed ahead!\Jean!\Thank you.\Thanks to you, we made it out safely.\Huh?\It's thanks to you.\I told you you're cut out for leadership! response:	I don't know about that!
context: Full speed ahead!\Jean!\Thank you.\Thanks to you, we made it out safely.\Huh?\It's thanks to you.\I told you you're cut out for leadership!\I don't know about that! response:	Damn it!
context: Jean!\Thank you.\Thanks to you, we made it out safely.\Huh?\It's thanks to you.\I told you you're cut out for leadership!\I don't know about that!\Damn it! response:	How many made it?
context: Thank you.\Thanks to you, we made it out safely.\Huh?\It's thanks to you.\I told you you're cut out for leadership!\I don't know about that!\Damn it!\How many made it? response:	I took advantage of our comrades' deaths.
context: Thanks to you, we made it out safely.\Huh?\It's thanks to you.\I told you you're cut out for leadership!\I don't know about that!\Damn it!\How many made it?\I took advantage of our comrades' deaths. response:	Many died at my command...
context: Huh?\It's thanks to you.\I told you you're cut out for leadership!\I don't know about that!\Damn it!\How many made it?\I took advantage of our comrades' deaths.\Many died at my command... response:	Aren't you guys with the supply team?
context: It's thanks to you.\I told you you're cut out for leadership!\I don't know about that!\Damn it!\How many made it?\I took advantage of our comrades' deaths.\Many died at my command...\Aren't you guys with the supply team? response:	Yeah...
context: I told you you're cut out for leadership!\I don't know about that!\Damn it!\How many made it?\I took advantage of our comrades' deaths.\Many died at my command...\Aren't you guys with the supply team?\Yeah... response:	Stop it, Jean!
context: I don't know about that!\Damn it!\How many made it?\I took advantage of our comrades' deaths.\Many died at my command...\Aren't you guys with the supply team?\Yeah...\Stop it, Jean! response:	They are the ones who abandoned us!
context: Damn it!\How many made it?\I took advantage of our comrades' deaths.\Many died at my command...\Aren't you guys with the supply team?\Yeah...\Stop it, Jean!\They are the ones who abandoned us! response:	Because of you, more died than was necessary!
context: How many made it?\I took advantage of our comrades' deaths.\Many died at my command...\Aren't you guys with the supply team?\Yeah...\Stop it, Jean!\They are the ones who abandoned us!\Because of you, more died than was necessary! response:	Titans came into the supply area...
context: I took advantage of our comrades' deaths.\Many died at my command...\Aren't you guys with the supply team?\Yeah...\Stop it, Jean!\They are the ones who abandoned us!\Because of you, more died than was necessary!\Titans came into the supply area... response:	We couldn't do anything!
context: Many died at my command...\Aren't you guys with the supply team?\Yeah...\Stop it, Jean!\They are the ones who abandoned us!\Because of you, more died than was necessary!\Titans came into the supply area...\We couldn't do anything! response:	Doing something is your job!
context: Aren't you guys with the supply team?\Yeah...\Stop it, Jean!\They are the ones who abandoned us!\Because of you, more died than was necessary!\Titans came into the supply area...\We couldn't do anything!\Doing something is your job! response:	Get down!
context: Yeah...\Stop it, Jean!\They are the ones who abandoned us!\Because of you, more died than was necessary!\Titans came into the supply area...\We couldn't do anything!\Doing something is your job!\Get down! response:	Damn it!
context: Stop it, Jean!\They are the ones who abandoned us!\Because of you, more died than was necessary!\Titans came into the supply area...\We couldn't do anything!\Doing something is your job!\Get down!\Damn it! response:	Too many people are in one place!
context: They are the ones who abandoned us!\Because of you, more died than was necessary!\Titans came into the supply area...\We couldn't do anything!\Doing something is your job!\Get down!\Damn it!\Too many people are in one place! response:	Hurry, get inside!
context: Because of you, more died than was necessary!\Titans came into the supply area...\We couldn't do anything!\Doing something is your job!\Get down!\Damn it!\Too many people are in one place!\Hurry, get inside! response:	We can't all fit!
context: Titans came into the supply area...\We couldn't do anything!\Doing something is your job!\Get down!\Damn it!\Too many people are in one place!\Hurry, get inside!\We can't all fit! response:	Where's Mikasa?!
context: We couldn't do anything!\Doing something is your job!\Get down!\Damn it!\Too many people are in one place!\Hurry, get inside!\We can't all fit!\Where's Mikasa?! response:	She must've ran out of gas, and got eaten long ago!
context: Doing something is your job!\Get down!\Damn it!\Too many people are in one place!\Hurry, get inside!\We can't all fit!\Where's Mikasa?!\She must've ran out of gas, and got eaten long ago! response:	This is normal.
context: Get down!\Damn it!\Too many people are in one place!\Hurry, get inside!\We can't all fit!\Where's Mikasa?!\She must've ran out of gas, and got eaten long ago!\This is normal. response:	This is reality...
context: Damn it!\Too many people are in one place!\Hurry, get inside!\We can't all fit!\Where's Mikasa?!\She must've ran out of gas, and got eaten long ago!\This is normal.\This is reality... response:	Was my hope just an impossible dream?
context: Too many people are in one place!\Hurry, get inside!\We can't all fit!\Where's Mikasa?!\She must've ran out of gas, and got eaten long ago!\This is normal.\This is reality...\Was my hope just an impossible dream? response:	I should've known...
context: Hurry, get inside!\We can't all fit!\Where's Mikasa?!\She must've ran out of gas, and got eaten long ago!\This is normal.\This is reality...\Was my hope just an impossible dream?\I should've known... response:	that this is reality.
context: We can't all fit!\Where's Mikasa?!\She must've ran out of gas, and got eaten long ago!\This is normal.\This is reality...\Was my hope just an impossible dream?\I should've known...\that this is reality. response:	It should've been a simple enough realization
context: Where's Mikasa?!\She must've ran out of gas, and got eaten long ago!\This is normal.\This is reality...\Was my hope just an impossible dream?\I should've known...\that this is reality.\It should've been a simple enough realization response:	that we could never beat something so huge.
context: She must've ran out of gas, and got eaten long ago!\This is normal.\This is reality...\Was my hope just an impossible dream?\I should've known...\that this is reality.\It should've been a simple enough realization\that we could never beat something so huge. response:	What?
context: This is normal.\This is reality...\Was my hope just an impossible dream?\I should've known...\that this is reality.\It should've been a simple enough realization\that we could never beat something so huge.\What? response:	Wh-What is that?
context: This is reality...\Was my hope just an impossible dream?\I should've known...\that this is reality.\It should've been a simple enough realization\that we could never beat something so huge.\What?\Wh-What is that? response:	Mikasa?
context: Was my hope just an impossible dream?\I should've known...\that this is reality.\It should've been a simple enough realization\that we could never beat something so huge.\What?\Wh-What is that?\Mikasa? response:	That was close... I'm all out.
context: I should've known...\that this is reality.\It should've been a simple enough realization\that we could never beat something so huge.\What?\Wh-What is that?\Mikasa?\That was close... I'm all out. response:	But we did it! We just barely made it!
context: that this is reality.\It should've been a simple enough realization\that we could never beat something so huge.\What?\Wh-What is that?\Mikasa?\That was close... I'm all out.\But we did it! We just barely made it! response:	Y-You're alive!
context: It should've been a simple enough realization\that we could never beat something so huge.\What?\Wh-What is that?\Mikasa?\That was close... I'm all out.\But we did it! We just barely made it!\Y-You're alive! response:	You did it, Armin!
context: that we could never beat something so huge.\What?\Wh-What is that?\Mikasa?\That was close... I'm all out.\But we did it! We just barely made it!\Y-You're alive!\You did it, Armin! response:	Ow!
context: What?\Wh-What is that?\Mikasa?\That was close... I'm all out.\But we did it! We just barely made it!\Y-You're alive!\You did it, Armin!\Ow! response:	Your plan worked!
context: Wh-What is that?\Mikasa?\That was close... I'm all out.\But we did it! We just barely made it!\Y-You're alive!\You did it, Armin!\Ow!\Your plan worked! response:	Everyone!
context: Mikasa?\That was close... I'm all out.\But we did it! We just barely made it!\Y-You're alive!\You did it, Armin!\Ow!\Your plan worked!\Everyone! response:	That Titan is an Aberrant that kills other Titans!
context: That was close... I'm all out.\But we did it! We just barely made it!\Y-You're alive!\You did it, Armin!\Ow!\Your plan worked!\Everyone!\That Titan is an Aberrant that kills other Titans! response:	And it isn't interested in us...
context: But we did it! We just barely made it!\Y-You're alive!\You did it, Armin!\Ow!\Your plan worked!\Everyone!\That Titan is an Aberrant that kills other Titans!\And it isn't interested in us... response:	If we can use it, we can escape!
context: Y-You're alive!\You did it, Armin!\Ow!\Your plan worked!\Everyone!\That Titan is an Aberrant that kills other Titans!\And it isn't interested in us...\If we can use it, we can escape! response:	Use the Titan?
context: You did it, Armin!\Ow!\Your plan worked!\Everyone!\That Titan is an Aberrant that kills other Titans!\And it isn't interested in us...\If we can use it, we can escape!\Use the Titan? response:	A Titan helping us?
context: Ow!\Your plan worked!\Everyone!\That Titan is an Aberrant that kills other Titans!\And it isn't interested in us...\If we can use it, we can escape!\Use the Titan?\A Titan helping us? response:	That sounds like a dream
context: Your plan worked!\Everyone!\That Titan is an Aberrant that kills other Titans!\And it isn't interested in us...\If we can use it, we can escape!\Use the Titan?\A Titan helping us?\That sounds like a dream response:	It isn't a dream.
context: Everyone!\That Titan is an Aberrant that kills other Titans!\And it isn't interested in us...\If we can use it, we can escape!\Use the Titan?\A Titan helping us?\That sounds like a dream\It isn't a dream. response:	I don't care if it's an Aberrant or what...
context: That Titan is an Aberrant that kills other Titans!\And it isn't interested in us...\If we can use it, we can escape!\Use the Titan?\A Titan helping us?\That sounds like a dream\It isn't a dream.\I don't care if it's an Aberrant or what... response:	We need it to stay here, and to keep fighting.
context: And it isn't interested in us...\If we can use it, we can escape!\Use the Titan?\A Titan helping us?\That sounds like a dream\It isn't a dream.\I don't care if it's an Aberrant or what...\We need it to stay here, and to keep fighting. response:	That is
context: If we can use it, we can escape!\Use the Titan?\A Titan helping us?\That sounds like a dream\It isn't a dream.\I don't care if it's an Aberrant or what...\We need it to stay here, and to keep fighting.\That is response:	our most realistic chance for survival.
context: Use the Titan?\A Titan helping us?\That sounds like a dream\It isn't a dream.\I don't care if it's an Aberrant or what...\We need it to stay here, and to keep fighting.\That is\our most realistic chance for survival. response:	3D Maneuver Gear Diagram (3) (Fan Unit) Fans propelled by direct ejection of gas onto fan blades. Output modulated by gas pressure.
context: A Titan helping us?\That sounds like a dream\It isn't a dream.\I don't care if it's an Aberrant or what...\We need it to stay here, and to keep fighting.\That is\our most realistic chance for survival.\3D Maneuver Gear Diagram (3) (Fan Unit) Fans propelled by direct ejection of gas onto fan blades. Output modulated by gas pressure. response:	Titan Size Comparison Chart
context: That sounds like a dream\It isn't a dream.\I don't care if it's an Aberrant or what...\We need it to stay here, and to keep fighting.\That is\our most realistic chance for survival.\3D Maneuver Gear Diagram (3) (Fan Unit) Fans propelled by direct ejection of gas onto fan blades. Output modulated by gas pressure.\Titan Size Comparison Chart response:	D-Don't worry.
context: It isn't a dream.\I don't care if it's an Aberrant or what...\We need it to stay here, and to keep fighting.\That is\our most realistic chance for survival.\3D Maneuver Gear Diagram (3) (Fan Unit) Fans propelled by direct ejection of gas onto fan blades. Output modulated by gas pressure.\Titan Size Comparison Chart\D-Don't worry. response:	It's stronger than an average Titan.
context: I don't care if it's an Aberrant or what...\We need it to stay here, and to keep fighting.\That is\our most realistic chance for survival.\3D Maneuver Gear Diagram (3) (Fan Unit) Fans propelled by direct ejection of gas onto fan blades. Output modulated by gas pressure.\Titan Size Comparison Chart\D-Don't worry.\It's stronger than an average Titan. response:	As long as it's out there raising hell,
context: We need it to stay here, and to keep fighting.\That is\our most realistic chance for survival.\3D Maneuver Gear Diagram (3) (Fan Unit) Fans propelled by direct ejection of gas onto fan blades. Output modulated by gas pressure.\Titan Size Comparison Chart\D-Don't worry.\It's stronger than an average Titan.\As long as it's out there raising hell, response:	they won't destroy this building!
context: That is\our most realistic chance for survival.\3D Maneuver Gear Diagram (3) (Fan Unit) Fans propelled by direct ejection of gas onto fan blades. Output modulated by gas pressure.\Titan Size Comparison Chart\D-Don't worry.\It's stronger than an average Titan.\As long as it's out there raising hell,\they won't destroy this building! response:	How much do you know about that Titan?
context: our most realistic chance for survival.\3D Maneuver Gear Diagram (3) (Fan Unit) Fans propelled by direct ejection of gas onto fan blades. Output modulated by gas pressure.\Titan Size Comparison Chart\D-Don't worry.\It's stronger than an average Titan.\As long as it's out there raising hell,\they won't destroy this building!\How much do you know about that Titan? response:	We can worry about that once we get out.
context: 3D Maneuver Gear Diagram (3) (Fan Unit) Fans propelled by direct ejection of gas onto fan blades. Output modulated by gas pressure.\Titan Size Comparison Chart\D-Don't worry.\It's stronger than an average Titan.\As long as it's out there raising hell,\they won't destroy this building!\How much do you know about that Titan?\We can worry about that once we get out. response:	You're right.
context: Titan Size Comparison Chart\D-Don't worry.\It's stronger than an average Titan.\As long as it's out there raising hell,\they won't destroy this building!\How much do you know about that Titan?\We can worry about that once we get out.\You're right. response:	We'll get out of here first.
context: D-Don't worry.\It's stronger than an average Titan.\As long as it's out there raising hell,\they won't destroy this building!\How much do you know about that Titan?\We can worry about that once we get out.\You're right.\We'll get out of here first. response:	We found it!
context: It's stronger than an average Titan.\As long as it's out there raising hell,\they won't destroy this building!\How much do you know about that Titan?\We can worry about that once we get out.\You're right.\We'll get out of here first.\We found it! response:	This is military police stuff...
context: As long as it's out there raising hell,\they won't destroy this building!\How much do you know about that Titan?\We can worry about that once we get out.\You're right.\We'll get out of here first.\We found it!\This is military police stuff... response:	It was covered in dust.
context: they won't destroy this building!\How much do you know about that Titan?\We can worry about that once we get out.\You're right.\We'll get out of here first.\We found it!\This is military police stuff...\It was covered in dust. response:	Are scatter shots really enough?
