context: All of the various economic response:	powers are hastily preparing to launch their forces.
context: keep our allies from falling into disarray.\You're always so uptight!\You'll never get anywhere like that...\with the enemy or women.\If you have time for idle chatter,\work on memorizing the enemy's formations!\Yeah, yeah.\I have no idea what to expect from the Wulgaru. response:	After all, they consider this hunting.
context: You're always so uptight!\You'll never get anywhere like that...\with the enemy or women.\If you have time for idle chatter,\work on memorizing the enemy's formations!\Yeah, yeah.\I have no idea what to expect from the Wulgaru.\After all, they consider this hunting. response:	We need be prepared for an attack
context: You'll never get anywhere like that...\with the enemy or women.\If you have time for idle chatter,\work on memorizing the enemy's formations!\Yeah, yeah.\I have no idea what to expect from the Wulgaru.\After all, they consider this hunting.\We need be prepared for an attack response:	if they strike while we're on the move.
context: with the enemy or women.\If you have time for idle chatter,\work on memorizing the enemy's formations!\Yeah, yeah.\I have no idea what to expect from the Wulgaru.\After all, they consider this hunting.\We need be prepared for an attack\if they strike while we're on the move. response:	Come what may, our primary goal is to reach
context: If you have time for idle chatter,\work on memorizing the enemy's formations!\Yeah, yeah.\I have no idea what to expect from the Wulgaru.\After all, they consider this hunting.\We need be prepared for an attack\if they strike while we're on the move.\Come what may, our primary goal is to reach response:	the gate in one piece.
context: work on memorizing the enemy's formations!\Yeah, yeah.\I have no idea what to expect from the Wulgaru.\After all, they consider this hunting.\We need be prepared for an attack\if they strike while we're on the move.\Come what may, our primary goal is to reach\the gate in one piece. response:	Right.
context: Yeah, yeah.\I have no idea what to expect from the Wulgaru.\After all, they consider this hunting.\We need be prepared for an attack\if they strike while we're on the move.\Come what may, our primary goal is to reach\the gate in one piece.\Right. response:	But how will we power the gate-destroying Straggle Laser?
context: I have no idea what to expect from the Wulgaru.\After all, they consider this hunting.\We need be prepared for an attack\if they strike while we're on the move.\Come what may, our primary goal is to reach\the gate in one piece.\Right.\But how will we power the gate-destroying Straggle Laser? response:	Weren't the flagships from the economic powers
context: After all, they consider this hunting.\We need be prepared for an attack\if they strike while we're on the move.\Come what may, our primary goal is to reach\the gate in one piece.\Right.\But how will we power the gate-destroying Straggle Laser?\Weren't the flagships from the economic powers response:	supposed to supply the power?
context: We need be prepared for an attack\if they strike while we're on the move.\Come what may, our primary goal is to reach\the gate in one piece.\Right.\But how will we power the gate-destroying Straggle Laser?\Weren't the flagships from the economic powers\supposed to supply the power? response:	That's the plan,
context: if they strike while we're on the move.\Come what may, our primary goal is to reach\the gate in one piece.\Right.\But how will we power the gate-destroying Straggle Laser?\Weren't the flagships from the economic powers\supposed to supply the power?\That's the plan, response:	but the charge time upon reaching the gate takes too long.
context: Come what may, our primary goal is to reach\the gate in one piece.\Right.\But how will we power the gate-destroying Straggle Laser?\Weren't the flagships from the economic powers\supposed to supply the power?\That's the plan,\but the charge time upon reaching the gate takes too long. response:	If the enemy opened fire, they'd have no choice but to sit it out.
context: the gate in one piece.\Right.\But how will we power the gate-destroying Straggle Laser?\Weren't the flagships from the economic powers\supposed to supply the power?\That's the plan,\but the charge time upon reaching the gate takes too long.\If the enemy opened fire, they'd have no choice but to sit it out. response:	You're making Izuru participate in this operation?
context: Right.\But how will we power the gate-destroying Straggle Laser?\Weren't the flagships from the economic powers\supposed to supply the power?\That's the plan,\but the charge time upon reaching the gate takes too long.\If the enemy opened fire, they'd have no choice but to sit it out.\You're making Izuru participate in this operation? response:	As his primary physician, I can't permit this.
context: But how will we power the gate-destroying Straggle Laser?\Weren't the flagships from the economic powers\supposed to supply the power?\That's the plan,\but the charge time upon reaching the gate takes too long.\If the enemy opened fire, they'd have no choice but to sit it out.\You're making Izuru participate in this operation?\As his primary physician, I can't permit this. response:	I understand,
context: Weren't the flagships from the economic powers\supposed to supply the power?\That's the plan,\but the charge time upon reaching the gate takes too long.\If the enemy opened fire, they'd have no choice but to sit it out.\You're making Izuru participate in this operation?\As his primary physician, I can't permit this.\I understand, response:	but the fate of Earth rests on the success of this operation.
context: supposed to supply the power?\That's the plan,\but the charge time upon reaching the gate takes too long.\If the enemy opened fire, they'd have no choice but to sit it out.\You're making Izuru participate in this operation?\As his primary physician, I can't permit this.\I understand,\but the fate of Earth rests on the success of this operation. response:	I am aware of the position you're in, but I am a doctor!
context: That's the plan,\but the charge time upon reaching the gate takes too long.\If the enemy opened fire, they'd have no choice but to sit it out.\You're making Izuru participate in this operation?\As his primary physician, I can't permit this.\I understand,\but the fate of Earth rests on the success of this operation.\I am aware of the position you're in, but I am a doctor! response:	It is my job to protect my patients.
context: but the charge time upon reaching the gate takes too long.\If the enemy opened fire, they'd have no choice but to sit it out.\You're making Izuru participate in this operation?\As his primary physician, I can't permit this.\I understand,\but the fate of Earth rests on the success of this operation.\I am aware of the position you're in, but I am a doctor!\It is my job to protect my patients. response:	You still haven't been discharged from the hospital, have you?
context: If the enemy opened fire, they'd have no choice but to sit it out.\You're making Izuru participate in this operation?\As his primary physician, I can't permit this.\I understand,\but the fate of Earth rests on the success of this operation.\I am aware of the position you're in, but I am a doctor!\It is my job to protect my patients.\You still haven't been discharged from the hospital, have you? response:	Night before the Decisive Battle
context: You're making Izuru participate in this operation?\As his primary physician, I can't permit this.\I understand,\but the fate of Earth rests on the success of this operation.\I am aware of the position you're in, but I am a doctor!\It is my job to protect my patients.\You still haven't been discharged from the hospital, have you?\Night before the Decisive Battle response:	I have to participate in this operation!
context: As his primary physician, I can't permit this.\I understand,\but the fate of Earth rests on the success of this operation.\I am aware of the position you're in, but I am a doctor!\It is my job to protect my patients.\You still haven't been discharged from the hospital, have you?\Night before the Decisive Battle\I have to participate in this operation! response:	Stay and get your rest!
context: I understand,\but the fate of Earth rests on the success of this operation.\I am aware of the position you're in, but I am a doctor!\It is my job to protect my patients.\You still haven't been discharged from the hospital, have you?\Night before the Decisive Battle\I have to participate in this operation!\Stay and get your rest! response:	Wow! Just now, didn't you sound kinda big brother-ish?
context: but the fate of Earth rests on the success of this operation.\I am aware of the position you're in, but I am a doctor!\It is my job to protect my patients.\You still haven't been discharged from the hospital, have you?\Night before the Decisive Battle\I have to participate in this operation!\Stay and get your rest!\Wow! Just now, didn't you sound kinda big brother-ish? response:	Izuru!
context: I am aware of the position you're in, but I am a doctor!\It is my job to protect my patients.\You still haven't been discharged from the hospital, have you?\Night before the Decisive Battle\I have to participate in this operation!\Stay and get your rest!\Wow! Just now, didn't you sound kinda big brother-ish?\Izuru! response:	No, no! You're supposed to take it easy.
context: It is my job to protect my patients.\You still haven't been discharged from the hospital, have you?\Night before the Decisive Battle\I have to participate in this operation!\Stay and get your rest!\Wow! Just now, didn't you sound kinda big brother-ish?\Izuru!\No, no! You're supposed to take it easy. response:	You should stop him, Asagi!
context: You still haven't been discharged from the hospital, have you?\Night before the Decisive Battle\I have to participate in this operation!\Stay and get your rest!\Wow! Just now, didn't you sound kinda big brother-ish?\Izuru!\No, no! You're supposed to take it easy.\You should stop him, Asagi! response:	I'm trying to!
context: Night before the Decisive Battle\I have to participate in this operation!\Stay and get your rest!\Wow! Just now, didn't you sound kinda big brother-ish?\Izuru!\No, no! You're supposed to take it easy.\You should stop him, Asagi!\I'm trying to! response:	Yep! Big Brother hasn't done anything wrong.
context: I have to participate in this operation!\Stay and get your rest!\Wow! Just now, didn't you sound kinda big brother-ish?\Izuru!\No, no! You're supposed to take it easy.\You should stop him, Asagi!\I'm trying to!\Yep! Big Brother hasn't done anything wrong. response:	I've already told you, stop calling me that!
context: Stay and get your rest!\Wow! Just now, didn't you sound kinda big brother-ish?\Izuru!\No, no! You're supposed to take it easy.\You should stop him, Asagi!\I'm trying to!\Yep! Big Brother hasn't done anything wrong.\I've already told you, stop calling me that! response:	Huh? What's the big deal?
context: Wow! Just now, didn't you sound kinda big brother-ish?\Izuru!\No, no! You're supposed to take it easy.\You should stop him, Asagi!\I'm trying to!\Yep! Big Brother hasn't done anything wrong.\I've already told you, stop calling me that!\Huh? What's the big deal? response:	We merely inherited DNA from the same human.
context: Izuru!\No, no! You're supposed to take it easy.\You should stop him, Asagi!\I'm trying to!\Yep! Big Brother hasn't done anything wrong.\I've already told you, stop calling me that!\Huh? What's the big deal?\We merely inherited DNA from the same human. response:	And it feels weird for him to suddenly start calling me that...
context: No, no! You're supposed to take it easy.\You should stop him, Asagi!\I'm trying to!\Yep! Big Brother hasn't done anything wrong.\I've already told you, stop calling me that!\Huh? What's the big deal?\We merely inherited DNA from the same human.\And it feels weird for him to suddenly start calling me that... response:	But it doesn't change the fact that you're Izuru's brother, does it?
context: You should stop him, Asagi!\I'm trying to!\Yep! Big Brother hasn't done anything wrong.\I've already told you, stop calling me that!\Huh? What's the big deal?\We merely inherited DNA from the same human.\And it feels weird for him to suddenly start calling me that...\But it doesn't change the fact that you're Izuru's brother, does it? response:	I should have kept this to myself...
context: I'm trying to!\Yep! Big Brother hasn't done anything wrong.\I've already told you, stop calling me that!\Huh? What's the big deal?\We merely inherited DNA from the same human.\And it feels weird for him to suddenly start calling me that...\But it doesn't change the fact that you're Izuru's brother, does it?\I should have kept this to myself... response:	I'm kinda jealous! You've got a brother!
context: Yep! Big Brother hasn't done anything wrong.\I've already told you, stop calling me that!\Huh? What's the big deal?\We merely inherited DNA from the same human.\And it feels weird for him to suddenly start calling me that...\But it doesn't change the fact that you're Izuru's brother, does it?\I should have kept this to myself...\I'm kinda jealous! You've got a brother! response:	In that case, Suruga, you're free to call me Big Bro.
context: I've already told you, stop calling me that!\Huh? What's the big deal?\We merely inherited DNA from the same human.\And it feels weird for him to suddenly start calling me that...\But it doesn't change the fact that you're Izuru's brother, does it?\I should have kept this to myself...\I'm kinda jealous! You've got a brother!\In that case, Suruga, you're free to call me Big Bro. response:	No freaking way!
context: Huh? What's the big deal?\We merely inherited DNA from the same human.\And it feels weird for him to suddenly start calling me that...\But it doesn't change the fact that you're Izuru's brother, does it?\I should have kept this to myself...\I'm kinda jealous! You've got a brother!\In that case, Suruga, you're free to call me Big Bro.\No freaking way! response:	But isn't everyone here sorta like family?
context: We merely inherited DNA from the same human.\And it feels weird for him to suddenly start calling me that...\But it doesn't change the fact that you're Izuru's brother, does it?\I should have kept this to myself...\I'm kinda jealous! You've got a brother!\In that case, Suruga, you're free to call me Big Bro.\No freaking way!\But isn't everyone here sorta like family? response:	That's how I think of you guys.
context: And it feels weird for him to suddenly start calling me that...\But it doesn't change the fact that you're Izuru's brother, does it?\I should have kept this to myself...\I'm kinda jealous! You've got a brother!\In that case, Suruga, you're free to call me Big Bro.\No freaking way!\But isn't everyone here sorta like family?\That's how I think of you guys. response:	Tamaki...
context: But it doesn't change the fact that you're Izuru's brother, does it?\I should have kept this to myself...\I'm kinda jealous! You've got a brother!\In that case, Suruga, you're free to call me Big Bro.\No freaking way!\But isn't everyone here sorta like family?\That's how I think of you guys.\Tamaki... response:	Asagi is my big brother,
context: I should have kept this to myself...\I'm kinda jealous! You've got a brother!\In that case, Suruga, you're free to call me Big Bro.\No freaking way!\But isn't everyone here sorta like family?\That's how I think of you guys.\Tamaki...\Asagi is my big brother, response:	Izuru is my little brother,
context: I'm kinda jealous! You've got a brother!\In that case, Suruga, you're free to call me Big Bro.\No freaking way!\But isn't everyone here sorta like family?\That's how I think of you guys.\Tamaki...\Asagi is my big brother,\Izuru is my little brother, response:	and I guess Kei is like my mom!
context: In that case, Suruga, you're free to call me Big Bro.\No freaking way!\But isn't everyone here sorta like family?\That's how I think of you guys.\Tamaki...\Asagi is my big brother,\Izuru is my little brother,\and I guess Kei is like my mom! response:	Who are you calling a mom?!
context: No freaking way!\But isn't everyone here sorta like family?\That's how I think of you guys.\Tamaki...\Asagi is my big brother,\Izuru is my little brother,\and I guess Kei is like my mom!\Who are you calling a mom?! response:	What'bout me? Well? Well?
context: But isn't everyone here sorta like family?\That's how I think of you guys.\Tamaki...\Asagi is my big brother,\Izuru is my little brother,\and I guess Kei is like my mom!\Who are you calling a mom?!\What'bout me? Well? Well? response:	Commander Simon!
context: That's how I think of you guys.\Tamaki...\Asagi is my big brother,\Izuru is my little brother,\and I guess Kei is like my mom!\Who are you calling a mom?!\What'bout me? Well? Well?\Commander Simon! response:	Izuru Hitachi, I need to have a word with you.
context: Tamaki...\Asagi is my big brother,\Izuru is my little brother,\and I guess Kei is like my mom!\Who are you calling a mom?!\What'bout me? Well? Well?\Commander Simon!\Izuru Hitachi, I need to have a word with you. response:	Well, we'd better be going.
context: Asagi is my big brother,\Izuru is my little brother,\and I guess Kei is like my mom!\Who are you calling a mom?!\What'bout me? Well? Well?\Commander Simon!\Izuru Hitachi, I need to have a word with you.\Well, we'd better be going. response:	Izuru Hitachi, submit your resignation papers immediately.
context: Izuru is my little brother,\and I guess Kei is like my mom!\Who are you calling a mom?!\What'bout me? Well? Well?\Commander Simon!\Izuru Hitachi, I need to have a word with you.\Well, we'd better be going.\Izuru Hitachi, submit your resignation papers immediately. response:	Is that clear?
context: and I guess Kei is like my mom!\Who are you calling a mom?!\What'bout me? Well? Well?\Commander Simon!\Izuru Hitachi, I need to have a word with you.\Well, we'd better be going.\Izuru Hitachi, submit your resignation papers immediately.\Is that clear? response:	A moment, sir!
context: Who are you calling a mom?!\What'bout me? Well? Well?\Commander Simon!\Izuru Hitachi, I need to have a word with you.\Well, we'd better be going.\Izuru Hitachi, submit your resignation papers immediately.\Is that clear?\A moment, sir! response:	That was an order!
context: What'bout me? Well? Well?\Commander Simon!\Izuru Hitachi, I need to have a word with you.\Well, we'd better be going.\Izuru Hitachi, submit your resignation papers immediately.\Is that clear?\A moment, sir!\That was an order! response:	I am going to fight!
context: Commander Simon!\Izuru Hitachi, I need to have a word with you.\Well, we'd better be going.\Izuru Hitachi, submit your resignation papers immediately.\Is that clear?\A moment, sir!\That was an order!\I am going to fight! response:	Not happening.
context: Izuru Hitachi, I need to have a word with you.\Well, we'd better be going.\Izuru Hitachi, submit your resignation papers immediately.\Is that clear?\A moment, sir!\That was an order!\I am going to fight!\Not happening. response:	Why not?!
context: Well, we'd better be going.\Izuru Hitachi, submit your resignation papers immediately.\Is that clear?\A moment, sir!\That was an order!\I am going to fight!\Not happening.\Why not?! response:	In your current condition, you could jeopardize the operation.
context: Izuru Hitachi, submit your resignation papers immediately.\Is that clear?\A moment, sir!\That was an order!\I am going to fight!\Not happening.\Why not?!\In your current condition, you could jeopardize the operation. response:	I'll do my best to see that I don't!
context: Is that clear?\A moment, sir!\That was an order!\I am going to fight!\Not happening.\Why not?!\In your current condition, you could jeopardize the operation.\I'll do my best to see that I don't! response:	Waiting for everyone alone at a safe distance...
context: A moment, sir!\That was an order!\I am going to fight!\Not happening.\Why not?!\In your current condition, you could jeopardize the operation.\I'll do my best to see that I don't!\Waiting for everyone alone at a safe distance... response:	That would be far harder on me!
context: That was an order!\I am going to fight!\Not happening.\Why not?!\In your current condition, you could jeopardize the operation.\I'll do my best to see that I don't!\Waiting for everyone alone at a safe distance...\That would be far harder on me! response:	I've fought along their sides this whole time!
context: I am going to fight!\Not happening.\Why not?!\In your current condition, you could jeopardize the operation.\I'll do my best to see that I don't!\Waiting for everyone alone at a safe distance...\That would be far harder on me!\I've fought along their sides this whole time! response:	Please, sir!
context: Not happening.\Why not?!\In your current condition, you could jeopardize the operation.\I'll do my best to see that I don't!\Waiting for everyone alone at a safe distance...\That would be far harder on me!\I've fought along their sides this whole time!\Please, sir! response:	Even if... piloting an AHSMB again could prove fatal?
context: Why not?!\In your current condition, you could jeopardize the operation.\I'll do my best to see that I don't!\Waiting for everyone alone at a safe distance...\That would be far harder on me!\I've fought along their sides this whole time!\Please, sir!\Even if... piloting an AHSMB again could prove fatal? response:	We were born for the sole purpose to fight.
context: In your current condition, you could jeopardize the operation.\I'll do my best to see that I don't!\Waiting for everyone alone at a safe distance...\That would be far harder on me!\I've fought along their sides this whole time!\Please, sir!\Even if... piloting an AHSMB again could prove fatal?\We were born for the sole purpose to fight. response:	That's what we were raised to do;
context: I'll do my best to see that I don't!\Waiting for everyone alone at a safe distance...\That would be far harder on me!\I've fought along their sides this whole time!\Please, sir!\Even if... piloting an AHSMB again could prove fatal?\We were born for the sole purpose to fight.\That's what we were raised to do; response:	why our memories were erased.
context: Waiting for everyone alone at a safe distance...\That would be far harder on me!\I've fought along their sides this whole time!\Please, sir!\Even if... piloting an AHSMB again could prove fatal?\We were born for the sole purpose to fight.\That's what we were raised to do;\why our memories were erased. response:	But... But despite all of that, I made friends
context: That would be far harder on me!\I've fought along their sides this whole time!\Please, sir!\Even if... piloting an AHSMB again could prove fatal?\We were born for the sole purpose to fight.\That's what we were raised to do;\why our memories were erased.\But... But despite all of that, I made friends response:	and had some fun times.
context: I've fought along their sides this whole time!\Please, sir!\Even if... piloting an AHSMB again could prove fatal?\We were born for the sole purpose to fight.\That's what we were raised to do;\why our memories were erased.\But... But despite all of that, I made friends\and had some fun times. response:	So I want to be with everyone!
context: Please, sir!\Even if... piloting an AHSMB again could prove fatal?\We were born for the sole purpose to fight.\That's what we were raised to do;\why our memories were erased.\But... But despite all of that, I made friends\and had some fun times.\So I want to be with everyone! response:	If they are out there fighting, then I want to fight, too!
context: Even if... piloting an AHSMB again could prove fatal?\We were born for the sole purpose to fight.\That's what we were raised to do;\why our memories were erased.\But... But despite all of that, I made friends\and had some fun times.\So I want to be with everyone!\If they are out there fighting, then I want to fight, too! response:	I will grant you permission to board the Godinion.
context: We were born for the sole purpose to fight.\That's what we were raised to do;\why our memories were erased.\But... But despite all of that, I made friends\and had some fun times.\So I want to be with everyone!\If they are out there fighting, then I want to fight, too!\I will grant you permission to board the Godinion. response:	Thank you, sir!
context: That's what we were raised to do;\why our memories were erased.\But... But despite all of that, I made friends\and had some fun times.\So I want to be with everyone!\If they are out there fighting, then I want to fight, too!\I will grant you permission to board the Godinion.\Thank you, sir! response:	I will fight with all of my might,
context: why our memories were erased.\But... But despite all of that, I made friends\and had some fun times.\So I want to be with everyone!\If they are out there fighting, then I want to fight, too!\I will grant you permission to board the Godinion.\Thank you, sir!\I will fight with all of my might, response:	so that Izuru doesn't have to enter the frontlines.
context: But... But despite all of that, I made friends\and had some fun times.\So I want to be with everyone!\If they are out there fighting, then I want to fight, too!\I will grant you permission to board the Godinion.\Thank you, sir!\I will fight with all of my might,\so that Izuru doesn't have to enter the frontlines. response:	I will protect him!
context: and had some fun times.\So I want to be with everyone!\If they are out there fighting, then I want to fight, too!\I will grant you permission to board the Godinion.\Thank you, sir!\I will fight with all of my might,\so that Izuru doesn't have to enter the frontlines.\I will protect him! response:	Izuru is my friend... as well as my little brother!
context: So I want to be with everyone!\If they are out there fighting, then I want to fight, too!\I will grant you permission to board the Godinion.\Thank you, sir!\I will fight with all of my might,\so that Izuru doesn't have to enter the frontlines.\I will protect him!\Izuru is my friend... as well as my little brother! response:	Uh, I'm still the only one who knows about our DNA donors.
context: If they are out there fighting, then I want to fight, too!\I will grant you permission to board the Godinion.\Thank you, sir!\I will fight with all of my might,\so that Izuru doesn't have to enter the frontlines.\I will protect him!\Izuru is my friend... as well as my little brother!\Uh, I'm still the only one who knows about our DNA donors. response:	I see.
context: I will grant you permission to board the Godinion.\Thank you, sir!\I will fight with all of my might,\so that Izuru doesn't have to enter the frontlines.\I will protect him!\Izuru is my friend... as well as my little brother!\Uh, I'm still the only one who knows about our DNA donors.\I see. response:	COMPOSURE
context: Thank you, sir!\I will fight with all of my might,\so that Izuru doesn't have to enter the frontlines.\I will protect him!\Izuru is my friend... as well as my little brother!\Uh, I'm still the only one who knows about our DNA donors.\I see.\COMPOSURE response:	Everything okay?
context: I will fight with all of my might,\so that Izuru doesn't have to enter the frontlines.\I will protect him!\Izuru is my friend... as well as my little brother!\Uh, I'm still the only one who knows about our DNA donors.\I see.\COMPOSURE\Everything okay? response:	Yeah.
context: so that Izuru doesn't have to enter the frontlines.\I will protect him!\Izuru is my friend... as well as my little brother!\Uh, I'm still the only one who knows about our DNA donors.\I see.\COMPOSURE\Everything okay?\Yeah. response:	What about Izuru?
context: I will protect him!\Izuru is my friend... as well as my little brother!\Uh, I'm still the only one who knows about our DNA donors.\I see.\COMPOSURE\Everything okay?\Yeah.\What about Izuru? response:	He'll be able to board the Godinion.
context: Izuru is my friend... as well as my little brother!\Uh, I'm still the only one who knows about our DNA donors.\I see.\COMPOSURE\Everything okay?\Yeah.\What about Izuru?\He'll be able to board the Godinion. response:	Is he all right?
context: Uh, I'm still the only one who knows about our DNA donors.\I see.\COMPOSURE\Everything okay?\Yeah.\What about Izuru?\He'll be able to board the Godinion.\Is he all right? response:	Ange, have you finished your medical exams?
context: I see.\COMPOSURE\Everything okay?\Yeah.\What about Izuru?\He'll be able to board the Godinion.\Is he all right?\Ange, have you finished your medical exams? response:	They said I should be able to fight.
context: COMPOSURE\Everything okay?\Yeah.\What about Izuru?\He'll be able to board the Godinion.\Is he all right?\Ange, have you finished your medical exams?\They said I should be able to fight. response:	I see.
context: Everything okay?\Yeah.\What about Izuru?\He'll be able to board the Godinion.\Is he all right?\Ange, have you finished your medical exams?\They said I should be able to fight.\I see. response:	But how about Izuru...?
context: Yeah.\What about Izuru?\He'll be able to board the Godinion.\Is he all right?\Ange, have you finished your medical exams?\They said I should be able to fight.\I see.\But how about Izuru...? response:	Let's do our best to make sure he doesn't
context: What about Izuru?\He'll be able to board the Godinion.\Is he all right?\Ange, have you finished your medical exams?\They said I should be able to fight.\I see.\But how about Izuru...?\Let's do our best to make sure he doesn't response:	have to enter the fray!
context: He'll be able to board the Godinion.\Is he all right?\Ange, have you finished your medical exams?\They said I should be able to fight.\I see.\But how about Izuru...?\Let's do our best to make sure he doesn't\have to enter the fray! response:	Yeah!
context: Is he all right?\Ange, have you finished your medical exams?\They said I should be able to fight.\I see.\But how about Izuru...?\Let's do our best to make sure he doesn't\have to enter the fray!\Yeah! response:	I'll do my very bestest!
context: Ange, have you finished your medical exams?\They said I should be able to fight.\I see.\But how about Izuru...?\Let's do our best to make sure he doesn't\have to enter the fray!\Yeah!\I'll do my very bestest! response:	Right!
context: They said I should be able to fight.\I see.\But how about Izuru...?\Let's do our best to make sure he doesn't\have to enter the fray!\Yeah!\I'll do my very bestest!\Right! response:	I feel as though they have
context: I see.\But how about Izuru...?\Let's do our best to make sure he doesn't\have to enter the fray!\Yeah!\I'll do my very bestest!\Right!\I feel as though they have response:	taught me that new lives grow and develop on their own.
context: But how about Izuru...?\Let's do our best to make sure he doesn't\have to enter the fray!\Yeah!\I'll do my very bestest!\Right!\I feel as though they have\taught me that new lives grow and develop on their own. response:	In that case, it is our job to do all we can to protect those lives.
context: Let's do our best to make sure he doesn't\have to enter the fray!\Yeah!\I'll do my very bestest!\Right!\I feel as though they have\taught me that new lives grow and develop on their own.\In that case, it is our job to do all we can to protect those lives. response:	I will personally participate in this operation.
context: have to enter the fray!\Yeah!\I'll do my very bestest!\Right!\I feel as though they have\taught me that new lives grow and develop on their own.\In that case, it is our job to do all we can to protect those lives.\I will personally participate in this operation. response:	But-
context: Yeah!\I'll do my very bestest!\Right!\I feel as though they have\taught me that new lives grow and develop on their own.\In that case, it is our job to do all we can to protect those lives.\I will personally participate in this operation.\But- response:	I have made my mind.
context: I'll do my very bestest!\Right!\I feel as though they have\taught me that new lives grow and develop on their own.\In that case, it is our job to do all we can to protect those lives.\I will personally participate in this operation.\But-\I have made my mind. response:	We won't be using Red 5.
context: Right!\I feel as though they have\taught me that new lives grow and develop on their own.\In that case, it is our job to do all we can to protect those lives.\I will personally participate in this operation.\But-\I have made my mind.\We won't be using Red 5. response:	What?!
context: I feel as though they have\taught me that new lives grow and develop on their own.\In that case, it is our job to do all we can to protect those lives.\I will personally participate in this operation.\But-\I have made my mind.\We won't be using Red 5.\What?! response:	We can't reliably count on him in battle.
context: taught me that new lives grow and develop on their own.\In that case, it is our job to do all we can to protect those lives.\I will personally participate in this operation.\But-\I have made my mind.\We won't be using Red 5.\What?!\We can't reliably count on him in battle. response:	So please devise a plan that doesn't require him.
context: In that case, it is our job to do all we can to protect those lives.\I will personally participate in this operation.\But-\I have made my mind.\We won't be using Red 5.\What?!\We can't reliably count on him in battle.\So please devise a plan that doesn't require him. response:	Very well.
context: I will personally participate in this operation.\But-\I have made my mind.\We won't be using Red 5.\What?!\We can't reliably count on him in battle.\So please devise a plan that doesn't require him.\Very well. response:	Losing Red 5 hurts, but I'll come up with something.
context: But-\I have made my mind.\We won't be using Red 5.\What?!\We can't reliably count on him in battle.\So please devise a plan that doesn't require him.\Very well.\Losing Red 5 hurts, but I'll come up with something. response:	In exchange, Imperial Princess Teoria will be accompanying us.
context: I have made my mind.\We won't be using Red 5.\What?!\We can't reliably count on him in battle.\So please devise a plan that doesn't require him.\Very well.\Losing Red 5 hurts, but I'll come up with something.\In exchange, Imperial Princess Teoria will be accompanying us. response:	Have you reached a decision?
context: We won't be using Red 5.\What?!\We can't reliably count on him in battle.\So please devise a plan that doesn't require him.\Very well.\Losing Red 5 hurts, but I'll come up with something.\In exchange, Imperial Princess Teoria will be accompanying us.\Have you reached a decision? response:	I have.
