context: I made another mistake... response:	Geez, you must be such a handful for Alicia.
context: Such big strawberries!\Yeah! They're also very sweet. Such big strawberries!\Yeah! They're also very sweet.\Sir, I'd like these, please.\Here's your change.\Thank you.\Athena, you forgot to take what you bought!\Akari! Your change, your change! response:	Ah, my mistake!
context: Yeah! They're also very sweet. Such big strawberries!\Yeah! They're also very sweet.\Sir, I'd like these, please.\Here's your change.\Thank you.\Athena, you forgot to take what you bought!\Akari! Your change, your change!\Ah, my mistake! response:	Geez, what are you doing?!
context: Yeah! They're also very sweet.\Sir, I'd like these, please.\Here's your change.\Thank you.\Athena, you forgot to take what you bought!\Akari! Your change, your change!\Ah, my mistake!\Geez, what are you doing?! response:	Sorry, Aika.
context: Sir, I'd like these, please.\Here's your change.\Thank you.\Athena, you forgot to take what you bought!\Akari! Your change, your change!\Ah, my mistake!\Geez, what are you doing?!\Sorry, Aika. response:	Why are you always like this, Athena?
context: Here's your change.\Thank you.\Athena, you forgot to take what you bought!\Akari! Your change, your change!\Ah, my mistake!\Geez, what are you doing?!\Sorry, Aika.\Why are you always like this, Athena? response:	It's you...
context: Thank you.\Athena, you forgot to take what you bought!\Akari! Your change, your change!\Ah, my mistake!\Geez, what are you doing?!\Sorry, Aika.\Why are you always like this, Athena?\It's you... response:	Hello!
context: Athena, you forgot to take what you bought!\Akari! Your change, your change!\Ah, my mistake!\Geez, what are you doing?!\Sorry, Aika.\Why are you always like this, Athena?\It's you...\Hello! response:	Hello Alice, Athena.
context: Akari! Your change, your change!\Ah, my mistake!\Geez, what are you doing?!\Sorry, Aika.\Why are you always like this, Athena?\It's you...\Hello!\Hello Alice, Athena. response:	Hello.
context: Ah, my mistake!\Geez, what are you doing?!\Sorry, Aika.\Why are you always like this, Athena?\It's you...\Hello!\Hello Alice, Athena.\Hello. response:	Akari, I got scolded by my mother again.
context: Geez, what are you doing?!\Sorry, Aika.\Why are you always like this, Athena?\It's you...\Hello!\Hello Alice, Athena.\Hello.\Akari, I got scolded by my mother again. response:	Ai, I get scolded by Aika a lot, too.
context: Sorry, Aika.\Why are you always like this, Athena?\It's you...\Hello!\Hello Alice, Athena.\Hello.\Akari, I got scolded by my mother again.\Ai, I get scolded by Aika a lot, too. response:	I know she scolds me because she cares about me, but...
context: Why are you always like this, Athena?\It's you...\Hello!\Hello Alice, Athena.\Hello.\Akari, I got scolded by my mother again.\Ai, I get scolded by Aika a lot, too.\I know she scolds me because she cares about me, but... response:	I wish I didn't have to get scolded at all! ...I wish I didn't have to get scolded at all!
context: It's you...\Hello!\Hello Alice, Athena.\Hello.\Akari, I got scolded by my mother again.\Ai, I get scolded by Aika a lot, too.\I know she scolds me because she cares about me, but...\I wish I didn't have to get scolded at all! ...I wish I didn't have to get scolded at all! response:	Do you remember that day Oboeteimasuka ano hi o
context: Hello!\Hello Alice, Athena.\Hello.\Akari, I got scolded by my mother again.\Ai, I get scolded by Aika a lot, too.\I know she scolds me because she cares about me, but...\I wish I didn't have to get scolded at all! ...I wish I didn't have to get scolded at all!\Do you remember that day Oboeteimasuka ano hi o response:	When your heart suddenly began to race Futo kanjita tokimeki o
context: Hello Alice, Athena.\Hello.\Akari, I got scolded by my mother again.\Ai, I get scolded by Aika a lot, too.\I know she scolds me because she cares about me, but...\I wish I didn't have to get scolded at all! ...I wish I didn't have to get scolded at all!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o response:	The rays from the blue sky were pouring over you... Aoi hizashi abite
context: Hello.\Akari, I got scolded by my mother again.\Ai, I get scolded by Aika a lot, too.\I know she scolds me because she cares about me, but...\I wish I didn't have to get scolded at all! ...I wish I didn't have to get scolded at all!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite response:	I couldn't look away, and when our eyes met Mitoreru to me ga atte
context: Akari, I got scolded by my mother again.\Ai, I get scolded by Aika a lot, too.\I know she scolds me because she cares about me, but...\I wish I didn't have to get scolded at all! ...I wish I didn't have to get scolded at all!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte response:	I couldn't help but smile Egao koboreta
context: Ai, I get scolded by Aika a lot, too.\I know she scolds me because she cares about me, but...\I wish I didn't have to get scolded at all! ...I wish I didn't have to get scolded at all!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta response:	It's just like a spiral Marude supiraare
context: I know she scolds me because she cares about me, but...\I wish I didn't have to get scolded at all! ...I wish I didn't have to get scolded at all!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare response:	I want to spend my days waving to you Itsumademo te o furitai hibi
context: I wish I didn't have to get scolded at all! ...I wish I didn't have to get scolded at all!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi response:	This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi
context: Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi response:	An eternal spiral Zutto supiraare
context: When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare response:	There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru
context: The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru response:	When you climb the next hill, Tsugi no saka o nobottara
context: I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara response:	Let's meet again Mata aimashou
context: I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou response:	That Wonderful Extracurricular Lesson...
context: It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\That Wonderful Extracurricular Lesson... response:	Huh?!
context: I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\That Wonderful Extracurricular Lesson...\Huh?! response:	A-Are you helping me practice, President Aria?
context: This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\That Wonderful Extracurricular Lesson...\Huh?!\A-Are you helping me practice, President Aria? response:	He's... helping?
context: An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\That Wonderful Extracurricular Lesson...\Huh?!\A-Are you helping me practice, President Aria?\He's... helping? response:	So heavy!
context: There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\That Wonderful Extracurricular Lesson...\Huh?!\A-Are you helping me practice, President Aria?\He's... helping?\So heavy! response:	I see, President Aria! This is strength training, isn't it?
context: When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\That Wonderful Extracurricular Lesson...\Huh?!\A-Are you helping me practice, President Aria?\He's... helping?\So heavy!\I see, President Aria! This is strength training, isn't it? response:	This is visual acuity training, isn't it?
context: Let's meet again Mata aimashou\That Wonderful Extracurricular Lesson...\Huh?!\A-Are you helping me practice, President Aria?\He's... helping?\So heavy!\I see, President Aria! This is strength training, isn't it?\This is visual acuity training, isn't it? response:	Visual acuity?
context: That Wonderful Extracurricular Lesson...\Huh?!\A-Are you helping me practice, President Aria?\He's... helping?\So heavy!\I see, President Aria! This is strength training, isn't it?\This is visual acuity training, isn't it?\Visual acuity? response:	President Aria fell asleep already...
context: Huh?!\A-Are you helping me practice, President Aria?\He's... helping?\So heavy!\I see, President Aria! This is strength training, isn't it?\This is visual acuity training, isn't it?\Visual acuity?\President Aria fell asleep already... response:	This is balance training, isn't it?
context: A-Are you helping me practice, President Aria?\He's... helping?\So heavy!\I see, President Aria! This is strength training, isn't it?\This is visual acuity training, isn't it?\Visual acuity?\President Aria fell asleep already...\This is balance training, isn't it? response:	Hey, Akari! No playing around allowed!
context: He's... helping?\So heavy!\I see, President Aria! This is strength training, isn't it?\This is visual acuity training, isn't it?\Visual acuity?\President Aria fell asleep already...\This is balance training, isn't it?\Hey, Akari! No playing around allowed! response:	Yes!
context: So heavy!\I see, President Aria! This is strength training, isn't it?\This is visual acuity training, isn't it?\Visual acuity?\President Aria fell asleep already...\This is balance training, isn't it?\Hey, Akari! No playing around allowed!\Yes! response:	You...
context: I see, President Aria! This is strength training, isn't it?\This is visual acuity training, isn't it?\Visual acuity?\President Aria fell asleep already...\This is balance training, isn't it?\Hey, Akari! No playing around allowed!\Yes!\You... response:	You're going to get scolded by Alicia if you keep this up, you know.
context: This is visual acuity training, isn't it?\Visual acuity?\President Aria fell asleep already...\This is balance training, isn't it?\Hey, Akari! No playing around allowed!\Yes!\You...\You're going to get scolded by Alicia if you keep this up, you know. response:	Right, Junior?
context: Visual acuity?\President Aria fell asleep already...\This is balance training, isn't it?\Hey, Akari! No playing around allowed!\Yes!\You...\You're going to get scolded by Alicia if you keep this up, you know.\Right, Junior? response:	Th-that's right...
context: President Aria fell asleep already...\This is balance training, isn't it?\Hey, Akari! No playing around allowed!\Yes!\You...\You're going to get scolded by Alicia if you keep this up, you know.\Right, Junior?\Th-that's right... response:	Sorry...
context: This is balance training, isn't it?\Hey, Akari! No playing around allowed!\Yes!\You...\You're going to get scolded by Alicia if you keep this up, you know.\Right, Junior?\Th-that's right...\Sorry... response:	Scolded...
context: Hey, Akari! No playing around allowed!\Yes!\You...\You're going to get scolded by Alicia if you keep this up, you know.\Right, Junior?\Th-that's right...\Sorry...\Scolded... response:	Reflect! Reflect on your actions!
context: Yes!\You...\You're going to get scolded by Alicia if you keep this up, you know.\Right, Junior?\Th-that's right...\Sorry...\Scolded...\Reflect! Reflect on your actions! response:	Um, Akari, how does Alicia scold you?
context: You...\You're going to get scolded by Alicia if you keep this up, you know.\Right, Junior?\Th-that's right...\Sorry...\Scolded...\Reflect! Reflect on your actions!\Um, Akari, how does Alicia scold you? response:	Huh?
context: You're going to get scolded by Alicia if you keep this up, you know.\Right, Junior?\Th-that's right...\Sorry...\Scolded...\Reflect! Reflect on your actions!\Um, Akari, how does Alicia scold you?\Huh? response:	I don't think... Alicia... has ever... scolded me...
context: Right, Junior?\Th-that's right...\Sorry...\Scolded...\Reflect! Reflect on your actions!\Um, Akari, how does Alicia scold you?\Huh?\I don't think... Alicia... has ever... scolded me... response:	Say what?!
context: Th-that's right...\Sorry...\Scolded...\Reflect! Reflect on your actions!\Um, Akari, how does Alicia scold you?\Huh?\I don't think... Alicia... has ever... scolded me...\Say what?! response:	Not even once?!
context: Sorry...\Scolded...\Reflect! Reflect on your actions!\Um, Akari, how does Alicia scold you?\Huh?\I don't think... Alicia... has ever... scolded me...\Say what?!\Not even once?! response:	Nope.
context: Scolded...\Reflect! Reflect on your actions!\Um, Akari, how does Alicia scold you?\Huh?\I don't think... Alicia... has ever... scolded me...\Say what?!\Not even once?!\Nope. response:	Now that you mention it, I don't think I've ever seen her get angry, either.
context: Reflect! Reflect on your actions!\Um, Akari, how does Alicia scold you?\Huh?\I don't think... Alicia... has ever... scolded me...\Say what?!\Not even once?!\Nope.\Now that you mention it, I don't think I've ever seen her get angry, either. response:	I see... I guess that makes sense...
context: Um, Akari, how does Alicia scold you?\Huh?\I don't think... Alicia... has ever... scolded me...\Say what?!\Not even once?!\Nope.\Now that you mention it, I don't think I've ever seen her get angry, either.\I see... I guess that makes sense... response:	Knowing Alicia, there's no way she'd scold someone...
context: Huh?\I don't think... Alicia... has ever... scolded me...\Say what?!\Not even once?!\Nope.\Now that you mention it, I don't think I've ever seen her get angry, either.\I see... I guess that makes sense...\Knowing Alicia, there's no way she'd scold someone... response:	Let alone get mad...
context: I don't think... Alicia... has ever... scolded me...\Say what?!\Not even once?!\Nope.\Now that you mention it, I don't think I've ever seen her get angry, either.\I see... I guess that makes sense...\Knowing Alicia, there's no way she'd scold someone...\Let alone get mad... response:	After all, this is Alicia we're talking about! Impressive, as expected of Alicia!
context: Say what?!\Not even once?!\Nope.\Now that you mention it, I don't think I've ever seen her get angry, either.\I see... I guess that makes sense...\Knowing Alicia, there's no way she'd scold someone...\Let alone get mad...\After all, this is Alicia we're talking about! Impressive, as expected of Alicia! response:	She truly is a water fairy descended from the heavens! Miss Perfect!
context: Not even once?!\Nope.\Now that you mention it, I don't think I've ever seen her get angry, either.\I see... I guess that makes sense...\Knowing Alicia, there's no way she'd scold someone...\Let alone get mad...\After all, this is Alicia we're talking about! Impressive, as expected of Alicia!\She truly is a water fairy descended from the heavens! Miss Perfect! response:	But, come to think of it, I've never seen Athena scold you either, Alice.
context: Nope.\Now that you mention it, I don't think I've ever seen her get angry, either.\I see... I guess that makes sense...\Knowing Alicia, there's no way she'd scold someone...\Let alone get mad...\After all, this is Alicia we're talking about! Impressive, as expected of Alicia!\She truly is a water fairy descended from the heavens! Miss Perfect!\But, come to think of it, I've never seen Athena scold you either, Alice. response:	That's really obvious.
context: Now that you mention it, I don't think I've ever seen her get angry, either.\I see... I guess that makes sense...\Knowing Alicia, there's no way she'd scold someone...\Let alone get mad...\After all, this is Alicia we're talking about! Impressive, as expected of Alicia!\She truly is a water fairy descended from the heavens! Miss Perfect!\But, come to think of it, I've never seen Athena scold you either, Alice.\That's really obvious. response:	I may scold clumsy Athena at times, but I never get scolded myself.
context: I see... I guess that makes sense...\Knowing Alicia, there's no way she'd scold someone...\Let alone get mad...\After all, this is Alicia we're talking about! Impressive, as expected of Alicia!\She truly is a water fairy descended from the heavens! Miss Perfect!\But, come to think of it, I've never seen Athena scold you either, Alice.\That's really obvious.\I may scold clumsy Athena at times, but I never get scolded myself. response:	Oh?
context: Knowing Alicia, there's no way she'd scold someone...\Let alone get mad...\After all, this is Alicia we're talking about! Impressive, as expected of Alicia!\She truly is a water fairy descended from the heavens! Miss Perfect!\But, come to think of it, I've never seen Athena scold you either, Alice.\That's really obvious.\I may scold clumsy Athena at times, but I never get scolded myself.\Oh? response:	Well, I guess that makes sense.
context: Let alone get mad...\After all, this is Alicia we're talking about! Impressive, as expected of Alicia!\She truly is a water fairy descended from the heavens! Miss Perfect!\But, come to think of it, I've never seen Athena scold you either, Alice.\That's really obvious.\I may scold clumsy Athena at times, but I never get scolded myself.\Oh?\Well, I guess that makes sense. response:	Even I'm forced to scold Athena sometimes,
context: After all, this is Alicia we're talking about! Impressive, as expected of Alicia!\She truly is a water fairy descended from the heavens! Miss Perfect!\But, come to think of it, I've never seen Athena scold you either, Alice.\That's really obvious.\I may scold clumsy Athena at times, but I never get scolded myself.\Oh?\Well, I guess that makes sense.\Even I'm forced to scold Athena sometimes, response:	so it's really a mystery why Alicia doesn't scold Akari.
context: She truly is a water fairy descended from the heavens! Miss Perfect!\But, come to think of it, I've never seen Athena scold you either, Alice.\That's really obvious.\I may scold clumsy Athena at times, but I never get scolded myself.\Oh?\Well, I guess that makes sense.\Even I'm forced to scold Athena sometimes,\so it's really a mystery why Alicia doesn't scold Akari. response:	P-President Aria!
context: But, come to think of it, I've never seen Athena scold you either, Alice.\That's really obvious.\I may scold clumsy Athena at times, but I never get scolded myself.\Oh?\Well, I guess that makes sense.\Even I'm forced to scold Athena sometimes,\so it's really a mystery why Alicia doesn't scold Akari.\P-President Aria! response:	I was about to really make a loud noise there.
context: That's really obvious.\I may scold clumsy Athena at times, but I never get scolded myself.\Oh?\Well, I guess that makes sense.\Even I'm forced to scold Athena sometimes,\so it's really a mystery why Alicia doesn't scold Akari.\P-President Aria!\I was about to really make a loud noise there. response:	My, my.
context: I may scold clumsy Athena at times, but I never get scolded myself.\Oh?\Well, I guess that makes sense.\Even I'm forced to scold Athena sometimes,\so it's really a mystery why Alicia doesn't scold Akari.\P-President Aria!\I was about to really make a loud noise there.\My, my. response:	Are you all right?
context: Oh?\Well, I guess that makes sense.\Even I'm forced to scold Athena sometimes,\so it's really a mystery why Alicia doesn't scold Akari.\P-President Aria!\I was about to really make a loud noise there.\My, my.\Are you all right? response:	Yes...
context: Well, I guess that makes sense.\Even I'm forced to scold Athena sometimes,\so it's really a mystery why Alicia doesn't scold Akari.\P-President Aria!\I was about to really make a loud noise there.\My, my.\Are you all right?\Yes... response:	Even Alicia is human.
context: Even I'm forced to scold Athena sometimes,\so it's really a mystery why Alicia doesn't scold Akari.\P-President Aria!\I was about to really make a loud noise there.\My, my.\Are you all right?\Yes...\Even Alicia is human. response:	There must be times when she's irritated or angry, when no one's around.
context: so it's really a mystery why Alicia doesn't scold Akari.\P-President Aria!\I was about to really make a loud noise there.\My, my.\Are you all right?\Yes...\Even Alicia is human.\There must be times when she's irritated or angry, when no one's around. response:	Besides, if she truly cares about Akari, she should scold her properly.
context: P-President Aria!\I was about to really make a loud noise there.\My, my.\Are you all right?\Yes...\Even Alicia is human.\There must be times when she's irritated or angry, when no one's around.\Besides, if she truly cares about Akari, she should scold her properly. response:	I'm really sorry! Besides, if she truly cares about Akari, she should scold her properly.
context: I was about to really make a loud noise there.\My, my.\Are you all right?\Yes...\Even Alicia is human.\There must be times when she's irritated or angry, when no one's around.\Besides, if she truly cares about Akari, she should scold her properly.\I'm really sorry! Besides, if she truly cares about Akari, she should scold her properly. response:	It's all right. Besides, if she truly cares about Akari, she should scold her properly.
context: My, my.\Are you all right?\Yes...\Even Alicia is human.\There must be times when she's irritated or angry, when no one's around.\Besides, if she truly cares about Akari, she should scold her properly.\I'm really sorry! Besides, if she truly cares about Akari, she should scold her properly.\It's all right. Besides, if she truly cares about Akari, she should scold her properly. response:	It's all right.
context: Are you all right?\Yes...\Even Alicia is human.\There must be times when she's irritated or angry, when no one's around.\Besides, if she truly cares about Akari, she should scold her properly.\I'm really sorry! Besides, if she truly cares about Akari, she should scold her properly.\It's all right. Besides, if she truly cares about Akari, she should scold her properly.\It's all right. response:	Alice?
context: Yes...\Even Alicia is human.\There must be times when she's irritated or angry, when no one's around.\Besides, if she truly cares about Akari, she should scold her properly.\I'm really sorry! Besides, if she truly cares about Akari, she should scold her properly.\It's all right. Besides, if she truly cares about Akari, she should scold her properly.\It's all right.\Alice? response:	W-What are you doing, Alice?
context: Even Alicia is human.\There must be times when she's irritated or angry, when no one's around.\Besides, if she truly cares about Akari, she should scold her properly.\I'm really sorry! Besides, if she truly cares about Akari, she should scold her properly.\It's all right. Besides, if she truly cares about Akari, she should scold her properly.\It's all right.\Alice?\W-What are you doing, Alice? response:	A-Ah, yes...
context: There must be times when she's irritated or angry, when no one's around.\Besides, if she truly cares about Akari, she should scold her properly.\I'm really sorry! Besides, if she truly cares about Akari, she should scold her properly.\It's all right. Besides, if she truly cares about Akari, she should scold her properly.\It's all right.\Alice?\W-What are you doing, Alice?\A-Ah, yes... response:	Since the members of the Aria Company always treat me so well,
context: Besides, if she truly cares about Akari, she should scold her properly.\I'm really sorry! Besides, if she truly cares about Akari, she should scold her properly.\It's all right. Besides, if she truly cares about Akari, she should scold her properly.\It's all right.\Alice?\W-What are you doing, Alice?\A-Ah, yes...\Since the members of the Aria Company always treat me so well, response:	I thought I'd secretly return the favor by helping out with the cleaning.
context: I'm really sorry! Besides, if she truly cares about Akari, she should scold her properly.\It's all right. Besides, if she truly cares about Akari, she should scold her properly.\It's all right.\Alice?\W-What are you doing, Alice?\A-Ah, yes...\Since the members of the Aria Company always treat me so well,\I thought I'd secretly return the favor by helping out with the cleaning. response:	Oh, no!
context: It's all right. Besides, if she truly cares about Akari, she should scold her properly.\It's all right.\Alice?\W-What are you doing, Alice?\A-Ah, yes...\Since the members of the Aria Company always treat me so well,\I thought I'd secretly return the favor by helping out with the cleaning.\Oh, no! response:	What are you doing up there?
context: It's all right.\Alice?\W-What are you doing, Alice?\A-Ah, yes...\Since the members of the Aria Company always treat me so well,\I thought I'd secretly return the favor by helping out with the cleaning.\Oh, no!\What are you doing up there? response:	N-Nothing...
context: Alice?\W-What are you doing, Alice?\A-Ah, yes...\Since the members of the Aria Company always treat me so well,\I thought I'd secretly return the favor by helping out with the cleaning.\Oh, no!\What are you doing up there?\N-Nothing... response:	U-Um...
context: W-What are you doing, Alice?\A-Ah, yes...\Since the members of the Aria Company always treat me so well,\I thought I'd secretly return the favor by helping out with the cleaning.\Oh, no!\What are you doing up there?\N-Nothing...\U-Um... response:	I woke up early, so I thought I'd come by and say hello before going to school.
context: A-Ah, yes...\Since the members of the Aria Company always treat me so well,\I thought I'd secretly return the favor by helping out with the cleaning.\Oh, no!\What are you doing up there?\N-Nothing...\U-Um...\I woke up early, so I thought I'd come by and say hello before going to school. response:	Eh?
context: Since the members of the Aria Company always treat me so well,\I thought I'd secretly return the favor by helping out with the cleaning.\Oh, no!\What are you doing up there?\N-Nothing...\U-Um...\I woke up early, so I thought I'd come by and say hello before going to school.\Eh? response:	Huh? Alicia, what happened?
context: I thought I'd secretly return the favor by helping out with the cleaning.\Oh, no!\What are you doing up there?\N-Nothing...\U-Um...\I woke up early, so I thought I'd come by and say hello before going to school.\Eh?\Huh? Alicia, what happened? response:	My customer had another commitment, so I finished early today.
context: Oh, no!\What are you doing up there?\N-Nothing...\U-Um...\I woke up early, so I thought I'd come by and say hello before going to school.\Eh?\Huh? Alicia, what happened?\My customer had another commitment, so I finished early today. response:	Why don't we all have some tea together?
