context: It wasn't supposed to be like this, head in my hands response:	Struggling to escape from this saturated world
context: Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness response:	Can't see anything, don't know anything, but I'll still go
context: I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go response:	To the place of shining light in which you wait
context: We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait response:	Episode Seven
context: Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode Seven response:	Daydream
context: to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode Seven\Daydream response:	Inspired by Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) Foolish Apparition and The Retard
context: Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode Seven\Daydream\Inspired by Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) Foolish Apparition and The Retard response:	There's no fooling the Defeated Detective...
context: Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode Seven\Daydream\Inspired by Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) Foolish Apparition and The Retard\There's no fooling the Defeated Detective... response:	Or maybe I'd better call you the Great Detective.
context: Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode Seven\Daydream\Inspired by Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) Foolish Apparition and The Retard\There's no fooling the Defeated Detective...\Or maybe I'd better call you the Great Detective. response:	Calls Himself a Novelist
context: Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode Seven\Daydream\Inspired by Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) Foolish Apparition and The Retard\There's no fooling the Defeated Detective...\Or maybe I'd better call you the Great Detective.\Calls Himself a Novelist response:	Prisoner
context: To the place of shining light in which you wait\Episode Seven\Daydream\Inspired by Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) Foolish Apparition and The Retard\There's no fooling the Defeated Detective...\Or maybe I'd better call you the Great Detective.\Calls Himself a Novelist\Prisoner response:	Why did you do this?
context: Episode Seven\Daydream\Inspired by Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) Foolish Apparition and The Retard\There's no fooling the Defeated Detective...\Or maybe I'd better call you the Great Detective.\Calls Himself a Novelist\Prisoner\Why did you do this? response:	I'm a novelist.
context: Daydream\Inspired by Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) Foolish Apparition and The Retard\There's no fooling the Defeated Detective...\Or maybe I'd better call you the Great Detective.\Calls Himself a Novelist\Prisoner\Why did you do this?\I'm a novelist. response:	A novelist?
context: Inspired by Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) Foolish Apparition and The Retard\There's no fooling the Defeated Detective...\Or maybe I'd better call you the Great Detective.\Calls Himself a Novelist\Prisoner\Why did you do this?\I'm a novelist.\A novelist? response:	Yuuki Shinjurou
context: There's no fooling the Defeated Detective...\Or maybe I'd better call you the Great Detective.\Calls Himself a Novelist\Prisoner\Why did you do this?\I'm a novelist.\A novelist?\Yuuki Shinjurou response:	Detective
context: Or maybe I'd better call you the Great Detective.\Calls Himself a Novelist\Prisoner\Why did you do this?\I'm a novelist.\A novelist?\Yuuki Shinjurou\Detective response:	I write novels.
context: Calls Himself a Novelist\Prisoner\Why did you do this?\I'm a novelist.\A novelist?\Yuuki Shinjurou\Detective\I write novels. response:	Not with a pen, but in reality...
context: Prisoner\Why did you do this?\I'm a novelist.\A novelist?\Yuuki Shinjurou\Detective\I write novels.\Not with a pen, but in reality... response:	Due to the Great Detective's deductions,
context: Why did you do this?\I'm a novelist.\A novelist?\Yuuki Shinjurou\Detective\I write novels.\Not with a pen, but in reality...\Due to the Great Detective's deductions, response:	all of the mysteries were to be revealed
context: I'm a novelist.\A novelist?\Yuuki Shinjurou\Detective\I write novels.\Not with a pen, but in reality...\Due to the Great Detective's deductions,\all of the mysteries were to be revealed response:	and Yajima was supposed to kill his own wife.
context: A novelist?\Yuuki Shinjurou\Detective\I write novels.\Not with a pen, but in reality...\Due to the Great Detective's deductions,\all of the mysteries were to be revealed\and Yajima was supposed to kill his own wife. response:	And what did you try to set that up for?
context: Yuuki Shinjurou\Detective\I write novels.\Not with a pen, but in reality...\Due to the Great Detective's deductions,\all of the mysteries were to be revealed\and Yajima was supposed to kill his own wife.\And what did you try to set that up for? response:	Because that's the role of the Great Detective.
context: Detective\I write novels.\Not with a pen, but in reality...\Due to the Great Detective's deductions,\all of the mysteries were to be revealed\and Yajima was supposed to kill his own wife.\And what did you try to set that up for?\Because that's the role of the Great Detective. response:	No matter how cruel the end result will be,
context: I write novels.\Not with a pen, but in reality...\Due to the Great Detective's deductions,\all of the mysteries were to be revealed\and Yajima was supposed to kill his own wife.\And what did you try to set that up for?\Because that's the role of the Great Detective.\No matter how cruel the end result will be, response:	after all of the victims have been murdered,
context: Not with a pen, but in reality...\Due to the Great Detective's deductions,\all of the mysteries were to be revealed\and Yajima was supposed to kill his own wife.\And what did you try to set that up for?\Because that's the role of the Great Detective.\No matter how cruel the end result will be,\after all of the victims have been murdered, response:	the Great Detective wraps everything up with his brilliant deduction.
context: Due to the Great Detective's deductions,\all of the mysteries were to be revealed\and Yajima was supposed to kill his own wife.\And what did you try to set that up for?\Because that's the role of the Great Detective.\No matter how cruel the end result will be,\after all of the victims have been murdered,\the Great Detective wraps everything up with his brilliant deduction. response:	No matter how tragic the reason,
context: all of the mysteries were to be revealed\and Yajima was supposed to kill his own wife.\And what did you try to set that up for?\Because that's the role of the Great Detective.\No matter how cruel the end result will be,\after all of the victims have been murdered,\the Great Detective wraps everything up with his brilliant deduction.\No matter how tragic the reason, response:	the Great Detective exposes it all to the light of day.
context: and Yajima was supposed to kill his own wife.\And what did you try to set that up for?\Because that's the role of the Great Detective.\No matter how cruel the end result will be,\after all of the victims have been murdered,\the Great Detective wraps everything up with his brilliant deduction.\No matter how tragic the reason,\the Great Detective exposes it all to the light of day. response:	You were chosen by me...
context: And what did you try to set that up for?\Because that's the role of the Great Detective.\No matter how cruel the end result will be,\after all of the victims have been murdered,\the Great Detective wraps everything up with his brilliant deduction.\No matter how tragic the reason,\the Great Detective exposes it all to the light of day.\You were chosen by me... response:	You chose me?
context: Because that's the role of the Great Detective.\No matter how cruel the end result will be,\after all of the victims have been murdered,\the Great Detective wraps everything up with his brilliant deduction.\No matter how tragic the reason,\the Great Detective exposes it all to the light of day.\You were chosen by me...\You chose me? response:	Yes. You're my own personal great detective.
context: No matter how cruel the end result will be,\after all of the victims have been murdered,\the Great Detective wraps everything up with his brilliant deduction.\No matter how tragic the reason,\the Great Detective exposes it all to the light of day.\You were chosen by me...\You chose me?\Yes. You're my own personal great detective. response:	What do you want?!
context: after all of the victims have been murdered,\the Great Detective wraps everything up with his brilliant deduction.\No matter how tragic the reason,\the Great Detective exposes it all to the light of day.\You were chosen by me...\You chose me?\Yes. You're my own personal great detective.\What do you want?! response:	You don't need to worry. I'm a novelist.
context: the Great Detective wraps everything up with his brilliant deduction.\No matter how tragic the reason,\the Great Detective exposes it all to the light of day.\You were chosen by me...\You chose me?\Yes. You're my own personal great detective.\What do you want?!\You don't need to worry. I'm a novelist. response:	The only thing I know how to do is write stories.
context: No matter how tragic the reason,\the Great Detective exposes it all to the light of day.\You were chosen by me...\You chose me?\Yes. You're my own personal great detective.\What do you want?!\You don't need to worry. I'm a novelist.\The only thing I know how to do is write stories. response:	Except I don't write on manuscript paper...
context: the Great Detective exposes it all to the light of day.\You were chosen by me...\You chose me?\Yes. You're my own personal great detective.\What do you want?!\You don't need to worry. I'm a novelist.\The only thing I know how to do is write stories.\Except I don't write on manuscript paper... response:	If reality becomes a novel...
context: You were chosen by me...\You chose me?\Yes. You're my own personal great detective.\What do you want?!\You don't need to worry. I'm a novelist.\The only thing I know how to do is write stories.\Except I don't write on manuscript paper...\If reality becomes a novel... response:	Now go, Great Detective.
context: You chose me?\Yes. You're my own personal great detective.\What do you want?!\You don't need to worry. I'm a novelist.\The only thing I know how to do is write stories.\Except I don't write on manuscript paper...\If reality becomes a novel...\Now go, Great Detective. response:	Unravel the mystery...
context: Yes. You're my own personal great detective.\What do you want?!\You don't need to worry. I'm a novelist.\The only thing I know how to do is write stories.\Except I don't write on manuscript paper...\If reality becomes a novel...\Now go, Great Detective.\Unravel the mystery... response:	Somebody!
context: What do you want?!\You don't need to worry. I'm a novelist.\The only thing I know how to do is write stories.\Except I don't write on manuscript paper...\If reality becomes a novel...\Now go, Great Detective.\Unravel the mystery...\Somebody! response:	The war...?
context: You don't need to worry. I'm a novelist.\The only thing I know how to do is write stories.\Except I don't write on manuscript paper...\If reality becomes a novel...\Now go, Great Detective.\Unravel the mystery...\Somebody!\The war...? response:	Okay, we got it!
context: The only thing I know how to do is write stories.\Except I don't write on manuscript paper...\If reality becomes a novel...\Now go, Great Detective.\Unravel the mystery...\Somebody!\The war...?\Okay, we got it! response:	Yuuki-chan, what are you doing?
context: Except I don't write on manuscript paper...\If reality becomes a novel...\Now go, Great Detective.\Unravel the mystery...\Somebody!\The war...?\Okay, we got it!\Yuuki-chan, what are you doing? response:	Shouldn't you be over there?
context: If reality becomes a novel...\Now go, Great Detective.\Unravel the mystery...\Somebody!\The war...?\Okay, we got it!\Yuuki-chan, what are you doing?\Shouldn't you be over there? response:	Over there...?
context: Now go, Great Detective.\Unravel the mystery...\Somebody!\The war...?\Okay, we got it!\Yuuki-chan, what are you doing?\Shouldn't you be over there?\Over there...? response:	Yuuki-san, the director's calling for you.
context: Unravel the mystery...\Somebody!\The war...?\Okay, we got it!\Yuuki-chan, what are you doing?\Shouldn't you be over there?\Over there...?\Yuuki-san, the director's calling for you. response:	What, were you slacking off again?!
context: Somebody!\The war...?\Okay, we got it!\Yuuki-chan, what are you doing?\Shouldn't you be over there?\Over there...?\Yuuki-san, the director's calling for you.\What, were you slacking off again?! response:	Izawa Sayo
context: The war...?\Okay, we got it!\Yuuki-chan, what are you doing?\Shouldn't you be over there?\Over there...?\Yuuki-san, the director's calling for you.\What, were you slacking off again?!\Izawa Sayo response:	Actress?
context: Okay, we got it!\Yuuki-chan, what are you doing?\Shouldn't you be over there?\Over there...?\Yuuki-san, the director's calling for you.\What, were you slacking off again?!\Izawa Sayo\Actress? response:	When you have an actress come to fetch you, you must be a big shot!
context: Yuuki-chan, what are you doing?\Shouldn't you be over there?\Over there...?\Yuuki-san, the director's calling for you.\What, were you slacking off again?!\Izawa Sayo\Actress?\When you have an actress come to fetch you, you must be a big shot! response:	Sorry! I'll be right there!
context: Shouldn't you be over there?\Over there...?\Yuuki-san, the director's calling for you.\What, were you slacking off again?!\Izawa Sayo\Actress?\When you have an actress come to fetch you, you must be a big shot!\Sorry! I'll be right there! response:	Shinjurou-kun, we're waiting on you!
context: Over there...?\Yuuki-san, the director's calling for you.\What, were you slacking off again?!\Izawa Sayo\Actress?\When you have an actress come to fetch you, you must be a big shot!\Sorry! I'll be right there!\Shinjurou-kun, we're waiting on you! response:	This guy was by the planes...
context: Yuuki-san, the director's calling for you.\What, were you slacking off again?!\Izawa Sayo\Actress?\When you have an actress come to fetch you, you must be a big shot!\Sorry! I'll be right there!\Shinjurou-kun, we're waiting on you!\This guy was by the planes... response:	I called it!
context: What, were you slacking off again?!\Izawa Sayo\Actress?\When you have an actress come to fetch you, you must be a big shot!\Sorry! I'll be right there!\Shinjurou-kun, we're waiting on you!\This guy was by the planes...\I called it! response:	What do you mean, It figures, Motoko-chan?
context: Izawa Sayo\Actress?\When you have an actress come to fetch you, you must be a big shot!\Sorry! I'll be right there!\Shinjurou-kun, we're waiting on you!\This guy was by the planes...\I called it!\What do you mean, It figures, Motoko-chan? response:	All men love special effects!
context: Actress?\When you have an actress come to fetch you, you must be a big shot!\Sorry! I'll be right there!\Shinjurou-kun, we're waiting on you!\This guy was by the planes...\I called it!\What do you mean, It figures, Motoko-chan?\All men love special effects! response:	Even my dad...
context: When you have an actress come to fetch you, you must be a big shot!\Sorry! I'll be right there!\Shinjurou-kun, we're waiting on you!\This guy was by the planes...\I called it!\What do you mean, It figures, Motoko-chan?\All men love special effects!\Even my dad... response:	Yada Sumie
context: Sorry! I'll be right there!\Shinjurou-kun, we're waiting on you!\This guy was by the planes...\I called it!\What do you mean, It figures, Motoko-chan?\All men love special effects!\Even my dad...\Yada Sumie response:	Actress?
context: Shinjurou-kun, we're waiting on you!\This guy was by the planes...\I called it!\What do you mean, It figures, Motoko-chan?\All men love special effects!\Even my dad...\Yada Sumie\Actress? response:	Tanimura Motoko
context: This guy was by the planes...\I called it!\What do you mean, It figures, Motoko-chan?\All men love special effects!\Even my dad...\Yada Sumie\Actress?\Tanimura Motoko response:	Actress?
context: I called it!\What do you mean, It figures, Motoko-chan?\All men love special effects!\Even my dad...\Yada Sumie\Actress?\Tanimura Motoko\Actress? response:	Dad?
context: What do you mean, It figures, Motoko-chan?\All men love special effects!\Even my dad...\Yada Sumie\Actress?\Tanimura Motoko\Actress?\Dad? response:	What's wrong, Motoko-chan?
context: All men love special effects!\Even my dad...\Yada Sumie\Actress?\Tanimura Motoko\Actress?\Dad?\What's wrong, Motoko-chan? response:	Nothing.
context: Even my dad...\Yada Sumie\Actress?\Tanimura Motoko\Actress?\Dad?\What's wrong, Motoko-chan?\Nothing. response:	And stop adding -chan. I'm not a little girl!
context: Yada Sumie\Actress?\Tanimura Motoko\Actress?\Dad?\What's wrong, Motoko-chan?\Nothing.\And stop adding -chan. I'm not a little girl! response:	Mitaka Kichitarou
context: Actress?\Tanimura Motoko\Actress?\Dad?\What's wrong, Motoko-chan?\Nothing.\And stop adding -chan. I'm not a little girl!\Mitaka Kichitarou response:	Movie Director?
context: Tanimura Motoko\Actress?\Dad?\What's wrong, Motoko-chan?\Nothing.\And stop adding -chan. I'm not a little girl!\Mitaka Kichitarou\Movie Director? response:	What are you doing over there?!
context: Actress?\Dad?\What's wrong, Motoko-chan?\Nothing.\And stop adding -chan. I'm not a little girl!\Mitaka Kichitarou\Movie Director?\What are you doing over there?! response:	Uh-oh. Okay, should we get started?
context: Dad?\What's wrong, Motoko-chan?\Nothing.\And stop adding -chan. I'm not a little girl!\Mitaka Kichitarou\Movie Director?\What are you doing over there?!\Uh-oh. Okay, should we get started? response:	Is your makeup all right?
context: What's wrong, Motoko-chan?\Nothing.\And stop adding -chan. I'm not a little girl!\Mitaka Kichitarou\Movie Director?\What are you doing over there?!\Uh-oh. Okay, should we get started?\Is your makeup all right? response:	I don't need any.
context: Nothing.\And stop adding -chan. I'm not a little girl!\Mitaka Kichitarou\Movie Director?\What are you doing over there?!\Uh-oh. Okay, should we get started?\Is your makeup all right?\I don't need any. response:	If I'm not cute, you're not good at your job, Shinjurou-kun.
context: And stop adding -chan. I'm not a little girl!\Mitaka Kichitarou\Movie Director?\What are you doing over there?!\Uh-oh. Okay, should we get started?\Is your makeup all right?\I don't need any.\If I'm not cute, you're not good at your job, Shinjurou-kun. response:	I'm ready.
context: Mitaka Kichitarou\Movie Director?\What are you doing over there?!\Uh-oh. Okay, should we get started?\Is your makeup all right?\I don't need any.\If I'm not cute, you're not good at your job, Shinjurou-kun.\I'm ready. response:	Please make me look pretty.
context: Movie Director?\What are you doing over there?!\Uh-oh. Okay, should we get started?\Is your makeup all right?\I don't need any.\If I'm not cute, you're not good at your job, Shinjurou-kun.\I'm ready.\Please make me look pretty. response:	Director, are we ready?
context: What are you doing over there?!\Uh-oh. Okay, should we get started?\Is your makeup all right?\I don't need any.\If I'm not cute, you're not good at your job, Shinjurou-kun.\I'm ready.\Please make me look pretty.\Director, are we ready? response:	As always, zero enthusiasm.
context: Uh-oh. Okay, should we get started?\Is your makeup all right?\I don't need any.\If I'm not cute, you're not good at your job, Shinjurou-kun.\I'm ready.\Please make me look pretty.\Director, are we ready?\As always, zero enthusiasm. response:	Then I'll just start shooting.
context: Is your makeup all right?\I don't need any.\If I'm not cute, you're not good at your job, Shinjurou-kun.\I'm ready.\Please make me look pretty.\Director, are we ready?\As always, zero enthusiasm.\Then I'll just start shooting. response:	Sayo-san, you must have a boyfriend, right?
context: I don't need any.\If I'm not cute, you're not good at your job, Shinjurou-kun.\I'm ready.\Please make me look pretty.\Director, are we ready?\As always, zero enthusiasm.\Then I'll just start shooting.\Sayo-san, you must have a boyfriend, right? response:	But Sumie-san, you're more naive.
context: If I'm not cute, you're not good at your job, Shinjurou-kun.\I'm ready.\Please make me look pretty.\Director, are we ready?\As always, zero enthusiasm.\Then I'll just start shooting.\Sayo-san, you must have a boyfriend, right?\But Sumie-san, you're more naive. response:	I bet you've never had a man!
context: I'm ready.\Please make me look pretty.\Director, are we ready?\As always, zero enthusiasm.\Then I'll just start shooting.\Sayo-san, you must have a boyfriend, right?\But Sumie-san, you're more naive.\I bet you've never had a man! response:	W-Where is this coming from all of a sudden, Motoko-chan?!
context: Please make me look pretty.\Director, are we ready?\As always, zero enthusiasm.\Then I'll just start shooting.\Sayo-san, you must have a boyfriend, right?\But Sumie-san, you're more naive.\I bet you've never had a man!\W-Where is this coming from all of a sudden, Motoko-chan?! response:	I told you not to use chan!
context: Director, are we ready?\As always, zero enthusiasm.\Then I'll just start shooting.\Sayo-san, you must have a boyfriend, right?\But Sumie-san, you're more naive.\I bet you've never had a man!\W-Where is this coming from all of a sudden, Motoko-chan?!\I told you not to use chan! response:	Anyway, I want to know more about you two!
context: As always, zero enthusiasm.\Then I'll just start shooting.\Sayo-san, you must have a boyfriend, right?\But Sumie-san, you're more naive.\I bet you've never had a man!\W-Where is this coming from all of a sudden, Motoko-chan?!\I told you not to use chan!\Anyway, I want to know more about you two! response:	We all escaped to here from different places.
context: Then I'll just start shooting.\Sayo-san, you must have a boyfriend, right?\But Sumie-san, you're more naive.\I bet you've never had a man!\W-Where is this coming from all of a sudden, Motoko-chan?!\I told you not to use chan!\Anyway, I want to know more about you two!\We all escaped to here from different places. response:	We were taken in by the owner of this room and just settled here.
context: Sayo-san, you must have a boyfriend, right?\But Sumie-san, you're more naive.\I bet you've never had a man!\W-Where is this coming from all of a sudden, Motoko-chan?!\I told you not to use chan!\Anyway, I want to know more about you two!\We all escaped to here from different places.\We were taken in by the owner of this room and just settled here. response:	That man treated us equally, l... l...
context: But Sumie-san, you're more naive.\I bet you've never had a man!\W-Where is this coming from all of a sudden, Motoko-chan?!\I told you not to use chan!\Anyway, I want to know more about you two!\We all escaped to here from different places.\We were taken in by the owner of this room and just settled here.\That man treated us equally, l... l... response:	Loving us?
context: I bet you've never had a man!\W-Where is this coming from all of a sudden, Motoko-chan?!\I told you not to use chan!\Anyway, I want to know more about you two!\We all escaped to here from different places.\We were taken in by the owner of this room and just settled here.\That man treated us equally, l... l...\Loving us? response:	Right, that!
context: W-Where is this coming from all of a sudden, Motoko-chan?!\I told you not to use chan!\Anyway, I want to know more about you two!\We all escaped to here from different places.\We were taken in by the owner of this room and just settled here.\That man treated us equally, l... l...\Loving us?\Right, that! response:	But one day, he disappeared...
context: I told you not to use chan!\Anyway, I want to know more about you two!\We all escaped to here from different places.\We were taken in by the owner of this room and just settled here.\That man treated us equally, l... l...\Loving us?\Right, that!\But one day, he disappeared... response:	But I hear the director hasn't decided on the last scene!
context: Anyway, I want to know more about you two!\We all escaped to here from different places.\We were taken in by the owner of this room and just settled here.\That man treated us equally, l... l...\Loving us?\Right, that!\But one day, he disappeared...\But I hear the director hasn't decided on the last scene! response:	Who knows if we can be reunited with the man...
context: We all escaped to here from different places.\We were taken in by the owner of this room and just settled here.\That man treated us equally, l... l...\Loving us?\Right, that!\But one day, he disappeared...\But I hear the director hasn't decided on the last scene!\Who knows if we can be reunited with the man... response:	I hope the four of us can live happily together again...
context: We were taken in by the owner of this room and just settled here.\That man treated us equally, l... l...\Loving us?\Right, that!\But one day, he disappeared...\But I hear the director hasn't decided on the last scene!\Who knows if we can be reunited with the man...\I hope the four of us can live happily together again... response:	That's not what I want!
context: That man treated us equally, l... l...\Loving us?\Right, that!\But one day, he disappeared...\But I hear the director hasn't decided on the last scene!\Who knows if we can be reunited with the man...\I hope the four of us can live happily together again...\That's not what I want! response:	I want him to choose one of us from the three, like me!
context: Loving us?\Right, that!\But one day, he disappeared...\But I hear the director hasn't decided on the last scene!\Who knows if we can be reunited with the man...\I hope the four of us can live happily together again...\That's not what I want!\I want him to choose one of us from the three, like me! response:	Oh!
context: Right, that!\But one day, he disappeared...\But I hear the director hasn't decided on the last scene!\Who knows if we can be reunited with the man...\I hope the four of us can live happily together again...\That's not what I want!\I want him to choose one of us from the three, like me!\Oh! response:	W-What are you laughing at?!
context: But one day, he disappeared...\But I hear the director hasn't decided on the last scene!\Who knows if we can be reunited with the man...\I hope the four of us can live happily together again...\That's not what I want!\I want him to choose one of us from the three, like me!\Oh!\W-What are you laughing at?! response:	Oh, come on!
context: But I hear the director hasn't decided on the last scene!\Who knows if we can be reunited with the man...\I hope the four of us can live happily together again...\That's not what I want!\I want him to choose one of us from the three, like me!\Oh!\W-What are you laughing at?!\Oh, come on! response:	They really do look happy...
context: Who knows if we can be reunited with the man...\I hope the four of us can live happily together again...\That's not what I want!\I want him to choose one of us from the three, like me!\Oh!\W-What are you laughing at?!\Oh, come on!\They really do look happy... response:	Right, Director?
context: I hope the four of us can live happily together again...\That's not what I want!\I want him to choose one of us from the three, like me!\Oh!\W-What are you laughing at?!\Oh, come on!\They really do look happy...\Right, Director? response:	Solve the mystery...
context: That's not what I want!\I want him to choose one of us from the three, like me!\Oh!\W-What are you laughing at?!\Oh, come on!\They really do look happy...\Right, Director?\Solve the mystery... response:	Mystery...?
context: I want him to choose one of us from the three, like me!\Oh!\W-What are you laughing at?!\Oh, come on!\They really do look happy...\Right, Director?\Solve the mystery...\Mystery...? response:	It hurts... It hurts!
context: Oh!\W-What are you laughing at?!\Oh, come on!\They really do look happy...\Right, Director?\Solve the mystery...\Mystery...?\It hurts... It hurts! response:	It's hot... Red...
context: W-What are you laughing at?!\Oh, come on!\They really do look happy...\Right, Director?\Solve the mystery...\Mystery...?\It hurts... It hurts!\It's hot... Red... response:	I'm... hot...
context: Oh, come on!\They really do look happy...\Right, Director?\Solve the mystery...\Mystery...?\It hurts... It hurts!\It's hot... Red...\I'm... hot... response:	We're gonna die... We're all gonna die!
context: They really do look happy...\Right, Director?\Solve the mystery...\Mystery...?\It hurts... It hurts!\It's hot... Red...\I'm... hot...\We're gonna die... We're all gonna die! response:	Okay, got it!
context: Right, Director?\Solve the mystery...\Mystery...?\It hurts... It hurts!\It's hot... Red...\I'm... hot...\We're gonna die... We're all gonna die!\Okay, got it! response:	But why do I have to solve the mystery...
context: Solve the mystery...\Mystery...?\It hurts... It hurts!\It's hot... Red...\I'm... hot...\We're gonna die... We're all gonna die!\Okay, got it!\But why do I have to solve the mystery... response:	when a crime or whatever hasn't even happened...
context: Mystery...?\It hurts... It hurts!\It's hot... Red...\I'm... hot...\We're gonna die... We're all gonna die!\Okay, got it!\But why do I have to solve the mystery...\when a crime or whatever hasn't even happened... response:	If a war really did happen, I don't think there would be any escaping it.
context: It hurts... It hurts!\It's hot... Red...\I'm... hot...\We're gonna die... We're all gonna die!\Okay, got it!\But why do I have to solve the mystery...\when a crime or whatever hasn't even happened...\If a war really did happen, I don't think there would be any escaping it. response:	You're probably right...
context: It's hot... Red...\I'm... hot...\We're gonna die... We're all gonna die!\Okay, got it!\But why do I have to solve the mystery...\when a crime or whatever hasn't even happened...\If a war really did happen, I don't think there would be any escaping it.\You're probably right... response:	Why?
context: I'm... hot...\We're gonna die... We're all gonna die!\Okay, got it!\But why do I have to solve the mystery...\when a crime or whatever hasn't even happened...\If a war really did happen, I don't think there would be any escaping it.\You're probably right...\Why? response:	After all, I've never even imagined it.
context: We're gonna die... We're all gonna die!\Okay, got it!\But why do I have to solve the mystery...\when a crime or whatever hasn't even happened...\If a war really did happen, I don't think there would be any escaping it.\You're probably right...\Why?\After all, I've never even imagined it. response:	I wouldn't know what to do if I looked out the window and saw a bomb dropping.
context: Okay, got it!\But why do I have to solve the mystery...\when a crime or whatever hasn't even happened...\If a war really did happen, I don't think there would be any escaping it.\You're probably right...\Why?\After all, I've never even imagined it.\I wouldn't know what to do if I looked out the window and saw a bomb dropping. response:	Yeah... The last war was before my grandpa's time, even.
context: But why do I have to solve the mystery...\when a crime or whatever hasn't even happened...\If a war really did happen, I don't think there would be any escaping it.\You're probably right...\Why?\After all, I've never even imagined it.\I wouldn't know what to do if I looked out the window and saw a bomb dropping.\Yeah... The last war was before my grandpa's time, even. response:	A war isn't happening.
