context: I'm doing great! They decided to serialize my manga! response:	Yes, Hattori-san just told us. Congratulations!
context: Understood!\We'll switch in Giri... Yes.\Whew, that feels great!\Just as Kiyoshi Knight is ending we have a new serialization.\We're too cool!\The one with the motorcycle?\Yeah, it's about motorsports in a way...\Um, Yuujiro-san. response:	Hattori-san doesn't look too happy.
context: We'll switch in Giri... Yes.\Whew, that feels great!\Just as Kiyoshi Knight is ending we have a new serialization.\We're too cool!\The one with the motorcycle?\Yeah, it's about motorsports in a way...\Um, Yuujiro-san.\Hattori-san doesn't look too happy. response:	He says PCP in 6th place won't cut it.
context: Whew, that feels great!\Just as Kiyoshi Knight is ending we have a new serialization.\We're too cool!\The one with the motorcycle?\Yeah, it's about motorsports in a way...\Um, Yuujiro-san.\Hattori-san doesn't look too happy.\He says PCP in 6th place won't cut it. response:	Why not?
context: Just as Kiyoshi Knight is ending we have a new serialization.\We're too cool!\The one with the motorcycle?\Yeah, it's about motorsports in a way...\Um, Yuujiro-san.\Hattori-san doesn't look too happy.\He says PCP in 6th place won't cut it.\Why not? response:	PCP does have special limitations.
context: We're too cool!\The one with the motorcycle?\Yeah, it's about motorsports in a way...\Um, Yuujiro-san.\Hattori-san doesn't look too happy.\He says PCP in 6th place won't cut it.\Why not?\PCP does have special limitations. response:	Limitations?
context: The one with the motorcycle?\Yeah, it's about motorsports in a way...\Um, Yuujiro-san.\Hattori-san doesn't look too happy.\He says PCP in 6th place won't cut it.\Why not?\PCP does have special limitations.\Limitations? response:	They have a tacit agreement...
context: Yeah, it's about motorsports in a way...\Um, Yuujiro-san.\Hattori-san doesn't look too happy.\He says PCP in 6th place won't cut it.\Why not?\PCP does have special limitations.\Limitations?\They have a tacit agreement... response:	PCP is missing something...
context: Um, Yuujiro-san.\Hattori-san doesn't look too happy.\He says PCP in 6th place won't cut it.\Why not?\PCP does have special limitations.\Limitations?\They have a tacit agreement...\PCP is missing something... response:	But what?
context: Hattori-san doesn't look too happy.\He says PCP in 6th place won't cut it.\Why not?\PCP does have special limitations.\Limitations?\They have a tacit agreement...\PCP is missing something...\But what? response:	Are you even listening to me?
context: He says PCP in 6th place won't cut it.\Why not?\PCP does have special limitations.\Limitations?\They have a tacit agreement...\PCP is missing something...\But what?\Are you even listening to me? response:	Ah... sorry.
context: Why not?\PCP does have special limitations.\Limitations?\They have a tacit agreement...\PCP is missing something...\But what?\Are you even listening to me?\Ah... sorry. response:	Please take this a little more seriously!
context: PCP does have special limitations.\Limitations?\They have a tacit agreement...\PCP is missing something...\But what?\Are you even listening to me?\Ah... sorry.\Please take this a little more seriously! response:	I definitely won't lose to Ashirogi Muto.
context: Limitations?\They have a tacit agreement...\PCP is missing something...\But what?\Are you even listening to me?\Ah... sorry.\Please take this a little more seriously!\I definitely won't lose to Ashirogi Muto. response:	Don't worry.
context: They have a tacit agreement...\PCP is missing something...\But what?\Are you even listening to me?\Ah... sorry.\Please take this a little more seriously!\I definitely won't lose to Ashirogi Muto.\Don't worry. response:	In 6 months, PCP will probably be over.
context: PCP is missing something...\But what?\Are you even listening to me?\Ah... sorry.\Please take this a little more seriously!\I definitely won't lose to Ashirogi Muto.\Don't worry.\In 6 months, PCP will probably be over. response:	6th isn't good enough.
context: But what?\Are you even listening to me?\Ah... sorry.\Please take this a little more seriously!\I definitely won't lose to Ashirogi Muto.\Don't worry.\In 6 months, PCP will probably be over.\6th isn't good enough. response:	If PCP can't compete with +Natural and Crow within 6 months,
context: Are you even listening to me?\Ah... sorry.\Please take this a little more seriously!\I definitely won't lose to Ashirogi Muto.\Don't worry.\In 6 months, PCP will probably be over.\6th isn't good enough.\If PCP can't compete with +Natural and Crow within 6 months, response:	It will be cancelled.
context: Ah... sorry.\Please take this a little more seriously!\I definitely won't lose to Ashirogi Muto.\Don't worry.\In 6 months, PCP will probably be over.\6th isn't good enough.\If PCP can't compete with +Natural and Crow within 6 months,\It will be cancelled. response:	What?!
context: Please take this a little more seriously!\I definitely won't lose to Ashirogi Muto.\Don't worry.\In 6 months, PCP will probably be over.\6th isn't good enough.\If PCP can't compete with +Natural and Crow within 6 months,\It will be cancelled.\What?! response:	Those are the chief's conditions.
context: I definitely won't lose to Ashirogi Muto.\Don't worry.\In 6 months, PCP will probably be over.\6th isn't good enough.\If PCP can't compete with +Natural and Crow within 6 months,\It will be cancelled.\What?!\Those are the chief's conditions. response:	That isn't really a surprise.
context: Don't worry.\In 6 months, PCP will probably be over.\6th isn't good enough.\If PCP can't compete with +Natural and Crow within 6 months,\It will be cancelled.\What?!\Those are the chief's conditions.\That isn't really a surprise. response:	Back when we quit writing Tanto...
context: In 6 months, PCP will probably be over.\6th isn't good enough.\If PCP can't compete with +Natural and Crow within 6 months,\It will be cancelled.\What?!\Those are the chief's conditions.\That isn't really a surprise.\Back when we quit writing Tanto... response:	We will beat Niizuma Eiji.
context: 6th isn't good enough.\If PCP can't compete with +Natural and Crow within 6 months,\It will be cancelled.\What?!\Those are the chief's conditions.\That isn't really a surprise.\Back when we quit writing Tanto...\We will beat Niizuma Eiji. response:	So please let us end Tanto!
context: If PCP can't compete with +Natural and Crow within 6 months,\It will be cancelled.\What?!\Those are the chief's conditions.\That isn't really a surprise.\Back when we quit writing Tanto...\We will beat Niizuma Eiji.\So please let us end Tanto! response:	Oh, right!
context: It will be cancelled.\What?!\Those are the chief's conditions.\That isn't really a surprise.\Back when we quit writing Tanto...\We will beat Niizuma Eiji.\So please let us end Tanto!\Oh, right! response:	I kept quiet about it because I didn't want to pressure you.
context: What?!\Those are the chief's conditions.\That isn't really a surprise.\Back when we quit writing Tanto...\We will beat Niizuma Eiji.\So please let us end Tanto!\Oh, right!\I kept quiet about it because I didn't want to pressure you. response:	But at this rate if we don't do something, it'll be cancelled.
context: Those are the chief's conditions.\That isn't really a surprise.\Back when we quit writing Tanto...\We will beat Niizuma Eiji.\So please let us end Tanto!\Oh, right!\I kept quiet about it because I didn't want to pressure you.\But at this rate if we don't do something, it'll be cancelled. response:	And Fukuda-san and the others have a new series starting.
context: That isn't really a surprise.\Back when we quit writing Tanto...\We will beat Niizuma Eiji.\So please let us end Tanto!\Oh, right!\I kept quiet about it because I didn't want to pressure you.\But at this rate if we don't do something, it'll be cancelled.\And Fukuda-san and the others have a new series starting. response:	That's pretty rough.
context: Back when we quit writing Tanto...\We will beat Niizuma Eiji.\So please let us end Tanto!\Oh, right!\I kept quiet about it because I didn't want to pressure you.\But at this rate if we don't do something, it'll be cancelled.\And Fukuda-san and the others have a new series starting.\That's pretty rough. response:	We're not just competing with Eiji and Iwase now.
context: We will beat Niizuma Eiji.\So please let us end Tanto!\Oh, right!\I kept quiet about it because I didn't want to pressure you.\But at this rate if we don't do something, it'll be cancelled.\And Fukuda-san and the others have a new series starting.\That's pretty rough.\We're not just competing with Eiji and Iwase now. response:	Now there are three new series.
context: So please let us end Tanto!\Oh, right!\I kept quiet about it because I didn't want to pressure you.\But at this rate if we don't do something, it'll be cancelled.\And Fukuda-san and the others have a new series starting.\That's pretty rough.\We're not just competing with Eiji and Iwase now.\Now there are three new series. response:	PCP will be over...?
context: Oh, right!\I kept quiet about it because I didn't want to pressure you.\But at this rate if we don't do something, it'll be cancelled.\And Fukuda-san and the others have a new series starting.\That's pretty rough.\We're not just competing with Eiji and Iwase now.\Now there are three new series.\PCP will be over...? response:	From what he said, that's how it looks.
context: I kept quiet about it because I didn't want to pressure you.\But at this rate if we don't do something, it'll be cancelled.\And Fukuda-san and the others have a new series starting.\That's pretty rough.\We're not just competing with Eiji and Iwase now.\Now there are three new series.\PCP will be over...?\From what he said, that's how it looks. response:	Aren't those conditions a little unfair?
context: But at this rate if we don't do something, it'll be cancelled.\And Fukuda-san and the others have a new series starting.\That's pretty rough.\We're not just competing with Eiji and Iwase now.\Now there are three new series.\PCP will be over...?\From what he said, that's how it looks.\Aren't those conditions a little unfair? response:	That means if I try my hardest, Takagi-kun will...!
context: And Fukuda-san and the others have a new series starting.\That's pretty rough.\We're not just competing with Eiji and Iwase now.\Now there are three new series.\PCP will be over...?\From what he said, that's how it looks.\Aren't those conditions a little unfair?\That means if I try my hardest, Takagi-kun will...! response:	Isn't that what you wanted?
context: That's pretty rough.\We're not just competing with Eiji and Iwase now.\Now there are three new series.\PCP will be over...?\From what he said, that's how it looks.\Aren't those conditions a little unfair?\That means if I try my hardest, Takagi-kun will...!\Isn't that what you wanted? response:	Didn't you want to beat PCP?
context: We're not just competing with Eiji and Iwase now.\Now there are three new series.\PCP will be over...?\From what he said, that's how it looks.\Aren't those conditions a little unfair?\That means if I try my hardest, Takagi-kun will...!\Isn't that what you wanted?\Didn't you want to beat PCP? response:	Akina-kun...
context: Now there are three new series.\PCP will be over...?\From what he said, that's how it looks.\Aren't those conditions a little unfair?\That means if I try my hardest, Takagi-kun will...!\Isn't that what you wanted?\Didn't you want to beat PCP?\Akina-kun... response:	Do you enjoy competing with Takagi-kun?
context: PCP will be over...?\From what he said, that's how it looks.\Aren't those conditions a little unfair?\That means if I try my hardest, Takagi-kun will...!\Isn't that what you wanted?\Didn't you want to beat PCP?\Akina-kun...\Do you enjoy competing with Takagi-kun? response:	Does it make you happy?
context: From what he said, that's how it looks.\Aren't those conditions a little unfair?\That means if I try my hardest, Takagi-kun will...!\Isn't that what you wanted?\Didn't you want to beat PCP?\Akina-kun...\Do you enjoy competing with Takagi-kun?\Does it make you happy? response:	N-no!
context: Aren't those conditions a little unfair?\That means if I try my hardest, Takagi-kun will...!\Isn't that what you wanted?\Didn't you want to beat PCP?\Akina-kun...\Do you enjoy competing with Takagi-kun?\Does it make you happy?\N-no! response:	But it's important for Takagi-kun to be there so I can beat him!
context: That means if I try my hardest, Takagi-kun will...!\Isn't that what you wanted?\Didn't you want to beat PCP?\Akina-kun...\Do you enjoy competing with Takagi-kun?\Does it make you happy?\N-no!\But it's important for Takagi-kun to be there so I can beat him! response:	Well... at this rate we won't have to worry about them pulling ahead.
context: Isn't that what you wanted?\Didn't you want to beat PCP?\Akina-kun...\Do you enjoy competing with Takagi-kun?\Does it make you happy?\N-no!\But it's important for Takagi-kun to be there so I can beat him!\Well... at this rate we won't have to worry about them pulling ahead. response:	What do you mean?
context: Didn't you want to beat PCP?\Akina-kun...\Do you enjoy competing with Takagi-kun?\Does it make you happy?\N-no!\But it's important for Takagi-kun to be there so I can beat him!\Well... at this rate we won't have to worry about them pulling ahead.\What do you mean? response:	I just came from Niizuma's...
context: Akina-kun...\Do you enjoy competing with Takagi-kun?\Does it make you happy?\N-no!\But it's important for Takagi-kun to be there so I can beat him!\Well... at this rate we won't have to worry about them pulling ahead.\What do you mean?\I just came from Niizuma's... response:	Then I guess that's it for Ashirogi-sensei.
context: Do you enjoy competing with Takagi-kun?\Does it make you happy?\N-no!\But it's important for Takagi-kun to be there so I can beat him!\Well... at this rate we won't have to worry about them pulling ahead.\What do you mean?\I just came from Niizuma's...\Then I guess that's it for Ashirogi-sensei. response:	You really think so?
context: Does it make you happy?\N-no!\But it's important for Takagi-kun to be there so I can beat him!\Well... at this rate we won't have to worry about them pulling ahead.\What do you mean?\I just came from Niizuma's...\Then I guess that's it for Ashirogi-sensei.\You really think so? response:	Yeah,
context: N-no!\But it's important for Takagi-kun to be there so I can beat him!\Well... at this rate we won't have to worry about them pulling ahead.\What do you mean?\I just came from Niizuma's...\Then I guess that's it for Ashirogi-sensei.\You really think so?\Yeah, response:	I don't think they can beat me like this.
context: But it's important for Takagi-kun to be there so I can beat him!\Well... at this rate we won't have to worry about them pulling ahead.\What do you mean?\I just came from Niizuma's...\Then I guess that's it for Ashirogi-sensei.\You really think so?\Yeah,\I don't think they can beat me like this. response:	When it comes to manga, Niizuma-kun's always right.
context: Well... at this rate we won't have to worry about them pulling ahead.\What do you mean?\I just came from Niizuma's...\Then I guess that's it for Ashirogi-sensei.\You really think so?\Yeah,\I don't think they can beat me like this.\When it comes to manga, Niizuma-kun's always right. response:	Hattori-san said he's psychic.
context: What do you mean?\I just came from Niizuma's...\Then I guess that's it for Ashirogi-sensei.\You really think so?\Yeah,\I don't think they can beat me like this.\When it comes to manga, Niizuma-kun's always right.\Hattori-san said he's psychic. response:	And Niizuma-san said at this rate...
context: I just came from Niizuma's...\Then I guess that's it for Ashirogi-sensei.\You really think so?\Yeah,\I don't think they can beat me like this.\When it comes to manga, Niizuma-kun's always right.\Hattori-san said he's psychic.\And Niizuma-san said at this rate... response:	Yeah.
context: Then I guess that's it for Ashirogi-sensei.\You really think so?\Yeah,\I don't think they can beat me like this.\When it comes to manga, Niizuma-kun's always right.\Hattori-san said he's psychic.\And Niizuma-san said at this rate...\Yeah. response:	Call Takagi-kun and then give me the phone!
context: You really think so?\Yeah,\I don't think they can beat me like this.\When it comes to manga, Niizuma-kun's always right.\Hattori-san said he's psychic.\And Niizuma-san said at this rate...\Yeah.\Call Takagi-kun and then give me the phone! response:	Just do it.
context: Yeah,\I don't think they can beat me like this.\When it comes to manga, Niizuma-kun's always right.\Hattori-san said he's psychic.\And Niizuma-san said at this rate...\Yeah.\Call Takagi-kun and then give me the phone!\Just do it. response:	We won't make it at this rate,
context: I don't think they can beat me like this.\When it comes to manga, Niizuma-kun's always right.\Hattori-san said he's psychic.\And Niizuma-san said at this rate...\Yeah.\Call Takagi-kun and then give me the phone!\Just do it.\We won't make it at this rate, response:	We need to find something to boost our potential.
context: When it comes to manga, Niizuma-kun's always right.\Hattori-san said he's psychic.\And Niizuma-san said at this rate...\Yeah.\Call Takagi-kun and then give me the phone!\Just do it.\We won't make it at this rate,\We need to find something to boost our potential. response:	Sorry, let me get this...
context: Hattori-san said he's psychic.\And Niizuma-san said at this rate...\Yeah.\Call Takagi-kun and then give me the phone!\Just do it.\We won't make it at this rate,\We need to find something to boost our potential.\Sorry, let me get this... response:	Miura-san?
context: And Niizuma-san said at this rate...\Yeah.\Call Takagi-kun and then give me the phone!\Just do it.\We won't make it at this rate,\We need to find something to boost our potential.\Sorry, let me get this...\Miura-san? response:	Miura...
context: Yeah.\Call Takagi-kun and then give me the phone!\Just do it.\We won't make it at this rate,\We need to find something to boost our potential.\Sorry, let me get this...\Miura-san?\Miura... response:	This is Iwase.
context: Call Takagi-kun and then give me the phone!\Just do it.\We won't make it at this rate,\We need to find something to boost our potential.\Sorry, let me get this...\Miura-san?\Miura...\This is Iwase. response:	Iwase?! Why?
context: Just do it.\We won't make it at this rate,\We need to find something to boost our potential.\Sorry, let me get this...\Miura-san?\Miura...\This is Iwase.\Iwase?! Why? response:	I apologize.
context: We won't make it at this rate,\We need to find something to boost our potential.\Sorry, let me get this...\Miura-san?\Miura...\This is Iwase.\Iwase?! Why?\I apologize. response:	At one point I had planned to kick you guys out no matter what it took.
context: We need to find something to boost our potential.\Sorry, let me get this...\Miura-san?\Miura...\This is Iwase.\Iwase?! Why?\I apologize.\At one point I had planned to kick you guys out no matter what it took. response:	Huh??
context: Sorry, let me get this...\Miura-san?\Miura...\This is Iwase.\Iwase?! Why?\I apologize.\At one point I had planned to kick you guys out no matter what it took.\Huh?? response:	But I'm done with that cowardly plan.
context: Miura-san?\Miura...\This is Iwase.\Iwase?! Why?\I apologize.\At one point I had planned to kick you guys out no matter what it took.\Huh??\But I'm done with that cowardly plan. response:	From now on I'm going to fight fair and square.
context: Miura...\This is Iwase.\Iwase?! Why?\I apologize.\At one point I had planned to kick you guys out no matter what it took.\Huh??\But I'm done with that cowardly plan.\From now on I'm going to fight fair and square. response:	Alright?!
context: This is Iwase.\Iwase?! Why?\I apologize.\At one point I had planned to kick you guys out no matter what it took.\Huh??\But I'm done with that cowardly plan.\From now on I'm going to fight fair and square.\Alright?! response:	You guys won't be able to beat me.
context: Iwase?! Why?\I apologize.\At one point I had planned to kick you guys out no matter what it took.\Huh??\But I'm done with that cowardly plan.\From now on I'm going to fight fair and square.\Alright?!\You guys won't be able to beat me. response:	W-wait a sec, I don't even know what you're talking about...
context: I apologize.\At one point I had planned to kick you guys out no matter what it took.\Huh??\But I'm done with that cowardly plan.\From now on I'm going to fight fair and square.\Alright?!\You guys won't be able to beat me.\W-wait a sec, I don't even know what you're talking about... response:	Apparently Niizuma-san said at this rate you PCP doesn't have a chance against him.
context: At one point I had planned to kick you guys out no matter what it took.\Huh??\But I'm done with that cowardly plan.\From now on I'm going to fight fair and square.\Alright?!\You guys won't be able to beat me.\W-wait a sec, I don't even know what you're talking about...\Apparently Niizuma-san said at this rate you PCP doesn't have a chance against him. response:	Eiji...
context: Huh??\But I'm done with that cowardly plan.\From now on I'm going to fight fair and square.\Alright?!\You guys won't be able to beat me.\W-wait a sec, I don't even know what you're talking about...\Apparently Niizuma-san said at this rate you PCP doesn't have a chance against him.\Eiji... response:	So think of something!
context: But I'm done with that cowardly plan.\From now on I'm going to fight fair and square.\Alright?!\You guys won't be able to beat me.\W-wait a sec, I don't even know what you're talking about...\Apparently Niizuma-san said at this rate you PCP doesn't have a chance against him.\Eiji...\So think of something! response:	Scheme! Give it your all!
context: From now on I'm going to fight fair and square.\Alright?!\You guys won't be able to beat me.\W-wait a sec, I don't even know what you're talking about...\Apparently Niizuma-san said at this rate you PCP doesn't have a chance against him.\Eiji...\So think of something!\Scheme! Give it your all! response:	Now that I've told you this,
context: Alright?!\You guys won't be able to beat me.\W-wait a sec, I don't even know what you're talking about...\Apparently Niizuma-san said at this rate you PCP doesn't have a chance against him.\Eiji...\So think of something!\Scheme! Give it your all!\Now that I've told you this, response:	If you lose to me, it's your own fault, got it?!
context: You guys won't be able to beat me.\W-wait a sec, I don't even know what you're talking about...\Apparently Niizuma-san said at this rate you PCP doesn't have a chance against him.\Eiji...\So think of something!\Scheme! Give it your all!\Now that I've told you this,\If you lose to me, it's your own fault, got it?! response:	Iwase...
context: W-wait a sec, I don't even know what you're talking about...\Apparently Niizuma-san said at this rate you PCP doesn't have a chance against him.\Eiji...\So think of something!\Scheme! Give it your all!\Now that I've told you this,\If you lose to me, it's your own fault, got it?!\Iwase... response:	Ok.
context: Apparently Niizuma-san said at this rate you PCP doesn't have a chance against him.\Eiji...\So think of something!\Scheme! Give it your all!\Now that I've told you this,\If you lose to me, it's your own fault, got it?!\Iwase...\Ok. response:	Thank you for the warning.
context: Eiji...\So think of something!\Scheme! Give it your all!\Now that I've told you this,\If you lose to me, it's your own fault, got it?!\Iwase...\Ok.\Thank you for the warning. response:	Now watch us pull ahead!
context: So think of something!\Scheme! Give it your all!\Now that I've told you this,\If you lose to me, it's your own fault, got it?!\Iwase...\Ok.\Thank you for the warning.\Now watch us pull ahead! response:	I would like to see you try.
context: Scheme! Give it your all!\Now that I've told you this,\If you lose to me, it's your own fault, got it?!\Iwase...\Ok.\Thank you for the warning.\Now watch us pull ahead!\I would like to see you try. response:	Niizuma and Iwase...
context: Now that I've told you this,\If you lose to me, it's your own fault, got it?!\Iwase...\Ok.\Thank you for the warning.\Now watch us pull ahead!\I would like to see you try.\Niizuma and Iwase... response:	Are good rivals.
context: If you lose to me, it's your own fault, got it?!\Iwase...\Ok.\Thank you for the warning.\Now watch us pull ahead!\I would like to see you try.\Niizuma and Iwase...\Are good rivals. response:	Yeah.
context: Iwase...\Ok.\Thank you for the warning.\Now watch us pull ahead!\I would like to see you try.\Niizuma and Iwase...\Are good rivals.\Yeah. response:	I need a break!
context: Ok.\Thank you for the warning.\Now watch us pull ahead!\I would like to see you try.\Niizuma and Iwase...\Are good rivals.\Yeah.\I need a break! response:	I don't care what you say, Yoshida-shi!
context: Thank you for the warning.\Now watch us pull ahead!\I would like to see you try.\Niizuma and Iwase...\Are good rivals.\Yeah.\I need a break!\I don't care what you say, Yoshida-shi! response:	Then, what if I said a break means no tea party with Aoki-san?
context: Now watch us pull ahead!\I would like to see you try.\Niizuma and Iwase...\Are good rivals.\Yeah.\I need a break!\I don't care what you say, Yoshida-shi!\Then, what if I said a break means no tea party with Aoki-san? response:	Tea party?!
context: I would like to see you try.\Niizuma and Iwase...\Are good rivals.\Yeah.\I need a break!\I don't care what you say, Yoshida-shi!\Then, what if I said a break means no tea party with Aoki-san?\Tea party?! response:	That's right.
context: Niizuma and Iwase...\Are good rivals.\Yeah.\I need a break!\I don't care what you say, Yoshida-shi!\Then, what if I said a break means no tea party with Aoki-san?\Tea party?!\That's right. response:	Here at your place.
context: Are good rivals.\Yeah.\I need a break!\I don't care what you say, Yoshida-shi!\Then, what if I said a break means no tea party with Aoki-san?\Tea party?!\That's right.\Here at your place. response:	Yoshida-shi!
context: Yeah.\I need a break!\I don't care what you say, Yoshida-shi!\Then, what if I said a break means no tea party with Aoki-san?\Tea party?!\That's right.\Here at your place.\Yoshida-shi! response:	So just sign here.
context: I need a break!\I don't care what you say, Yoshida-shi!\Then, what if I said a break means no tea party with Aoki-san?\Tea party?!\That's right.\Here at your place.\Yoshida-shi!\So just sign here. response:	Yoshida-shi, why will it be here?
context: I don't care what you say, Yoshida-shi!\Then, what if I said a break means no tea party with Aoki-san?\Tea party?!\That's right.\Here at your place.\Yoshida-shi!\So just sign here.\Yoshida-shi, why will it be here? response:	Isn't that why you have such a cool place?
context: Then, what if I said a break means no tea party with Aoki-san?\Tea party?!\That's right.\Here at your place.\Yoshida-shi!\So just sign here.\Yoshida-shi, why will it be here?\Isn't that why you have such a cool place? response:	Oho! Designer Condooo!
context: Tea party?!\That's right.\Here at your place.\Yoshida-shi!\So just sign here.\Yoshida-shi, why will it be here?\Isn't that why you have such a cool place?\Oho! Designer Condooo! response:	You've done so well!
context: That's right.\Here at your place.\Yoshida-shi!\So just sign here.\Yoshida-shi, why will it be here?\Isn't that why you have such a cool place?\Oho! Designer Condooo!\You've done so well! response:	Yup!
context: Here at your place.\Yoshida-shi!\So just sign here.\Yoshida-shi, why will it be here?\Isn't that why you have such a cool place?\Oho! Designer Condooo!\You've done so well!\Yup! response:	And you'll work hard after the tea party?
