context: The old man's missing? response:	What happened here?
context: Hot springs?!\Rokuro's with him?\Then this room's a mess because...\He left suddenly without tidying up.\That old man's unbelievable.\Much Ado About Nothing\Everyone's been doing whatever the hell they want since we got here.\Where'd Isanami go? response:	Delicious!
context: Rokuro's with him?\Then this room's a mess because...\He left suddenly without tidying up.\That old man's unbelievable.\Much Ado About Nothing\Everyone's been doing whatever the hell they want since we got here.\Where'd Isanami go?\Delicious! response:	Miss, you've got quite an appetite.
context: Then this room's a mess because...\He left suddenly without tidying up.\That old man's unbelievable.\Much Ado About Nothing\Everyone's been doing whatever the hell they want since we got here.\Where'd Isanami go?\Delicious!\Miss, you've got quite an appetite. response:	She's far too relaxed. If an assassin showed up now...
context: He left suddenly without tidying up.\That old man's unbelievable.\Much Ado About Nothing\Everyone's been doing whatever the hell they want since we got here.\Where'd Isanami go?\Delicious!\Miss, you've got quite an appetite.\She's far too relaxed. If an assassin showed up now... response:	Kakei-san? What're you doing?
context: That old man's unbelievable.\Much Ado About Nothing\Everyone's been doing whatever the hell they want since we got here.\Where'd Isanami go?\Delicious!\Miss, you've got quite an appetite.\She's far too relaxed. If an assassin showed up now...\Kakei-san? What're you doing? response:	He is incredibly strong.
context: Much Ado About Nothing\Everyone's been doing whatever the hell they want since we got here.\Where'd Isanami go?\Delicious!\Miss, you've got quite an appetite.\She's far too relaxed. If an assassin showed up now...\Kakei-san? What're you doing?\He is incredibly strong. response:	Who?
context: Everyone's been doing whatever the hell they want since we got here.\Where'd Isanami go?\Delicious!\Miss, you've got quite an appetite.\She's far too relaxed. If an assassin showed up now...\Kakei-san? What're you doing?\He is incredibly strong.\Who? response:	The dine-and-dasher.
context: Where'd Isanami go?\Delicious!\Miss, you've got quite an appetite.\She's far too relaxed. If an assassin showed up now...\Kakei-san? What're you doing?\He is incredibly strong.\Who?\The dine-and-dasher. response:	When I tried to stop him, he went berserk.
context: Delicious!\Miss, you've got quite an appetite.\She's far too relaxed. If an assassin showed up now...\Kakei-san? What're you doing?\He is incredibly strong.\Who?\The dine-and-dasher.\When I tried to stop him, he went berserk. response:	You're wrong!
context: Miss, you've got quite an appetite.\She's far too relaxed. If an assassin showed up now...\Kakei-san? What're you doing?\He is incredibly strong.\Who?\The dine-and-dasher.\When I tried to stop him, he went berserk.\You're wrong! response:	I am a servant of the Buddha.
context: She's far too relaxed. If an assassin showed up now...\Kakei-san? What're you doing?\He is incredibly strong.\Who?\The dine-and-dasher.\When I tried to stop him, he went berserk.\You're wrong!\I am a servant of the Buddha. response:	Therefore, my actions are the Buddha's actions.
context: Kakei-san? What're you doing?\He is incredibly strong.\Who?\The dine-and-dasher.\When I tried to stop him, he went berserk.\You're wrong!\I am a servant of the Buddha.\Therefore, my actions are the Buddha's actions. response:	Men are meant to happily serve sake and food to the Buddha!
context: He is incredibly strong.\Who?\The dine-and-dasher.\When I tried to stop him, he went berserk.\You're wrong!\I am a servant of the Buddha.\Therefore, my actions are the Buddha's actions.\Men are meant to happily serve sake and food to the Buddha! response:	What are you talking about?
context: Who?\The dine-and-dasher.\When I tried to stop him, he went berserk.\You're wrong!\I am a servant of the Buddha.\Therefore, my actions are the Buddha's actions.\Men are meant to happily serve sake and food to the Buddha!\What are you talking about? response:	You're just stuffing your face!
context: The dine-and-dasher.\When I tried to stop him, he went berserk.\You're wrong!\I am a servant of the Buddha.\Therefore, my actions are the Buddha's actions.\Men are meant to happily serve sake and food to the Buddha!\What are you talking about?\You're just stuffing your face! response:	A servant of the Buddha is hungry.
context: When I tried to stop him, he went berserk.\You're wrong!\I am a servant of the Buddha.\Therefore, my actions are the Buddha's actions.\Men are meant to happily serve sake and food to the Buddha!\What are you talking about?\You're just stuffing your face!\A servant of the Buddha is hungry. response:	Do you not wish to feed him?
context: You're wrong!\I am a servant of the Buddha.\Therefore, my actions are the Buddha's actions.\Men are meant to happily serve sake and food to the Buddha!\What are you talking about?\You're just stuffing your face!\A servant of the Buddha is hungry.\Do you not wish to feed him? response:	What? Are you dim?
context: I am a servant of the Buddha.\Therefore, my actions are the Buddha's actions.\Men are meant to happily serve sake and food to the Buddha!\What are you talking about?\You're just stuffing your face!\A servant of the Buddha is hungry.\Do you not wish to feed him?\What? Are you dim? response:	Just pay for your food.
context: Therefore, my actions are the Buddha's actions.\Men are meant to happily serve sake and food to the Buddha!\What are you talking about?\You're just stuffing your face!\A servant of the Buddha is hungry.\Do you not wish to feed him?\What? Are you dim?\Just pay for your food. response:	I have no money!
context: Men are meant to happily serve sake and food to the Buddha!\What are you talking about?\You're just stuffing your face!\A servant of the Buddha is hungry.\Do you not wish to feed him?\What? Are you dim?\Just pay for your food.\I have no money! response:	That's not something to say out loud.
context: What are you talking about?\You're just stuffing your face!\A servant of the Buddha is hungry.\Do you not wish to feed him?\What? Are you dim?\Just pay for your food.\I have no money!\That's not something to say out loud. response:	You are the definition of brazen ignorance!
context: You're just stuffing your face!\A servant of the Buddha is hungry.\Do you not wish to feed him?\What? Are you dim?\Just pay for your food.\I have no money!\That's not something to say out loud.\You are the definition of brazen ignorance! response:	I bet you've been eating for free all over the place, you bum.
context: A servant of the Buddha is hungry.\Do you not wish to feed him?\What? Are you dim?\Just pay for your food.\I have no money!\That's not something to say out loud.\You are the definition of brazen ignorance!\I bet you've been eating for free all over the place, you bum. response:	I am no bum!
context: Do you not wish to feed him?\What? Are you dim?\Just pay for your food.\I have no money!\That's not something to say out loud.\You are the definition of brazen ignorance!\I bet you've been eating for free all over the place, you bum.\I am no bum! response:	I am on a holy journey.
context: What? Are you dim?\Just pay for your food.\I have no money!\That's not something to say out loud.\You are the definition of brazen ignorance!\I bet you've been eating for free all over the place, you bum.\I am no bum!\I am on a holy journey. response:	Behold!
context: Just pay for your food.\I have no money!\That's not something to say out loud.\You are the definition of brazen ignorance!\I bet you've been eating for free all over the place, you bum.\I am no bum!\I am on a holy journey.\Behold! response:	I am searching for my younger sister.
context: I have no money!\That's not something to say out loud.\You are the definition of brazen ignorance!\I bet you've been eating for free all over the place, you bum.\I am no bum!\I am on a holy journey.\Behold!\I am searching for my younger sister. response:	That's obviously a personal journey.
context: That's not something to say out loud.\You are the definition of brazen ignorance!\I bet you've been eating for free all over the place, you bum.\I am no bum!\I am on a holy journey.\Behold!\I am searching for my younger sister.\That's obviously a personal journey. response:	My name is Miyoshi Seikai Nyudo.
context: You are the definition of brazen ignorance!\I bet you've been eating for free all over the place, you bum.\I am no bum!\I am on a holy journey.\Behold!\I am searching for my younger sister.\That's obviously a personal journey.\My name is Miyoshi Seikai Nyudo. response:	I have been traveling across the land in search of my long lost sister.
context: I bet you've been eating for free all over the place, you bum.\I am no bum!\I am on a holy journey.\Behold!\I am searching for my younger sister.\That's obviously a personal journey.\My name is Miyoshi Seikai Nyudo.\I have been traveling across the land in search of my long lost sister. response:	I bet your sister's a monster.
context: I am no bum!\I am on a holy journey.\Behold!\I am searching for my younger sister.\That's obviously a personal journey.\My name is Miyoshi Seikai Nyudo.\I have been traveling across the land in search of my long lost sister.\I bet your sister's a monster. response:	She's not here. Go try somewhere else.
context: I am on a holy journey.\Behold!\I am searching for my younger sister.\That's obviously a personal journey.\My name is Miyoshi Seikai Nyudo.\I have been traveling across the land in search of my long lost sister.\I bet your sister's a monster.\She's not here. Go try somewhere else. response:	I see.
context: Behold!\I am searching for my younger sister.\That's obviously a personal journey.\My name is Miyoshi Seikai Nyudo.\I have been traveling across the land in search of my long lost sister.\I bet your sister's a monster.\She's not here. Go try somewhere else.\I see. response:	I'm surprised he accepted that.
context: I am searching for my younger sister.\That's obviously a personal journey.\My name is Miyoshi Seikai Nyudo.\I have been traveling across the land in search of my long lost sister.\I bet your sister's a monster.\She's not here. Go try somewhere else.\I see.\I'm surprised he accepted that. response:	Hold it right there.
context: That's obviously a personal journey.\My name is Miyoshi Seikai Nyudo.\I have been traveling across the land in search of my long lost sister.\I bet your sister's a monster.\She's not here. Go try somewhere else.\I see.\I'm surprised he accepted that.\Hold it right there. response:	I cannot let a brute like you walk free.
context: My name is Miyoshi Seikai Nyudo.\I have been traveling across the land in search of my long lost sister.\I bet your sister's a monster.\She's not here. Go try somewhere else.\I see.\I'm surprised he accepted that.\Hold it right there.\I cannot let a brute like you walk free. response:	Kakei-san, you'll just complicate things.
context: I have been traveling across the land in search of my long lost sister.\I bet your sister's a monster.\She's not here. Go try somewhere else.\I see.\I'm surprised he accepted that.\Hold it right there.\I cannot let a brute like you walk free.\Kakei-san, you'll just complicate things. response:	Stay and work to pay for your food and the property you destroyed.
context: I bet your sister's a monster.\She's not here. Go try somewhere else.\I see.\I'm surprised he accepted that.\Hold it right there.\I cannot let a brute like you walk free.\Kakei-san, you'll just complicate things.\Stay and work to pay for your food and the property you destroyed. response:	Pay for them with your own money.
context: She's not here. Go try somewhere else.\I see.\I'm surprised he accepted that.\Hold it right there.\I cannot let a brute like you walk free.\Kakei-san, you'll just complicate things.\Stay and work to pay for your food and the property you destroyed.\Pay for them with your own money. response:	If you had not been knocked off your feet so easily and broken the wall,
context: I see.\I'm surprised he accepted that.\Hold it right there.\I cannot let a brute like you walk free.\Kakei-san, you'll just complicate things.\Stay and work to pay for your food and the property you destroyed.\Pay for them with your own money.\If you had not been knocked off your feet so easily and broken the wall, response:	this never would have happened.
context: I'm surprised he accepted that.\Hold it right there.\I cannot let a brute like you walk free.\Kakei-san, you'll just complicate things.\Stay and work to pay for your food and the property you destroyed.\Pay for them with your own money.\If you had not been knocked off your feet so easily and broken the wall,\this never would have happened. response:	What did you say?
context: Hold it right there.\I cannot let a brute like you walk free.\Kakei-san, you'll just complicate things.\Stay and work to pay for your food and the property you destroyed.\Pay for them with your own money.\If you had not been knocked off your feet so easily and broken the wall,\this never would have happened.\What did you say? response:	You are too weak.
context: I cannot let a brute like you walk free.\Kakei-san, you'll just complicate things.\Stay and work to pay for your food and the property you destroyed.\Pay for them with your own money.\If you had not been knocked off your feet so easily and broken the wall,\this never would have happened.\What did you say?\You are too weak. response:	I have had enough of your insolence!
context: Kakei-san, you'll just complicate things.\Stay and work to pay for your food and the property you destroyed.\Pay for them with your own money.\If you had not been knocked off your feet so easily and broken the wall,\this never would have happened.\What did you say?\You are too weak.\I have had enough of your insolence! response:	Kakei-san.
context: Stay and work to pay for your food and the property you destroyed.\Pay for them with your own money.\If you had not been knocked off your feet so easily and broken the wall,\this never would have happened.\What did you say?\You are too weak.\I have had enough of your insolence!\Kakei-san. response:	I will show you which of us is weak.
context: Pay for them with your own money.\If you had not been knocked off your feet so easily and broken the wall,\this never would have happened.\What did you say?\You are too weak.\I have had enough of your insolence!\Kakei-san.\I will show you which of us is weak. response:	Forget about this moron.
context: If you had not been knocked off your feet so easily and broken the wall,\this never would have happened.\What did you say?\You are too weak.\I have had enough of your insolence!\Kakei-san.\I will show you which of us is weak.\Forget about this moron. response:	A warrior cannot allow himself to be insulted.
context: this never would have happened.\What did you say?\You are too weak.\I have had enough of your insolence!\Kakei-san.\I will show you which of us is weak.\Forget about this moron.\A warrior cannot allow himself to be insulted. response:	I will beat some sense into him.
context: What did you say?\You are too weak.\I have had enough of your insolence!\Kakei-san.\I will show you which of us is weak.\Forget about this moron.\A warrior cannot allow himself to be insulted.\I will beat some sense into him. response:	It is a sin to point a gun at the Buddha.
context: You are too weak.\I have had enough of your insolence!\Kakei-san.\I will show you which of us is weak.\Forget about this moron.\A warrior cannot allow himself to be insulted.\I will beat some sense into him.\It is a sin to point a gun at the Buddha. response:	You're no Buddha!
context: I have had enough of your insolence!\Kakei-san.\I will show you which of us is weak.\Forget about this moron.\A warrior cannot allow himself to be insulted.\I will beat some sense into him.\It is a sin to point a gun at the Buddha.\You're no Buddha! response:	S-Sa-Saaya?
context: Kakei-san.\I will show you which of us is weak.\Forget about this moron.\A warrior cannot allow himself to be insulted.\I will beat some sense into him.\It is a sin to point a gun at the Buddha.\You're no Buddha!\S-Sa-Saaya? response:	He bent a gun with his bare hands.
context: I will show you which of us is weak.\Forget about this moron.\A warrior cannot allow himself to be insulted.\I will beat some sense into him.\It is a sin to point a gun at the Buddha.\You're no Buddha!\S-Sa-Saaya?\He bent a gun with his bare hands. response:	Wait a minute...
context: Forget about this moron.\A warrior cannot allow himself to be insulted.\I will beat some sense into him.\It is a sin to point a gun at the Buddha.\You're no Buddha!\S-Sa-Saaya?\He bent a gun with his bare hands.\Wait a minute... response:	You named your gun, Kakei-san?
context: A warrior cannot allow himself to be insulted.\I will beat some sense into him.\It is a sin to point a gun at the Buddha.\You're no Buddha!\S-Sa-Saaya?\He bent a gun with his bare hands.\Wait a minute...\You named your gun, Kakei-san? response:	Watch out!
context: I will beat some sense into him.\It is a sin to point a gun at the Buddha.\You're no Buddha!\S-Sa-Saaya?\He bent a gun with his bare hands.\Wait a minute...\You named your gun, Kakei-san?\Watch out! response:	Tenbatsu!
context: It is a sin to point a gun at the Buddha.\You're no Buddha!\S-Sa-Saaya?\He bent a gun with his bare hands.\Wait a minute...\You named your gun, Kakei-san?\Watch out!\Tenbatsu! response:	That's enough, monk.
context: You're no Buddha!\S-Sa-Saaya?\He bent a gun with his bare hands.\Wait a minute...\You named your gun, Kakei-san?\Watch out!\Tenbatsu!\That's enough, monk. response:	Obediently accept your divine judgment!
context: S-Sa-Saaya?\He bent a gun with his bare hands.\Wait a minute...\You named your gun, Kakei-san?\Watch out!\Tenbatsu!\That's enough, monk.\Obediently accept your divine judgment! response:	Cut the crap!
context: He bent a gun with his bare hands.\Wait a minute...\You named your gun, Kakei-san?\Watch out!\Tenbatsu!\That's enough, monk.\Obediently accept your divine judgment!\Cut the crap! response:	He deflected them with his muscles?
context: Wait a minute...\You named your gun, Kakei-san?\Watch out!\Tenbatsu!\That's enough, monk.\Obediently accept your divine judgment!\Cut the crap!\He deflected them with his muscles? response:	You must seek the wrath of the gods.
context: You named your gun, Kakei-san?\Watch out!\Tenbatsu!\That's enough, monk.\Obediently accept your divine judgment!\Cut the crap!\He deflected them with his muscles?\You must seek the wrath of the gods. response:	I will grant you your wish and destroy you with the power of the Buddha.
context: Watch out!\Tenbatsu!\That's enough, monk.\Obediently accept your divine judgment!\Cut the crap!\He deflected them with his muscles?\You must seek the wrath of the gods.\I will grant you your wish and destroy you with the power of the Buddha. response:	Kakei-san!
context: Tenbatsu!\That's enough, monk.\Obediently accept your divine judgment!\Cut the crap!\He deflected them with his muscles?\You must seek the wrath of the gods.\I will grant you your wish and destroy you with the power of the Buddha.\Kakei-san! response:	Saaya, what did he do to your beautiful body?
context: That's enough, monk.\Obediently accept your divine judgment!\Cut the crap!\He deflected them with his muscles?\You must seek the wrath of the gods.\I will grant you your wish and destroy you with the power of the Buddha.\Kakei-san!\Saaya, what did he do to your beautiful body? response:	He's hopeless.
context: Obediently accept your divine judgment!\Cut the crap!\He deflected them with his muscles?\You must seek the wrath of the gods.\I will grant you your wish and destroy you with the power of the Buddha.\Kakei-san!\Saaya, what did he do to your beautiful body?\He's hopeless. response:	Rokkon Shojo!
context: Cut the crap!\He deflected them with his muscles?\You must seek the wrath of the gods.\I will grant you your wish and destroy you with the power of the Buddha.\Kakei-san!\Saaya, what did he do to your beautiful body?\He's hopeless.\Rokkon Shojo! response:	Namu Amida Butsu!
context: He deflected them with his muscles?\You must seek the wrath of the gods.\I will grant you your wish and destroy you with the power of the Buddha.\Kakei-san!\Saaya, what did he do to your beautiful body?\He's hopeless.\Rokkon Shojo!\Namu Amida Butsu! response:	You monster!
context: You must seek the wrath of the gods.\I will grant you your wish and destroy you with the power of the Buddha.\Kakei-san!\Saaya, what did he do to your beautiful body?\He's hopeless.\Rokkon Shojo!\Namu Amida Butsu!\You monster! response:	Looks like you're having fun.
context: I will grant you your wish and destroy you with the power of the Buddha.\Kakei-san!\Saaya, what did he do to your beautiful body?\He's hopeless.\Rokkon Shojo!\Namu Amida Butsu!\You monster!\Looks like you're having fun. response:	Let me in on the party, Saizo. You owe me one.
context: Kakei-san!\Saaya, what did he do to your beautiful body?\He's hopeless.\Rokkon Shojo!\Namu Amida Butsu!\You monster!\Looks like you're having fun.\Let me in on the party, Saizo. You owe me one. response:	Kamanosuke, let go!
context: Saaya, what did he do to your beautiful body?\He's hopeless.\Rokkon Shojo!\Namu Amida Butsu!\You monster!\Looks like you're having fun.\Let me in on the party, Saizo. You owe me one.\Kamanosuke, let go! response:	Huh?
context: He's hopeless.\Rokkon Shojo!\Namu Amida Butsu!\You monster!\Looks like you're having fun.\Let me in on the party, Saizo. You owe me one.\Kamanosuke, let go!\Huh? response:	Are you a friend of these heretics?
context: Rokkon Shojo!\Namu Amida Butsu!\You monster!\Looks like you're having fun.\Let me in on the party, Saizo. You owe me one.\Kamanosuke, let go!\Huh?\Are you a friend of these heretics? response:	I will teach you the way, so come down here!
context: Namu Amida Butsu!\You monster!\Looks like you're having fun.\Let me in on the party, Saizo. You owe me one.\Kamanosuke, let go!\Huh?\Are you a friend of these heretics?\I will teach you the way, so come down here! response:	Bastard.
context: You monster!\Looks like you're having fun.\Let me in on the party, Saizo. You owe me one.\Kamanosuke, let go!\Huh?\Are you a friend of these heretics?\I will teach you the way, so come down here!\Bastard. response:	You can't beat his strength. Let go!
context: Looks like you're having fun.\Let me in on the party, Saizo. You owe me one.\Kamanosuke, let go!\Huh?\Are you a friend of these heretics?\I will teach you the way, so come down here!\Bastard.\You can't beat his strength. Let go! response:	Repent!
context: Let me in on the party, Saizo. You owe me one.\Kamanosuke, let go!\Huh?\Are you a friend of these heretics?\I will teach you the way, so come down here!\Bastard.\You can't beat his strength. Let go!\Repent! response:	Ow.
context: Kamanosuke, let go!\Huh?\Are you a friend of these heretics?\I will teach you the way, so come down here!\Bastard.\You can't beat his strength. Let go!\Repent!\Ow. response:	You muscle head!
context: Huh?\Are you a friend of these heretics?\I will teach you the way, so come down here!\Bastard.\You can't beat his strength. Let go!\Repent!\Ow.\You muscle head! response:	I told you to let go.
context: Are you a friend of these heretics?\I will teach you the way, so come down here!\Bastard.\You can't beat his strength. Let go!\Repent!\Ow.\You muscle head!\I told you to let go. response:	Begone, evil spirits!
context: I will teach you the way, so come down here!\Bastard.\You can't beat his strength. Let go!\Repent!\Ow.\You muscle head!\I told you to let go.\Begone, evil spirits! response:	You unscrupulous moron.
context: Bastard.\You can't beat his strength. Let go!\Repent!\Ow.\You muscle head!\I told you to let go.\Begone, evil spirits!\You unscrupulous moron. response:	Where do you think you are?
context: You can't beat his strength. Let go!\Repent!\Ow.\You muscle head!\I told you to let go.\Begone, evil spirits!\You unscrupulous moron.\Where do you think you are? response:	They keep coming one after another.
context: Repent!\Ow.\You muscle head!\I told you to let go.\Begone, evil spirits!\You unscrupulous moron.\Where do you think you are?\They keep coming one after another. response:	What is this? Am I being tested?
context: Ow.\You muscle head!\I told you to let go.\Begone, evil spirits!\You unscrupulous moron.\Where do you think you are?\They keep coming one after another.\What is this? Am I being tested? response:	That's it. I hear the voice of the gods.
context: You muscle head!\I told you to let go.\Begone, evil spirits!\You unscrupulous moron.\Where do you think you are?\They keep coming one after another.\What is this? Am I being tested?\That's it. I hear the voice of the gods. response:	I must overcome this obstacle and improve myself.
context: I told you to let go.\Begone, evil spirits!\You unscrupulous moron.\Where do you think you are?\They keep coming one after another.\What is this? Am I being tested?\That's it. I hear the voice of the gods.\I must overcome this obstacle and improve myself. response:	Gods, I accept your challenge!
context: Begone, evil spirits!\You unscrupulous moron.\Where do you think you are?\They keep coming one after another.\What is this? Am I being tested?\That's it. I hear the voice of the gods.\I must overcome this obstacle and improve myself.\Gods, I accept your challenge! response:	This guy doesn't make any sense, but he's not someone to mess with.
context: You unscrupulous moron.\Where do you think you are?\They keep coming one after another.\What is this? Am I being tested?\That's it. I hear the voice of the gods.\I must overcome this obstacle and improve myself.\Gods, I accept your challenge!\This guy doesn't make any sense, but he's not someone to mess with. response:	My, my. What's going on here?
context: Where do you think you are?\They keep coming one after another.\What is this? Am I being tested?\That's it. I hear the voice of the gods.\I must overcome this obstacle and improve myself.\Gods, I accept your challenge!\This guy doesn't make any sense, but he's not someone to mess with.\My, my. What's going on here? response:	Ana.
context: They keep coming one after another.\What is this? Am I being tested?\That's it. I hear the voice of the gods.\I must overcome this obstacle and improve myself.\Gods, I accept your challenge!\This guy doesn't make any sense, but he's not someone to mess with.\My, my. What's going on here?\Ana. response:	I thought I heard fighting.
context: What is this? Am I being tested?\That's it. I hear the voice of the gods.\I must overcome this obstacle and improve myself.\Gods, I accept your challenge!\This guy doesn't make any sense, but he's not someone to mess with.\My, my. What's going on here?\Ana.\I thought I heard fighting. response:	If you don't do something soon, the inn will be destroyed.
context: That's it. I hear the voice of the gods.\I must overcome this obstacle and improve myself.\Gods, I accept your challenge!\This guy doesn't make any sense, but he's not someone to mess with.\My, my. What's going on here?\Ana.\I thought I heard fighting.\If you don't do something soon, the inn will be destroyed. response:	Then help us.
context: I must overcome this obstacle and improve myself.\Gods, I accept your challenge!\This guy doesn't make any sense, but he's not someone to mess with.\My, my. What's going on here?\Ana.\I thought I heard fighting.\If you don't do something soon, the inn will be destroyed.\Then help us. response:	No.
