context: Right, I'll tell her later. response:	Because there are too little of clow cards that can talk.
context: I'm thinking we should go buy it today.\I want to go too!\Yukito-san isn't coming? What's wrong?\Then at 4:00 I'll come here and wait for you.\I'll see you at 4.\Morning.\Morning Yuki.\Hey Yuki, Yuki' response:	Touya, morning
context: I want to go too!\Yukito-san isn't coming? What's wrong?\Then at 4:00 I'll come here and wait for you.\I'll see you at 4.\Morning.\Morning Yuki.\Hey Yuki, Yuki'\Touya, morning response:	You came here early?
context: Yukito-san isn't coming? What's wrong?\Then at 4:00 I'll come here and wait for you.\I'll see you at 4.\Morning.\Morning Yuki.\Hey Yuki, Yuki'\Touya, morning\You came here early? response:	Because I am very tired.
context: Then at 4:00 I'll come here and wait for you.\I'll see you at 4.\Morning.\Morning Yuki.\Hey Yuki, Yuki'\Touya, morning\You came here early?\Because I am very tired. response:	So I came early to sleep.
context: I'll see you at 4.\Morning.\Morning Yuki.\Hey Yuki, Yuki'\Touya, morning\You came here early?\Because I am very tired.\So I came early to sleep. response:	Yuki, Yuki,
context: Morning.\Morning Yuki.\Hey Yuki, Yuki'\Touya, morning\You came here early?\Because I am very tired.\So I came early to sleep.\Yuki, Yuki, response:	' YUKI!' What'
context: Morning Yuki.\Hey Yuki, Yuki'\Touya, morning\You came here early?\Because I am very tired.\So I came early to sleep.\Yuki, Yuki,\' YUKI!' What' response:	If you keep on acting this way then you will fall.
context: Hey Yuki, Yuki'\Touya, morning\You came here early?\Because I am very tired.\So I came early to sleep.\Yuki, Yuki,\' YUKI!' What'\If you keep on acting this way then you will fall. response:	Yuki, you are'
context: Touya, morning\You came here early?\Because I am very tired.\So I came early to sleep.\Yuki, Yuki,\' YUKI!' What'\If you keep on acting this way then you will fall.\Yuki, you are' response:	' GOOD MORNING!' What do you want?
context: You came here early?\Because I am very tired.\So I came early to sleep.\Yuki, Yuki,\' YUKI!' What'\If you keep on acting this way then you will fall.\Yuki, you are'\' GOOD MORNING!' What do you want? response:	I really wanted to see you, Touya-kun!
context: Because I am very tired.\So I came early to sleep.\Yuki, Yuki,\' YUKI!' What'\If you keep on acting this way then you will fall.\Yuki, you are'\' GOOD MORNING!' What do you want?\I really wanted to see you, Touya-kun! response:	You saw me yesterday at school.
context: So I came early to sleep.\Yuki, Yuki,\' YUKI!' What'\If you keep on acting this way then you will fall.\Yuki, you are'\' GOOD MORNING!' What do you want?\I really wanted to see you, Touya-kun!\You saw me yesterday at school. response:	But I haven't seen you in the last 12 hours!
context: Yuki, Yuki,\' YUKI!' What'\If you keep on acting this way then you will fall.\Yuki, you are'\' GOOD MORNING!' What do you want?\I really wanted to see you, Touya-kun!\You saw me yesterday at school.\But I haven't seen you in the last 12 hours! response:	Did you sleep well?
context: ' YUKI!' What'\If you keep on acting this way then you will fall.\Yuki, you are'\' GOOD MORNING!' What do you want?\I really wanted to see you, Touya-kun!\You saw me yesterday at school.\But I haven't seen you in the last 12 hours!\Did you sleep well? response:	' Stop holding on to me! Let go!' I don't want to!
context: If you keep on acting this way then you will fall.\Yuki, you are'\' GOOD MORNING!' What do you want?\I really wanted to see you, Touya-kun!\You saw me yesterday at school.\But I haven't seen you in the last 12 hours!\Did you sleep well?\' Stop holding on to me! Let go!' I don't want to! response:	Morning!
context: Yuki, you are'\' GOOD MORNING!' What do you want?\I really wanted to see you, Touya-kun!\You saw me yesterday at school.\But I haven't seen you in the last 12 hours!\Did you sleep well?\' Stop holding on to me! Let go!' I don't want to!\Morning! response:	Shao Lan-kun, you wrote my name on the board?
context: ' GOOD MORNING!' What do you want?\I really wanted to see you, Touya-kun!\You saw me yesterday at school.\But I haven't seen you in the last 12 hours!\Did you sleep well?\' Stop holding on to me! Let go!' I don't want to!\Morning!\Shao Lan-kun, you wrote my name on the board? response:	Yeah.
context: I really wanted to see you, Touya-kun!\You saw me yesterday at school.\But I haven't seen you in the last 12 hours!\Did you sleep well?\' Stop holding on to me! Let go!' I don't want to!\Morning!\Shao Lan-kun, you wrote my name on the board?\Yeah. response:	Right, Mei Lin-chan wrote me a note.
context: You saw me yesterday at school.\But I haven't seen you in the last 12 hours!\Did you sleep well?\' Stop holding on to me! Let go!' I don't want to!\Morning!\Shao Lan-kun, you wrote my name on the board?\Yeah.\Right, Mei Lin-chan wrote me a note. response:	She wrote'
context: But I haven't seen you in the last 12 hours!\Did you sleep well?\' Stop holding on to me! Let go!' I don't want to!\Morning!\Shao Lan-kun, you wrote my name on the board?\Yeah.\Right, Mei Lin-chan wrote me a note.\She wrote' response:	She wrote this. What does this mean?
context: Did you sleep well?\' Stop holding on to me! Let go!' I don't want to!\Morning!\Shao Lan-kun, you wrote my name on the board?\Yeah.\Right, Mei Lin-chan wrote me a note.\She wrote'\She wrote this. What does this mean? response:	It means my very good friend.
context: ' Stop holding on to me! Let go!' I don't want to!\Morning!\Shao Lan-kun, you wrote my name on the board?\Yeah.\Right, Mei Lin-chan wrote me a note.\She wrote'\She wrote this. What does this mean?\It means my very good friend. response:	I have to hurry and write her back!
context: Morning!\Shao Lan-kun, you wrote my name on the board?\Yeah.\Right, Mei Lin-chan wrote me a note.\She wrote'\She wrote this. What does this mean?\It means my very good friend.\I have to hurry and write her back! response:	Right,
context: Shao Lan-kun, you wrote my name on the board?\Yeah.\Right, Mei Lin-chan wrote me a note.\She wrote'\She wrote this. What does this mean?\It means my very good friend.\I have to hurry and write her back!\Right, response:	does Hong Kong celebrate Christmas?
context: Yeah.\Right, Mei Lin-chan wrote me a note.\She wrote'\She wrote this. What does this mean?\It means my very good friend.\I have to hurry and write her back!\Right,\does Hong Kong celebrate Christmas? response:	Do you give Christmas presents?
context: Right, Mei Lin-chan wrote me a note.\She wrote'\She wrote this. What does this mean?\It means my very good friend.\I have to hurry and write her back!\Right,\does Hong Kong celebrate Christmas?\Do you give Christmas presents? response:	You give them to your good friends.
context: She wrote'\She wrote this. What does this mean?\It means my very good friend.\I have to hurry and write her back!\Right,\does Hong Kong celebrate Christmas?\Do you give Christmas presents?\You give them to your good friends. response:	Then I'll give a Christmas present to you!
context: She wrote this. What does this mean?\It means my very good friend.\I have to hurry and write her back!\Right,\does Hong Kong celebrate Christmas?\Do you give Christmas presents?\You give them to your good friends.\Then I'll give a Christmas present to you! response:	But my allowance is very small
context: It means my very good friend.\I have to hurry and write her back!\Right,\does Hong Kong celebrate Christmas?\Do you give Christmas presents?\You give them to your good friends.\Then I'll give a Christmas present to you!\But my allowance is very small response:	so I can only give small things.
context: I have to hurry and write her back!\Right,\does Hong Kong celebrate Christmas?\Do you give Christmas presents?\You give them to your good friends.\Then I'll give a Christmas present to you!\But my allowance is very small\so I can only give small things. response:	What?
context: Right,\does Hong Kong celebrate Christmas?\Do you give Christmas presents?\You give them to your good friends.\Then I'll give a Christmas present to you!\But my allowance is very small\so I can only give small things.\What? response:	Um' I'
context: does Hong Kong celebrate Christmas?\Do you give Christmas presents?\You give them to your good friends.\Then I'll give a Christmas present to you!\But my allowance is very small\so I can only give small things.\What?\Um' I' response:	Talking about Christmas presents'
context: Do you give Christmas presents?\You give them to your good friends.\Then I'll give a Christmas present to you!\But my allowance is very small\so I can only give small things.\What?\Um' I'\Talking about Christmas presents' response:	Before they kept Christmas trees outside.
context: You give them to your good friends.\Then I'll give a Christmas present to you!\But my allowance is very small\so I can only give small things.\What?\Um' I'\Talking about Christmas presents'\Before they kept Christmas trees outside. response:	Then on top they put a lot of good food.
context: Then I'll give a Christmas present to you!\But my allowance is very small\so I can only give small things.\What?\Um' I'\Talking about Christmas presents'\Before they kept Christmas trees outside.\Then on top they put a lot of good food. response:	But outside is so cold,
context: But my allowance is very small\so I can only give small things.\What?\Um' I'\Talking about Christmas presents'\Before they kept Christmas trees outside.\Then on top they put a lot of good food.\But outside is so cold, response:	won't the food freeze?
context: so I can only give small things.\What?\Um' I'\Talking about Christmas presents'\Before they kept Christmas trees outside.\Then on top they put a lot of good food.\But outside is so cold,\won't the food freeze? response:	Right,
context: What?\Um' I'\Talking about Christmas presents'\Before they kept Christmas trees outside.\Then on top they put a lot of good food.\But outside is so cold,\won't the food freeze?\Right, response:	That's why they made frozen food.
context: Um' I'\Talking about Christmas presents'\Before they kept Christmas trees outside.\Then on top they put a lot of good food.\But outside is so cold,\won't the food freeze?\Right,\That's why they made frozen food. response:	Cake is also ice cream cake'
context: Talking about Christmas presents'\Before they kept Christmas trees outside.\Then on top they put a lot of good food.\But outside is so cold,\won't the food freeze?\Right,\That's why they made frozen food.\Cake is also ice cream cake' response:	I will look around.
context: Before they kept Christmas trees outside.\Then on top they put a lot of good food.\But outside is so cold,\won't the food freeze?\Right,\That's why they made frozen food.\Cake is also ice cream cake'\I will look around. response:	Where will Sakura-san play?
context: Then on top they put a lot of good food.\But outside is so cold,\won't the food freeze?\Right,\That's why they made frozen food.\Cake is also ice cream cake'\I will look around.\Where will Sakura-san play? response:	Do you want me to help get your dad's present?
context: But outside is so cold,\won't the food freeze?\Right,\That's why they made frozen food.\Cake is also ice cream cake'\I will look around.\Where will Sakura-san play?\Do you want me to help get your dad's present? response:	Brother is going is waiting for me.
context: won't the food freeze?\Right,\That's why they made frozen food.\Cake is also ice cream cake'\I will look around.\Where will Sakura-san play?\Do you want me to help get your dad's present?\Brother is going is waiting for me. response:	Sorry, but I can't go shopping with you.
context: Right,\That's why they made frozen food.\Cake is also ice cream cake'\I will look around.\Where will Sakura-san play?\Do you want me to help get your dad's present?\Brother is going is waiting for me.\Sorry, but I can't go shopping with you. response:	I'm also going to be busy so don't be worried!
context: That's why they made frozen food.\Cake is also ice cream cake'\I will look around.\Where will Sakura-san play?\Do you want me to help get your dad's present?\Brother is going is waiting for me.\Sorry, but I can't go shopping with you.\I'm also going to be busy so don't be worried! response:	Doing what?
context: Cake is also ice cream cake'\I will look around.\Where will Sakura-san play?\Do you want me to help get your dad's present?\Brother is going is waiting for me.\Sorry, but I can't go shopping with you.\I'm also going to be busy so don't be worried!\Doing what? response:	Because its about to be Christmas!
context: I will look around.\Where will Sakura-san play?\Do you want me to help get your dad's present?\Brother is going is waiting for me.\Sorry, but I can't go shopping with you.\I'm also going to be busy so don't be worried!\Doing what?\Because its about to be Christmas! response:	I have to get a present for you!
context: Where will Sakura-san play?\Do you want me to help get your dad's present?\Brother is going is waiting for me.\Sorry, but I can't go shopping with you.\I'm also going to be busy so don't be worried!\Doing what?\Because its about to be Christmas!\I have to get a present for you! response:	Christmas Present! I'll make a very good video tape of Sakura-chan
context: Do you want me to help get your dad's present?\Brother is going is waiting for me.\Sorry, but I can't go shopping with you.\I'm also going to be busy so don't be worried!\Doing what?\Because its about to be Christmas!\I have to get a present for you!\Christmas Present! I'll make a very good video tape of Sakura-chan response:	I have to hurry and finish taping!
context: Brother is going is waiting for me.\Sorry, but I can't go shopping with you.\I'm also going to be busy so don't be worried!\Doing what?\Because its about to be Christmas!\I have to get a present for you!\Christmas Present! I'll make a very good video tape of Sakura-chan\I have to hurry and finish taping! response:	You don't really want to make that'
