context: I was so worried... response:	I thought you weren't coming back anymore, Kagome.
context: We must not leave your father and the others in this tainted ground.\Miroku...\We will find another burial ground for them and offer prayers.\Is that all right?\Yes, thank you.\Miroku.\So this is where Naraku's castle was... But what of its occupants?\Sango's brother, Kohaku... who was controlled by Naraku. response:	Did he perish with the castle?
context: Miroku...\We will find another burial ground for them and offer prayers.\Is that all right?\Yes, thank you.\Miroku.\So this is where Naraku's castle was... But what of its occupants?\Sango's brother, Kohaku... who was controlled by Naraku.\Did he perish with the castle? response:	Here, at least, wild dogs won't dig up their graves.
context: We will find another burial ground for them and offer prayers.\Is that all right?\Yes, thank you.\Miroku.\So this is where Naraku's castle was... But what of its occupants?\Sango's brother, Kohaku... who was controlled by Naraku.\Did he perish with the castle?\Here, at least, wild dogs won't dig up their graves. response:	Let this be your resting place for now.
context: Is that all right?\Yes, thank you.\Miroku.\So this is where Naraku's castle was... But what of its occupants?\Sango's brother, Kohaku... who was controlled by Naraku.\Did he perish with the castle?\Here, at least, wild dogs won't dig up their graves.\Let this be your resting place for now. response:	Someday, I promise to erect proper graves for you in our village.
context: Yes, thank you.\Miroku.\So this is where Naraku's castle was... But what of its occupants?\Sango's brother, Kohaku... who was controlled by Naraku.\Did he perish with the castle?\Here, at least, wild dogs won't dig up their graves.\Let this be your resting place for now.\Someday, I promise to erect proper graves for you in our village. response:	The village is abandoned now.
context: Miroku.\So this is where Naraku's castle was... But what of its occupants?\Sango's brother, Kohaku... who was controlled by Naraku.\Did he perish with the castle?\Here, at least, wild dogs won't dig up their graves.\Let this be your resting place for now.\Someday, I promise to erect proper graves for you in our village.\The village is abandoned now. response:	But Kohaku and I are still alive.
context: So this is where Naraku's castle was... But what of its occupants?\Sango's brother, Kohaku... who was controlled by Naraku.\Did he perish with the castle?\Here, at least, wild dogs won't dig up their graves.\Let this be your resting place for now.\Someday, I promise to erect proper graves for you in our village.\The village is abandoned now.\But Kohaku and I are still alive. response:	If we both watch over the graves...
context: Sango's brother, Kohaku... who was controlled by Naraku.\Did he perish with the castle?\Here, at least, wild dogs won't dig up their graves.\Let this be your resting place for now.\Someday, I promise to erect proper graves for you in our village.\The village is abandoned now.\But Kohaku and I are still alive.\If we both watch over the graves... response:	But Kohaku is...
context: Did he perish with the castle?\Here, at least, wild dogs won't dig up their graves.\Let this be your resting place for now.\Someday, I promise to erect proper graves for you in our village.\The village is abandoned now.\But Kohaku and I are still alive.\If we both watch over the graves...\But Kohaku is... response:	Here!
context: Here, at least, wild dogs won't dig up their graves.\Let this be your resting place for now.\Someday, I promise to erect proper graves for you in our village.\The village is abandoned now.\But Kohaku and I are still alive.\If we both watch over the graves...\But Kohaku is...\Here! response:	Ohh!
context: Let this be your resting place for now.\Someday, I promise to erect proper graves for you in our village.\The village is abandoned now.\But Kohaku and I are still alive.\If we both watch over the graves...\But Kohaku is...\Here!\Ohh! response:	Kid, you're pretty good!
context: Someday, I promise to erect proper graves for you in our village.\The village is abandoned now.\But Kohaku and I are still alive.\If we both watch over the graves...\But Kohaku is...\Here!\Ohh!\Kid, you're pretty good! response:	You're amazing!
context: The village is abandoned now.\But Kohaku and I are still alive.\If we both watch over the graves...\But Kohaku is...\Here!\Ohh!\Kid, you're pretty good!\You're amazing! response:	I'll say!
context: But Kohaku and I are still alive.\If we both watch over the graves...\But Kohaku is...\Here!\Ohh!\Kid, you're pretty good!\You're amazing!\I'll say! response:	You've totally entertained us.
context: If we both watch over the graves...\But Kohaku is...\Here!\Ohh!\Kid, you're pretty good!\You're amazing!\I'll say!\You've totally entertained us. response:	On top of which, you helped cut firewood.
context: But Kohaku is...\Here!\Ohh!\Kid, you're pretty good!\You're amazing!\I'll say!\You've totally entertained us.\On top of which, you helped cut firewood. response:	Nothing to it!
context: Here!\Ohh!\Kid, you're pretty good!\You're amazing!\I'll say!\You've totally entertained us.\On top of which, you helped cut firewood.\Nothing to it! response:	You must be tired. Come inside and rest.
context: Ohh!\Kid, you're pretty good!\You're amazing!\I'll say!\You've totally entertained us.\On top of which, you helped cut firewood.\Nothing to it!\You must be tired. Come inside and rest. response:	Thanks.
context: Kid, you're pretty good!\You're amazing!\I'll say!\You've totally entertained us.\On top of which, you helped cut firewood.\Nothing to it!\You must be tired. Come inside and rest.\Thanks. response:	Well? Did you remember anything?
context: You're amazing!\I'll say!\You've totally entertained us.\On top of which, you helped cut firewood.\Nothing to it!\You must be tired. Come inside and rest.\Thanks.\Well? Did you remember anything? response:	Uh-uh... I don't know.
context: I'll say!\You've totally entertained us.\On top of which, you helped cut firewood.\Nothing to it!\You must be tired. Come inside and rest.\Thanks.\Well? Did you remember anything?\Uh-uh... I don't know. response:	Where'd you come from?
context: You've totally entertained us.\On top of which, you helped cut firewood.\Nothing to it!\You must be tired. Come inside and rest.\Thanks.\Well? Did you remember anything?\Uh-uh... I don't know.\Where'd you come from? response:	Or at least your name?
context: On top of which, you helped cut firewood.\Nothing to it!\You must be tired. Come inside and rest.\Thanks.\Well? Did you remember anything?\Uh-uh... I don't know.\Where'd you come from?\Or at least your name? response:	Maybe, you...
context: Nothing to it!\You must be tired. Come inside and rest.\Thanks.\Well? Did you remember anything?\Uh-uh... I don't know.\Where'd you come from?\Or at least your name?\Maybe, you... response:	used to live close to the castle?
context: You must be tired. Come inside and rest.\Thanks.\Well? Did you remember anything?\Uh-uh... I don't know.\Where'd you come from?\Or at least your name?\Maybe, you...\used to live close to the castle? response:	Castle?
context: Thanks.\Well? Did you remember anything?\Uh-uh... I don't know.\Where'd you come from?\Or at least your name?\Maybe, you...\used to live close to the castle?\Castle? response:	About ten days ago...
context: Well? Did you remember anything?\Uh-uh... I don't know.\Where'd you come from?\Or at least your name?\Maybe, you...\used to live close to the castle?\Castle?\About ten days ago... response:	Lord Hitomi's castle suddenly disappeared into thin air.
context: Uh-uh... I don't know.\Where'd you come from?\Or at least your name?\Maybe, you...\used to live close to the castle?\Castle?\About ten days ago...\Lord Hitomi's castle suddenly disappeared into thin air. response:	And we found you unconscious the next day.
context: Where'd you come from?\Or at least your name?\Maybe, you...\used to live close to the castle?\Castle?\About ten days ago...\Lord Hitomi's castle suddenly disappeared into thin air.\And we found you unconscious the next day. response:	Maybe something terribly frightening happened to you...
context: Or at least your name?\Maybe, you...\used to live close to the castle?\Castle?\About ten days ago...\Lord Hitomi's castle suddenly disappeared into thin air.\And we found you unconscious the next day.\Maybe something terribly frightening happened to you... response:	and you lost your memory.
context: Maybe, you...\used to live close to the castle?\Castle?\About ten days ago...\Lord Hitomi's castle suddenly disappeared into thin air.\And we found you unconscious the next day.\Maybe something terribly frightening happened to you...\and you lost your memory. response:	Well, never mind. No need to rush.
context: used to live close to the castle?\Castle?\About ten days ago...\Lord Hitomi's castle suddenly disappeared into thin air.\And we found you unconscious the next day.\Maybe something terribly frightening happened to you...\and you lost your memory.\Well, never mind. No need to rush. response:	Yes, yes. Just stay as long as you like, until you remember.
context: Castle?\About ten days ago...\Lord Hitomi's castle suddenly disappeared into thin air.\And we found you unconscious the next day.\Maybe something terribly frightening happened to you...\and you lost your memory.\Well, never mind. No need to rush.\Yes, yes. Just stay as long as you like, until you remember. response:	Look, there's lot more. Eat up.
context: About ten days ago...\Lord Hitomi's castle suddenly disappeared into thin air.\And we found you unconscious the next day.\Maybe something terribly frightening happened to you...\and you lost your memory.\Well, never mind. No need to rush.\Yes, yes. Just stay as long as you like, until you remember.\Look, there's lot more. Eat up. response:	Thank you.
context: Lord Hitomi's castle suddenly disappeared into thin air.\And we found you unconscious the next day.\Maybe something terribly frightening happened to you...\and you lost your memory.\Well, never mind. No need to rush.\Yes, yes. Just stay as long as you like, until you remember.\Look, there's lot more. Eat up.\Thank you. response:	Castle...
context: And we found you unconscious the next day.\Maybe something terribly frightening happened to you...\and you lost your memory.\Well, never mind. No need to rush.\Yes, yes. Just stay as long as you like, until you remember.\Look, there's lot more. Eat up.\Thank you.\Castle... response:	Yes, the castle.
context: Maybe something terribly frightening happened to you...\and you lost your memory.\Well, never mind. No need to rush.\Yes, yes. Just stay as long as you like, until you remember.\Look, there's lot more. Eat up.\Thank you.\Castle...\Yes, the castle. response:	I have a feeling I was there.
context: and you lost your memory.\Well, never mind. No need to rush.\Yes, yes. Just stay as long as you like, until you remember.\Look, there's lot more. Eat up.\Thank you.\Castle...\Yes, the castle.\I have a feeling I was there. response:	Huh?
context: Well, never mind. No need to rush.\Yes, yes. Just stay as long as you like, until you remember.\Look, there's lot more. Eat up.\Thank you.\Castle...\Yes, the castle.\I have a feeling I was there.\Huh? response:	Huh?!
context: Yes, yes. Just stay as long as you like, until you remember.\Look, there's lot more. Eat up.\Thank you.\Castle...\Yes, the castle.\I have a feeling I was there.\Huh?\Huh?! response:	Gramps! Granny!
context: Look, there's lot more. Eat up.\Thank you.\Castle...\Yes, the castle.\I have a feeling I was there.\Huh?\Huh?!\Gramps! Granny! response:	Huh?
context: Thank you.\Castle...\Yes, the castle.\I have a feeling I was there.\Huh?\Huh?!\Gramps! Granny!\Huh? response:	I have to go!
context: Castle...\Yes, the castle.\I have a feeling I was there.\Huh?\Huh?!\Gramps! Granny!\Huh?\I have to go! response:	Go where?
context: Yes, the castle.\I have a feeling I was there.\Huh?\Huh?!\Gramps! Granny!\Huh?\I have to go!\Go where? response:	I can't stay here!
context: I have a feeling I was there.\Huh?\Huh?!\Gramps! Granny!\Huh?\I have to go!\Go where?\I can't stay here! response:	It's dangerous, so don't go out!
context: Huh?\Huh?!\Gramps! Granny!\Huh?\I have to go!\Go where?\I can't stay here!\It's dangerous, so don't go out! response:	Thanks for everything!
context: Huh?!\Gramps! Granny!\Huh?\I have to go!\Go where?\I can't stay here!\It's dangerous, so don't go out!\Thanks for everything! response:	- Hey! - Hey you!
context: Gramps! Granny!\Huh?\I have to go!\Go where?\I can't stay here!\It's dangerous, so don't go out!\Thanks for everything!\- Hey! - Hey you! response:	That's it! I remember! I ran away from the castle!
context: Huh?\I have to go!\Go where?\I can't stay here!\It's dangerous, so don't go out!\Thanks for everything!\- Hey! - Hey you!\That's it! I remember! I ran away from the castle! response:	That night... when the castle disappeared...
context: I have to go!\Go where?\I can't stay here!\It's dangerous, so don't go out!\Thanks for everything!\- Hey! - Hey you!\That's it! I remember! I ran away from the castle!\That night... when the castle disappeared... response:	Kohaku, keeping you alive is no longer necessary.
context: Go where?\I can't stay here!\It's dangerous, so don't go out!\Thanks for everything!\- Hey! - Hey you!\That's it! I remember! I ran away from the castle!\That night... when the castle disappeared...\Kohaku, keeping you alive is no longer necessary. response:	You can join your father and the others.
context: I can't stay here!\It's dangerous, so don't go out!\Thanks for everything!\- Hey! - Hey you!\That's it! I remember! I ran away from the castle!\That night... when the castle disappeared...\Kohaku, keeping you alive is no longer necessary.\You can join your father and the others. response:	Kohaku?
context: It's dangerous, so don't go out!\Thanks for everything!\- Hey! - Hey you!\That's it! I remember! I ran away from the castle!\That night... when the castle disappeared...\Kohaku, keeping you alive is no longer necessary.\You can join your father and the others.\Kohaku? response:	My name is Kohaku?
context: Thanks for everything!\- Hey! - Hey you!\That's it! I remember! I ran away from the castle!\That night... when the castle disappeared...\Kohaku, keeping you alive is no longer necessary.\You can join your father and the others.\Kohaku?\My name is Kohaku? response:	What's the matter, Kirara?
context: - Hey! - Hey you!\That's it! I remember! I ran away from the castle!\That night... when the castle disappeared...\Kohaku, keeping you alive is no longer necessary.\You can join your father and the others.\Kohaku?\My name is Kohaku?\What's the matter, Kirara? response:	Demons nearby?
context: That's it! I remember! I ran away from the castle!\That night... when the castle disappeared...\Kohaku, keeping you alive is no longer necessary.\You can join your father and the others.\Kohaku?\My name is Kohaku?\What's the matter, Kirara?\Demons nearby? response:	I sense a Sacred Jewel fragment!
context: That night... when the castle disappeared...\Kohaku, keeping you alive is no longer necessary.\You can join your father and the others.\Kohaku?\My name is Kohaku?\What's the matter, Kirara?\Demons nearby?\I sense a Sacred Jewel fragment! response:	What?!
context: Kohaku, keeping you alive is no longer necessary.\You can join your father and the others.\Kohaku?\My name is Kohaku?\What's the matter, Kirara?\Demons nearby?\I sense a Sacred Jewel fragment!\What?! response:	Kagome, this way?!
context: You can join your father and the others.\Kohaku?\My name is Kohaku?\What's the matter, Kirara?\Demons nearby?\I sense a Sacred Jewel fragment!\What?!\Kagome, this way?! response:	It's near! Beyond this forest!
context: Kohaku?\My name is Kohaku?\What's the matter, Kirara?\Demons nearby?\I sense a Sacred Jewel fragment!\What?!\Kagome, this way?!\It's near! Beyond this forest! response:	Naraku's poison insects!
context: My name is Kohaku?\What's the matter, Kirara?\Demons nearby?\I sense a Sacred Jewel fragment!\What?!\Kagome, this way?!\It's near! Beyond this forest!\Naraku's poison insects! response:	Damn! So are they after the Sacred Jewel fragment, too?!
context: What's the matter, Kirara?\Demons nearby?\I sense a Sacred Jewel fragment!\What?!\Kagome, this way?!\It's near! Beyond this forest!\Naraku's poison insects!\Damn! So are they after the Sacred Jewel fragment, too?! response:	Kohaku, you can't get away!
context: Demons nearby?\I sense a Sacred Jewel fragment!\What?!\Kagome, this way?!\It's near! Beyond this forest!\Naraku's poison insects!\Damn! So are they after the Sacred Jewel fragment, too?!\Kohaku, you can't get away! response:	Huh!
context: I sense a Sacred Jewel fragment!\What?!\Kagome, this way?!\It's near! Beyond this forest!\Naraku's poison insects!\Damn! So are they after the Sacred Jewel fragment, too?!\Kohaku, you can't get away!\Huh! response:	Now, obey and return the Sacred Jewel fragment in your back.
context: What?!\Kagome, this way?!\It's near! Beyond this forest!\Naraku's poison insects!\Damn! So are they after the Sacred Jewel fragment, too?!\Kohaku, you can't get away!\Huh!\Now, obey and return the Sacred Jewel fragment in your back. response:	Sacred Jewel fragment?
context: Kagome, this way?!\It's near! Beyond this forest!\Naraku's poison insects!\Damn! So are they after the Sacred Jewel fragment, too?!\Kohaku, you can't get away!\Huh!\Now, obey and return the Sacred Jewel fragment in your back.\Sacred Jewel fragment? response:	Hand over the fragment!
context: It's near! Beyond this forest!\Naraku's poison insects!\Damn! So are they after the Sacred Jewel fragment, too?!\Kohaku, you can't get away!\Huh!\Now, obey and return the Sacred Jewel fragment in your back.\Sacred Jewel fragment?\Hand over the fragment! response:	Die!
context: Naraku's poison insects!\Damn! So are they after the Sacred Jewel fragment, too?!\Kohaku, you can't get away!\Huh!\Now, obey and return the Sacred Jewel fragment in your back.\Sacred Jewel fragment?\Hand over the fragment!\Die! response:	Kohaku!
context: Damn! So are they after the Sacred Jewel fragment, too?!\Kohaku, you can't get away!\Huh!\Now, obey and return the Sacred Jewel fragment in your back.\Sacred Jewel fragment?\Hand over the fragment!\Die!\Kohaku! response:	That demon is trying to get the fragment in Kohaku's back!
context: Kohaku, you can't get away!\Huh!\Now, obey and return the Sacred Jewel fragment in your back.\Sacred Jewel fragment?\Hand over the fragment!\Die!\Kohaku!\That demon is trying to get the fragment in Kohaku's back! response:	What?!
context: Huh!\Now, obey and return the Sacred Jewel fragment in your back.\Sacred Jewel fragment?\Hand over the fragment!\Die!\Kohaku!\That demon is trying to get the fragment in Kohaku's back!\What?! response:	The Sacred Jewel fragment in Kohaku's back...
context: Now, obey and return the Sacred Jewel fragment in your back.\Sacred Jewel fragment?\Hand over the fragment!\Die!\Kohaku!\That demon is trying to get the fragment in Kohaku's back!\What?!\The Sacred Jewel fragment in Kohaku's back... response:	is his lifeline.
context: Sacred Jewel fragment?\Hand over the fragment!\Die!\Kohaku!\That demon is trying to get the fragment in Kohaku's back!\What?!\The Sacred Jewel fragment in Kohaku's back...\is his lifeline. response:	If the fragment is removed, he'll die!
context: Hand over the fragment!\Die!\Kohaku!\That demon is trying to get the fragment in Kohaku's back!\What?!\The Sacred Jewel fragment in Kohaku's back...\is his lifeline.\If the fragment is removed, he'll die! response:	Kohaku!
context: Die!\Kohaku!\That demon is trying to get the fragment in Kohaku's back!\What?!\The Sacred Jewel fragment in Kohaku's back...\is his lifeline.\If the fragment is removed, he'll die!\Kohaku! response:	You were under Naraku's mind control...
context: Kohaku!\That demon is trying to get the fragment in Kohaku's back!\What?!\The Sacred Jewel fragment in Kohaku's back...\is his lifeline.\If the fragment is removed, he'll die!\Kohaku!\You were under Naraku's mind control... response:	and you were in Naraku's castle.
context: That demon is trying to get the fragment in Kohaku's back!\What?!\The Sacred Jewel fragment in Kohaku's back...\is his lifeline.\If the fragment is removed, he'll die!\Kohaku!\You were under Naraku's mind control...\and you were in Naraku's castle. response:	So why are you...?
context: What?!\The Sacred Jewel fragment in Kohaku's back...\is his lifeline.\If the fragment is removed, he'll die!\Kohaku!\You were under Naraku's mind control...\and you were in Naraku's castle.\So why are you...? response:	You... know me?
context: The Sacred Jewel fragment in Kohaku's back...\is his lifeline.\If the fragment is removed, he'll die!\Kohaku!\You were under Naraku's mind control...\and you were in Naraku's castle.\So why are you...?\You... know me? response:	Huh?
context: is his lifeline.\If the fragment is removed, he'll die!\Kohaku!\You were under Naraku's mind control...\and you were in Naraku's castle.\So why are you...?\You... know me?\Huh? response:	You've hurt your arm. Let me see.
