context: TL Note: This is a pun on Souieba (being told that) and Souireba (dentures). response:	Pyramid-text: Guy forcing tributes Woman Guy who pays tribute Out of the question
context: So that means the entire Honshu region is now in the rainy season.\That's what they say.\The weather will be unstable everywhere,\so please be on the lookout for sudden gusts, lightning, swollen rivers, and landslides.\It's going to be raining hard for a while.\Doing the laundry and stuff is going to get so tiresome.\Ah, I'll answer it.\What happened? Didn't you head straight home? response:	Well, I did but...
context: That's what they say.\The weather will be unstable everywhere,\so please be on the lookout for sudden gusts, lightning, swollen rivers, and landslides.\It's going to be raining hard for a while.\Doing the laundry and stuff is going to get so tiresome.\Ah, I'll answer it.\What happened? Didn't you head straight home?\Well, I did but... response:	Oh, you can use the dryer.
context: The weather will be unstable everywhere,\so please be on the lookout for sudden gusts, lightning, swollen rivers, and landslides.\It's going to be raining hard for a while.\Doing the laundry and stuff is going to get so tiresome.\Ah, I'll answer it.\What happened? Didn't you head straight home?\Well, I did but...\Oh, you can use the dryer. response:	Thanks...
context: so please be on the lookout for sudden gusts, lightning, swollen rivers, and landslides.\It's going to be raining hard for a while.\Doing the laundry and stuff is going to get so tiresome.\Ah, I'll answer it.\What happened? Didn't you head straight home?\Well, I did but...\Oh, you can use the dryer.\Thanks... response:	So nice...
context: It's going to be raining hard for a while.\Doing the laundry and stuff is going to get so tiresome.\Ah, I'll answer it.\What happened? Didn't you head straight home?\Well, I did but...\Oh, you can use the dryer.\Thanks...\So nice... response:	So like I said, I did head straight home.
context: Doing the laundry and stuff is going to get so tiresome.\Ah, I'll answer it.\What happened? Didn't you head straight home?\Well, I did but...\Oh, you can use the dryer.\Thanks...\So nice...\So like I said, I did head straight home. response:	But I noticed...
context: Ah, I'll answer it.\What happened? Didn't you head straight home?\Well, I did but...\Oh, you can use the dryer.\Thanks...\So nice...\So like I said, I did head straight home.\But I noticed... response:	that I had forgotten the keys to my house.
context: What happened? Didn't you head straight home?\Well, I did but...\Oh, you can use the dryer.\Thanks...\So nice...\So like I said, I did head straight home.\But I noticed...\that I had forgotten the keys to my house. response:	I checked thoroughly whether the windows were locked or not.
context: Well, I did but...\Oh, you can use the dryer.\Thanks...\So nice...\So like I said, I did head straight home.\But I noticed...\that I had forgotten the keys to my house.\I checked thoroughly whether the windows were locked or not. response:	From the bathroom windows to the ones on the second floor.
context: Oh, you can use the dryer.\Thanks...\So nice...\So like I said, I did head straight home.\But I noticed...\that I had forgotten the keys to my house.\I checked thoroughly whether the windows were locked or not.\From the bathroom windows to the ones on the second floor. response:	That was when I noticed a policeman waiting for me with his nightstick.
context: Thanks...\So nice...\So like I said, I did head straight home.\But I noticed...\that I had forgotten the keys to my house.\I checked thoroughly whether the windows were locked or not.\From the bathroom windows to the ones on the second floor.\That was when I noticed a policeman waiting for me with his nightstick. response:	I explained that it was my house but I was taken to the police box.
context: So nice...\So like I said, I did head straight home.\But I noticed...\that I had forgotten the keys to my house.\I checked thoroughly whether the windows were locked or not.\From the bathroom windows to the ones on the second floor.\That was when I noticed a policeman waiting for me with his nightstick.\I explained that it was my house but I was taken to the police box. response:	Hey, do I really look like a criminal?
context: So like I said, I did head straight home.\But I noticed...\that I had forgotten the keys to my house.\I checked thoroughly whether the windows were locked or not.\From the bathroom windows to the ones on the second floor.\That was when I noticed a policeman waiting for me with his nightstick.\I explained that it was my house but I was taken to the police box.\Hey, do I really look like a criminal? response:	I'd rather get pointed at with a nightstick!
context: But I noticed...\that I had forgotten the keys to my house.\I checked thoroughly whether the windows were locked or not.\From the bathroom windows to the ones on the second floor.\That was when I noticed a policeman waiting for me with his nightstick.\I explained that it was my house but I was taken to the police box.\Hey, do I really look like a criminal?\I'd rather get pointed at with a nightstick! response:	I want to scare an adult!
context: that I had forgotten the keys to my house.\I checked thoroughly whether the windows were locked or not.\From the bathroom windows to the ones on the second floor.\That was when I noticed a policeman waiting for me with his nightstick.\I explained that it was my house but I was taken to the police box.\Hey, do I really look like a criminal?\I'd rather get pointed at with a nightstick!\I want to scare an adult! response:	But little children will be frightened too!
context: I checked thoroughly whether the windows were locked or not.\From the bathroom windows to the ones on the second floor.\That was when I noticed a policeman waiting for me with his nightstick.\I explained that it was my house but I was taken to the police box.\Hey, do I really look like a criminal?\I'd rather get pointed at with a nightstick!\I want to scare an adult!\But little children will be frightened too! response:	I'm jealous! So freaking jealous!
context: From the bathroom windows to the ones on the second floor.\That was when I noticed a policeman waiting for me with his nightstick.\I explained that it was my house but I was taken to the police box.\Hey, do I really look like a criminal?\I'd rather get pointed at with a nightstick!\I want to scare an adult!\But little children will be frightened too!\I'm jealous! So freaking jealous! response:	Why are our builds so different when we've lived the same amount of time?
context: That was when I noticed a policeman waiting for me with his nightstick.\I explained that it was my house but I was taken to the police box.\Hey, do I really look like a criminal?\I'd rather get pointed at with a nightstick!\I want to scare an adult!\But little children will be frightened too!\I'm jealous! So freaking jealous!\Why are our builds so different when we've lived the same amount of time? response:	I want to be seen as a high school student for once!
context: I explained that it was my house but I was taken to the police box.\Hey, do I really look like a criminal?\I'd rather get pointed at with a nightstick!\I want to scare an adult!\But little children will be frightened too!\I'm jealous! So freaking jealous!\Why are our builds so different when we've lived the same amount of time?\I want to be seen as a high school student for once! response:	I feel the same way too!
context: Hey, do I really look like a criminal?\I'd rather get pointed at with a nightstick!\I want to scare an adult!\But little children will be frightened too!\I'm jealous! So freaking jealous!\Why are our builds so different when we've lived the same amount of time?\I want to be seen as a high school student for once!\I feel the same way too! response:	I'm sorry my clothes don't fit you.
context: I'd rather get pointed at with a nightstick!\I want to scare an adult!\But little children will be frightened too!\I'm jealous! So freaking jealous!\Why are our builds so different when we've lived the same amount of time?\I want to be seen as a high school student for once!\I feel the same way too!\I'm sorry my clothes don't fit you. response:	No, this is fine.
context: I want to scare an adult!\But little children will be frightened too!\I'm jealous! So freaking jealous!\Why are our builds so different when we've lived the same amount of time?\I want to be seen as a high school student for once!\I feel the same way too!\I'm sorry my clothes don't fit you.\No, this is fine. response:	Your father's was in the closet.
context: But little children will be frightened too!\I'm jealous! So freaking jealous!\Why are our builds so different when we've lived the same amount of time?\I want to be seen as a high school student for once!\I feel the same way too!\I'm sorry my clothes don't fit you.\No, this is fine.\Your father's was in the closet. response:	Oh, was it?
context: I'm jealous! So freaking jealous!\Why are our builds so different when we've lived the same amount of time?\I want to be seen as a high school student for once!\I feel the same way too!\I'm sorry my clothes don't fit you.\No, this is fine.\Your father's was in the closet.\Oh, was it? response:	Which one?
context: Why are our builds so different when we've lived the same amount of time?\I want to be seen as a high school student for once!\I feel the same way too!\I'm sorry my clothes don't fit you.\No, this is fine.\Your father's was in the closet.\Oh, was it?\Which one? response:	The one on the left...
context: I want to be seen as a high school student for once!\I feel the same way too!\I'm sorry my clothes don't fit you.\No, this is fine.\Your father's was in the closet.\Oh, was it?\Which one?\The one on the left... response:	They really are living together.
context: I feel the same way too!\I'm sorry my clothes don't fit you.\No, this is fine.\Your father's was in the closet.\Oh, was it?\Which one?\The one on the left...\They really are living together. response:	Which one?
context: I'm sorry my clothes don't fit you.\No, this is fine.\Your father's was in the closet.\Oh, was it?\Which one?\The one on the left...\They really are living together.\Which one? response:	You see, not that one but...
context: No, this is fine.\Your father's was in the closet.\Oh, was it?\Which one?\The one on the left...\They really are living together.\Which one?\You see, not that one but... response:	It feels strange.
context: Your father's was in the closet.\Oh, was it?\Which one?\The one on the left...\They really are living together.\Which one?\You see, not that one but...\It feels strange. response:	Deeper inside...
context: Oh, was it?\Which one?\The one on the left...\They really are living together.\Which one?\You see, not that one but...\It feels strange.\Deeper inside... response:	Don't stick to me so much!
context: Which one?\The one on the left...\They really are living together.\Which one?\You see, not that one but...\It feels strange.\Deeper inside...\Don't stick to me so much! response:	That's because you're so dull.
context: The one on the left...\They really are living together.\Which one?\You see, not that one but...\It feels strange.\Deeper inside...\Don't stick to me so much!\That's because you're so dull. response:	You're so perverted these days.
context: They really are living together.\Which one?\You see, not that one but...\It feels strange.\Deeper inside...\Don't stick to me so much!\That's because you're so dull.\You're so perverted these days. response:	Like the Maid Cafe thing the other day.
context: Which one?\You see, not that one but...\It feels strange.\Deeper inside...\Don't stick to me so much!\That's because you're so dull.\You're so perverted these days.\Like the Maid Cafe thing the other day. response:	I-It's normal for a healthy boy!
context: You see, not that one but...\It feels strange.\Deeper inside...\Don't stick to me so much!\That's because you're so dull.\You're so perverted these days.\Like the Maid Cafe thing the other day.\I-It's normal for a healthy boy! response:	Why am I getting all embarrassed?
context: It feels strange.\Deeper inside...\Don't stick to me so much!\That's because you're so dull.\You're so perverted these days.\Like the Maid Cafe thing the other day.\I-It's normal for a healthy boy!\Why am I getting all embarrassed? response:	It's just a conversation between a good brother and sister.
context: Deeper inside...\Don't stick to me so much!\That's because you're so dull.\You're so perverted these days.\Like the Maid Cafe thing the other day.\I-It's normal for a healthy boy!\Why am I getting all embarrassed?\It's just a conversation between a good brother and sister. response:	A normal inter-personal contact,
context: Don't stick to me so much!\That's because you're so dull.\You're so perverted these days.\Like the Maid Cafe thing the other day.\I-It's normal for a healthy boy!\Why am I getting all embarrassed?\It's just a conversation between a good brother and sister.\A normal inter-personal contact, response:	between people of such harmonious, prime aged...
context: That's because you're so dull.\You're so perverted these days.\Like the Maid Cafe thing the other day.\I-It's normal for a healthy boy!\Why am I getting all embarrassed?\It's just a conversation between a good brother and sister.\A normal inter-personal contact,\between people of such harmonious, prime aged... response:	siblings...?
context: You're so perverted these days.\Like the Maid Cafe thing the other day.\I-It's normal for a healthy boy!\Why am I getting all embarrassed?\It's just a conversation between a good brother and sister.\A normal inter-personal contact,\between people of such harmonious, prime aged...\siblings...? response:	In the first place, you're...
context: Like the Maid Cafe thing the other day.\I-It's normal for a healthy boy!\Why am I getting all embarrassed?\It's just a conversation between a good brother and sister.\A normal inter-personal contact,\between people of such harmonious, prime aged...\siblings...?\In the first place, you're... response:	Are they?
context: I-It's normal for a healthy boy!\Why am I getting all embarrassed?\It's just a conversation between a good brother and sister.\A normal inter-personal contact,\between people of such harmonious, prime aged...\siblings...?\In the first place, you're...\Are they? response:	What about that?
context: Why am I getting all embarrassed?\It's just a conversation between a good brother and sister.\A normal inter-personal contact,\between people of such harmonious, prime aged...\siblings...?\In the first place, you're...\Are they?\What about that? response:	But Jin, I'm doing it for you-
context: It's just a conversation between a good brother and sister.\A normal inter-personal contact,\between people of such harmonious, prime aged...\siblings...?\In the first place, you're...\Are they?\What about that?\But Jin, I'm doing it for you- response:	It's not that!
context: A normal inter-personal contact,\between people of such harmonious, prime aged...\siblings...?\In the first place, you're...\Are they?\What about that?\But Jin, I'm doing it for you-\It's not that! response:	It's not that...
context: between people of such harmonious, prime aged...\siblings...?\In the first place, you're...\Are they?\What about that?\But Jin, I'm doing it for you-\It's not that!\It's not that... response:	Your clothes are too cute... Too indecent...
context: siblings...?\In the first place, you're...\Are they?\What about that?\But Jin, I'm doing it for you-\It's not that!\It's not that...\Your clothes are too cute... Too indecent... response:	I can't look at you straight, so I'm telling you to stand back!
context: In the first place, you're...\Are they?\What about that?\But Jin, I'm doing it for you-\It's not that!\It's not that...\Your clothes are too cute... Too indecent...\I can't look at you straight, so I'm telling you to stand back! response:	Realize that, you idiot!
context: Are they?\What about that?\But Jin, I'm doing it for you-\It's not that!\It's not that...\Your clothes are too cute... Too indecent...\I can't look at you straight, so I'm telling you to stand back!\Realize that, you idiot! response:	It's even more unnatural to easily accept a sister who suddenly showed up.
context: What about that?\But Jin, I'm doing it for you-\It's not that!\It's not that...\Your clothes are too cute... Too indecent...\I can't look at you straight, so I'm telling you to stand back!\Realize that, you idiot!\It's even more unnatural to easily accept a sister who suddenly showed up. response:	Can't it be helped that he can only look at her as a woman?
context: But Jin, I'm doing it for you-\It's not that!\It's not that...\Your clothes are too cute... Too indecent...\I can't look at you straight, so I'm telling you to stand back!\Realize that, you idiot!\It's even more unnatural to easily accept a sister who suddenly showed up.\Can't it be helped that he can only look at her as a woman? response:	But, that means...
context: It's not that!\It's not that...\Your clothes are too cute... Too indecent...\I can't look at you straight, so I'm telling you to stand back!\Realize that, you idiot!\It's even more unnatural to easily accept a sister who suddenly showed up.\Can't it be helped that he can only look at her as a woman?\But, that means... response:	A forbidden love?!
context: It's not that...\Your clothes are too cute... Too indecent...\I can't look at you straight, so I'm telling you to stand back!\Realize that, you idiot!\It's even more unnatural to easily accept a sister who suddenly showed up.\Can't it be helped that he can only look at her as a woman?\But, that means...\A forbidden love?! response:	Am I dressed that cutely and indecently?
context: Your clothes are too cute... Too indecent...\I can't look at you straight, so I'm telling you to stand back!\Realize that, you idiot!\It's even more unnatural to easily accept a sister who suddenly showed up.\Can't it be helped that he can only look at her as a woman?\But, that means...\A forbidden love?!\Am I dressed that cutely and indecently? response:	Yeah. I can't look directly at you.
context: I can't look at you straight, so I'm telling you to stand back!\Realize that, you idiot!\It's even more unnatural to easily accept a sister who suddenly showed up.\Can't it be helped that he can only look at her as a woman?\But, that means...\A forbidden love?!\Am I dressed that cutely and indecently?\Yeah. I can't look directly at you. response:	But I'm your sister...
context: Realize that, you idiot!\It's even more unnatural to easily accept a sister who suddenly showed up.\Can't it be helped that he can only look at her as a woman?\But, that means...\A forbidden love?!\Am I dressed that cutely and indecently?\Yeah. I can't look directly at you.\But I'm your sister... response:	Aren't you even more indecent for looking at your own sister in such a way?
context: It's even more unnatural to easily accept a sister who suddenly showed up.\Can't it be helped that he can only look at her as a woman?\But, that means...\A forbidden love?!\Am I dressed that cutely and indecently?\Yeah. I can't look directly at you.\But I'm your sister...\Aren't you even more indecent for looking at your own sister in such a way? response:	But I can't help myself,
context: Can't it be helped that he can only look at her as a woman?\But, that means...\A forbidden love?!\Am I dressed that cutely and indecently?\Yeah. I can't look directly at you.\But I'm your sister...\Aren't you even more indecent for looking at your own sister in such a way?\But I can't help myself, response:	since you're so cute...
context: But, that means...\A forbidden love?!\Am I dressed that cutely and indecently?\Yeah. I can't look directly at you.\But I'm your sister...\Aren't you even more indecent for looking at your own sister in such a way?\But I can't help myself,\since you're so cute... response:	J-Jin...!
context: A forbidden love?!\Am I dressed that cutely and indecently?\Yeah. I can't look directly at you.\But I'm your sister...\Aren't you even more indecent for looking at your own sister in such a way?\But I can't help myself,\since you're so cute...\J-Jin...! response:	Putting that aside, it's your birthday today.
context: Am I dressed that cutely and indecently?\Yeah. I can't look directly at you.\But I'm your sister...\Aren't you even more indecent for looking at your own sister in such a way?\But I can't help myself,\since you're so cute...\J-Jin...!\Putting that aside, it's your birthday today. response:	I bought you a birthday cake.
context: Yeah. I can't look directly at you.\But I'm your sister...\Aren't you even more indecent for looking at your own sister in such a way?\But I can't help myself,\since you're so cute...\J-Jin...!\Putting that aside, it's your birthday today.\I bought you a birthday cake. response:	Could it be that to buy that cake...
context: But I'm your sister...\Aren't you even more indecent for looking at your own sister in such a way?\But I can't help myself,\since you're so cute...\J-Jin...!\Putting that aside, it's your birthday today.\I bought you a birthday cake.\Could it be that to buy that cake... response:	you've been working part time at the maid cafe?
context: Aren't you even more indecent for looking at your own sister in such a way?\But I can't help myself,\since you're so cute...\J-Jin...!\Putting that aside, it's your birthday today.\I bought you a birthday cake.\Could it be that to buy that cake...\you've been working part time at the maid cafe? response:	It's not like that...
context: But I can't help myself,\since you're so cute...\J-Jin...!\Putting that aside, it's your birthday today.\I bought you a birthday cake.\Could it be that to buy that cake...\you've been working part time at the maid cafe?\It's not like that... response:	It was just on a whim.
context: since you're so cute...\J-Jin...!\Putting that aside, it's your birthday today.\I bought you a birthday cake.\Could it be that to buy that cake...\you've been working part time at the maid cafe?\It's not like that...\It was just on a whim. response:	Don't get the wrong idea, okay?
context: J-Jin...!\Putting that aside, it's your birthday today.\I bought you a birthday cake.\Could it be that to buy that cake...\you've been working part time at the maid cafe?\It's not like that...\It was just on a whim.\Don't get the wrong idea, okay? response:	Thank you, Neesan.
context: Putting that aside, it's your birthday today.\I bought you a birthday cake.\Could it be that to buy that cake...\you've been working part time at the maid cafe?\It's not like that...\It was just on a whim.\Don't get the wrong idea, okay?\Thank you, Neesan. response:	This is the first time you've called me Neesan...
context: I bought you a birthday cake.\Could it be that to buy that cake...\you've been working part time at the maid cafe?\It's not like that...\It was just on a whim.\Don't get the wrong idea, okay?\Thank you, Neesan.\This is the first time you've called me Neesan... response:	But...
context: Could it be that to buy that cake...\you've been working part time at the maid cafe?\It's not like that...\It was just on a whim.\Don't get the wrong idea, okay?\Thank you, Neesan.\This is the first time you've called me Neesan...\But... response:	Huh? What's this...?
context: you've been working part time at the maid cafe?\It's not like that...\It was just on a whim.\Don't get the wrong idea, okay?\Thank you, Neesan.\This is the first time you've called me Neesan...\But...\Huh? What's this...? response:	Why does my heart hurt so much?
context: It's not like that...\It was just on a whim.\Don't get the wrong idea, okay?\Thank you, Neesan.\This is the first time you've called me Neesan...\But...\Huh? What's this...?\Why does my heart hurt so much? response:	It must be...
context: It was just on a whim.\Don't get the wrong idea, okay?\Thank you, Neesan.\This is the first time you've called me Neesan...\But...\Huh? What's this...?\Why does my heart hurt so much?\It must be... response:	the same reason why I don't want to call you Neesan either.
context: Don't get the wrong idea, okay?\Thank you, Neesan.\This is the first time you've called me Neesan...\But...\Huh? What's this...?\Why does my heart hurt so much?\It must be...\the same reason why I don't want to call you Neesan either. response:	Jin...
context: Thank you, Neesan.\This is the first time you've called me Neesan...\But...\Huh? What's this...?\Why does my heart hurt so much?\It must be...\the same reason why I don't want to call you Neesan either.\Jin... response:	Neesan, I actually love you as a woman.
context: This is the first time you've called me Neesan...\But...\Huh? What's this...?\Why does my heart hurt so much?\It must be...\the same reason why I don't want to call you Neesan either.\Jin...\Neesan, I actually love you as a woman. response:	Even if we're siblings, it doesn't matter.
context: But...\Huh? What's this...?\Why does my heart hurt so much?\It must be...\the same reason why I don't want to call you Neesan either.\Jin...\Neesan, I actually love you as a woman.\Even if we're siblings, it doesn't matter. response:	I also think of you as...
context: Huh? What's this...?\Why does my heart hurt so much?\It must be...\the same reason why I don't want to call you Neesan either.\Jin...\Neesan, I actually love you as a woman.\Even if we're siblings, it doesn't matter.\I also think of you as... response:	Neesan!
context: Why does my heart hurt so much?\It must be...\the same reason why I don't want to call you Neesan either.\Jin...\Neesan, I actually love you as a woman.\Even if we're siblings, it doesn't matter.\I also think of you as...\Neesan! response:	Jin!
context: It must be...\the same reason why I don't want to call you Neesan either.\Jin...\Neesan, I actually love you as a woman.\Even if we're siblings, it doesn't matter.\I also think of you as...\Neesan!\Jin! response:	Wow, so great, just like those old dramas.
context: the same reason why I don't want to call you Neesan either.\Jin...\Neesan, I actually love you as a woman.\Even if we're siblings, it doesn't matter.\I also think of you as...\Neesan!\Jin!\Wow, so great, just like those old dramas. response:	I don't know him anymore!
context: Jin...\Neesan, I actually love you as a woman.\Even if we're siblings, it doesn't matter.\I also think of you as...\Neesan!\Jin!\Wow, so great, just like those old dramas.\I don't know him anymore! response:	I never would've thought that he'd have a real interest in sisters...
context: Neesan, I actually love you as a woman.\Even if we're siblings, it doesn't matter.\I also think of you as...\Neesan!\Jin!\Wow, so great, just like those old dramas.\I don't know him anymore!\I never would've thought that he'd have a real interest in sisters... response:	How disgusting!
context: Even if we're siblings, it doesn't matter.\I also think of you as...\Neesan!\Jin!\Wow, so great, just like those old dramas.\I don't know him anymore!\I never would've thought that he'd have a real interest in sisters...\How disgusting! response:	You traitor, Jin!
context: I also think of you as...\Neesan!\Jin!\Wow, so great, just like those old dramas.\I don't know him anymore!\I never would've thought that he'd have a real interest in sisters...\How disgusting!\You traitor, Jin! response:	You're the worst!
context: Neesan!\Jin!\Wow, so great, just like those old dramas.\I don't know him anymore!\I never would've thought that he'd have a real interest in sisters...\How disgusting!\You traitor, Jin!\You're the worst! response:	Well, I fell in love with her.
context: Jin!\Wow, so great, just like those old dramas.\I don't know him anymore!\I never would've thought that he'd have a real interest in sisters...\How disgusting!\You traitor, Jin!\You're the worst!\Well, I fell in love with her. response:	Neesan, let's go to the ends of the earth together.
context: Wow, so great, just like those old dramas.\I don't know him anymore!\I never would've thought that he'd have a real interest in sisters...\How disgusting!\You traitor, Jin!\You're the worst!\Well, I fell in love with her.\Neesan, let's go to the ends of the earth together. response:	Yes...
context: I don't know him anymore!\I never would've thought that he'd have a real interest in sisters...\How disgusting!\You traitor, Jin!\You're the worst!\Well, I fell in love with her.\Neesan, let's go to the ends of the earth together.\Yes... response:	What's wrong, Daitetsu?
context: I never would've thought that he'd have a real interest in sisters...\How disgusting!\You traitor, Jin!\You're the worst!\Well, I fell in love with her.\Neesan, let's go to the ends of the earth together.\Yes...\What's wrong, Daitetsu? response:	We can talk in the living room...
context: How disgusting!\You traitor, Jin!\You're the worst!\Well, I fell in love with her.\Neesan, let's go to the ends of the earth together.\Yes...\What's wrong, Daitetsu?\We can talk in the living room... response:	S-Sorry, but I really wanted to make sure of one thing.
context: You traitor, Jin!\You're the worst!\Well, I fell in love with her.\Neesan, let's go to the ends of the earth together.\Yes...\What's wrong, Daitetsu?\We can talk in the living room...\S-Sorry, but I really wanted to make sure of one thing. response:	How do you feel about Nagi-san?
context: You're the worst!\Well, I fell in love with her.\Neesan, let's go to the ends of the earth together.\Yes...\What's wrong, Daitetsu?\We can talk in the living room...\S-Sorry, but I really wanted to make sure of one thing.\How do you feel about Nagi-san? response:	Huh? How I feel?
context: Well, I fell in love with her.\Neesan, let's go to the ends of the earth together.\Yes...\What's wrong, Daitetsu?\We can talk in the living room...\S-Sorry, but I really wanted to make sure of one thing.\How do you feel about Nagi-san?\Huh? How I feel? response:	I'm not sure...
context: Neesan, let's go to the ends of the earth together.\Yes...\What's wrong, Daitetsu?\We can talk in the living room...\S-Sorry, but I really wanted to make sure of one thing.\How do you feel about Nagi-san?\Huh? How I feel?\I'm not sure... response:	Well, I'd like it if she had more normal taste buds.
context: Yes...\What's wrong, Daitetsu?\We can talk in the living room...\S-Sorry, but I really wanted to make sure of one thing.\How do you feel about Nagi-san?\Huh? How I feel?\I'm not sure...\Well, I'd like it if she had more normal taste buds. response:	She's your sister, right?
context: What's wrong, Daitetsu?\We can talk in the living room...\S-Sorry, but I really wanted to make sure of one thing.\How do you feel about Nagi-san?\Huh? How I feel?\I'm not sure...\Well, I'd like it if she had more normal taste buds.\She's your sister, right? response:	Your sister. A real sister with actual proof, right?
context: We can talk in the living room...\S-Sorry, but I really wanted to make sure of one thing.\How do you feel about Nagi-san?\Huh? How I feel?\I'm not sure...\Well, I'd like it if she had more normal taste buds.\She's your sister, right?\Your sister. A real sister with actual proof, right? response:	Proof?
context: S-Sorry, but I really wanted to make sure of one thing.\How do you feel about Nagi-san?\Huh? How I feel?\I'm not sure...\Well, I'd like it if she had more normal taste buds.\She's your sister, right?\Your sister. A real sister with actual proof, right?\Proof? response:	Then...
context: How do you feel about Nagi-san?\Huh? How I feel?\I'm not sure...\Well, I'd like it if she had more normal taste buds.\She's your sister, right?\Your sister. A real sister with actual proof, right?\Proof?\Then... response:	Well, I don't have any proof,
context: Huh? How I feel?\I'm not sure...\Well, I'd like it if she had more normal taste buds.\She's your sister, right?\Your sister. A real sister with actual proof, right?\Proof?\Then...\Well, I don't have any proof, response:	but she's definitely my sister.
context: I'm not sure...\Well, I'd like it if she had more normal taste buds.\She's your sister, right?\Your sister. A real sister with actual proof, right?\Proof?\Then...\Well, I don't have any proof,\but she's definitely my sister. response:	My father always used to tell me that I had a sister...
context: Well, I'd like it if she had more normal taste buds.\She's your sister, right?\Your sister. A real sister with actual proof, right?\Proof?\Then...\Well, I don't have any proof,\but she's definitely my sister.\My father always used to tell me that I had a sister... response:	Oh, really? He used to say that?
context: She's your sister, right?\Your sister. A real sister with actual proof, right?\Proof?\Then...\Well, I don't have any proof,\but she's definitely my sister.\My father always used to tell me that I had a sister...\Oh, really? He used to say that? response:	I thought I remembered hearing that you only knew about her existence since only recently...
context: Your sister. A real sister with actual proof, right?\Proof?\Then...\Well, I don't have any proof,\but she's definitely my sister.\My father always used to tell me that I had a sister...\Oh, really? He used to say that?\I thought I remembered hearing that you only knew about her existence since only recently... response:	Shit!
context: Proof?\Then...\Well, I don't have any proof,\but she's definitely my sister.\My father always used to tell me that I had a sister...\Oh, really? He used to say that?\I thought I remembered hearing that you only knew about her existence since only recently...\Shit! response:	Oh no, that was my mistake.
context: Then...\Well, I don't have any proof,\but she's definitely my sister.\My father always used to tell me that I had a sister...\Oh, really? He used to say that?\I thought I remembered hearing that you only knew about her existence since only recently...\Shit!\Oh no, that was my mistake. response:	I was able to get in touch with my father.
context: Well, I don't have any proof,\but she's definitely my sister.\My father always used to tell me that I had a sister...\Oh, really? He used to say that?\I thought I remembered hearing that you only knew about her existence since only recently...\Shit!\Oh no, that was my mistake.\I was able to get in touch with my father. response:	Then he said she was definitely his daughter...
