context: No way. response:	When I went to see her the other day, we talked like always.
context: Eastern Japan Piano Competition Finals\Seto Hiroko\Arima\Please...\Save Kousei, please...\Kousei's gonna break down all over again...\Arima\Dammit, Kousei! response:	I'm coming in!
context: Seto Hiroko\Arima\Please...\Save Kousei, please...\Kousei's gonna break down all over again...\Arima\Dammit, Kousei!\I'm coming in! response:	Kousei!
context: Arima\Please...\Save Kousei, please...\Kousei's gonna break down all over again...\Arima\Dammit, Kousei!\I'm coming in!\Kousei! response:	What do you think you're doing? Do you understand the situation you're in?
context: Please...\Save Kousei, please...\Kousei's gonna break down all over again...\Arima\Dammit, Kousei!\I'm coming in!\Kousei!\What do you think you're doing? Do you understand the situation you're in? response:	You only have so many days before the competition!
context: Save Kousei, please...\Kousei's gonna break down all over again...\Arima\Dammit, Kousei!\I'm coming in!\Kousei!\What do you think you're doing? Do you understand the situation you're in?\You only have so many days before the competition! response:	Okay, we're going to practice! Get on your feet now!
context: Kousei's gonna break down all over again...\Arima\Dammit, Kousei!\I'm coming in!\Kousei!\What do you think you're doing? Do you understand the situation you're in?\You only have so many days before the competition!\Okay, we're going to practice! Get on your feet now! response:	I can't do this...
context: Arima\Dammit, Kousei!\I'm coming in!\Kousei!\What do you think you're doing? Do you understand the situation you're in?\You only have so many days before the competition!\Okay, we're going to practice! Get on your feet now!\I can't do this... response:	Can't do this... anymore...
context: Dammit, Kousei!\I'm coming in!\Kousei!\What do you think you're doing? Do you understand the situation you're in?\You only have so many days before the competition!\Okay, we're going to practice! Get on your feet now!\I can't do this...\Can't do this... anymore... response:	Hiroko... Why does it have to end up this way?
context: I'm coming in!\Kousei!\What do you think you're doing? Do you understand the situation you're in?\You only have so many days before the competition!\Okay, we're going to practice! Get on your feet now!\I can't do this...\Can't do this... anymore...\Hiroko... Why does it have to end up this way? response:	All I... all I ever wanted was...
context: Kousei!\What do you think you're doing? Do you understand the situation you're in?\You only have so many days before the competition!\Okay, we're going to practice! Get on your feet now!\I can't do this...\Can't do this... anymore...\Hiroko... Why does it have to end up this way?\All I... all I ever wanted was... response:	To play the piano, and make my mother get well... that's all...
context: What do you think you're doing? Do you understand the situation you're in?\You only have so many days before the competition!\Okay, we're going to practice! Get on your feet now!\I can't do this...\Can't do this... anymore...\Hiroko... Why does it have to end up this way?\All I... all I ever wanted was...\To play the piano, and make my mother get well... that's all... response:	All I did...
context: You only have so many days before the competition!\Okay, we're going to practice! Get on your feet now!\I can't do this...\Can't do this... anymore...\Hiroko... Why does it have to end up this way?\All I... all I ever wanted was...\To play the piano, and make my mother get well... that's all...\All I did... response:	was fall in love...
context: Okay, we're going to practice! Get on your feet now!\I can't do this...\Can't do this... anymore...\Hiroko... Why does it have to end up this way?\All I... all I ever wanted was...\To play the piano, and make my mother get well... that's all...\All I did...\was fall in love... response:	Why... does it have to end up this way?
context: I can't do this...\Can't do this... anymore...\Hiroko... Why does it have to end up this way?\All I... all I ever wanted was...\To play the piano, and make my mother get well... that's all...\All I did...\was fall in love...\Why... does it have to end up this way? response:	I can't... go on.
context: Can't do this... anymore...\Hiroko... Why does it have to end up this way?\All I... all I ever wanted was...\To play the piano, and make my mother get well... that's all...\All I did...\was fall in love...\Why... does it have to end up this way?\I can't... go on. response:	No more...
context: Hiroko... Why does it have to end up this way?\All I... all I ever wanted was...\To play the piano, and make my mother get well... that's all...\All I did...\was fall in love...\Why... does it have to end up this way?\I can't... go on.\No more... response:	I can't try anymore...
context: All I... all I ever wanted was...\To play the piano, and make my mother get well... that's all...\All I did...\was fall in love...\Why... does it have to end up this way?\I can't... go on.\No more...\I can't try anymore... response:	Totsuhara University Hospital
context: To play the piano, and make my mother get well... that's all...\All I did...\was fall in love...\Why... does it have to end up this way?\I can't... go on.\No more...\I can't try anymore...\Totsuhara University Hospital response:	Requested. -Watari
context: All I did...\was fall in love...\Why... does it have to end up this way?\I can't... go on.\No more...\I can't try anymore...\Totsuhara University Hospital\Requested. -Watari response:	Adorable stationery!
context: was fall in love...\Why... does it have to end up this way?\I can't... go on.\No more...\I can't try anymore...\Totsuhara University Hospital\Requested. -Watari\Adorable stationery! response:	Requested. -Watari
context: Why... does it have to end up this way?\I can't... go on.\No more...\I can't try anymore...\Totsuhara University Hospital\Requested. -Watari\Adorable stationery!\Requested. -Watari response:	I want caneles.
context: I can't... go on.\No more...\I can't try anymore...\Totsuhara University Hospital\Requested. -Watari\Adorable stationery!\Requested. -Watari\I want caneles. response:	Hey!
context: No more...\I can't try anymore...\Totsuhara University Hospital\Requested. -Watari\Adorable stationery!\Requested. -Watari\I want caneles.\Hey! response:	They let me come back to my room yesterday.
context: I can't try anymore...\Totsuhara University Hospital\Requested. -Watari\Adorable stationery!\Requested. -Watari\I want caneles.\Hey!\They let me come back to my room yesterday. response:	Oh, boy, what an ordeal. That was my first time ever inside an ICU.
context: Totsuhara University Hospital\Requested. -Watari\Adorable stationery!\Requested. -Watari\I want caneles.\Hey!\They let me come back to my room yesterday.\Oh, boy, what an ordeal. That was my first time ever inside an ICU. response:	You just can't relax in there, you know.
context: Requested. -Watari\Adorable stationery!\Requested. -Watari\I want caneles.\Hey!\They let me come back to my room yesterday.\Oh, boy, what an ordeal. That was my first time ever inside an ICU.\You just can't relax in there, you know. response:	You really caught me at an awkward moment!
context: Adorable stationery!\Requested. -Watari\I want caneles.\Hey!\They let me come back to my room yesterday.\Oh, boy, what an ordeal. That was my first time ever inside an ICU.\You just can't relax in there, you know.\You really caught me at an awkward moment! response:	That's why I told you not to come to the hospital.
context: Requested. -Watari\I want caneles.\Hey!\They let me come back to my room yesterday.\Oh, boy, what an ordeal. That was my first time ever inside an ICU.\You just can't relax in there, you know.\You really caught me at an awkward moment!\That's why I told you not to come to the hospital. response:	Hey!
context: I want caneles.\Hey!\They let me come back to my room yesterday.\Oh, boy, what an ordeal. That was my first time ever inside an ICU.\You just can't relax in there, you know.\You really caught me at an awkward moment!\That's why I told you not to come to the hospital.\Hey! response:	Wh-What are you doing?
context: Hey!\They let me come back to my room yesterday.\Oh, boy, what an ordeal. That was my first time ever inside an ICU.\You just can't relax in there, you know.\You really caught me at an awkward moment!\That's why I told you not to come to the hospital.\Hey!\Wh-What are you doing? response:	Don't come to see me and then stand around looking so gloomy!
context: They let me come back to my room yesterday.\Oh, boy, what an ordeal. That was my first time ever inside an ICU.\You just can't relax in there, you know.\You really caught me at an awkward moment!\That's why I told you not to come to the hospital.\Hey!\Wh-What are you doing?\Don't come to see me and then stand around looking so gloomy! response:	You're gonna make me even sicker! Oh...
context: Oh, boy, what an ordeal. That was my first time ever inside an ICU.\You just can't relax in there, you know.\You really caught me at an awkward moment!\That's why I told you not to come to the hospital.\Hey!\Wh-What are you doing?\Don't come to see me and then stand around looking so gloomy!\You're gonna make me even sicker! Oh... response:	Canele! I want to eat it outside!
context: You just can't relax in there, you know.\You really caught me at an awkward moment!\That's why I told you not to come to the hospital.\Hey!\Wh-What are you doing?\Don't come to see me and then stand around looking so gloomy!\You're gonna make me even sicker! Oh...\Canele! I want to eat it outside! response:	It's too cold.
context: You really caught me at an awkward moment!\That's why I told you not to come to the hospital.\Hey!\Wh-What are you doing?\Don't come to see me and then stand around looking so gloomy!\You're gonna make me even sicker! Oh...\Canele! I want to eat it outside!\It's too cold. response:	Not in this hospital room!
context: That's why I told you not to come to the hospital.\Hey!\Wh-What are you doing?\Don't come to see me and then stand around looking so gloomy!\You're gonna make me even sicker! Oh...\Canele! I want to eat it outside!\It's too cold.\Not in this hospital room! response:	Come on, come on, come on!
context: Hey!\Wh-What are you doing?\Don't come to see me and then stand around looking so gloomy!\You're gonna make me even sicker! Oh...\Canele! I want to eat it outside!\It's too cold.\Not in this hospital room!\Come on, come on, come on! response:	One word about me being heavy, and I'll kick your butt, all right?
context: Wh-What are you doing?\Don't come to see me and then stand around looking so gloomy!\You're gonna make me even sicker! Oh...\Canele! I want to eat it outside!\It's too cold.\Not in this hospital room!\Come on, come on, come on!\One word about me being heavy, and I'll kick your butt, all right? response:	I think you could stand to eat more.
context: Don't come to see me and then stand around looking so gloomy!\You're gonna make me even sicker! Oh...\Canele! I want to eat it outside!\It's too cold.\Not in this hospital room!\Come on, come on, come on!\One word about me being heavy, and I'll kick your butt, all right?\I think you could stand to eat more. response:	She's light... Very light.
context: You're gonna make me even sicker! Oh...\Canele! I want to eat it outside!\It's too cold.\Not in this hospital room!\Come on, come on, come on!\One word about me being heavy, and I'll kick your butt, all right?\I think you could stand to eat more.\She's light... Very light. response:	At some level, I felt easy in my mind. That she was all right now.
context: Canele! I want to eat it outside!\It's too cold.\Not in this hospital room!\Come on, come on, come on!\One word about me being heavy, and I'll kick your butt, all right?\I think you could stand to eat more.\She's light... Very light.\At some level, I felt easy in my mind. That she was all right now. response:	That she was so strong, she could just send her illness packing.
context: It's too cold.\Not in this hospital room!\Come on, come on, come on!\One word about me being heavy, and I'll kick your butt, all right?\I think you could stand to eat more.\She's light... Very light.\At some level, I felt easy in my mind. That she was all right now.\That she was so strong, she could just send her illness packing. response:	That this now would go on forever.
context: Not in this hospital room!\Come on, come on, come on!\One word about me being heavy, and I'll kick your butt, all right?\I think you could stand to eat more.\She's light... Very light.\At some level, I felt easy in my mind. That she was all right now.\That she was so strong, she could just send her illness packing.\That this now would go on forever. response:	She loves stuffed animals, and loves sweets.
context: Come on, come on, come on!\One word about me being heavy, and I'll kick your butt, all right?\I think you could stand to eat more.\She's light... Very light.\At some level, I felt easy in my mind. That she was all right now.\That she was so strong, she could just send her illness packing.\That this now would go on forever.\She loves stuffed animals, and loves sweets. response:	Fragile. You're just a normal girl, and yet...
context: One word about me being heavy, and I'll kick your butt, all right?\I think you could stand to eat more.\She's light... Very light.\At some level, I felt easy in my mind. That she was all right now.\That she was so strong, she could just send her illness packing.\That this now would go on forever.\She loves stuffed animals, and loves sweets.\Fragile. You're just a normal girl, and yet... response:	I'm a moron.
context: I think you could stand to eat more.\She's light... Very light.\At some level, I felt easy in my mind. That she was all right now.\That she was so strong, she could just send her illness packing.\That this now would go on forever.\She loves stuffed animals, and loves sweets.\Fragile. You're just a normal girl, and yet...\I'm a moron. response:	Wow...
context: She's light... Very light.\At some level, I felt easy in my mind. That she was all right now.\That she was so strong, she could just send her illness packing.\That this now would go on forever.\She loves stuffed animals, and loves sweets.\Fragile. You're just a normal girl, and yet...\I'm a moron.\Wow... response:	Snow.
context: At some level, I felt easy in my mind. That she was all right now.\That she was so strong, she could just send her illness packing.\That this now would go on forever.\She loves stuffed animals, and loves sweets.\Fragile. You're just a normal girl, and yet...\I'm a moron.\Wow...\Snow. response:	Are you playing the piano?
context: That she was so strong, she could just send her illness packing.\That this now would go on forever.\She loves stuffed animals, and loves sweets.\Fragile. You're just a normal girl, and yet...\I'm a moron.\Wow...\Snow.\Are you playing the piano? response:	No, I'm not.
context: That this now would go on forever.\She loves stuffed animals, and loves sweets.\Fragile. You're just a normal girl, and yet...\I'm a moron.\Wow...\Snow.\Are you playing the piano?\No, I'm not. response:	I knew it.
context: She loves stuffed animals, and loves sweets.\Fragile. You're just a normal girl, and yet...\I'm a moron.\Wow...\Snow.\Are you playing the piano?\No, I'm not.\I knew it. response:	You're feeling sorry for yourself.
context: Fragile. You're just a normal girl, and yet...\I'm a moron.\Wow...\Snow.\Are you playing the piano?\No, I'm not.\I knew it.\You're feeling sorry for yourself. response:	The people I care about keep leaving me.
context: I'm a moron.\Wow...\Snow.\Are you playing the piano?\No, I'm not.\I knew it.\You're feeling sorry for yourself.\The people I care about keep leaving me. response:	The people I care about... music takes them away from me.
context: Wow...\Snow.\Are you playing the piano?\No, I'm not.\I knew it.\You're feeling sorry for yourself.\The people I care about keep leaving me.\The people I care about... music takes them away from me. response:	I'm going to be left all alone.
context: Snow.\Are you playing the piano?\No, I'm not.\I knew it.\You're feeling sorry for yourself.\The people I care about keep leaving me.\The people I care about... music takes them away from me.\I'm going to be left all alone. response:	But you have me.
context: Are you playing the piano?\No, I'm not.\I knew it.\You're feeling sorry for yourself.\The people I care about keep leaving me.\The people I care about... music takes them away from me.\I'm going to be left all alone.\But you have me. response:	But you have me.
context: No, I'm not.\I knew it.\You're feeling sorry for yourself.\The people I care about keep leaving me.\The people I care about... music takes them away from me.\I'm going to be left all alone.\But you have me.\But you have me. response:	I'm going to have surgery, see.
context: I knew it.\You're feeling sorry for yourself.\The people I care about keep leaving me.\The people I care about... music takes them away from me.\I'm going to be left all alone.\But you have me.\But you have me.\I'm going to have surgery, see. response:	Training with Hiroko Complete
context: You're feeling sorry for yourself.\The people I care about keep leaving me.\The people I care about... music takes them away from me.\I'm going to be left all alone.\But you have me.\But you have me.\I'm going to have surgery, see.\Training with Hiroko Complete response:	Eastern Japan Piano Competition Finals
context: The people I care about keep leaving me.\The people I care about... music takes them away from me.\I'm going to be left all alone.\But you have me.\But you have me.\I'm going to have surgery, see.\Training with Hiroko Complete\Eastern Japan Piano Competition Finals response:	On February 18.
context: The people I care about... music takes them away from me.\I'm going to be left all alone.\But you have me.\But you have me.\I'm going to have surgery, see.\Training with Hiroko Complete\Eastern Japan Piano Competition Finals\On February 18. response:	I'm going to struggle as hard as I can.
context: I'm going to be left all alone.\But you have me.\But you have me.\I'm going to have surgery, see.\Training with Hiroko Complete\Eastern Japan Piano Competition Finals\On February 18.\I'm going to struggle as hard as I can. response:	Struggle, struggle, struggle, like there's no tomorrow.
context: But you have me.\But you have me.\I'm going to have surgery, see.\Training with Hiroko Complete\Eastern Japan Piano Competition Finals\On February 18.\I'm going to struggle as hard as I can.\Struggle, struggle, struggle, like there's no tomorrow. response:	It's your fault. It's all your fault, all of it.
context: But you have me.\I'm going to have surgery, see.\Training with Hiroko Complete\Eastern Japan Piano Competition Finals\On February 18.\I'm going to struggle as hard as I can.\Struggle, struggle, struggle, like there's no tomorrow.\It's your fault. It's all your fault, all of it. response:	The reason I'm putting up such an unseemly struggle,
context: I'm going to have surgery, see.\Training with Hiroko Complete\Eastern Japan Piano Competition Finals\On February 18.\I'm going to struggle as hard as I can.\Struggle, struggle, struggle, like there's no tomorrow.\It's your fault. It's all your fault, all of it.\The reason I'm putting up such an unseemly struggle, response:	why I'm so fixated on living... it's your fault.
context: Training with Hiroko Complete\Eastern Japan Piano Competition Finals\On February 18.\I'm going to struggle as hard as I can.\Struggle, struggle, struggle, like there's no tomorrow.\It's your fault. It's all your fault, all of it.\The reason I'm putting up such an unseemly struggle,\why I'm so fixated on living... it's your fault. response:	You gave me this desire to cling to the time that I spend with you.
context: Eastern Japan Piano Competition Finals\On February 18.\I'm going to struggle as hard as I can.\Struggle, struggle, struggle, like there's no tomorrow.\It's your fault. It's all your fault, all of it.\The reason I'm putting up such an unseemly struggle,\why I'm so fixated on living... it's your fault.\You gave me this desire to cling to the time that I spend with you. response:	Aren't you going to struggle, too? We're so good at struggling!
context: On February 18.\I'm going to struggle as hard as I can.\Struggle, struggle, struggle, like there's no tomorrow.\It's your fault. It's all your fault, all of it.\The reason I'm putting up such an unseemly struggle,\why I'm so fixated on living... it's your fault.\You gave me this desire to cling to the time that I spend with you.\Aren't you going to struggle, too? We're so good at struggling! response:	We risk our lives to struggle, because we're musicians, remember?
context: I'm going to struggle as hard as I can.\Struggle, struggle, struggle, like there's no tomorrow.\It's your fault. It's all your fault, all of it.\The reason I'm putting up such an unseemly struggle,\why I'm so fixated on living... it's your fault.\You gave me this desire to cling to the time that I spend with you.\Aren't you going to struggle, too? We're so good at struggling!\We risk our lives to struggle, because we're musicians, remember? response:	But...
context: Struggle, struggle, struggle, like there's no tomorrow.\It's your fault. It's all your fault, all of it.\The reason I'm putting up such an unseemly struggle,\why I'm so fixated on living... it's your fault.\You gave me this desire to cling to the time that I spend with you.\Aren't you going to struggle, too? We're so good at struggling!\We risk our lives to struggle, because we're musicians, remember?\But... response:	I haven't touched the piano for a week now. My fingers...
context: It's your fault. It's all your fault, all of it.\The reason I'm putting up such an unseemly struggle,\why I'm so fixated on living... it's your fault.\You gave me this desire to cling to the time that I spend with you.\Aren't you going to struggle, too? We're so good at struggling!\We risk our lives to struggle, because we're musicians, remember?\But...\I haven't touched the piano for a week now. My fingers... response:	It was the same when you were my accompanist.
context: The reason I'm putting up such an unseemly struggle,\why I'm so fixated on living... it's your fault.\You gave me this desire to cling to the time that I spend with you.\Aren't you going to struggle, too? We're so good at struggling!\We risk our lives to struggle, because we're musicians, remember?\But...\I haven't touched the piano for a week now. My fingers...\It was the same when you were my accompanist. response:	Back then, I was always playing the piano for my part-time job.
context: why I'm so fixated on living... it's your fault.\You gave me this desire to cling to the time that I spend with you.\Aren't you going to struggle, too? We're so good at struggling!\We risk our lives to struggle, because we're musicians, remember?\But...\I haven't touched the piano for a week now. My fingers...\It was the same when you were my accompanist.\Back then, I was always playing the piano for my part-time job. response:	No way can I play decently now!
context: You gave me this desire to cling to the time that I spend with you.\Aren't you going to struggle, too? We're so good at struggling!\We risk our lives to struggle, because we're musicians, remember?\But...\I haven't touched the piano for a week now. My fingers...\It was the same when you were my accompanist.\Back then, I was always playing the piano for my part-time job.\No way can I play decently now! response:	Being able to play in this state would be a miracle.
context: Aren't you going to struggle, too? We're so good at struggling!\We risk our lives to struggle, because we're musicians, remember?\But...\I haven't touched the piano for a week now. My fingers...\It was the same when you were my accompanist.\Back then, I was always playing the piano for my part-time job.\No way can I play decently now!\Being able to play in this state would be a miracle. response:	You're looking down again.
context: We risk our lives to struggle, because we're musicians, remember?\But...\I haven't touched the piano for a week now. My fingers...\It was the same when you were my accompanist.\Back then, I was always playing the piano for my part-time job.\No way can I play decently now!\Being able to play in this state would be a miracle.\You're looking down again. response:	See?
context: But...\I haven't touched the piano for a week now. My fingers...\It was the same when you were my accompanist.\Back then, I was always playing the piano for my part-time job.\No way can I play decently now!\Being able to play in this state would be a miracle.\You're looking down again.\See? response:	Miracles can happen just like that!
context: I haven't touched the piano for a week now. My fingers...\It was the same when you were my accompanist.\Back then, I was always playing the piano for my part-time job.\No way can I play decently now!\Being able to play in this state would be a miracle.\You're looking down again.\See?\Miracles can happen just like that! response:	You exist inside me, Kousei Arima.
context: It was the same when you were my accompanist.\Back then, I was always playing the piano for my part-time job.\No way can I play decently now!\Being able to play in this state would be a miracle.\You're looking down again.\See?\Miracles can happen just like that!\You exist inside me, Kousei Arima. response:	You like egg sandwiches. You like Moo Moo Brand milk.
context: Back then, I was always playing the piano for my part-time job.\No way can I play decently now!\Being able to play in this state would be a miracle.\You're looking down again.\See?\Miracles can happen just like that!\You exist inside me, Kousei Arima.\You like egg sandwiches. You like Moo Moo Brand milk. response:	What else do you like? What are your favorite insects?
context: No way can I play decently now!\Being able to play in this state would be a miracle.\You're looking down again.\See?\Miracles can happen just like that!\You exist inside me, Kousei Arima.\You like egg sandwiches. You like Moo Moo Brand milk.\What else do you like? What are your favorite insects? response:	What kind of stuff did you collect? What anime shows did you like?
context: Being able to play in this state would be a miracle.\You're looking down again.\See?\Miracles can happen just like that!\You exist inside me, Kousei Arima.\You like egg sandwiches. You like Moo Moo Brand milk.\What else do you like? What are your favorite insects?\What kind of stuff did you collect? What anime shows did you like? response:	There's so much that I don't know.
context: You're looking down again.\See?\Miracles can happen just like that!\You exist inside me, Kousei Arima.\You like egg sandwiches. You like Moo Moo Brand milk.\What else do you like? What are your favorite insects?\What kind of stuff did you collect? What anime shows did you like?\There's so much that I don't know. response:	I envy Tsubaki-chan for knowing everything.
context: See?\Miracles can happen just like that!\You exist inside me, Kousei Arima.\You like egg sandwiches. You like Moo Moo Brand milk.\What else do you like? What are your favorite insects?\What kind of stuff did you collect? What anime shows did you like?\There's so much that I don't know.\I envy Tsubaki-chan for knowing everything. response:	I want to know so many things about you.
context: Miracles can happen just like that!\You exist inside me, Kousei Arima.\You like egg sandwiches. You like Moo Moo Brand milk.\What else do you like? What are your favorite insects?\What kind of stuff did you collect? What anime shows did you like?\There's so much that I don't know.\I envy Tsubaki-chan for knowing everything.\I want to know so many things about you. response:	So...
context: You exist inside me, Kousei Arima.\You like egg sandwiches. You like Moo Moo Brand milk.\What else do you like? What are your favorite insects?\What kind of stuff did you collect? What anime shows did you like?\There's so much that I don't know.\I envy Tsubaki-chan for knowing everything.\I want to know so many things about you.\So... response:	I'm so scared. I'm so scared.
context: You like egg sandwiches. You like Moo Moo Brand milk.\What else do you like? What are your favorite insects?\What kind of stuff did you collect? What anime shows did you like?\There's so much that I don't know.\I envy Tsubaki-chan for knowing everything.\I want to know so many things about you.\So...\I'm so scared. I'm so scared. response:	Don't leave me all alone!
context: What else do you like? What are your favorite insects?\What kind of stuff did you collect? What anime shows did you like?\There's so much that I don't know.\I envy Tsubaki-chan for knowing everything.\I want to know so many things about you.\So...\I'm so scared. I'm so scared.\Don't leave me all alone! response:	I'm a moron.
context: What kind of stuff did you collect? What anime shows did you like?\There's so much that I don't know.\I envy Tsubaki-chan for knowing everything.\I want to know so many things about you.\So...\I'm so scared. I'm so scared.\Don't leave me all alone!\I'm a moron. response:	She's ultra-violent. Her personality blows. She leaves the worst impression.
context: There's so much that I don't know.\I envy Tsubaki-chan for knowing everything.\I want to know so many things about you.\So...\I'm so scared. I'm so scared.\Don't leave me all alone!\I'm a moron.\She's ultra-violent. Her personality blows. She leaves the worst impression. response:	But...
context: I envy Tsubaki-chan for knowing everything.\I want to know so many things about you.\So...\I'm so scared. I'm so scared.\Don't leave me all alone!\I'm a moron.\She's ultra-violent. Her personality blows. She leaves the worst impression.\But... response:	She's beautiful.
context: I want to know so many things about you.\So...\I'm so scared. I'm so scared.\Don't leave me all alone!\I'm a moron.\She's ultra-violent. Her personality blows. She leaves the worst impression.\But...\She's beautiful. response:	You're so beautiful in the snow.
context: So...\I'm so scared. I'm so scared.\Don't leave me all alone!\I'm a moron.\She's ultra-violent. Her personality blows. She leaves the worst impression.\But...\She's beautiful.\You're so beautiful in the snow. response:	Eastern Japan Piano Competition
context: I'm so scared. I'm so scared.\Don't leave me all alone!\I'm a moron.\She's ultra-violent. Her personality blows. She leaves the worst impression.\But...\She's beautiful.\You're so beautiful in the snow.\Eastern Japan Piano Competition response:	We're going to start the anesthesia, all right?
context: Don't leave me all alone!\I'm a moron.\She's ultra-violent. Her personality blows. She leaves the worst impression.\But...\She's beautiful.\You're so beautiful in the snow.\Eastern Japan Piano Competition\We're going to start the anesthesia, all right? response:	Now take a deep breath.
context: I'm a moron.\She's ultra-violent. Her personality blows. She leaves the worst impression.\But...\She's beautiful.\You're so beautiful in the snow.\Eastern Japan Piano Competition\We're going to start the anesthesia, all right?\Now take a deep breath. response:	Listen, Doctor...
context: She's ultra-violent. Her personality blows. She leaves the worst impression.\But...\She's beautiful.\You're so beautiful in the snow.\Eastern Japan Piano Competition\We're going to start the anesthesia, all right?\Now take a deep breath.\Listen, Doctor... response:	We all need someone to kiss us goodbye.
context: But...\She's beautiful.\You're so beautiful in the snow.\Eastern Japan Piano Competition\We're going to start the anesthesia, all right?\Now take a deep breath.\Listen, Doctor...\We all need someone to kiss us goodbye. response:	Her pulse is stable.
context: She's beautiful.\You're so beautiful in the snow.\Eastern Japan Piano Competition\We're going to start the anesthesia, all right?\Now take a deep breath.\Listen, Doctor...\We all need someone to kiss us goodbye.\Her pulse is stable. response:	Anesthesia induction complete.
context: You're so beautiful in the snow.\Eastern Japan Piano Competition\We're going to start the anesthesia, all right?\Now take a deep breath.\Listen, Doctor...\We all need someone to kiss us goodbye.\Her pulse is stable.\Anesthesia induction complete. response:	We're going to begin the surgery now.
context: Eastern Japan Piano Competition\We're going to start the anesthesia, all right?\Now take a deep breath.\Listen, Doctor...\We all need someone to kiss us goodbye.\Her pulse is stable.\Anesthesia induction complete.\We're going to begin the surgery now. response:	Bravo!
context: We're going to start the anesthesia, all right?\Now take a deep breath.\Listen, Doctor...\We all need someone to kiss us goodbye.\Her pulse is stable.\Anesthesia induction complete.\We're going to begin the surgery now.\Bravo! response:	Igawa-san!
context: Now take a deep breath.\Listen, Doctor...\We all need someone to kiss us goodbye.\Her pulse is stable.\Anesthesia induction complete.\We're going to begin the surgery now.\Bravo!\Igawa-san! response:	You've won... You couldn't have played better, Emi!
