context: What's happened so far! response:	Arima Souichirou. Excellent grades,
context: from a super famous family of doctors......dating back to the Edo Period.\Miyazawa Yukino. Elegant and graceful,\blessed with both beauty and intelligence.\Though an ordinary commoner raised in a middle class family...\The two, who captivate the multitudes around them with their charm,\met in high school.\However,\Arima found out the other day that response:	his opposite number was a mongrel!
context: Miyazawa Yukino. Elegant and graceful,\blessed with both beauty and intelligence.\Though an ordinary commoner raised in a middle class family...\The two, who captivate the multitudes around them with their charm,\met in high school.\However,\Arima found out the other day that\his opposite number was a mongrel! response:	Sis is a moron.
context: blessed with both beauty and intelligence.\Though an ordinary commoner raised in a middle class family...\The two, who captivate the multitudes around them with their charm,\met in high school.\However,\Arima found out the other day that\his opposite number was a mongrel!\Sis is a moron. response:	Even worse, he had confessed his love to her!
context: Though an ordinary commoner raised in a middle class family...\The two, who captivate the multitudes around them with their charm,\met in high school.\However,\Arima found out the other day that\his opposite number was a mongrel!\Sis is a moron.\Even worse, he had confessed his love to her! response:	But Sis, without a second thought, flatly turned him down.
context: The two, who captivate the multitudes around them with their charm,\met in high school.\However,\Arima found out the other day that\his opposite number was a mongrel!\Sis is a moron.\Even worse, he had confessed his love to her!\But Sis, without a second thought, flatly turned him down. response:	And right afterwards, this happened.
context: met in high school.\However,\Arima found out the other day that\his opposite number was a mongrel!\Sis is a moron.\Even worse, he had confessed his love to her!\But Sis, without a second thought, flatly turned him down.\And right afterwards, this happened. response:	Sis is really a moron.
context: However,\Arima found out the other day that\his opposite number was a mongrel!\Sis is a moron.\Even worse, he had confessed his love to her!\But Sis, without a second thought, flatly turned him down.\And right afterwards, this happened.\Sis is really a moron. response:	She's a carp on a cutting board!
context: Arima found out the other day that\his opposite number was a mongrel!\Sis is a moron.\Even worse, he had confessed his love to her!\But Sis, without a second thought, flatly turned him down.\And right afterwards, this happened.\Sis is really a moron.\She's a carp on a cutting board! response:	Having dug her own grave,
context: his opposite number was a mongrel!\Sis is a moron.\Even worse, he had confessed his love to her!\But Sis, without a second thought, flatly turned him down.\And right afterwards, this happened.\Sis is really a moron.\She's a carp on a cutting board!\Having dug her own grave, response:	Sis is now between a rock and a hard place!
context: Sis is a moron.\Even worse, he had confessed his love to her!\But Sis, without a second thought, flatly turned him down.\And right afterwards, this happened.\Sis is really a moron.\She's a carp on a cutting board!\Having dug her own grave,\Sis is now between a rock and a hard place! response:	Now, what will you do, Miyazawa Yukino?!
context: Even worse, he had confessed his love to her!\But Sis, without a second thought, flatly turned him down.\And right afterwards, this happened.\Sis is really a moron.\She's a carp on a cutting board!\Having dug her own grave,\Sis is now between a rock and a hard place!\Now, what will you do, Miyazawa Yukino?! response:	And what about you, Arima Souichirou?!
context: But Sis, without a second thought, flatly turned him down.\And right afterwards, this happened.\Sis is really a moron.\She's a carp on a cutting board!\Having dug her own grave,\Sis is now between a rock and a hard place!\Now, what will you do, Miyazawa Yukino?!\And what about you, Arima Souichirou?! response:	You can tell that something is excellent with just one glance.
context: And right afterwards, this happened.\Sis is really a moron.\She's a carp on a cutting board!\Having dug her own grave,\Sis is now between a rock and a hard place!\Now, what will you do, Miyazawa Yukino?!\And what about you, Arima Souichirou?!\You can tell that something is excellent with just one glance. response:	Arima found out everything.
context: Sis is really a moron.\She's a carp on a cutting board!\Having dug her own grave,\Sis is now between a rock and a hard place!\Now, what will you do, Miyazawa Yukino?!\And what about you, Arima Souichirou?!\You can tell that something is excellent with just one glance.\Arima found out everything. response:	I'll regret it forever.
context: She's a carp on a cutting board!\Having dug her own grave,\Sis is now between a rock and a hard place!\Now, what will you do, Miyazawa Yukino?!\And what about you, Arima Souichirou?!\You can tell that something is excellent with just one glance.\Arima found out everything.\I'll regret it forever. response:	He's a sharp guy.
context: Having dug her own grave,\Sis is now between a rock and a hard place!\Now, what will you do, Miyazawa Yukino?!\And what about you, Arima Souichirou?!\You can tell that something is excellent with just one glance.\Arima found out everything.\I'll regret it forever.\He's a sharp guy. response:	I'm sure he figured out everything just by looking at me.
context: Sis is now between a rock and a hard place!\Now, what will you do, Miyazawa Yukino?!\And what about you, Arima Souichirou?!\You can tell that something is excellent with just one glance.\Arima found out everything.\I'll regret it forever.\He's a sharp guy.\I'm sure he figured out everything just by looking at me. response:	Everything about me at school is a bluff...
context: Now, what will you do, Miyazawa Yukino?!\And what about you, Arima Souichirou?!\You can tell that something is excellent with just one glance.\Arima found out everything.\I'll regret it forever.\He's a sharp guy.\I'm sure he figured out everything just by looking at me.\Everything about me at school is a bluff... response:	Living in vanity. The very embodiment of vanity!
context: And what about you, Arima Souichirou?!\You can tell that something is excellent with just one glance.\Arima found out everything.\I'll regret it forever.\He's a sharp guy.\I'm sure he figured out everything just by looking at me.\Everything about me at school is a bluff...\Living in vanity. The very embodiment of vanity! response:	That was me - Miyazawa Yukino's true form.
context: You can tell that something is excellent with just one glance.\Arima found out everything.\I'll regret it forever.\He's a sharp guy.\I'm sure he figured out everything just by looking at me.\Everything about me at school is a bluff...\Living in vanity. The very embodiment of vanity!\That was me - Miyazawa Yukino's true form. response:	So, what're you going to do, Arima?
context: Arima found out everything.\I'll regret it forever.\He's a sharp guy.\I'm sure he figured out everything just by looking at me.\Everything about me at school is a bluff...\Living in vanity. The very embodiment of vanity!\That was me - Miyazawa Yukino's true form.\So, what're you going to do, Arima? response:	Tell everyone and make a Laughingstock out of me?
context: I'll regret it forever.\He's a sharp guy.\I'm sure he figured out everything just by looking at me.\Everything about me at school is a bluff...\Living in vanity. The very embodiment of vanity!\That was me - Miyazawa Yukino's true form.\So, what're you going to do, Arima?\Tell everyone and make a Laughingstock out of me? response:	Go around holding me in contempt?
context: He's a sharp guy.\I'm sure he figured out everything just by looking at me.\Everything about me at school is a bluff...\Living in vanity. The very embodiment of vanity!\That was me - Miyazawa Yukino's true form.\So, what're you going to do, Arima?\Tell everyone and make a Laughingstock out of me?\Go around holding me in contempt? response:	Or are you going to sympathize with me about how foolish I am...
context: I'm sure he figured out everything just by looking at me.\Everything about me at school is a bluff...\Living in vanity. The very embodiment of vanity!\That was me - Miyazawa Yukino's true form.\So, what're you going to do, Arima?\Tell everyone and make a Laughingstock out of me?\Go around holding me in contempt?\Or are you going to sympathize with me about how foolish I am... response:	Why did Arima, of all people, have to find out?!
context: Everything about me at school is a bluff...\Living in vanity. The very embodiment of vanity!\That was me - Miyazawa Yukino's true form.\So, what're you going to do, Arima?\Tell everyone and make a Laughingstock out of me?\Go around holding me in contempt?\Or are you going to sympathize with me about how foolish I am...\Why did Arima, of all people, have to find out?! response:	He's the one person I wouldn't want to laugh at me, or scorn me...or feel
context: Living in vanity. The very embodiment of vanity!\That was me - Miyazawa Yukino's true form.\So, what're you going to do, Arima?\Tell everyone and make a Laughingstock out of me?\Go around holding me in contempt?\Or are you going to sympathize with me about how foolish I am...\Why did Arima, of all people, have to find out?!\He's the one person I wouldn't want to laugh at me, or scorn me...or feel response:	sorry for me!
context: That was me - Miyazawa Yukino's true form.\So, what're you going to do, Arima?\Tell everyone and make a Laughingstock out of me?\Go around holding me in contempt?\Or are you going to sympathize with me about how foolish I am...\Why did Arima, of all people, have to find out?!\He's the one person I wouldn't want to laugh at me, or scorn me...or feel\sorry for me! response:	Hey, guys, Miyazawa was
context: So, what're you going to do, Arima?\Tell everyone and make a Laughingstock out of me?\Go around holding me in contempt?\Or are you going to sympathize with me about how foolish I am...\Why did Arima, of all people, have to find out?!\He's the one person I wouldn't want to laugh at me, or scorn me...or feel\sorry for me!\Hey, guys, Miyazawa was response:	just looking this way.
context: Tell everyone and make a Laughingstock out of me?\Go around holding me in contempt?\Or are you going to sympathize with me about how foolish I am...\Why did Arima, of all people, have to find out?!\He's the one person I wouldn't want to laugh at me, or scorn me...or feel\sorry for me!\Hey, guys, Miyazawa was\just looking this way. response:	Could it be me?
context: Go around holding me in contempt?\Or are you going to sympathize with me about how foolish I am...\Why did Arima, of all people, have to find out?!\He's the one person I wouldn't want to laugh at me, or scorn me...or feel\sorry for me!\Hey, guys, Miyazawa was\just looking this way.\Could it be me? response:	Moron, who'd go out with you?
context: Or are you going to sympathize with me about how foolish I am...\Why did Arima, of all people, have to find out?!\He's the one person I wouldn't want to laugh at me, or scorn me...or feel\sorry for me!\Hey, guys, Miyazawa was\just looking this way.\Could it be me?\Moron, who'd go out with you? response:	Yeah, really.
context: Why did Arima, of all people, have to find out?!\He's the one person I wouldn't want to laugh at me, or scorn me...or feel\sorry for me!\Hey, guys, Miyazawa was\just looking this way.\Could it be me?\Moron, who'd go out with you?\Yeah, really. response:	But she's really something.
context: He's the one person I wouldn't want to laugh at me, or scorn me...or feel\sorry for me!\Hey, guys, Miyazawa was\just looking this way.\Could it be me?\Moron, who'd go out with you?\Yeah, really.\But she's really something. response:	All slim and feminine and stuff...
context: sorry for me!\Hey, guys, Miyazawa was\just looking this way.\Could it be me?\Moron, who'd go out with you?\Yeah, really.\But she's really something.\All slim and feminine and stuff... response:	Maybe I should go and confess my love to her...
context: Hey, guys, Miyazawa was\just looking this way.\Could it be me?\Moron, who'd go out with you?\Yeah, really.\But she's really something.\All slim and feminine and stuff...\Maybe I should go and confess my love to her... response:	It's no use.
context: just looking this way.\Could it be me?\Moron, who'd go out with you?\Yeah, really.\But she's really something.\All slim and feminine and stuff...\Maybe I should go and confess my love to her...\It's no use. response:	You'd just end up getting hurt.
context: Could it be me?\Moron, who'd go out with you?\Yeah, really.\But she's really something.\All slim and feminine and stuff...\Maybe I should go and confess my love to her...\It's no use.\You'd just end up getting hurt. response:	I waited for judgement day with much anxiety.
context: Moron, who'd go out with you?\Yeah, really.\But she's really something.\All slim and feminine and stuff...\Maybe I should go and confess my love to her...\It's no use.\You'd just end up getting hurt.\I waited for judgement day with much anxiety. response:	All those girls who are smiling at me now...
context: Yeah, really.\But she's really something.\All slim and feminine and stuff...\Maybe I should go and confess my love to her...\It's no use.\You'd just end up getting hurt.\I waited for judgement day with much anxiety.\All those girls who are smiling at me now... response:	When they find out tomorrow that they've been deceived...
context: But she's really something.\All slim and feminine and stuff...\Maybe I should go and confess my love to her...\It's no use.\You'd just end up getting hurt.\I waited for judgement day with much anxiety.\All those girls who are smiling at me now...\When they find out tomorrow that they've been deceived... response:	UUU...
context: All slim and feminine and stuff...\Maybe I should go and confess my love to her...\It's no use.\You'd just end up getting hurt.\I waited for judgement day with much anxiety.\All those girls who are smiling at me now...\When they find out tomorrow that they've been deceived...\UUU... response:	By the way, about last lecture...
context: Maybe I should go and confess my love to her...\It's no use.\You'd just end up getting hurt.\I waited for judgement day with much anxiety.\All those girls who are smiling at me now...\When they find out tomorrow that they've been deceived...\UUU...\By the way, about last lecture... response:	The teacher's so mean...
context: It's no use.\You'd just end up getting hurt.\I waited for judgement day with much anxiety.\All those girls who are smiling at me now...\When they find out tomorrow that they've been deceived...\UUU...\By the way, about last lecture...\The teacher's so mean... response:	And he just talks forever...
context: You'd just end up getting hurt.\I waited for judgement day with much anxiety.\All those girls who are smiling at me now...\When they find out tomorrow that they've been deceived...\UUU...\By the way, about last lecture...\The teacher's so mean...\And he just talks forever... response:	I wish he'd give us a break...
context: I waited for judgement day with much anxiety.\All those girls who are smiling at me now...\When they find out tomorrow that they've been deceived...\UUU...\By the way, about last lecture...\The teacher's so mean...\And he just talks forever...\I wish he'd give us a break... response:	Yeah, really.
context: All those girls who are smiling at me now...\When they find out tomorrow that they've been deceived...\UUU...\By the way, about last lecture...\The teacher's so mean...\And he just talks forever...\I wish he'd give us a break...\Yeah, really. response:	But, even after several days,
context: When they find out tomorrow that they've been deceived...\UUU...\By the way, about last lecture...\The teacher's so mean...\And he just talks forever...\I wish he'd give us a break...\Yeah, really.\But, even after several days, response:	Arima hasn't said anything to me.
context: UUU...\By the way, about last lecture...\The teacher's so mean...\And he just talks forever...\I wish he'd give us a break...\Yeah, really.\But, even after several days,\Arima hasn't said anything to me. response:	It doesn't look like he told anyone...
context: By the way, about last lecture...\The teacher's so mean...\And he just talks forever...\I wish he'd give us a break...\Yeah, really.\But, even after several days,\Arima hasn't said anything to me.\It doesn't look like he told anyone... response:	Even after days and days passed nothing at all happened. **Several days several days several...**
context: The teacher's so mean...\And he just talks forever...\I wish he'd give us a break...\Yeah, really.\But, even after several days,\Arima hasn't said anything to me.\It doesn't look like he told anyone...\Even after days and days passed nothing at all happened. **Several days several days several...** response:	Finally, a week later...
context: And he just talks forever...\I wish he'd give us a break...\Yeah, really.\But, even after several days,\Arima hasn't said anything to me.\It doesn't look like he told anyone...\Even after days and days passed nothing at all happened. **Several days several days several...**\Finally, a week later... response:	Could it be that he just let it slide?
context: I wish he'd give us a break...\Yeah, really.\But, even after several days,\Arima hasn't said anything to me.\It doesn't look like he told anyone...\Even after days and days passed nothing at all happened. **Several days several days several...**\Finally, a week later...\Could it be that he just let it slide? response:	That's it!
context: Yeah, really.\But, even after several days,\Arima hasn't said anything to me.\It doesn't look like he told anyone...\Even after days and days passed nothing at all happened. **Several days several days several...**\Finally, a week later...\Could it be that he just let it slide?\That's it! response:	It's because he's been brought up well and has good character!
context: But, even after several days,\Arima hasn't said anything to me.\It doesn't look like he told anyone...\Even after days and days passed nothing at all happened. **Several days several days several...**\Finally, a week later...\Could it be that he just let it slide?\That's it!\It's because he's been brought up well and has good character! response:	He wouldn't go around talking behind people's backs... and doing petty things like that!
context: Arima hasn't said anything to me.\It doesn't look like he told anyone...\Even after days and days passed nothing at all happened. **Several days several days several...**\Finally, a week later...\Could it be that he just let it slide?\That's it!\It's because he's been brought up well and has good character!\He wouldn't go around talking behind people's backs... and doing petty things like that! response:	That's it! I'm so LUCKY! ALRIGHT!
context: It doesn't look like he told anyone...\Even after days and days passed nothing at all happened. **Several days several days several...**\Finally, a week later...\Could it be that he just let it slide?\That's it!\It's because he's been brought up well and has good character!\He wouldn't go around talking behind people's backs... and doing petty things like that!\That's it! I'm so LUCKY! ALRIGHT! response:	So, I was relieved.
context: Even after days and days passed nothing at all happened. **Several days several days several...**\Finally, a week later...\Could it be that he just let it slide?\That's it!\It's because he's been brought up well and has good character!\He wouldn't go around talking behind people's backs... and doing petty things like that!\That's it! I'm so LUCKY! ALRIGHT!\So, I was relieved. response:	Gotta go to the library.
context: Finally, a week later...\Could it be that he just let it slide?\That's it!\It's because he's been brought up well and has good character!\He wouldn't go around talking behind people's backs... and doing petty things like that!\That's it! I'm so LUCKY! ALRIGHT!\So, I was relieved.\Gotta go to the library. response:	But at that time, who would have guessed...
context: Could it be that he just let it slide?\That's it!\It's because he's been brought up well and has good character!\He wouldn't go around talking behind people's backs... and doing petty things like that!\That's it! I'm so LUCKY! ALRIGHT!\So, I was relieved.\Gotta go to the library.\But at that time, who would have guessed... response:	You're letting your face slip.
context: That's it!\It's because he's been brought up well and has good character!\He wouldn't go around talking behind people's backs... and doing petty things like that!\That's it! I'm so LUCKY! ALRIGHT!\So, I was relieved.\Gotta go to the library.\But at that time, who would have guessed...\You're letting your face slip. response:	Am I some kind of demon?
context: It's because he's been brought up well and has good character!\He wouldn't go around talking behind people's backs... and doing petty things like that!\That's it! I'm so LUCKY! ALRIGHT!\So, I was relieved.\Gotta go to the library.\But at that time, who would have guessed...\You're letting your face slip.\Am I some kind of demon? response:	Surprised you, huh?
context: He wouldn't go around talking behind people's backs... and doing petty things like that!\That's it! I'm so LUCKY! ALRIGHT!\So, I was relieved.\Gotta go to the library.\But at that time, who would have guessed...\You're letting your face slip.\Am I some kind of demon?\Surprised you, huh? response:	I know what you're thinking.
context: That's it! I'm so LUCKY! ALRIGHT!\So, I was relieved.\Gotta go to the library.\But at that time, who would have guessed...\You're letting your face slip.\Am I some kind of demon?\Surprised you, huh?\I know what you're thinking. response:	I saw you at a bad time, didn't I?
context: So, I was relieved.\Gotta go to the library.\But at that time, who would have guessed...\You're letting your face slip.\Am I some kind of demon?\Surprised you, huh?\I know what you're thinking.\I saw you at a bad time, didn't I? response:	You had even me completely fooled.
context: Gotta go to the library.\But at that time, who would have guessed...\You're letting your face slip.\Am I some kind of demon?\Surprised you, huh?\I know what you're thinking.\I saw you at a bad time, didn't I?\You had even me completely fooled. response:	I never would have thought that the innocent Little Miyazawa was this kind of person.
context: But at that time, who would have guessed...\You're letting your face slip.\Am I some kind of demon?\Surprised you, huh?\I know what you're thinking.\I saw you at a bad time, didn't I?\You had even me completely fooled.\I never would have thought that the innocent Little Miyazawa was this kind of person. response:	I bet everyone will be so surprised!
context: You're letting your face slip.\Am I some kind of demon?\Surprised you, huh?\I know what you're thinking.\I saw you at a bad time, didn't I?\You had even me completely fooled.\I never would have thought that the innocent Little Miyazawa was this kind of person.\I bet everyone will be so surprised! response:	I bet it'll be a big sensation.
context: Am I some kind of demon?\Surprised you, huh?\I know what you're thinking.\I saw you at a bad time, didn't I?\You had even me completely fooled.\I never would have thought that the innocent Little Miyazawa was this kind of person.\I bet everyone will be so surprised!\I bet it'll be a big sensation. response:	I wonder how they'll react...
context: Surprised you, huh?\I know what you're thinking.\I saw you at a bad time, didn't I?\You had even me completely fooled.\I never would have thought that the innocent Little Miyazawa was this kind of person.\I bet everyone will be so surprised!\I bet it'll be a big sensation.\I wonder how they'll react... response:	Maybe they'll laugh. Maybe they'll be disgusted.
context: I know what you're thinking.\I saw you at a bad time, didn't I?\You had even me completely fooled.\I never would have thought that the innocent Little Miyazawa was this kind of person.\I bet everyone will be so surprised!\I bet it'll be a big sensation.\I wonder how they'll react...\Maybe they'll laugh. Maybe they'll be disgusted. response:	What is it, Miyazawa?
context: I saw you at a bad time, didn't I?\You had even me completely fooled.\I never would have thought that the innocent Little Miyazawa was this kind of person.\I bet everyone will be so surprised!\I bet it'll be a big sensation.\I wonder how they'll react...\Maybe they'll laugh. Maybe they'll be disgusted.\What is it, Miyazawa? response:	Don't... don't tell anyone.
context: You had even me completely fooled.\I never would have thought that the innocent Little Miyazawa was this kind of person.\I bet everyone will be so surprised!\I bet it'll be a big sensation.\I wonder how they'll react...\Maybe they'll laugh. Maybe they'll be disgusted.\What is it, Miyazawa?\Don't... don't tell anyone. response:	Don't tell anyone, p-l-e-a-s-e.
context: I never would have thought that the innocent Little Miyazawa was this kind of person.\I bet everyone will be so surprised!\I bet it'll be a big sensation.\I wonder how they'll react...\Maybe they'll laugh. Maybe they'll be disgusted.\What is it, Miyazawa?\Don't... don't tell anyone.\Don't tell anyone, p-l-e-a-s-e. response:	Don't tell anyone, please.
context: I bet everyone will be so surprised!\I bet it'll be a big sensation.\I wonder how they'll react...\Maybe they'll laugh. Maybe they'll be disgusted.\What is it, Miyazawa?\Don't... don't tell anyone.\Don't tell anyone, p-l-e-a-s-e.\Don't tell anyone, please. response:	Okay, fine.
context: I bet it'll be a big sensation.\I wonder how they'll react...\Maybe they'll laugh. Maybe they'll be disgusted.\What is it, Miyazawa?\Don't... don't tell anyone.\Don't tell anyone, p-l-e-a-s-e.\Don't tell anyone, please.\Okay, fine. response:	Lucky!
context: I wonder how they'll react...\Maybe they'll laugh. Maybe they'll be disgusted.\What is it, Miyazawa?\Don't... don't tell anyone.\Don't tell anyone, p-l-e-a-s-e.\Don't tell anyone, please.\Okay, fine.\Lucky! response:	Could you do those for me by tonight?
context: Maybe they'll laugh. Maybe they'll be disgusted.\What is it, Miyazawa?\Don't... don't tell anyone.\Don't tell anyone, p-l-e-a-s-e.\Don't tell anyone, please.\Okay, fine.\Lucky!\Could you do those for me by tonight? response:	Well, I've got practice to go to, so...
context: What is it, Miyazawa?\Don't... don't tell anyone.\Don't tell anyone, p-l-e-a-s-e.\Don't tell anyone, please.\Okay, fine.\Lucky!\Could you do those for me by tonight?\Well, I've got practice to go to, so... response:	What is this?
context: Don't... don't tell anyone.\Don't tell anyone, p-l-e-a-s-e.\Don't tell anyone, please.\Okay, fine.\Lucky!\Could you do those for me by tonight?\Well, I've got practice to go to, so...\What is this? response:	And who was that just now?!
context: Don't tell anyone, p-l-e-a-s-e.\Don't tell anyone, please.\Okay, fine.\Lucky!\Could you do those for me by tonight?\Well, I've got practice to go to, so...\What is this?\And who was that just now?! response:	Who the heck was that freaky dude?!
context: Don't tell anyone, please.\Okay, fine.\Lucky!\Could you do those for me by tonight?\Well, I've got practice to go to, so...\What is this?\And who was that just now?!\Who the heck was that freaky dude?! response:	Well then, Arima, translate what we just read.
context: Okay, fine.\Lucky!\Could you do those for me by tonight?\Well, I've got practice to go to, so...\What is this?\And who was that just now?!\Who the heck was that freaky dude?!\Well then, Arima, translate what we just read. response:	Yes. ma'am. He was gasping for breath...
context: Lucky!\Could you do those for me by tonight?\Well, I've got practice to go to, so...\What is this?\And who was that just now?!\Who the heck was that freaky dude?!\Well then, Arima, translate what we just read.\Yes. ma'am. He was gasping for breath... response:	But as he looked greatly pained and sorely tired. The Emperor...
context: Could you do those for me by tonight?\Well, I've got practice to go to, so...\What is this?\And who was that just now?!\Who the heck was that freaky dude?!\Well then, Arima, translate what we just read.\Yes. ma'am. He was gasping for breath...\But as he looked greatly pained and sorely tired. The Emperor... response:	Now then, Miyazawa, interpret it.
context: Well, I've got practice to go to, so...\What is this?\And who was that just now?!\Who the heck was that freaky dude?!\Well then, Arima, translate what we just read.\Yes. ma'am. He was gasping for breath...\But as he looked greatly pained and sorely tired. The Emperor...\Now then, Miyazawa, interpret it. response:	Yes, ma'am.
context: What is this?\And who was that just now?!\Who the heck was that freaky dude?!\Well then, Arima, translate what we just read.\Yes. ma'am. He was gasping for breath...\But as he looked greatly pained and sorely tired. The Emperor...\Now then, Miyazawa, interpret it.\Yes, ma'am. response:	The words men and women are used here to symbolize and express the rise of emotions.
context: And who was that just now?!\Who the heck was that freaky dude?!\Well then, Arima, translate what we just read.\Yes. ma'am. He was gasping for breath...\But as he looked greatly pained and sorely tired. The Emperor...\Now then, Miyazawa, interpret it.\Yes, ma'am.\The words men and women are used here to symbolize and express the rise of emotions. response:	In those times death inside the court was considered unclean...
context: Who the heck was that freaky dude?!\Well then, Arima, translate what we just read.\Yes. ma'am. He was gasping for breath...\But as he looked greatly pained and sorely tired. The Emperor...\Now then, Miyazawa, interpret it.\Yes, ma'am.\The words men and women are used here to symbolize and express the rise of emotions.\In those times death inside the court was considered unclean... response:	Yes, that's correct.
context: Well then, Arima, translate what we just read.\Yes. ma'am. He was gasping for breath...\But as he looked greatly pained and sorely tired. The Emperor...\Now then, Miyazawa, interpret it.\Yes, ma'am.\The words men and women are used here to symbolize and express the rise of emotions.\In those times death inside the court was considered unclean...\Yes, that's correct. response:	Extremely impressive job from you two.
context: Yes. ma'am. He was gasping for breath...\But as he looked greatly pained and sorely tired. The Emperor...\Now then, Miyazawa, interpret it.\Yes, ma'am.\The words men and women are used here to symbolize and express the rise of emotions.\In those times death inside the court was considered unclean...\Yes, that's correct.\Extremely impressive job from you two. response:	They echo words of admiration so easily.
context: But as he looked greatly pained and sorely tired. The Emperor...\Now then, Miyazawa, interpret it.\Yes, ma'am.\The words men and women are used here to symbolize and express the rise of emotions.\In those times death inside the court was considered unclean...\Yes, that's correct.\Extremely impressive job from you two.\They echo words of admiration so easily. response:	None of these people know...
context: Now then, Miyazawa, interpret it.\Yes, ma'am.\The words men and women are used here to symbolize and express the rise of emotions.\In those times death inside the court was considered unclean...\Yes, that's correct.\Extremely impressive job from you two.\They echo words of admiration so easily.\None of these people know... response:	After that, the
context: Yes, ma'am.\The words men and women are used here to symbolize and express the rise of emotions.\In those times death inside the court was considered unclean...\Yes, that's correct.\Extremely impressive job from you two.\They echo words of admiration so easily.\None of these people know...\After that, the response:	curtain rose on my tragedy.
context: The words men and women are used here to symbolize and express the rise of emotions.\In those times death inside the court was considered unclean...\Yes, that's correct.\Extremely impressive job from you two.\They echo words of admiration so easily.\None of these people know...\After that, the\curtain rose on my tragedy. response:	Evening! Ah, you're really going at it.
context: In those times death inside the court was considered unclean...\Yes, that's correct.\Extremely impressive job from you two.\They echo words of admiration so easily.\None of these people know...\After that, the\curtain rose on my tragedy.\Evening! Ah, you're really going at it. response:	Good work. Wow, perfect!
context: Yes, that's correct.\Extremely impressive job from you two.\They echo words of admiration so easily.\None of these people know...\After that, the\curtain rose on my tragedy.\Evening! Ah, you're really going at it.\Good work. Wow, perfect! response:	And you're done already.
context: Extremely impressive job from you two.\They echo words of admiration so easily.\None of these people know...\After that, the\curtain rose on my tragedy.\Evening! Ah, you're really going at it.\Good work. Wow, perfect!\And you're done already. response:	Incredible. That's my Miyazawa.
context: They echo words of admiration so easily.\None of these people know...\After that, the\curtain rose on my tragedy.\Evening! Ah, you're really going at it.\Good work. Wow, perfect!\And you're done already.\Incredible. That's my Miyazawa. response:	Now see here! What do you think you're doing?!
context: None of these people know...\After that, the\curtain rose on my tragedy.\Evening! Ah, you're really going at it.\Good work. Wow, perfect!\And you're done already.\Incredible. That's my Miyazawa.\Now see here! What do you think you're doing?! response:	Why're you making me do this stuff?!
context: After that, the\curtain rose on my tragedy.\Evening! Ah, you're really going at it.\Good work. Wow, perfect!\And you're done already.\Incredible. That's my Miyazawa.\Now see here! What do you think you're doing?!\Why're you making me do this stuff?! response:	Because,
context: curtain rose on my tragedy.\Evening! Ah, you're really going at it.\Good work. Wow, perfect!\And you're done already.\Incredible. That's my Miyazawa.\Now see here! What do you think you're doing?!\Why're you making me do this stuff?!\Because, response:	I'm taking advantage of your weakness...
