context: It's not fair to control an innocent boy's mind against his will! response:	As long as the moon shines in the night sky,
context: My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance response:	Hi, I'm Usagi Tsukino.
context: Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Hi, I'm Usagi Tsukino. response:	As you know, I am the sailor warrior of love and justice,
context: Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Hi, I'm Usagi Tsukino.\As you know, I am the sailor warrior of love and justice, response:	Sailor Moon!
context: Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Hi, I'm Usagi Tsukino.\As you know, I am the sailor warrior of love and justice,\Sailor Moon! response:	At last, the fourth member of our group appeared!
context: We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Hi, I'm Usagi Tsukino.\As you know, I am the sailor warrior of love and justice,\Sailor Moon!\At last, the fourth member of our group appeared! response:	She's sweet and she's strong.
context: I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Hi, I'm Usagi Tsukino.\As you know, I am the sailor warrior of love and justice,\Sailor Moon!\At last, the fourth member of our group appeared!\She's sweet and she's strong. response:	Makoto Kino is Sailor Jupiter!
context: We were born in the same land, miracle romance\I believe in it, miracle romance\Hi, I'm Usagi Tsukino.\As you know, I am the sailor warrior of love and justice,\Sailor Moon!\At last, the fourth member of our group appeared!\She's sweet and she's strong.\Makoto Kino is Sailor Jupiter! response:	With all four sailor warriors together now,
context: I believe in it, miracle romance\Hi, I'm Usagi Tsukino.\As you know, I am the sailor warrior of love and justice,\Sailor Moon!\At last, the fourth member of our group appeared!\She's sweet and she's strong.\Makoto Kino is Sailor Jupiter!\With all four sailor warriors together now, response:	it's like we're unbeatable now, you know?
context: Hi, I'm Usagi Tsukino.\As you know, I am the sailor warrior of love and justice,\Sailor Moon!\At last, the fourth member of our group appeared!\She's sweet and she's strong.\Makoto Kino is Sailor Jupiter!\With all four sailor warriors together now,\it's like we're unbeatable now, you know? response:	Love For Ami?! A Boy Who Can Predicts The Future
context: As you know, I am the sailor warrior of love and justice,\Sailor Moon!\At last, the fourth member of our group appeared!\She's sweet and she's strong.\Makoto Kino is Sailor Jupiter!\With all four sailor warriors together now,\it's like we're unbeatable now, you know?\Love For Ami?! A Boy Who Can Predicts The Future response:	There are a total of seven rainbow crystals.
context: Sailor Moon!\At last, the fourth member of our group appeared!\She's sweet and she's strong.\Makoto Kino is Sailor Jupiter!\With all four sailor warriors together now,\it's like we're unbeatable now, you know?\Love For Ami?! A Boy Who Can Predicts The Future\There are a total of seven rainbow crystals. response:	If we do not collect them all,
context: At last, the fourth member of our group appeared!\She's sweet and she's strong.\Makoto Kino is Sailor Jupiter!\With all four sailor warriors together now,\it's like we're unbeatable now, you know?\Love For Ami?! A Boy Who Can Predicts The Future\There are a total of seven rainbow crystals.\If we do not collect them all, response:	we cannot obtain the legendary Silver Crystal.
context: She's sweet and she's strong.\Makoto Kino is Sailor Jupiter!\With all four sailor warriors together now,\it's like we're unbeatable now, you know?\Love For Ami?! A Boy Who Can Predicts The Future\There are a total of seven rainbow crystals.\If we do not collect them all,\we cannot obtain the legendary Silver Crystal. response:	I assume you are aware of this.
context: Makoto Kino is Sailor Jupiter!\With all four sailor warriors together now,\it's like we're unbeatable now, you know?\Love For Ami?! A Boy Who Can Predicts The Future\There are a total of seven rainbow crystals.\If we do not collect them all,\we cannot obtain the legendary Silver Crystal.\I assume you are aware of this. response:	Yes, my lady.
context: With all four sailor warriors together now,\it's like we're unbeatable now, you know?\Love For Ami?! A Boy Who Can Predicts The Future\There are a total of seven rainbow crystals.\If we do not collect them all,\we cannot obtain the legendary Silver Crystal.\I assume you are aware of this.\Yes, my lady. response:	Yes, we do have one in our possession,
context: it's like we're unbeatable now, you know?\Love For Ami?! A Boy Who Can Predicts The Future\There are a total of seven rainbow crystals.\If we do not collect them all,\we cannot obtain the legendary Silver Crystal.\I assume you are aware of this.\Yes, my lady.\Yes, we do have one in our possession, response:	but another was taken by this so-called Tuxedo Mask!
context: Love For Ami?! A Boy Who Can Predicts The Future\There are a total of seven rainbow crystals.\If we do not collect them all,\we cannot obtain the legendary Silver Crystal.\I assume you are aware of this.\Yes, my lady.\Yes, we do have one in our possession,\but another was taken by this so-called Tuxedo Mask! response:	This is an appalling blunder.
context: There are a total of seven rainbow crystals.\If we do not collect them all,\we cannot obtain the legendary Silver Crystal.\I assume you are aware of this.\Yes, my lady.\Yes, we do have one in our possession,\but another was taken by this so-called Tuxedo Mask!\This is an appalling blunder. response:	I am terribly sorry.
context: If we do not collect them all,\we cannot obtain the legendary Silver Crystal.\I assume you are aware of this.\Yes, my lady.\Yes, we do have one in our possession,\but another was taken by this so-called Tuxedo Mask!\This is an appalling blunder.\I am terribly sorry. response:	Please do not worry, Queen Beryl.
context: we cannot obtain the legendary Silver Crystal.\I assume you are aware of this.\Yes, my lady.\Yes, we do have one in our possession,\but another was taken by this so-called Tuxedo Mask!\This is an appalling blunder.\I am terribly sorry.\Please do not worry, Queen Beryl. response:	He is certain to come after the other rainbow crystals.
context: I assume you are aware of this.\Yes, my lady.\Yes, we do have one in our possession,\but another was taken by this so-called Tuxedo Mask!\This is an appalling blunder.\I am terribly sorry.\Please do not worry, Queen Beryl.\He is certain to come after the other rainbow crystals. response:	If we attack him then,
context: Yes, my lady.\Yes, we do have one in our possession,\but another was taken by this so-called Tuxedo Mask!\This is an appalling blunder.\I am terribly sorry.\Please do not worry, Queen Beryl.\He is certain to come after the other rainbow crystals.\If we attack him then, response:	we will surely take back the rainbow crystal from him.
context: Yes, we do have one in our possession,\but another was taken by this so-called Tuxedo Mask!\This is an appalling blunder.\I am terribly sorry.\Please do not worry, Queen Beryl.\He is certain to come after the other rainbow crystals.\If we attack him then,\we will surely take back the rainbow crystal from him. response:	Then, get a hold of the other five rainbow crystals
context: but another was taken by this so-called Tuxedo Mask!\This is an appalling blunder.\I am terribly sorry.\Please do not worry, Queen Beryl.\He is certain to come after the other rainbow crystals.\If we attack him then,\we will surely take back the rainbow crystal from him.\Then, get a hold of the other five rainbow crystals response:	at once.
context: This is an appalling blunder.\I am terribly sorry.\Please do not worry, Queen Beryl.\He is certain to come after the other rainbow crystals.\If we attack him then,\we will surely take back the rainbow crystal from him.\Then, get a hold of the other five rainbow crystals\at once. response:	Search them out so we can revive our great ruler!
context: I am terribly sorry.\Please do not worry, Queen Beryl.\He is certain to come after the other rainbow crystals.\If we attack him then,\we will surely take back the rainbow crystal from him.\Then, get a hold of the other five rainbow crystals\at once.\Search them out so we can revive our great ruler! response:	Safety + First
context: Please do not worry, Queen Beryl.\He is certain to come after the other rainbow crystals.\If we attack him then,\we will surely take back the rainbow crystal from him.\Then, get a hold of the other five rainbow crystals\at once.\Search them out so we can revive our great ruler!\Safety + First response:	Safety + First Danger Overhead
context: He is certain to come after the other rainbow crystals.\If we attack him then,\we will surely take back the rainbow crystal from him.\Then, get a hold of the other five rainbow crystals\at once.\Search them out so we can revive our great ruler!\Safety + First\Safety + First Danger Overhead response:	Math
context: If we attack him then,\we will surely take back the rainbow crystal from him.\Then, get a hold of the other five rainbow crystals\at once.\Search them out so we can revive our great ruler!\Safety + First\Safety + First Danger Overhead\Math response:	Miss Mizuno!
context: we will surely take back the rainbow crystal from him.\Then, get a hold of the other five rainbow crystals\at once.\Search them out so we can revive our great ruler!\Safety + First\Safety + First Danger Overhead\Math\Miss Mizuno! response:	Pardon the inconvenience Miss Mizuno!
context: Then, get a hold of the other five rainbow crystals\at once.\Search them out so we can revive our great ruler!\Safety + First\Safety + First Danger Overhead\Math\Miss Mizuno!\Pardon the inconvenience Miss Mizuno! response:	Pardon the inconvenience
context: at once.\Search them out so we can revive our great ruler!\Safety + First\Safety + First Danger Overhead\Math\Miss Mizuno!\Pardon the inconvenience Miss Mizuno!\Pardon the inconvenience response:	Pardon the inconvenience Oh, Urawa. Good morning.
context: Search them out so we can revive our great ruler!\Safety + First\Safety + First Danger Overhead\Math\Miss Mizuno!\Pardon the inconvenience Miss Mizuno!\Pardon the inconvenience\Pardon the inconvenience Oh, Urawa. Good morning. response:	Good morning. Well...
context: Safety + First\Safety + First Danger Overhead\Math\Miss Mizuno!\Pardon the inconvenience Miss Mizuno!\Pardon the inconvenience\Pardon the inconvenience Oh, Urawa. Good morning.\Good morning. Well... response:	What is it? Is something the matter?
context: Safety + First Danger Overhead\Math\Miss Mizuno!\Pardon the inconvenience Miss Mizuno!\Pardon the inconvenience\Pardon the inconvenience Oh, Urawa. Good morning.\Good morning. Well...\What is it? Is something the matter? response:	Watch out!
context: Math\Miss Mizuno!\Pardon the inconvenience Miss Mizuno!\Pardon the inconvenience\Pardon the inconvenience Oh, Urawa. Good morning.\Good morning. Well...\What is it? Is something the matter?\Watch out! response:	Are you all right?! Are you injured?!
context: Miss Mizuno!\Pardon the inconvenience Miss Mizuno!\Pardon the inconvenience\Pardon the inconvenience Oh, Urawa. Good morning.\Good morning. Well...\What is it? Is something the matter?\Watch out!\Are you all right?! Are you injured?! response:	Juban Municipal Junior High School
context: Pardon the inconvenience Miss Mizuno!\Pardon the inconvenience\Pardon the inconvenience Oh, Urawa. Good morning.\Good morning. Well...\What is it? Is something the matter?\Watch out!\Are you all right?! Are you injured?!\Juban Municipal Junior High School response:	It's the results of the midterm exam!
context: Pardon the inconvenience\Pardon the inconvenience Oh, Urawa. Good morning.\Good morning. Well...\What is it? Is something the matter?\Watch out!\Are you all right?! Are you injured?!\Juban Municipal Junior High School\It's the results of the midterm exam! response:	199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points
context: Pardon the inconvenience Oh, Urawa. Good morning.\Good morning. Well...\What is it? Is something the matter?\Watch out!\Are you all right?! Are you injured?!\Juban Municipal Junior High School\It's the results of the midterm exam!\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points response:	199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points Wow! My grade is up!
context: Good morning. Well...\What is it? Is something the matter?\Watch out!\Are you all right?! Are you injured?!\Juban Municipal Junior High School\It's the results of the midterm exam!\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points Wow! My grade is up! response:	Oh, my mom's gonna get mad at me again.
context: What is it? Is something the matter?\Watch out!\Are you all right?! Are you injured?!\Juban Municipal Junior High School\It's the results of the midterm exam!\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points Wow! My grade is up!\Oh, my mom's gonna get mad at me again. response:	Oh man, your grade is bad, Usagi. You should study more.
context: Watch out!\Are you all right?! Are you injured?!\Juban Municipal Junior High School\It's the results of the midterm exam!\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points Wow! My grade is up!\Oh, my mom's gonna get mad at me again.\Oh man, your grade is bad, Usagi. You should study more. response:	You, too, Mako!
context: Are you all right?! Are you injured?!\Juban Municipal Junior High School\It's the results of the midterm exam!\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points Wow! My grade is up!\Oh, my mom's gonna get mad at me again.\Oh man, your grade is bad, Usagi. You should study more.\You, too, Mako! response:	199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points You, too, Mako!
context: Juban Municipal Junior High School\It's the results of the midterm exam!\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points Wow! My grade is up!\Oh, my mom's gonna get mad at me again.\Oh man, your grade is bad, Usagi. You should study more.\You, too, Mako!\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points You, too, Mako! response:	199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points
context: It's the results of the midterm exam!\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points Wow! My grade is up!\Oh, my mom's gonna get mad at me again.\Oh man, your grade is bad, Usagi. You should study more.\You, too, Mako!\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points You, too, Mako!\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points response:	Oh, this is depressing.
context: 199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points Wow! My grade is up!\Oh, my mom's gonna get mad at me again.\Oh man, your grade is bad, Usagi. You should study more.\You, too, Mako!\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points You, too, Mako!\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points\Oh, this is depressing. response:	Who's this Ryo Urawa in the top spot?
context: 199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points Wow! My grade is up!\Oh, my mom's gonna get mad at me again.\Oh man, your grade is bad, Usagi. You should study more.\You, too, Mako!\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points You, too, Mako!\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points\Oh, this is depressing.\Who's this Ryo Urawa in the top spot? response:	Midterm Exam Results 1 Ryo Urawa 900 2 Ami Mizuno 899 3 Katsunori Sumizawa Who's this Ryo Urawa in the top spot?
context: Oh, my mom's gonna get mad at me again.\Oh man, your grade is bad, Usagi. You should study more.\You, too, Mako!\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points You, too, Mako!\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points\Oh, this is depressing.\Who's this Ryo Urawa in the top spot?\Midterm Exam Results 1 Ryo Urawa 900 2 Ami Mizuno 899 3 Katsunori Sumizawa Who's this Ryo Urawa in the top spot? response:	Midterm Exam Results 1 Ryo Urawa 900 2 Ami Mizuno 899 3 Katsunori Sumizawa
context: Oh man, your grade is bad, Usagi. You should study more.\You, too, Mako!\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points You, too, Mako!\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points\Oh, this is depressing.\Who's this Ryo Urawa in the top spot?\Midterm Exam Results 1 Ryo Urawa 900 2 Ami Mizuno 899 3 Katsunori Sumizawa Who's this Ryo Urawa in the top spot?\Midterm Exam Results 1 Ryo Urawa 900 2 Ami Mizuno 899 3 Katsunori Sumizawa response:	Ami's ranked second?!
context: You, too, Mako!\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points You, too, Mako!\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points\Oh, this is depressing.\Who's this Ryo Urawa in the top spot?\Midterm Exam Results 1 Ryo Urawa 900 2 Ami Mizuno 899 3 Katsunori Sumizawa Who's this Ryo Urawa in the top spot?\Midterm Exam Results 1 Ryo Urawa 900 2 Ami Mizuno 899 3 Katsunori Sumizawa\Ami's ranked second?! response:	Wow, I guess there's always someone better.
context: 199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points You, too, Mako!\199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points\Oh, this is depressing.\Who's this Ryo Urawa in the top spot?\Midterm Exam Results 1 Ryo Urawa 900 2 Ami Mizuno 899 3 Katsunori Sumizawa Who's this Ryo Urawa in the top spot?\Midterm Exam Results 1 Ryo Urawa 900 2 Ami Mizuno 899 3 Katsunori Sumizawa\Ami's ranked second?!\Wow, I guess there's always someone better. response:	Ami, you were so close!
context: 199 Tadao Matsumoto 608 points 200 Minori Kajimoto 605 points 201 Makoto Kino 601 points 202 Naomi Takeda 600 points 203 Usagi Tsukino 586 points 204 Masahiro Ando 585 points 205 Kazuo Komatsubara 580 points\Oh, this is depressing.\Who's this Ryo Urawa in the top spot?\Midterm Exam Results 1 Ryo Urawa 900 2 Ami Mizuno 899 3 Katsunori Sumizawa Who's this Ryo Urawa in the top spot?\Midterm Exam Results 1 Ryo Urawa 900 2 Ami Mizuno 899 3 Katsunori Sumizawa\Ami's ranked second?!\Wow, I guess there's always someone better.\Ami, you were so close! response:	I know. One more point would have gotten me a perfect grade,
context: Oh, this is depressing.\Who's this Ryo Urawa in the top spot?\Midterm Exam Results 1 Ryo Urawa 900 2 Ami Mizuno 899 3 Katsunori Sumizawa Who's this Ryo Urawa in the top spot?\Midterm Exam Results 1 Ryo Urawa 900 2 Ami Mizuno 899 3 Katsunori Sumizawa\Ami's ranked second?!\Wow, I guess there's always someone better.\Ami, you were so close!\I know. One more point would have gotten me a perfect grade, response:	but I guess I still don't study enough.
context: Who's this Ryo Urawa in the top spot?\Midterm Exam Results 1 Ryo Urawa 900 2 Ami Mizuno 899 3 Katsunori Sumizawa Who's this Ryo Urawa in the top spot?\Midterm Exam Results 1 Ryo Urawa 900 2 Ami Mizuno 899 3 Katsunori Sumizawa\Ami's ranked second?!\Wow, I guess there's always someone better.\Ami, you were so close!\I know. One more point would have gotten me a perfect grade,\but I guess I still don't study enough. response:	She lives in a completely different world than I do.
context: Midterm Exam Results 1 Ryo Urawa 900 2 Ami Mizuno 899 3 Katsunori Sumizawa Who's this Ryo Urawa in the top spot?\Midterm Exam Results 1 Ryo Urawa 900 2 Ami Mizuno 899 3 Katsunori Sumizawa\Ami's ranked second?!\Wow, I guess there's always someone better.\Ami, you were so close!\I know. One more point would have gotten me a perfect grade,\but I guess I still don't study enough.\She lives in a completely different world than I do. response:	That kid who got a perfect score in every subject
context: Midterm Exam Results 1 Ryo Urawa 900 2 Ami Mizuno 899 3 Katsunori Sumizawa\Ami's ranked second?!\Wow, I guess there's always someone better.\Ami, you were so close!\I know. One more point would have gotten me a perfect grade,\but I guess I still don't study enough.\She lives in a completely different world than I do.\That kid who got a perfect score in every subject response:	is in the same class as you, isn't he?
context: Ami's ranked second?!\Wow, I guess there's always someone better.\Ami, you were so close!\I know. One more point would have gotten me a perfect grade,\but I guess I still don't study enough.\She lives in a completely different world than I do.\That kid who got a perfect score in every subject\is in the same class as you, isn't he? response:	Yes, he is! He just transferred to this school the other day!
