context: We will now begin the 57th expedition beyond the walls! response:	Onward!
context: You new recruits will be here.\You'll be between the cart guard team\and the recon support team.\Your job will be to ride alongside the spare horses and relay messages.\The Special Operations Squad will be here.\Standing by in the center of the last ranks.\It's the safest place in the formation.\Row 5-Center: Standby response:	We're even better protected than the supply carts.
context: You'll be between the cart guard team\and the recon support team.\Your job will be to ride alongside the spare horses and relay messages.\The Special Operations Squad will be here.\Standing by in the center of the last ranks.\It's the safest place in the formation.\Row 5-Center: Standby\We're even better protected than the supply carts. response:	That's no Aberrant.
context: and the recon support team.\Your job will be to ride alongside the spare horses and relay messages.\The Special Operations Squad will be here.\Standing by in the center of the last ranks.\It's the safest place in the formation.\Row 5-Center: Standby\We're even better protected than the supply carts.\That's no Aberrant. response:	It's intelligent!
context: Your job will be to ride alongside the spare horses and relay messages.\The Special Operations Squad will be here.\Standing by in the center of the last ranks.\It's the safest place in the formation.\Row 5-Center: Standby\We're even better protected than the supply carts.\That's no Aberrant.\It's intelligent! response:	Like the Armored or Colossal Titans, or Eren...
context: The Special Operations Squad will be here.\Standing by in the center of the last ranks.\It's the safest place in the formation.\Row 5-Center: Standby\We're even better protected than the supply carts.\That's no Aberrant.\It's intelligent!\Like the Armored or Colossal Titans, or Eren... response:	A human in the body of a Titan!
context: Standing by in the center of the last ranks.\It's the safest place in the formation.\Row 5-Center: Standby\We're even better protected than the supply carts.\That's no Aberrant.\It's intelligent!\Like the Armored or Colossal Titans, or Eren...\A human in the body of a Titan! response:	Its movements are much more precise than the others' are!
context: It's the safest place in the formation.\Row 5-Center: Standby\We're even better protected than the supply carts.\That's no Aberrant.\It's intelligent!\Like the Armored or Colossal Titans, or Eren...\A human in the body of a Titan!\Its movements are much more precise than the others' are! response:	Damn it.
context: Row 5-Center: Standby\We're even better protected than the supply carts.\That's no Aberrant.\It's intelligent!\Like the Armored or Colossal Titans, or Eren...\A human in the body of a Titan!\Its movements are much more precise than the others' are!\Damn it. response:	I underestimated it!
context: We're even better protected than the supply carts.\That's no Aberrant.\It's intelligent!\Like the Armored or Colossal Titans, or Eren...\A human in the body of a Titan!\Its movements are much more precise than the others' are!\Damn it.\I underestimated it! response:	It protected its neck...
context: That's no Aberrant.\It's intelligent!\Like the Armored or Colossal Titans, or Eren...\A human in the body of a Titan!\Its movements are much more precise than the others' are!\Damn it.\I underestimated it!\It protected its neck... response:	Damn it! I can't get away!
context: It's intelligent!\Like the Armored or Colossal Titans, or Eren...\A human in the body of a Titan!\Its movements are much more precise than the others' are!\Damn it.\I underestimated it!\It protected its neck...\Damn it! I can't get away! response:	Jean!
context: Like the Armored or Colossal Titans, or Eren...\A human in the body of a Titan!\Its movements are much more precise than the others' are!\Damn it.\I underestimated it!\It protected its neck...\Damn it! I can't get away!\Jean! response:	Avenge the bastard who rushed to his death!
context: A human in the body of a Titan!\Its movements are much more precise than the others' are!\Damn it.\I underestimated it!\It protected its neck...\Damn it! I can't get away!\Jean!\Avenge the bastard who rushed to his death! response:	It stopped?
context: Its movements are much more precise than the others' are!\Damn it.\I underestimated it!\It protected its neck...\Damn it! I can't get away!\Jean!\Avenge the bastard who rushed to his death!\It stopped? response:	That's the one...
context: Damn it.\I underestimated it!\It protected its neck...\Damn it! I can't get away!\Jean!\Avenge the bastard who rushed to his death!\It stopped?\That's the one... response:	That's the one that killed him!
context: I underestimated it!\It protected its neck...\Damn it! I can't get away!\Jean!\Avenge the bastard who rushed to his death!\It stopped?\That's the one...\That's the one that killed him! response:	He rushed to his death on the right flank!
context: It protected its neck...\Damn it! I can't get away!\Jean!\Avenge the bastard who rushed to his death!\It stopped?\That's the one...\That's the one that killed him!\He rushed to his death on the right flank! response:	Avenge him!
context: Damn it! I can't get away!\Jean!\Avenge the bastard who rushed to his death!\It stopped?\That's the one...\That's the one that killed him!\He rushed to his death on the right flank!\Avenge him! response:	We've bought enough time, right?
context: Jean!\Avenge the bastard who rushed to his death!\It stopped?\That's the one...\That's the one that killed him!\He rushed to his death on the right flank!\Avenge him!\We've bought enough time, right? response:	Let's get the hell away from it!
context: Avenge the bastard who rushed to his death!\It stopped?\That's the one...\That's the one that killed him!\He rushed to his death on the right flank!\Avenge him!\We've bought enough time, right?\Let's get the hell away from it! response:	No... Why?
context: It stopped?\That's the one...\That's the one that killed him!\He rushed to his death on the right flank!\Avenge him!\We've bought enough time, right?\Let's get the hell away from it!\No... Why? response:	Is it
context: That's the one...\That's the one that killed him!\He rushed to his death on the right flank!\Avenge him!\We've bought enough time, right?\Let's get the hell away from it!\No... Why?\Is it response:	heading toward Eren?
context: That's the one that killed him!\He rushed to his death on the right flank!\Avenge him!\We've bought enough time, right?\Let's get the hell away from it!\No... Why?\Is it\heading toward Eren? response:	Forest of Giant Trees 57th Expedition Beyond the Walls (2)
context: He rushed to his death on the right flank!\Avenge him!\We've bought enough time, right?\Let's get the hell away from it!\No... Why?\Is it\heading toward Eren?\Forest of Giant Trees 57th Expedition Beyond the Walls (2) response:	How's your 3D Maneuver Gear looking, Armin?
context: Avenge him!\We've bought enough time, right?\Let's get the hell away from it!\No... Why?\Is it\heading toward Eren?\Forest of Giant Trees 57th Expedition Beyond the Walls (2)\How's your 3D Maneuver Gear looking, Armin? response:	It's okay...
context: We've bought enough time, right?\Let's get the hell away from it!\No... Why?\Is it\heading toward Eren?\Forest of Giant Trees 57th Expedition Beyond the Walls (2)\How's your 3D Maneuver Gear looking, Armin?\It's okay... response:	The clasp released as intended, so it seems it's not broken.
context: Let's get the hell away from it!\No... Why?\Is it\heading toward Eren?\Forest of Giant Trees 57th Expedition Beyond the Walls (2)\How's your 3D Maneuver Gear looking, Armin?\It's okay...\The clasp released as intended, so it seems it's not broken. response:	I see...
context: No... Why?\Is it\heading toward Eren?\Forest of Giant Trees 57th Expedition Beyond the Walls (2)\How's your 3D Maneuver Gear looking, Armin?\It's okay...\The clasp released as intended, so it seems it's not broken.\I see... response:	I'm glad to hear it.
context: Is it\heading toward Eren?\Forest of Giant Trees 57th Expedition Beyond the Walls (2)\How's your 3D Maneuver Gear looking, Armin?\It's okay...\The clasp released as intended, so it seems it's not broken.\I see...\I'm glad to hear it. response:	But what do we do?
context: heading toward Eren?\Forest of Giant Trees 57th Expedition Beyond the Walls (2)\How's your 3D Maneuver Gear looking, Armin?\It's okay...\The clasp released as intended, so it seems it's not broken.\I see...\I'm glad to hear it.\But what do we do? response:	We only have one horse.
context: Forest of Giant Trees 57th Expedition Beyond the Walls (2)\How's your 3D Maneuver Gear looking, Armin?\It's okay...\The clasp released as intended, so it seems it's not broken.\I see...\I'm glad to hear it.\But what do we do?\We only have one horse. response:	If Jean's horse comes back, the three of us can move, but...
context: How's your 3D Maneuver Gear looking, Armin?\It's okay...\The clasp released as intended, so it seems it's not broken.\I see...\I'm glad to hear it.\But what do we do?\We only have one horse.\If Jean's horse comes back, the three of us can move, but... response:	Damn it, why?
context: It's okay...\The clasp released as intended, so it seems it's not broken.\I see...\I'm glad to hear it.\But what do we do?\We only have one horse.\If Jean's horse comes back, the three of us can move, but...\Damn it, why? response:	Reiner's horse returned, so why didn't mine?
context: The clasp released as intended, so it seems it's not broken.\I see...\I'm glad to hear it.\But what do we do?\We only have one horse.\If Jean's horse comes back, the three of us can move, but...\Damn it, why?\Reiner's horse returned, so why didn't mine? response:	We can't stay here any longer.
context: I see...\I'm glad to hear it.\But what do we do?\We only have one horse.\If Jean's horse comes back, the three of us can move, but...\Damn it, why?\Reiner's horse returned, so why didn't mine?\We can't stay here any longer. response:	In the worst case, we'll have to leave someone here...
context: I'm glad to hear it.\But what do we do?\We only have one horse.\If Jean's horse comes back, the three of us can move, but...\Damn it, why?\Reiner's horse returned, so why didn't mine?\We can't stay here any longer.\In the worst case, we'll have to leave someone here... response:	But how would we decide who to leave?
context: But what do we do?\We only have one horse.\If Jean's horse comes back, the three of us can move, but...\Damn it, why?\Reiner's horse returned, so why didn't mine?\We can't stay here any longer.\In the worst case, we'll have to leave someone here...\But how would we decide who to leave? response:	Armin, since he's wounded?
context: We only have one horse.\If Jean's horse comes back, the three of us can move, but...\Damn it, why?\Reiner's horse returned, so why didn't mine?\We can't stay here any longer.\In the worst case, we'll have to leave someone here...\But how would we decide who to leave?\Armin, since he's wounded? response:	Reiner, since he's big and would have trouble riding with someone else?
context: If Jean's horse comes back, the three of us can move, but...\Damn it, why?\Reiner's horse returned, so why didn't mine?\We can't stay here any longer.\In the worst case, we'll have to leave someone here...\But how would we decide who to leave?\Armin, since he's wounded?\Reiner, since he's big and would have trouble riding with someone else? response:	Or should I run and try to find my horse?
context: Damn it, why?\Reiner's horse returned, so why didn't mine?\We can't stay here any longer.\In the worst case, we'll have to leave someone here...\But how would we decide who to leave?\Armin, since he's wounded?\Reiner, since he's big and would have trouble riding with someone else?\Or should I run and try to find my horse? response:	Damn it!
context: Reiner's horse returned, so why didn't mine?\We can't stay here any longer.\In the worst case, we'll have to leave someone here...\But how would we decide who to leave?\Armin, since he's wounded?\Reiner, since he's big and would have trouble riding with someone else?\Or should I run and try to find my horse?\Damn it! response:	Why the hell do I have to think about this?!
context: We can't stay here any longer.\In the worst case, we'll have to leave someone here...\But how would we decide who to leave?\Armin, since he's wounded?\Reiner, since he's big and would have trouble riding with someone else?\Or should I run and try to find my horse?\Damn it!\Why the hell do I have to think about this?! response:	We all made it through that fight alive.
context: In the worst case, we'll have to leave someone here...\But how would we decide who to leave?\Armin, since he's wounded?\Reiner, since he's big and would have trouble riding with someone else?\Or should I run and try to find my horse?\Damn it!\Why the hell do I have to think about this?!\We all made it through that fight alive. response:	This isn't fair...
context: But how would we decide who to leave?\Armin, since he's wounded?\Reiner, since he's big and would have trouble riding with someone else?\Or should I run and try to find my horse?\Damn it!\Why the hell do I have to think about this?!\We all made it through that fight alive.\This isn't fair... response:	Armin...
context: Armin, since he's wounded?\Reiner, since he's big and would have trouble riding with someone else?\Or should I run and try to find my horse?\Damn it!\Why the hell do I have to think about this?!\We all made it through that fight alive.\This isn't fair...\Armin... response:	Hey, Armin!
context: Reiner, since he's big and would have trouble riding with someone else?\Or should I run and try to find my horse?\Damn it!\Why the hell do I have to think about this?!\We all made it through that fight alive.\This isn't fair...\Armin...\Hey, Armin! response:	Are you still out of it?
context: Or should I run and try to find my horse?\Damn it!\Why the hell do I have to think about this?!\We all made it through that fight alive.\This isn't fair...\Armin...\Hey, Armin!\Are you still out of it? response:	Yeah, my head's still a bit fuzzy...
context: Damn it!\Why the hell do I have to think about this?!\We all made it through that fight alive.\This isn't fair...\Armin...\Hey, Armin!\Are you still out of it?\Yeah, my head's still a bit fuzzy... response:	I see...
context: Why the hell do I have to think about this?!\We all made it through that fight alive.\This isn't fair...\Armin...\Hey, Armin!\Are you still out of it?\Yeah, my head's still a bit fuzzy...\I see... response:	But we must decide.
context: We all made it through that fight alive.\This isn't fair...\Armin...\Hey, Armin!\Are you still out of it?\Yeah, my head's still a bit fuzzy...\I see...\But we must decide. response:	It's a hard choice, but someone will have to stay behind.
context: This isn't fair...\Armin...\Hey, Armin!\Are you still out of it?\Yeah, my head's still a bit fuzzy...\I see...\But we must decide.\It's a hard choice, but someone will have to stay behind. response:	Wait!
context: Armin...\Hey, Armin!\Are you still out of it?\Yeah, my head's still a bit fuzzy...\I see...\But we must decide.\It's a hard choice, but someone will have to stay behind.\Wait! response:	First, let's fire a smoke round...
context: Hey, Armin!\Are you still out of it?\Yeah, my head's still a bit fuzzy...\I see...\But we must decide.\It's a hard choice, but someone will have to stay behind.\Wait!\First, let's fire a smoke round... response:	If the formation continued straight ahead,
context: Are you still out of it?\Yeah, my head's still a bit fuzzy...\I see...\But we must decide.\It's a hard choice, but someone will have to stay behind.\Wait!\First, let's fire a smoke round...\If the formation continued straight ahead, response:	the row 4-3 team should be nearby.
context: Yeah, my head's still a bit fuzzy...\I see...\But we must decide.\It's a hard choice, but someone will have to stay behind.\Wait!\First, let's fire a smoke round...\If the formation continued straight ahead,\the row 4-3 team should be nearby. response:	That's the signal for an emergency...
context: I see...\But we must decide.\It's a hard choice, but someone will have to stay behind.\Wait!\First, let's fire a smoke round...\If the formation continued straight ahead,\the row 4-3 team should be nearby.\That's the signal for an emergency... response:	But I can't imagine they'll understand our intentions just from that.
context: But we must decide.\It's a hard choice, but someone will have to stay behind.\Wait!\First, let's fire a smoke round...\If the formation continued straight ahead,\the row 4-3 team should be nearby.\That's the signal for an emergency...\But I can't imagine they'll understand our intentions just from that. response:	Armin, we can wait another three minutes.
context: It's a hard choice, but someone will have to stay behind.\Wait!\First, let's fire a smoke round...\If the formation continued straight ahead,\the row 4-3 team should be nearby.\That's the signal for an emergency...\But I can't imagine they'll understand our intentions just from that.\Armin, we can wait another three minutes. response:	By then, we must decide
context: Wait!\First, let's fire a smoke round...\If the formation continued straight ahead,\the row 4-3 team should be nearby.\That's the signal for an emergency...\But I can't imagine they'll understand our intentions just from that.\Armin, we can wait another three minutes.\By then, we must decide response:	I'll stay.
context: First, let's fire a smoke round...\If the formation continued straight ahead,\the row 4-3 team should be nearby.\That's the signal for an emergency...\But I can't imagine they'll understand our intentions just from that.\Armin, we can wait another three minutes.\By then, we must decide\I'll stay. response:	But there's something I want you to tell them for me...
context: If the formation continued straight ahead,\the row 4-3 team should be nearby.\That's the signal for an emergency...\But I can't imagine they'll understand our intentions just from that.\Armin, we can wait another three minutes.\By then, we must decide\I'll stay.\But there's something I want you to tell them for me... response:	Preferably to Commander Erwin alone
context: the row 4-3 team should be nearby.\That's the signal for an emergency...\But I can't imagine they'll understand our intentions just from that.\Armin, we can wait another three minutes.\By then, we must decide\I'll stay.\But there's something I want you to tell them for me...\Preferably to Commander Erwin alone response:	No, Armin.
context: That's the signal for an emergency...\But I can't imagine they'll understand our intentions just from that.\Armin, we can wait another three minutes.\By then, we must decide\I'll stay.\But there's something I want you to tell them for me...\Preferably to Commander Erwin alone\No, Armin. response:	You should tell him yourself.
context: But I can't imagine they'll understand our intentions just from that.\Armin, we can wait another three minutes.\By then, we must decide\I'll stay.\But there's something I want you to tell them for me...\Preferably to Commander Erwin alone\No, Armin.\You should tell him yourself. response:	Looks like someone's here...
context: Armin, we can wait another three minutes.\By then, we must decide\I'll stay.\But there's something I want you to tell them for me...\Preferably to Commander Erwin alone\No, Armin.\You should tell him yourself.\Looks like someone's here... response:	And with two horses!
context: By then, we must decide\I'll stay.\But there's something I want you to tell them for me...\Preferably to Commander Erwin alone\No, Armin.\You should tell him yourself.\Looks like someone's here...\And with two horses! response:	That's...
context: I'll stay.\But there's something I want you to tell them for me...\Preferably to Commander Erwin alone\No, Armin.\You should tell him yourself.\Looks like someone's here...\And with two horses!\That's... response:	Krista!
context: But there's something I want you to tell them for me...\Preferably to Commander Erwin alone\No, Armin.\You should tell him yourself.\Looks like someone's here...\And with two horses!\That's...\Krista! response:	Is everyone okay?
context: Preferably to Commander Erwin alone\No, Armin.\You should tell him yourself.\Looks like someone's here...\And with two horses!\That's...\Krista!\Is everyone okay? response:	That's my horse...
context: No, Armin.\You should tell him yourself.\Looks like someone's here...\And with two horses!\That's...\Krista!\Is everyone okay?\That's my horse... response:	Whoa, whoa.
context: You should tell him yourself.\Looks like someone's here...\And with two horses!\That's...\Krista!\Is everyone okay?\That's my horse...\Whoa, whoa. response:	Calm down, Buchwald.
context: Looks like someone's here...\And with two horses!\That's...\Krista!\Is everyone okay?\That's my horse...\Whoa, whoa.\Calm down, Buchwald. response:	He ran toward me, terrified...
context: And with two horses!\That's...\Krista!\Is everyone okay?\That's my horse...\Whoa, whoa.\Calm down, Buchwald.\He ran toward me, terrified... response:	Did you engage the Titans?
context: That's...\Krista!\Is everyone okay?\That's my horse...\Whoa, whoa.\Calm down, Buchwald.\He ran toward me, terrified...\Did you engage the Titans? response:	Armin, what happened to you?
context: Krista!\Is everyone okay?\That's my horse...\Whoa, whoa.\Calm down, Buchwald.\He ran toward me, terrified...\Did you engage the Titans?\Armin, what happened to you? response:	Are you okay?
context: Is everyone okay?\That's my horse...\Whoa, whoa.\Calm down, Buchwald.\He ran toward me, terrified...\Did you engage the Titans?\Armin, what happened to you?\Are you okay? response:	Yeah, I think so.
context: That's my horse...\Whoa, whoa.\Calm down, Buchwald.\He ran toward me, terrified...\Did you engage the Titans?\Armin, what happened to you?\Are you okay?\Yeah, I think so. response:	I can't believe that smoke round brought you here.
context: Whoa, whoa.\Calm down, Buchwald.\He ran toward me, terrified...\Did you engage the Titans?\Armin, what happened to you?\Are you okay?\Yeah, I think so.\I can't believe that smoke round brought you here. response:	I was nearby, and I already had Jean's horse.
context: Calm down, Buchwald.\He ran toward me, terrified...\Did you engage the Titans?\Armin, what happened to you?\Are you okay?\Yeah, I think so.\I can't believe that smoke round brought you here.\I was nearby, and I already had Jean's horse. response:	Even horses like you.
context: He ran toward me, terrified...\Did you engage the Titans?\Armin, what happened to you?\Are you okay?\Yeah, I think so.\I can't believe that smoke round brought you here.\I was nearby, and I already had Jean's horse.\Even horses like you. response:	It seems you have a strange charisma.
context: Did you engage the Titans?\Armin, what happened to you?\Are you okay?\Yeah, I think so.\I can't believe that smoke round brought you here.\I was nearby, and I already had Jean's horse.\Even horses like you.\It seems you have a strange charisma. response:	You saved our lives.
context: Armin, what happened to you?\Are you okay?\Yeah, I think so.\I can't believe that smoke round brought you here.\I was nearby, and I already had Jean's horse.\Even horses like you.\It seems you have a strange charisma.\You saved our lives. response:	But I'm so glad
context: Are you okay?\Yeah, I think so.\I can't believe that smoke round brought you here.\I was nearby, and I already had Jean's horse.\Even horses like you.\It seems you have a strange charisma.\You saved our lives.\But I'm so glad response:	that the worst didn't happen to you.
context: Yeah, I think so.\I can't believe that smoke round brought you here.\I was nearby, and I already had Jean's horse.\Even horses like you.\It seems you have a strange charisma.\You saved our lives.\But I'm so glad\that the worst didn't happen to you. response:	I really am glad.
context: I can't believe that smoke round brought you here.\I was nearby, and I already had Jean's horse.\Even horses like you.\It seems you have a strange charisma.\You saved our lives.\But I'm so glad\that the worst didn't happen to you.\I really am glad. response:	God...
context: I was nearby, and I already had Jean's horse.\Even horses like you.\It seems you have a strange charisma.\You saved our lives.\But I'm so glad\that the worst didn't happen to you.\I really am glad.\God... response:	A goddess.
context: Even horses like you.\It seems you have a strange charisma.\You saved our lives.\But I'm so glad\that the worst didn't happen to you.\I really am glad.\God...\A goddess. response:	I want to marry her.
context: It seems you have a strange charisma.\You saved our lives.\But I'm so glad\that the worst didn't happen to you.\I really am glad.\God...\A goddess.\I want to marry her. response:	Well, we should rejoin the formation as soon as possible.
context: You saved our lives.\But I'm so glad\that the worst didn't happen to you.\I really am glad.\God...\A goddess.\I want to marry her.\Well, we should rejoin the formation as soon as possible. response:	Yeah, there should be orders to retreat.
context: But I'm so glad\that the worst didn't happen to you.\I really am glad.\God...\A goddess.\I want to marry her.\Well, we should rejoin the formation as soon as possible.\Yeah, there should be orders to retreat. response:	To think we've been pushed back, less than an hour out of the walls.
context: that the worst didn't happen to you.\I really am glad.\God...\A goddess.\I want to marry her.\Well, we should rejoin the formation as soon as possible.\Yeah, there should be orders to retreat.\To think we've been pushed back, less than an hour out of the walls. response:	Things are even bleaker than I'd imagined...
context: I really am glad.\God...\A goddess.\I want to marry her.\Well, we should rejoin the formation as soon as possible.\Yeah, there should be orders to retreat.\To think we've been pushed back, less than an hour out of the walls.\Things are even bleaker than I'd imagined... response:	And for some reason,
context: God...\A goddess.\I want to marry her.\Well, we should rejoin the formation as soon as possible.\Yeah, there should be orders to retreat.\To think we've been pushed back, less than an hour out of the walls.\Things are even bleaker than I'd imagined...\And for some reason, response:	it went in the opposite direction from the vanguard command team...
context: A goddess.\I want to marry her.\Well, we should rejoin the formation as soon as possible.\Yeah, there should be orders to retreat.\To think we've been pushed back, less than an hour out of the walls.\Things are even bleaker than I'd imagined...\And for some reason,\it went in the opposite direction from the vanguard command team... response:	It?
context: I want to marry her.\Well, we should rejoin the formation as soon as possible.\Yeah, there should be orders to retreat.\To think we've been pushed back, less than an hour out of the walls.\Things are even bleaker than I'd imagined...\And for some reason,\it went in the opposite direction from the vanguard command team...\It? response:	A green round?
context: Well, we should rejoin the formation as soon as possible.\Yeah, there should be orders to retreat.\To think we've been pushed back, less than an hour out of the walls.\Things are even bleaker than I'd imagined...\And for some reason,\it went in the opposite direction from the vanguard command team...\It?\A green round? response:	Looks like they're continuing the operation,
context: Yeah, there should be orders to retreat.\To think we've been pushed back, less than an hour out of the walls.\Things are even bleaker than I'd imagined...\And for some reason,\it went in the opposite direction from the vanguard command team...\It?\A green round?\Looks like they're continuing the operation, response:	only changing course...
context: To think we've been pushed back, less than an hour out of the walls.\Things are even bleaker than I'd imagined...\And for some reason,\it went in the opposite direction from the vanguard command team...\It?\A green round?\Looks like they're continuing the operation,\only changing course... response:	What?
context: Things are even bleaker than I'd imagined...\And for some reason,\it went in the opposite direction from the vanguard command team...\It?\A green round?\Looks like they're continuing the operation,\only changing course...\What? response:	That wasn't a retreat command?
context: And for some reason,\it went in the opposite direction from the vanguard command team...\It?\A green round?\Looks like they're continuing the operation,\only changing course...\What?\That wasn't a retreat command? response:	What is Commander Erwin thinking?
context: it went in the opposite direction from the vanguard command team...\It?\A green round?\Looks like they're continuing the operation,\only changing course...\What?\That wasn't a retreat command?\What is Commander Erwin thinking? response:	In theory, any soldier has the authority to determine
context: It?\A green round?\Looks like they're continuing the operation,\only changing course...\What?\That wasn't a retreat command?\What is Commander Erwin thinking?\In theory, any soldier has the authority to determine response:	when mission completion is no longer possible.
context: A green round?\Looks like they're continuing the operation,\only changing course...\What?\That wasn't a retreat command?\What is Commander Erwin thinking?\In theory, any soldier has the authority to determine\when mission completion is no longer possible. response:	Did command not see our smoke round somehow?
context: Looks like they're continuing the operation,\only changing course...\What?\That wasn't a retreat command?\What is Commander Erwin thinking?\In theory, any soldier has the authority to determine\when mission completion is no longer possible.\Did command not see our smoke round somehow? response:	Even if we don't know what's going on,
context: only changing course...\What?\That wasn't a retreat command?\What is Commander Erwin thinking?\In theory, any soldier has the authority to determine\when mission completion is no longer possible.\Did command not see our smoke round somehow?\Even if we don't know what's going on, response:	there's still only one thing for us to do...
context: What?\That wasn't a retreat command?\What is Commander Erwin thinking?\In theory, any soldier has the authority to determine\when mission completion is no longer possible.\Did command not see our smoke round somehow?\Even if we don't know what's going on,\there's still only one thing for us to do... response:	Follow the order!
context: That wasn't a retreat command?\What is Commander Erwin thinking?\In theory, any soldier has the authority to determine\when mission completion is no longer possible.\Did command not see our smoke round somehow?\Even if we don't know what's going on,\there's still only one thing for us to do...\Follow the order! response:	Smoke round.
context: What is Commander Erwin thinking?\In theory, any soldier has the authority to determine\when mission completion is no longer possible.\Did command not see our smoke round somehow?\Even if we don't know what's going on,\there's still only one thing for us to do...\Follow the order!\Smoke round. response:	Green.
context: In theory, any soldier has the authority to determine\when mission completion is no longer possible.\Did command not see our smoke round somehow?\Even if we don't know what's going on,\there's still only one thing for us to do...\Follow the order!\Smoke round.\Green. response:	Oluo, you fire it.
context: when mission completion is no longer possible.\Did command not see our smoke round somehow?\Even if we don't know what's going on,\there's still only one thing for us to do...\Follow the order!\Smoke round.\Green.\Oluo, you fire it. response:	Roger.
context: Did command not see our smoke round somehow?\Even if we don't know what's going on,\there's still only one thing for us to do...\Follow the order!\Smoke round.\Green.\Oluo, you fire it.\Roger. response:	For now, everything seems to be going fine.
context: Even if we don't know what's going on,\there's still only one thing for us to do...\Follow the order!\Smoke round.\Green.\Oluo, you fire it.\Roger.\For now, everything seems to be going fine. response:	But is it really?
context: there's still only one thing for us to do...\Follow the order!\Smoke round.\Green.\Oluo, you fire it.\Roger.\For now, everything seems to be going fine.\But is it really? response:	We may already have casualties on the front lines.
context: Follow the order!\Smoke round.\Green.\Oluo, you fire it.\Roger.\For now, everything seems to be going fine.\But is it really?\We may already have casualties on the front lines. response:	Reporting!
context: Smoke round.\Green.\Oluo, you fire it.\Roger.\For now, everything seems to be going fine.\But is it really?\We may already have casualties on the front lines.\Reporting! response:	Message to pass along!
context: Green.\Oluo, you fire it.\Roger.\For now, everything seems to be going fine.\But is it really?\We may already have casualties on the front lines.\Reporting!\Message to pass along! response:	Right flank recon has been destroyed!
context: Oluo, you fire it.\Roger.\For now, everything seems to be going fine.\But is it really?\We may already have casualties on the front lines.\Reporting!\Message to pass along!\Right flank recon has been destroyed! response:	Our recon system is partially inoperative.
context: Roger.\For now, everything seems to be going fine.\But is it really?\We may already have casualties on the front lines.\Reporting!\Message to pass along!\Right flank recon has been destroyed!\Our recon system is partially inoperative. response:	Pass this on, to the left.
context: For now, everything seems to be going fine.\But is it really?\We may already have casualties on the front lines.\Reporting!\Message to pass along!\Right flank recon has been destroyed!\Our recon system is partially inoperative.\Pass this on, to the left. response:	Did you hear that, Petra?
context: But is it really?\We may already have casualties on the front lines.\Reporting!\Message to pass along!\Right flank recon has been destroyed!\Our recon system is partially inoperative.\Pass this on, to the left.\Did you hear that, Petra? response:	Go.
context: We may already have casualties on the front lines.\Reporting!\Message to pass along!\Right flank recon has been destroyed!\Our recon system is partially inoperative.\Pass this on, to the left.\Did you hear that, Petra?\Go. response:	Yes, Captain.
context: Reporting!\Message to pass along!\Right flank recon has been destroyed!\Our recon system is partially inoperative.\Pass this on, to the left.\Did you hear that, Petra?\Go.\Yes, Captain. response:	The right flank?!
