context: The Year 1876 (What is now) Philadelphia, America response:	Well... I'll just be going!
context: Hey, Mari.\What are you wearing?!\Oh, well...\We were at the beach, and I happened to touch the book and get sent here...\At the beach?\This is my daughter.\This is Mr. Graham Bell, Mari.\A pleasure to meet you. response:	You look nice and cool.
context: What are you wearing?!\Oh, well...\We were at the beach, and I happened to touch the book and get sent here...\At the beach?\This is my daughter.\This is Mr. Graham Bell, Mari.\A pleasure to meet you.\You look nice and cool. response:	Is that Japanese folk clothing?
context: Oh, well...\We were at the beach, and I happened to touch the book and get sent here...\At the beach?\This is my daughter.\This is Mr. Graham Bell, Mari.\A pleasure to meet you.\You look nice and cool.\Is that Japanese folk clothing? response:	Huh?
context: We were at the beach, and I happened to touch the book and get sent here...\At the beach?\This is my daughter.\This is Mr. Graham Bell, Mari.\A pleasure to meet you.\You look nice and cool.\Is that Japanese folk clothing?\Huh? response:	Oh, sure... That's what we'll call it.
context: At the beach?\This is my daughter.\This is Mr. Graham Bell, Mari.\A pleasure to meet you.\You look nice and cool.\Is that Japanese folk clothing?\Huh?\Oh, sure... That's what we'll call it. response:	You do seem to know a lot.
context: This is my daughter.\This is Mr. Graham Bell, Mari.\A pleasure to meet you.\You look nice and cool.\Is that Japanese folk clothing?\Huh?\Oh, sure... That's what we'll call it.\You do seem to know a lot. response:	I just love sweets.
context: This is Mr. Graham Bell, Mari.\A pleasure to meet you.\You look nice and cool.\Is that Japanese folk clothing?\Huh?\Oh, sure... That's what we'll call it.\You do seem to know a lot.\I just love sweets. response:	Understood. Wait one moment.
context: A pleasure to meet you.\You look nice and cool.\Is that Japanese folk clothing?\Huh?\Oh, sure... That's what we'll call it.\You do seem to know a lot.\I just love sweets.\Understood. Wait one moment. response:	-Lately, chocolate has- -Mr. Mikage.
context: You look nice and cool.\Is that Japanese folk clothing?\Huh?\Oh, sure... That's what we'll call it.\You do seem to know a lot.\I just love sweets.\Understood. Wait one moment.\-Lately, chocolate has- -Mr. Mikage. response:	Excuse me a moment.
context: Is that Japanese folk clothing?\Huh?\Oh, sure... That's what we'll call it.\You do seem to know a lot.\I just love sweets.\Understood. Wait one moment.\-Lately, chocolate has- -Mr. Mikage.\Excuse me a moment. response:	Brother...
context: Huh?\Oh, sure... That's what we'll call it.\You do seem to know a lot.\I just love sweets.\Understood. Wait one moment.\-Lately, chocolate has- -Mr. Mikage.\Excuse me a moment.\Brother... response:	Mari traveled through time?
context: Oh, sure... That's what we'll call it.\You do seem to know a lot.\I just love sweets.\Understood. Wait one moment.\-Lately, chocolate has- -Mr. Mikage.\Excuse me a moment.\Brother...\Mari traveled through time? response:	Yeah. What do we do?
context: You do seem to know a lot.\I just love sweets.\Understood. Wait one moment.\-Lately, chocolate has- -Mr. Mikage.\Excuse me a moment.\Brother...\Mari traveled through time?\Yeah. What do we do? response:	And Rika-
context: I just love sweets.\Understood. Wait one moment.\-Lately, chocolate has- -Mr. Mikage.\Excuse me a moment.\Brother...\Mari traveled through time?\Yeah. What do we do?\And Rika- response:	Waka, where's Mari?
context: Understood. Wait one moment.\-Lately, chocolate has- -Mr. Mikage.\Excuse me a moment.\Brother...\Mari traveled through time?\Yeah. What do we do?\And Rika-\Waka, where's Mari? response:	Oh, well, um...
context: -Lately, chocolate has- -Mr. Mikage.\Excuse me a moment.\Brother...\Mari traveled through time?\Yeah. What do we do?\And Rika-\Waka, where's Mari?\Oh, well, um... response:	Big Sis disappeared into the book!
context: Excuse me a moment.\Brother...\Mari traveled through time?\Yeah. What do we do?\And Rika-\Waka, where's Mari?\Oh, well, um...\Big Sis disappeared into the book! response:	N-Not good...
context: Brother...\Mari traveled through time?\Yeah. What do we do?\And Rika-\Waka, where's Mari?\Oh, well, um...\Big Sis disappeared into the book!\N-Not good... response:	What did she mean by that?
context: Mari traveled through time?\Yeah. What do we do?\And Rika-\Waka, where's Mari?\Oh, well, um...\Big Sis disappeared into the book!\N-Not good...\What did she mean by that? response:	Um, well, you see...
context: Yeah. What do we do?\And Rika-\Waka, where's Mari?\Oh, well, um...\Big Sis disappeared into the book!\N-Not good...\What did she mean by that?\Um, well, you see... response:	What, indeed, did she mean?
context: And Rika-\Waka, where's Mari?\Oh, well, um...\Big Sis disappeared into the book!\N-Not good...\What did she mean by that?\Um, well, you see...\What, indeed, did she mean? response:	I'm sure she'll be back soon, of course.
context: Waka, where's Mari?\Oh, well, um...\Big Sis disappeared into the book!\N-Not good...\What did she mean by that?\Um, well, you see...\What, indeed, did she mean?\I'm sure she'll be back soon, of course. response:	Shun...
context: Oh, well, um...\Big Sis disappeared into the book!\N-Not good...\What did she mean by that?\Um, well, you see...\What, indeed, did she mean?\I'm sure she'll be back soon, of course.\Shun... response:	That's the book my husband gave you, isn't it?
context: Big Sis disappeared into the book!\N-Not good...\What did she mean by that?\Um, well, you see...\What, indeed, did she mean?\I'm sure she'll be back soon, of course.\Shun...\That's the book my husband gave you, isn't it? response:	Yes.
context: N-Not good...\What did she mean by that?\Um, well, you see...\What, indeed, did she mean?\I'm sure she'll be back soon, of course.\Shun...\That's the book my husband gave you, isn't it?\Yes. response:	Please explain everything to me, Shun.
context: What did she mean by that?\Um, well, you see...\What, indeed, did she mean?\I'm sure she'll be back soon, of course.\Shun...\That's the book my husband gave you, isn't it?\Yes.\Please explain everything to me, Shun. response:	You're hiding something from me, aren't you?
context: Um, well, you see...\What, indeed, did she mean?\I'm sure she'll be back soon, of course.\Shun...\That's the book my husband gave you, isn't it?\Yes.\Please explain everything to me, Shun.\You're hiding something from me, aren't you? response:	This has something to do with Hayase's research, doesn't it?
context: What, indeed, did she mean?\I'm sure she'll be back soon, of course.\Shun...\That's the book my husband gave you, isn't it?\Yes.\Please explain everything to me, Shun.\You're hiding something from me, aren't you?\This has something to do with Hayase's research, doesn't it? response:	Akira!
context: I'm sure she'll be back soon, of course.\Shun...\That's the book my husband gave you, isn't it?\Yes.\Please explain everything to me, Shun.\You're hiding something from me, aren't you?\This has something to do with Hayase's research, doesn't it?\Akira! response:	Is something the matter?
context: Shun...\That's the book my husband gave you, isn't it?\Yes.\Please explain everything to me, Shun.\You're hiding something from me, aren't you?\This has something to do with Hayase's research, doesn't it?\Akira!\Is something the matter? response:	So, Dr. Hayase, your daughter is the one you were waiting for?
context: That's the book my husband gave you, isn't it?\Yes.\Please explain everything to me, Shun.\You're hiding something from me, aren't you?\This has something to do with Hayase's research, doesn't it?\Akira!\Is something the matter?\So, Dr. Hayase, your daughter is the one you were waiting for? response:	Oh, yes...
context: Yes.\Please explain everything to me, Shun.\You're hiding something from me, aren't you?\This has something to do with Hayase's research, doesn't it?\Akira!\Is something the matter?\So, Dr. Hayase, your daughter is the one you were waiting for?\Oh, yes... response:	Huh? Papa, you were waiting for me?
context: Please explain everything to me, Shun.\You're hiding something from me, aren't you?\This has something to do with Hayase's research, doesn't it?\Akira!\Is something the matter?\So, Dr. Hayase, your daughter is the one you were waiting for?\Oh, yes...\Huh? Papa, you were waiting for me? response:	No.
context: You're hiding something from me, aren't you?\This has something to do with Hayase's research, doesn't it?\Akira!\Is something the matter?\So, Dr. Hayase, your daughter is the one you were waiting for?\Oh, yes...\Huh? Papa, you were waiting for me?\No. response:	What the heck?
context: This has something to do with Hayase's research, doesn't it?\Akira!\Is something the matter?\So, Dr. Hayase, your daughter is the one you were waiting for?\Oh, yes...\Huh? Papa, you were waiting for me?\No.\What the heck? response:	Don't worry.
context: Akira!\Is something the matter?\So, Dr. Hayase, your daughter is the one you were waiting for?\Oh, yes...\Huh? Papa, you were waiting for me?\No.\What the heck?\Don't worry. response:	The people you're waiting for will appear too, I'm sure.
context: Is something the matter?\So, Dr. Hayase, your daughter is the one you were waiting for?\Oh, yes...\Huh? Papa, you were waiting for me?\No.\What the heck?\Don't worry.\The people you're waiting for will appear too, I'm sure. response:	I hope you're right...
context: So, Dr. Hayase, your daughter is the one you were waiting for?\Oh, yes...\Huh? Papa, you were waiting for me?\No.\What the heck?\Don't worry.\The people you're waiting for will appear too, I'm sure.\I hope you're right... response:	Who's Mr. Bell waiting for?
context: Oh, yes...\Huh? Papa, you were waiting for me?\No.\What the heck?\Don't worry.\The people you're waiting for will appear too, I'm sure.\I hope you're right...\Who's Mr. Bell waiting for? response:	The judges.
context: Huh? Papa, you were waiting for me?\No.\What the heck?\Don't worry.\The people you're waiting for will appear too, I'm sure.\I hope you're right...\Who's Mr. Bell waiting for?\The judges. response:	He wants to demonstrate the telephone.
context: No.\What the heck?\Don't worry.\The people you're waiting for will appear too, I'm sure.\I hope you're right...\Who's Mr. Bell waiting for?\The judges.\He wants to demonstrate the telephone. response:	I see!
context: What the heck?\Don't worry.\The people you're waiting for will appear too, I'm sure.\I hope you're right...\Who's Mr. Bell waiting for?\The judges.\He wants to demonstrate the telephone.\I see! response:	Speaking of which, what were you doing with the book at the beach?
context: Don't worry.\The people you're waiting for will appear too, I'm sure.\I hope you're right...\Who's Mr. Bell waiting for?\The judges.\He wants to demonstrate the telephone.\I see!\Speaking of which, what were you doing with the book at the beach? response:	Was Shun with you?
context: The people you're waiting for will appear too, I'm sure.\I hope you're right...\Who's Mr. Bell waiting for?\The judges.\He wants to demonstrate the telephone.\I see!\Speaking of which, what were you doing with the book at the beach?\Was Shun with you? response:	Yeah!
context: I hope you're right...\Who's Mr. Bell waiting for?\The judges.\He wants to demonstrate the telephone.\I see!\Speaking of which, what were you doing with the book at the beach?\Was Shun with you?\Yeah! response:	We were all at Grandpa's villa.
context: Who's Mr. Bell waiting for?\The judges.\He wants to demonstrate the telephone.\I see!\Speaking of which, what were you doing with the book at the beach?\Was Shun with you?\Yeah!\We were all at Grandpa's villa. response:	Then one of Mama's customers let us on his cabin cruiser...
context: The judges.\He wants to demonstrate the telephone.\I see!\Speaking of which, what were you doing with the book at the beach?\Was Shun with you?\Yeah!\We were all at Grandpa's villa.\Then one of Mama's customers let us on his cabin cruiser... response:	Cruiser?
context: He wants to demonstrate the telephone.\I see!\Speaking of which, what were you doing with the book at the beach?\Was Shun with you?\Yeah!\We were all at Grandpa's villa.\Then one of Mama's customers let us on his cabin cruiser...\Cruiser? response:	Yeah. He's apparently super rich.
context: I see!\Speaking of which, what were you doing with the book at the beach?\Was Shun with you?\Yeah!\We were all at Grandpa's villa.\Then one of Mama's customers let us on his cabin cruiser...\Cruiser?\Yeah. He's apparently super rich. response:	His name's Mr. Mikage...
context: Speaking of which, what were you doing with the book at the beach?\Was Shun with you?\Yeah!\We were all at Grandpa's villa.\Then one of Mama's customers let us on his cabin cruiser...\Cruiser?\Yeah. He's apparently super rich.\His name's Mr. Mikage... response:	Mikage's there?!
context: Was Shun with you?\Yeah!\We were all at Grandpa's villa.\Then one of Mama's customers let us on his cabin cruiser...\Cruiser?\Yeah. He's apparently super rich.\His name's Mr. Mikage...\Mikage's there?! response:	Papa, you know him?
context: Yeah!\We were all at Grandpa's villa.\Then one of Mama's customers let us on his cabin cruiser...\Cruiser?\Yeah. He's apparently super rich.\His name's Mr. Mikage...\Mikage's there?!\Papa, you know him? response:	He really likes Mama, okay? And he's handsome, too.
context: We were all at Grandpa's villa.\Then one of Mama's customers let us on his cabin cruiser...\Cruiser?\Yeah. He's apparently super rich.\His name's Mr. Mikage...\Mikage's there?!\Papa, you know him?\He really likes Mama, okay? And he's handsome, too. response:	Oh, Papa! You neglect Mama too much!
context: Then one of Mama's customers let us on his cabin cruiser...\Cruiser?\Yeah. He's apparently super rich.\His name's Mr. Mikage...\Mikage's there?!\Papa, you know him?\He really likes Mama, okay? And he's handsome, too.\Oh, Papa! You neglect Mama too much! response:	Don't blame me if Mama leaves you while you're searching for that book's secrets!
context: Cruiser?\Yeah. He's apparently super rich.\His name's Mr. Mikage...\Mikage's there?!\Papa, you know him?\He really likes Mama, okay? And he's handsome, too.\Oh, Papa! You neglect Mama too much!\Don't blame me if Mama leaves you while you're searching for that book's secrets! response:	Huh?
context: Yeah. He's apparently super rich.\His name's Mr. Mikage...\Mikage's there?!\Papa, you know him?\He really likes Mama, okay? And he's handsome, too.\Oh, Papa! You neglect Mama too much!\Don't blame me if Mama leaves you while you're searching for that book's secrets!\Huh? response:	-Don't Huh? me! -Right this way.
context: His name's Mr. Mikage...\Mikage's there?!\Papa, you know him?\He really likes Mama, okay? And he's handsome, too.\Oh, Papa! You neglect Mama too much!\Don't blame me if Mama leaves you while you're searching for that book's secrets!\Huh?\-Don't Huh? me! -Right this way. response:	My, how shameless!
context: Mikage's there?!\Papa, you know him?\He really likes Mama, okay? And he's handsome, too.\Oh, Papa! You neglect Mama too much!\Don't blame me if Mama leaves you while you're searching for that book's secrets!\Huh?\-Don't Huh? me! -Right this way.\My, how shameless! response:	Oh, wait a minute!
context: Papa, you know him?\He really likes Mama, okay? And he's handsome, too.\Oh, Papa! You neglect Mama too much!\Don't blame me if Mama leaves you while you're searching for that book's secrets!\Huh?\-Don't Huh? me! -Right this way.\My, how shameless!\Oh, wait a minute! response:	Mari, we should really do something about that outfit, first.
context: He really likes Mama, okay? And he's handsome, too.\Oh, Papa! You neglect Mama too much!\Don't blame me if Mama leaves you while you're searching for that book's secrets!\Huh?\-Don't Huh? me! -Right this way.\My, how shameless!\Oh, wait a minute!\Mari, we should really do something about that outfit, first. response:	Never mind. I'm going home anyway.
context: Oh, Papa! You neglect Mama too much!\Don't blame me if Mama leaves you while you're searching for that book's secrets!\Huh?\-Don't Huh? me! -Right this way.\My, how shameless!\Oh, wait a minute!\Mari, we should really do something about that outfit, first.\Never mind. I'm going home anyway. response:	No, let me explain things in more detail.
context: Don't blame me if Mama leaves you while you're searching for that book's secrets!\Huh?\-Don't Huh? me! -Right this way.\My, how shameless!\Oh, wait a minute!\Mari, we should really do something about that outfit, first.\Never mind. I'm going home anyway.\No, let me explain things in more detail. response:	Huh?
context: Huh?\-Don't Huh? me! -Right this way.\My, how shameless!\Oh, wait a minute!\Mari, we should really do something about that outfit, first.\Never mind. I'm going home anyway.\No, let me explain things in more detail.\Huh? response:	Is your daughter okay?
context: -Don't Huh? me! -Right this way.\My, how shameless!\Oh, wait a minute!\Mari, we should really do something about that outfit, first.\Never mind. I'm going home anyway.\No, let me explain things in more detail.\Huh?\Is your daughter okay? response:	Yes, I think she went off somewhere to pout.
context: My, how shameless!\Oh, wait a minute!\Mari, we should really do something about that outfit, first.\Never mind. I'm going home anyway.\No, let me explain things in more detail.\Huh?\Is your daughter okay?\Yes, I think she went off somewhere to pout. response:	She's probably back home with her friends about now.
context: Oh, wait a minute!\Mari, we should really do something about that outfit, first.\Never mind. I'm going home anyway.\No, let me explain things in more detail.\Huh?\Is your daughter okay?\Yes, I think she went off somewhere to pout.\She's probably back home with her friends about now. response:	I'm sorry.
context: Mari, we should really do something about that outfit, first.\Never mind. I'm going home anyway.\No, let me explain things in more detail.\Huh?\Is your daughter okay?\Yes, I think she went off somewhere to pout.\She's probably back home with her friends about now.\I'm sorry. response:	I hope you're right.
context: Never mind. I'm going home anyway.\No, let me explain things in more detail.\Huh?\Is your daughter okay?\Yes, I think she went off somewhere to pout.\She's probably back home with her friends about now.\I'm sorry.\I hope you're right. response:	Goodbye.
context: No, let me explain things in more detail.\Huh?\Is your daughter okay?\Yes, I think she went off somewhere to pout.\She's probably back home with her friends about now.\I'm sorry.\I hope you're right.\Goodbye. response:	This is cute! Thanks, Papa!
context: Huh?\Is your daughter okay?\Yes, I think she went off somewhere to pout.\She's probably back home with her friends about now.\I'm sorry.\I hope you're right.\Goodbye.\This is cute! Thanks, Papa! response:	Sure!
context: Is your daughter okay?\Yes, I think she went off somewhere to pout.\She's probably back home with her friends about now.\I'm sorry.\I hope you're right.\Goodbye.\This is cute! Thanks, Papa!\Sure! response:	Now, how close are Mikage and your mother?
context: Yes, I think she went off somewhere to pout.\She's probably back home with her friends about now.\I'm sorry.\I hope you're right.\Goodbye.\This is cute! Thanks, Papa!\Sure!\Now, how close are Mikage and your mother? response:	You want to know, huh?
context: She's probably back home with her friends about now.\I'm sorry.\I hope you're right.\Goodbye.\This is cute! Thanks, Papa!\Sure!\Now, how close are Mikage and your mother?\You want to know, huh? response:	I'd love to eat some ice cream!
context: I'm sorry.\I hope you're right.\Goodbye.\This is cute! Thanks, Papa!\Sure!\Now, how close are Mikage and your mother?\You want to know, huh?\I'd love to eat some ice cream! response:	Huh?!
context: I hope you're right.\Goodbye.\This is cute! Thanks, Papa!\Sure!\Now, how close are Mikage and your mother?\You want to know, huh?\I'd love to eat some ice cream!\Huh?! response:	Delicious! Right, Mr. Bell?
context: Goodbye.\This is cute! Thanks, Papa!\Sure!\Now, how close are Mikage and your mother?\You want to know, huh?\I'd love to eat some ice cream!\Huh?!\Delicious! Right, Mr. Bell? response:	Yes.
context: This is cute! Thanks, Papa!\Sure!\Now, how close are Mikage and your mother?\You want to know, huh?\I'd love to eat some ice cream!\Huh?!\Delicious! Right, Mr. Bell?\Yes. response:	Thank you for the treat, Dr. Hayase.
context: Sure!\Now, how close are Mikage and your mother?\You want to know, huh?\I'd love to eat some ice cream!\Huh?!\Delicious! Right, Mr. Bell?\Yes.\Thank you for the treat, Dr. Hayase. response:	Oh, no problem...
context: Now, how close are Mikage and your mother?\You want to know, huh?\I'd love to eat some ice cream!\Huh?!\Delicious! Right, Mr. Bell?\Yes.\Thank you for the treat, Dr. Hayase.\Oh, no problem... response:	Now, about Mikage and your mother...
context: You want to know, huh?\I'd love to eat some ice cream!\Huh?!\Delicious! Right, Mr. Bell?\Yes.\Thank you for the treat, Dr. Hayase.\Oh, no problem...\Now, about Mikage and your mother... response:	Oh, I don't really know.
context: I'd love to eat some ice cream!\Huh?!\Delicious! Right, Mr. Bell?\Yes.\Thank you for the treat, Dr. Hayase.\Oh, no problem...\Now, about Mikage and your mother...\Oh, I don't really know. response:	You don't know?
context: Huh?!\Delicious! Right, Mr. Bell?\Yes.\Thank you for the treat, Dr. Hayase.\Oh, no problem...\Now, about Mikage and your mother...\Oh, I don't really know.\You don't know? response:	It seems like he comes by her shop a lot, though.
context: Delicious! Right, Mr. Bell?\Yes.\Thank you for the treat, Dr. Hayase.\Oh, no problem...\Now, about Mikage and your mother...\Oh, I don't really know.\You don't know?\It seems like he comes by her shop a lot, though. response:	Her shop?
context: Yes.\Thank you for the treat, Dr. Hayase.\Oh, no problem...\Now, about Mikage and your mother...\Oh, I don't really know.\You don't know?\It seems like he comes by her shop a lot, though.\Her shop? response:	Well, well!
context: Thank you for the treat, Dr. Hayase.\Oh, no problem...\Now, about Mikage and your mother...\Oh, I don't really know.\You don't know?\It seems like he comes by her shop a lot, though.\Her shop?\Well, well! response:	You're finally worried about Mama, huh?
context: Oh, no problem...\Now, about Mikage and your mother...\Oh, I don't really know.\You don't know?\It seems like he comes by her shop a lot, though.\Her shop?\Well, well!\You're finally worried about Mama, huh? response:	No.
context: Now, about Mikage and your mother...\Oh, I don't really know.\You don't know?\It seems like he comes by her shop a lot, though.\Her shop?\Well, well!\You're finally worried about Mama, huh?\No. response:	She'll be fine. I trust her.
context: Oh, I don't really know.\You don't know?\It seems like he comes by her shop a lot, though.\Her shop?\Well, well!\You're finally worried about Mama, huh?\No.\She'll be fine. I trust her. response:	Huh?
context: You don't know?\It seems like he comes by her shop a lot, though.\Her shop?\Well, well!\You're finally worried about Mama, huh?\No.\She'll be fine. I trust her.\Huh? response:	A lot has happened between us,
context: It seems like he comes by her shop a lot, though.\Her shop?\Well, well!\You're finally worried about Mama, huh?\No.\She'll be fine. I trust her.\Huh?\A lot has happened between us, response:	but we've both supported each other as we pursue the things we love.
context: Her shop?\Well, well!\You're finally worried about Mama, huh?\No.\She'll be fine. I trust her.\Huh?\A lot has happened between us,\but we've both supported each other as we pursue the things we love. response:	Because we love what we do,
context: Well, well!\You're finally worried about Mama, huh?\No.\She'll be fine. I trust her.\Huh?\A lot has happened between us,\but we've both supported each other as we pursue the things we love.\Because we love what we do, response:	we'll both keep rushing, full speed ahead.
context: You're finally worried about Mama, huh?\No.\She'll be fine. I trust her.\Huh?\A lot has happened between us,\but we've both supported each other as we pursue the things we love.\Because we love what we do,\we'll both keep rushing, full speed ahead. response:	We both know that about each other.
context: No.\She'll be fine. I trust her.\Huh?\A lot has happened between us,\but we've both supported each other as we pursue the things we love.\Because we love what we do,\we'll both keep rushing, full speed ahead.\We both know that about each other. response:	Papa, that's not convincing when you've left her alone for three years.
context: She'll be fine. I trust her.\Huh?\A lot has happened between us,\but we've both supported each other as we pursue the things we love.\Because we love what we do,\we'll both keep rushing, full speed ahead.\We both know that about each other.\Papa, that's not convincing when you've left her alone for three years. response:	Really?
context: Huh?\A lot has happened between us,\but we've both supported each other as we pursue the things we love.\Because we love what we do,\we'll both keep rushing, full speed ahead.\We both know that about each other.\Papa, that's not convincing when you've left her alone for three years.\Really? response:	But I went to see her just this morning!
context: A lot has happened between us,\but we've both supported each other as we pursue the things we love.\Because we love what we do,\we'll both keep rushing, full speed ahead.\We both know that about each other.\Papa, that's not convincing when you've left her alone for three years.\Really?\But I went to see her just this morning! response:	I returned the glasses!
context: but we've both supported each other as we pursue the things we love.\Because we love what we do,\we'll both keep rushing, full speed ahead.\We both know that about each other.\Papa, that's not convincing when you've left her alone for three years.\Really?\But I went to see her just this morning!\I returned the glasses! response:	Thank you, Mari.
context: Because we love what we do,\we'll both keep rushing, full speed ahead.\We both know that about each other.\Papa, that's not convincing when you've left her alone for three years.\Really?\But I went to see her just this morning!\I returned the glasses!\Thank you, Mari. response:	No problem.
context: we'll both keep rushing, full speed ahead.\We both know that about each other.\Papa, that's not convincing when you've left her alone for three years.\Really?\But I went to see her just this morning!\I returned the glasses!\Thank you, Mari.\No problem. response:	-Hey, Papa. I think I- -It's so hot. I'm exhausted.
context: We both know that about each other.\Papa, that's not convincing when you've left her alone for three years.\Really?\But I went to see her just this morning!\I returned the glasses!\Thank you, Mari.\No problem.\-Hey, Papa. I think I- -It's so hot. I'm exhausted. response:	Yes, let's call the judging over for today, and do the rest at another time.
context: Papa, that's not convincing when you've left her alone for three years.\Really?\But I went to see her just this morning!\I returned the glasses!\Thank you, Mari.\No problem.\-Hey, Papa. I think I- -It's so hot. I'm exhausted.\Yes, let's call the judging over for today, and do the rest at another time. response:	N-No!
context: Really?\But I went to see her just this morning!\I returned the glasses!\Thank you, Mari.\No problem.\-Hey, Papa. I think I- -It's so hot. I'm exhausted.\Yes, let's call the judging over for today, and do the rest at another time.\N-No! response:	Well, if it isn't Mr. Bell!
context: But I went to see her just this morning!\I returned the glasses!\Thank you, Mari.\No problem.\-Hey, Papa. I think I- -It's so hot. I'm exhausted.\Yes, let's call the judging over for today, and do the rest at another time.\N-No!\Well, if it isn't Mr. Bell! response:	Dom Pedro!
