context: Come on, bring it! response:	It went up!
context: so it was possible for him to do a dump.\So was he going to dump, or not?\If he wasn't going to dump, he has Tanaka and Hinata on the front line,\and Azumane and Sawamura on the back line who he can set to.\And in this case, it went to Hinata,\but there were also various courses Hinata could have used.\You can see quite a bit when you're up here,\but when you're on the court, you can get frazzled. response:	So even if you know which way you want to go, your body may not move right.
context: So was he going to dump, or not?\If he wasn't going to dump, he has Tanaka and Hinata on the front line,\and Azumane and Sawamura on the back line who he can set to.\And in this case, it went to Hinata,\but there were also various courses Hinata could have used.\You can see quite a bit when you're up here,\but when you're on the court, you can get frazzled.\So even if you know which way you want to go, your body may not move right. response:	But...
context: If he wasn't going to dump, he has Tanaka and Hinata on the front line,\and Azumane and Sawamura on the back line who he can set to.\And in this case, it went to Hinata,\but there were also various courses Hinata could have used.\You can see quite a bit when you're up here,\but when you're on the court, you can get frazzled.\So even if you know which way you want to go, your body may not move right.\But... response:	He's able to move.
context: and Azumane and Sawamura on the back line who he can set to.\And in this case, it went to Hinata,\but there were also various courses Hinata could have used.\You can see quite a bit when you're up here,\but when you're on the court, you can get frazzled.\So even if you know which way you want to go, your body may not move right.\But...\He's able to move. response:	I guess it's no surprise that they took a time out.
context: And in this case, it went to Hinata,\but there were also various courses Hinata could have used.\You can see quite a bit when you're up here,\but when you're on the court, you can get frazzled.\So even if you know which way you want to go, your body may not move right.\But...\He's able to move.\I guess it's no surprise that they took a time out. response:	I totally thought that they were going to do a back attack just now.
context: but there were also various courses Hinata could have used.\You can see quite a bit when you're up here,\but when you're on the court, you can get frazzled.\So even if you know which way you want to go, your body may not move right.\But...\He's able to move.\I guess it's no surprise that they took a time out.\I totally thought that they were going to do a back attack just now. response:	I mean, he totally gave that other guy a look.
context: You can see quite a bit when you're up here,\but when you're on the court, you can get frazzled.\So even if you know which way you want to go, your body may not move right.\But...\He's able to move.\I guess it's no surprise that they took a time out.\I totally thought that they were going to do a back attack just now.\I mean, he totally gave that other guy a look. response:	That was a complete fake.
context: but when you're on the court, you can get frazzled.\So even if you know which way you want to go, your body may not move right.\But...\He's able to move.\I guess it's no surprise that they took a time out.\I totally thought that they were going to do a back attack just now.\I mean, he totally gave that other guy a look.\That was a complete fake. response:	Huh?
context: So even if you know which way you want to go, your body may not move right.\But...\He's able to move.\I guess it's no surprise that they took a time out.\I totally thought that they were going to do a back attack just now.\I mean, he totally gave that other guy a look.\That was a complete fake.\Huh? response:	Karasuno's setter's pretty good, right?
context: But...\He's able to move.\I guess it's no surprise that they took a time out.\I totally thought that they were going to do a back attack just now.\I mean, he totally gave that other guy a look.\That was a complete fake.\Huh?\Karasuno's setter's pretty good, right? response:	But that glance was way too obvious and over the top.
context: He's able to move.\I guess it's no surprise that they took a time out.\I totally thought that they were going to do a back attack just now.\I mean, he totally gave that other guy a look.\That was a complete fake.\Huh?\Karasuno's setter's pretty good, right?\But that glance was way too obvious and over the top. response:	Glances, footwork, and handling...
context: I guess it's no surprise that they took a time out.\I totally thought that they were going to do a back attack just now.\I mean, he totally gave that other guy a look.\That was a complete fake.\Huh?\Karasuno's setter's pretty good, right?\But that glance was way too obvious and over the top.\Glances, footwork, and handling... response:	If Tendo-san figures any of those things out, you're finished.
context: I totally thought that they were going to do a back attack just now.\I mean, he totally gave that other guy a look.\That was a complete fake.\Huh?\Karasuno's setter's pretty good, right?\But that glance was way too obvious and over the top.\Glances, footwork, and handling...\If Tendo-san figures any of those things out, you're finished. response:	Nice block, Satori.
context: I mean, he totally gave that other guy a look.\That was a complete fake.\Huh?\Karasuno's setter's pretty good, right?\But that glance was way too obvious and over the top.\Glances, footwork, and handling...\If Tendo-san figures any of those things out, you're finished.\Nice block, Satori. response:	Yup.
context: That was a complete fake.\Huh?\Karasuno's setter's pretty good, right?\But that glance was way too obvious and over the top.\Glances, footwork, and handling...\If Tendo-san figures any of those things out, you're finished.\Nice block, Satori.\Yup. response:	Sorry that I'm getting more attention than you, Wakatoshi-kun.
context: Huh?\Karasuno's setter's pretty good, right?\But that glance was way too obvious and over the top.\Glances, footwork, and handling...\If Tendo-san figures any of those things out, you're finished.\Nice block, Satori.\Yup.\Sorry that I'm getting more attention than you, Wakatoshi-kun. response:	That's not a problem.
context: Karasuno's setter's pretty good, right?\But that glance was way too obvious and over the top.\Glances, footwork, and handling...\If Tendo-san figures any of those things out, you're finished.\Nice block, Satori.\Yup.\Sorry that I'm getting more attention than you, Wakatoshi-kun.\That's not a problem. response:	Certain Victory
context: But that glance was way too obvious and over the top.\Glances, footwork, and handling...\If Tendo-san figures any of those things out, you're finished.\Nice block, Satori.\Yup.\Sorry that I'm getting more attention than you, Wakatoshi-kun.\That's not a problem.\Certain Victory response:	We're going to cut them off on the next one!
context: Glances, footwork, and handling...\If Tendo-san figures any of those things out, you're finished.\Nice block, Satori.\Yup.\Sorry that I'm getting more attention than you, Wakatoshi-kun.\That's not a problem.\Certain Victory\We're going to cut them off on the next one! response:	Hinata, we're going to switch things up! Get this next one!
context: If Tendo-san figures any of those things out, you're finished.\Nice block, Satori.\Yup.\Sorry that I'm getting more attention than you, Wakatoshi-kun.\That's not a problem.\Certain Victory\We're going to cut them off on the next one!\Hinata, we're going to switch things up! Get this next one! response:	Right!
context: Nice block, Satori.\Yup.\Sorry that I'm getting more attention than you, Wakatoshi-kun.\That's not a problem.\Certain Victory\We're going to cut them off on the next one!\Hinata, we're going to switch things up! Get this next one!\Right! response:	Hey, Kageyama, what's wrong with your face?
context: Yup.\Sorry that I'm getting more attention than you, Wakatoshi-kun.\That's not a problem.\Certain Victory\We're going to cut them off on the next one!\Hinata, we're going to switch things up! Get this next one!\Right!\Hey, Kageyama, what's wrong with your face? response:	Nothing's wrong.
context: Sorry that I'm getting more attention than you, Wakatoshi-kun.\That's not a problem.\Certain Victory\We're going to cut them off on the next one!\Hinata, we're going to switch things up! Get this next one!\Right!\Hey, Kageyama, what's wrong with your face?\Nothing's wrong. response:	You liar!
context: That's not a problem.\Certain Victory\We're going to cut them off on the next one!\Hinata, we're going to switch things up! Get this next one!\Right!\Hey, Kageyama, what's wrong with your face?\Nothing's wrong.\You liar! response:	It's one thing when my spike gets blocked,
context: Certain Victory\We're going to cut them off on the next one!\Hinata, we're going to switch things up! Get this next one!\Right!\Hey, Kageyama, what's wrong with your face?\Nothing's wrong.\You liar!\It's one thing when my spike gets blocked, response:	but it pisses me off a million times more
context: We're going to cut them off on the next one!\Hinata, we're going to switch things up! Get this next one!\Right!\Hey, Kageyama, what's wrong with your face?\Nothing's wrong.\You liar!\It's one thing when my spike gets blocked,\but it pisses me off a million times more response:	when a spike from my set-up gets blocked...
context: Hinata, we're going to switch things up! Get this next one!\Right!\Hey, Kageyama, what's wrong with your face?\Nothing's wrong.\You liar!\It's one thing when my spike gets blocked,\but it pisses me off a million times more\when a spike from my set-up gets blocked... response:	How is their 5
context: Right!\Hey, Kageyama, what's wrong with your face?\Nothing's wrong.\You liar!\It's one thing when my spike gets blocked,\but it pisses me off a million times more\when a spike from my set-up gets blocked...\How is their 5 response:	able to continue blocking like that?
context: Hey, Kageyama, what's wrong with your face?\Nothing's wrong.\You liar!\It's one thing when my spike gets blocked,\but it pisses me off a million times more\when a spike from my set-up gets blocked...\How is their 5\able to continue blocking like that? response:	Sensei, you remember read blocking, right?
context: Nothing's wrong.\You liar!\It's one thing when my spike gets blocked,\but it pisses me off a million times more\when a spike from my set-up gets blocked...\How is their 5\able to continue blocking like that?\Sensei, you remember read blocking, right? response:	You see where the toss is going before jumping up to block, right?
context: You liar!\It's one thing when my spike gets blocked,\but it pisses me off a million times more\when a spike from my set-up gets blocked...\How is their 5\able to continue blocking like that?\Sensei, you remember read blocking, right?\You see where the toss is going before jumping up to block, right? response:	Yeah. Read in this case doesn't necessarily mean to read,
context: It's one thing when my spike gets blocked,\but it pisses me off a million times more\when a spike from my set-up gets blocked...\How is their 5\able to continue blocking like that?\Sensei, you remember read blocking, right?\You see where the toss is going before jumping up to block, right?\Yeah. Read in this case doesn't necessarily mean to read, response:	but more to understand.
context: but it pisses me off a million times more\when a spike from my set-up gets blocked...\How is their 5\able to continue blocking like that?\Sensei, you remember read blocking, right?\You see where the toss is going before jumping up to block, right?\Yeah. Read in this case doesn't necessarily mean to read,\but more to understand. response:	Since you're jumping up after watching the ball,
context: when a spike from my set-up gets blocked...\How is their 5\able to continue blocking like that?\Sensei, you remember read blocking, right?\You see where the toss is going before jumping up to block, right?\Yeah. Read in this case doesn't necessarily mean to read,\but more to understand.\Since you're jumping up after watching the ball, response:	there's no danger in the toss tricking you.
context: How is their 5\able to continue blocking like that?\Sensei, you remember read blocking, right?\You see where the toss is going before jumping up to block, right?\Yeah. Read in this case doesn't necessarily mean to read,\but more to understand.\Since you're jumping up after watching the ball,\there's no danger in the toss tricking you. response:	Their reaction will be slightly slower,
context: able to continue blocking like that?\Sensei, you remember read blocking, right?\You see where the toss is going before jumping up to block, right?\Yeah. Read in this case doesn't necessarily mean to read,\but more to understand.\Since you're jumping up after watching the ball,\there's no danger in the toss tricking you.\Their reaction will be slightly slower, response:	but if you can cover by using three blockers,
context: Sensei, you remember read blocking, right?\You see where the toss is going before jumping up to block, right?\Yeah. Read in this case doesn't necessarily mean to read,\but more to understand.\Since you're jumping up after watching the ball,\there's no danger in the toss tricking you.\Their reaction will be slightly slower,\but if you can cover by using three blockers, response:	it's the most effective.
context: You see where the toss is going before jumping up to block, right?\Yeah. Read in this case doesn't necessarily mean to read,\but more to understand.\Since you're jumping up after watching the ball,\there's no danger in the toss tricking you.\Their reaction will be slightly slower,\but if you can cover by using three blockers,\it's the most effective. response:	We're still in the middle of practicing this ourselves.
context: Yeah. Read in this case doesn't necessarily mean to read,\but more to understand.\Since you're jumping up after watching the ball,\there's no danger in the toss tricking you.\Their reaction will be slightly slower,\but if you can cover by using three blockers,\it's the most effective.\We're still in the middle of practicing this ourselves. response:	On the other hand, what's special about their 5's blocks
context: but more to understand.\Since you're jumping up after watching the ball,\there's no danger in the toss tricking you.\Their reaction will be slightly slower,\but if you can cover by using three blockers,\it's the most effective.\We're still in the middle of practicing this ourselves.\On the other hand, what's special about their 5's blocks response:	are his reading and intuition. He does guess blocking.
context: Since you're jumping up after watching the ball,\there's no danger in the toss tricking you.\Their reaction will be slightly slower,\but if you can cover by using three blockers,\it's the most effective.\We're still in the middle of practicing this ourselves.\On the other hand, what's special about their 5's blocks\are his reading and intuition. He does guess blocking. response:	Guess means to presume something,
context: there's no danger in the toss tricking you.\Their reaction will be slightly slower,\but if you can cover by using three blockers,\it's the most effective.\We're still in the middle of practicing this ourselves.\On the other hand, what's special about their 5's blocks\are his reading and intuition. He does guess blocking.\Guess means to presume something, response:	and he'll read the attack before the toss goes up,
context: Their reaction will be slightly slower,\but if you can cover by using three blockers,\it's the most effective.\We're still in the middle of practicing this ourselves.\On the other hand, what's special about their 5's blocks\are his reading and intuition. He does guess blocking.\Guess means to presume something,\and he'll read the attack before the toss goes up, response:	and then he'll jump pretty much on intuition.
context: but if you can cover by using three blockers,\it's the most effective.\We're still in the middle of practicing this ourselves.\On the other hand, what's special about their 5's blocks\are his reading and intuition. He does guess blocking.\Guess means to presume something,\and he'll read the attack before the toss goes up,\and then he'll jump pretty much on intuition. response:	Guess?!
context: it's the most effective.\We're still in the middle of practicing this ourselves.\On the other hand, what's special about their 5's blocks\are his reading and intuition. He does guess blocking.\Guess means to presume something,\and he'll read the attack before the toss goes up,\and then he'll jump pretty much on intuition.\Guess?! response:	Of course, there will be times where his intuition is off,
context: We're still in the middle of practicing this ourselves.\On the other hand, what's special about their 5's blocks\are his reading and intuition. He does guess blocking.\Guess means to presume something,\and he'll read the attack before the toss goes up,\and then he'll jump pretty much on intuition.\Guess?!\Of course, there will be times where his intuition is off, response:	and he might get in the way of his team's blocks and receives.
context: On the other hand, what's special about their 5's blocks\are his reading and intuition. He does guess blocking.\Guess means to presume something,\and he'll read the attack before the toss goes up,\and then he'll jump pretty much on intuition.\Guess?!\Of course, there will be times where his intuition is off,\and he might get in the way of his team's blocks and receives. response:	This is definitely a style of blocking that doesn't work for everyone.
context: are his reading and intuition. He does guess blocking.\Guess means to presume something,\and he'll read the attack before the toss goes up,\and then he'll jump pretty much on intuition.\Guess?!\Of course, there will be times where his intuition is off,\and he might get in the way of his team's blocks and receives.\This is definitely a style of blocking that doesn't work for everyone. response:	But I think that 5 is so accurate with his guesses that it's scary.
context: Guess means to presume something,\and he'll read the attack before the toss goes up,\and then he'll jump pretty much on intuition.\Guess?!\Of course, there will be times where his intuition is off,\and he might get in the way of his team's blocks and receives.\This is definitely a style of blocking that doesn't work for everyone.\But I think that 5 is so accurate with his guesses that it's scary. response:	On top of that, he has a body that can react to those guesses.
context: and he'll read the attack before the toss goes up,\and then he'll jump pretty much on intuition.\Guess?!\Of course, there will be times where his intuition is off,\and he might get in the way of his team's blocks and receives.\This is definitely a style of blocking that doesn't work for everyone.\But I think that 5 is so accurate with his guesses that it's scary.\On top of that, he has a body that can react to those guesses. response:	It's better to think that his movements have no regularity to them.
context: and then he'll jump pretty much on intuition.\Guess?!\Of course, there will be times where his intuition is off,\and he might get in the way of his team's blocks and receives.\This is definitely a style of blocking that doesn't work for everyone.\But I think that 5 is so accurate with his guesses that it's scary.\On top of that, he has a body that can react to those guesses.\It's better to think that his movements have no regularity to them. response:	Don't think too hard and get fooled by them.
context: Guess?!\Of course, there will be times where his intuition is off,\and he might get in the way of his team's blocks and receives.\This is definitely a style of blocking that doesn't work for everyone.\But I think that 5 is so accurate with his guesses that it's scary.\On top of that, he has a body that can react to those guesses.\It's better to think that his movements have no regularity to them.\Don't think too hard and get fooled by them. response:	Right!
context: Of course, there will be times where his intuition is off,\and he might get in the way of his team's blocks and receives.\This is definitely a style of blocking that doesn't work for everyone.\But I think that 5 is so accurate with his guesses that it's scary.\On top of that, he has a body that can react to those guesses.\It's better to think that his movements have no regularity to them.\Don't think too hard and get fooled by them.\Right! response:	What do we need to do in order for him not to read our tosses?
context: and he might get in the way of his team's blocks and receives.\This is definitely a style of blocking that doesn't work for everyone.\But I think that 5 is so accurate with his guesses that it's scary.\On top of that, he has a body that can react to those guesses.\It's better to think that his movements have no regularity to them.\Don't think too hard and get fooled by them.\Right!\What do we need to do in order for him not to read our tosses? response:	Does that mean Kageyama's going to have to do the crazy feints that Hinata does, too?
context: This is definitely a style of blocking that doesn't work for everyone.\But I think that 5 is so accurate with his guesses that it's scary.\On top of that, he has a body that can react to those guesses.\It's better to think that his movements have no regularity to them.\Don't think too hard and get fooled by them.\Right!\What do we need to do in order for him not to read our tosses?\Does that mean Kageyama's going to have to do the crazy feints that Hinata does, too? response:	That actually sounds pretty amusing, so why not?
context: But I think that 5 is so accurate with his guesses that it's scary.\On top of that, he has a body that can react to those guesses.\It's better to think that his movements have no regularity to them.\Don't think too hard and get fooled by them.\Right!\What do we need to do in order for him not to read our tosses?\Does that mean Kageyama's going to have to do the crazy feints that Hinata does, too?\That actually sounds pretty amusing, so why not? response:	Karasuno Shiratorizawa
context: On top of that, he has a body that can react to those guesses.\It's better to think that his movements have no regularity to them.\Don't think too hard and get fooled by them.\Right!\What do we need to do in order for him not to read our tosses?\Does that mean Kageyama's going to have to do the crazy feints that Hinata does, too?\That actually sounds pretty amusing, so why not?\Karasuno Shiratorizawa response:	One more, nice serve!
context: It's better to think that his movements have no regularity to them.\Don't think too hard and get fooled by them.\Right!\What do we need to do in order for him not to read our tosses?\Does that mean Kageyama's going to have to do the crazy feints that Hinata does, too?\That actually sounds pretty amusing, so why not?\Karasuno Shiratorizawa\One more, nice serve! response:	Front!
context: Don't think too hard and get fooled by them.\Right!\What do we need to do in order for him not to read our tosses?\Does that mean Kageyama's going to have to do the crazy feints that Hinata does, too?\That actually sounds pretty amusing, so why not?\Karasuno Shiratorizawa\One more, nice serve!\Front! response:	Sorry, it's short!
context: Right!\What do we need to do in order for him not to read our tosses?\Does that mean Kageyama's going to have to do the crazy feints that Hinata does, too?\That actually sounds pretty amusing, so why not?\Karasuno Shiratorizawa\One more, nice serve!\Front!\Sorry, it's short! response:	It doesn't matter what kind of feints you try to use against Tendo-san...
context: What do we need to do in order for him not to read our tosses?\Does that mean Kageyama's going to have to do the crazy feints that Hinata does, too?\That actually sounds pretty amusing, so why not?\Karasuno Shiratorizawa\One more, nice serve!\Front!\Sorry, it's short!\It doesn't matter what kind of feints you try to use against Tendo-san... response:	So this must be what it means
context: Does that mean Kageyama's going to have to do the crazy feints that Hinata does, too?\That actually sounds pretty amusing, so why not?\Karasuno Shiratorizawa\One more, nice serve!\Front!\Sorry, it's short!\It doesn't matter what kind of feints you try to use against Tendo-san...\So this must be what it means response:	to have perfect coordination...
context: That actually sounds pretty amusing, so why not?\Karasuno Shiratorizawa\One more, nice serve!\Front!\Sorry, it's short!\It doesn't matter what kind of feints you try to use against Tendo-san...\So this must be what it means\to have perfect coordination... response:	Just barely missed me...
context: Karasuno Shiratorizawa\One more, nice serve!\Front!\Sorry, it's short!\It doesn't matter what kind of feints you try to use against Tendo-san...\So this must be what it means\to have perfect coordination...\Just barely missed me... response:	Yeah!
