context: Arai Yoshiyuki (homeroom teacher Zen”) response:	Newly wed
context: I'm going to take Maru for a walk after school.\Come join me if you have time,\at the riverbed where we found him.\Okay\I'll go\Or is this a miracle?\Review\Morning. response:	Morning.
context: Come join me if you have time,\at the riverbed where we found him.\Okay\I'll go\Or is this a miracle?\Review\Morning.\Morning. response:	Hey.
context: at the riverbed where we found him.\Okay\I'll go\Or is this a miracle?\Review\Morning.\Morning.\Hey. response:	Morning, Sadako.
context: Okay\I'll go\Or is this a miracle?\Review\Morning.\Morning.\Hey.\Morning, Sadako. response:	Sadako, morning.
context: I'll go\Or is this a miracle?\Review\Morning.\Morning.\Hey.\Morning, Sadako.\Sadako, morning. response:	Morning, Yano-san, Yoshida-san.
context: Or is this a miracle?\Review\Morning.\Morning.\Hey.\Morning, Sadako.\Sadako, morning.\Morning, Yano-san, Yoshida-san. response:	Right now I'm experiencing the very thing I've always longed for!
context: Review\Morning.\Morning.\Hey.\Morning, Sadako.\Sadako, morning.\Morning, Yano-san, Yoshida-san.\Right now I'm experiencing the very thing I've always longed for! response:	I'm in bliss!
context: Morning.\Morning.\Hey.\Morning, Sadako.\Sadako, morning.\Morning, Yano-san, Yoshida-san.\Right now I'm experiencing the very thing I've always longed for!\I'm in bliss! response:	What's with that look?
context: Morning.\Hey.\Morning, Sadako.\Sadako, morning.\Morning, Yano-san, Yoshida-san.\Right now I'm experiencing the very thing I've always longed for!\I'm in bliss!\What's with that look? response:	I'll start crying if I stop contracting my eyebrow muscles.
context: Hey.\Morning, Sadako.\Sadako, morning.\Morning, Yano-san, Yoshida-san.\Right now I'm experiencing the very thing I've always longed for!\I'm in bliss!\What's with that look?\I'll start crying if I stop contracting my eyebrow muscles. response:	I thought you were pissed.
context: Morning, Sadako.\Sadako, morning.\Morning, Yano-san, Yoshida-san.\Right now I'm experiencing the very thing I've always longed for!\I'm in bliss!\What's with that look?\I'll start crying if I stop contracting my eyebrow muscles.\I thought you were pissed. response:	Smile, if you're happy.
context: Sadako, morning.\Morning, Yano-san, Yoshida-san.\Right now I'm experiencing the very thing I've always longed for!\I'm in bliss!\What's with that look?\I'll start crying if I stop contracting my eyebrow muscles.\I thought you were pissed.\Smile, if you're happy. response:	Never mind, you don't have to smile.
context: Morning, Yano-san, Yoshida-san.\Right now I'm experiencing the very thing I've always longed for!\I'm in bliss!\What's with that look?\I'll start crying if I stop contracting my eyebrow muscles.\I thought you were pissed.\Smile, if you're happy.\Never mind, you don't have to smile. response:	It's sort of creepy.
context: Right now I'm experiencing the very thing I've always longed for!\I'm in bliss!\What's with that look?\I'll start crying if I stop contracting my eyebrow muscles.\I thought you were pissed.\Smile, if you're happy.\Never mind, you don't have to smile.\It's sort of creepy. response:	You definitely look gloomy.
context: I'm in bliss!\What's with that look?\I'll start crying if I stop contracting my eyebrow muscles.\I thought you were pissed.\Smile, if you're happy.\Never mind, you don't have to smile.\It's sort of creepy.\You definitely look gloomy. response:	You might as well take advantage of that appearance.
context: What's with that look?\I'll start crying if I stop contracting my eyebrow muscles.\I thought you were pissed.\Smile, if you're happy.\Never mind, you don't have to smile.\It's sort of creepy.\You definitely look gloomy.\You might as well take advantage of that appearance. response:	Take advantage of my appearance?
context: I'll start crying if I stop contracting my eyebrow muscles.\I thought you were pissed.\Smile, if you're happy.\Never mind, you don't have to smile.\It's sort of creepy.\You definitely look gloomy.\You might as well take advantage of that appearance.\Take advantage of my appearance? response:	Safe.
context: I thought you were pissed.\Smile, if you're happy.\Never mind, you don't have to smile.\It's sort of creepy.\You definitely look gloomy.\You might as well take advantage of that appearance.\Take advantage of my appearance?\Safe. response:	You're safe.
context: Smile, if you're happy.\Never mind, you don't have to smile.\It's sort of creepy.\You definitely look gloomy.\You might as well take advantage of that appearance.\Take advantage of my appearance?\Safe.\You're safe. response:	Kazehaya-kun.
context: Never mind, you don't have to smile.\It's sort of creepy.\You definitely look gloomy.\You might as well take advantage of that appearance.\Take advantage of my appearance?\Safe.\You're safe.\Kazehaya-kun. response:	He's so nice.
context: It's sort of creepy.\You definitely look gloomy.\You might as well take advantage of that appearance.\Take advantage of my appearance?\Safe.\You're safe.\Kazehaya-kun.\He's so nice. response:	Morning.
context: You definitely look gloomy.\You might as well take advantage of that appearance.\Take advantage of my appearance?\Safe.\You're safe.\Kazehaya-kun.\He's so nice.\Morning. response:	Ryu, you too.
context: You might as well take advantage of that appearance.\Take advantage of my appearance?\Safe.\You're safe.\Kazehaya-kun.\He's so nice.\Morning.\Ryu, you too. response:	Morning.
context: Take advantage of my appearance?\Safe.\You're safe.\Kazehaya-kun.\He's so nice.\Morning.\Ryu, you too.\Morning. response:	M-Morning...
context: Safe.\You're safe.\Kazehaya-kun.\He's so nice.\Morning.\Ryu, you too.\Morning.\M-Morning... response:	He's so nice.
context: You're safe.\Kazehaya-kun.\He's so nice.\Morning.\Ryu, you too.\Morning.\M-Morning...\He's so nice. response:	Wait, who were you again?
context: Kazehaya-kun.\He's so nice.\Morning.\Ryu, you too.\Morning.\M-Morning...\He's so nice.\Wait, who were you again? response:	Come on Ryu, she's a classmate, you should know.
context: He's so nice.\Morning.\Ryu, you too.\Morning.\M-Morning...\He's so nice.\Wait, who were you again?\Come on Ryu, she's a classmate, you should know. response:	I don't really leave much of an impression.
context: Morning.\Ryu, you too.\Morning.\M-Morning...\He's so nice.\Wait, who were you again?\Come on Ryu, she's a classmate, you should know.\I don't really leave much of an impression. response:	You do, in a bad way.
context: Ryu, you too.\Morning.\M-Morning...\He's so nice.\Wait, who were you again?\Come on Ryu, she's a classmate, you should know.\I don't really leave much of an impression.\You do, in a bad way. response:	Kuronuma Sawako. Nice to meet you.
context: Morning.\M-Morning...\He's so nice.\Wait, who were you again?\Come on Ryu, she's a classmate, you should know.\I don't really leave much of an impression.\You do, in a bad way.\Kuronuma Sawako. Nice to meet you. response:	Sanada Ryu.
context: M-Morning...\He's so nice.\Wait, who were you again?\Come on Ryu, she's a classmate, you should know.\I don't really leave much of an impression.\You do, in a bad way.\Kuronuma Sawako. Nice to meet you.\Sanada Ryu. response:	I'm bad with names.
context: He's so nice.\Wait, who were you again?\Come on Ryu, she's a classmate, you should know.\I don't really leave much of an impression.\You do, in a bad way.\Kuronuma Sawako. Nice to meet you.\Sanada Ryu.\I'm bad with names. response:	Sorry.
context: Wait, who were you again?\Come on Ryu, she's a classmate, you should know.\I don't really leave much of an impression.\You do, in a bad way.\Kuronuma Sawako. Nice to meet you.\Sanada Ryu.\I'm bad with names.\Sorry. response:	So much has changed since Kazehaya-kun chose to sit next to me.
context: Come on Ryu, she's a classmate, you should know.\I don't really leave much of an impression.\You do, in a bad way.\Kuronuma Sawako. Nice to meet you.\Sanada Ryu.\I'm bad with names.\Sorry.\So much has changed since Kazehaya-kun chose to sit next to me. response:	Hey,
context: I don't really leave much of an impression.\You do, in a bad way.\Kuronuma Sawako. Nice to meet you.\Sanada Ryu.\I'm bad with names.\Sorry.\So much has changed since Kazehaya-kun chose to sit next to me.\Hey, response:	I still can't decide on a name for the dog.
context: You do, in a bad way.\Kuronuma Sawako. Nice to meet you.\Sanada Ryu.\I'm bad with names.\Sorry.\So much has changed since Kazehaya-kun chose to sit next to me.\Hey,\I still can't decide on a name for the dog. response:	Could you pick one?
context: Kuronuma Sawako. Nice to meet you.\Sanada Ryu.\I'm bad with names.\Sorry.\So much has changed since Kazehaya-kun chose to sit next to me.\Hey,\I still can't decide on a name for the dog.\Could you pick one? response:	Pick one.
context: Sanada Ryu.\I'm bad with names.\Sorry.\So much has changed since Kazehaya-kun chose to sit next to me.\Hey,\I still can't decide on a name for the dog.\Could you pick one?\Pick one. response:	U-Um...
context: I'm bad with names.\Sorry.\So much has changed since Kazehaya-kun chose to sit next to me.\Hey,\I still can't decide on a name for the dog.\Could you pick one?\Pick one.\U-Um... response:	Pedro Martinez.
context: Sorry.\So much has changed since Kazehaya-kun chose to sit next to me.\Hey,\I still can't decide on a name for the dog.\Could you pick one?\Pick one.\U-Um...\Pedro Martinez. response:	Pedro Martinez. Done.
context: So much has changed since Kazehaya-kun chose to sit next to me.\Hey,\I still can't decide on a name for the dog.\Could you pick one?\Pick one.\U-Um...\Pedro Martinez.\Pedro Martinez. Done. response:	Pin.
context: Hey,\I still can't decide on a name for the dog.\Could you pick one?\Pick one.\U-Um...\Pedro Martinez.\Pedro Martinez. Done.\Pin. response:	You're our sub teacher; why are you here?
context: I still can't decide on a name for the dog.\Could you pick one?\Pick one.\U-Um...\Pedro Martinez.\Pedro Martinez. Done.\Pin.\You're our sub teacher; why are you here? response:	Where's Zen?
context: Could you pick one?\Pick one.\U-Um...\Pedro Martinez.\Pedro Martinez. Done.\Pin.\You're our sub teacher; why are you here?\Where's Zen? response:	He's supposed to be our homeroom teacher.
context: Pick one.\U-Um...\Pedro Martinez.\Pedro Martinez. Done.\Pin.\You're our sub teacher; why are you here?\Where's Zen?\He's supposed to be our homeroom teacher. response:	He's got problems at home, apparently.
context: U-Um...\Pedro Martinez.\Pedro Martinez. Done.\Pin.\You're our sub teacher; why are you here?\Where's Zen?\He's supposed to be our homeroom teacher.\He's got problems at home, apparently. response:	I'm filling in indefinitely.
context: Pedro Martinez.\Pedro Martinez. Done.\Pin.\You're our sub teacher; why are you here?\Where's Zen?\He's supposed to be our homeroom teacher.\He's got problems at home, apparently.\I'm filling in indefinitely. response:	Grand slam!
context: Pedro Martinez. Done.\Pin.\You're our sub teacher; why are you here?\Where's Zen?\He's supposed to be our homeroom teacher.\He's got problems at home, apparently.\I'm filling in indefinitely.\Grand slam! response:	Problems at home? Is this because of Sadako?
context: Pin.\You're our sub teacher; why are you here?\Where's Zen?\He's supposed to be our homeroom teacher.\He's got problems at home, apparently.\I'm filling in indefinitely.\Grand slam!\Problems at home? Is this because of Sadako? response:	Because he made her do stuff over the summer?
context: You're our sub teacher; why are you here?\Where's Zen?\He's supposed to be our homeroom teacher.\He's got problems at home, apparently.\I'm filling in indefinitely.\Grand slam!\Problems at home? Is this because of Sadako?\Because he made her do stuff over the summer? response:	Pedro Martinez.
context: Where's Zen?\He's supposed to be our homeroom teacher.\He's got problems at home, apparently.\I'm filling in indefinitely.\Grand slam!\Problems at home? Is this because of Sadako?\Because he made her do stuff over the summer?\Pedro Martinez. response:	Maru-chan.
context: He's supposed to be our homeroom teacher.\He's got problems at home, apparently.\I'm filling in indefinitely.\Grand slam!\Problems at home? Is this because of Sadako?\Because he made her do stuff over the summer?\Pedro Martinez.\Maru-chan. response:	Perfect.
context: He's got problems at home, apparently.\I'm filling in indefinitely.\Grand slam!\Problems at home? Is this because of Sadako?\Because he made her do stuff over the summer?\Pedro Martinez.\Maru-chan.\Perfect. response:	Oh yeah, Zen mentioned...
context: I'm filling in indefinitely.\Grand slam!\Problems at home? Is this because of Sadako?\Because he made her do stuff over the summer?\Pedro Martinez.\Maru-chan.\Perfect.\Oh yeah, Zen mentioned... response:	Kuronuma.
context: Grand slam!\Problems at home? Is this because of Sadako?\Because he made her do stuff over the summer?\Pedro Martinez.\Maru-chan.\Perfect.\Oh yeah, Zen mentioned...\Kuronuma. response:	Yes?
context: Problems at home? Is this because of Sadako?\Because he made her do stuff over the summer?\Pedro Martinez.\Maru-chan.\Perfect.\Oh yeah, Zen mentioned...\Kuronuma.\Yes? response:	See that?
context: Because he made her do stuff over the summer?\Pedro Martinez.\Maru-chan.\Perfect.\Oh yeah, Zen mentioned...\Kuronuma.\Yes?\See that? response:	I'm awesome!
context: Pedro Martinez.\Maru-chan.\Perfect.\Oh yeah, Zen mentioned...\Kuronuma.\Yes?\See that?\I'm awesome! response:	Being tough again.
context: Maru-chan.\Perfect.\Oh yeah, Zen mentioned...\Kuronuma.\Yes?\See that?\I'm awesome!\Being tough again. response:	But it would be a good rumor if Pin survives.
context: Perfect.\Oh yeah, Zen mentioned...\Kuronuma.\Yes?\See that?\I'm awesome!\Being tough again.\But it would be a good rumor if Pin survives. response:	That's true.
context: Oh yeah, Zen mentioned...\Kuronuma.\Yes?\See that?\I'm awesome!\Being tough again.\But it would be a good rumor if Pin survives.\That's true. response:	I see.
context: Kuronuma.\Yes?\See that?\I'm awesome!\Being tough again.\But it would be a good rumor if Pin survives.\That's true.\I see. response:	What was that supposed to be?
context: Yes?\See that?\I'm awesome!\Being tough again.\But it would be a good rumor if Pin survives.\That's true.\I see.\What was that supposed to be? response:	Kuronuma.
context: See that?\I'm awesome!\Being tough again.\But it would be a good rumor if Pin survives.\That's true.\I see.\What was that supposed to be?\Kuronuma. response:	It's hot today.
context: I'm awesome!\Being tough again.\But it would be a good rumor if Pin survives.\That's true.\I see.\What was that supposed to be?\Kuronuma.\It's hot today. response:	Yeah.
context: Being tough again.\But it would be a good rumor if Pin survives.\That's true.\I see.\What was that supposed to be?\Kuronuma.\It's hot today.\Yeah. response:	What's that?
context: But it would be a good rumor if Pin survives.\That's true.\I see.\What was that supposed to be?\Kuronuma.\It's hot today.\Yeah.\What's that? response:	Standup comedy?
context: That's true.\I see.\What was that supposed to be?\Kuronuma.\It's hot today.\Yeah.\What's that?\Standup comedy? response:	About innocence.
context: I see.\What was that supposed to be?\Kuronuma.\It's hot today.\Yeah.\What's that?\Standup comedy?\About innocence. response:	Why?
context: What was that supposed to be?\Kuronuma.\It's hot today.\Yeah.\What's that?\Standup comedy?\About innocence.\Why? response:	Why is my pulse different from when Sensei was staring at me?
context: Kuronuma.\It's hot today.\Yeah.\What's that?\Standup comedy?\About innocence.\Why?\Why is my pulse different from when Sensei was staring at me? response:	I've known Ryu forever.
context: It's hot today.\Yeah.\What's that?\Standup comedy?\About innocence.\Why?\Why is my pulse different from when Sensei was staring at me?\I've known Ryu forever. response:	We were in middle school together along with Kazehaya.
context: Yeah.\What's that?\Standup comedy?\About innocence.\Why?\Why is my pulse different from when Sensei was staring at me?\I've known Ryu forever.\We were in middle school together along with Kazehaya. response:	I met Chizu in high school.
context: What's that?\Standup comedy?\About innocence.\Why?\Why is my pulse different from when Sensei was staring at me?\I've known Ryu forever.\We were in middle school together along with Kazehaya.\I met Chizu in high school. response:	We sat close to each other, so we became friends.
context: Standup comedy?\About innocence.\Why?\Why is my pulse different from when Sensei was staring at me?\I've known Ryu forever.\We were in middle school together along with Kazehaya.\I met Chizu in high school.\We sat close to each other, so we became friends. response:	That's great.
context: About innocence.\Why?\Why is my pulse different from when Sensei was staring at me?\I've known Ryu forever.\We were in middle school together along with Kazehaya.\I met Chizu in high school.\We sat close to each other, so we became friends.\That's great. response:	Speaking of Kazehaya, has he always been so cool?
context: Why?\Why is my pulse different from when Sensei was staring at me?\I've known Ryu forever.\We were in middle school together along with Kazehaya.\I met Chizu in high school.\We sat close to each other, so we became friends.\That's great.\Speaking of Kazehaya, has he always been so cool? response:	Yeah, always.
context: Why is my pulse different from when Sensei was staring at me?\I've known Ryu forever.\We were in middle school together along with Kazehaya.\I met Chizu in high school.\We sat close to each other, so we became friends.\That's great.\Speaking of Kazehaya, has he always been so cool?\Yeah, always. response:	He's always been nice to people who don't fit in.
context: I've known Ryu forever.\We were in middle school together along with Kazehaya.\I met Chizu in high school.\We sat close to each other, so we became friends.\That's great.\Speaking of Kazehaya, has he always been so cool?\Yeah, always.\He's always been nice to people who don't fit in. response:	And he's always the leader amongst the guys.
context: We were in middle school together along with Kazehaya.\I met Chizu in high school.\We sat close to each other, so we became friends.\That's great.\Speaking of Kazehaya, has he always been so cool?\Yeah, always.\He's always been nice to people who don't fit in.\And he's always the leader amongst the guys. response:	And popular with the girls.
context: I met Chizu in high school.\We sat close to each other, so we became friends.\That's great.\Speaking of Kazehaya, has he always been so cool?\Yeah, always.\He's always been nice to people who don't fit in.\And he's always the leader amongst the guys.\And popular with the girls. response:	He was a good person in middle school too.
context: We sat close to each other, so we became friends.\That's great.\Speaking of Kazehaya, has he always been so cool?\Yeah, always.\He's always been nice to people who don't fit in.\And he's always the leader amongst the guys.\And popular with the girls.\He was a good person in middle school too. response:	There was this huge fight over him amongst the girls,
context: That's great.\Speaking of Kazehaya, has he always been so cool?\Yeah, always.\He's always been nice to people who don't fit in.\And he's always the leader amongst the guys.\And popular with the girls.\He was a good person in middle school too.\There was this huge fight over him amongst the girls, response:	but those who realized he probably doesn't like that sort of thing
context: Speaking of Kazehaya, has he always been so cool?\Yeah, always.\He's always been nice to people who don't fit in.\And he's always the leader amongst the guys.\And popular with the girls.\He was a good person in middle school too.\There was this huge fight over him amongst the girls,\but those who realized he probably doesn't like that sort of thing response:	established the Kazehaya Belongs to Everyone Accord.”
context: Yeah, always.\He's always been nice to people who don't fit in.\And he's always the leader amongst the guys.\And popular with the girls.\He was a good person in middle school too.\There was this huge fight over him amongst the girls,\but those who realized he probably doesn't like that sort of thing\established the Kazehaya Belongs to Everyone Accord.” response:	The People's Kazehaya.”
context: He's always been nice to people who don't fit in.\And he's always the leader amongst the guys.\And popular with the girls.\He was a good person in middle school too.\There was this huge fight over him amongst the girls,\but those who realized he probably doesn't like that sort of thing\established the Kazehaya Belongs to Everyone Accord.”\The People's Kazehaya.” response:	Are you serious? That's so retarded.
context: And he's always the leader amongst the guys.\And popular with the girls.\He was a good person in middle school too.\There was this huge fight over him amongst the girls,\but those who realized he probably doesn't like that sort of thing\established the Kazehaya Belongs to Everyone Accord.”\The People's Kazehaya.”\Are you serious? That's so retarded. response:	Wow!
context: And popular with the girls.\He was a good person in middle school too.\There was this huge fight over him amongst the girls,\but those who realized he probably doesn't like that sort of thing\established the Kazehaya Belongs to Everyone Accord.”\The People's Kazehaya.”\Are you serious? That's so retarded.\Wow! response:	He moves people, captures their hearts and brings them to action.
context: He was a good person in middle school too.\There was this huge fight over him amongst the girls,\but those who realized he probably doesn't like that sort of thing\established the Kazehaya Belongs to Everyone Accord.”\The People's Kazehaya.”\Are you serious? That's so retarded.\Wow!\He moves people, captures their hearts and brings them to action. response:	Kazehaya-kun is amazing.
context: There was this huge fight over him amongst the girls,\but those who realized he probably doesn't like that sort of thing\established the Kazehaya Belongs to Everyone Accord.”\The People's Kazehaya.”\Are you serious? That's so retarded.\Wow!\He moves people, captures their hearts and brings them to action.\Kazehaya-kun is amazing. response:	Because of that there's a lot of girls from our middle school here.
context: but those who realized he probably doesn't like that sort of thing\established the Kazehaya Belongs to Everyone Accord.”\The People's Kazehaya.”\Are you serious? That's so retarded.\Wow!\He moves people, captures their hearts and brings them to action.\Kazehaya-kun is amazing.\Because of that there's a lot of girls from our middle school here. response:	Like them?
context: established the Kazehaya Belongs to Everyone Accord.”\The People's Kazehaya.”\Are you serious? That's so retarded.\Wow!\He moves people, captures their hearts and brings them to action.\Kazehaya-kun is amazing.\Because of that there's a lot of girls from our middle school here.\Like them? response:	Yeah, like them.
context: The People's Kazehaya.”\Are you serious? That's so retarded.\Wow!\He moves people, captures their hearts and brings them to action.\Kazehaya-kun is amazing.\Because of that there's a lot of girls from our middle school here.\Like them?\Yeah, like them. response:	They came to see him from another class.
context: Are you serious? That's so retarded.\Wow!\He moves people, captures their hearts and brings them to action.\Kazehaya-kun is amazing.\Because of that there's a lot of girls from our middle school here.\Like them?\Yeah, like them.\They came to see him from another class. response:	He's so popular.
context: Wow!\He moves people, captures their hearts and brings them to action.\Kazehaya-kun is amazing.\Because of that there's a lot of girls from our middle school here.\Like them?\Yeah, like them.\They came to see him from another class.\He's so popular. response:	All right,
context: He moves people, captures their hearts and brings them to action.\Kazehaya-kun is amazing.\Because of that there's a lot of girls from our middle school here.\Like them?\Yeah, like them.\They came to see him from another class.\He's so popular.\All right, response:	someone stay behind after school and write up the attendance form.
context: Kazehaya-kun is amazing.\Because of that there's a lot of girls from our middle school here.\Like them?\Yeah, like them.\They came to see him from another class.\He's so popular.\All right,\someone stay behind after school and write up the attendance form. response:	Isn't that your job?
context: Because of that there's a lot of girls from our middle school here.\Like them?\Yeah, like them.\They came to see him from another class.\He's so popular.\All right,\someone stay behind after school and write up the attendance form.\Isn't that your job? response:	Don't push it on us.
context: Like them?\Yeah, like them.\They came to see him from another class.\He's so popular.\All right,\someone stay behind after school and write up the attendance form.\Isn't that your job?\Don't push it on us. response:	Zen always does his.
context: Yeah, like them.\They came to see him from another class.\He's so popular.\All right,\someone stay behind after school and write up the attendance form.\Isn't that your job?\Don't push it on us.\Zen always does his. response:	Fine then, I'll choose.
context: They came to see him from another class.\He's so popular.\All right,\someone stay behind after school and write up the attendance form.\Isn't that your job?\Don't push it on us.\Zen always does his.\Fine then, I'll choose. response:	No one wants to do it.
context: He's so popular.\All right,\someone stay behind after school and write up the attendance form.\Isn't that your job?\Don't push it on us.\Zen always does his.\Fine then, I'll choose.\No one wants to do it. response:	I'll do it.
context: All right,\someone stay behind after school and write up the attendance form.\Isn't that your job?\Don't push it on us.\Zen always does his.\Fine then, I'll choose.\No one wants to do it.\I'll do it. response:	Well that's no fun.
context: someone stay behind after school and write up the attendance form.\Isn't that your job?\Don't push it on us.\Zen always does his.\Fine then, I'll choose.\No one wants to do it.\I'll do it.\Well that's no fun. response:	I'll do it too, then.
context: Isn't that your job?\Don't push it on us.\Zen always does his.\Fine then, I'll choose.\No one wants to do it.\I'll do it.\Well that's no fun.\I'll do it too, then. response:	It shouldn't take long with two people.
context: Don't push it on us.\Zen always does his.\Fine then, I'll choose.\No one wants to do it.\I'll do it.\Well that's no fun.\I'll do it too, then.\It shouldn't take long with two people. response:	I wouldn't mind helping if Kazehaya is doing it.
context: Zen always does his.\Fine then, I'll choose.\No one wants to do it.\I'll do it.\Well that's no fun.\I'll do it too, then.\It shouldn't take long with two people.\I wouldn't mind helping if Kazehaya is doing it. response:	Me too, then.
context: Fine then, I'll choose.\No one wants to do it.\I'll do it.\Well that's no fun.\I'll do it too, then.\It shouldn't take long with two people.\I wouldn't mind helping if Kazehaya is doing it.\Me too, then. response:	Now everyone wants to do it.
context: No one wants to do it.\I'll do it.\Well that's no fun.\I'll do it too, then.\It shouldn't take long with two people.\I wouldn't mind helping if Kazehaya is doing it.\Me too, then.\Now everyone wants to do it. response:	IIf everyone else wants to do it...
context: I'll do it.\Well that's no fun.\I'll do it too, then.\It shouldn't take long with two people.\I wouldn't mind helping if Kazehaya is doing it.\Me too, then.\Now everyone wants to do it.\IIf everyone else wants to do it... response:	Kuronuma.
context: Well that's no fun.\I'll do it too, then.\It shouldn't take long with two people.\I wouldn't mind helping if Kazehaya is doing it.\Me too, then.\Now everyone wants to do it.\IIf everyone else wants to do it...\Kuronuma. response:	You said you'd do it, didn't you?
context: I'll do it too, then.\It shouldn't take long with two people.\I wouldn't mind helping if Kazehaya is doing it.\Me too, then.\Now everyone wants to do it.\IIf everyone else wants to do it...\Kuronuma.\You said you'd do it, didn't you? response:	Yeah.
context: It shouldn't take long with two people.\I wouldn't mind helping if Kazehaya is doing it.\Me too, then.\Now everyone wants to do it.\IIf everyone else wants to do it...\Kuronuma.\You said you'd do it, didn't you?\Yeah. response:	Did I say that out loud?
context: I wouldn't mind helping if Kazehaya is doing it.\Me too, then.\Now everyone wants to do it.\IIf everyone else wants to do it...\Kuronuma.\You said you'd do it, didn't you?\Yeah.\Did I say that out loud? response:	What the hell? What's with this mushy stuff?
context: Me too, then.\Now everyone wants to do it.\IIf everyone else wants to do it...\Kuronuma.\You said you'd do it, didn't you?\Yeah.\Did I say that out loud?\What the hell? What's with this mushy stuff? response:	Kazehaya!
context: Now everyone wants to do it.\IIf everyone else wants to do it...\Kuronuma.\You said you'd do it, didn't you?\Yeah.\Did I say that out loud?\What the hell? What's with this mushy stuff?\Kazehaya! response:	Come to the office!
context: IIf everyone else wants to do it...\Kuronuma.\You said you'd do it, didn't you?\Yeah.\Did I say that out loud?\What the hell? What's with this mushy stuff?\Kazehaya!\Come to the office! response:	We're done!
context: Kuronuma.\You said you'd do it, didn't you?\Yeah.\Did I say that out loud?\What the hell? What's with this mushy stuff?\Kazehaya!\Come to the office!\We're done! response:	Stand.
context: You said you'd do it, didn't you?\Yeah.\Did I say that out loud?\What the hell? What's with this mushy stuff?\Kazehaya!\Come to the office!\We're done!\Stand. response:	Bow.
context: Yeah.\Did I say that out loud?\What the hell? What's with this mushy stuff?\Kazehaya!\Come to the office!\We're done!\Stand.\Bow. response:	I'll do it too, then.
