context: A battle was held in Biscotti territory response:	Naturally, Sink was Biscotti's Hero,
context: Rebecca-dono and Couverte-sama have gone to Pastillage.\You guys don't have to make a big deal out of this.\You'll be seeing each other again before you know it!\But there are so many things I want to talk to her about.\Yeah. We just became friends.\Right?\As for Sink and Eclair, and then Noir...\they will join up with me response:	for our summer training camp near Fuugetsu Lodge!
context: You guys don't have to make a big deal out of this.\You'll be seeing each other again before you know it!\But there are so many things I want to talk to her about.\Yeah. We just became friends.\Right?\As for Sink and Eclair, and then Noir...\they will join up with me\for our summer training camp near Fuugetsu Lodge! response:	Hey!
context: You'll be seeing each other again before you know it!\But there are so many things I want to talk to her about.\Yeah. We just became friends.\Right?\As for Sink and Eclair, and then Noir...\they will join up with me\for our summer training camp near Fuugetsu Lodge!\Hey! response:	Biscotti Summer Camp!
context: But there are so many things I want to talk to her about.\Yeah. We just became friends.\Right?\As for Sink and Eclair, and then Noir...\they will join up with me\for our summer training camp near Fuugetsu Lodge!\Hey!\Biscotti Summer Camp! response:	Everyone's going to be at the next war, too. Right?
context: Yeah. We just became friends.\Right?\As for Sink and Eclair, and then Noir...\they will join up with me\for our summer training camp near Fuugetsu Lodge!\Hey!\Biscotti Summer Camp!\Everyone's going to be at the next war, too. Right? response:	Yes. All three countries will be coming together for one big event.
context: Right?\As for Sink and Eclair, and then Noir...\they will join up with me\for our summer training camp near Fuugetsu Lodge!\Hey!\Biscotti Summer Camp!\Everyone's going to be at the next war, too. Right?\Yes. All three countries will be coming together for one big event. response:	Galette, Biscotti, and Pastillage.
context: As for Sink and Eclair, and then Noir...\they will join up with me\for our summer training camp near Fuugetsu Lodge!\Hey!\Biscotti Summer Camp!\Everyone's going to be at the next war, too. Right?\Yes. All three countries will be coming together for one big event.\Galette, Biscotti, and Pastillage. response:	It'll be a huge gathering with songs
context: they will join up with me\for our summer training camp near Fuugetsu Lodge!\Hey!\Biscotti Summer Camp!\Everyone's going to be at the next war, too. Right?\Yes. All three countries will be coming together for one big event.\Galette, Biscotti, and Pastillage.\It'll be a huge gathering with songs response:	and events for the general populace!
context: for our summer training camp near Fuugetsu Lodge!\Hey!\Biscotti Summer Camp!\Everyone's going to be at the next war, too. Right?\Yes. All three countries will be coming together for one big event.\Galette, Biscotti, and Pastillage.\It'll be a huge gathering with songs\and events for the general populace! response:	Wow, that sounds amazing, like so much fun!
context: Hey!\Biscotti Summer Camp!\Everyone's going to be at the next war, too. Right?\Yes. All three countries will be coming together for one big event.\Galette, Biscotti, and Pastillage.\It'll be a huge gathering with songs\and events for the general populace!\Wow, that sounds amazing, like so much fun! response:	That's right!
context: Biscotti Summer Camp!\Everyone's going to be at the next war, too. Right?\Yes. All three countries will be coming together for one big event.\Galette, Biscotti, and Pastillage.\It'll be a huge gathering with songs\and events for the general populace!\Wow, that sounds amazing, like so much fun!\That's right! response:	The citizens will have a blast,
context: Everyone's going to be at the next war, too. Right?\Yes. All three countries will be coming together for one big event.\Galette, Biscotti, and Pastillage.\It'll be a huge gathering with songs\and events for the general populace!\Wow, that sounds amazing, like so much fun!\That's right!\The citizens will have a blast, response:	the country will make a profit,
context: Yes. All three countries will be coming together for one big event.\Galette, Biscotti, and Pastillage.\It'll be a huge gathering with songs\and events for the general populace!\Wow, that sounds amazing, like so much fun!\That's right!\The citizens will have a blast,\the country will make a profit, response:	and the fighters will have a battlefield!
context: Galette, Biscotti, and Pastillage.\It'll be a huge gathering with songs\and events for the general populace!\Wow, that sounds amazing, like so much fun!\That's right!\The citizens will have a blast,\the country will make a profit,\and the fighters will have a battlefield! response:	It's not an easy operation, but it's totally worth it!
context: It'll be a huge gathering with songs\and events for the general populace!\Wow, that sounds amazing, like so much fun!\That's right!\The citizens will have a blast,\the country will make a profit,\and the fighters will have a battlefield!\It's not an easy operation, but it's totally worth it! response:	I see.
context: and events for the general populace!\Wow, that sounds amazing, like so much fun!\That's right!\The citizens will have a blast,\the country will make a profit,\and the fighters will have a battlefield!\It's not an easy operation, but it's totally worth it!\I see. response:	Can I help, too?
context: Wow, that sounds amazing, like so much fun!\That's right!\The citizens will have a blast,\the country will make a profit,\and the fighters will have a battlefield!\It's not an easy operation, but it's totally worth it!\I see.\Can I help, too? response:	You sure can!
context: That's right!\The citizens will have a blast,\the country will make a profit,\and the fighters will have a battlefield!\It's not an easy operation, but it's totally worth it!\I see.\Can I help, too?\You sure can! response:	I think I'll have my hero, Rebecca, go against
context: The citizens will have a blast,\the country will make a profit,\and the fighters will have a battlefield!\It's not an easy operation, but it's totally worth it!\I see.\Can I help, too?\You sure can!\I think I'll have my hero, Rebecca, go against response:	Millihi-nee by singing on-stage.
context: the country will make a profit,\and the fighters will have a battlefield!\It's not an easy operation, but it's totally worth it!\I see.\Can I help, too?\You sure can!\I think I'll have my hero, Rebecca, go against\Millihi-nee by singing on-stage. response:	That was a joke.
context: and the fighters will have a battlefield!\It's not an easy operation, but it's totally worth it!\I see.\Can I help, too?\You sure can!\I think I'll have my hero, Rebecca, go against\Millihi-nee by singing on-stage.\That was a joke. response:	You can see Pastillage, now.
context: It's not an easy operation, but it's totally worth it!\I see.\Can I help, too?\You sure can!\I think I'll have my hero, Rebecca, go against\Millihi-nee by singing on-stage.\That was a joke.\You can see Pastillage, now. response:	Esnart is a city of refinement and art,
context: I see.\Can I help, too?\You sure can!\I think I'll have my hero, Rebecca, go against\Millihi-nee by singing on-stage.\That was a joke.\You can see Pastillage, now.\Esnart is a city of refinement and art, response:	erected right on the border of Biscotti.
context: Can I help, too?\You sure can!\I think I'll have my hero, Rebecca, go against\Millihi-nee by singing on-stage.\That was a joke.\You can see Pastillage, now.\Esnart is a city of refinement and art,\erected right on the border of Biscotti. response:	There's our castle, Eschenbach!
context: You sure can!\I think I'll have my hero, Rebecca, go against\Millihi-nee by singing on-stage.\That was a joke.\You can see Pastillage, now.\Esnart is a city of refinement and art,\erected right on the border of Biscotti.\There's our castle, Eschenbach! response:	Wow, it's fantastic! Beautiful!
context: I think I'll have my hero, Rebecca, go against\Millihi-nee by singing on-stage.\That was a joke.\You can see Pastillage, now.\Esnart is a city of refinement and art,\erected right on the border of Biscotti.\There's our castle, Eschenbach!\Wow, it's fantastic! Beautiful! response:	Hero!
context: Millihi-nee by singing on-stage.\That was a joke.\You can see Pastillage, now.\Esnart is a city of refinement and art,\erected right on the border of Biscotti.\There's our castle, Eschenbach!\Wow, it's fantastic! Beautiful!\Hero! response:	Yes, hello guys!
context: That was a joke.\You can see Pastillage, now.\Esnart is a city of refinement and art,\erected right on the border of Biscotti.\There's our castle, Eschenbach!\Wow, it's fantastic! Beautiful!\Hero!\Yes, hello guys! response:	Nanami-sama!
context: You can see Pastillage, now.\Esnart is a city of refinement and art,\erected right on the border of Biscotti.\There's our castle, Eschenbach!\Wow, it's fantastic! Beautiful!\Hero!\Yes, hello guys!\Nanami-sama! response:	You're very popular, Nanami-chan.
context: Esnart is a city of refinement and art,\erected right on the border of Biscotti.\There's our castle, Eschenbach!\Wow, it's fantastic! Beautiful!\Hero!\Yes, hello guys!\Nanami-sama!\You're very popular, Nanami-chan. response:	She is a Hero, after all.
context: erected right on the border of Biscotti.\There's our castle, Eschenbach!\Wow, it's fantastic! Beautiful!\Hero!\Yes, hello guys!\Nanami-sama!\You're very popular, Nanami-chan.\She is a Hero, after all. response:	It would be bad for us if she wasn't popular.
context: There's our castle, Eschenbach!\Wow, it's fantastic! Beautiful!\Hero!\Yes, hello guys!\Nanami-sama!\You're very popular, Nanami-chan.\She is a Hero, after all.\It would be bad for us if she wasn't popular. response:	Leo-sama looks happy, too, now that she has a dependable partner.
context: Wow, it's fantastic! Beautiful!\Hero!\Yes, hello guys!\Nanami-sama!\You're very popular, Nanami-chan.\She is a Hero, after all.\It would be bad for us if she wasn't popular.\Leo-sama looks happy, too, now that she has a dependable partner. response:	Milady, will you take your lunch soon?
context: Hero!\Yes, hello guys!\Nanami-sama!\You're very popular, Nanami-chan.\She is a Hero, after all.\It would be bad for us if she wasn't popular.\Leo-sama looks happy, too, now that she has a dependable partner.\Milady, will you take your lunch soon? response:	Oh, is it that time already?
context: Yes, hello guys!\Nanami-sama!\You're very popular, Nanami-chan.\She is a Hero, after all.\It would be bad for us if she wasn't popular.\Leo-sama looks happy, too, now that she has a dependable partner.\Milady, will you take your lunch soon?\Oh, is it that time already? response:	Thank you for this meal.
context: Nanami-sama!\You're very popular, Nanami-chan.\She is a Hero, after all.\It would be bad for us if she wasn't popular.\Leo-sama looks happy, too, now that she has a dependable partner.\Milady, will you take your lunch soon?\Oh, is it that time already?\Thank you for this meal. response:	Yes.
context: You're very popular, Nanami-chan.\She is a Hero, after all.\It would be bad for us if she wasn't popular.\Leo-sama looks happy, too, now that she has a dependable partner.\Milady, will you take your lunch soon?\Oh, is it that time already?\Thank you for this meal.\Yes. response:	I can't help but feel sorry for Yuki-chan and the Hero
context: She is a Hero, after all.\It would be bad for us if she wasn't popular.\Leo-sama looks happy, too, now that she has a dependable partner.\Milady, will you take your lunch soon?\Oh, is it that time already?\Thank you for this meal.\Yes.\I can't help but feel sorry for Yuki-chan and the Hero response:	for having to set up an outdoor training camp
context: It would be bad for us if she wasn't popular.\Leo-sama looks happy, too, now that she has a dependable partner.\Milady, will you take your lunch soon?\Oh, is it that time already?\Thank you for this meal.\Yes.\I can't help but feel sorry for Yuki-chan and the Hero\for having to set up an outdoor training camp response:	in this kind of heat.
context: Leo-sama looks happy, too, now that she has a dependable partner.\Milady, will you take your lunch soon?\Oh, is it that time already?\Thank you for this meal.\Yes.\I can't help but feel sorry for Yuki-chan and the Hero\for having to set up an outdoor training camp\in this kind of heat. response:	Children love to play out in nature.
context: Milady, will you take your lunch soon?\Oh, is it that time already?\Thank you for this meal.\Yes.\I can't help but feel sorry for Yuki-chan and the Hero\for having to set up an outdoor training camp\in this kind of heat.\Children love to play out in nature. response:	That's true.
context: Oh, is it that time already?\Thank you for this meal.\Yes.\I can't help but feel sorry for Yuki-chan and the Hero\for having to set up an outdoor training camp\in this kind of heat.\Children love to play out in nature.\That's true. response:	Dear me!
context: Thank you for this meal.\Yes.\I can't help but feel sorry for Yuki-chan and the Hero\for having to set up an outdoor training camp\in this kind of heat.\Children love to play out in nature.\That's true.\Dear me! response:	What is this ringing I keep hearing?
context: Yes.\I can't help but feel sorry for Yuki-chan and the Hero\for having to set up an outdoor training camp\in this kind of heat.\Children love to play out in nature.\That's true.\Dear me!\What is this ringing I keep hearing? response:	That was a present from the Hero.
context: I can't help but feel sorry for Yuki-chan and the Hero\for having to set up an outdoor training camp\in this kind of heat.\Children love to play out in nature.\That's true.\Dear me!\What is this ringing I keep hearing?\That was a present from the Hero. response:	In their home world, such a thing is called a wind chime.
context: for having to set up an outdoor training camp\in this kind of heat.\Children love to play out in nature.\That's true.\Dear me!\What is this ringing I keep hearing?\That was a present from the Hero.\In their home world, such a thing is called a wind chime. response:	Time's up.
context: in this kind of heat.\Children love to play out in nature.\That's true.\Dear me!\What is this ringing I keep hearing?\That was a present from the Hero.\In their home world, such a thing is called a wind chime.\Time's up. response:	Too bad.
context: Children love to play out in nature.\That's true.\Dear me!\What is this ringing I keep hearing?\That was a present from the Hero.\In their home world, such a thing is called a wind chime.\Time's up.\Too bad. response:	I guess it's a draw.
context: That's true.\Dear me!\What is this ringing I keep hearing?\That was a present from the Hero.\In their home world, such a thing is called a wind chime.\Time's up.\Too bad.\I guess it's a draw. response:	Wow, you're really good, Yuki.
context: Dear me!\What is this ringing I keep hearing?\That was a present from the Hero.\In their home world, such a thing is called a wind chime.\Time's up.\Too bad.\I guess it's a draw.\Wow, you're really good, Yuki. response:	I couldn't get a single attack in.
context: What is this ringing I keep hearing?\That was a present from the Hero.\In their home world, such a thing is called a wind chime.\Time's up.\Too bad.\I guess it's a draw.\Wow, you're really good, Yuki.\I couldn't get a single attack in. response:	Actually, you're a lot stronger than you were before.
context: That was a present from the Hero.\In their home world, such a thing is called a wind chime.\Time's up.\Too bad.\I guess it's a draw.\Wow, you're really good, Yuki.\I couldn't get a single attack in.\Actually, you're a lot stronger than you were before. response:	You think those two are still at it?
context: In their home world, such a thing is called a wind chime.\Time's up.\Too bad.\I guess it's a draw.\Wow, you're really good, Yuki.\I couldn't get a single attack in.\Actually, you're a lot stronger than you were before.\You think those two are still at it? response:	Yeah, probably.
context: Time's up.\Too bad.\I guess it's a draw.\Wow, you're really good, Yuki.\I couldn't get a single attack in.\Actually, you're a lot stronger than you were before.\You think those two are still at it?\Yeah, probably. response:	Wow, this is incredible.
context: Too bad.\I guess it's a draw.\Wow, you're really good, Yuki.\I couldn't get a single attack in.\Actually, you're a lot stronger than you were before.\You think those two are still at it?\Yeah, probably.\Wow, this is incredible. response:	Looks like they clashed hard again.
context: I guess it's a draw.\Wow, you're really good, Yuki.\I couldn't get a single attack in.\Actually, you're a lot stronger than you were before.\You think those two are still at it?\Yeah, probably.\Wow, this is incredible.\Looks like they clashed hard again. response:	Eclair... are you losing?
context: Wow, you're really good, Yuki.\I couldn't get a single attack in.\Actually, you're a lot stronger than you were before.\You think those two are still at it?\Yeah, probably.\Wow, this is incredible.\Looks like they clashed hard again.\Eclair... are you losing? response:	No, I'd say I'm ahead.
context: I couldn't get a single attack in.\Actually, you're a lot stronger than you were before.\You think those two are still at it?\Yeah, probably.\Wow, this is incredible.\Looks like they clashed hard again.\Eclair... are you losing?\No, I'd say I'm ahead. response:	I won't stop until I'm ahead.
context: Actually, you're a lot stronger than you were before.\You think those two are still at it?\Yeah, probably.\Wow, this is incredible.\Looks like they clashed hard again.\Eclair... are you losing?\No, I'd say I'm ahead.\I won't stop until I'm ahead. response:	Fine then, we can say I lost.
context: You think those two are still at it?\Yeah, probably.\Wow, this is incredible.\Looks like they clashed hard again.\Eclair... are you losing?\No, I'd say I'm ahead.\I won't stop until I'm ahead.\Fine then, we can say I lost. response:	Let's just end this already!
context: Yeah, probably.\Wow, this is incredible.\Looks like they clashed hard again.\Eclair... are you losing?\No, I'd say I'm ahead.\I won't stop until I'm ahead.\Fine then, we can say I lost.\Let's just end this already! response:	Finally... victory.
context: Wow, this is incredible.\Looks like they clashed hard again.\Eclair... are you losing?\No, I'd say I'm ahead.\I won't stop until I'm ahead.\Fine then, we can say I lost.\Let's just end this already!\Finally... victory. response:	Your dislike for losing and your perseverance are peerless.
context: Looks like they clashed hard again.\Eclair... are you losing?\No, I'd say I'm ahead.\I won't stop until I'm ahead.\Fine then, we can say I lost.\Let's just end this already!\Finally... victory.\Your dislike for losing and your perseverance are peerless. response:	It's the spirit of Galette.
context: Eclair... are you losing?\No, I'd say I'm ahead.\I won't stop until I'm ahead.\Fine then, we can say I lost.\Let's just end this already!\Finally... victory.\Your dislike for losing and your perseverance are peerless.\It's the spirit of Galette. response:	Eclair, are you all right?
context: No, I'd say I'm ahead.\I won't stop until I'm ahead.\Fine then, we can say I lost.\Let's just end this already!\Finally... victory.\Your dislike for losing and your perseverance are peerless.\It's the spirit of Galette.\Eclair, are you all right? response:	This is why I don't like fighting her.
context: I won't stop until I'm ahead.\Fine then, we can say I lost.\Let's just end this already!\Finally... victory.\Your dislike for losing and your perseverance are peerless.\It's the spirit of Galette.\Eclair, are you all right?\This is why I don't like fighting her. response:	Well, it looks like everyone's worked up a fine sweat,
context: Fine then, we can say I lost.\Let's just end this already!\Finally... victory.\Your dislike for losing and your perseverance are peerless.\It's the spirit of Galette.\Eclair, are you all right?\This is why I don't like fighting her.\Well, it looks like everyone's worked up a fine sweat, response:	so let's go change and then move on to the water exercises!
context: Let's just end this already!\Finally... victory.\Your dislike for losing and your perseverance are peerless.\It's the spirit of Galette.\Eclair, are you all right?\This is why I don't like fighting her.\Well, it looks like everyone's worked up a fine sweat,\so let's go change and then move on to the water exercises! response:	Okay!
context: Finally... victory.\Your dislike for losing and your perseverance are peerless.\It's the spirit of Galette.\Eclair, are you all right?\This is why I don't like fighting her.\Well, it looks like everyone's worked up a fine sweat,\so let's go change and then move on to the water exercises!\Okay! response:	First one in!
context: Your dislike for losing and your perseverance are peerless.\It's the spirit of Galette.\Eclair, are you all right?\This is why I don't like fighting her.\Well, it looks like everyone's worked up a fine sweat,\so let's go change and then move on to the water exercises!\Okay!\First one in! response:	That was quick.
context: It's the spirit of Galette.\Eclair, are you all right?\This is why I don't like fighting her.\Well, it looks like everyone's worked up a fine sweat,\so let's go change and then move on to the water exercises!\Okay!\First one in!\That was quick. response:	Guys always change quickly.
context: Eclair, are you all right?\This is why I don't like fighting her.\Well, it looks like everyone's worked up a fine sweat,\so let's go change and then move on to the water exercises!\Okay!\First one in!\That was quick.\Guys always change quickly. response:	Let's change, too.
context: This is why I don't like fighting her.\Well, it looks like everyone's worked up a fine sweat,\so let's go change and then move on to the water exercises!\Okay!\First one in!\That was quick.\Guys always change quickly.\Let's change, too. response:	Playing in the river, playing in the river...
context: Well, it looks like everyone's worked up a fine sweat,\so let's go change and then move on to the water exercises!\Okay!\First one in!\That was quick.\Guys always change quickly.\Let's change, too.\Playing in the river, playing in the river... response:	It's supposed to be training.
context: so let's go change and then move on to the water exercises!\Okay!\First one in!\That was quick.\Guys always change quickly.\Let's change, too.\Playing in the river, playing in the river...\It's supposed to be training. response:	We'll be practicing swimming and lifeguarding skills.
context: Okay!\First one in!\That was quick.\Guys always change quickly.\Let's change, too.\Playing in the river, playing in the river...\It's supposed to be training.\We'll be practicing swimming and lifeguarding skills. response:	We're all pretty tired from our training before,
context: First one in!\That was quick.\Guys always change quickly.\Let's change, too.\Playing in the river, playing in the river...\It's supposed to be training.\We'll be practicing swimming and lifeguarding skills.\We're all pretty tired from our training before, response:	so we can just enjoy a little rest before we resume.
context: That was quick.\Guys always change quickly.\Let's change, too.\Playing in the river, playing in the river...\It's supposed to be training.\We'll be practicing swimming and lifeguarding skills.\We're all pretty tired from our training before,\so we can just enjoy a little rest before we resume. response:	If you say so, Yuki.
context: Guys always change quickly.\Let's change, too.\Playing in the river, playing in the river...\It's supposed to be training.\We'll be practicing swimming and lifeguarding skills.\We're all pretty tired from our training before,\so we can just enjoy a little rest before we resume.\If you say so, Yuki. response:	Noir, is something wrong?
context: Let's change, too.\Playing in the river, playing in the river...\It's supposed to be training.\We'll be practicing swimming and lifeguarding skills.\We're all pretty tired from our training before,\so we can just enjoy a little rest before we resume.\If you say so, Yuki.\Noir, is something wrong? response:	I won't lose to you.
context: Playing in the river, playing in the river...\It's supposed to be training.\We'll be practicing swimming and lifeguarding skills.\We're all pretty tired from our training before,\so we can just enjoy a little rest before we resume.\If you say so, Yuki.\Noir, is something wrong?\I won't lose to you. response:	One of these days...
context: It's supposed to be training.\We'll be practicing swimming and lifeguarding skills.\We're all pretty tired from our training before,\so we can just enjoy a little rest before we resume.\If you say so, Yuki.\Noir, is something wrong?\I won't lose to you.\One of these days... response:	Stop fooling around and get changed!
context: We'll be practicing swimming and lifeguarding skills.\We're all pretty tired from our training before,\so we can just enjoy a little rest before we resume.\If you say so, Yuki.\Noir, is something wrong?\I won't lose to you.\One of these days...\Stop fooling around and get changed! response:	You either, Eclair!
context: We're all pretty tired from our training before,\so we can just enjoy a little rest before we resume.\If you say so, Yuki.\Noir, is something wrong?\I won't lose to you.\One of these days...\Stop fooling around and get changed!\You either, Eclair! response:	You might be leading now,
context: so we can just enjoy a little rest before we resume.\If you say so, Yuki.\Noir, is something wrong?\I won't lose to you.\One of these days...\Stop fooling around and get changed!\You either, Eclair!\You might be leading now, response:	but don't get too full of yourself!
context: If you say so, Yuki.\Noir, is something wrong?\I won't lose to you.\One of these days...\Stop fooling around and get changed!\You either, Eclair!\You might be leading now,\but don't get too full of yourself! response:	Don't touch them!
context: Noir, is something wrong?\I won't lose to you.\One of these days...\Stop fooling around and get changed!\You either, Eclair!\You might be leading now,\but don't get too full of yourself!\Don't touch them! response:	Don't squeeze them either!
context: I won't lose to you.\One of these days...\Stop fooling around and get changed!\You either, Eclair!\You might be leading now,\but don't get too full of yourself!\Don't touch them!\Don't squeeze them either! response:	You've gotten bigger.
context: One of these days...\Stop fooling around and get changed!\You either, Eclair!\You might be leading now,\but don't get too full of yourself!\Don't touch them!\Don't squeeze them either!\You've gotten bigger. response:	Knock... it... off!
context: Stop fooling around and get changed!\You either, Eclair!\You might be leading now,\but don't get too full of yourself!\Don't touch them!\Don't squeeze them either!\You've gotten bigger.\Knock... it... off! response:	Oh, no!
context: You either, Eclair!\You might be leading now,\but don't get too full of yourself!\Don't touch them!\Don't squeeze them either!\You've gotten bigger.\Knock... it... off!\Oh, no! response:	Noir, are you okay?
context: You might be leading now,\but don't get too full of yourself!\Don't touch them!\Don't squeeze them either!\You've gotten bigger.\Knock... it... off!\Oh, no!\Noir, are you okay? response:	I'm fine. I'm sorry, Sink. Are you hurt?
context: but don't get too full of yourself!\Don't touch them!\Don't squeeze them either!\You've gotten bigger.\Knock... it... off!\Oh, no!\Noir, are you okay?\I'm fine. I'm sorry, Sink. Are you hurt? response:	I'm fine... I'm...
context: Don't touch them!\Don't squeeze them either!\You've gotten bigger.\Knock... it... off!\Oh, no!\Noir, are you okay?\I'm fine. I'm sorry, Sink. Are you hurt?\I'm fine... I'm... response:	Just stay right there, Sink.
context: Don't squeeze them either!\You've gotten bigger.\Knock... it... off!\Oh, no!\Noir, are you okay?\I'm fine. I'm sorry, Sink. Are you hurt?\I'm fine... I'm...\Just stay right there, Sink. response:	I'm going to get my bathing suit on.
context: You've gotten bigger.\Knock... it... off!\Oh, no!\Noir, are you okay?\I'm fine. I'm sorry, Sink. Are you hurt?\I'm fine... I'm...\Just stay right there, Sink.\I'm going to get my bathing suit on. response:	P-Please do...
context: Knock... it... off!\Oh, no!\Noir, are you okay?\I'm fine. I'm sorry, Sink. Are you hurt?\I'm fine... I'm...\Just stay right there, Sink.\I'm going to get my bathing suit on.\P-Please do... response:	I'll do that!
context: Oh, no!\Noir, are you okay?\I'm fine. I'm sorry, Sink. Are you hurt?\I'm fine... I'm...\Just stay right there, Sink.\I'm going to get my bathing suit on.\P-Please do...\I'll do that! response:	All right, let's try that again.
context: Noir, are you okay?\I'm fine. I'm sorry, Sink. Are you hurt?\I'm fine... I'm...\Just stay right there, Sink.\I'm going to get my bathing suit on.\P-Please do...\I'll do that!\All right, let's try that again. response:	Everybody's ready!
context: I'm fine. I'm sorry, Sink. Are you hurt?\I'm fine... I'm...\Just stay right there, Sink.\I'm going to get my bathing suit on.\P-Please do...\I'll do that!\All right, let's try that again.\Everybody's ready! response:	For the next 15 minutes,
context: I'm fine... I'm...\Just stay right there, Sink.\I'm going to get my bathing suit on.\P-Please do...\I'll do that!\All right, let's try that again.\Everybody's ready!\For the next 15 minutes, response:	you are free to rest and do what you like.
context: Just stay right there, Sink.\I'm going to get my bathing suit on.\P-Please do...\I'll do that!\All right, let's try that again.\Everybody's ready!\For the next 15 minutes,\you are free to rest and do what you like. response:	After that, we'll move on to lifeguard training.
context: I'm going to get my bathing suit on.\P-Please do...\I'll do that!\All right, let's try that again.\Everybody's ready!\For the next 15 minutes,\you are free to rest and do what you like.\After that, we'll move on to lifeguard training. response:	Okay!
context: P-Please do...\I'll do that!\All right, let's try that again.\Everybody's ready!\For the next 15 minutes,\you are free to rest and do what you like.\After that, we'll move on to lifeguard training.\Okay! response:	Sink, I'm sorry about before.
