context: Hey, apparently Koichi's family doesn't know, either. response:	They were talking about possibly calling the police.
context: 1, 4, 0, 0...\Um...\JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 9 Yukako Yamagishi Falls in Love, Part 2\I washed your underwear and your pajama pants for you.\What's wrong?\I won't know if you don't say anything. response:	I-I'm a first-year in high school...
context: Um...\JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 9 Yukako Yamagishi Falls in Love, Part 2\I washed your underwear and your pajama pants for you.\What's wrong?\I won't know if you don't say anything.\I-I'm a first-year in high school... response:	This is just the worst.
context: JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 9 Yukako Yamagishi Falls in Love, Part 2\I washed your underwear and your pajama pants for you.\What's wrong?\I won't know if you don't say anything.\I-I'm a first-year in high school...\This is just the worst. response:	This goes beyond being embarrassed. I feel like an awful human being.
context: Diamond is Unbreakable\Episode 9 Yukako Yamagishi Falls in Love, Part 2\I washed your underwear and your pajama pants for you.\What's wrong?\I won't know if you don't say anything.\I-I'm a first-year in high school...\This is just the worst.\This goes beyond being embarrassed. I feel like an awful human being. response:	Please, stop this already.
context: Episode 9 Yukako Yamagishi Falls in Love, Part 2\I washed your underwear and your pajama pants for you.\What's wrong?\I won't know if you don't say anything.\I-I'm a first-year in high school...\This is just the worst.\This goes beyond being embarrassed. I feel like an awful human being.\Please, stop this already. response:	You hate me now, don't you?
context: I washed your underwear and your pajama pants for you.\What's wrong?\I won't know if you don't say anything.\I-I'm a first-year in high school...\This is just the worst.\This goes beyond being embarrassed. I feel like an awful human being.\Please, stop this already.\You hate me now, don't you? response:	You think I'm pathetic, don't you?
context: What's wrong?\I won't know if you don't say anything.\I-I'm a first-year in high school...\This is just the worst.\This goes beyond being embarrassed. I feel like an awful human being.\Please, stop this already.\You hate me now, don't you?\You think I'm pathetic, don't you? response:	Just let me go home already.
context: I won't know if you don't say anything.\I-I'm a first-year in high school...\This is just the worst.\This goes beyond being embarrassed. I feel like an awful human being.\Please, stop this already.\You hate me now, don't you?\You think I'm pathetic, don't you?\Just let me go home already. response:	What could you possibly like about me, after I peed my pants?
context: I-I'm a first-year in high school...\This is just the worst.\This goes beyond being embarrassed. I feel like an awful human being.\Please, stop this already.\You hate me now, don't you?\You think I'm pathetic, don't you?\Just let me go home already.\What could you possibly like about me, after I peed my pants? response:	Oh, you poor thing, Koichi.
context: This is just the worst.\This goes beyond being embarrassed. I feel like an awful human being.\Please, stop this already.\You hate me now, don't you?\You think I'm pathetic, don't you?\Just let me go home already.\What could you possibly like about me, after I peed my pants?\Oh, you poor thing, Koichi. response:	I must be tormenting your heart.
context: This goes beyond being embarrassed. I feel like an awful human being.\Please, stop this already.\You hate me now, don't you?\You think I'm pathetic, don't you?\Just let me go home already.\What could you possibly like about me, after I peed my pants?\Oh, you poor thing, Koichi.\I must be tormenting your heart. response:	I'm a bad girl.
context: Please, stop this already.\You hate me now, don't you?\You think I'm pathetic, don't you?\Just let me go home already.\What could you possibly like about me, after I peed my pants?\Oh, you poor thing, Koichi.\I must be tormenting your heart.\I'm a bad girl. response:	Nothing I say does any good!
context: You hate me now, don't you?\You think I'm pathetic, don't you?\Just let me go home already.\What could you possibly like about me, after I peed my pants?\Oh, you poor thing, Koichi.\I must be tormenting your heart.\I'm a bad girl.\Nothing I say does any good! response:	I-I can feel tears starting to well up...
context: You think I'm pathetic, don't you?\Just let me go home already.\What could you possibly like about me, after I peed my pants?\Oh, you poor thing, Koichi.\I must be tormenting your heart.\I'm a bad girl.\Nothing I say does any good!\I-I can feel tears starting to well up... response:	First I wet my pants, and now I'm getting wet with tears?
context: Just let me go home already.\What could you possibly like about me, after I peed my pants?\Oh, you poor thing, Koichi.\I must be tormenting your heart.\I'm a bad girl.\Nothing I say does any good!\I-I can feel tears starting to well up...\First I wet my pants, and now I'm getting wet with tears? response:	But Koichi...
context: What could you possibly like about me, after I peed my pants?\Oh, you poor thing, Koichi.\I must be tormenting your heart.\I'm a bad girl.\Nothing I say does any good!\I-I can feel tears starting to well up...\First I wet my pants, and now I'm getting wet with tears?\But Koichi... response:	After saying that you're an awful human being,
context: Oh, you poor thing, Koichi.\I must be tormenting your heart.\I'm a bad girl.\Nothing I say does any good!\I-I can feel tears starting to well up...\First I wet my pants, and now I'm getting wet with tears?\But Koichi...\After saying that you're an awful human being, response:	I can see something shining, something invigorating, deep in your eyes.
context: I must be tormenting your heart.\I'm a bad girl.\Nothing I say does any good!\I-I can feel tears starting to well up...\First I wet my pants, and now I'm getting wet with tears?\But Koichi...\After saying that you're an awful human being,\I can see something shining, something invigorating, deep in your eyes. response:	Like you still have a trump card hidden up your sleeve.
context: I'm a bad girl.\Nothing I say does any good!\I-I can feel tears starting to well up...\First I wet my pants, and now I'm getting wet with tears?\But Koichi...\After saying that you're an awful human being,\I can see something shining, something invigorating, deep in your eyes.\Like you still have a trump card hidden up your sleeve. response:	That's what I like about you.
context: Nothing I say does any good!\I-I can feel tears starting to well up...\First I wet my pants, and now I'm getting wet with tears?\But Koichi...\After saying that you're an awful human being,\I can see something shining, something invigorating, deep in your eyes.\Like you still have a trump card hidden up your sleeve.\That's what I like about you. response:	I would love to see what that is.
context: I-I can feel tears starting to well up...\First I wet my pants, and now I'm getting wet with tears?\But Koichi...\After saying that you're an awful human being,\I can see something shining, something invigorating, deep in your eyes.\Like you still have a trump card hidden up your sleeve.\That's what I like about you.\I would love to see what that is. response:	And if it belongs to someone you love,
context: First I wet my pants, and now I'm getting wet with tears?\But Koichi...\After saying that you're an awful human being,\I can see something shining, something invigorating, deep in your eyes.\Like you still have a trump card hidden up your sleeve.\That's what I like about you.\I would love to see what that is.\And if it belongs to someone you love, response:	there's nothing wrong with even poop or snot, right?
context: But Koichi...\After saying that you're an awful human being,\I can see something shining, something invigorating, deep in your eyes.\Like you still have a trump card hidden up your sleeve.\That's what I like about you.\I would love to see what that is.\And if it belongs to someone you love,\there's nothing wrong with even poop or snot, right? response:	It's strange that you'd even worry.
context: After saying that you're an awful human being,\I can see something shining, something invigorating, deep in your eyes.\Like you still have a trump card hidden up your sleeve.\That's what I like about you.\I would love to see what that is.\And if it belongs to someone you love,\there's nothing wrong with even poop or snot, right?\It's strange that you'd even worry. response:	I felt true bliss while I was washing your pants.
context: I can see something shining, something invigorating, deep in your eyes.\Like you still have a trump card hidden up your sleeve.\That's what I like about you.\I would love to see what that is.\And if it belongs to someone you love,\there's nothing wrong with even poop or snot, right?\It's strange that you'd even worry.\I felt true bliss while I was washing your pants. response:	Look!
context: Like you still have a trump card hidden up your sleeve.\That's what I like about you.\I would love to see what that is.\And if it belongs to someone you love,\there's nothing wrong with even poop or snot, right?\It's strange that you'd even worry.\I felt true bliss while I was washing your pants.\Look! response:	I'm working on a chair that has electricity running through it.
context: That's what I like about you.\I would love to see what that is.\And if it belongs to someone you love,\there's nothing wrong with even poop or snot, right?\It's strange that you'd even worry.\I felt true bliss while I was washing your pants.\Look!\I'm working on a chair that has electricity running through it. response:	I'll make sure it's done by dinner study time.
context: I would love to see what that is.\And if it belongs to someone you love,\there's nothing wrong with even poop or snot, right?\It's strange that you'd even worry.\I felt true bliss while I was washing your pants.\Look!\I'm working on a chair that has electricity running through it.\I'll make sure it's done by dinner study time. response:	I'm thinking about making Italian for dinner.
context: And if it belongs to someone you love,\there's nothing wrong with even poop or snot, right?\It's strange that you'd even worry.\I felt true bliss while I was washing your pants.\Look!\I'm working on a chair that has electricity running through it.\I'll make sure it's done by dinner study time.\I'm thinking about making Italian for dinner. response:	I should go buy some olive oil.
context: there's nothing wrong with even poop or snot, right?\It's strange that you'd even worry.\I felt true bliss while I was washing your pants.\Look!\I'm working on a chair that has electricity running through it.\I'll make sure it's done by dinner study time.\I'm thinking about making Italian for dinner.\I should go buy some olive oil. response:	Look forward to it.
context: It's strange that you'd even worry.\I felt true bliss while I was washing your pants.\Look!\I'm working on a chair that has electricity running through it.\I'll make sure it's done by dinner study time.\I'm thinking about making Italian for dinner.\I should go buy some olive oil.\Look forward to it. response:	H-Help me!
context: I felt true bliss while I was washing your pants.\Look!\I'm working on a chair that has electricity running through it.\I'll make sure it's done by dinner study time.\I'm thinking about making Italian for dinner.\I should go buy some olive oil.\Look forward to it.\H-Help me! response:	She's just getting worse!
context: Look!\I'm working on a chair that has electricity running through it.\I'll make sure it's done by dinner study time.\I'm thinking about making Italian for dinner.\I should go buy some olive oil.\Look forward to it.\H-Help me!\She's just getting worse! response:	I have to hurry and escape,
context: I'm working on a chair that has electricity running through it.\I'll make sure it's done by dinner study time.\I'm thinking about making Italian for dinner.\I should go buy some olive oil.\Look forward to it.\H-Help me!\She's just getting worse!\I have to hurry and escape, response:	o-or she's seriously going to kill me!
context: I'll make sure it's done by dinner study time.\I'm thinking about making Italian for dinner.\I should go buy some olive oil.\Look forward to it.\H-Help me!\She's just getting worse!\I have to hurry and escape,\o-or she's seriously going to kill me! response:	But...
context: I'm thinking about making Italian for dinner.\I should go buy some olive oil.\Look forward to it.\H-Help me!\She's just getting worse!\I have to hurry and escape,\o-or she's seriously going to kill me!\But... response:	How am I going to escape?
context: I should go buy some olive oil.\Look forward to it.\H-Help me!\She's just getting worse!\I have to hurry and escape,\o-or she's seriously going to kill me!\But...\How am I going to escape? response:	Koichi's got Reverb, though.
context: Look forward to it.\H-Help me!\She's just getting worse!\I have to hurry and escape,\o-or she's seriously going to kill me!\But...\How am I going to escape?\Koichi's got Reverb, though. response:	With that thing, he can still call for help even if he's being gagged, right?
context: H-Help me!\She's just getting worse!\I have to hurry and escape,\o-or she's seriously going to kill me!\But...\How am I going to escape?\Koichi's got Reverb, though.\With that thing, he can still call for help even if he's being gagged, right? response:	But Reverb's range is about 50 meters.
context: She's just getting worse!\I have to hurry and escape,\o-or she's seriously going to kill me!\But...\How am I going to escape?\Koichi's got Reverb, though.\With that thing, he can still call for help even if he's being gagged, right?\But Reverb's range is about 50 meters. response:	He might've been taken to a place where no one else lives nearby.
context: I have to hurry and escape,\o-or she's seriously going to kill me!\But...\How am I going to escape?\Koichi's got Reverb, though.\With that thing, he can still call for help even if he's being gagged, right?\But Reverb's range is about 50 meters.\He might've been taken to a place where no one else lives nearby. response:	There are tons of places like that.
context: o-or she's seriously going to kill me!\But...\How am I going to escape?\Koichi's got Reverb, though.\With that thing, he can still call for help even if he's being gagged, right?\But Reverb's range is about 50 meters.\He might've been taken to a place where no one else lives nearby.\There are tons of places like that. response:	Wait!
context: But...\How am I going to escape?\Koichi's got Reverb, though.\With that thing, he can still call for help even if he's being gagged, right?\But Reverb's range is about 50 meters.\He might've been taken to a place where no one else lives nearby.\There are tons of places like that.\Wait! response:	She said she was going to buy some olive oil.
context: How am I going to escape?\Koichi's got Reverb, though.\With that thing, he can still call for help even if he's being gagged, right?\But Reverb's range is about 50 meters.\He might've been taken to a place where no one else lives nearby.\There are tons of places like that.\Wait!\She said she was going to buy some olive oil. response:	But I can't imagine her going out shopping in this situation.
context: Koichi's got Reverb, though.\With that thing, he can still call for help even if he's being gagged, right?\But Reverb's range is about 50 meters.\He might've been taken to a place where no one else lives nearby.\There are tons of places like that.\Wait!\She said she was going to buy some olive oil.\But I can't imagine her going out shopping in this situation. response:	Is she going to order by phone, then?
context: With that thing, he can still call for help even if he's being gagged, right?\But Reverb's range is about 50 meters.\He might've been taken to a place where no one else lives nearby.\There are tons of places like that.\Wait!\She said she was going to buy some olive oil.\But I can't imagine her going out shopping in this situation.\Is she going to order by phone, then? response:	Could it be...
context: But Reverb's range is about 50 meters.\He might've been taken to a place where no one else lives nearby.\There are tons of places like that.\Wait!\She said she was going to buy some olive oil.\But I can't imagine her going out shopping in this situation.\Is she going to order by phone, then?\Could it be... response:	There it is! A pay phone!
context: He might've been taken to a place where no one else lives nearby.\There are tons of places like that.\Wait!\She said she was going to buy some olive oil.\But I can't imagine her going out shopping in this situation.\Is she going to order by phone, then?\Could it be...\There it is! A pay phone! response:	48 meters! Yes!
context: There are tons of places like that.\Wait!\She said she was going to buy some olive oil.\But I can't imagine her going out shopping in this situation.\Is she going to order by phone, then?\Could it be...\There it is! A pay phone!\48 meters! Yes! response:	It's just within my range!
context: Wait!\She said she was going to buy some olive oil.\But I can't imagine her going out shopping in this situation.\Is she going to order by phone, then?\Could it be...\There it is! A pay phone!\48 meters! Yes!\It's just within my range! response:	Reverb is a sound Stand!
context: She said she was going to buy some olive oil.\But I can't imagine her going out shopping in this situation.\Is she going to order by phone, then?\Could it be...\There it is! A pay phone!\48 meters! Yes!\It's just within my range!\Reverb is a sound Stand! response:	Now I can signal Josuke for help.
context: But I can't imagine her going out shopping in this situation.\Is she going to order by phone, then?\Could it be...\There it is! A pay phone!\48 meters! Yes!\It's just within my range!\Reverb is a sound Stand!\Now I can signal Josuke for help. response:	I don't have any 10 yen coins!
context: Is she going to order by phone, then?\Could it be...\There it is! A pay phone!\48 meters! Yes!\It's just within my range!\Reverb is a sound Stand!\Now I can signal Josuke for help.\I don't have any 10 yen coins! response:	I was wearing pajamas when I was brought here.
context: Could it be...\There it is! A pay phone!\48 meters! Yes!\It's just within my range!\Reverb is a sound Stand!\Now I can signal Josuke for help.\I don't have any 10 yen coins!\I was wearing pajamas when I was brought here. response:	Should I dial 110?
context: There it is! A pay phone!\48 meters! Yes!\It's just within my range!\Reverb is a sound Stand!\Now I can signal Josuke for help.\I don't have any 10 yen coins!\I was wearing pajamas when I was brought here.\Should I dial 110? response:	But that woman might actually kill the police.
context: 48 meters! Yes!\It's just within my range!\Reverb is a sound Stand!\Now I can signal Josuke for help.\I don't have any 10 yen coins!\I was wearing pajamas when I was brought here.\Should I dial 110?\But that woman might actually kill the police. response:	I'm just going to have to contact Josuke somehow!
context: It's just within my range!\Reverb is a sound Stand!\Now I can signal Josuke for help.\I don't have any 10 yen coins!\I was wearing pajamas when I was brought here.\Should I dial 110?\But that woman might actually kill the police.\I'm just going to have to contact Josuke somehow! response:	You were wondering if there was a pay phone nearby, weren't you?
context: Reverb is a sound Stand!\Now I can signal Josuke for help.\I don't have any 10 yen coins!\I was wearing pajamas when I was brought here.\Should I dial 110?\But that woman might actually kill the police.\I'm just going to have to contact Josuke somehow!\You were wondering if there was a pay phone nearby, weren't you? response:	Y-Yukako...
context: Now I can signal Josuke for help.\I don't have any 10 yen coins!\I was wearing pajamas when I was brought here.\Should I dial 110?\But that woman might actually kill the police.\I'm just going to have to contact Josuke somehow!\You were wondering if there was a pay phone nearby, weren't you?\Y-Yukako... response:	I know exactly what you're thinking.
context: I don't have any 10 yen coins!\I was wearing pajamas when I was brought here.\Should I dial 110?\But that woman might actually kill the police.\I'm just going to have to contact Josuke somehow!\You were wondering if there was a pay phone nearby, weren't you?\Y-Yukako...\I know exactly what you're thinking. response:	You heard me say that I was going to get some olive oil,
context: I was wearing pajamas when I was brought here.\Should I dial 110?\But that woman might actually kill the police.\I'm just going to have to contact Josuke somehow!\You were wondering if there was a pay phone nearby, weren't you?\Y-Yukako...\I know exactly what you're thinking.\You heard me say that I was going to get some olive oil, response:	so there must be a pay phone nearby.
context: Should I dial 110?\But that woman might actually kill the police.\I'm just going to have to contact Josuke somehow!\You were wondering if there was a pay phone nearby, weren't you?\Y-Yukako...\I know exactly what you're thinking.\You heard me say that I was going to get some olive oil,\so there must be a pay phone nearby. response:	But even if you were to get to it, you don't have any 10 yen coins.
context: But that woman might actually kill the police.\I'm just going to have to contact Josuke somehow!\You were wondering if there was a pay phone nearby, weren't you?\Y-Yukako...\I know exactly what you're thinking.\You heard me say that I was going to get some olive oil,\so there must be a pay phone nearby.\But even if you were to get to it, you don't have any 10 yen coins. response:	That's what you were thinking, right?
context: I'm just going to have to contact Josuke somehow!\You were wondering if there was a pay phone nearby, weren't you?\Y-Yukako...\I know exactly what you're thinking.\You heard me say that I was going to get some olive oil,\so there must be a pay phone nearby.\But even if you were to get to it, you don't have any 10 yen coins.\That's what you were thinking, right? response:	I-Is there a pay phone?
context: You were wondering if there was a pay phone nearby, weren't you?\Y-Yukako...\I know exactly what you're thinking.\You heard me say that I was going to get some olive oil,\so there must be a pay phone nearby.\But even if you were to get to it, you don't have any 10 yen coins.\That's what you were thinking, right?\I-Is there a pay phone? response:	Hmph. Playing dumb, I see.
context: Y-Yukako...\I know exactly what you're thinking.\You heard me say that I was going to get some olive oil,\so there must be a pay phone nearby.\But even if you were to get to it, you don't have any 10 yen coins.\That's what you were thinking, right?\I-Is there a pay phone?\Hmph. Playing dumb, I see. response:	You should abandon the idea of trying to call someone.
context: I know exactly what you're thinking.\You heard me say that I was going to get some olive oil,\so there must be a pay phone nearby.\But even if you were to get to it, you don't have any 10 yen coins.\That's what you were thinking, right?\I-Is there a pay phone?\Hmph. Playing dumb, I see.\You should abandon the idea of trying to call someone. response:	You wont be able to set foot outside of this house.
context: You heard me say that I was going to get some olive oil,\so there must be a pay phone nearby.\But even if you were to get to it, you don't have any 10 yen coins.\That's what you were thinking, right?\I-Is there a pay phone?\Hmph. Playing dumb, I see.\You should abandon the idea of trying to call someone.\You wont be able to set foot outside of this house. response:	Just in case, I'm going to go destroy the 110 button on the phone.
context: so there must be a pay phone nearby.\But even if you were to get to it, you don't have any 10 yen coins.\That's what you were thinking, right?\I-Is there a pay phone?\Hmph. Playing dumb, I see.\You should abandon the idea of trying to call someone.\You wont be able to set foot outside of this house.\Just in case, I'm going to go destroy the 110 button on the phone. response:	Is there anything that you'd like?
context: But even if you were to get to it, you don't have any 10 yen coins.\That's what you were thinking, right?\I-Is there a pay phone?\Hmph. Playing dumb, I see.\You should abandon the idea of trying to call someone.\You wont be able to set foot outside of this house.\Just in case, I'm going to go destroy the 110 button on the phone.\Is there anything that you'd like? response:	N-No, not really...
context: That's what you were thinking, right?\I-Is there a pay phone?\Hmph. Playing dumb, I see.\You should abandon the idea of trying to call someone.\You wont be able to set foot outside of this house.\Just in case, I'm going to go destroy the 110 button on the phone.\Is there anything that you'd like?\N-No, not really... response:	Wh-What is wrong with her?!
context: I-Is there a pay phone?\Hmph. Playing dumb, I see.\You should abandon the idea of trying to call someone.\You wont be able to set foot outside of this house.\Just in case, I'm going to go destroy the 110 button on the phone.\Is there anything that you'd like?\N-No, not really...\Wh-What is wrong with her?! response:	I guess it's no use... I can't contact anyone...
context: Hmph. Playing dumb, I see.\You should abandon the idea of trying to call someone.\You wont be able to set foot outside of this house.\Just in case, I'm going to go destroy the 110 button on the phone.\Is there anything that you'd like?\N-No, not really...\Wh-What is wrong with her?!\I guess it's no use... I can't contact anyone... response:	Beep Boop Beep Boop Beep
context: You should abandon the idea of trying to call someone.\You wont be able to set foot outside of this house.\Just in case, I'm going to go destroy the 110 button on the phone.\Is there anything that you'd like?\N-No, not really...\Wh-What is wrong with her?!\I guess it's no use... I can't contact anyone...\Beep Boop Beep Boop Beep response:	What are these letters?
context: You wont be able to set foot outside of this house.\Just in case, I'm going to go destroy the 110 button on the phone.\Is there anything that you'd like?\N-No, not really...\Wh-What is wrong with her?!\I guess it's no use... I can't contact anyone...\Beep Boop Beep Boop Beep\What are these letters? response:	There's suddenly sound coming from my hand...
context: Just in case, I'm going to go destroy the 110 button on the phone.\Is there anything that you'd like?\N-No, not really...\Wh-What is wrong with her?!\I guess it's no use... I can't contact anyone...\Beep Boop Beep Boop Beep\What are these letters?\There's suddenly sound coming from my hand... response:	It's calling somewhere!
context: Is there anything that you'd like?\N-No, not really...\Wh-What is wrong with her?!\I guess it's no use... I can't contact anyone...\Beep Boop Beep Boop Beep\What are these letters?\There's suddenly sound coming from my hand...\It's calling somewhere! response:	I haven't even dialed the phone number yet.
context: N-No, not really...\Wh-What is wrong with her?!\I guess it's no use... I can't contact anyone...\Beep Boop Beep Boop Beep\What are these letters?\There's suddenly sound coming from my hand...\It's calling somewhere!\I haven't even dialed the phone number yet. response:	Hello? This is Higashikata.
context: Wh-What is wrong with her?!\I guess it's no use... I can't contact anyone...\Beep Boop Beep Boop Beep\What are these letters?\There's suddenly sound coming from my hand...\It's calling somewhere!\I haven't even dialed the phone number yet.\Hello? This is Higashikata. response:	It connected!
context: I guess it's no use... I can't contact anyone...\Beep Boop Beep Boop Beep\What are these letters?\There's suddenly sound coming from my hand...\It's calling somewhere!\I haven't even dialed the phone number yet.\Hello? This is Higashikata.\It connected! response:	As long as the call sounds go through, calls on those phones will be connected.
context: Beep Boop Beep Boop Beep\What are these letters?\There's suddenly sound coming from my hand...\It's calling somewhere!\I haven't even dialed the phone number yet.\Hello? This is Higashikata.\It connected!\As long as the call sounds go through, calls on those phones will be connected. response:	Hello, is this Koichi? Hey! It's me, Josuke!
context: What are these letters?\There's suddenly sound coming from my hand...\It's calling somewhere!\I haven't even dialed the phone number yet.\Hello? This is Higashikata.\It connected!\As long as the call sounds go through, calls on those phones will be connected.\Hello, is this Koichi? Hey! It's me, Josuke! response:	Koichi, where are you?
context: There's suddenly sound coming from my hand...\It's calling somewhere!\I haven't even dialed the phone number yet.\Hello? This is Higashikata.\It connected!\As long as the call sounds go through, calls on those phones will be connected.\Hello, is this Koichi? Hey! It's me, Josuke!\Koichi, where are you? response:	What? I can hear the sound of waves...
context: It's calling somewhere!\I haven't even dialed the phone number yet.\Hello? This is Higashikata.\It connected!\As long as the call sounds go through, calls on those phones will be connected.\Hello, is this Koichi? Hey! It's me, Josuke!\Koichi, where are you?\What? I can hear the sound of waves... response:	Koichi, you...
context: I haven't even dialed the phone number yet.\Hello? This is Higashikata.\It connected!\As long as the call sounds go through, calls on those phones will be connected.\Hello, is this Koichi? Hey! It's me, Josuke!\Koichi, where are you?\What? I can hear the sound of waves...\Koichi, you... response:	You have a power like I do, don't you?
context: Hello? This is Higashikata.\It connected!\As long as the call sounds go through, calls on those phones will be connected.\Hello, is this Koichi? Hey! It's me, Josuke!\Koichi, where are you?\What? I can hear the sound of waves...\Koichi, you...\You have a power like I do, don't you? response:	Yes! Now Josuke will definitely come here!
context: It connected!\As long as the call sounds go through, calls on those phones will be connected.\Hello, is this Koichi? Hey! It's me, Josuke!\Koichi, where are you?\What? I can hear the sound of waves...\Koichi, you...\You have a power like I do, don't you?\Yes! Now Josuke will definitely come here! response:	It'll only take 15 to 20 minutes by car.
context: As long as the call sounds go through, calls on those phones will be connected.\Hello, is this Koichi? Hey! It's me, Josuke!\Koichi, where are you?\What? I can hear the sound of waves...\Koichi, you...\You have a power like I do, don't you?\Yes! Now Josuke will definitely come here!\It'll only take 15 to 20 minutes by car. response:	I just have to survive until then!
context: Hello, is this Koichi? Hey! It's me, Josuke!\Koichi, where are you?\What? I can hear the sound of waves...\Koichi, you...\You have a power like I do, don't you?\Yes! Now Josuke will definitely come here!\It'll only take 15 to 20 minutes by car.\I just have to survive until then! response:	N-No matter what!
