context: Earth... Our blue, shining planet. response:	But Earth was never as peaceful as we thought.
context: Like following in your father's footsteps?\Sir...\Yes?\His father has nothing to do with his future plans.\Sometimes...\I think there's something wrong with me, with the way I am.\But, most likely, I'm only imagining it,\and I'm actually just trying to escape because I don't feel like studying response:	the stuff they assign at school.
context: Sir...\Yes?\His father has nothing to do with his future plans.\Sometimes...\I think there's something wrong with me, with the way I am.\But, most likely, I'm only imagining it,\and I'm actually just trying to escape because I don't feel like studying\the stuff they assign at school. response:	Wow, Daichi...
context: Yes?\His father has nothing to do with his future plans.\Sometimes...\I think there's something wrong with me, with the way I am.\But, most likely, I'm only imagining it,\and I'm actually just trying to escape because I don't feel like studying\the stuff they assign at school.\Wow, Daichi... response:	Kagawa!
context: His father has nothing to do with his future plans.\Sometimes...\I think there's something wrong with me, with the way I am.\But, most likely, I'm only imagining it,\and I'm actually just trying to escape because I don't feel like studying\the stuff they assign at school.\Wow, Daichi...\Kagawa! response:	You're working?
context: Sometimes...\I think there's something wrong with me, with the way I am.\But, most likely, I'm only imagining it,\and I'm actually just trying to escape because I don't feel like studying\the stuff they assign at school.\Wow, Daichi...\Kagawa!\You're working? response:	My family owns this place.
context: I think there's something wrong with me, with the way I am.\But, most likely, I'm only imagining it,\and I'm actually just trying to escape because I don't feel like studying\the stuff they assign at school.\Wow, Daichi...\Kagawa!\You're working?\My family owns this place. response:	Is it okay for me to come unannounced?
context: But, most likely, I'm only imagining it,\and I'm actually just trying to escape because I don't feel like studying\the stuff they assign at school.\Wow, Daichi...\Kagawa!\You're working?\My family owns this place.\Is it okay for me to come unannounced? response:	Don't worry. My parents aren't home.
context: and I'm actually just trying to escape because I don't feel like studying\the stuff they assign at school.\Wow, Daichi...\Kagawa!\You're working?\My family owns this place.\Is it okay for me to come unannounced?\Don't worry. My parents aren't home. response:	Come in.
context: the stuff they assign at school.\Wow, Daichi...\Kagawa!\You're working?\My family owns this place.\Is it okay for me to come unannounced?\Don't worry. My parents aren't home.\Come in. response:	Oh, it's Daichi-kun.
context: Wow, Daichi...\Kagawa!\You're working?\My family owns this place.\Is it okay for me to come unannounced?\Don't worry. My parents aren't home.\Come in.\Oh, it's Daichi-kun. response:	I found him at the arcade.
context: Kagawa!\You're working?\My family owns this place.\Is it okay for me to come unannounced?\Don't worry. My parents aren't home.\Come in.\Oh, it's Daichi-kun.\I found him at the arcade. response:	Oh? Sasaki and Aizawa?
context: You're working?\My family owns this place.\Is it okay for me to come unannounced?\Don't worry. My parents aren't home.\Come in.\Oh, it's Daichi-kun.\I found him at the arcade.\Oh? Sasaki and Aizawa? response:	You're amazing, Daichi-kun!
context: My family owns this place.\Is it okay for me to come unannounced?\Don't worry. My parents aren't home.\Come in.\Oh, it's Daichi-kun.\I found him at the arcade.\Oh? Sasaki and Aizawa?\You're amazing, Daichi-kun! response:	R-Really?
context: Is it okay for me to come unannounced?\Don't worry. My parents aren't home.\Come in.\Oh, it's Daichi-kun.\I found him at the arcade.\Oh? Sasaki and Aizawa?\You're amazing, Daichi-kun!\R-Really? response:	Hey, let's invite Daichi-kun, too.
context: Don't worry. My parents aren't home.\Come in.\Oh, it's Daichi-kun.\I found him at the arcade.\Oh? Sasaki and Aizawa?\You're amazing, Daichi-kun!\R-Really?\Hey, let's invite Daichi-kun, too. response:	If we do, I'm sure Ayano will come.
context: Come in.\Oh, it's Daichi-kun.\I found him at the arcade.\Oh? Sasaki and Aizawa?\You're amazing, Daichi-kun!\R-Really?\Hey, let's invite Daichi-kun, too.\If we do, I'm sure Ayano will come. response:	Having lots of people will be more fun!
context: Oh, it's Daichi-kun.\I found him at the arcade.\Oh? Sasaki and Aizawa?\You're amazing, Daichi-kun!\R-Really?\Hey, let's invite Daichi-kun, too.\If we do, I'm sure Ayano will come.\Having lots of people will be more fun! response:	You're right.
context: I found him at the arcade.\Oh? Sasaki and Aizawa?\You're amazing, Daichi-kun!\R-Really?\Hey, let's invite Daichi-kun, too.\If we do, I'm sure Ayano will come.\Having lots of people will be more fun!\You're right. response:	Hey, we're going to a villa in Izu.
context: Oh? Sasaki and Aizawa?\You're amazing, Daichi-kun!\R-Really?\Hey, let's invite Daichi-kun, too.\If we do, I'm sure Ayano will come.\Having lots of people will be more fun!\You're right.\Hey, we're going to a villa in Izu. response:	You guys want to come with us?
context: You're amazing, Daichi-kun!\R-Really?\Hey, let's invite Daichi-kun, too.\If we do, I'm sure Ayano will come.\Having lots of people will be more fun!\You're right.\Hey, we're going to a villa in Izu.\You guys want to come with us? response:	A villa?
context: R-Really?\Hey, let's invite Daichi-kun, too.\If we do, I'm sure Ayano will come.\Having lots of people will be more fun!\You're right.\Hey, we're going to a villa in Izu.\You guys want to come with us?\A villa? response:	Will the old guy with the glasses complain?
context: Hey, let's invite Daichi-kun, too.\If we do, I'm sure Ayano will come.\Having lots of people will be more fun!\You're right.\Hey, we're going to a villa in Izu.\You guys want to come with us?\A villa?\Will the old guy with the glasses complain? response:	He isn't really your father, right?
context: If we do, I'm sure Ayano will come.\Having lots of people will be more fun!\You're right.\Hey, we're going to a villa in Izu.\You guys want to come with us?\A villa?\Will the old guy with the glasses complain?\He isn't really your father, right? response:	How did you know?
context: Having lots of people will be more fun!\You're right.\Hey, we're going to a villa in Izu.\You guys want to come with us?\A villa?\Will the old guy with the glasses complain?\He isn't really your father, right?\How did you know? response:	Daichi's father was an astronaut.
context: You're right.\Hey, we're going to a villa in Izu.\You guys want to come with us?\A villa?\Will the old guy with the glasses complain?\He isn't really your father, right?\How did you know?\Daichi's father was an astronaut. response:	I'm amazed you know that.
context: Hey, we're going to a villa in Izu.\You guys want to come with us?\A villa?\Will the old guy with the glasses complain?\He isn't really your father, right?\How did you know?\Daichi's father was an astronaut.\I'm amazed you know that. response:	Was?
context: You guys want to come with us?\A villa?\Will the old guy with the glasses complain?\He isn't really your father, right?\How did you know?\Daichi's father was an astronaut.\I'm amazed you know that.\Was? response:	He died.
context: A villa?\Will the old guy with the glasses complain?\He isn't really your father, right?\How did you know?\Daichi's father was an astronaut.\I'm amazed you know that.\Was?\He died. response:	This footage was taken by a local resident.
context: Will the old guy with the glasses complain?\He isn't really your father, right?\How did you know?\Daichi's father was an astronaut.\I'm amazed you know that.\Was?\He died.\This footage was taken by a local resident. response:	Strange Rainbow Seen Over Minamitane
context: He isn't really your father, right?\How did you know?\Daichi's father was an astronaut.\I'm amazed you know that.\Was?\He died.\This footage was taken by a local resident.\Strange Rainbow Seen Over Minamitane response:	This strange rainbow circle appeared in the sky over the town
context: How did you know?\Daichi's father was an astronaut.\I'm amazed you know that.\Was?\He died.\This footage was taken by a local resident.\Strange Rainbow Seen Over Minamitane\This strange rainbow circle appeared in the sky over the town response:	of Minamitane in Tanegashima for about five minutes, before disappearing.
context: Daichi's father was an astronaut.\I'm amazed you know that.\Was?\He died.\This footage was taken by a local resident.\Strange Rainbow Seen Over Minamitane\This strange rainbow circle appeared in the sky over the town\of Minamitane in Tanegashima for about five minutes, before disappearing. response:	Is it you?
context: I'm amazed you know that.\Was?\He died.\This footage was taken by a local resident.\Strange Rainbow Seen Over Minamitane\This strange rainbow circle appeared in the sky over the town\of Minamitane in Tanegashima for about five minutes, before disappearing.\Is it you? response:	And now, the national weather forecast for tomorrow...
context: Was?\He died.\This footage was taken by a local resident.\Strange Rainbow Seen Over Minamitane\This strange rainbow circle appeared in the sky over the town\of Minamitane in Tanegashima for about five minutes, before disappearing.\Is it you?\And now, the national weather forecast for tomorrow... response:	Daichi-kun?
context: He died.\This footage was taken by a local resident.\Strange Rainbow Seen Over Minamitane\This strange rainbow circle appeared in the sky over the town\of Minamitane in Tanegashima for about five minutes, before disappearing.\Is it you?\And now, the national weather forecast for tomorrow...\Daichi-kun? response:	What's up?
context: This footage was taken by a local resident.\Strange Rainbow Seen Over Minamitane\This strange rainbow circle appeared in the sky over the town\of Minamitane in Tanegashima for about five minutes, before disappearing.\Is it you?\And now, the national weather forecast for tomorrow...\Daichi-kun?\What's up? response:	Sorry... I won't be going to the villa.
context: Strange Rainbow Seen Over Minamitane\This strange rainbow circle appeared in the sky over the town\of Minamitane in Tanegashima for about five minutes, before disappearing.\Is it you?\And now, the national weather forecast for tomorrow...\Daichi-kun?\What's up?\Sorry... I won't be going to the villa. response:	But...
context: This strange rainbow circle appeared in the sky over the town\of Minamitane in Tanegashima for about five minutes, before disappearing.\Is it you?\And now, the national weather forecast for tomorrow...\Daichi-kun?\What's up?\Sorry... I won't be going to the villa.\But... response:	Thanks for inviting me.
context: of Minamitane in Tanegashima for about five minutes, before disappearing.\Is it you?\And now, the national weather forecast for tomorrow...\Daichi-kun?\What's up?\Sorry... I won't be going to the villa.\But...\Thanks for inviting me. response:	No Entry
context: Is it you?\And now, the national weather forecast for tomorrow...\Daichi-kun?\What's up?\Sorry... I won't be going to the villa.\But...\Thanks for inviting me.\No Entry response:	It's huge!
context: And now, the national weather forecast for tomorrow...\Daichi-kun?\What's up?\Sorry... I won't be going to the villa.\But...\Thanks for inviting me.\No Entry\It's huge! response:	Hey...
context: Daichi-kun?\What's up?\Sorry... I won't be going to the villa.\But...\Thanks for inviting me.\No Entry\It's huge!\Hey... response:	What is that blue thing on your chest?
context: What's up?\Sorry... I won't be going to the villa.\But...\Thanks for inviting me.\No Entry\It's huge!\Hey...\What is that blue thing on your chest? response:	This?
context: Sorry... I won't be going to the villa.\But...\Thanks for inviting me.\No Entry\It's huge!\Hey...\What is that blue thing on your chest?\This? response:	It's called the Blue Star.
context: But...\Thanks for inviting me.\No Entry\It's huge!\Hey...\What is that blue thing on your chest?\This?\It's called the Blue Star. response:	My dad gave it to me.
context: Thanks for inviting me.\No Entry\It's huge!\Hey...\What is that blue thing on your chest?\This?\It's called the Blue Star.\My dad gave it to me. response:	It's very pretty.
context: No Entry\It's huge!\Hey...\What is that blue thing on your chest?\This?\It's called the Blue Star.\My dad gave it to me.\It's very pretty. response:	By the way...
context: It's huge!\Hey...\What is that blue thing on your chest?\This?\It's called the Blue Star.\My dad gave it to me.\It's very pretty.\By the way... response:	What is a dad?
context: Hey...\What is that blue thing on your chest?\This?\It's called the Blue Star.\My dad gave it to me.\It's very pretty.\By the way...\What is a dad? response:	When was it
context: What is that blue thing on your chest?\This?\It's called the Blue Star.\My dad gave it to me.\It's very pretty.\By the way...\What is a dad?\When was it response:	that I began to hate the wind that blows in this town?
context: This?\It's called the Blue Star.\My dad gave it to me.\It's very pretty.\By the way...\What is a dad?\When was it\that I began to hate the wind that blows in this town? response:	Is this the Albion Rainbow?
context: It's called the Blue Star.\My dad gave it to me.\It's very pretty.\By the way...\What is a dad?\When was it\that I began to hate the wind that blows in this town?\Is this the Albion Rainbow? response:	Yeah, definitely.
context: My dad gave it to me.\It's very pretty.\By the way...\What is a dad?\When was it\that I began to hate the wind that blows in this town?\Is this the Albion Rainbow?\Yeah, definitely. response:	Moco-chan!
context: It's very pretty.\By the way...\What is a dad?\When was it\that I began to hate the wind that blows in this town?\Is this the Albion Rainbow?\Yeah, definitely.\Moco-chan! response:	Tomorrow, you'll finally be able to pilot that Machine Goodfellow!
context: By the way...\What is a dad?\When was it\that I began to hate the wind that blows in this town?\Is this the Albion Rainbow?\Yeah, definitely.\Moco-chan!\Tomorrow, you'll finally be able to pilot that Machine Goodfellow! response:	Yup, so I heard...
context: What is a dad?\When was it\that I began to hate the wind that blows in this town?\Is this the Albion Rainbow?\Yeah, definitely.\Moco-chan!\Tomorrow, you'll finally be able to pilot that Machine Goodfellow!\Yup, so I heard... response:	Finally, I'll be able to be useful.
context: When was it\that I began to hate the wind that blows in this town?\Is this the Albion Rainbow?\Yeah, definitely.\Moco-chan!\Tomorrow, you'll finally be able to pilot that Machine Goodfellow!\Yup, so I heard...\Finally, I'll be able to be useful. response:	You two are always together. What, are you an item?
context: that I began to hate the wind that blows in this town?\Is this the Albion Rainbow?\Yeah, definitely.\Moco-chan!\Tomorrow, you'll finally be able to pilot that Machine Goodfellow!\Yup, so I heard...\Finally, I'll be able to be useful.\You two are always together. What, are you an item? response:	We are not!
context: Is this the Albion Rainbow?\Yeah, definitely.\Moco-chan!\Tomorrow, you'll finally be able to pilot that Machine Goodfellow!\Yup, so I heard...\Finally, I'll be able to be useful.\You two are always together. What, are you an item?\We are not! response:	We aren't like that at all.
context: Yeah, definitely.\Moco-chan!\Tomorrow, you'll finally be able to pilot that Machine Goodfellow!\Yup, so I heard...\Finally, I'll be able to be useful.\You two are always together. What, are you an item?\We are not!\We aren't like that at all. response:	Really?
context: Moco-chan!\Tomorrow, you'll finally be able to pilot that Machine Goodfellow!\Yup, so I heard...\Finally, I'll be able to be useful.\You two are always together. What, are you an item?\We are not!\We aren't like that at all.\Really? response:	Then on our next day off, let's go on a date.
context: Tomorrow, you'll finally be able to pilot that Machine Goodfellow!\Yup, so I heard...\Finally, I'll be able to be useful.\You two are always together. What, are you an item?\We are not!\We aren't like that at all.\Really?\Then on our next day off, let's go on a date. response:	Aw, I might take you seriously.
context: Yup, so I heard...\Finally, I'll be able to be useful.\You two are always together. What, are you an item?\We are not!\We aren't like that at all.\Really?\Then on our next day off, let's go on a date.\Aw, I might take you seriously. response:	You'd better!
context: Finally, I'll be able to be useful.\You two are always together. What, are you an item?\We are not!\We aren't like that at all.\Really?\Then on our next day off, let's go on a date.\Aw, I might take you seriously.\You'd better! response:	It's harvest season.
context: You two are always together. What, are you an item?\We are not!\We aren't like that at all.\Really?\Then on our next day off, let's go on a date.\Aw, I might take you seriously.\You'd better!\It's harvest season. response:	We finally found the last person,
context: We are not!\We aren't like that at all.\Really?\Then on our next day off, let's go on a date.\Aw, I might take you seriously.\You'd better!\It's harvest season.\We finally found the last person, response:	and the Machine Goodfellow will activate.
context: We aren't like that at all.\Really?\Then on our next day off, let's go on a date.\Aw, I might take you seriously.\You'd better!\It's harvest season.\We finally found the last person,\and the Machine Goodfellow will activate. response:	We are the planetary gears!
context: Really?\Then on our next day off, let's go on a date.\Aw, I might take you seriously.\You'd better!\It's harvest season.\We finally found the last person,\and the Machine Goodfellow will activate.\We are the planetary gears! response:	We reveal the dream of the world.
context: Then on our next day off, let's go on a date.\Aw, I might take you seriously.\You'd better!\It's harvest season.\We finally found the last person,\and the Machine Goodfellow will activate.\We are the planetary gears!\We reveal the dream of the world. response:	This is getting interesting...
context: Aw, I might take you seriously.\You'd better!\It's harvest season.\We finally found the last person,\and the Machine Goodfellow will activate.\We are the planetary gears!\We reveal the dream of the world.\This is getting interesting... response:	His temperature is down to thirty-eight degrees Celsius.
context: You'd better!\It's harvest season.\We finally found the last person,\and the Machine Goodfellow will activate.\We are the planetary gears!\We reveal the dream of the world.\This is getting interesting...\His temperature is down to thirty-eight degrees Celsius. response:	Glad to hear it.
context: It's harvest season.\We finally found the last person,\and the Machine Goodfellow will activate.\We are the planetary gears!\We reveal the dream of the world.\This is getting interesting...\His temperature is down to thirty-eight degrees Celsius.\Glad to hear it. response:	But his singularity is causing this phenomenon, isn't it?
context: We finally found the last person,\and the Machine Goodfellow will activate.\We are the planetary gears!\We reveal the dream of the world.\This is getting interesting...\His temperature is down to thirty-eight degrees Celsius.\Glad to hear it.\But his singularity is causing this phenomenon, isn't it? response:	Then he was an avatar, after all.
context: and the Machine Goodfellow will activate.\We are the planetary gears!\We reveal the dream of the world.\This is getting interesting...\His temperature is down to thirty-eight degrees Celsius.\Glad to hear it.\But his singularity is causing this phenomenon, isn't it?\Then he was an avatar, after all. response:	Hey, did you see the news yesterday?
context: We are the planetary gears!\We reveal the dream of the world.\This is getting interesting...\His temperature is down to thirty-eight degrees Celsius.\Glad to hear it.\But his singularity is causing this phenomenon, isn't it?\Then he was an avatar, after all.\Hey, did you see the news yesterday? response:	That rainbow circle, right?
context: We reveal the dream of the world.\This is getting interesting...\His temperature is down to thirty-eight degrees Celsius.\Glad to hear it.\But his singularity is causing this phenomenon, isn't it?\Then he was an avatar, after all.\Hey, did you see the news yesterday?\That rainbow circle, right? response:	I wonder what it was...
context: This is getting interesting...\His temperature is down to thirty-eight degrees Celsius.\Glad to hear it.\But his singularity is causing this phenomenon, isn't it?\Then he was an avatar, after all.\Hey, did you see the news yesterday?\That rainbow circle, right?\I wonder what it was... response:	Weird weather?
context: His temperature is down to thirty-eight degrees Celsius.\Glad to hear it.\But his singularity is causing this phenomenon, isn't it?\Then he was an avatar, after all.\Hey, did you see the news yesterday?\That rainbow circle, right?\I wonder what it was...\Weird weather? response:	Seriously?
context: Glad to hear it.\But his singularity is causing this phenomenon, isn't it?\Then he was an avatar, after all.\Hey, did you see the news yesterday?\That rainbow circle, right?\I wonder what it was...\Weird weather?\Seriously? response:	Strange Rainbow Seen Over Minamitane
context: But his singularity is causing this phenomenon, isn't it?\Then he was an avatar, after all.\Hey, did you see the news yesterday?\That rainbow circle, right?\I wonder what it was...\Weird weather?\Seriously?\Strange Rainbow Seen Over Minamitane response:	I've seen that rainbow before.
context: Then he was an avatar, after all.\Hey, did you see the news yesterday?\That rainbow circle, right?\I wonder what it was...\Weird weather?\Seriously?\Strange Rainbow Seen Over Minamitane\I've seen that rainbow before. response:	Does it hurt?
context: Hey, did you see the news yesterday?\That rainbow circle, right?\I wonder what it was...\Weird weather?\Seriously?\Strange Rainbow Seen Over Minamitane\I've seen that rainbow before.\Does it hurt? response:	Not at all!
context: That rainbow circle, right?\I wonder what it was...\Weird weather?\Seriously?\Strange Rainbow Seen Over Minamitane\I've seen that rainbow before.\Does it hurt?\Not at all! response:	Anyway,
context: I wonder what it was...\Weird weather?\Seriously?\Strange Rainbow Seen Over Minamitane\I've seen that rainbow before.\Does it hurt?\Not at all!\Anyway, response:	if you can do something that surprises me...
context: Weird weather?\Seriously?\Strange Rainbow Seen Over Minamitane\I've seen that rainbow before.\Does it hurt?\Not at all!\Anyway,\if you can do something that surprises me... response:	I'll give you this!
context: Seriously?\Strange Rainbow Seen Over Minamitane\I've seen that rainbow before.\Does it hurt?\Not at all!\Anyway,\if you can do something that surprises me...\I'll give you this! response:	Would you be surprised
context: Strange Rainbow Seen Over Minamitane\I've seen that rainbow before.\Does it hurt?\Not at all!\Anyway,\if you can do something that surprises me...\I'll give you this!\Would you be surprised response:	if I jumped from a spot higher than that fence?
context: I've seen that rainbow before.\Does it hurt?\Not at all!\Anyway,\if you can do something that surprises me...\I'll give you this!\Would you be surprised\if I jumped from a spot higher than that fence? response:	No way... You can't jump from that!
context: Does it hurt?\Not at all!\Anyway,\if you can do something that surprises me...\I'll give you this!\Would you be surprised\if I jumped from a spot higher than that fence?\No way... You can't jump from that! response:	W-W-Wait!
context: Not at all!\Anyway,\if you can do something that surprises me...\I'll give you this!\Would you be surprised\if I jumped from a spot higher than that fence?\No way... You can't jump from that!\W-W-Wait! response:	It doesn't hurt at all.
context: Anyway,\if you can do something that surprises me...\I'll give you this!\Would you be surprised\if I jumped from a spot higher than that fence?\No way... You can't jump from that!\W-W-Wait!\It doesn't hurt at all. response:	Are you sure?
context: if you can do something that surprises me...\I'll give you this!\Would you be surprised\if I jumped from a spot higher than that fence?\No way... You can't jump from that!\W-W-Wait!\It doesn't hurt at all.\Are you sure? response:	I promised, right?
context: I'll give you this!\Would you be surprised\if I jumped from a spot higher than that fence?\No way... You can't jump from that!\W-W-Wait!\It doesn't hurt at all.\Are you sure?\I promised, right? response:	Then, if you can surprise me, I'll return it.
context: Would you be surprised\if I jumped from a spot higher than that fence?\No way... You can't jump from that!\W-W-Wait!\It doesn't hurt at all.\Are you sure?\I promised, right?\Then, if you can surprise me, I'll return it. response:	Well?
context: if I jumped from a spot higher than that fence?\No way... You can't jump from that!\W-W-Wait!\It doesn't hurt at all.\Are you sure?\I promised, right?\Then, if you can surprise me, I'll return it.\Well? response:	The wind on this island feels good, doesn't it?
context: No way... You can't jump from that!\W-W-Wait!\It doesn't hurt at all.\Are you sure?\I promised, right?\Then, if you can surprise me, I'll return it.\Well?\The wind on this island feels good, doesn't it? response:	My name is Daichi Manatsu.
context: W-W-Wait!\It doesn't hurt at all.\Are you sure?\I promised, right?\Then, if you can surprise me, I'll return it.\Well?\The wind on this island feels good, doesn't it?\My name is Daichi Manatsu. response:	I am Teppei Arashi.
context: It doesn't hurt at all.\Are you sure?\I promised, right?\Then, if you can surprise me, I'll return it.\Well?\The wind on this island feels good, doesn't it?\My name is Daichi Manatsu.\I am Teppei Arashi. response:	Hey, Daichi... Want me to show you one last amazing thing?
context: Are you sure?\I promised, right?\Then, if you can surprise me, I'll return it.\Well?\The wind on this island feels good, doesn't it?\My name is Daichi Manatsu.\I am Teppei Arashi.\Hey, Daichi... Want me to show you one last amazing thing? response:	Amazing?
context: I promised, right?\Then, if you can surprise me, I'll return it.\Well?\The wind on this island feels good, doesn't it?\My name is Daichi Manatsu.\I am Teppei Arashi.\Hey, Daichi... Want me to show you one last amazing thing?\Amazing? response:	That really is amazing, Teppei!
context: Then, if you can surprise me, I'll return it.\Well?\The wind on this island feels good, doesn't it?\My name is Daichi Manatsu.\I am Teppei Arashi.\Hey, Daichi... Want me to show you one last amazing thing?\Amazing?\That really is amazing, Teppei! response:	You're strange, Daichi.
context: Well?\The wind on this island feels good, doesn't it?\My name is Daichi Manatsu.\I am Teppei Arashi.\Hey, Daichi... Want me to show you one last amazing thing?\Amazing?\That really is amazing, Teppei!\You're strange, Daichi. response:	How?
context: The wind on this island feels good, doesn't it?\My name is Daichi Manatsu.\I am Teppei Arashi.\Hey, Daichi... Want me to show you one last amazing thing?\Amazing?\That really is amazing, Teppei!\You're strange, Daichi.\How? response:	I'm back.
context: My name is Daichi Manatsu.\I am Teppei Arashi.\Hey, Daichi... Want me to show you one last amazing thing?\Amazing?\That really is amazing, Teppei!\You're strange, Daichi.\How?\I'm back. response:	I got a call from Toshiaki-san...
context: I am Teppei Arashi.\Hey, Daichi... Want me to show you one last amazing thing?\Amazing?\That really is amazing, Teppei!\You're strange, Daichi.\How?\I'm back.\I got a call from Toshiaki-san... response:	He said your letter didn't say where you'd gone,
