context: -meepmeep- response:	TS-Note: Bet from where Ririko's Border Color comes from. (b-)b
context: Don't go making such trivial comments.\What incredible pheromones!\I want her to teach me too!\Oh no!\Pie R Squared!\Okay!\Everyone, let's use the surface area of the circle to calculate the volume of this cone!\Yes! response:	This is weird... I don't understand any of this all of a sudden!
context: What incredible pheromones!\I want her to teach me too!\Oh no!\Pie R Squared!\Okay!\Everyone, let's use the surface area of the circle to calculate the volume of this cone!\Yes!\This is weird... I don't understand any of this all of a sudden! response:	Well then, for this question...
context: I want her to teach me too!\Oh no!\Pie R Squared!\Okay!\Everyone, let's use the surface area of the circle to calculate the volume of this cone!\Yes!\This is weird... I don't understand any of this all of a sudden!\Well then, for this question... response:	Aono-kun?
context: Oh no!\Pie R Squared!\Okay!\Everyone, let's use the surface area of the circle to calculate the volume of this cone!\Yes!\This is weird... I don't understand any of this all of a sudden!\Well then, for this question...\Aono-kun? response:	Y-Yes!
context: Pie R Squared!\Okay!\Everyone, let's use the surface area of the circle to calculate the volume of this cone!\Yes!\This is weird... I don't understand any of this all of a sudden!\Well then, for this question...\Aono-kun?\Y-Yes! response:	Aono Tsukune-kun, please try to solve this.
context: Okay!\Everyone, let's use the surface area of the circle to calculate the volume of this cone!\Yes!\This is weird... I don't understand any of this all of a sudden!\Well then, for this question...\Aono-kun?\Y-Yes!\Aono Tsukune-kun, please try to solve this. response:	I-I don't know how.
context: Everyone, let's use the surface area of the circle to calculate the volume of this cone!\Yes!\This is weird... I don't understand any of this all of a sudden!\Well then, for this question...\Aono-kun?\Y-Yes!\Aono Tsukune-kun, please try to solve this.\I-I don't know how. response:	How useless!
context: Yes!\This is weird... I don't understand any of this all of a sudden!\Well then, for this question...\Aono-kun?\Y-Yes!\Aono Tsukune-kun, please try to solve this.\I-I don't know how.\How useless! response:	You don't even know how to do such an easy question!
context: This is weird... I don't understand any of this all of a sudden!\Well then, for this question...\Aono-kun?\Y-Yes!\Aono Tsukune-kun, please try to solve this.\I-I don't know how.\How useless!\You don't even know how to do such an easy question! response:	Tsukune...
context: Well then, for this question...\Aono-kun?\Y-Yes!\Aono Tsukune-kun, please try to solve this.\I-I don't know how.\How useless!\You don't even know how to do such an easy question!\Tsukune... response:	Did you listen to my lesson?
context: Aono-kun?\Y-Yes!\Aono Tsukune-kun, please try to solve this.\I-I don't know how.\How useless!\You don't even know how to do such an easy question!\Tsukune...\Did you listen to my lesson? response:	You can't space out you know.
context: Y-Yes!\Aono Tsukune-kun, please try to solve this.\I-I don't know how.\How useless!\You don't even know how to do such an easy question!\Tsukune...\Did you listen to my lesson?\You can't space out you know. response:	Final exams are coming soon.
context: Aono Tsukune-kun, please try to solve this.\I-I don't know how.\How useless!\You don't even know how to do such an easy question!\Tsukune...\Did you listen to my lesson?\You can't space out you know.\Final exams are coming soon. response:	Please do your best.
context: I-I don't know how.\How useless!\You don't even know how to do such an easy question!\Tsukune...\Did you listen to my lesson?\You can't space out you know.\Final exams are coming soon.\Please do your best. response:	Y-Yes.
context: How useless!\You don't even know how to do such an easy question!\Tsukune...\Did you listen to my lesson?\You can't space out you know.\Final exams are coming soon.\Please do your best.\Y-Yes. response:	I forgot all about it! If this continues, I won't be able to advance to second year!
context: You don't even know how to do such an easy question!\Tsukune...\Did you listen to my lesson?\You can't space out you know.\Final exams are coming soon.\Please do your best.\Y-Yes.\I forgot all about it! If this continues, I won't be able to advance to second year! response:	Tsukune...
context: Tsukune...\Did you listen to my lesson?\You can't space out you know.\Final exams are coming soon.\Please do your best.\Y-Yes.\I forgot all about it! If this continues, I won't be able to advance to second year!\Tsukune... response:	Eh? You want me to teach you math?
context: Did you listen to my lesson?\You can't space out you know.\Final exams are coming soon.\Please do your best.\Y-Yes.\I forgot all about it! If this continues, I won't be able to advance to second year!\Tsukune...\Eh? You want me to teach you math? response:	Y-Yes...
context: You can't space out you know.\Final exams are coming soon.\Please do your best.\Y-Yes.\I forgot all about it! If this continues, I won't be able to advance to second year!\Tsukune...\Eh? You want me to teach you math?\Y-Yes... response:	Just by getting used to this school is already tiring me out.
context: Final exams are coming soon.\Please do your best.\Y-Yes.\I forgot all about it! If this continues, I won't be able to advance to second year!\Tsukune...\Eh? You want me to teach you math?\Y-Yes...\Just by getting used to this school is already tiring me out. response:	And I always get dragged into lots of situations, so I couldn't concenrate well on studies...
context: Please do your best.\Y-Yes.\I forgot all about it! If this continues, I won't be able to advance to second year!\Tsukune...\Eh? You want me to teach you math?\Y-Yes...\Just by getting used to this school is already tiring me out.\And I always get dragged into lots of situations, so I couldn't concenrate well on studies... response:	Please save me, Moka-san!
context: Y-Yes.\I forgot all about it! If this continues, I won't be able to advance to second year!\Tsukune...\Eh? You want me to teach you math?\Y-Yes...\Just by getting used to this school is already tiring me out.\And I always get dragged into lots of situations, so I couldn't concenrate well on studies...\Please save me, Moka-san! response:	I beg you!
context: I forgot all about it! If this continues, I won't be able to advance to second year!\Tsukune...\Eh? You want me to teach you math?\Y-Yes...\Just by getting used to this school is already tiring me out.\And I always get dragged into lots of situations, so I couldn't concenrate well on studies...\Please save me, Moka-san!\I beg you! response:	Okay, if it's within my power.
context: Tsukune...\Eh? You want me to teach you math?\Y-Yes...\Just by getting used to this school is already tiring me out.\And I always get dragged into lots of situations, so I couldn't concenrate well on studies...\Please save me, Moka-san!\I beg you!\Okay, if it's within my power. response:	Really?!
context: Eh? You want me to teach you math?\Y-Yes...\Just by getting used to this school is already tiring me out.\And I always get dragged into lots of situations, so I couldn't concenrate well on studies...\Please save me, Moka-san!\I beg you!\Okay, if it's within my power.\Really?! response:	If that's the case, could you come to my room tonight?
context: Y-Yes...\Just by getting used to this school is already tiring me out.\And I always get dragged into lots of situations, so I couldn't concenrate well on studies...\Please save me, Moka-san!\I beg you!\Okay, if it's within my power.\Really?!\If that's the case, could you come to my room tonight? response:	Let's study together.
context: Just by getting used to this school is already tiring me out.\And I always get dragged into lots of situations, so I couldn't concenrate well on studies...\Please save me, Moka-san!\I beg you!\Okay, if it's within my power.\Really?!\If that's the case, could you come to my room tonight?\Let's study together. response:	I'm sure I can help you in many ways that way.
context: And I always get dragged into lots of situations, so I couldn't concenrate well on studies...\Please save me, Moka-san!\I beg you!\Okay, if it's within my power.\Really?!\If that's the case, could you come to my room tonight?\Let's study together.\I'm sure I can help you in many ways that way. response:	In many ways?!
context: Please save me, Moka-san!\I beg you!\Okay, if it's within my power.\Really?!\If that's the case, could you come to my room tonight?\Let's study together.\I'm sure I can help you in many ways that way.\In many ways?! response:	This is bad, if I go to Moka-san's room,
context: I beg you!\Okay, if it's within my power.\Really?!\If that's the case, could you come to my room tonight?\Let's study together.\I'm sure I can help you in many ways that way.\In many ways?!\This is bad, if I go to Moka-san's room, response:	I-I-I t-totally won't be able to study at all!
context: Okay, if it's within my power.\Really?!\If that's the case, could you come to my room tonight?\Let's study together.\I'm sure I can help you in many ways that way.\In many ways?!\This is bad, if I go to Moka-san's room,\I-I-I t-totally won't be able to study at all! response:	I'll also do my best for Tsukune.
context: Really?!\If that's the case, could you come to my room tonight?\Let's study together.\I'm sure I can help you in many ways that way.\In many ways?!\This is bad, if I go to Moka-san's room,\I-I-I t-totally won't be able to study at all!\I'll also do my best for Tsukune. response:	Moka-san...
context: If that's the case, could you come to my room tonight?\Let's study together.\I'm sure I can help you in many ways that way.\In many ways?!\This is bad, if I go to Moka-san's room,\I-I-I t-totally won't be able to study at all!\I'll also do my best for Tsukune.\Moka-san... response:	I'll do my best to help you, because...
context: Let's study together.\I'm sure I can help you in many ways that way.\In many ways?!\This is bad, if I go to Moka-san's room,\I-I-I t-totally won't be able to study at all!\I'll also do my best for Tsukune.\Moka-san...\I'll do my best to help you, because... response:	Moka-san...
context: I'm sure I can help you in many ways that way.\In many ways?!\This is bad, if I go to Moka-san's room,\I-I-I t-totally won't be able to study at all!\I'll also do my best for Tsukune.\Moka-san...\I'll do my best to help you, because...\Moka-san... response:	You always let me suck your blood!
context: In many ways?!\This is bad, if I go to Moka-san's room,\I-I-I t-totally won't be able to study at all!\I'll also do my best for Tsukune.\Moka-san...\I'll do my best to help you, because...\Moka-san...\You always let me suck your blood! response:	Kappuchu!
context: This is bad, if I go to Moka-san's room,\I-I-I t-totally won't be able to study at all!\I'll also do my best for Tsukune.\Moka-san...\I'll do my best to help you, because...\Moka-san...\You always let me suck your blood!\Kappuchu! response:	So it was because of that!
context: I-I-I t-totally won't be able to study at all!\I'll also do my best for Tsukune.\Moka-san...\I'll do my best to help you, because...\Moka-san...\You always let me suck your blood!\Kappuchu!\So it was because of that! response:	Hold it right there!
context: I'll also do my best for Tsukune.\Moka-san...\I'll do my best to help you, because...\Moka-san...\You always let me suck your blood!\Kappuchu!\So it was because of that!\Hold it right there! response:	I heard everything.
context: Moka-san...\I'll do my best to help you, because...\Moka-san...\You always let me suck your blood!\Kappuchu!\So it was because of that!\Hold it right there!\I heard everything. response:	Sine, Cosine, Tangent. In 794, Heiankyou was made the capital of Japan.
context: I'll do my best to help you, because...\Moka-san...\You always let me suck your blood!\Kappuchu!\So it was because of that!\Hold it right there!\I heard everything.\Sine, Cosine, Tangent. In 794, Heiankyou was made the capital of Japan. response:	If it's studying, then you should just do it with me.
context: Moka-san...\You always let me suck your blood!\Kappuchu!\So it was because of that!\Hold it right there!\I heard everything.\Sine, Cosine, Tangent. In 794, Heiankyou was made the capital of Japan.\If it's studying, then you should just do it with me. response:	No!
context: You always let me suck your blood!\Kappuchu!\So it was because of that!\Hold it right there!\I heard everything.\Sine, Cosine, Tangent. In 794, Heiankyou was made the capital of Japan.\If it's studying, then you should just do it with me.\No! response:	Speaking of studying, that's my specialty!
context: Kappuchu!\So it was because of that!\Hold it right there!\I heard everything.\Sine, Cosine, Tangent. In 794, Heiankyou was made the capital of Japan.\If it's studying, then you should just do it with me.\No!\Speaking of studying, that's my specialty! response:	Now now, Tsukune-san, let's study together!
context: So it was because of that!\Hold it right there!\I heard everything.\Sine, Cosine, Tangent. In 794, Heiankyou was made the capital of Japan.\If it's studying, then you should just do it with me.\No!\Speaking of studying, that's my specialty!\Now now, Tsukune-san, let's study together! response:	Hey,
context: Hold it right there!\I heard everything.\Sine, Cosine, Tangent. In 794, Heiankyou was made the capital of Japan.\If it's studying, then you should just do it with me.\No!\Speaking of studying, that's my specialty!\Now now, Tsukune-san, let's study together!\Hey, response:	I haven't come to school in a while, so can I study with you guys?
context: I heard everything.\Sine, Cosine, Tangent. In 794, Heiankyou was made the capital of Japan.\If it's studying, then you should just do it with me.\No!\Speaking of studying, that's my specialty!\Now now, Tsukune-san, let's study together!\Hey,\I haven't come to school in a while, so can I study with you guys? response:	I'm really happy about everyone's feelings,
context: Sine, Cosine, Tangent. In 794, Heiankyou was made the capital of Japan.\If it's studying, then you should just do it with me.\No!\Speaking of studying, that's my specialty!\Now now, Tsukune-san, let's study together!\Hey,\I haven't come to school in a while, so can I study with you guys?\I'm really happy about everyone's feelings, response:	But it's still Moka-san that I want to...
context: If it's studying, then you should just do it with me.\No!\Speaking of studying, that's my specialty!\Now now, Tsukune-san, let's study together!\Hey,\I haven't come to school in a while, so can I study with you guys?\I'm really happy about everyone's feelings,\But it's still Moka-san that I want to... response:	Yes, that's right, it's better if all us study together!
context: No!\Speaking of studying, that's my specialty!\Now now, Tsukune-san, let's study together!\Hey,\I haven't come to school in a while, so can I study with you guys?\I'm really happy about everyone's feelings,\But it's still Moka-san that I want to...\Yes, that's right, it's better if all us study together! response:	Shall we go to the clubroom and study now?
context: Speaking of studying, that's my specialty!\Now now, Tsukune-san, let's study together!\Hey,\I haven't come to school in a while, so can I study with you guys?\I'm really happy about everyone's feelings,\But it's still Moka-san that I want to...\Yes, that's right, it's better if all us study together!\Shall we go to the clubroom and study now? response:	To find the tangent line, in other words,
context: Now now, Tsukune-san, let's study together!\Hey,\I haven't come to school in a while, so can I study with you guys?\I'm really happy about everyone's feelings,\But it's still Moka-san that I want to...\Yes, that's right, it's better if all us study together!\Shall we go to the clubroom and study now?\To find the tangent line, in other words, response:	To find the slope at a certain point on a function f(x), you need to use differential calculus.
context: Hey,\I haven't come to school in a while, so can I study with you guys?\I'm really happy about everyone's feelings,\But it's still Moka-san that I want to...\Yes, that's right, it's better if all us study together!\Shall we go to the clubroom and study now?\To find the tangent line, in other words,\To find the slope at a certain point on a function f(x), you need to use differential calculus. response:	To find the area under a function g(x), on the other hand, you might divide the area into rectangles of area g(x)dx.
context: I haven't come to school in a while, so can I study with you guys?\I'm really happy about everyone's feelings,\But it's still Moka-san that I want to...\Yes, that's right, it's better if all us study together!\Shall we go to the clubroom and study now?\To find the tangent line, in other words,\To find the slope at a certain point on a function f(x), you need to use differential calculus.\To find the area under a function g(x), on the other hand, you might divide the area into rectangles of area g(x)dx. response:	And that is the principle behing integral calculus.
context: I'm really happy about everyone's feelings,\But it's still Moka-san that I want to...\Yes, that's right, it's better if all us study together!\Shall we go to the clubroom and study now?\To find the tangent line, in other words,\To find the slope at a certain point on a function f(x), you need to use differential calculus.\To find the area under a function g(x), on the other hand, you might divide the area into rectangles of area g(x)dx.\And that is the principle behing integral calculus. response:	How was it, did you understand it?
context: But it's still Moka-san that I want to...\Yes, that's right, it's better if all us study together!\Shall we go to the clubroom and study now?\To find the tangent line, in other words,\To find the slope at a certain point on a function f(x), you need to use differential calculus.\To find the area under a function g(x), on the other hand, you might divide the area into rectangles of area g(x)dx.\And that is the principle behing integral calculus.\How was it, did you understand it? response:	Yeah, as expected from Moka-san, your teaching is great!
context: Yes, that's right, it's better if all us study together!\Shall we go to the clubroom and study now?\To find the tangent line, in other words,\To find the slope at a certain point on a function f(x), you need to use differential calculus.\To find the area under a function g(x), on the other hand, you might divide the area into rectangles of area g(x)dx.\And that is the principle behing integral calculus.\How was it, did you understand it?\Yeah, as expected from Moka-san, your teaching is great! response:	Don't say that.
context: Shall we go to the clubroom and study now?\To find the tangent line, in other words,\To find the slope at a certain point on a function f(x), you need to use differential calculus.\To find the area under a function g(x), on the other hand, you might divide the area into rectangles of area g(x)dx.\And that is the principle behing integral calculus.\How was it, did you understand it?\Yeah, as expected from Moka-san, your teaching is great!\Don't say that. response:	Geez, you two are staring at each other again!
context: To find the tangent line, in other words,\To find the slope at a certain point on a function f(x), you need to use differential calculus.\To find the area under a function g(x), on the other hand, you might divide the area into rectangles of area g(x)dx.\And that is the principle behing integral calculus.\How was it, did you understand it?\Yeah, as expected from Moka-san, your teaching is great!\Don't say that.\Geez, you two are staring at each other again! response:	I really don't understand it, woof woof!
context: To find the slope at a certain point on a function f(x), you need to use differential calculus.\To find the area under a function g(x), on the other hand, you might divide the area into rectangles of area g(x)dx.\And that is the principle behing integral calculus.\How was it, did you understand it?\Yeah, as expected from Moka-san, your teaching is great!\Don't say that.\Geez, you two are staring at each other again!\I really don't understand it, woof woof! response:	Then,
context: To find the area under a function g(x), on the other hand, you might divide the area into rectangles of area g(x)dx.\And that is the principle behing integral calculus.\How was it, did you understand it?\Yeah, as expected from Moka-san, your teaching is great!\Don't say that.\Geez, you two are staring at each other again!\I really don't understand it, woof woof!\Then, response:	What's the difference between differentiation and integration and addition and subraction?
context: And that is the principle behing integral calculus.\How was it, did you understand it?\Yeah, as expected from Moka-san, your teaching is great!\Don't say that.\Geez, you two are staring at each other again!\I really don't understand it, woof woof!\Then,\What's the difference between differentiation and integration and addition and subraction? response:	But seriously, Moka-san's notebook is really easy to understand.
context: How was it, did you understand it?\Yeah, as expected from Moka-san, your teaching is great!\Don't say that.\Geez, you two are staring at each other again!\I really don't understand it, woof woof!\Then,\What's the difference between differentiation and integration and addition and subraction?\But seriously, Moka-san's notebook is really easy to understand. response:	Your writing is beautiful and your points are arranged neatly and makes it really easy to understand!
context: Yeah, as expected from Moka-san, your teaching is great!\Don't say that.\Geez, you two are staring at each other again!\I really don't understand it, woof woof!\Then,\What's the difference between differentiation and integration and addition and subraction?\But seriously, Moka-san's notebook is really easy to understand.\Your writing is beautiful and your points are arranged neatly and makes it really easy to understand! response:	I'm embarrassed.
context: Don't say that.\Geez, you two are staring at each other again!\I really don't understand it, woof woof!\Then,\What's the difference between differentiation and integration and addition and subraction?\But seriously, Moka-san's notebook is really easy to understand.\Your writing is beautiful and your points are arranged neatly and makes it really easy to understand!\I'm embarrassed. response:	Ah, then let me write a copy for you!
context: Geez, you two are staring at each other again!\I really don't understand it, woof woof!\Then,\What's the difference between differentiation and integration and addition and subraction?\But seriously, Moka-san's notebook is really easy to understand.\Your writing is beautiful and your points are arranged neatly and makes it really easy to understand!\I'm embarrassed.\Ah, then let me write a copy for you! response:	I'd feel bad though, Moka-san.
context: I really don't understand it, woof woof!\Then,\What's the difference between differentiation and integration and addition and subraction?\But seriously, Moka-san's notebook is really easy to understand.\Your writing is beautiful and your points are arranged neatly and makes it really easy to understand!\I'm embarrassed.\Ah, then let me write a copy for you!\I'd feel bad though, Moka-san. response:	How about I photocopy...
context: Then,\What's the difference between differentiation and integration and addition and subraction?\But seriously, Moka-san's notebook is really easy to understand.\Your writing is beautiful and your points are arranged neatly and makes it really easy to understand!\I'm embarrassed.\Ah, then let me write a copy for you!\I'd feel bad though, Moka-san.\How about I photocopy... response:	It's for your sake after all. I'll work hard!
context: What's the difference between differentiation and integration and addition and subraction?\But seriously, Moka-san's notebook is really easy to understand.\Your writing is beautiful and your points are arranged neatly and makes it really easy to understand!\I'm embarrassed.\Ah, then let me write a copy for you!\I'd feel bad though, Moka-san.\How about I photocopy...\It's for your sake after all. I'll work hard! response:	Moka-san.
context: But seriously, Moka-san's notebook is really easy to understand.\Your writing is beautiful and your points are arranged neatly and makes it really easy to understand!\I'm embarrassed.\Ah, then let me write a copy for you!\I'd feel bad though, Moka-san.\How about I photocopy...\It's for your sake after all. I'll work hard!\Moka-san. response:	Tsukune.
context: Your writing is beautiful and your points are arranged neatly and makes it really easy to understand!\I'm embarrassed.\Ah, then let me write a copy for you!\I'd feel bad though, Moka-san.\How about I photocopy...\It's for your sake after all. I'll work hard!\Moka-san.\Tsukune. response:	Moka-san.
context: I'm embarrassed.\Ah, then let me write a copy for you!\I'd feel bad though, Moka-san.\How about I photocopy...\It's for your sake after all. I'll work hard!\Moka-san.\Tsukune.\Moka-san. response:	Tsukune.
context: Ah, then let me write a copy for you!\I'd feel bad though, Moka-san.\How about I photocopy...\It's for your sake after all. I'll work hard!\Moka-san.\Tsukune.\Moka-san.\Tsukune. response:	Moka-san.
context: I'd feel bad though, Moka-san.\How about I photocopy...\It's for your sake after all. I'll work hard!\Moka-san.\Tsukune.\Moka-san.\Tsukune.\Moka-san. response:	Tsukune.
context: How about I photocopy...\It's for your sake after all. I'll work hard!\Moka-san.\Tsukune.\Moka-san.\Tsukune.\Moka-san.\Tsukune. response:	You guys are staring at each other too long.
context: It's for your sake after all. I'll work hard!\Moka-san.\Tsukune.\Moka-san.\Tsukune.\Moka-san.\Tsukune.\You guys are staring at each other too long. response:	Today, I studied so hard that I'm exhausted!
context: Moka-san.\Tsukune.\Moka-san.\Tsukune.\Moka-san.\Tsukune.\You guys are staring at each other too long.\Today, I studied so hard that I'm exhausted! response:	Yeah, you did, Tsukune!
context: Tsukune.\Moka-san.\Tsukune.\Moka-san.\Tsukune.\You guys are staring at each other too long.\Today, I studied so hard that I'm exhausted!\Yeah, you did, Tsukune! response:	My, Aono-kun.
context: Moka-san.\Tsukune.\Moka-san.\Tsukune.\You guys are staring at each other too long.\Today, I studied so hard that I'm exhausted!\Yeah, you did, Tsukune!\My, Aono-kun. response:	Ririko-sensei.
context: Tsukune.\Moka-san.\Tsukune.\You guys are staring at each other too long.\Today, I studied so hard that I'm exhausted!\Yeah, you did, Tsukune!\My, Aono-kun.\Ririko-sensei. response:	Club activities till this late?
context: Moka-san.\Tsukune.\You guys are staring at each other too long.\Today, I studied so hard that I'm exhausted!\Yeah, you did, Tsukune!\My, Aono-kun.\Ririko-sensei.\Club activities till this late? response:	Ah... we were just having a study group...
context: Tsukune.\You guys are staring at each other too long.\Today, I studied so hard that I'm exhausted!\Yeah, you did, Tsukune!\My, Aono-kun.\Ririko-sensei.\Club activities till this late?\Ah... we were just having a study group... response:	Study group?
context: You guys are staring at each other too long.\Today, I studied so hard that I'm exhausted!\Yeah, you did, Tsukune!\My, Aono-kun.\Ririko-sensei.\Club activities till this late?\Ah... we were just having a study group...\Study group? response:	That's not good at all.
context: Today, I studied so hard that I'm exhausted!\Yeah, you did, Tsukune!\My, Aono-kun.\Ririko-sensei.\Club activities till this late?\Ah... we were just having a study group...\Study group?\That's not good at all. response:	I acknowledge your passion for it,
context: Yeah, you did, Tsukune!\My, Aono-kun.\Ririko-sensei.\Club activities till this late?\Ah... we were just having a study group...\Study group?\That's not good at all.\I acknowledge your passion for it, response:	But if lots of students gather together to study,
context: My, Aono-kun.\Ririko-sensei.\Club activities till this late?\Ah... we were just having a study group...\Study group?\That's not good at all.\I acknowledge your passion for it,\But if lots of students gather together to study, response:	In the end everyone will just fool around and not learn anything at all.
context: Ririko-sensei.\Club activities till this late?\Ah... we were just having a study group...\Study group?\That's not good at all.\I acknowledge your passion for it,\But if lots of students gather together to study,\In the end everyone will just fool around and not learn anything at all. response:	That's not true...
context: Club activities till this late?\Ah... we were just having a study group...\Study group?\That's not good at all.\I acknowledge your passion for it,\But if lots of students gather together to study,\In the end everyone will just fool around and not learn anything at all.\That's not true... response:	Y-Yeah! Tsukune was working hard-
context: Ah... we were just having a study group...\Study group?\That's not good at all.\I acknowledge your passion for it,\But if lots of students gather together to study,\In the end everyone will just fool around and not learn anything at all.\That's not true...\Y-Yeah! Tsukune was working hard- response:	Akashiya-san, you can't help Aono-kun at all.
context: Study group?\That's not good at all.\I acknowledge your passion for it,\But if lots of students gather together to study,\In the end everyone will just fool around and not learn anything at all.\That's not true...\Y-Yeah! Tsukune was working hard-\Akashiya-san, you can't help Aono-kun at all. response:	Eh?
context: That's not good at all.\I acknowledge your passion for it,\But if lots of students gather together to study,\In the end everyone will just fool around and not learn anything at all.\That's not true...\Y-Yeah! Tsukune was working hard-\Akashiya-san, you can't help Aono-kun at all.\Eh? response:	No matter how good your grades are,
context: I acknowledge your passion for it,\But if lots of students gather together to study,\In the end everyone will just fool around and not learn anything at all.\That's not true...\Y-Yeah! Tsukune was working hard-\Akashiya-san, you can't help Aono-kun at all.\Eh?\No matter how good your grades are, response:	You need a professional educator to teach someone else.
context: But if lots of students gather together to study,\In the end everyone will just fool around and not learn anything at all.\That's not true...\Y-Yeah! Tsukune was working hard-\Akashiya-san, you can't help Aono-kun at all.\Eh?\No matter how good your grades are,\You need a professional educator to teach someone else. response:	Eh?
context: In the end everyone will just fool around and not learn anything at all.\That's not true...\Y-Yeah! Tsukune was working hard-\Akashiya-san, you can't help Aono-kun at all.\Eh?\No matter how good your grades are,\You need a professional educator to teach someone else.\Eh? response:	Tsukune!
context: That's not true...\Y-Yeah! Tsukune was working hard-\Akashiya-san, you can't help Aono-kun at all.\Eh?\No matter how good your grades are,\You need a professional educator to teach someone else.\Eh?\Tsukune! response:	Aono-kun, please come to the remedial room tomorrow after school.
context: Y-Yeah! Tsukune was working hard-\Akashiya-san, you can't help Aono-kun at all.\Eh?\No matter how good your grades are,\You need a professional educator to teach someone else.\Eh?\Tsukune!\Aono-kun, please come to the remedial room tomorrow after school. response:	Studying is a wonderful thing.
context: Akashiya-san, you can't help Aono-kun at all.\Eh?\No matter how good your grades are,\You need a professional educator to teach someone else.\Eh?\Tsukune!\Aono-kun, please come to the remedial room tomorrow after school.\Studying is a wonderful thing. response:	I will show-it-to-you.
context: Eh?\No matter how good your grades are,\You need a professional educator to teach someone else.\Eh?\Tsukune!\Aono-kun, please come to the remedial room tomorrow after school.\Studying is a wonderful thing.\I will show-it-to-you. response:	Yes...
context: No matter how good your grades are,\You need a professional educator to teach someone else.\Eh?\Tsukune!\Aono-kun, please come to the remedial room tomorrow after school.\Studying is a wonderful thing.\I will show-it-to-you.\Yes... response:	So, then, let's just skip to after school the next day.
context: You need a professional educator to teach someone else.\Eh?\Tsukune!\Aono-kun, please come to the remedial room tomorrow after school.\Studying is a wonderful thing.\I will show-it-to-you.\Yes...\So, then, let's just skip to after school the next day. response:	It's the end of the day already...
context: Eh?\Tsukune!\Aono-kun, please come to the remedial room tomorrow after school.\Studying is a wonderful thing.\I will show-it-to-you.\Yes...\So, then, let's just skip to after school the next day.\It's the end of the day already... response:	I heard this from my 4th period class.
context: Tsukune!\Aono-kun, please come to the remedial room tomorrow after school.\Studying is a wonderful thing.\I will show-it-to-you.\Yes...\So, then, let's just skip to after school the next day.\It's the end of the day already...\I heard this from my 4th period class. response:	She may be very into education but,
context: Aono-kun, please come to the remedial room tomorrow after school.\Studying is a wonderful thing.\I will show-it-to-you.\Yes...\So, then, let's just skip to after school the next day.\It's the end of the day already...\I heard this from my 4th period class.\She may be very into education but, response:	She always gets too obsessed and goes overboard.
context: Studying is a wonderful thing.\I will show-it-to-you.\Yes...\So, then, let's just skip to after school the next day.\It's the end of the day already...\I heard this from my 4th period class.\She may be very into education but,\She always gets too obsessed and goes overboard. response:	I-I see...
context: I will show-it-to-you.\Yes...\So, then, let's just skip to after school the next day.\It's the end of the day already...\I heard this from my 4th period class.\She may be very into education but,\She always gets too obsessed and goes overboard.\I-I see... response:	And she goes boing boing,
context: Yes...\So, then, let's just skip to after school the next day.\It's the end of the day already...\I heard this from my 4th period class.\She may be very into education but,\She always gets too obsessed and goes overboard.\I-I see...\And she goes boing boing, response:	gets worshipped by the boys,
