context: You've got some nerve, calling for our help. response:	Thanks to you, Ange escaped, and we lost the Villkiss.
context: Besides, it's no use helping her.\She won't take my orders anymore.\Take us to Arzenal.\I'll inform you of our plans after we resupply.\That's all.\Yes, ma'am.\I'm sorry.\I'm sorry, response:	Embryo-sama.
context: She won't take my orders anymore.\Take us to Arzenal.\I'll inform you of our plans after we resupply.\That's all.\Yes, ma'am.\I'm sorry.\I'm sorry,\Embryo-sama. response:	Soul of God
context: Take us to Arzenal.\I'll inform you of our plans after we resupply.\That's all.\Yes, ma'am.\I'm sorry.\I'm sorry,\Embryo-sama.\Soul of God response:	Let Ange into the Diamond Rose Knighthood?
context: I'll inform you of our plans after we resupply.\That's all.\Yes, ma'am.\I'm sorry.\I'm sorry,\Embryo-sama.\Soul of God\Let Ange into the Diamond Rose Knighthood? response:	She can pilot the Ragna-mail.
context: That's all.\Yes, ma'am.\I'm sorry.\I'm sorry,\Embryo-sama.\Soul of God\Let Ange into the Diamond Rose Knighthood?\She can pilot the Ragna-mail. response:	She's needed in order to change the world.
context: Yes, ma'am.\I'm sorry.\I'm sorry,\Embryo-sama.\Soul of God\Let Ange into the Diamond Rose Knighthood?\She can pilot the Ragna-mail.\She's needed in order to change the world. response:	You can't!
context: I'm sorry.\I'm sorry,\Embryo-sama.\Soul of God\Let Ange into the Diamond Rose Knighthood?\She can pilot the Ragna-mail.\She's needed in order to change the world.\You can't! response:	Ange won't listen to you, Embryo-sama.
context: I'm sorry,\Embryo-sama.\Soul of God\Let Ange into the Diamond Rose Knighthood?\She can pilot the Ragna-mail.\She's needed in order to change the world.\You can't!\Ange won't listen to you, Embryo-sama. response:	Worse, she'll...
context: Embryo-sama.\Soul of God\Let Ange into the Diamond Rose Knighthood?\She can pilot the Ragna-mail.\She's needed in order to change the world.\You can't!\Ange won't listen to you, Embryo-sama.\Worse, she'll... response:	Are you jealous?
context: Soul of God\Let Ange into the Diamond Rose Knighthood?\She can pilot the Ragna-mail.\She's needed in order to change the world.\You can't!\Ange won't listen to you, Embryo-sama.\Worse, she'll...\Are you jealous? response:	I just need her to use, like a tool.
context: Let Ange into the Diamond Rose Knighthood?\She can pilot the Ragna-mail.\She's needed in order to change the world.\You can't!\Ange won't listen to you, Embryo-sama.\Worse, she'll...\Are you jealous?\I just need her to use, like a tool. response:	You're the one that's most important to me.
context: She can pilot the Ragna-mail.\She's needed in order to change the world.\You can't!\Ange won't listen to you, Embryo-sama.\Worse, she'll...\Are you jealous?\I just need her to use, like a tool.\You're the one that's most important to me. response:	Embryo-sama.
context: She's needed in order to change the world.\You can't!\Ange won't listen to you, Embryo-sama.\Worse, she'll...\Are you jealous?\I just need her to use, like a tool.\You're the one that's most important to me.\Embryo-sama. response:	Would you let me through?
context: You can't!\Ange won't listen to you, Embryo-sama.\Worse, she'll...\Are you jealous?\I just need her to use, like a tool.\You're the one that's most important to me.\Embryo-sama.\Would you let me through? response:	Leave.
context: Ange won't listen to you, Embryo-sama.\Worse, she'll...\Are you jealous?\I just need her to use, like a tool.\You're the one that's most important to me.\Embryo-sama.\Would you let me through?\Leave. response:	Now.
context: Worse, she'll...\Are you jealous?\I just need her to use, like a tool.\You're the one that's most important to me.\Embryo-sama.\Would you let me through?\Leave.\Now. response:	You'll get in trouble if you don't obey your master.
context: Are you jealous?\I just need her to use, like a tool.\You're the one that's most important to me.\Embryo-sama.\Would you let me through?\Leave.\Now.\You'll get in trouble if you don't obey your master. response:	Then refuse, no matter what he says.
context: I just need her to use, like a tool.\You're the one that's most important to me.\Embryo-sama.\Would you let me through?\Leave.\Now.\You'll get in trouble if you don't obey your master.\Then refuse, no matter what he says. response:	Not to worry.
context: You're the one that's most important to me.\Embryo-sama.\Would you let me through?\Leave.\Now.\You'll get in trouble if you don't obey your master.\Then refuse, no matter what he says.\Not to worry. response:	I'd never join your Daikon Radish Knighthood, anyway.
context: Embryo-sama.\Would you let me through?\Leave.\Now.\You'll get in trouble if you don't obey your master.\Then refuse, no matter what he says.\Not to worry.\I'd never join your Daikon Radish Knighthood, anyway. response:	It's the Diamond Rose Knighthood.
context: Would you let me through?\Leave.\Now.\You'll get in trouble if you don't obey your master.\Then refuse, no matter what he says.\Not to worry.\I'd never join your Daikon Radish Knighthood, anyway.\It's the Diamond Rose Knighthood. response:	Darjeeling, second flush.
context: Leave.\Now.\You'll get in trouble if you don't obey your master.\Then refuse, no matter what he says.\Not to worry.\I'd never join your Daikon Radish Knighthood, anyway.\It's the Diamond Rose Knighthood.\Darjeeling, second flush. response:	It's so good! Is that what you wanted to hear?
context: Now.\You'll get in trouble if you don't obey your master.\Then refuse, no matter what he says.\Not to worry.\I'd never join your Daikon Radish Knighthood, anyway.\It's the Diamond Rose Knighthood.\Darjeeling, second flush.\It's so good! Is that what you wanted to hear? response:	The tea Momoka prepares for me is hundreds of times better.
context: You'll get in trouble if you don't obey your master.\Then refuse, no matter what he says.\Not to worry.\I'd never join your Daikon Radish Knighthood, anyway.\It's the Diamond Rose Knighthood.\Darjeeling, second flush.\It's so good! Is that what you wanted to hear?\The tea Momoka prepares for me is hundreds of times better. response:	Well, then.
context: Then refuse, no matter what he says.\Not to worry.\I'd never join your Daikon Radish Knighthood, anyway.\It's the Diamond Rose Knighthood.\Darjeeling, second flush.\It's so good! Is that what you wanted to hear?\The tea Momoka prepares for me is hundreds of times better.\Well, then. response:	You didn't call me to brag about your stupid tea, did you?
context: Not to worry.\I'd never join your Daikon Radish Knighthood, anyway.\It's the Diamond Rose Knighthood.\Darjeeling, second flush.\It's so good! Is that what you wanted to hear?\The tea Momoka prepares for me is hundreds of times better.\Well, then.\You didn't call me to brag about your stupid tea, did you? response:	Fine.
context: I'd never join your Daikon Radish Knighthood, anyway.\It's the Diamond Rose Knighthood.\Darjeeling, second flush.\It's so good! Is that what you wanted to hear?\The tea Momoka prepares for me is hundreds of times better.\Well, then.\You didn't call me to brag about your stupid tea, did you?\Fine. response:	I'll get straight to the point.
context: It's the Diamond Rose Knighthood.\Darjeeling, second flush.\It's so good! Is that what you wanted to hear?\The tea Momoka prepares for me is hundreds of times better.\Well, then.\You didn't call me to brag about your stupid tea, did you?\Fine.\I'll get straight to the point. response:	I'd like to take you as my wife.
context: Darjeeling, second flush.\It's so good! Is that what you wanted to hear?\The tea Momoka prepares for me is hundreds of times better.\Well, then.\You didn't call me to brag about your stupid tea, did you?\Fine.\I'll get straight to the point.\I'd like to take you as my wife. response:	What?
context: It's so good! Is that what you wanted to hear?\The tea Momoka prepares for me is hundreds of times better.\Well, then.\You didn't call me to brag about your stupid tea, did you?\Fine.\I'll get straight to the point.\I'd like to take you as my wife.\What? response:	You're stronger, more intelligent and more beautiful than anyone I've ever met.
context: The tea Momoka prepares for me is hundreds of times better.\Well, then.\You didn't call me to brag about your stupid tea, did you?\Fine.\I'll get straight to the point.\I'd like to take you as my wife.\What?\You're stronger, more intelligent and more beautiful than anyone I've ever met. response:	You're the goddess of the new world.
context: Well, then.\You didn't call me to brag about your stupid tea, did you?\Fine.\I'll get straight to the point.\I'd like to take you as my wife.\What?\You're stronger, more intelligent and more beautiful than anyone I've ever met.\You're the goddess of the new world. response:	You are perfectly suited to be my wife.
context: You didn't call me to brag about your stupid tea, did you?\Fine.\I'll get straight to the point.\I'd like to take you as my wife.\What?\You're stronger, more intelligent and more beautiful than anyone I've ever met.\You're the goddess of the new world.\You are perfectly suited to be my wife. response:	So naturally, I want to grant my wife's wishes.
context: Fine.\I'll get straight to the point.\I'd like to take you as my wife.\What?\You're stronger, more intelligent and more beautiful than anyone I've ever met.\You're the goddess of the new world.\You are perfectly suited to be my wife.\So naturally, I want to grant my wife's wishes. response:	Huh?
context: I'll get straight to the point.\I'd like to take you as my wife.\What?\You're stronger, more intelligent and more beautiful than anyone I've ever met.\You're the goddess of the new world.\You are perfectly suited to be my wife.\So naturally, I want to grant my wife's wishes.\Huh? response:	Let's destroy this world.
context: I'd like to take you as my wife.\What?\You're stronger, more intelligent and more beautiful than anyone I've ever met.\You're the goddess of the new world.\You are perfectly suited to be my wife.\So naturally, I want to grant my wife's wishes.\Huh?\Let's destroy this world. response:	The people of the old world were barbaric and warlike.
context: What?\You're stronger, more intelligent and more beautiful than anyone I've ever met.\You're the goddess of the new world.\You are perfectly suited to be my wife.\So naturally, I want to grant my wife's wishes.\Huh?\Let's destroy this world.\The people of the old world were barbaric and warlike. response:	When they wanted, they stole.
context: You're stronger, more intelligent and more beautiful than anyone I've ever met.\You're the goddess of the new world.\You are perfectly suited to be my wife.\So naturally, I want to grant my wife's wishes.\Huh?\Let's destroy this world.\The people of the old world were barbaric and warlike.\When they wanted, they stole. response:	When dissatisfied, they grew angry.
context: You're the goddess of the new world.\You are perfectly suited to be my wife.\So naturally, I want to grant my wife's wishes.\Huh?\Let's destroy this world.\The people of the old world were barbaric and warlike.\When they wanted, they stole.\When dissatisfied, they grew angry. response:	They were like animals.
context: You are perfectly suited to be my wife.\So naturally, I want to grant my wife's wishes.\Huh?\Let's destroy this world.\The people of the old world were barbaric and warlike.\When they wanted, they stole.\When dissatisfied, they grew angry.\They were like animals. response:	In order to save the species, I had to recreate humanity.
context: So naturally, I want to grant my wife's wishes.\Huh?\Let's destroy this world.\The people of the old world were barbaric and warlike.\When they wanted, they stole.\When dissatisfied, they grew angry.\They were like animals.\In order to save the species, I had to recreate humanity. response:	And I made this world.
context: Huh?\Let's destroy this world.\The people of the old world were barbaric and warlike.\When they wanted, they stole.\When dissatisfied, they grew angry.\They were like animals.\In order to save the species, I had to recreate humanity.\And I made this world. response:	I made an intelligent humanity, connected through advanced information technology.
context: Let's destroy this world.\The people of the old world were barbaric and warlike.\When they wanted, they stole.\When dissatisfied, they grew angry.\They were like animals.\In order to save the species, I had to recreate humanity.\And I made this world.\I made an intelligent humanity, connected through advanced information technology. response:	I made a world of abundance, filled with light.
context: The people of the old world were barbaric and warlike.\When they wanted, they stole.\When dissatisfied, they grew angry.\They were like animals.\In order to save the species, I had to recreate humanity.\And I made this world.\I made an intelligent humanity, connected through advanced information technology.\I made a world of abundance, filled with light. response:	But this time, they stagnated.
context: When they wanted, they stole.\When dissatisfied, they grew angry.\They were like animals.\In order to save the species, I had to recreate humanity.\And I made this world.\I made an intelligent humanity, connected through advanced information technology.\I made a world of abundance, filled with light.\But this time, they stagnated. response:	They became used to being given things,
context: When dissatisfied, they grew angry.\They were like animals.\In order to save the species, I had to recreate humanity.\And I made this world.\I made an intelligent humanity, connected through advanced information technology.\I made a world of abundance, filled with light.\But this time, they stagnated.\They became used to being given things, response:	and they stopped thinking for themselves.
context: They were like animals.\In order to save the species, I had to recreate humanity.\And I made this world.\I made an intelligent humanity, connected through advanced information technology.\I made a world of abundance, filled with light.\But this time, they stagnated.\They became used to being given things,\and they stopped thinking for themselves. response:	You've seen it, too.
context: In order to save the species, I had to recreate humanity.\And I made this world.\I made an intelligent humanity, connected through advanced information technology.\I made a world of abundance, filled with light.\But this time, they stagnated.\They became used to being given things,\and they stopped thinking for themselves.\You've seen it, too. response:	They will hate and slaughter upon command.
context: And I made this world.\I made an intelligent humanity, connected through advanced information technology.\I made a world of abundance, filled with light.\But this time, they stagnated.\They became used to being given things,\and they stopped thinking for themselves.\You've seen it, too.\They will hate and slaughter upon command. response:	You've seen their true, rotten nature.
context: I made an intelligent humanity, connected through advanced information technology.\I made a world of abundance, filled with light.\But this time, they stagnated.\They became used to being given things,\and they stopped thinking for themselves.\You've seen it, too.\They will hate and slaughter upon command.\You've seen their true, rotten nature. response:	Humanity hasn't changed at all.
context: I made a world of abundance, filled with light.\But this time, they stagnated.\They became used to being given things,\and they stopped thinking for themselves.\You've seen it, too.\They will hate and slaughter upon command.\You've seen their true, rotten nature.\Humanity hasn't changed at all. response:	They're fundamentally evil and foolish.
context: But this time, they stagnated.\They became used to being given things,\and they stopped thinking for themselves.\You've seen it, too.\They will hate and slaughter upon command.\You've seen their true, rotten nature.\Humanity hasn't changed at all.\They're fundamentally evil and foolish. response:	But, Ange, with you...
context: They became used to being given things,\and they stopped thinking for themselves.\You've seen it, too.\They will hate and slaughter upon command.\You've seen their true, rotten nature.\Humanity hasn't changed at all.\They're fundamentally evil and foolish.\But, Ange, with you... response:	I'm certain that a humanity that we created would be upright and good.
context: and they stopped thinking for themselves.\You've seen it, too.\They will hate and slaughter upon command.\You've seen their true, rotten nature.\Humanity hasn't changed at all.\They're fundamentally evil and foolish.\But, Ange, with you...\I'm certain that a humanity that we created would be upright and good. response:	How?
context: You've seen it, too.\They will hate and slaughter upon command.\You've seen their true, rotten nature.\Humanity hasn't changed at all.\They're fundamentally evil and foolish.\But, Ange, with you...\I'm certain that a humanity that we created would be upright and good.\How? response:	Destroy the world how?
context: They will hate and slaughter upon command.\You've seen their true, rotten nature.\Humanity hasn't changed at all.\They're fundamentally evil and foolish.\But, Ange, with you...\I'm certain that a humanity that we created would be upright and good.\How?\Destroy the world how? response:	The flames of countless lives...
context: You've seen their true, rotten nature.\Humanity hasn't changed at all.\They're fundamentally evil and foolish.\But, Ange, with you...\I'm certain that a humanity that we created would be upright and good.\How?\Destroy the world how?\The flames of countless lives... response:	The Endless Song!
context: Humanity hasn't changed at all.\They're fundamentally evil and foolish.\But, Ange, with you...\I'm certain that a humanity that we created would be upright and good.\How?\Destroy the world how?\The flames of countless lives...\The Endless Song! response:	Unification theory.
context: They're fundamentally evil and foolish.\But, Ange, with you...\I'm certain that a humanity that we created would be upright and good.\How?\Destroy the world how?\The flames of countless lives...\The Endless Song!\Unification theory. response:	It's the laws that govern the universe, fashioned into a melody.
context: But, Ange, with you...\I'm certain that a humanity that we created would be upright and good.\How?\Destroy the world how?\The flames of countless lives...\The Endless Song!\Unification theory.\It's the laws that govern the universe, fashioned into a melody. response:	By amplifying this melody through the Ragna-mail and using Aura's energy,
context: I'm certain that a humanity that we created would be upright and good.\How?\Destroy the world how?\The flames of countless lives...\The Endless Song!\Unification theory.\It's the laws that govern the universe, fashioned into a melody.\By amplifying this melody through the Ragna-mail and using Aura's energy, response:	we can merge the two worlds...
context: How?\Destroy the world how?\The flames of countless lives...\The Endless Song!\Unification theory.\It's the laws that govern the universe, fashioned into a melody.\By amplifying this melody through the Ragna-mail and using Aura's energy,\we can merge the two worlds... response:	And recreate a single world.
context: Destroy the world how?\The flames of countless lives...\The Endless Song!\Unification theory.\It's the laws that govern the universe, fashioned into a melody.\By amplifying this melody through the Ragna-mail and using Aura's energy,\we can merge the two worlds...\And recreate a single world. response:	What you saw on the DRAGON world was merely a test of the process.
context: The flames of countless lives...\The Endless Song!\Unification theory.\It's the laws that govern the universe, fashioned into a melody.\By amplifying this melody through the Ragna-mail and using Aura's energy,\we can merge the two worlds...\And recreate a single world.\What you saw on the DRAGON world was merely a test of the process. response:	What do you think, Ange?
context: The Endless Song!\Unification theory.\It's the laws that govern the universe, fashioned into a melody.\By amplifying this melody through the Ragna-mail and using Aura's energy,\we can merge the two worlds...\And recreate a single world.\What you saw on the DRAGON world was merely a test of the process.\What do you think, Ange? response:	Would you cooperate?
context: Unification theory.\It's the laws that govern the universe, fashioned into a melody.\By amplifying this melody through the Ragna-mail and using Aura's energy,\we can merge the two worlds...\And recreate a single world.\What you saw on the DRAGON world was merely a test of the process.\What do you think, Ange?\Would you cooperate? response:	A new world, huh?
context: It's the laws that govern the universe, fashioned into a melody.\By amplifying this melody through the Ragna-mail and using Aura's energy,\we can merge the two worlds...\And recreate a single world.\What you saw on the DRAGON world was merely a test of the process.\What do you think, Ange?\Would you cooperate?\A new world, huh? response:	That'll stop your weird magic tricks, right?
context: By amplifying this melody through the Ragna-mail and using Aura's energy,\we can merge the two worlds...\And recreate a single world.\What you saw on the DRAGON world was merely a test of the process.\What do you think, Ange?\Would you cooperate?\A new world, huh?\That'll stop your weird magic tricks, right? response:	Angelise-sama.
context: we can merge the two worlds...\And recreate a single world.\What you saw on the DRAGON world was merely a test of the process.\What do you think, Ange?\Would you cooperate?\A new world, huh?\That'll stop your weird magic tricks, right?\Angelise-sama. response:	I have nothing to lose!
context: And recreate a single world.\What you saw on the DRAGON world was merely a test of the process.\What do you think, Ange?\Would you cooperate?\A new world, huh?\That'll stop your weird magic tricks, right?\Angelise-sama.\I have nothing to lose! response:	I'd rather die than become your wife...
context: What you saw on the DRAGON world was merely a test of the process.\What do you think, Ange?\Would you cooperate?\A new world, huh?\That'll stop your weird magic tricks, right?\Angelise-sama.\I have nothing to lose!\I'd rather die than become your wife... response:	Mister Tuner.
context: What do you think, Ange?\Would you cooperate?\A new world, huh?\That'll stop your weird magic tricks, right?\Angelise-sama.\I have nothing to lose!\I'd rather die than become your wife...\Mister Tuner. response:	So you're the one to die!
context: Would you cooperate?\A new world, huh?\That'll stop your weird magic tricks, right?\Angelise-sama.\I have nothing to lose!\I'd rather die than become your wife...\Mister Tuner.\So you're the one to die! response:	W-Wait.
context: A new world, huh?\That'll stop your weird magic tricks, right?\Angelise-sama.\I have nothing to lose!\I'd rather die than become your wife...\Mister Tuner.\So you're the one to die!\W-Wait. response:	Angelise-sama!
context: That'll stop your weird magic tricks, right?\Angelise-sama.\I have nothing to lose!\I'd rather die than become your wife...\Mister Tuner.\So you're the one to die!\W-Wait.\Angelise-sama! response:	You're a violent one.
context: Angelise-sama.\I have nothing to lose!\I'd rather die than become your wife...\Mister Tuner.\So you're the one to die!\W-Wait.\Angelise-sama!\You're a violent one. response:	But that's what makes you worthy of being my wife.
context: I have nothing to lose!\I'd rather die than become your wife...\Mister Tuner.\So you're the one to die!\W-Wait.\Angelise-sama!\You're a violent one.\But that's what makes you worthy of being my wife. response:	Angelise-sama!
context: I'd rather die than become your wife...\Mister Tuner.\So you're the one to die!\W-Wait.\Angelise-sama!\You're a violent one.\But that's what makes you worthy of being my wife.\Angelise-sama! response:	It seems even you can't handle pain multiplied fifty times.
context: Mister Tuner.\So you're the one to die!\W-Wait.\Angelise-sama!\You're a violent one.\But that's what makes you worthy of being my wife.\Angelise-sama!\It seems even you can't handle pain multiplied fifty times. response:	Then how about this?
context: So you're the one to die!\W-Wait.\Angelise-sama!\You're a violent one.\But that's what makes you worthy of being my wife.\Angelise-sama!\It seems even you can't handle pain multiplied fifty times.\Then how about this? response:	Princess, are you all right?
context: W-Wait.\Angelise-sama!\You're a violent one.\But that's what makes you worthy of being my wife.\Angelise-sama!\It seems even you can't handle pain multiplied fifty times.\Then how about this?\Princess, are you all right? response:	Don't touch me.
context: Angelise-sama!\You're a violent one.\But that's what makes you worthy of being my wife.\Angelise-sama!\It seems even you can't handle pain multiplied fifty times.\Then how about this?\Princess, are you all right?\Don't touch me. response:	Princess.
context: You're a violent one.\But that's what makes you worthy of being my wife.\Angelise-sama!\It seems even you can't handle pain multiplied fifty times.\Then how about this?\Princess, are you all right?\Don't touch me.\Princess. response:	Princess!
context: But that's what makes you worthy of being my wife.\Angelise-sama!\It seems even you can't handle pain multiplied fifty times.\Then how about this?\Princess, are you all right?\Don't touch me.\Princess.\Princess! response:	Touch me more.
context: Angelise-sama!\It seems even you can't handle pain multiplied fifty times.\Then how about this?\Princess, are you all right?\Don't touch me.\Princess.\Princess!\Touch me more. response:	More...
context: It seems even you can't handle pain multiplied fifty times.\Then how about this?\Princess, are you all right?\Don't touch me.\Princess.\Princess!\Touch me more.\More... response:	I turned all of her pain into pleasure.
context: Then how about this?\Princess, are you all right?\Don't touch me.\Princess.\Princess!\Touch me more.\More...\I turned all of her pain into pleasure. response:	Ange, it's easy for me to manipulate you.
context: Princess, are you all right?\Don't touch me.\Princess.\Princess!\Touch me more.\More...\I turned all of her pain into pleasure.\Ange, it's easy for me to manipulate you. response:	If you don't want to suffer anymore, you'll accept my proposal.
context: Don't touch me.\Princess.\Princess!\Touch me more.\More...\I turned all of her pain into pleasure.\Ange, it's easy for me to manipulate you.\If you don't want to suffer anymore, you'll accept my proposal. response:	Bring her back to normal, please.
context: Princess.\Princess!\Touch me more.\More...\I turned all of her pain into pleasure.\Ange, it's easy for me to manipulate you.\If you don't want to suffer anymore, you'll accept my proposal.\Bring her back to normal, please. response:	Right now!
context: Princess!\Touch me more.\More...\I turned all of her pain into pleasure.\Ange, it's easy for me to manipulate you.\If you don't want to suffer anymore, you'll accept my proposal.\Bring her back to normal, please.\Right now! response:	Rosalie.
context: Touch me more.\More...\I turned all of her pain into pleasure.\Ange, it's easy for me to manipulate you.\If you don't want to suffer anymore, you'll accept my proposal.\Bring her back to normal, please.\Right now!\Rosalie. response:	Come on.
context: More...\I turned all of her pain into pleasure.\Ange, it's easy for me to manipulate you.\If you don't want to suffer anymore, you'll accept my proposal.\Bring her back to normal, please.\Right now!\Rosalie.\Come on. response:	It's been a while.
context: I turned all of her pain into pleasure.\Ange, it's easy for me to manipulate you.\If you don't want to suffer anymore, you'll accept my proposal.\Bring her back to normal, please.\Right now!\Rosalie.\Come on.\It's been a while. response:	Sorry.
context: Ange, it's easy for me to manipulate you.\If you don't want to suffer anymore, you'll accept my proposal.\Bring her back to normal, please.\Right now!\Rosalie.\Come on.\It's been a while.\Sorry. response:	I'm not in the mood.
context: If you don't want to suffer anymore, you'll accept my proposal.\Bring her back to normal, please.\Right now!\Rosalie.\Come on.\It's been a while.\Sorry.\I'm not in the mood. response:	Are you leaving again?
context: Bring her back to normal, please.\Right now!\Rosalie.\Come on.\It's been a while.\Sorry.\I'm not in the mood.\Are you leaving again? response:	I have to help Ange.
context: Right now!\Rosalie.\Come on.\It's been a while.\Sorry.\I'm not in the mood.\Are you leaving again?\I have to help Ange. response:	If the commander isn't going to, I will.
context: Rosalie.\Come on.\It's been a while.\Sorry.\I'm not in the mood.\Are you leaving again?\I have to help Ange.\If the commander isn't going to, I will. response:	Hilda.
context: Come on.\It's been a while.\Sorry.\I'm not in the mood.\Are you leaving again?\I have to help Ange.\If the commander isn't going to, I will.\Hilda. response:	I made a promise with her.
context: It's been a while.\Sorry.\I'm not in the mood.\Are you leaving again?\I have to help Ange.\If the commander isn't going to, I will.\Hilda.\I made a promise with her. response:	That we'll destroy this world together.
context: Sorry.\I'm not in the mood.\Are you leaving again?\I have to help Ange.\If the commander isn't going to, I will.\Hilda.\I made a promise with her.\That we'll destroy this world together. response:	You love Ange, don't you?
context: I'm not in the mood.\Are you leaving again?\I have to help Ange.\If the commander isn't going to, I will.\Hilda.\I made a promise with her.\That we'll destroy this world together.\You love Ange, don't you? response:	I can tell. We've known each other for a long time.
context: Are you leaving again?\I have to help Ange.\If the commander isn't going to, I will.\Hilda.\I made a promise with her.\That we'll destroy this world together.\You love Ange, don't you?\I can tell. We've known each other for a long time. response:	I'm the same, too, after all.
context: I have to help Ange.\If the commander isn't going to, I will.\Hilda.\I made a promise with her.\That we'll destroy this world together.\You love Ange, don't you?\I can tell. We've known each other for a long time.\I'm the same, too, after all. response:	I can't seem to handle being without Chris.
context: If the commander isn't going to, I will.\Hilda.\I made a promise with her.\That we'll destroy this world together.\You love Ange, don't you?\I can tell. We've known each other for a long time.\I'm the same, too, after all.\I can't seem to handle being without Chris. response:	She was always so scared.
context: Hilda.\I made a promise with her.\That we'll destroy this world together.\You love Ange, don't you?\I can tell. We've known each other for a long time.\I'm the same, too, after all.\I can't seem to handle being without Chris.\She was always so scared. response:	I always felt like I had to protect her.
context: I made a promise with her.\That we'll destroy this world together.\You love Ange, don't you?\I can tell. We've known each other for a long time.\I'm the same, too, after all.\I can't seem to handle being without Chris.\She was always so scared.\I always felt like I had to protect her. response:	But she's so strong without me...
context: That we'll destroy this world together.\You love Ange, don't you?\I can tell. We've known each other for a long time.\I'm the same, too, after all.\I can't seem to handle being without Chris.\She was always so scared.\I always felt like I had to protect her.\But she's so strong without me... response:	She's fine.
