context: That day, my world was all white. response:	My hands and feet felt numb from the cold.
context: In the end, thou art the same as those two!\Ah, Tsukiumi-san!\Landlady.\I cannot understand what Musubi and even Number 03 are thinking by helping them thus...\They may not be thinking anything.\There is somebody in trouble, so you help them...\That may be the natural thing for a person to do.\But we are Sekireis! response:	Sekireis must fight until the end!
context: Ah, Tsukiumi-san!\Landlady.\I cannot understand what Musubi and even Number 03 are thinking by helping them thus...\They may not be thinking anything.\There is somebody in trouble, so you help them...\That may be the natural thing for a person to do.\But we are Sekireis!\Sekireis must fight until the end! response:	Refusing to fight is!
context: Landlady.\I cannot understand what Musubi and even Number 03 are thinking by helping them thus...\They may not be thinking anything.\There is somebody in trouble, so you help them...\That may be the natural thing for a person to do.\But we are Sekireis!\Sekireis must fight until the end!\Refusing to fight is! response:	Tsukiumi-san, I wonder if you mean,
context: I cannot understand what Musubi and even Number 03 are thinking by helping them thus...\They may not be thinking anything.\There is somebody in trouble, so you help them...\That may be the natural thing for a person to do.\But we are Sekireis!\Sekireis must fight until the end!\Refusing to fight is!\Tsukiumi-san, I wonder if you mean, response:	It's not fair for her to live happily ever after with her Ashikabi
context: They may not be thinking anything.\There is somebody in trouble, so you help them...\That may be the natural thing for a person to do.\But we are Sekireis!\Sekireis must fight until the end!\Refusing to fight is!\Tsukiumi-san, I wonder if you mean,\It's not fair for her to live happily ever after with her Ashikabi response:	even though she won't fight!?
context: There is somebody in trouble, so you help them...\That may be the natural thing for a person to do.\But we are Sekireis!\Sekireis must fight until the end!\Refusing to fight is!\Tsukiumi-san, I wonder if you mean,\It's not fair for her to live happily ever after with her Ashikabi\even though she won't fight!? response:	La-Landlady!
context: That may be the natural thing for a person to do.\But we are Sekireis!\Sekireis must fight until the end!\Refusing to fight is!\Tsukiumi-san, I wonder if you mean,\It's not fair for her to live happily ever after with her Ashikabi\even though she won't fight!?\La-Landlady! response:	But, well... perhaps thou art right.
context: But we are Sekireis!\Sekireis must fight until the end!\Refusing to fight is!\Tsukiumi-san, I wonder if you mean,\It's not fair for her to live happily ever after with her Ashikabi\even though she won't fight!?\La-Landlady!\But, well... perhaps thou art right. response:	Number 95's feebleness irritates me,
context: Sekireis must fight until the end!\Refusing to fight is!\Tsukiumi-san, I wonder if you mean,\It's not fair for her to live happily ever after with her Ashikabi\even though she won't fight!?\La-Landlady!\But, well... perhaps thou art right.\Number 95's feebleness irritates me, response:	but on the other hand, I might envy her.
context: Refusing to fight is!\Tsukiumi-san, I wonder if you mean,\It's not fair for her to live happily ever after with her Ashikabi\even though she won't fight!?\La-Landlady!\But, well... perhaps thou art right.\Number 95's feebleness irritates me,\but on the other hand, I might envy her. response:	I heard you are aiming to be the strongest.
context: Tsukiumi-san, I wonder if you mean,\It's not fair for her to live happily ever after with her Ashikabi\even though she won't fight!?\La-Landlady!\But, well... perhaps thou art right.\Number 95's feebleness irritates me,\but on the other hand, I might envy her.\I heard you are aiming to be the strongest. response:	At first, I thought I could be the strongest even without an Ashikabi.
context: It's not fair for her to live happily ever after with her Ashikabi\even though she won't fight!?\La-Landlady!\But, well... perhaps thou art right.\Number 95's feebleness irritates me,\but on the other hand, I might envy her.\I heard you are aiming to be the strongest.\At first, I thought I could be the strongest even without an Ashikabi. response:	But now...
