context: No matter how you look at it, it's against the school rules. response:	(May use this line if you want to rephrase it)
context: But,\you will suffer if you get too cocky.\Cocky?\For example! Your attire looks like cosplay!\No matter how you look at it, it's against the school rules.\This is...\Seriously, as the class representative, your existence is a headache to me.\Serves you right. response:	You...
context: you will suffer if you get too cocky.\Cocky?\For example! Your attire looks like cosplay!\No matter how you look at it, it's against the school rules.\This is...\Seriously, as the class representative, your existence is a headache to me.\Serves you right.\You... response:	What did you do just now?
context: Cocky?\For example! Your attire looks like cosplay!\No matter how you look at it, it's against the school rules.\This is...\Seriously, as the class representative, your existence is a headache to me.\Serves you right.\You...\What did you do just now? response:	You snobbish little brat.
context: For example! Your attire looks like cosplay!\No matter how you look at it, it's against the school rules.\This is...\Seriously, as the class representative, your existence is a headache to me.\Serves you right.\You...\What did you do just now?\You snobbish little brat. response:	No!
context: No matter how you look at it, it's against the school rules.\This is...\Seriously, as the class representative, your existence is a headache to me.\Serves you right.\You...\What did you do just now?\You snobbish little brat.\No! response:	You are...
context: This is...\Seriously, as the class representative, your existence is a headache to me.\Serves you right.\You...\What did you do just now?\You snobbish little brat.\No!\You are... response:	Please don't use violence against girls.
context: Seriously, as the class representative, your existence is a headache to me.\Serves you right.\You...\What did you do just now?\You snobbish little brat.\No!\You are...\Please don't use violence against girls. response:	Moka-san?
context: Serves you right.\You...\What did you do just now?\You snobbish little brat.\No!\You are...\Please don't use violence against girls.\Moka-san? response:	Huh, what's the commotion over there?
context: You...\What did you do just now?\You snobbish little brat.\No!\You are...\Please don't use violence against girls.\Moka-san?\Huh, what's the commotion over there? response:	Aren't those the people from the second class?
context: What did you do just now?\You snobbish little brat.\No!\You are...\Please don't use violence against girls.\Moka-san?\Huh, what's the commotion over there?\Aren't those the people from the second class? response:	We will leave it at here for the moment.
context: You snobbish little brat.\No!\You are...\Please don't use violence against girls.\Moka-san?\Huh, what's the commotion over there?\Aren't those the people from the second class?\We will leave it at here for the moment. response:	All right, let's go.
context: No!\You are...\Please don't use violence against girls.\Moka-san?\Huh, what's the commotion over there?\Aren't those the people from the second class?\We will leave it at here for the moment.\All right, let's go. response:	Seriously, being in the same class with that filthy race makes me want to puke.
context: You are...\Please don't use violence against girls.\Moka-san?\Huh, what's the commotion over there?\Aren't those the people from the second class?\We will leave it at here for the moment.\All right, let's go.\Seriously, being in the same class with that filthy race makes me want to puke. response:	Thanks for your help just now! You saved me.
context: Please don't use violence against girls.\Moka-san?\Huh, what's the commotion over there?\Aren't those the people from the second class?\We will leave it at here for the moment.\All right, let's go.\Seriously, being in the same class with that filthy race makes me want to puke.\Thanks for your help just now! You saved me. response:	I'm Sendo Yukari.
context: Moka-san?\Huh, what's the commotion over there?\Aren't those the people from the second class?\We will leave it at here for the moment.\All right, let's go.\Seriously, being in the same class with that filthy race makes me want to puke.\Thanks for your help just now! You saved me.\I'm Sendo Yukari. response:	Here you go.
context: Huh, what's the commotion over there?\Aren't those the people from the second class?\We will leave it at here for the moment.\All right, let's go.\Seriously, being in the same class with that filthy race makes me want to puke.\Thanks for your help just now! You saved me.\I'm Sendo Yukari.\Here you go. response:	I've heard about you! That you're younger by four years, even though we're classmates.
context: Aren't those the people from the second class?\We will leave it at here for the moment.\All right, let's go.\Seriously, being in the same class with that filthy race makes me want to puke.\Thanks for your help just now! You saved me.\I'm Sendo Yukari.\Here you go.\I've heard about you! That you're younger by four years, even though we're classmates. response:	If she's four years younger...
context: We will leave it at here for the moment.\All right, let's go.\Seriously, being in the same class with that filthy race makes me want to puke.\Thanks for your help just now! You saved me.\I'm Sendo Yukari.\Here you go.\I've heard about you! That you're younger by four years, even though we're classmates.\If she's four years younger... response:	So that means you skipped ahead a couple grades?
context: All right, let's go.\Seriously, being in the same class with that filthy race makes me want to puke.\Thanks for your help just now! You saved me.\I'm Sendo Yukari.\Here you go.\I've heard about you! That you're younger by four years, even though we're classmates.\If she's four years younger...\So that means you skipped ahead a couple grades? response:	You must be really smart, Yukari-chan.
context: Seriously, being in the same class with that filthy race makes me want to puke.\Thanks for your help just now! You saved me.\I'm Sendo Yukari.\Here you go.\I've heard about you! That you're younger by four years, even though we're classmates.\If she's four years younger...\So that means you skipped ahead a couple grades?\You must be really smart, Yukari-chan. response:	And the clothes are nice too.
context: Thanks for your help just now! You saved me.\I'm Sendo Yukari.\Here you go.\I've heard about you! That you're younger by four years, even though we're classmates.\If she's four years younger...\So that means you skipped ahead a couple grades?\You must be really smart, Yukari-chan.\And the clothes are nice too. response:	It's nothing, really!
context: I'm Sendo Yukari.\Here you go.\I've heard about you! That you're younger by four years, even though we're classmates.\If she's four years younger...\So that means you skipped ahead a couple grades?\You must be really smart, Yukari-chan.\And the clothes are nice too.\It's nothing, really! response:	Moka-san is much more beautiful.
context: Here you go.\I've heard about you! That you're younger by four years, even though we're classmates.\If she's four years younger...\So that means you skipped ahead a couple grades?\You must be really smart, Yukari-chan.\And the clothes are nice too.\It's nothing, really!\Moka-san is much more beautiful. response:	Other than that, actually I... I...
context: I've heard about you! That you're younger by four years, even though we're classmates.\If she's four years younger...\So that means you skipped ahead a couple grades?\You must be really smart, Yukari-chan.\And the clothes are nice too.\It's nothing, really!\Moka-san is much more beautiful.\Other than that, actually I... I... response:	Erm... I... I...
context: If she's four years younger...\So that means you skipped ahead a couple grades?\You must be really smart, Yukari-chan.\And the clothes are nice too.\It's nothing, really!\Moka-san is much more beautiful.\Other than that, actually I... I...\Erm... I... I... response:	I love Moka-san!
context: So that means you skipped ahead a couple grades?\You must be really smart, Yukari-chan.\And the clothes are nice too.\It's nothing, really!\Moka-san is much more beautiful.\Other than that, actually I... I...\Erm... I... I...\I love Moka-san! response:	I love you even more when I see you pass by my classroom.
context: You must be really smart, Yukari-chan.\And the clothes are nice too.\It's nothing, really!\Moka-san is much more beautiful.\Other than that, actually I... I...\Erm... I... I...\I love Moka-san!\I love you even more when I see you pass by my classroom. response:	And I've made up my mind after you saved me.
context: And the clothes are nice too.\It's nothing, really!\Moka-san is much more beautiful.\Other than that, actually I... I...\Erm... I... I...\I love Moka-san!\I love you even more when I see you pass by my classroom.\And I've made up my mind after you saved me. response:	Eh, by saying that you have made up your mind is...
context: It's nothing, really!\Moka-san is much more beautiful.\Other than that, actually I... I...\Erm... I... I...\I love Moka-san!\I love you even more when I see you pass by my classroom.\And I've made up my mind after you saved me.\Eh, by saying that you have made up your mind is... response:	Please go out with me!
context: Moka-san is much more beautiful.\Other than that, actually I... I...\Erm... I... I...\I love Moka-san!\I love you even more when I see you pass by my classroom.\And I've made up my mind after you saved me.\Eh, by saying that you have made up your mind is...\Please go out with me! response:	What?
context: Other than that, actually I... I...\Erm... I... I...\I love Moka-san!\I love you even more when I see you pass by my classroom.\And I've made up my mind after you saved me.\Eh, by saying that you have made up your mind is...\Please go out with me!\What? response:	About that...
context: Erm... I... I...\I love Moka-san!\I love you even more when I see you pass by my classroom.\And I've made up my mind after you saved me.\Eh, by saying that you have made up your mind is...\Please go out with me!\What?\About that... response:	It's fine if it's as friends...
context: I love Moka-san!\I love you even more when I see you pass by my classroom.\And I've made up my mind after you saved me.\Eh, by saying that you have made up your mind is...\Please go out with me!\What?\About that...\It's fine if it's as friends... response:	I'm so happy!
context: I love you even more when I see you pass by my classroom.\And I've made up my mind after you saved me.\Eh, by saying that you have made up your mind is...\Please go out with me!\What?\About that...\It's fine if it's as friends...\I'm so happy! response:	What a surprise...
context: And I've made up my mind after you saved me.\Eh, by saying that you have made up your mind is...\Please go out with me!\What?\About that...\It's fine if it's as friends...\I'm so happy!\What a surprise... response:	Erm... Yukari-chan?
context: Eh, by saying that you have made up your mind is...\Please go out with me!\What?\About that...\It's fine if it's as friends...\I'm so happy!\What a surprise...\Erm... Yukari-chan? response:	Moka-san's breasts is even bigger than it looks.
context: Please go out with me!\What?\About that...\It's fine if it's as friends...\I'm so happy!\What a surprise...\Erm... Yukari-chan?\Moka-san's breasts is even bigger than it looks. response:	Moka-san breasts actually being abused like this...
context: What?\About that...\It's fine if it's as friends...\I'm so happy!\What a surprise...\Erm... Yukari-chan?\Moka-san's breasts is even bigger than it looks.\Moka-san breasts actually being abused like this... response:	I cannot forgive this!
context: About that...\It's fine if it's as friends...\I'm so happy!\What a surprise...\Erm... Yukari-chan?\Moka-san's breasts is even bigger than it looks.\Moka-san breasts actually being abused like this...\I cannot forgive this! response:	Mine are as flat as a washboard, this feeling is like a dream!
context: It's fine if it's as friends...\I'm so happy!\What a surprise...\Erm... Yukari-chan?\Moka-san's breasts is even bigger than it looks.\Moka-san breasts actually being abused like this...\I cannot forgive this!\Mine are as flat as a washboard, this feeling is like a dream! response:	This is bad, my strength is leaving me...
context: I'm so happy!\What a surprise...\Erm... Yukari-chan?\Moka-san's breasts is even bigger than it looks.\Moka-san breasts actually being abused like this...\I cannot forgive this!\Mine are as flat as a washboard, this feeling is like a dream!\This is bad, my strength is leaving me... response:	Wait a minute!
context: What a surprise...\Erm... Yukari-chan?\Moka-san's breasts is even bigger than it looks.\Moka-san breasts actually being abused like this...\I cannot forgive this!\Mine are as flat as a washboard, this feeling is like a dream!\This is bad, my strength is leaving me...\Wait a minute! response:	What are you girls doing?
context: Erm... Yukari-chan?\Moka-san's breasts is even bigger than it looks.\Moka-san breasts actually being abused like this...\I cannot forgive this!\Mine are as flat as a washboard, this feeling is like a dream!\This is bad, my strength is leaving me...\Wait a minute!\What are you girls doing? response:	You still came in the end,
context: Moka-san's breasts is even bigger than it looks.\Moka-san breasts actually being abused like this...\I cannot forgive this!\Mine are as flat as a washboard, this feeling is like a dream!\This is bad, my strength is leaving me...\Wait a minute!\What are you girls doing?\You still came in the end, response:	Aono Tsukune.
context: Moka-san breasts actually being abused like this...\I cannot forgive this!\Mine are as flat as a washboard, this feeling is like a dream!\This is bad, my strength is leaving me...\Wait a minute!\What are you girls doing?\You still came in the end,\Aono Tsukune. response:	Grades are so-so,
context: I cannot forgive this!\Mine are as flat as a washboard, this feeling is like a dream!\This is bad, my strength is leaving me...\Wait a minute!\What are you girls doing?\You still came in the end,\Aono Tsukune.\Grades are so-so, response:	Athletic abilities are that of a humans.
context: Mine are as flat as a washboard, this feeling is like a dream!\This is bad, my strength is leaving me...\Wait a minute!\What are you girls doing?\You still came in the end,\Aono Tsukune.\Grades are so-so,\Athletic abilities are that of a humans. response:	No interest, and no special traits.
context: This is bad, my strength is leaving me...\Wait a minute!\What are you girls doing?\You still came in the end,\Aono Tsukune.\Grades are so-so,\Athletic abilities are that of a humans.\No interest, and no special traits. response:	You are like those half-assed males in a manga.
context: Wait a minute!\What are you girls doing?\You still came in the end,\Aono Tsukune.\Grades are so-so,\Athletic abilities are that of a humans.\No interest, and no special traits.\You are like those half-assed males in a manga. response:	Half-assed male, half-assed male...
context: What are you girls doing?\You still came in the end,\Aono Tsukune.\Grades are so-so,\Athletic abilities are that of a humans.\No interest, and no special traits.\You are like those half-assed males in a manga.\Half-assed male, half-assed male... response:	I don't wish my beloved Moka-san to be defiled by the likes of you.
context: You still came in the end,\Aono Tsukune.\Grades are so-so,\Athletic abilities are that of a humans.\No interest, and no special traits.\You are like those half-assed males in a manga.\Half-assed male, half-assed male...\I don't wish my beloved Moka-san to be defiled by the likes of you. response:	likes of you... likes of you...
context: Aono Tsukune.\Grades are so-so,\Athletic abilities are that of a humans.\No interest, and no special traits.\You are like those half-assed males in a manga.\Half-assed male, half-assed male...\I don't wish my beloved Moka-san to be defiled by the likes of you.\likes of you... likes of you... response:	That's why,
context: Grades are so-so,\Athletic abilities are that of a humans.\No interest, and no special traits.\You are like those half-assed males in a manga.\Half-assed male, half-assed male...\I don't wish my beloved Moka-san to be defiled by the likes of you.\likes of you... likes of you...\That's why, response:	I'm challenging you!
context: Athletic abilities are that of a humans.\No interest, and no special traits.\You are like those half-assed males in a manga.\Half-assed male, half-assed male...\I don't wish my beloved Moka-san to be defiled by the likes of you.\likes of you... likes of you...\That's why,\I'm challenging you! response:	Tsukune!
context: No interest, and no special traits.\You are like those half-assed males in a manga.\Half-assed male, half-assed male...\I don't wish my beloved Moka-san to be defiled by the likes of you.\likes of you... likes of you...\That's why,\I'm challenging you!\Tsukune! response:	Why are the brooms moving on their own?
context: You are like those half-assed males in a manga.\Half-assed male, half-assed male...\I don't wish my beloved Moka-san to be defiled by the likes of you.\likes of you... likes of you...\That's why,\I'm challenging you!\Tsukune!\Why are the brooms moving on their own? response:	It's magic.
context: Half-assed male, half-assed male...\I don't wish my beloved Moka-san to be defiled by the likes of you.\likes of you... likes of you...\That's why,\I'm challenging you!\Tsukune!\Why are the brooms moving on their own?\It's magic. response:	Magic?
context: I don't wish my beloved Moka-san to be defiled by the likes of you.\likes of you... likes of you...\That's why,\I'm challenging you!\Tsukune!\Why are the brooms moving on their own?\It's magic.\Magic? response:	Yes, I'm a witch!
context: likes of you... likes of you...\That's why,\I'm challenging you!\Tsukune!\Why are the brooms moving on their own?\It's magic.\Magic?\Yes, I'm a witch! response:	And from now on, those people who try to come near Moka-san,
context: That's why,\I'm challenging you!\Tsukune!\Why are the brooms moving on their own?\It's magic.\Magic?\Yes, I'm a witch!\And from now on, those people who try to come near Moka-san, response:	I will use my magic to dispose of them.
context: I'm challenging you!\Tsukune!\Why are the brooms moving on their own?\It's magic.\Magic?\Yes, I'm a witch!\And from now on, those people who try to come near Moka-san,\I will use my magic to dispose of them. response:	I heard that.
context: Tsukune!\Why are the brooms moving on their own?\It's magic.\Magic?\Yes, I'm a witch!\And from now on, those people who try to come near Moka-san,\I will use my magic to dispose of them.\I heard that. response:	Revealing your true identity is against the school rules.
context: Why are the brooms moving on their own?\It's magic.\Magic?\Yes, I'm a witch!\And from now on, those people who try to come near Moka-san,\I will use my magic to dispose of them.\I heard that.\Revealing your true identity is against the school rules. response:	You're getting in way over your head, brat.
context: It's magic.\Magic?\Yes, I'm a witch!\And from now on, those people who try to come near Moka-san,\I will use my magic to dispose of them.\I heard that.\Revealing your true identity is against the school rules.\You're getting in way over your head, brat. response:	Sendo Yukari?
context: Magic?\Yes, I'm a witch!\And from now on, those people who try to come near Moka-san,\I will use my magic to dispose of them.\I heard that.\Revealing your true identity is against the school rules.\You're getting in way over your head, brat.\Sendo Yukari? response:	Ouch.
context: Yes, I'm a witch!\And from now on, those people who try to come near Moka-san,\I will use my magic to dispose of them.\I heard that.\Revealing your true identity is against the school rules.\You're getting in way over your head, brat.\Sendo Yukari?\Ouch. response:	That really hurts.
context: And from now on, those people who try to come near Moka-san,\I will use my magic to dispose of them.\I heard that.\Revealing your true identity is against the school rules.\You're getting in way over your head, brat.\Sendo Yukari?\Ouch.\That really hurts. response:	Hey, what the hell is this?
context: I will use my magic to dispose of them.\I heard that.\Revealing your true identity is against the school rules.\You're getting in way over your head, brat.\Sendo Yukari?\Ouch.\That really hurts.\Hey, what the hell is this? response:	I just debuted on the previous episode, can't you let me appear earlier?
context: I heard that.\Revealing your true identity is against the school rules.\You're getting in way over your head, brat.\Sendo Yukari?\Ouch.\That really hurts.\Hey, what the hell is this?\I just debuted on the previous episode, can't you let me appear earlier? response:	Who are you talking to?
context: Revealing your true identity is against the school rules.\You're getting in way over your head, brat.\Sendo Yukari?\Ouch.\That really hurts.\Hey, what the hell is this?\I just debuted on the previous episode, can't you let me appear earlier?\Who are you talking to? response:	Anyways...
context: You're getting in way over your head, brat.\Sendo Yukari?\Ouch.\That really hurts.\Hey, what the hell is this?\I just debuted on the previous episode, can't you let me appear earlier?\Who are you talking to?\Anyways... response:	It seems like it hurts, right Tsukune?
context: Sendo Yukari?\Ouch.\That really hurts.\Hey, what the hell is this?\I just debuted on the previous episode, can't you let me appear earlier?\Who are you talking to?\Anyways...\It seems like it hurts, right Tsukune? response:	Yeah, thanks to that, I can't get close to Moka-san and I got into this mess.
context: Ouch.\That really hurts.\Hey, what the hell is this?\I just debuted on the previous episode, can't you let me appear earlier?\Who are you talking to?\Anyways...\It seems like it hurts, right Tsukune?\Yeah, thanks to that, I can't get close to Moka-san and I got into this mess. response:	Yahoo!
context: That really hurts.\Hey, what the hell is this?\I just debuted on the previous episode, can't you let me appear earlier?\Who are you talking to?\Anyways...\It seems like it hurts, right Tsukune?\Yeah, thanks to that, I can't get close to Moka-san and I got into this mess.\Yahoo! response:	Thanks to her, I can be alone with Tsukune.
context: Hey, what the hell is this?\I just debuted on the previous episode, can't you let me appear earlier?\Who are you talking to?\Anyways...\It seems like it hurts, right Tsukune?\Yeah, thanks to that, I can't get close to Moka-san and I got into this mess.\Yahoo!\Thanks to her, I can be alone with Tsukune. response:	Nice one, Sendo Yukari!
context: I just debuted on the previous episode, can't you let me appear earlier?\Who are you talking to?\Anyways...\It seems like it hurts, right Tsukune?\Yeah, thanks to that, I can't get close to Moka-san and I got into this mess.\Yahoo!\Thanks to her, I can be alone with Tsukune.\Nice one, Sendo Yukari! response:	I have heard rumors about that girl.
context: Who are you talking to?\Anyways...\It seems like it hurts, right Tsukune?\Yeah, thanks to that, I can't get close to Moka-san and I got into this mess.\Yahoo!\Thanks to her, I can be alone with Tsukune.\Nice one, Sendo Yukari!\I have heard rumors about that girl. response:	Kurum-chan too-
context: Anyways...\It seems like it hurts, right Tsukune?\Yeah, thanks to that, I can't get close to Moka-san and I got into this mess.\Yahoo!\Thanks to her, I can be alone with Tsukune.\Nice one, Sendo Yukari!\I have heard rumors about that girl.\Kurum-chan too- response:	Although they say that she's a genius, she's still a selfish child,
context: It seems like it hurts, right Tsukune?\Yeah, thanks to that, I can't get close to Moka-san and I got into this mess.\Yahoo!\Thanks to her, I can be alone with Tsukune.\Nice one, Sendo Yukari!\I have heard rumors about that girl.\Kurum-chan too-\Although they say that she's a genius, she's still a selfish child, response:	and got teased by her classmates.
context: Yeah, thanks to that, I can't get close to Moka-san and I got into this mess.\Yahoo!\Thanks to her, I can be alone with Tsukune.\Nice one, Sendo Yukari!\I have heard rumors about that girl.\Kurum-chan too-\Although they say that she's a genius, she's still a selfish child,\and got teased by her classmates. response:	Oh, really?
context: Yahoo!\Thanks to her, I can be alone with Tsukune.\Nice one, Sendo Yukari!\I have heard rumors about that girl.\Kurum-chan too-\Although they say that she's a genius, she's still a selfish child,\and got teased by her classmates.\Oh, really? response:	She probably acts like that because she thinks she's a genius.
context: Thanks to her, I can be alone with Tsukune.\Nice one, Sendo Yukari!\I have heard rumors about that girl.\Kurum-chan too-\Although they say that she's a genius, she's still a selfish child,\and got teased by her classmates.\Oh, really?\She probably acts like that because she thinks she's a genius. response:	Regarding my love rival, Aono Tsukune, I must defeat him thoroughly.
context: Nice one, Sendo Yukari!\I have heard rumors about that girl.\Kurum-chan too-\Although they say that she's a genius, she's still a selfish child,\and got teased by her classmates.\Oh, really?\She probably acts like that because she thinks she's a genius.\Regarding my love rival, Aono Tsukune, I must defeat him thoroughly. response:	A magic item, a Voodoo Doll!
context: I have heard rumors about that girl.\Kurum-chan too-\Although they say that she's a genius, she's still a selfish child,\and got teased by her classmates.\Oh, really?\She probably acts like that because she thinks she's a genius.\Regarding my love rival, Aono Tsukune, I must defeat him thoroughly.\A magic item, a Voodoo Doll! response:	Add Tsukune's hair to it.
