context: (THIS IS A BETA VERSION!) Today this person will conduct. response:	Chiaki-Sama!
context: After you graduate, you're going to go to Europe, right?\Europe or kiss?\Nodame-chan!\When I thought you were going to kiss him, suddenly launching Seiken Zuki\Because suddenly Milch was going to jump on me...\Which means he's an impostor afterall. Let's go home!\Chiaki, can you really conduct?\He can do it easily at leasure! response:	What easily at leasure!
context: Europe or kiss?\Nodame-chan!\When I thought you were going to kiss him, suddenly launching Seiken Zuki\Because suddenly Milch was going to jump on me...\Which means he's an impostor afterall. Let's go home!\Chiaki, can you really conduct?\He can do it easily at leasure!\What easily at leasure! response:	What piece is it?
context: Nodame-chan!\When I thought you were going to kiss him, suddenly launching Seiken Zuki\Because suddenly Milch was going to jump on me...\Which means he's an impostor afterall. Let's go home!\Chiaki, can you really conduct?\He can do it easily at leasure!\What easily at leasure!\What piece is it? response:	Beethoven's Symphony No 7.
context: When I thought you were going to kiss him, suddenly launching Seiken Zuki\Because suddenly Milch was going to jump on me...\Which means he's an impostor afterall. Let's go home!\Chiaki, can you really conduct?\He can do it easily at leasure!\What easily at leasure!\What piece is it?\Beethoven's Symphony No 7. response:	I have just studied it from Vieira Sensei's recording
context: Because suddenly Milch was going to jump on me...\Which means he's an impostor afterall. Let's go home!\Chiaki, can you really conduct?\He can do it easily at leasure!\What easily at leasure!\What piece is it?\Beethoven's Symphony No 7.\I have just studied it from Vieira Sensei's recording response:	Everybody, did you practice it already?
context: Which means he's an impostor afterall. Let's go home!\Chiaki, can you really conduct?\He can do it easily at leasure!\What easily at leasure!\What piece is it?\Beethoven's Symphony No 7.\I have just studied it from Vieira Sensei's recording\Everybody, did you practice it already? response:	Yes, because the piece is already decided
context: Chiaki, can you really conduct?\He can do it easily at leasure!\What easily at leasure!\What piece is it?\Beethoven's Symphony No 7.\I have just studied it from Vieira Sensei's recording\Everybody, did you practice it already?\Yes, because the piece is already decided response:	Yosh! First, let's do some tuning!
context: He can do it easily at leasure!\What easily at leasure!\What piece is it?\Beethoven's Symphony No 7.\I have just studied it from Vieira Sensei's recording\Everybody, did you practice it already?\Yes, because the piece is already decided\Yosh! First, let's do some tuning! response:	Oboe!
context: What easily at leasure!\What piece is it?\Beethoven's Symphony No 7.\I have just studied it from Vieira Sensei's recording\Everybody, did you practice it already?\Yes, because the piece is already decided\Yosh! First, let's do some tuning!\Oboe! response:	Yosh! Now Ore-Sama will...
context: What piece is it?\Beethoven's Symphony No 7.\I have just studied it from Vieira Sensei's recording\Everybody, did you practice it already?\Yes, because the piece is already decided\Yosh! First, let's do some tuning!\Oboe!\Yosh! Now Ore-Sama will... response:	Wait!
context: Beethoven's Symphony No 7.\I have just studied it from Vieira Sensei's recording\Everybody, did you practice it already?\Yes, because the piece is already decided\Yosh! First, let's do some tuning!\Oboe!\Yosh! Now Ore-Sama will...\Wait! response:	Why is Mine imitating a Concert Master?
context: I have just studied it from Vieira Sensei's recording\Everybody, did you practice it already?\Yes, because the piece is already decided\Yosh! First, let's do some tuning!\Oboe!\Yosh! Now Ore-Sama will...\Wait!\Why is Mine imitating a Concert Master? response:	I'm not imitating, I AM the Concert Master of S-Oke!
context: Everybody, did you practice it already?\Yes, because the piece is already decided\Yosh! First, let's do some tuning!\Oboe!\Yosh! Now Ore-Sama will...\Wait!\Why is Mine imitating a Concert Master?\I'm not imitating, I AM the Concert Master of S-Oke! response:	It's decided properly by competition!
context: Yes, because the piece is already decided\Yosh! First, let's do some tuning!\Oboe!\Yosh! Now Ore-Sama will...\Wait!\Why is Mine imitating a Concert Master?\I'm not imitating, I AM the Concert Master of S-Oke!\It's decided properly by competition! response:	Eh? It can't be!
context: Yosh! First, let's do some tuning!\Oboe!\Yosh! Now Ore-Sama will...\Wait!\Why is Mine imitating a Concert Master?\I'm not imitating, I AM the Concert Master of S-Oke!\It's decided properly by competition!\Eh? It can't be! response:	Errr...
context: Oboe!\Yosh! Now Ore-Sama will...\Wait!\Why is Mine imitating a Concert Master?\I'm not imitating, I AM the Concert Master of S-Oke!\It's decided properly by competition!\Eh? It can't be!\Errr... response:	This is the conductor's baton used in our lectures,
context: Yosh! Now Ore-Sama will...\Wait!\Why is Mine imitating a Concert Master?\I'm not imitating, I AM the Concert Master of S-Oke!\It's decided properly by competition!\Eh? It can't be!\Errr...\This is the conductor's baton used in our lectures, response:	you can use it if you like...
context: Wait!\Why is Mine imitating a Concert Master?\I'm not imitating, I AM the Concert Master of S-Oke!\It's decided properly by competition!\Eh? It can't be!\Errr...\This is the conductor's baton used in our lectures,\you can use it if you like... response:	No, please use mine...though it's a bit too big...
context: Why is Mine imitating a Concert Master?\I'm not imitating, I AM the Concert Master of S-Oke!\It's decided properly by competition!\Eh? It can't be!\Errr...\This is the conductor's baton used in our lectures,\you can use it if you like...\No, please use mine...though it's a bit too big... response:	Chiaki-Sama! Chiaki-Sama, no...no...look here, I have...
context: I'm not imitating, I AM the Concert Master of S-Oke!\It's decided properly by competition!\Eh? It can't be!\Errr...\This is the conductor's baton used in our lectures,\you can use it if you like...\No, please use mine...though it's a bit too big...\Chiaki-Sama! Chiaki-Sama, no...no...look here, I have... response:	Can he really conduct with only good-look?
context: It's decided properly by competition!\Eh? It can't be!\Errr...\This is the conductor's baton used in our lectures,\you can use it if you like...\No, please use mine...though it's a bit too big...\Chiaki-Sama! Chiaki-Sama, no...no...look here, I have...\Can he really conduct with only good-look? response:	He'll just act cool and wave that stick around. He'll make a good sight!
context: Eh? It can't be!\Errr...\This is the conductor's baton used in our lectures,\you can use it if you like...\No, please use mine...though it's a bit too big...\Chiaki-Sama! Chiaki-Sama, no...no...look here, I have...\Can he really conduct with only good-look?\He'll just act cool and wave that stick around. He'll make a good sight! response:	Please, Chiaki-San. Get back, you ugly!
context: Errr...\This is the conductor's baton used in our lectures,\you can use it if you like...\No, please use mine...though it's a bit too big...\Chiaki-Sama! Chiaki-Sama, no...no...look here, I have...\Can he really conduct with only good-look?\He'll just act cool and wave that stick around. He'll make a good sight!\Please, Chiaki-San. Get back, you ugly! response:	Although I'm a substitute for the practice, I can get to conduct an orchestra.
context: This is the conductor's baton used in our lectures,\you can use it if you like...\No, please use mine...though it's a bit too big...\Chiaki-Sama! Chiaki-Sama, no...no...look here, I have...\Can he really conduct with only good-look?\He'll just act cool and wave that stick around. He'll make a good sight!\Please, Chiaki-San. Get back, you ugly!\Although I'm a substitute for the practice, I can get to conduct an orchestra. response:	There's seldom any chance like this!
context: you can use it if you like...\No, please use mine...though it's a bit too big...\Chiaki-Sama! Chiaki-Sama, no...no...look here, I have...\Can he really conduct with only good-look?\He'll just act cool and wave that stick around. He'll make a good sight!\Please, Chiaki-San. Get back, you ugly!\Although I'm a substitute for the practice, I can get to conduct an orchestra.\There's seldom any chance like this! response:	Yosh! Let's begin!
context: No, please use mine...though it's a bit too big...\Chiaki-Sama! Chiaki-Sama, no...no...look here, I have...\Can he really conduct with only good-look?\He'll just act cool and wave that stick around. He'll make a good sight!\Please, Chiaki-San. Get back, you ugly!\Although I'm a substitute for the practice, I can get to conduct an orchestra.\There's seldom any chance like this!\Yosh! Let's begin! response:	Milch, please wake up!
context: Chiaki-Sama! Chiaki-Sama, no...no...look here, I have...\Can he really conduct with only good-look?\He'll just act cool and wave that stick around. He'll make a good sight!\Please, Chiaki-San. Get back, you ugly!\Although I'm a substitute for the practice, I can get to conduct an orchestra.\There's seldom any chance like this!\Yosh! Let's begin!\Milch, please wake up! response:	Chiaki-Senpai is going to conduct.
context: Can he really conduct with only good-look?\He'll just act cool and wave that stick around. He'll make a good sight!\Please, Chiaki-San. Get back, you ugly!\Although I'm a substitute for the practice, I can get to conduct an orchestra.\There's seldom any chance like this!\Yosh! Let's begin!\Milch, please wake up!\Chiaki-Senpai is going to conduct. response:	Though I've never seen him conduct before
context: He'll just act cool and wave that stick around. He'll make a good sight!\Please, Chiaki-San. Get back, you ugly!\Although I'm a substitute for the practice, I can get to conduct an orchestra.\There's seldom any chance like this!\Yosh! Let's begin!\Milch, please wake up!\Chiaki-Senpai is going to conduct.\Though I've never seen him conduct before response:	He always studies so hard, he must be amazing!
context: Please, Chiaki-San. Get back, you ugly!\Although I'm a substitute for the practice, I can get to conduct an orchestra.\There's seldom any chance like this!\Yosh! Let's begin!\Milch, please wake up!\Chiaki-Senpai is going to conduct.\Though I've never seen him conduct before\He always studies so hard, he must be amazing! response:	Milch will certainly come to like him too...
context: Although I'm a substitute for the practice, I can get to conduct an orchestra.\There's seldom any chance like this!\Yosh! Let's begin!\Milch, please wake up!\Chiaki-Senpai is going to conduct.\Though I've never seen him conduct before\He always studies so hard, he must be amazing!\Milch will certainly come to like him too... response:	Nooo!!
context: There's seldom any chance like this!\Yosh! Let's begin!\Milch, please wake up!\Chiaki-Senpai is going to conduct.\Though I've never seen him conduct before\He always studies so hard, he must be amazing!\Milch will certainly come to like him too...\Nooo!! response:	Ouch!
context: Yosh! Let's begin!\Milch, please wake up!\Chiaki-Senpai is going to conduct.\Though I've never seen him conduct before\He always studies so hard, he must be amazing!\Milch will certainly come to like him too...\Nooo!!\Ouch! response:	Beethoven's Symphony No 7
context: Milch, please wake up!\Chiaki-Senpai is going to conduct.\Though I've never seen him conduct before\He always studies so hard, he must be amazing!\Milch will certainly come to like him too...\Nooo!!\Ouch!\Beethoven's Symphony No 7 response:	although it's not major like Fate and No 9 (Fate = No 5)
context: Chiaki-Senpai is going to conduct.\Though I've never seen him conduct before\He always studies so hard, he must be amazing!\Milch will certainly come to like him too...\Nooo!!\Ouch!\Beethoven's Symphony No 7\although it's not major like Fate and No 9 (Fate = No 5) response:	the scale is big...
context: Though I've never seen him conduct before\He always studies so hard, he must be amazing!\Milch will certainly come to like him too...\Nooo!!\Ouch!\Beethoven's Symphony No 7\although it's not major like Fate and No 9 (Fate = No 5)\the scale is big... response:	a wonderful Symphony overflowing with uplifting spirit.
context: He always studies so hard, he must be amazing!\Milch will certainly come to like him too...\Nooo!!\Ouch!\Beethoven's Symphony No 7\although it's not major like Fate and No 9 (Fate = No 5)\the scale is big...\a wonderful Symphony overflowing with uplifting spirit. response:	What with this Oke???
context: Milch will certainly come to like him too...\Nooo!!\Ouch!\Beethoven's Symphony No 7\although it's not major like Fate and No 9 (Fate = No 5)\the scale is big...\a wonderful Symphony overflowing with uplifting spirit.\What with this Oke??? response:	EXTREMELY no good!
context: Nooo!!\Ouch!\Beethoven's Symphony No 7\although it's not major like Fate and No 9 (Fate = No 5)\the scale is big...\a wonderful Symphony overflowing with uplifting spirit.\What with this Oke???\EXTREMELY no good! response:	Even if it's the first try,
context: Ouch!\Beethoven's Symphony No 7\although it's not major like Fate and No 9 (Fate = No 5)\the scale is big...\a wonderful Symphony overflowing with uplifting spirit.\What with this Oke???\EXTREMELY no good!\Even if it's the first try, response:	can I allow such a pathetic piece of Beethoven's?
context: Beethoven's Symphony No 7\although it's not major like Fate and No 9 (Fate = No 5)\the scale is big...\a wonderful Symphony overflowing with uplifting spirit.\What with this Oke???\EXTREMELY no good!\Even if it's the first try,\can I allow such a pathetic piece of Beethoven's? response:	That Jiijii!
context: although it's not major like Fate and No 9 (Fate = No 5)\the scale is big...\a wonderful Symphony overflowing with uplifting spirit.\What with this Oke???\EXTREMELY no good!\Even if it's the first try,\can I allow such a pathetic piece of Beethoven's?\That Jiijii! response:	Didn't he just gather all the no-good and all the weird throughout the Academy?
context: the scale is big...\a wonderful Symphony overflowing with uplifting spirit.\What with this Oke???\EXTREMELY no good!\Even if it's the first try,\can I allow such a pathetic piece of Beethoven's?\That Jiijii!\Didn't he just gather all the no-good and all the weird throughout the Academy? response:	Stop! Stop!
context: a wonderful Symphony overflowing with uplifting spirit.\What with this Oke???\EXTREMELY no good!\Even if it's the first try,\can I allow such a pathetic piece of Beethoven's?\That Jiijii!\Didn't he just gather all the no-good and all the weird throughout the Academy?\Stop! Stop! response:	Hey everybody!
context: What with this Oke???\EXTREMELY no good!\Even if it's the first try,\can I allow such a pathetic piece of Beethoven's?\That Jiijii!\Didn't he just gather all the no-good and all the weird throughout the Academy?\Stop! Stop!\Hey everybody! response:	Let's play it more grandly!
context: EXTREMELY no good!\Even if it's the first try,\can I allow such a pathetic piece of Beethoven's?\That Jiijii!\Didn't he just gather all the no-good and all the weird throughout the Academy?\Stop! Stop!\Hey everybody!\Let's play it more grandly! response:	More intensely, more nobly...
context: Even if it's the first try,\can I allow such a pathetic piece of Beethoven's?\That Jiijii!\Didn't he just gather all the no-good and all the weird throughout the Academy?\Stop! Stop!\Hey everybody!\Let's play it more grandly!\More intensely, more nobly... response:	OK? Got it?
context: can I allow such a pathetic piece of Beethoven's?\That Jiijii!\Didn't he just gather all the no-good and all the weird throughout the Academy?\Stop! Stop!\Hey everybody!\Let's play it more grandly!\More intensely, more nobly...\OK? Got it? response:	What grandly?
context: That Jiijii!\Didn't he just gather all the no-good and all the weird throughout the Academy?\Stop! Stop!\Hey everybody!\Let's play it more grandly!\More intensely, more nobly...\OK? Got it?\What grandly? response:	Are you in a level proper to say that?
context: Didn't he just gather all the no-good and all the weird throughout the Academy?\Stop! Stop!\Hey everybody!\Let's play it more grandly!\More intensely, more nobly...\OK? Got it?\What grandly?\Are you in a level proper to say that? response:	Eh?
context: Stop! Stop!\Hey everybody!\Let's play it more grandly!\More intensely, more nobly...\OK? Got it?\What grandly?\Are you in a level proper to say that?\Eh? response:	You made a lot of mistakes, didn't you!
context: Hey everybody!\Let's play it more grandly!\More intensely, more nobly...\OK? Got it?\What grandly?\Are you in a level proper to say that?\Eh?\You made a lot of mistakes, didn't you! response:	The Concert Master confusing the orchestra, what are you trying to do?!
context: Let's play it more grandly!\More intensely, more nobly...\OK? Got it?\What grandly?\Are you in a level proper to say that?\Eh?\You made a lot of mistakes, didn't you!\The Concert Master confusing the orchestra, what are you trying to do?! response:	What a miserable Concert Master!
context: More intensely, more nobly...\OK? Got it?\What grandly?\Are you in a level proper to say that?\Eh?\You made a lot of mistakes, didn't you!\The Concert Master confusing the orchestra, what are you trying to do?!\What a miserable Concert Master! response:	Clarinet!
context: OK? Got it?\What grandly?\Are you in a level proper to say that?\Eh?\You made a lot of mistakes, didn't you!\The Concert Master confusing the orchestra, what are you trying to do?!\What a miserable Concert Master!\Clarinet! response:	The pitch is not at all in sync!
context: What grandly?\Are you in a level proper to say that?\Eh?\You made a lot of mistakes, didn't you!\The Concert Master confusing the orchestra, what are you trying to do?!\What a miserable Concert Master!\Clarinet!\The pitch is not at all in sync! response:	Trumpet!
context: Are you in a level proper to say that?\Eh?\You made a lot of mistakes, didn't you!\The Concert Master confusing the orchestra, what are you trying to do?!\What a miserable Concert Master!\Clarinet!\The pitch is not at all in sync!\Trumpet! response:	Your sound's too loud!
context: Eh?\You made a lot of mistakes, didn't you!\The Concert Master confusing the orchestra, what are you trying to do?!\What a miserable Concert Master!\Clarinet!\The pitch is not at all in sync!\Trumpet!\Your sound's too loud! response:	Horn!
context: You made a lot of mistakes, didn't you!\The Concert Master confusing the orchestra, what are you trying to do?!\What a miserable Concert Master!\Clarinet!\The pitch is not at all in sync!\Trumpet!\Your sound's too loud!\Horn! response:	Skip properly!
context: The Concert Master confusing the orchestra, what are you trying to do?!\What a miserable Concert Master!\Clarinet!\The pitch is not at all in sync!\Trumpet!\Your sound's too loud!\Horn!\Skip properly! response:	Viola!
context: What a miserable Concert Master!\Clarinet!\The pitch is not at all in sync!\Trumpet!\Your sound's too loud!\Horn!\Skip properly!\Viola! response:	You skipped too much on your own!
context: Clarinet!\The pitch is not at all in sync!\Trumpet!\Your sound's too loud!\Horn!\Skip properly!\Viola!\You skipped too much on your own! response:	Yes, YOU!
context: The pitch is not at all in sync!\Trumpet!\Your sound's too loud!\Horn!\Skip properly!\Viola!\You skipped too much on your own!\Yes, YOU! response:	Chiaki-Sama is wonderful!
context: Trumpet!\Your sound's too loud!\Horn!\Skip properly!\Viola!\You skipped too much on your own!\Yes, YOU!\Chiaki-Sama is wonderful! response:	He's like a real Conductor!
context: Your sound's too loud!\Horn!\Skip properly!\Viola!\You skipped too much on your own!\Yes, YOU!\Chiaki-Sama is wonderful!\He's like a real Conductor! response:	The way he waves the baton is also beautiful!
context: Horn!\Skip properly!\Viola!\You skipped too much on your own!\Yes, YOU!\Chiaki-Sama is wonderful!\He's like a real Conductor!\The way he waves the baton is also beautiful! response:	Dammit! Doing it in front of Kaoru-san...
context: Skip properly!\Viola!\You skipped too much on your own!\Yes, YOU!\Chiaki-Sama is wonderful!\He's like a real Conductor!\The way he waves the baton is also beautiful!\Dammit! Doing it in front of Kaoru-san... response:	Everybody can easily notice such obvious mistakes!
context: Viola!\You skipped too much on your own!\Yes, YOU!\Chiaki-Sama is wonderful!\He's like a real Conductor!\The way he waves the baton is also beautiful!\Dammit! Doing it in front of Kaoru-san...\Everybody can easily notice such obvious mistakes! response:	Eh, shall we play a little trick on him?
context: You skipped too much on your own!\Yes, YOU!\Chiaki-Sama is wonderful!\He's like a real Conductor!\The way he waves the baton is also beautiful!\Dammit! Doing it in front of Kaoru-san...\Everybody can easily notice such obvious mistakes!\Eh, shall we play a little trick on him? response:	Iet's exchange the oboe and the clarinet
context: Yes, YOU!\Chiaki-Sama is wonderful!\He's like a real Conductor!\The way he waves the baton is also beautiful!\Dammit! Doing it in front of Kaoru-san...\Everybody can easily notice such obvious mistakes!\Eh, shall we play a little trick on him?\Iet's exchange the oboe and the clarinet response:	Definitely he won't notice it!
context: Chiaki-Sama is wonderful!\He's like a real Conductor!\The way he waves the baton is also beautiful!\Dammit! Doing it in front of Kaoru-san...\Everybody can easily notice such obvious mistakes!\Eh, shall we play a little trick on him?\Iet's exchange the oboe and the clarinet\Definitely he won't notice it! response:	So many weird sounds...
context: He's like a real Conductor!\The way he waves the baton is also beautiful!\Dammit! Doing it in front of Kaoru-san...\Everybody can easily notice such obvious mistakes!\Eh, shall we play a little trick on him?\Iet's exchange the oboe and the clarinet\Definitely he won't notice it!\So many weird sounds... response:	I feel sorry for Chiaki-Sama!
context: The way he waves the baton is also beautiful!\Dammit! Doing it in front of Kaoru-san...\Everybody can easily notice such obvious mistakes!\Eh, shall we play a little trick on him?\Iet's exchange the oboe and the clarinet\Definitely he won't notice it!\So many weird sounds...\I feel sorry for Chiaki-Sama! response:	It's no use criticizing their individual technique
context: Dammit! Doing it in front of Kaoru-san...\Everybody can easily notice such obvious mistakes!\Eh, shall we play a little trick on him?\Iet's exchange the oboe and the clarinet\Definitely he won't notice it!\So many weird sounds...\I feel sorry for Chiaki-Sama!\It's no use criticizing their individual technique response:	this is a chance for me to conduct an orchestra
context: Everybody can easily notice such obvious mistakes!\Eh, shall we play a little trick on him?\Iet's exchange the oboe and the clarinet\Definitely he won't notice it!\So many weird sounds...\I feel sorry for Chiaki-Sama!\It's no use criticizing their individual technique\this is a chance for me to conduct an orchestra response:	I'll try to materialize this wonderful piece of Beethoven by my own way
context: Eh, shall we play a little trick on him?\Iet's exchange the oboe and the clarinet\Definitely he won't notice it!\So many weird sounds...\I feel sorry for Chiaki-Sama!\It's no use criticizing their individual technique\this is a chance for me to conduct an orchestra\I'll try to materialize this wonderful piece of Beethoven by my own way response:	Okay let's begin again from the start!
context: Iet's exchange the oboe and the clarinet\Definitely he won't notice it!\So many weird sounds...\I feel sorry for Chiaki-Sama!\It's no use criticizing their individual technique\this is a chance for me to conduct an orchestra\I'll try to materialize this wonderful piece of Beethoven by my own way\Okay let's begin again from the start! response:	Oboe, too high!
context: Definitely he won't notice it!\So many weird sounds...\I feel sorry for Chiaki-Sama!\It's no use criticizing their individual technique\this is a chance for me to conduct an orchestra\I'll try to materialize this wonderful piece of Beethoven by my own way\Okay let's begin again from the start!\Oboe, too high! response:	Clarinet, get in sync!
context: So many weird sounds...\I feel sorry for Chiaki-Sama!\It's no use criticizing their individual technique\this is a chance for me to conduct an orchestra\I'll try to materialize this wonderful piece of Beethoven by my own way\Okay let's begin again from the start!\Oboe, too high!\Clarinet, get in sync! response:	Horn, your pitch!
context: I feel sorry for Chiaki-Sama!\It's no use criticizing their individual technique\this is a chance for me to conduct an orchestra\I'll try to materialize this wonderful piece of Beethoven by my own way\Okay let's begin again from the start!\Oboe, too high!\Clarinet, get in sync!\Horn, your pitch! response:	Bass and clarinet! @@?@@
context: It's no use criticizing their individual technique\this is a chance for me to conduct an orchestra\I'll try to materialize this wonderful piece of Beethoven by my own way\Okay let's begin again from the start!\Oboe, too high!\Clarinet, get in sync!\Horn, your pitch!\Bass and clarinet! @@?@@ response:	Waaah, amazing!
context: this is a chance for me to conduct an orchestra\I'll try to materialize this wonderful piece of Beethoven by my own way\Okay let's begin again from the start!\Oboe, too high!\Clarinet, get in sync!\Horn, your pitch!\Bass and clarinet! @@?@@\Waaah, amazing! response:	Chiaki-Senpai can soon recognize whose sound each sound is...
context: I'll try to materialize this wonderful piece of Beethoven by my own way\Okay let's begin again from the start!\Oboe, too high!\Clarinet, get in sync!\Horn, your pitch!\Bass and clarinet! @@?@@\Waaah, amazing!\Chiaki-Senpai can soon recognize whose sound each sound is... response:	Milch
context: Okay let's begin again from the start!\Oboe, too high!\Clarinet, get in sync!\Horn, your pitch!\Bass and clarinet! @@?@@\Waaah, amazing!\Chiaki-Senpai can soon recognize whose sound each sound is...\Milch response:	Violin! Pianissimo!
context: Oboe, too high!\Clarinet, get in sync!\Horn, your pitch!\Bass and clarinet! @@?@@\Waaah, amazing!\Chiaki-Senpai can soon recognize whose sound each sound is...\Milch\Violin! Pianissimo! response:	Viola, faster!
context: Clarinet, get in sync!\Horn, your pitch!\Bass and clarinet! @@?@@\Waaah, amazing!\Chiaki-Senpai can soon recognize whose sound each sound is...\Milch\Violin! Pianissimo!\Viola, faster! response:	Second violin, keep fortissimo!
context: Horn, your pitch!\Bass and clarinet! @@?@@\Waaah, amazing!\Chiaki-Senpai can soon recognize whose sound each sound is...\Milch\Violin! Pianissimo!\Viola, faster!\Second violin, keep fortissimo! response:	Clarinet, don't lower the sound!
context: Bass and clarinet! @@?@@\Waaah, amazing!\Chiaki-Senpai can soon recognize whose sound each sound is...\Milch\Violin! Pianissimo!\Viola, faster!\Second violin, keep fortissimo!\Clarinet, don't lower the sound! response:	How can I stand doing it!
context: Waaah, amazing!\Chiaki-Senpai can soon recognize whose sound each sound is...\Milch\Violin! Pianissimo!\Viola, faster!\Second violin, keep fortissimo!\Clarinet, don't lower the sound!\How can I stand doing it! response:	They didn't pay attention to my conducting
context: Chiaki-Senpai can soon recognize whose sound each sound is...\Milch\Violin! Pianissimo!\Viola, faster!\Second violin, keep fortissimo!\Clarinet, don't lower the sound!\How can I stand doing it!\They didn't pay attention to my conducting response:	they have no ability to learn
context: Milch\Violin! Pianissimo!\Viola, faster!\Second violin, keep fortissimo!\Clarinet, don't lower the sound!\How can I stand doing it!\They didn't pay attention to my conducting\they have no ability to learn response:	on top of that, playing a stupid trick on me too
context: Violin! Pianissimo!\Viola, faster!\Second violin, keep fortissimo!\Clarinet, don't lower the sound!\How can I stand doing it!\They didn't pay attention to my conducting\they have no ability to learn\on top of that, playing a stupid trick on me too response:	Such a terrible Oke like this!
context: Viola, faster!\Second violin, keep fortissimo!\Clarinet, don't lower the sound!\How can I stand doing it!\They didn't pay attention to my conducting\they have no ability to learn\on top of that, playing a stupid trick on me too\Such a terrible Oke like this! response:	Okay until here's enough. Chiaki's a failure.
context: Second violin, keep fortissimo!\Clarinet, don't lower the sound!\How can I stand doing it!\They didn't pay attention to my conducting\they have no ability to learn\on top of that, playing a stupid trick on me too\Such a terrible Oke like this!\Okay until here's enough. Chiaki's a failure. response:	Quick, go down!
context: Clarinet, don't lower the sound!\How can I stand doing it!\They didn't pay attention to my conducting\they have no ability to learn\on top of that, playing a stupid trick on me too\Such a terrible Oke like this!\Okay until here's enough. Chiaki's a failure.\Quick, go down! response:	Huh?
context: How can I stand doing it!\They didn't pay attention to my conducting\they have no ability to learn\on top of that, playing a stupid trick on me too\Such a terrible Oke like this!\Okay until here's enough. Chiaki's a failure.\Quick, go down!\Huh? response:	Everybody, sorry to make you wait!
context: They didn't pay attention to my conducting\they have no ability to learn\on top of that, playing a stupid trick on me too\Such a terrible Oke like this!\Okay until here's enough. Chiaki's a failure.\Quick, go down!\Huh?\Everybody, sorry to make you wait! response:	Here's the appearance of the leading role!
