context: Kaoru-san... response:	So we're in the same class this year, too? I'm glad.
context: Nothin'.\He isn't used to being split into a different class from his friends.\This is Sentaro's first time.\Huh...\Um... You've got a petal in your hair...\That's okay. I'll get it myself.\Nishimi-kun!\I'm so happy we're in the same class again! response:	Are we?
context: He isn't used to being split into a different class from his friends.\This is Sentaro's first time.\Huh...\Um... You've got a petal in your hair...\That's okay. I'll get it myself.\Nishimi-kun!\I'm so happy we're in the same class again!\Are we? response:	Th-That's cruel... We just did self-introductions in there...
context: This is Sentaro's first time.\Huh...\Um... You've got a petal in your hair...\That's okay. I'll get it myself.\Nishimi-kun!\I'm so happy we're in the same class again!\Are we?\Th-That's cruel... We just did self-introductions in there... response:	Oh, that's right.
context: Huh...\Um... You've got a petal in your hair...\That's okay. I'll get it myself.\Nishimi-kun!\I'm so happy we're in the same class again!\Are we?\Th-That's cruel... We just did self-introductions in there...\Oh, that's right. response:	You set up his ticket for the sleeper, too, didn't you?
context: Um... You've got a petal in your hair...\That's okay. I'll get it myself.\Nishimi-kun!\I'm so happy we're in the same class again!\Are we?\Th-That's cruel... We just did self-introductions in there...\Oh, that's right.\You set up his ticket for the sleeper, too, didn't you? response:	S-Sorry about that!
context: That's okay. I'll get it myself.\Nishimi-kun!\I'm so happy we're in the same class again!\Are we?\Th-That's cruel... We just did self-introductions in there...\Oh, that's right.\You set up his ticket for the sleeper, too, didn't you?\S-Sorry about that! response:	He said to keep it a secret from you...
context: Nishimi-kun!\I'm so happy we're in the same class again!\Are we?\Th-That's cruel... We just did self-introductions in there...\Oh, that's right.\You set up his ticket for the sleeper, too, didn't you?\S-Sorry about that!\He said to keep it a secret from you... response:	Because of that, I had a nice trip. Thanks.
context: I'm so happy we're in the same class again!\Are we?\Th-That's cruel... We just did self-introductions in there...\Oh, that's right.\You set up his ticket for the sleeper, too, didn't you?\S-Sorry about that!\He said to keep it a secret from you...\Because of that, I had a nice trip. Thanks. response:	It's finally over!
context: Are we?\Th-That's cruel... We just did self-introductions in there...\Oh, that's right.\You set up his ticket for the sleeper, too, didn't you?\S-Sorry about that!\He said to keep it a secret from you...\Because of that, I had a nice trip. Thanks.\It's finally over! response:	We should've decided the class rep by drawing lots in the first place...
context: Th-That's cruel... We just did self-introductions in there...\Oh, that's right.\You set up his ticket for the sleeper, too, didn't you?\S-Sorry about that!\He said to keep it a secret from you...\Because of that, I had a nice trip. Thanks.\It's finally over!\We should've decided the class rep by drawing lots in the first place... response:	No kiddin'!
context: Oh, that's right.\You set up his ticket for the sleeper, too, didn't you?\S-Sorry about that!\He said to keep it a secret from you...\Because of that, I had a nice trip. Thanks.\It's finally over!\We should've decided the class rep by drawing lots in the first place...\No kiddin'! response:	Hey, I heard there's already a fight in class 10!
context: You set up his ticket for the sleeper, too, didn't you?\S-Sorry about that!\He said to keep it a secret from you...\Because of that, I had a nice trip. Thanks.\It's finally over!\We should've decided the class rep by drawing lots in the first place...\No kiddin'!\Hey, I heard there's already a fight in class 10! response:	I'm just glad I wasn't put in there!
context: S-Sorry about that!\He said to keep it a secret from you...\Because of that, I had a nice trip. Thanks.\It's finally over!\We should've decided the class rep by drawing lots in the first place...\No kiddin'!\Hey, I heard there's already a fight in class 10!\I'm just glad I wasn't put in there! response:	Hey, are you done already, Boxing Club?!
context: He said to keep it a secret from you...\Because of that, I had a nice trip. Thanks.\It's finally over!\We should've decided the class rep by drawing lots in the first place...\No kiddin'!\Hey, I heard there's already a fight in class 10!\I'm just glad I wasn't put in there!\Hey, are you done already, Boxing Club?! response:	I thought you had a little more spirit than that.
context: Because of that, I had a nice trip. Thanks.\It's finally over!\We should've decided the class rep by drawing lots in the first place...\No kiddin'!\Hey, I heard there's already a fight in class 10!\I'm just glad I wasn't put in there!\Hey, are you done already, Boxing Club?!\I thought you had a little more spirit than that. response:	Sen!
context: It's finally over!\We should've decided the class rep by drawing lots in the first place...\No kiddin'!\Hey, I heard there's already a fight in class 10!\I'm just glad I wasn't put in there!\Hey, are you done already, Boxing Club?!\I thought you had a little more spirit than that.\Sen! response:	Hi, Richie!
context: We should've decided the class rep by drawing lots in the first place...\No kiddin'!\Hey, I heard there's already a fight in class 10!\I'm just glad I wasn't put in there!\Hey, are you done already, Boxing Club?!\I thought you had a little more spirit than that.\Sen!\Hi, Richie! response:	Don't give me Hi!
context: No kiddin'!\Hey, I heard there's already a fight in class 10!\I'm just glad I wasn't put in there!\Hey, are you done already, Boxing Club?!\I thought you had a little more spirit than that.\Sen!\Hi, Richie!\Don't give me Hi! response:	Why are you fighting on the first day of the new school year?!
context: Hey, I heard there's already a fight in class 10!\I'm just glad I wasn't put in there!\Hey, are you done already, Boxing Club?!\I thought you had a little more spirit than that.\Sen!\Hi, Richie!\Don't give me Hi!\Why are you fighting on the first day of the new school year?! response:	Just gettin' a little exercise...
context: I'm just glad I wasn't put in there!\Hey, are you done already, Boxing Club?!\I thought you had a little more spirit than that.\Sen!\Hi, Richie!\Don't give me Hi!\Why are you fighting on the first day of the new school year?!\Just gettin' a little exercise... response:	That was fun. Been too long since I had a fight.
context: Hey, are you done already, Boxing Club?!\I thought you had a little more spirit than that.\Sen!\Hi, Richie!\Don't give me Hi!\Why are you fighting on the first day of the new school year?!\Just gettin' a little exercise...\That was fun. Been too long since I had a fight. response:	Hey, Sen! Are you listening to me?!
context: I thought you had a little more spirit than that.\Sen!\Hi, Richie!\Don't give me Hi!\Why are you fighting on the first day of the new school year?!\Just gettin' a little exercise...\That was fun. Been too long since I had a fight.\Hey, Sen! Are you listening to me?! response:	Hey!
context: Sen!\Hi, Richie!\Don't give me Hi!\Why are you fighting on the first day of the new school year?!\Just gettin' a little exercise...\That was fun. Been too long since I had a fight.\Hey, Sen! Are you listening to me?!\Hey! response:	W-What?!
context: Hi, Richie!\Don't give me Hi!\Why are you fighting on the first day of the new school year?!\Just gettin' a little exercise...\That was fun. Been too long since I had a fight.\Hey, Sen! Are you listening to me?!\Hey!\W-What?! response:	W-Wait a minute!
context: Don't give me Hi!\Why are you fighting on the first day of the new school year?!\Just gettin' a little exercise...\That was fun. Been too long since I had a fight.\Hey, Sen! Are you listening to me?!\Hey!\W-What?!\W-Wait a minute! response:	Don't go!
context: Why are you fighting on the first day of the new school year?!\Just gettin' a little exercise...\That was fun. Been too long since I had a fight.\Hey, Sen! Are you listening to me?!\Hey!\W-What?!\W-Wait a minute!\Don't go! response:	What do you want?
context: Just gettin' a little exercise...\That was fun. Been too long since I had a fight.\Hey, Sen! Are you listening to me?!\Hey!\W-What?!\W-Wait a minute!\Don't go!\What do you want? response:	You're going over there with that banged-up face?!
context: That was fun. Been too long since I had a fight.\Hey, Sen! Are you listening to me?!\Hey!\W-What?!\W-Wait a minute!\Don't go!\What do you want?\You're going over there with that banged-up face?! response:	Is it that bad?
context: Hey, Sen! Are you listening to me?!\Hey!\W-What?!\W-Wait a minute!\Don't go!\What do you want?\You're going over there with that banged-up face?!\Is it that bad? response:	Ri-chan.
context: Hey!\W-What?!\W-Wait a minute!\Don't go!\What do you want?\You're going over there with that banged-up face?!\Is it that bad?\Ri-chan. response:	Sorry, but would you take this guy to the infirmary and patch him up?
context: W-What?!\W-Wait a minute!\Don't go!\What do you want?\You're going over there with that banged-up face?!\Is it that bad?\Ri-chan.\Sorry, but would you take this guy to the infirmary and patch him up? response:	Alright, go! Go!
context: W-Wait a minute!\Don't go!\What do you want?\You're going over there with that banged-up face?!\Is it that bad?\Ri-chan.\Sorry, but would you take this guy to the infirmary and patch him up?\Alright, go! Go! response:	Ri-chan, he's in your hands.
context: Don't go!\What do you want?\You're going over there with that banged-up face?!\Is it that bad?\Ri-chan.\Sorry, but would you take this guy to the infirmary and patch him up?\Alright, go! Go!\Ri-chan, he's in your hands. response:	Okay...
context: What do you want?\You're going over there with that banged-up face?!\Is it that bad?\Ri-chan.\Sorry, but would you take this guy to the infirmary and patch him up?\Alright, go! Go!\Ri-chan, he's in your hands.\Okay... response:	It still hurts a little...
context: You're going over there with that banged-up face?!\Is it that bad?\Ri-chan.\Sorry, but would you take this guy to the infirmary and patch him up?\Alright, go! Go!\Ri-chan, he's in your hands.\Okay...\It still hurts a little... response:	The pain will go away and I should be able to relax and smile again.
context: Is it that bad?\Ri-chan.\Sorry, but would you take this guy to the infirmary and patch him up?\Alright, go! Go!\Ri-chan, he's in your hands.\Okay...\It still hurts a little...\The pain will go away and I should be able to relax and smile again. response:	I'm going to submit this painting to this year's public exhibition.
context: Ri-chan.\Sorry, but would you take this guy to the infirmary and patch him up?\Alright, go! Go!\Ri-chan, he's in your hands.\Okay...\It still hurts a little...\The pain will go away and I should be able to relax and smile again.\I'm going to submit this painting to this year's public exhibition. response:	This is the one Sentaro-kun modeled for.
context: Sorry, but would you take this guy to the infirmary and patch him up?\Alright, go! Go!\Ri-chan, he's in your hands.\Okay...\It still hurts a little...\The pain will go away and I should be able to relax and smile again.\I'm going to submit this painting to this year's public exhibition.\This is the one Sentaro-kun modeled for. response:	Um... Uh...
context: Alright, go! Go!\Ri-chan, he's in your hands.\Okay...\It still hurts a little...\The pain will go away and I should be able to relax and smile again.\I'm going to submit this painting to this year's public exhibition.\This is the one Sentaro-kun modeled for.\Um... Uh... response:	Oh, no, that's okay. You don't have to force yourself to give me feedback.
context: Ri-chan, he's in your hands.\Okay...\It still hurts a little...\The pain will go away and I should be able to relax and smile again.\I'm going to submit this painting to this year's public exhibition.\This is the one Sentaro-kun modeled for.\Um... Uh...\Oh, no, that's okay. You don't have to force yourself to give me feedback. response:	S-Sorry. I don't know much about art...
context: Okay...\It still hurts a little...\The pain will go away and I should be able to relax and smile again.\I'm going to submit this painting to this year's public exhibition.\This is the one Sentaro-kun modeled for.\Um... Uh...\Oh, no, that's okay. You don't have to force yourself to give me feedback.\S-Sorry. I don't know much about art... response:	Oh? That's a strange thing for you to say.
context: It still hurts a little...\The pain will go away and I should be able to relax and smile again.\I'm going to submit this painting to this year's public exhibition.\This is the one Sentaro-kun modeled for.\Um... Uh...\Oh, no, that's okay. You don't have to force yourself to give me feedback.\S-Sorry. I don't know much about art...\Oh? That's a strange thing for you to say. response:	After all, painting and jazz are relatively close cousins, aren't they?
context: The pain will go away and I should be able to relax and smile again.\I'm going to submit this painting to this year's public exhibition.\This is the one Sentaro-kun modeled for.\Um... Uh...\Oh, no, that's okay. You don't have to force yourself to give me feedback.\S-Sorry. I don't know much about art...\Oh? That's a strange thing for you to say.\After all, painting and jazz are relatively close cousins, aren't they? response:	A painting is created on a space called the canvas,
context: I'm going to submit this painting to this year's public exhibition.\This is the one Sentaro-kun modeled for.\Um... Uh...\Oh, no, that's okay. You don't have to force yourself to give me feedback.\S-Sorry. I don't know much about art...\Oh? That's a strange thing for you to say.\After all, painting and jazz are relatively close cousins, aren't they?\A painting is created on a space called the canvas, response:	while jazz is created during a time called the performance.
context: This is the one Sentaro-kun modeled for.\Um... Uh...\Oh, no, that's okay. You don't have to force yourself to give me feedback.\S-Sorry. I don't know much about art...\Oh? That's a strange thing for you to say.\After all, painting and jazz are relatively close cousins, aren't they?\A painting is created on a space called the canvas,\while jazz is created during a time called the performance. response:	It's like etching your living self into that place and time.
context: Um... Uh...\Oh, no, that's okay. You don't have to force yourself to give me feedback.\S-Sorry. I don't know much about art...\Oh? That's a strange thing for you to say.\After all, painting and jazz are relatively close cousins, aren't they?\A painting is created on a space called the canvas,\while jazz is created during a time called the performance.\It's like etching your living self into that place and time. response:	Or something like that. I was only repeating someone.
context: Oh, no, that's okay. You don't have to force yourself to give me feedback.\S-Sorry. I don't know much about art...\Oh? That's a strange thing for you to say.\After all, painting and jazz are relatively close cousins, aren't they?\A painting is created on a space called the canvas,\while jazz is created during a time called the performance.\It's like etching your living self into that place and time.\Or something like that. I was only repeating someone. response:	Junichi-san was talking about that when I went down to the basement.
context: S-Sorry. I don't know much about art...\Oh? That's a strange thing for you to say.\After all, painting and jazz are relatively close cousins, aren't they?\A painting is created on a space called the canvas,\while jazz is created during a time called the performance.\It's like etching your living self into that place and time.\Or something like that. I was only repeating someone.\Junichi-san was talking about that when I went down to the basement. response:	Fukahori Yurika
context: Oh? That's a strange thing for you to say.\After all, painting and jazz are relatively close cousins, aren't they?\A painting is created on a space called the canvas,\while jazz is created during a time called the performance.\It's like etching your living self into that place and time.\Or something like that. I was only repeating someone.\Junichi-san was talking about that when I went down to the basement.\Fukahori Yurika response:	It's very interesting to listen to him.
context: After all, painting and jazz are relatively close cousins, aren't they?\A painting is created on a space called the canvas,\while jazz is created during a time called the performance.\It's like etching your living self into that place and time.\Or something like that. I was only repeating someone.\Junichi-san was talking about that when I went down to the basement.\Fukahori Yurika\It's very interesting to listen to him. response:	I'd like to talk to him more about all kinds of things.
context: A painting is created on a space called the canvas,\while jazz is created during a time called the performance.\It's like etching your living self into that place and time.\Or something like that. I was only repeating someone.\Junichi-san was talking about that when I went down to the basement.\Fukahori Yurika\It's very interesting to listen to him.\I'd like to talk to him more about all kinds of things. response:	Um... I went to Tokyo during spring break...
context: while jazz is created during a time called the performance.\It's like etching your living self into that place and time.\Or something like that. I was only repeating someone.\Junichi-san was talking about that when I went down to the basement.\Fukahori Yurika\It's very interesting to listen to him.\I'd like to talk to him more about all kinds of things.\Um... I went to Tokyo during spring break... response:	And I dropped by Brother Jun's boarding house, but he wasn't there...
context: It's like etching your living self into that place and time.\Or something like that. I was only repeating someone.\Junichi-san was talking about that when I went down to the basement.\Fukahori Yurika\It's very interesting to listen to him.\I'd like to talk to him more about all kinds of things.\Um... I went to Tokyo during spring break...\And I dropped by Brother Jun's boarding house, but he wasn't there... response:	Oh, that's too bad...
context: Or something like that. I was only repeating someone.\Junichi-san was talking about that when I went down to the basement.\Fukahori Yurika\It's very interesting to listen to him.\I'd like to talk to him more about all kinds of things.\Um... I went to Tokyo during spring break...\And I dropped by Brother Jun's boarding house, but he wasn't there...\Oh, that's too bad... response:	Apparently, he hadn't been back for a long time,
context: Junichi-san was talking about that when I went down to the basement.\Fukahori Yurika\It's very interesting to listen to him.\I'd like to talk to him more about all kinds of things.\Um... I went to Tokyo during spring break...\And I dropped by Brother Jun's boarding house, but he wasn't there...\Oh, that's too bad...\Apparently, he hadn't been back for a long time, response:	so there were a lot of letters stuffed in his mail slot...
context: Fukahori Yurika\It's very interesting to listen to him.\I'd like to talk to him more about all kinds of things.\Um... I went to Tokyo during spring break...\And I dropped by Brother Jun's boarding house, but he wasn't there...\Oh, that's too bad...\Apparently, he hadn't been back for a long time,\so there were a lot of letters stuffed in his mail slot... response:	Someone said he might be staying over at another person's place...
context: It's very interesting to listen to him.\I'd like to talk to him more about all kinds of things.\Um... I went to Tokyo during spring break...\And I dropped by Brother Jun's boarding house, but he wasn't there...\Oh, that's too bad...\Apparently, he hadn't been back for a long time,\so there were a lot of letters stuffed in his mail slot...\Someone said he might be staying over at another person's place... response:	Oh...
context: I'd like to talk to him more about all kinds of things.\Um... I went to Tokyo during spring break...\And I dropped by Brother Jun's boarding house, but he wasn't there...\Oh, that's too bad...\Apparently, he hadn't been back for a long time,\so there were a lot of letters stuffed in his mail slot...\Someone said he might be staying over at another person's place...\Oh... response:	One of those letters may have been important...
context: Um... I went to Tokyo during spring break...\And I dropped by Brother Jun's boarding house, but he wasn't there...\Oh, that's too bad...\Apparently, he hadn't been back for a long time,\so there were a lot of letters stuffed in his mail slot...\Someone said he might be staying over at another person's place...\Oh...\One of those letters may have been important... response:	I wonder where he went.
context: And I dropped by Brother Jun's boarding house, but he wasn't there...\Oh, that's too bad...\Apparently, he hadn't been back for a long time,\so there were a lot of letters stuffed in his mail slot...\Someone said he might be staying over at another person's place...\Oh...\One of those letters may have been important...\I wonder where he went. response:	Aren't you done yet?
context: Oh, that's too bad...\Apparently, he hadn't been back for a long time,\so there were a lot of letters stuffed in his mail slot...\Someone said he might be staying over at another person's place...\Oh...\One of those letters may have been important...\I wonder where he went.\Aren't you done yet? response:	Just put a little spit on cuts like these and they'll heal up fine.
context: Apparently, he hadn't been back for a long time,\so there were a lot of letters stuffed in his mail slot...\Someone said he might be staying over at another person's place...\Oh...\One of those letters may have been important...\I wonder where he went.\Aren't you done yet?\Just put a little spit on cuts like these and they'll heal up fine. response:	What'll you do if it gets infected?
context: so there were a lot of letters stuffed in his mail slot...\Someone said he might be staying over at another person's place...\Oh...\One of those letters may have been important...\I wonder where he went.\Aren't you done yet?\Just put a little spit on cuts like these and they'll heal up fine.\What'll you do if it gets infected? response:	Come on, close your eyes.
context: Someone said he might be staying over at another person's place...\Oh...\One of those letters may have been important...\I wonder where he went.\Aren't you done yet?\Just put a little spit on cuts like these and they'll heal up fine.\What'll you do if it gets infected?\Come on, close your eyes. response:	W-What?
context: Oh...\One of those letters may have been important...\I wonder where he went.\Aren't you done yet?\Just put a little spit on cuts like these and they'll heal up fine.\What'll you do if it gets infected?\Come on, close your eyes.\W-What? response:	Ri'ko... I'm glad you're in the same class as Richie.
context: One of those letters may have been important...\I wonder where he went.\Aren't you done yet?\Just put a little spit on cuts like these and they'll heal up fine.\What'll you do if it gets infected?\Come on, close your eyes.\W-What?\Ri'ko... I'm glad you're in the same class as Richie. response:	From now on, would you look after him more instead of me?
context: I wonder where he went.\Aren't you done yet?\Just put a little spit on cuts like these and they'll heal up fine.\What'll you do if it gets infected?\Come on, close your eyes.\W-What?\Ri'ko... I'm glad you're in the same class as Richie.\From now on, would you look after him more instead of me? response:	Um, well, I'd better get going...
context: Aren't you done yet?\Just put a little spit on cuts like these and they'll heal up fine.\What'll you do if it gets infected?\Come on, close your eyes.\W-What?\Ri'ko... I'm glad you're in the same class as Richie.\From now on, would you look after him more instead of me?\Um, well, I'd better get going... response:	Richie! Glad I caught up to you before you went home...
context: Just put a little spit on cuts like these and they'll heal up fine.\What'll you do if it gets infected?\Come on, close your eyes.\W-What?\Ri'ko... I'm glad you're in the same class as Richie.\From now on, would you look after him more instead of me?\Um, well, I'd better get going...\Richie! Glad I caught up to you before you went home... response:	Are those tears?
context: What'll you do if it gets infected?\Come on, close your eyes.\W-What?\Ri'ko... I'm glad you're in the same class as Richie.\From now on, would you look after him more instead of me?\Um, well, I'd better get going...\Richie! Glad I caught up to you before you went home...\Are those tears? response:	This glob looks like a tear...
context: Come on, close your eyes.\W-What?\Ri'ko... I'm glad you're in the same class as Richie.\From now on, would you look after him more instead of me?\Um, well, I'd better get going...\Richie! Glad I caught up to you before you went home...\Are those tears?\This glob looks like a tear... response:	That's the tear of a broken heart.
context: W-What?\Ri'ko... I'm glad you're in the same class as Richie.\From now on, would you look after him more instead of me?\Um, well, I'd better get going...\Richie! Glad I caught up to you before you went home...\Are those tears?\This glob looks like a tear...\That's the tear of a broken heart. response:	In Greek mythology, the god Apollo
context: Ri'ko... I'm glad you're in the same class as Richie.\From now on, would you look after him more instead of me?\Um, well, I'd better get going...\Richie! Glad I caught up to you before you went home...\Are those tears?\This glob looks like a tear...\That's the tear of a broken heart.\In Greek mythology, the god Apollo response:	fell in love with Daphne, the daughter of a river god.
context: From now on, would you look after him more instead of me?\Um, well, I'd better get going...\Richie! Glad I caught up to you before you went home...\Are those tears?\This glob looks like a tear...\That's the tear of a broken heart.\In Greek mythology, the god Apollo\fell in love with Daphne, the daughter of a river god. response:	He became obsessed and chased her all around, but she wouldn't stop running.
context: Um, well, I'd better get going...\Richie! Glad I caught up to you before you went home...\Are those tears?\This glob looks like a tear...\That's the tear of a broken heart.\In Greek mythology, the god Apollo\fell in love with Daphne, the daughter of a river god.\He became obsessed and chased her all around, but she wouldn't stop running. response:	At last, she gave Apollo the ultimate rejection
context: Richie! Glad I caught up to you before you went home...\Are those tears?\This glob looks like a tear...\That's the tear of a broken heart.\In Greek mythology, the god Apollo\fell in love with Daphne, the daughter of a river god.\He became obsessed and chased her all around, but she wouldn't stop running.\At last, she gave Apollo the ultimate rejection response:	by turning into a bay laurel tree.
context: Are those tears?\This glob looks like a tear...\That's the tear of a broken heart.\In Greek mythology, the god Apollo\fell in love with Daphne, the daughter of a river god.\He became obsessed and chased her all around, but she wouldn't stop running.\At last, she gave Apollo the ultimate rejection\by turning into a bay laurel tree. response:	What an awful case of heartbreak!
context: This glob looks like a tear...\That's the tear of a broken heart.\In Greek mythology, the god Apollo\fell in love with Daphne, the daughter of a river god.\He became obsessed and chased her all around, but she wouldn't stop running.\At last, she gave Apollo the ultimate rejection\by turning into a bay laurel tree.\What an awful case of heartbreak! response:	Of course he would cry!
context: That's the tear of a broken heart.\In Greek mythology, the god Apollo\fell in love with Daphne, the daughter of a river god.\He became obsessed and chased her all around, but she wouldn't stop running.\At last, she gave Apollo the ultimate rejection\by turning into a bay laurel tree.\What an awful case of heartbreak!\Of course he would cry! response:	He's so grief-stricken that he fashions a wreath out of the laurel tree!
context: In Greek mythology, the god Apollo\fell in love with Daphne, the daughter of a river god.\He became obsessed and chased her all around, but she wouldn't stop running.\At last, she gave Apollo the ultimate rejection\by turning into a bay laurel tree.\What an awful case of heartbreak!\Of course he would cry!\He's so grief-stricken that he fashions a wreath out of the laurel tree! response:	Wh...
context: fell in love with Daphne, the daughter of a river god.\He became obsessed and chased her all around, but she wouldn't stop running.\At last, she gave Apollo the ultimate rejection\by turning into a bay laurel tree.\What an awful case of heartbreak!\Of course he would cry!\He's so grief-stricken that he fashions a wreath out of the laurel tree!\Wh... response:	Who's he?
context: He became obsessed and chased her all around, but she wouldn't stop running.\At last, she gave Apollo the ultimate rejection\by turning into a bay laurel tree.\What an awful case of heartbreak!\Of course he would cry!\He's so grief-stricken that he fashions a wreath out of the laurel tree!\Wh...\Who's he? response:	This is Matsuoka Seiji-kun, a second-year student.
context: At last, she gave Apollo the ultimate rejection\by turning into a bay laurel tree.\What an awful case of heartbreak!\Of course he would cry!\He's so grief-stricken that he fashions a wreath out of the laurel tree!\Wh...\Who's he?\This is Matsuoka Seiji-kun, a second-year student. response:	He's the Great Hope of East High's Art Club.
context: by turning into a bay laurel tree.\What an awful case of heartbreak!\Of course he would cry!\He's so grief-stricken that he fashions a wreath out of the laurel tree!\Wh...\Who's he?\This is Matsuoka Seiji-kun, a second-year student.\He's the Great Hope of East High's Art Club. response:	Oh, stop it! You're embarrassing me!
context: What an awful case of heartbreak!\Of course he would cry!\He's so grief-stricken that he fashions a wreath out of the laurel tree!\Wh...\Who's he?\This is Matsuoka Seiji-kun, a second-year student.\He's the Great Hope of East High's Art Club.\Oh, stop it! You're embarrassing me! response:	Kawabuchi Sentaro-kun...
context: Of course he would cry!\He's so grief-stricken that he fashions a wreath out of the laurel tree!\Wh...\Who's he?\This is Matsuoka Seiji-kun, a second-year student.\He's the Great Hope of East High's Art Club.\Oh, stop it! You're embarrassing me!\Kawabuchi Sentaro-kun... response:	We're both in class 10, huh?
context: He's so grief-stricken that he fashions a wreath out of the laurel tree!\Wh...\Who's he?\This is Matsuoka Seiji-kun, a second-year student.\He's the Great Hope of East High's Art Club.\Oh, stop it! You're embarrassing me!\Kawabuchi Sentaro-kun...\We're both in class 10, huh? response:	Nice to meet you!
context: Wh...\Who's he?\This is Matsuoka Seiji-kun, a second-year student.\He's the Great Hope of East High's Art Club.\Oh, stop it! You're embarrassing me!\Kawabuchi Sentaro-kun...\We're both in class 10, huh?\Nice to meet you! response:	Richie... Do you remember that guy from last year?
context: Who's he?\This is Matsuoka Seiji-kun, a second-year student.\He's the Great Hope of East High's Art Club.\Oh, stop it! You're embarrassing me!\Kawabuchi Sentaro-kun...\We're both in class 10, huh?\Nice to meet you!\Richie... Do you remember that guy from last year? response:	Nope...
context: This is Matsuoka Seiji-kun, a second-year student.\He's the Great Hope of East High's Art Club.\Oh, stop it! You're embarrassing me!\Kawabuchi Sentaro-kun...\We're both in class 10, huh?\Nice to meet you!\Richie... Do you remember that guy from last year?\Nope... response:	I'm gettin' the chills...
context: He's the Great Hope of East High's Art Club.\Oh, stop it! You're embarrassing me!\Kawabuchi Sentaro-kun...\We're both in class 10, huh?\Nice to meet you!\Richie... Do you remember that guy from last year?\Nope...\I'm gettin' the chills... response:	Oh, that's right, Sentaro-kun...
context: Oh, stop it! You're embarrassing me!\Kawabuchi Sentaro-kun...\We're both in class 10, huh?\Nice to meet you!\Richie... Do you remember that guy from last year?\Nope...\I'm gettin' the chills...\Oh, that's right, Sentaro-kun... response:	Are you free on our next day off?
context: Kawabuchi Sentaro-kun...\We're both in class 10, huh?\Nice to meet you!\Richie... Do you remember that guy from last year?\Nope...\I'm gettin' the chills...\Oh, that's right, Sentaro-kun...\Are you free on our next day off? response:	I want to get you a present as thanks for being my model.
context: We're both in class 10, huh?\Nice to meet you!\Richie... Do you remember that guy from last year?\Nope...\I'm gettin' the chills...\Oh, that's right, Sentaro-kun...\Are you free on our next day off?\I want to get you a present as thanks for being my model. response:	Hey! Wait up! Hey!
