context: Once upon a time, there was a girl who loved flowers more than anyone. response:	She prayed every day for the whole town to be filled with beautiful flowers.
context: Yes.\I like ballet just like you do, so I'm going to practice later.\As soon as I'm finished taking care of these little ones.\You really love flowers, don't you?\Well, it would be wonderful if the world were full of flowers, right?\Freya-san is what's wonderful.\It makes me wish I could become this wonderful.\But that would... response:	Never happen zura.
context: I like ballet just like you do, so I'm going to practice later.\As soon as I'm finished taking care of these little ones.\You really love flowers, don't you?\Well, it would be wonderful if the world were full of flowers, right?\Freya-san is what's wonderful.\It makes me wish I could become this wonderful.\But that would...\Never happen zura. response:	What? Really?
context: As soon as I'm finished taking care of these little ones.\You really love flowers, don't you?\Well, it would be wonderful if the world were full of flowers, right?\Freya-san is what's wonderful.\It makes me wish I could become this wonderful.\But that would...\Never happen zura.\What? Really? response:	Really zura.
context: You really love flowers, don't you?\Well, it would be wonderful if the world were full of flowers, right?\Freya-san is what's wonderful.\It makes me wish I could become this wonderful.\But that would...\Never happen zura.\What? Really?\Really zura. response:	Not at all?
context: Well, it would be wonderful if the world were full of flowers, right?\Freya-san is what's wonderful.\It makes me wish I could become this wonderful.\But that would...\Never happen zura.\What? Really?\Really zura.\Not at all? response:	Not a chance zura!
context: Freya-san is what's wonderful.\It makes me wish I could become this wonderful.\But that would...\Never happen zura.\What? Really?\Really zura.\Not at all?\Not a chance zura! response:	Wait, who are you?!
context: It makes me wish I could become this wonderful.\But that would...\Never happen zura.\What? Really?\Really zura.\Not at all?\Not a chance zura!\Wait, who are you?! response:	It's not here zura. Where did you hide it zura?
context: But that would...\Never happen zura.\What? Really?\Really zura.\Not at all?\Not a chance zura!\Wait, who are you?!\It's not here zura. Where did you hide it zura? response:	Huh? What's not there?
context: Never happen zura.\What? Really?\Really zura.\Not at all?\Not a chance zura!\Wait, who are you?!\It's not here zura. Where did you hide it zura?\Huh? What's not there? response:	Your duck's tail zura.
context: What? Really?\Really zura.\Not at all?\Not a chance zura!\Wait, who are you?!\It's not here zura. Where did you hide it zura?\Huh? What's not there?\Your duck's tail zura. response:	What do you mean, duck?
context: Really zura.\Not at all?\Not a chance zura!\Wait, who are you?!\It's not here zura. Where did you hide it zura?\Huh? What's not there?\Your duck's tail zura.\What do you mean, duck? response:	Where is it zura?
context: Not at all?\Not a chance zura!\Wait, who are you?!\It's not here zura. Where did you hide it zura?\Huh? What's not there?\Your duck's tail zura.\What do you mean, duck?\Where is it zura? response:	Quack!
context: Not a chance zura!\Wait, who are you?!\It's not here zura. Where did you hide it zura?\Huh? What's not there?\Your duck's tail zura.\What do you mean, duck?\Where is it zura?\Quack! response:	Quack...
context: Wait, who are you?!\It's not here zura. Where did you hide it zura?\Huh? What's not there?\Your duck's tail zura.\What do you mean, duck?\Where is it zura?\Quack!\Quack... response:	Quack... Quack...
context: It's not here zura. Where did you hide it zura?\Huh? What's not there?\Your duck's tail zura.\What do you mean, duck?\Where is it zura?\Quack!\Quack...\Quack... Quack... response:	You're a duck zura!
context: Huh? What's not there?\Your duck's tail zura.\What do you mean, duck?\Where is it zura?\Quack!\Quack...\Quack... Quack...\You're a duck zura! response:	You DO have a tail zura.
context: Your duck's tail zura.\What do you mean, duck?\Where is it zura?\Quack!\Quack...\Quack... Quack...\You're a duck zura!\You DO have a tail zura. response:	Quack!
context: What do you mean, duck?\Where is it zura?\Quack!\Quack...\Quack... Quack...\You're a duck zura!\You DO have a tail zura.\Quack! response:	Quack, quack!
context: Where is it zura?\Quack!\Quack...\Quack... Quack...\You're a duck zura!\You DO have a tail zura.\Quack!\Quack, quack! response:	Just who was that kid, anyway?
context: Quack!\Quack...\Quack... Quack...\You're a duck zura!\You DO have a tail zura.\Quack!\Quack, quack!\Just who was that kid, anyway? response:	Thanks to her I was late and now I have detention.
