context: Something wasn't right. response:	For some reason, that's how I felt.
context: And, again for some odd reason, I had the feeling that Haruhi was about to cause a commotion again.\Kyon-kun, the phone.\You don't have to tell me. I know.\You're free today, right?\We're all meeting in front of the station at exactly 2 o'clock.\Make sure you come!\I didn't even get to say a thing.\Kyon-kun, the phone. response:	I know.
context: Kyon-kun, the phone.\You don't have to tell me. I know.\You're free today, right?\We're all meeting in front of the station at exactly 2 o'clock.\Make sure you come!\I didn't even get to say a thing.\Kyon-kun, the phone.\I know. response:	What?
context: You don't have to tell me. I know.\You're free today, right?\We're all meeting in front of the station at exactly 2 o'clock.\Make sure you come!\I didn't even get to say a thing.\Kyon-kun, the phone.\I know.\What? response:	I forgot to tell you what to bring.
context: You're free today, right?\We're all meeting in front of the station at exactly 2 o'clock.\Make sure you come!\I didn't even get to say a thing.\Kyon-kun, the phone.\I know.\What?\I forgot to tell you what to bring. response:	Bring your swimming gear and lots of money!
context: We're all meeting in front of the station at exactly 2 o'clock.\Make sure you come!\I didn't even get to say a thing.\Kyon-kun, the phone.\I know.\What?\I forgot to tell you what to bring.\Bring your swimming gear and lots of money! response:	Also, make sure you go there on a bike. Over!
context: Make sure you come!\I didn't even get to say a thing.\Kyon-kun, the phone.\I know.\What?\I forgot to tell you what to bring.\Bring your swimming gear and lots of money!\Also, make sure you go there on a bike. Over! response:	What?
context: I didn't even get to say a thing.\Kyon-kun, the phone.\I know.\What?\I forgot to tell you what to bring.\Bring your swimming gear and lots of money!\Also, make sure you go there on a bike. Over!\What? response:	I have this feeling that I knew exactly what Haruhi was going to say.
context: Kyon-kun, the phone.\I know.\What?\I forgot to tell you what to bring.\Bring your swimming gear and lots of money!\Also, make sure you go there on a bike. Over!\What?\I have this feeling that I knew exactly what Haruhi was going to say. response:	No, that's not right.
context: I know.\What?\I forgot to tell you what to bring.\Bring your swimming gear and lots of money!\Also, make sure you go there on a bike. Over!\What?\I have this feeling that I knew exactly what Haruhi was going to say.\No, that's not right. response:	To be accurate, it feels more like the exact same thing has happened before.
context: What?\I forgot to tell you what to bring.\Bring your swimming gear and lots of money!\Also, make sure you go there on a bike. Over!\What?\I have this feeling that I knew exactly what Haruhi was going to say.\No, that's not right.\To be accurate, it feels more like the exact same thing has happened before. response:	Is this what you call deja vu?
context: I forgot to tell you what to bring.\Bring your swimming gear and lots of money!\Also, make sure you go there on a bike. Over!\What?\I have this feeling that I knew exactly what Haruhi was going to say.\No, that's not right.\To be accurate, it feels more like the exact same thing has happened before.\Is this what you call deja vu? response:	You're late, Kyon!
context: Bring your swimming gear and lots of money!\Also, make sure you go there on a bike. Over!\What?\I have this feeling that I knew exactly what Haruhi was going to say.\No, that's not right.\To be accurate, it feels more like the exact same thing has happened before.\Is this what you call deja vu?\You're late, Kyon! response:	You need to show more enthusiasm!
context: Also, make sure you go there on a bike. Over!\What?\I have this feeling that I knew exactly what Haruhi was going to say.\No, that's not right.\To be accurate, it feels more like the exact same thing has happened before.\Is this what you call deja vu?\You're late, Kyon!\You need to show more enthusiasm! response:	Yeah, yeah.
context: What?\I have this feeling that I knew exactly what Haruhi was going to say.\No, that's not right.\To be accurate, it feels more like the exact same thing has happened before.\Is this what you call deja vu?\You're late, Kyon!\You need to show more enthusiasm!\Yeah, yeah. response:	Sorry for making you guys wait.
context: I have this feeling that I knew exactly what Haruhi was going to say.\No, that's not right.\To be accurate, it feels more like the exact same thing has happened before.\Is this what you call deja vu?\You're late, Kyon!\You need to show more enthusiasm!\Yeah, yeah.\Sorry for making you guys wait. response:	I just got here too.
context: No, that's not right.\To be accurate, it feels more like the exact same thing has happened before.\Is this what you call deja vu?\You're late, Kyon!\You need to show more enthusiasm!\Yeah, yeah.\Sorry for making you guys wait.\I just got here too. response:	Since everyone's here, let's go!
context: To be accurate, it feels more like the exact same thing has happened before.\Is this what you call deja vu?\You're late, Kyon!\You need to show more enthusiasm!\Yeah, yeah.\Sorry for making you guys wait.\I just got here too.\Since everyone's here, let's go! response:	To where?
context: Is this what you call deja vu?\You're late, Kyon!\You need to show more enthusiasm!\Yeah, yeah.\Sorry for making you guys wait.\I just got here too.\Since everyone's here, let's go!\To where? response:	To the public pool, of course!
context: You're late, Kyon!\You need to show more enthusiasm!\Yeah, yeah.\Sorry for making you guys wait.\I just got here too.\Since everyone's here, let's go!\To where?\To the public pool, of course! response:	Well, I guess we would be...
context: You need to show more enthusiasm!\Yeah, yeah.\Sorry for making you guys wait.\I just got here too.\Since everyone's here, let's go!\To where?\To the public pool, of course!\Well, I guess we would be... response:	Since it's summer, we should have summer activities like what people do in the summer!
context: Yeah, yeah.\Sorry for making you guys wait.\I just got here too.\Since everyone's here, let's go!\To where?\To the public pool, of course!\Well, I guess we would be...\Since it's summer, we should have summer activities like what people do in the summer! response:	We're never going to get back the time we lose, you know.
context: Sorry for making you guys wait.\I just got here too.\Since everyone's here, let's go!\To where?\To the public pool, of course!\Well, I guess we would be...\Since it's summer, we should have summer activities like what people do in the summer!\We're never going to get back the time we lose, you know. response:	That's why we're doing this now!
context: I just got here too.\Since everyone's here, let's go!\To where?\To the public pool, of course!\Well, I guess we would be...\Since it's summer, we should have summer activities like what people do in the summer!\We're never going to get back the time we lose, you know.\That's why we're doing this now! response:	This is our once-in-a-lifetime freshman summer vacation!
context: Since everyone's here, let's go!\To where?\To the public pool, of course!\Well, I guess we would be...\Since it's summer, we should have summer activities like what people do in the summer!\We're never going to get back the time we lose, you know.\That's why we're doing this now!\This is our once-in-a-lifetime freshman summer vacation! response:	By the way, we're going to the pool by bike.
context: To where?\To the public pool, of course!\Well, I guess we would be...\Since it's summer, we should have summer activities like what people do in the summer!\We're never going to get back the time we lose, you know.\That's why we're doing this now!\This is our once-in-a-lifetime freshman summer vacation!\By the way, we're going to the pool by bike. response:	You guys brought yours too?
context: To the public pool, of course!\Well, I guess we would be...\Since it's summer, we should have summer activities like what people do in the summer!\We're never going to get back the time we lose, you know.\That's why we're doing this now!\This is our once-in-a-lifetime freshman summer vacation!\By the way, we're going to the pool by bike.\You guys brought yours too? response:	You and I are the only ones who brought bikes.
context: Well, I guess we would be...\Since it's summer, we should have summer activities like what people do in the summer!\We're never going to get back the time we lose, you know.\That's why we're doing this now!\This is our once-in-a-lifetime freshman summer vacation!\By the way, we're going to the pool by bike.\You guys brought yours too?\You and I are the only ones who brought bikes. response:	Okay. Ready?
context: Since it's summer, we should have summer activities like what people do in the summer!\We're never going to get back the time we lose, you know.\That's why we're doing this now!\This is our once-in-a-lifetime freshman summer vacation!\By the way, we're going to the pool by bike.\You guys brought yours too?\You and I are the only ones who brought bikes.\Okay. Ready? response:	How could I possibly be ready?
context: We're never going to get back the time we lose, you know.\That's why we're doing this now!\This is our once-in-a-lifetime freshman summer vacation!\By the way, we're going to the pool by bike.\You guys brought yours too?\You and I are the only ones who brought bikes.\Okay. Ready?\How could I possibly be ready? response:	Ready!
context: That's why we're doing this now!\This is our once-in-a-lifetime freshman summer vacation!\By the way, we're going to the pool by bike.\You guys brought yours too?\You and I are the only ones who brought bikes.\Okay. Ready?\How could I possibly be ready?\Ready! response:	Kyon, you can't lose to Koizumi-kun.
context: This is our once-in-a-lifetime freshman summer vacation!\By the way, we're going to the pool by bike.\You guys brought yours too?\You and I are the only ones who brought bikes.\Okay. Ready?\How could I possibly be ready?\Ready!\Kyon, you can't lose to Koizumi-kun. response:	Now, commence take off!
context: By the way, we're going to the pool by bike.\You guys brought yours too?\You and I are the only ones who brought bikes.\Okay. Ready?\How could I possibly be ready?\Ready!\Kyon, you can't lose to Koizumi-kun.\Now, commence take off! response:	Damn it.
context: You guys brought yours too?\You and I are the only ones who brought bikes.\Okay. Ready?\How could I possibly be ready?\Ready!\Kyon, you can't lose to Koizumi-kun.\Now, commence take off!\Damn it. response:	Endless
context: You and I are the only ones who brought bikes.\Okay. Ready?\How could I possibly be ready?\Ready!\Kyon, you can't lose to Koizumi-kun.\Now, commence take off!\Damn it.\Endless response:	Eight
context: Okay. Ready?\How could I possibly be ready?\Ready!\Kyon, you can't lose to Koizumi-kun.\Now, commence take off!\Damn it.\Endless\Eight response:	Kyon!
context: How could I possibly be ready?\Ready!\Kyon, you can't lose to Koizumi-kun.\Now, commence take off!\Damn it.\Endless\Eight\Kyon! response:	We came here to have fun, so what are you so unenthusiastic about anyway?
context: Ready!\Kyon, you can't lose to Koizumi-kun.\Now, commence take off!\Damn it.\Endless\Eight\Kyon!\We came here to have fun, so what are you so unenthusiastic about anyway? response:	You're such a lazy person.
context: Kyon, you can't lose to Koizumi-kun.\Now, commence take off!\Damn it.\Endless\Eight\Kyon!\We came here to have fun, so what are you so unenthusiastic about anyway?\You're such a lazy person. response:	Just whose fault is this anyway? Whose fault is it!?
context: Now, commence take off!\Damn it.\Endless\Eight\Kyon!\We came here to have fun, so what are you so unenthusiastic about anyway?\You're such a lazy person.\Just whose fault is this anyway? Whose fault is it!? response:	Ah, the smell of chlorine! This is what it's all about!
context: Damn it.\Endless\Eight\Kyon!\We came here to have fun, so what are you so unenthusiastic about anyway?\You're such a lazy person.\Just whose fault is this anyway? Whose fault is it!?\Ah, the smell of chlorine! This is what it's all about! response:	All right, let's swim!
context: Endless\Eight\Kyon!\We came here to have fun, so what are you so unenthusiastic about anyway?\You're such a lazy person.\Just whose fault is this anyway? Whose fault is it!?\Ah, the smell of chlorine! This is what it's all about!\All right, let's swim! response:	It's a race!
context: Eight\Kyon!\We came here to have fun, so what are you so unenthusiastic about anyway?\You're such a lazy person.\Just whose fault is this anyway? Whose fault is it!?\Ah, the smell of chlorine! This is what it's all about!\All right, let's swim!\It's a race! response:	Can't she see this?
context: Kyon!\We came here to have fun, so what are you so unenthusiastic about anyway?\You're such a lazy person.\Just whose fault is this anyway? Whose fault is it!?\Ah, the smell of chlorine! This is what it's all about!\All right, let's swim!\It's a race!\Can't she see this? response:	Sign: No Diving
context: We came here to have fun, so what are you so unenthusiastic about anyway?\You're such a lazy person.\Just whose fault is this anyway? Whose fault is it!?\Ah, the smell of chlorine! This is what it's all about!\All right, let's swim!\It's a race!\Can't she see this?\Sign: No Diving response:	Hurry up and get in!
context: You're such a lazy person.\Just whose fault is this anyway? Whose fault is it!?\Ah, the smell of chlorine! This is what it's all about!\All right, let's swim!\It's a race!\Can't she see this?\Sign: No Diving\Hurry up and get in! response:	The water is nice and warm!
context: Just whose fault is this anyway? Whose fault is it!?\Ah, the smell of chlorine! This is what it's all about!\All right, let's swim!\It's a race!\Can't she see this?\Sign: No Diving\Hurry up and get in!\The water is nice and warm! response:	It looks like fun.
context: Ah, the smell of chlorine! This is what it's all about!\All right, let's swim!\It's a race!\Can't she see this?\Sign: No Diving\Hurry up and get in!\The water is nice and warm!\It looks like fun. response:	It's quite a pleasant scene.
context: All right, let's swim!\It's a race!\Can't she see this?\Sign: No Diving\Hurry up and get in!\The water is nice and warm!\It looks like fun.\It's quite a pleasant scene. response:	Don't you think Suzumiya-san may have found a normal way of enjoying things?
context: It's a race!\Can't she see this?\Sign: No Diving\Hurry up and get in!\The water is nice and warm!\It looks like fun.\It's quite a pleasant scene.\Don't you think Suzumiya-san may have found a normal way of enjoying things? response:	Seeing her having so much fun, there shouldn't be anything happening that will endanger the world.
context: Can't she see this?\Sign: No Diving\Hurry up and get in!\The water is nice and warm!\It looks like fun.\It's quite a pleasant scene.\Don't you think Suzumiya-san may have found a normal way of enjoying things?\Seeing her having so much fun, there shouldn't be anything happening that will endanger the world. response:	If only that were true...
context: Sign: No Diving\Hurry up and get in!\The water is nice and warm!\It looks like fun.\It's quite a pleasant scene.\Don't you think Suzumiya-san may have found a normal way of enjoying things?\Seeing her having so much fun, there shouldn't be anything happening that will endanger the world.\If only that were true... response:	What's wrong?
context: Hurry up and get in!\The water is nice and warm!\It looks like fun.\It's quite a pleasant scene.\Don't you think Suzumiya-san may have found a normal way of enjoying things?\Seeing her having so much fun, there shouldn't be anything happening that will endanger the world.\If only that were true...\What's wrong? response:	Koizumi!
context: The water is nice and warm!\It looks like fun.\It's quite a pleasant scene.\Don't you think Suzumiya-san may have found a normal way of enjoying things?\Seeing her having so much fun, there shouldn't be anything happening that will endanger the world.\If only that were true...\What's wrong?\Koizumi! response:	Nothing. It's probably just my imagination.
context: It looks like fun.\It's quite a pleasant scene.\Don't you think Suzumiya-san may have found a normal way of enjoying things?\Seeing her having so much fun, there shouldn't be anything happening that will endanger the world.\If only that were true...\What's wrong?\Koizumi!\Nothing. It's probably just my imagination. response:	We've been through all sorts of things since spring.
context: It's quite a pleasant scene.\Don't you think Suzumiya-san may have found a normal way of enjoying things?\Seeing her having so much fun, there shouldn't be anything happening that will endanger the world.\If only that were true...\What's wrong?\Koizumi!\Nothing. It's probably just my imagination.\We've been through all sorts of things since spring. response:	I think I might have become a little neurotic.
context: Don't you think Suzumiya-san may have found a normal way of enjoying things?\Seeing her having so much fun, there shouldn't be anything happening that will endanger the world.\If only that were true...\What's wrong?\Koizumi!\Nothing. It's probably just my imagination.\We've been through all sorts of things since spring.\I think I might have become a little neurotic. response:	Now, let's go swim as well.
context: Seeing her having so much fun, there shouldn't be anything happening that will endanger the world.\If only that were true...\What's wrong?\Koizumi!\Nothing. It's probably just my imagination.\We've been through all sorts of things since spring.\I think I might have become a little neurotic.\Now, let's go swim as well. response:	Hey!
context: If only that were true...\What's wrong?\Koizumi!\Nothing. It's probably just my imagination.\We've been through all sorts of things since spring.\I think I might have become a little neurotic.\Now, let's go swim as well.\Hey! response:	There, there!
context: What's wrong?\Koizumi!\Nothing. It's probably just my imagination.\We've been through all sorts of things since spring.\I think I might have become a little neurotic.\Now, let's go swim as well.\Hey!\There, there! response:	Wait up!
context: Koizumi!\Nothing. It's probably just my imagination.\We've been through all sorts of things since spring.\I think I might have become a little neurotic.\Now, let's go swim as well.\Hey!\There, there!\Wait up! response:	Man, it'd be more appropriate to call this place a pool for the masses than a pool for the public.
context: Nothing. It's probably just my imagination.\We've been through all sorts of things since spring.\I think I might have become a little neurotic.\Now, let's go swim as well.\Hey!\There, there!\Wait up!\Man, it'd be more appropriate to call this place a pool for the masses than a pool for the public. response:	This feeling...
context: We've been through all sorts of things since spring.\I think I might have become a little neurotic.\Now, let's go swim as well.\Hey!\There, there!\Wait up!\Man, it'd be more appropriate to call this place a pool for the masses than a pool for the public.\This feeling... response:	I feel like I've seen this somewhere before.
context: I think I might have become a little neurotic.\Now, let's go swim as well.\Hey!\There, there!\Wait up!\Man, it'd be more appropriate to call this place a pool for the masses than a pool for the public.\This feeling...\I feel like I've seen this somewhere before. response:	For some reason, Nagato seems to be bored.
context: Now, let's go swim as well.\Hey!\There, there!\Wait up!\Man, it'd be more appropriate to call this place a pool for the masses than a pool for the public.\This feeling...\I feel like I've seen this somewhere before.\For some reason, Nagato seems to be bored. response:	And then-
context: Hey!\There, there!\Wait up!\Man, it'd be more appropriate to call this place a pool for the masses than a pool for the public.\This feeling...\I feel like I've seen this somewhere before.\For some reason, Nagato seems to be bored.\And then- response:	Kyon!
context: There, there!\Wait up!\Man, it'd be more appropriate to call this place a pool for the masses than a pool for the public.\This feeling...\I feel like I've seen this somewhere before.\For some reason, Nagato seems to be bored.\And then-\Kyon! response:	That's right. Then Haruhi said something like...
context: Wait up!\Man, it'd be more appropriate to call this place a pool for the masses than a pool for the public.\This feeling...\I feel like I've seen this somewhere before.\For some reason, Nagato seems to be bored.\And then-\Kyon!\That's right. Then Haruhi said something like... response:	These two are my brigade members.
context: Man, it'd be more appropriate to call this place a pool for the masses than a pool for the public.\This feeling...\I feel like I've seen this somewhere before.\For some reason, Nagato seems to be bored.\And then-\Kyon!\That's right. Then Haruhi said something like...\These two are my brigade members. response:	They'll listen to everything I say.
context: This feeling...\I feel like I've seen this somewhere before.\For some reason, Nagato seems to be bored.\And then-\Kyon!\That's right. Then Haruhi said something like...\These two are my brigade members.\They'll listen to everything I say. response:	So ask them anything!
context: I feel like I've seen this somewhere before.\For some reason, Nagato seems to be bored.\And then-\Kyon!\That's right. Then Haruhi said something like...\These two are my brigade members.\They'll listen to everything I say.\So ask them anything! response:	Come on, let's go have fun!
context: For some reason, Nagato seems to be bored.\And then-\Kyon!\That's right. Then Haruhi said something like...\These two are my brigade members.\They'll listen to everything I say.\So ask them anything!\Come on, let's go have fun! response:	We're going to play water soccer! Come with me!
context: And then-\Kyon!\That's right. Then Haruhi said something like...\These two are my brigade members.\They'll listen to everything I say.\So ask them anything!\Come on, let's go have fun!\We're going to play water soccer! Come with me! response:	Well, I guess deja vu happens all the time.
context: Kyon!\That's right. Then Haruhi said something like...\These two are my brigade members.\They'll listen to everything I say.\So ask them anything!\Come on, let's go have fun!\We're going to play water soccer! Come with me!\Well, I guess deja vu happens all the time. response:	Here I come, Mikuru-chan!
context: That's right. Then Haruhi said something like...\These two are my brigade members.\They'll listen to everything I say.\So ask them anything!\Come on, let's go have fun!\We're going to play water soccer! Come with me!\Well, I guess deja vu happens all the time.\Here I come, Mikuru-chan! response:	Okay!
context: These two are my brigade members.\They'll listen to everything I say.\So ask them anything!\Come on, let's go have fun!\We're going to play water soccer! Come with me!\Well, I guess deja vu happens all the time.\Here I come, Mikuru-chan!\Okay! response:	Sorry!
context: They'll listen to everything I say.\So ask them anything!\Come on, let's go have fun!\We're going to play water soccer! Come with me!\Well, I guess deja vu happens all the time.\Here I come, Mikuru-chan!\Okay!\Sorry! response:	What's this?
context: So ask them anything!\Come on, let's go have fun!\We're going to play water soccer! Come with me!\Well, I guess deja vu happens all the time.\Here I come, Mikuru-chan!\Okay!\Sorry!\What's this? response:	I came up with an action plan for the rest of the summer.
context: Come on, let's go have fun!\We're going to play water soccer! Come with me!\Well, I guess deja vu happens all the time.\Here I come, Mikuru-chan!\Okay!\Sorry!\What's this?\I came up with an action plan for the rest of the summer. response:	It's our plan of how to spend what little remains of the summer!
context: We're going to play water soccer! Come with me!\Well, I guess deja vu happens all the time.\Here I come, Mikuru-chan!\Okay!\Sorry!\What's this?\I came up with an action plan for the rest of the summer.\It's our plan of how to spend what little remains of the summer! response:	There are only two more weeks of summer vacation left, huh?
context: Well, I guess deja vu happens all the time.\Here I come, Mikuru-chan!\Okay!\Sorry!\What's this?\I came up with an action plan for the rest of the summer.\It's our plan of how to spend what little remains of the summer!\There are only two more weeks of summer vacation left, huh? response:	It just feels like there's still so much to do.
context: Here I come, Mikuru-chan!\Okay!\Sorry!\What's this?\I came up with an action plan for the rest of the summer.\It's our plan of how to spend what little remains of the summer!\There are only two more weeks of summer vacation left, huh?\It just feels like there's still so much to do. response:	In the end, we don't have any time left.
context: Okay!\Sorry!\What's this?\I came up with an action plan for the rest of the summer.\It's our plan of how to spend what little remains of the summer!\There are only two more weeks of summer vacation left, huh?\It just feels like there's still so much to do.\In the end, we don't have any time left. response:	Got it? We're going all out from now on!
context: Sorry!\What's this?\I came up with an action plan for the rest of the summer.\It's our plan of how to spend what little remains of the summer!\There are only two more weeks of summer vacation left, huh?\It just feels like there's still so much to do.\In the end, we don't have any time left.\Got it? We're going all out from now on! response:	Mikuru-chan, do you have anything you want to do?
context: What's this?\I came up with an action plan for the rest of the summer.\It's our plan of how to spend what little remains of the summer!\There are only two more weeks of summer vacation left, huh?\It just feels like there's still so much to do.\In the end, we don't have any time left.\Got it? We're going all out from now on!\Mikuru-chan, do you have anything you want to do? response:	Umm, I would like to scoop up goldfish.
context: I came up with an action plan for the rest of the summer.\It's our plan of how to spend what little remains of the summer!\There are only two more weeks of summer vacation left, huh?\It just feels like there's still so much to do.\In the end, we don't have any time left.\Got it? We're going all out from now on!\Mikuru-chan, do you have anything you want to do?\Umm, I would like to scoop up goldfish. response:	OK. Goldfish scooping it is.
context: It's our plan of how to spend what little remains of the summer!\There are only two more weeks of summer vacation left, huh?\It just feels like there's still so much to do.\In the end, we don't have any time left.\Got it? We're going all out from now on!\Mikuru-chan, do you have anything you want to do?\Umm, I would like to scoop up goldfish.\OK. Goldfish scooping it is. response:	Excuse me.
context: There are only two more weeks of summer vacation left, huh?\It just feels like there's still so much to do.\In the end, we don't have any time left.\Got it? We're going all out from now on!\Mikuru-chan, do you have anything you want to do?\Umm, I would like to scoop up goldfish.\OK. Goldfish scooping it is.\Excuse me. response:	Thanks.
context: It just feels like there's still so much to do.\In the end, we don't have any time left.\Got it? We're going all out from now on!\Mikuru-chan, do you have anything you want to do?\Umm, I would like to scoop up goldfish.\OK. Goldfish scooping it is.\Excuse me.\Thanks. response:	Hey, I wonder if there's an Obon festival being held near here?
context: In the end, we don't have any time left.\Got it? We're going all out from now on!\Mikuru-chan, do you have anything you want to do?\Umm, I would like to scoop up goldfish.\OK. Goldfish scooping it is.\Excuse me.\Thanks.\Hey, I wonder if there's an Obon festival being held near here? response:	A fireworks festival would be nice too.
context: Got it? We're going all out from now on!\Mikuru-chan, do you have anything you want to do?\Umm, I would like to scoop up goldfish.\OK. Goldfish scooping it is.\Excuse me.\Thanks.\Hey, I wonder if there's an Obon festival being held near here?\A fireworks festival would be nice too. response:	I'll go and find out.
context: Mikuru-chan, do you have anything you want to do?\Umm, I would like to scoop up goldfish.\OK. Goldfish scooping it is.\Excuse me.\Thanks.\Hey, I wonder if there's an Obon festival being held near here?\A fireworks festival would be nice too.\I'll go and find out. response:	Don't forget the goldfish scooping!
context: Umm, I would like to scoop up goldfish.\OK. Goldfish scooping it is.\Excuse me.\Thanks.\Hey, I wonder if there's an Obon festival being held near here?\A fireworks festival would be nice too.\I'll go and find out.\Don't forget the goldfish scooping! response:	It's Mikuru-chan's one passionate desire, after all.
context: OK. Goldfish scooping it is.\Excuse me.\Thanks.\Hey, I wonder if there's an Obon festival being held near here?\A fireworks festival would be nice too.\I'll go and find out.\Don't forget the goldfish scooping!\It's Mikuru-chan's one passionate desire, after all. response:	Understood.
context: Excuse me.\Thanks.\Hey, I wonder if there's an Obon festival being held near here?\A fireworks festival would be nice too.\I'll go and find out.\Don't forget the goldfish scooping!\It's Mikuru-chan's one passionate desire, after all.\Understood. response:	All right Kyon, we start tomorrow!
context: Thanks.\Hey, I wonder if there's an Obon festival being held near here?\A fireworks festival would be nice too.\I'll go and find out.\Don't forget the goldfish scooping!\It's Mikuru-chan's one passionate desire, after all.\Understood.\All right Kyon, we start tomorrow! response:	The next morning.
context: Hey, I wonder if there's an Obon festival being held near here?\A fireworks festival would be nice too.\I'll go and find out.\Don't forget the goldfish scooping!\It's Mikuru-chan's one passionate desire, after all.\Understood.\All right Kyon, we start tomorrow!\The next morning. response:	The call that stole away my indolence was, once again, from Haruhi.
context: A fireworks festival would be nice too.\I'll go and find out.\Don't forget the goldfish scooping!\It's Mikuru-chan's one passionate desire, after all.\Understood.\All right Kyon, we start tomorrow!\The next morning.\The call that stole away my indolence was, once again, from Haruhi. response:	We've found an Obon festival. Tonight at the public sports ground,
context: I'll go and find out.\Don't forget the goldfish scooping!\It's Mikuru-chan's one passionate desire, after all.\Understood.\All right Kyon, we start tomorrow!\The next morning.\The call that stole away my indolence was, once again, from Haruhi.\We've found an Obon festival. Tonight at the public sports ground, response:	apparently.
context: Don't forget the goldfish scooping!\It's Mikuru-chan's one passionate desire, after all.\Understood.\All right Kyon, we start tomorrow!\The next morning.\The call that stole away my indolence was, once again, from Haruhi.\We've found an Obon festival. Tonight at the public sports ground,\apparently. response:	But Mikuru-chan and Yuki don't have yukatas.
context: It's Mikuru-chan's one passionate desire, after all.\Understood.\All right Kyon, we start tomorrow!\The next morning.\The call that stole away my indolence was, once again, from Haruhi.\We've found an Obon festival. Tonight at the public sports ground,\apparently.\But Mikuru-chan and Yuki don't have yukatas. response:	So now we're going to go buy yukatas for tonight.
context: Understood.\All right Kyon, we start tomorrow!\The next morning.\The call that stole away my indolence was, once again, from Haruhi.\We've found an Obon festival. Tonight at the public sports ground,\apparently.\But Mikuru-chan and Yuki don't have yukatas.\So now we're going to go buy yukatas for tonight. response:	I don't have one either, so I found a place that sells complete sets for a cheap price.
context: All right Kyon, we start tomorrow!\The next morning.\The call that stole away my indolence was, once again, from Haruhi.\We've found an Obon festival. Tonight at the public sports ground,\apparently.\But Mikuru-chan and Yuki don't have yukatas.\So now we're going to go buy yukatas for tonight.\I don't have one either, so I found a place that sells complete sets for a cheap price. response:	You come along too!
context: The next morning.\The call that stole away my indolence was, once again, from Haruhi.\We've found an Obon festival. Tonight at the public sports ground,\apparently.\But Mikuru-chan and Yuki don't have yukatas.\So now we're going to go buy yukatas for tonight.\I don't have one either, so I found a place that sells complete sets for a cheap price.\You come along too! response:	Haruhi led us into a bulk clothing store,
context: The call that stole away my indolence was, once again, from Haruhi.\We've found an Obon festival. Tonight at the public sports ground,\apparently.\But Mikuru-chan and Yuki don't have yukatas.\So now we're going to go buy yukatas for tonight.\I don't have one either, so I found a place that sells complete sets for a cheap price.\You come along too!\Haruhi led us into a bulk clothing store, response:	personally chose Asahina-san and Nagato's yukatas,
context: We've found an Obon festival. Tonight at the public sports ground,\apparently.\But Mikuru-chan and Yuki don't have yukatas.\So now we're going to go buy yukatas for tonight.\I don't have one either, so I found a place that sells complete sets for a cheap price.\You come along too!\Haruhi led us into a bulk clothing store,\personally chose Asahina-san and Nagato's yukatas, response:	and then immediately proceeded to drag them into the changing rooms.
